ko:K14233	ctrg:SOTONG1_00894
ko:K01870	ctrg:SOTONG1_00021
ko:K03100	ctrg:SOTONG1_00022
ko:K02909	ctrg:SOTONG1_00024
ko:K02835	ctrg:SOTONG1_00025
ko:K02493	ctrg:SOTONG1_00026
ko:K03106	ctrg:SOTONG1_00027
ko:K02959	ctrg:SOTONG1_00028
ko:K00554	ctrg:SOTONG1_00029
ko:K02884	ctrg:SOTONG1_00030
ko:K03470	ctrg:SOTONG1_00031
ko:K00942	ctrg:SOTONG1_00032
ko:K01874	ctrg:SOTONG1_00034
ko:K03581	ctrg:SOTONG1_00035
ko:K01494	ctrg:SOTONG1_00041
ko:K03551	ctrg:SOTONG1_00042
ko:K01255	ctrg:SOTONG1_00047
ko:K02340	ctrg:SOTONG1_00049
ko:K07056	ctrg:SOTONG1_00050
ko:K00164	ctrg:SOTONG1_00056
ko:K00658	ctrg:SOTONG1_00057
ko:K05810	ctrg:SOTONG1_00058
ko:K03526	ctrg:SOTONG1_00059
ko:K02400	ctrg:SOTONG1_00063
ko:K02405	ctrg:SOTONG1_00064
ko:K01866	ctrg:SOTONG1_00065
ko:K03621	ctrg:SOTONG1_00866
ko:K03431	ctrg:SOTONG1_00871
ko:K00820	ctrg:SOTONG1_00872
ko:K03834	ctrg:SOTONG1_00873
ko:K03834	ctrg:SOTONG1_00875
ko:K06890	ctrg:SOTONG1_00876
ko:K03110	ctrg:SOTONG1_00877
ko:K01903	ctrg:SOTONG1_00878
ko:K01902	ctrg:SOTONG1_00879
ko:K09760	ctrg:SOTONG1_00882
ko:K00075	ctrg:SOTONG1_00888
ko:K03625	ctrg:SOTONG1_00889
ko:K02520	ctrg:SOTONG1_00890
ko:K02916	ctrg:SOTONG1_00891
ko:K02887	ctrg:SOTONG1_00892
ko:K01889	ctrg:SOTONG1_00893
ko:K11720	ctrg:SOTONG1_00896
ko:K07091	ctrg:SOTONG1_00897
ko:K04075	ctrg:SOTONG1_00898
ko:K03798	ctrg:SOTONG1_00899
ko:K00962	ctrg:SOTONG1_00900
ko:K02956	ctrg:SOTONG1_00901
ko:K01265	ctrg:SOTONG1_00910
ko:K03321	ctrg:SOTONG1_00915
ko:K03527	ctrg:SOTONG1_00918
ko:K02412	ctrg:SOTONG1_00763
ko:K02411	ctrg:SOTONG1_00764
ko:K02409	ctrg:SOTONG1_00765
ko:K13819	ctrg:SOTONG1_00766
ko:K04487	ctrg:SOTONG1_00767
ko:K06178	ctrg:SOTONG1_00769
ko:K03524	ctrg:SOTONG1_00771
ko:K05837	ctrg:SOTONG1_00772
ko:K01875	ctrg:SOTONG1_00775
ko:K11752	ctrg:SOTONG1_00776
ko:K14652	ctrg:SOTONG1_00777
ko:K00794	ctrg:SOTONG1_00778
ko:K03310	ctrg:SOTONG1_00781
ko:K03466	ctrg:SOTONG1_00785
ko:K00351	ctrg:SOTONG1_00790
ko:K03210	ctrg:SOTONG1_00791
ko:K00231	ctrg:SOTONG1_00795
ko:K01599	ctrg:SOTONG1_00797
ko:K03723	ctrg:SOTONG1_00798
ko:K01872	ctrg:SOTONG1_00799
ko:K00615	ctrg:SOTONG1_00803
ko:K01241	ctrg:SOTONG1_00804
ko:K02356	ctrg:SOTONG1_00805
ko:K01929	ctrg:SOTONG1_00810
ko:K01000	ctrg:SOTONG1_00811
ko:K01925	ctrg:SOTONG1_00812
ko:K03979	ctrg:SOTONG1_00439
ko:K02899	ctrg:SOTONG1_00440
ko:K02888	ctrg:SOTONG1_00441
ko:K07042	ctrg:SOTONG1_00446
ko:K03183	ctrg:SOTONG1_00453
ko:K01778	ctrg:SOTONG1_00455
ko:K01358	ctrg:SOTONG1_00456
ko:K00600	ctrg:SOTONG1_00457
ko:K01770	ctrg:SOTONG1_00459
ko:K02946	ctrg:SOTONG1_00461
ko:K02355	ctrg:SOTONG1_00462
ko:K02992	ctrg:SOTONG1_00463
ko:K02950	ctrg:SOTONG1_00464
ko:K03797	ctrg:SOTONG1_00466
ko:K07462	ctrg:SOTONG1_00473
ko:K12257	ctrg:SOTONG1_00474
ko:K00806	ctrg:SOTONG1_00476
ko:K00981	ctrg:SOTONG1_00477
ko:K00945	ctrg:SOTONG1_00478
ko:K00655	ctrg:SOTONG1_00479
ko:K01887	ctrg:SOTONG1_00480
ko:K00790	ctrg:SOTONG1_00481
ko:K02836	ctrg:SOTONG1_00485
ko:K00991	ctrg:SOTONG1_00488
ko:K06173	ctrg:SOTONG1_00489
ko:K03596	ctrg:SOTONG1_00067
ko:K03301	ctrg:SOTONG1_00068
ko:K00099	ctrg:SOTONG1_00074
ko:K03629	ctrg:SOTONG1_00077
ko:K02338	ctrg:SOTONG1_00078
ko:K03664	ctrg:SOTONG1_00079
ko:K03734	ctrg:SOTONG1_00080
ko:K01491	ctrg:SOTONG1_00081
ko:K02902	ctrg:SOTONG1_00087
ko:K00705	ctrg:SOTONG1_00088
ko:K04058	ctrg:SOTONG1_00090
ko:K03230	ctrg:SOTONG1_00091
ko:K03229	ctrg:SOTONG1_00092
ko:K06942	ctrg:SOTONG1_00093
ko:K11753	ctrg:SOTONG1_00094
ko:K02834	ctrg:SOTONG1_00096
ko:K02519	ctrg:SOTONG1_00097
ko:K02600	ctrg:SOTONG1_00098
ko:K02945	ctrg:SOTONG1_00099
ko:K00384	ctrg:SOTONG1_00100
ko:K00997	ctrg:SOTONG1_00101
ko:K00208	ctrg:SOTONG1_00105
ko:K03575	ctrg:SOTONG1_00108
ko:K04077	ctrg:SOTONG1_00111
ko:K04078	ctrg:SOTONG1_00112
ko:K08602	ctrg:SOTONG1_00113
ko:K03695	ctrg:SOTONG1_00114
ko:K09779	ctrg:SOTONG1_00002
ko:K02435	ctrg:SOTONG1_00003
ko:K02434	ctrg:SOTONG1_00005
ko:K02517	ctrg:SOTONG1_00011
ko:K03588	ctrg:SOTONG1_00814
ko:K02563	ctrg:SOTONG1_00815
ko:K06960	ctrg:SOTONG1_00817
ko:K00791	ctrg:SOTONG1_00820
ko:K09710	ctrg:SOTONG1_00823
ko:K09458	ctrg:SOTONG1_00824
ko:K00263	ctrg:SOTONG1_00827
ko:K00655	ctrg:SOTONG1_00829
ko:K04066	ctrg:SOTONG1_00832
ko:K04567	ctrg:SOTONG1_00835
ko:K01883	ctrg:SOTONG1_00836
ko:K03536	ctrg:SOTONG1_00838
ko:K02919	ctrg:SOTONG1_00839
ko:K02954	ctrg:SOTONG1_00840
ko:K03703	ctrg:SOTONG1_00844
ko:K03555	ctrg:SOTONG1_00845
ko:K14164	ctrg:SOTONG1_00849
ko:K00995	ctrg:SOTONG1_00850
ko:K00703	ctrg:SOTONG1_00851
ko:K02897	ctrg:SOTONG1_00853
ko:K01056	ctrg:SOTONG1_00854
ko:K02990	ctrg:SOTONG1_00855
ko:K02963	ctrg:SOTONG1_00856
ko:K02939	ctrg:SOTONG1_00857
ko:K00919	ctrg:SOTONG1_00858
ko:K00630	ctrg:SOTONG1_00862
ko:K08301	ctrg:SOTONG1_00863
ko:K02911	ctrg:SOTONG1_00865
ko:K07710	ctrg:SOTONG1_00494
ko:K07714	ctrg:SOTONG1_00495
ko:K03584	ctrg:SOTONG1_00498
ko:K01890	ctrg:SOTONG1_00503
ko:K02034	ctrg:SOTONG1_00506
ko:K01772	ctrg:SOTONG1_00515
ko:K07099	ctrg:SOTONG1_00518
ko:K00975	ctrg:SOTONG1_00519
ko:K03628	ctrg:SOTONG1_00521
ko:K00859	ctrg:SOTONG1_00522
ko:K03301	ctrg:SOTONG1_00525
ko:K00995	ctrg:SOTONG1_00526
ko:K03495	ctrg:SOTONG1_00529
ko:K03800	ctrg:SOTONG1_00530
ko:K00940	ctrg:SOTONG1_00531
ko:K03550	ctrg:SOTONG1_00532
ko:K01159	ctrg:SOTONG1_00533
ko:K00134	ctrg:SOTONG1_00537
ko:K02879	ctrg:SOTONG1_00538
ko:K03040	ctrg:SOTONG1_00539
ko:K02948	ctrg:SOTONG1_00540
ko:K02952	ctrg:SOTONG1_00541
ko:K03076	ctrg:SOTONG1_00542
ko:K02876	ctrg:SOTONG1_00543
ko:K02988	ctrg:SOTONG1_00544
ko:K01783	ctrg:SOTONG1_00122
ko:K02356	ctrg:SOTONG1_00123
ko:K02160	ctrg:SOTONG1_00124
ko:K01961	ctrg:SOTONG1_00125
ko:K02871	ctrg:SOTONG1_00126
ko:K02996	ctrg:SOTONG1_00127
ko:K02029	ctrg:SOTONG1_00130
ko:K07058	ctrg:SOTONG1_00133
ko:K06999	ctrg:SOTONG1_00137
ko:K07566	ctrg:SOTONG1_00138
ko:K09125	ctrg:SOTONG1_00141
ko:K07039	ctrg:SOTONG1_00142
ko:K01972	ctrg:SOTONG1_00149
ko:K02913	ctrg:SOTONG1_00153
ko:K09808	ctrg:SOTONG1_00154
ko:K09810	ctrg:SOTONG1_00155
ko:K03720	ctrg:SOTONG1_00171
ko:K01696	ctrg:SOTONG1_00172
ko:K01695	ctrg:SOTONG1_00173
ko:K02881	ctrg:SOTONG1_00545
ko:K02933	ctrg:SOTONG1_00546
ko:K02994	ctrg:SOTONG1_00547
ko:K02931	ctrg:SOTONG1_00548
ko:K02895	ctrg:SOTONG1_00549
ko:K02874	ctrg:SOTONG1_00550
ko:K02961	ctrg:SOTONG1_00551
ko:K02904	ctrg:SOTONG1_00552
ko:K02878	ctrg:SOTONG1_00553
ko:K02982	ctrg:SOTONG1_00554
ko:K02890	ctrg:SOTONG1_00555
ko:K02965	ctrg:SOTONG1_00556
ko:K02886	ctrg:SOTONG1_00557
ko:K02892	ctrg:SOTONG1_00558
ko:K02926	ctrg:SOTONG1_00559
ko:K02906	ctrg:SOTONG1_00560
ko:K00604	ctrg:SOTONG1_00562
ko:K00677	ctrg:SOTONG1_00563
ko:K02372	ctrg:SOTONG1_00564
ko:K02535	ctrg:SOTONG1_00565
ko:K03820	ctrg:SOTONG1_00566
ko:K06925	ctrg:SOTONG1_00569
ko:K03671	ctrg:SOTONG1_00572
ko:K03216	ctrg:SOTONG1_00573
ko:K01876	ctrg:SOTONG1_00575
ko:K01892	ctrg:SOTONG1_00576
ko:K07783	ctrg:SOTONG1_00577
ko:K02337	ctrg:SOTONG1_00578
ko:K03311	ctrg:SOTONG1_00588
ko:K00382	ctrg:SOTONG1_00591
ko:K03644	ctrg:SOTONG1_00592
ko:K03222	ctrg:SOTONG1_00593
ko:K03223	ctrg:SOTONG1_00595
ko:K03226	ctrg:SOTONG1_00596
ko:K03228	ctrg:SOTONG1_00598
ko:K03559	ctrg:SOTONG1_00631
ko:K03611	ctrg:SOTONG1_00179
ko:K00979	ctrg:SOTONG1_00187
ko:K01937	ctrg:SOTONG1_00188
ko:K07447	ctrg:SOTONG1_00189
ko:K00036	ctrg:SOTONG1_00190
ko:K01057	ctrg:SOTONG1_00191
ko:K02343	ctrg:SOTONG1_00192
ko:K00943	ctrg:SOTONG1_00193
ko:K02469	ctrg:SOTONG1_00194
ko:K02470	ctrg:SOTONG1_00195
ko:K00773	ctrg:SOTONG1_00198
ko:K06213	ctrg:SOTONG1_00199
ko:K15580	ctrg:SOTONG1_00203
ko:K15581	ctrg:SOTONG1_00204
ko:K03319	ctrg:SOTONG1_00209
ko:K00850	ctrg:SOTONG1_00210
ko:K00895	ctrg:SOTONG1_00212
ko:K02527	ctrg:SOTONG1_00215
ko:K01869	ctrg:SOTONG1_00216
ko:K01845	ctrg:SOTONG1_00217
ko:K07735	ctrg:SOTONG1_00218
ko:K08999	ctrg:SOTONG1_00219
ko:K01807	ctrg:SOTONG1_00220
ko:K03787	ctrg:SOTONG1_00225
ko:K03179	ctrg:SOTONG1_00226
ko:K03186	ctrg:SOTONG1_00227
ko:K02455	ctrg:SOTONG1_00604
ko:K02453	ctrg:SOTONG1_00606
ko:K03572	ctrg:SOTONG1_00609
ko:K01868	ctrg:SOTONG1_00615
ko:K01867	ctrg:SOTONG1_00619
ko:K03702	ctrg:SOTONG1_00620
ko:K01689	ctrg:SOTONG1_00621
ko:K00240	ctrg:SOTONG1_00625
ko:K00239	ctrg:SOTONG1_00626
ko:K03424	ctrg:SOTONG1_00628
ko:K03562	ctrg:SOTONG1_00630
ko:K03641	ctrg:SOTONG1_00633
ko:K03640	ctrg:SOTONG1_00634
ko:K03648	ctrg:SOTONG1_00643
ko:K03657	ctrg:SOTONG1_00644
ko:K03092	ctrg:SOTONG1_00645
ko:K06137	ctrg:SOTONG1_00646
ko:K13941	ctrg:SOTONG1_00649
ko:K01633	ctrg:SOTONG1_00650
ko:K03086	ctrg:SOTONG1_00651
ko:K03308	ctrg:SOTONG1_00240
ko:K02078	ctrg:SOTONG1_00245
ko:K00645	ctrg:SOTONG1_00247
ko:K00648	ctrg:SOTONG1_00248
ko:K06187	ctrg:SOTONG1_00249
ko:K07277	ctrg:SOTONG1_00250
ko:K06142	ctrg:SOTONG1_00251
ko:K02536	ctrg:SOTONG1_00252
ko:K00161	ctrg:SOTONG1_00254
ko:K00162	ctrg:SOTONG1_00255
ko:K00627	ctrg:SOTONG1_00256
ko:K00688	ctrg:SOTONG1_00257
ko:K02313	ctrg:SOTONG1_00259
ko:K03217	ctrg:SOTONG1_00260
ko:K04487	ctrg:SOTONG1_00267
ko:K07083	ctrg:SOTONG1_00271
ko:K01962	ctrg:SOTONG1_00274
ko:K01448	ctrg:SOTONG1_00277
ko:K01928	ctrg:SOTONG1_00278
ko:K03587	ctrg:SOTONG1_00279
ko:K02968	ctrg:SOTONG1_00653
ko:K03980	ctrg:SOTONG1_00660
ko:K01151	ctrg:SOTONG1_00661
ko:K02986	ctrg:SOTONG1_00662
ko:K07146	ctrg:SOTONG1_00663
ko:K13789	ctrg:SOTONG1_00664
ko:K01698	ctrg:SOTONG1_00670
ko:K00346	ctrg:SOTONG1_00671
ko:K03582	ctrg:SOTONG1_00677
ko:K03583	ctrg:SOTONG1_00678
ko:K03168	ctrg:SOTONG1_00681
ko:K02221	ctrg:SOTONG1_00683
ko:K03581	ctrg:SOTONG1_00690
ko:K06861	ctrg:SOTONG1_00692
ko:K01627	ctrg:SOTONG1_00694
ko:K06180	ctrg:SOTONG1_00698
ko:K06960	ctrg:SOTONG1_00699
ko:K02469	ctrg:SOTONG1_00700
ko:K02470	ctrg:SOTONG1_00701
ko:K02492	ctrg:SOTONG1_00702
ko:K02028	ctrg:SOTONG1_00131
ko:K14220	ctrg:SOTONG1_00039
ko:K15035	ctrg:SOTONG1_00020
ko:K14222	ctrg:SOTONG1_00809
ko:K01980	ctrg:SOTONG1_00788
ko:K01980	ctrg:SOTONG1_00801
ko:K01985	ctrg:SOTONG1_00789
ko:K01985	ctrg:SOTONG1_00802
ko:K17103	ctrg:SOTONG1_00883
ko:K14233	ctrg:SOTONG1_00374
ko:K14228	ctrg:SOTONG1_00492
ko:K04084	ctrg:SOTONG1_00629
ko:K14236	ctrg:SOTONG1_00144
ko:K14227	ctrg:SOTONG1_00184
ko:K14218	ctrg:SOTONG1_00674
ko:K14230	ctrg:SOTONG1_00213
ko:K14230	ctrg:SOTONG1_00341
ko:K14235	ctrg:SOTONG1_00331
ko:K14233	ctrg:SOTONG1_00527
ko:K14231	ctrg:SOTONG1_00442
ko:K14221	ctrg:SOTONG1_00229
ko:K14233	ctrg:SOTONG1_00435
ko:K14228	ctrg:SOTONG1_00535
ko:K14228	ctrg:SOTONG1_00571
ko:K14219	ctrg:SOTONG1_00496
ko:K14219	ctrg:SOTONG1_00695
ko:K14232	ctrg:SOTONG1_00668
ko:K14229	ctrg:SOTONG1_00718
ko:K14224	ctrg:SOTONG1_00719
ko:K14226	ctrg:SOTONG1_00786
ko:K14223	ctrg:SOTONG1_00852
ko:K14218	ctrg:SOTONG1_00185
ko:K14219	ctrg:SOTONG1_00638
ko:K01977	ctrg:SOTONG1_00787
ko:K01977	ctrg:SOTONG1_00800
ko:K14234	ctrg:SOTONG1_00715
ko:K14225	ctrg:SOTONG1_00724
ko:K14228	ctrg:SOTONG1_00500
ko:K14228	ctrg:SOTONG1_00923
ko:K14232	ctrg:SOTONG1_00062
ko:K14237	ctrg:SOTONG1_00230
ko:K14230	ctrg:SOTONG1_00214
ko:K14234	ctrg:SOTONG1_00143
ko:K14234	ctrg:SOTONG1_00333
ko:K01408	ctrg:SOTONG1_00861
ko:K14225	ctrg:SOTONG1_00753
ko:K02433	ctrg:SOTONG1_00004
ko:K03471	ctrg:SOTONG1_00009
ko:K02806	ctrg:SOTONG1_00299
ko:K02806	ctrg:SOTONG1_00300
ko:K02124	ctrg:SOTONG1_00313
ko:K02123	ctrg:SOTONG1_00314
ko:K02120	ctrg:SOTONG1_00315
ko:K02118	ctrg:SOTONG1_00316
ko:K02117	ctrg:SOTONG1_00317
ko:K02121	ctrg:SOTONG1_00319
ko:K00616	ctrg:SOTONG1_00322
ko:K08483	ctrg:SOTONG1_00352
ko:K11189	ctrg:SOTONG1_00353
ko:K00784	ctrg:SOTONG1_00363
ko:K00813	ctrg:SOTONG1_00675
ko:K01934	ctrg:SOTONG1_00687
ko:K00033	ctrg:SOTONG1_00066
ko:K11707	ctrg:SOTONG1_00070
ko:K11710	ctrg:SOTONG1_00071
ko:K11708	ctrg:SOTONG1_00072
ko:K11709	ctrg:SOTONG1_00073
ko:K03177	ctrg:SOTONG1_00095
ko:K06179	ctrg:SOTONG1_00107
ko:K03856	ctrg:SOTONG1_00401
ko:K00970	ctrg:SOTONG1_00430
ko:K00970	ctrg:SOTONG1_00749
ko:K01596	ctrg:SOTONG1_00756
ko:K00972	ctrg:SOTONG1_00761
ko:K01834	ctrg:SOTONG1_00768
ko:K06910	ctrg:SOTONG1_00782
ko:K07117	ctrg:SOTONG1_00783
ko:K00939	ctrg:SOTONG1_00129
ko:K02035	ctrg:SOTONG1_00140
ko:K06889	ctrg:SOTONG1_00152
ko:K09815	ctrg:SOTONG1_00436
ko:K01719	ctrg:SOTONG1_00458
ko:K00380	ctrg:SOTONG1_00460
ko:K01885	ctrg:SOTONG1_00471
ko:K02035	ctrg:SOTONG1_00178
ko:K02049	ctrg:SOTONG1_00183
ko:K01409	ctrg:SOTONG1_00202
ko:K15582	ctrg:SOTONG1_00205
ko:K10823	ctrg:SOTONG1_00206
ko:K15583	ctrg:SOTONG1_00207
ko:K06889	ctrg:SOTONG1_00211
ko:K07098	ctrg:SOTONG1_00487
ko:K00567	ctrg:SOTONG1_00505
ko:K02033	ctrg:SOTONG1_00507
ko:K02035	ctrg:SOTONG1_00508
ko:K02030	ctrg:SOTONG1_00516
ko:K02342	ctrg:SOTONG1_00568
ko:K07258	ctrg:SOTONG1_00584
ko:K00059	ctrg:SOTONG1_00246
ko:K07052	ctrg:SOTONG1_00263
ko:K02342	ctrg:SOTONG1_00270
ko:K03227	ctrg:SOTONG1_00597
ko:K02454	ctrg:SOTONG1_00605
ko:K01262	ctrg:SOTONG1_00608
ko:K07315	ctrg:SOTONG1_00622
ko:K00241	ctrg:SOTONG1_00627
ko:K03386	ctrg:SOTONG1_00637
ko:K02428	ctrg:SOTONG1_00641
ko:K01507	ctrg:SOTONG1_00826
ko:K01082	ctrg:SOTONG1_00828
ko:K01909	ctrg:SOTONG1_00830
ko:K00652	ctrg:SOTONG1_00831
ko:K01679	ctrg:SOTONG1_00914
ko:K04763	ctrg:SOTONG1_00925
ko:K00700	ctrg:SOTONG1_00927
ko:K14237	ctrg:SOTONG1_00886
ko:K01840	ctrg:SOTONG1_00304
ko:K06972	ctrg:SOTONG1_00881
ko:K08719	ctrg:SOTONG1_00759
ko:K07081	ctrg:SOTONG1_00452
ko:K01802	ctrg:SOTONG1_00574
ko:K08275	ctrg:SOTONG1_00082
ko:K08274	ctrg:SOTONG1_00396
ko:K01921	ctrg:SOTONG1_00816
ko:K01924	ctrg:SOTONG1_00816
ko:K01829	ctrg:SOTONG1_00834
ko:K01829	ctrg:SOTONG1_00837
ko:K03309	ctrg:SOTONG1_00421
ko:K07033	ctrg:SOTONG1_00729
ko:K01214	ctrg:SOTONG1_00044
ko:K03825	ctrg:SOTONG1_00484
ko:K03496	ctrg:SOTONG1_00616
ko:K03496	ctrg:SOTONG1_p7
ko:K03111	ctrg:SOTONG1_00046
ko:K03497	ctrg:SOTONG1_00733
ko:K02626	ctrg:SOTONG1_00392
ko:K11991	ctrg:SOTONG1_00902
ko:K02031	ctrg:SOTONG1_00735
ko:K04771	ctrg:SOTONG1_00880
ko:K19411	ctrg:SOTONG1_00717
ko:K19405	ctrg:SOTONG1_00716
ko:K07125	ctrg:SOTONG1_00336
ko:K12132	ctrg:SOTONG1_00310
ko:K20265	ctrg:SOTONG1_00223
ko:K20074	ctrg:SOTONG1_00268
ko:K11749	ctrg:SOTONG1_00075
ko:K22100	ctrg:SOTONG1_00342
ko:K22099	ctrg:SOTONG1_00647
ko:K00526	ctrg:SOTONG1_00885
ko:K02335	ctrg:SOTONG1_00523
ko:K02316	ctrg:SOTONG1_00846
ko:K02314	ctrg:SOTONG1_p3
ko:K01520	ctrg:SOTONG1_00301
ko:K02314	ctrg:SOTONG1_00528
ko:K00287	ctrg:SOTONG1_00648
ko:K03553	ctrg:SOTONG1_00688
ko:K02032	ctrg:SOTONG1_00734
ko:K00525	ctrg:SOTONG1_00884
ko:K02050	ctrg:SOTONG1_00913
ko:K02051	ctrg:SOTONG1_00913
ko:K01534	ctrg:SOTONG1_00773
ko:K16239	ctrg:SOTONG1_00086
