ko:K18929	hpya:HPAKL117_00685
ko:K07126	hpya:HPAKL117_02965
ko:K03768	hpya:HPAKL117_06895
ko:K06346	hpya:HPAKL117_06945
ko:K02067	hpya:HPAKL117_07025
ko:K04093	hpya:HPAKL117_01450
ko:K03342	hpya:HPAKL117_01460
ko:K01916	hpya:HPAKL117_01630
ko:K07126	hpya:HPAKL117_01665
ko:K01674	hpya:HPAKL117_05615
ko:K02843	hpya:HPAKL117_05640
ko:K01719	hpya:HPAKL117_05790
ko:K04655	hpya:HPAKL117_00205
ko:K14048	hpya:HPAKL117_00355
ko:K04652	hpya:HPAKL117_04315
ko:K02014	hpya:HPAKL117_04380
ko:K03743	hpya:HPAKL117_04560
ko:K00970	hpya:HPAKL117_03030
ko:K01885	hpya:HPAKL117_03045
ko:K03469	hpya:HPAKL117_03135
ko:K04763	hpya:HPAKL117_03195
ko:K00567	hpya:HPAKL117_03200
ko:K13016	hpya:HPAKL117_03210
ko:K02242	hpya:HPAKL117_07070
ko:K00616	hpya:HPAKL117_07185
ko:K02014	hpya:HPAKL117_07280
ko:K01156	hpya:HPAKL117_07310
ko:K07316	hpya:HPAKL117_00235
ko:K00244	hpya:HPAKL117_00955
ko:K03593	hpya:HPAKL117_01040
ko:K01439	hpya:HPAKL117_01070
ko:K06910	hpya:HPAKL117_01100
ko:K01784	hpya:HPAKL117_05115
ko:K07126	hpya:HPAKL117_05140
ko:K00845	hpya:HPAKL117_05165
ko:K07126	hpya:HPAKL117_05235
ko:K00245	hpya:HPAKL117_00950
ko:K11085	hpya:HPAKL117_01785
ko:K01455	hpya:HPAKL117_05870
ko:K01627	hpya:HPAKL117_00015
ko:K03625	hpya:HPAKL117_00005
ko:K00794	hpya:HPAKL117_00010
ko:K01673	hpya:HPAKL117_00020
ko:K00872	hpya:HPAKL117_01935
ko:K02519	hpya:HPAKL117_01945
ko:K02834	hpya:HPAKL117_01950
ko:K09748	hpya:HPAKL117_01955
ko:K02400	hpya:HPAKL117_01975
ko:K02956	hpya:HPAKL117_01980
ko:K03786	hpya:HPAKL117_01990
ko:K00950	hpya:HPAKL117_02000
ko:K02404	hpya:HPAKL117_02005
ko:K04562	hpya:HPAKL117_02010
ko:K02405	hpya:HPAKL117_02020
ko:K02416	hpya:HPAKL117_02025
ko:K02417	hpya:HPAKL117_02030
ko:K07478	hpya:HPAKL117_02050
ko:K05516	hpya:HPAKL117_02060
ko:K12506	hpya:HPAKL117_02085
ko:K00995	hpya:HPAKL117_02100
ko:K01714	hpya:HPAKL117_02120
ko:K00937	hpya:HPAKL117_02135
ko:K01154	hpya:HPAKL117_02145
ko:K03427	hpya:HPAKL117_02150
ko:K01153	hpya:HPAKL117_02155
ko:K01695	hpya:HPAKL117_06065
ko:K01696	hpya:HPAKL117_06070
ko:K13498	hpya:HPAKL117_06075
ko:K00766	hpya:HPAKL117_06080
ko:K01657	hpya:HPAKL117_06090
ko:K03707	hpya:HPAKL117_06115
ko:K03811	hpya:HPAKL117_06120
ko:K02879	hpya:HPAKL117_06135
ko:K03040	hpya:HPAKL117_06140
ko:K02986	hpya:HPAKL117_06145
ko:K02948	hpya:HPAKL117_06150
ko:K02952	hpya:HPAKL117_06155
ko:K02919	hpya:HPAKL117_06160
ko:K02518	hpya:HPAKL117_06165
ko:K01265	hpya:HPAKL117_06170
ko:K03076	hpya:HPAKL117_06175
ko:K02876	hpya:HPAKL117_06180
ko:K02988	hpya:HPAKL117_06185
ko:K02881	hpya:HPAKL117_06190
ko:K02933	hpya:HPAKL117_06195
ko:K02994	hpya:HPAKL117_06200
ko:K02954	hpya:HPAKL117_06205
ko:K02931	hpya:HPAKL117_06210
ko:K02895	hpya:HPAKL117_06215
ko:K02874	hpya:HPAKL117_06220
ko:K02961	hpya:HPAKL117_06225
ko:K02904	hpya:HPAKL117_06230
ko:K02878	hpya:HPAKL117_06235
ko:K02982	hpya:HPAKL117_06240
ko:K02890	hpya:HPAKL117_06245
ko:K02965	hpya:HPAKL117_06250
ko:K02886	hpya:HPAKL117_06255
ko:K02892	hpya:HPAKL117_06260
ko:K02926	hpya:HPAKL117_06265
ko:K02906	hpya:HPAKL117_06270
ko:K02946	hpya:HPAKL117_06275
ko:K07133	hpya:HPAKL117_06280
ko:K03470	hpya:HPAKL117_06290
ko:K03168	hpya:HPAKL117_02230
ko:K01153	hpya:HPAKL117_02320
ko:K01153	hpya:HPAKL117_02325
ko:K08602	hpya:HPAKL117_02355
ko:K02020	hpya:HPAKL117_02370
ko:K02018	hpya:HPAKL117_02375
ko:K06207	hpya:HPAKL117_02405
ko:K03781	hpya:HPAKL117_02425
ko:K10716	hpya:HPAKL117_02450
ko:K02902	hpya:HPAKL117_02455
ko:K07787	hpya:HPAKL117_06320
ko:K03686	hpya:HPAKL117_06335
ko:K00566	hpya:HPAKL117_06345
ko:K00969	hpya:HPAKL117_06355
ko:K07722	hpya:HPAKL117_06360
ko:K03561	hpya:HPAKL117_06365
ko:K03832	hpya:HPAKL117_06375
ko:K03284	hpya:HPAKL117_06395
ko:K00927	hpya:HPAKL117_06400
ko:K00134	hpya:HPAKL117_06405
ko:K03648	hpya:HPAKL117_06410
ko:K00655	hpya:HPAKL117_06415
ko:K03797	hpya:HPAKL117_06425
ko:K00767	hpya:HPAKL117_06455
ko:K03517	hpya:HPAKL117_06460
ko:K01613	hpya:HPAKL117_06465
ko:K03179	hpya:HPAKL117_06480
ko:K03570	hpya:HPAKL117_06545
ko:K03569	hpya:HPAKL117_06550
ko:K03544	hpya:HPAKL117_06555
ko:K00677	hpya:HPAKL117_06560
ko:K02372	hpya:HPAKL117_06565
ko:K15846	hpya:HPAKL117_02465
ko:K01000	hpya:HPAKL117_02470
ko:K01925	hpya:HPAKL117_02475
ko:K07107	hpya:HPAKL117_02485
ko:K03308	hpya:HPAKL117_02490
ko:K03308	hpya:HPAKL117_02495
ko:K01058	hpya:HPAKL117_02500
ko:K02338	hpya:HPAKL117_02505
ko:K02470	hpya:HPAKL117_02510
ko:K00215	hpya:HPAKL117_02545
ko:K01915	hpya:HPAKL117_02555
ko:K02939	hpya:HPAKL117_02565
ko:K01419	hpya:HPAKL117_02570
ko:K03667	hpya:HPAKL117_02575
ko:K01776	hpya:HPAKL117_02595
ko:K03628	hpya:HPAKL117_02600
ko:K02909	hpya:HPAKL117_02605
ko:K07056	hpya:HPAKL117_02610
ko:K03218	hpya:HPAKL117_02615
ko:K01962	hpya:HPAKL117_02630
ko:K09458	hpya:HPAKL117_02635
ko:K02078	hpya:HPAKL117_02640
ko:K02970	hpya:HPAKL117_02650
ko:K01778	hpya:HPAKL117_02670
ko:K06942	hpya:HPAKL117_02685
ko:K01255	hpya:HPAKL117_02690
ko:K00759	hpya:HPAKL117_02700
ko:K01808	hpya:HPAKL117_02710
ko:K13626	hpya:HPAKL117_06570
ko:K05807	hpya:HPAKL117_06580
ko:K01338	hpya:HPAKL117_06585
ko:K01173	hpya:HPAKL117_06595
ko:K03168	hpya:HPAKL117_06700
ko:K09457	hpya:HPAKL117_06755
ko:K09710	hpya:HPAKL117_06760
ko:K00791	hpya:HPAKL117_06765
ko:K00075	hpya:HPAKL117_06785
ko:K02420	hpya:HPAKL117_06790
ko:K02412	hpya:HPAKL117_06795
ko:K01870	hpya:HPAKL117_06805
ko:K03100	hpya:HPAKL117_02720
ko:K01491	hpya:HPAKL117_02725
ko:K01465	hpya:HPAKL117_02745
ko:K02417	hpya:HPAKL117_02760
ko:K10773	hpya:HPAKL117_02765
ko:K07082	hpya:HPAKL117_02780
ko:K00176	hpya:HPAKL117_02785
ko:K00174	hpya:HPAKL117_02790
ko:K00175	hpya:HPAKL117_02795
ko:K00177	hpya:HPAKL117_02800
ko:K03611	hpya:HPAKL117_02810
ko:K02406	hpya:HPAKL117_02840
ko:K01599	hpya:HPAKL117_02855
ko:K01972	hpya:HPAKL117_02900
ko:K03415	hpya:HPAKL117_02905
ko:K01876	hpya:HPAKL117_02910
ko:K07270	hpya:HPAKL117_02925
ko:K07456	hpya:HPAKL117_02935
ko:K01924	hpya:HPAKL117_02945
ko:K06941	hpya:HPAKL117_06825
ko:K06041	hpya:HPAKL117_06830
ko:K02528	hpya:HPAKL117_06840
ko:K01154	hpya:HPAKL117_06850
ko:K01433	hpya:HPAKL117_06855
ko:K04773	hpya:HPAKL117_06860
ko:K03563	hpya:HPAKL117_06900
ko:K00919	hpya:HPAKL117_06905
ko:K03664	hpya:HPAKL117_06910
ko:K03561	hpya:HPAKL117_06915
ko:K02914	hpya:HPAKL117_06925
ko:K03536	hpya:HPAKL117_06930
ko:K03217	hpya:HPAKL117_06940
ko:K09859	hpya:HPAKL117_00080
ko:K03415	hpya:HPAKL117_00085
ko:K13747	hpya:HPAKL117_00090
ko:K03760	hpya:HPAKL117_00100
ko:K01647	hpya:HPAKL117_00110
ko:K00031	hpya:HPAKL117_00115
ko:K01935	hpya:HPAKL117_00125
ko:K06891	hpya:HPAKL117_00140
ko:K03694	hpya:HPAKL117_00145
ko:K01579	hpya:HPAKL117_00150
ko:K09747	hpya:HPAKL117_00155
ko:K01711	hpya:HPAKL117_00195
ko:K02377	hpya:HPAKL117_00200
ko:K04656	hpya:HPAKL117_00210
ko:K13821	hpya:HPAKL117_00255
ko:K03190	hpya:HPAKL117_00325
ko:K03189	hpya:HPAKL117_00330
ko:K03188	hpya:HPAKL117_00335
ko:K03187	hpya:HPAKL117_00340
ko:K01428	hpya:HPAKL117_00350
ko:K00925	hpya:HPAKL117_04325
ko:K13788	hpya:HPAKL117_04330
ko:K02389	hpya:HPAKL117_04340
ko:K02390	hpya:HPAKL117_04345
ko:K03657	hpya:HPAKL117_04355
ko:K15843	hpya:HPAKL117_04365
ko:K15844	hpya:HPAKL117_04370
ko:K01955	hpya:HPAKL117_04390
ko:K00134	hpya:HPAKL117_04400
ko:K01821	hpya:HPAKL117_04415
ko:K06187	hpya:HPAKL117_04420
ko:K06176	hpya:HPAKL117_04425
ko:K03799	hpya:HPAKL117_04430
ko:K01495	hpya:HPAKL117_04435
ko:K00795	hpya:HPAKL117_04440
ko:K03787	hpya:HPAKL117_04445
ko:K01737	hpya:HPAKL117_04455
ko:K10009	hpya:HPAKL117_04495
ko:K02424	hpya:HPAKL117_04500
ko:K01775	hpya:HPAKL117_04505
ko:K03310	hpya:HPAKL117_04510
ko:K00285	hpya:HPAKL117_04515
ko:K00783	hpya:HPAKL117_04545
ko:K01963	hpya:HPAKL117_04550
ko:K03650	hpya:HPAKL117_06950
ko:K07337	hpya:HPAKL117_06985
ko:K06178	hpya:HPAKL117_06995
ko:K02337	hpya:HPAKL117_07000
ko:K00428	hpya:HPAKL117_07005
ko:K02065	hpya:HPAKL117_07030
ko:K02066	hpya:HPAKL117_07035
ko:K00826	hpya:HPAKL117_07045
ko:K03923	hpya:HPAKL117_02975
ko:K03620	hpya:HPAKL117_02990
ko:K06920	hpya:HPAKL117_03025
ko:K02221	hpya:HPAKL117_03050
ko:K08309	hpya:HPAKL117_03055
ko:K00963	hpya:HPAKL117_03060
ko:K00790	hpya:HPAKL117_03070
ko:K01744	hpya:HPAKL117_03075
ko:K01079	hpya:HPAKL117_03090
ko:K02217	hpya:HPAKL117_03095
ko:K07277	hpya:HPAKL117_03105
ko:K02434	hpya:HPAKL117_03120
ko:K03685	hpya:HPAKL117_03140
ko:K01736	hpya:HPAKL117_03145
ko:K11473	hpya:HPAKL117_03160
ko:K00812	hpya:HPAKL117_03185
ko:K07090	hpya:HPAKL117_03205
ko:K04042	hpya:HPAKL117_03230
ko:K00943	hpya:HPAKL117_07075
ko:K00954	hpya:HPAKL117_07080
ko:K03186	hpya:HPAKL117_07085
ko:K02386	hpya:HPAKL117_07095
ko:K03657	hpya:HPAKL117_07100
ko:K01875	hpya:HPAKL117_07110
ko:K03602	hpya:HPAKL117_07120
ko:K03183	hpya:HPAKL117_07125
ko:K08973	hpya:HPAKL117_07130
ko:K01993	hpya:HPAKL117_07150
ko:K03306	hpya:HPAKL117_07165
ko:K01928	hpya:HPAKL117_07180
ko:K02897	hpya:HPAKL117_07190
ko:K01056	hpya:HPAKL117_07195
ko:K11720	hpya:HPAKL117_07200
ko:K09943	hpya:HPAKL117_07230
ko:K11752	hpya:HPAKL117_07245
ko:K03312	hpya:HPAKL117_07250
ko:K08591	hpya:HPAKL117_07265
ko:K01633	hpya:HPAKL117_07270
ko:K01042	hpya:HPAKL117_07285
ko:K02600	hpya:HPAKL117_07290
ko:K03655	hpya:HPAKL117_07315
ko:K01142	hpya:HPAKL117_07330
ko:K03101	hpya:HPAKL117_00360
ko:K03431	hpya:HPAKL117_00365
ko:K02968	hpya:HPAKL117_00370
ko:K02835	hpya:HPAKL117_00375
ko:K02996	hpya:HPAKL117_00400
ko:K02871	hpya:HPAKL117_00405
ko:K00116	hpya:HPAKL117_00415
ko:K03086	hpya:HPAKL117_00425
ko:K00645	hpya:HPAKL117_00435
ko:K09805	hpya:HPAKL117_00440
ko:K01733	hpya:HPAKL117_00475
ko:K09765	hpya:HPAKL117_00485
ko:K07173	hpya:HPAKL117_00510
ko:K04043	hpya:HPAKL117_00535
ko:K03687	hpya:HPAKL117_00540
ko:K03705	hpya:HPAKL117_00545
ko:K01628	hpya:HPAKL117_00550
ko:K02406	hpya:HPAKL117_00565
ko:K03168	hpya:HPAKL117_00570
ko:K01868	hpya:HPAKL117_00595
ko:K02520	hpya:HPAKL117_00600
ko:K02916	hpya:HPAKL117_00605
ko:K02887	hpya:HPAKL117_00610
ko:K13292	hpya:HPAKL117_04575
ko:K02527	hpya:HPAKL117_04585
ko:K07164	hpya:HPAKL117_04590
ko:K01878	hpya:HPAKL117_04600
ko:K00057	hpya:HPAKL117_04605
ko:K15726	hpya:HPAKL117_04635
ko:K01879	hpya:HPAKL117_04650
ko:K15633	hpya:HPAKL117_04660
ko:K02435	hpya:HPAKL117_04665
ko:K00833	hpya:HPAKL117_04670
ko:K03770	hpya:HPAKL117_04675
ko:K03590	hpya:HPAKL117_04680
ko:K03531	hpya:HPAKL117_04685
ko:K02419	hpya:HPAKL117_03240
ko:K16091	hpya:HPAKL117_03245
ko:K04759	hpya:HPAKL117_03250
ko:K07501	hpya:HPAKL117_03255
ko:K01028	hpya:HPAKL117_03265
ko:K01029	hpya:HPAKL117_03270
ko:K02106	hpya:HPAKL117_03280
ko:K10856	hpya:HPAKL117_03300
ko:K00901	hpya:HPAKL117_03310
ko:K02469	hpya:HPAKL117_03315
ko:K03701	hpya:HPAKL117_03335
ko:K03438	hpya:HPAKL117_03345
ko:K07023	hpya:HPAKL117_03360
ko:K03092	hpya:HPAKL117_03370
ko:K06861	hpya:HPAKL117_03375
ko:K06925	hpya:HPAKL117_03380
ko:K02343	hpya:HPAKL117_03385
ko:K06895	hpya:HPAKL117_03390
ko:K01752	hpya:HPAKL117_00640
ko:K03837	hpya:HPAKL117_00645
ko:K01626	hpya:HPAKL117_00655
ko:K03564	hpya:HPAKL117_00675
ko:K00782	hpya:HPAKL117_00680
ko:K03303	hpya:HPAKL117_00695
ko:K03303	hpya:HPAKL117_00700
ko:K03575	hpya:HPAKL117_00705
ko:K00404	hpya:HPAKL117_00715
ko:K00405	hpya:HPAKL117_00720
ko:K00407	hpya:HPAKL117_00725
ko:K00406	hpya:HPAKL117_00730
ko:K01689	hpya:HPAKL117_00770
ko:K00891	hpya:HPAKL117_00785
ko:K01698	hpya:HPAKL117_00815
ko:K08303	hpya:HPAKL117_00840
ko:K02836	hpya:HPAKL117_00850
ko:K03750	hpya:HPAKL117_00855
ko:K02421	hpya:HPAKL117_00860
ko:K01624	hpya:HPAKL117_00880
ko:K02356	hpya:HPAKL117_00885
ko:K15257	hpya:HPAKL117_04840
ko:K01772	hpya:HPAKL117_04845
ko:K01874	hpya:HPAKL117_04850
ko:K00574	hpya:HPAKL117_04855
ko:K16052	hpya:HPAKL117_04860
ko:K15846	hpya:HPAKL117_04870
ko:K01951	hpya:HPAKL117_04875
ko:K02503	hpya:HPAKL117_04900
ko:K01889	hpya:HPAKL117_04905
ko:K01890	hpya:HPAKL117_04910
ko:K00800	hpya:HPAKL117_04915
ko:K03527	hpya:HPAKL117_04920
ko:K02945	hpya:HPAKL117_04925
ko:K03182	hpya:HPAKL117_04940
ko:K06997	hpya:HPAKL117_04945
ko:K03269	hpya:HPAKL117_04950
ko:K03415	hpya:HPAKL117_04955
ko:K03407	hpya:HPAKL117_04960
ko:K03408	hpya:HPAKL117_04965
ko:K11065	hpya:HPAKL117_04970
ko:K04564	hpya:HPAKL117_04975
ko:K15256	hpya:HPAKL117_04980
ko:K04066	hpya:HPAKL117_04985
ko:K02493	hpya:HPAKL117_05015
ko:K00262	hpya:HPAKL117_05020
ko:K01772	hpya:HPAKL117_05040
ko:K09761	hpya:HPAKL117_05050
ko:K01494	hpya:HPAKL117_05060
ko:K07791	hpya:HPAKL117_03415
ko:K04075	hpya:HPAKL117_03440
ko:K01095	hpya:HPAKL117_03490
ko:K01921	hpya:HPAKL117_03495
ko:K01929	hpya:HPAKL117_03505
ko:K00948	hpya:HPAKL117_03520
ko:K02313	hpya:HPAKL117_07340
ko:K00820	hpya:HPAKL117_07355
ko:K01154	hpya:HPAKL117_07370
ko:K03427	hpya:HPAKL117_07375
ko:K01153	hpya:HPAKL117_07385
ko:K07043	hpya:HPAKL117_07390
ko:K16091	hpya:HPAKL117_07395
ko:K01476	hpya:HPAKL117_07400
ko:K00259	hpya:HPAKL117_07410
ko:K00858	hpya:HPAKL117_07425
ko:K03631	hpya:HPAKL117_07430
ko:K03841	hpya:HPAKL117_07475
ko:K01783	hpya:HPAKL117_07480
ko:K07058	hpya:HPAKL117_07525
ko:K01012	hpya:HPAKL117_07530
ko:K02357	hpya:HPAKL117_07555
ko:K02967	hpya:HPAKL117_07560
ko:K03313	hpya:HPAKL117_07570
ko:K03210	hpya:HPAKL117_07575
ko:K03072	hpya:HPAKL117_07580
ko:K03074	hpya:HPAKL117_07585
ko:K05837	hpya:HPAKL117_03525
ko:K06180	hpya:HPAKL117_03540
ko:K03439	hpya:HPAKL117_03550
ko:K09812	hpya:HPAKL117_03555
ko:K09811	hpya:HPAKL117_03560
ko:K02407	hpya:HPAKL117_03575
ko:K02422	hpya:HPAKL117_03580
ko:K12251	hpya:HPAKL117_03600
ko:K07084	hpya:HPAKL117_03610
ko:K03110	hpya:HPAKL117_03635
ko:K06940	hpya:HPAKL117_03640
ko:K03639	hpya:HPAKL117_03660
ko:K03752	hpya:HPAKL117_03665
ko:K02401	hpya:HPAKL117_03670
ko:K01448	hpya:HPAKL117_03680
ko:K00459	hpya:HPAKL117_03685
ko:K01866	hpya:HPAKL117_03690
ko:K03060	hpya:HPAKL117_03700
ko:K09903	hpya:HPAKL117_03705
ko:K01682	hpya:HPAKL117_03715
ko:K03634	hpya:HPAKL117_03740
ko:K03070	hpya:HPAKL117_03745
ko:K01154	hpya:HPAKL117_03765
ko:K01534	hpya:HPAKL117_03770
ko:K07391	hpya:HPAKL117_03775
ko:K01462	hpya:HPAKL117_03780
ko:K01358	hpya:HPAKL117_03785
ko:K03545	hpya:HPAKL117_03790
ko:K15846	hpya:HPAKL117_03800
ko:K01869	hpya:HPAKL117_07595
ko:K11754	hpya:HPAKL117_07605
ko:K03723	hpya:HPAKL117_07625
ko:K00411	hpya:HPAKL117_07630
ko:K00412	hpya:HPAKL117_07635
ko:K00413	hpya:HPAKL117_07640
ko:K03587	hpya:HPAKL117_07650
ko:K02408	hpya:HPAKL117_07655
ko:K02388	hpya:HPAKL117_07660
ko:K02387	hpya:HPAKL117_07665
ko:K03588	hpya:HPAKL117_07670
ko:K02016	hpya:HPAKL117_07675
ko:K02073	hpya:HPAKL117_07685
ko:K05515	hpya:HPAKL117_07690
ko:K03978	hpya:HPAKL117_07700
ko:K09774	hpya:HPAKL117_07705
ko:K03270	hpya:HPAKL117_07715
ko:K03642	hpya:HPAKL117_07720
ko:K08307	hpya:HPAKL117_07725
ko:K03424	hpya:HPAKL117_07730
ko:K00793	hpya:HPAKL117_07735
ko:K04061	hpya:HPAKL117_07740
ko:K02071	hpya:HPAKL117_07745
ko:K02072	hpya:HPAKL117_07750
ko:K03474	hpya:HPAKL117_07775
ko:K00097	hpya:HPAKL117_07780
ko:K02392	hpya:HPAKL117_07790
ko:K09136	hpya:HPAKL117_07919
ko:K03820	hpya:HPAKL117_00900
ko:K03558	hpya:HPAKL117_00905
ko:K04567	hpya:HPAKL117_00910
ko:K00600	hpya:HPAKL117_00915
ko:K00246	hpya:HPAKL117_00960
ko:K01803	hpya:HPAKL117_00965
ko:K00208	hpya:HPAKL117_00970
ko:K02536	hpya:HPAKL117_00975
ko:K00789	hpya:HPAKL117_00980
ko:K00940	hpya:HPAKL117_00985
ko:K02911	hpya:HPAKL117_00995
ko:K03621	hpya:HPAKL117_01000
ko:K00648	hpya:HPAKL117_01005
ko:K04079	hpya:HPAKL117_01060
ko:K03495	hpya:HPAKL117_01075
ko:K14445	hpya:HPAKL117_01080
ko:K00981	hpya:HPAKL117_01085
ko:K00099	hpya:HPAKL117_01090
ko:K04487	hpya:HPAKL117_01110
ko:K13819	hpya:HPAKL117_01115
ko:K04485	hpya:HPAKL117_01125
ko:K12267	hpya:HPAKL117_01130
ko:K07090	hpya:HPAKL117_01135
ko:K03321	hpya:HPAKL117_01145
ko:K02160	hpya:HPAKL117_05065
ko:K01961	hpya:HPAKL117_05070
ko:K00573	hpya:HPAKL117_05100
ko:K07091	hpya:HPAKL117_05105
ko:K06173	hpya:HPAKL117_05110
ko:K01625	hpya:HPAKL117_05145
ko:K01690	hpya:HPAKL117_05150
ko:K00036	hpya:HPAKL117_05155
ko:K01057	hpya:HPAKL117_05160
ko:K13979	hpya:HPAKL117_05170
ko:K00172	hpya:HPAKL117_05190
ko:K00171	hpya:HPAKL117_05195
ko:K00169	hpya:HPAKL117_05200
ko:K00170	hpya:HPAKL117_05205
ko:K01756	hpya:HPAKL117_05210
ko:K03702	hpya:HPAKL117_05220
ko:K02396	hpya:HPAKL117_05250
ko:K03775	hpya:HPAKL117_05285
ko:K03640	hpya:HPAKL117_05295
ko:K03641	hpya:HPAKL117_05300
ko:K03637	hpya:HPAKL117_03805
ko:K03831	hpya:HPAKL117_03810
ko:K03636	hpya:HPAKL117_03820
ko:K14652	hpya:HPAKL117_03835
ko:K07270	hpya:HPAKL117_03840
ko:K07043	hpya:HPAKL117_03845
ko:K00997	hpya:HPAKL117_03850
ko:K02415	hpya:HPAKL117_03855
ko:K02556	hpya:HPAKL117_03885
ko:K02557	hpya:HPAKL117_03890
ko:K05847	hpya:HPAKL117_03920
ko:K03703	hpya:HPAKL117_03935
ko:K00003	hpya:HPAKL117_03940
ko:K07460	hpya:HPAKL117_03945
ko:K03671	hpya:HPAKL117_03950
ko:K00384	hpya:HPAKL117_03955
ko:K07270	hpya:HPAKL117_03960
ko:K02108	hpya:HPAKL117_03970
ko:K00859	hpya:HPAKL117_03985
ko:K00797	hpya:HPAKL117_03990
ko:K03977	hpya:HPAKL117_04000
ko:K03530	hpya:HPAKL117_04005
ko:K09860	hpya:HPAKL117_04015
ko:K15894	hpya:HPAKL117_04030
ko:K13038	hpya:HPAKL117_04035
ko:K00788	hpya:HPAKL117_04045
ko:K00941	hpya:HPAKL117_04050
ko:K00979	hpya:HPAKL117_01155
ko:K03981	hpya:HPAKL117_01160
ko:K01749	hpya:HPAKL117_01190
ko:K01881	hpya:HPAKL117_01195
ko:K02492	hpya:HPAKL117_01200
ko:K02523	hpya:HPAKL117_01205
ko:K04047	hpya:HPAKL117_01220
ko:K07710	hpya:HPAKL117_01225
ko:K02394	hpya:HPAKL117_01235
ko:K05592	hpya:HPAKL117_01240
ko:K13896	hpya:HPAKL117_01255
ko:K13895	hpya:HPAKL117_01260
ko:K01939	hpya:HPAKL117_01280
ko:K11749	hpya:HPAKL117_01295
ko:K03601	hpya:HPAKL117_01300
ko:K03695	hpya:HPAKL117_01315
ko:K01465	hpya:HPAKL117_01325
ko:K06168	hpya:HPAKL117_01340
ko:K09778	hpya:HPAKL117_01345
ko:K06940	hpya:HPAKL117_01365
ko:K01609	hpya:HPAKL117_01375
ko:K01524	hpya:HPAKL117_01385
ko:K02841	hpya:HPAKL117_01390
ko:K02517	hpya:HPAKL117_01395
ko:K00773	hpya:HPAKL117_01400
ko:K09944	hpya:HPAKL117_01405
ko:K01735	hpya:HPAKL117_01410
ko:K02114	hpya:HPAKL117_05320
ko:K02112	hpya:HPAKL117_05325
ko:K02115	hpya:HPAKL117_05330
ko:K02111	hpya:HPAKL117_05335
ko:K02113	hpya:HPAKL117_05340
ko:K02109	hpya:HPAKL117_05345
ko:K02109	hpya:HPAKL117_05350
ko:K03524	hpya:HPAKL117_05365
ko:K00604	hpya:HPAKL117_05370
ko:K02884	hpya:HPAKL117_05395
ko:K00554	hpya:HPAKL117_05400
ko:K02860	hpya:HPAKL117_05405
ko:K06960	hpya:HPAKL117_05410
ko:K02959	hpya:HPAKL117_05415
ko:K03106	hpya:HPAKL117_05420
ko:K01873	hpya:HPAKL117_05425
ko:K02563	hpya:HPAKL117_05435
ko:K00286	hpya:HPAKL117_05450
ko:K07042	hpya:HPAKL117_05480
