ko:K18929	cjej:N564_00068
ko:K02014	cjej:N564_01601
ko:K01959	cjej:N564_01004
ko:K03148	cjej:N564_01013
ko:K01439	cjej:N564_01015
ko:K01092	cjej:N564_00121
ko:K04517	cjej:N564_00123
ko:K09815	cjej:N564_00136
ko:K02004	cjej:N564_00912
ko:K03406	cjej:N564_00923
ko:K06346	cjej:N564_00928
ko:K01270	cjej:N564_00947
ko:K02030	cjej:N564_00949
ko:K02433	cjej:N564_01027
ko:K01719	cjej:N564_01048
ko:K07457	cjej:N564_01051
ko:K00088	cjej:N564_01026
ko:K03386	cjej:N564_00318
ko:K02843	cjej:N564_01112
ko:K08738	cjej:N564_01117
ko:K09981	cjej:N564_01126
ko:K00016	cjej:N564_01129
ko:K03768	cjej:N564_01133
ko:K01262	cjej:N564_00640
ko:K07792	cjej:N564_00655
ko:K07031	cjej:N564_01422
ko:K01854	cjej:N564_01433
ko:K06013	cjej:N564_00707
ko:K02055	cjej:N564_00711
ko:K02030	cjej:N564_00719
ko:K01585	cjej:N564_00743
ko:K02454	cjej:N564_01463
ko:K03286	cjej:N564_01470
ko:K03406	cjej:N564_01500
ko:K00127	cjej:N564_01503
ko:K00124	cjej:N564_01504
ko:K03635	cjej:N564_01512
ko:K06603	cjej:N564_00533
ko:K15896	cjej:N564_01331
ko:K15898	cjej:N564_01335
ko:K01409	cjej:N564_01340
ko:K03498	cjej:N564_01301
ko:K03499	cjej:N564_01302
ko:K01885	cjej:N564_01306
ko:K03406	cjej:N564_00018
ko:K01424	cjej:N564_00028
ko:K00058	cjej:N564_00860
ko:K02028	cjej:N564_00870
ko:K10041	cjej:N564_00889
ko:K00575	cjej:N564_00890
ko:K03469	cjej:N564_01627
ko:K02067	cjej:N564_01639
ko:K02004	cjej:N564_01651
ko:K02004	cjej:N564_01652
ko:K07216	cjej:N564_00065
ko:K07216	cjej:N564_00066
ko:K14228	cjej:N564_01659
ko:K03978	cjej:N564_00637
ko:K05515	cjej:N564_00639
ko:K03305	cjej:N564_00641
ko:K03667	cjej:N564_00647
ko:K01419	cjej:N564_00648
ko:K02939	cjej:N564_00649
ko:K01940	cjej:N564_00650
ko:K06925	cjej:N564_00652
ko:K06861	cjej:N564_00653
ko:K03092	cjej:N564_00654
ko:K01547	cjej:N564_00659
ko:K07646	cjej:N564_00661
ko:K03702	cjej:N564_00662
ko:K02456	cjej:N564_00665
ko:K04066	cjej:N564_00666
ko:K02393	cjej:N564_00670
ko:K00925	cjej:N564_00672
ko:K03438	cjej:N564_00677
ko:K03770	cjej:N564_00678
ko:K03590	cjej:N564_00679
ko:K03531	cjej:N564_00680
ko:K02392	cjej:N564_00681
ko:K02392	cjej:N564_00682
ko:K01915	cjej:N564_00683
ko:K08303	cjej:N564_00685
ko:K01588	cjej:N564_00686
ko:K01878	cjej:N564_00688
ko:K00860	cjej:N564_01412
ko:K07010	cjej:N564_01414
ko:K03271	cjej:N564_01421
ko:K02377	cjej:N564_01426
ko:K01790	cjej:N564_01429
ko:K00012	cjej:N564_01435
ko:K06041	cjej:N564_01437
ko:K10107	cjej:N564_01439
ko:K09689	cjej:N564_01440
ko:K09688	cjej:N564_01441
ko:K09979	cjej:N564_01442
ko:K04075	cjej:N564_01446
ko:K02836	cjej:N564_01448
ko:K06176	cjej:N564_01450
ko:K00946	cjej:N564_01451
ko:K02394	cjej:N564_01455
ko:K02396	cjej:N564_01459
ko:K07090	cjej:N564_01461
ko:K02455	cjej:N564_01462
ko:K02420	cjej:N564_01670
ko:K00075	cjej:N564_01671
ko:K01647	cjej:N564_01675
ko:K01012	cjej:N564_01677
ko:K03168	cjej:N564_01678
ko:K03076	cjej:N564_01681
ko:K02876	cjej:N564_01682
ko:K02988	cjej:N564_01683
ko:K02881	cjej:N564_01684
ko:K02933	cjej:N564_01685
ko:K02994	cjej:N564_01686
ko:K02954	cjej:N564_01687
ko:K02931	cjej:N564_01688
ko:K02895	cjej:N564_01689
ko:K02874	cjej:N564_01690
ko:K02961	cjej:N564_01691
ko:K02904	cjej:N564_01692
ko:K02878	cjej:N564_01693
ko:K02982	cjej:N564_01694
ko:K02890	cjej:N564_01695
ko:K02965	cjej:N564_01696
ko:K02886	cjej:N564_01697
ko:K02892	cjej:N564_01698
ko:K02926	cjej:N564_01699
ko:K02906	cjej:N564_01700
ko:K02946	cjej:N564_01701
ko:K06178	cjej:N564_01702
ko:K02528	cjej:N564_01704
ko:K06941	cjej:N564_01706
ko:K01704	cjej:N564_01712
ko:K01703	cjej:N564_01713
ko:K00052	cjej:N564_01714
ko:K01649	cjej:N564_01715
ko:K09457	cjej:N564_01720
ko:K00648	cjej:N564_00312
ko:K03621	cjej:N564_00313
ko:K02911	cjej:N564_00314
ko:K00940	cjej:N564_00316
ko:K02401	cjej:N564_00319
ko:K02557	cjej:N564_00320
ko:K02556	cjej:N564_00321
ko:K03701	cjej:N564_00326
ko:K07090	cjej:N564_00327
ko:K01657	cjej:N564_00329
ko:K13497	cjej:N564_00330
ko:K01817	cjej:N564_00331
ko:K01696	cjej:N564_00332
ko:K01695	cjej:N564_00333
ko:K02417	cjej:N564_00335
ko:K01524	cjej:N564_00337
ko:K01633	cjej:N564_00340
ko:K08591	cjej:N564_00341
ko:K00428	cjej:N564_00342
ko:K03431	cjej:N564_00343
ko:K03101	cjej:N564_00344
ko:K08973	cjej:N564_00345
ko:K03585	cjej:N564_00350
ko:K02970	cjej:N564_00353
ko:K09767	cjej:N564_00357
ko:K17247	cjej:N564_00361
ko:K01591	cjej:N564_00364
ko:K02517	cjej:N564_01102
ko:K03271	cjej:N564_01113
ko:K03272	cjej:N564_01114
ko:K03274	cjej:N564_01115
ko:K03273	cjej:N564_01116
ko:K03628	cjej:N564_01120
ko:K02343	cjej:N564_01121
ko:K00316	cjej:N564_01122
ko:K16264	cjej:N564_01125
ko:K11743	cjej:N564_01135
ko:K11742	cjej:N564_01136
ko:K01887	cjej:N564_01137
ko:K03116	cjej:N564_01138
ko:K00942	cjej:N564_01139
ko:K02421	cjej:N564_01142
ko:K02003	cjej:N564_01143
ko:K02357	cjej:N564_01144
ko:K02967	cjej:N564_01145
ko:K00574	cjej:N564_01146
ko:K00413	cjej:N564_01147
ko:K00412	cjej:N564_01148
ko:K00411	cjej:N564_01149
ko:K03893	cjej:N564_01150
ko:K14219	cjej:N564_00978
ko:K07164	cjej:N564_00690
ko:K02527	cjej:N564_00691
ko:K06180	cjej:N564_00692
ko:K03106	cjej:N564_00693
ko:K02959	cjej:N564_00694
ko:K06960	cjej:N564_00695
ko:K02860	cjej:N564_00696
ko:K00554	cjej:N564_00697
ko:K02884	cjej:N564_00698
ko:K07127	cjej:N564_00699
ko:K01626	cjej:N564_00700
ko:K02337	cjej:N564_00702
ko:K06997	cjej:N564_00703
ko:K02406	cjej:N564_00704
ko:K02493	cjej:N564_00706
ko:K03831	cjej:N564_00709
ko:K03284	cjej:N564_00710
ko:K02054	cjej:N564_00714
ko:K02053	cjej:N564_00715
ko:K03832	cjej:N564_00733
ko:K16089	cjej:N564_00735
ko:K03705	cjej:N564_00736
ko:K03687	cjej:N564_00737
ko:K04043	cjej:N564_00738
ko:K00812	cjej:N564_00741
ko:K00640	cjej:N564_00742
ko:K01714	cjej:N564_01465
ko:K02453	cjej:N564_01466
ko:K03737	cjej:N564_01468
ko:K01091	cjej:N564_01469
ko:K02996	cjej:N564_01471
ko:K02871	cjej:N564_01472
ko:K03582	cjej:N564_01473
ko:K00406	cjej:N564_01479
ko:K00407	cjej:N564_01480
ko:K00405	cjej:N564_01481
ko:K00404	cjej:N564_01482
ko:K09792	cjej:N564_01486
ko:K01956	cjej:N564_01487
ko:K09804	cjej:N564_01488
ko:K01939	cjej:N564_01491
ko:K07112	cjej:N564_01494
ko:K13821	cjej:N564_01497
ko:K01008	cjej:N564_01498
ko:K02379	cjej:N564_01502
ko:K00123	cjej:N564_01505
ko:K00123	cjej:N564_01506
ko:K13747	cjej:N564_01509
ko:K03636	cjej:N564_01511
ko:K03625	cjej:N564_00365
ko:K00794	cjej:N564_00366
ko:K01627	cjej:N564_00367
ko:K03977	cjej:N564_00369
ko:K00891	cjej:N564_00370
ko:K01867	cjej:N564_00371
ko:K01875	cjej:N564_00372
ko:K00873	cjej:N564_00375
ko:K00116	cjej:N564_00376
ko:K03525	cjej:N564_00377
ko:K02435	cjej:N564_00381
ko:K03558	cjej:N564_00382
ko:K04567	cjej:N564_00384
ko:K01892	cjej:N564_00744
ko:K00943	cjej:N564_00745
ko:K00954	cjej:N564_00746
ko:K03186	cjej:N564_00747
ko:K02386	cjej:N564_00748
ko:K02073	cjej:N564_00751
ko:K02072	cjej:N564_00752
ko:K02071	cjej:N564_00753
ko:K01873	cjej:N564_00754
ko:K03657	cjej:N564_00756
ko:K11065	cjej:N564_00758
ko:K02567	cjej:N564_00759
ko:K02573	cjej:N564_00760
ko:K02568	cjej:N564_00762
ko:K03832	cjej:N564_00104
ko:K03641	cjej:N564_00105
ko:K03640	cjej:N564_00106
ko:K03775	cjej:N564_00108
ko:K00645	cjej:N564_00109
ko:K07042	cjej:N564_00114
ko:K06204	cjej:N564_00118
ko:K00783	cjej:N564_00119
ko:K01963	cjej:N564_00120
ko:K07277	cjej:N564_00122
ko:K02535	cjej:N564_00125
ko:K00872	cjej:N564_00127
ko:K02519	cjej:N564_00129
ko:K02834	cjej:N564_00130
ko:K09748	cjej:N564_00131
ko:K09816	cjej:N564_00134
ko:K09817	cjej:N564_00135
ko:K07093	cjej:N564_00137
ko:K00384	cjej:N564_00138
ko:K03671	cjej:N564_00139
ko:K07460	cjej:N564_00140
ko:K00003	cjej:N564_00141
ko:K14261	cjej:N564_00142
ko:K03218	cjej:N564_00145
ko:K07056	cjej:N564_00146
ko:K02909	cjej:N564_00147
ko:K09761	cjej:N564_00148
ko:K01737	cjej:N564_00151
ko:K03639	cjej:N564_00153
ko:K01255	cjej:N564_00896
ko:K06942	cjej:N564_00897
ko:K01755	cjej:N564_00898
ko:K01610	cjej:N564_00899
ko:K01960	cjej:N564_00900
ko:K03308	cjej:N564_00901
ko:K03308	cjej:N564_00902
ko:K02110	cjej:N564_00903
ko:K07088	cjej:N564_00905
ko:K05939	cjej:N564_00906
ko:K02029	cjej:N564_00911
ko:K03070	cjej:N564_00913
ko:K03634	cjej:N564_00914
ko:K12251	cjej:N564_00918
ko:K00602	cjej:N564_00924
ko:K05801	cjej:N564_00925
ko:K01952	cjej:N564_00926
ko:K03650	cjej:N564_00927
ko:K03217	cjej:N564_00929
ko:K03536	cjej:N564_00930
ko:K02914	cjej:N564_00931
ko:K07107	cjej:N564_00935
ko:K15257	cjej:N564_00943
ko:K00651	cjej:N564_01722
ko:K01740	cjej:N564_01723
ko:K02390	cjej:N564_01724
ko:K01159	cjej:N564_01725
ko:K00600	cjej:N564_00385
ko:K03749	cjej:N564_00387
ko:K00014	cjej:N564_00388
ko:K13292	cjej:N564_00390
ko:K00246	cjej:N564_00391
ko:K06152	cjej:N564_00397
ko:K06151	cjej:N564_00398
ko:K01925	cjej:N564_00413
ko:K01000	cjej:N564_00414
ko:K15633	cjej:N564_00415
ko:K00239	cjej:N564_00418
ko:K03495	cjej:N564_01151
ko:K11103	cjej:N564_01155
ko:K03306	cjej:N564_01157
ko:K01465	cjej:N564_01158
ko:K00057	cjej:N564_01159
ko:K02434	cjej:N564_01160
ko:K07173	cjej:N564_01161
ko:K00549	cjej:N564_01164
ko:K00297	cjej:N564_01165
ko:K02108	cjej:N564_01166
ko:K04485	cjej:N564_01167
ko:K03110	cjej:N564_01168
ko:K07058	cjej:N564_01173
ko:K05810	cjej:N564_01179
ko:K00793	cjej:N564_01180
ko:K04078	cjej:N564_01182
ko:K04077	cjej:N564_01183
ko:K05516	cjej:N564_01192
ko:K01091	cjej:N564_01196
ko:K01879	cjej:N564_01197
ko:K01524	cjej:N564_01200
ko:K03474	cjej:N564_01201
ko:K02570	cjej:N564_00764
ko:K01433	cjej:N564_00769
ko:K01929	cjej:N564_00774
ko:K01921	cjej:N564_00777
ko:K03550	cjej:N564_00778
ko:K03980	cjej:N564_00780
ko:K01883	cjej:N564_00781
ko:K01714	cjej:N564_00785
ko:K00912	cjej:N564_00790
ko:K01733	cjej:N564_00791
ko:K00979	cjej:N564_00792
ko:K03750	cjej:N564_01513
ko:K01933	cjej:N564_01520
ko:K00859	cjej:N564_01521
ko:K01778	cjej:N564_01522
ko:K07133	cjej:N564_01524
ko:K04047	cjej:N564_01525
ko:K01810	cjej:N564_01526
ko:K00963	cjej:N564_01527
ko:K01895	cjej:N564_01528
ko:K05773	cjej:N564_01530
ko:K05772	cjej:N564_01531
ko:K07160	cjej:N564_01532
ko:K03923	cjej:N564_01536
ko:K03098	cjej:N564_01538
ko:K13979	cjej:N564_01539
ko:K01153	cjej:N564_01540
ko:K01154	cjej:N564_01542
ko:K03427	cjej:N564_01545
ko:K07118	cjej:N564_01547
ko:K00343	cjej:N564_01553
ko:K00342	cjej:N564_01554
ko:K00341	cjej:N564_01555
ko:K00340	cjej:N564_01556
ko:K00339	cjej:N564_01557
ko:K00338	cjej:N564_01558
ko:K00337	cjej:N564_01559
ko:K00334	cjej:N564_01562
ko:K02419	cjej:N564_00797
ko:K04042	cjej:N564_00798
ko:K13038	cjej:N564_00799
ko:K00806	cjej:N564_00801
ko:K02654	cjej:N564_00802
ko:K07091	cjej:N564_00803
ko:K06173	cjej:N564_00804
ko:K17686	cjej:N564_01119
ko:K00240	cjej:N564_00419
ko:K03707	cjej:N564_00421
ko:K02078	cjej:N564_00423
ko:K09458	cjej:N564_00424
ko:K01962	cjej:N564_00425
ko:K09794	cjej:N564_00431
ko:K02902	cjej:N564_00432
ko:K01783	cjej:N564_00433
ko:K03147	cjej:N564_00435
ko:K09778	cjej:N564_00439
ko:K06168	cjej:N564_00440
ko:K02600	cjej:N564_00442
ko:K03655	cjej:N564_00446
ko:K06886	cjej:N564_00447
ko:K02029	cjej:N564_00449
ko:K02029	cjej:N564_00450
ko:K02358	cjej:N564_00456
ko:K02913	cjej:N564_00457
ko:K03073	cjej:N564_00459
ko:K02601	cjej:N564_00460
ko:K02867	cjej:N564_00461
ko:K02863	cjej:N564_00462
ko:K02864	cjej:N564_00463
ko:K02935	cjej:N564_00464
ko:K03043	cjej:N564_00465
ko:K01714	cjej:N564_00468
ko:K16849	cjej:N564_00469
ko:K16850	cjej:N564_00470
ko:K00097	cjej:N564_01202
ko:K01599	cjej:N564_01206
ko:K03703	cjej:N564_01209
ko:K01951	cjej:N564_01211
ko:K01945	cjej:N564_01214
ko:K04744	cjej:N564_01216
ko:K00962	cjej:N564_01217
ko:K01821	cjej:N564_01219
ko:K03686	cjej:N564_01224
ko:K06187	cjej:N564_01227
ko:K03620	cjej:N564_01229
ko:K01448	cjej:N564_01233
ko:K00459	cjej:N564_01234
ko:K01866	cjej:N564_01235
ko:K03060	cjej:N564_01237
ko:K09903	cjej:N564_01238
ko:K09811	cjej:N564_01240
ko:K09812	cjej:N564_01241
ko:K03439	cjej:N564_01242
ko:K06180	cjej:N564_01244
ko:K05837	cjej:N564_01245
ko:K01754	cjej:N564_00805
ko:K06929	cjej:N564_00806
ko:K09943	cjej:N564_00807
ko:K01682	cjej:N564_00811
ko:K01772	cjej:N564_00813
ko:K01874	cjej:N564_00814
ko:K03841	cjej:N564_00816
ko:K03753	cjej:N564_00817
ko:K08309	cjej:N564_00818
ko:K02221	cjej:N564_00819
ko:K01613	cjej:N564_00822
ko:K04061	cjej:N564_00823
ko:K01845	cjej:N564_00828
ko:K01491	cjej:N564_00830
ko:K03100	cjej:N564_00831
ko:K03750	cjej:N564_00832
ko:K00790	cjej:N564_00833
ko:K03611	cjej:N564_00839
ko:K03673	cjej:N564_00843
ko:K00333	cjej:N564_01563
ko:K00332	cjej:N564_01564
ko:K00331	cjej:N564_01565
ko:K00330	cjej:N564_01566
ko:K02034	cjej:N564_01569
ko:K06159	cjej:N564_01574
ko:K02518	cjej:N564_01577
ko:K02919	cjej:N564_01578
ko:K02952	cjej:N564_01579
ko:K02948	cjej:N564_01580
ko:K02986	cjej:N564_01581
ko:K03040	cjej:N564_01582
ko:K02879	cjej:N564_01583
ko:K00765	cjej:N564_01584
ko:K00013	cjej:N564_01585
ko:K01089	cjej:N564_01586
ko:K02501	cjej:N564_01587
ko:K01814	cjej:N564_01588
ko:K09805	cjej:N564_01589
ko:K02500	cjej:N564_01590
ko:K11755	cjej:N564_01591
ko:K12506	cjej:N564_01594
ko:K00958	cjej:N564_01596
ko:K01095	cjej:N564_01597
ko:K02968	cjej:N564_01598
ko:K02835	cjej:N564_01599
ko:K07226	cjej:N564_01600
ko:K02015	cjej:N564_01602
ko:K02013	cjej:N564_01603
ko:K02016	cjej:N564_01604
ko:K03575	cjej:N564_01607
ko:K03179	cjej:N564_00156
ko:K00791	cjej:N564_00157
ko:K04564	cjej:N564_00161
ko:K02011	cjej:N564_00166
ko:K02012	cjej:N564_00167
ko:K16087	cjej:N564_00170
ko:K03561	cjej:N564_00171
ko:K03832	cjej:N564_00173
ko:K06193	cjej:N564_00178
ko:K11175	cjej:N564_00180
ko:K07391	cjej:N564_00183
ko:K01462	cjej:N564_00184
ko:K01358	cjej:N564_00185
ko:K03545	cjej:N564_00186
ko:K01495	cjej:N564_00187
ko:K02412	cjej:N564_00188
ko:K00764	cjej:N564_00189
ko:K00215	cjej:N564_00190
ko:K07478	cjej:N564_00191
ko:K03300	cjej:N564_00195
ko:K06153	cjej:N564_00197
ko:K01868	cjej:N564_00198
ko:K02520	cjej:N564_00199
ko:K09861	cjej:N564_00951
ko:K00611	cjej:N564_00960
ko:K01698	cjej:N564_00961
ko:K03501	cjej:N564_00963
ko:K03086	cjej:N564_00967
ko:K08296	cjej:N564_00968
ko:K01735	cjej:N564_00974
ko:K09944	cjej:N564_00975
ko:K00773	cjej:N564_00976
ko:K01996	cjej:N564_00981
ko:K01995	cjej:N564_00982
ko:K01998	cjej:N564_00983
ko:K01997	cjej:N564_00984
ko:K01999	cjej:N564_00985
ko:K01999	cjej:N564_00986
ko:K00133	cjej:N564_00990
ko:K09860	cjej:N564_00993
ko:K02469	cjej:N564_00994
ko:K03596	cjej:N564_00997
ko:K03686	cjej:N564_01001
ko:K02313	cjej:N564_00001
ko:K02338	cjej:N564_00002
ko:K02470	cjej:N564_00003
ko:K07084	cjej:N564_00006
ko:K00266	cjej:N564_00009
ko:K03470	cjej:N564_00010
ko:K02237	cjej:N564_00011
ko:K01687	cjej:N564_00013
ko:K08996	cjej:N564_00014
ko:K07023	cjej:N564_00015
ko:K06920	cjej:N564_00016
ko:K00428	cjej:N564_00019
ko:K06180	cjej:N564_00021
ko:K01756	cjej:N564_00022
ko:K06956	cjej:N564_00024
ko:K01937	cjej:N564_00026
ko:K07462	cjej:N564_00027
ko:K07552	cjej:N564_00033
ko:K06207	cjej:N564_00037
ko:K02389	cjej:N564_00040
ko:K02390	cjej:N564_00041
ko:K03319	cjej:N564_00045
ko:K02400	cjej:N564_00850
ko:K02956	cjej:N564_00852
ko:K03466	cjej:N564_00853
ko:K02397	cjej:N564_00854
ko:K15738	cjej:N564_00857
ko:K02945	cjej:N564_00862
ko:K03527	cjej:N564_00863
ko:K00800	cjej:N564_00864
ko:K01890	cjej:N564_00865
ko:K01889	cjej:N564_00866
ko:K02503	cjej:N564_00867
ko:K03152	cjej:N564_00868
ko:K02029	cjej:N564_00869
ko:K03310	cjej:N564_00871
ko:K03216	cjej:N564_00872
ko:K01775	cjej:N564_00873
ko:K07152	cjej:N564_00878
ko:K01738	cjej:N564_00879
ko:K03530	cjej:N564_00880
ko:K10806	cjej:N564_00882
ko:K06200	cjej:N564_00884
ko:K00948	cjej:N564_00885
ko:K10040	cjej:N564_00886
ko:K10040	cjej:N564_00887
ko:K10039	cjej:N564_00888
ko:K03412	cjej:N564_00891
ko:K01808	cjej:N564_00892
ko:K00759	cjej:N564_00894
ko:K11752	cjej:N564_01613
ko:K01752	cjej:N564_01615
ko:K03837	cjej:N564_01616
ko:K03561	cjej:N564_01619
ko:K03832	cjej:N564_01621
ko:K00566	cjej:N564_01624
ko:K01736	cjej:N564_01625
ko:K03685	cjej:N564_01626
ko:K01928	cjej:N564_01632
ko:K09747	cjej:N564_01633
ko:K00795	cjej:N564_01635
ko:K00615	cjej:N564_01636
ko:K02066	cjej:N564_01637
ko:K02065	cjej:N564_01638
ko:K01265	cjej:N564_01642
ko:K01776	cjej:N564_01643
ko:K03313	cjej:N564_01645
ko:K07243	cjej:N564_01648
ko:K07230	cjej:N564_01649
ko:K02003	cjej:N564_01653
ko:K01689	cjej:N564_01667
ko:K02429	cjej:N564_00473
ko:K03534	cjej:N564_00475
ko:K07248	cjej:N564_00476
ko:K02950	cjej:N564_00477
ko:K02992	cjej:N564_00478
ko:K02355	cjej:N564_00479
ko:K06940	cjej:N564_00483
ko:K01609	cjej:N564_00485
ko:K06917	cjej:N564_00487
ko:K01772	cjej:N564_00490
ko:K13017	cjej:N564_00492
ko:K01872	cjej:N564_00493
ko:K06287	cjej:N564_00494
ko:K03695	cjej:N564_00496
ko:K03797	cjej:N564_00498
ko:K01923	cjej:N564_00499
ko:K01952	cjej:N564_00500
ko:K01952	cjej:N564_00501
ko:K00655	cjej:N564_00503
ko:K06199	cjej:N564_00504
ko:K04079	cjej:N564_00505
ko:K03324	cjej:N564_00508
ko:K03324	cjej:N564_00510
ko:K03587	cjej:N564_00511
ko:K02408	cjej:N564_00512
ko:K02388	cjej:N564_00513
ko:K02387	cjej:N564_00514
ko:K07082	cjej:N564_00515
ko:K00031	cjej:N564_00517
ko:K00024	cjej:N564_00518
ko:K01903	cjej:N564_00519
ko:K01902	cjej:N564_00520
ko:K00176	cjej:N564_00521
ko:K00174	cjej:N564_00522
ko:K00175	cjej:N564_00523
ko:K00177	cjej:N564_00524
ko:K02523	cjej:N564_00527
ko:K01173	cjej:N564_01268
ko:K00761	cjej:N564_01304
ko:K00029	cjej:N564_01305
ko:K01961	cjej:N564_01308
ko:K00566	cjej:N564_00048
ko:K06966	cjej:N564_00049
ko:K02417	cjej:N564_00055
ko:K02416	cjej:N564_00056
ko:K02405	cjej:N564_00057
ko:K04562	cjej:N564_00059
ko:K02404	cjej:N564_00060
ko:K00950	cjej:N564_00061
ko:K04773	cjej:N564_00063
ko:K00782	cjej:N564_00067
ko:K03303	cjej:N564_00070
ko:K00425	cjej:N564_00075
ko:K00426	cjej:N564_00076
ko:K01779	cjej:N564_00078
ko:K03648	cjej:N564_00079
ko:K01744	cjej:N564_00080
ko:K07791	cjej:N564_00081
ko:K09859	cjej:N564_00082
ko:K07337	cjej:N564_00084
ko:K02888	cjej:N564_00087
ko:K02899	cjej:N564_00088
ko:K03979	cjej:N564_00089
ko:K00931	cjej:N564_00090
ko:K00604	cjej:N564_00091
ko:K03524	cjej:N564_00092
ko:K02109	cjej:N564_00095
ko:K02109	cjej:N564_00096
ko:K02113	cjej:N564_00097
ko:K02111	cjej:N564_00098
ko:K02115	cjej:N564_00099
ko:K02112	cjej:N564_00100
ko:K02114	cjej:N564_00101
ko:K00145	cjej:N564_00209
ko:K00930	cjej:N564_00211
ko:K00573	cjej:N564_00213
ko:K00763	cjej:N564_00215
ko:K00762	cjej:N564_00218
ko:K02838	cjej:N564_00219
ko:K03075	cjej:N564_00220
ko:K01673	cjej:N564_00222
ko:K16052	cjej:N564_00223
ko:K13819	cjej:N564_00224
ko:K04487	cjej:N564_00225
ko:K02916	cjej:N564_00228
ko:K02887	cjej:N564_00229
ko:K03637	cjej:N564_00237
ko:K01142	cjej:N564_00240
ko:K03760	cjej:N564_00241
ko:K00901	cjej:N564_00242
ko:K01465	cjej:N564_00244
ko:K07238	cjej:N564_00248
ko:K03532	cjej:N564_00250
ko:K00826	cjej:N564_00254
ko:K01821	cjej:N564_00255
ko:K03564	cjej:N564_00256
ko:K09765	cjej:N564_00257
ko:K02372	cjej:N564_00258
ko:K00677	cjej:N564_00259
ko:K03544	cjej:N564_00260
ko:K03569	cjej:N564_00261
ko:K03588	cjej:N564_01005
ko:K02563	cjej:N564_01006
ko:K03449	cjej:N564_01007
ko:K00788	cjej:N564_01010
ko:K03150	cjej:N564_01011
ko:K03149	cjej:N564_01012
ko:K03154	cjej:N564_01014
ko:K06895	cjej:N564_01016
ko:K12410	cjej:N564_01017
ko:K07456	cjej:N564_01020
ko:K01924	cjej:N564_01022
ko:K03602	cjej:N564_01025
ko:K01870	cjej:N564_01028
ko:K00995	cjej:N564_01033
ko:K11749	cjej:N564_01034
ko:K02990	cjej:N564_01038
ko:K02963	cjej:N564_01040
ko:K01338	cjej:N564_01041
ko:K05807	cjej:N564_01042
ko:K13626	cjej:N564_01043
ko:K00286	cjej:N564_01044
ko:K00788	cjej:N564_01049
ko:K00941	cjej:N564_01050
ko:K02492	cjej:N564_00528
ko:K01881	cjej:N564_00529
ko:K01649	cjej:N564_00530
ko:K01749	cjej:N564_00531
ko:K03182	cjej:N564_00532
ko:K02407	cjej:N564_00534
ko:K02422	cjej:N564_00535
ko:K02356	cjej:N564_00537
ko:K00147	cjej:N564_00544
ko:K00384	cjej:N564_00545
ko:K14652	cjej:N564_00560
ko:K09117	cjej:N564_00561
ko:K01652	cjej:N564_00562
