ko:K01006	fcf:FNFX1_0054
ko:K03599	fcf:FNFX1_0539
ko:K02341	fcf:FNFX1_0541
ko:K07574	fcf:FNFX1_0542
ko:K01698	fcf:FNFX1_0543
ko:K03216	fcf:FNFX1_0544
ko:K01887	fcf:FNFX1_0547
ko:K04744	fcf:FNFX1_0548
ko:K03771	fcf:FNFX1_0549
ko:K02528	fcf:FNFX1_0550
ko:K03786	fcf:FNFX1_0552
ko:K02160	fcf:FNFX1_0553
ko:K01961	fcf:FNFX1_0554
ko:K04568	fcf:FNFX1_0557
ko:K03524	fcf:FNFX1_0558
ko:K07462	fcf:FNFX1_0559
ko:K11073	fcf:FNFX1_0562
ko:K06949	fcf:FNFX1_0564
ko:K03572	fcf:FNFX1_0567
ko:K00384	fcf:FNFX1_0572
ko:K03424	fcf:FNFX1_1442
ko:K03594	fcf:FNFX1_1444
ko:K03040	fcf:FNFX1_1445
ko:K07478	fcf:FNFX1_1446
ko:K01524	fcf:FNFX1_1448
ko:K03671	fcf:FNFX1_1449
ko:K03628	fcf:FNFX1_1450
ko:K00973	fcf:FNFX1_1455
ko:K02805	fcf:FNFX1_1458
ko:K13012	fcf:FNFX1_1467
ko:K03578	fcf:FNFX1_1469
ko:K00031	fcf:FNFX1_1471
ko:K07516	fcf:FNFX1_1475
ko:K09794	fcf:FNFX1_1479
ko:K09859	fcf:FNFX1_1483
ko:K07337	fcf:FNFX1_1486
ko:K09701	fcf:FNFX1_1492
ko:K00574	fcf:FNFX1_1493
ko:K01091	fcf:FNFX1_0574
ko:K03305	fcf:FNFX1_0581
ko:K01902	fcf:FNFX1_0586
ko:K01903	fcf:FNFX1_0587
ko:K05539	fcf:FNFX1_0591
ko:K02470	fcf:FNFX1_0593
ko:K06215	fcf:FNFX1_0594
ko:K08681	fcf:FNFX1_0595
ko:K03438	fcf:FNFX1_0598
ko:K03586	fcf:FNFX1_0599
ko:K03587	fcf:FNFX1_0600
ko:K02956	fcf:FNFX1_0601
ko:K00962	fcf:FNFX1_0602
ko:K15724	fcf:FNFX1_0603
ko:K01627	fcf:FNFX1_0604
ko:K00876	fcf:FNFX1_0605
ko:K03060	fcf:FNFX1_0606
ko:K03215	fcf:FNFX1_0608
ko:K03811	fcf:FNFX1_0611
ko:K01689	fcf:FNFX1_0613
ko:K05589	fcf:FNFX1_0614
ko:K00991	fcf:FNFX1_0615
ko:K00060	fcf:FNFX1_0617
ko:K00761	fcf:FNFX1_0622
ko:K01433	fcf:FNFX1_0623
ko:K01129	fcf:FNFX1_0626
ko:K03782	fcf:FNFX1_0627
ko:K12573	fcf:FNFX1_1498
ko:K03685	fcf:FNFX1_1500
ko:K03100	fcf:FNFX1_1501
ko:K00286	fcf:FNFX1_1504
ko:K02527	fcf:FNFX1_1506
ko:K00795	fcf:FNFX1_1507
ko:K01004	fcf:FNFX1_1508
ko:K01207	fcf:FNFX1_1510
ko:K00748	fcf:FNFX1_1513
ko:K00677	fcf:FNFX1_1514
ko:K02372	fcf:FNFX1_1515
ko:K02536	fcf:FNFX1_1516
ko:K06142	fcf:FNFX1_1517
ko:K07277	fcf:FNFX1_1518
ko:K00099	fcf:FNFX1_1519
ko:K02469	fcf:FNFX1_1520
ko:K03648	fcf:FNFX1_1522
ko:K00382	fcf:FNFX1_1523
ko:K00627	fcf:FNFX1_1524
ko:K00163	fcf:FNFX1_1525
ko:K00859	fcf:FNFX1_1527
ko:K01867	fcf:FNFX1_1528
ko:K07106	fcf:FNFX1_1533
ko:K11754	fcf:FNFX1_0279
ko:K06925	fcf:FNFX1_0280
ko:K01126	fcf:FNFX1_1161
ko:K02652	fcf:FNFX1_1162
ko:K01772	fcf:FNFX1_1167
ko:K01669	fcf:FNFX1_1168
ko:K13038	fcf:FNFX1_1174
ko:K13821	fcf:FNFX1_1177
ko:K09159	fcf:FNFX1_1178
ko:K01735	fcf:FNFX1_1181
ko:K00891	fcf:FNFX1_1182
ko:K02666	fcf:FNFX1_1183
ko:K00812	fcf:FNFX1_1192
ko:K01443	fcf:FNFX1_1195
ko:K14540	fcf:FNFX1_1196
ko:K03427	fcf:FNFX1_1198
ko:K01154	fcf:FNFX1_1200
ko:K01153	fcf:FNFX1_1201
ko:K06207	fcf:FNFX1_1203
ko:K04754	fcf:FNFX1_1208
ko:K09801	fcf:FNFX1_1210
ko:K03664	fcf:FNFX1_1212
ko:K14058	fcf:FNFX1_1213
ko:K03601	fcf:FNFX1_1216
ko:K02967	fcf:FNFX1_0231
ko:K02357	fcf:FNFX1_0232
ko:K09903	fcf:FNFX1_0233
ko:K02838	fcf:FNFX1_0234
ko:K00806	fcf:FNFX1_0235
ko:K00981	fcf:FNFX1_0236
ko:K00995	fcf:FNFX1_0238
ko:K02950	fcf:FNFX1_0239
ko:K02992	fcf:FNFX1_0240
ko:K02355	fcf:FNFX1_0241
ko:K02946	fcf:FNFX1_0242
ko:K02906	fcf:FNFX1_0243
ko:K02926	fcf:FNFX1_0244
ko:K02892	fcf:FNFX1_0245
ko:K02886	fcf:FNFX1_0246
ko:K02965	fcf:FNFX1_0247
ko:K02890	fcf:FNFX1_0248
ko:K02982	fcf:FNFX1_0249
ko:K02878	fcf:FNFX1_0250
ko:K02904	fcf:FNFX1_0251
ko:K02961	fcf:FNFX1_0252
ko:K02874	fcf:FNFX1_0253
ko:K02895	fcf:FNFX1_0254
ko:K02931	fcf:FNFX1_0255
ko:K02954	fcf:FNFX1_0256
ko:K02994	fcf:FNFX1_0257
ko:K02933	fcf:FNFX1_0258
ko:K02881	fcf:FNFX1_0259
ko:K02988	fcf:FNFX1_0260
ko:K02907	fcf:FNFX1_0261
ko:K02876	fcf:FNFX1_0262
ko:K03076	fcf:FNFX1_0263
ko:K02919	fcf:FNFX1_0264
ko:K02952	fcf:FNFX1_0265
ko:K02948	fcf:FNFX1_0266
ko:K02986	fcf:FNFX1_0267
ko:K03040	fcf:FNFX1_0268
ko:K02879	fcf:FNFX1_0269
ko:K04079	fcf:FNFX1_0270
ko:K01937	fcf:FNFX1_0276
ko:K00940	fcf:FNFX1_0277
ko:K01963	fcf:FNFX1_0278
ko:K01962	fcf:FNFX1_1537
ko:K03555	fcf:FNFX1_1538
ko:K03071	fcf:FNFX1_1539
ko:K03733	fcf:FNFX1_1542
ko:K15984	fcf:FNFX1_1543
ko:K07259	fcf:FNFX1_0632
ko:K02445	fcf:FNFX1_0633
ko:K01126	fcf:FNFX1_0634
ko:K01993	fcf:FNFX1_0635
ko:K11103	fcf:FNFX1_0640
ko:K03427	fcf:FNFX1_0641
ko:K01154	fcf:FNFX1_0642
ko:K01153	fcf:FNFX1_0648
ko:K00847	fcf:FNFX1_0654
ko:K01875	fcf:FNFX1_0655
ko:K15633	fcf:FNFX1_0656
ko:K00757	fcf:FNFX1_0659
ko:K06169	fcf:FNFX1_0660
ko:K11720	fcf:FNFX1_0665
ko:K07091	fcf:FNFX1_0666
ko:K01255	fcf:FNFX1_0667
ko:K01810	fcf:FNFX1_0670
ko:K08084	fcf:FNFX1_0671
ko:K03624	fcf:FNFX1_0672
ko:K03701	fcf:FNFX1_0673
ko:K03798	fcf:FNFX1_0675
ko:K03070	fcf:FNFX1_0679
ko:K01246	fcf:FNFX1_0680
ko:K00865	fcf:FNFX1_0681
ko:K02888	fcf:FNFX1_0682
ko:K02899	fcf:FNFX1_0683
ko:K03684	fcf:FNFX1_0686
ko:K03703	fcf:FNFX1_0687
ko:K09791	fcf:FNFX1_0689
ko:K00979	fcf:FNFX1_0690
ko:K03834	fcf:FNFX1_1549
ko:K05516	fcf:FNFX1_1551
ko:K01586	fcf:FNFX1_1568
ko:K00262	fcf:FNFX1_1570
ko:K07007	fcf:FNFX1_1571
ko:K04077	fcf:FNFX1_1576
ko:K04078	fcf:FNFX1_1577
ko:K09861	fcf:FNFX1_1581
ko:K00783	fcf:FNFX1_1582
ko:K02493	fcf:FNFX1_1583
ko:K02835	fcf:FNFX1_1584
ko:K02492	fcf:FNFX1_1585
ko:K02622	fcf:FNFX1_1589
ko:K03806	fcf:FNFX1_1590
ko:K08311	fcf:FNFX1_1592
ko:K02884	fcf:FNFX1_1598
ko:K00554	fcf:FNFX1_1599
ko:K02860	fcf:FNFX1_1600
ko:K02959	fcf:FNFX1_1601
ko:K00789	fcf:FNFX1_1602
ko:K00849	fcf:FNFX1_0692
ko:K00965	fcf:FNFX1_0693
ko:K08137	fcf:FNFX1_0694
ko:K05592	fcf:FNFX1_0697
ko:K00942	fcf:FNFX1_0698
ko:K03517	fcf:FNFX1_0699
ko:K00767	fcf:FNFX1_0700
ko:K00278	fcf:FNFX1_0701
ko:K00432	fcf:FNFX1_0705
ko:K04762	fcf:FNFX1_0712
ko:K03704	fcf:FNFX1_0726
ko:K02970	fcf:FNFX1_0728
ko:K00963	fcf:FNFX1_0731
ko:K01895	fcf:FNFX1_0732
ko:K03629	fcf:FNFX1_0736
ko:K03424	fcf:FNFX1_0737
ko:K01879	fcf:FNFX1_0738
ko:K11074	fcf:FNFX1_0739
ko:K11075	fcf:FNFX1_0740
ko:K11076	fcf:FNFX1_0741
ko:K03305	fcf:FNFX1_0745
ko:K01079	fcf:FNFX1_0746
ko:K09799	fcf:FNFX1_0747
ko:K03046	fcf:FNFX1_1606
ko:K03043	fcf:FNFX1_1607
ko:K02935	fcf:FNFX1_1608
ko:K02864	fcf:FNFX1_1609
ko:K02863	fcf:FNFX1_1610
ko:K02867	fcf:FNFX1_1611
ko:K02601	fcf:FNFX1_1612
ko:K03073	fcf:FNFX1_1613
ko:K02358	fcf:FNFX1_1614
ko:K02440	fcf:FNFX1_1618
ko:K00111	fcf:FNFX1_1619
ko:K00864	fcf:FNFX1_1620
ko:K15581	fcf:FNFX1_1628
ko:K15580	fcf:FNFX1_1629
ko:K03657	fcf:FNFX1_1630
ko:K03110	fcf:FNFX1_1631
ko:K02837	fcf:FNFX1_1633
ko:K00943	fcf:FNFX1_1634
ko:K11535	fcf:FNFX1_1635
ko:K01839	fcf:FNFX1_1638
ko:K03525	fcf:FNFX1_1639
ko:K00912	fcf:FNFX1_1641
ko:K03611	fcf:FNFX1_1644
ko:K03980	fcf:FNFX1_0282
ko:K01919	fcf:FNFX1_0283
ko:K02909	fcf:FNFX1_0284
ko:K03427	fcf:FNFX1_0289
ko:K03607	fcf:FNFX1_0294
ko:K03634	fcf:FNFX1_0299
ko:K03466	fcf:FNFX1_0300
ko:K07018	fcf:FNFX1_0303
ko:K02672	fcf:FNFX1_0313
ko:K01883	fcf:FNFX1_0315
ko:K07320	fcf:FNFX1_0316
ko:K07552	fcf:FNFX1_0317
ko:K01775	fcf:FNFX1_0319
ko:K04754	fcf:FNFX1_0326
ko:K02066	fcf:FNFX1_0331
ko:K02065	fcf:FNFX1_0332
ko:K03608	fcf:FNFX1_0333
ko:K03609	fcf:FNFX1_0334
ko:K03610	fcf:FNFX1_0335
ko:K02913	fcf:FNFX1_0336
ko:K02902	fcf:FNFX1_0337
ko:K03655	fcf:FNFX1_0339
ko:K01676	fcf:FNFX1_0341
ko:K01776	fcf:FNFX1_1223
ko:K03702	fcf:FNFX1_1225
ko:K01141	fcf:FNFX1_1226
ko:K03495	fcf:FNFX1_1231
ko:K01807	fcf:FNFX1_1234
ko:K02887	fcf:FNFX1_1237
ko:K02916	fcf:FNFX1_1238
ko:K02520	fcf:FNFX1_1239
ko:K01868	fcf:FNFX1_1240
ko:K02437	fcf:FNFX1_1243
ko:K02563	fcf:FNFX1_1244
ko:K09747	fcf:FNFX1_1245
ko:K06187	fcf:FNFX1_1246
ko:K03762	fcf:FNFX1_1251
ko:K13282	fcf:FNFX1_1253
ko:K07266	fcf:FNFX1_1260
ko:K12995	fcf:FNFX1_1263
ko:K01783	fcf:FNFX1_1266
ko:K06041	fcf:FNFX1_1267
ko:K00208	fcf:FNFX1_1268
ko:K06966	fcf:FNFX1_1269
ko:K06901	fcf:FNFX1_0346
ko:K09758	fcf:FNFX1_0347
ko:K04096	fcf:FNFX1_0351
ko:K03774	fcf:FNFX1_0353
ko:K03527	fcf:FNFX1_0354
ko:K03562	fcf:FNFX1_0358
ko:K03641	fcf:FNFX1_0361
ko:K03640	fcf:FNFX1_0363
ko:K14441	fcf:FNFX1_0364
ko:K01669	fcf:FNFX1_0367
ko:K06876	fcf:FNFX1_0368
ko:K03453	fcf:FNFX1_0370
ko:K03179	fcf:FNFX1_0377
ko:K03181	fcf:FNFX1_0378
ko:K00989	fcf:FNFX1_0379
ko:K03799	fcf:FNFX1_0382
ko:K03744	fcf:FNFX1_0383
ko:K01534	fcf:FNFX1_0386
ko:K00057	fcf:FNFX1_0390
ko:K04485	fcf:FNFX1_0392
ko:K01736	fcf:FNFX1_0395
ko:K09125	fcf:FNFX1_1273
ko:K07568	fcf:FNFX1_1276
ko:K03185	fcf:FNFX1_1279
ko:K09895	fcf:FNFX1_1280
ko:K05527	fcf:FNFX1_1282
ko:K03975	fcf:FNFX1_1283
ko:K03975	fcf:FNFX1_1284
ko:K03584	fcf:FNFX1_1285
ko:K04487	fcf:FNFX1_1287
ko:K08300	fcf:FNFX1_1288
ko:K13292	fcf:FNFX1_1289
ko:K06208	fcf:FNFX1_0355
ko:K04075	fcf:FNFX1_1292
ko:K03305	fcf:FNFX1_1293
ko:K01442	fcf:FNFX1_1294
ko:K09889	fcf:FNFX1_1300
ko:K00600	fcf:FNFX1_1301
ko:K05807	fcf:FNFX1_1306
ko:K06180	fcf:FNFX1_1307
ko:K02066	fcf:FNFX1_1309
ko:K02065	fcf:FNFX1_1310
ko:K09761	fcf:FNFX1_1314
ko:K03305	fcf:FNFX1_1315
ko:K03446	fcf:FNFX1_1318
ko:K03543	fcf:FNFX1_1319
ko:K06911	fcf:FNFX1_1324
ko:K03686	fcf:FNFX1_1326
ko:K04043	fcf:FNFX1_1327
ko:K03687	fcf:FNFX1_1328
ko:K08304	fcf:FNFX1_1329
ko:K00812	fcf:FNFX1_0403
ko:K03631	fcf:FNFX1_0405
ko:K01491	fcf:FNFX1_0410
ko:K07461	fcf:FNFX1_0411
ko:K01933	fcf:FNFX1_0412
ko:K11175	fcf:FNFX1_0414
ko:K01588	fcf:FNFX1_0415
ko:K01589	fcf:FNFX1_0416
ko:K07460	fcf:FNFX1_0417
ko:K01414	fcf:FNFX1_0418
ko:K03168	fcf:FNFX1_0425
ko:K07023	fcf:FNFX1_0430
ko:K03101	fcf:FNFX1_0433
ko:K01870	fcf:FNFX1_0434
ko:K11753	fcf:FNFX1_0435
ko:K03977	fcf:FNFX1_0439
ko:K00790	fcf:FNFX1_0440
ko:K00075	fcf:FNFX1_0441
ko:K02503	fcf:FNFX1_0446
ko:K03688	fcf:FNFX1_0447
ko:K03690	fcf:FNFX1_0448
ko:K03183	fcf:FNFX1_0449
ko:K06190	fcf:FNFX1_0452
ko:K01874	fcf:FNFX1_0456
ko:K01775	fcf:FNFX1_0751
ko:K01752	fcf:FNFX1_0755
ko:K11717	fcf:FNFX1_0756
ko:K00954	fcf:FNFX1_0759
ko:K07107	fcf:FNFX1_0766
ko:K01442	fcf:FNFX1_0768
ko:K03437	fcf:FNFX1_0769
ko:K02168	fcf:FNFX1_0770
ko:K12267	fcf:FNFX1_0772
ko:K09710	fcf:FNFX1_0777
ko:K03657	fcf:FNFX1_0780
ko:K01872	fcf:FNFX1_0782
ko:K01255	fcf:FNFX1_0785
ko:K06980	fcf:FNFX1_0791
ko:K03656	fcf:FNFX1_0792
ko:K00243	fcf:FNFX1_0793
ko:K07146	fcf:FNFX1_0794
ko:K03554	fcf:FNFX1_0795
ko:K11004	fcf:FNFX1_0802
ko:K11003	fcf:FNFX1_0805
ko:K07154	fcf:FNFX1_0806
ko:K12297	fcf:FNFX1_0810
ko:K07071	fcf:FNFX1_1660
ko:K00425	fcf:FNFX1_1661
ko:K00426	fcf:FNFX1_1662
ko:K06955	fcf:FNFX1_1663
ko:K02669	fcf:FNFX1_1664
ko:K01681	fcf:FNFX1_1665
ko:K07223	fcf:FNFX1_1666
ko:K03075	fcf:FNFX1_1670
ko:K01803	fcf:FNFX1_1671
ko:K03431	fcf:FNFX1_1672
ko:K00759	fcf:FNFX1_1673
ko:K00658	fcf:FNFX1_1674
ko:K00164	fcf:FNFX1_1675
ko:K00604	fcf:FNFX1_0812
ko:K01920	fcf:FNFX1_0813
ko:K01845	fcf:FNFX1_0814
ko:K01207	fcf:FNFX1_0815
ko:K00019	fcf:FNFX1_0816
ko:K01574	fcf:FNFX1_0817
ko:K03524	fcf:FNFX1_0820
ko:K01935	fcf:FNFX1_0821
ko:K02169	fcf:FNFX1_0822
ko:K01012	fcf:FNFX1_0824
ko:K00833	fcf:FNFX1_0825
ko:K13941	fcf:FNFX1_0828
ko:K01633	fcf:FNFX1_0829
ko:K01495	fcf:FNFX1_0839
ko:K11927	fcf:FNFX1_0840
ko:K03305	fcf:FNFX1_0841
ko:K01142	fcf:FNFX1_0847
ko:K06987	fcf:FNFX1_0848
ko:K03923	fcf:FNFX1_0849
ko:K01626	fcf:FNFX1_0851
ko:K03106	fcf:FNFX1_0852
ko:K07090	fcf:FNFX1_0854
ko:K02518	fcf:FNFX1_0855
ko:K09014	fcf:FNFX1_0861
ko:K09013	fcf:FNFX1_0862
ko:K09015	fcf:FNFX1_0863
ko:K00339	fcf:FNFX1_1712
ko:K00338	fcf:FNFX1_1713
ko:K00337	fcf:FNFX1_1714
ko:K00334	fcf:FNFX1_1717
ko:K00333	fcf:FNFX1_1718
ko:K00332	fcf:FNFX1_1719
ko:K00331	fcf:FNFX1_1720
ko:K00330	fcf:FNFX1_1721
ko:K01586	fcf:FNFX1_1725
ko:K02434	fcf:FNFX1_1730
ko:K02435	fcf:FNFX1_1732
ko:K01756	fcf:FNFX1_1735
ko:K01952	fcf:FNFX1_1740
ko:K00764	fcf:FNFX1_1741
ko:K06133	fcf:FNFX1_1743
ko:K12340	fcf:FNFX1_1744
ko:K00573	fcf:FNFX1_1745
ko:K08303	fcf:FNFX1_1746
ko:K02471	fcf:FNFX1_1749
ko:K03979	fcf:FNFX1_1751
ko:K07667	fcf:FNFX1_1755
ko:K07646	fcf:FNFX1_1756
ko:K01548	fcf:FNFX1_1757
ko:K01547	fcf:FNFX1_1758
ko:K01546	fcf:FNFX1_1759
ko:K00812	fcf:FNFX1_1761
ko:K01586	fcf:FNFX1_1762
ko:K01714	fcf:FNFX1_1764
ko:K00215	fcf:FNFX1_1765
ko:K00928	fcf:FNFX1_1766
ko:K03424	fcf:FNFX1_1768
ko:K03811	fcf:FNFX1_1769
ko:K03281	fcf:FNFX1_1773
