ko:K06900	bmab:BM45_4020
ko:K14228	bmab:BM45_1075
ko:K14228	bmab:BM45_2165
ko:K14228	bmab:BM45_4941
ko:K07518	bmab:BM45_882
ko:K07090	bmab:BM45_884
ko:K01126	bmab:BM45_886
ko:K07275	bmab:BM45_894
ko:K04078	bmab:BM45_900
ko:K04077	bmab:BM45_901
ko:K00941	bmab:BM45_902
ko:K07735	bmab:BM45_905
ko:K07447	bmab:BM45_906
ko:K02825	bmab:BM45_907
ko:K00609	bmab:BM45_908
ko:K01465	bmab:BM45_909
ko:K00655	bmab:BM45_910
ko:K01525	bmab:BM45_911
ko:K01710	bmab:BM45_912
ko:K00973	bmab:BM45_913
ko:K01790	bmab:BM45_914
ko:K00067	bmab:BM45_915
ko:K17947	bmab:BM45_919
ko:K01784	bmab:BM45_924
ko:K07497	bmab:BM45_927
ko:K07497	bmab:BM45_928
ko:K03327	bmab:BM45_929
ko:K14761	bmab:BM45_930
ko:K02959	bmab:BM45_2329
ko:K03719	bmab:BM45_2334
ko:K07497	bmab:BM45_2335
ko:K07497	bmab:BM45_2336
ko:K00285	bmab:BM45_2337
ko:K03522	bmab:BM45_2340
ko:K03521	bmab:BM45_2341
ko:K02073	bmab:BM45_2342
ko:K02072	bmab:BM45_2343
ko:K02071	bmab:BM45_2344
ko:K08305	bmab:BM45_2347
ko:K12339	bmab:BM45_2348
ko:K02237	bmab:BM45_2349
ko:K03274	bmab:BM45_2350
ko:K00012	bmab:BM45_2352
ko:K05788	bmab:BM45_2357
ko:K02945	bmab:BM45_2358
ko:K00945	bmab:BM45_2359
ko:K00800	bmab:BM45_2360
ko:K14170	bmab:BM45_2361
ko:K00831	bmab:BM45_2362
ko:K09924	bmab:BM45_2363
ko:K02469	bmab:BM45_2364
ko:K03286	bmab:BM45_2365
ko:K00568	bmab:BM45_2366
ko:K07497	bmab:BM45_2368
ko:K07497	bmab:BM45_2369
ko:K00127	bmab:BM45_2373
ko:K00124	bmab:BM45_2374
ko:K00123	bmab:BM45_2375
ko:K00126	bmab:BM45_2377
ko:K11907	bmab:BM45_3163
ko:K11895	bmab:BM45_3164
ko:K11896	bmab:BM45_3165
ko:K11905	bmab:BM45_3166
ko:K11903	bmab:BM45_3167
ko:K11900	bmab:BM45_3168
ko:K11901	bmab:BM45_3169
ko:K11910	bmab:BM45_3172
ko:K07152	bmab:BM45_3178
ko:K00368	bmab:BM45_3181
ko:K01916	bmab:BM45_3187
ko:K08322	bmab:BM45_3190
ko:K08323	bmab:BM45_3192
ko:K00040	bmab:BM45_3194
ko:K09471	bmab:BM45_3200
ko:K00128	bmab:BM45_3205
ko:K03734	bmab:BM45_3206
ko:K00380	bmab:BM45_3207
ko:K02484	bmab:BM45_3212
ko:K08369	bmab:BM45_3214
ko:K07152	bmab:BM45_4019
ko:K08195	bmab:BM45_4021
ko:K05349	bmab:BM45_4025
ko:K05349	bmab:BM45_4026
ko:K03833	bmab:BM45_4030
ko:K01042	bmab:BM45_4031
ko:K02380	bmab:BM45_4032
ko:K00127	bmab:BM45_4033
ko:K00124	bmab:BM45_4034
ko:K00123	bmab:BM45_4037
ko:K02030	bmab:BM45_4039
ko:K02028	bmab:BM45_4041
ko:K02029	bmab:BM45_4041
ko:K02030	bmab:BM45_4045
ko:K06987	bmab:BM45_4047
ko:K07058	bmab:BM45_4049
ko:K00963	bmab:BM45_4054
ko:K01711	bmab:BM45_4062
ko:K10764	bmab:BM45_4065
ko:K00764	bmab:BM45_4066
ko:K08304	bmab:BM45_4856
ko:K01912	bmab:BM45_4857
ko:K02614	bmab:BM45_4858
ko:K15866	bmab:BM45_4859
ko:K01692	bmab:BM45_4862
ko:K07497	bmab:BM45_4869
ko:K07497	bmab:BM45_4870
ko:K07497	bmab:BM45_4878
ko:K07497	bmab:BM45_4879
ko:K03325	bmab:BM45_4880
ko:K00299	bmab:BM45_4886
ko:K02000	bmab:BM45_4887
ko:K02001	bmab:BM45_4888
ko:K02002	bmab:BM45_4890
ko:K00476	bmab:BM45_4892
ko:K07497	bmab:BM45_4903
ko:K07497	bmab:BM45_4904
ko:K05805	bmab:BM45_933
ko:K05524	bmab:BM45_937
ko:K00763	bmab:BM45_938
ko:K00782	bmab:BM45_939
ko:K09760	bmab:BM45_942
ko:K03750	bmab:BM45_945
ko:K03752	bmab:BM45_946
ko:K03639	bmab:BM45_947
ko:K08300	bmab:BM45_948
ko:K06179	bmab:BM45_949
ko:K01091	bmab:BM45_950
ko:K04773	bmab:BM45_952
ko:K07056	bmab:BM45_953
ko:K06287	bmab:BM45_954
ko:K07040	bmab:BM45_955
ko:K02911	bmab:BM45_956
ko:K03621	bmab:BM45_957
ko:K00648	bmab:BM45_958
ko:K00645	bmab:BM45_959
ko:K00059	bmab:BM45_960
ko:K02078	bmab:BM45_961
ko:K09458	bmab:BM45_962
ko:K03088	bmab:BM45_964
ko:K03597	bmab:BM45_965
ko:K03598	bmab:BM45_966
ko:K04771	bmab:BM45_967
ko:K03596	bmab:BM45_969
ko:K03100	bmab:BM45_970
ko:K03685	bmab:BM45_971
ko:K03584	bmab:BM45_973
ko:K03474	bmab:BM45_974
ko:K00997	bmab:BM45_975
ko:K01207	bmab:BM45_976
ko:K02356	bmab:BM45_978
ko:K03703	bmab:BM45_980
ko:K06911	bmab:BM45_987
ko:K02348	bmab:BM45_988
ko:K02433	bmab:BM45_2381
ko:K03611	bmab:BM45_2382
ko:K07402	bmab:BM45_2383
ko:K06901	bmab:BM45_2385
ko:K01487	bmab:BM45_2386
ko:K01256	bmab:BM45_2389
ko:K00549	bmab:BM45_2390
ko:K03576	bmab:BM45_2391
ko:K03841	bmab:BM45_2392
ko:K02014	bmab:BM45_2400
ko:K04093	bmab:BM45_2403
ko:K02342	bmab:BM45_2404
ko:K07497	bmab:BM45_2405
ko:K07497	bmab:BM45_2406
ko:K07497	bmab:BM45_2409
ko:K07497	bmab:BM45_2410
ko:K06181	bmab:BM45_2411
ko:K00031	bmab:BM45_2412
ko:K03527	bmab:BM45_2415
ko:K03774	bmab:BM45_2416
ko:K03630	bmab:BM45_2417
ko:K02902	bmab:BM45_2418
ko:K02913	bmab:BM45_2419
ko:K00278	bmab:BM45_2420
ko:K00767	bmab:BM45_2421
ko:K03517	bmab:BM45_2422
ko:K03500	bmab:BM45_2425
ko:K11175	bmab:BM45_2426
ko:K11753	bmab:BM45_2427
ko:K01870	bmab:BM45_2428
ko:K03101	bmab:BM45_2429
ko:K13038	bmab:BM45_2430
ko:K13747	bmab:BM45_3219
ko:K00368	bmab:BM45_3220
ko:K04561	bmab:BM45_3221
ko:K00253	bmab:BM45_3223
ko:K01969	bmab:BM45_3224
ko:K13766	bmab:BM45_3225
ko:K01968	bmab:BM45_3226
ko:K07497	bmab:BM45_3232
ko:K07497	bmab:BM45_3233
ko:K10844	bmab:BM45_3234
ko:K02407	bmab:BM45_3237
ko:K07396	bmab:BM45_3239
ko:K00059	bmab:BM45_3242
ko:K06140	bmab:BM45_3256
ko:K01497	bmab:BM45_3260
ko:K07507	bmab:BM45_3264
ko:K07098	bmab:BM45_3265
ko:K09019	bmab:BM45_3266
ko:K03558	bmab:BM45_4067
ko:K03749	bmab:BM45_4068
ko:K11754	bmab:BM45_4069
ko:K01963	bmab:BM45_4070
ko:K01695	bmab:BM45_4071
ko:K01696	bmab:BM45_4073
ko:K01817	bmab:BM45_4074
ko:K06173	bmab:BM45_4075
ko:K00133	bmab:BM45_4077
ko:K00052	bmab:BM45_4079
ko:K01704	bmab:BM45_4080
ko:K01703	bmab:BM45_4082
ko:K00163	bmab:BM45_4087
ko:K07497	bmab:BM45_4090
ko:K07497	bmab:BM45_4091
ko:K01647	bmab:BM45_4094
ko:K09159	bmab:BM45_4095
ko:K00240	bmab:BM45_4096
ko:K00239	bmab:BM45_4097
ko:K00242	bmab:BM45_4098
ko:K00241	bmab:BM45_4099
ko:K03710	bmab:BM45_4100
ko:K00024	bmab:BM45_4101
ko:K01644	bmab:BM45_4102
ko:K01720	bmab:BM45_4104
ko:K01681	bmab:BM45_4105
ko:K15125	bmab:BM45_4106
ko:K07326	bmab:BM45_4107
ko:K07497	bmab:BM45_4109
ko:K07497	bmab:BM45_4110
ko:K05998	bmab:BM45_4111
ko:K02053	bmab:BM45_4112
ko:K02053	bmab:BM45_4113
ko:K02054	bmab:BM45_4114
ko:K02055	bmab:BM45_4115
ko:K01266	bmab:BM45_4911
ko:K10974	bmab:BM45_4918
ko:K01485	bmab:BM45_4920
ko:K00428	bmab:BM45_4927
ko:K01114	bmab:BM45_4929
ko:K10538	bmab:BM45_4937
ko:K13874	bmab:BM45_4938
ko:K06995	bmab:BM45_4939
ko:K18383	bmab:BM45_4942
ko:K12508	bmab:BM45_4946
ko:K12508	bmab:BM45_4947
ko:K05819	bmab:BM45_4948
ko:K10439	bmab:BM45_4952
ko:K02056	bmab:BM45_4953
ko:K02057	bmab:BM45_4954
ko:K01685	bmab:BM45_4956
ko:K07046	bmab:BM45_4957
ko:K18335	bmab:BM45_4958
ko:K18333	bmab:BM45_4960
ko:K03534	bmab:BM45_4961
ko:K07497	bmab:BM45_4962
ko:K07497	bmab:BM45_827
ko:K03640	bmab:BM45_830
ko:K03641	bmab:BM45_831
ko:K03646	bmab:BM45_832
ko:K03560	bmab:BM45_833
ko:K03562	bmab:BM45_834
ko:K07107	bmab:BM45_835
ko:K16066	bmab:BM45_836
ko:K00600	bmab:BM45_837
ko:K07738	bmab:BM45_838
ko:K08084	bmab:BM45_839
ko:K02672	bmab:BM45_841
ko:K02655	bmab:BM45_843
ko:K00252	bmab:BM45_848
ko:K05712	bmab:BM45_853
ko:K08195	bmab:BM45_855
ko:K00451	bmab:BM45_856
ko:K01555	bmab:BM45_857
ko:K04719	bmab:BM45_860
ko:K03778	bmab:BM45_861
ko:K07497	bmab:BM45_863
ko:K07497	bmab:BM45_864
ko:K07506	bmab:BM45_866
ko:K13481	bmab:BM45_869
ko:K13482	bmab:BM45_870
ko:K02014	bmab:BM45_873
ko:K02013	bmab:BM45_874
ko:K02016	bmab:BM45_875
ko:K02016	bmab:BM45_876
ko:K02015	bmab:BM45_877
ko:K05825	bmab:BM45_2277
ko:K07497	bmab:BM45_2278
ko:K07497	bmab:BM45_2279
ko:K01628	bmab:BM45_2281
ko:K01714	bmab:BM45_2282
ko:K07156	bmab:BM45_2287
ko:K06183	bmab:BM45_2288
ko:K00523	bmab:BM45_2291
ko:K01996	bmab:BM45_2295
ko:K01995	bmab:BM45_2296
ko:K01998	bmab:BM45_2297
ko:K01997	bmab:BM45_2298
ko:K07497	bmab:BM45_2299
ko:K07497	bmab:BM45_2300
ko:K01679	bmab:BM45_2301
ko:K03592	bmab:BM45_2315
ko:K09889	bmab:BM45_2316
ko:K03831	bmab:BM45_2317
ko:K13288	bmab:BM45_2318
ko:K06013	bmab:BM45_2319
ko:K06949	bmab:BM45_2320
ko:K02227	bmab:BM45_2322
ko:K02884	bmab:BM45_2326
ko:K00554	bmab:BM45_2327
ko:K02860	bmab:BM45_2328
ko:K05366	bmab:BM45_3109
ko:K02663	bmab:BM45_3111
ko:K02666	bmab:BM45_3113
ko:K00891	bmab:BM45_3114
ko:K01735	bmab:BM45_3115
ko:K01129	bmab:BM45_3116
ko:K05813	bmab:BM45_3117
ko:K05814	bmab:BM45_3118
ko:K05815	bmab:BM45_3119
ko:K05816	bmab:BM45_3120
ko:K01126	bmab:BM45_3121
ko:K07275	bmab:BM45_3122
ko:K07491	bmab:BM45_3123
ko:K18369	bmab:BM45_3139
ko:K03746	bmab:BM45_3146
ko:K07044	bmab:BM45_3149
ko:K07497	bmab:BM45_3150
ko:K07497	bmab:BM45_3151
ko:K01495	bmab:BM45_3152
ko:K11891	bmab:BM45_3154
ko:K11892	bmab:BM45_3155
ko:K11893	bmab:BM45_3156
ko:K11904	bmab:BM45_3162
ko:K02669	bmab:BM45_3970
ko:K07657	bmab:BM45_3972
ko:K18373	bmab:BM45_3975
ko:K03220	bmab:BM45_3982
ko:K03220	bmab:BM45_3983
ko:K03227	bmab:BM45_3985
ko:K03226	bmab:BM45_3986
ko:K03225	bmab:BM45_3987
ko:K03230	bmab:BM45_3988
ko:K03229	bmab:BM45_3989
ko:K18373	bmab:BM45_3990
ko:K18374	bmab:BM45_3991
ko:K03222	bmab:BM45_3992
ko:K03223	bmab:BM45_3994
ko:K03224	bmab:BM45_3995
ko:K03228	bmab:BM45_3997
ko:K07497	bmab:BM45_4001
ko:K07497	bmab:BM45_4002
ko:K00836	bmab:BM45_4004
ko:K00156	bmab:BM45_4005
ko:K18288	bmab:BM45_4006
ko:K18290	bmab:BM45_4007
ko:K18292	bmab:BM45_4008
ko:K02002	bmab:BM45_4805
ko:K08720	bmab:BM45_4806
ko:K05994	bmab:BM45_4807
ko:K17736	bmab:BM45_4809
ko:K02002	bmab:BM45_4810
ko:K17735	bmab:BM45_4812
ko:K07107	bmab:BM45_4813
ko:K07497	bmab:BM45_4817
ko:K07497	bmab:BM45_4818
ko:K03186	bmab:BM45_4821
ko:K07390	bmab:BM45_4822
ko:K02493	bmab:BM45_4823
ko:K02835	bmab:BM45_4824
ko:K02492	bmab:BM45_4825
ko:K01262	bmab:BM45_4827
ko:K06202	bmab:BM45_118
ko:K01586	bmab:BM45_120
ko:K17247	bmab:BM45_121
ko:K07497	bmab:BM45_123
ko:K07497	bmab:BM45_124
ko:K02358	bmab:BM45_129
ko:K03073	bmab:BM45_131
ko:K02601	bmab:BM45_132
ko:K02867	bmab:BM45_133
ko:K02863	bmab:BM45_134
ko:K02864	bmab:BM45_135
ko:K02935	bmab:BM45_136
ko:K03043	bmab:BM45_137
ko:K03046	bmab:BM45_138
ko:K03654	bmab:BM45_140
ko:K02950	bmab:BM45_141
ko:K02992	bmab:BM45_142
ko:K02355	bmab:BM45_143
ko:K02358	bmab:BM45_144
ko:K02946	bmab:BM45_145
ko:K02906	bmab:BM45_146
ko:K02926	bmab:BM45_147
ko:K02892	bmab:BM45_148
ko:K02886	bmab:BM45_149
ko:K02965	bmab:BM45_150
ko:K02890	bmab:BM45_151
ko:K02982	bmab:BM45_152
ko:K02878	bmab:BM45_153
ko:K02904	bmab:BM45_154
ko:K02961	bmab:BM45_155
ko:K02874	bmab:BM45_156
ko:K02895	bmab:BM45_157
ko:K02931	bmab:BM45_158
ko:K02954	bmab:BM45_159
ko:K02994	bmab:BM45_160
ko:K02933	bmab:BM45_161
ko:K02881	bmab:BM45_162
ko:K02988	bmab:BM45_163
ko:K02907	bmab:BM45_164
ko:K02876	bmab:BM45_165
ko:K03076	bmab:BM45_166
ko:K02518	bmab:BM45_167
ko:K02919	bmab:BM45_168
ko:K02952	bmab:BM45_169
ko:K02948	bmab:BM45_170
ko:K02986	bmab:BM45_171
ko:K03040	bmab:BM45_172
ko:K02879	bmab:BM45_173
ko:K03926	bmab:BM45_174
ko:K04084	bmab:BM45_175
ko:K07152	bmab:BM45_991
ko:K01087	bmab:BM45_992
ko:K00697	bmab:BM45_993
ko:K06147	bmab:BM45_994
ko:K08983	bmab:BM45_997
ko:K01999	bmab:BM45_999
ko:K07483	bmab:BM45_1000
ko:K07497	bmab:BM45_1001
ko:K07497	bmab:BM45_1002
ko:K00720	bmab:BM45_1006
ko:K00868	bmab:BM45_1009
ko:K01114	bmab:BM45_1010
ko:K07497	bmab:BM45_1011
ko:K07497	bmab:BM45_1012
ko:K07497	bmab:BM45_1013
ko:K10015	bmab:BM45_1014
ko:K10017	bmab:BM45_1015
ko:K00673	bmab:BM45_1018
ko:K00673	bmab:BM45_1019
ko:K06447	bmab:BM45_1020
ko:K01484	bmab:BM45_1021
ko:K05526	bmab:BM45_1022
ko:K00799	bmab:BM45_1023
ko:K10013	bmab:BM45_1024
ko:K10255	bmab:BM45_1025
ko:K02300	bmab:BM45_1026
ko:K02299	bmab:BM45_1027
ko:K02298	bmab:BM45_1029
ko:K02297	bmab:BM45_1030
ko:K13771	bmab:BM45_1032
ko:K04488	bmab:BM45_1035
ko:K11717	bmab:BM45_1036
ko:K09015	bmab:BM45_1037
ko:K09013	bmab:BM45_1038
ko:K09014	bmab:BM45_1039
ko:K07234	bmab:BM45_1040
ko:K07497	bmab:BM45_2435
ko:K07497	bmab:BM45_2436
ko:K04564	bmab:BM45_2438
ko:K03601	bmab:BM45_2439
ko:K00912	bmab:BM45_2440
ko:K09791	bmab:BM45_2441
ko:K00979	bmab:BM45_2442
ko:K00939	bmab:BM45_2443
ko:K03704	bmab:BM45_2445
ko:K06891	bmab:BM45_2446
ko:K03694	bmab:BM45_2447
ko:K07497	bmab:BM45_2449
ko:K07497	bmab:BM45_2450
ko:K02535	bmab:BM45_2454
ko:K07265	bmab:BM45_2458
ko:K03273	bmab:BM45_2459
ko:K03271	bmab:BM45_2461
ko:K07031	bmab:BM45_2462
ko:K01711	bmab:BM45_2463
ko:K09689	bmab:BM45_2470
ko:K09688	bmab:BM45_2472
ko:K10107	bmab:BM45_2473
ko:K01991	bmab:BM45_2474
ko:K07266	bmab:BM45_2476
ko:K16011	bmab:BM45_2477
ko:K03442	bmab:BM45_2479
ko:K03975	bmab:BM45_2480
ko:K03572	bmab:BM45_2481
ko:K00791	bmab:BM45_2482
ko:K01652	bmab:BM45_3278
ko:K06989	bmab:BM45_3279
ko:K01426	bmab:BM45_3287
ko:K01761	bmab:BM45_3289
ko:K00675	bmab:BM45_3292
ko:K09957	bmab:BM45_3293
ko:K07497	bmab:BM45_3296
ko:K07497	bmab:BM45_3297
ko:K03762	bmab:BM45_3298
ko:K07044	bmab:BM45_3300
ko:K15553	bmab:BM45_3304
ko:K03823	bmab:BM45_3306
ko:K03406	bmab:BM45_3309
ko:K10716	bmab:BM45_3314
ko:K01607	bmab:BM45_3316
ko:K06194	bmab:BM45_3323
ko:K17836	bmab:BM45_3324
ko:K03566	bmab:BM45_3325
ko:K02052	bmab:BM45_4116
ko:K00375	bmab:BM45_4117
ko:K02014	bmab:BM45_4120
ko:K12262	bmab:BM45_4122
ko:K06194	bmab:BM45_4124
ko:K00033	bmab:BM45_4127
ko:K03457	bmab:BM45_4130
ko:K07497	bmab:BM45_4132
ko:K07497	bmab:BM45_4133
ko:K11904	bmab:BM45_4136
ko:K11907	bmab:BM45_4137
ko:K11896	bmab:BM45_4139
ko:K11897	bmab:BM45_4140
ko:K06887	bmab:BM45_4141
ko:K11900	bmab:BM45_4142
ko:K11901	bmab:BM45_4143
ko:K11902	bmab:BM45_4144
ko:K11890	bmab:BM45_4146
ko:K11891	bmab:BM45_4147
ko:K11892	bmab:BM45_4148
ko:K11893	bmab:BM45_4149
ko:K11906	bmab:BM45_4150
ko:K07169	bmab:BM45_4152
ko:K01753	bmab:BM45_4159
ko:K01753	bmab:BM45_4160
ko:K04487	bmab:BM45_4166
ko:K07497	bmab:BM45_4963
ko:K03746	bmab:BM45_4965
ko:K01999	bmab:BM45_4971
ko:K11068	bmab:BM45_4972
ko:K11734	bmab:BM45_4976
ko:K00832	bmab:BM45_4977
ko:K05367	bmab:BM45_4985
ko:K06894	bmab:BM45_4986
ko:K01869	bmab:BM45_4991
ko:K03119	bmab:BM45_4996
ko:K04127	bmab:BM45_4997
ko:K09690	bmab:BM45_916
ko:K09691	bmab:BM45_917
ko:K07005	bmab:BM45_3658
ko:K07485	bmab:BM45_139
ko:K07485	bmab:BM45_390
ko:K07485	bmab:BM45_4475
ko:K07485	bmab:BM45_462
ko:K14234	bmab:BM45_42
ko:K03294	bmab:BM45_341
ko:K07402	bmab:BM45_342
ko:K09939	bmab:BM45_343
ko:K04061	bmab:BM45_344
ko:K02423	bmab:BM45_346
ko:K02422	bmab:BM45_347
ko:K02408	bmab:BM45_348
ko:K02409	bmab:BM45_349
ko:K02410	bmab:BM45_350
ko:K02411	bmab:BM45_351
ko:K02412	bmab:BM45_352
ko:K02413	bmab:BM45_353
ko:K02414	bmab:BM45_354
ko:K00154	bmab:BM45_358
ko:K08224	bmab:BM45_362
ko:K19265	bmab:BM45_365
ko:K00477	bmab:BM45_367
ko:K00789	bmab:BM45_369
ko:K02517	bmab:BM45_370
ko:K01778	bmab:BM45_371
ko:K09921	bmab:BM45_372
ko:K03733	bmab:BM45_373
ko:K06969	bmab:BM45_374
ko:K06204	bmab:BM45_376
ko:K01419	bmab:BM45_377
ko:K03667	bmab:BM45_378
ko:K15012	bmab:BM45_379
ko:K15011	bmab:BM45_380
ko:K00930	bmab:BM45_382
ko:K05501	bmab:BM45_384
ko:K00641	bmab:BM45_385
ko:K08218	bmab:BM45_387
ko:K13979	bmab:BM45_391
ko:K07673	bmab:BM45_1198
ko:K00374	bmab:BM45_1199
ko:K00373	bmab:BM45_1200
ko:K00371	bmab:BM45_1201
ko:K00370	bmab:BM45_1202
ko:K02575	bmab:BM45_1203
ko:K02575	bmab:BM45_1204
ko:K02346	bmab:BM45_1206
ko:K01414	bmab:BM45_1207
ko:K01491	bmab:BM45_1208
ko:K00163	bmab:BM45_1211
ko:K00627	bmab:BM45_1212
ko:K00382	bmab:BM45_1213
ko:K07262	bmab:BM45_1215
ko:K18928	bmab:BM45_1219
ko:K01104	bmab:BM45_1222
ko:K13643	bmab:BM45_1223
ko:K04487	bmab:BM45_1224
ko:K04488	bmab:BM45_1225
ko:K13628	bmab:BM45_1226
ko:K04082	bmab:BM45_1227
ko:K01953	bmab:BM45_556
ko:K00800	bmab:BM45_557
ko:K00800	bmab:BM45_558
ko:K02440	bmab:BM45_560
ko:K00864	bmab:BM45_561
ko:K00111	bmab:BM45_562
ko:K02444	bmab:BM45_565
ko:K00681	bmab:BM45_566
ko:K11927	bmab:BM45_569
ko:K07245	bmab:BM45_572
ko:K01684	bmab:BM45_573
ko:K03776	bmab:BM45_580
ko:K07497	bmab:BM45_581
ko:K07497	bmab:BM45_582
ko:K03637	bmab:BM45_583
ko:K03832	bmab:BM45_584
ko:K01902	bmab:BM45_589
ko:K01903	bmab:BM45_590
ko:K03565	bmab:BM45_592
ko:K07649	bmab:BM45_595
ko:K07497	bmab:BM45_601
ko:K03637	bmab:BM45_602
ko:K07019	bmab:BM45_605
ko:K02843	bmab:BM45_607
ko:K00826	bmab:BM45_609
ko:K00927	bmab:BM45_612
ko:K03282	bmab:BM45_1411
ko:K03969	bmab:BM45_1413
ko:K05366	bmab:BM45_1414
ko:K01754	bmab:BM45_1416
ko:K01438	bmab:BM45_1417
ko:K03723	bmab:BM45_1419
ko:K00991	bmab:BM45_1420
ko:K01770	bmab:BM45_1421
ko:K04756	bmab:BM45_1422
ko:K03386	bmab:BM45_1423
ko:K07638	bmab:BM45_1424
ko:K07659	bmab:BM45_1425
ko:K02291	bmab:BM45_1429
ko:K07497	bmab:BM45_1432
ko:K07497	bmab:BM45_1433
ko:K00077	bmab:BM45_1439
ko:K00865	bmab:BM45_1441
ko:K03545	bmab:BM45_1442
ko:K01358	bmab:BM45_1443
ko:K03544	bmab:BM45_1444
ko:K01338	bmab:BM45_1445
ko:K03770	bmab:BM45_1452
ko:K10804	bmab:BM45_1453
ko:K02003	bmab:BM45_1454
ko:K01810	bmab:BM45_1455
ko:K00285	bmab:BM45_1457
ko:K01952	bmab:BM45_1458
ko:K03824	bmab:BM45_1459
ko:K03769	bmab:BM45_1460
ko:K05527	bmab:BM45_1461
ko:K02036	bmab:BM45_2020
ko:K02038	bmab:BM45_2021
ko:K02037	bmab:BM45_2022
ko:K02040	bmab:BM45_2023
ko:K03431	bmab:BM45_2024
ko:K00796	bmab:BM45_2025
ko:K03798	bmab:BM45_2026
ko:K02427	bmab:BM45_2027
ko:K03624	bmab:BM45_2030
ko:K01955	bmab:BM45_2031
ko:K11250	bmab:BM45_2032
ko:K01956	bmab:BM45_2033
ko:K04044	bmab:BM45_1228
ko:K04755	bmab:BM45_1229
ko:K04567	bmab:BM45_1232
ko:K02836	bmab:BM45_1233
ko:K07462	bmab:BM45_1234
ko:K09808	bmab:BM45_1236
ko:K09810	bmab:BM45_1237
ko:K03424	bmab:BM45_1238
ko:K02238	bmab:BM45_1239
ko:K01937	bmab:BM45_1241
ko:K01627	bmab:BM45_1242
ko:K01689	bmab:BM45_1243
ko:K05589	bmab:BM45_1244
ko:K04083	bmab:BM45_1246
ko:K02280	bmab:BM45_1808
ko:K02279	bmab:BM45_1809
ko:K02278	bmab:BM45_1810
ko:K02651	bmab:BM45_1811
ko:K02050	bmab:BM45_1812
ko:K02049	bmab:BM45_1813
ko:K02051	bmab:BM45_1815
ko:K03761	bmab:BM45_1816
ko:K09786	bmab:BM45_1818
ko:K07180	bmab:BM45_1819
ko:K07497	bmab:BM45_1820
ko:K07497	bmab:BM45_1821
ko:K13635	bmab:BM45_1823
ko:K02045	bmab:BM45_1824
ko:K02047	bmab:BM45_1825
ko:K02046	bmab:BM45_1826
ko:K02048	bmab:BM45_1827
ko:K01356	bmab:BM45_1828
ko:K09695	bmab:BM45_1832
ko:K09694	bmab:BM45_1833
ko:K07089	bmab:BM45_1835
ko:K05539	bmab:BM45_1840
ko:K07497	bmab:BM45_1843
ko:K07497	bmab:BM45_1844
ko:K15555	bmab:BM45_1849
ko:K15554	bmab:BM45_1850
ko:K04091	bmab:BM45_1851
ko:K03297	bmab:BM45_1855
ko:K00946	bmab:BM45_2639
ko:K01095	bmab:BM45_2640
ko:K03743	bmab:BM45_2641
ko:K01591	bmab:BM45_2642
