ko:K01212	bso:BSNT_10032
ko:K00931	bso:BSNT_08437
ko:K06321	bso:BSNT_08552
ko:K06319	bso:BSNT_08553
ko:K06320	bso:BSNT_08554
ko:K01083	bso:BSNT_08555
ko:K07305	bso:BSNT_08558
ko:K07304	bso:BSNT_08559
ko:K07152	bso:BSNT_08565
ko:K01754	bso:BSNT_08567
ko:K11068	bso:BSNT_08569
ko:K01687	bso:BSNT_08576
ko:K06950	bso:BSNT_08578
ko:K00432	bso:BSNT_08579
ko:K00651	bso:BSNT_08580
ko:K03429	bso:BSNT_08581
ko:K03704	bso:BSNT_08582
ko:K03469	bso:BSNT_08586
ko:K09125	bso:BSNT_08587
ko:K03469	bso:BSNT_08588
ko:K06429	bso:BSNT_08589
ko:K16168	bso:BSNT_08597
ko:K16167	bso:BSNT_08598
ko:K16169	bso:BSNT_08599
ko:K03816	bso:BSNT_08600
ko:K01299	bso:BSNT_08602
ko:K02526	bso:BSNT_08603
ko:K01625	bso:BSNT_08604
ko:K00874	bso:BSNT_08605
ko:K02525	bso:BSNT_08606
ko:K01815	bso:BSNT_08607
ko:K07651	bso:BSNT_08715
ko:K07775	bso:BSNT_08716
ko:K07399	bso:BSNT_08718
ko:K06178	bso:BSNT_08720
ko:K06374	bso:BSNT_08721
ko:K06373	bso:BSNT_08722
ko:K06024	bso:BSNT_08725
ko:K05896	bso:BSNT_08726
ko:K09763	bso:BSNT_08727
ko:K02859	bso:BSNT_08728
ko:K00794	bso:BSNT_08729
ko:K14652	bso:BSNT_08730
ko:K00793	bso:BSNT_08731
ko:K11752	bso:BSNT_08732
ko:K03100	bso:BSNT_08734
ko:K07069	bso:BSNT_08736
ko:K03768	bso:BSNT_08738
ko:K01173	bso:BSNT_08741
ko:K03768	bso:BSNT_08754
ko:K03768	bso:BSNT_08755
ko:K01586	bso:BSNT_08757
ko:K06408	bso:BSNT_08758
ko:K06407	bso:BSNT_08759
ko:K06407	bso:BSNT_08760
ko:K06406	bso:BSNT_08761
ko:K06405	bso:BSNT_08762
ko:K06404	bso:BSNT_08763
ko:K06403	bso:BSNT_08764
ko:K03091	bso:BSNT_08765
ko:K06379	bso:BSNT_08766
ko:K06378	bso:BSNT_08767
ko:K07258	bso:BSNT_08768
ko:K03783	bso:BSNT_08769
ko:K06391	bso:BSNT_08879
ko:K06390	bso:BSNT_08880
ko:K02356	bso:BSNT_08882
ko:K01262	bso:BSNT_08883
ko:K03786	bso:BSNT_08884
ko:K07001	bso:BSNT_08888
ko:K03800	bso:BSNT_08890
ko:K00283	bso:BSNT_08892
ko:K00282	bso:BSNT_08893
ko:K00605	bso:BSNT_08894
ko:K06372	bso:BSNT_08897
ko:K19449	bso:BSNT_08898
ko:K13280	bso:BSNT_08900
ko:K02249	bso:BSNT_08905
ko:K02248	bso:BSNT_08907
ko:K02247	bso:BSNT_08908
ko:K02246	bso:BSNT_08909
ko:K02245	bso:BSNT_08910
ko:K02244	bso:BSNT_08911
ko:K02243	bso:BSNT_08912
ko:K17763	bso:BSNT_08917
ko:K16509	bso:BSNT_08919
ko:K01308	bso:BSNT_08925
ko:K00845	bso:BSNT_08927
ko:K19225	bso:BSNT_08929
ko:K01934	bso:BSNT_08932
ko:K08153	bso:BSNT_09049
ko:K00657	bso:BSNT_09050
ko:K07222	bso:BSNT_09055
ko:K16264	bso:BSNT_09056
ko:K03311	bso:BSNT_09057
ko:K03623	bso:BSNT_09061
ko:K05593	bso:BSNT_09067
ko:K00459	bso:BSNT_09068
ko:K01776	bso:BSNT_09069
ko:K09815	bso:BSNT_09072
ko:K03088	bso:BSNT_09073
ko:K01233	bso:BSNT_09076
ko:K06440	bso:BSNT_09082
ko:K00121	bso:BSNT_09084
ko:K06439	bso:BSNT_09086
ko:K01607	bso:BSNT_09088
ko:K13979	bso:BSNT_09089
ko:K05520	bso:BSNT_09090
ko:K03332	bso:BSNT_09091
ko:K11195	bso:BSNT_09094
ko:K11737	bso:BSNT_09097
ko:K03630	bso:BSNT_09208
ko:K06287	bso:BSNT_09209
ko:K06380	bso:BSNT_09210
ko:K02236	bso:BSNT_09211
ko:K11754	bso:BSNT_09212
ko:K01873	bso:BSNT_09213
ko:K06417	bso:BSNT_09216
ko:K01845	bso:BSNT_09217
ko:K01698	bso:BSNT_09218
ko:K01719	bso:BSNT_09219
ko:K01749	bso:BSNT_09220
ko:K02497	bso:BSNT_09221
ko:K02492	bso:BSNT_09222
ko:K03978	bso:BSNT_09224
ko:K01338	bso:BSNT_09225
ko:K04076	bso:BSNT_09226
ko:K03544	bso:BSNT_09227
ko:K03545	bso:BSNT_09228
ko:K01704	bso:BSNT_09231
ko:K01703	bso:BSNT_09232
ko:K00052	bso:BSNT_09233
ko:K01649	bso:BSNT_09234
ko:K00053	bso:BSNT_09235
ko:K01653	bso:BSNT_09236
ko:K01652	bso:BSNT_09237
ko:K03829	bso:BSNT_09240
ko:K01154	bso:BSNT_09247
ko:K03427	bso:BSNT_09248
ko:K01153	bso:BSNT_09249
ko:K07095	bso:BSNT_09254
ko:K02428	bso:BSNT_09255
ko:K00989	bso:BSNT_09256
ko:K06298	bso:BSNT_09257
ko:K01776	bso:BSNT_09258
ko:K01994	bso:BSNT_09260
ko:K07107	bso:BSNT_09261
ko:K00240	bso:BSNT_09262
ko:K02337	bso:BSNT_09346
ko:K06881	bso:BSNT_09350
ko:K00059	bso:BSNT_09357
ko:K01755	bso:BSNT_09359
ko:K01940	bso:BSNT_09360
ko:K03638	bso:BSNT_09361
ko:K00925	bso:BSNT_09362
ko:K11065	bso:BSNT_09365
ko:K04773	bso:BSNT_09369
ko:K00858	bso:BSNT_09370
ko:K01895	bso:BSNT_09372
ko:K03151	bso:BSNT_09374
ko:K04487	bso:BSNT_09375
ko:K03311	bso:BSNT_09376
ko:K06286	bso:BSNT_09377
ko:K04486	bso:BSNT_09378
ko:K02986	bso:BSNT_09383
ko:K01866	bso:BSNT_09385
ko:K01895	bso:BSNT_09387
ko:K04766	bso:BSNT_09388
ko:K04767	bso:BSNT_09389
ko:K04768	bso:BSNT_09390
ko:K02557	bso:BSNT_09391
ko:K02556	bso:BSNT_09392
ko:K02529	bso:BSNT_09393
ko:K13853	bso:BSNT_09394
ko:K01924	bso:BSNT_09399
ko:K03466	bso:BSNT_09400
ko:K07406	bso:BSNT_09450
ko:K01869	bso:BSNT_09452
ko:K11632	bso:BSNT_09458
ko:K11631	bso:BSNT_09459
ko:K11629	bso:BSNT_09461
ko:K11630	bso:BSNT_09462
ko:K16918	bso:BSNT_09463
ko:K16920	bso:BSNT_09464
ko:K16919	bso:BSNT_09465
ko:K16919	bso:BSNT_09466
ko:K16921	bso:BSNT_09467
ko:K07979	bso:BSNT_09468
ko:K07139	bso:BSNT_09471
ko:K16188	bso:BSNT_09473
ko:K01048	bso:BSNT_09474
ko:K01953	bso:BSNT_09477
ko:K00789	bso:BSNT_09478
ko:K01610	bso:BSNT_09479
ko:K02051	bso:BSNT_09482
ko:K02049	bso:BSNT_09483
ko:K02050	bso:BSNT_09484
ko:K03574	bso:BSNT_09485
ko:K04047	bso:BSNT_09487
ko:K07173	bso:BSNT_09490
ko:K08998	bso:BSNT_09491
ko:K01673	bso:BSNT_09492
ko:K02909	bso:BSNT_09493
ko:K00425	bso:BSNT_09494
ko:K00426	bso:BSNT_09495
ko:K11709	bso:BSNT_09497
ko:K11708	bso:BSNT_09498
ko:K11710	bso:BSNT_09499
ko:K11707	bso:BSNT_09500
ko:K02549	bso:BSNT_09501
ko:K01911	bso:BSNT_09502
ko:K01661	bso:BSNT_09503
ko:K08680	bso:BSNT_09504
ko:K02551	bso:BSNT_09505
ko:K02552	bso:BSNT_09506
ko:K00963	bso:BSNT_09508
ko:K00012	bso:BSNT_09509
ko:K06338	bso:BSNT_09514
ko:K00688	bso:BSNT_09517
ko:K00703	bso:BSNT_09518
ko:K00975	bso:BSNT_09519
ko:K00975	bso:BSNT_09520
ko:K00700	bso:BSNT_09521
ko:K16789	bso:BSNT_09549
ko:K07192	bso:BSNT_09551
ko:K11440	bso:BSNT_09555
ko:K03499	bso:BSNT_09559
ko:K03498	bso:BSNT_09560
ko:K14155	bso:BSNT_09606
ko:K07697	bso:BSNT_09607
ko:K06347	bso:BSNT_09608
ko:K06348	bso:BSNT_09609
ko:K18770	bso:BSNT_09612
ko:K11614	bso:BSNT_09615
ko:K11615	bso:BSNT_09616
ko:K07335	bso:BSNT_09617
ko:K02056	bso:BSNT_09618
ko:K02057	bso:BSNT_09619
ko:K02057	bso:BSNT_09620
ko:K11616	bso:BSNT_09621
ko:K05565	bso:BSNT_09623
ko:K05566	bso:BSNT_09624
ko:K05567	bso:BSNT_09625
ko:K05568	bso:BSNT_09626
ko:K05569	bso:BSNT_09627
ko:K05570	bso:BSNT_09628
ko:K05571	bso:BSNT_09629
ko:K07691	bso:BSNT_09631
ko:K07680	bso:BSNT_09632
ko:K02253	bso:BSNT_09633
ko:K01448	bso:BSNT_10197
ko:K01791	bso:BSNT_10206
ko:K00963	bso:BSNT_10208
ko:K09693	bso:BSNT_10213
ko:K09692	bso:BSNT_10214
ko:K05946	bso:BSNT_10219
ko:K01809	bso:BSNT_10222
ko:K06291	bso:BSNT_10223
ko:K06292	bso:BSNT_10224
ko:K06293	bso:BSNT_10225
ko:K07282	bso:BSNT_10232
ko:K02529	bso:BSNT_10235
ko:K00852	bso:BSNT_10236
ko:K06726	bso:BSNT_10237
ko:K10441	bso:BSNT_10238
ko:K10440	bso:BSNT_10239
ko:K10439	bso:BSNT_10240
ko:K01575	bso:BSNT_10244
ko:K01652	bso:BSNT_10245
ko:K03893	bso:BSNT_10247
ko:K06325	bso:BSNT_10249
ko:K06330	bso:BSNT_10250
ko:K06131	bso:BSNT_10310
ko:K07118	bso:BSNT_10313
ko:K01428	bso:BSNT_10315
ko:K01429	bso:BSNT_10316
ko:K01430	bso:BSNT_10317
ko:K06360	bso:BSNT_10320
ko:K03639	bso:BSNT_10321
ko:K02379	bso:BSNT_10322
ko:K07114	bso:BSNT_10324
ko:K07114	bso:BSNT_10326
ko:K06381	bso:BSNT_10327
ko:K00790	bso:BSNT_10329
ko:K02114	bso:BSNT_10333
ko:K02112	bso:BSNT_10334
ko:K02115	bso:BSNT_10335
ko:K02111	bso:BSNT_10336
ko:K02113	bso:BSNT_10337
ko:K02109	bso:BSNT_10338
ko:K02110	bso:BSNT_10340
ko:K02108	bso:BSNT_10341
ko:K02116	bso:BSNT_10342
ko:K00761	bso:BSNT_10343
ko:K00600	bso:BSNT_10344
ko:K01808	bso:BSNT_10346
ko:K07566	bso:BSNT_10349
ko:K06387	bso:BSNT_10351
ko:K02493	bso:BSNT_10354
ko:K02835	bso:BSNT_10355
ko:K08234	bso:BSNT_10356
ko:K11686	bso:BSNT_10357
ko:K07088	bso:BSNT_10358
ko:K00027	bso:BSNT_10359
ko:K02909	bso:BSNT_10361
ko:K08166	bso:BSNT_10415
ko:K09388	bso:BSNT_10417
ko:K06885	bso:BSNT_10418
ko:K06314	bso:BSNT_10420
ko:K03298	bso:BSNT_10421
ko:K16869	bso:BSNT_10422
ko:K00625	bso:BSNT_10424
ko:K19549	bso:BSNT_10427
ko:K19552	bso:BSNT_10428
ko:K13037	bso:BSNT_10429
ko:K19548	bso:BSNT_10430
ko:K19547	bso:BSNT_10431
ko:K19546	bso:BSNT_10432
ko:K02205	bso:BSNT_10435
ko:K00294	bso:BSNT_10437
ko:K00260	bso:BSNT_10439
ko:K01790	bso:BSNT_10441
ko:K00067	bso:BSNT_10442
ko:K01710	bso:BSNT_10443
ko:K00973	bso:BSNT_10444
ko:K07257	bso:BSNT_10446
ko:K06305	bso:BSNT_10452
ko:K00128	bso:BSNT_10456
ko:K03648	bso:BSNT_10457
ko:K00868	bso:BSNT_10459
ko:K01193	bso:BSNT_10461
ko:K02809	bso:BSNT_10462
ko:K02810	bso:BSNT_10462
ko:K02598	bso:BSNT_10463
ko:K03488	bso:BSNT_10464
ko:K03488	bso:BSNT_10465
ko:K14647	bso:BSNT_10467
ko:K03488	bso:BSNT_10579
ko:K06902	bso:BSNT_10581
ko:K01223	bso:BSNT_10610
ko:K01223	bso:BSNT_10611
ko:K02755	bso:BSNT_10612
ko:K02756	bso:BSNT_10612
ko:K02757	bso:BSNT_10612
ko:K03574	bso:BSNT_10619
ko:K06113	bso:BSNT_10621
ko:K01712	bso:BSNT_10622
ko:K00756	bso:BSNT_10624
ko:K11535	bso:BSNT_10625
ko:K01619	bso:BSNT_10626
ko:K05346	bso:BSNT_10627
ko:K04023	bso:BSNT_10629
ko:K16963	bso:BSNT_10632
ko:K16962	bso:BSNT_10633
ko:K16961	bso:BSNT_10634
ko:K01442	bso:BSNT_10638
ko:K02016	bso:BSNT_10646
ko:K11636	bso:BSNT_10648
ko:K11635	bso:BSNT_10650
ko:K11635	bso:BSNT_10651
ko:K11633	bso:BSNT_10652
ko:K11634	bso:BSNT_10653
ko:K03339	bso:BSNT_10654
ko:K06606	bso:BSNT_10655
ko:K06605	bso:BSNT_10656
ko:K00010	bso:BSNT_10657
ko:K06610	bso:BSNT_10658
ko:K03335	bso:BSNT_10659
ko:K03336	bso:BSNT_10660
ko:K03338	bso:BSNT_10661
ko:K03337	bso:BSNT_10662
ko:K00140	bso:BSNT_10663
ko:K06608	bso:BSNT_10665
ko:K04079	bso:BSNT_10674
ko:K07155	bso:BSNT_10685
ko:K18939	bso:BSNT_10686
ko:K06518	bso:BSNT_10689
ko:K19426	bso:BSNT_10691
ko:K00865	bso:BSNT_10692
ko:K11476	bso:BSNT_10693
ko:K00851	bso:BSNT_10694
ko:K03299	bso:BSNT_10695
ko:K00033	bso:BSNT_10696
ko:K03386	bso:BSNT_10698
ko:K03387	bso:BSNT_10699
ko:K01223	bso:BSNT_10700
ko:K03489	bso:BSNT_10702
ko:K16916	bso:BSNT_10703
ko:K16917	bso:BSNT_10704
ko:K04041	bso:BSNT_10705
ko:K13993	bso:BSNT_10709
ko:K01449	bso:BSNT_10711
ko:K07497	bso:BSNT_10720
ko:K07483	bso:BSNT_10721
ko:K07497	bso:BSNT_10725
ko:K00783	bso:BSNT_10729
ko:K00148	bso:BSNT_10731
ko:K01476	bso:BSNT_10739
ko:K02205	bso:BSNT_10740
ko:K00819	bso:BSNT_10741
ko:K06714	bso:BSNT_10747
ko:K04771	bso:BSNT_10749
ko:K07652	bso:BSNT_10753
ko:K07668	bso:BSNT_10754
ko:K01939	bso:BSNT_10759
ko:K03449	bso:BSNT_10766
ko:K02939	bso:BSNT_10768
ko:K06329	bso:BSNT_10772
ko:K06329	bso:BSNT_10773
ko:K15986	bso:BSNT_10775
ko:K08224	bso:BSNT_10784
ko:K07149	bso:BSNT_10789
ko:K06888	bso:BSNT_10796
ko:K07052	bso:BSNT_10797
ko:K08369	bso:BSNT_10798
ko:K01759	bso:BSNT_10799
ko:K03696	bso:BSNT_10801
ko:K01142	bso:BSNT_10805
ko:K03111	bso:BSNT_10806
ko:K02990	bso:BSNT_10807
ko:K06942	bso:BSNT_10808
ko:K03497	bso:BSNT_10814
ko:K03496	bso:BSNT_10815
ko:K03497	bso:BSNT_10817
ko:K03501	bso:BSNT_10818
ko:K03495	bso:BSNT_10819
ko:K03650	bso:BSNT_10820
ko:K06346	bso:BSNT_10821
ko:K03217	bso:BSNT_10822
ko:K03536	bso:BSNT_10823
ko:K06959	bso:BSNT_06825
ko:K03095	bso:BSNT_06827
ko:K07467	bso:BSNT_06840
ko:K03294	bso:BSNT_06858
ko:K07729	bso:BSNT_06863
ko:K03704	bso:BSNT_06866
ko:K07736	bso:BSNT_06867
ko:K13653	bso:BSNT_06873
ko:K06885	bso:BSNT_06941
ko:K18567	bso:BSNT_06943
ko:K02760	bso:BSNT_06944
ko:K02759	bso:BSNT_06945
ko:K02759	bso:BSNT_06946
ko:K02761	bso:BSNT_06947
ko:K02761	bso:BSNT_06948
ko:K01223	bso:BSNT_06949
ko:K03492	bso:BSNT_06950
ko:K00847	bso:BSNT_06951
ko:K01809	bso:BSNT_06952
ko:K01218	bso:BSNT_06953
ko:K07217	bso:BSNT_06954
ko:K00946	bso:BSNT_06963
ko:K06925	bso:BSNT_06964
ko:K14742	bso:BSNT_06965
ko:K03789	bso:BSNT_06966
ko:K01409	bso:BSNT_06967
ko:K06158	bso:BSNT_06968
ko:K03637	bso:BSNT_06969
ko:K01926	bso:BSNT_06970
ko:K03116	bso:BSNT_06971
ko:K03118	bso:BSNT_06972
ko:K07052	bso:BSNT_06975
ko:K04078	bso:BSNT_06976
ko:K04077	bso:BSNT_06977
ko:K16247	bso:BSNT_06980
ko:K00008	bso:BSNT_06981
ko:K16248	bso:BSNT_06982
ko:K00847	bso:BSNT_06983
ko:K03969	bso:BSNT_06984
ko:K03969	bso:BSNT_06985
ko:K06872	bso:BSNT_06987
ko:K06609	bso:BSNT_06991
ko:K00004	bso:BSNT_06992
ko:K07507	bso:BSNT_07044
ko:K03307	bso:BSNT_07045
ko:K02435	bso:BSNT_07046
ko:K02433	bso:BSNT_07047
ko:K02434	bso:BSNT_07048
ko:K07029	bso:BSNT_07051
ko:K03215	bso:BSNT_07052
ko:K06366	bso:BSNT_07062
ko:K16137	bso:BSNT_07067
ko:K06332	bso:BSNT_07068
ko:K06333	bso:BSNT_07069
ko:K06334	bso:BSNT_07070
ko:K07718	bso:BSNT_07075
ko:K07720	bso:BSNT_07076
ko:K02027	bso:BSNT_07078
ko:K02025	bso:BSNT_07079
ko:K02026	bso:BSNT_07080
ko:K15532	bso:BSNT_07081
ko:K18197	bso:BSNT_07086
ko:K01190	bso:BSNT_07091
ko:K01190	bso:BSNT_07092
ko:K17318	bso:BSNT_07096
ko:K17319	bso:BSNT_07097
ko:K17320	bso:BSNT_07098
ko:K07406	bso:BSNT_07099
ko:K07145	bso:BSNT_07101
ko:K17763	bso:BSNT_07104
ko:K06890	bso:BSNT_07106
ko:K14338	bso:BSNT_07111
ko:K19005	bso:BSNT_07113
ko:K00978	bso:BSNT_07114
ko:K01709	bso:BSNT_07115
ko:K08223	bso:BSNT_07119
ko:K01560	bso:BSNT_07120
ko:K03294	bso:BSNT_07121
ko:K15738	bso:BSNT_07124
ko:K01728	bso:BSNT_07133
ko:K03319	bso:BSNT_07134
ko:K11637	bso:BSNT_07135
ko:K11638	bso:BSNT_07136
ko:K11639	bso:BSNT_07139
ko:K00491	bso:BSNT_07141
ko:K01512	bso:BSNT_07142
ko:K01265	bso:BSNT_07147
ko:K02803	bso:BSNT_07148
ko:K02804	bso:BSNT_07148
ko:K19005	bso:BSNT_07149
ko:K03310	bso:BSNT_07151
ko:K02818	bso:BSNT_07153
ko:K02819	bso:BSNT_07153
ko:K01226	bso:BSNT_07154
ko:K03486	bso:BSNT_07155
ko:K08693	bso:BSNT_07157
ko:K05520	bso:BSNT_07159
ko:K03284	bso:BSNT_07177
ko:K01247	bso:BSNT_07178
ko:K03215	bso:BSNT_07179
ko:K00627	bso:BSNT_07185
ko:K00382	bso:BSNT_07186
ko:K06425	bso:BSNT_07189
ko:K09771	bso:BSNT_07190
ko:K01232	bso:BSNT_07196
ko:K03481	bso:BSNT_07197
ko:K02749	bso:BSNT_07198
ko:K02750	bso:BSNT_07198
ko:K06147	bso:BSNT_07201
ko:K06147	bso:BSNT_07202
ko:K07104	bso:BSNT_07204
ko:K06609	bso:BSNT_07206
ko:K01990	bso:BSNT_07213
ko:K01992	bso:BSNT_07214
ko:K01992	bso:BSNT_07215
ko:K14205	bso:BSNT_07225
ko:K02016	bso:BSNT_07226
ko:K02015	bso:BSNT_07228
ko:K02015	bso:BSNT_07229
ko:K07071	bso:BSNT_07234
ko:K03565	bso:BSNT_07235
ko:K03147	bso:BSNT_07285
ko:K03781	bso:BSNT_07288
ko:K15555	bso:BSNT_07290
ko:K15553	bso:BSNT_07291
ko:K15554	bso:BSNT_07292
ko:K04091	bso:BSNT_07293
ko:K02954	bso:BSNT_07296
ko:K18979	bso:BSNT_07301
ko:K03216	bso:BSNT_07303
ko:K07180	bso:BSNT_07308
ko:K09786	bso:BSNT_07309
ko:K03809	bso:BSNT_07314
ko:K01990	bso:BSNT_07318
ko:K01990	bso:BSNT_07319
ko:K01992	bso:BSNT_07320
ko:K03704	bso:BSNT_07321
ko:K02073	bso:BSNT_07322
ko:K18967	bso:BSNT_07323
ko:K06956	bso:BSNT_07324
ko:K03088	bso:BSNT_07384
ko:K00655	bso:BSNT_07386
ko:K11358	bso:BSNT_07389
ko:K11358	bso:BSNT_07390
ko:K06199	bso:BSNT_07393
ko:K06199	bso:BSNT_07394
ko:K01126	bso:BSNT_07395
ko:K16052	bso:BSNT_07397
ko:K12410	bso:BSNT_07398
ko:K00824	bso:BSNT_07400
ko:K03315	bso:BSNT_07401
ko:K01897	bso:BSNT_07464
ko:K01342	bso:BSNT_07467
ko:K02016	bso:BSNT_07471
ko:K00626	bso:BSNT_07473
ko:K01897	bso:BSNT_07474
ko:K03523	bso:BSNT_07475
ko:K06595	bso:BSNT_07476
ko:K02250	bso:BSNT_07482
ko:K03307	bso:BSNT_07486
ko:K03100	bso:BSNT_07490
ko:K08174	bso:BSNT_07496
ko:K18652	bso:BSNT_07497
ko:K18654	bso:BSNT_07498
ko:K18653	bso:BSNT_07499
ko:K07120	bso:BSNT_07501
ko:K16899	bso:BSNT_07508
ko:K16898	bso:BSNT_07509
ko:K03547	bso:BSNT_07510
ko:K06304	bso:BSNT_07513
ko:K06303	bso:BSNT_07514
ko:K06302	bso:BSNT_07515
ko:K06301	bso:BSNT_07516
ko:K06300	bso:BSNT_07517
ko:K06299	bso:BSNT_07518
ko:K02035	bso:BSNT_07575
ko:K02033	bso:BSNT_07576
ko:K02034	bso:BSNT_07577
ko:K01867	bso:BSNT_07580
ko:K15580	bso:BSNT_07581
ko:K15581	bso:BSNT_07582
ko:K15582	bso:BSNT_07583
ko:K15583	bso:BSNT_07584
ko:K10823	bso:BSNT_07585
ko:K16509	bso:BSNT_07588
ko:K16511	bso:BSNT_07591
ko:K08602	bso:BSNT_07594
ko:K06886	bso:BSNT_07599
ko:K07816	bso:BSNT_07603
ko:K00858	bso:BSNT_07604
ko:K06180	bso:BSNT_07605
ko:K03455	bso:BSNT_07607
ko:K03707	bso:BSNT_07608
ko:K10810	bso:BSNT_07609
ko:K03153	bso:BSNT_07610
ko:K03154	bso:BSNT_07611
ko:K03149	bso:BSNT_07612
ko:K00941	bso:BSNT_07614
ko:K00208	bso:BSNT_07615
ko:K06342	bso:BSNT_07620
ko:K06341	bso:BSNT_07621
ko:K06340	bso:BSNT_07622
ko:K03657	bso:BSNT_07628
ko:K01719	bso:BSNT_07694
ko:K02069	bso:BSNT_07695
ko:K02068	bso:BSNT_07696
ko:K03885	bso:BSNT_07701
ko:K01812	bso:BSNT_07703
ko:K03292	bso:BSNT_07704
ko:K00073	bso:BSNT_07705
ko:K08322	bso:BSNT_07706
ko:K01686	bso:BSNT_07707
ko:K08191	bso:BSNT_07709
ko:K02529	bso:BSNT_07710
ko:K00041	bso:BSNT_07711
ko:K01685	bso:BSNT_07712
ko:K07090	bso:BSNT_07713
ko:K06359	bso:BSNT_07718
ko:K06352	bso:BSNT_07719
ko:K07217	bso:BSNT_07724
ko:K03088	bso:BSNT_07734
ko:K17763	bso:BSNT_07807
ko:K16785	bso:BSNT_07808
ko:K16786	bso:BSNT_07809
ko:K16787	bso:BSNT_07809
ko:K16925	bso:BSNT_07810
ko:K06213	bso:BSNT_07817
ko:K15973	bso:BSNT_07821
ko:K07098	bso:BSNT_07824
ko:K01971	bso:BSNT_07827
ko:K10979	bso:BSNT_07828
ko:K03093	bso:BSNT_07832
ko:K06421	bso:BSNT_07834
ko:K03799	bso:BSNT_07836
ko:K13533	bso:BSNT_07843
ko:K00567	bso:BSNT_07844
ko:K08963	bso:BSNT_07846
ko:K00899	bso:BSNT_07847
ko:K08969	bso:BSNT_07849
ko:K08965	bso:BSNT_07850
ko:K08966	bso:BSNT_07851
ko:K08964	bso:BSNT_07852
ko:K08967	bso:BSNT_07853
ko:K06376	bso:BSNT_07855
ko:K13532	bso:BSNT_07857
ko:K15973	bso:BSNT_07859
ko:K02557	bso:BSNT_07860
ko:K02556	bso:BSNT_07861
ko:K03697	bso:BSNT_07862
ko:K06437	bso:BSNT_07922
ko:K03752	bso:BSNT_07923
ko:K03750	bso:BSNT_07925
ko:K03753	bso:BSNT_07926
ko:K03635	bso:BSNT_07927
ko:K03636	bso:BSNT_07928
ko:K06147	bso:BSNT_07929
ko:K06147	bso:BSNT_07931
ko:K02005	bso:BSNT_07933
ko:K02003	bso:BSNT_07934
ko:K02004	bso:BSNT_07935
ko:K03436	bso:BSNT_07936
ko:K00882	bso:BSNT_07937
ko:K02768	bso:BSNT_07938
ko:K02769	bso:BSNT_07938
ko:K02770	bso:BSNT_07938
ko:K03100	bso:BSNT_07939
ko:K00077	bso:BSNT_07942
ko:K19689	bso:BSNT_07943
ko:K03569	bso:BSNT_07945
ko:K06284	bso:BSNT_07946
ko:K07698	bso:BSNT_07947
ko:K03499	bso:BSNT_07949
ko:K01486	bso:BSNT_07950
ko:K12574	bso:BSNT_07951
ko:K01462	bso:BSNT_07955
ko:K00161	bso:BSNT_07959
ko:K00162	bso:BSNT_07960
ko:K00627	bso:BSNT_07961
ko:K00382	bso:BSNT_07962
