ko:K18917	cou:Cp162_0628
ko:K00759	cou:Cp162_1165
ko:K03074	cou:Cp162_1167
ko:K03072	cou:Cp162_1168
ko:K03210	cou:Cp162_1169
ko:K03551	cou:Cp162_1170
ko:K03550	cou:Cp162_1171
ko:K01159	cou:Cp162_1172
ko:K00995	cou:Cp162_1182
ko:K01868	cou:Cp162_1184
ko:K07156	cou:Cp162_1187
ko:K03684	cou:Cp162_1194
ko:K01662	cou:Cp162_1195
ko:K00886	cou:Cp162_1203
ko:K03086	cou:Cp162_1204
ko:K07560	cou:Cp162_1210
ko:K04756	cou:Cp162_1217
ko:K04761	cou:Cp162_1220
ko:K03578	cou:Cp162_1222
ko:K07738	cou:Cp162_1223
ko:K01356	cou:Cp162_1225
ko:K00299	cou:Cp162_1235
ko:K03665	cou:Cp162_1237
ko:K01778	cou:Cp162_1240
ko:K00791	cou:Cp162_1241
ko:K06168	cou:Cp162_1246
ko:K03565	cou:Cp162_1247
ko:K03523	cou:Cp162_1250
ko:K00995	cou:Cp162_1256
ko:K09780	cou:Cp162_1257
ko:K03466	cou:Cp162_1260
ko:K01714	cou:Cp162_1263
ko:K00215	cou:Cp162_1265
ko:K00962	cou:Cp162_1266
ko:K02956	cou:Cp162_1267
ko:K11753	cou:Cp162_1269
ko:K02834	cou:Cp162_1275
ko:K02519	cou:Cp162_1276
ko:K07742	cou:Cp162_1277
ko:K02600	cou:Cp162_1278
ko:K09748	cou:Cp162_1279
ko:K01881	cou:Cp162_1281
ko:K09861	cou:Cp162_1282
ko:K02224	cou:Cp162_1287
ko:K13580	cou:Cp162_1289
ko:K00116	cou:Cp162_1291
ko:K02232	cou:Cp162_1295
ko:K01265	cou:Cp162_1296
ko:K00099	cou:Cp162_1300
ko:K06941	cou:Cp162_1303
ko:K00981	cou:Cp162_1305
ko:K02838	cou:Cp162_1306
ko:K09903	cou:Cp162_1307
ko:K02357	cou:Cp162_1308
ko:K02967	cou:Cp162_1309
ko:K03733	cou:Cp162_1311
ko:K03470	cou:Cp162_1315
ko:K03100	cou:Cp162_1316
ko:K02884	cou:Cp162_1317
ko:K06959	cou:Cp162_1318
ko:K00554	cou:Cp162_1321
ko:K02860	cou:Cp162_1322
ko:K02959	cou:Cp162_1324
ko:K03106	cou:Cp162_1325
ko:K00990	cou:Cp162_1326
ko:K04751	cou:Cp162_1327
ko:K03110	cou:Cp162_1328
ko:K03529	cou:Cp162_1330
ko:K01512	cou:Cp162_1331
ko:K03310	cou:Cp162_1332
ko:K03685	cou:Cp162_1334
ko:K07040	cou:Cp162_1335
ko:K00259	cou:Cp162_1338
ko:K00262	cou:Cp162_1339
ko:K00865	cou:Cp162_1340
ko:K00688	cou:Cp162_1344
ko:K00873	cou:Cp162_1346
ko:K01609	cou:Cp162_1348
ko:K02500	cou:Cp162_1351
ko:K02501	cou:Cp162_1354
ko:K01693	cou:Cp162_1357
ko:K00817	cou:Cp162_1358
ko:K00013	cou:Cp162_1359
ko:K04762	cou:Cp162_1369
ko:K02337	cou:Cp162_1373
ko:K05786	cou:Cp162_1374
ko:K06180	cou:Cp162_1376
ko:K03101	cou:Cp162_1377
ko:K02346	cou:Cp162_1381
ko:K01870	cou:Cp162_1382
ko:K02221	cou:Cp162_1385
ko:K09772	cou:Cp162_1386
ko:K05810	cou:Cp162_1387
ko:K03531	cou:Cp162_1388
ko:K01924	cou:Cp162_1390
ko:K02563	cou:Cp162_1392
ko:K03588	cou:Cp162_1393
ko:K01925	cou:Cp162_1394
ko:K01000	cou:Cp162_1395
ko:K01929	cou:Cp162_1396
ko:K01928	cou:Cp162_1397
ko:K03587	cou:Cp162_1398
ko:K01733	cou:Cp162_1454
ko:K00982	cou:Cp162_1458
ko:K01915	cou:Cp162_1460
ko:K00849	cou:Cp162_1464
ko:K07164	cou:Cp162_1467
ko:K00817	cou:Cp162_1469
ko:K02227	cou:Cp162_1473
ko:K00163	cou:Cp162_1476
ko:K02078	cou:Cp162_1478
ko:K00820	cou:Cp162_1486
ko:K01129	cou:Cp162_1489
ko:K01880	cou:Cp162_1494
ko:K00806	cou:Cp162_1498
ko:K03584	cou:Cp162_1499
ko:K00868	cou:Cp162_1501
ko:K07042	cou:Cp162_1503
ko:K09761	cou:Cp162_1505
ko:K03686	cou:Cp162_1506
ko:K08281	cou:Cp162_1615
ko:K03564	cou:Cp162_1618
ko:K00997	cou:Cp162_1620
ko:K11533	cou:Cp162_1621
ko:K00989	cou:Cp162_1632
ko:K01776	cou:Cp162_1634
ko:K06891	cou:Cp162_1637
ko:K00763	cou:Cp162_1638
ko:K01079	cou:Cp162_1641
ko:K15342	cou:Cp162_1642
ko:K02217	cou:Cp162_1651
ko:K06199	cou:Cp162_1667
ko:K01495	cou:Cp162_1768
ko:K03798	cou:Cp162_1769
ko:K00760	cou:Cp162_1770
ko:K04075	cou:Cp162_1771
ko:K07259	cou:Cp162_1772
ko:K11103	cou:Cp162_1775
ko:K04077	cou:Cp162_1783
ko:K05567	cou:Cp162_1789
ko:K05569	cou:Cp162_1791
ko:K05571	cou:Cp162_1793
ko:K06048	cou:Cp162_1795
ko:K01462	cou:Cp162_1798
ko:K01142	cou:Cp162_1800
ko:K06131	cou:Cp162_1801
ko:K00925	cou:Cp162_1808
ko:K13788	cou:Cp162_1809
ko:K00528	cou:Cp162_1810
ko:K08289	cou:Cp162_1812
ko:K07101	cou:Cp162_1813
ko:K07399	cou:Cp162_1821
ko:K03385	cou:Cp162_1823
ko:K03088	cou:Cp162_0054
ko:K05846	cou:Cp162_0059
ko:K05846	cou:Cp162_0060
ko:K05847	cou:Cp162_0061
ko:K01012	cou:Cp162_0065
ko:K01241	cou:Cp162_0068
ko:K01858	cou:Cp162_0072
ko:K07090	cou:Cp162_0087
ko:K03438	cou:Cp162_1400
ko:K03925	cou:Cp162_1401
ko:K00297	cou:Cp162_1407
ko:K01626	cou:Cp162_1412
ko:K00655	cou:Cp162_1415
ko:K02276	cou:Cp162_1424
ko:K02275	cou:Cp162_1426
ko:K01953	cou:Cp162_1427
ko:K02231	cou:Cp162_1430
ko:K00768	cou:Cp162_1431
ko:K02233	cou:Cp162_1432
ko:K00826	cou:Cp162_1433
ko:K01255	cou:Cp162_1434
ko:K00658	cou:Cp162_1436
ko:K00281	cou:Cp162_1437
ko:K00605	cou:Cp162_1438
ko:K02437	cou:Cp162_1439
ko:K03801	cou:Cp162_1441
ko:K03644	cou:Cp162_1442
ko:K01915	cou:Cp162_1445
ko:K07084	cou:Cp162_1451
ko:K03705	cou:Cp162_1507
ko:K00705	cou:Cp162_1511
ko:K01284	cou:Cp162_1514
ko:K03311	cou:Cp162_1521
ko:K07088	cou:Cp162_1526
ko:K06997	cou:Cp162_1533
ko:K07112	cou:Cp162_1534
ko:K03596	cou:Cp162_1543
ko:K02968	cou:Cp162_1545
ko:K02340	cou:Cp162_1548
ko:K02237	cou:Cp162_1551
ko:K09710	cou:Cp162_1554
ko:K00969	cou:Cp162_1555
ko:K00147	cou:Cp162_1556
ko:K09790	cou:Cp162_1558
ko:K07085	cou:Cp162_1559
ko:K00931	cou:Cp162_1560
ko:K06199	cou:Cp162_1668
ko:K02003	cou:Cp162_1670
ko:K00790	cou:Cp162_1673
ko:K01738	cou:Cp162_1676
ko:K00640	cou:Cp162_1677
ko:K06975	cou:Cp162_1678
ko:K00005	cou:Cp162_1679
ko:K00425	cou:Cp162_1680
ko:K00426	cou:Cp162_1681
ko:K02039	cou:Cp162_1686
ko:K02036	cou:Cp162_1688
ko:K02038	cou:Cp162_1689
ko:K02037	cou:Cp162_1690
ko:K02040	cou:Cp162_1691
ko:K06980	cou:Cp162_1697
ko:K01933	cou:Cp162_1699
ko:K00764	cou:Cp162_1700
ko:K11068	cou:Cp162_1704
ko:K01952	cou:Cp162_1705
ko:K01952	cou:Cp162_1706
ko:K01952	cou:Cp162_1707
ko:K00432	cou:Cp162_1708
ko:K01354	cou:Cp162_1709
ko:K01923	cou:Cp162_1711
ko:K01756	cou:Cp162_1712
ko:K15876	cou:Cp162_1824
ko:K01939	cou:Cp162_1825
ko:K01624	cou:Cp162_1836
ko:K00762	cou:Cp162_1839
ko:K00111	cou:Cp162_1842
ko:K03695	cou:Cp162_1850
ko:K03312	cou:Cp162_1855
ko:K02003	cou:Cp162_1863
ko:K03686	cou:Cp162_1873
ko:K03687	cou:Cp162_1874
ko:K04043	cou:Cp162_1875
ko:K01126	cou:Cp162_1942
ko:K02445	cou:Cp162_1943
ko:K02013	cou:Cp162_1945
ko:K02015	cou:Cp162_1946
ko:K02016	cou:Cp162_1947
ko:K01875	cou:Cp162_1952
ko:K03710	cou:Cp162_1953
ko:K03310	cou:Cp162_1963
ko:K01126	cou:Cp162_1966
ko:K04564	cou:Cp162_1972
ko:K08224	cou:Cp162_1974
ko:K07146	cou:Cp162_1983
ko:K03217	cou:Cp162_1986
ko:K09125	cou:Cp162_1988
ko:K01714	cou:Cp162_2046
ko:K01792	cou:Cp162_2051
ko:K09946	cou:Cp162_2054
ko:K00766	cou:Cp162_2063
ko:K13498	cou:Cp162_2064
ko:K01696	cou:Cp162_2066
ko:K01695	cou:Cp162_2067
ko:K14347	cou:Cp162_2069
ko:K07735	cou:Cp162_2073
ko:K03980	cou:Cp162_2077
ko:K03088	cou:Cp162_2078
ko:K00384	cou:Cp162_2080
ko:K03671	cou:Cp162_2081
ko:K01448	cou:Cp162_2082
ko:K03501	cou:Cp162_2086
ko:K03217	cou:Cp162_2087
ko:K03536	cou:Cp162_2088
ko:K02914	cou:Cp162_2089
ko:K02313	cou:Cp162_0001
ko:K02338	cou:Cp162_0002
ko:K03629	cou:Cp162_0003
ko:K02470	cou:Cp162_0005
ko:K02469	cou:Cp162_0009
ko:K02057	cou:Cp162_0015
ko:K02013	cou:Cp162_0028
ko:K02015	cou:Cp162_0029
ko:K02015	cou:Cp162_0030
ko:K02016	cou:Cp162_0031
ko:K02016	cou:Cp162_0043
ko:K06213	cou:Cp162_0044
ko:K05343	cou:Cp162_0046
ko:K03579	cou:Cp162_0090
ko:K03919	cou:Cp162_0091
ko:K01246	cou:Cp162_0092
ko:K06996	cou:Cp162_0096
ko:K00864	cou:Cp162_0099
ko:K02440	cou:Cp162_0100
ko:K05845	cou:Cp162_0105
ko:K00817	cou:Cp162_0126
ko:K03480	cou:Cp162_0128
ko:K06996	cou:Cp162_0130
ko:K04561	cou:Cp162_0131
ko:K00375	cou:Cp162_0133
ko:K06215	cou:Cp162_0134
ko:K08681	cou:Cp162_0135
ko:K00773	cou:Cp162_0141
ko:K00098	cou:Cp162_0145
ko:K02343	cou:Cp162_0150
ko:K09747	cou:Cp162_0151
ko:K06187	cou:Cp162_0152
ko:K01649	cou:Cp162_0164
ko:K05346	cou:Cp162_0165
ko:K00928	cou:Cp162_0174
ko:K00133	cou:Cp162_0176
ko:K03088	cou:Cp162_0177
ko:K03781	cou:Cp162_0178
ko:K02011	cou:Cp162_0184
ko:K02012	cou:Cp162_0185
ko:K02445	cou:Cp162_0186
ko:K05571	cou:Cp162_0189
ko:K05569	cou:Cp162_0191
ko:K05567	cou:Cp162_0193
ko:K09117	cou:Cp162_0198
ko:K10773	cou:Cp162_0206
ko:K12510	cou:Cp162_0216
ko:K03704	cou:Cp162_0222
ko:K03168	cou:Cp162_0223
ko:K02341	cou:Cp162_0226
ko:K00973	cou:Cp162_0230
ko:K00382	cou:Cp162_0237
ko:K07110	cou:Cp162_0238
ko:K00239	cou:Cp162_0240
ko:K00240	cou:Cp162_0241
ko:K04069	cou:Cp162_0247
ko:K00656	cou:Cp162_0249
ko:K00075	cou:Cp162_0252
ko:K01524	cou:Cp162_0259
ko:K00286	cou:Cp162_0262
ko:K02492	cou:Cp162_0270
ko:K01749	cou:Cp162_0271
ko:K13542	cou:Cp162_0272
ko:K01698	cou:Cp162_0273
ko:K01599	cou:Cp162_0276
ko:K00231	cou:Cp162_0277
ko:K01845	cou:Cp162_0279
ko:K07399	cou:Cp162_0283
ko:K02013	cou:Cp162_0285
ko:K02016	cou:Cp162_0286
ko:K02015	cou:Cp162_0287
ko:K02548	cou:Cp162_0291
ko:K01911	cou:Cp162_0292
ko:K01661	cou:Cp162_0293
ko:K02551	cou:Cp162_0296
ko:K03183	cou:Cp162_0299
ko:K03073	cou:Cp162_0303
ko:K02601	cou:Cp162_0304
ko:K02867	cou:Cp162_0305
ko:K02863	cou:Cp162_0306
ko:K02864	cou:Cp162_0310
ko:K02935	cou:Cp162_0311
ko:K03043	cou:Cp162_0319
ko:K03046	cou:Cp162_0320
ko:K07089	cou:Cp162_0327
ko:K04069	cou:Cp162_0328
ko:K02950	cou:Cp162_0331
ko:K02992	cou:Cp162_0332
ko:K02355	cou:Cp162_0333
ko:K02358	cou:Cp162_0334
ko:K02946	cou:Cp162_0342
ko:K02906	cou:Cp162_0343
ko:K02926	cou:Cp162_0344
ko:K02892	cou:Cp162_0345
ko:K02886	cou:Cp162_0346
ko:K02965	cou:Cp162_0347
ko:K02890	cou:Cp162_0348
ko:K02982	cou:Cp162_0349
ko:K02878	cou:Cp162_0350
ko:K02904	cou:Cp162_0351
ko:K02961	cou:Cp162_0352
ko:K02034	cou:Cp162_0355
ko:K02874	cou:Cp162_0358
ko:K02895	cou:Cp162_0359
ko:K02931	cou:Cp162_0360
ko:K03837	cou:Cp162_0362
ko:K01752	cou:Cp162_0363
ko:K03639	cou:Cp162_0367
ko:K02994	cou:Cp162_0369
ko:K02933	cou:Cp162_0370
ko:K02881	cou:Cp162_0371
ko:K02988	cou:Cp162_0372
ko:K02907	cou:Cp162_0373
ko:K02876	cou:Cp162_0374
ko:K03076	cou:Cp162_0383
ko:K02518	cou:Cp162_0388
ko:K02952	cou:Cp162_0389
ko:K02948	cou:Cp162_0390
ko:K02986	cou:Cp162_0391
ko:K03040	cou:Cp162_0392
ko:K02879	cou:Cp162_0393
ko:K06173	cou:Cp162_0394
ko:K03466	cou:Cp162_0399
ko:K02871	cou:Cp162_0403
ko:K02996	cou:Cp162_0404
ko:K03431	cou:Cp162_0406
ko:K01775	cou:Cp162_0411
ko:K06925	cou:Cp162_0412
ko:K03789	cou:Cp162_0417
ko:K04078	cou:Cp162_0419
ko:K04077	cou:Cp162_0420
ko:K03088	cou:Cp162_0421
ko:K01951	cou:Cp162_0427
ko:K02072	cou:Cp162_0434
ko:K02071	cou:Cp162_0435
ko:K02073	cou:Cp162_0436
ko:K02073	cou:Cp162_0437
ko:K03216	cou:Cp162_0445
ko:K01491	cou:Cp162_0446
ko:K00641	cou:Cp162_0449
ko:K02016	cou:Cp162_0452
ko:K02015	cou:Cp162_0453
ko:K02013	cou:Cp162_0454
ko:K01740	cou:Cp162_0456
ko:K00031	cou:Cp162_0457
ko:K01142	cou:Cp162_0460
ko:K01867	cou:Cp162_0462
ko:K07058	cou:Cp162_0463
ko:K00761	cou:Cp162_0469
ko:K00382	cou:Cp162_0473
ko:K06287	cou:Cp162_0483
ko:K02529	cou:Cp162_0485
ko:K03524	cou:Cp162_0490
ko:K01589	cou:Cp162_0492
ko:K01588	cou:Cp162_0493
ko:K01809	cou:Cp162_0509
ko:K01251	cou:Cp162_0514
ko:K00943	cou:Cp162_0515
ko:K03070	cou:Cp162_0521
ko:K06949	cou:Cp162_0527
ko:K00800	cou:Cp162_0528
ko:K03088	cou:Cp162_0531
ko:K03979	cou:Cp162_1561
ko:K02899	cou:Cp162_1562
ko:K02888	cou:Cp162_1563
ko:K00940	cou:Cp162_1566
ko:K11754	cou:Cp162_1569
ko:K01873	cou:Cp162_1570
ko:K00024	cou:Cp162_1571
ko:K03544	cou:Cp162_1573
ko:K13950	cou:Cp162_1574
ko:K01358	cou:Cp162_1575
ko:K01358	cou:Cp162_1576
ko:K03545	cou:Cp162_1577
ko:K06911	cou:Cp162_1581
ko:K01808	cou:Cp162_1582
ko:K01256	cou:Cp162_1586
ko:K06886	cou:Cp162_1589
ko:K09936	cou:Cp162_1590
ko:K07107	cou:Cp162_1592
ko:K09136	cou:Cp162_1597
ko:K09136	cou:Cp162_1603
ko:K06200	cou:Cp162_1607
ko:K14645	cou:Cp162_1608
ko:K07124	cou:Cp162_1609
ko:K13288	cou:Cp162_1610
ko:K01714	cou:Cp162_1611
ko:K01945	cou:Cp162_1715
ko:K00156	cou:Cp162_1725
ko:K00697	cou:Cp162_1730
ko:K01087	cou:Cp162_1732
ko:K03218	cou:Cp162_1734
ko:K01883	cou:Cp162_1735
ko:K01770	cou:Cp162_1736
ko:K00991	cou:Cp162_1737
ko:K07736	cou:Cp162_1738
ko:K04485	cou:Cp162_1742
ko:K01673	cou:Cp162_1744
ko:K03575	cou:Cp162_1745
ko:K03696	cou:Cp162_1748
ko:K04567	cou:Cp162_1754
ko:K02168	cou:Cp162_1759
ko:K01918	cou:Cp162_1761
ko:K00950	cou:Cp162_1765
ko:K01633	cou:Cp162_1766
ko:K00796	cou:Cp162_1767
ko:K03306	cou:Cp162_1884
ko:K02013	cou:Cp162_1890
ko:K02015	cou:Cp162_1891
ko:K02016	cou:Cp162_1892
ko:K03190	cou:Cp162_1893
ko:K03189	cou:Cp162_1894
ko:K03188	cou:Cp162_1895
ko:K03187	cou:Cp162_1896
ko:K01428	cou:Cp162_1897
ko:K03657	cou:Cp162_0542
ko:K10716	cou:Cp162_0543
ko:K03426	cou:Cp162_0544
ko:K03657	cou:Cp162_0545
ko:K07043	cou:Cp162_0547
ko:K11738	cou:Cp162_0564
ko:K02836	cou:Cp162_0572
ko:K09812	cou:Cp162_0575
ko:K09811	cou:Cp162_0576
ko:K03664	cou:Cp162_0577
ko:K01673	cou:Cp162_0579
ko:K02016	cou:Cp162_0581
ko:K02015	cou:Cp162_0582
ko:K02015	cou:Cp162_0583
ko:K02013	cou:Cp162_0584
ko:K14267	cou:Cp162_0586
ko:K03704	cou:Cp162_0593
ko:K06901	cou:Cp162_0597
ko:K00831	cou:Cp162_0601
ko:K01647	cou:Cp162_0603
ko:K14393	cou:Cp162_0612
ko:K03327	cou:Cp162_0617
ko:K01697	cou:Cp162_0618
ko:K01586	cou:Cp162_0619
ko:K02034	cou:Cp162_0624
ko:K01810	cou:Cp162_0637
ko:K11175	cou:Cp162_0643
ko:K00602	cou:Cp162_0644
ko:K10008	cou:Cp162_0645
ko:K10005	cou:Cp162_0646
ko:K10006	cou:Cp162_0647
ko:K10007	cou:Cp162_0648
ko:K01644	cou:Cp162_0649
ko:K02963	cou:Cp162_0652
ko:K02954	cou:Cp162_0653
ko:K02913	cou:Cp162_0654
ko:K02902	cou:Cp162_0655
ko:K02909	cou:Cp162_0656
ko:K02911	cou:Cp162_0657
ko:K03282	cou:Cp162_0662
ko:K00963	cou:Cp162_0665
ko:K03750	cou:Cp162_0666
ko:K03790	cou:Cp162_0667
ko:K15977	cou:Cp162_0669
ko:K07056	cou:Cp162_0674
ko:K01874	cou:Cp162_0675
ko:K03424	cou:Cp162_0676
ko:K02528	cou:Cp162_0678
ko:K00919	cou:Cp162_0679
ko:K03811	cou:Cp162_0684
ko:K00134	cou:Cp162_0691
ko:K02837	cou:Cp162_0695
ko:K01056	cou:Cp162_0697
ko:K00459	cou:Cp162_0698
ko:K01056	cou:Cp162_0700
ko:K02897	cou:Cp162_0701
ko:K00948	cou:Cp162_0703
ko:K04042	cou:Cp162_0704
ko:K03723	cou:Cp162_0708
ko:K03758	cou:Cp162_0709
ko:K01429	cou:Cp162_1898
ko:K01430	cou:Cp162_1899
ko:K14260	cou:Cp162_1901
ko:K04567	cou:Cp162_1903
ko:K00012	cou:Cp162_1907
ko:K01494	cou:Cp162_1908
ko:K01207	cou:Cp162_1911
ko:K03439	cou:Cp162_1919
ko:K01689	cou:Cp162_0712
ko:K01524	cou:Cp162_0716
ko:K03624	cou:Cp162_0720
ko:K00600	cou:Cp162_0727
ko:K03823	cou:Cp162_0733
ko:K03602	cou:Cp162_0739
ko:K03601	cou:Cp162_0740
ko:K03527	cou:Cp162_0741
ko:K06942	cou:Cp162_0744
ko:K06193	cou:Cp162_0746
ko:K09781	cou:Cp162_0750
ko:K06207	cou:Cp162_0766
ko:K06966	cou:Cp162_0779
ko:K00796	cou:Cp162_0780
ko:K00563	cou:Cp162_0784
ko:K01193	cou:Cp162_0785
ko:K01575	cou:Cp162_0786
ko:K00975	cou:Cp162_0788
ko:K03088	cou:Cp162_0790
ko:K03117	cou:Cp162_0792
ko:K00014	cou:Cp162_0800
ko:K00965	cou:Cp162_0808
ko:K00849	cou:Cp162_0809
ko:K05592	cou:Cp162_0810
ko:K00782	cou:Cp162_0826
ko:K03303	cou:Cp162_0829
ko:K01887	cou:Cp162_0830
ko:K01586	cou:Cp162_0831
ko:K00003	cou:Cp162_0832
ko:K00872	cou:Cp162_0833
ko:K03628	cou:Cp162_0836
ko:K02835	cou:Cp162_0837
ko:K02493	cou:Cp162_0838
ko:K02108	cou:Cp162_0843
ko:K02110	cou:Cp162_0844
ko:K02109	cou:Cp162_0845
ko:K02113	cou:Cp162_0846
ko:K02111	cou:Cp162_0847
ko:K02115	cou:Cp162_0848
ko:K02112	cou:Cp162_0849
ko:K02114	cou:Cp162_0850
ko:K05606	cou:Cp162_0853
ko:K05838	cou:Cp162_0855
ko:K16147	cou:Cp162_0857
ko:K02013	cou:Cp162_0858
ko:K03521	cou:Cp162_0861
ko:K03522	cou:Cp162_0862
ko:K04487	cou:Cp162_0863
ko:K00566	cou:Cp162_0865
ko:K16164	cou:Cp162_0157
ko:K08369	cou:Cp162_2002
ko:K02939	cou:Cp162_2008
ko:K02990	cou:Cp162_2010
ko:K07146	cou:Cp162_2020
ko:K03975	cou:Cp162_2021
ko:K04047	cou:Cp162_2022
ko:K01421	cou:Cp162_2026
ko:K01869	cou:Cp162_2027
ko:K02003	cou:Cp162_2031
ko:K01443	cou:Cp162_2038
ko:K03118	cou:Cp162_1027
ko:K03116	cou:Cp162_1028
ko:K01938	cou:Cp162_1040
ko:K01744	cou:Cp162_1041
ko:K00765	cou:Cp162_1043
ko:K06153	cou:Cp162_1049
ko:K05881	cou:Cp162_1056
ko:K05879	cou:Cp162_1057
ko:K05878	cou:Cp162_1058
ko:K01772	cou:Cp162_1071
ko:K01681	cou:Cp162_1074
ko:K01951	cou:Cp162_1076
ko:K07166	cou:Cp162_1077
ko:K09157	cou:Cp162_1078
ko:K11717	cou:Cp162_1085
ko:K09013	cou:Cp162_1086
ko:K09015	cou:Cp162_1087
ko:K09014	cou:Cp162_1088
ko:K02259	cou:Cp162_1093
ko:K00615	cou:Cp162_1095
ko:K00036	cou:Cp162_1097
ko:K01057	cou:Cp162_1099
ko:K03075	cou:Cp162_1100
ko:K01595	cou:Cp162_1101
ko:K01803	cou:Cp162_1102
ko:K00927	cou:Cp162_1103
ko:K00134	cou:Cp162_1104
ko:K06958	cou:Cp162_1107
ko:K03703	cou:Cp162_1108
ko:K00794	cou:Cp162_1110
ko:K14652	cou:Cp162_1111
ko:K00793	cou:Cp162_1112
ko:K11752	cou:Cp162_1113
ko:K01783	cou:Cp162_1114
ko:K03500	cou:Cp162_1115
ko:K00604	cou:Cp162_1116
ko:K01462	cou:Cp162_1117
ko:K04066	cou:Cp162_1118
ko:K00789	cou:Cp162_1119
ko:K13038	cou:Cp162_1120
ko:K03060	cou:Cp162_1121
ko:K00942	cou:Cp162_1122
ko:K01591	cou:Cp162_1125
ko:K01955	cou:Cp162_1126
ko:K01956	cou:Cp162_1127
ko:K01465	cou:Cp162_1128
ko:K00609	cou:Cp162_1129
ko:K02825	cou:Cp162_1130
ko:K07071	cou:Cp162_1131
ko:K15733	cou:Cp162_1185
ko:K18955	cou:Cp162_0504
ko:K01834	cou:Cp162_0255
ko:K01977	cou:Cp162_r01
ko:K01977	cou:Cp162_r12
ko:K01977	cou:Cp162_r04
ko:K01977	cou:Cp162_r09
ko:K06177	cou:Cp162_1992
ko:K02004	cou:Cp162_2032
ko:K02564	cou:Cp162_2037
ko:K01788	cou:Cp162_2039
ko:K00845	cou:Cp162_2040
ko:K01840	cou:Cp162_0169
ko:K01840	cou:Cp162_0471
ko:K01840	cou:Cp162_0507
ko:K02028	cou:Cp162_0922
ko:K02056	cou:Cp162_0016
ko:K07052	cou:Cp162_0040
ko:K02351	cou:Cp162_1606
ko:K07245	cou:Cp162_1606
ko:K08167	cou:Cp162_1720
ko:K02031	cou:Cp162_1881
ko:K02034	cou:Cp162_1881
ko:K06860	cou:Cp162_1920
ko:K02033	cou:Cp162_1882
ko:K12437	cou:Cp162_1927
ko:K12428	cou:Cp162_1928
ko:K02035	cou:Cp162_1883
