ko:K12978	fpi:BF30_727
ko:K02946	fpi:BF30_788
ko:K02355	fpi:BF30_789
ko:K02992	fpi:BF30_790
ko:K02950	fpi:BF30_791
ko:K00995	fpi:BF30_792
ko:K01624	fpi:BF30_1614
ko:K01194	fpi:BF30_1615
ko:K09001	fpi:BF30_1617
ko:K11901	fpi:BF30_1619
ko:K11900	fpi:BF30_1620
ko:K01697	fpi:BF30_1642
ko:K01442	fpi:BF30_1644
ko:K03650	fpi:BF30_1647
ko:K05808	fpi:BF30_1649
ko:K02806	fpi:BF30_1650
ko:K02533	fpi:BF30_1651
ko:K03470	fpi:BF30_1652
ko:K03600	fpi:BF30_1660
ko:K03599	fpi:BF30_1661
ko:K02996	fpi:BF30_1662
ko:K02871	fpi:BF30_1663
ko:K08304	fpi:BF30_1665
ko:K03687	fpi:BF30_1666
ko:K04043	fpi:BF30_1667
ko:K03686	fpi:BF30_1668
ko:K01916	fpi:BF30_1670
ko:K06861	fpi:BF30_1991
ko:K06173	fpi:BF30_1994
ko:K01951	fpi:BF30_1995
ko:K01662	fpi:BF30_1996
ko:K03551	fpi:BF30_1999
ko:K07727	fpi:BF30_2001
ko:K03305	fpi:BF30_2005
ko:K01889	fpi:BF30_2007
ko:K01890	fpi:BF30_2008
ko:K09823	fpi:BF30_2009
ko:K06131	fpi:BF30_2013
ko:K06131	fpi:BF30_2014
ko:K03593	fpi:BF30_2016
ko:K01494	fpi:BF30_2017
ko:K00537	fpi:BF30_2023
ko:K03424	fpi:BF30_130
ko:K03629	fpi:BF30_131
ko:K01895	fpi:BF30_139
ko:K00963	fpi:BF30_140
ko:K01156	fpi:BF30_147
ko:K07461	fpi:BF30_149
ko:K07316	fpi:BF30_154
ko:K02687	fpi:BF30_159
ko:K09928	fpi:BF30_160
ko:K01772	fpi:BF30_162
ko:K01669	fpi:BF30_163
ko:K01689	fpi:BF30_164
ko:K01689	fpi:BF30_165
ko:K01785	fpi:BF30_166
ko:K13038	fpi:BF30_167
ko:K13821	fpi:BF30_170
ko:K09159	fpi:BF30_171
ko:K01735	fpi:BF30_174
ko:K00891	fpi:BF30_175
ko:K02666	fpi:BF30_176
ko:K02665	fpi:BF30_177
ko:K02664	fpi:BF30_178
ko:K02663	fpi:BF30_179
ko:K00939	fpi:BF30_181
ko:K01465	fpi:BF30_1015
ko:K00569	fpi:BF30_1016
ko:K01956	fpi:BF30_1019
ko:K01955	fpi:BF30_1020
ko:K00609	fpi:BF30_1021
ko:K03837	fpi:BF30_1022
ko:K03564	fpi:BF30_1026
ko:K04656	fpi:BF30_1027
ko:K04653	fpi:BF30_1028
ko:K04654	fpi:BF30_1029
ko:K04655	fpi:BF30_1030
ko:K07241	fpi:BF30_1035
ko:K17218	fpi:BF30_1041
ko:K05340	fpi:BF30_1043
ko:K00852	fpi:BF30_1044
ko:K01256	fpi:BF30_1050
ko:K13498	fpi:BF30_1051
ko:K07304	fpi:BF30_1053
ko:K00766	fpi:BF30_1054
ko:K01658	fpi:BF30_1055
ko:K01657	fpi:BF30_1056
ko:K03720	fpi:BF30_1057
ko:K08301	fpi:BF30_1060
ko:K02313	fpi:BF30_1061
ko:K02338	fpi:BF30_1062
ko:K02341	fpi:BF30_461
ko:K04774	fpi:BF30_462
ko:K03599	fpi:BF30_463
ko:K11179	fpi:BF30_464
ko:K03588	fpi:BF30_469
ko:K01925	fpi:BF30_470
ko:K01000	fpi:BF30_471
ko:K01610	fpi:BF30_472
ko:K01886	fpi:BF30_473
ko:K03305	fpi:BF30_474
ko:K15738	fpi:BF30_475
ko:K03218	fpi:BF30_479
ko:K02558	fpi:BF30_480
ko:K00762	fpi:BF30_483
ko:K03269	fpi:BF30_484
ko:K12308	fpi:BF30_485
ko:K01733	fpi:BF30_487
ko:K00872	fpi:BF30_488
ko:K12524	fpi:BF30_489
ko:K00133	fpi:BF30_490
ko:K01929	fpi:BF30_492
ko:K07023	fpi:BF30_494
ko:K01928	fpi:BF30_495
ko:K01878	fpi:BF30_496
ko:K00705	fpi:BF30_498
ko:K00688	fpi:BF30_499
ko:K00703	fpi:BF30_502
ko:K00975	fpi:BF30_503
ko:K01835	fpi:BF30_504
ko:K00700	fpi:BF30_505
ko:K00014	fpi:BF30_507
ko:K00651	fpi:BF30_509
ko:K01740	fpi:BF30_510
ko:K07052	fpi:BF30_514
ko:K04077	fpi:BF30_1341
ko:K07007	fpi:BF30_1347
ko:K00262	fpi:BF30_1349
ko:K01586	fpi:BF30_1351
ko:K00567	fpi:BF30_1353
ko:K05516	fpi:BF30_1359
ko:K03834	fpi:BF30_1365
ko:K00951	fpi:BF30_1367
ko:K15984	fpi:BF30_1371
ko:K03733	fpi:BF30_1372
ko:K03071	fpi:BF30_1374
ko:K03555	fpi:BF30_1375
ko:K01962	fpi:BF30_1376
ko:K07106	fpi:BF30_1380
ko:K03316	fpi:BF30_1382
ko:K01867	fpi:BF30_1384
ko:K00859	fpi:BF30_1388
ko:K00335	fpi:BF30_1163
ko:K00812	fpi:BF30_185
ko:K14742	fpi:BF30_187
ko:K01443	fpi:BF30_188
ko:K14540	fpi:BF30_189
ko:K06168	fpi:BF30_193
ko:K07042	fpi:BF30_195
ko:K06189	fpi:BF30_196
ko:K03820	fpi:BF30_197
ko:K17836	fpi:BF30_201
ko:K01173	fpi:BF30_200
ko:K01262	fpi:BF30_202
ko:K05810	fpi:BF30_203
ko:K03526	fpi:BF30_204
ko:K12373	fpi:BF30_207
ko:K00820	fpi:BF30_209
ko:K06956	fpi:BF30_210
ko:K06207	fpi:BF30_219
ko:K00681	fpi:BF30_221
ko:K04754	fpi:BF30_222
ko:K09801	fpi:BF30_225
ko:K03664	fpi:BF30_227
ko:K14058	fpi:BF30_228
ko:K01166	fpi:BF30_231
ko:K11755	fpi:BF30_233
ko:K02500	fpi:BF30_234
ko:K01814	fpi:BF30_235
ko:K02501	fpi:BF30_236
ko:K01089	fpi:BF30_237
ko:K00817	fpi:BF30_238
ko:K04652	fpi:BF30_1069
ko:K04651	fpi:BF30_1070
ko:K03773	fpi:BF30_1072
ko:K12262	fpi:BF30_1074
ko:K03313	fpi:BF30_1078
ko:K00655	fpi:BF30_1080
ko:K00655	fpi:BF30_1081
ko:K05524	fpi:BF30_1082
ko:K08289	fpi:BF30_1084
ko:K01183	fpi:BF30_1085
ko:K03695	fpi:BF30_1086
ko:K03811	fpi:BF30_1088
ko:K01695	fpi:BF30_1087
ko:K01696	fpi:BF30_1089
ko:K01299	fpi:BF30_1090
ko:K03281	fpi:BF30_1091
ko:K03811	fpi:BF30_1095
ko:K03424	fpi:BF30_1096
ko:K01259	fpi:BF30_1097
ko:K00928	fpi:BF30_1098
ko:K00215	fpi:BF30_1099
ko:K01714	fpi:BF30_1100
ko:K00674	fpi:BF30_1101
ko:K01586	fpi:BF30_1102
ko:K00812	fpi:BF30_1103
ko:K07784	fpi:BF30_1110
ko:K01118	fpi:BF30_1111
ko:K01546	fpi:BF30_1112
ko:K01547	fpi:BF30_1113
ko:K01548	fpi:BF30_1114
ko:K07646	fpi:BF30_1115
ko:K07667	fpi:BF30_1117
ko:K03979	fpi:BF30_1119
ko:K02471	fpi:BF30_1122
ko:K00283	fpi:BF30_515
ko:K00282	fpi:BF30_516
ko:K02437	fpi:BF30_517
ko:K00605	fpi:BF30_518
ko:K09810	fpi:BF30_520
ko:K09808	fpi:BF30_521
ko:K01462	fpi:BF30_523
ko:K02337	fpi:BF30_528
ko:K16052	fpi:BF30_529
ko:K08309	fpi:BF30_533
ko:K08309	fpi:BF30_534
ko:K18284	fpi:BF30_535
ko:K02621	fpi:BF30_536
ko:K01265	fpi:BF30_539
ko:K03704	fpi:BF30_541
ko:K02970	fpi:BF30_543
ko:K00820	fpi:BF30_544
ko:K04042	fpi:BF30_545
ko:K01613	fpi:BF30_549
ko:K01874	fpi:BF30_566
ko:K06190	fpi:BF30_570
ko:K07265	fpi:BF30_1398
ko:K02535	fpi:BF30_1401
ko:K10107	fpi:BF30_1402
ko:K09689	fpi:BF30_1403
ko:K09688	fpi:BF30_1404
ko:K18430	fpi:BF30_1411
ko:K18429	fpi:BF30_1412
ko:K07266	fpi:BF30_1417
ko:K00163	fpi:BF30_1430
ko:K00627	fpi:BF30_1431
ko:K00382	fpi:BF30_1432
ko:K03648	fpi:BF30_1433
ko:K02469	fpi:BF30_1440
ko:K00099	fpi:BF30_1441
ko:K07277	fpi:BF30_1442
ko:K06142	fpi:BF30_1443
ko:K02536	fpi:BF30_1444
ko:K02372	fpi:BF30_1445
ko:K00677	fpi:BF30_1446
ko:K00748	fpi:BF30_1447
ko:K03210	fpi:BF30_1783
ko:K03072	fpi:BF30_1784
ko:K03074	fpi:BF30_1785
ko:K03089	fpi:BF30_1787
ko:K00800	fpi:BF30_1788
ko:K03469	fpi:BF30_1790
ko:K01424	fpi:BF30_1791
ko:K01673	fpi:BF30_1792
ko:K01153	fpi:BF30_1793
ko:K01154	fpi:BF30_1797
ko:K03427	fpi:BF30_1800
ko:K03427	fpi:BF30_1802
ko:K03545	fpi:BF30_1803
ko:K01358	fpi:BF30_1804
ko:K03544	fpi:BF30_1805
ko:K01338	fpi:BF30_1806
ko:K03530	fpi:BF30_1807
ko:K03770	fpi:BF30_1808
ko:K00791	fpi:BF30_1809
ko:K03666	fpi:BF30_1810
ko:K03665	fpi:BF30_1811
ko:K04088	fpi:BF30_1814
ko:K04087	fpi:BF30_1815
ko:K01104	fpi:BF30_1816
ko:K03978	fpi:BF30_1817
ko:K01733	fpi:BF30_1818
ko:K01687	fpi:BF30_1819
ko:K01652	fpi:BF30_1820
ko:K01653	fpi:BF30_1821
ko:K00053	fpi:BF30_1822
ko:K03723	fpi:BF30_1823
ko:K00013	fpi:BF30_239
ko:K00765	fpi:BF30_240
ko:K03601	fpi:BF30_246
ko:K14153	fpi:BF30_260
ko:K03149	fpi:BF30_261
ko:K03154	fpi:BF30_262
ko:K03153	fpi:BF30_263
ko:K03147	fpi:BF30_264
ko:K01776	fpi:BF30_265
ko:K03702	fpi:BF30_267
ko:K01141	fpi:BF30_268
ko:K03495	fpi:BF30_273
ko:K01807	fpi:BF30_276
ko:K06911	fpi:BF30_277
ko:K01620	fpi:BF30_278
ko:K02887	fpi:BF30_281
ko:K02916	fpi:BF30_282
ko:K02520	fpi:BF30_283
ko:K01868	fpi:BF30_284
ko:K02437	fpi:BF30_287
ko:K02563	fpi:BF30_288
ko:K09747	fpi:BF30_289
ko:K06187	fpi:BF30_290
ko:K02652	fpi:BF30_291
ko:K02653	fpi:BF30_292
ko:K18552	fpi:BF30_1123
ko:K08303	fpi:BF30_1125
ko:K00573	fpi:BF30_1127
ko:K12340	fpi:BF30_1128
ko:K06133	fpi:BF30_1129
ko:K01580	fpi:BF30_1130
ko:K00764	fpi:BF30_1131
ko:K01952	fpi:BF30_1132
ko:K01756	fpi:BF30_1140
ko:K02435	fpi:BF30_1143
ko:K02433	fpi:BF30_1144
ko:K02434	fpi:BF30_1145
ko:K03897	fpi:BF30_1152
ko:K13745	fpi:BF30_1154
ko:K00836	fpi:BF30_1155
ko:K03711	fpi:BF30_1157
ko:K00330	fpi:BF30_1158
ko:K00331	fpi:BF30_1159
ko:K00332	fpi:BF30_1160
ko:K00333	fpi:BF30_1161
ko:K00334	fpi:BF30_1162
ko:K00337	fpi:BF30_1165
ko:K00338	fpi:BF30_1166
ko:K00339	fpi:BF30_1167
ko:K00340	fpi:BF30_1168
ko:K00341	fpi:BF30_1169
ko:K00342	fpi:BF30_1170
ko:K00343	fpi:BF30_1171
ko:K09806	fpi:BF30_1172
ko:K07391	fpi:BF30_1173
ko:K01599	fpi:BF30_1174
ko:K00845	fpi:BF30_572
ko:K03183	fpi:BF30_573
ko:K03690	fpi:BF30_574
ko:K03688	fpi:BF30_575
ko:K02503	fpi:BF30_576
ko:K00075	fpi:BF30_581
ko:K00790	fpi:BF30_582
ko:K03977	fpi:BF30_583
ko:K00027	fpi:BF30_586
ko:K11753	fpi:BF30_587
ko:K01870	fpi:BF30_588
ko:K03101	fpi:BF30_590
ko:K02427	fpi:BF30_591
ko:K03449	fpi:BF30_593
ko:K03497	fpi:BF30_596
ko:K03496	fpi:BF30_597
ko:K03168	fpi:BF30_598
ko:K01414	fpi:BF30_605
ko:K07460	fpi:BF30_607
ko:K01589	fpi:BF30_606
ko:K01588	fpi:BF30_608
ko:K11175	fpi:BF30_609
ko:K01933	fpi:BF30_611
ko:K01491	fpi:BF30_612
ko:K03631	fpi:BF30_617
ko:K00812	fpi:BF30_618
ko:K00121	fpi:BF30_619
ko:K04565	fpi:BF30_623
ko:K01004	fpi:BF30_1451
ko:K00795	fpi:BF30_1452
ko:K02527	fpi:BF30_1453
ko:K02428	fpi:BF30_1454
ko:K00286	fpi:BF30_1455
ko:K03100	fpi:BF30_1457
ko:K03685	fpi:BF30_1458
ko:K03177	fpi:BF30_1459
ko:K12573	fpi:BF30_1460
ko:K00574	fpi:BF30_1465
ko:K09701	fpi:BF30_1466
ko:K07337	fpi:BF30_1473
ko:K09859	fpi:BF30_1476
ko:K01476	fpi:BF30_1478
ko:K09794	fpi:BF30_1480
ko:K07516	fpi:BF30_1484
ko:K01897	fpi:BF30_1486
ko:K00537	fpi:BF30_1487
ko:K00031	fpi:BF30_1488
ko:K03578	fpi:BF30_1490
ko:K13012	fpi:BF30_1492
ko:K01784	fpi:BF30_1493
ko:K00971	fpi:BF30_1494
ko:K01711	fpi:BF30_1495
ko:K02377	fpi:BF30_1497
ko:K00973	fpi:BF30_1498
ko:K01790	fpi:BF30_1499
ko:K00067	fpi:BF30_1500
ko:K10773	fpi:BF30_1829
ko:K03616	fpi:BF30_1830
ko:K03675	fpi:BF30_1831
ko:K03305	fpi:BF30_1834
ko:K02217	fpi:BF30_1835
ko:K03644	fpi:BF30_1836
ko:K01159	fpi:BF30_1839
ko:K03550	fpi:BF30_1841
ko:K09760	fpi:BF30_1842
ko:K03455	fpi:BF30_1847
ko:K06987	fpi:BF30_1851
ko:K00948	fpi:BF30_1852
ko:K02897	fpi:BF30_1853
ko:K06942	fpi:BF30_1856
ko:K01056	fpi:BF30_1857
ko:K17836	fpi:BF30_1858
ko:K02654	fpi:BF30_1860
ko:K00322	fpi:BF30_1861
ko:K10716	fpi:BF30_1862
ko:K03305	fpi:BF30_1863
ko:K03667	fpi:BF30_1864
ko:K01419	fpi:BF30_1865
ko:K03800	fpi:BF30_1867
ko:K01866	fpi:BF30_1868
ko:K04761	fpi:BF30_1870
ko:K00101	fpi:BF30_1871
ko:K18930	fpi:BF30_1875
ko:K04762	fpi:BF30_1876
ko:K00981	fpi:BF30_794
ko:K00806	fpi:BF30_795
ko:K02838	fpi:BF30_796
ko:K09903	fpi:BF30_797
ko:K02357	fpi:BF30_798
ko:K02967	fpi:BF30_799
ko:K01738	fpi:BF30_800
ko:K00640	fpi:BF30_802
ko:K01885	fpi:BF30_805
ko:K01679	fpi:BF30_806
ko:K10679	fpi:BF30_808
ko:K00101	fpi:BF30_809
ko:K00147	fpi:BF30_810
ko:K00931	fpi:BF30_811
ko:K01595	fpi:BF30_815
ko:K04095	fpi:BF30_816
ko:K01873	fpi:BF30_819
ko:K02339	fpi:BF30_820
ko:K01304	fpi:BF30_823
ko:K07114	fpi:BF30_825
ko:K07114	fpi:BF30_826
ko:K07114	fpi:BF30_827
ko:K03924	fpi:BF30_830
ko:K00868	fpi:BF30_832
ko:K02536	fpi:BF30_834
ko:K00425	fpi:BF30_835
ko:K00426	fpi:BF30_836
ko:K01713	fpi:BF30_837
ko:K04066	fpi:BF30_838
ko:K07058	fpi:BF30_840
ko:K03809	fpi:BF30_841
ko:K06077	fpi:BF30_842
ko:K02077	fpi:BF30_844
ko:K02074	fpi:BF30_845
ko:K02075	fpi:BF30_846
ko:K03543	fpi:BF30_1672
ko:K03446	fpi:BF30_1673
ko:K01897	fpi:BF30_1675
ko:K03305	fpi:BF30_1676
ko:K09761	fpi:BF30_1677
ko:K02067	fpi:BF30_1680
ko:K02065	fpi:BF30_1681
ko:K02066	fpi:BF30_1682
ko:K06180	fpi:BF30_1684
ko:K05807	fpi:BF30_1685
ko:K00600	fpi:BF30_1688
ko:K09889	fpi:BF30_1689
ko:K04075	fpi:BF30_1694
ko:K00058	fpi:BF30_1695
ko:K13292	fpi:BF30_1697
ko:K08300	fpi:BF30_1698
ko:K04487	fpi:BF30_1699
ko:K03584	fpi:BF30_1701
ko:K03975	fpi:BF30_1702
ko:K03975	fpi:BF30_1703
ko:K05527	fpi:BF30_1704
ko:K01934	fpi:BF30_1705
ko:K09895	fpi:BF30_1706
ko:K03185	fpi:BF30_1707
ko:K18800	fpi:BF30_1708
ko:K09474	fpi:BF30_1709
ko:K07568	fpi:BF30_1711
ko:K09125	fpi:BF30_1718
ko:K01759	fpi:BF30_1719
ko:K06966	fpi:BF30_1723
ko:K00208	fpi:BF30_1724
ko:K07305	fpi:BF30_625
ko:K01736	fpi:BF30_628
ko:K04485	fpi:BF30_631
ko:K00057	fpi:BF30_632
ko:K01534	fpi:BF30_637
ko:K03744	fpi:BF30_640
ko:K03799	fpi:BF30_641
ko:K00989	fpi:BF30_644
ko:K03181	fpi:BF30_645
ko:K03179	fpi:BF30_646
ko:K03453	fpi:BF30_653
ko:K06876	fpi:BF30_655
ko:K01669	fpi:BF30_656
ko:K14441	fpi:BF30_659
ko:K03640	fpi:BF30_660
ko:K03641	fpi:BF30_662
ko:K03646	fpi:BF30_663
ko:K03560	fpi:BF30_664
ko:K03562	fpi:BF30_665
ko:K17103	fpi:BF30_667
ko:K06208	fpi:BF30_668
ko:K03527	fpi:BF30_669
ko:K03774	fpi:BF30_670
ko:K04096	fpi:BF30_674
ko:K09758	fpi:BF30_676
ko:K06901	fpi:BF30_677
ko:K00537	fpi:BF30_679
ko:K03574	fpi:BF30_681
ko:K01840	fpi:BF30_1518
ko:K03628	fpi:BF30_1519
ko:K03671	fpi:BF30_1520
ko:K01524	fpi:BF30_1521
ko:K07478	fpi:BF30_1522
ko:K03040	fpi:BF30_1524
ko:K03424	fpi:BF30_1527
ko:K11312	fpi:BF30_1528
ko:K11312	fpi:BF30_1530
ko:K01990	fpi:BF30_1532
ko:K01992	fpi:BF30_1533
ko:K00858	fpi:BF30_1536
ko:K03439	fpi:BF30_1537
ko:K01487	fpi:BF30_1540
ko:K07090	fpi:BF30_1547
ko:K07394	fpi:BF30_1546
ko:K09160	fpi:BF30_1548
ko:K03625	fpi:BF30_1552
ko:K14287	fpi:BF30_1554
ko:K01881	fpi:BF30_1559
ko:K03704	fpi:BF30_1885
ko:K02970	fpi:BF30_1887
ko:K02346	fpi:BF30_1888
ko:K06158	fpi:BF30_1891
ko:K03674	fpi:BF30_1893
ko:K00954	fpi:BF30_297
ko:K13628	fpi:BF30_299
ko:K11717	fpi:BF30_300
ko:K01752	fpi:BF30_301
ko:K04518	fpi:BF30_304
ko:K01775	fpi:BF30_306
ko:K09799	fpi:BF30_311
ko:K01079	fpi:BF30_310
ko:K11076	fpi:BF30_314
ko:K11075	fpi:BF30_315
ko:K11074	fpi:BF30_316
ko:K02899	fpi:BF30_318
ko:K02888	fpi:BF30_319
ko:K01246	fpi:BF30_320
ko:K03070	fpi:BF30_322
ko:K03784	fpi:BF30_325
ko:K03798	fpi:BF30_326
ko:K03701	fpi:BF30_328
ko:K03624	fpi:BF30_329
ko:K08084	fpi:BF30_330
ko:K01810	fpi:BF30_331
ko:K00949	fpi:BF30_332
ko:K00088	fpi:BF30_333
ko:K01255	fpi:BF30_334
ko:K07091	fpi:BF30_335
ko:K11720	fpi:BF30_336
ko:K07263	fpi:BF30_337
ko:K08316	fpi:BF30_339
ko:K06169	fpi:BF30_341
ko:K00757	fpi:BF30_342
ko:K01489	fpi:BF30_343
ko:K15633	fpi:BF30_347
ko:K01875	fpi:BF30_348
ko:K00847	fpi:BF30_349
ko:K09748	fpi:BF30_1176
ko:K02600	fpi:BF30_1177
ko:K02519	fpi:BF30_1178
ko:K02834	fpi:BF30_1179
ko:K01892	fpi:BF30_1180
ko:K06916	fpi:BF30_1182
ko:K06179	fpi:BF30_1183
ko:K02108	fpi:BF30_1186
ko:K02110	fpi:BF30_1187
ko:K02109	fpi:BF30_1188
ko:K02113	fpi:BF30_1189
ko:K02111	fpi:BF30_1190
ko:K02115	fpi:BF30_1191
ko:K02112	fpi:BF30_1192
ko:K02114	fpi:BF30_1193
ko:K07390	fpi:BF30_1195
ko:K04564	fpi:BF30_1196
ko:K08218	fpi:BF30_1198
ko:K01647	fpi:BF30_1199
ko:K00241	fpi:BF30_1200
ko:K00242	fpi:BF30_1201
ko:K00239	fpi:BF30_1202
ko:K00240	fpi:BF30_1203
ko:K00164	fpi:BF30_1204
ko:K00658	fpi:BF30_1205
ko:K00759	fpi:BF30_1206
ko:K03431	fpi:BF30_1207
ko:K01803	fpi:BF30_1208
ko:K03075	fpi:BF30_1209
ko:K07733	fpi:BF30_1213
ko:K07223	fpi:BF30_1228
ko:K00024	fpi:BF30_1895
ko:K06134	fpi:BF30_1898
ko:K03386	fpi:BF30_1902
ko:K06193	fpi:BF30_1904
ko:K02342	fpi:BF30_1907
ko:K07260	fpi:BF30_1908
ko:K00128	fpi:BF30_1911
ko:K04761	fpi:BF30_1915
ko:K03781	fpi:BF30_1919
ko:K00432	fpi:BF30_1921
ko:K00760	fpi:BF30_849
ko:K01939	fpi:BF30_850
ko:K00602	fpi:BF30_851
ko:K03098	fpi:BF30_853
ko:K02340	fpi:BF30_854
ko:K01915	fpi:BF30_855
ko:K01425	fpi:BF30_856
ko:K04567	fpi:BF30_859
ko:K07461	fpi:BF30_860
ko:K02836	fpi:BF30_861
ko:K02343	fpi:BF30_863
ko:K02535	fpi:BF30_862
ko:K03531	fpi:BF30_864
ko:K03590	fpi:BF30_865
ko:K03589	fpi:BF30_866
ko:K01921	fpi:BF30_867
ko:K02945	fpi:BF30_869
ko:K07566	fpi:BF30_870
ko:K02238	fpi:BF30_873
ko:K02238	fpi:BF30_875
ko:K02050	fpi:BF30_878
ko:K02221	fpi:BF30_879
ko:K00919	fpi:BF30_883
ko:K02494	fpi:BF30_884
ko:K09125	fpi:BF30_888
ko:K02049	fpi:BF30_891
ko:K02050	fpi:BF30_892
ko:K06199	fpi:BF30_897
ko:K01749	fpi:BF30_898
ko:K06999	fpi:BF30_899
ko:K01147	fpi:BF30_900
ko:K09930	fpi:BF30_1727
ko:K09929	fpi:BF30_1728
ko:K06041	fpi:BF30_1730
ko:K01783	fpi:BF30_1731
