ko:K02847	hpys:HPSA20_0455
ko:K14224	hpys:HPSA20_0009
ko:K14224	hpys:HPSA20_0012
ko:K14221	hpys:HPSA20_0010
ko:K14237	hpys:HPSA20_0011
ko:K14229	hpys:HPSA20_0013
ko:K14218	hpys:HPSA20_1165
ko:K14219	hpys:HPSA20_0888
ko:K14219	hpys:HPSA20_1068
ko:K14236	hpys:HPSA20_1298
ko:K14237	hpys:HPSA20_0085
ko:K14233	hpys:HPSA20_1003
ko:K14235	hpys:HPSA20_1293
ko:K14234	hpys:HPSA20_1296
ko:K14234	hpys:HPSA20_1299
ko:K01749	hpys:HPSA20_0264
ko:K01881	hpys:HPSA20_0265
ko:K02492	hpys:HPSA20_0266
ko:K02523	hpys:HPSA20_0267
ko:K04047	hpys:HPSA20_0270
ko:K07710	hpys:HPSA20_0271
ko:K02394	hpys:HPSA20_0273
ko:K05592	hpys:HPSA20_0274
ko:K13896	hpys:HPSA20_0277
ko:K13895	hpys:HPSA20_0278
ko:K01939	hpys:HPSA20_0282
ko:K11749	hpys:HPSA20_0285
ko:K03601	hpys:HPSA20_0287
ko:K03695	hpys:HPSA20_0294
ko:K01465	hpys:HPSA20_0297
ko:K06168	hpys:HPSA20_0300
ko:K09778	hpys:HPSA20_0301
ko:K06940	hpys:HPSA20_0305
ko:K01609	hpys:HPSA20_0307
ko:K01524	hpys:HPSA20_0309
ko:K02841	hpys:HPSA20_0310
ko:K02517	hpys:HPSA20_0311
ko:K02493	hpys:HPSA20_1104
ko:K03168	hpys:HPSA20_1134
ko:K01772	hpys:HPSA20_1144
ko:K09761	hpys:HPSA20_1146
ko:K01494	hpys:HPSA20_1150
ko:K02160	hpys:HPSA20_1151
ko:K01961	hpys:HPSA20_1152
ko:K09812	hpys:HPSA20_0789
ko:K09811	hpys:HPSA20_0791
ko:K02407	hpys:HPSA20_0794
ko:K02422	hpys:HPSA20_0795
ko:K12251	hpys:HPSA20_0799
ko:K07084	hpys:HPSA20_0800
ko:K03110	hpys:HPSA20_0805
ko:K06940	hpys:HPSA20_0806
ko:K03639	hpys:HPSA20_0810
ko:K03752	hpys:HPSA20_0811
ko:K02401	hpys:HPSA20_0812
ko:K01448	hpys:HPSA20_0814
ko:K01448	hpys:HPSA20_0815
ko:K00459	hpys:HPSA20_0816
ko:K01866	hpys:HPSA20_0817
ko:K03060	hpys:HPSA20_0820
ko:K09903	hpys:HPSA20_0822
ko:K01682	hpys:HPSA20_0825
ko:K03634	hpys:HPSA20_0830
ko:K03634	hpys:HPSA20_0831
ko:K03070	hpys:HPSA20_0832
ko:K01154	hpys:HPSA20_0835
ko:K01154	hpys:HPSA20_0836
ko:K01534	hpys:HPSA20_0837
ko:K07391	hpys:HPSA20_0838
ko:K01462	hpys:HPSA20_0839
ko:K01358	hpys:HPSA20_0840
ko:K03545	hpys:HPSA20_0841
ko:K03631	hpys:HPSA20_1622
ko:K01783	hpys:HPSA20_1628
ko:K03841	hpys:HPSA20_1630
ko:K07058	hpys:HPSA20_1634
ko:K01012	hpys:HPSA20_1635
ko:K01173	hpys:HPSA20_1639
ko:K01338	hpys:HPSA20_1641
ko:K05807	hpys:HPSA20_1642
ko:K13626	hpys:HPSA20_1643
ko:K02372	hpys:HPSA20_1644
ko:K00677	hpys:HPSA20_1645
ko:K03544	hpys:HPSA20_1646
ko:K03569	hpys:HPSA20_1647
ko:K03570	hpys:HPSA20_1648
ko:K03179	hpys:HPSA20_1660
ko:K01613	hpys:HPSA20_1663
ko:K03517	hpys:HPSA20_1664
ko:K00767	hpys:HPSA20_1665
ko:K03797	hpys:HPSA20_1672
ko:K00655	hpys:HPSA20_1674
ko:K14230	hpys:HPSA20_0948
ko:K14223	hpys:HPSA20_0949
ko:K14225	hpys:HPSA20_0999
ko:K14225	hpys:HPSA20_1297
ko:K14228	hpys:HPSA20_1001
ko:K14228	hpys:HPSA20_1157
ko:K14228	hpys:HPSA20_1303
ko:K14228	hpys:HPSA20_1304
ko:K14222	hpys:HPSA20_1002
ko:K01985	hpys:HPSA20_1052
ko:K01985	hpys:HPSA20_1457
ko:K01980	hpys:HPSA20_1053
ko:K14226	hpys:HPSA20_1070
ko:K14232	hpys:HPSA20_1071
ko:K14227	hpys:HPSA20_1164
ko:K01977	hpys:HPSA20_1223
ko:K14231	hpys:HPSA20_1599
ko:K00773	hpys:HPSA20_0312
ko:K09944	hpys:HPSA20_0313
ko:K01735	hpys:HPSA20_0314
ko:K01586	hpys:HPSA20_0322
ko:K01163	hpys:HPSA20_0324
ko:K01163	hpys:HPSA20_0325
ko:K02397	hpys:HPSA20_0328
ko:K02888	hpys:HPSA20_0330
ko:K02899	hpys:HPSA20_0331
ko:K12368	hpys:HPSA20_0332
ko:K12369	hpys:HPSA20_0333
ko:K12370	hpys:HPSA20_0334
ko:K12371	hpys:HPSA20_0335
ko:K12372	hpys:HPSA20_0337
ko:K03979	hpys:HPSA20_0338
ko:K01845	hpys:HPSA20_0341
ko:K07226	hpys:HPSA20_0352
ko:K01887	hpys:HPSA20_0353
ko:K03116	hpys:HPSA20_0354
ko:K00942	hpys:HPSA20_0355
ko:K02393	hpys:HPSA20_0360
ko:K00912	hpys:HPSA20_0363
ko:K15895	hpys:HPSA20_1156
ko:K00573	hpys:HPSA20_1159
ko:K07091	hpys:HPSA20_1160
ko:K06173	hpys:HPSA20_1161
ko:K01625	hpys:HPSA20_1172
ko:K01690	hpys:HPSA20_1173
ko:K00036	hpys:HPSA20_1174
ko:K01057	hpys:HPSA20_1175
ko:K13979	hpys:HPSA20_1177
ko:K00172	hpys:HPSA20_1182
ko:K00171	hpys:HPSA20_1184
ko:K00169	hpys:HPSA20_1185
ko:K00170	hpys:HPSA20_1186
ko:K01756	hpys:HPSA20_1187
ko:K03702	hpys:HPSA20_1189
ko:K02396	hpys:HPSA20_1196
ko:K03775	hpys:HPSA20_1202
ko:K03640	hpys:HPSA20_1204
ko:K03641	hpys:HPSA20_1205
ko:K03625	hpys:HPSA20_0001
ko:K00794	hpys:HPSA20_0002
ko:K01627	hpys:HPSA20_0003
ko:K01673	hpys:HPSA20_0005
ko:K01591	hpys:HPSA20_0007
ko:K01918	hpys:HPSA20_0008
ko:K15845	hpys:HPSA20_0015
ko:K04077	hpys:HPSA20_0017
ko:K04078	hpys:HPSA20_0018
ko:K00566	hpys:HPSA20_0021
ko:K09859	hpys:HPSA20_0026
ko:K03415	hpys:HPSA20_0028
ko:K13747	hpys:HPSA20_0029
ko:K12977	hpys:HPSA20_0030
ko:K03760	hpys:HPSA20_0031
ko:K01647	hpys:HPSA20_0033
ko:K00031	hpys:HPSA20_0034
ko:K01935	hpys:HPSA20_0036
ko:K06891	hpys:HPSA20_0039
ko:K03694	hpys:HPSA20_0040
ko:K01579	hpys:HPSA20_0041
ko:K15846	hpys:HPSA20_0843
ko:K03637	hpys:HPSA20_0844
ko:K03831	hpys:HPSA20_0845
ko:K03636	hpys:HPSA20_0847
ko:K14652	hpys:HPSA20_0852
ko:K07270	hpys:HPSA20_0853
ko:K07043	hpys:HPSA20_0854
ko:K16091	hpys:HPSA20_0855
ko:K00997	hpys:HPSA20_0856
ko:K02415	hpys:HPSA20_0857
ko:K02556	hpys:HPSA20_0863
ko:K02557	hpys:HPSA20_0864
ko:K05847	hpys:HPSA20_0868
ko:K03703	hpys:HPSA20_0871
ko:K00003	hpys:HPSA20_0872
ko:K07460	hpys:HPSA20_0873
ko:K03671	hpys:HPSA20_0874
ko:K00384	hpys:HPSA20_0875
ko:K07270	hpys:HPSA20_0877
ko:K02108	hpys:HPSA20_0880
ko:K00859	hpys:HPSA20_0883
ko:K00797	hpys:HPSA20_0884
ko:K03977	hpys:HPSA20_0886
ko:K03530	hpys:HPSA20_0887
ko:K09860	hpys:HPSA20_0889
ko:K15894	hpys:HPSA20_0892
ko:K13038	hpys:HPSA20_0893
ko:K03648	hpys:HPSA20_1675
ko:K00134	hpys:HPSA20_1676
ko:K00927	hpys:HPSA20_1677
ko:K03284	hpys:HPSA20_1678
ko:K02357	hpys:HPSA20_1685
ko:K02967	hpys:HPSA20_1686
ko:K03313	hpys:HPSA20_1688
ko:K03210	hpys:HPSA20_1689
ko:K03072	hpys:HPSA20_1690
ko:K03074	hpys:HPSA20_1691
ko:K01869	hpys:HPSA20_1693
ko:K11754	hpys:HPSA20_1695
ko:K03723	hpys:HPSA20_1700
ko:K00411	hpys:HPSA20_1701
ko:K00412	hpys:HPSA20_1702
ko:K00413	hpys:HPSA20_1703
ko:K03587	hpys:HPSA20_1709
ko:K02408	hpys:HPSA20_1711
ko:K02388	hpys:HPSA20_1712
ko:K02387	hpys:HPSA20_1713
ko:K03588	hpys:HPSA20_1714
ko:K02016	hpys:HPSA20_1715
ko:K02073	hpys:HPSA20_1719
ko:K05515	hpys:HPSA20_1721
ko:K03978	hpys:HPSA20_1723
ko:K09774	hpys:HPSA20_1724
ko:K03270	hpys:HPSA20_1726
ko:K00053	hpys:HPSA20_0366
ko:K03609	hpys:HPSA20_0368
ko:K03608	hpys:HPSA20_0369
ko:K04096	hpys:HPSA20_0370
ko:K07447	hpys:HPSA20_0371
ko:K06180	hpys:HPSA20_0375
ko:K07462	hpys:HPSA20_0376
ko:K01937	hpys:HPSA20_0378
ko:K02409	hpys:HPSA20_0381
ko:K02410	hpys:HPSA20_0382
ko:K02411	hpys:HPSA20_0383
ko:K01662	hpys:HPSA20_0384
ko:K03596	hpys:HPSA20_0385
ko:K02392	hpys:HPSA20_0391
ko:K03466	hpys:HPSA20_0394
ko:K00615	hpys:HPSA20_0397
ko:K11753	hpys:HPSA20_0398
ko:K06442	hpys:HPSA20_0399
ko:K00609	hpys:HPSA20_0401
ko:K07241	hpys:HPSA20_0412
ko:K02114	hpys:HPSA20_1209
ko:K02112	hpys:HPSA20_1210
ko:K02115	hpys:HPSA20_1211
ko:K02111	hpys:HPSA20_1212
ko:K02113	hpys:HPSA20_1213
ko:K02109	hpys:HPSA20_1214
ko:K02109	hpys:HPSA20_1215
ko:K09747	hpys:HPSA20_0042
ko:K12050	hpys:HPSA20_0046
ko:K12049	hpys:HPSA20_0047
ko:K12048	hpys:HPSA20_0048
ko:K01711	hpys:HPSA20_0051
ko:K02377	hpys:HPSA20_0052
ko:K04656	hpys:HPSA20_0054
ko:K13821	hpys:HPSA20_0065
ko:K03190	hpys:HPSA20_0077
ko:K03189	hpys:HPSA20_0078
ko:K03188	hpys:HPSA20_0079
ko:K03187	hpys:HPSA20_0080
ko:K03191	hpys:HPSA20_0081
ko:K01428	hpys:HPSA20_0083
ko:K03101	hpys:HPSA20_0086
ko:K03431	hpys:HPSA20_0087
ko:K02968	hpys:HPSA20_0088
ko:K02835	hpys:HPSA20_0089
ko:K02996	hpys:HPSA20_0095
ko:K02871	hpys:HPSA20_0096
ko:K00788	hpys:HPSA20_0895
ko:K00941	hpys:HPSA20_0896
ko:K00878	hpys:HPSA20_0897
ko:K01153	hpys:HPSA20_0898
ko:K01154	hpys:HPSA20_0899
ko:K03427	hpys:HPSA20_0901
ko:K09805	hpys:HPSA20_0903
ko:K00364	hpys:HPSA20_0905
ko:K03271	hpys:HPSA20_0906
ko:K03272	hpys:HPSA20_0907
ko:K03274	hpys:HPSA20_0908
ko:K03273	hpys:HPSA20_0909
ko:K09792	hpys:HPSA20_0910
ko:K03525	hpys:HPSA20_0911
ko:K03624	hpys:HPSA20_0915
ko:K00748	hpys:HPSA20_0916
ko:K04651	hpys:HPSA20_0918
ko:K03524	hpys:HPSA20_1218
ko:K00604	hpys:HPSA20_1219
ko:K02884	hpys:HPSA20_1228
ko:K00554	hpys:HPSA20_1229
ko:K02860	hpys:HPSA20_1230
ko:K06960	hpys:HPSA20_1231
ko:K02959	hpys:HPSA20_1232
ko:K03106	hpys:HPSA20_1233
ko:K01873	hpys:HPSA20_1234
ko:K02563	hpys:HPSA20_1236
ko:K00286	hpys:HPSA20_1239
ko:K04095	hpys:HPSA20_1240
ko:K07042	hpys:HPSA20_1241
ko:K03839	hpys:HPSA20_1242
ko:K00384	hpys:HPSA20_1245
ko:K01810	hpys:HPSA20_1247
ko:K06200	hpys:HPSA20_1250
ko:K02029	hpys:HPSA20_1251
ko:K02029	hpys:HPSA20_1252
ko:K02390	hpys:HPSA20_0919
ko:K01521	hpys:HPSA20_0920
ko:K06193	hpys:HPSA20_0922
ko:K03781	hpys:HPSA20_0925
ko:K01159	hpys:HPSA20_0927
ko:K03550	hpys:HPSA20_0929
ko:K03980	hpys:HPSA20_0931
ko:K01883	hpys:HPSA20_0932
ko:K02013	hpys:HPSA20_0936
ko:K02015	hpys:HPSA20_0937
ko:K03642	hpys:HPSA20_1727
ko:K08307	hpys:HPSA20_1728
ko:K03424	hpys:HPSA20_1729
ko:K00793	hpys:HPSA20_1730
ko:K04061	hpys:HPSA20_1731
ko:K02071	hpys:HPSA20_1732
ko:K02072	hpys:HPSA20_1733
ko:K03474	hpys:HPSA20_1737
ko:K00097	hpys:HPSA20_1738
ko:K02392	hpys:HPSA20_1740
ko:K17103	hpys:HPSA20_0420
ko:K03798	hpys:HPSA20_0421
ko:K02687	hpys:HPSA20_0422
ko:K03413	hpys:HPSA20_0423
ko:K06950	hpys:HPSA20_0428
ko:K03501	hpys:HPSA20_0429
ko:K07568	hpys:HPSA20_0430
ko:K03118	hpys:HPSA20_0432
ko:K03117	hpys:HPSA20_0433
ko:K03551	hpys:HPSA20_0434
ko:K00606	hpys:HPSA20_0435
ko:K03610	hpys:HPSA20_0441
ko:K02535	hpys:HPSA20_0442
ko:K00872	hpys:HPSA20_0444
ko:K02519	hpys:HPSA20_0446
ko:K02834	hpys:HPSA20_0447
ko:K09748	hpys:HPSA20_0448
ko:K02400	hpys:HPSA20_0452
ko:K02956	hpys:HPSA20_0453
ko:K03786	hpys:HPSA20_0456
ko:K00950	hpys:HPSA20_0458
ko:K02404	hpys:HPSA20_0459
ko:K04562	hpys:HPSA20_0460
ko:K02405	hpys:HPSA20_0462
ko:K02416	hpys:HPSA20_0463
ko:K02417	hpys:HPSA20_0464
ko:K07478	hpys:HPSA20_0468
ko:K05516	hpys:HPSA20_0470
ko:K02429	hpys:HPSA20_1257
ko:K06901	hpys:HPSA20_1258
ko:K01839	hpys:HPSA20_1264
ko:K05801	hpys:HPSA20_1267
ko:K08159	hpys:HPSA20_1272
ko:K00133	hpys:HPSA20_1275
ko:K01892	hpys:HPSA20_1276
ko:K02355	hpys:HPSA20_1282
ko:K02992	hpys:HPSA20_1283
ko:K02950	hpys:HPSA20_1284
ko:K02935	hpys:HPSA20_1287
ko:K02864	hpys:HPSA20_1288
ko:K02863	hpys:HPSA20_1289
ko:K02867	hpys:HPSA20_1290
ko:K02601	hpys:HPSA20_1291
ko:K03073	hpys:HPSA20_1292
ko:K02913	hpys:HPSA20_1294
ko:K02358	hpys:HPSA20_1295
ko:K02110	hpys:HPSA20_1305
ko:K00962	hpys:HPSA20_1306
ko:K04744	hpys:HPSA20_1308
ko:K00116	hpys:HPSA20_0099
ko:K03086	hpys:HPSA20_0101
ko:K00645	hpys:HPSA20_0104
ko:K09805	hpys:HPSA20_0106
ko:K01733	hpys:HPSA20_0115
ko:K09765	hpys:HPSA20_0117
ko:K07173	hpys:HPSA20_0123
ko:K01738	hpys:HPSA20_0125
ko:K04043	hpys:HPSA20_0127
ko:K03687	hpys:HPSA20_0128
ko:K03705	hpys:HPSA20_0129
ko:K01628	hpys:HPSA20_0130
ko:K02406	hpys:HPSA20_0133
ko:K03168	hpys:HPSA20_0135
ko:K01868	hpys:HPSA20_0141
ko:K02520	hpys:HPSA20_0142
ko:K02916	hpys:HPSA20_0143
ko:K02887	hpys:HPSA20_0144
ko:K01752	hpys:HPSA20_0150
ko:K03837	hpys:HPSA20_0151
ko:K15847	hpys:HPSA20_0946
ko:K04654	hpys:HPSA20_0951
ko:K04653	hpys:HPSA20_0952
ko:K00925	hpys:HPSA20_0956
ko:K13788	hpys:HPSA20_0957
ko:K02389	hpys:HPSA20_0959
ko:K02390	hpys:HPSA20_0960
ko:K03657	hpys:HPSA20_0966
ko:K15843	hpys:HPSA20_0967
ko:K15844	hpys:HPSA20_0968
ko:K01955	hpys:HPSA20_0974
ko:K00134	hpys:HPSA20_0976
ko:K01821	hpys:HPSA20_0980
ko:K06187	hpys:HPSA20_0981
ko:K06176	hpys:HPSA20_0982
ko:K03799	hpys:HPSA20_0983
ko:K01495	hpys:HPSA20_0984
ko:K00795	hpys:HPSA20_0985
ko:K03787	hpys:HPSA20_0986
ko:K01737	hpys:HPSA20_0988
ko:K10009	hpys:HPSA20_0993
ko:K02424	hpys:HPSA20_0994
ko:K01775	hpys:HPSA20_0995
ko:K03310	hpys:HPSA20_0996
ko:K12506	hpys:HPSA20_0474
ko:K00995	hpys:HPSA20_0479
ko:K01714	hpys:HPSA20_0482
ko:K00937	hpys:HPSA20_0485
ko:K01154	hpys:HPSA20_0487
ko:K03427	hpys:HPSA20_0488
ko:K01153	hpys:HPSA20_0489
ko:K01153	hpys:HPSA20_0491
ko:K08602	hpys:HPSA20_0498
ko:K02020	hpys:HPSA20_0502
ko:K02018	hpys:HPSA20_0503
ko:K06207	hpys:HPSA20_0508
ko:K03781	hpys:HPSA20_0517
ko:K01945	hpys:HPSA20_1310
ko:K00806	hpys:HPSA20_1315
ko:K06199	hpys:HPSA20_1319
ko:K08311	hpys:HPSA20_1322
ko:K00928	hpys:HPSA20_1323
ko:K02341	hpys:HPSA20_1325
ko:K00796	hpys:HPSA20_1326
ko:K09804	hpys:HPSA20_1330
ko:K01956	hpys:HPSA20_1331
ko:K01956	hpys:HPSA20_1333
ko:K06287	hpys:HPSA20_1338
ko:K01872	hpys:HPSA20_1339
ko:K09794	hpys:HPSA20_1340
ko:K02963	hpys:HPSA20_1346
ko:K02990	hpys:HPSA20_1348
ko:K02340	hpys:HPSA20_1350
ko:K12573	hpys:HPSA20_1351
ko:K00014	hpys:HPSA20_1352
ko:K13894	hpys:HPSA20_1354
ko:K13893	hpys:HPSA20_1355
ko:K01867	hpys:HPSA20_1356
ko:K02169	hpys:HPSA20_1357
ko:K03075	hpys:HPSA20_1358
ko:K02838	hpys:HPSA20_1359
ko:K00762	hpys:HPSA20_1360
ko:K12410	hpys:HPSA20_1362
ko:K10716	hpys:HPSA20_0523
ko:K02902	hpys:HPSA20_0524
ko:K15846	hpys:HPSA20_0525
ko:K01000	hpys:HPSA20_0526
ko:K01925	hpys:HPSA20_0527
ko:K07107	hpys:HPSA20_0529
ko:K03308	hpys:HPSA20_0530
ko:K03308	hpys:HPSA20_0531
ko:K01058	hpys:HPSA20_0532
ko:K02338	hpys:HPSA20_0533
ko:K02470	hpys:HPSA20_0534
ko:K00215	hpys:HPSA20_0543
ko:K03667	hpys:HPSA20_0553
ko:K01419	hpys:HPSA20_0555
ko:K02939	hpys:HPSA20_0556
ko:K01915	hpys:HPSA20_0558
ko:K01776	hpys:HPSA20_0560
ko:K03628	hpys:HPSA20_0561
ko:K02909	hpys:HPSA20_0562
ko:K07056	hpys:HPSA20_0563
ko:K03218	hpys:HPSA20_0564
ko:K01962	hpys:HPSA20_0569
ko:K09458	hpys:HPSA20_0570
ko:K02078	hpys:HPSA20_0571
ko:K02970	hpys:HPSA20_0573
ko:K00330	hpys:HPSA20_1363
ko:K00331	hpys:HPSA20_1364
ko:K00332	hpys:HPSA20_1365
ko:K00333	hpys:HPSA20_1366
ko:K00334	hpys:HPSA20_1367
ko:K00337	hpys:HPSA20_1370
ko:K00338	hpys:HPSA20_1371
ko:K00339	hpys:HPSA20_1372
ko:K00340	hpys:HPSA20_1373
ko:K00341	hpys:HPSA20_1374
ko:K00342	hpys:HPSA20_1375
ko:K00343	hpys:HPSA20_1376
ko:K15778	hpys:HPSA20_1378
ko:K01695	hpys:HPSA20_1382
ko:K01696	hpys:HPSA20_1383
ko:K13498	hpys:HPSA20_1384
ko:K00766	hpys:HPSA20_1385
ko:K01657	hpys:HPSA20_1387
ko:K03707	hpys:HPSA20_1392
ko:K03811	hpys:HPSA20_1393
ko:K02879	hpys:HPSA20_1397
ko:K03040	hpys:HPSA20_1398
ko:K02986	hpys:HPSA20_1399
ko:K02948	hpys:HPSA20_1400
ko:K02952	hpys:HPSA20_1401
ko:K02919	hpys:HPSA20_1402
ko:K02518	hpys:HPSA20_1403
ko:K01265	hpys:HPSA20_1404
ko:K03076	hpys:HPSA20_1405
ko:K02876	hpys:HPSA20_1406
ko:K02988	hpys:HPSA20_1407
ko:K02881	hpys:HPSA20_1408
ko:K02933	hpys:HPSA20_1409
ko:K02994	hpys:HPSA20_1410
ko:K02931	hpys:HPSA20_1411
ko:K02895	hpys:HPSA20_1412
ko:K01778	hpys:HPSA20_0578
ko:K06942	hpys:HPSA20_0583
ko:K01255	hpys:HPSA20_0584
ko:K00759	hpys:HPSA20_0586
ko:K01808	hpys:HPSA20_0588
ko:K03100	hpys:HPSA20_0590
ko:K01491	hpys:HPSA20_0591
ko:K01465	hpys:HPSA20_0596
ko:K02417	hpys:HPSA20_0599
ko:K10773	hpys:HPSA20_0600
ko:K07082	hpys:HPSA20_0603
ko:K00176	hpys:HPSA20_0604
ko:K00174	hpys:HPSA20_0605
ko:K00175	hpys:HPSA20_0606
ko:K00177	hpys:HPSA20_0607
ko:K03611	hpys:HPSA20_0611
ko:K02406	hpys:HPSA20_0623
ko:K01599	hpys:HPSA20_0626
ko:K02874	hpys:HPSA20_1413
ko:K02961	hpys:HPSA20_1414
ko:K02904	hpys:HPSA20_1415
ko:K02878	hpys:HPSA20_1416
ko:K02982	hpys:HPSA20_1417
ko:K02890	hpys:HPSA20_1418
ko:K02965	hpys:HPSA20_1419
ko:K02886	hpys:HPSA20_1420
ko:K02892	hpys:HPSA20_1421
ko:K02926	hpys:HPSA20_1422
ko:K02906	hpys:HPSA20_1423
ko:K02946	hpys:HPSA20_1424
ko:K07133	hpys:HPSA20_1426
ko:K03470	hpys:HPSA20_1428
ko:K07787	hpys:HPSA20_1436
ko:K03686	hpys:HPSA20_1439
ko:K00566	hpys:HPSA20_1441
ko:K00969	hpys:HPSA20_1443
ko:K07722	hpys:HPSA20_1444
ko:K03561	hpys:HPSA20_1445
ko:K03832	hpys:HPSA20_1447
ko:K00640	hpys:HPSA20_1453
ko:K09457	hpys:HPSA20_1462
ko:K09710	hpys:HPSA20_1463
ko:K00791	hpys:HPSA20_1464
ko:K01626	hpys:HPSA20_0152
ko:K03564	hpys:HPSA20_0155
ko:K00782	hpys:HPSA20_0156
ko:K03303	hpys:HPSA20_0159
ko:K03303	hpys:HPSA20_0160
ko:K03575	hpys:HPSA20_0162
ko:K00404	hpys:HPSA20_0164
ko:K00405	hpys:HPSA20_0165
ko:K00407	hpys:HPSA20_0166
ko:K00406	hpys:HPSA20_0167
ko:K01689	hpys:HPSA20_0174
ko:K00891	hpys:HPSA20_0177
ko:K01698	hpys:HPSA20_0184
ko:K08303	hpys:HPSA20_0190
ko:K02836	hpys:HPSA20_0192
ko:K03750	hpys:HPSA20_0193
ko:K02421	hpys:HPSA20_0194
ko:K01624	hpys:HPSA20_0197
ko:K02356	hpys:HPSA20_0198
ko:K02003	hpys:HPSA20_0200
ko:K03820	hpys:HPSA20_0201
ko:K03558	hpys:HPSA20_0202
ko:K04567	hpys:HPSA20_0203
ko:K00600	hpys:HPSA20_0204
ko:K00285	hpys:HPSA20_0997
ko:K00783	hpys:HPSA20_1007
ko:K01963	hpys:HPSA20_1008
ko:K13292	hpys:HPSA20_1014
ko:K02527	hpys:HPSA20_1017
ko:K07164	hpys:HPSA20_1019
ko:K01878	hpys:HPSA20_1021
ko:K00057	hpys:HPSA20_1022
ko:K15726	hpys:HPSA20_1030
ko:K01879	hpys:HPSA20_1033
ko:K15633	hpys:HPSA20_1036
ko:K02435	hpys:HPSA20_1037
ko:K00833	hpys:HPSA20_1038
ko:K03770	hpys:HPSA20_1039
ko:K03590	hpys:HPSA20_1040
ko:K03531	hpys:HPSA20_1041
ko:K01972	hpys:HPSA20_0638
ko:K03415	hpys:HPSA20_0639
ko:K01876	hpys:HPSA20_0640
ko:K07270	hpys:HPSA20_0642
ko:K07270	hpys:HPSA20_0644
ko:K07456	hpys:HPSA20_0646
