ko:K19296	ppud:DW66_4804
ko:K06048	ppud:DW66_2982
ko:K03301	ppud:DW66_2987
ko:K07223	ppud:DW66_2989
ko:K03453	ppud:DW66_2990
ko:K15746	ppud:DW66_2991
ko:K07507	ppud:DW66_2992
ko:K16345	ppud:DW66_3848
ko:K07235	ppud:DW66_3849
ko:K07236	ppud:DW66_3850
ko:K07237	ppud:DW66_3851
ko:K11179	ppud:DW66_3852
ko:K07393	ppud:DW66_3854
ko:K02302	ppud:DW66_3855
ko:K01875	ppud:DW66_3856
ko:K06199	ppud:DW66_3857
ko:K07478	ppud:DW66_3858
ko:K03634	ppud:DW66_3859
ko:K03466	ppud:DW66_3860
ko:K00684	ppud:DW66_3862
ko:K02518	ppud:DW66_3864
ko:K03694	ppud:DW66_3865
ko:K06891	ppud:DW66_3866
ko:K03704	ppud:DW66_3867
ko:K00031	ppud:DW66_3868
ko:K00031	ppud:DW66_3869
ko:K00566	ppud:DW66_3871
ko:K07153	ppud:DW66_3872
ko:K01756	ppud:DW66_3873
ko:K07090	ppud:DW66_3879
ko:K03426	ppud:DW66_3880
ko:K01692	ppud:DW66_3881
ko:K03314	ppud:DW66_3882
ko:K03098	ppud:DW66_3884
ko:K00784	ppud:DW66_3885
ko:K06016	ppud:DW66_3886
ko:K03457	ppud:DW66_3887
ko:K01464	ppud:DW66_3888
ko:K17723	ppud:DW66_3890
ko:K06996	ppud:DW66_3892
ko:K00036	ppud:DW66_3894
ko:K00033	ppud:DW66_3895
ko:K11904	ppud:DW66_3900
ko:K00703	ppud:DW66_3901
ko:K01236	ppud:DW66_3902
ko:K07443	ppud:DW66_4727
ko:K08218	ppud:DW66_4728
ko:K08160	ppud:DW66_4729
ko:K03442	ppud:DW66_4730
ko:K09767	ppud:DW66_4731
ko:K00077	ppud:DW66_4732
ko:K00798	ppud:DW66_4734
ko:K03574	ppud:DW66_4735
ko:K00620	ppud:DW66_4737
ko:K03070	ppud:DW66_4738
ko:K02535	ppud:DW66_4740
ko:K03531	ppud:DW66_4741
ko:K03590	ppud:DW66_4742
ko:K03589	ppud:DW66_4743
ko:K01921	ppud:DW66_4744
ko:K01924	ppud:DW66_4745
ko:K02563	ppud:DW66_4746
ko:K03588	ppud:DW66_4747
ko:K01925	ppud:DW66_4748
ko:K01000	ppud:DW66_4749
ko:K01929	ppud:DW66_4750
ko:K01928	ppud:DW66_4751
ko:K03587	ppud:DW66_4752
ko:K03586	ppud:DW66_4753
ko:K03438	ppud:DW66_4754
ko:K03925	ppud:DW66_4755
ko:K07056	ppud:DW66_4756
ko:K07121	ppud:DW66_4757
ko:K07460	ppud:DW66_4758
ko:K03271	ppud:DW66_4759
ko:K03600	ppud:DW66_4762
ko:K03599	ppud:DW66_4763
ko:K00413	ppud:DW66_4764
ko:K00412	ppud:DW66_4765
ko:K00411	ppud:DW66_4766
ko:K02996	ppud:DW66_4767
ko:K02871	ppud:DW66_4768
ko:K06916	ppud:DW66_4771
ko:K01867	ppud:DW66_4772
ko:K07018	ppud:DW66_4773
ko:K09908	ppud:DW66_4774
ko:K01761	ppud:DW66_4775
ko:K00955	ppud:DW66_4777
ko:K01752	ppud:DW66_0302
ko:K07107	ppud:DW66_0305
ko:K17735	ppud:DW66_0306
ko:K02002	ppud:DW66_0308
ko:K17736	ppud:DW66_0309
ko:K01273	ppud:DW66_0313
ko:K03522	ppud:DW66_0317
ko:K03521	ppud:DW66_0318
ko:K00479	ppud:DW66_0319
ko:K03406	ppud:DW66_0321
ko:K03406	ppud:DW66_0324
ko:K01620	ppud:DW66_0325
ko:K00600	ppud:DW66_0326
ko:K00303	ppud:DW66_0327
ko:K03272	ppud:DW66_5165
ko:K11085	ppud:DW66_5166
ko:K00612	ppud:DW66_5175
ko:K07115	ppud:DW66_5176
ko:K11928	ppud:DW66_5177
ko:K13821	ppud:DW66_5178
ko:K05591	ppud:DW66_5184
ko:K07007	ppud:DW66_5185
ko:K02030	ppud:DW66_5187
ko:K02348	ppud:DW66_5188
ko:K07043	ppud:DW66_5190
ko:K01624	ppud:DW66_5192
ko:K00927	ppud:DW66_5195
ko:K03472	ppud:DW66_5196
ko:K00615	ppud:DW66_5197
ko:K00789	ppud:DW66_5199
ko:K01972	ppud:DW66_5200
ko:K08304	ppud:DW66_5204
ko:K03316	ppud:DW66_5207
ko:K01251	ppud:DW66_5209
ko:K00297	ppud:DW66_5210
ko:K02030	ppud:DW66_5212
ko:K11927	ppud:DW66_5214
ko:K00305	ppud:DW66_0330
ko:K01433	ppud:DW66_0331
ko:K07663	ppud:DW66_0339
ko:K07641	ppud:DW66_0340
ko:K06143	ppud:DW66_0341
ko:K07304	ppud:DW66_0343
ko:K00627	ppud:DW66_0345
ko:K00163	ppud:DW66_0346
ko:K00982	ppud:DW66_0348
ko:K02843	ppud:DW66_0349
ko:K02841	ppud:DW66_0350
ko:K02844	ppud:DW66_0351
ko:K02848	ppud:DW66_0352
ko:K03565	ppud:DW66_1205
ko:K06966	ppud:DW66_1206
ko:K05812	ppud:DW66_1209
ko:K00901	ppud:DW66_1211
ko:K00528	ppud:DW66_1213
ko:K02742	ppud:DW66_1214
ko:K14058	ppud:DW66_1216
ko:K03809	ppud:DW66_1219
ko:K00537	ppud:DW66_1220
ko:K03778	ppud:DW66_1224
ko:K07678	ppud:DW66_1225
ko:K12339	ppud:DW66_1228
ko:K03215	ppud:DW66_1229
ko:K00951	ppud:DW66_1230
ko:K04765	ppud:DW66_1231
ko:K09912	ppud:DW66_1232
ko:K11175	ppud:DW66_1235
ko:K01933	ppud:DW66_1236
ko:K09938	ppud:DW66_1237
ko:K10763	ppud:DW66_1239
ko:K02224	ppud:DW66_1246
ko:K04719	ppud:DW66_1247
ko:K02227	ppud:DW66_1248
ko:K02225	ppud:DW66_1249
ko:K02232	ppud:DW66_1250
ko:K05563	ppud:DW66_2083
ko:K05562	ppud:DW66_2084
ko:K05561	ppud:DW66_2085
ko:K05560	ppud:DW66_2086
ko:K05559	ppud:DW66_2087
ko:K06889	ppud:DW66_2093
ko:K01262	ppud:DW66_2095
ko:K11939	ppud:DW66_2097
ko:K02471	ppud:DW66_2098
ko:K07090	ppud:DW66_2102
ko:K03406	ppud:DW66_2108
ko:K11103	ppud:DW66_2115
ko:K03776	ppud:DW66_2116
ko:K03719	ppud:DW66_2118
ko:K17324	ppud:DW66_2122
ko:K17325	ppud:DW66_2123
ko:K17322	ppud:DW66_2124
ko:K17323	ppud:DW66_2125
ko:K17321	ppud:DW66_2127
ko:K01491	ppud:DW66_2129
ko:K03545	ppud:DW66_2131
ko:K01358	ppud:DW66_2132
ko:K08995	ppud:DW66_2995
ko:K01485	ppud:DW66_2998
ko:K03707	ppud:DW66_2999
ko:K03707	ppud:DW66_3000
ko:K00865	ppud:DW66_3006
ko:K02647	ppud:DW66_3007
ko:K10680	ppud:DW66_3012
ko:K07038	ppud:DW66_3016
ko:K05782	ppud:DW66_3018
ko:K03381	ppud:DW66_3019
ko:K05548	ppud:DW66_3020
ko:K05783	ppud:DW66_3021
ko:K05784	ppud:DW66_3023
ko:K05550	ppud:DW66_3024
ko:K05549	ppud:DW66_3025
ko:K01092	ppud:DW66_3028
ko:K02014	ppud:DW66_3030
ko:K08324	ppud:DW66_3034
ko:K01915	ppud:DW66_3037
ko:K11073	ppud:DW66_3038
ko:K01752	ppud:DW66_3041
ko:K03566	ppud:DW66_3042
ko:K03606	ppud:DW66_3043
ko:K00640	ppud:DW66_3049
ko:K00705	ppud:DW66_3903
ko:K06044	ppud:DW66_3904
ko:K00700	ppud:DW66_3909
ko:K05343	ppud:DW66_3910
ko:K16147	ppud:DW66_3911
ko:K00666	ppud:DW66_3913
ko:K00253	ppud:DW66_3915
ko:K01969	ppud:DW66_3916
ko:K13766	ppud:DW66_3917
ko:K01968	ppud:DW66_3918
ko:K07552	ppud:DW66_3923
ko:K00615	ppud:DW66_3927
ko:K00615	ppud:DW66_3928
ko:K02028	ppud:DW66_3929
ko:K02029	ppud:DW66_3930
ko:K02029	ppud:DW66_3931
ko:K02030	ppud:DW66_3932
ko:K03776	ppud:DW66_3936
ko:K11891	ppud:DW66_3938
ko:K11910	ppud:DW66_3939
ko:K03703	ppud:DW66_3941
ko:K03306	ppud:DW66_3946
ko:K11735	ppud:DW66_3949
ko:K02355	ppud:DW66_3954
ko:K03321	ppud:DW66_3955
ko:K00957	ppud:DW66_4778
ko:K04691	ppud:DW66_4780
ko:K09972	ppud:DW66_4781
ko:K09971	ppud:DW66_4782
ko:K09970	ppud:DW66_4783
ko:K09969	ppud:DW66_4784
ko:K06999	ppud:DW66_4786
ko:K03732	ppud:DW66_4787
ko:K03635	ppud:DW66_4788
ko:K03636	ppud:DW66_4789
ko:K03637	ppud:DW66_4790
ko:K07175	ppud:DW66_4791
ko:K09861	ppud:DW66_4793
ko:K00066	ppud:DW66_4794
ko:K16081	ppud:DW66_4798
ko:K03543	ppud:DW66_4810
ko:K00090	ppud:DW66_4819
ko:K07506	ppud:DW66_4822
ko:K02014	ppud:DW66_4823
ko:K07165	ppud:DW66_4824
ko:K03088	ppud:DW66_4825
ko:K02014	ppud:DW66_0359
ko:K07165	ppud:DW66_0361
ko:K03088	ppud:DW66_0362
ko:K02342	ppud:DW66_0363
ko:K07182	ppud:DW66_0364
ko:K01638	ppud:DW66_0366
ko:K05786	ppud:DW66_0368
ko:K02019	ppud:DW66_0370
ko:K01012	ppud:DW66_0372
ko:K00652	ppud:DW66_0373
ko:K02170	ppud:DW66_0374
ko:K02169	ppud:DW66_0375
ko:K01935	ppud:DW66_0376
ko:K06139	ppud:DW66_0385
ko:K06138	ppud:DW66_0386
ko:K06137	ppud:DW66_0387
ko:K06136	ppud:DW66_0388
ko:K00466	ppud:DW66_0391
ko:K03086	ppud:DW66_0396
ko:K02970	ppud:DW66_0398
ko:K01409	ppud:DW66_0399
ko:K08591	ppud:DW66_0400
ko:K01633	ppud:DW66_0401
ko:K00950	ppud:DW66_0402
ko:K00974	ppud:DW66_0403
ko:K09786	ppud:DW66_0405
ko:K07180	ppud:DW66_0406
ko:K02439	ppud:DW66_0407
ko:K01525	ppud:DW66_0408
ko:K06195	ppud:DW66_0409
ko:K02528	ppud:DW66_0410
ko:K02231	ppud:DW66_1251
ko:K00768	ppud:DW66_1252
ko:K02226	ppud:DW66_1253
ko:K02233	ppud:DW66_1254
ko:K00432	ppud:DW66_1259
ko:K06076	ppud:DW66_1263
ko:K09760	ppud:DW66_1267
ko:K03453	ppud:DW66_1274
ko:K00097	ppud:DW66_0411
ko:K03771	ppud:DW66_0412
ko:K04744	ppud:DW66_0413
ko:K07102	ppud:DW66_0414
ko:K05801	ppud:DW66_0416
ko:K02052	ppud:DW66_0420
ko:K02055	ppud:DW66_0421
ko:K02054	ppud:DW66_0422
ko:K02053	ppud:DW66_0423
ko:K01783	ppud:DW66_0424
ko:K01091	ppud:DW66_0425
ko:K01657	ppud:DW66_0426
ko:K12686	ppud:DW66_0427
ko:K01658	ppud:DW66_0428
ko:K00766	ppud:DW66_0429
ko:K01609	ppud:DW66_0430
ko:K10914	ppud:DW66_0432
ko:K07397	ppud:DW66_0433
ko:K06134	ppud:DW66_0435
ko:K02503	ppud:DW66_0436
ko:K07124	ppud:DW66_0437
ko:K00459	ppud:DW66_0438
ko:K08973	ppud:DW66_0439
ko:K00145	ppud:DW66_0440
ko:K15724	ppud:DW66_0441
ko:K09001	ppud:DW66_0442
ko:K01866	ppud:DW66_0444
ko:K03524	ppud:DW66_0446
ko:K03525	ppud:DW66_0447
ko:K02358	ppud:DW66_0449
ko:K03073	ppud:DW66_0450
ko:K02601	ppud:DW66_0451
ko:K02867	ppud:DW66_0452
ko:K02863	ppud:DW66_0453
ko:K02864	ppud:DW66_0454
ko:K02935	ppud:DW66_0455
ko:K03043	ppud:DW66_0456
ko:K03046	ppud:DW66_0457
ko:K02950	ppud:DW66_0458
ko:K02992	ppud:DW66_0459
ko:K02355	ppud:DW66_0460
ko:K02358	ppud:DW66_0462
ko:K03610	ppud:DW66_1304
ko:K02517	ppud:DW66_1305
ko:K07001	ppud:DW66_1306
ko:K04754	ppud:DW66_1307
ko:K00926	ppud:DW66_1312
ko:K00611	ppud:DW66_1313
ko:K01478	ppud:DW66_1314
ko:K03758	ppud:DW66_1315
ko:K03758	ppud:DW66_1316
ko:K09790	ppud:DW66_1317
ko:K16087	ppud:DW66_1319
ko:K00134	ppud:DW66_1322
ko:K01690	ppud:DW66_1323
ko:K00845	ppud:DW66_1324
ko:K17315	ppud:DW66_1328
ko:K17316	ppud:DW66_1329
ko:K17317	ppud:DW66_1330
ko:K10112	ppud:DW66_1331
ko:K07267	ppud:DW66_1332
ko:K00036	ppud:DW66_1335
ko:K01057	ppud:DW66_1336
ko:K01625	ppud:DW66_1337
ko:K01649	ppud:DW66_1338
ko:K03601	ppud:DW66_1340
ko:K07090	ppud:DW66_1342
ko:K00088	ppud:DW66_1344
ko:K01951	ppud:DW66_1345
ko:K07346	ppud:DW66_2197
ko:K07347	ppud:DW66_2198
ko:K08223	ppud:DW66_2202
ko:K04754	ppud:DW66_2205
ko:K09958	ppud:DW66_2208
ko:K06222	ppud:DW66_2210
ko:K00381	ppud:DW66_2212
ko:K00548	ppud:DW66_2217
ko:K07400	ppud:DW66_2220
ko:K07152	ppud:DW66_2221
ko:K01581	ppud:DW66_2226
ko:K09190	ppud:DW66_2233
ko:K02336	ppud:DW66_2235
ko:K09930	ppud:DW66_2239
ko:K09929	ppud:DW66_2240
ko:K15977	ppud:DW66_2241
ko:K03701	ppud:DW66_3107
ko:K07088	ppud:DW66_3109
ko:K00032	ppud:DW66_3112
ko:K11441	ppud:DW66_3114
ko:K02525	ppud:DW66_3116
ko:K06151	ppud:DW66_3118
ko:K06152	ppud:DW66_3119
ko:K11892	ppud:DW66_3121
