ko:K18929	hca:HPPC18_00695
ko:K00262	hca:HPPC18_05310
ko:K01772	hca:HPPC18_05335
ko:K09761	hca:HPPC18_05345
ko:K01494	hca:HPPC18_05355
ko:K02160	hca:HPPC18_05360
ko:K01961	hca:HPPC18_05365
ko:K00573	hca:HPPC18_05400
ko:K07091	hca:HPPC18_05405
ko:K06173	hca:HPPC18_05410
ko:K01625	hca:HPPC18_05445
ko:K01690	hca:HPPC18_05450
ko:K00036	hca:HPPC18_05455
ko:K01057	hca:HPPC18_05460
ko:K13979	hca:HPPC18_05470
ko:K00172	hca:HPPC18_05495
ko:K12267	hca:HPPC18_01120
ko:K07090	hca:HPPC18_01130
ko:K00979	hca:HPPC18_01155
ko:K03981	hca:HPPC18_01160
ko:K01749	hca:HPPC18_01190
ko:K01881	hca:HPPC18_01195
ko:K02492	hca:HPPC18_01200
ko:K02523	hca:HPPC18_01205
ko:K04047	hca:HPPC18_01220
ko:K07710	hca:HPPC18_01225
ko:K02394	hca:HPPC18_01235
ko:K05592	hca:HPPC18_01240
ko:K00171	hca:HPPC18_05500
ko:K00169	hca:HPPC18_05505
ko:K00170	hca:HPPC18_05510
ko:K01756	hca:HPPC18_05515
ko:K03702	hca:HPPC18_05525
ko:K02396	hca:HPPC18_05560
ko:K03775	hca:HPPC18_05585
ko:K03640	hca:HPPC18_05595
ko:K03641	hca:HPPC18_05600
ko:K02114	hca:HPPC18_05620
ko:K02112	hca:HPPC18_05625
ko:K02115	hca:HPPC18_05630
ko:K02111	hca:HPPC18_05635
ko:K02113	hca:HPPC18_05640
ko:K02109	hca:HPPC18_05645
ko:K02109	hca:HPPC18_05650
ko:K03524	hca:HPPC18_05665
ko:K00604	hca:HPPC18_05670
ko:K02884	hca:HPPC18_05700
ko:K00554	hca:HPPC18_05705
ko:K02860	hca:HPPC18_05710
ko:K06960	hca:HPPC18_05715
ko:K02959	hca:HPPC18_05720
ko:K03106	hca:HPPC18_05725
ko:K01873	hca:HPPC18_05730
ko:K02563	hca:HPPC18_05740
ko:K03545	hca:HPPC18_03925
ko:K15846	hca:HPPC18_03935
ko:K03637	hca:HPPC18_03940
ko:K03831	hca:HPPC18_03945
ko:K03636	hca:HPPC18_03955
ko:K14652	hca:HPPC18_03970
ko:K07270	hca:HPPC18_03975
ko:K07043	hca:HPPC18_03980
ko:K00997	hca:HPPC18_03990
ko:K02415	hca:HPPC18_03995
ko:K02556	hca:HPPC18_04025
ko:K02557	hca:HPPC18_04030
ko:K05847	hca:HPPC18_04045
ko:K03703	hca:HPPC18_04055
ko:K00003	hca:HPPC18_04060
ko:K07460	hca:HPPC18_04065
ko:K03671	hca:HPPC18_04070
ko:K00384	hca:HPPC18_04075
ko:K07270	hca:HPPC18_04080
ko:K02108	hca:HPPC18_04090
ko:K00859	hca:HPPC18_04105
ko:K00797	hca:HPPC18_04110
ko:K03977	hca:HPPC18_04120
ko:K03530	hca:HPPC18_04125
ko:K09860	hca:HPPC18_04130
ko:K15894	hca:HPPC18_04145
ko:K07241	hca:HPPC18_01850
ko:K03798	hca:HPPC18_01885
ko:K02687	hca:HPPC18_01890
ko:K03413	hca:HPPC18_01895
ko:K06950	hca:HPPC18_01910
ko:K03501	hca:HPPC18_01915
ko:K07568	hca:HPPC18_01920
ko:K03118	hca:HPPC18_01925
ko:K03117	hca:HPPC18_01930
ko:K03551	hca:HPPC18_01935
ko:K00606	hca:HPPC18_01940
ko:K03610	hca:HPPC18_01965
ko:K02535	hca:HPPC18_01970
ko:K00872	hca:HPPC18_01980
ko:K02519	hca:HPPC18_01990
ko:K02834	hca:HPPC18_01995
ko:K09748	hca:HPPC18_02000
ko:K02400	hca:HPPC18_02020
ko:K02956	hca:HPPC18_02025
ko:K03786	hca:HPPC18_02035
ko:K00950	hca:HPPC18_02045
ko:K02404	hca:HPPC18_02050
ko:K04562	hca:HPPC18_02055
ko:K02405	hca:HPPC18_02060
ko:K02416	hca:HPPC18_02065
ko:K02417	hca:HPPC18_02070
ko:K07478	hca:HPPC18_02090
ko:K01867	hca:HPPC18_06255
ko:K02169	hca:HPPC18_06260
ko:K03075	hca:HPPC18_06265
ko:K02838	hca:HPPC18_06270
ko:K00762	hca:HPPC18_06275
ko:K12410	hca:HPPC18_06285
ko:K00330	hca:HPPC18_06290
ko:K00331	hca:HPPC18_06295
ko:K00332	hca:HPPC18_06300
ko:K00333	hca:HPPC18_06305
ko:K00334	hca:HPPC18_06310
ko:K00337	hca:HPPC18_06325
ko:K00338	hca:HPPC18_06330
ko:K00339	hca:HPPC18_06335
ko:K00340	hca:HPPC18_06340
ko:K00341	hca:HPPC18_06345
ko:K00342	hca:HPPC18_06350
ko:K00343	hca:HPPC18_06355
ko:K15778	hca:HPPC18_06365
ko:K01695	hca:HPPC18_06390
ko:K01696	hca:HPPC18_06395
ko:K13498	hca:HPPC18_06400
ko:K00766	hca:HPPC18_06405
ko:K01657	hca:HPPC18_06415
ko:K03707	hca:HPPC18_06435
ko:K03811	hca:HPPC18_06450
ko:K02879	hca:HPPC18_06460
ko:K07090	hca:HPPC18_03310
ko:K04042	hca:HPPC18_03335
ko:K02419	hca:HPPC18_03340
ko:K04759	hca:HPPC18_03350
ko:K07501	hca:HPPC18_03355
ko:K10856	hca:HPPC18_03375
ko:K02106	hca:HPPC18_03395
ko:K01029	hca:HPPC18_03400
ko:K01028	hca:HPPC18_03405
ko:K00901	hca:HPPC18_03420
ko:K02469	hca:HPPC18_03425
ko:K03701	hca:HPPC18_03445
ko:K03438	hca:HPPC18_03455
ko:K03040	hca:HPPC18_06465
ko:K02986	hca:HPPC18_06470
ko:K02948	hca:HPPC18_06475
ko:K02952	hca:HPPC18_06480
ko:K02919	hca:HPPC18_06485
ko:K02518	hca:HPPC18_06490
ko:K01265	hca:HPPC18_06495
ko:K03076	hca:HPPC18_06500
ko:K02876	hca:HPPC18_06505
ko:K02988	hca:HPPC18_06510
ko:K07023	hca:HPPC18_03480
ko:K03092	hca:HPPC18_03495
ko:K06861	hca:HPPC18_03500
ko:K06925	hca:HPPC18_03505
ko:K02343	hca:HPPC18_03510
ko:K06895	hca:HPPC18_03515
ko:K07791	hca:HPPC18_03535
ko:K04075	hca:HPPC18_03565
ko:K02372	hca:HPPC18_07645
ko:K00677	hca:HPPC18_07650
ko:K03544	hca:HPPC18_07655
ko:K03569	hca:HPPC18_07660
ko:K03570	hca:HPPC18_07665
ko:K02357	hca:HPPC18_07700
ko:K02967	hca:HPPC18_07705
ko:K03313	hca:HPPC18_07720
ko:K03210	hca:HPPC18_07725
ko:K03072	hca:HPPC18_07730
ko:K03074	hca:HPPC18_07735
ko:K01869	hca:HPPC18_07745
ko:K11754	hca:HPPC18_07755
ko:K03723	hca:HPPC18_07775
ko:K00411	hca:HPPC18_07780
ko:K00412	hca:HPPC18_07785
ko:K00413	hca:HPPC18_07790
ko:K03587	hca:HPPC18_07805
ko:K02408	hca:HPPC18_07810
ko:K02388	hca:HPPC18_07815
ko:K02387	hca:HPPC18_07820
ko:K03588	hca:HPPC18_07825
ko:K02016	hca:HPPC18_07830
ko:K02016	hca:HPPC18_07835
ko:K02073	hca:HPPC18_07845
ko:K05515	hca:HPPC18_07850
ko:K03978	hca:HPPC18_07860
ko:K09774	hca:HPPC18_07865
ko:K03270	hca:HPPC18_07875
ko:K03642	hca:HPPC18_07880
ko:K08307	hca:HPPC18_07885
ko:K03424	hca:HPPC18_07890
ko:K00793	hca:HPPC18_07895
ko:K04061	hca:HPPC18_07900
ko:K02071	hca:HPPC18_07905
ko:K02072	hca:HPPC18_07910
ko:K09859	hca:HPPC18_00080
ko:K03415	hca:HPPC18_00085
ko:K13747	hca:HPPC18_00090
ko:K03760	hca:HPPC18_00100
ko:K01647	hca:HPPC18_00115
ko:K00031	hca:HPPC18_00120
ko:K01935	hca:HPPC18_00130
ko:K06891	hca:HPPC18_00145
ko:K03694	hca:HPPC18_00150
ko:K01579	hca:HPPC18_00155
ko:K09747	hca:HPPC18_00160
ko:K01711	hca:HPPC18_00200
ko:K02377	hca:HPPC18_00205
ko:K04656	hca:HPPC18_00220
ko:K13821	hca:HPPC18_00255
ko:K03190	hca:HPPC18_00330
ko:K03189	hca:HPPC18_00335
ko:K03188	hca:HPPC18_00340
ko:K03187	hca:HPPC18_00345
ko:K01428	hca:HPPC18_00360
ko:K03101	hca:HPPC18_00370
ko:K03431	hca:HPPC18_00375
ko:K13292	hca:HPPC18_04705
ko:K02527	hca:HPPC18_04715
ko:K07164	hca:HPPC18_04720
ko:K01878	hca:HPPC18_04730
ko:K00057	hca:HPPC18_04735
ko:K01879	hca:HPPC18_04780
ko:K15633	hca:HPPC18_04790
ko:K02435	hca:HPPC18_04795
ko:K00833	hca:HPPC18_04800
ko:K03770	hca:HPPC18_04805
ko:K03590	hca:HPPC18_04810
ko:K03531	hca:HPPC18_04815
ko:K03168	hca:HPPC18_04935
ko:K02078	hca:HPPC18_02680
ko:K02970	hca:HPPC18_02690
ko:K01778	hca:HPPC18_02715
ko:K06942	hca:HPPC18_02730
ko:K01255	hca:HPPC18_02735
ko:K00759	hca:HPPC18_02745
ko:K01808	hca:HPPC18_02755
ko:K03100	hca:HPPC18_02765
ko:K01491	hca:HPPC18_02770
ko:K01465	hca:HPPC18_02790
ko:K02417	hca:HPPC18_02805
ko:K10773	hca:HPPC18_02810
ko:K07082	hca:HPPC18_02825
ko:K00176	hca:HPPC18_02830
ko:K00174	hca:HPPC18_02835
ko:K00175	hca:HPPC18_02840
ko:K00177	hca:HPPC18_02845
ko:K03611	hca:HPPC18_02860
ko:K02406	hca:HPPC18_02895
ko:K01599	hca:HPPC18_02910
ko:K03312	hca:HPPC18_07070
ko:K11752	hca:HPPC18_07075
ko:K09943	hca:HPPC18_07090
ko:K11720	hca:HPPC18_07105
ko:K01056	hca:HPPC18_07110
ko:K02897	hca:HPPC18_07115
ko:K01928	hca:HPPC18_07125
ko:K03306	hca:HPPC18_07140
ko:K01993	hca:HPPC18_07155
ko:K08973	hca:HPPC18_07175
ko:K03183	hca:HPPC18_07180
ko:K03602	hca:HPPC18_07185
ko:K01875	hca:HPPC18_07195
ko:K03657	hca:HPPC18_07205
ko:K02386	hca:HPPC18_07210
ko:K03186	hca:HPPC18_07215
ko:K00954	hca:HPPC18_07220
ko:K00943	hca:HPPC18_07225
ko:K00826	hca:HPPC18_07260
ko:K02066	hca:HPPC18_07270
ko:K02065	hca:HPPC18_07275
ko:K00428	hca:HPPC18_07295
ko:K02337	hca:HPPC18_07300
ko:K06178	hca:HPPC18_07305
ko:K07337	hca:HPPC18_07315
ko:K13896	hca:HPPC18_01255
ko:K13895	hca:HPPC18_01260
ko:K01939	hca:HPPC18_01275
ko:K11749	hca:HPPC18_01290
ko:K03601	hca:HPPC18_01295
ko:K03695	hca:HPPC18_01320
ko:K01465	hca:HPPC18_01330
ko:K06168	hca:HPPC18_01345
ko:K09778	hca:HPPC18_01350
ko:K06940	hca:HPPC18_01370
ko:K01609	hca:HPPC18_01380
ko:K01524	hca:HPPC18_01390
ko:K02841	hca:HPPC18_01395
ko:K02517	hca:HPPC18_01400
ko:K00773	hca:HPPC18_01405
ko:K09944	hca:HPPC18_01410
ko:K01735	hca:HPPC18_01415
ko:K01586	hca:HPPC18_01450
ko:K02397	hca:HPPC18_01485
ko:K02888	hca:HPPC18_01490
ko:K02899	hca:HPPC18_01495
ko:K12368	hca:HPPC18_01500
ko:K12370	hca:HPPC18_01510
ko:K12372	hca:HPPC18_01520
ko:K03979	hca:HPPC18_01525
ko:K01845	hca:HPPC18_01540
ko:K00286	hca:HPPC18_05760
ko:K04095	hca:HPPC18_05765
ko:K07042	hca:HPPC18_05770
ko:K03839	hca:HPPC18_05775
ko:K00384	hca:HPPC18_05790
ko:K01810	hca:HPPC18_05800
ko:K06200	hca:HPPC18_05810
ko:K02029	hca:HPPC18_05815
ko:K02429	hca:HPPC18_05840
ko:K06901	hca:HPPC18_05845
ko:K01839	hca:HPPC18_05865
ko:K08159	hca:HPPC18_05900
ko:K00133	hca:HPPC18_05925
ko:K01892	hca:HPPC18_05930
ko:K02355	hca:HPPC18_05950
ko:K02992	hca:HPPC18_05955
ko:K02950	hca:HPPC18_05960
ko:K02935	hca:HPPC18_05970
ko:K02864	hca:HPPC18_05975
ko:K02863	hca:HPPC18_05980
ko:K02867	hca:HPPC18_05985
ko:K02601	hca:HPPC18_05990
ko:K03073	hca:HPPC18_05995
ko:K02913	hca:HPPC18_06000
ko:K02358	hca:HPPC18_06005
ko:K13038	hca:HPPC18_04150
ko:K00788	hca:HPPC18_04160
ko:K00941	hca:HPPC18_04165
ko:K00878	hca:HPPC18_04170
ko:K01153	hca:HPPC18_04175
ko:K01154	hca:HPPC18_04180
ko:K09805	hca:HPPC18_04200
ko:K00364	hca:HPPC18_04210
ko:K03271	hca:HPPC18_04215
ko:K03272	hca:HPPC18_04220
ko:K03274	hca:HPPC18_04225
ko:K03273	hca:HPPC18_04230
ko:K09792	hca:HPPC18_04235
ko:K03525	hca:HPPC18_04240
ko:K03624	hca:HPPC18_04260
ko:K00748	hca:HPPC18_04265
ko:K04651	hca:HPPC18_04275
ko:K02390	hca:HPPC18_04280
ko:K01521	hca:HPPC18_04285
ko:K06193	hca:HPPC18_04290
ko:K03781	hca:HPPC18_04305
ko:K01159	hca:HPPC18_04315
ko:K03550	hca:HPPC18_04330
ko:K03980	hca:HPPC18_04340
ko:K01883	hca:HPPC18_04345
ko:K02013	hca:HPPC18_04360
ko:K02015	hca:HPPC18_04365
ko:K05516	hca:HPPC18_02100
ko:K12506	hca:HPPC18_02120
ko:K00995	hca:HPPC18_02135
ko:K01714	hca:HPPC18_02150
ko:K00937	hca:HPPC18_02165
ko:K01154	hca:HPPC18_02170
ko:K01153	hca:HPPC18_02185
ko:K01153	hca:HPPC18_02190
ko:K08602	hca:HPPC18_02220
ko:K02020	hca:HPPC18_02235
ko:K02018	hca:HPPC18_02240
ko:K06207	hca:HPPC18_02265
ko:K03781	hca:HPPC18_02305
ko:K02902	hca:HPPC18_02340
ko:K15846	hca:HPPC18_02345
ko:K01000	hca:HPPC18_02350
ko:K01925	hca:HPPC18_02355
ko:K07107	hca:HPPC18_02365
ko:K03308	hca:HPPC18_02370
ko:K03308	hca:HPPC18_02375
ko:K01058	hca:HPPC18_02380
ko:K02881	hca:HPPC18_06515
ko:K02933	hca:HPPC18_06520
ko:K02994	hca:HPPC18_06525
ko:K02954	hca:HPPC18_06530
ko:K02931	hca:HPPC18_06535
ko:K02895	hca:HPPC18_06540
ko:K02874	hca:HPPC18_06545
ko:K02961	hca:HPPC18_06550
ko:K02904	hca:HPPC18_06555
ko:K02878	hca:HPPC18_06560
ko:K02982	hca:HPPC18_06565
ko:K02890	hca:HPPC18_06570
ko:K02965	hca:HPPC18_06575
ko:K02886	hca:HPPC18_06580
ko:K02892	hca:HPPC18_06585
ko:K02926	hca:HPPC18_06590
ko:K02906	hca:HPPC18_06595
ko:K02946	hca:HPPC18_06600
ko:K07133	hca:HPPC18_06605
ko:K03470	hca:HPPC18_06615
ko:K07787	hca:HPPC18_06645
ko:K03686	hca:HPPC18_06660
ko:K00566	hca:HPPC18_06675
ko:K00969	hca:HPPC18_06685
ko:K07722	hca:HPPC18_06690
ko:K03561	hca:HPPC18_06695
ko:K03832	hca:HPPC18_06705
ko:K03284	hca:HPPC18_06720
ko:K00927	hca:HPPC18_06725
ko:K00134	hca:HPPC18_06730
ko:K03648	hca:HPPC18_06735
ko:K00655	hca:HPPC18_06740
ko:K03797	hca:HPPC18_06750
ko:K00767	hca:HPPC18_06775
ko:K01095	hca:HPPC18_03620
ko:K01921	hca:HPPC18_03625
ko:K01929	hca:HPPC18_03635
ko:K00948	hca:HPPC18_03650
ko:K05837	hca:HPPC18_03655
ko:K06180	hca:HPPC18_03670
ko:K03439	hca:HPPC18_03680
ko:K09812	hca:HPPC18_03685
ko:K02407	hca:HPPC18_03710
ko:K02422	hca:HPPC18_03715
ko:K12251	hca:HPPC18_03735
ko:K07084	hca:HPPC18_03745
ko:K03110	hca:HPPC18_03770
ko:K06940	hca:HPPC18_03775
ko:K03639	hca:HPPC18_03800
ko:K03752	hca:HPPC18_03805
ko:K02401	hca:HPPC18_03810
ko:K01448	hca:HPPC18_03820
ko:K00459	hca:HPPC18_03825
ko:K01866	hca:HPPC18_03830
ko:K03060	hca:HPPC18_03840
ko:K09903	hca:HPPC18_03845
ko:K01682	hca:HPPC18_03855
ko:K03634	hca:HPPC18_03880
ko:K03070	hca:HPPC18_03885
ko:K03474	hca:HPPC18_07935
ko:K00097	hca:HPPC18_07940
ko:K02392	hca:HPPC18_07950
ko:K02968	hca:HPPC18_00380
ko:K02835	hca:HPPC18_00385
ko:K02996	hca:HPPC18_00430
ko:K02871	hca:HPPC18_00435
ko:K00116	hca:HPPC18_00445
ko:K03086	hca:HPPC18_00455
ko:K00645	hca:HPPC18_00465
ko:K01733	hca:HPPC18_00510
ko:K09765	hca:HPPC18_00520
ko:K07173	hca:HPPC18_00545
ko:K04043	hca:HPPC18_00570
ko:K03687	hca:HPPC18_00575
ko:K03705	hca:HPPC18_00580
ko:K01628	hca:HPPC18_00585
ko:K02406	hca:HPPC18_00600
ko:K03168	hca:HPPC18_00605
ko:K01868	hca:HPPC18_00630
ko:K02520	hca:HPPC18_00635
ko:K02916	hca:HPPC18_00640
ko:K02887	hca:HPPC18_00645
ko:K01752	hca:HPPC18_00665
ko:K03837	hca:HPPC18_00670
ko:K01626	hca:HPPC18_00675
ko:K03564	hca:HPPC18_00685
ko:K00782	hca:HPPC18_00690
ko:K15257	hca:HPPC18_05120
ko:K01772	hca:HPPC18_05125
ko:K01874	hca:HPPC18_05130
ko:K00574	hca:HPPC18_05135
ko:K15846	hca:HPPC18_05155
ko:K01951	hca:HPPC18_05160
ko:K02503	hca:HPPC18_05185
ko:K01889	hca:HPPC18_05190
ko:K01890	hca:HPPC18_05195
ko:K00800	hca:HPPC18_05200
ko:K03527	hca:HPPC18_05205
ko:K02945	hca:HPPC18_05210
ko:K03182	hca:HPPC18_05225
ko:K06997	hca:HPPC18_05230
ko:K07226	hca:HPPC18_01605
ko:K01887	hca:HPPC18_01610
ko:K03116	hca:HPPC18_01615
ko:K00942	hca:HPPC18_01620
ko:K02393	hca:HPPC18_01640
ko:K00912	hca:HPPC18_01660
ko:K00053	hca:HPPC18_01670
ko:K03609	hca:HPPC18_01675
ko:K03608	hca:HPPC18_01680
ko:K04096	hca:HPPC18_01685
ko:K07447	hca:HPPC18_01690
ko:K06180	hca:HPPC18_01710
ko:K07462	hca:HPPC18_01715
ko:K01937	hca:HPPC18_01720
ko:K02409	hca:HPPC18_01730
ko:K02410	hca:HPPC18_01735
ko:K02411	hca:HPPC18_01740
ko:K01662	hca:HPPC18_01745
ko:K03596	hca:HPPC18_01750
ko:K02392	hca:HPPC18_01770
ko:K03466	hca:HPPC18_01780
ko:K00615	hca:HPPC18_01790
ko:K11753	hca:HPPC18_01795
ko:K06442	hca:HPPC18_01800
ko:K00609	hca:HPPC18_01810
ko:K00640	hca:HPPC18_06030
ko:K02110	hca:HPPC18_06035
ko:K00962	hca:HPPC18_06040
ko:K04744	hca:HPPC18_06050
ko:K01945	hca:HPPC18_06060
ko:K00806	hca:HPPC18_06070
ko:K06199	hca:HPPC18_06090
ko:K08311	hca:HPPC18_06110
ko:K00928	hca:HPPC18_06115
ko:K02341	hca:HPPC18_06125
ko:K00796	hca:HPPC18_06130
ko:K09804	hca:HPPC18_06155
ko:K01956	hca:HPPC18_06160
ko:K06287	hca:HPPC18_06180
ko:K01872	hca:HPPC18_06185
ko:K09794	hca:HPPC18_06190
ko:K02963	hca:HPPC18_06205
ko:K02990	hca:HPPC18_06215
ko:K02340	hca:HPPC18_06225
ko:K12573	hca:HPPC18_06230
ko:K00014	hca:HPPC18_06235
ko:K13894	hca:HPPC18_06245
ko:K13893	hca:HPPC18_06250
ko:K01972	hca:HPPC18_02945
ko:K03415	hca:HPPC18_02950
ko:K01876	hca:HPPC18_02955
ko:K07270	hca:HPPC18_02975
ko:K07456	hca:HPPC18_02990
ko:K01924	hca:HPPC18_03000
ko:K03923	hca:HPPC18_03035
ko:K03620	hca:HPPC18_03050
ko:K06920	hca:HPPC18_03080
ko:K02221	hca:HPPC18_03115
ko:K08309	hca:HPPC18_03120
ko:K00963	hca:HPPC18_03125
ko:K00790	hca:HPPC18_03135
ko:K01744	hca:HPPC18_03140
ko:K01079	hca:HPPC18_03155
ko:K02217	hca:HPPC18_03160
ko:K07277	hca:HPPC18_03170
ko:K02434	hca:HPPC18_03185
ko:K03685	hca:HPPC18_03205
ko:K01736	hca:HPPC18_03210
ko:K11473	hca:HPPC18_03225
ko:K00812	hca:HPPC18_03260
ko:K03650	hca:HPPC18_07345
ko:K03217	hca:HPPC18_07355
ko:K03536	hca:HPPC18_07365
ko:K02914	hca:HPPC18_07370
ko:K03561	hca:HPPC18_07380
ko:K03664	hca:HPPC18_07385
ko:K00919	hca:HPPC18_07390
ko:K03563	hca:HPPC18_07395
ko:K04773	hca:HPPC18_07430
ko:K01433	hca:HPPC18_07435
ko:K06941	hca:HPPC18_07455
ko:K06041	hca:HPPC18_07460
ko:K02528	hca:HPPC18_07470
ko:K01870	hca:HPPC18_07495
ko:K02420	hca:HPPC18_07515
ko:K00075	hca:HPPC18_07520
ko:K00791	hca:HPPC18_07540
ko:K09710	hca:HPPC18_07545
ko:K09457	hca:HPPC18_07550
ko:K07058	hca:HPPC18_07595
ko:K01012	hca:HPPC18_07600
ko:K01173	hca:HPPC18_07615
ko:K01338	hca:HPPC18_07625
ko:K05807	hca:HPPC18_07630
ko:K13626	hca:HPPC18_07640
ko:K03625	hca:HPPC18_00005
ko:K00794	hca:HPPC18_00010
ko:K01627	hca:HPPC18_00015
ko:K01673	hca:HPPC18_00020
ko:K01591	hca:HPPC18_00025
ko:K01918	hca:HPPC18_00030
ko:K04077	hca:HPPC18_00040
ko:K04078	hca:HPPC18_00045
ko:K00566	hca:HPPC18_00055
ko:K04654	hca:HPPC18_04415
ko:K04653	hca:HPPC18_04420
ko:K00925	hca:HPPC18_04440
ko:K13788	hca:HPPC18_04445
ko:K02389	hca:HPPC18_04455
ko:K02390	hca:HPPC18_04460
ko:K03657	hca:HPPC18_04475
ko:K01955	hca:HPPC18_04515
ko:K00134	hca:HPPC18_04525
ko:K01821	hca:HPPC18_04540
ko:K06187	hca:HPPC18_04545
ko:K06176	hca:HPPC18_04550
ko:K03799	hca:HPPC18_04555
ko:K01495	hca:HPPC18_04560
ko:K00795	hca:HPPC18_04565
ko:K03787	hca:HPPC18_04570
ko:K01737	hca:HPPC18_04580
ko:K01775	hca:HPPC18_04630
ko:K03310	hca:HPPC18_04635
ko:K00285	hca:HPPC18_04640
ko:K00783	hca:HPPC18_04670
ko:K01963	hca:HPPC18_04675
ko:K02338	hca:HPPC18_02385
ko:K02470	hca:HPPC18_02390
ko:K00215	hca:HPPC18_02430
ko:K14232	hca:HPPC18_t08028
ko:K14219	hca:HPPC18_t08022
ko:K16052	hca:HPPC18_05140
ko:K14224	hca:HPPC18_t07982
ko:K14221	hca:HPPC18_t07984
ko:K14237	hca:HPPC18_t07986
ko:K14224	hca:HPPC18_t07988
ko:K14229	hca:HPPC18_t07990
ko:K14237	hca:HPPC18_t07992
ko:K14220	hca:HPPC18_t07996
ko:K14219	hca:HPPC18_t08000
ko:K14233	hca:HPPC18_t08002
ko:K14232	hca:HPPC18_t08004
