ko:K19079	sauk:SAI3T3_1005120
ko:K11737	sauk:SAI3T3_1012360
ko:K00873	sauk:SAI3T3_1012370
ko:K00850	sauk:SAI3T3_1012380
ko:K01962	sauk:SAI3T3_1012390
ko:K01963	sauk:SAI3T3_1012400
ko:K00027	sauk:SAI3T3_1012410
ko:K09765	sauk:SAI3T3_1019280
ko:K06978	sauk:SAI3T3_1019300
ko:K04763	sauk:SAI3T3_1019370
ko:K01918	sauk:SAI3T3_1019390
ko:K00606	sauk:SAI3T3_1019400
ko:K00077	sauk:SAI3T3_1019410
ko:K01575	sauk:SAI3T3_1019420
ko:K00016	sauk:SAI3T3_1019430
ko:K03294	sauk:SAI3T3_1019440
ko:K00823	sauk:SAI3T3_1019450
ko:K01623	sauk:SAI3T3_1019460
ko:K00116	sauk:SAI3T3_1019470
ko:K01895	sauk:SAI3T3_1019480
ko:K03451	sauk:SAI3T3_1019530
ko:K05352	sauk:SAI3T3_1001930
ko:K07322	sauk:SAI3T3_1002000
ko:K07704	sauk:SAI3T3_1002010
ko:K05339	sauk:SAI3T3_1002030
ko:K03489	sauk:SAI3T3_1002040
ko:K01223	sauk:SAI3T3_1002060
ko:K00852	sauk:SAI3T3_1002080
ko:K06726	sauk:SAI3T3_1002090
ko:K06216	sauk:SAI3T3_1002100
ko:K02529	sauk:SAI3T3_1002110
ko:K01442	sauk:SAI3T3_1002130
ko:K01990	sauk:SAI3T3_1002150
ko:K01992	sauk:SAI3T3_1002160
ko:K01992	sauk:SAI3T3_1002170
ko:K03466	sauk:SAI3T3_1002220
ko:K03311	sauk:SAI3T3_1002320
ko:K02004	sauk:SAI3T3_1002340
ko:K02003	sauk:SAI3T3_1002350
ko:K16329	sauk:SAI3T3_1002380
ko:K03307	sauk:SAI3T3_1002400
ko:K01639	sauk:SAI3T3_1002410
ko:K00928	sauk:SAI3T3_1009540
ko:K00003	sauk:SAI3T3_1009550
ko:K01733	sauk:SAI3T3_1009560
ko:K00872	sauk:SAI3T3_1009570
ko:K03781	sauk:SAI3T3_1009600
ko:K00364	sauk:SAI3T3_1009610
ko:K01356	sauk:SAI3T3_1009630
ko:K00615	sauk:SAI3T3_1009640
ko:K03547	sauk:SAI3T3_1009660
ko:K05020	sauk:SAI3T3_1009690
ko:K01681	sauk:SAI3T3_1009700
ko:K07107	sauk:SAI3T3_1009710
ko:K08591	sauk:SAI3T3_1009720
ko:K02622	sauk:SAI3T3_1009730
ko:K02621	sauk:SAI3T3_1009740
ko:K03310	sauk:SAI3T3_1009750
ko:K03480	sauk:SAI3T3_1009760
ko:K14205	sauk:SAI3T3_1009780
ko:K07304	sauk:SAI3T3_1009790
ko:K04517	sauk:SAI3T3_1009820
ko:K01657	sauk:SAI3T3_1009840
ko:K01658	sauk:SAI3T3_1009850
ko:K00766	sauk:SAI3T3_1009860
ko:K01609	sauk:SAI3T3_1009870
ko:K01696	sauk:SAI3T3_1009880
ko:K01695	sauk:SAI3T3_1009890
ko:K11694	sauk:SAI3T3_1009900
ko:K11695	sauk:SAI3T3_1009910
ko:K02034	sauk:SAI3T3_1009970
ko:K02033	sauk:SAI3T3_1009980
ko:K02039	sauk:SAI3T3_1010000
ko:K02036	sauk:SAI3T3_1010010
ko:K02038	sauk:SAI3T3_1010020
ko:K02037	sauk:SAI3T3_1010030
ko:K03523	sauk:SAI3T3_1016850
ko:K02016	sauk:SAI3T3_1016870
ko:K08717	sauk:SAI3T3_1016890
ko:K01428	sauk:SAI3T3_1016900
ko:K03188	sauk:SAI3T3_1016920
ko:K03189	sauk:SAI3T3_1016930
ko:K03190	sauk:SAI3T3_1016940
ko:K03315	sauk:SAI3T3_1016980
ko:K00123	sauk:SAI3T3_1017040
ko:K07052	sauk:SAI3T3_1017080
ko:K03453	sauk:SAI3T3_1017130
ko:K02749	sauk:SAI3T3_1017150
ko:K02750	sauk:SAI3T3_1017150
ko:K03481	sauk:SAI3T3_1017160
ko:K01468	sauk:SAI3T3_1017230
ko:K01712	sauk:SAI3T3_1017240
ko:K11210	sauk:SAI3T3_1017260
ko:K01479	sauk:SAI3T3_1017270
ko:K01807	sauk:SAI3T3_1017290
ko:K01785	sauk:SAI3T3_1017310
ko:K01992	sauk:SAI3T3_1017320
ko:K03300	sauk:SAI3T3_1019560
ko:K02304	sauk:SAI3T3_1019570
ko:K00380	sauk:SAI3T3_1019580
ko:K00432	sauk:SAI3T3_1019590
ko:K01077	sauk:SAI3T3_1019640
ko:K14192	sauk:SAI3T3_1019670
ko:K00926	sauk:SAI3T3_1019690
ko:K03758	sauk:SAI3T3_1019700
ko:K00611	sauk:SAI3T3_1019710
ko:K01478	sauk:SAI3T3_1019720
ko:K01401	sauk:SAI3T3_1019740
ko:K07220	sauk:SAI3T3_1005140
ko:K03306	sauk:SAI3T3_1005150
ko:K06890	sauk:SAI3T3_1005170
ko:K09705	sauk:SAI3T3_1005200
ko:K09793	sauk:SAI3T3_1005240
ko:K06966	sauk:SAI3T3_1005270
ko:K09768	sauk:SAI3T3_1005280
ko:K06153	sauk:SAI3T3_1005300
ko:K16013	sauk:SAI3T3_1005310
ko:K16012	sauk:SAI3T3_1005320
ko:K01669	sauk:SAI3T3_1005360
ko:K03436	sauk:SAI3T3_1005390
ko:K00882	sauk:SAI3T3_1005400
ko:K02768	sauk:SAI3T3_1005410
ko:K02769	sauk:SAI3T3_1005410
ko:K02770	sauk:SAI3T3_1005410
ko:K01443	sauk:SAI3T3_1005420
ko:K10681	sauk:SAI3T3_1005460
ko:K10682	sauk:SAI3T3_1005470
ko:K16937	sauk:SAI3T3_1005480
ko:K10026	sauk:SAI3T3_1005500
ko:K06920	sauk:SAI3T3_1005510
ko:K01664	sauk:SAI3T3_1005520
ko:K01665	sauk:SAI3T3_1005530
ko:K02619	sauk:SAI3T3_1005540
ko:K02337	sauk:SAI3T3_1012420
ko:K00259	sauk:SAI3T3_1012470
ko:K00925	sauk:SAI3T3_1012490
ko:K11065	sauk:SAI3T3_1012510
ko:K07090	sauk:SAI3T3_1012520
ko:K03151	sauk:SAI3T3_1012530
ko:K04487	sauk:SAI3T3_1012540
ko:K06286	sauk:SAI3T3_1012550
ko:K02986	sauk:SAI3T3_1012560
ko:K01126	sauk:SAI3T3_1012580
ko:K00058	sauk:SAI3T3_1012610
ko:K02803	sauk:SAI3T3_1012630
ko:K02804	sauk:SAI3T3_1012630
ko:K00655	sauk:SAI3T3_1012640
ko:K01866	sauk:SAI3T3_1012660
ko:K12551	sauk:SAI3T3_1012670
ko:K01938	sauk:SAI3T3_1012690
ko:K01895	sauk:SAI3T3_1012700
ko:K04766	sauk:SAI3T3_1012710
ko:K04768	sauk:SAI3T3_1012720
ko:K02529	sauk:SAI3T3_1012730
ko:K13853	sauk:SAI3T3_1012740
ko:K01924	sauk:SAI3T3_1012770
ko:K03466	sauk:SAI3T3_1012780
ko:K06878	sauk:SAI3T3_1012790
ko:K01261	sauk:SAI3T3_1012810
ko:K03439	sauk:SAI3T3_1012830
ko:K00824	sauk:SAI3T3_1012850
ko:K01439	sauk:SAI3T3_1012860
ko:K06183	sauk:SAI3T3_1012870
ko:K07007	sauk:SAI3T3_1012890
ko:K02768	sauk:SAI3T3_1019780
ko:K02769	sauk:SAI3T3_1019780
ko:K02770	sauk:SAI3T3_1019780
ko:K01809	sauk:SAI3T3_1019790
ko:K01421	sauk:SAI3T3_1019800
ko:K03070	sauk:SAI3T3_1019860
ko:K12270	sauk:SAI3T3_1019870
ko:K12269	sauk:SAI3T3_1019880
ko:K12268	sauk:SAI3T3_1019890
ko:K03076	sauk:SAI3T3_1019900
ko:K07304	sauk:SAI3T3_1019940
ko:K01104	sauk:SAI3T3_1019960
ko:K11936	sauk:SAI3T3_1020000
ko:K11755	sauk:SAI3T3_1020040
ko:K02500	sauk:SAI3T3_1020050
ko:K01814	sauk:SAI3T3_1020060
ko:K02501	sauk:SAI3T3_1020070
ko:K01693	sauk:SAI3T3_1020080
ko:K00817	sauk:SAI3T3_1020090
ko:K00013	sauk:SAI3T3_1020100
ko:K00765	sauk:SAI3T3_1020110
ko:K16785	sauk:SAI3T3_1020150
ko:K16786	sauk:SAI3T3_1020160
ko:K16787	sauk:SAI3T3_1020160
ko:K16924	sauk:SAI3T3_1020170
ko:K02352	sauk:SAI3T3_1020200
ko:K07146	sauk:SAI3T3_1020210
ko:K01788	sauk:SAI3T3_1002440
ko:K03800	sauk:SAI3T3_1002520
ko:K03475	sauk:SAI3T3_1002540
ko:K02445	sauk:SAI3T3_1002570
ko:K00299	sauk:SAI3T3_1002600
ko:K03817	sauk:SAI3T3_1002630
ko:K07224	sauk:SAI3T3_1002640
ko:K16301	sauk:SAI3T3_1002650
ko:K07243	sauk:SAI3T3_1002660
ko:K03118	sauk:SAI3T3_1002670
ko:K01990	sauk:SAI3T3_1002690
ko:K00626	sauk:SAI3T3_1002720
ko:K00549	sauk:SAI3T3_1002740
ko:K01760	sauk:SAI3T3_1002760
ko:K01739	sauk:SAI3T3_1002770
ko:K06942	sauk:SAI3T3_1002800
ko:K01834	sauk:SAI3T3_1002850
ko:K03387	sauk:SAI3T3_1002870
ko:K03386	sauk:SAI3T3_1002880
ko:K06956	sauk:SAI3T3_1002900
ko:K02040	sauk:SAI3T3_1010040
ko:K00243	sauk:SAI3T3_1010050
ko:K00928	sauk:SAI3T3_1010070
ko:K00133	sauk:SAI3T3_1010080
ko:K01714	sauk:SAI3T3_1010090
ko:K00215	sauk:SAI3T3_1010100
ko:K05822	sauk:SAI3T3_1010110
ko:K01775	sauk:SAI3T3_1010130
ko:K01586	sauk:SAI3T3_1010140
ko:K03311	sauk:SAI3T3_1010170
ko:K00658	sauk:SAI3T3_1010210
ko:K00164	sauk:SAI3T3_1010220
ko:K02563	sauk:SAI3T3_1010260
ko:K03797	sauk:SAI3T3_1010280
ko:K07304	sauk:SAI3T3_1010300
ko:K09125	sauk:SAI3T3_1010350
ko:K08170	sauk:SAI3T3_1010370
ko:K03294	sauk:SAI3T3_1010380
ko:K01754	sauk:SAI3T3_1010390
ko:K00259	sauk:SAI3T3_1010400
ko:K07444	sauk:SAI3T3_1010440
ko:K03700	sauk:SAI3T3_1010460
ko:K05366	sauk:SAI3T3_1010470
ko:K10773	sauk:SAI3T3_1010480
ko:K02086	sauk:SAI3T3_1010490
ko:K01893	sauk:SAI3T3_1010500
ko:K01990	sauk:SAI3T3_1017330
ko:K03652	sauk:SAI3T3_1017350
ko:K03312	sauk:SAI3T3_1017360
ko:K01823	sauk:SAI3T3_1017370
ko:K03284	sauk:SAI3T3_1017380
ko:K07107	sauk:SAI3T3_1017390
ko:K07552	sauk:SAI3T3_1017450
ko:K09814	sauk:SAI3T3_1017480
ko:K09813	sauk:SAI3T3_1017490
ko:K00116	sauk:SAI3T3_1017530
ko:K03303	sauk:SAI3T3_1017540
ko:K02809	sauk:SAI3T3_1017630
ko:K02810	sauk:SAI3T3_1017630
ko:K11102	sauk:SAI3T3_1017660
ko:K10850	sauk:SAI3T3_1017680
ko:K07696	sauk:SAI3T3_1017710
ko:K07683	sauk:SAI3T3_1017720
ko:K00374	sauk:SAI3T3_1017730
ko:K00373	sauk:SAI3T3_1017740
ko:K00371	sauk:SAI3T3_1017750
ko:K00370	sauk:SAI3T3_1017760
ko:K02303	sauk:SAI3T3_1017770
ko:K00362	sauk:SAI3T3_1017780
ko:K15738	sauk:SAI3T3_1005580
ko:K03654	sauk:SAI3T3_1005590
ko:K05847	sauk:SAI3T3_1005600
ko:K05845	sauk:SAI3T3_1005610
ko:K05846	sauk:SAI3T3_1005610
ko:K00817	sauk:SAI3T3_1005620
ko:K03305	sauk:SAI3T3_1005650
ko:K09457	sauk:SAI3T3_1005660
ko:K02015	sauk:SAI3T3_1005700
ko:K03816	sauk:SAI3T3_1002950
ko:K16169	sauk:SAI3T3_1002960
ko:K00088	sauk:SAI3T3_1002970
ko:K01951	sauk:SAI3T3_1002980
ko:K11042	sauk:SAI3T3_1003020
ko:K03427	sauk:SAI3T3_1003120
ko:K01154	sauk:SAI3T3_1003130
ko:K05577	sauk:SAI3T3_1003290
ko:K09822	sauk:SAI3T3_1003300
ko:K03928	sauk:SAI3T3_1003330
ko:K03308	sauk:SAI3T3_1003340
ko:K17216	sauk:SAI3T3_1003350
ko:K17217	sauk:SAI3T3_1003360
ko:K02071	sauk:SAI3T3_1003370
ko:K02072	sauk:SAI3T3_1003380
ko:K02073	sauk:SAI3T3_1003390
ko:K00265	sauk:SAI3T3_1003450
ko:K00266	sauk:SAI3T3_1003460
ko:K03524	sauk:SAI3T3_1010520
ko:K00974	sauk:SAI3T3_1010530
ko:K06973	sauk:SAI3T3_1010550
ko:K00800	sauk:SAI3T3_1010590
ko:K01735	sauk:SAI3T3_1010600
ko:K01736	sauk:SAI3T3_1010610
ko:K00940	sauk:SAI3T3_1010620
ko:K00805	sauk:SAI3T3_1010630
ko:K03183	sauk:SAI3T3_1010640
ko:K00057	sauk:SAI3T3_1010660
ko:K03977	sauk:SAI3T3_1010670
ko:K02945	sauk:SAI3T3_1010680
ko:K00945	sauk:SAI3T3_1010690
ko:K01424	sauk:SAI3T3_1010700
ko:K03654	sauk:SAI3T3_1010730
ko:K02015	sauk:SAI3T3_1005710
ko:K02013	sauk:SAI3T3_1005720
ko:K02016	sauk:SAI3T3_1005730
ko:K00075	sauk:SAI3T3_1005740
ko:K00865	sauk:SAI3T3_1005770
ko:K01258	sauk:SAI3T3_1005780
ko:K02851	sauk:SAI3T3_1005820
ko:K02240	sauk:SAI3T3_1005850
ko:K02242	sauk:SAI3T3_1005860
ko:K03070	sauk:SAI3T3_1005880
ko:K02836	sauk:SAI3T3_1005890
ko:K07023	sauk:SAI3T3_1005910
ko:K03702	sauk:SAI3T3_1005920
ko:K03701	sauk:SAI3T3_1005930
ko:K06023	sauk:SAI3T3_1005940
ko:K13292	sauk:SAI3T3_1005950
ko:K00384	sauk:SAI3T3_1005980
ko:K09762	sauk:SAI3T3_1006010
ko:K01358	sauk:SAI3T3_1006030
ko:K07071	sauk:SAI3T3_1006040
ko:K01869	sauk:SAI3T3_1012910
ko:K07139	sauk:SAI3T3_1012930
ko:K00318	sauk:SAI3T3_1012970
ko:K14652	sauk:SAI3T3_1012980
ko:K00793	sauk:SAI3T3_1012990
ko:K11752	sauk:SAI3T3_1013000
ko:K03893	sauk:SAI3T3_1013020
ko:K07052	sauk:SAI3T3_1013060
ko:K00616	sauk:SAI3T3_1013070
ko:K00789	sauk:SAI3T3_1013110
ko:K01610	sauk:SAI3T3_1013120
ko:K02549	sauk:SAI3T3_1013150
ko:K01911	sauk:SAI3T3_1013160
ko:K01154	sauk:SAI3T3_1013240
ko:K01154	sauk:SAI3T3_1013250
ko:K03427	sauk:SAI3T3_1013260
ko:K01304	sauk:SAI3T3_1020220
ko:K03319	sauk:SAI3T3_1020250
ko:K05786	sauk:SAI3T3_1020260
ko:K07241	sauk:SAI3T3_1020280
ko:K11631	sauk:SAI3T3_1020310
ko:K11632	sauk:SAI3T3_1020320
ko:K03501	sauk:SAI3T3_1020350
ko:K03495	sauk:SAI3T3_1020360
ko:K03650	sauk:SAI3T3_1020370
ko:K01534	sauk:SAI3T3_20010
ko:K08167	sauk:SAI3T3_20070
ko:K00383	sauk:SAI3T3_20220
ko:K07651	sauk:SAI3T3_1010810
ko:K07775	sauk:SAI3T3_1010820
ko:K06178	sauk:SAI3T3_1010830
ko:K06024	sauk:SAI3T3_1010840
ko:K05896	sauk:SAI3T3_1010850
ko:K09763	sauk:SAI3T3_1010860
ko:K04763	sauk:SAI3T3_1010870
ko:K01515	sauk:SAI3T3_1010880
ko:K07124	sauk:SAI3T3_1010900
ko:K00286	sauk:SAI3T3_1010910
ko:K00784	sauk:SAI3T3_1010920
ko:K00036	sauk:SAI3T3_1010930
ko:K01187	sauk:SAI3T3_1010950
ko:K00033	sauk:SAI3T3_1010980
ko:K09815	sauk:SAI3T3_1017830
ko:K10010	sauk:SAI3T3_1017870
ko:K10009	sauk:SAI3T3_1017880
ko:K02424	sauk:SAI3T3_1017890
ko:K01834	sauk:SAI3T3_1017910
ko:K14197	sauk:SAI3T3_1017930
ko:K00652	sauk:SAI3T3_1017990
ko:K01012	sauk:SAI3T3_1018000
ko:K00833	sauk:SAI3T3_1018010
ko:K01935	sauk:SAI3T3_1018020
ko:K06147	sauk:SAI3T3_1018030
ko:K06147	sauk:SAI3T3_1018040
ko:K00865	sauk:SAI3T3_1018050
ko:K11737	sauk:SAI3T3_1018110
ko:K00077	sauk:SAI3T3_1018160
ko:K08170	sauk:SAI3T3_1018170
ko:K05846	sauk:SAI3T3_1018180
ko:K05845	sauk:SAI3T3_1018190
ko:K05846	sauk:SAI3T3_1018200
ko:K05847	sauk:SAI3T3_1018210
ko:K03929	sauk:SAI3T3_1018240
ko:K02069	sauk:SAI3T3_1018260
ko:K02068	sauk:SAI3T3_1018270
ko:K05311	sauk:SAI3T3_1006060
ko:K00134	sauk:SAI3T3_1006070
ko:K00927	sauk:SAI3T3_1006080
ko:K01803	sauk:SAI3T3_1006090
ko:K15633	sauk:SAI3T3_1006100
ko:K01689	sauk:SAI3T3_1006110
ko:K03928	sauk:SAI3T3_1006130
ko:K12573	sauk:SAI3T3_1006140
ko:K06895	sauk:SAI3T3_1006260
ko:K03785	sauk:SAI3T3_1006280
ko:K04763	sauk:SAI3T3_1006310
ko:K02071	sauk:SAI3T3_1006360
ko:K02072	sauk:SAI3T3_1006370
ko:K02073	sauk:SAI3T3_1006380
ko:K08974	sauk:SAI3T3_1006390
ko:K09013	sauk:SAI3T3_1006400
ko:K09015	sauk:SAI3T3_1006410
ko:K11717	sauk:SAI3T3_1006420
ko:K04488	sauk:SAI3T3_1006430
ko:K09014	sauk:SAI3T3_1006440
ko:K00459	sauk:SAI3T3_1006470
ko:K07090	sauk:SAI3T3_1006490
ko:K03644	sauk:SAI3T3_1006510
ko:K03367	sauk:SAI3T3_1006550
ko:K03739	sauk:SAI3T3_1006560
ko:K07002	sauk:SAI3T3_1013520
ko:K00231	sauk:SAI3T3_1013530
ko:K01772	sauk:SAI3T3_1013540
ko:K01599	sauk:SAI3T3_1013550
ko:K01992	sauk:SAI3T3_1013570
ko:K01990	sauk:SAI3T3_1013580
ko:K07533	sauk:SAI3T3_1013600
ko:K03698	sauk:SAI3T3_1013610
ko:K06180	sauk:SAI3T3_1013690
ko:K01679	sauk:SAI3T3_1013700
ko:K03216	sauk:SAI3T3_1013720
ko:K02028	sauk:SAI3T3_1013740
ko:K02029	sauk:SAI3T3_1013750
ko:K02030	sauk:SAI3T3_1013750
ko:K07035	sauk:SAI3T3_1013760
ko:K03740	sauk:SAI3T3_1006570
ko:K03885	sauk:SAI3T3_1006580
ko:K03885	sauk:SAI3T3_1006590
ko:K01255	sauk:SAI3T3_1006600
ko:K07084	sauk:SAI3T3_1006610
ko:K05569	sauk:SAI3T3_1006630
ko:K05568	sauk:SAI3T3_1006640
ko:K05565	sauk:SAI3T3_1006650
ko:K03768	sauk:SAI3T3_1006670
ko:K00819	sauk:SAI3T3_1006690
ko:K00260	sauk:SAI3T3_1006700
ko:K01126	sauk:SAI3T3_1006710
ko:K01755	sauk:SAI3T3_1006720
ko:K01940	sauk:SAI3T3_1006730
ko:K01810	sauk:SAI3T3_1006740
ko:K03100	sauk:SAI3T3_1006760
ko:K03100	sauk:SAI3T3_1006770
ko:K16899	sauk:SAI3T3_1006780
ko:K16898	sauk:SAI3T3_1006790
ko:K08255	sauk:SAI3T3_1006810
ko:K03695	sauk:SAI3T3_1006840
ko:K06910	sauk:SAI3T3_1006890
ko:K00648	sauk:SAI3T3_1006900
ko:K09458	sauk:SAI3T3_1006910
ko:K15581	sauk:SAI3T3_1006920
ko:K15582	sauk:SAI3T3_1006930
ko:K15583	sauk:SAI3T3_1006940
ko:K10823	sauk:SAI3T3_1006950
ko:K15580	sauk:SAI3T3_1006960
ko:K02035	sauk:SAI3T3_1006970
ko:K02033	sauk:SAI3T3_1007000
ko:K02034	sauk:SAI3T3_1007010
ko:K01867	sauk:SAI3T3_1007020
ko:K16511	sauk:SAI3T3_1007030
ko:K06198	sauk:SAI3T3_1007040
ko:K03564	sauk:SAI3T3_1014090
ko:K01845	sauk:SAI3T3_1014100
ko:K11085	sauk:SAI3T3_1014120
ko:K07586	sauk:SAI3T3_1014130
ko:K03575	sauk:SAI3T3_1014140
ko:K07038	sauk:SAI3T3_1014150
ko:K09693	sauk:SAI3T3_1014170
ko:K03565	sauk:SAI3T3_1014180
ko:K04478	sauk:SAI3T3_1014190
ko:K05520	sauk:SAI3T3_1014200
ko:K01104	sauk:SAI3T3_1014240
ko:K07058	sauk:SAI3T3_1014250
ko:K07694	sauk:SAI3T3_1014260
ko:K07681	sauk:SAI3T3_1014270
ko:K01265	sauk:SAI3T3_1014290
ko:K07009	sauk:SAI3T3_1014320
ko:K02217	sauk:SAI3T3_1014340
ko:K02342	sauk:SAI3T3_1014350
ko:K02346	sauk:SAI3T3_1014360
ko:K03215	sauk:SAI3T3_1014380
ko:K02434	sauk:SAI3T3_1014400
ko:K02433	sauk:SAI3T3_1014410
ko:K08602	sauk:SAI3T3_1007050
ko:K07816	sauk:SAI3T3_1007080
ko:K00858	sauk:SAI3T3_1007090
ko:K06180	sauk:SAI3T3_1007100
ko:K06213	sauk:SAI3T3_1007110
ko:K03455	sauk:SAI3T3_1007130
ko:K00208	sauk:SAI3T3_1007140
ko:K03310	sauk:SAI3T3_1007160
ko:K05362	sauk:SAI3T3_1007210
ko:K02837	sauk:SAI3T3_1007220
ko:K02250	sauk:SAI3T3_1007290
ko:K03800	sauk:SAI3T3_1007300
ko:K07052	sauk:SAI3T3_1007310
ko:K02003	sauk:SAI3T3_1007330
ko:K02016	sauk:SAI3T3_1007340
ko:K02548	sauk:SAI3T3_1007360
ko:K02552	sauk:SAI3T3_1007370
ko:K02551	sauk:SAI3T3_1007380
ko:K08680	sauk:SAI3T3_1007390
ko:K01661	sauk:SAI3T3_1007400
ko:K13715	sauk:SAI3T3_1007410
ko:K00841	sauk:SAI3T3_1007430
ko:K02828	sauk:SAI3T3_1007500
ko:K02827	sauk:SAI3T3_1007510
ko:K02826	sauk:SAI3T3_1007520
ko:K01491	sauk:SAI3T3_1007530
ko:K01588	sauk:SAI3T3_1007540
ko:K11928	sauk:SAI3T3_1014420
ko:K01972	sauk:SAI3T3_1014440
ko:K03657	sauk:SAI3T3_1014450
ko:K07094	sauk:SAI3T3_1014460
ko:K01756	sauk:SAI3T3_1014470
ko:K08258	sauk:SAI3T3_1014480
ko:K01916	sauk:SAI3T3_1014500
ko:K00763	sauk:SAI3T3_1014510
ko:K00491	sauk:SAI3T3_1014520
ko:K04518	sauk:SAI3T3_1014530
ko:K14445	sauk:SAI3T3_1014540
ko:K15986	sauk:SAI3T3_1014570
ko:K00128	sauk:SAI3T3_1014580
ko:K01992	sauk:SAI3T3_1014650
ko:K01990	sauk:SAI3T3_1014660
ko:K01990	sauk:SAI3T3_1014680
ko:K04077	sauk:SAI3T3_1014890
ko:K07052	sauk:SAI3T3_1014900
ko:K02313	sauk:SAI3T3_1000010
ko:K02338	sauk:SAI3T3_1000020
ko:K03629	sauk:SAI3T3_1000030
ko:K02470	sauk:SAI3T3_1000040
ko:K02469	sauk:SAI3T3_1000050
ko:K01745	sauk:SAI3T3_1000070
ko:K01875	sauk:SAI3T3_1000080
ko:K00641	sauk:SAI3T3_1000100
ko:K01939	sauk:SAI3T3_1000140
ko:K07668	sauk:SAI3T3_1000170
ko:K07652	sauk:SAI3T3_1000180
ko:K00783	sauk:SAI3T3_1000240
ko:K01126	sauk:SAI3T3_1000260
ko:K02545	sauk:SAI3T3_1000270
ko:K07090	sauk:SAI3T3_1000380
ko:K00712	sauk:SAI3T3_1000400
ko:K01589	sauk:SAI3T3_1007550
ko:K01923	sauk:SAI3T3_1007560
ko:K01952	sauk:SAI3T3_1007570
