ko:K02028	sst:SSUST3_0517
ko:K02931	sst:SSUST3_0087
ko:K02904	sst:SSUST3_0083
ko:K02961	sst:SSUST3_0084
ko:K02874	sst:SSUST3_0085
ko:K01246	sst:SSUST3_0064
ko:K02982	sst:SSUST3_0081
ko:K02878	sst:SSUST3_0082
ko:K02890	sst:SSUST3_0080
ko:K02988	sst:SSUST3_0093
ko:K13677	sst:SSUST3_0613
ko:K06885	sst:SSUST3_0563
ko:K02836	sst:SSUST3_0571
ko:K09812	sst:SSUST3_0572
ko:K09811	sst:SSUST3_0573
ko:K04759	sst:SSUST3_0574
ko:K04758	sst:SSUST3_0575
ko:K07042	sst:SSUST3_0584
ko:K00859	sst:SSUST3_0588
ko:K02913	sst:SSUST3_0590
ko:K03075	sst:SSUST3_0591
ko:K12573	sst:SSUST3_0592
ko:K02528	sst:SSUST3_1857
ko:K05985	sst:SSUST3_1863
ko:K03424	sst:SSUST3_1864
ko:K02914	sst:SSUST3_1865
ko:K03217	sst:SSUST3_1867
ko:K03536	sst:SSUST3_1868
ko:K01755	sst:SSUST3_1869
ko:K01940	sst:SSUST3_1870
ko:K03664	sst:SSUST3_0593
ko:K11065	sst:SSUST3_0598
ko:K02003	sst:SSUST3_0600
ko:K06929	sst:SSUST3_0606
ko:K00773	sst:SSUST3_0608
ko:K02529	sst:SSUST3_0611
ko:K11068	sst:SSUST3_1031
ko:K03470	sst:SSUST3_1033
ko:K14540	sst:SSUST3_1034
ko:K06940	sst:SSUST3_1035
ko:K06287	sst:SSUST3_1036
ko:K01465	sst:SSUST3_1038
ko:K03648	sst:SSUST3_1039
ko:K00762	sst:SSUST3_1041
ko:K01591	sst:SSUST3_1043
ko:K00975	sst:SSUST3_1047
ko:K00975	sst:SSUST3_1048
ko:K00703	sst:SSUST3_1049
ko:K03702	sst:SSUST3_1058
ko:K01740	sst:SSUST3_1064
ko:K02787	sst:SSUST3_1068
ko:K02788	sst:SSUST3_1068
ko:K02531	sst:SSUST3_1070
ko:K01673	sst:SSUST3_1880
ko:K04485	sst:SSUST3_1881
ko:K00057	sst:SSUST3_1887
ko:K00963	sst:SSUST3_1888
ko:K05823	sst:SSUST3_1891
ko:K01810	sst:SSUST3_1895
ko:K00615	sst:SSUST3_1898
ko:K01868	sst:SSUST3_0618
ko:K00687	sst:SSUST3_0630
ko:K06187	sst:SSUST3_0631
ko:K01921	sst:SSUST3_0632
ko:K02003	sst:SSUST3_0635
ko:K01929	sst:SSUST3_0637
ko:K02837	sst:SSUST3_0640
ko:K02529	sst:SSUST3_0646
ko:K01193	sst:SSUST3_0650
ko:K03466	sst:SSUST3_0651
ko:K02867	sst:SSUST3_0654
ko:K02863	sst:SSUST3_0655
ko:K02761	sst:SSUST3_1914
ko:K02759	sst:SSUST3_1916
ko:K02760	sst:SSUST3_1917
ko:K01869	sst:SSUST3_1922
ko:K11753	sst:SSUST3_1137
ko:K07088	sst:SSUST3_1149
ko:K08987	sst:SSUST3_1155
ko:K00950	sst:SSUST3_1163
ko:K01633	sst:SSUST3_1164
ko:K00796	sst:SSUST3_1165
ko:K01495	sst:SSUST3_1166
ko:K01890	sst:SSUST3_1172
ko:K01889	sst:SSUST3_1174
ko:K01207	sst:SSUST3_1175
ko:K01207	sst:SSUST3_1176
ko:K09903	sst:SSUST3_0659
ko:K02838	sst:SSUST3_0660
ko:K00243	sst:SSUST3_0661
ko:K00077	sst:SSUST3_0662
ko:K03449	sst:SSUST3_0668
ko:K00791	sst:SSUST3_0670
ko:K03665	sst:SSUST3_0671
ko:K07124	sst:SSUST3_0674
ko:K06131	sst:SSUST3_0676
ko:K07462	sst:SSUST3_0677
ko:K00759	sst:SSUST3_0679
ko:K00651	sst:SSUST3_0680
ko:K06967	sst:SSUST3_0682
ko:K02114	sst:SSUST3_1190
ko:K03086	sst:SSUST3_1297
ko:K03282	sst:SSUST3_1299
ko:K02970	sst:SSUST3_1301
ko:K01223	sst:SSUST3_1349
ko:K01575	sst:SSUST3_1353
ko:K14155	sst:SSUST3_1402
ko:K07461	sst:SSUST3_1411
ko:K01118	sst:SSUST3_1412
ko:K05592	sst:SSUST3_1416
ko:K07058	sst:SSUST3_1461
ko:K01265	sst:SSUST3_1462
ko:K00790	sst:SSUST3_1464
ko:K00789	sst:SSUST3_1466
ko:K03524	sst:SSUST3_1472
ko:K04069	sst:SSUST3_1511
ko:K02013	sst:SSUST3_1513
ko:K00763	sst:SSUST3_1516
ko:K06941	sst:SSUST3_1520
ko:K00954	sst:SSUST3_1523
ko:K03977	sst:SSUST3_1568
ko:K07738	sst:SSUST3_1572
ko:K07040	sst:SSUST3_1576
ko:K01875	sst:SSUST3_1623
ko:K03427	sst:SSUST3_1624
ko:K01154	sst:SSUST3_1625
ko:K01153	sst:SSUST3_1626
ko:K02761	sst:SSUST3_1673
ko:K02759	sst:SSUST3_1675
ko:K02760	sst:SSUST3_1677
ko:K01223	sst:SSUST3_1680
ko:K08591	sst:SSUST3_0898
ko:K02622	sst:SSUST3_0899
ko:K04095	sst:SSUST3_0900
ko:K02621	sst:SSUST3_0903
ko:K00826	sst:SSUST3_0905
ko:K02945	sst:SSUST3_0910
ko:K09014	sst:SSUST3_1720
ko:K11717	sst:SSUST3_1723
ko:K09015	sst:SSUST3_1724
ko:K09013	sst:SSUST3_1725
ko:K06153	sst:SSUST3_1728
ko:K01754	sst:SSUST3_1733
ko:K00053	sst:SSUST3_1734
ko:K01686	sst:SSUST3_1179
ko:K01812	sst:SSUST3_1180
ko:K01625	sst:SSUST3_1181
ko:K01195	sst:SSUST3_1183
ko:K00874	sst:SSUST3_1184
ko:K00790	sst:SSUST3_1188
ko:K02939	sst:SSUST3_1984
ko:K03495	sst:SSUST3_1986
ko:K00566	sst:SSUST3_1990
ko:K01752	sst:SSUST3_1991
ko:K01752	sst:SSUST3_1992
ko:K00995	sst:SSUST3_1997
ko:K03629	sst:SSUST3_2018
ko:K01867	sst:SSUST3_2022
ko:K02112	sst:SSUST3_1191
ko:K02115	sst:SSUST3_1192
ko:K02111	sst:SSUST3_1193
ko:K02113	sst:SSUST3_1194
ko:K02109	sst:SSUST3_1195
ko:K02108	sst:SSUST3_1196
ko:K02110	sst:SSUST3_1197
ko:K01972	sst:SSUST3_1199
ko:K07089	sst:SSUST3_1201
ko:K00036	sst:SSUST3_1203
ko:K03110	sst:SSUST3_1206
ko:K03529	sst:SSUST3_1209
ko:K03685	sst:SSUST3_1210
ko:K00031	sst:SSUST3_1217
ko:K01647	sst:SSUST3_1218
ko:K01681	sst:SSUST3_1219
ko:K03210	sst:SSUST3_1227
ko:K02747	sst:SSUST3_1228
ko:K02746	sst:SSUST3_1229
ko:K01625	sst:SSUST3_1233
ko:K00874	sst:SSUST3_1234
ko:K01872	sst:SSUST3_1249
ko:K08602	sst:SSUST3_1255
ko:K01874	sst:SSUST3_1257
ko:K01626	sst:SSUST3_1260
ko:K01626	sst:SSUST3_1261
ko:K00014	sst:SSUST3_1262
ko:K01735	sst:SSUST3_1263
ko:K01443	sst:SSUST3_1269
ko:K02029	sst:SSUST3_1273
ko:K00820	sst:SSUST3_1274
ko:K03100	sst:SSUST3_1276
ko:K00873	sst:SSUST3_1281
ko:K00850	sst:SSUST3_1282
ko:K02337	sst:SSUST3_1283
ko:K00688	sst:SSUST3_1308
ko:K01839	sst:SSUST3_1312
ko:K01807	sst:SSUST3_1313
ko:K03650	sst:SSUST3_1320
ko:K03744	sst:SSUST3_1324
ko:K07862	sst:SSUST3_1329
ko:K03431	sst:SSUST3_1332
ko:K01928	sst:SSUST3_1335
ko:K00563	sst:SSUST3_1337
ko:K06158	sst:SSUST3_1339
ko:K01689	sst:SSUST3_1361
ko:K00865	sst:SSUST3_1365
ko:K01091	sst:SSUST3_1366
ko:K01079	sst:SSUST3_1367
ko:K02470	sst:SSUST3_1369
ko:K03152	sst:SSUST3_1370
ko:K05837	sst:SSUST3_1371
ko:K02909	sst:SSUST3_1375
ko:K03734	sst:SSUST3_1376
ko:K02954	sst:SSUST3_1379
ko:K04564	sst:SSUST3_1383
ko:K02340	sst:SSUST3_1384
ko:K09765	sst:SSUST3_1386
ko:K01996	sst:SSUST3_1387
ko:K01995	sst:SSUST3_1388
ko:K01998	sst:SSUST3_1389
ko:K01997	sst:SSUST3_1390
ko:K01999	sst:SSUST3_1391
ko:K01358	sst:SSUST3_1393
ko:K00761	sst:SSUST3_1394
ko:K00690	sst:SSUST3_1396
ko:K07407	sst:SSUST3_1400
ko:K00868	sst:SSUST3_1423
ko:K04042	sst:SSUST3_1428
ko:K02003	sst:SSUST3_1437
ko:K05847	sst:SSUST3_1444
ko:K13292	sst:SSUST3_1448
ko:K01809	sst:SSUST3_1450
ko:K06959	sst:SSUST3_1454
ko:K02343	sst:SSUST3_1474
ko:K00876	sst:SSUST3_1479
ko:K03530	sst:SSUST3_1491
ko:K03631	sst:SSUST3_1495
ko:K03402	sst:SSUST3_1496
ko:K06442	sst:SSUST3_1497
ko:K13789	sst:SSUST3_1498
ko:K03602	sst:SSUST3_1499
ko:K03601	sst:SSUST3_1500
ko:K07778	sst:SSUST3_1529
ko:K04047	sst:SSUST3_1532
ko:K03216	sst:SSUST3_1541
ko:K08998	sst:SSUST3_1543
ko:K06178	sst:SSUST3_1544
ko:K06024	sst:SSUST3_1545
ko:K05896	sst:SSUST3_1546
ko:K07095	sst:SSUST3_1549
ko:K01776	sst:SSUST3_1551
ko:K01586	sst:SSUST3_1553
ko:K06890	sst:SSUST3_1555
ko:K06950	sst:SSUST3_1556
ko:K03437	sst:SSUST3_1557
ko:K01512	sst:SSUST3_1558
ko:K03217	sst:SSUST3_1559
ko:K03624	sst:SSUST3_1560
ko:K07082	sst:SSUST3_1561
ko:K01924	sst:SSUST3_1563
ko:K00384	sst:SSUST3_1577
ko:K01000	sst:SSUST3_1584
ko:K03438	sst:SSUST3_1587
ko:K03734	sst:SSUST3_1595
ko:K03885	sst:SSUST3_1598
ko:K01879	sst:SSUST3_1606
ko:K01878	sst:SSUST3_1607
ko:K02072	sst:SSUST3_1610
ko:K02071	sst:SSUST3_1611
ko:K02073	sst:SSUST3_1613
ko:K07010	sst:SSUST3_1614
ko:K00549	sst:SSUST3_1615
ko:K00297	sst:SSUST3_1616
ko:K06901	sst:SSUST3_1617
ko:K01962	sst:SSUST3_1632
ko:K01963	sst:SSUST3_1633
ko:K01961	sst:SSUST3_1634
ko:K02372	sst:SSUST3_1635
ko:K02160	sst:SSUST3_1636
ko:K09458	sst:SSUST3_1637
ko:K00645	sst:SSUST3_1639
ko:K02078	sst:SSUST3_1641
ko:K00648	sst:SSUST3_1642
ko:K00928	sst:SSUST3_1646
ko:K01775	sst:SSUST3_1648
ko:K00997	sst:SSUST3_1649
ko:K03070	sst:SSUST3_1650
ko:K00847	sst:SSUST3_1652
ko:K01193	sst:SSUST3_1655
ko:K03484	sst:SSUST3_1656
ko:K03625	sst:SSUST3_1657
ko:K02356	sst:SSUST3_1659
ko:K03701	sst:SSUST3_1661
ko:K03284	sst:SSUST3_1662
ko:K02963	sst:SSUST3_1664
ko:K02990	sst:SSUST3_1667
ko:K03800	sst:SSUST3_1668
ko:K01223	sst:SSUST3_1669
ko:K01223	sst:SSUST3_1682
ko:K00382	sst:SSUST3_1688
ko:K00627	sst:SSUST3_1689
ko:K00162	sst:SSUST3_1690
ko:K00161	sst:SSUST3_1691
ko:K02834	sst:SSUST3_1695
ko:K02519	sst:SSUST3_1696
ko:K07742	sst:SSUST3_1698
ko:K02600	sst:SSUST3_1699
ko:K09748	sst:SSUST3_1700
ko:K03439	sst:SSUST3_1701
ko:K02503	sst:SSUST3_1705
ko:K06925	sst:SSUST3_1709
ko:K02034	sst:SSUST3_1713
ko:K01653	sst:SSUST3_1735
ko:K01652	sst:SSUST3_1736
ko:K01687	sst:SSUST3_1742
ko:K03655	sst:SSUST3_1749
ko:K02996	sst:SSUST3_1756
ko:K02871	sst:SSUST3_1757
ko:K06962	sst:SSUST3_1759
ko:K03218	sst:SSUST3_1760
ko:K11145	sst:SSUST3_1765
ko:K01883	sst:SSUST3_1766
ko:K00640	sst:SSUST3_1768
ko:K00962	sst:SSUST3_1769
ko:K02956	sst:SSUST3_1771
ko:K02039	sst:SSUST3_1126
ko:K02036	sst:SSUST3_1127
ko:K02036	sst:SSUST3_1128
ko:K02038	sst:SSUST3_1129
ko:K02037	sst:SSUST3_1130
ko:K02040	sst:SSUST3_1131
ko:K07560	sst:SSUST3_1932
ko:K09761	sst:SSUST3_1939
ko:K02687	sst:SSUST3_1940
ko:K07478	sst:SSUST3_1944
ko:K02029	sst:SSUST3_1951
ko:K07010	sst:SSUST3_1955
ko:K03555	sst:SSUST3_1958
ko:K03402	sst:SSUST3_1959
ko:K01887	sst:SSUST3_1960
ko:K00705	sst:SSUST3_1965
ko:K02529	sst:SSUST3_1970
ko:K01876	sst:SSUST3_1974
ko:K02986	sst:SSUST3_1981
ko:K03531	sst:SSUST3_0503
ko:K06997	sst:SSUST3_0504
ko:K09772	sst:SSUST3_0505
ko:K02221	sst:SSUST3_0506
ko:K04074	sst:SSUST3_0508
ko:K01870	sst:SSUST3_0510
ko:K01491	sst:SSUST3_0518
ko:K03100	sst:SSUST3_0520
ko:K08303	sst:SSUST3_0528
