ko:K02030	bsh:BSU6051_23980
ko:K02276	bsh:BSU6051_14910
ko:K00954	bsh:BSU6051_15020
ko:K07001	bsh:BSU6051_15040
ko:K07040	bsh:BSU6051_15070
ko:K02911	bsh:BSU6051_15080
ko:K00077	bsh:BSU6051_15110
ko:K03925	bsh:BSU6051_15130
ko:K03438	bsh:BSU6051_15140
ko:K08384	bsh:BSU6051_15170
ko:K01928	bsh:BSU6051_15180
ko:K01000	bsh:BSU6051_15190
ko:K01925	bsh:BSU6051_15200
ko:K03588	bsh:BSU6051_15210
ko:K02563	bsh:BSU6051_15220
ko:K00075	bsh:BSU6051_15230
ko:K03589	bsh:BSU6051_15240
ko:K03590	bsh:BSU6051_15280
ko:K03531	bsh:BSU6051_15290
ko:K03887	bsh:BSU6051_22550
ko:K00800	bsh:BSU6051_22600
ko:K00817	bsh:BSU6051_22620
ko:K01695	bsh:BSU6051_22630
ko:K01696	bsh:BSU6051_22640
ko:K01817	bsh:BSU6051_22650
ko:K01609	bsh:BSU6051_22660
ko:K00766	bsh:BSU6051_22670
ko:K01657	bsh:BSU6051_22680
ko:K06208	bsh:BSU6051_22690
ko:K01735	bsh:BSU6051_22700
ko:K01736	bsh:BSU6051_22710
ko:K00940	bsh:BSU6051_22730
ko:K03183	bsh:BSU6051_22750
ko:K06285	bsh:BSU6051_22770
ko:K01495	bsh:BSU6051_22780
ko:K03530	bsh:BSU6051_22790
ko:K06398	bsh:BSU6051_22800
ko:K00057	bsh:BSU6051_22830
ko:K03977	bsh:BSU6051_22840
ko:K05739	bsh:BSU6051_22850
ko:K02945	bsh:BSU6051_22880
ko:K00945	bsh:BSU6051_22890
ko:K01449	bsh:BSU6051_22930
ko:K00384	bsh:BSU6051_22950
ko:K00260	bsh:BSU6051_22960
ko:K16511	bsh:BSU6051_22970
ko:K07007	bsh:BSU6051_30060
ko:K15532	bsh:BSU6051_30120
ko:K01012	bsh:BSU6051_30200
ko:K01935	bsh:BSU6051_30210
ko:K02529	bsh:BSU6051_30260
ko:K10117	bsh:BSU6051_30270
ko:K10119	bsh:BSU6051_30290
ko:K07406	bsh:BSU6051_30300
ko:K01869	bsh:BSU6051_30320
ko:K11632	bsh:BSU6051_30370
ko:K11631	bsh:BSU6051_30380
ko:K11629	bsh:BSU6051_30390
ko:K11630	bsh:BSU6051_30400
ko:K07139	bsh:BSU6051_30480
ko:K06131	bsh:BSU6051_37240
ko:K00373	bsh:BSU6051_37260
ko:K00371	bsh:BSU6051_37270
ko:K00370	bsh:BSU6051_37280
ko:K02575	bsh:BSU6051_37320
ko:K01887	bsh:BSU6051_37330
ko:K00797	bsh:BSU6051_37500
ko:K01821	bsh:BSU6051_37540
ko:K01868	bsh:BSU6051_37560
ko:K06885	bsh:BSU6051_37600
ko:K06314	bsh:BSU6051_37620
ko:K16869	bsh:BSU6051_37640
ko:K09682	bsh:BSU6051_09990
ko:K00791	bsh:BSU6051_17330
ko:K03666	bsh:BSU6051_17340
ko:K01448	bsh:BSU6051_17410
ko:K06413	bsh:BSU6051_17420
ko:K03665	bsh:BSU6051_17430
ko:K01915	bsh:BSU6051_17460
ko:K01198	bsh:BSU6051_17580
ko:K01805	bsh:BSU6051_17600
ko:K01775	bsh:BSU6051_17640
ko:K03116	bsh:BSU6051_17710
ko:K06310	bsh:BSU6051_17750
ko:K02913	bsh:BSU6051_24900
ko:K02036	bsh:BSU6051_24950
ko:K02036	bsh:BSU6051_24960
ko:K02038	bsh:BSU6051_24970
ko:K02037	bsh:BSU6051_24980
ko:K02040	bsh:BSU6051_24990
ko:K08222	bsh:BSU6051_25010
ko:K04564	bsh:BSU6051_25020
ko:K09793	bsh:BSU6051_25030
ko:K05967	bsh:BSU6051_25090
ko:K01151	bsh:BSU6051_25130
ko:K03527	bsh:BSU6051_25160
ko:K06967	bsh:BSU6051_25180
ko:K03086	bsh:BSU6051_25200
ko:K09768	bsh:BSU6051_25230
ko:K09773	bsh:BSU6051_25240
ko:K01879	bsh:BSU6051_25260
ko:K01878	bsh:BSU6051_25270
ko:K03584	bsh:BSU6051_25280
ko:K03885	bsh:BSU6051_32200
ko:K00872	bsh:BSU6051_32240
ko:K01733	bsh:BSU6051_32250
ko:K00003	bsh:BSU6051_32260
ko:K03644	bsh:BSU6051_32330
ko:K07090	bsh:BSU6051_32380
ko:K07127	bsh:BSU6051_32460
ko:K07141	bsh:BSU6051_32500
ko:K02083	bsh:BSU6051_32530
ko:K10711	bsh:BSU6051_32560
ko:K10710	bsh:BSU6051_32570
ko:K10119	bsh:BSU6051_32580
ko:K10117	bsh:BSU6051_32600
ko:K10708	bsh:BSU6051_32610
ko:K00285	bsh:BSU6051_32630
ko:K02016	bsh:BSU6051_39610
ko:K11636	bsh:BSU6051_39630
ko:K11635	bsh:BSU6051_39640
ko:K06606	bsh:BSU6051_39680
ko:K06605	bsh:BSU6051_39690
ko:K03335	bsh:BSU6051_39720
ko:K03336	bsh:BSU6051_39730
ko:K03338	bsh:BSU6051_39740
ko:K03337	bsh:BSU6051_39750
ko:K00140	bsh:BSU6051_39760
ko:K06608	bsh:BSU6051_39770
ko:K04079	bsh:BSU6051_39820
ko:K01953	bsh:BSU6051_39920
ko:K07148	bsh:BSU6051_39970
ko:K03322	bsh:BSU6051_04360
ko:K07217	bsh:BSU6051_04430
ko:K11692	bsh:BSU6051_04460
ko:K11103	bsh:BSU6051_04470
ko:K01921	bsh:BSU6051_04560
ko:K01929	bsh:BSU6051_04570
ko:K05592	bsh:BSU6051_04580
ko:K00997	bsh:BSU6051_04620
ko:K01775	bsh:BSU6051_04640
ko:K07723	bsh:BSU6051_04650
ko:K06959	bsh:BSU6051_04780
ko:K02768	bsh:BSU6051_12010
ko:K02769	bsh:BSU6051_12010
ko:K02770	bsh:BSU6051_12010
ko:K01809	bsh:BSU6051_12020
ko:K00123	bsh:BSU6051_12160
ko:K02069	bsh:BSU6051_12240
ko:K02068	bsh:BSU6051_12250
ko:K03885	bsh:BSU6051_12290
ko:K01812	bsh:BSU6051_12300
ko:K08322	bsh:BSU6051_12330
ko:K01686	bsh:BSU6051_12340
ko:K02529	bsh:BSU6051_12370
ko:K00041	bsh:BSU6051_12380
ko:K01685	bsh:BSU6051_12390
ko:K07090	bsh:BSU6051_12400
ko:K01438	bsh:BSU6051_19710
ko:K01034	bsh:BSU6051_19730
ko:K01083	bsh:BSU6051_19800
ko:K03624	bsh:BSU6051_27320
ko:K00876	bsh:BSU6051_27330
ko:K08303	bsh:BSU6051_27340
ko:K08303	bsh:BSU6051_27350
ko:K07082	bsh:BSU6051_27370
ko:K07447	bsh:BSU6051_27390
ko:K01872	bsh:BSU6051_27410
ko:K10039	bsh:BSU6051_27440
ko:K10040	bsh:BSU6051_27450
ko:K03581	bsh:BSU6051_27480
ko:K00566	bsh:BSU6051_27500
ko:K04487	bsh:BSU6051_27510
ko:K07478	bsh:BSU6051_27530
ko:K01876	bsh:BSU6051_27550
ko:K01892	bsh:BSU6051_27560
ko:K01448	bsh:BSU6051_27580
ko:K07560	bsh:BSU6051_27590
ko:K00759	bsh:BSU6051_27610
ko:K07462	bsh:BSU6051_27620
ko:K07228	bsh:BSU6051_27640
ko:K12257	bsh:BSU6051_27650
ko:K06409	bsh:BSU6051_27670
ko:K01358	bsh:BSU6051_34540
ko:K15772	bsh:BSU6051_34590
ko:K15771	bsh:BSU6051_34600
ko:K06966	bsh:BSU6051_34640
ko:K03321	bsh:BSU6051_34660
ko:K01673	bsh:BSU6051_34670
ko:K02003	bsh:BSU6051_34700
ko:K00675	bsh:BSU6051_34730
ko:K11184	bsh:BSU6051_34740
ko:K06958	bsh:BSU6051_34770
ko:K00384	bsh:BSU6051_34790
ko:K11755	bsh:BSU6051_34860
ko:K02500	bsh:BSU6051_34870
ko:K01814	bsh:BSU6051_34880
ko:K02501	bsh:BSU6051_34890
ko:K01693	bsh:BSU6051_34900
ko:K00013	bsh:BSU6051_34910
ko:K03091	bsh:BSU6051_00980
ko:K02913	bsh:BSU6051_00990
ko:K03073	bsh:BSU6051_01000
ko:K02601	bsh:BSU6051_01010
ko:K02867	bsh:BSU6051_01020
ko:K02863	bsh:BSU6051_01030
ko:K02864	bsh:BSU6051_01040
ko:K02935	bsh:BSU6051_01050
ko:K03043	bsh:BSU6051_01070
ko:K03046	bsh:BSU6051_01080
ko:K07590	bsh:BSU6051_01090
ko:K02950	bsh:BSU6051_01100
ko:K02992	bsh:BSU6051_01110
ko:K02355	bsh:BSU6051_01120
ko:K02358	bsh:BSU6051_01130
ko:K02946	bsh:BSU6051_01150
ko:K02906	bsh:BSU6051_01160
ko:K02926	bsh:BSU6051_01170
ko:K02892	bsh:BSU6051_01180
ko:K02886	bsh:BSU6051_01190
ko:K02965	bsh:BSU6051_01200
ko:K02890	bsh:BSU6051_01210
ko:K02982	bsh:BSU6051_01220
ko:K02878	bsh:BSU6051_01230
ko:K02904	bsh:BSU6051_01240
ko:K02961	bsh:BSU6051_01250
ko:K02874	bsh:BSU6051_01260
ko:K02895	bsh:BSU6051_01270
ko:K02931	bsh:BSU6051_01280
ko:K02954	bsh:BSU6051_01290
ko:K02994	bsh:BSU6051_01300
ko:K02933	bsh:BSU6051_01310
ko:K02881	bsh:BSU6051_01320
ko:K02988	bsh:BSU6051_01330
ko:K02907	bsh:BSU6051_01340
ko:K02876	bsh:BSU6051_01350
ko:K03076	bsh:BSU6051_01360
ko:K01265	bsh:BSU6051_01380
ko:K02518	bsh:BSU6051_01390
ko:K02919	bsh:BSU6051_01400
ko:K02952	bsh:BSU6051_01410
ko:K02948	bsh:BSU6051_01420
ko:K03040	bsh:BSU6051_01430
ko:K02879	bsh:BSU6051_01440
ko:K16785	bsh:BSU6051_01470
ko:K06173	bsh:BSU6051_01480
ko:K02871	bsh:BSU6051_01490
ko:K02996	bsh:BSU6051_01500
ko:K01845	bsh:BSU6051_08710
ko:K03564	bsh:BSU6051_08720
ko:K03147	bsh:BSU6051_08790
ko:K03781	bsh:BSU6051_08820
ko:K15553	bsh:BSU6051_08840
ko:K15554	bsh:BSU6051_08850
ko:K02954	bsh:BSU6051_08880
ko:K03216	bsh:BSU6051_08930
ko:K07180	bsh:BSU6051_08970
ko:K09786	bsh:BSU6051_08980
ko:K02389	bsh:BSU6051_16280
ko:K02390	bsh:BSU6051_16290
ko:K02385	bsh:BSU6051_16299
ko:K02415	bsh:BSU6051_16300
ko:K02416	bsh:BSU6051_16310
ko:K02417	bsh:BSU6051_16320
ko:K03413	bsh:BSU6051_16330
ko:K02418	bsh:BSU6051_16340
ko:K02419	bsh:BSU6051_16350
ko:K02420	bsh:BSU6051_16360
ko:K02421	bsh:BSU6051_16370
ko:K02401	bsh:BSU6051_16380
ko:K02400	bsh:BSU6051_16390
ko:K02404	bsh:BSU6051_16400
ko:K04562	bsh:BSU6051_16410
ko:K03412	bsh:BSU6051_16420
ko:K03407	bsh:BSU6051_16430
ko:K03408	bsh:BSU6051_16440
ko:K03410	bsh:BSU6051_16450
ko:K03411	bsh:BSU6051_16460
ko:K02405	bsh:BSU6051_16470
ko:K02967	bsh:BSU6051_16490
ko:K02357	bsh:BSU6051_16500
ko:K09903	bsh:BSU6051_16510
ko:K02838	bsh:BSU6051_16520
ko:K00806	bsh:BSU6051_16530
ko:K00981	bsh:BSU6051_16540
ko:K00099	bsh:BSU6051_16550
ko:K11749	bsh:BSU6051_16560
ko:K01881	bsh:BSU6051_16570
ko:K03763	bsh:BSU6051_16580
ko:K09748	bsh:BSU6051_16590
ko:K02600	bsh:BSU6051_16600
ko:K07742	bsh:BSU6051_16610
ko:K02519	bsh:BSU6051_16630
ko:K02834	bsh:BSU6051_16650
ko:K11753	bsh:BSU6051_16670
ko:K02956	bsh:BSU6051_16680
ko:K00962	bsh:BSU6051_16690
ko:K06410	bsh:BSU6051_16730
ko:K06411	bsh:BSU6051_16740
ko:K00133	bsh:BSU6051_16750
ko:K09699	bsh:BSU6051_24030
ko:K00167	bsh:BSU6051_24040
ko:K00166	bsh:BSU6051_24050
ko:K00382	bsh:BSU6051_24060
ko:K00263	bsh:BSU6051_24080
ko:K01720	bsh:BSU6051_24130
ko:K00847	bsh:BSU6051_06170
ko:K03969	bsh:BSU6051_06180
ko:K06872	bsh:BSU6051_06200
ko:K11735	bsh:BSU6051_06310
ko:K03924	bsh:BSU6051_06330
ko:K01951	bsh:BSU6051_06360
ko:K06901	bsh:BSU6051_06370
ko:K01588	bsh:BSU6051_06420
ko:K01589	bsh:BSU6051_06430
ko:K01756	bsh:BSU6051_06440
ko:K01923	bsh:BSU6051_06450
ko:K01952	bsh:BSU6051_06460
ko:K01952	bsh:BSU6051_06470
ko:K01952	bsh:BSU6051_06480
ko:K00764	bsh:BSU6051_06490
ko:K01933	bsh:BSU6051_06500
ko:K11175	bsh:BSU6051_06510
ko:K00602	bsh:BSU6051_06520
ko:K01945	bsh:BSU6051_06530
ko:K16263	bsh:BSU6051_06550
ko:K01486	bsh:BSU6051_06560
ko:K03657	bsh:BSU6051_06610
ko:K01972	bsh:BSU6051_06620
ko:K01449	bsh:BSU6051_13820
ko:K01534	bsh:BSU6051_13850
ko:K03480	bsh:BSU6051_13880
ko:K06315	bsh:BSU6051_13920
ko:K03716	bsh:BSU6051_13930
ko:K02491	bsh:BSU6051_13990
ko:K03415	bsh:BSU6051_14010
ko:K09776	bsh:BSU6051_14110
ko:K03839	bsh:BSU6051_14150
ko:K03839	bsh:BSU6051_14170
ko:K05823	bsh:BSU6051_14190
ko:K03752	bsh:BSU6051_14260
ko:K03750	bsh:BSU6051_14280
ko:K03753	bsh:BSU6051_14290
ko:K07152	bsh:BSU6051_21750
ko:K01754	bsh:BSU6051_21770
ko:K11068	bsh:BSU6051_21790
ko:K01687	bsh:BSU6051_21870
ko:K06950	bsh:BSU6051_21890
ko:K00432	bsh:BSU6051_21900
ko:K00651	bsh:BSU6051_21910
ko:K03704	bsh:BSU6051_21930
ko:K09125	bsh:BSU6051_21980
ko:K06429	bsh:BSU6051_22000
ko:K16169	bsh:BSU6051_22060
ko:K03816	bsh:BSU6051_22070
ko:K01299	bsh:BSU6051_22080
ko:K02526	bsh:BSU6051_22090
ko:K07636	bsh:BSU6051_29100
ko:K00024	bsh:BSU6051_29120
ko:K00031	bsh:BSU6051_29130
ko:K01647	bsh:BSU6051_29140
ko:K07113	bsh:BSU6051_29170
ko:K00873	bsh:BSU6051_29180
ko:K00850	bsh:BSU6051_29190
ko:K01962	bsh:BSU6051_29200
ko:K01963	bsh:BSU6051_29210
ko:K02337	bsh:BSU6051_29230
ko:K07090	bsh:BSU6051_29280
ko:K01755	bsh:BSU6051_29440
ko:K01940	bsh:BSU6051_29450
ko:K03638	bsh:BSU6051_29460
ko:K00925	bsh:BSU6051_29470
ko:K11065	bsh:BSU6051_29490
ko:K04773	bsh:BSU6051_29530
ko:K03282	bsh:BSU6051_36360
ko:K02372	bsh:BSU6051_36370
ko:K02392	bsh:BSU6051_36390
ko:K02392	bsh:BSU6051_36400
ko:K03569	bsh:BSU6051_36410
ko:K06283	bsh:BSU6051_36420
ko:K03320	bsh:BSU6051_36510
ko:K04751	bsh:BSU6051_36520
ko:K06386	bsh:BSU6051_36550
ko:K03823	bsh:BSU6051_36560
ko:K07118	bsh:BSU6051_36620
ko:K01428	bsh:BSU6051_36640
ko:K01429	bsh:BSU6051_36650
ko:K01430	bsh:BSU6051_36660
ko:K03639	bsh:BSU6051_36700
ko:K02379	bsh:BSU6051_36710
ko:K06381	bsh:BSU6051_36750
ko:K00790	bsh:BSU6051_36760
ko:K01647	bsh:BSU6051_24140
ko:K00074	bsh:BSU6051_24160
ko:K01126	bsh:BSU6051_24180
ko:K01448	bsh:BSU6051_24190
ko:K07699	bsh:BSU6051_24220
ko:K06399	bsh:BSU6051_24230
ko:K03631	bsh:BSU6051_24240
ko:K03402	bsh:BSU6051_24250
ko:K06442	bsh:BSU6051_24260
ko:K01662	bsh:BSU6051_24270
ko:K13789	bsh:BSU6051_24280
ko:K03602	bsh:BSU6051_24290
ko:K03601	bsh:BSU6051_24300
ko:K01491	bsh:BSU6051_24310
ko:K03625	bsh:BSU6051_24320
ko:K01961	bsh:BSU6051_24340
ko:K02160	bsh:BSU6051_24350
ko:K06397	bsh:BSU6051_24360
ko:K00686	bsh:BSU6051_31270
ko:K06973	bsh:BSU6051_31310
ko:K10716	bsh:BSU6051_31322
ko:K01810	bsh:BSU6051_31350
ko:K09779	bsh:BSU6051_31380
ko:K10907	bsh:BSU6051_31400
ko:K14155	bsh:BSU6051_31440
ko:K07697	bsh:BSU6051_31450
ko:K06347	bsh:BSU6051_31460
ko:K06348	bsh:BSU6051_31470
ko:K11614	bsh:BSU6051_31520
ko:K07335	bsh:BSU6051_31540
ko:K02057	bsh:BSU6051_31560
ko:K02057	bsh:BSU6051_31570
ko:K11616	bsh:BSU6051_31580
ko:K05566	bsh:BSU6051_31610
ko:K05567	bsh:BSU6051_31620
ko:K05569	bsh:BSU6051_31640
ko:K05571	bsh:BSU6051_31660
ko:K07691	bsh:BSU6051_31680
ko:K03652	bsh:BSU6051_38620
ko:K03781	bsh:BSU6051_38630
ko:K03088	bsh:BSU6051_38700
ko:K00426	bsh:BSU6051_38750
ko:K00425	bsh:BSU6051_38760
ko:K00019	bsh:BSU6051_38970
ko:K01029	bsh:BSU6051_38980
ko:K01028	bsh:BSU6051_38990
ko:K00563	bsh:BSU6051_39010
ko:K16323	bsh:BSU6051_39020
ko:K03781	bsh:BSU6051_39050
ko:K03300	bsh:BSU6051_39060
ko:K01223	bsh:BSU6051_03410
ko:K08094	bsh:BSU6051_03450
ko:K06133	bsh:BSU6051_03570
ko:K10010	bsh:BSU6051_03590
ko:K10009	bsh:BSU6051_03600
ko:K02424	bsh:BSU6051_03610
ko:K03186	bsh:BSU6051_03630
ko:K03305	bsh:BSU6051_03670
ko:K06295	bsh:BSU6051_03700
ko:K06297	bsh:BSU6051_03710
ko:K06296	bsh:BSU6051_03720
ko:K02003	bsh:BSU6051_03730
ko:K00928	bsh:BSU6051_03790
ko:K02015	bsh:BSU6051_03800
ko:K09767	bsh:BSU6051_11020
ko:K00243	bsh:BSU6051_11030
ko:K08777	bsh:BSU6051_11100
ko:K00145	bsh:BSU6051_11190
ko:K00620	bsh:BSU6051_11200
ko:K00930	bsh:BSU6051_11210
ko:K01956	bsh:BSU6051_11230
ko:K01955	bsh:BSU6051_11240
ko:K00611	bsh:BSU6051_11250
ko:K05519	bsh:BSU6051_11300
ko:K02254	bsh:BSU6051_11310
ko:K00648	bsh:BSU6051_11330
ko:K09458	bsh:BSU6051_11340
ko:K02034	bsh:BSU6051_11400
ko:K01867	bsh:BSU6051_11420
ko:K15580	bsh:BSU6051_11430
ko:K15581	bsh:BSU6051_11440
ko:K07727	bsh:BSU6051_18740
ko:K06878	bsh:BSU6051_19040
ko:K03091	bsh:BSU6051_26390
ko:K13256	bsh:BSU6051_26410
ko:K07148	bsh:BSU6051_26440
ko:K07090	bsh:BSU6051_26490
ko:K08153	bsh:BSU6051_26590
ko:K16264	bsh:BSU6051_26650
ko:K03311	bsh:BSU6051_26690
ko:K03623	bsh:BSU6051_26730
ko:K01118	bsh:BSU6051_33540
ko:K03664	bsh:BSU6051_33600
ko:K12573	bsh:BSU6051_33610
ko:K03928	bsh:BSU6051_33620
ko:K03075	bsh:BSU6051_33630
ko:K05846	bsh:BSU6051_33700
ko:K05845	bsh:BSU6051_33710
ko:K05846	bsh:BSU6051_33720
ko:K05847	bsh:BSU6051_33730
ko:K05846	bsh:BSU6051_33800
ko:K05845	bsh:BSU6051_33810
ko:K05846	bsh:BSU6051_33820
ko:K05847	bsh:BSU6051_33830
ko:K01689	bsh:BSU6051_33900
ko:K15633	bsh:BSU6051_33910
ko:K01803	bsh:BSU6051_33920
ko:K00927	bsh:BSU6051_33930
ko:K00134	bsh:BSU6051_33940
ko:K05311	bsh:BSU6051_33950
ko:K02103	bsh:BSU6051_33970
ko:K02990	bsh:BSU6051_40910
ko:K06942	bsh:BSU6051_40920
ko:K03501	bsh:BSU6051_41000
ko:K03495	bsh:BSU6051_41010
ko:K03650	bsh:BSU6051_41020
ko:K03217	bsh:BSU6051_41040
ko:K03536	bsh:BSU6051_41050
ko:K02914	bsh:BSU6051_41060
ko:K03704	bsh:BSU6051_05120
ko:K07736	bsh:BSU6051_05130
ko:K13653	bsh:BSU6051_05170
ko:K00375	bsh:BSU6051_05240
ko:K07217	bsh:BSU6051_12490
ko:K03088	bsh:BSU6051_12560
ko:K03306	bsh:BSU6051_12840
ko:K07220	bsh:BSU6051_12850
ko:K15975	bsh:BSU6051_12870
ko:K02337	bsh:BSU6051_20340
ko:K03210	bsh:BSU6051_27700
ko:K00773	bsh:BSU6051_27710
ko:K07568	bsh:BSU6051_27720
ko:K03551	bsh:BSU6051_27730
ko:K03550	bsh:BSU6051_27740
ko:K06318	bsh:BSU6051_27750
ko:K03310	bsh:BSU6051_27810
ko:K06370	bsh:BSU6051_27840
ko:K03517	bsh:BSU6051_27850
ko:K00767	bsh:BSU6051_27860
ko:K00278	bsh:BSU6051_27870
ko:K04487	bsh:BSU6051_27880
ko:K06209	bsh:BSU6051_27910
ko:K03979	bsh:BSU6051_27920
ko:K06375	bsh:BSU6051_27930
ko:K02899	bsh:BSU6051_27940
ko:K02888	bsh:BSU6051_27960
ko:K06401	bsh:BSU6051_27980
ko:K03609	bsh:BSU6051_27990
ko:K03610	bsh:BSU6051_28000
ko:K03571	bsh:BSU6051_28010
ko:K03570	bsh:BSU6051_28020
ko:K03569	bsh:BSU6051_28030
ko:K03630	bsh:BSU6051_28040
ko:K06287	bsh:BSU6051_28050
ko:K11754	bsh:BSU6051_28080
ko:K01873	bsh:BSU6051_28090
ko:K06417	bsh:BSU6051_28110
