ko:K19416	sbb:Sbal175_2211
ko:K01792	sbb:Sbal175_2615
ko:K09458	sbb:Sbal175_2619
ko:K02078	sbb:Sbal175_2620
ko:K00645	sbb:Sbal175_2622
ko:K00648	sbb:Sbal175_2623
ko:K03621	sbb:Sbal175_2624
ko:K02911	sbb:Sbal175_2625
ko:K07040	sbb:Sbal175_2626
ko:K01091	sbb:Sbal175_2628
ko:K08300	sbb:Sbal175_2630
ko:K03704	sbb:Sbal175_2632
ko:K00563	sbb:Sbal175_2633
ko:K01141	sbb:Sbal175_2645
ko:K06996	sbb:Sbal175_2648
ko:K06996	sbb:Sbal175_2650
ko:K01624	sbb:Sbal175_3443
ko:K00927	sbb:Sbal175_3444
ko:K00134	sbb:Sbal175_3445
ko:K00615	sbb:Sbal175_3446
ko:K00789	sbb:Sbal175_3447
ko:K03837	sbb:Sbal175_3458
ko:K03828	sbb:Sbal175_3461
ko:K00351	sbb:Sbal175_3465
ko:K00350	sbb:Sbal175_3466
ko:K00349	sbb:Sbal175_3467
ko:K00348	sbb:Sbal175_3468
ko:K00347	sbb:Sbal175_3469
ko:K00346	sbb:Sbal175_3470
ko:K11717	sbb:Sbal175_3485
ko:K02426	sbb:Sbal175_3486
ko:K12525	sbb:Sbal175_0628
ko:K00297	sbb:Sbal175_0629
ko:K02406	sbb:Sbal175_1421
ko:K02407	sbb:Sbal175_1423
ko:K02422	sbb:Sbal175_1425
ko:K10941	sbb:Sbal175_1426
ko:K02408	sbb:Sbal175_1429
ko:K02409	sbb:Sbal175_1430
ko:K02410	sbb:Sbal175_1431
ko:K02411	sbb:Sbal175_1432
ko:K02412	sbb:Sbal175_1433
ko:K02413	sbb:Sbal175_1434
ko:K02415	sbb:Sbal175_1436
ko:K02416	sbb:Sbal175_1437
ko:K02417	sbb:Sbal175_1438
ko:K02418	sbb:Sbal175_1439
ko:K02419	sbb:Sbal175_1440
ko:K02420	sbb:Sbal175_1441
ko:K02421	sbb:Sbal175_1442
ko:K02401	sbb:Sbal175_1443
ko:K02400	sbb:Sbal175_1444
ko:K02404	sbb:Sbal175_1445
ko:K04562	sbb:Sbal175_1446
ko:K02405	sbb:Sbal175_1447
ko:K03413	sbb:Sbal175_1448
ko:K03414	sbb:Sbal175_1449
ko:K03407	sbb:Sbal175_1450
ko:K03412	sbb:Sbal175_1451
ko:K03408	sbb:Sbal175_1454
ko:K03408	sbb:Sbal175_1455
ko:K04061	sbb:Sbal175_1457
ko:K04754	sbb:Sbal175_1459
ko:K03305	sbb:Sbal175_1461
ko:K00973	sbb:Sbal175_1467
ko:K01790	sbb:Sbal175_1468
ko:K00404	sbb:Sbal175_2249
ko:K00405	sbb:Sbal175_2250
ko:K00407	sbb:Sbal175_2251
ko:K00406	sbb:Sbal175_2252
ko:K09926	sbb:Sbal175_2253
ko:K09792	sbb:Sbal175_2256
ko:K14055	sbb:Sbal175_2258
ko:K14058	sbb:Sbal175_2259
ko:K00832	sbb:Sbal175_2263
ko:K00134	sbb:Sbal175_2264
ko:K00134	sbb:Sbal175_2266
ko:K03517	sbb:Sbal175_2267
ko:K09699	sbb:Sbal175_2268
ko:K00167	sbb:Sbal175_2269
ko:K00166	sbb:Sbal175_2270
ko:K05526	sbb:Sbal175_2271
ko:K03645	sbb:Sbal175_2274
ko:K03839	sbb:Sbal175_2278
ko:K02356	sbb:Sbal175_2280
ko:K01915	sbb:Sbal175_2281
ko:K14260	sbb:Sbal175_2283
ko:K01129	sbb:Sbal175_2285
ko:K01625	sbb:Sbal175_2286
ko:K01690	sbb:Sbal175_2287
ko:K01057	sbb:Sbal175_2288
ko:K00036	sbb:Sbal175_2289
ko:K00873	sbb:Sbal175_2291
ko:K01283	sbb:Sbal175_2295
ko:K02860	sbb:Sbal175_3072
ko:K02959	sbb:Sbal175_3073
ko:K03106	sbb:Sbal175_3074
ko:K00997	sbb:Sbal175_3078
ko:K03474	sbb:Sbal175_3079
ko:K03584	sbb:Sbal175_3080
ko:K03685	sbb:Sbal175_3082
ko:K03100	sbb:Sbal175_3083
ko:K03596	sbb:Sbal175_3084
ko:K03598	sbb:Sbal175_3086
ko:K03597	sbb:Sbal175_3087
ko:K03088	sbb:Sbal175_3088
ko:K00278	sbb:Sbal175_3089
ko:K09159	sbb:Sbal175_3091
ko:K03717	sbb:Sbal175_3092
ko:K03313	sbb:Sbal175_3094
ko:K13292	sbb:Sbal175_3096
ko:K08484	sbb:Sbal175_3098
ko:K08311	sbb:Sbal175_3099
ko:K03573	sbb:Sbal175_3100
ko:K04761	sbb:Sbal175_3102
ko:K07139	sbb:Sbal175_3104
ko:K00266	sbb:Sbal175_3106
ko:K02227	sbb:Sbal175_3108
ko:K01866	sbb:Sbal175_3113
ko:K09001	sbb:Sbal175_3115
ko:K06188	sbb:Sbal175_3116
ko:K15724	sbb:Sbal175_3119
ko:K00609	sbb:Sbal175_3122
ko:K01845	sbb:Sbal175_3123
ko:K07301	sbb:Sbal175_3895
ko:K07778	sbb:Sbal175_3897
ko:K07693	sbb:Sbal175_3898
ko:K03655	sbb:Sbal175_3899
ko:K02078	sbb:Sbal175_3903
ko:K02078	sbb:Sbal175_3904
ko:K01745	sbb:Sbal175_3909
ko:K07107	sbb:Sbal175_3910
ko:K09458	sbb:Sbal175_3918
ko:K03829	sbb:Sbal175_3924
ko:K05782	sbb:Sbal175_3925
ko:K01118	sbb:Sbal175_3929
ko:K07560	sbb:Sbal175_3931
ko:K07058	sbb:Sbal175_3934
ko:K01761	sbb:Sbal175_3937
ko:K06207	sbb:Sbal175_3942
ko:K01915	sbb:Sbal175_3943
ko:K03181	sbb:Sbal175_0165
ko:K02415	sbb:Sbal175_0166
ko:K09712	sbb:Sbal175_0168
ko:K03750	sbb:Sbal175_0171
ko:K02217	sbb:Sbal175_0172
ko:K01354	sbb:Sbal175_0175
ko:K07461	sbb:Sbal175_0176
ko:K09807	sbb:Sbal175_0178
ko:K01610	sbb:Sbal175_0185
ko:K04083	sbb:Sbal175_0186
ko:K04762	sbb:Sbal175_0187
ko:K02452	sbb:Sbal175_0189
ko:K02453	sbb:Sbal175_0190
ko:K02455	sbb:Sbal175_0192
ko:K02456	sbb:Sbal175_0193
ko:K02457	sbb:Sbal175_0194
ko:K02458	sbb:Sbal175_0195
ko:K02459	sbb:Sbal175_0196
ko:K02460	sbb:Sbal175_0197
ko:K02461	sbb:Sbal175_0199
ko:K02462	sbb:Sbal175_0200
ko:K08312	sbb:Sbal175_0209
ko:K06917	sbb:Sbal175_0214
ko:K01008	sbb:Sbal175_0215
ko:K00005	sbb:Sbal175_1016
ko:K01776	sbb:Sbal175_1019
ko:K01465	sbb:Sbal175_1022
ko:K02003	sbb:Sbal175_1025
ko:K04337	sbb:Sbal175_1030
ko:K04338	sbb:Sbal175_1031
ko:K06214	sbb:Sbal175_1032
ko:K00154	sbb:Sbal175_1034
ko:K06901	sbb:Sbal175_1042
ko:K00931	sbb:Sbal175_1043
ko:K00147	sbb:Sbal175_1044
ko:K04043	sbb:Sbal175_1049
ko:K03686	sbb:Sbal175_1050
ko:K03773	sbb:Sbal175_1057
ko:K00215	sbb:Sbal175_1058
ko:K01956	sbb:Sbal175_1059
ko:K01955	sbb:Sbal175_1060
ko:K06213	sbb:Sbal175_1064
ko:K07014	sbb:Sbal175_1842
ko:K09904	sbb:Sbal175_1843
ko:K06899	sbb:Sbal175_1844
ko:K00428	sbb:Sbal175_1845
ko:K09907	sbb:Sbal175_1849
ko:K09900	sbb:Sbal175_1854
ko:K01647	sbb:Sbal175_1858
ko:K00242	sbb:Sbal175_1860
ko:K00239	sbb:Sbal175_1861
ko:K00240	sbb:Sbal175_1862
ko:K00164	sbb:Sbal175_1863
ko:K00658	sbb:Sbal175_1864
ko:K01903	sbb:Sbal175_1865
ko:K01902	sbb:Sbal175_1866
ko:K06140	sbb:Sbal175_1867
ko:K12410	sbb:Sbal175_1870
ko:K03284	sbb:Sbal175_1873
ko:K09791	sbb:Sbal175_2655
ko:K00912	sbb:Sbal175_2656
ko:K09928	sbb:Sbal175_2659
ko:K07234	sbb:Sbal175_2660
ko:K13256	sbb:Sbal175_2661
ko:K02478	sbb:Sbal175_2666
ko:K14762	sbb:Sbal175_2673
ko:K07001	sbb:Sbal175_2679
ko:K07043	sbb:Sbal175_2682
ko:K03547	sbb:Sbal175_2686
ko:K07090	sbb:Sbal175_2687
ko:K03832	sbb:Sbal175_2696
ko:K03561	sbb:Sbal175_2698
ko:K05592	sbb:Sbal175_0645
ko:K03701	sbb:Sbal175_0647
ko:K03581	sbb:Sbal175_0655
ko:K03271	sbb:Sbal175_1478
ko:K03431	sbb:Sbal175_1482
ko:K09975	sbb:Sbal175_1483
ko:K00973	sbb:Sbal175_1487
ko:K01790	sbb:Sbal175_1488
ko:K07001	sbb:Sbal175_1494
ko:K00606	sbb:Sbal175_1495
ko:K01881	sbb:Sbal175_1497
ko:K06080	sbb:Sbal175_1500
ko:K03521	sbb:Sbal175_1504
ko:K03522	sbb:Sbal175_1505
ko:K01284	sbb:Sbal175_1507
ko:K07090	sbb:Sbal175_1513
ko:K01029	sbb:Sbal175_1517
ko:K01028	sbb:Sbal175_1518
ko:K01640	sbb:Sbal175_1519
ko:K01968	sbb:Sbal175_1520
ko:K13766	sbb:Sbal175_1521
ko:K01969	sbb:Sbal175_1522
ko:K01908	sbb:Sbal175_1525
ko:K09858	sbb:Sbal175_2298
ko:K01738	sbb:Sbal175_2302
ko:K10026	sbb:Sbal175_2303
ko:K06920	sbb:Sbal175_2304
ko:K03702	sbb:Sbal175_2306
ko:K10773	sbb:Sbal175_2315
ko:K09760	sbb:Sbal175_2322
ko:K08309	sbb:Sbal175_2323
ko:K03924	sbb:Sbal175_2325
ko:K03583	sbb:Sbal175_2328
ko:K03582	sbb:Sbal175_2329
ko:K03581	sbb:Sbal175_2330
ko:K01921	sbb:Sbal175_2333
ko:K03500	sbb:Sbal175_2335
ko:K02429	sbb:Sbal175_2336
ko:K00156	sbb:Sbal175_2344
ko:K02451	sbb:Sbal175_3126
ko:K03561	sbb:Sbal175_2699
ko:K08303	sbb:Sbal175_3494
ko:K00760	sbb:Sbal175_3503
ko:K03186	sbb:Sbal175_3504
ko:K02558	sbb:Sbal175_3505
ko:K07286	sbb:Sbal175_3510
ko:K08218	sbb:Sbal175_3513
ko:K09767	sbb:Sbal175_3514
ko:K00077	sbb:Sbal175_3517
ko:K04752	sbb:Sbal175_3518
ko:K03320	sbb:Sbal175_3519
ko:K01627	sbb:Sbal175_3522
ko:K02493	sbb:Sbal175_3528
ko:K02835	sbb:Sbal175_3529
ko:K02492	sbb:Sbal175_3530
ko:K02494	sbb:Sbal175_3531
ko:K00919	sbb:Sbal175_3532
ko:K00948	sbb:Sbal175_3533
ko:K03088	sbb:Sbal175_3535
ko:K00563	sbb:Sbal175_3130
ko:K06153	sbb:Sbal175_3131
ko:K00950	sbb:Sbal175_3132
ko:K01633	sbb:Sbal175_3133
ko:K08591	sbb:Sbal175_3134
ko:K02970	sbb:Sbal175_3136
ko:K09117	sbb:Sbal175_3137
ko:K03086	sbb:Sbal175_3139
ko:K00847	sbb:Sbal175_3141
ko:K02429	sbb:Sbal175_3143
ko:K02529	sbb:Sbal175_3146
ko:K03305	sbb:Sbal175_3154
ko:K11074	sbb:Sbal175_3159
ko:K11075	sbb:Sbal175_3160
ko:K11076	sbb:Sbal175_3161
ko:K11073	sbb:Sbal175_3162
ko:K01915	sbb:Sbal175_3163
ko:K07010	sbb:Sbal175_3164
ko:K03642	sbb:Sbal175_3169
ko:K02018	sbb:Sbal175_3962
ko:K02020	sbb:Sbal175_3963
ko:K03636	sbb:Sbal175_3965
ko:K03637	sbb:Sbal175_3966
ko:K03639	sbb:Sbal175_3967
ko:K00311	sbb:Sbal175_3968
ko:K09940	sbb:Sbal175_3970
ko:K09913	sbb:Sbal175_3978
ko:K08325	sbb:Sbal175_3980
ko:K07708	sbb:Sbal175_3984
ko:K07712	sbb:Sbal175_3985
ko:K06006	sbb:Sbal175_3989
ko:K03781	sbb:Sbal175_3994
ko:K01776	sbb:Sbal175_0219
ko:K00075	sbb:Sbal175_0222
ko:K03524	sbb:Sbal175_0223
ko:K02358	sbb:Sbal175_0225
ko:K03073	sbb:Sbal175_0226
ko:K02601	sbb:Sbal175_0227
ko:K02867	sbb:Sbal175_0228
ko:K02863	sbb:Sbal175_0229
ko:K02864	sbb:Sbal175_0230
ko:K02935	sbb:Sbal175_0231
ko:K03043	sbb:Sbal175_0232
ko:K03046	sbb:Sbal175_0233
ko:K02950	sbb:Sbal175_0234
ko:K02992	sbb:Sbal175_0235
ko:K02355	sbb:Sbal175_0236
ko:K02946	sbb:Sbal175_0238
ko:K02906	sbb:Sbal175_0239
ko:K02926	sbb:Sbal175_0240
ko:K02892	sbb:Sbal175_0241
ko:K02886	sbb:Sbal175_0242
ko:K02965	sbb:Sbal175_0243
ko:K02890	sbb:Sbal175_0244
ko:K02982	sbb:Sbal175_0245
ko:K02878	sbb:Sbal175_0246
ko:K02904	sbb:Sbal175_0247
ko:K02961	sbb:Sbal175_0248
ko:K02874	sbb:Sbal175_0249
ko:K02895	sbb:Sbal175_0250
ko:K02931	sbb:Sbal175_0251
ko:K02954	sbb:Sbal175_0252
ko:K02994	sbb:Sbal175_0253
ko:K02933	sbb:Sbal175_0254
ko:K02881	sbb:Sbal175_0255
ko:K02988	sbb:Sbal175_0256
ko:K02907	sbb:Sbal175_0257
ko:K02876	sbb:Sbal175_0258
ko:K03076	sbb:Sbal175_0259
ko:K02919	sbb:Sbal175_0260
ko:K02952	sbb:Sbal175_0261
ko:K02948	sbb:Sbal175_0262
ko:K02986	sbb:Sbal175_0263
ko:K03040	sbb:Sbal175_0264
ko:K02879	sbb:Sbal175_0265
ko:K09930	sbb:Sbal175_1068
ko:K06969	sbb:Sbal175_1070
ko:K01807	sbb:Sbal175_1071
ko:K09781	sbb:Sbal175_1072
ko:K04047	sbb:Sbal175_1080
ko:K03789	sbb:Sbal175_1082
ko:K03644	sbb:Sbal175_1083
ko:K03801	sbb:Sbal175_1084
ko:K09158	sbb:Sbal175_1085
ko:K03642	sbb:Sbal175_1087
ko:K05837	sbb:Sbal175_1089
ko:K05515	sbb:Sbal175_1090
ko:K00783	sbb:Sbal175_1091
ko:K09710	sbb:Sbal175_1092
ko:K00969	sbb:Sbal175_1093
ko:K02340	sbb:Sbal175_1094
ko:K03643	sbb:Sbal175_1095
ko:K01869	sbb:Sbal175_1096
ko:K03820	sbb:Sbal175_1100
ko:K06189	sbb:Sbal175_1101
ko:K07042	sbb:Sbal175_1102
ko:K06168	sbb:Sbal175_1104
ko:K03184	sbb:Sbal175_1106
ko:K01056	sbb:Sbal175_1107
ko:K06942	sbb:Sbal175_1108
ko:K09939	sbb:Sbal175_1111
ko:K07637	sbb:Sbal175_1876
ko:K01484	sbb:Sbal175_1881
ko:K03168	sbb:Sbal175_1882
ko:K13634	sbb:Sbal175_1884
ko:K01626	sbb:Sbal175_1888
ko:K09773	sbb:Sbal175_1889
ko:K09986	sbb:Sbal175_1892
ko:K00263	sbb:Sbal175_1895
ko:K01756	sbb:Sbal175_1898
ko:K07153	sbb:Sbal175_1899
ko:K00566	sbb:Sbal175_1900
ko:K12152	sbb:Sbal175_1901
ko:K06181	sbb:Sbal175_1902
ko:K00031	sbb:Sbal175_1903
ko:K03704	sbb:Sbal175_1904
ko:K06891	sbb:Sbal175_1905
ko:K03694	sbb:Sbal175_1906
ko:K02518	sbb:Sbal175_1907
ko:K00684	sbb:Sbal175_1909
ko:K06077	sbb:Sbal175_1910
ko:K07088	sbb:Sbal175_1912
ko:K01874	sbb:Sbal175_1913
ko:K00876	sbb:Sbal175_1915
ko:K01494	sbb:Sbal175_1916
ko:K07082	sbb:Sbal175_1918
ko:K00943	sbb:Sbal175_1919
ko:K02341	sbb:Sbal175_1920
ko:K02676	sbb:Sbal175_1921
ko:K03424	sbb:Sbal175_1922
ko:K03808	sbb:Sbal175_1926
ko:K02336	sbb:Sbal175_2708
ko:K07090	sbb:Sbal175_2710
ko:K02237	sbb:Sbal175_2715
ko:K01761	sbb:Sbal175_2716
ko:K08990	sbb:Sbal175_2717
ko:K06918	sbb:Sbal175_2718
ko:K03970	sbb:Sbal175_2720
ko:K03969	sbb:Sbal175_2721
ko:K03974	sbb:Sbal175_2722
ko:K03770	sbb:Sbal175_2730
ko:K03530	sbb:Sbal175_2731
ko:K01338	sbb:Sbal175_2732
ko:K03544	sbb:Sbal175_2733
ko:K01358	sbb:Sbal175_2734
ko:K03545	sbb:Sbal175_2735
ko:K01491	sbb:Sbal175_2736
ko:K01883	sbb:Sbal175_2737
ko:K03269	sbb:Sbal175_2739
ko:K06169	sbb:Sbal175_2740
ko:K01886	sbb:Sbal175_2742
ko:K04759	sbb:Sbal175_2743
ko:K04758	sbb:Sbal175_2744
ko:K00549	sbb:Sbal175_3556
ko:K03576	sbb:Sbal175_3557
ko:K00246	sbb:Sbal175_0704
ko:K07791	sbb:Sbal175_0705
ko:K01744	sbb:Sbal175_0706
ko:K01713	sbb:Sbal175_0708
ko:K00849	sbb:Sbal175_0722
ko:K04084	sbb:Sbal175_0724
ko:K03926	sbb:Sbal175_0725
ko:K07113	sbb:Sbal175_0726
ko:K04078	sbb:Sbal175_0732
ko:K04077	sbb:Sbal175_0733
ko:K07154	sbb:Sbal175_0735
ko:K05776	sbb:Sbal175_0739
ko:K02548	sbb:Sbal175_1531
ko:K10805	sbb:Sbal175_1533
ko:K09936	sbb:Sbal175_1541
ko:K09936	sbb:Sbal175_1542
ko:K10126	sbb:Sbal175_1543
ko:K10125	sbb:Sbal175_1544
ko:K13529	sbb:Sbal175_1551
ko:K03415	sbb:Sbal175_1555
ko:K07862	sbb:Sbal175_1556
ko:K07568	sbb:Sbal175_1563
ko:K00773	sbb:Sbal175_1564
ko:K03210	sbb:Sbal175_1565
ko:K02000	sbb:Sbal175_2347
ko:K02001	sbb:Sbal175_2348
ko:K01462	sbb:Sbal175_2352
ko:K07443	sbb:Sbal175_2353
ko:K08307	sbb:Sbal175_2365
ko:K07289	sbb:Sbal175_2367
ko:K02553	sbb:Sbal175_2368
ko:K01305	sbb:Sbal175_2376
ko:K03229	sbb:Sbal175_2388
ko:K03228	sbb:Sbal175_2389
ko:K03226	sbb:Sbal175_2391
ko:K03225	sbb:Sbal175_2392
ko:K03224	sbb:Sbal175_2395
ko:K03230	sbb:Sbal175_2396
ko:K00822	sbb:Sbal175_3179
ko:K00140	sbb:Sbal175_3180
ko:K06995	sbb:Sbal175_3181
ko:K01443	sbb:Sbal175_3185
ko:K00820	sbb:Sbal175_3186
ko:K02529	sbb:Sbal175_3197
ko:K03885	sbb:Sbal175_3198
ko:K04751	sbb:Sbal175_3199
ko:K08084	sbb:Sbal175_3200
ko:K02655	sbb:Sbal175_3203
ko:K02673	sbb:Sbal175_3205
ko:K02672	sbb:Sbal175_3206
ko:K02671	sbb:Sbal175_3207
ko:K03527	sbb:Sbal175_3208
ko:K03774	sbb:Sbal175_3209
ko:K03101	sbb:Sbal175_3210
ko:K01870	sbb:Sbal175_3211
ko:K11753	sbb:Sbal175_3212
ko:K03980	sbb:Sbal175_3213
ko:K02968	sbb:Sbal175_3215
ko:K09861	sbb:Sbal175_3218
ko:K03310	sbb:Sbal175_3219
ko:K01810	sbb:Sbal175_3223
ko:K03088	sbb:Sbal175_3227
ko:K02199	sbb:Sbal175_4012
ko:K02198	sbb:Sbal175_4013
ko:K02194	sbb:Sbal175_4017
ko:K02195	sbb:Sbal175_4018
ko:K02196	sbb:Sbal175_4019
ko:K02197	sbb:Sbal175_4020
ko:K03453	sbb:Sbal175_4024
ko:K03216	sbb:Sbal175_4034
ko:K07552	sbb:Sbal175_4050
ko:K01126	sbb:Sbal175_3568
ko:K07101	sbb:Sbal175_3569
ko:K09136	sbb:Sbal175_3578
ko:K13979	sbb:Sbal175_3589
ko:K00123	sbb:Sbal175_0269
ko:K00123	sbb:Sbal175_0273
ko:K02379	sbb:Sbal175_0279
ko:K03826	sbb:Sbal175_0281
ko:K01595	sbb:Sbal175_0284
ko:K00145	sbb:Sbal175_0285
ko:K00930	sbb:Sbal175_0286
ko:K00611	sbb:Sbal175_0287
ko:K01940	sbb:Sbal175_0288
ko:K01755	sbb:Sbal175_0289
ko:K05366	sbb:Sbal175_0290
ko:K02662	sbb:Sbal175_0291
ko:K02666	sbb:Sbal175_0295
ko:K00891	sbb:Sbal175_0296
ko:K01735	sbb:Sbal175_0297
ko:K03112	sbb:Sbal175_0298
ko:K01783	sbb:Sbal175_0303
ko:K01091	sbb:Sbal175_0304
ko:K01867	sbb:Sbal175_0305
ko:K07460	sbb:Sbal175_0310
ko:K07121	sbb:Sbal175_0311
ko:K07056	sbb:Sbal175_0312
ko:K07136	sbb:Sbal175_0318
ko:K03624	sbb:Sbal175_1114
ko:K03072	sbb:Sbal175_1116
ko:K03074	sbb:Sbal175_1117
ko:K07574	sbb:Sbal175_1118
ko:K03798	sbb:Sbal175_1120
ko:K00796	sbb:Sbal175_1121
ko:K03431	sbb:Sbal175_1122
ko:K01803	sbb:Sbal175_1123
ko:K03075	sbb:Sbal175_1124
ko:K09748	sbb:Sbal175_1125
ko:K02600	sbb:Sbal175_1126
ko:K02519	sbb:Sbal175_1127
ko:K02834	sbb:Sbal175_1128
ko:K02956	sbb:Sbal175_1130
ko:K00962	sbb:Sbal175_1132
ko:K05803	sbb:Sbal175_1133
ko:K02837	sbb:Sbal175_1134
ko:K03424	sbb:Sbal175_1136
ko:K05517	sbb:Sbal175_1138
ko:K01839	sbb:Sbal175_1141
ko:K01079	sbb:Sbal175_1144
ko:K04485	sbb:Sbal175_1147
ko:K11930	sbb:Sbal175_1150
ko:K07647	sbb:Sbal175_1151
ko:K03533	sbb:Sbal175_1152
ko:K07811	sbb:Sbal175_1153
ko:K03532	sbb:Sbal175_1154
ko:K06901	sbb:Sbal175_1156
ko:K03808	sbb:Sbal175_1927
ko:K09918	sbb:Sbal175_1928
ko:K03607	sbb:Sbal175_1930
ko:K03797	sbb:Sbal175_1931
ko:K01256	sbb:Sbal175_1932
ko:K15371	sbb:Sbal175_1938
ko:K09978	sbb:Sbal175_1942
ko:K03834	sbb:Sbal175_1945
ko:K11755	sbb:Sbal175_1946
ko:K02500	sbb:Sbal175_1947
ko:K01814	sbb:Sbal175_1948
ko:K02501	sbb:Sbal175_1949
ko:K01089	sbb:Sbal175_1950
ko:K00817	sbb:Sbal175_1951
ko:K00013	sbb:Sbal175_1952
ko:K00765	sbb:Sbal175_1953
ko:K01070	sbb:Sbal175_1962
ko:K01752	sbb:Sbal175_1963
ko:K01207	sbb:Sbal175_1964
ko:K07000	sbb:Sbal175_1965
ko:K01512	sbb:Sbal175_1974
ko:K03723	sbb:Sbal175_1976
ko:K09808	sbb:Sbal175_1978
ko:K02647	sbb:Sbal175_2755
ko:K03781	sbb:Sbal175_2756
ko:K00865	sbb:Sbal175_2758
ko:K06996	sbb:Sbal175_2772
ko:K03305	sbb:Sbal175_2777
ko:K02168	sbb:Sbal175_2786
ko:K02039	sbb:Sbal175_2792
ko:K02036	sbb:Sbal175_2793
ko:K02038	sbb:Sbal175_2794
ko:K02037	sbb:Sbal175_2795
ko:K09941	sbb:Sbal175_2802
ko:K01868	sbb:Sbal175_3594
ko:K00281	sbb:Sbal175_3596
ko:K02437	sbb:Sbal175_3597
ko:K00605	sbb:Sbal175_3598
ko:K03185	sbb:Sbal175_3600
ko:K09895	sbb:Sbal175_3601
ko:K09888	sbb:Sbal175_3602
ko:K13938	sbb:Sbal175_3604
ko:K00024	sbb:Sbal175_3606
ko:K03402	sbb:Sbal175_3607
ko:K07118	sbb:Sbal175_3608
ko:K07223	sbb:Sbal175_3610
ko:K02011	sbb:Sbal175_3613
ko:K02012	sbb:Sbal175_3614
ko:K00528	sbb:Sbal175_3617
ko:K01626	sbb:Sbal175_3625
ko:K03320	sbb:Sbal175_3628
ko:K04752	sbb:Sbal175_3629
ko:K03385	sbb:Sbal175_3632
ko:K07674	sbb:Sbal175_3633
ko:K07685	sbb:Sbal175_3634
ko:K09910	sbb:Sbal175_3635
ko:K06987	sbb:Sbal175_3637
ko:K00928	sbb:Sbal175_3638
ko:K07773	sbb:Sbal175_3640
ko:K03841	sbb:Sbal175_3643
ko:K06145	sbb:Sbal175_0320
ko:K06156	sbb:Sbal175_0321
ko:K01581	sbb:Sbal175_0325
ko:K01118	sbb:Sbal175_0337
ko:K00375	sbb:Sbal175_0338
ko:K03673	sbb:Sbal175_0350
ko:K09892	sbb:Sbal175_0353
ko:K00826	sbb:Sbal175_0358
ko:K07391	sbb:Sbal175_0369
ko:K08303	sbb:Sbal175_1165
ko:K14645	sbb:Sbal175_1167
ko:K08303	sbb:Sbal175_1169
ko:K03415	sbb:Sbal175_1173
ko:K01939	sbb:Sbal175_1174
ko:K06886	sbb:Sbal175_1185
ko:K07396	sbb:Sbal175_1196
ko:K00600	sbb:Sbal175_1200
ko:K07738	sbb:Sbal175_1201
ko:K11752	sbb:Sbal175_1202
