ko:K18929	hpyi:K750_07860
ko:K02952	hpyi:K750_01955
ko:K02948	hpyi:K750_01960
ko:K02986	hpyi:K750_01965
ko:K03040	hpyi:K750_01970
ko:K02879	hpyi:K750_01975
ko:K01695	hpyi:K750_01985
ko:K01696	hpyi:K750_01990
ko:K13498	hpyi:K750_01995
ko:K00766	hpyi:K750_02000
ko:K01657	hpyi:K750_02010
ko:K03707	hpyi:K750_02030
ko:K03811	hpyi:K750_02045
ko:K15778	hpyi:K750_02065
ko:K00343	hpyi:K750_02075
ko:K00342	hpyi:K750_02080
ko:K00341	hpyi:K750_02085
ko:K00340	hpyi:K750_02090
ko:K00339	hpyi:K750_02095
ko:K00338	hpyi:K750_02100
ko:K00337	hpyi:K750_02105
ko:K00334	hpyi:K750_02120
ko:K00333	hpyi:K750_02125
ko:K00332	hpyi:K750_02130
ko:K00331	hpyi:K750_02135
ko:K00330	hpyi:K750_02140
ko:K12410	hpyi:K750_02145
ko:K00762	hpyi:K750_02155
ko:K02838	hpyi:K750_02160
ko:K03075	hpyi:K750_02165
ko:K02169	hpyi:K750_02170
ko:K03092	hpyi:K750_06015
ko:K06861	hpyi:K750_06020
ko:K06925	hpyi:K750_06025
ko:K02343	hpyi:K750_06030
ko:K06895	hpyi:K750_06035
ko:K07791	hpyi:K750_06055
ko:K04075	hpyi:K750_06080
ko:K01095	hpyi:K750_06140
ko:K01921	hpyi:K750_06145
ko:K01929	hpyi:K750_06155
ko:K00948	hpyi:K750_06165
ko:K06946	hpyi:K750_06185
ko:K06180	hpyi:K750_06190
ko:K03439	hpyi:K750_06200
ko:K09812	hpyi:K750_06205
ko:K09811	hpyi:K750_06210
ko:K02407	hpyi:K750_06225
ko:K02422	hpyi:K750_06230
ko:K12251	hpyi:K750_06250
ko:K07084	hpyi:K750_06255
ko:K03110	hpyi:K750_06280
ko:K06940	hpyi:K750_06290
ko:K02601	hpyi:K750_02430
ko:K02867	hpyi:K750_02435
ko:K02863	hpyi:K750_02440
ko:K02864	hpyi:K750_02445
ko:K02935	hpyi:K750_02450
ko:K02950	hpyi:K750_02460
ko:K02992	hpyi:K750_02465
ko:K02355	hpyi:K750_02470
ko:K01892	hpyi:K750_02490
ko:K00133	hpyi:K750_02495
ko:K08159	hpyi:K750_02510
ko:K01839	hpyi:K750_02540
ko:K06901	hpyi:K750_02560
ko:K02029	hpyi:K750_02585
ko:K02029	hpyi:K750_02590
ko:K06200	hpyi:K750_02595
ko:K01810	hpyi:K750_02610
ko:K00384	hpyi:K750_02620
ko:K03839	hpyi:K750_02635
ko:K07042	hpyi:K750_02640
ko:K04095	hpyi:K750_02645
ko:K02563	hpyi:K750_02665
ko:K01873	hpyi:K750_02675
ko:K03106	hpyi:K750_02680
ko:K02959	hpyi:K750_02685
ko:K06960	hpyi:K750_02690
ko:K02860	hpyi:K750_02695
ko:K02527	hpyi:K750_06585
ko:K07164	hpyi:K750_06590
ko:K01878	hpyi:K750_06600
ko:K15726	hpyi:K750_06645
ko:K01879	hpyi:K750_06660
ko:K15633	hpyi:K750_06670
ko:K02435	hpyi:K750_06675
ko:K00833	hpyi:K750_06685
ko:K03770	hpyi:K750_06690
ko:K03590	hpyi:K750_06695
ko:K03531	hpyi:K750_06700
ko:K15257	hpyi:K750_06760
ko:K01772	hpyi:K750_06765
ko:K01874	hpyi:K750_06770
ko:K00574	hpyi:K750_06775
ko:K16052	hpyi:K750_06780
ko:K15846	hpyi:K750_06790
ko:K01951	hpyi:K750_06800
ko:K02503	hpyi:K750_06825
ko:K01889	hpyi:K750_06830
ko:K01870	hpyi:K750_01355
ko:K02412	hpyi:K750_01365
ko:K02420	hpyi:K750_01370
ko:K00075	hpyi:K750_01375
ko:K00791	hpyi:K750_01395
ko:K09710	hpyi:K750_01400
ko:K09457	hpyi:K750_01405
ko:K07058	hpyi:K750_01475
ko:K01012	hpyi:K750_01480
ko:K01173	hpyi:K750_01500
ko:K01338	hpyi:K750_01515
ko:K05807	hpyi:K750_01520
ko:K13626	hpyi:K750_01530
ko:K02372	hpyi:K750_01535
ko:K00677	hpyi:K750_01540
ko:K03544	hpyi:K750_01545
ko:K03569	hpyi:K750_01550
ko:K03570	hpyi:K750_01555
ko:K01613	hpyi:K750_01625
ko:K03620	hpyi:K750_05465
ko:K06920	hpyi:K750_05495
ko:K02221	hpyi:K750_05530
ko:K08309	hpyi:K750_05535
ko:K00963	hpyi:K750_05540
ko:K01744	hpyi:K750_05560
ko:K01079	hpyi:K750_05575
ko:K02217	hpyi:K750_05580
ko:K07277	hpyi:K750_05590
ko:K02434	hpyi:K750_05605
ko:K03685	hpyi:K750_05625
ko:K01736	hpyi:K750_05630
ko:K11473	hpyi:K750_05645
ko:K00812	hpyi:K750_05660
ko:K07090	hpyi:K750_05680
ko:K01867	hpyi:K750_02175
ko:K13893	hpyi:K750_02180
ko:K13894	hpyi:K750_02185
ko:K00554	hpyi:K750_02700
ko:K02884	hpyi:K750_02705
ko:K00604	hpyi:K750_02740
ko:K03524	hpyi:K750_02745
ko:K02109	hpyi:K750_02760
ko:K02109	hpyi:K750_02765
ko:K02113	hpyi:K750_02770
ko:K02111	hpyi:K750_02775
ko:K02115	hpyi:K750_02780
ko:K02112	hpyi:K750_02785
ko:K02114	hpyi:K750_02790
ko:K06180	hpyi:K750_03285
ko:K07462	hpyi:K750_03290
ko:K01937	hpyi:K750_03295
ko:K02409	hpyi:K750_03305
ko:K02410	hpyi:K750_03310
ko:K02411	hpyi:K750_03315
ko:K03596	hpyi:K750_03325
ko:K02392	hpyi:K750_03350
ko:K03466	hpyi:K750_03360
ko:K00014	hpyi:K750_02195
ko:K12573	hpyi:K750_02200
ko:K02340	hpyi:K750_02205
ko:K02990	hpyi:K750_02210
ko:K02963	hpyi:K750_02220
ko:K09794	hpyi:K750_02235
ko:K01872	hpyi:K750_02240
ko:K06287	hpyi:K750_02245
ko:K01956	hpyi:K750_02270
ko:K09804	hpyi:K750_02275
ko:K00796	hpyi:K750_02295
ko:K02341	hpyi:K750_02300
ko:K00928	hpyi:K750_02310
ko:K08311	hpyi:K750_02315
ko:K06199	hpyi:K750_02330
ko:K00806	hpyi:K750_02350
ko:K01945	hpyi:K750_02360
ko:K04744	hpyi:K750_02370
ko:K00962	hpyi:K750_02380
ko:K02110	hpyi:K750_02385
ko:K00640	hpyi:K750_02390
ko:K02358	hpyi:K750_02415
ko:K02913	hpyi:K750_02420
ko:K03073	hpyi:K750_02425
ko:K03752	hpyi:K750_06355
ko:K02401	hpyi:K750_06360
ko:K01448	hpyi:K750_06370
ko:K00459	hpyi:K750_06375
ko:K01866	hpyi:K750_06380
ko:K03060	hpyi:K750_06390
ko:K09903	hpyi:K750_06395
ko:K01682	hpyi:K750_06405
ko:K03634	hpyi:K750_06440
ko:K03070	hpyi:K750_06445
ko:K10009	hpyi:K750_06490
ko:K02424	hpyi:K750_06495
ko:K01775	hpyi:K750_06500
ko:K03310	hpyi:K750_06505
ko:K00285	hpyi:K750_06510
ko:K00783	hpyi:K750_06545
ko:K01963	hpyi:K750_06550
ko:K13292	hpyi:K750_06575
ko:K03641	hpyi:K750_02810
ko:K03640	hpyi:K750_02815
ko:K03775	hpyi:K750_02825
ko:K02396	hpyi:K750_02850
ko:K03695	hpyi:K750_02890
ko:K01465	hpyi:K750_02900
ko:K06168	hpyi:K750_02915
ko:K09778	hpyi:K750_02920
ko:K06940	hpyi:K750_02940
ko:K01609	hpyi:K750_02950
ko:K02841	hpyi:K750_02970
ko:K02517	hpyi:K750_02975
ko:K00773	hpyi:K750_02980
ko:K09944	hpyi:K750_02985
ko:K01890	hpyi:K750_06835
ko:K00800	hpyi:K750_06840
ko:K03527	hpyi:K750_06845
ko:K02945	hpyi:K750_06850
ko:K03182	hpyi:K750_06865
ko:K06997	hpyi:K750_06870
ko:K03269	hpyi:K750_06875
ko:K03415	hpyi:K750_06880
ko:K03407	hpyi:K750_06885
ko:K03408	hpyi:K750_06890
ko:K11065	hpyi:K750_06895
ko:K04564	hpyi:K750_06900
ko:K15256	hpyi:K750_06905
ko:K04066	hpyi:K750_06910
ko:K02493	hpyi:K750_06940
ko:K00262	hpyi:K750_06945
ko:K01772	hpyi:K750_06965
ko:K09761	hpyi:K750_06975
ko:K01494	hpyi:K750_06990
ko:K02160	hpyi:K750_06995
ko:K01961	hpyi:K750_07000
ko:K15895	hpyi:K750_07040
ko:K00573	hpyi:K750_07055
ko:K07091	hpyi:K750_07060
ko:K06173	hpyi:K750_07065
ko:K01625	hpyi:K750_07090
ko:K01690	hpyi:K750_07095
ko:K00036	hpyi:K750_07100
ko:K01057	hpyi:K750_07105
ko:K00615	hpyi:K750_03370
ko:K11753	hpyi:K750_03375
ko:K06442	hpyi:K750_03380
ko:K00609	hpyi:K750_03390
ko:K07241	hpyi:K750_03425
ko:K17103	hpyi:K750_03450
ko:K03798	hpyi:K750_03460
ko:K02687	hpyi:K750_03465
ko:K03413	hpyi:K750_03470
ko:K06950	hpyi:K750_03485
ko:K03501	hpyi:K750_03490
ko:K07568	hpyi:K750_03495
ko:K03118	hpyi:K750_03500
ko:K03117	hpyi:K750_03505
ko:K03551	hpyi:K750_03510
ko:K00606	hpyi:K750_03515
ko:K12267	hpyi:K750_07385
ko:K13819	hpyi:K750_07405
ko:K04487	hpyi:K750_07410
ko:K00099	hpyi:K750_07435
ko:K00981	hpyi:K750_07440
ko:K14445	hpyi:K750_07445
ko:K03495	hpyi:K750_07450
ko:K04079	hpyi:K750_07470
ko:K00648	hpyi:K750_07545
ko:K03621	hpyi:K750_07550
ko:K02911	hpyi:K750_07555
ko:K00940	hpyi:K750_07565
ko:K00789	hpyi:K750_07570
ko:K02536	hpyi:K750_07575
ko:K00208	hpyi:K750_07580
ko:K01803	hpyi:K750_07585
ko:K00246	hpyi:K750_07590
ko:K00600	hpyi:K750_07625
ko:K04567	hpyi:K750_07630
ko:K03558	hpyi:K750_07635
ko:K03820	hpyi:K750_07640
ko:K02003	hpyi:K750_07645
ko:K02356	hpyi:K750_07655
ko:K01624	hpyi:K750_07660
ko:K01058	hpyi:K750_03985
ko:K02338	hpyi:K750_03990
ko:K02470	hpyi:K750_03995
ko:K00215	hpyi:K750_04035
ko:K12110	hpyi:K750_04045
ko:K12109	hpyi:K750_04050
ko:K12108	hpyi:K750_04055
ko:K12107	hpyi:K750_04060
ko:K12105	hpyi:K750_04070
ko:K12104	hpyi:K750_04075
ko:K01735	hpyi:K750_02990
ko:K01586	hpyi:K750_03025
ko:K01163	hpyi:K750_03035
ko:K02397	hpyi:K750_03050
ko:K02888	hpyi:K750_03055
ko:K02899	hpyi:K750_03060
ko:K12369	hpyi:K750_03070
ko:K12370	hpyi:K750_03075
ko:K12372	hpyi:K750_03085
ko:K03979	hpyi:K750_03090
ko:K01845	hpyi:K750_03105
ko:K07226	hpyi:K750_03170
ko:K01887	hpyi:K750_03175
ko:K03116	hpyi:K750_03180
ko:K00942	hpyi:K750_03185
ko:K02393	hpyi:K750_03210
ko:K00912	hpyi:K750_03230
ko:K03609	hpyi:K750_03245
ko:K03608	hpyi:K750_03250
ko:K04096	hpyi:K750_03255
ko:K07447	hpyi:K750_03260
ko:K13979	hpyi:K750_07115
ko:K00172	hpyi:K750_07140
ko:K00171	hpyi:K750_07145
ko:K00169	hpyi:K750_07150
ko:K00170	hpyi:K750_07155
ko:K01756	hpyi:K750_07160
ko:K03702	hpyi:K750_07170
ko:K03601	hpyi:K750_07200
ko:K11749	hpyi:K750_07205
ko:K01939	hpyi:K750_07220
ko:K13895	hpyi:K750_07240
ko:K05592	hpyi:K750_07265
ko:K02394	hpyi:K750_07270
ko:K07710	hpyi:K750_07280
ko:K04047	hpyi:K750_07285
ko:K02523	hpyi:K750_07300
ko:K02492	hpyi:K750_07305
ko:K01881	hpyi:K750_07310
ko:K01749	hpyi:K750_07315
ko:K03981	hpyi:K750_07345
ko:K00979	hpyi:K750_07350
ko:K03321	hpyi:K750_07360
ko:K07090	hpyi:K750_07375
ko:K03610	hpyi:K750_03540
ko:K02535	hpyi:K750_03545
ko:K00872	hpyi:K750_03555
ko:K02519	hpyi:K750_03565
ko:K02834	hpyi:K750_03570
ko:K09748	hpyi:K750_03575
ko:K01895	hpyi:K750_03580
ko:K02400	hpyi:K750_03600
ko:K02956	hpyi:K750_03605
ko:K03786	hpyi:K750_03615
ko:K02404	hpyi:K750_03630
ko:K04562	hpyi:K750_03635
ko:K02405	hpyi:K750_03645
ko:K02416	hpyi:K750_03650
ko:K02417	hpyi:K750_03655
ko:K07478	hpyi:K750_03675
ko:K05516	hpyi:K750_03685
ko:K12506	hpyi:K750_03710
ko:K00995	hpyi:K750_03725
ko:K01714	hpyi:K750_03745
ko:K00937	hpyi:K750_03760
ko:K01154	hpyi:K750_03765
ko:K03427	hpyi:K750_03770
ko:K02421	hpyi:K750_07680
ko:K03750	hpyi:K750_07685
ko:K02836	hpyi:K750_07690
ko:K08303	hpyi:K750_07700
ko:K01698	hpyi:K750_07725
ko:K00891	hpyi:K750_07760
ko:K01689	hpyi:K750_07775
ko:K00406	hpyi:K750_07815
ko:K00407	hpyi:K750_07820
ko:K00405	hpyi:K750_07825
ko:K00404	hpyi:K750_07830
ko:K03575	hpyi:K750_07840
ko:K03303	hpyi:K750_07845
ko:K03303	hpyi:K750_07850
ko:K00782	hpyi:K750_07865
ko:K03564	hpyi:K750_07870
ko:K01626	hpyi:K750_07885
ko:K03837	hpyi:K750_07890
ko:K01752	hpyi:K750_07895
ko:K02887	hpyi:K750_07915
ko:K02916	hpyi:K750_07920
ko:K02520	hpyi:K750_07925
ko:K01868	hpyi:K750_07930
ko:K14221	hpyi:K750_t08438
ko:K14237	hpyi:K750_t08436
ko:K14224	hpyi:K750_t08434
ko:K14222	hpyi:K750_t08478
ko:K09747	hpyi:K750_00010
ko:K03694	hpyi:K750_00020
ko:K06891	hpyi:K750_00025
ko:K08602	hpyi:K750_03815
ko:K02020	hpyi:K750_03830
ko:K02018	hpyi:K750_03835
ko:K06207	hpyi:K750_03865
ko:K03781	hpyi:K750_03890
ko:K10716	hpyi:K750_03940
ko:K02902	hpyi:K750_03945
ko:K15846	hpyi:K750_03950
ko:K01000	hpyi:K750_03955
ko:K01925	hpyi:K750_03960
ko:K07107	hpyi:K750_03970
ko:K03308	hpyi:K750_03975
ko:K03308	hpyi:K750_03980
ko:K03272	hpyi:K750_04665
ko:K03271	hpyi:K750_04670
ko:K00364	hpyi:K750_04675
ko:K03427	hpyi:K750_04700
ko:K01153	hpyi:K750_04710
ko:K00878	hpyi:K750_04715
ko:K00941	hpyi:K750_04720
ko:K00788	hpyi:K750_04725
ko:K13038	hpyi:K750_04735
ko:K15894	hpyi:K750_04740
ko:K09860	hpyi:K750_04755
ko:K03977	hpyi:K750_04765
ko:K00797	hpyi:K750_04775
ko:K00859	hpyi:K750_04780
ko:K02108	hpyi:K750_04795
ko:K07270	hpyi:K750_04805
ko:K00384	hpyi:K750_04810
ko:K03671	hpyi:K750_04815
ko:K07460	hpyi:K750_04820
ko:K00003	hpyi:K750_04825
ko:K03703	hpyi:K750_04830
ko:K05847	hpyi:K750_04845
ko:K02557	hpyi:K750_04860
ko:K02556	hpyi:K750_04865
ko:K02415	hpyi:K750_04895
ko:K00997	hpyi:K750_04900
ko:K16091	hpyi:K750_04905
ko:K07043	hpyi:K750_04910
ko:K07270	hpyi:K750_04915
ko:K14652	hpyi:K750_04920
ko:K01918	hpyi:K750_00145
ko:K01591	hpyi:K750_00150
ko:K01673	hpyi:K750_00155
ko:K01627	hpyi:K750_00160
ko:K00794	hpyi:K750_00165
ko:K03625	hpyi:K750_00170
ko:K02392	hpyi:K750_00205
ko:K00097	hpyi:K750_00215
ko:K03474	hpyi:K750_00220
ko:K02072	hpyi:K750_00240
ko:K04061	hpyi:K750_00250
ko:K00793	hpyi:K750_00255
ko:K03424	hpyi:K750_00260
ko:K08307	hpyi:K750_00265
ko:K03642	hpyi:K750_00270
ko:K03270	hpyi:K750_00275
ko:K09774	hpyi:K750_00285
ko:K16091	hpyi:K750_00535
ko:K03168	hpyi:K750_00605
ko:K01476	hpyi:K750_00530
ko:K01042	hpyi:K750_01065
ko:K02600	hpyi:K750_01070
ko:K03655	hpyi:K750_01115
ko:K01142	hpyi:K750_01130
ko:K03312	hpyi:K750_01020
ko:K08591	hpyi:K750_01035
ko:K01633	hpyi:K750_01040
ko:K02313	hpyi:K750_01145
ko:K00820	hpyi:K750_01160
ko:K03650	hpyi:K750_01195
ko:K03217	hpyi:K750_01205
ko:K03536	hpyi:K750_01215
ko:K03561	hpyi:K750_01230
ko:K03664	hpyi:K750_01235
ko:K00919	hpyi:K750_01240
ko:K01579	hpyi:K750_00015
ko:K01935	hpyi:K750_00040
ko:K00031	hpyi:K750_00050
ko:K01647	hpyi:K750_00055
ko:K03760	hpyi:K750_00070
ko:K12977	hpyi:K750_00075
ko:K13747	hpyi:K750_00080
ko:K03415	hpyi:K750_00085
ko:K09859	hpyi:K750_00090
ko:K00566	hpyi:K750_00120
ko:K04078	hpyi:K750_00130
ko:K04077	hpyi:K750_00135
ko:K15845	hpyi:K750_00140
ko:K12048	hpyi:K750_00675
ko:K01154	hpyi:K750_00730
ko:K07337	hpyi:K750_00750
ko:K06178	hpyi:K750_00760
ko:K00428	hpyi:K750_00775
ko:K02065	hpyi:K750_00800
ko:K02066	hpyi:K750_00805
ko:K00826	hpyi:K750_00815
ko:K00954	hpyi:K750_00850
ko:K02386	hpyi:K750_00870
ko:K03657	hpyi:K750_00875
ko:K01875	hpyi:K750_00885
ko:K03602	hpyi:K750_00895
ko:K03183	hpyi:K750_00900
ko:K08973	hpyi:K750_00905
ko:K01993	hpyi:K750_00925
ko:K03306	hpyi:K750_00940
ko:K01928	hpyi:K750_00955
ko:K02897	hpyi:K750_00965
ko:K01056	hpyi:K750_00970
ko:K11720	hpyi:K750_00975
ko:K09943	hpyi:K750_01000
ko:K11752	hpyi:K750_01015
ko:K00943	hpyi:K750_00845
ko:K05515	hpyi:K750_00300
ko:K02073	hpyi:K750_00305
ko:K02016	hpyi:K750_00315
ko:K02016	hpyi:K750_00320
ko:K03588	hpyi:K750_00325
ko:K02387	hpyi:K750_00330
ko:K02388	hpyi:K750_00335
ko:K02408	hpyi:K750_00340
ko:K03587	hpyi:K750_00345
ko:K00413	hpyi:K750_00360
ko:K00412	hpyi:K750_00365
ko:K00411	hpyi:K750_00370
ko:K03723	hpyi:K750_00375
ko:K03978	hpyi:K750_00290
ko:K01869	hpyi:K750_00405
ko:K03074	hpyi:K750_00415
ko:K03072	hpyi:K750_00420
ko:K03210	hpyi:K750_00430
ko:K03313	hpyi:K750_00435
ko:K02967	hpyi:K750_00445
ko:K02357	hpyi:K750_00450
ko:K03841	hpyi:K750_00470
ko:K01783	hpyi:K750_00475
ko:K11754	hpyi:K750_00395
ko:K03631	hpyi:K750_00505
ko:K00858	hpyi:K750_00510
ko:K00259	hpyi:K750_00525
ko:K04773	hpyi:K750_01280
ko:K01433	hpyi:K750_01285
ko:K01154	hpyi:K750_01290
ko:K03563	hpyi:K750_01245
ko:K14220	hpyi:K750_t08498
ko:K14218	hpyi:K750_t08496
ko:K14219	hpyi:K750_t08460
ko:K14233	hpyi:K750_t08462
ko:K14232	hpyi:K750_t08464
ko:K14219	hpyi:K750_t08470
ko:K14230	hpyi:K750_t08472
ko:K14230	hpyi:K750_t08468
ko:K14223	hpyi:K750_t08466
ko:K14225	hpyi:K750_t08474
ko:K14228	hpyi:K750_t08476
ko:K14233	hpyi:K750_t08480
ko:K14219	hpyi:K750_t08482
ko:K14219	hpyi:K750_t08484
ko:K14226	hpyi:K750_t08486
ko:K14232	hpyi:K750_t08488
ko:K14228	hpyi:K750_t08490
ko:K14227	hpyi:K750_t08492
ko:K14218	hpyi:K750_t08494
ko:K14230	hpyi:K750_t08458
ko:K14235	hpyi:K750_t08456
ko:K14234	hpyi:K750_t08454
ko:K14225	hpyi:K750_t08452
ko:K14236	hpyi:K750_t08450
ko:K14234	hpyi:K750_t08448
ko:K14231	hpyi:K750_t08442
ko:K14224	hpyi:K750_t08440
ko:K14229	hpyi:K750_t08432
ko:K14228	hpyi:K750_t08446
ko:K07316	hpyi:K750_01110
ko:K01985	hpyi:K750_r08504
ko:K01985	hpyi:K750_r08506
ko:K01990	hpyi:K750_02355
ko:K03559	hpyi:K750_01225
ko:K02484	hpyi:K750_01580
ko:K02484	hpyi:K750_07720
ko:K02847	hpyi:K750_03610
ko:K14228	hpyi:K750_t08444
ko:K01992	hpyi:K750_00920
ko:K12087	hpyi:K750_04175
ko:K12053	hpyi:K750_00095
ko:K01980	hpyi:K750_r08512
ko:K13797	hpyi:K750_02455
ko:K02843	hpyi:K750_02485
ko:K01674	hpyi:K750_02505
ko:K03317	hpyi:K750_02535
ko:K03784	hpyi:K750_02545
ko:K02030	hpyi:K750_02575
ko:K02028	hpyi:K750_02580
ko:K03442	hpyi:K750_06710
ko:K01585	hpyi:K750_06745
ko:K07126	hpyi:K750_02865
ko:K06196	hpyi:K750_02895
ko:K00058	hpyi:K750_06860
ko:K06013	hpyi:K750_06935
ko:K01784	hpyi:K750_07070
ko:K07126	hpyi:K750_07085
ko:K00845	hpyi:K750_07110
ko:K04093	hpyi:K750_03030
ko:K03342	hpyi:K750_03040
ko:K01426	hpyi:K750_03045
ko:K15896	hpyi:K750_03225
ko:K01916	hpyi:K750_03235
ko:K07126	hpyi:K750_07325
ko:K11085	hpyi:K750_03400
