ko:K02495	senr:STMDT2_38651
ko:K02680	senr:STMDT2_28981
ko:K02679	senr:STMDT2_28991
ko:K05845	senr:STMDT2_21401
ko:K05349	senr:STMDT2_21411
ko:K03777	senr:STMDT2_21421
ko:K07262	senr:STMDT2_21461
ko:K05541	senr:STMDT2_21511
ko:K16165	senr:STMDT2_21541
ko:K00450	senr:STMDT2_21551
ko:K08195	senr:STMDT2_21561
ko:K01489	senr:STMDT2_21601
ko:K03748	senr:STMDT2_21611
ko:K10541	senr:STMDT2_21651
ko:K10542	senr:STMDT2_21661
ko:K10540	senr:STMDT2_21671
ko:K00275	senr:STMDT2_13781
ko:K02529	senr:STMDT2_21681
ko:K07148	senr:STMDT2_21691
ko:K01495	senr:STMDT2_21701
ko:K01070	senr:STMDT2_21711
ko:K01752	senr:STMDT2_21731
ko:K07783	senr:STMDT2_21751
ko:K16089	senr:STMDT2_21761
ko:K11733	senr:STMDT2_21771
ko:K01151	senr:STMDT2_21801
ko:K02769	senr:STMDT2_21811
ko:K02770	senr:STMDT2_21811
ko:K00882	senr:STMDT2_21821
ko:K02768	senr:STMDT2_21831
ko:K11183	senr:STMDT2_21831
ko:K03291	senr:STMDT2_21841
ko:K06940	senr:STMDT2_21871
ko:K02356	senr:STMDT2_21881
ko:K13694	senr:STMDT2_21911
ko:K13893	senr:STMDT2_21931
ko:K03981	senr:STMDT2_29391
ko:K04763	senr:STMDT2_29401
ko:K03840	senr:STMDT2_29411
ko:K09159	senr:STMDT2_29431
ko:K06980	senr:STMDT2_29441
ko:K11068	senr:STMDT2_29451
ko:K09900	senr:STMDT2_29461
ko:K01223	senr:STMDT2_29471
ko:K00281	senr:STMDT2_29491
ko:K02437	senr:STMDT2_29501
ko:K00605	senr:STMDT2_29511
ko:K03185	senr:STMDT2_29531
ko:K01262	senr:STMDT2_29541
ko:K09895	senr:STMDT2_29551
ko:K09888	senr:STMDT2_29561
ko:K01934	senr:STMDT2_29571
ko:K00058	senr:STMDT2_29581
ko:K01807	senr:STMDT2_29591
ko:K05596	senr:STMDT2_29601
ko:K09807	senr:STMDT2_29611
ko:K06895	senr:STMDT2_29621
ko:K03442	senr:STMDT2_29631
ko:K01624	senr:STMDT2_29641
ko:K00927	senr:STMDT2_29651
ko:K03472	senr:STMDT2_29661
ko:K06934	senr:STMDT2_29671
ko:K16923	senr:STMDT2_29681
ko:K16785	senr:STMDT2_29691
ko:K16786	senr:STMDT2_29701
ko:K16787	senr:STMDT2_29711
ko:K00615	senr:STMDT2_29721
ko:K07387	senr:STMDT2_29731
ko:K01480	senr:STMDT2_29741
ko:K01585	senr:STMDT2_29821
ko:K00789	senr:STMDT2_29851
ko:K08137	senr:STMDT2_29861
ko:K02742	senr:STMDT2_29871
ko:K01150	senr:STMDT2_29881
ko:K09761	senr:STMDT2_29891
ko:K01920	senr:STMDT2_29901
ko:K03655	senr:STMDT2_36301
ko:K00556	senr:STMDT2_36291
ko:K03312	senr:STMDT2_36321
ko:K16345	senr:STMDT2_36331
ko:K01811	senr:STMDT2_36351
ko:K12678	senr:STMDT2_36411
ko:K01531	senr:STMDT2_36461
ko:K07507	senr:STMDT2_36471
ko:K17463	senr:STMDT2_36501
ko:K17468	senr:STMDT2_36511
ko:K17467	senr:STMDT2_36521
ko:K17466	senr:STMDT2_36531
ko:K17465	senr:STMDT2_36541
ko:K03324	senr:STMDT2_40381
ko:K05995	senr:STMDT2_40391
ko:K00548	senr:STMDT2_40371
ko:K09912	senr:STMDT2_40411
ko:K06182	senr:STMDT2_40421
ko:K03453	senr:STMDT2_40441
ko:K09477	senr:STMDT2_06091
ko:K05966	senr:STMDT2_06101
ko:K05964	senr:STMDT2_06111
ko:K01643	senr:STMDT2_06121
ko:K01644	senr:STMDT2_06131
ko:K01646	senr:STMDT2_06141
ko:K01866	senr:STMDT2_13791
ko:K00868	senr:STMDT2_13801
ko:K00799	senr:STMDT2_13811
ko:K03305	senr:STMDT2_13821
ko:K10773	senr:STMDT2_13831
ko:K03613	senr:STMDT2_13841
ko:K03612	senr:STMDT2_13851
ko:K03614	senr:STMDT2_13861
ko:K03615	senr:STMDT2_13871
ko:K03616	senr:STMDT2_13881
ko:K03617	senr:STMDT2_13891
ko:K01488	senr:STMDT2_13931
ko:K01809	senr:STMDT2_13951
ko:K01676	senr:STMDT2_13961
ko:K01679	senr:STMDT2_13971
ko:K07639	senr:STMDT2_13991
ko:K14062	senr:STMDT2_14011
ko:K07661	senr:STMDT2_14021
ko:K03758	senr:STMDT2_14041
ko:K00324	senr:STMDT2_14061
ko:K00325	senr:STMDT2_14071
ko:K11744	senr:STMDT2_14081
ko:K11743	senr:STMDT2_14091
ko:K11742	senr:STMDT2_14101
ko:K04775	senr:STMDT2_14111
ko:K08224	senr:STMDT2_14131
ko:K15545	senr:STMDT2_14151
ko:K01935	senr:STMDT2_14161
ko:K03281	senr:STMDT2_14171
ko:K05847	senr:STMDT2_14181
ko:K05846	senr:STMDT2_14191
ko:K05845	senr:STMDT2_14201
ko:K05846	senr:STMDT2_14211
ko:K07312	senr:STMDT2_14231
ko:K07310	senr:STMDT2_14251
ko:K07309	senr:STMDT2_14261
ko:K13894	senr:STMDT2_21941
ko:K13895	senr:STMDT2_21951
ko:K13896	senr:STMDT2_21961
ko:K07552	senr:STMDT2_21981
ko:K06183	senr:STMDT2_21991
ko:K02897	senr:STMDT2_22011
ko:K06899	senr:STMDT2_22031
ko:K09904	senr:STMDT2_22041
ko:K07014	senr:STMDT2_22051
ko:K07685	senr:STMDT2_22221
ko:K02200	senr:STMDT2_22231
ko:K02193	senr:STMDT2_22241
ko:K02569	senr:STMDT2_22251
ko:K02568	senr:STMDT2_22261
ko:K02574	senr:STMDT2_22271
ko:K02573	senr:STMDT2_22281
ko:K02567	senr:STMDT2_22291
ko:K02570	senr:STMDT2_22301
ko:K02572	senr:STMDT2_22311
ko:K08276	senr:STMDT2_22321
ko:K06159	senr:STMDT2_22331
ko:K03919	senr:STMDT2_22341
ko:K10778	senr:STMDT2_22351
ko:K03734	senr:STMDT2_22361
ko:K09475	senr:STMDT2_22371
ko:K07676	senr:STMDT2_22381
ko:K07687	senr:STMDT2_22391
ko:K07677	senr:STMDT2_22401
ko:K02469	senr:STMDT2_22411
ko:K07735	senr:STMDT2_29911
ko:K07447	senr:STMDT2_29921
ko:K02669	senr:STMDT2_29941
ko:K06997	senr:STMDT2_29951
ko:K02221	senr:STMDT2_29961
ko:K09131	senr:STMDT2_29971
ko:K02428	senr:STMDT2_29981
ko:K01424	senr:STMDT2_30011
ko:K09923	senr:STMDT2_30031
ko:K03439	senr:STMDT2_30041
ko:K03575	senr:STMDT2_30051
ko:K08306	senr:STMDT2_30071
ko:K03289	senr:STMDT2_30081
ko:K01581	senr:STMDT2_30091
ko:K07150	senr:STMDT2_30101
ko:K06871	senr:STMDT2_30171
ko:K06995	senr:STMDT2_30211
ko:K09471	senr:STMDT2_30221
ko:K11903	senr:STMDT2_30251
ko:K08191	senr:STMDT2_30281
ko:K01686	senr:STMDT2_30291
ko:K00040	senr:STMDT2_30301
ko:K01812	senr:STMDT2_30311
ko:K01460	senr:STMDT2_30331
ko:K11209	senr:STMDT2_30341
ko:K02020	senr:STMDT2_30351
ko:K02016	senr:STMDT2_30361
ko:K04653	senr:STMDT2_30371
ko:K04651	senr:STMDT2_30381
ko:K06281	senr:STMDT2_30411
ko:K17464	senr:STMDT2_36551
ko:K17473	senr:STMDT2_36561
ko:K01223	senr:STMDT2_36581
ko:K07726	senr:STMDT2_36621
ko:K11189	senr:STMDT2_36631
ko:K02775	senr:STMDT2_36661
ko:K02774	senr:STMDT2_36671
ko:K02773	senr:STMDT2_36681
ko:K07784	senr:STMDT2_36711
ko:K07783	senr:STMDT2_36721
ko:K07675	senr:STMDT2_36731
ko:K02429	senr:STMDT2_36761
ko:K00852	senr:STMDT2_36771
ko:K11534	senr:STMDT2_36781
ko:K01653	senr:STMDT2_36791
ko:K01652	senr:STMDT2_36801
ko:K00928	senr:STMDT2_40701
ko:K01810	senr:STMDT2_40711
ko:K13256	senr:STMDT2_40761
ko:K10110	senr:STMDT2_40771
ko:K10109	senr:STMDT2_40781
ko:K10108	senr:STMDT2_40801
ko:K10111	senr:STMDT2_40811
ko:K02024	senr:STMDT2_40821
ko:K05775	senr:STMDT2_40831
ko:K03181	senr:STMDT2_40841
ko:K03179	senr:STMDT2_40851
ko:K00631	senr:STMDT2_40861
ko:K00901	senr:STMDT2_40871
ko:K01356	senr:STMDT2_40881
ko:K03327	senr:STMDT2_40891
ko:K09823	senr:STMDT2_40911
ko:K01169	senr:STMDT2_06081
ko:K01910	senr:STMDT2_06151
ko:K07702	senr:STMDT2_06171
ko:K03326	senr:STMDT2_06181
ko:K12973	senr:STMDT2_06191
ko:K03704	senr:STMDT2_06201
ko:K06199	senr:STMDT2_06211
ko:K03425	senr:STMDT2_06231
ko:K03644	senr:STMDT2_06241
ko:K03801	senr:STMDT2_06261
ko:K09158	senr:STMDT2_06271
ko:K07258	senr:STMDT2_06281
ko:K03642	senr:STMDT2_06291
ko:K05837	senr:STMDT2_06301
ko:K05515	senr:STMDT2_06311
ko:K00783	senr:STMDT2_06321
ko:K09710	senr:STMDT2_06331
ko:K04720	senr:STMDT2_06351
ko:K00969	senr:STMDT2_06361
ko:K02340	senr:STMDT2_06371
ko:K03643	senr:STMDT2_06381
ko:K01869	senr:STMDT2_06391
ko:K16849	senr:STMDT2_06401
ko:K16850	senr:STMDT2_06411
ko:K07126	senr:STMDT2_06451
ko:K04045	senr:STMDT2_06501
ko:K01250	senr:STMDT2_06521
ko:K07738	senr:STMDT2_04111
ko:K11752	senr:STMDT2_04121
ko:K00794	senr:STMDT2_04131
ko:K03625	senr:STMDT2_04141
ko:K00946	senr:STMDT2_04151
ko:K01095	senr:STMDT2_04161
ko:K01662	senr:STMDT2_04181
ko:K00795	senr:STMDT2_04191
ko:K03602	senr:STMDT2_04201
ko:K03151	senr:STMDT2_04211
ko:K11082	senr:STMDT2_04221
ko:K11083	senr:STMDT2_04231
ko:K11084	senr:STMDT2_04241
ko:K11081	senr:STMDT2_04251
ko:K03430	senr:STMDT2_04271
ko:K05306	senr:STMDT2_04281
ko:K03152	senr:STMDT2_04291
ko:K00077	senr:STMDT2_04301
ko:K09767	senr:STMDT2_04311
ko:K02300	senr:STMDT2_04371
ko:K02299	senr:STMDT2_04381
ko:K02298	senr:STMDT2_04391
ko:K02297	senr:STMDT2_04401
ko:K08218	senr:STMDT2_04411
ko:K07286	senr:STMDT2_04421
ko:K05527	senr:STMDT2_04431
ko:K03545	senr:STMDT2_04441
ko:K01358	senr:STMDT2_04451
ko:K03544	senr:STMDT2_04461
ko:K01338	senr:STMDT2_04471
ko:K03530	senr:STMDT2_04481
ko:K03770	senr:STMDT2_04491
ko:K02237	senr:STMDT2_04501
ko:K12500	senr:STMDT2_04511
ko:K06920	senr:STMDT2_04521
ko:K05800	senr:STMDT2_04561
ko:K04752	senr:STMDT2_04591
ko:K03320	senr:STMDT2_04601
ko:K01424	senr:STMDT2_12271
ko:K04773	senr:STMDT2_12281
ko:K01008	senr:STMDT2_12301
ko:K00262	senr:STMDT2_12321
ko:K08320	senr:STMDT2_12341
ko:K01142	senr:STMDT2_12351
ko:K00840	senr:STMDT2_12361
ko:K00673	senr:STMDT2_12371
ko:K06447	senr:STMDT2_12381
ko:K01484	senr:STMDT2_12391
ko:K05526	senr:STMDT2_12401
ko:K05984	senr:STMDT2_12421
ko:K01916	senr:STMDT2_12431
ko:K04064	senr:STMDT2_12441
ko:K02760	senr:STMDT2_12451
ko:K02761	senr:STMDT2_12461
ko:K02759	senr:STMDT2_12471
ko:K03490	senr:STMDT2_12481
ko:K01222	senr:STMDT2_12491
ko:K03478	senr:STMDT2_12501
ko:K03781	senr:STMDT2_12511
ko:K15722	senr:STMDT2_12521
ko:K06956	senr:STMDT2_12531
ko:K07038	senr:STMDT2_12541
ko:K16370	senr:STMDT2_12591
ko:K07283	senr:STMDT2_12601
ko:K09953	senr:STMDT2_12611
ko:K01173	senr:STMDT2_12631
ko:K01868	senr:STMDT2_12661
ko:K02520	senr:STMDT2_12671
ko:K02916	senr:STMDT2_12681
ko:K02887	senr:STMDT2_12691
ko:K01889	senr:STMDT2_12701
ko:K01890	senr:STMDT2_12711
ko:K04764	senr:STMDT2_12721
ko:K06073	senr:STMDT2_12731
ko:K00432	senr:STMDT2_12741
ko:K06074	senr:STMDT2_12751
ko:K08997	senr:STMDT2_12781
ko:K00765	senr:STMDT2_20451
ko:K00013	senr:STMDT2_20461
ko:K00817	senr:STMDT2_20471
ko:K01089	senr:STMDT2_20481
ko:K02501	senr:STMDT2_20491
ko:K01814	senr:STMDT2_20501
ko:K02500	senr:STMDT2_20511
ko:K11755	senr:STMDT2_20521
ko:K05789	senr:STMDT2_20531
ko:K00012	senr:STMDT2_20541
ko:K00033	senr:STMDT2_20551
ko:K12992	senr:STMDT2_20591
ko:K13005	senr:STMDT2_20611
ko:K12452	senr:STMDT2_20641
ko:K01709	senr:STMDT2_20651
ko:K00978	senr:STMDT2_20661
ko:K01790	senr:STMDT2_20681
ko:K00973	senr:STMDT2_20691
ko:K00067	senr:STMDT2_20701
ko:K00963	senr:STMDT2_20721
ko:K16703	senr:STMDT2_20741
ko:K16710	senr:STMDT2_20751
ko:K16695	senr:STMDT2_20761
ko:K03606	senr:STMDT2_20771
ko:K03208	senr:STMDT2_20801
ko:K03207	senr:STMDT2_20811
ko:K02377	senr:STMDT2_20821
ko:K01711	senr:STMDT2_20831
ko:K03818	senr:STMDT2_20841
ko:K13683	senr:STMDT2_20851
ko:K13620	senr:STMDT2_20861
ko:K13684	senr:STMDT2_20871
ko:K03819	senr:STMDT2_20881
ko:K00390	senr:STMDT2_28461
ko:K00381	senr:STMDT2_28471
ko:K00380	senr:STMDT2_28481
ko:K01737	senr:STMDT2_28491
ko:K06897	senr:STMDT2_28501
ko:K10026	senr:STMDT2_28511
ko:K01689	senr:STMDT2_28521
ko:K01937	senr:STMDT2_28531
ko:K04765	senr:STMDT2_28541
ko:K00951	senr:STMDT2_28581
ko:K03215	senr:STMDT2_28591
ko:K07678	senr:STMDT2_28601
ko:K00865	senr:STMDT2_28611
ko:K01706	senr:STMDT2_28621
ko:K13918	senr:STMDT2_28631
ko:K03535	senr:STMDT2_28641
ko:K06175	senr:STMDT2_28661
ko:K15723	senr:STMDT2_28681
ko:K06879	senr:STMDT2_28691
ko:K06966	senr:STMDT2_28701
ko:K01752	senr:STMDT2_28721
ko:K01146	senr:STMDT2_28731
ko:K00048	senr:STMDT2_28741
ko:K01628	senr:STMDT2_28751
ko:K02429	senr:STMDT2_28761
ko:K01818	senr:STMDT2_28771
ko:K02431	senr:STMDT2_28791
ko:K02430	senr:STMDT2_28801
ko:K06968	senr:STMDT2_28811
ko:K01766	senr:STMDT2_28851
ko:K02426	senr:STMDT2_28861
ko:K08304	senr:STMDT2_28891
ko:K03216	senr:STMDT2_35791
ko:K06145	senr:STMDT2_35801
ko:K03535	senr:STMDT2_35821
ko:K00640	senr:STMDT2_35841
ko:K00057	senr:STMDT2_35851
ko:K03071	senr:STMDT2_35861
ko:K15633	senr:STMDT2_35891
ko:K09798	senr:STMDT2_35911
ko:K00060	senr:STMDT2_35941
ko:K00639	senr:STMDT2_35951
ko:K03274	senr:STMDT2_35961
ko:K02843	senr:STMDT2_35971
ko:K02841	senr:STMDT2_35981
ko:K02847	senr:STMDT2_35991
ko:K03280	senr:STMDT2_36001
ko:K12981	senr:STMDT2_36011
ko:K02850	senr:STMDT2_36021
ko:K03279	senr:STMDT2_36031
ko:K16092	senr:STMDT2_39931
ko:K01776	senr:STMDT2_39941
ko:K00075	senr:STMDT2_39951
ko:K03524	senr:STMDT2_39961
ko:K00867	senr:STMDT2_39971
ko:K02358	senr:STMDT2_39991
ko:K03073	senr:STMDT2_40001
ko:K02601	senr:STMDT2_40011
ko:K02867	senr:STMDT2_40021
ko:K02863	senr:STMDT2_40031
ko:K02864	senr:STMDT2_40041
ko:K02935	senr:STMDT2_40051
ko:K03043	senr:STMDT2_40061
ko:K03046	senr:STMDT2_40071
ko:K03784	senr:STMDT2_44141
ko:K08311	senr:STMDT2_29031
ko:K03573	senr:STMDT2_29041
ko:K08227	senr:STMDT2_29081
