ko:K14233	ctrj:SOTONIA3_00896
ko:K06041	ctrj:SOTONIA3_00420
ko:K00658	ctrj:SOTONIA3_00421
ko:K00912	ctrj:SOTONIA3_00423
ko:K03437	ctrj:SOTONIA3_00424
ko:K06969	ctrj:SOTONIA3_00425
ko:K00793	ctrj:SOTONIA3_00426
ko:K07738	ctrj:SOTONIA3_00427
ko:K06204	ctrj:SOTONIA3_00428
ko:K03101	ctrj:SOTONIA3_00429
ko:K03310	ctrj:SOTONIA3_00430
ko:K00748	ctrj:SOTONIA3_00432
ko:K09817	ctrj:SOTONIA3_00438
ko:K09816	ctrj:SOTONIA3_00439
ko:K03979	ctrj:SOTONIA3_00440
ko:K02899	ctrj:SOTONIA3_00441
ko:K02888	ctrj:SOTONIA3_00442
ko:K07042	ctrj:SOTONIA3_00447
ko:K03183	ctrj:SOTONIA3_00454
ko:K01778	ctrj:SOTONIA3_00456
ko:K02926	ctrj:SOTONIA3_00561
ko:K02906	ctrj:SOTONIA3_00562
ko:K00604	ctrj:SOTONIA3_00564
ko:K00677	ctrj:SOTONIA3_00565
ko:K02372	ctrj:SOTONIA3_00566
ko:K02535	ctrj:SOTONIA3_00567
ko:K03820	ctrj:SOTONIA3_00568
ko:K06925	ctrj:SOTONIA3_00571
ko:K03671	ctrj:SOTONIA3_00574
ko:K03216	ctrj:SOTONIA3_00575
ko:K01876	ctrj:SOTONIA3_00577
ko:K01892	ctrj:SOTONIA3_00578
ko:K07783	ctrj:SOTONIA3_00579
ko:K02337	ctrj:SOTONIA3_00580
ko:K03311	ctrj:SOTONIA3_00590
ko:K00382	ctrj:SOTONIA3_00593
ko:K03644	ctrj:SOTONIA3_00594
ko:K03222	ctrj:SOTONIA3_00595
ko:K03223	ctrj:SOTONIA3_00597
ko:K03226	ctrj:SOTONIA3_00598
ko:K03228	ctrj:SOTONIA3_00600
ko:K02455	ctrj:SOTONIA3_00606
ko:K02453	ctrj:SOTONIA3_00608
ko:K03572	ctrj:SOTONIA3_00611
ko:K03524	ctrj:SOTONIA3_00773
ko:K05837	ctrj:SOTONIA3_00774
ko:K01875	ctrj:SOTONIA3_00777
ko:K11752	ctrj:SOTONIA3_00778
ko:K14652	ctrj:SOTONIA3_00779
ko:K00794	ctrj:SOTONIA3_00780
ko:K03310	ctrj:SOTONIA3_00783
ko:K03466	ctrj:SOTONIA3_00787
ko:K00351	ctrj:SOTONIA3_00792
ko:K03210	ctrj:SOTONIA3_00793
ko:K00231	ctrj:SOTONIA3_00797
ko:K01599	ctrj:SOTONIA3_00799
ko:K03723	ctrj:SOTONIA3_00800
ko:K01872	ctrj:SOTONIA3_00801
ko:K00615	ctrj:SOTONIA3_00805
ko:K01241	ctrj:SOTONIA3_00806
ko:K02356	ctrj:SOTONIA3_00807
ko:K01929	ctrj:SOTONIA3_00812
ko:K01000	ctrj:SOTONIA3_00813
ko:K01925	ctrj:SOTONIA3_00814
ko:K03588	ctrj:SOTONIA3_00816
ko:K02563	ctrj:SOTONIA3_00817
ko:K06960	ctrj:SOTONIA3_00819
ko:K00791	ctrj:SOTONIA3_00822
ko:K00645	ctrj:SOTONIA3_00249
ko:K11381	ctrj:SOTONIA3_00358
ko:K03686	ctrj:SOTONIA3_00359
ko:K02970	ctrj:SOTONIA3_00360
ko:K01338	ctrj:SOTONIA3_00362
ko:K03733	ctrj:SOTONIA3_00365
ko:K06287	ctrj:SOTONIA3_00367
ko:K03075	ctrj:SOTONIA3_00370
ko:K01462	ctrj:SOTONIA3_00371
ko:K02528	ctrj:SOTONIA3_00372
ko:K06888	ctrj:SOTONIA3_00374
ko:K03523	ctrj:SOTONIA3_00378
ko:K01714	ctrj:SOTONIA3_00381
ko:K00928	ctrj:SOTONIA3_00382
ko:K00133	ctrj:SOTONIA3_00383
ko:K00215	ctrj:SOTONIA3_00384
ko:K00800	ctrj:SOTONIA3_00386
ko:K00891	ctrj:SOTONIA3_00387
ko:K01736	ctrj:SOTONIA3_00388
ko:K01735	ctrj:SOTONIA3_00389
ko:K13832	ctrj:SOTONIA3_00390
ko:K03758	ctrj:SOTONIA3_00394
ko:K00024	ctrj:SOTONIA3_00396
ko:K01810	ctrj:SOTONIA3_00398
ko:K03665	ctrj:SOTONIA3_00399
ko:K06167	ctrj:SOTONIA3_00400
ko:K09996	ctrj:SOTONIA3_00401
ko:K01358	ctrj:SOTONIA3_00457
ko:K00600	ctrj:SOTONIA3_00458
ko:K01770	ctrj:SOTONIA3_00460
ko:K02946	ctrj:SOTONIA3_00462
ko:K02355	ctrj:SOTONIA3_00463
ko:K02992	ctrj:SOTONIA3_00464
ko:K02950	ctrj:SOTONIA3_00465
ko:K03797	ctrj:SOTONIA3_00467
ko:K07462	ctrj:SOTONIA3_00474
ko:K12257	ctrj:SOTONIA3_00475
ko:K00806	ctrj:SOTONIA3_00477
ko:K00981	ctrj:SOTONIA3_00478
ko:K00945	ctrj:SOTONIA3_00479
ko:K00655	ctrj:SOTONIA3_00480
ko:K01887	ctrj:SOTONIA3_00481
ko:K00790	ctrj:SOTONIA3_00482
ko:K02836	ctrj:SOTONIA3_00486
ko:K00991	ctrj:SOTONIA3_00489
ko:K06173	ctrj:SOTONIA3_00490
ko:K07710	ctrj:SOTONIA3_00495
ko:K07714	ctrj:SOTONIA3_00496
ko:K03584	ctrj:SOTONIA3_00499
ko:K08998	ctrj:SOTONIA3_00503
ko:K01890	ctrj:SOTONIA3_00505
ko:K02034	ctrj:SOTONIA3_00508
ko:K01868	ctrj:SOTONIA3_00617
ko:K01867	ctrj:SOTONIA3_00621
ko:K03702	ctrj:SOTONIA3_00622
ko:K01689	ctrj:SOTONIA3_00623
ko:K00240	ctrj:SOTONIA3_00627
ko:K00239	ctrj:SOTONIA3_00628
ko:K03424	ctrj:SOTONIA3_00631
ko:K03562	ctrj:SOTONIA3_00633
ko:K03641	ctrj:SOTONIA3_00636
ko:K03640	ctrj:SOTONIA3_00637
ko:K03648	ctrj:SOTONIA3_00646
ko:K03657	ctrj:SOTONIA3_00647
ko:K03092	ctrj:SOTONIA3_00648
ko:K06137	ctrj:SOTONIA3_00649
ko:K13941	ctrj:SOTONIA3_00652
ko:K01633	ctrj:SOTONIA3_00653
ko:K03086	ctrj:SOTONIA3_00654
ko:K02968	ctrj:SOTONIA3_00656
ko:K03980	ctrj:SOTONIA3_00663
ko:K01151	ctrj:SOTONIA3_00664
ko:K02986	ctrj:SOTONIA3_00665
ko:K07146	ctrj:SOTONIA3_00666
ko:K09710	ctrj:SOTONIA3_00825
ko:K09458	ctrj:SOTONIA3_00826
ko:K00263	ctrj:SOTONIA3_00829
ko:K00655	ctrj:SOTONIA3_00831
ko:K04066	ctrj:SOTONIA3_00834
ko:K04567	ctrj:SOTONIA3_00837
ko:K01883	ctrj:SOTONIA3_00838
ko:K03536	ctrj:SOTONIA3_00840
ko:K02919	ctrj:SOTONIA3_00841
ko:K02954	ctrj:SOTONIA3_00842
ko:K03703	ctrj:SOTONIA3_00846
ko:K03555	ctrj:SOTONIA3_00847
ko:K14164	ctrj:SOTONIA3_00851
ko:K00995	ctrj:SOTONIA3_00852
ko:K00703	ctrj:SOTONIA3_00853
ko:K02897	ctrj:SOTONIA3_00855
ko:K01056	ctrj:SOTONIA3_00856
ko:K02990	ctrj:SOTONIA3_00857
ko:K02963	ctrj:SOTONIA3_00858
ko:K02939	ctrj:SOTONIA3_00859
ko:K00919	ctrj:SOTONIA3_00860
ko:K00630	ctrj:SOTONIA3_00864
ko:K08301	ctrj:SOTONIA3_00865
ko:K02911	ctrj:SOTONIA3_00867
ko:K03621	ctrj:SOTONIA3_00868
ko:K03431	ctrj:SOTONIA3_00873
ko:K00820	ctrj:SOTONIA3_00874
ko:K03834	ctrj:SOTONIA3_00875
ko:K09779	ctrj:SOTONIA3_00002
ko:K02435	ctrj:SOTONIA3_00003
ko:K02434	ctrj:SOTONIA3_00005
ko:K02517	ctrj:SOTONIA3_00011
ko:K00425	ctrj:SOTONIA3_00014
ko:K00426	ctrj:SOTONIA3_00015
ko:K07175	ctrj:SOTONIA3_00016
ko:K01870	ctrj:SOTONIA3_00021
ko:K03100	ctrj:SOTONIA3_00022
ko:K02909	ctrj:SOTONIA3_00024
ko:K02835	ctrj:SOTONIA3_00025
ko:K02493	ctrj:SOTONIA3_00026
ko:K03106	ctrj:SOTONIA3_00027
ko:K02959	ctrj:SOTONIA3_00028
ko:K00554	ctrj:SOTONIA3_00029
ko:K02884	ctrj:SOTONIA3_00030
ko:K03470	ctrj:SOTONIA3_00031
ko:K00942	ctrj:SOTONIA3_00032
ko:K01874	ctrj:SOTONIA3_00034
ko:K03581	ctrj:SOTONIA3_00035
ko:K01494	ctrj:SOTONIA3_00041
ko:K03551	ctrj:SOTONIA3_00042
ko:K01255	ctrj:SOTONIA3_00047
ko:K02340	ctrj:SOTONIA3_00049
ko:K07056	ctrj:SOTONIA3_00050
ko:K00164	ctrj:SOTONIA3_00056
ko:K00658	ctrj:SOTONIA3_00057
ko:K05810	ctrj:SOTONIA3_00058
ko:K03526	ctrj:SOTONIA3_00059
ko:K02400	ctrj:SOTONIA3_00063
ko:K02405	ctrj:SOTONIA3_00064
ko:K01866	ctrj:SOTONIA3_00065
ko:K03596	ctrj:SOTONIA3_00067
ko:K03301	ctrj:SOTONIA3_00068
ko:K00099	ctrj:SOTONIA3_00074
ko:K03629	ctrj:SOTONIA3_00077
ko:K02338	ctrj:SOTONIA3_00078
ko:K03664	ctrj:SOTONIA3_00079
ko:K03734	ctrj:SOTONIA3_00080
ko:K01491	ctrj:SOTONIA3_00081
ko:K02902	ctrj:SOTONIA3_00088
ko:K01772	ctrj:SOTONIA3_00517
ko:K07099	ctrj:SOTONIA3_00520
ko:K00975	ctrj:SOTONIA3_00521
ko:K03628	ctrj:SOTONIA3_00523
ko:K00859	ctrj:SOTONIA3_00524
ko:K03301	ctrj:SOTONIA3_00527
ko:K00995	ctrj:SOTONIA3_00528
ko:K03495	ctrj:SOTONIA3_00531
ko:K03800	ctrj:SOTONIA3_00532
ko:K00940	ctrj:SOTONIA3_00533
ko:K03550	ctrj:SOTONIA3_00534
ko:K01159	ctrj:SOTONIA3_00535
ko:K00134	ctrj:SOTONIA3_00539
ko:K02879	ctrj:SOTONIA3_00540
ko:K03040	ctrj:SOTONIA3_00541
ko:K02948	ctrj:SOTONIA3_00542
ko:K02952	ctrj:SOTONIA3_00543
ko:K03076	ctrj:SOTONIA3_00544
ko:K02876	ctrj:SOTONIA3_00545
ko:K02988	ctrj:SOTONIA3_00546
ko:K02881	ctrj:SOTONIA3_00547
ko:K02933	ctrj:SOTONIA3_00548
ko:K02994	ctrj:SOTONIA3_00549
ko:K02931	ctrj:SOTONIA3_00550
ko:K02895	ctrj:SOTONIA3_00551
ko:K02874	ctrj:SOTONIA3_00552
ko:K02961	ctrj:SOTONIA3_00553
ko:K02904	ctrj:SOTONIA3_00554
ko:K02878	ctrj:SOTONIA3_00555
ko:K02982	ctrj:SOTONIA3_00556
ko:K02890	ctrj:SOTONIA3_00557
ko:K02965	ctrj:SOTONIA3_00558
ko:K02886	ctrj:SOTONIA3_00559
ko:K02892	ctrj:SOTONIA3_00560
ko:K13789	ctrj:SOTONIA3_00667
ko:K01698	ctrj:SOTONIA3_00673
ko:K00346	ctrj:SOTONIA3_00674
ko:K03582	ctrj:SOTONIA3_00680
ko:K03583	ctrj:SOTONIA3_00681
ko:K03168	ctrj:SOTONIA3_00684
ko:K02221	ctrj:SOTONIA3_00686
ko:K03581	ctrj:SOTONIA3_00693
ko:K06861	ctrj:SOTONIA3_00695
ko:K01627	ctrj:SOTONIA3_00697
ko:K06180	ctrj:SOTONIA3_00701
ko:K06960	ctrj:SOTONIA3_00702
ko:K02469	ctrj:SOTONIA3_00703
ko:K02470	ctrj:SOTONIA3_00704
ko:K02492	ctrj:SOTONIA3_00705
ko:K03224	ctrj:SOTONIA3_00712
ko:K02417	ctrj:SOTONIA3_00715
ko:K03219	ctrj:SOTONIA3_00717
ko:K03834	ctrj:SOTONIA3_00877
ko:K06890	ctrj:SOTONIA3_00878
ko:K03110	ctrj:SOTONIA3_00879
ko:K01903	ctrj:SOTONIA3_00880
ko:K01902	ctrj:SOTONIA3_00881
ko:K09760	ctrj:SOTONIA3_00884
ko:K00075	ctrj:SOTONIA3_00890
ko:K03625	ctrj:SOTONIA3_00891
ko:K02520	ctrj:SOTONIA3_00892
ko:K02916	ctrj:SOTONIA3_00893
ko:K02887	ctrj:SOTONIA3_00894
ko:K01889	ctrj:SOTONIA3_00895
ko:K11720	ctrj:SOTONIA3_00898
ko:K07091	ctrj:SOTONIA3_00899
ko:K04075	ctrj:SOTONIA3_00900
ko:K03798	ctrj:SOTONIA3_00901
ko:K00962	ctrj:SOTONIA3_00902
ko:K02956	ctrj:SOTONIA3_00903
ko:K01265	ctrj:SOTONIA3_00912
ko:K03321	ctrj:SOTONIA3_00917
ko:K03527	ctrj:SOTONIA3_00920
ko:K02028	ctrj:SOTONIA3_00132
ko:K14220	ctrj:SOTONIA3_00039
ko:K15035	ctrj:SOTONIA3_00020
ko:K14222	ctrj:SOTONIA3_00811
ko:K01980	ctrj:SOTONIA3_00790
ko:K01980	ctrj:SOTONIA3_00803
ko:K01985	ctrj:SOTONIA3_00791
ko:K01985	ctrj:SOTONIA3_00804
ko:K17103	ctrj:SOTONIA3_00885
ko:K06889	ctrj:SOTONIA3_00153
ko:K02035	ctrj:SOTONIA3_00180
ko:K02049	ctrj:SOTONIA3_00185
ko:K01679	ctrj:SOTONIA3_00916
ko:K14233	ctrj:SOTONIA3_00375
ko:K14228	ctrj:SOTONIA3_00493
ko:K01409	ctrj:SOTONIA3_00204
ko:K15582	ctrj:SOTONIA3_00207
ko:K10823	ctrj:SOTONIA3_00208
ko:K15583	ctrj:SOTONIA3_00209
ko:K06889	ctrj:SOTONIA3_00213
ko:K00059	ctrj:SOTONIA3_00248
ko:K03856	ctrj:SOTONIA3_00402
ko:K00970	ctrj:SOTONIA3_00431
ko:K09815	ctrj:SOTONIA3_00437
ko:K02342	ctrj:SOTONIA3_00570
ko:K07258	ctrj:SOTONIA3_00586
ko:K03227	ctrj:SOTONIA3_00599
ko:K02454	ctrj:SOTONIA3_00607
ko:K01262	ctrj:SOTONIA3_00610
ko:K00970	ctrj:SOTONIA3_00751
ko:K01596	ctrj:SOTONIA3_00758
ko:K00972	ctrj:SOTONIA3_00763
ko:K01834	ctrj:SOTONIA3_00770
ko:K01507	ctrj:SOTONIA3_00828
ko:K01082	ctrj:SOTONIA3_00830
ko:K01909	ctrj:SOTONIA3_00832
ko:K00652	ctrj:SOTONIA3_00833
ko:K01408	ctrj:SOTONIA3_00863
ko:K04084	ctrj:SOTONIA3_00632
ko:K07052	ctrj:SOTONIA3_00265
ko:K02342	ctrj:SOTONIA3_00272
ko:K01719	ctrj:SOTONIA3_00459
ko:K00380	ctrj:SOTONIA3_00461
ko:K01885	ctrj:SOTONIA3_00472
ko:K07098	ctrj:SOTONIA3_00488
ko:K07315	ctrj:SOTONIA3_00624
ko:K00241	ctrj:SOTONIA3_00629
ko:K03386	ctrj:SOTONIA3_00640
ko:K02428	ctrj:SOTONIA3_00644
ko:K06910	ctrj:SOTONIA3_00784
ko:K07117	ctrj:SOTONIA3_00785
ko:K00033	ctrj:SOTONIA3_00066
ko:K11707	ctrj:SOTONIA3_00070
ko:K11710	ctrj:SOTONIA3_00071
ko:K11708	ctrj:SOTONIA3_00072
ko:K11709	ctrj:SOTONIA3_00073
ko:K02806	ctrj:SOTONIA3_00301
ko:K02806	ctrj:SOTONIA3_00302
ko:K02124	ctrj:SOTONIA3_00315
ko:K02123	ctrj:SOTONIA3_00316
ko:K02120	ctrj:SOTONIA3_00317
ko:K02118	ctrj:SOTONIA3_00318
ko:K02117	ctrj:SOTONIA3_00319
ko:K02121	ctrj:SOTONIA3_00321
ko:K00616	ctrj:SOTONIA3_00324
ko:K00567	ctrj:SOTONIA3_00507
ko:K02033	ctrj:SOTONIA3_00509
ko:K02035	ctrj:SOTONIA3_00510
ko:K02030	ctrj:SOTONIA3_00518
ko:K00813	ctrj:SOTONIA3_00678
ko:K01934	ctrj:SOTONIA3_00690
ko:K03177	ctrj:SOTONIA3_00096
ko:K06179	ctrj:SOTONIA3_00108
ko:K00939	ctrj:SOTONIA3_00130
ko:K02035	ctrj:SOTONIA3_00141
ko:K02433	ctrj:SOTONIA3_00004
ko:K08483	ctrj:SOTONIA3_00353
ko:K11189	ctrj:SOTONIA3_00354
ko:K00784	ctrj:SOTONIA3_00364
ko:K03471	ctrj:SOTONIA3_00009
ko:K14236	ctrj:SOTONIA3_00145
ko:K14227	ctrj:SOTONIA3_00186
ko:K14218	ctrj:SOTONIA3_00677
ko:K14230	ctrj:SOTONIA3_00215
ko:K14230	ctrj:SOTONIA3_00342
ko:K14235	ctrj:SOTONIA3_00333
ko:K14233	ctrj:SOTONIA3_00529
ko:K14231	ctrj:SOTONIA3_00443
ko:K14221	ctrj:SOTONIA3_00231
ko:K14233	ctrj:SOTONIA3_00436
ko:K14228	ctrj:SOTONIA3_00537
ko:K14228	ctrj:SOTONIA3_00573
ko:K14219	ctrj:SOTONIA3_00497
ko:K14219	ctrj:SOTONIA3_00698
ko:K14232	ctrj:SOTONIA3_00671
ko:K14229	ctrj:SOTONIA3_00721
ko:K14224	ctrj:SOTONIA3_00722
ko:K14226	ctrj:SOTONIA3_00788
ko:K14223	ctrj:SOTONIA3_00854
ko:K14218	ctrj:SOTONIA3_00187
ko:K14219	ctrj:SOTONIA3_00641
ko:K01977	ctrj:SOTONIA3_00789
ko:K01977	ctrj:SOTONIA3_00802
ko:K14234	ctrj:SOTONIA3_00718
ko:K14225	ctrj:SOTONIA3_00727
ko:K14228	ctrj:SOTONIA3_00501
ko:K14228	ctrj:SOTONIA3_00925
ko:K14232	ctrj:SOTONIA3_00062
ko:K14237	ctrj:SOTONIA3_00232
ko:K14230	ctrj:SOTONIA3_00216
ko:K14234	ctrj:SOTONIA3_00144
ko:K14234	ctrj:SOTONIA3_00335
ko:K14225	ctrj:SOTONIA3_00755
ko:K04763	ctrj:SOTONIA3_00927
ko:K00700	ctrj:SOTONIA3_00929
ko:K14237	ctrj:SOTONIA3_00888
ko:K01840	ctrj:SOTONIA3_00306
ko:K06972	ctrj:SOTONIA3_00883
ko:K08719	ctrj:SOTONIA3_00761
ko:K07081	ctrj:SOTONIA3_00453
ko:K01802	ctrj:SOTONIA3_00576
ko:K08275	ctrj:SOTONIA3_00083
ko:K08274	ctrj:SOTONIA3_00397
ko:K01921	ctrj:SOTONIA3_00818
ko:K01924	ctrj:SOTONIA3_00818
ko:K01829	ctrj:SOTONIA3_00836
ko:K01829	ctrj:SOTONIA3_00839
ko:K03309	ctrj:SOTONIA3_00422
ko:K07033	ctrj:SOTONIA3_00731
ko:K01214	ctrj:SOTONIA3_00044
ko:K03825	ctrj:SOTONIA3_00485
ko:K03496	ctrj:SOTONIa3_p7
ko:K03496	ctrj:SOTONIA3_00618
ko:K03497	ctrj:SOTONIA3_00735
ko:K03111	ctrj:SOTONIA3_00046
ko:K02626	ctrj:SOTONIA3_00393
ko:K11991	ctrj:SOTONIA3_00904
ko:K02031	ctrj:SOTONIA3_00737
ko:K04771	ctrj:SOTONIA3_00882
ko:K19411	ctrj:SOTONIA3_00720
ko:K19405	ctrj:SOTONIA3_00719
ko:K07125	ctrj:SOTONIA3_00338
ko:K12132	ctrj:SOTONIA3_00312
ko:K20265	ctrj:SOTONIA3_00225
ko:K20074	ctrj:SOTONIA3_00270
ko:K11749	ctrj:SOTONIA3_00075
ko:K22100	ctrj:SOTONIA3_00343
ko:K22099	ctrj:SOTONIA3_00650
ko:K00526	ctrj:SOTONIA3_00887
ko:K02316	ctrj:SOTONIA3_00848
ko:K00287	ctrj:SOTONIA3_00651
ko:K01520	ctrj:SOTONIA3_00303
ko:K02314	ctrj:SOTONIA3_00530
ko:K03553	ctrj:SOTONIA3_00691
ko:K02335	ctrj:SOTONIA3_00525
ko:K02314	ctrj:SOTONIa3_p3
ko:K02032	ctrj:SOTONIA3_00736
ko:K00525	ctrj:SOTONIA3_00886
ko:K02050	ctrj:SOTONIA3_00915
ko:K02051	ctrj:SOTONIA3_00915
ko:K01534	ctrj:SOTONIA3_00775
ko:K16239	ctrj:SOTONIA3_00087
