ko:K09796	nmm:NMBM01240149_0624
ko:K03312	nmm:NMBM01240149_0084
ko:K06076	nmm:NMBM01240149_0088
ko:K00873	nmm:NMBM01240149_0089
ko:K13408	nmm:NMBM01240149_0091
ko:K13409	nmm:NMBM01240149_0092
ko:K03979	nmm:NMBM01240149_0095
ko:K01883	nmm:NMBM01240149_0097
ko:K01142	nmm:NMBM01240149_0098
ko:K00133	nmm:NMBM01240149_0101
ko:K01491	nmm:NMBM01240149_0103
ko:K03149	nmm:NMBM01240149_0110
ko:K03154	nmm:NMBM01240149_0111
ko:K00788	nmm:NMBM01240149_0112
ko:K03568	nmm:NMBM01240149_0115
ko:K02493	nmm:NMBM01240149_0116
ko:K07084	nmm:NMBM01240149_0117
ko:K03745	nmm:NMBM01240149_0118
ko:K01595	nmm:NMBM01240149_0120
ko:K00057	nmm:NMBM01240149_0121
ko:K09888	nmm:NMBM01240149_0123
ko:K02871	nmm:NMBM01240149_0124
ko:K01810	nmm:NMBM01240149_0767
ko:K02469	nmm:NMBM01240149_0769
ko:K04082	nmm:NMBM01240149_0770
ko:K09890	nmm:NMBM01240149_0771
ko:K04487	nmm:NMBM01240149_0776
ko:K13643	nmm:NMBM01240149_0777
ko:K02834	nmm:NMBM01240149_0782
ko:K03544	nmm:NMBM01240149_0783
ko:K06969	nmm:NMBM01240149_0788
ko:K03671	nmm:NMBM01240149_0789
ko:K07322	nmm:NMBM01240149_0790
ko:K09861	nmm:NMBM01240149_1195
ko:K14267	nmm:NMBM01240149_1196
ko:K02655	nmm:NMBM01240149_1198
ko:K02673	nmm:NMBM01240149_1199
ko:K02672	nmm:NMBM01240149_1200
ko:K02671	nmm:NMBM01240149_1201
ko:K08084	nmm:NMBM01240149_1202
ko:K04564	nmm:NMBM01240149_1204
ko:K02046	nmm:NMBM01240149_1208
ko:K02047	nmm:NMBM01240149_1209
ko:K02045	nmm:NMBM01240149_1210
ko:K01754	nmm:NMBM01240149_1211
ko:K01609	nmm:NMBM01240149_1811
ko:K03654	nmm:NMBM01240149_1812
ko:K02170	nmm:NMBM01240149_1817
ko:K03216	nmm:NMBM01240149_1819
ko:K03642	nmm:NMBM01240149_1820
ko:K03550	nmm:NMBM01240149_1822
ko:K06949	nmm:NMBM01240149_1824
ko:K03602	nmm:NMBM01240149_1825
ko:K00795	nmm:NMBM01240149_1826
ko:K00343	nmm:NMBM01240149_1828
ko:K00342	nmm:NMBM01240149_1829
ko:K00341	nmm:NMBM01240149_1830
ko:K04095	nmm:NMBM01240149_1832
ko:K00340	nmm:NMBM01240149_1833
ko:K00339	nmm:NMBM01240149_1834
ko:K00338	nmm:NMBM01240149_1835
ko:K00337	nmm:NMBM01240149_1836
ko:K00334	nmm:NMBM01240149_1840
ko:K00333	nmm:NMBM01240149_1841
ko:K00332	nmm:NMBM01240149_1842
ko:K00331	nmm:NMBM01240149_1843
ko:K00330	nmm:NMBM01240149_1844
ko:K03657	nmm:NMBM01240149_1849
ko:K07160	nmm:NMBM01240149_1852
ko:K07043	nmm:NMBM01240149_1854
ko:K00982	nmm:NMBM01240149_1856
ko:K00648	nmm:NMBM01240149_0275
ko:K03621	nmm:NMBM01240149_0279
ko:K07101	nmm:NMBM01240149_0280
ko:K02911	nmm:NMBM01240149_0281
ko:K07040	nmm:NMBM01240149_0282
ko:K07056	nmm:NMBM01240149_0284
ko:K03217	nmm:NMBM01240149_0285
ko:K08998	nmm:NMBM01240149_0286
ko:K03536	nmm:NMBM01240149_0287
ko:K02914	nmm:NMBM01240149_0288
ko:K02313	nmm:NMBM01240149_0289
ko:K02338	nmm:NMBM01240149_0290
ko:K00937	nmm:NMBM01240149_0292
ko:K01869	nmm:NMBM01240149_0295
ko:K07726	nmm:NMBM01240149_0299
ko:K03075	nmm:NMBM01240149_0302
ko:K01803	nmm:NMBM01240149_0303
ko:K00573	nmm:NMBM01240149_0305
ko:K14682	nmm:NMBM01240149_0313
ko:K00762	nmm:NMBM01240149_0315
ko:K03789	nmm:NMBM01240149_0317
ko:K01624	nmm:NMBM01240149_0320
ko:K03733	nmm:NMBM01240149_0321
ko:K03723	nmm:NMBM01240149_0870
ko:K02168	nmm:NMBM01240149_0874
ko:K09795	nmm:NMBM01240149_0877
ko:K00865	nmm:NMBM01240149_0882
ko:K09823	nmm:NMBM01240149_0884
ko:K14058	nmm:NMBM01240149_0889
ko:K06980	nmm:NMBM01240149_0890
ko:K01744	nmm:NMBM01240149_0895
ko:K00052	nmm:NMBM01240149_0897
ko:K03798	nmm:NMBM01240149_1292
ko:K09801	nmm:NMBM01240149_1294
ko:K01056	nmm:NMBM01240149_1295
ko:K14445	nmm:NMBM01240149_1297
ko:K15778	nmm:NMBM01240149_1299
ko:K07223	nmm:NMBM01240149_1303
ko:K03582	nmm:NMBM01240149_1304
ko:K04485	nmm:NMBM01240149_1307
ko:K01599	nmm:NMBM01240149_1308
ko:K02498	nmm:NMBM01240149_1309
ko:K02496	nmm:NMBM01240149_1310
ko:K00761	nmm:NMBM01240149_1314
ko:K07390	nmm:NMBM01240149_1315
ko:K09712	nmm:NMBM01240149_1316
ko:K03424	nmm:NMBM01240149_1317
ko:K02967	nmm:NMBM01240149_2004
ko:K02357	nmm:NMBM01240149_2005
ko:K09903	nmm:NMBM01240149_2006
ko:K04773	nmm:NMBM01240149_2029
ko:K01940	nmm:NMBM01240149_2031
ko:K07862	nmm:NMBM01240149_2035
ko:K09800	nmm:NMBM01240149_2037
ko:K03305	nmm:NMBM01240149_2038
ko:K02836	nmm:NMBM01240149_2039
ko:K07001	nmm:NMBM01240149_2040
ko:K15977	nmm:NMBM01240149_2041
ko:K09930	nmm:NMBM01240149_2043
ko:K09929	nmm:NMBM01240149_2044
ko:K03088	nmm:NMBM01240149_2045
ko:K07566	nmm:NMBM01240149_2048
ko:K01945	nmm:NMBM01240149_2049
ko:K03522	nmm:NMBM01240149_2052
ko:K03521	nmm:NMBM01240149_2053
ko:K00942	nmm:NMBM01240149_0523
ko:K03060	nmm:NMBM01240149_0524
ko:K13038	nmm:NMBM01240149_0526
ko:K07320	nmm:NMBM01240149_0534
ko:K07166	nmm:NMBM01240149_0536
ko:K09157	nmm:NMBM01240149_0537
ko:K01775	nmm:NMBM01240149_0538
ko:K03611	nmm:NMBM01240149_0540
ko:K03310	nmm:NMBM01240149_0542
ko:K11068	nmm:NMBM01240149_0543
ko:K02519	nmm:NMBM01240149_0546
ko:K02600	nmm:NMBM01240149_0547
ko:K09748	nmm:NMBM01240149_0548
ko:K00831	nmm:NMBM01240149_0549
ko:K03760	nmm:NMBM01240149_0550
ko:K04561	nmm:NMBM01240149_0555
ko:K00432	nmm:NMBM01240149_0556
ko:K00941	nmm:NMBM01240149_0561
ko:K01676	nmm:NMBM01240149_0565
ko:K10764	nmm:NMBM01240149_0569
ko:K15984	nmm:NMBM01240149_0571
ko:K02471	nmm:NMBM01240149_1003
ko:K09803	nmm:NMBM01240149_1007
ko:K02837	nmm:NMBM01240149_1470
ko:K11073	nmm:NMBM01240149_1473
ko:K03634	nmm:NMBM01240149_1474
ko:K09773	nmm:NMBM01240149_1477
ko:K03628	nmm:NMBM01240149_1479
ko:K03320	nmm:NMBM01240149_1480
ko:K11074	nmm:NMBM01240149_1482
ko:K11075	nmm:NMBM01240149_1483
ko:K11076	nmm:NMBM01240149_1484
ko:K02956	nmm:NMBM01240149_1486
ko:K03074	nmm:NMBM01240149_1487
ko:K03072	nmm:NMBM01240149_1488
ko:K03210	nmm:NMBM01240149_1489
ko:K02503	nmm:NMBM01240149_1493
ko:K03116	nmm:NMBM01240149_1494
ko:K03117	nmm:NMBM01240149_1495
ko:K03118	nmm:NMBM01240149_1496
ko:K06287	nmm:NMBM01240149_1497
ko:K02959	nmm:NMBM01240149_1503
ko:K02860	nmm:NMBM01240149_1504
ko:K00554	nmm:NMBM01240149_1505
ko:K02884	nmm:NMBM01240149_1506
ko:K09812	nmm:NMBM01240149_0007
ko:K09811	nmm:NMBM01240149_0008
ko:K00927	nmm:NMBM01240149_0010
ko:K00790	nmm:NMBM01240149_0012
ko:K09943	nmm:NMBM01240149_0015
ko:K02527	nmm:NMBM01240149_0016
ko:K02535	nmm:NMBM01240149_0018
ko:K00528	nmm:NMBM01240149_0714
ko:K02346	nmm:NMBM01240149_0717
ko:K03656	nmm:NMBM01240149_0718
ko:K03785	nmm:NMBM01240149_0719
ko:K09747	nmm:NMBM01240149_0721
ko:K02343	nmm:NMBM01240149_0722
ko:K03572	nmm:NMBM01240149_0723
ko:K01588	nmm:NMBM01240149_0727
ko:K00782	nmm:NMBM01240149_0729
ko:K00800	nmm:NMBM01240149_0734
ko:K03624	nmm:NMBM01240149_0735
ko:K00239	nmm:NMBM01240149_1138
ko:K00242	nmm:NMBM01240149_1139
ko:K00382	nmm:NMBM01240149_1141
ko:K00549	nmm:NMBM01240149_1143
ko:K00297	nmm:NMBM01240149_1144
ko:K02909	nmm:NMBM01240149_1145
ko:K02919	nmm:NMBM01240149_1146
ko:K00641	nmm:NMBM01240149_1147
ko:K02356	nmm:NMBM01240149_1150
ko:K00791	nmm:NMBM01240149_1153
ko:K09793	nmm:NMBM01240149_1155
ko:K03218	nmm:NMBM01240149_1156
ko:K01714	nmm:NMBM01240149_1158
ko:K07287	nmm:NMBM01240149_1159
ko:K10806	nmm:NMBM01240149_1162
ko:K07461	nmm:NMBM01240149_1723
ko:K08218	nmm:NMBM01240149_1724
ko:K01915	nmm:NMBM01240149_1725
ko:K00014	nmm:NMBM01240149_1726
ko:K03814	nmm:NMBM01240149_1727
ko:K06861	nmm:NMBM01240149_1729
ko:K09774	nmm:NMBM01240149_1730
ko:K11719	nmm:NMBM01240149_1731
ko:K03270	nmm:NMBM01240149_1732
ko:K06041	nmm:NMBM01240149_1733
ko:K01894	nmm:NMBM01240149_1735
ko:K05539	nmm:NMBM01240149_1736
ko:K07560	nmm:NMBM01240149_1737
ko:K05527	nmm:NMBM01240149_1740
ko:K09780	nmm:NMBM01240149_1741
ko:K06190	nmm:NMBM01240149_1742
ko:K00826	nmm:NMBM01240149_1747
ko:K00208	nmm:NMBM01240149_1748
ko:K01810	nmm:NMBM01240149_1750
ko:K02654	nmm:NMBM01240149_1752
ko:K00859	nmm:NMBM01240149_1753
ko:K09862	nmm:NMBM01240149_1754
ko:K02652	nmm:NMBM01240149_1755
ko:K02523	nmm:NMBM01240149_1758
ko:K02888	nmm:NMBM01240149_1759
ko:K18842	nmm:NMBM01240149_1172
ko:K15125	nmm:NMBM01240149_0423
ko:K07154	nmm:NMBM01240149_0426
ko:K11003	nmm:NMBM01240149_0450
ko:K12340	nmm:NMBM01240149_0451
ko:K03675	nmm:NMBM01240149_0454
ko:K03561	nmm:NMBM01240149_0459
ko:K00404	nmm:NMBM01240149_0463
ko:K00405	nmm:NMBM01240149_0464
ko:K03583	nmm:NMBM01240149_0467
ko:K03577	nmm:NMBM01240149_0470
ko:K03585	nmm:NMBM01240149_0471
ko:K03648	nmm:NMBM01240149_0953
ko:K09158	nmm:NMBM01240149_0957
ko:K03801	nmm:NMBM01240149_0958
ko:K03644	nmm:NMBM01240149_0959
ko:K03594	nmm:NMBM01240149_0960
ko:K03594	nmm:NMBM01240149_0961
ko:K00990	nmm:NMBM01240149_0963
ko:K12573	nmm:NMBM01240149_0966
ko:K06207	nmm:NMBM01240149_0970
ko:K02302	nmm:NMBM01240149_0973
ko:K00390	nmm:NMBM01240149_0974
ko:K00957	nmm:NMBM01240149_0975
ko:K00773	nmm:NMBM01240149_1373
ko:K01772	nmm:NMBM01240149_1374
ko:K09781	nmm:NMBM01240149_1379
ko:K03820	nmm:NMBM01240149_1380
ko:K03089	nmm:NMBM01240149_1381
ko:K02340	nmm:NMBM01240149_1385
ko:K03643	nmm:NMBM01240149_1386
ko:K05810	nmm:NMBM01240149_1387
ko:K03453	nmm:NMBM01240149_1388
ko:K06180	nmm:NMBM01240149_1389
ko:K05807	nmm:NMBM01240149_1390
ko:K01696	nmm:NMBM01240149_1393
ko:K02528	nmm:NMBM01240149_1395
ko:K11754	nmm:NMBM01240149_1399
ko:K03558	nmm:NMBM01240149_1401
ko:K00764	nmm:NMBM01240149_1402
ko:K04760	nmm:NMBM01240149_1403
ko:K01817	nmm:NMBM01240149_1404
ko:K03685	nmm:NMBM01240149_1406
ko:K00794	nmm:NMBM01240149_1408
ko:K03625	nmm:NMBM01240149_1409
ko:K01465	nmm:NMBM01240149_1410
ko:K01963	nmm:NMBM01240149_1414
ko:K01695	nmm:NMBM01240149_1415
ko:K00979	nmm:NMBM01240149_1418
ko:K09791	nmm:NMBM01240149_1419
ko:K01807	nmm:NMBM01240149_0657
ko:K01887	nmm:NMBM01240149_0661
ko:K00763	nmm:NMBM01240149_0662
ko:K05896	nmm:NMBM01240149_0663
ko:K00989	nmm:NMBM01240149_0666
ko:K00928	nmm:NMBM01240149_0667
ko:K06200	nmm:NMBM01240149_0679
ko:K05541	nmm:NMBM01240149_1089
ko:K03777	nmm:NMBM01240149_1091
ko:K01448	nmm:NMBM01240149_1101
ko:K00602	nmm:NMBM01240149_1106
ko:K01079	nmm:NMBM01240149_1108
ko:K00324	nmm:NMBM01240149_1109
ko:K00325	nmm:NMBM01240149_1111
ko:K09789	nmm:NMBM01240149_1617
ko:K03319	nmm:NMBM01240149_1620
ko:K01876	nmm:NMBM01240149_1624
ko:K01058	nmm:NMBM01240149_1626
ko:K02968	nmm:NMBM01240149_1627
ko:K01776	nmm:NMBM01240149_1631
ko:K06925	nmm:NMBM01240149_1632
ko:K01448	nmm:NMBM01240149_1633
ko:K07444	nmm:NMBM01240149_1634
ko:K00997	nmm:NMBM01240149_1637
ko:K07090	nmm:NMBM01240149_1638
ko:K03474	nmm:NMBM01240149_1641
ko:K03584	nmm:NMBM01240149_1642
ko:K14170	nmm:NMBM01240149_1643
ko:K07552	nmm:NMBM01240149_1644
ko:K07234	nmm:NMBM01240149_1649
ko:K13771	nmm:NMBM01240149_1651
ko:K00925	nmm:NMBM01240149_1653
ko:K08641	nmm:NMBM01240149_1657
ko:K06901	nmm:NMBM01240149_1660
ko:K03531	nmm:NMBM01240149_1661
ko:K03590	nmm:NMBM01240149_1662
ko:K03589	nmm:NMBM01240149_1663
ko:K01921	nmm:NMBM01240149_1664
ko:K02996	nmm:NMBM01240149_0125
ko:K03576	nmm:NMBM01240149_0127
ko:K00411	nmm:NMBM01240149_0129
ko:K00412	nmm:NMBM01240149_0130
ko:K00413	nmm:NMBM01240149_0131
ko:K09760	nmm:NMBM01240149_0132
ko:K00760	nmm:NMBM01240149_0135
ko:K03147	nmm:NMBM01240149_0142
ko:K06173	nmm:NMBM01240149_0146
ko:K07043	nmm:NMBM01240149_0148
ko:K00655	nmm:NMBM01240149_0149
ko:K03273	nmm:NMBM01240149_0150
ko:K03835	nmm:NMBM01240149_0151
ko:K02204	nmm:NMBM01240149_0153
ko:K02063	nmm:NMBM01240149_0156
ko:K01673	nmm:NMBM01240149_0157
ko:K00969	nmm:NMBM01240149_0158
ko:K09710	nmm:NMBM01240149_0159
ko:K00783	nmm:NMBM01240149_0160
ko:K00954	nmm:NMBM01240149_0163
ko:K02237	nmm:NMBM01240149_0170
ko:K03601	nmm:NMBM01240149_0792
ko:K06178	nmm:NMBM01240149_0794
ko:K00275	nmm:NMBM01240149_0795
ko:K02434	nmm:NMBM01240149_0797
ko:K09824	nmm:NMBM01240149_0798
ko:K02435	nmm:NMBM01240149_0800
ko:K08324	nmm:NMBM01240149_0802
ko:K03500	nmm:NMBM01240149_0804
ko:K00382	nmm:NMBM01240149_0811
ko:K00627	nmm:NMBM01240149_0813
ko:K00163	nmm:NMBM01240149_0814
ko:K01881	nmm:NMBM01240149_0815
ko:K07447	nmm:NMBM01240149_0817
ko:K07735	nmm:NMBM01240149_0818
ko:K02897	nmm:NMBM01240149_1215
ko:K00948	nmm:NMBM01240149_1216
ko:K00919	nmm:NMBM01240149_1220
ko:K02494	nmm:NMBM01240149_1221
ko:K01918	nmm:NMBM01240149_1223
ko:K00606	nmm:NMBM01240149_1224
ko:K00797	nmm:NMBM01240149_1227
ko:K07018	nmm:NMBM01240149_1228
ko:K02078	nmm:NMBM01240149_1863
ko:K09458	nmm:NMBM01240149_1864
ko:K03092	nmm:NMBM01240149_1866
ko:K03781	nmm:NMBM01240149_1867
ko:K01414	nmm:NMBM01240149_1869
ko:K02470	nmm:NMBM01240149_1871
ko:K01752	nmm:NMBM01240149_1872
ko:K00134	nmm:NMBM01240149_1880
ko:K00684	nmm:NMBM01240149_1881
ko:K06186	nmm:NMBM01240149_1883
ko:K00215	nmm:NMBM01240149_1884
ko:K00748	nmm:NMBM01240149_1886
ko:K08300	nmm:NMBM01240149_1888
ko:K00097	nmm:NMBM01240149_1889
ko:K03310	nmm:NMBM01240149_1890
ko:K03495	nmm:NMBM01240149_1891
ko:K03470	nmm:NMBM01240149_1892
ko:K03501	nmm:NMBM01240149_1894
ko:K02838	nmm:NMBM01240149_1898
ko:K00806	nmm:NMBM01240149_1899
ko:K00981	nmm:NMBM01240149_1900
ko:K00099	nmm:NMBM01240149_1901
ko:K11749	nmm:NMBM01240149_1902
ko:K07277	nmm:NMBM01240149_1903
ko:K06142	nmm:NMBM01240149_1904
ko:K02536	nmm:NMBM01240149_1905
ko:K01662	nmm:NMBM01240149_0322
ko:K06168	nmm:NMBM01240149_0323
ko:K01845	nmm:NMBM01240149_0324
ko:K13288	nmm:NMBM01240149_0325
ko:K02687	nmm:NMBM01240149_0326
ko:K01961	nmm:NMBM01240149_0327
ko:K02160	nmm:NMBM01240149_0328
ko:K07568	nmm:NMBM01240149_0329
ko:K03923	nmm:NMBM01240149_0330
ko:K01955	nmm:NMBM01240149_0332
ko:K01956	nmm:NMBM01240149_0337
ko:K01938	nmm:NMBM01240149_0346
ko:K06942	nmm:NMBM01240149_0347
ko:K01866	nmm:NMBM01240149_0351
ko:K11753	nmm:NMBM01240149_0352
ko:K01870	nmm:NMBM01240149_0353
ko:K03101	nmm:NMBM01240149_0354
ko:K03527	nmm:NMBM01240149_0355
ko:K01091	nmm:NMBM01240149_0356
ko:K02337	nmm:NMBM01240149_0359
ko:K07053	nmm:NMBM01240149_0362
ko:K00835	nmm:NMBM01240149_0363
ko:K01704	nmm:NMBM01240149_0900
ko:K01703	nmm:NMBM01240149_0902
ko:K01919	nmm:NMBM01240149_0903
ko:K03630	nmm:NMBM01240149_0904
ko:K09765	nmm:NMBM01240149_0905
ko:K03665	nmm:NMBM01240149_0907
ko:K00528	nmm:NMBM01240149_0909
ko:K01733	nmm:NMBM01240149_0911
ko:K07478	nmm:NMBM01240149_0916
ko:K03427	nmm:NMBM01240149_0917
ko:K14652	nmm:NMBM01240149_0918
ko:K02676	nmm:NMBM01240149_1318
ko:K02341	nmm:NMBM01240149_1319
ko:K02670	nmm:NMBM01240149_1320
ko:K03596	nmm:NMBM01240149_1322
ko:K03100	nmm:NMBM01240149_1323
ko:K01738	nmm:NMBM01240149_1325
ko:K01778	nmm:NMBM01240149_1327
ko:K09792	nmm:NMBM01240149_1329
ko:K00962	nmm:NMBM01240149_1330
ko:K01923	nmm:NMBM01240149_1331
ko:K00067	nmm:NMBM01240149_1332
ko:K02192	nmm:NMBM01240149_1334
ko:K03564	nmm:NMBM01240149_1336
ko:K07262	nmm:NMBM01240149_1337
ko:K03666	nmm:NMBM01240149_1338
ko:K00950	nmm:NMBM01240149_1341
ko:K02841	nmm:NMBM01240149_2054
ko:K08281	nmm:NMBM01240149_2055
ko:K00134	nmm:NMBM01240149_2057
ko:K03555	nmm:NMBM01240149_2058
ko:K01874	nmm:NMBM01240149_0028
ko:K00820	nmm:NMBM01240149_0029
ko:K08304	nmm:NMBM01240149_0031
ko:K07243	nmm:NMBM01240149_0032
ko:K07224	nmm:NMBM01240149_0033
ko:K06193	nmm:NMBM01240149_0035
ko:K04042	nmm:NMBM01240149_0036
ko:K02064	nmm:NMBM01240149_0038
ko:K12267	nmm:NMBM01240149_0041
ko:K03110	nmm:NMBM01240149_0042
ko:K02670	nmm:NMBM01240149_0045
ko:K02669	nmm:NMBM01240149_0046
ko:K06997	nmm:NMBM01240149_0047
ko:K00286	nmm:NMBM01240149_0049
ko:K06204	nmm:NMBM01240149_0050
ko:K02237	nmm:NMBM01240149_0056
ko:K03686	nmm:NMBM01240149_0058
ko:K01790	nmm:NMBM01240149_0060
ko:K00973	nmm:NMBM01240149_0061
ko:K01991	nmm:NMBM01240149_0070
ko:K10107	nmm:NMBM01240149_0071
ko:K09688	nmm:NMBM01240149_0072
ko:K09689	nmm:NMBM01240149_0073
ko:K04567	nmm:NMBM01240149_0739
ko:K03557	nmm:NMBM01240149_0744
ko:K01159	nmm:NMBM01240149_0745
ko:K02517	nmm:NMBM01240149_0746
ko:K07501	nmm:NMBM01240149_0748
ko:K01256	nmm:NMBM01240149_0749
ko:K11004	nmm:NMBM01240149_0756
ko:K03575	nmm:NMBM01240149_0759
ko:K01625	nmm:NMBM01240149_0761
ko:K01690	nmm:NMBM01240149_0762
ko:K00036	nmm:NMBM01240149_0763
ko:K01057	nmm:NMBM01240149_0764
ko:K02621	nmm:NMBM01240149_0574
ko:K03304	nmm:NMBM01240149_0576
ko:K01872	nmm:NMBM01240149_0580
ko:K11073	nmm:NMBM01240149_0581
ko:K00995	nmm:NMBM01240149_0587
ko:K01693	nmm:NMBM01240149_0597
ko:K00817	nmm:NMBM01240149_0598
ko:K00013	nmm:NMBM01240149_0599
ko:K09968	nmm:NMBM01240149_0600
ko:K00765	nmm:NMBM01240149_0601
ko:K07152	nmm:NMBM01240149_0602
ko:K01652	nmm:NMBM01240149_0604
ko:K01653	nmm:NMBM01240149_0605
ko:K00053	nmm:NMBM01240149_0607
ko:K00611	nmm:NMBM01240149_0608
ko:K01682	nmm:NMBM01240149_0609
ko:K11720	nmm:NMBM01240149_0610
ko:K07091	nmm:NMBM01240149_0611
ko:K01255	nmm:NMBM01240149_0612
ko:K02339	nmm:NMBM01240149_0613
ko:K11175	nmm:NMBM01240149_0615
ko:K07397	nmm:NMBM01240149_0617
ko:K02444	nmm:NMBM01240149_0620
ko:K01886	nmm:NMBM01240149_0621
ko:K01920	nmm:NMBM01240149_0622
ko:K01448	nmm:NMBM01240149_1032
ko:K02471	nmm:NMBM01240149_1038
ko:K10763	nmm:NMBM01240149_1039
ko:K00930	nmm:NMBM01240149_1042
ko:K13292	nmm:NMBM01240149_1044
ko:K07039	nmm:NMBM01240149_1045
ko:K01649	nmm:NMBM01240149_1046
ko:K00931	nmm:NMBM01240149_1047
ko:K00147	nmm:NMBM01240149_1048
ko:K03466	nmm:NMBM01240149_1049
ko:K06199	nmm:NMBM01240149_1051
ko:K01633	nmm:NMBM01240149_1053
ko:K08591	nmm:NMBM01240149_1054
ko:K07115	nmm:NMBM01240149_1055
ko:K03841	nmm:NMBM01240149_1056
ko:K09794	nmm:NMBM01240149_1057
ko:K00311	nmm:NMBM01240149_1521
ko:K07218	nmm:NMBM01240149_1524
ko:K02492	nmm:NMBM01240149_1526
ko:K02437	nmm:NMBM01240149_1527
ko:K00605	nmm:NMBM01240149_1528
ko:K09941	nmm:NMBM01240149_1530
ko:K09790	nmm:NMBM01240149_1531
ko:K00346	nmm:NMBM01240149_1533
ko:K00347	nmm:NMBM01240149_1534
ko:K00348	nmm:NMBM01240149_1535
ko:K00349	nmm:NMBM01240149_1536
