ko:K19743	zmc:A265_01223
ko:K15555	zmc:A265_00075
ko:K15554	zmc:A265_00076
ko:K15553	zmc:A265_00077
ko:K02014	zmc:A265_00078
ko:K02195	zmc:A265_00079
ko:K02197	zmc:A265_00081
ko:K02198	zmc:A265_00082
ko:K02199	zmc:A265_00083
ko:K02200	zmc:A265_00084
ko:K02919	zmc:A265_00089
ko:K01834	zmc:A265_00092
ko:K03778	zmc:A265_00093
ko:K13953	zmc:A265_00094
ko:K09823	zmc:A265_00095
ko:K05800	zmc:A265_00892
ko:K01779	zmc:A265_00893
ko:K00845	zmc:A265_00894
ko:K01690	zmc:A265_00895
ko:K00036	zmc:A265_00896
ko:K01972	zmc:A265_00898
ko:K00773	zmc:A265_00899
ko:K03702	zmc:A265_00900
ko:K05837	zmc:A265_00902
ko:K05515	zmc:A265_00903
ko:K03570	zmc:A265_00905
ko:K03569	zmc:A265_00906
ko:K03572	zmc:A265_00907
ko:K07735	zmc:A265_00912
ko:K03665	zmc:A265_00913
ko:K03666	zmc:A265_00914
ko:K03320	zmc:A265_00915
ko:K03568	zmc:A265_00917
ko:K02619	zmc:A265_00918
ko:K00812	zmc:A265_00919
ko:K01840	zmc:A265_00921
ko:K00788	zmc:A265_00924
ko:K01092	zmc:A265_00926
ko:K02356	zmc:A265_00927
ko:K01760	zmc:A265_00928
ko:K09457	zmc:A265_00929
ko:K03101	zmc:A265_00931
ko:K01870	zmc:A265_00932
ko:K11753	zmc:A265_00933
ko:K18009	zmc:A265_00937
ko:K06131	zmc:A265_00939
ko:K00286	zmc:A265_00942
ko:K07266	zmc:A265_00944
ko:K03685	zmc:A265_01749
ko:K12251	zmc:A265_01753
ko:K10536	zmc:A265_01754
ko:K02986	zmc:A265_01755
ko:K02968	zmc:A265_01762
ko:K01779	zmc:A265_01764
ko:K17950	zmc:A265_01765
ko:K00005	zmc:A265_01766
ko:K18478	zmc:A265_01767
ko:K01624	zmc:A265_01768
ko:K01785	zmc:A265_01769
ko:K08191	zmc:A265_01772
ko:K02014	zmc:A265_01773
ko:K08191	zmc:A265_01774
ko:K00135	zmc:A265_01775
ko:K06988	zmc:A265_01787
ko:K03544	zmc:A265_00361
ko:K01358	zmc:A265_00362
ko:K03545	zmc:A265_00364
ko:K01193	zmc:A265_00368
ko:K08679	zmc:A265_00370
ko:K01487	zmc:A265_00372
ko:K00832	zmc:A265_00374
ko:K00684	zmc:A265_00382
ko:K02067	zmc:A265_00384
ko:K03704	zmc:A265_00385
ko:K03070	zmc:A265_00386
ko:K00620	zmc:A265_00387
ko:K03781	zmc:A265_00392
ko:K07213	zmc:A265_00395
ko:K17686	zmc:A265_00396
ko:K01491	zmc:A265_00397
ko:K00826	zmc:A265_00398
ko:K01991	zmc:A265_00400
ko:K09689	zmc:A265_00401
ko:K10107	zmc:A265_00403
ko:K03669	zmc:A265_00405
ko:K03670	zmc:A265_00406
ko:K01649	zmc:A265_00408
ko:K01885	zmc:A265_00411
ko:K01916	zmc:A265_00412
ko:K01061	zmc:A265_01211
ko:K00567	zmc:A265_01212
ko:K03650	zmc:A265_01213
ko:K02352	zmc:A265_01216
ko:K03495	zmc:A265_01217
ko:K03501	zmc:A265_01218
ko:K05596	zmc:A265_01224
ko:K06895	zmc:A265_01225
ko:K01918	zmc:A265_01226
ko:K00606	zmc:A265_01227
ko:K17836	zmc:A265_01229
ko:K02238	zmc:A265_01231
ko:K01885	zmc:A265_01232
ko:K01647	zmc:A265_01233
ko:K03631	zmc:A265_01240
ko:K00027	zmc:A265_01241
ko:K04077	zmc:A265_01242
ko:K04078	zmc:A265_01243
ko:K04773	zmc:A265_01244
ko:K08303	zmc:A265_01245
ko:K07265	zmc:A265_01248
ko:K04066	zmc:A265_01249
ko:K00833	zmc:A265_01252
ko:K00652	zmc:A265_01253
ko:K02170	zmc:A265_01254
ko:K03733	zmc:A265_01256
ko:K01920	zmc:A265_01257
ko:K06942	zmc:A265_01258
ko:K01056	zmc:A265_01259
ko:K02897	zmc:A265_01260
ko:K04763	zmc:A265_00677
ko:K00891	zmc:A265_00680
ko:K01735	zmc:A265_00681
ko:K04485	zmc:A265_00685
ko:K01591	zmc:A265_00687
ko:K01817	zmc:A265_00688
ko:K01696	zmc:A265_00689
ko:K01695	zmc:A265_00690
ko:K01963	zmc:A265_00691
ko:K11754	zmc:A265_00692
ko:K08218	zmc:A265_00693
ko:K06178	zmc:A265_00695
ko:K08316	zmc:A265_00696
ko:K03657	zmc:A265_00697
ko:K03675	zmc:A265_00698
ko:K02049	zmc:A265_00699
ko:K02050	zmc:A265_00700
ko:K02687	zmc:A265_00702
ko:K00241	zmc:A265_00703
ko:K00242	zmc:A265_00704
ko:K01902	zmc:A265_00705
ko:K08224	zmc:A265_00706
ko:K03579	zmc:A265_00707
ko:K02523	zmc:A265_00708
ko:K04092	zmc:A265_00709
ko:K00817	zmc:A265_00710
ko:K06923	zmc:A265_00711
ko:K09748	zmc:A265_00713
ko:K02600	zmc:A265_00714
ko:K07742	zmc:A265_00715
ko:K02519	zmc:A265_00716
ko:K02834	zmc:A265_00717
ko:K03177	zmc:A265_00719
ko:K02956	zmc:A265_00720
ko:K00962	zmc:A265_00721
ko:K03321	zmc:A265_00724
ko:K01609	zmc:A265_00725
ko:K00031	zmc:A265_00726
ko:K01681	zmc:A265_00727
ko:K03978	zmc:A265_01533
ko:K03217	zmc:A265_01534
ko:K03536	zmc:A265_01535
ko:K07391	zmc:A265_01536
ko:K03086	zmc:A265_01537
ko:K09117	zmc:A265_01540
ko:K01956	zmc:A265_01541
ko:K01955	zmc:A265_01542
ko:K03624	zmc:A265_01543
ko:K07323	zmc:A265_01545
ko:K01689	zmc:A265_01549
ko:K00161	zmc:A265_01551
ko:K00162	zmc:A265_01552
ko:K03469	zmc:A265_01556
ko:K02204	zmc:A265_01557
ko:K07003	zmc:A265_01558
ko:K01662	zmc:A265_01559
ko:K13954	zmc:A265_01560
ko:K01775	zmc:A265_01562
ko:K02066	zmc:A265_01563
ko:K02065	zmc:A265_01564
ko:K06878	zmc:A265_01565
ko:K07090	zmc:A265_01566
ko:K03701	zmc:A265_01567
ko:K03594	zmc:A265_01569
ko:K03629	zmc:A265_01570
ko:K02470	zmc:A265_01571
ko:K06889	zmc:A265_01580
ko:K07223	zmc:A265_01585
ko:K00426	zmc:A265_01587
ko:K01153	zmc:A265_01793
ko:K01154	zmc:A265_01795
ko:K04566	zmc:A265_00419
ko:K01785	zmc:A265_00420
ko:K09005	zmc:A265_00422
ko:K02871	zmc:A265_00424
ko:K02996	zmc:A265_00425
ko:K03406	zmc:A265_00426
ko:K03412	zmc:A265_00427
ko:K03412	zmc:A265_00428
ko:K07323	zmc:A265_00430
ko:K03527	zmc:A265_00431
ko:K06045	zmc:A265_00434
ko:K16264	zmc:A265_00440
ko:K01489	zmc:A265_00442
ko:K01494	zmc:A265_00443
ko:K09747	zmc:A265_00444
ko:K02343	zmc:A265_00445
ko:K04487	zmc:A265_00447
ko:K09987	zmc:A265_00448
ko:K03602	zmc:A265_00449
ko:K00795	zmc:A265_00450
ko:K00954	zmc:A265_00451
ko:K07568	zmc:A265_00453
ko:K00275	zmc:A265_00454
ko:K10941	zmc:A265_00455
ko:K07267	zmc:A265_00457
ko:K03455	zmc:A265_00458
ko:K01872	zmc:A265_00459
ko:K01887	zmc:A265_00461
ko:K01129	zmc:A265_00462
ko:K03531	zmc:A265_00465
ko:K03590	zmc:A265_00466
ko:K03589	zmc:A265_00467
ko:K03555	zmc:A265_01263
ko:K02520	zmc:A265_01265
ko:K00057	zmc:A265_01266
ko:K01409	zmc:A265_01267
ko:K01749	zmc:A265_01268
ko:K01719	zmc:A265_01269
ko:K02879	zmc:A265_00729
ko:K03040	zmc:A265_00730
ko:K02948	zmc:A265_00731
ko:K02952	zmc:A265_00732
ko:K00939	zmc:A265_00733
ko:K03076	zmc:A265_00734
ko:K02876	zmc:A265_00735
ko:K02907	zmc:A265_00736
ko:K02988	zmc:A265_00737
ko:K02881	zmc:A265_00738
ko:K02933	zmc:A265_00739
ko:K02994	zmc:A265_00740
ko:K02954	zmc:A265_00741
ko:K02931	zmc:A265_00742
ko:K02895	zmc:A265_00743
ko:K02874	zmc:A265_00744
ko:K02961	zmc:A265_00745
ko:K02904	zmc:A265_00746
ko:K02878	zmc:A265_00747
ko:K02982	zmc:A265_00748
ko:K02890	zmc:A265_00749
ko:K02965	zmc:A265_00750
ko:K02886	zmc:A265_00751
ko:K02892	zmc:A265_00752
ko:K02926	zmc:A265_00753
ko:K02906	zmc:A265_00754
ko:K02946	zmc:A265_00755
ko:K02358	zmc:A265_00756
ko:K02355	zmc:A265_00757
ko:K02992	zmc:A265_00758
ko:K02950	zmc:A265_00759
ko:K00382	zmc:A265_00761
ko:K10806	zmc:A265_00762
ko:K00627	zmc:A265_00763
ko:K15034	zmc:A265_00767
ko:K06177	zmc:A265_00768
ko:K00721	zmc:A265_00769
ko:K04042	zmc:A265_00774
ko:K01091	zmc:A265_00775
ko:K07278	zmc:A265_00776
ko:K09800	zmc:A265_00777
ko:K07552	zmc:A265_00778
ko:K01915	zmc:A265_00779
ko:K04751	zmc:A265_00780
ko:K01262	zmc:A265_00781
ko:K00425	zmc:A265_01588
ko:K00656	zmc:A265_01589
ko:K04069	zmc:A265_01590
ko:K09771	zmc:A265_01593
ko:K03811	zmc:A265_01594
ko:K08311	zmc:A265_01597
ko:K00764	zmc:A265_01599
ko:K01919	zmc:A265_01600
ko:K09761	zmc:A265_01601
ko:K00946	zmc:A265_01602
ko:K03625	zmc:A265_01603
ko:K00013	zmc:A265_01604
ko:K00765	zmc:A265_01605
ko:K05527	zmc:A265_01606
ko:K06045	zmc:A265_01607
ko:K09883	zmc:A265_01611
ko:K04759	zmc:A265_01613
ko:K04758	zmc:A265_01614
ko:K02337	zmc:A265_01615
ko:K01952	zmc:A265_01617
ko:K01952	zmc:A265_01618
ko:K06041	zmc:A265_01619
ko:K07799	zmc:A265_01620
ko:K07788	zmc:A265_01621
ko:K01662	zmc:A265_00096
ko:K09688	zmc:A265_00099
ko:K01711	zmc:A265_00103
ko:K07462	zmc:A265_00105
ko:K01495	zmc:A265_00106
ko:K02939	zmc:A265_00108
ko:K02963	zmc:A265_00109
ko:K02990	zmc:A265_00110
ko:K00645	zmc:A265_00111
ko:K00059	zmc:A265_00112
ko:K03116	zmc:A265_00114
ko:K03117	zmc:A265_00115
ko:K03118	zmc:A265_00116
ko:K01810	zmc:A265_00122
ko:K00383	zmc:A265_00123
ko:K03549	zmc:A265_00125
ko:K02533	zmc:A265_00131
ko:K07738	zmc:A265_00132
ko:K00600	zmc:A265_00133
ko:K01808	zmc:A265_00134
ko:K00643	zmc:A265_00135
ko:K01776	zmc:A265_00136
ko:K08169	zmc:A265_00137
ko:K08591	zmc:A265_00138
ko:K04096	zmc:A265_00139
ko:K03168	zmc:A265_00140
ko:K13038	zmc:A265_00143
ko:K03688	zmc:A265_00144
ko:K03183	zmc:A265_00145
ko:K10563	zmc:A265_00147
ko:K01772	zmc:A265_00947
ko:K09939	zmc:A265_00949
ko:K03601	zmc:A265_00950
ko:K01945	zmc:A265_00951
ko:K03699	zmc:A265_00953
ko:K02902	zmc:A265_00955
ko:K13292	zmc:A265_00958
ko:K09807	zmc:A265_00961
ko:K18139	zmc:A265_00962
ko:K18138	zmc:A265_00963
ko:K03585	zmc:A265_00964
ko:K03704	zmc:A265_00966
ko:K03684	zmc:A265_00967
ko:K11719	zmc:A265_00968
ko:K09774	zmc:A265_00969
ko:K06861	zmc:A265_00970
ko:K03092	zmc:A265_00971
ko:K00789	zmc:A265_00972
ko:K03820	zmc:A265_00973
ko:K02194	zmc:A265_00984
ko:K02193	zmc:A265_00985
ko:K03777	zmc:A265_00988
ko:K12542	zmc:A265_00989
ko:K12541	zmc:A265_00990
ko:K12543	zmc:A265_00991
ko:K11443	zmc:A265_00994
ko:K02913	zmc:A265_00995
ko:K03667	zmc:A265_00996
ko:K01419	zmc:A265_00997
ko:K03530	zmc:A265_00998
ko:K03427	zmc:A265_01796
ko:K02014	zmc:A265_01804
ko:K07726	zmc:A265_01819
ko:K02911	zmc:A265_01271
ko:K03621	zmc:A265_01272
ko:K00648	zmc:A265_01273
ko:K03210	zmc:A265_01275
ko:K03072	zmc:A265_01276
ko:K03074	zmc:A265_01277
ko:K01733	zmc:A265_01280
ko:K06969	zmc:A265_01282
ko:K07120	zmc:A265_01285
ko:K09765	zmc:A265_01287
ko:K12972	zmc:A265_01288
ko:K07120	zmc:A265_01289
ko:K01698	zmc:A265_01292
ko:K01873	zmc:A265_01293
ko:K09991	zmc:A265_01295
ko:K07390	zmc:A265_01298
ko:K03517	zmc:A265_01300
ko:K00767	zmc:A265_01301
ko:K01166	zmc:A265_01302
ko:K03524	zmc:A265_01303
ko:K03525	zmc:A265_01304
ko:K12574	zmc:A265_01305
ko:K02371	zmc:A265_01314
ko:K07267	zmc:A265_01316
ko:K07789	zmc:A265_01622
ko:K00948	zmc:A265_01628
ko:K02916	zmc:A265_01630
ko:K02887	zmc:A265_01631
ko:K01889	zmc:A265_01632
ko:K01890	zmc:A265_01633
ko:K06147	zmc:A265_01634
ko:K02493	zmc:A265_01636
ko:K02835	zmc:A265_01637
ko:K00311	zmc:A265_00150
ko:K00919	zmc:A265_00152
ko:K03215	zmc:A265_00155
ko:K01496	zmc:A265_00156
ko:K07278	zmc:A265_00159
ko:K09800	zmc:A265_00160
ko:K01484	zmc:A265_00161
ko:K01207	zmc:A265_00162
ko:K18676	zmc:A265_00164
ko:K06978	zmc:A265_00165
ko:K07657	zmc:A265_00168
ko:K02039	zmc:A265_00169
ko:K07636	zmc:A265_00170
ko:K01613	zmc:A265_00171
ko:K17103	zmc:A265_00172
ko:K01779	zmc:A265_00173
ko:K02967	zmc:A265_00175
ko:K02357	zmc:A265_00176
ko:K09903	zmc:A265_00177
ko:K02838	zmc:A265_00178
ko:K00806	zmc:A265_00179
ko:K00981	zmc:A265_00180
ko:K00099	zmc:A265_00181
ko:K11749	zmc:A265_00182
ko:K07277	zmc:A265_00183
ko:K02372	zmc:A265_00185
ko:K02909	zmc:A265_00186
ko:K00384	zmc:A265_00189
ko:K00053	zmc:A265_00190
ko:K01653	zmc:A265_00191
ko:K01652	zmc:A265_00192
ko:K00791	zmc:A265_00193
ko:K01079	zmc:A265_00194
ko:K00428	zmc:A265_00195
ko:K03592	zmc:A265_00196
ko:K01673	zmc:A265_00198
ko:K03644	zmc:A265_00199
ko:K01921	zmc:A265_00468
ko:K00075	zmc:A265_00469
ko:K01924	zmc:A265_00470
ko:K02563	zmc:A265_00471
ko:K03588	zmc:A265_00472
ko:K01925	zmc:A265_00473
ko:K01000	zmc:A265_00474
ko:K01929	zmc:A265_00475
ko:K01928	zmc:A265_00476
ko:K03587	zmc:A265_00477
ko:K03438	zmc:A265_00479
ko:K01738	zmc:A265_00481
ko:K01952	zmc:A265_00482
ko:K00012	zmc:A265_00483
ko:K01737	zmc:A265_00484
ko:K09760	zmc:A265_00486
ko:K01462	zmc:A265_00487
ko:K06187	zmc:A265_00488
ko:K00604	zmc:A265_00489
ko:K06173	zmc:A265_00490
ko:K09131	zmc:A265_00491
ko:K14441	zmc:A265_00492
ko:K01255	zmc:A265_00493
ko:K00145	zmc:A265_00495
ko:K01993	zmc:A265_00497
ko:K13926	zmc:A265_00498
ko:K01322	zmc:A265_00504
ko:K01465	zmc:A265_00506
ko:K00609	zmc:A265_00507
ko:K02014	zmc:A265_00509
ko:K07447	zmc:A265_00513
ko:K02435	zmc:A265_00514
ko:K02433	zmc:A265_00515
ko:K02434	zmc:A265_00516
ko:K01951	zmc:A265_01326
ko:K00375	zmc:A265_01327
ko:K01714	zmc:A265_01328
ko:K03839	zmc:A265_01329
ko:K02016	zmc:A265_01332
ko:K02015	zmc:A265_01333
ko:K02013	zmc:A265_01334
ko:K06193	zmc:A265_01335
ko:K03734	zmc:A265_01337
ko:K03803	zmc:A265_01338
ko:K03813	zmc:A265_01341
ko:K02595	zmc:A265_01342
ko:K02594	zmc:A265_01343
ko:K04487	zmc:A265_01344
ko:K15790	zmc:A265_01347
ko:K02596	zmc:A265_01350
ko:K02592	zmc:A265_01351
ko:K02587	zmc:A265_01352
ko:K02591	zmc:A265_01353
ko:K02586	zmc:A265_01354
ko:K02588	zmc:A265_01355
ko:K16090	zmc:A265_01356
ko:K02593	zmc:A265_01358
ko:K02597	zmc:A265_01359
ko:K02585	zmc:A265_01361
ko:K02584	zmc:A265_01362
ko:K02014	zmc:A265_01363
ko:K03617	zmc:A265_01364
ko:K03616	zmc:A265_01365
ko:K03615	zmc:A265_01366
ko:K03614	zmc:A265_01367
ko:K03612	zmc:A265_01368
ko:K03613	zmc:A265_01369
ko:K09801	zmc:A265_01370
ko:K02014	zmc:A265_01371
ko:K00661	zmc:A265_01372
ko:K01091	zmc:A265_01373
ko:K03294	zmc:A265_01374
ko:K18588	zmc:A265_00200
ko:K03743	zmc:A265_00201
ko:K02114	zmc:A265_01000
ko:K02112	zmc:A265_01001
ko:K02115	zmc:A265_01002
ko:K02111	zmc:A265_01003
ko:K02113	zmc:A265_01004
ko:K03593	zmc:A265_01005
ko:K03218	zmc:A265_01009
ko:K02013	zmc:A265_01011
ko:K02015	zmc:A265_01012
ko:K00641	zmc:A265_01016
ko:K07736	zmc:A265_01020
ko:K05524	zmc:A265_01021
ko:K17675	zmc:A265_01022
ko:K01934	zmc:A265_01024
ko:K03327	zmc:A265_01025
ko:K02888	zmc:A265_01027
ko:K02899	zmc:A265_01028
ko:K03979	zmc:A265_01030
ko:K00931	zmc:A265_01031
ko:K03406	zmc:A265_01035
ko:K01658	zmc:A265_01036
ko:K00766	zmc:A265_01037
ko:K01356	zmc:A265_01038
ko:K02836	zmc:A265_01039
ko:K05366	zmc:A265_01040
ko:K01448	zmc:A265_01042
ko:K08300	zmc:A265_01045
ko:K01752	zmc:A265_01049
ko:K16088	zmc:A265_01050
ko:K01626	zmc:A265_01052
ko:K09803	zmc:A265_10012
ko:K07341	zmc:A265_01870
ko:K07726	zmc:A265_01872
ko:K07726	zmc:A265_01873
