ko:K19405	ctlc:L2BCAN1_00712
ko:K06178	ctlc:L2BCAN1_00765
ko:K03524	ctlc:L2BCAN1_00767
ko:K05837	ctlc:L2BCAN1_00768
ko:K01875	ctlc:L2BCAN1_00771
ko:K11752	ctlc:L2BCAN1_00772
ko:K14652	ctlc:L2BCAN1_00773
ko:K00794	ctlc:L2BCAN1_00774
ko:K03310	ctlc:L2BCAN1_00777
ko:K03466	ctlc:L2BCAN1_00781
ko:K00351	ctlc:L2BCAN1_00786
ko:K03210	ctlc:L2BCAN1_00787
ko:K00231	ctlc:L2BCAN1_00791
ko:K01599	ctlc:L2BCAN1_00793
ko:K03723	ctlc:L2BCAN1_00794
ko:K01872	ctlc:L2BCAN1_00795
ko:K00615	ctlc:L2BCAN1_00799
ko:K09779	ctlc:L2BCAN1_00002
ko:K02435	ctlc:L2BCAN1_00003
ko:K02434	ctlc:L2BCAN1_00005
ko:K02517	ctlc:L2BCAN1_00011
ko:K00425	ctlc:L2BCAN1_00014
ko:K00426	ctlc:L2BCAN1_00015
ko:K07175	ctlc:L2BCAN1_00016
ko:K01870	ctlc:L2BCAN1_00021
ko:K03100	ctlc:L2BCAN1_00022
ko:K02909	ctlc:L2BCAN1_00024
ko:K02835	ctlc:L2BCAN1_00025
ko:K02493	ctlc:L2BCAN1_00026
ko:K03106	ctlc:L2BCAN1_00027
ko:K02959	ctlc:L2BCAN1_00028
ko:K00554	ctlc:L2BCAN1_00029
ko:K02884	ctlc:L2BCAN1_00030
ko:K03470	ctlc:L2BCAN1_00031
ko:K00942	ctlc:L2BCAN1_00032
ko:K01874	ctlc:L2BCAN1_00034
ko:K03581	ctlc:L2BCAN1_00035
ko:K01494	ctlc:L2BCAN1_00041
ko:K03551	ctlc:L2BCAN1_00042
ko:K01255	ctlc:L2BCAN1_00047
ko:K02340	ctlc:L2BCAN1_00049
ko:K07056	ctlc:L2BCAN1_00050
ko:K01241	ctlc:L2BCAN1_00800
ko:K02356	ctlc:L2BCAN1_00801
ko:K01929	ctlc:L2BCAN1_00806
ko:K01000	ctlc:L2BCAN1_00807
ko:K01925	ctlc:L2BCAN1_00808
ko:K03588	ctlc:L2BCAN1_00810
ko:K02563	ctlc:L2BCAN1_00811
ko:K06960	ctlc:L2BCAN1_00813
ko:K00791	ctlc:L2BCAN1_00816
ko:K09710	ctlc:L2BCAN1_00819
ko:K09458	ctlc:L2BCAN1_00820
ko:K00263	ctlc:L2BCAN1_00823
ko:K00655	ctlc:L2BCAN1_00825
ko:K04066	ctlc:L2BCAN1_00828
ko:K04567	ctlc:L2BCAN1_00831
ko:K01883	ctlc:L2BCAN1_00832
ko:K03536	ctlc:L2BCAN1_00834
ko:K02919	ctlc:L2BCAN1_00835
ko:K02954	ctlc:L2BCAN1_00836
ko:K03703	ctlc:L2BCAN1_00840
ko:K03555	ctlc:L2BCAN1_00841
ko:K14164	ctlc:L2BCAN1_00845
ko:K00703	ctlc:L2BCAN1_00847
ko:K02897	ctlc:L2BCAN1_00849
ko:K01056	ctlc:L2BCAN1_00850
ko:K02990	ctlc:L2BCAN1_00851
ko:K00164	ctlc:L2BCAN1_00056
ko:K00658	ctlc:L2BCAN1_00057
ko:K05810	ctlc:L2BCAN1_00058
ko:K03526	ctlc:L2BCAN1_00059
ko:K02400	ctlc:L2BCAN1_00063
ko:K02405	ctlc:L2BCAN1_00064
ko:K01866	ctlc:L2BCAN1_00065
ko:K03596	ctlc:L2BCAN1_00067
ko:K03301	ctlc:L2BCAN1_00068
ko:K00099	ctlc:L2BCAN1_00074
ko:K03629	ctlc:L2BCAN1_00078
ko:K02338	ctlc:L2BCAN1_00079
ko:K03664	ctlc:L2BCAN1_00080
ko:K03734	ctlc:L2BCAN1_00081
ko:K01491	ctlc:L2BCAN1_00082
ko:K02902	ctlc:L2BCAN1_00089
ko:K00705	ctlc:L2BCAN1_00090
ko:K04058	ctlc:L2BCAN1_00092
ko:K03230	ctlc:L2BCAN1_00093
ko:K03229	ctlc:L2BCAN1_00094
ko:K06942	ctlc:L2BCAN1_00095
ko:K11753	ctlc:L2BCAN1_00096
ko:K02834	ctlc:L2BCAN1_00098
ko:K02519	ctlc:L2BCAN1_00099
ko:K02600	ctlc:L2BCAN1_00100
ko:K02945	ctlc:L2BCAN1_00101
ko:K00384	ctlc:L2BCAN1_00102
ko:K00997	ctlc:L2BCAN1_00103
ko:K02963	ctlc:L2BCAN1_00852
ko:K02939	ctlc:L2BCAN1_00853
ko:K00919	ctlc:L2BCAN1_00854
ko:K00630	ctlc:L2BCAN1_00858
ko:K08301	ctlc:L2BCAN1_00859
ko:K02911	ctlc:L2BCAN1_00862
ko:K03621	ctlc:L2BCAN1_00863
ko:K03431	ctlc:L2BCAN1_00868
ko:K00820	ctlc:L2BCAN1_00869
ko:K03834	ctlc:L2BCAN1_00870
ko:K03834	ctlc:L2BCAN1_00872
ko:K06890	ctlc:L2BCAN1_00873
ko:K03110	ctlc:L2BCAN1_00874
ko:K01903	ctlc:L2BCAN1_00875
ko:K01902	ctlc:L2BCAN1_00876
ko:K09760	ctlc:L2BCAN1_00880
ko:K00075	ctlc:L2BCAN1_00886
ko:K02520	ctlc:L2BCAN1_00888
ko:K02916	ctlc:L2BCAN1_00889
ko:K02887	ctlc:L2BCAN1_00890
ko:K01889	ctlc:L2BCAN1_00891
ko:K11720	ctlc:L2BCAN1_00895
ko:K07091	ctlc:L2BCAN1_00896
ko:K04075	ctlc:L2BCAN1_00897
ko:K03798	ctlc:L2BCAN1_00898
ko:K00962	ctlc:L2BCAN1_00899
ko:K02956	ctlc:L2BCAN1_00900
ko:K00208	ctlc:L2BCAN1_00107
ko:K03575	ctlc:L2BCAN1_00110
ko:K04077	ctlc:L2BCAN1_00113
ko:K04078	ctlc:L2BCAN1_00114
ko:K08602	ctlc:L2BCAN1_00115
ko:K03695	ctlc:L2BCAN1_00116
ko:K01783	ctlc:L2BCAN1_00124
ko:K02356	ctlc:L2BCAN1_00125
ko:K02160	ctlc:L2BCAN1_00126
ko:K01961	ctlc:L2BCAN1_00127
ko:K02871	ctlc:L2BCAN1_00128
ko:K02996	ctlc:L2BCAN1_00129
ko:K02029	ctlc:L2BCAN1_00132
ko:K07058	ctlc:L2BCAN1_00135
ko:K06999	ctlc:L2BCAN1_00139
ko:K07566	ctlc:L2BCAN1_00140
ko:K09125	ctlc:L2BCAN1_00143
ko:K07039	ctlc:L2BCAN1_00144
ko:K01972	ctlc:L2BCAN1_00151
ko:K03559	ctlc:L2BCAN1_00626
ko:K02836	ctlc:L2BCAN1_00479
ko:K00991	ctlc:L2BCAN1_00482
ko:K06173	ctlc:L2BCAN1_00483
ko:K07710	ctlc:L2BCAN1_00488
ko:K07714	ctlc:L2BCAN1_00489
ko:K03584	ctlc:L2BCAN1_00492
ko:K08998	ctlc:L2BCAN1_00496
ko:K01890	ctlc:L2BCAN1_00498
ko:K02034	ctlc:L2BCAN1_00501
ko:K01772	ctlc:L2BCAN1_00510
ko:K07099	ctlc:L2BCAN1_00513
ko:K00975	ctlc:L2BCAN1_00514
ko:K03628	ctlc:L2BCAN1_00516
ko:K00859	ctlc:L2BCAN1_00517
ko:K03301	ctlc:L2BCAN1_00520
ko:K00995	ctlc:L2BCAN1_00521
ko:K03495	ctlc:L2BCAN1_00524
ko:K03800	ctlc:L2BCAN1_00525
ko:K00940	ctlc:L2BCAN1_00526
ko:K03550	ctlc:L2BCAN1_00527
ko:K01159	ctlc:L2BCAN1_00528
ko:K02913	ctlc:L2BCAN1_00155
ko:K09808	ctlc:L2BCAN1_00156
ko:K09810	ctlc:L2BCAN1_00157
ko:K01265	ctlc:L2BCAN1_00911
ko:K03321	ctlc:L2BCAN1_00918
ko:K03527	ctlc:L2BCAN1_00921
ko:K00134	ctlc:L2BCAN1_00532
ko:K03720	ctlc:L2BCAN1_00170
ko:K01696	ctlc:L2BCAN1_00171
ko:K01695	ctlc:L2BCAN1_00172
ko:K03611	ctlc:L2BCAN1_00176
ko:K00979	ctlc:L2BCAN1_00184
ko:K01937	ctlc:L2BCAN1_00185
ko:K07447	ctlc:L2BCAN1_00186
ko:K00036	ctlc:L2BCAN1_00187
ko:K01057	ctlc:L2BCAN1_00188
ko:K02343	ctlc:L2BCAN1_00189
ko:K00943	ctlc:L2BCAN1_00190
ko:K02469	ctlc:L2BCAN1_00191
ko:K02470	ctlc:L2BCAN1_00192
ko:K00773	ctlc:L2BCAN1_00196
ko:K06213	ctlc:L2BCAN1_00197
ko:K15580	ctlc:L2BCAN1_00201
ko:K15581	ctlc:L2BCAN1_00202
ko:K03319	ctlc:L2BCAN1_00207
ko:K00850	ctlc:L2BCAN1_00208
ko:K00895	ctlc:L2BCAN1_00210
ko:K02527	ctlc:L2BCAN1_00213
ko:K01869	ctlc:L2BCAN1_00214
ko:K02879	ctlc:L2BCAN1_00533
ko:K03040	ctlc:L2BCAN1_00534
ko:K02948	ctlc:L2BCAN1_00535
ko:K02952	ctlc:L2BCAN1_00536
ko:K03076	ctlc:L2BCAN1_00537
ko:K02876	ctlc:L2BCAN1_00538
ko:K02988	ctlc:L2BCAN1_00539
ko:K02881	ctlc:L2BCAN1_00540
ko:K02933	ctlc:L2BCAN1_00541
ko:K02994	ctlc:L2BCAN1_00542
ko:K02931	ctlc:L2BCAN1_00543
ko:K02895	ctlc:L2BCAN1_00544
ko:K02874	ctlc:L2BCAN1_00545
ko:K02961	ctlc:L2BCAN1_00546
ko:K02904	ctlc:L2BCAN1_00547
ko:K02878	ctlc:L2BCAN1_00548
ko:K02982	ctlc:L2BCAN1_00549
ko:K02890	ctlc:L2BCAN1_00550
ko:K02965	ctlc:L2BCAN1_00551
ko:K02886	ctlc:L2BCAN1_00552
ko:K02892	ctlc:L2BCAN1_00553
ko:K02926	ctlc:L2BCAN1_00554
ko:K02906	ctlc:L2BCAN1_00555
ko:K00604	ctlc:L2BCAN1_00557
ko:K00677	ctlc:L2BCAN1_00558
ko:K02372	ctlc:L2BCAN1_00559
ko:K02535	ctlc:L2BCAN1_00560
ko:K03820	ctlc:L2BCAN1_00561
ko:K06925	ctlc:L2BCAN1_00564
ko:K03671	ctlc:L2BCAN1_00567
ko:K03216	ctlc:L2BCAN1_00568
ko:K01876	ctlc:L2BCAN1_00570
ko:K01892	ctlc:L2BCAN1_00571
ko:K07783	ctlc:L2BCAN1_00572
ko:K02337	ctlc:L2BCAN1_00573
ko:K03311	ctlc:L2BCAN1_00582
ko:K00382	ctlc:L2BCAN1_00585
ko:K01845	ctlc:L2BCAN1_00215
ko:K07735	ctlc:L2BCAN1_00216
ko:K08999	ctlc:L2BCAN1_00217
ko:K01807	ctlc:L2BCAN1_00218
ko:K03787	ctlc:L2BCAN1_00223
ko:K03179	ctlc:L2BCAN1_00224
ko:K03186	ctlc:L2BCAN1_00225
ko:K03308	ctlc:L2BCAN1_00238
ko:K02078	ctlc:L2BCAN1_00243
ko:K00645	ctlc:L2BCAN1_00245
ko:K00648	ctlc:L2BCAN1_00246
ko:K06187	ctlc:L2BCAN1_00247
ko:K07277	ctlc:L2BCAN1_00248
ko:K06142	ctlc:L2BCAN1_00249
ko:K02536	ctlc:L2BCAN1_00250
ko:K00161	ctlc:L2BCAN1_00252
ko:K00162	ctlc:L2BCAN1_00253
ko:K00627	ctlc:L2BCAN1_00254
ko:K00688	ctlc:L2BCAN1_00255
ko:K02313	ctlc:L2BCAN1_00257
ko:K03217	ctlc:L2BCAN1_00258
ko:K04487	ctlc:L2BCAN1_00265
ko:K07083	ctlc:L2BCAN1_00269
ko:K01962	ctlc:L2BCAN1_00272
ko:K01448	ctlc:L2BCAN1_00275
ko:K01928	ctlc:L2BCAN1_00276
ko:K03587	ctlc:L2BCAN1_00277
ko:K03438	ctlc:L2BCAN1_00279
ko:K02313	ctlc:L2BCAN1_00282
ko:K00347	ctlc:L2BCAN1_00285
ko:K00348	ctlc:L2BCAN1_00286
ko:K00349	ctlc:L2BCAN1_00287
ko:K00350	ctlc:L2BCAN1_00288
ko:K02437	ctlc:L2BCAN1_00289
ko:K03696	ctlc:L2BCAN1_00293
ko:K00566	ctlc:L2BCAN1_00294
ko:K01963	ctlc:L2BCAN1_00300
ko:K04564	ctlc:L2BCAN1_00301
ko:K03685	ctlc:L2BCAN1_00304
ko:K04485	ctlc:L2BCAN1_00305
ko:K01749	ctlc:L2BCAN1_00306
ko:K01873	ctlc:L2BCAN1_00308
ko:K03644	ctlc:L2BCAN1_00586
ko:K03222	ctlc:L2BCAN1_00587
ko:K03223	ctlc:L2BCAN1_00589
ko:K03226	ctlc:L2BCAN1_00590
ko:K03228	ctlc:L2BCAN1_00592
ko:K02455	ctlc:L2BCAN1_00598
ko:K02453	ctlc:L2BCAN1_00600
ko:K03572	ctlc:L2BCAN1_00603
ko:K01868	ctlc:L2BCAN1_00609
ko:K01867	ctlc:L2BCAN1_00613
ko:K03702	ctlc:L2BCAN1_00614
ko:K01689	ctlc:L2BCAN1_00615
ko:K00240	ctlc:L2BCAN1_00619
ko:K00239	ctlc:L2BCAN1_00620
ko:K03424	ctlc:L2BCAN1_00623
ko:K03562	ctlc:L2BCAN1_00625
ko:K03641	ctlc:L2BCAN1_00628
ko:K03640	ctlc:L2BCAN1_00629
ko:K03648	ctlc:L2BCAN1_00638
ko:K03657	ctlc:L2BCAN1_00639
ko:K03092	ctlc:L2BCAN1_00640
ko:K06137	ctlc:L2BCAN1_00641
ko:K13941	ctlc:L2BCAN1_00644
ko:K01633	ctlc:L2BCAN1_00645
ko:K03086	ctlc:L2BCAN1_00646
ko:K02968	ctlc:L2BCAN1_00648
ko:K03980	ctlc:L2BCAN1_00655
ko:K01151	ctlc:L2BCAN1_00656
ko:K02986	ctlc:L2BCAN1_00657
ko:K07146	ctlc:L2BCAN1_00658
ko:K13789	ctlc:L2BCAN1_00659
ko:K01698	ctlc:L2BCAN1_00665
ko:K00346	ctlc:L2BCAN1_00666
ko:K03582	ctlc:L2BCAN1_00673
ko:K03583	ctlc:L2BCAN1_00674
ko:K03168	ctlc:L2BCAN1_00677
ko:K03046	ctlc:L2BCAN1_00321
ko:K03043	ctlc:L2BCAN1_00322
ko:K02935	ctlc:L2BCAN1_00323
ko:K02864	ctlc:L2BCAN1_00324
ko:K02863	ctlc:L2BCAN1_00325
ko:K02867	ctlc:L2BCAN1_00326
ko:K02601	ctlc:L2BCAN1_00327
ko:K03073	ctlc:L2BCAN1_00328
ko:K02358	ctlc:L2BCAN1_00330
ko:K02518	ctlc:L2BCAN1_00332
ko:K01803	ctlc:L2BCAN1_00339
ko:K03601	ctlc:L2BCAN1_00340
ko:K03602	ctlc:L2BCAN1_00341
ko:K01662	ctlc:L2BCAN1_00343
ko:K00873	ctlc:L2BCAN1_00344
ko:K03701	ctlc:L2BCAN1_00345
ko:K02343	ctlc:L2BCAN1_00346
ko:K09747	ctlc:L2BCAN1_00347
ko:K11381	ctlc:L2BCAN1_00353
ko:K03686	ctlc:L2BCAN1_00354
ko:K02970	ctlc:L2BCAN1_00355
ko:K01338	ctlc:L2BCAN1_00357
ko:K03733	ctlc:L2BCAN1_00360
ko:K06287	ctlc:L2BCAN1_00362
ko:K03075	ctlc:L2BCAN1_00365
ko:K01462	ctlc:L2BCAN1_00366
ko:K02528	ctlc:L2BCAN1_00367
ko:K06888	ctlc:L2BCAN1_00369
ko:K02221	ctlc:L2BCAN1_00679
ko:K03581	ctlc:L2BCAN1_00686
ko:K06861	ctlc:L2BCAN1_00688
ko:K01627	ctlc:L2BCAN1_00690
ko:K06180	ctlc:L2BCAN1_00694
ko:K06960	ctlc:L2BCAN1_00695
ko:K02469	ctlc:L2BCAN1_00696
ko:K02470	ctlc:L2BCAN1_00697
ko:K02492	ctlc:L2BCAN1_00698
ko:K03224	ctlc:L2BCAN1_00705
ko:K02417	ctlc:L2BCAN1_00708
ko:K03219	ctlc:L2BCAN1_00710
ko:K02838	ctlc:L2BCAN1_00716
ko:K09903	ctlc:L2BCAN1_00717
ko:K02357	ctlc:L2BCAN1_00718
ko:K02967	ctlc:L2BCAN1_00719
ko:K03162	ctlc:L2BCAN1_00722
ko:K09013	ctlc:L2BCAN1_00726
ko:K09015	ctlc:L2BCAN1_00727
ko:K11717	ctlc:L2BCAN1_00728
ko:K07220	ctlc:L2BCAN1_00732
ko:K03306	ctlc:L2BCAN1_00733
ko:K00927	ctlc:L2BCAN1_00734
ko:K10773	ctlc:L2BCAN1_00738
ko:K03650	ctlc:L2BCAN1_00739
ko:K01613	ctlc:L2BCAN1_00740
ko:K03523	ctlc:L2BCAN1_00373
ko:K01714	ctlc:L2BCAN1_00376
ko:K00928	ctlc:L2BCAN1_00377
ko:K00133	ctlc:L2BCAN1_00378
ko:K00215	ctlc:L2BCAN1_00379
ko:K00800	ctlc:L2BCAN1_00381
ko:K00891	ctlc:L2BCAN1_00382
ko:K01736	ctlc:L2BCAN1_00383
ko:K01735	ctlc:L2BCAN1_00384
ko:K13832	ctlc:L2BCAN1_00385
ko:K03758	ctlc:L2BCAN1_00389
ko:K00024	ctlc:L2BCAN1_00391
ko:K01810	ctlc:L2BCAN1_00393
ko:K03665	ctlc:L2BCAN1_00394
ko:K06167	ctlc:L2BCAN1_00395
ko:K09996	ctlc:L2BCAN1_00396
ko:K06966	ctlc:L2BCAN1_00403
ko:K09131	ctlc:L2BCAN1_00404
ko:K10206	ctlc:L2BCAN1_00406
ko:K01881	ctlc:L2BCAN1_00409
ko:K03705	ctlc:L2BCAN1_00410
ko:K03687	ctlc:L2BCAN1_00411
ko:K04043	ctlc:L2BCAN1_00412
ko:K12573	ctlc:L2BCAN1_00413
ko:K07164	ctlc:L2BCAN1_00414
ko:K06041	ctlc:L2BCAN1_00415
ko:K00658	ctlc:L2BCAN1_00416
ko:K00912	ctlc:L2BCAN1_00418
ko:K03437	ctlc:L2BCAN1_00419
ko:K06969	ctlc:L2BCAN1_00420
ko:K00793	ctlc:L2BCAN1_00421
ko:K07738	ctlc:L2BCAN1_00422
ko:K06204	ctlc:L2BCAN1_00423
ko:K03101	ctlc:L2BCAN1_00424
ko:K03310	ctlc:L2BCAN1_00425
ko:K03070	ctlc:L2BCAN1_00742
ko:K03977	ctlc:L2BCAN1_00744
ko:K03544	ctlc:L2BCAN1_00746
ko:K09817	ctlc:L2BCAN1_00432
ko:K09816	ctlc:L2BCAN1_00433
ko:K03979	ctlc:L2BCAN1_00434
ko:K02899	ctlc:L2BCAN1_00435
ko:K02888	ctlc:L2BCAN1_00436
ko:K07042	ctlc:L2BCAN1_00441
ko:K03183	ctlc:L2BCAN1_00447
ko:K01778	ctlc:L2BCAN1_00449
ko:K01358	ctlc:L2BCAN1_00450
ko:K00600	ctlc:L2BCAN1_00451
ko:K01770	ctlc:L2BCAN1_00453
ko:K02946	ctlc:L2BCAN1_00455
ko:K02355	ctlc:L2BCAN1_00456
ko:K02992	ctlc:L2BCAN1_00457
ko:K02950	ctlc:L2BCAN1_00458
ko:K03797	ctlc:L2BCAN1_00460
ko:K07462	ctlc:L2BCAN1_00467
ko:K12257	ctlc:L2BCAN1_00468
ko:K00806	ctlc:L2BCAN1_00470
ko:K00981	ctlc:L2BCAN1_00471
ko:K00945	ctlc:L2BCAN1_00472
ko:K00655	ctlc:L2BCAN1_00473
ko:K01887	ctlc:L2BCAN1_00474
ko:K00790	ctlc:L2BCAN1_00475
ko:K02028	ctlc:L2BCAN1_00133
ko:K15035	ctlc:L2BCAN1_00020
ko:K14222	ctlc:L2BCAN1_00805
ko:K14220	ctlc:L2BCAN1_00039
ko:K01985	ctlc:L2BCAN1_00785
ko:K01985	ctlc:L2BCAN1_00798
ko:K01980	ctlc:L2BCAN1_00784
ko:K01980	ctlc:L2BCAN1_00797
ko:K17103	ctlc:L2BCAN1_00881
ko:K14228	ctlc:L2BCAN1_00486
ko:K14233	ctlc:L2BCAN1_00522
ko:K14219	ctlc:L2BCAN1_00633
ko:K04084	ctlc:L2BCAN1_00624
ko:K14227	ctlc:L2BCAN1_00181
ko:K14218	ctlc:L2BCAN1_00670
ko:K14230	ctlc:L2BCAN1_00211
ko:K14230	ctlc:L2BCAN1_00337
ko:K14235	ctlc:L2BCAN1_00329
ko:K14233	ctlc:L2BCAN1_00370
ko:K14231	ctlc:L2BCAN1_00437
ko:K14228	ctlc:L2BCAN1_00530
ko:K14221	ctlc:L2BCAN1_00227
ko:K14233	ctlc:L2BCAN1_00430
ko:K14228	ctlc:L2BCAN1_00566
ko:K14219	ctlc:L2BCAN1_00490
ko:K14219	ctlc:L2BCAN1_00691
ko:K14232	ctlc:L2BCAN1_00663
ko:K14229	ctlc:L2BCAN1_00714
ko:K14224	ctlc:L2BCAN1_00715
ko:K14226	ctlc:L2BCAN1_00782
ko:K14223	ctlc:L2BCAN1_00848
ko:K14218	ctlc:L2BCAN1_00182
ko:K14234	ctlc:L2BCAN1_00711
ko:K14225	ctlc:L2BCAN1_00720
ko:K14228	ctlc:L2BCAN1_00494
ko:K14228	ctlc:L2BCAN1_00926
ko:K14232	ctlc:L2BCAN1_00062
ko:K14237	ctlc:L2BCAN1_00228
ko:K14230	ctlc:L2BCAN1_00212
ko:K01977	ctlc:L2BCAN1_00783
ko:K01977	ctlc:L2BCAN1_00796
ko:K14234	ctlc:L2BCAN1_00145
ko:K14234	ctlc:L2BCAN1_00331
ko:K14236	ctlc:L2BCAN1_00146
ko:K14225	ctlc:L2BCAN1_00749
ko:K14237	ctlc:L2BCAN1_00884
ko:K01840	ctlc:L2BCAN1_00302
ko:K06972	ctlc:L2BCAN1_00878
ko:K08274	ctlc:L2BCAN1_00392
ko:K07081	ctlc:L2BCAN1_00446
ko:K00099	ctlc:L2BCAN1_00075
ko:K09760	ctlc:L2BCAN1_00879
ko:K03625	ctlc:L2BCAN1_00887
ko:K11720	ctlc:L2BCAN1_00894
ko:K01679	ctlc:L2BCAN1_00915
ko:K00995	ctlc:L2BCAN1_00846
ko:K07125	ctlc:L2BCAN1_00334
ko:K01802	ctlc:L2BCAN1_00569
ko:K08275	ctlc:L2BCAN1_00083
ko:K08719	ctlc:L2BCAN1_00755
ko:K01829	ctlc:L2BCAN1_00830
ko:K01829	ctlc:L2BCAN1_00833
ko:K03309	ctlc:L2BCAN1_00417
ko:K07033	ctlc:L2BCAN1_00725
ko:K22100	ctlc:L2BCAN1_00338
ko:K01214	ctlc:L2BCAN1_00044
ko:K03825	ctlc:L2BCAN1_00478
ko:K03111	ctlc:L2BCAN1_00046
ko:K03497	ctlc:L2BCAN1_00729
ko:K03496	ctlc:L2BCAN1_00610
ko:K03496	ctlc:L2bCan1_p7
ko:K02626	ctlc:L2BCAN1_00388
ko:K11991	ctlc:L2BCAN1_00901
ko:K04771	ctlc:L2BCAN1_00877
ko:K19411	ctlc:L2BCAN1_00713
ko:K02031	ctlc:L2BCAN1_00731
ko:K12132	ctlc:L2BCAN1_00307
ko:K20265	ctlc:L2BCAN1_00221
ko:K20074	ctlc:L2BCAN1_00266
ko:K11749	ctlc:L2BCAN1_00076
ko:K22099	ctlc:L2BCAN1_00642
ko:K00526	ctlc:L2BCAN1_00883
ko:K01520	ctlc:L2BCAN1_00299
ko:K02314	ctlc:L2BCAN1_00523
ko:K00287	ctlc:L2BCAN1_00643
ko:K02314	ctlc:L2bCan1_p3
ko:K03553	ctlc:L2BCAN1_00684
ko:K02316	ctlc:L2BCAN1_00842
ko:K02335	ctlc:L2BCAN1_00518
ko:K02032	ctlc:L2BCAN1_00730
ko:K00525	ctlc:L2BCAN1_00882
ko:K02050	ctlc:L2BCAN1_00914
ko:K02051	ctlc:L2BCAN1_00914
ko:K01534	ctlc:L2BCAN1_00769
ko:K16239	ctlc:L2BCAN1_00088
