ko:K22617	pfx:A7318_06110
ko:K00134	pfx:A7318_22445
ko:K15778	pfx:A7318_26620
ko:K00930	pfx:A7318_26625
ko:K00762	pfx:A7318_26630
ko:K01142	pfx:A7318_26635
ko:K09940	pfx:A7318_26640
ko:K00989	pfx:A7318_26645
ko:K00942	pfx:A7318_26655
ko:K03060	pfx:A7318_26660
ko:K01139	pfx:A7318_26665
ko:K03561	pfx:A7318_26685
ko:K03559	pfx:A7318_26690
ko:K03832	pfx:A7318_26695
ko:K04761	pfx:A7318_26700
ko:K03655	pfx:A7318_26705
ko:K02004	pfx:A7318_26730
ko:K02003	pfx:A7318_26735
ko:K11912	pfx:A7318_26740
ko:K11915	pfx:A7318_26745
ko:K11890	pfx:A7318_26750
ko:K11891	pfx:A7318_26755
ko:K11892	pfx:A7318_26760
ko:K11893	pfx:A7318_26765
ko:K11906	pfx:A7318_26770
ko:K11913	pfx:A7318_26775
ko:K11902	pfx:A7318_26780
ko:K11901	pfx:A7318_26785
ko:K11900	pfx:A7318_26790
ko:K11903	pfx:A7318_26795
ko:K11897	pfx:A7318_26800
ko:K11896	pfx:A7318_26805
ko:K11895	pfx:A7318_26810
ko:K11907	pfx:A7318_26815
ko:K11904	pfx:A7318_26820
ko:K05787	pfx:A7318_26860
ko:K05297	pfx:A7318_26865
ko:K03181	pfx:A7318_26875
ko:K03179	pfx:A7318_26880
ko:K07657	pfx:A7318_26890
ko:K01295	pfx:A7318_15270
ko:K02004	pfx:A7318_15295
ko:K02003	pfx:A7318_15300
ko:K00131	pfx:A7318_15315
ko:K07223	pfx:A7318_15320
ko:K15977	pfx:A7318_15330
ko:K09930	pfx:A7318_15345
ko:K01673	pfx:A7318_15360
ko:K08169	pfx:A7318_15365
ko:K00675	pfx:A7318_15400
ko:K00343	pfx:A7318_15410
ko:K00342	pfx:A7318_15415
ko:K00341	pfx:A7318_15420
ko:K00340	pfx:A7318_15425
ko:K00339	pfx:A7318_15430
ko:K00338	pfx:A7318_15435
ko:K00337	pfx:A7318_15440
ko:K00336	pfx:A7318_15445
ko:K00335	pfx:A7318_15450
ko:K00334	pfx:A7318_15455
ko:K13378	pfx:A7318_15460
ko:K00331	pfx:A7318_15465
ko:K00330	pfx:A7318_15470
ko:K01637	pfx:A7318_15475
ko:K03529	pfx:A7318_19660
ko:K13481	pfx:A7318_19670
ko:K13482	pfx:A7318_19675
ko:K07402	pfx:A7318_19680
ko:K01487	pfx:A7318_19685
ko:K05782	pfx:A7318_19695
ko:K09923	pfx:A7318_19700
ko:K07259	pfx:A7318_19705
ko:K12297	pfx:A7318_19715
ko:K00254	pfx:A7318_19720
ko:K02575	pfx:A7318_19750
ko:K02303	pfx:A7318_19760
ko:K03286	pfx:A7318_19765
ko:K03088	pfx:A7318_19770
ko:K16074	pfx:A7318_19785
ko:K02553	pfx:A7318_19790
ko:K09773	pfx:A7318_19805
ko:K21147	pfx:A7318_19820
ko:K01738	pfx:A7318_19825
ko:K00640	pfx:A7318_19830
ko:K07050	pfx:A7318_19835
ko:K01720	pfx:A7318_19840
ko:K09788	pfx:A7318_19845
ko:K20455	pfx:A7318_19850
ko:K01659	pfx:A7318_19855
ko:K03417	pfx:A7318_19860
ko:K01665	pfx:A7318_19885
ko:K02203	pfx:A7318_19890
ko:K00390	pfx:A7318_19895
ko:K03457	pfx:A7318_19900
ko:K16841	pfx:A7318_19905
ko:K00059	pfx:A7318_19915
ko:K00969	pfx:A7318_24150
ko:K09710	pfx:A7318_24155
ko:K00783	pfx:A7318_24160
ko:K05515	pfx:A7318_24165
ko:K05837	pfx:A7318_24170
ko:K08305	pfx:A7318_24175
ko:K03642	pfx:A7318_24180
ko:K07258	pfx:A7318_24185
ko:K09158	pfx:A7318_24190
ko:K03801	pfx:A7318_24195
ko:K03644	pfx:A7318_24200
ko:K01297	pfx:A7318_24205
ko:K08305	pfx:A7318_24210
ko:K09890	pfx:A7318_24215
ko:K02340	pfx:A7318_24220
ko:K03643	pfx:A7318_24225
ko:K01869	pfx:A7318_24230
ko:K03820	pfx:A7318_24245
ko:K06189	pfx:A7318_24250
ko:K07042	pfx:A7318_24255
ko:K06217	pfx:A7318_24260
ko:K06168	pfx:A7318_24265
ko:K07126	pfx:A7318_24275
ko:K01845	pfx:A7318_24280
ko:K00788	pfx:A7318_24285
ko:K00941	pfx:A7318_24290
ko:K20971	pfx:A7318_24295
ko:K09456	pfx:A7318_24300
ko:K01241	pfx:A7318_24305
ko:K06181	pfx:A7318_24310
ko:K03719	pfx:A7318_24320
ko:K03579	pfx:A7318_24340
ko:K09945	pfx:A7318_24355
ko:K02342	pfx:A7318_24365
ko:K03719	pfx:A7318_24370
ko:K07007	pfx:A7318_24385
ko:K10805	pfx:A7318_24400
ko:K07054	pfx:A7318_24415
ko:K02029	pfx:A7318_00020
ko:K02073	pfx:A7318_00025
ko:K07002	pfx:A7318_00035
ko:K03561	pfx:A7318_00045
ko:K03832	pfx:A7318_00050
ko:K03449	pfx:A7318_00065
ko:K07665	pfx:A7318_00085
ko:K02045	pfx:A7318_00100
ko:K02047	pfx:A7318_00105
ko:K02046	pfx:A7318_00110
ko:K02048	pfx:A7318_00115
ko:K14268	pfx:A7318_00145
ko:K00135	pfx:A7318_00150
ko:K03088	pfx:A7318_00200
ko:K07114	pfx:A7318_00205
ko:K07326	pfx:A7318_00250
ko:K11937	pfx:A7318_00255
ko:K11936	pfx:A7318_00260
ko:K11931	pfx:A7318_00265
ko:K11935	pfx:A7318_00270
ko:K01752	pfx:A7318_04505
ko:K03566	pfx:A7318_04510
ko:K16091	pfx:A7318_04530
ko:K07165	pfx:A7318_04535
ko:K03088	pfx:A7318_04540
ko:K03088	pfx:A7318_04560
ko:K07165	pfx:A7318_04565
ko:K06899	pfx:A7318_04575
ko:K03530	pfx:A7318_04580
ko:K06970	pfx:A7318_04585
ko:K01873	pfx:A7318_04590
ko:K02339	pfx:A7318_04600
ko:K01255	pfx:A7318_04605
ko:K07091	pfx:A7318_04610
ko:K11720	pfx:A7318_04615
ko:K03596	pfx:A7318_04620
ko:K03100	pfx:A7318_04625
ko:K03685	pfx:A7318_04630
ko:K03595	pfx:A7318_04635
ko:K03584	pfx:A7318_04640
ko:K03474	pfx:A7318_04645
ko:K15257	pfx:A7318_04660
ko:K15256	pfx:A7318_04665
ko:K14475	pfx:A7318_04675
ko:K01338	pfx:A7318_04680
ko:K02433	pfx:A7318_04690
ko:K00059	pfx:A7318_04705
ko:K00059	pfx:A7318_04710
ko:K02055	pfx:A7318_04725
ko:K00117	pfx:A7318_04740
ko:K02014	pfx:A7318_04745
ko:K01485	pfx:A7318_09020
ko:K10974	pfx:A7318_09030
ko:K01737	pfx:A7318_09045
ko:K00558	pfx:A7318_09080
ko:K03563	pfx:A7318_09230
ko:K06987	pfx:A7318_13530
ko:K02029	pfx:A7318_13545
ko:K02029	pfx:A7318_13550
ko:K02030	pfx:A7318_13555
ko:K12252	pfx:A7318_13560
ko:K07304	pfx:A7318_13595
ko:K12538	pfx:A7318_13640
ko:K12537	pfx:A7318_13645
ko:K12536	pfx:A7318_13650
ko:K01266	pfx:A7318_13665
ko:K11073	pfx:A7318_13680
ko:K06995	pfx:A7318_13685
ko:K06911	pfx:A7318_13710
ko:K01835	pfx:A7318_13715
ko:K18297	pfx:A7318_13735
ko:K01607	pfx:A7318_13740
ko:K10036	pfx:A7318_13750
ko:K10037	pfx:A7318_13755
ko:K10038	pfx:A7318_13760
ko:K15125	pfx:A7318_13780
ko:K07326	pfx:A7318_13785
ko:K06967	pfx:A7318_18030
ko:K01706	pfx:A7318_18045
ko:K02051	pfx:A7318_18050
ko:K01438	pfx:A7318_18060
ko:K02030	pfx:A7318_18075
ko:K02028	pfx:A7318_18085
ko:K02029	pfx:A7318_18085
ko:K03786	pfx:A7318_18105
ko:K07222	pfx:A7318_18110
ko:K07304	pfx:A7318_18115
ko:K00606	pfx:A7318_18135
ko:K07112	pfx:A7318_18140
ko:K01173	pfx:A7318_18150
ko:K04080	pfx:A7318_18180
ko:K03503	pfx:A7318_18250
ko:K03111	pfx:A7318_18265
ko:K00101	pfx:A7318_18295
ko:K01690	pfx:A7318_22450
ko:K00845	pfx:A7318_22455
ko:K03761	pfx:A7318_22490
ko:K10126	pfx:A7318_22495
ko:K10125	pfx:A7318_22500
ko:K01676	pfx:A7318_22505
ko:K00873	pfx:A7318_22520
ko:K03924	pfx:A7318_22540
ko:K01141	pfx:A7318_22565
ko:K01433	pfx:A7318_22575
ko:K03406	pfx:A7318_22580
ko:K06915	pfx:A7318_22585
ko:K03070	pfx:A7318_22595
ko:K00620	pfx:A7318_22600
ko:K03574	pfx:A7318_22605
ko:K00798	pfx:A7318_22610
ko:K00077	pfx:A7318_22620
ko:K09767	pfx:A7318_22625
ko:K03442	pfx:A7318_22630
ko:K18093	pfx:A7318_22635
ko:K03745	pfx:A7318_22645
ko:K03704	pfx:A7318_22650
ko:K04047	pfx:A7318_22655
ko:K01876	pfx:A7318_22670
ko:K01159	pfx:A7318_22680
ko:K03550	pfx:A7318_22685
ko:K03551	pfx:A7318_22690
ko:K01075	pfx:A7318_22695
ko:K03562	pfx:A7318_22700
ko:K03560	pfx:A7318_22705
ko:K03646	pfx:A7318_22710
ko:K03641	pfx:A7318_22715
ko:K03640	pfx:A7318_22720
ko:K07636	pfx:A7318_26895
ko:K02039	pfx:A7318_26910
ko:K02036	pfx:A7318_26915
ko:K02038	pfx:A7318_26920
ko:K02037	pfx:A7318_26925
ko:K02040	pfx:A7318_26930
ko:K10806	pfx:A7318_26940
ko:K01792	pfx:A7318_26945
ko:K09950	pfx:A7318_26950
ko:K01589	pfx:A7318_26960
ko:K01588	pfx:A7318_26965
ko:K01744	pfx:A7318_26975
ko:K03310	pfx:A7318_26980
ko:K01424	pfx:A7318_26985
ko:K11073	pfx:A7318_27000
ko:K00375	pfx:A7318_27010
ko:K07734	pfx:A7318_27015
ko:K01960	pfx:A7318_27035
ko:K01959	pfx:A7318_27040
ko:K19337	pfx:A7318_27050
ko:K03657	pfx:A7318_27060
ko:K03455	pfx:A7318_27075
ko:K00868	pfx:A7318_27090
ko:K06204	pfx:A7318_27115
ko:K01448	pfx:A7318_27125
ko:K09007	pfx:A7318_27130
ko:K02074	pfx:A7318_27135
ko:K02075	pfx:A7318_27140
ko:K02077	pfx:A7318_27145
ko:K01496	pfx:A7318_27150
ko:K01465	pfx:A7318_27160
ko:K05540	pfx:A7318_01990
ko:K03557	pfx:A7318_01995
ko:K00602	pfx:A7318_02000
ko:K01945	pfx:A7318_02005
ko:K20972	pfx:A7318_02010
ko:K05595	pfx:A7318_02015
ko:K13541	pfx:A7318_02025
ko:K03394	pfx:A7318_02030
ko:K06042	pfx:A7318_02035
ko:K02229	pfx:A7318_02040
ko:K00595	pfx:A7318_02045
ko:K05895	pfx:A7318_02050
ko:K09796	pfx:A7318_02060
ko:K02014	pfx:A7318_02070
ko:K02014	pfx:A7318_02080
ko:K02013	pfx:A7318_02085
ko:K02016	pfx:A7318_02090
ko:K02015	pfx:A7318_02095
ko:K11959	pfx:A7318_02105
ko:K11960	pfx:A7318_02110
ko:K11961	pfx:A7318_02115
ko:K11962	pfx:A7318_02120
ko:K11963	pfx:A7318_02125
ko:K03190	pfx:A7318_02130
ko:K01430	pfx:A7318_02135
ko:K03823	pfx:A7318_02140
ko:K19113	pfx:A7318_02145
ko:K01429	pfx:A7318_02150
ko:K01428	pfx:A7318_02155
ko:K05516	pfx:A7318_02160
ko:K04046	pfx:A7318_02165
ko:K03594	pfx:A7318_02205
ko:K07290	pfx:A7318_02210
ko:K03187	pfx:A7318_02230
ko:K03188	pfx:A7318_02235
ko:K03189	pfx:A7318_02240
ko:K03192	pfx:A7318_02245
ko:K01996	pfx:A7318_02265
ko:K03548	pfx:A7318_06465
ko:K03564	pfx:A7318_06470
ko:K03567	pfx:A7318_06475
ko:K01714	pfx:A7318_06480
ko:K07287	pfx:A7318_06485
ko:K01923	pfx:A7318_06495
ko:K03406	pfx:A7318_06505
ko:K07679	pfx:A7318_06515
ko:K07690	pfx:A7318_06520
ko:K12262	pfx:A7318_06530
ko:K03088	pfx:A7318_06540
ko:K06016	pfx:A7318_06560
ko:K17752	pfx:A7318_06585
ko:K17762	pfx:A7318_06590
ko:K17763	pfx:A7318_06595
ko:K03288	pfx:A7318_06610
ko:K18297	pfx:A7318_06650
ko:K01826	pfx:A7318_06655
ko:K03449	pfx:A7318_06665
ko:K01652	pfx:A7318_06675
ko:K03566	pfx:A7318_06680
ko:K07118	pfx:A7318_06685
ko:K18954	pfx:A7318_06700
ko:K00481	pfx:A7318_06705
ko:K01713	pfx:A7318_06720
ko:K01915	pfx:A7318_06725
ko:K03684	pfx:A7318_06735
ko:K13609	pfx:A7318_11000
ko:K07165	pfx:A7318_11015
ko:K06992	pfx:A7318_11035
ko:K00036	pfx:A7318_11065
ko:K00033	pfx:A7318_11070
ko:K19353	pfx:A7318_11075
ko:K16088	pfx:A7318_11080
ko:K06916	pfx:A7318_11095
ko:K01256	pfx:A7318_11115
ko:K09916	pfx:A7318_11125
ko:K02441	pfx:A7318_11130
ko:K00858	pfx:A7318_11140
ko:K09977	pfx:A7318_11145
ko:K13580	pfx:A7318_11150
ko:K03405	pfx:A7318_11155
ko:K02230	pfx:A7318_11160
ko:K02234	pfx:A7318_11165
ko:K02189	pfx:A7318_11180
ko:K05936	pfx:A7318_11185
ko:K07400	pfx:A7318_11190
ko:K00548	pfx:A7318_11200
ko:K00381	pfx:A7318_11220
ko:K00156	pfx:A7318_11240
ko:K19784	pfx:A7318_11245
ko:K01584	pfx:A7318_11270
ko:K18850	pfx:A7318_15490
ko:K01756	pfx:A7318_15495
ko:K07153	pfx:A7318_15500
ko:K00566	pfx:A7318_15505
ko:K00031	pfx:A7318_15520
ko:K00031	pfx:A7318_15525
ko:K03704	pfx:A7318_15530
ko:K06891	pfx:A7318_15535
ko:K03694	pfx:A7318_15540
ko:K02518	pfx:A7318_15545
ko:K21420	pfx:A7318_15550
ko:K00684	pfx:A7318_15555
ko:K03466	pfx:A7318_15560
ko:K03634	pfx:A7318_15565
ko:K07478	pfx:A7318_15570
ko:K06199	pfx:A7318_15575
ko:K01875	pfx:A7318_15580
ko:K02302	pfx:A7318_15585
ko:K07393	pfx:A7318_15590
ko:K11179	pfx:A7318_15600
ko:K07237	pfx:A7318_15605
ko:K07236	pfx:A7318_15610
ko:K07235	pfx:A7318_15615
ko:K02742	pfx:A7318_15625
ko:K14058	pfx:A7318_15635
ko:K03809	pfx:A7318_15650
ko:K06075	pfx:A7318_00305
ko:K02014	pfx:A7318_00330
ko:K07165	pfx:A7318_00335
ko:K03088	pfx:A7318_00340
ko:K03543	pfx:A7318_00350
ko:K03446	pfx:A7318_00355
ko:K02050	pfx:A7318_00365
ko:K02049	pfx:A7318_00370
ko:K02051	pfx:A7318_00375
ko:K03119	pfx:A7318_00380
ko:K03406	pfx:A7318_00410
ko:K03088	pfx:A7318_00415
ko:K02014	pfx:A7318_00425
ko:K21134	pfx:A7318_00435
ko:K21137	pfx:A7318_00440
ko:K21136	pfx:A7318_00445
ko:K02072	pfx:A7318_00460
ko:K02071	pfx:A7318_00465
ko:K02073	pfx:A7318_00470
ko:K20938	pfx:A7318_00475
ko:K10010	pfx:A7318_00495
ko:K10009	pfx:A7318_00500
ko:K02424	pfx:A7318_00505
ko:K05396	pfx:A7318_00510
ko:K00640	pfx:A7318_00515
ko:K02168	pfx:A7318_00520
ko:K19265	pfx:A7318_00530
ko:K03119	pfx:A7318_00535
ko:K15552	pfx:A7318_00540
ko:K10831	pfx:A7318_00545
ko:K15551	pfx:A7318_00550
ko:K01919	pfx:A7318_00555
ko:K02614	pfx:A7318_00560
ko:K06959	pfx:A7318_00565
ko:K03293	pfx:A7318_04805
ko:K18540	pfx:A7318_04835
ko:K02909	pfx:A7318_04845
ko:K03576	pfx:A7318_04865
ko:K03928	pfx:A7318_04915
ko:K02442	pfx:A7318_04935
ko:K17061	pfx:A7318_04940
ko:K17060	pfx:A7318_04945
ko:K10004	pfx:A7318_04950
ko:K10002	pfx:A7318_04955
ko:K10003	pfx:A7318_04960
ko:K10001	pfx:A7318_04965
ko:K00111	pfx:A7318_04970
ko:K02444	pfx:A7318_04975
ko:K00864	pfx:A7318_04980
ko:K02440	pfx:A7318_04985
ko:K03976	pfx:A7318_04990
ko:K02010	pfx:A7318_04995
ko:K00611	pfx:A7318_05000
ko:K07390	pfx:A7318_05010
ko:K03594	pfx:A7318_05015
ko:K02192	pfx:A7318_05020
ko:K03386	pfx:A7318_05025
ko:K03683	pfx:A7318_05030
ko:K01465	pfx:A7318_05035
ko:K21218	pfx:A7318_05040
ko:K01940	pfx:A7318_05045
ko:K07690	pfx:A7318_05050
ko:K10773	pfx:A7318_05060
ko:K03616	pfx:A7318_05065
ko:K03406	pfx:A7318_09360
ko:K03791	pfx:A7318_09400
ko:K03406	pfx:A7318_09450
ko:K07084	pfx:A7318_09455
ko:K03406	pfx:A7318_09460
ko:K08303	pfx:A7318_09465
ko:K00014	pfx:A7318_09495
ko:K09915	pfx:A7318_09500
ko:K09983	pfx:A7318_09505
ko:K07862	pfx:A7318_09510
ko:K03717	pfx:A7318_09520
ko:K01008	pfx:A7318_09535
ko:K06917	pfx:A7318_09540
ko:K07089	pfx:A7318_09545
ko:K11209	pfx:A7318_09555
ko:K01698	pfx:A7318_09565
ko:K00626	pfx:A7318_09590
ko:K01029	pfx:A7318_09595
ko:K07483	pfx:A7318_13825
ko:K07497	pfx:A7318_13830
ko:K07497	pfx:A7318_13835
ko:K00480	pfx:A7318_13845
ko:K01821	pfx:A7318_13860
ko:K08166	pfx:A7318_13875
ko:K05548	pfx:A7318_13910
ko:K05783	pfx:A7318_13915
ko:K05784	pfx:A7318_13920
ko:K05550	pfx:A7318_13925
ko:K05549	pfx:A7318_13930
ko:K02014	pfx:A7318_13940
ko:K02035	pfx:A7318_13945
ko:K02033	pfx:A7318_13950
ko:K02034	pfx:A7318_13955
ko:K02031	pfx:A7318_13960
ko:K02032	pfx:A7318_13960
ko:K18298	pfx:A7318_13965
ko:K18299	pfx:A7318_13970
ko:K18300	pfx:A7318_13975
ko:K07243	pfx:A7318_13990
ko:K16301	pfx:A7318_14000
ko:K07224	pfx:A7318_14005
ko:K00998	pfx:A7318_14010
ko:K09958	pfx:A7318_14020
ko:K10979	pfx:A7318_14035
ko:K01971	pfx:A7318_14040
ko:K07396	pfx:A7318_18320
ko:K07146	pfx:A7318_18325
ko:K05527	pfx:A7318_18330
ko:K09924	pfx:A7318_18335
ko:K01679	pfx:A7318_18340
ko:K00632	pfx:A7318_18350
ko:K15461	pfx:A7318_18360
ko:K01953	pfx:A7318_18370
ko:K09898	pfx:A7318_18385
ko:K03563	pfx:A7318_18390
ko:K06867	pfx:A7318_18415
ko:K13776	pfx:A7318_18420
ko:K08967	pfx:A7318_18435
ko:K05820	pfx:A7318_18440
ko:K01736	pfx:A7318_18445
ko:K06889	pfx:A7318_18450
ko:K07320	pfx:A7318_18460
ko:K01495	pfx:A7318_18480
ko:K03300	pfx:A7318_18500
ko:K00799	pfx:A7318_18510
ko:K06901	pfx:A7318_18525
ko:K07127	pfx:A7318_18540
ko:K01477	pfx:A7318_18555
ko:K01483	pfx:A7318_18560
ko:K10026	pfx:A7318_22730
ko:K06920	pfx:A7318_22735
ko:K06076	pfx:A7318_22745
ko:K03517	pfx:A7318_22755
ko:K03704	pfx:A7318_22765
ko:K00605	pfx:A7318_22770
ko:K01752	pfx:A7318_22775
ko:K00281	pfx:A7318_22780
ko:K02437	pfx:A7318_22785
ko:K00926	pfx:A7318_22800
ko:K00611	pfx:A7318_22805
ko:K01478	pfx:A7318_22810
ko:K03758	pfx:A7318_22815
ko:K03758	pfx:A7318_22820
ko:K01247	pfx:A7318_22825
ko:K17247	pfx:A7318_22835
ko:K07147	pfx:A7318_22840
ko:K17103	pfx:A7318_22845
ko:K00053	pfx:A7318_22850
ko:K01653	pfx:A7318_22855
ko:K01652	pfx:A7318_22860
ko:K05365	pfx:A7318_22875
ko:K07028	pfx:A7318_22880
ko:K02013	pfx:A7318_22895
ko:K02015	pfx:A7318_22900
ko:K02016	pfx:A7318_22905
ko:K06206	pfx:A7318_22915
ko:K06204	pfx:A7318_22925
ko:K01894	pfx:A7318_22930
ko:K00970	pfx:A7318_22945
ko:K00950	pfx:A7318_22950
ko:K00606	pfx:A7318_22955
ko:K01918	pfx:A7318_22960
ko:K01810	pfx:A7318_22965
ko:K01895	pfx:A7318_22970
ko:K06969	pfx:A7318_22980
ko:K04065	pfx:A7318_22990
ko:K00962	pfx:A7318_22995
ko:K02956	pfx:A7318_23000
ko:K06131	pfx:A7318_27170
ko:K00574	pfx:A7318_27175
ko:K09930	pfx:A7318_27185
ko:K04087	pfx:A7318_27205
ko:K00995	pfx:A7318_27215
ko:K00981	pfx:A7318_27240
ko:K03719	pfx:A7318_27245
ko:K06894	pfx:A7318_27255
ko:K05367	pfx:A7318_27260
ko:K15125	pfx:A7318_27270
ko:K07326	pfx:A7318_27275
ko:K00820	pfx:A7318_27280
ko:K04042	pfx:A7318_27290
ko:K02114	pfx:A7318_27295
ko:K02112	pfx:A7318_27300
ko:K02115	pfx:A7318_27305
ko:K02111	pfx:A7318_27310
ko:K02113	pfx:A7318_27315
ko:K02109	pfx:A7318_27320
ko:K02110	pfx:A7318_27325
ko:K02108	pfx:A7318_27330
ko:K02116	pfx:A7318_27335
ko:K03497	pfx:A7318_27340
ko:K03496	pfx:A7318_27345
ko:K03501	pfx:A7318_27350
ko:K03495	pfx:A7318_27355
ko:K03088	pfx:A7318_27360
ko:K07165	pfx:A7318_27365
ko:K02014	pfx:A7318_27370
ko:K03650	pfx:A7318_27375
ko:K03217	pfx:A7318_27380
ko:K02914	pfx:A7318_27390
ko:K02313	pfx:A7318_27395
ko:K02338	pfx:A7318_27400
ko:K03629	pfx:A7318_27405
ko:K02470	pfx:A7318_27410
ko:K00655	pfx:A7318_27430
