ko:K02022	rpo:MA1_01525
ko:K02108	rpo:MA1_00105
ko:K07736	rpo:MA1_00120
ko:K03629	rpo:MA1_00130
ko:K07152	rpo:MA1_00140
ko:K07735	rpo:MA1_00145
ko:K00023	rpo:MA1_00160
ko:K03695	rpo:MA1_00165
ko:K02990	rpo:MA1_00180
ko:K02963	rpo:MA1_00185
ko:K02939	rpo:MA1_00190
ko:K04075	rpo:MA1_00195
ko:K03798	rpo:MA1_00200
ko:K00240	rpo:MA1_00205
ko:K13292	rpo:MA1_00215
ko:K03217	rpo:MA1_00225
ko:K03926	rpo:MA1_00855
ko:K01737	rpo:MA1_00860
ko:K00658	rpo:MA1_00865
ko:K00164	rpo:MA1_00870
ko:K01299	rpo:MA1_00875
ko:K03631	rpo:MA1_00880
ko:K05807	rpo:MA1_00885
ko:K03686	rpo:MA1_00890
ko:K04043	rpo:MA1_00895
ko:K02340	rpo:MA1_00920
ko:K06134	rpo:MA1_00925
ko:K02276	rpo:MA1_00930
ko:K05367	rpo:MA1_00950
ko:K07080	rpo:MA1_00965
ko:K04044	rpo:MA1_00980
ko:K04082	rpo:MA1_00985
ko:K03470	rpo:MA1_00990
ko:K03702	rpo:MA1_00995
ko:K02469	rpo:MA1_01010
ko:K01462	rpo:MA1_01020
ko:K00604	rpo:MA1_01025
ko:K06916	rpo:MA1_01030
ko:K07568	rpo:MA1_01035
ko:K00425	rpo:MA1_01050
ko:K00426	rpo:MA1_01055
ko:K01923	rpo:MA1_01070
ko:K01868	rpo:MA1_01075
ko:K09991	rpo:MA1_01095
ko:K02622	rpo:MA1_01105
ko:K03797	rpo:MA1_01110
ko:K07716	rpo:MA1_01115
ko:K03641	rpo:MA1_01465
ko:K03089	rpo:MA1_01470
ko:K00566	rpo:MA1_01485
ko:K01892	rpo:MA1_01495
ko:K03562	rpo:MA1_01500
ko:K00133	rpo:MA1_01535
ko:K01419	rpo:MA1_01550
ko:K03667	rpo:MA1_01555
ko:K00748	rpo:MA1_01560
ko:K07082	rpo:MA1_01565
ko:K00382	rpo:MA1_02235
ko:K03684	rpo:MA1_02245
ko:K06980	rpo:MA1_02255
ko:K01749	rpo:MA1_02265
ko:K01867	rpo:MA1_02270
ko:K00655	rpo:MA1_02275
ko:K07018	rpo:MA1_02285
ko:K08218	rpo:MA1_02305
ko:K02523	rpo:MA1_02325
ko:K04487	rpo:MA1_02350
ko:K04487	rpo:MA1_02355
ko:K13643	rpo:MA1_02360
ko:K05810	rpo:MA1_02385
ko:K01915	rpo:MA1_02390
ko:K07058	rpo:MA1_02395
ko:K02956	rpo:MA1_02420
ko:K00962	rpo:MA1_02425
ko:K06041	rpo:MA1_02430
ko:K11719	rpo:MA1_02435
ko:K09774	rpo:MA1_02440
ko:K06861	rpo:MA1_02445
ko:K00791	rpo:MA1_02455
ko:K00384	rpo:MA1_02475
ko:K01491	rpo:MA1_02480
ko:K02871	rpo:MA1_01135
ko:K02996	rpo:MA1_01140
ko:K08311	rpo:MA1_01145
ko:K02356	rpo:MA1_01155
ko:K01613	rpo:MA1_01170
ko:K03543	rpo:MA1_01180
ko:K05527	rpo:MA1_01190
ko:K06202	rpo:MA1_01570
ko:K03523	rpo:MA1_01575
ko:K03168	rpo:MA1_01585
ko:K07447	rpo:MA1_01605
ko:K00067	rpo:MA1_01610
ko:K09159	rpo:MA1_02865
ko:K02904	rpo:MA1_03125
ko:K02878	rpo:MA1_03130
ko:K02982	rpo:MA1_03135
ko:K02890	rpo:MA1_03140
ko:K02965	rpo:MA1_03145
ko:K02886	rpo:MA1_03150
ko:K02892	rpo:MA1_03155
ko:K02926	rpo:MA1_03160
ko:K02906	rpo:MA1_03165
ko:K02946	rpo:MA1_03170
ko:K02358	rpo:MA1_03175
ko:K03218	rpo:MA1_03180
ko:K03531	rpo:MA1_03190
ko:K03704	rpo:MA1_03210
ko:K02528	rpo:MA1_03220
ko:K04744	rpo:MA1_03230
ko:K03601	rpo:MA1_03235
ko:K01142	rpo:MA1_03240
ko:K03977	rpo:MA1_03250
ko:K03688	rpo:MA1_03255
ko:K03183	rpo:MA1_03260
ko:K03424	rpo:MA1_03270
ko:K01874	rpo:MA1_03275
ko:K00943	rpo:MA1_03280
ko:K03179	rpo:MA1_03290
ko:K01873	rpo:MA1_03295
ko:K09760	rpo:MA1_03310
ko:K03544	rpo:MA1_03320
ko:K03790	rpo:MA1_03325
ko:K06920	rpo:MA1_03330
ko:K07552	rpo:MA1_03345
ko:K09808	rpo:MA1_03350
ko:K02198	rpo:MA1_03370
ko:K05349	rpo:MA1_03380
ko:K04764	rpo:MA1_03390
ko:K07010	rpo:MA1_03440
ko:K02517	rpo:MA1_03480
ko:K00912	rpo:MA1_03485
ko:K01972	rpo:MA1_03490
ko:K00773	rpo:MA1_03495
ko:K09985	rpo:MA1_03520
ko:K00859	rpo:MA1_03530
ko:K00645	rpo:MA1_03550
ko:K03821	rpo:MA1_03560
ko:K07042	rpo:MA1_03575
ko:K03644	rpo:MA1_03580
ko:K00600	rpo:MA1_03585
ko:K06999	rpo:MA1_03590
ko:K07390	rpo:MA1_03595
ko:K10773	rpo:MA1_03600
ko:K07056	rpo:MA1_03605
ko:K03116	rpo:MA1_03615
ko:K01095	rpo:MA1_03620
ko:K02888	rpo:MA1_03625
ko:K02899	rpo:MA1_03630
ko:K00928	rpo:MA1_03635
ko:K09888	rpo:MA1_03650
ko:K15371	rpo:MA1_03665
ko:K03650	rpo:MA1_03670
ko:K02078	rpo:MA1_03695
ko:K09458	rpo:MA1_03700
ko:K00942	rpo:MA1_03705
ko:K03570	rpo:MA1_03715
ko:K03569	rpo:MA1_03720
ko:K11720	rpo:MA1_03725
ko:K03640	rpo:MA1_03730
ko:K00648	rpo:MA1_03735
ko:K02911	rpo:MA1_03740
ko:K03110	rpo:MA1_03750
ko:K00789	rpo:MA1_03760
ko:K02337	rpo:MA1_03765
ko:K00012	rpo:MA1_03770
ko:K03118	rpo:MA1_03785
ko:K01875	rpo:MA1_03790
ko:K00339	rpo:MA1_03820
ko:K00340	rpo:MA1_03825
ko:K00341	rpo:MA1_03830
ko:K00342	rpo:MA1_03835
ko:K00338	rpo:MA1_03845
ko:K00337	rpo:MA1_03850
ko:K01681	rpo:MA1_03865
ko:K02114	rpo:MA1_03870
ko:K02112	rpo:MA1_03875
ko:K02115	rpo:MA1_03880
ko:K02111	rpo:MA1_03885
ko:K02113	rpo:MA1_03890
ko:K00382	rpo:MA1_03895
ko:K04047	rpo:MA1_03900
ko:K05366	rpo:MA1_03905
ko:K06168	rpo:MA1_03910
ko:K09710	rpo:MA1_03925
ko:K02518	rpo:MA1_03935
ko:K06287	rpo:MA1_03940
ko:K06204	rpo:MA1_03945
ko:K03733	rpo:MA1_03950
ko:K03821	rpo:MA1_03965
ko:K03182	rpo:MA1_03970
ko:K03466	rpo:MA1_03980
ko:K01265	rpo:MA1_03985
ko:K02195	rpo:MA1_04015
ko:K09817	rpo:MA1_04035
ko:K03701	rpo:MA1_04040
ko:K09131	rpo:MA1_04055
ko:K04079	rpo:MA1_04060
ko:K00643	rpo:MA1_04065
ko:K03545	rpo:MA1_04070
ko:K03979	rpo:MA1_04075
ko:K01647	rpo:MA1_04080
ko:K06180	rpo:MA1_04090
ko:K02493	rpo:MA1_04095
ko:K07566	rpo:MA1_04100
ko:K01879	rpo:MA1_04105
ko:K01878	rpo:MA1_04110
ko:K09765	rpo:MA1_04115
ko:K03762	rpo:MA1_04120
ko:K01872	rpo:MA1_04140
ko:K06173	rpo:MA1_04145
ko:K03086	rpo:MA1_04150
ko:K03624	rpo:MA1_04165
ko:K00324	rpo:MA1_04170
ko:K00324	rpo:MA1_04175
ko:K02343	rpo:MA1_04185
ko:K09747	rpo:MA1_04190
ko:K06985	rpo:MA1_04195
ko:K06167	rpo:MA1_04205
ko:K07091	rpo:MA1_04215
ko:K02339	rpo:MA1_04220
ko:K03801	rpo:MA1_04235
ko:K02959	rpo:MA1_04240
ko:K02913	rpo:MA1_04245
ko:K03572	rpo:MA1_04250
ko:K03762	rpo:MA1_04260
ko:K00228	rpo:MA1_04265
ko:K08973	rpo:MA1_04270
ko:K01772	rpo:MA1_04275
ko:K01599	rpo:MA1_04280
ko:K02313	rpo:MA1_02875
ko:K06942	rpo:MA1_02890
ko:K01056	rpo:MA1_02895
ko:K02897	rpo:MA1_02900
ko:K02916	rpo:MA1_02910
ko:K02887	rpo:MA1_02915
ko:K02914	rpo:MA1_02920
ko:K03536	rpo:MA1_02925
ko:K13598	rpo:MA1_02940
ko:K02970	rpo:MA1_02945
ko:K01870	rpo:MA1_02955
ko:K05939	rpo:MA1_02975
ko:K09816	rpo:MA1_02980
ko:K04077	rpo:MA1_03005
ko:K04078	rpo:MA1_03010
ko:K00989	rpo:MA1_03015
ko:K03687	rpo:MA1_03020
ko:K02968	rpo:MA1_03035
ko:K02879	rpo:MA1_03040
ko:K03040	rpo:MA1_03045
ko:K02948	rpo:MA1_03050
ko:K02952	rpo:MA1_03055
ko:K03076	rpo:MA1_03065
ko:K02876	rpo:MA1_03070
ko:K02907	rpo:MA1_03075
ko:K02988	rpo:MA1_03080
ko:K02881	rpo:MA1_03085
ko:K02933	rpo:MA1_03090
ko:K02994	rpo:MA1_03095
ko:K02954	rpo:MA1_03100
ko:K02931	rpo:MA1_03105
ko:K02895	rpo:MA1_03110
ko:K02874	rpo:MA1_03115
ko:K02961	rpo:MA1_03120
ko:K12340	rpo:MA1_01090
ko:K03455	rpo:MA1_03920
ko:K05524	rpo:MA1_04010
ko:K01439	rpo:MA1_04225
ko:K09691	rpo:MA1_00015
ko:K01965	rpo:MA1_02960
ko:K01966	rpo:MA1_02965
ko:K00568	rpo:MA1_02985
ko:K01885	rpo:MA1_02990
ko:K00939	rpo:MA1_03060
ko:K01679	rpo:MA1_03185
ko:K15383	rpo:MA1_03245
ko:K06147	rpo:MA1_03335
ko:K02067	rpo:MA1_03505
ko:K03469	rpo:MA1_03515
ko:K09949	rpo:MA1_03525
ko:K02342	rpo:MA1_03535
ko:K00626	rpo:MA1_03555
ko:K00059	rpo:MA1_03690
ko:K05794	rpo:MA1_03805
ko:K02193	rpo:MA1_03840
ko:K03301	rpo:MA1_02410
ko:K03301	rpo:MA1_03565
ko:K14235	rpo:MA1_t04295
ko:K14232	rpo:MA1_t04345
ko:K16053	rpo:MA1_00220
ko:K01840	rpo:MA1_02450
ko:K14223	rpo:MA1_t04315
ko:K14233	rpo:MA1_t04341
ko:K14230	rpo:MA1_t04343
ko:K14222	rpo:MA1_t04303
ko:K07323	rpo:MA1_00445
ko:K14233	rpo:MA1_t04311
ko:K14218	rpo:MA1_t04319
ko:K14231	rpo:MA1_t04287
ko:K14224	rpo:MA1_t04289
ko:K14234	rpo:MA1_t04291
ko:K14234	rpo:MA1_t04297
ko:K14234	rpo:MA1_t04351
ko:K14230	rpo:MA1_t04293
ko:K14230	rpo:MA1_t04299
ko:K01980	rpo:MA1_r04357
ko:K01985	rpo:MA1_r04353
ko:K14220	rpo:MA1_t04301
ko:K14229	rpo:MA1_t04305
ko:K14227	rpo:MA1_t04307
ko:K14233	rpo:MA1_t04309
ko:K14219	rpo:MA1_t04313
ko:K14219	rpo:MA1_t04323
ko:K14219	rpo:MA1_t04347
ko:K14221	rpo:MA1_t04317
ko:K14237	rpo:MA1_t04321
ko:K14237	rpo:MA1_t04331
ko:K14218	rpo:MA1_t04325
ko:K14228	rpo:MA1_t04327
ko:K14228	rpo:MA1_t04337
ko:K14228	rpo:MA1_t04349
ko:K14225	rpo:MA1_t04329
ko:K14225	rpo:MA1_t04333
ko:K01977	rpo:MA1_r04355
ko:K14236	rpo:MA1_t04335
ko:K14226	rpo:MA1_t04339
ko:K00335	rpo:MA1_00550
ko:K02030	rpo:MA1_00725
ko:K15270	rpo:MA1_00365
ko:K17717	rpo:MA1_03960
ko:K00951	rpo:MA1_03000
ko:K17716	rpo:MA1_01615
ko:K14998	rpo:MA1_03540
ko:K09810	rpo:MA1_03355
ko:K02488	rpo:MA1_01150
ko:K02028	rpo:MA1_04200
ko:K17103	rpo:MA1_01175
ko:K08316	rpo:MA1_02615
ko:K05540	rpo:MA1_00045
ko:K01791	rpo:MA1_01620
ko:K12574	rpo:MA1_02145
ko:K05973	rpo:MA1_03265
ko:K11528	rpo:MA1_02205
ko:K06867	rpo:MA1_01100
ko:K04771	rpo:MA1_00595
ko:K06900	rpo:MA1_02880
ko:K03446	rpo:MA1_00760
ko:K18588	rpo:MA1_00800
ko:K18587	rpo:MA1_02950
ko:K18707	rpo:MA1_02020
ko:K06147	rpo:MA1_01040
ko:K03201	rpo:MA1_00495
ko:K03201	rpo:MA1_00500
ko:K03201	rpo:MA1_00505
ko:K03201	rpo:MA1_00510
ko:K03201	rpo:MA1_00515
ko:K03496	rpo:MA1_00275
ko:K03497	rpo:MA1_00280
ko:K03496	rpo:MA1_00685
ko:K03204	rpo:MA1_01385
ko:K03203	rpo:MA1_01390
ko:K03203	rpo:MA1_01400
ko:K03204	rpo:MA1_01405
ko:K03196	rpo:MA1_01415
ko:K03205	rpo:MA1_01420
ko:K03111	rpo:MA1_04045
ko:K16898	rpo:MA1_03545
ko:K16899	rpo:MA1_01955
ko:K00336	rpo:MA1_03855
ko:K06867	rpo:MA1_03445
ko:K09690	rpo:MA1_00020
ko:K00526	rpo:MA1_02465
ko:K09796	rpo:MA1_02745
ko:K00507	rpo:MA1_00175
ko:K03198	rpo:MA1_00485
ko:K03199	rpo:MA1_03795
ko:K04755	rpo:MA1_00975
ko:K03195	rpo:MA1_01410
ko:K03199	rpo:MA1_00490
ko:K03553	rpo:MA1_03685
ko:K02316	rpo:MA1_04155
ko:K02314	rpo:MA1_02600
ko:K01520	rpo:MA1_01935
ko:K03676	rpo:MA1_01000
ko:K03465	rpo:MA1_01460
ko:K06889	rpo:MA1_01665
ko:K07552	rpo:MA1_02885
ko:K00525	rpo:MA1_02470
ko:K02335	rpo:MA1_03755
ko:K10026	rpo:MA1_02905
ko:K21929	rpo:MA1_04085
ko:K03595	rpo:MA1_00565
ko:K11991	rpo:MA1_04020
ko:K02257	rpo:MA1_01680
