ko:K19302	hpyd:HPOKI128_04090
ko:K02536	hpyd:HPOKI128_01075
ko:K00789	hpyd:HPOKI128_01080
ko:K00940	hpyd:HPOKI128_01085
ko:K02911	hpyd:HPOKI128_01095
ko:K03621	hpyd:HPOKI128_01100
ko:K00648	hpyd:HPOKI128_01105
ko:K03593	hpyd:HPOKI128_01130
ko:K04079	hpyd:HPOKI128_01145
ko:K01439	hpyd:HPOKI128_01160
ko:K03495	hpyd:HPOKI128_01165
ko:K14445	hpyd:HPOKI128_01170
ko:K00981	hpyd:HPOKI128_01175
ko:K00099	hpyd:HPOKI128_01180
ko:K06910	hpyd:HPOKI128_01190
ko:K04487	hpyd:HPOKI128_01200
ko:K13819	hpyd:HPOKI128_01205
ko:K04485	hpyd:HPOKI128_01220
ko:K12267	hpyd:HPOKI128_01230
ko:K07090	hpyd:HPOKI128_01240
ko:K03321	hpyd:HPOKI128_01250
ko:K00979	hpyd:HPOKI128_01265
ko:K03981	hpyd:HPOKI128_01270
ko:K02109	hpyd:HPOKI128_05380
ko:K03497	hpyd:HPOKI128_05385
ko:K03496	hpyd:HPOKI128_05390
ko:K03524	hpyd:HPOKI128_05395
ko:K00604	hpyd:HPOKI128_05400
ko:K02884	hpyd:HPOKI128_05440
ko:K00554	hpyd:HPOKI128_05445
ko:K02860	hpyd:HPOKI128_05450
ko:K06960	hpyd:HPOKI128_05455
ko:K02959	hpyd:HPOKI128_05460
ko:K03106	hpyd:HPOKI128_05465
ko:K01873	hpyd:HPOKI128_05470
ko:K02563	hpyd:HPOKI128_05480
ko:K00286	hpyd:HPOKI128_05495
ko:K04095	hpyd:HPOKI128_05500
ko:K07042	hpyd:HPOKI128_05505
ko:K03839	hpyd:HPOKI128_05510
ko:K00384	hpyd:HPOKI128_05525
ko:K01810	hpyd:HPOKI128_05540
ko:K06200	hpyd:HPOKI128_05560
ko:K02029	hpyd:HPOKI128_05565
ko:K02029	hpyd:HPOKI128_05570
ko:K02028	hpyd:HPOKI128_05575
ko:K02030	hpyd:HPOKI128_05580
ko:K06901	hpyd:HPOKI128_05595
ko:K03784	hpyd:HPOKI128_05625
ko:K01839	hpyd:HPOKI128_05630
ko:K03317	hpyd:HPOKI128_05635
ko:K01586	hpyd:HPOKI128_01575
ko:K00769	hpyd:HPOKI128_03490
ko:K01095	hpyd:HPOKI128_03500
ko:K01929	hpyd:HPOKI128_03515
ko:K00948	hpyd:HPOKI128_03525
ko:K06180	hpyd:HPOKI128_03545
ko:K03439	hpyd:HPOKI128_03555
ko:K09812	hpyd:HPOKI128_03560
ko:K09811	hpyd:HPOKI128_03565
ko:K06603	hpyd:HPOKI128_03575
ko:K02407	hpyd:HPOKI128_03580
ko:K02422	hpyd:HPOKI128_03585
ko:K12251	hpyd:HPOKI128_03605
ko:K07084	hpyd:HPOKI128_03615
ko:K18682	hpyd:HPOKI128_03625
ko:K03110	hpyd:HPOKI128_03640
ko:K03639	hpyd:HPOKI128_03665
ko:K03752	hpyd:HPOKI128_03670
ko:K02401	hpyd:HPOKI128_03675
ko:K01448	hpyd:HPOKI128_03685
ko:K00459	hpyd:HPOKI128_03690
ko:K01866	hpyd:HPOKI128_03695
ko:K03060	hpyd:HPOKI128_03705
ko:K09903	hpyd:HPOKI128_03710
ko:K11782	hpyd:HPOKI128_03715
ko:K01682	hpyd:HPOKI128_03720
ko:K03634	hpyd:HPOKI128_03750
ko:K03070	hpyd:HPOKI128_03755
ko:K04093	hpyd:HPOKI128_01580
ko:K01163	hpyd:HPOKI128_01585
ko:K03342	hpyd:HPOKI128_01590
ko:K01426	hpyd:HPOKI128_01595
ko:K02397	hpyd:HPOKI128_01600
ko:K02888	hpyd:HPOKI128_01605
ko:K02899	hpyd:HPOKI128_01610
ko:K12368	hpyd:HPOKI128_01615
ko:K12369	hpyd:HPOKI128_01620
ko:K12370	hpyd:HPOKI128_01625
ko:K12371	hpyd:HPOKI128_01630
ko:K12372	hpyd:HPOKI128_01635
ko:K03979	hpyd:HPOKI128_01640
ko:K01845	hpyd:HPOKI128_01655
ko:K07226	hpyd:HPOKI128_01695
ko:K01887	hpyd:HPOKI128_01700
ko:K03116	hpyd:HPOKI128_01705
ko:K00942	hpyd:HPOKI128_01710
ko:K02393	hpyd:HPOKI128_01735
ko:K15896	hpyd:HPOKI128_01750
ko:K00912	hpyd:HPOKI128_01755
ko:K01916	hpyd:HPOKI128_01760
ko:K03609	hpyd:HPOKI128_01775
ko:K03608	hpyd:HPOKI128_01780
ko:K04096	hpyd:HPOKI128_01785
ko:K07447	hpyd:HPOKI128_01790
ko:K07126	hpyd:HPOKI128_01795
ko:K06180	hpyd:HPOKI128_01815
ko:K01937	hpyd:HPOKI128_01825
ko:K02409	hpyd:HPOKI128_01835
ko:K02410	hpyd:HPOKI128_01840
ko:K02411	hpyd:HPOKI128_01845
ko:K09804	hpyd:HPOKI128_05945
ko:K01956	hpyd:HPOKI128_05950
ko:K01455	hpyd:HPOKI128_05955
ko:K01119	hpyd:HPOKI128_05960
ko:K06287	hpyd:HPOKI128_05970
ko:K01872	hpyd:HPOKI128_05975
ko:K09794	hpyd:HPOKI128_05980
ko:K15845	hpyd:HPOKI128_05990
ko:K04077	hpyd:HPOKI128_06000
ko:K04078	hpyd:HPOKI128_06005
ko:K00566	hpyd:HPOKI128_06015
ko:K03415	hpyd:HPOKI128_06045
ko:K13747	hpyd:HPOKI128_06050
ko:K12977	hpyd:HPOKI128_06055
ko:K03760	hpyd:HPOKI128_06060
ko:K01647	hpyd:HPOKI128_06085
ko:K00031	hpyd:HPOKI128_06090
ko:K01935	hpyd:HPOKI128_06100
ko:K06891	hpyd:HPOKI128_06115
ko:K03694	hpyd:HPOKI128_06120
ko:K01579	hpyd:HPOKI128_06125
ko:K09747	hpyd:HPOKI128_06130
ko:K12051	hpyd:HPOKI128_06145
ko:K12050	hpyd:HPOKI128_06150
ko:K12049	hpyd:HPOKI128_06155
ko:K12048	hpyd:HPOKI128_06160
ko:K01711	hpyd:HPOKI128_06170
ko:K02377	hpyd:HPOKI128_06175
ko:K04655	hpyd:HPOKI128_06185
ko:K04656	hpyd:HPOKI128_06190
ko:K02400	hpyd:HPOKI128_02130
ko:K02956	hpyd:HPOKI128_02135
ko:K02847	hpyd:HPOKI128_02140
ko:K03786	hpyd:HPOKI128_02145
ko:K01262	hpyd:HPOKI128_02150
ko:K00950	hpyd:HPOKI128_02155
ko:K02404	hpyd:HPOKI128_02160
ko:K04562	hpyd:HPOKI128_02165
ko:K02405	hpyd:HPOKI128_02175
ko:K02416	hpyd:HPOKI128_02180
ko:K02417	hpyd:HPOKI128_02185
ko:K03711	hpyd:HPOKI128_02200
ko:K07478	hpyd:HPOKI128_02205
ko:K13640	hpyd:HPOKI128_02210
ko:K05516	hpyd:HPOKI128_02215
ko:K12506	hpyd:HPOKI128_02235
ko:K16235	hpyd:HPOKI128_02245
ko:K00995	hpyd:HPOKI128_02250
ko:K00076	hpyd:HPOKI128_02260
ko:K01714	hpyd:HPOKI128_02265
ko:K00254	hpyd:HPOKI128_02275
ko:K00937	hpyd:HPOKI128_02280
ko:K01154	hpyd:HPOKI128_02290
ko:K03427	hpyd:HPOKI128_02295
ko:K08602	hpyd:HPOKI128_02330
ko:K03455	hpyd:HPOKI128_02335
ko:K02020	hpyd:HPOKI128_02350
ko:K02018	hpyd:HPOKI128_02355
ko:K02017	hpyd:HPOKI128_02360
ko:K01885	hpyd:HPOKI128_02365
ko:K09943	hpyd:HPOKI128_06475
ko:K07318	hpyd:HPOKI128_06500
ko:K11720	hpyd:HPOKI128_06505
ko:K01056	hpyd:HPOKI128_06510
ko:K02897	hpyd:HPOKI128_06515
ko:K00616	hpyd:HPOKI128_06520
ko:K01928	hpyd:HPOKI128_06525
ko:K03306	hpyd:HPOKI128_06540
ko:K01993	hpyd:HPOKI128_06555
ko:K01992	hpyd:HPOKI128_06560
ko:K08973	hpyd:HPOKI128_06575
ko:K03183	hpyd:HPOKI128_06580
ko:K03602	hpyd:HPOKI128_06585
ko:K01875	hpyd:HPOKI128_06595
ko:K03657	hpyd:HPOKI128_06605
ko:K02386	hpyd:HPOKI128_06610
ko:K03186	hpyd:HPOKI128_06615
ko:K00954	hpyd:HPOKI128_06620
ko:K00943	hpyd:HPOKI128_06625
ko:K02242	hpyd:HPOKI128_06630
ko:K00826	hpyd:HPOKI128_06650
ko:K02066	hpyd:HPOKI128_06660
ko:K02065	hpyd:HPOKI128_06665
ko:K02067	hpyd:HPOKI128_06670
ko:K18480	hpyd:HPOKI128_06675
ko:K00428	hpyd:HPOKI128_06690
ko:K02337	hpyd:HPOKI128_06695
ko:K06178	hpyd:HPOKI128_06700
ko:K07337	hpyd:HPOKI128_06710
ko:K03650	hpyd:HPOKI128_06740
ko:K06346	hpyd:HPOKI128_06745
ko:K02004	hpyd:HPOKI128_03760
ko:K01154	hpyd:HPOKI128_03775
ko:K01534	hpyd:HPOKI128_03780
ko:K07391	hpyd:HPOKI128_03785
ko:K01462	hpyd:HPOKI128_03790
ko:K01358	hpyd:HPOKI128_03795
ko:K03545	hpyd:HPOKI128_03800
ko:K15846	hpyd:HPOKI128_03810
ko:K03637	hpyd:HPOKI128_03815
ko:K03831	hpyd:HPOKI128_03820
ko:K03635	hpyd:HPOKI128_03825
ko:K03636	hpyd:HPOKI128_03830
ko:K01497	hpyd:HPOKI128_03835
ko:K14652	hpyd:HPOKI128_03845
ko:K07270	hpyd:HPOKI128_03855
ko:K07043	hpyd:HPOKI128_03860
ko:K00997	hpyd:HPOKI128_03865
ko:K02415	hpyd:HPOKI128_03870
ko:K02556	hpyd:HPOKI128_03900
ko:K02557	hpyd:HPOKI128_03905
ko:K05845	hpyd:HPOKI128_03925
ko:K05846	hpyd:HPOKI128_03925
ko:K05847	hpyd:HPOKI128_03930
ko:K03703	hpyd:HPOKI128_03945
ko:K00003	hpyd:HPOKI128_03950
ko:K07460	hpyd:HPOKI128_03955
ko:K03671	hpyd:HPOKI128_03960
ko:K00384	hpyd:HPOKI128_03965
ko:K07270	hpyd:HPOKI128_03970
ko:K02108	hpyd:HPOKI128_03985
ko:K00088	hpyd:HPOKI128_03990
ko:K02433	hpyd:HPOKI128_03995
ko:K00859	hpyd:HPOKI128_04000
ko:K00797	hpyd:HPOKI128_04005
ko:K03977	hpyd:HPOKI128_04015
ko:K01778	hpyd:HPOKI128_02685
ko:K06942	hpyd:HPOKI128_02700
ko:K01255	hpyd:HPOKI128_02705
ko:K00759	hpyd:HPOKI128_02715
ko:K01808	hpyd:HPOKI128_02725
ko:K03100	hpyd:HPOKI128_02735
ko:K01491	hpyd:HPOKI128_02740
ko:K01465	hpyd:HPOKI128_02760
ko:K02417	hpyd:HPOKI128_02775
ko:K10773	hpyd:HPOKI128_02780
ko:K07082	hpyd:HPOKI128_02795
ko:K00176	hpyd:HPOKI128_02800
ko:K00174	hpyd:HPOKI128_02805
ko:K00175	hpyd:HPOKI128_02810
ko:K00177	hpyd:HPOKI128_02815
ko:K03611	hpyd:HPOKI128_02835
ko:K05366	hpyd:HPOKI128_02850
ko:K00652	hpyd:HPOKI128_02855
ko:K02406	hpyd:HPOKI128_02870
ko:K07457	hpyd:HPOKI128_02875
ko:K01599	hpyd:HPOKI128_02885
ko:K01992	hpyd:HPOKI128_02915
ko:K01972	hpyd:HPOKI128_02930
ko:K03415	hpyd:HPOKI128_02935
ko:K04517	hpyd:HPOKI128_07020
ko:K01338	hpyd:HPOKI128_07025
ko:K05807	hpyd:HPOKI128_07030
ko:K13626	hpyd:HPOKI128_07040
ko:K02372	hpyd:HPOKI128_07045
ko:K00677	hpyd:HPOKI128_07050
ko:K03544	hpyd:HPOKI128_07055
ko:K03569	hpyd:HPOKI128_07060
ko:K03570	hpyd:HPOKI128_07065
ko:K02484	hpyd:HPOKI128_07080
ko:K02238	hpyd:HPOKI128_07095
ko:K03179	hpyd:HPOKI128_07100
ko:K01613	hpyd:HPOKI128_07115
ko:K03517	hpyd:HPOKI128_07120
ko:K00767	hpyd:HPOKI128_07125
ko:K03797	hpyd:HPOKI128_07145
ko:K00655	hpyd:HPOKI128_07155
ko:K03648	hpyd:HPOKI128_07160
ko:K00134	hpyd:HPOKI128_07165
ko:K00927	hpyd:HPOKI128_07170
ko:K03284	hpyd:HPOKI128_07175
ko:K03832	hpyd:HPOKI128_07195
ko:K03559	hpyd:HPOKI128_07200
ko:K03561	hpyd:HPOKI128_07205
ko:K07722	hpyd:HPOKI128_07210
ko:K00969	hpyd:HPOKI128_07215
ko:K00566	hpyd:HPOKI128_07225
ko:K03686	hpyd:HPOKI128_07235
ko:K07787	hpyd:HPOKI128_07250
ko:K01679	hpyd:HPOKI128_07270
ko:K03470	hpyd:HPOKI128_07285
ko:K07133	hpyd:HPOKI128_07295
ko:K02967	hpyd:HPOKI128_00270
ko:K02357	hpyd:HPOKI128_00275
ko:K07491	hpyd:HPOKI128_00300
ko:K11928	hpyd:HPOKI128_00320
ko:K13821	hpyd:HPOKI128_00325
ko:K03190	hpyd:HPOKI128_00385
ko:K03189	hpyd:HPOKI128_00390
ko:K03188	hpyd:HPOKI128_00395
ko:K03187	hpyd:HPOKI128_00400
ko:K03191	hpyd:HPOKI128_00405
ko:K01428	hpyd:HPOKI128_00415
ko:K14048	hpyd:HPOKI128_00420
ko:K03101	hpyd:HPOKI128_00430
ko:K03431	hpyd:HPOKI128_00435
ko:K02968	hpyd:HPOKI128_00440
ko:K02835	hpyd:HPOKI128_00445
ko:K07491	hpyd:HPOKI128_00465
ko:K03406	hpyd:HPOKI128_00480
ko:K02996	hpyd:HPOKI128_00490
ko:K02871	hpyd:HPOKI128_00495
ko:K00116	hpyd:HPOKI128_00510
ko:K03086	hpyd:HPOKI128_00520
ko:K18284	hpyd:HPOKI128_00525
ko:K00645	hpyd:HPOKI128_00530
ko:K03625	hpyd:HPOKI128_00005
ko:K02392	hpyd:HPOKI128_00025
ko:K01409	hpyd:HPOKI128_00030
ko:K00097	hpyd:HPOKI128_00035
ko:K03474	hpyd:HPOKI128_00040
ko:K02072	hpyd:HPOKI128_00060
ko:K02071	hpyd:HPOKI128_00065
ko:K04061	hpyd:HPOKI128_00070
ko:K00793	hpyd:HPOKI128_00075
ko:K03424	hpyd:HPOKI128_00080
ko:K08307	hpyd:HPOKI128_00085
ko:K03642	hpyd:HPOKI128_00090
ko:K03270	hpyd:HPOKI128_00095
ko:K09774	hpyd:HPOKI128_00105
ko:K03978	hpyd:HPOKI128_00110
ko:K05515	hpyd:HPOKI128_00120
ko:K02073	hpyd:HPOKI128_00125
ko:K03386	hpyd:HPOKI128_00130
ko:K02016	hpyd:HPOKI128_00135
ko:K03588	hpyd:HPOKI128_00140
ko:K02387	hpyd:HPOKI128_00145
ko:K02388	hpyd:HPOKI128_00150
ko:K02408	hpyd:HPOKI128_00155
ko:K03587	hpyd:HPOKI128_00160
ko:K00413	hpyd:HPOKI128_00185
ko:K00412	hpyd:HPOKI128_00190
ko:K00411	hpyd:HPOKI128_00195
ko:K03723	hpyd:HPOKI128_00200
ko:K11754	hpyd:HPOKI128_00220
ko:K01869	hpyd:HPOKI128_00230
ko:K03074	hpyd:HPOKI128_00240
ko:K03072	hpyd:HPOKI128_00245
ko:K03210	hpyd:HPOKI128_00250
ko:K03313	hpyd:HPOKI128_00255
ko:K03530	hpyd:HPOKI128_04020
ko:K09860	hpyd:HPOKI128_04030
ko:K15894	hpyd:HPOKI128_04045
ko:K13038	hpyd:HPOKI128_04050
ko:K00788	hpyd:HPOKI128_04060
ko:K00941	hpyd:HPOKI128_04065
ko:K00878	hpyd:HPOKI128_04070
ko:K01153	hpyd:HPOKI128_04075
ko:K01154	hpyd:HPOKI128_04080
ko:K03427	hpyd:HPOKI128_04085
ko:K09805	hpyd:HPOKI128_04095
ko:K00364	hpyd:HPOKI128_04105
ko:K03271	hpyd:HPOKI128_04110
ko:K03272	hpyd:HPOKI128_04115
ko:K03274	hpyd:HPOKI128_04120
ko:K03273	hpyd:HPOKI128_04125
ko:K09792	hpyd:HPOKI128_04130
ko:K03525	hpyd:HPOKI128_04135
ko:K03624	hpyd:HPOKI128_04155
ko:K00748	hpyd:HPOKI128_04160
ko:K04651	hpyd:HPOKI128_04170
ko:K02390	hpyd:HPOKI128_04175
ko:K01521	hpyd:HPOKI128_04180
ko:K03781	hpyd:HPOKI128_04200
ko:K02014	hpyd:HPOKI128_04205
ko:K01159	hpyd:HPOKI128_04210
ko:K03550	hpyd:HPOKI128_04225
ko:K03980	hpyd:HPOKI128_04235
ko:K01883	hpyd:HPOKI128_04240
ko:K02013	hpyd:HPOKI128_04250
ko:K02015	hpyd:HPOKI128_04255
ko:K19157	hpyd:HPOKI128_04270
ko:K00783	hpyd:HPOKI128_04565
ko:K01963	hpyd:HPOKI128_04570
ko:K03743	hpyd:HPOKI128_04580
ko:K13292	hpyd:HPOKI128_04595
ko:K06179	hpyd:HPOKI128_04600
ko:K02527	hpyd:HPOKI128_04605
ko:K07164	hpyd:HPOKI128_04610
ko:K01878	hpyd:HPOKI128_04620
ko:K00057	hpyd:HPOKI128_04625
ko:K15726	hpyd:HPOKI128_04650
ko:K01879	hpyd:HPOKI128_04665
ko:K15633	hpyd:HPOKI128_04675
ko:K02435	hpyd:HPOKI128_04680
ko:K00833	hpyd:HPOKI128_04685
ko:K03770	hpyd:HPOKI128_04690
ko:K03590	hpyd:HPOKI128_04695
ko:K03531	hpyd:HPOKI128_04700
ko:K01585	hpyd:HPOKI128_04825
ko:K15257	hpyd:HPOKI128_04840
ko:K01772	hpyd:HPOKI128_04845
ko:K01752	hpyd:HPOKI128_00740
ko:K03837	hpyd:HPOKI128_00745
ko:K01626	hpyd:HPOKI128_00750
ko:K03564	hpyd:HPOKI128_00765
ko:K00782	hpyd:HPOKI128_00770
ko:K18929	hpyd:HPOKI128_00775
ko:K18928	hpyd:HPOKI128_00780
ko:K03303	hpyd:HPOKI128_00785
ko:K03303	hpyd:HPOKI128_00790
ko:K03575	hpyd:HPOKI128_00795
ko:K09477	hpyd:HPOKI128_00800
ko:K00404	hpyd:HPOKI128_00805
ko:K00405	hpyd:HPOKI128_00810
ko:K00407	hpyd:HPOKI128_00815
ko:K00406	hpyd:HPOKI128_00820
ko:K11785	hpyd:HPOKI128_00850
ko:K01689	hpyd:HPOKI128_00860
ko:K00891	hpyd:HPOKI128_00875
ko:K03279	hpyd:HPOKI128_00885
ko:K07126	hpyd:HPOKI128_00890
ko:K01698	hpyd:HPOKI128_00905
ko:K02484	hpyd:HPOKI128_00910
ko:K08303	hpyd:HPOKI128_00930
ko:K02836	hpyd:HPOKI128_00940
ko:K03750	hpyd:HPOKI128_00945
ko:K02421	hpyd:HPOKI128_00950
ko:K01624	hpyd:HPOKI128_00965
ko:K02356	hpyd:HPOKI128_00970
ko:K15898	hpyd:HPOKI128_00980
ko:K02003	hpyd:HPOKI128_00985
ko:K03820	hpyd:HPOKI128_00990
ko:K03558	hpyd:HPOKI128_01000
ko:K04567	hpyd:HPOKI128_01005
ko:K00600	hpyd:HPOKI128_01010
ko:K15895	hpyd:HPOKI128_05125
ko:K00573	hpyd:HPOKI128_05140
ko:K07091	hpyd:HPOKI128_05145
ko:K06173	hpyd:HPOKI128_05150
ko:K01784	hpyd:HPOKI128_05155
ko:K07126	hpyd:HPOKI128_05175
ko:K01625	hpyd:HPOKI128_05180
ko:K01690	hpyd:HPOKI128_05185
ko:K00036	hpyd:HPOKI128_05190
ko:K01057	hpyd:HPOKI128_05195
ko:K00845	hpyd:HPOKI128_05200
ko:K13979	hpyd:HPOKI128_05205
ko:K00172	hpyd:HPOKI128_05235
ko:K00171	hpyd:HPOKI128_05240
ko:K00169	hpyd:HPOKI128_05245
ko:K00170	hpyd:HPOKI128_05250
ko:K01756	hpyd:HPOKI128_05255
ko:K03702	hpyd:HPOKI128_05265
ko:K07126	hpyd:HPOKI128_05280
ko:K00681	hpyd:HPOKI128_05285
ko:K02396	hpyd:HPOKI128_05290
ko:K03775	hpyd:HPOKI128_05315
ko:K03640	hpyd:HPOKI128_05325
ko:K03641	hpyd:HPOKI128_05330
ko:K03559	hpyd:HPOKI128_05340
ko:K02114	hpyd:HPOKI128_05350
ko:K02112	hpyd:HPOKI128_05355
ko:K02115	hpyd:HPOKI128_05360
ko:K02111	hpyd:HPOKI128_05365
ko:K02113	hpyd:HPOKI128_05370
ko:K02109	hpyd:HPOKI128_05375
ko:K15847	hpyd:HPOKI128_04285
ko:K04654	hpyd:HPOKI128_04310
ko:K04653	hpyd:HPOKI128_04315
ko:K04652	hpyd:HPOKI128_04320
ko:K00925	hpyd:HPOKI128_04335
ko:K13788	hpyd:HPOKI128_04340
ko:K02389	hpyd:HPOKI128_04350
ko:K02390	hpyd:HPOKI128_04355
ko:K03657	hpyd:HPOKI128_04370
ko:K15843	hpyd:HPOKI128_04375
ko:K15844	hpyd:HPOKI128_04380
ko:K02014	hpyd:HPOKI128_04390
ko:K01955	hpyd:HPOKI128_04400
ko:K00134	hpyd:HPOKI128_04410
ko:K01821	hpyd:HPOKI128_04425
ko:K06187	hpyd:HPOKI128_04430
ko:K06176	hpyd:HPOKI128_04435
ko:K03799	hpyd:HPOKI128_04440
ko:K01495	hpyd:HPOKI128_04445
ko:K00795	hpyd:HPOKI128_04450
ko:K03787	hpyd:HPOKI128_04455
ko:K01737	hpyd:HPOKI128_04465
ko:K10009	hpyd:HPOKI128_04495
ko:K02424	hpyd:HPOKI128_04500
ko:K01775	hpyd:HPOKI128_04505
ko:K03310	hpyd:HPOKI128_04510
ko:K00285	hpyd:HPOKI128_04515
ko:K09022	hpyd:HPOKI128_04520
ko:K01876	hpyd:HPOKI128_02940
ko:K00939	hpyd:HPOKI128_02945
ko:K07270	hpyd:HPOKI128_02950
ko:K01507	hpyd:HPOKI128_02960
ko:K07456	hpyd:HPOKI128_02965
ko:K01924	hpyd:HPOKI128_02975
ko:K03526	hpyd:HPOKI128_02985
ko:K00674	hpyd:HPOKI128_02990
ko:K07126	hpyd:HPOKI128_02995
ko:K03923	hpyd:HPOKI128_03005
