ko:K19743	apq:APA22_08140
ko:K02039	apq:APA22_24760
ko:K02036	apq:APA22_24770
ko:K02038	apq:APA22_24780
ko:K02037	apq:APA22_24790
ko:K01687	apq:APA22_24800
ko:K09985	apq:APA22_24930
ko:K01676	apq:APA22_24940
ko:K00285	apq:APA22_24980
ko:K01775	apq:APA22_24990
ko:K02834	apq:APA22_25010
ko:K02519	apq:APA22_25020
ko:K01881	apq:APA22_16270
ko:K03525	apq:APA22_16290
ko:K03524	apq:APA22_16300
ko:K00343	apq:APA22_16310
ko:K00341	apq:APA22_16320
ko:K00340	apq:APA22_16330
ko:K00339	apq:APA22_16340
ko:K00338	apq:APA22_16350
ko:K00337	apq:APA22_16360
ko:K00334	apq:APA22_16390
ko:K00333	apq:APA22_16400
ko:K00332	apq:APA22_16410
ko:K00331	apq:APA22_16420
ko:K00330	apq:APA22_16430
ko:K03530	apq:APA22_16460
ko:K01338	apq:APA22_16470
ko:K03544	apq:APA22_16480
ko:K01358	apq:APA22_16490
ko:K03545	apq:APA22_16500
ko:K03215	apq:APA22_16550
ko:K11717	apq:APA22_16590
ko:K09015	apq:APA22_16600
ko:K09013	apq:APA22_16610
ko:K09014	apq:APA22_16620
ko:K01595	apq:APA22_16650
ko:K02355	apq:APA22_16670
ko:K02902	apq:APA22_16680
ko:K00990	apq:APA22_16720
ko:K03555	apq:APA22_16730
ko:K01299	apq:APA22_16750
ko:K01733	apq:APA22_16770
ko:K07742	apq:APA22_25030
ko:K02600	apq:APA22_25040
ko:K09748	apq:APA22_25050
ko:K01681	apq:APA22_25120
ko:K02194	apq:APA22_25140
ko:K01581	apq:APA22_25160
ko:K07058	apq:APA22_25170
ko:K03642	apq:APA22_25180
ko:K03786	apq:APA22_25190
ko:K02160	apq:APA22_25200
ko:K01961	apq:APA22_25210
ko:K03147	apq:APA22_25230
ko:K07243	apq:APA22_25260
ko:K07230	apq:APA22_25270
ko:K07267	apq:APA22_25280
ko:K07267	apq:APA22_25310
ko:K07447	apq:APA22_25350
ko:K02435	apq:APA22_25360
ko:K02434	apq:APA22_25380
ko:K10773	apq:APA22_25410
ko:K01772	apq:APA22_25420
ko:K03575	apq:APA22_25430
ko:K01869	apq:APA22_25480
ko:K03643	apq:APA22_25490
ko:K02340	apq:APA22_25500
ko:K01945	apq:APA22_00190
ko:K00324	apq:APA22_00270
ko:K03592	apq:APA22_16790
ko:K01920	apq:APA22_16860
ko:K00384	apq:APA22_16900
ko:K05788	apq:APA22_16930
ko:K03980	apq:APA22_16950
ko:K04764	apq:APA22_16990
ko:K00648	apq:APA22_17000
ko:K03621	apq:APA22_17010
ko:K02911	apq:APA22_17020
ko:K07638	apq:APA22_17050
ko:K07659	apq:APA22_17060
ko:K01462	apq:APA22_17090
ko:K02970	apq:APA22_17100
ko:K00052	apq:APA22_17110
ko:K01704	apq:APA22_17120
ko:K01703	apq:APA22_17130
ko:K02884	apq:APA22_17140
ko:K00554	apq:APA22_17150
ko:K02860	apq:APA22_17160
ko:K02959	apq:APA22_17170
ko:K03106	apq:APA22_17180
ko:K06006	apq:APA22_17190
ko:K07289	apq:APA22_17210
ko:K07478	apq:APA22_17230
ko:K03179	apq:APA22_17250
ko:K09761	apq:APA22_17260
ko:K01919	apq:APA22_17270
ko:K08169	apq:APA22_17280
ko:K03977	apq:APA22_17300
ko:K03522	apq:APA22_25590
ko:K03521	apq:APA22_25600
ko:K00311	apq:APA22_25610
ko:K07275	apq:APA22_25640
ko:K07010	apq:APA22_25690
ko:K06178	apq:APA22_25700
ko:K06204	apq:APA22_25740
ko:K01866	apq:APA22_25860
ko:K03568	apq:APA22_25870
ko:K00973	apq:APA22_25910
ko:K01790	apq:APA22_25920
ko:K00067	apq:APA22_25930
ko:K03466	apq:APA22_25950
ko:K00566	apq:APA22_25990
ko:K04755	apq:APA22_26000
ko:K04487	apq:APA22_26010
ko:K04487	apq:APA22_26020
ko:K07018	apq:APA22_26030
ko:K01883	apq:APA22_26050
ko:K11754	apq:APA22_26070
ko:K01963	apq:APA22_26080
ko:K03671	apq:APA22_26090
ko:K01953	apq:APA22_17360
ko:K06980	apq:APA22_17370
ko:K00748	apq:APA22_17390
ko:K02291	apq:APA22_17430
ko:K04564	apq:APA22_17440
ko:K03695	apq:APA22_17450
ko:K03665	apq:APA22_17470
ko:K03666	apq:APA22_17480
ko:K13599	apq:APA22_17490
ko:K13598	apq:APA22_17500
ko:K07712	apq:APA22_17510
ko:K07708	apq:APA22_17520
ko:K12506	apq:APA22_17540
ko:K00761	apq:APA22_17660
ko:K00012	apq:APA22_17690
ko:K04752	apq:APA22_17710
ko:K00640	apq:APA22_17720
ko:K03185	apq:APA22_17730
ko:K02356	apq:APA22_17810
ko:K03704	apq:APA22_17840
ko:K01061	apq:APA22_17850
ko:K06925	apq:APA22_26120
ko:K13584	apq:APA22_26130
ko:K03431	apq:APA22_26140
ko:K00796	apq:APA22_26150
ko:K03798	apq:APA22_26160
ko:K04075	apq:APA22_26170
ko:K03640	apq:APA22_26190
ko:K03641	apq:APA22_26200
ko:K03562	apq:APA22_26230
ko:K07107	apq:APA22_26240
ko:K03551	apq:APA22_26250
ko:K03550	apq:APA22_26260
ko:K01159	apq:APA22_26270
ko:K03070	apq:APA22_26290
ko:K00620	apq:APA22_26310
ko:K00286	apq:APA22_26410
ko:K03530	apq:APA22_26450
ko:K01950	apq:APA22_26510
ko:K01693	apq:APA22_26520
ko:K02501	apq:APA22_26530
ko:K01814	apq:APA22_26540
ko:K02500	apq:APA22_26550
ko:K03501	apq:APA22_26660
ko:K04078	apq:APA22_17860
ko:K04077	apq:APA22_17870
ko:K00973	apq:APA22_18070
ko:K03320	apq:APA22_18280
ko:K03733	apq:APA22_18320
ko:K04066	apq:APA22_18330
ko:K03210	apq:APA22_18340
ko:K06923	apq:APA22_18350
ko:K10764	apq:APA22_18390
ko:K06195	apq:APA22_18400
ko:K01495	apq:APA22_18410
ko:K05520	apq:APA22_18420
ko:K03638	apq:APA22_18430
ko:K03495	apq:APA22_26670
ko:K03650	apq:APA22_26680
ko:K06966	apq:APA22_26740
ko:K08973	apq:APA22_26770
ko:K01599	apq:APA22_26790
ko:K06287	apq:APA22_26800
ko:K07267	apq:APA22_18440
ko:K00794	apq:APA22_18550
ko:K14652	apq:APA22_18560
ko:K00793	apq:APA22_18570
ko:K11752	apq:APA22_18580
ko:K00412	apq:APA22_18590
ko:K00413	apq:APA22_18600
ko:K00411	apq:APA22_18610
ko:K06901	apq:APA22_18650
ko:K02888	apq:APA22_18810
ko:K02899	apq:APA22_18820
ko:K03979	apq:APA22_18830
ko:K00931	apq:APA22_18840
ko:K00036	apq:APA22_18870
ko:K03925	apq:APA22_18900
ko:K03438	apq:APA22_18910
ko:K03587	apq:APA22_18930
ko:K01928	apq:APA22_18940
ko:K01929	apq:APA22_18950
ko:K01000	apq:APA22_18960
ko:K01925	apq:APA22_18970
ko:K03588	apq:APA22_18980
ko:K03530	apq:APA22_40350
ko:K08325	apq:APA22_40430
ko:K01546	apq:APA22_40500
ko:K01547	apq:APA22_40510
ko:K01548	apq:APA22_40520
ko:K07646	apq:APA22_40530
ko:K07667	apq:APA22_40540
ko:K01126	apq:APA22_40680
ko:K06199	apq:APA22_40710
ko:K03322	apq:APA22_40840
ko:K02563	apq:APA22_18990
ko:K01924	apq:APA22_19000
ko:K00075	apq:APA22_19010
ko:K01921	apq:APA22_19020
ko:K03589	apq:APA22_19030
ko:K03590	apq:APA22_19040
ko:K03531	apq:APA22_19050
ko:K02535	apq:APA22_19060
ko:K05807	apq:APA22_19070
ko:K03631	apq:APA22_19080
ko:K01972	apq:APA22_19090
ko:K09773	apq:APA22_19110
ko:K01626	apq:APA22_19150
ko:K00763	apq:APA22_19160
ko:K08281	apq:APA22_19190
ko:K07233	apq:APA22_19240
ko:K00053	apq:APA22_19250
ko:K01653	apq:APA22_19260
ko:K01652	apq:APA22_19270
ko:K00791	apq:APA22_19280
ko:K01079	apq:APA22_19290
ko:K07276	apq:APA22_19310
ko:K00600	apq:APA22_19360
ko:K01698	apq:APA22_19380
ko:K02621	apq:APA22_19400
ko:K03584	apq:APA22_19410
ko:K02357	apq:APA22_19420
ko:K02967	apq:APA22_19430
ko:K00826	apq:APA22_19460
ko:K01665	apq:APA22_19470
ko:K02337	apq:APA22_19490
ko:K01918	apq:APA22_19480
ko:K00812	apq:APA22_19530
ko:K11924	apq:APA22_40860
ko:K02471	apq:APA22_40850
ko:K15342	apq:APA22_41090
ko:K03601	apq:APA22_00200
ko:K00831	apq:APA22_00230
ko:K00325	apq:APA22_00260
ko:K03571	apq:APA22_00740
ko:K03570	apq:APA22_00750
ko:K03569	apq:APA22_00760
ko:K01649	apq:APA22_00770
ko:K02259	apq:APA22_00780
ko:K07552	apq:APA22_00800
ko:K00759	apq:APA22_00820
ko:K01975	apq:APA22_00880
ko:K06890	apq:APA22_00890
ko:K02297	apq:APA22_00900
ko:K02298	apq:APA22_00910
ko:K02299	apq:APA22_00920
ko:K02300	apq:APA22_00930
ko:K00324	apq:APA22_00280
ko:K00133	apq:APA22_00300
ko:K00242	apq:APA22_00320
ko:K00239	apq:APA22_00330
ko:K00240	apq:APA22_00340
ko:K00927	apq:APA22_00370
ko:K00134	apq:APA22_00380
ko:K00615	apq:APA22_00390
ko:K00643	apq:APA22_00410
ko:K02019	apq:APA22_00460
ko:K03670	apq:APA22_00470
ko:K03669	apq:APA22_00480
ko:K01443	apq:APA22_00490
ko:K02343	apq:APA22_00520
ko:K09747	apq:APA22_00530
ko:K06187	apq:APA22_00540
ko:K01633	apq:APA22_00560
ko:K00800	apq:APA22_00580
ko:K00945	apq:APA22_00590
ko:K02945	apq:APA22_00600
ko:K00989	apq:APA22_00630
ko:K03705	apq:APA22_00640
ko:K05366	apq:APA22_00650
ko:K02836	apq:APA22_00660
ko:K03832	apq:APA22_00670
ko:K03561	apq:APA22_00680
ko:K05837	apq:APA22_00720
ko:K05515	apq:APA22_00730
ko:K03704	apq:APA22_01430
ko:K07043	apq:APA22_01830
ko:K09160	apq:APA22_01840
ko:K00029	apq:APA22_01110
ko:K02601	apq:APA22_01120
ko:K03073	apq:APA22_01130
ko:K02113	apq:APA22_01170
ko:K02111	apq:APA22_01180
ko:K02115	apq:APA22_01190
ko:K02112	apq:APA22_01200
ko:K02114	apq:APA22_01210
ko:K09457	apq:APA22_01220
ko:K03684	apq:APA22_01230
ko:K13583	apq:APA22_01260
ko:K11738	apq:APA22_01270
ko:K02045	apq:APA22_01280
ko:K04754	apq:APA22_02150
ko:K05801	apq:APA22_02160
ko:K00773	apq:APA22_02190
ko:K02047	apq:APA22_01290
ko:K02046	apq:APA22_01300
ko:K02048	apq:APA22_01350
ko:K03735	apq:APA22_01370
ko:K03736	apq:APA22_01380
ko:K03585	apq:APA22_01400
ko:K01255	apq:APA22_00970
ko:K13013	apq:APA22_01000
ko:K01465	apq:APA22_01040
ko:K00528	apq:APA22_01060
ko:K07568	apq:APA22_02200
ko:K00297	apq:APA22_02240
ko:K01491	apq:APA22_02250
ko:K09919	apq:APA22_02260
ko:K01087	apq:APA22_02330
ko:K00697	apq:APA22_02340
ko:K03702	apq:APA22_02400
ko:K00220	apq:APA22_02020
ko:K04761	apq:APA22_02040
ko:K04756	apq:APA22_02060
ko:K00873	apq:APA22_06160
ko:K01053	apq:APA22_06170
ko:K06207	apq:APA22_06200
ko:K00285	apq:APA22_06230
ko:K00384	apq:APA22_06240
ko:K00031	apq:APA22_06250
ko:K04751	apq:APA22_06300
ko:K01915	apq:APA22_06310
ko:K00117	apq:APA22_06330
ko:K03596	apq:APA22_06360
ko:K00641	apq:APA22_06370
ko:K11927	apq:APA22_06390
ko:K01673	apq:APA22_06410
ko:K00950	apq:APA22_06430
ko:K03060	apq:APA22_06440
ko:K00997	apq:APA22_06460
ko:K03100	apq:APA22_06470
ko:K03685	apq:APA22_06480
ko:K09903	apq:APA22_06500
ko:K02838	apq:APA22_06510
ko:K00806	apq:APA22_06520
ko:K00981	apq:APA22_06530
ko:K00099	apq:APA22_06540
ko:K11749	apq:APA22_06550
ko:K07277	apq:APA22_06560
ko:K02536	apq:APA22_06580
ko:K02372	apq:APA22_06590
ko:K00677	apq:APA22_06600
ko:K02914	apq:APA22_06640
ko:K03536	apq:APA22_06650
ko:K03217	apq:APA22_06660
ko:K03978	apq:APA22_06670
ko:K00930	apq:APA22_06680
ko:K15228	apq:APA22_04570
ko:K07248	apq:APA22_04640
ko:K07303	apq:APA22_04660
ko:K07302	apq:APA22_04670
ko:K01173	apq:APA22_03550
ko:K01720	apq:APA22_03590
ko:K01895	apq:APA22_03620
ko:K01876	apq:APA22_03690
ko:K01620	apq:APA22_03700
ko:K02897	apq:APA22_03710
ko:K01056	apq:APA22_03720
ko:K06942	apq:APA22_03730
ko:K00147	apq:APA22_03740
ko:K00969	apq:APA22_03750
ko:K09710	apq:APA22_03760
ko:K00783	apq:APA22_03770
ko:K01575	apq:APA22_03800
ko:K01652	apq:APA22_03810
ko:K01576	apq:APA22_03830
ko:K00782	apq:APA22_03860
ko:K00790	apq:APA22_03880
ko:K01494	apq:APA22_03890
ko:K00720	apq:APA22_03950
ko:K01662	apq:APA22_03970
ko:K00919	apq:APA22_04030
ko:K07146	apq:APA22_05200
ko:K03624	apq:APA22_09860
ko:K01955	apq:APA22_09870
ko:K01956	apq:APA22_09880
ko:K09117	apq:APA22_09890
ko:K03086	apq:APA22_09910
ko:K02990	apq:APA22_09930
ko:K02963	apq:APA22_09940
ko:K02939	apq:APA22_09950
ko:K00574	apq:APA22_09960
ko:K02528	apq:APA22_09970
ko:K03771	apq:APA22_09980
ko:K04744	apq:APA22_09990
ko:K11720	apq:APA22_10000
ko:K07091	apq:APA22_10010
ko:K03608	apq:APA22_10050
ko:K11738	apq:APA22_02480
ko:K02346	apq:APA22_02490
ko:K09769	apq:APA22_02550
ko:K09888	apq:APA22_02570
ko:K00788	apq:APA22_02610
ko:K04568	apq:APA22_02750
ko:K01265	apq:APA22_02780
ko:K06891	apq:APA22_02800
ko:K03694	apq:APA22_02810
ko:K07735	apq:APA22_02840
ko:K00948	apq:APA22_04120
ko:K00812	apq:APA22_19540
ko:K01894	apq:APA22_19550
ko:K00940	apq:APA22_19610
ko:K06158	apq:APA22_19620
ko:K02520	apq:APA22_19670
ko:K01868	apq:APA22_19680
ko:K00858	apq:APA22_19720
ko:K02204	apq:APA22_19760
ko:K03527	apq:APA22_19770
ko:K08602	apq:APA22_19800
ko:K00266	apq:APA22_19820
ko:K01448	apq:APA22_19860
ko:K08300	apq:APA22_19870
ko:K00765	apq:APA22_19880
ko:K00013	apq:APA22_19890
ko:K02518	apq:APA22_19900
ko:K06287	apq:APA22_19910
ko:K09862	apq:APA22_19930
ko:K03530	apq:APA22_41420
ko:K07090	apq:APA22_41560
ko:K01908	apq:APA22_41600
ko:K01502	apq:APA22_41660
ko:K03581	apq:APA22_41760
ko:K01154	apq:APA22_41860
ko:K03427	apq:APA22_41890
ko:K03777	apq:APA22_20440
ko:K00767	apq:APA22_20490
ko:K03517	apq:APA22_20500
ko:K03885	apq:APA22_20530
ko:K06911	apq:APA22_20580
ko:K03561	apq:APA22_20630
ko:K03832	apq:APA22_20640
ko:K01438	apq:APA22_41960
ko:K00362	apq:APA22_42110
ko:K02575	apq:APA22_42150
ko:K00549	apq:APA22_42270
ko:K03576	apq:APA22_42280
ko:K07726	apq:APA22_42310
ko:K03893	apq:APA22_42350
ko:K07043	apq:APA22_42370
ko:K01153	apq:APA22_42380
ko:K01154	apq:APA22_42390
ko:K03427	apq:APA22_42400
ko:K02016	apq:APA22_04240
ko:K02015	apq:APA22_04250
ko:K02013	apq:APA22_04260
ko:K07106	apq:APA22_04290
ko:K01669	apq:APA22_04380
ko:K09758	apq:APA22_04430
ko:K04047	apq:APA22_04480
ko:K00057	apq:APA22_04490
ko:K15229	apq:APA22_04540
ko:K03811	apq:APA22_05480
ko:K01433	apq:APA22_05510
ko:K13771	apq:APA22_05530
ko:K06199	apq:APA22_05550
ko:K10806	apq:APA22_05590
ko:K03924	apq:APA22_09740
ko:K09986	apq:APA22_09750
ko:K03543	apq:APA22_09780
ko:K03446	apq:APA22_09790
ko:K08311	apq:APA22_09800
ko:K09798	apq:APA22_09810
ko:K03797	apq:APA22_09820
ko:K15633	apq:APA22_09840
ko:K01754	apq:APA22_09850
ko:K03609	apq:APA22_10060
ko:K03610	apq:APA22_10070
ko:K07007	apq:APA22_10090
ko:K07056	apq:APA22_10110
ko:K07736	apq:APA22_10130
ko:K01070	apq:APA22_10150
ko:K09811	apq:APA22_10170
ko:K09812	apq:APA22_10180
ko:K01419	apq:APA22_10230
ko:K03667	apq:APA22_10240
ko:K02426	apq:APA22_10250
ko:K07302	apq:APA22_10270
ko:K02916	apq:APA22_10300
ko:K02887	apq:APA22_10310
ko:K01889	apq:APA22_10320
ko:K01890	apq:APA22_10330
ko:K02040	apq:APA22_10340
ko:K02986	apq:APA22_10390
ko:K02837	apq:APA22_10400
ko:K02687	apq:APA22_10440
ko:K03657	apq:APA22_10450
ko:K03630	apq:APA22_10460
ko:K03630	apq:APA22_10470
ko:K01589	apq:APA22_10480
ko:K01588	apq:APA22_10490
ko:K09987	apq:APA22_10520
ko:K04080	apq:APA22_10530
ko:K02909	apq:APA22_10540
ko:K03282	apq:APA22_10550
ko:K03072	apq:APA22_10580
ko:K02523	apq:APA22_10630
ko:K01776	apq:APA22_10640
ko:K00762	apq:APA22_10650
ko:K01647	apq:APA22_10670
ko:K08296	apq:APA22_10680
ko:K04092	apq:APA22_10690
ko:K03529	apq:APA22_10730
ko:K07042	apq:APA22_10760
ko:K06168	apq:APA22_10780
ko:K07278	apq:APA22_10810
ko:K09800	apq:APA22_10820
ko:K01142	apq:APA22_10830
ko:K01273	apq:APA22_10840
ko:K03703	apq:APA22_10850
ko:K03636	apq:APA22_10880
ko:K00833	apq:APA22_10900
ko:K02170	apq:APA22_10920
ko:K01356	apq:APA22_10940
ko:K03750	apq:APA22_10950
ko:K02913	apq:APA22_10960
ko:K01689	apq:APA22_10980
ko:K03154	apq:APA22_11010
ko:K03149	apq:APA22_11020
ko:K00788	apq:APA22_11030
ko:K03655	apq:APA22_11040
ko:K09159	apq:APA22_11050
ko:K03723	apq:APA22_11060
ko:K14347	apq:APA22_11080
ko:K09883	apq:APA22_11100
ko:K03801	apq:APA22_11150
ko:K00963	apq:APA22_11170
ko:K03639	apq:APA22_11190
ko:K00928	apq:APA22_11270
ko:K15539	apq:APA22_11290
ko:K00645	apq:APA22_11760
ko:K02002	apq:APA22_11790
ko:K03704	apq:APA22_11840
ko:K03664	apq:APA22_11850
ko:K01714	apq:APA22_11860
ko:K00979	apq:APA22_11880
ko:K07391	apq:APA22_11920
ko:K06131	apq:APA22_11980
ko:K07460	apq:APA22_11970
ko:K07390	apq:APA22_12000
ko:K01952	apq:APA22_12020
ko:K01952	apq:APA22_12030
ko:K01952	apq:APA22_12050
ko:K01923	apq:APA22_12060
ko:K01756	apq:APA22_12070
ko:K08309	apq:APA22_12090
ko:K01095	apq:APA22_12100
ko:K03644	apq:APA22_12140
ko:K00382	apq:APA22_12150
ko:K00627	apq:APA22_12160
ko:K00162	apq:APA22_12170
ko:K00161	apq:APA22_12180
ko:K03637	apq:APA22_12190
ko:K01609	apq:APA22_12200
ko:K00766	apq:APA22_12210
ko:K01657	apq:APA22_12230
ko:K03770	apq:APA22_12240
ko:K01803	apq:APA22_12250
ko:K06958	apq:APA22_02850
ko:K14980	apq:APA22_02870
ko:K14981	apq:APA22_02880
ko:K03687	apq:APA22_02890
ko:K04043	apq:APA22_02900
ko:K03686	apq:APA22_02910
ko:K00215	apq:APA22_02920
ko:K00789	apq:APA22_02930
ko:K03439	apq:APA22_02940
ko:K00602	apq:APA22_02950
ko:K01879	apq:APA22_03000
ko:K01878	apq:APA22_03010
ko:K09945	apq:APA22_03020
ko:K03820	apq:APA22_03040
ko:K03628	apq:APA22_03080
ko:K03284	apq:APA22_03100
ko:K01696	apq:APA22_03110
ko:K01695	apq:APA22_03120
ko:K07007	apq:APA22_03130
ko:K06915	apq:APA22_03140
ko:K02502	apq:APA22_03150
ko:K01939	apq:APA22_03160
ko:K07636	apq:APA22_03180
ko:K02040	apq:APA22_03190
ko:K01093	apq:APA22_03230
ko:K00145	apq:APA22_03310
ko:K04079	apq:APA22_03340
ko:K01892	apq:APA22_11310
ko:K02835	apq:APA22_11320
ko:K02493	apq:APA22_11340
ko:K06153	apq:APA22_11380
ko:K03642	apq:APA22_11430
ko:K00943	apq:APA22_11450
ko:K02341	apq:APA22_11460
ko:K01874	apq:APA22_11470
ko:K03424	apq:APA22_11480
ko:K06167	apq:APA22_11490
ko:K00275	apq:APA22_11510
ko:K00208	apq:APA22_11520
ko:K01736	apq:APA22_11530
ko:K00116	apq:APA22_11550
ko:K01737	apq:APA22_11560
ko:K06920	apq:APA22_11570
ko:K01012	apq:APA22_11590
ko:K00390	apq:APA22_11610
ko:K00957	apq:APA22_11620
ko:K00955	apq:APA22_11630
ko:K00381	apq:APA22_11650
ko:K02527	apq:APA22_11670
ko:K00912	apq:APA22_11680
ko:K02517	apq:APA22_11690
ko:K07082	apq:APA22_11720
ko:K09458	apq:APA22_11730
ko:K02078	apq:APA22_11740
ko:K03075	apq:APA22_12260
ko:K01937	apq:APA22_12270
ko:K01627	apq:APA22_12280
ko:K02470	apq:APA22_12290
