ko:K18929	cjp:A911_00350
ko:K02112	cjp:A911_00510
ko:K02114	cjp:A911_00515
ko:K03832	cjp:A911_00530
ko:K03641	cjp:A911_00535
ko:K03640	cjp:A911_00540
ko:K03501	cjp:A911_04810
ko:K03086	cjp:A911_04830
ko:K08296	cjp:A911_04835
ko:K01735	cjp:A911_04865
ko:K09944	cjp:A911_04870
ko:K00773	cjp:A911_04875
ko:K01996	cjp:A911_04895
ko:K01995	cjp:A911_04900
ko:K01998	cjp:A911_04905
ko:K01997	cjp:A911_04910
ko:K01999	cjp:A911_04915
ko:K01999	cjp:A911_04920
ko:K00133	cjp:A911_04940
ko:K09860	cjp:A911_04955
ko:K02469	cjp:A911_04960
ko:K03596	cjp:A911_04975
ko:K03686	cjp:A911_04995
ko:K03588	cjp:A911_05015
ko:K02563	cjp:A911_05020
ko:K00788	cjp:A911_05045
ko:K03150	cjp:A911_05050
ko:K03149	cjp:A911_05055
ko:K03154	cjp:A911_05065
ko:K01673	cjp:A911_01145
ko:K16052	cjp:A911_01150
ko:K13819	cjp:A911_01155
ko:K04487	cjp:A911_01160
ko:K02916	cjp:A911_01175
ko:K02887	cjp:A911_01180
ko:K03637	cjp:A911_01215
ko:K01142	cjp:A911_01230
ko:K03760	cjp:A911_01235
ko:K00901	cjp:A911_01240
ko:K01465	cjp:A911_01250
ko:K07238	cjp:A911_01270
ko:K03532	cjp:A911_01280
ko:K00826	cjp:A911_01300
ko:K01821	cjp:A911_01305
ko:K03564	cjp:A911_01310
ko:K09765	cjp:A911_01315
ko:K02372	cjp:A911_01320
ko:K00677	cjp:A911_01325
ko:K03544	cjp:A911_01330
ko:K03569	cjp:A911_01335
ko:K03570	cjp:A911_01340
ko:K01955	cjp:A911_01345
ko:K01079	cjp:A911_01360
ko:K03408	cjp:A911_01365
ko:K03407	cjp:A911_01370
ko:K03415	cjp:A911_01375
ko:K03269	cjp:A911_01380
ko:K03624	cjp:A911_01385
ko:K00748	cjp:A911_01390
ko:K03787	cjp:A911_01410
ko:K01579	cjp:A911_01425
ko:K01918	cjp:A911_01430
ko:K03628	cjp:A911_05600
ko:K02343	cjp:A911_05605
ko:K16264	cjp:A911_05635
ko:K11743	cjp:A911_05685
ko:K11742	cjp:A911_05690
ko:K01887	cjp:A911_05695
ko:K03116	cjp:A911_05700
ko:K00942	cjp:A911_05705
ko:K02421	cjp:A911_05715
ko:K02357	cjp:A911_05725
ko:K02967	cjp:A911_05730
ko:K00574	cjp:A911_05735
ko:K00413	cjp:A911_05740
ko:K00412	cjp:A911_05745
ko:K00411	cjp:A911_05750
ko:K03893	cjp:A911_05755
ko:K03495	cjp:A911_05760
ko:K11103	cjp:A911_05780
ko:K03306	cjp:A911_05790
ko:K01465	cjp:A911_05795
ko:K00057	cjp:A911_05800
ko:K02434	cjp:A911_05805
ko:K07173	cjp:A911_05810
ko:K00549	cjp:A911_05825
ko:K00297	cjp:A911_05830
ko:K02108	cjp:A911_05840
ko:K04485	cjp:A911_05845
ko:K03110	cjp:A911_05850
ko:K13292	cjp:A911_01980
ko:K00246	cjp:A911_01985
ko:K06152	cjp:A911_02015
ko:K06151	cjp:A911_02020
ko:K01925	cjp:A911_02105
ko:K01000	cjp:A911_02110
ko:K15633	cjp:A911_02115
ko:K00239	cjp:A911_02130
ko:K00240	cjp:A911_02135
ko:K03707	cjp:A911_02145
ko:K02078	cjp:A911_02150
ko:K09458	cjp:A911_02155
ko:K01962	cjp:A911_02160
ko:K09794	cjp:A911_02190
ko:K02902	cjp:A911_02195
ko:K01783	cjp:A911_02200
ko:K03147	cjp:A911_02210
ko:K09778	cjp:A911_02230
ko:K06168	cjp:A911_02235
ko:K02600	cjp:A911_02245
ko:K02406	cjp:A911_06500
ko:K02406	cjp:A911_06505
ko:K02456	cjp:A911_06520
ko:K00099	cjp:A911_06540
ko:K00981	cjp:A911_06545
ko:K03752	cjp:A911_06560
ko:K01058	cjp:A911_06565
ko:K02015	cjp:A911_06570
ko:K02015	cjp:A911_06575
ko:K02013	cjp:A911_06580
ko:K02016	cjp:A911_06585
ko:K03385	cjp:A911_06595
ko:K15876	cjp:A911_06600
ko:K00937	cjp:A911_06605
ko:K03407	cjp:A911_06610
ko:K03551	cjp:A911_06615
ko:K00820	cjp:A911_06635
ko:K00990	cjp:A911_06640
ko:K06901	cjp:A911_06650
ko:K04754	cjp:A911_06660
ko:K07323	cjp:A911_06665
ko:K01653	cjp:A911_02805
ko:K02536	cjp:A911_02810
ko:K07568	cjp:A911_02815
ko:K03118	cjp:A911_02820
ko:K03117	cjp:A911_02825
ko:K08311	cjp:A911_02835
ko:K00928	cjp:A911_02840
ko:K02341	cjp:A911_02850
ko:K00796	cjp:A911_02855
ko:K01972	cjp:A911_02860
ko:K06442	cjp:A911_02870
ko:K11753	cjp:A911_02875
ko:K15256	cjp:A911_02880
ko:K01173	cjp:A911_02900
ko:K10773	cjp:A911_02905
ko:K01624	cjp:A911_02915
ko:K02557	cjp:A911_02925
ko:K03308	cjp:A911_02935
ko:K04084	cjp:A911_02945
ko:K13888	cjp:A911_02960
ko:K05685	cjp:A911_02965
ko:K09795	cjp:A911_02980
ko:K02217	cjp:A911_02990
ko:K02040	cjp:A911_02995
ko:K02037	cjp:A911_03000
ko:K02038	cjp:A911_03005
ko:K02036	cjp:A911_03010
ko:K07043	cjp:A911_03025
ko:K04656	cjp:A911_03035
ko:K04653	cjp:A911_03045
ko:K04654	cjp:A911_03050
ko:K04651	cjp:A911_03060
ko:K02340	cjp:A911_03075
ko:K12573	cjp:A911_03080
ko:K02379	cjp:A911_07265
ko:K00123	cjp:A911_07280
ko:K00123	cjp:A911_07285
ko:K13747	cjp:A911_07300
ko:K03636	cjp:A911_07310
ko:K03750	cjp:A911_07320
ko:K01933	cjp:A911_07360
ko:K00859	cjp:A911_07365
ko:K01778	cjp:A911_07370
ko:K07133	cjp:A911_07380
ko:K04047	cjp:A911_07385
ko:K01810	cjp:A911_07390
ko:K00963	cjp:A911_07395
ko:K01895	cjp:A911_07400
ko:K05773	cjp:A911_07410
ko:K05772	cjp:A911_07415
ko:K07160	cjp:A911_07420
ko:K03923	cjp:A911_07440
ko:K03098	cjp:A911_07450
ko:K13979	cjp:A911_07455
ko:K01153	cjp:A911_07460
ko:K01154	cjp:A911_07470
ko:K03427	cjp:A911_07480
ko:K07089	cjp:A911_07495
ko:K00343	cjp:A911_07530
ko:K00342	cjp:A911_07535
ko:K00341	cjp:A911_07540
ko:K00340	cjp:A911_07545
ko:K02956	cjp:A911_04275
ko:K03466	cjp:A911_04280
ko:K02397	cjp:A911_04285
ko:K15738	cjp:A911_04290
ko:K02945	cjp:A911_04315
ko:K03527	cjp:A911_04320
ko:K00800	cjp:A911_04325
ko:K01890	cjp:A911_04330
ko:K01889	cjp:A911_04335
ko:K02503	cjp:A911_04340
ko:K03152	cjp:A911_04345
ko:K03310	cjp:A911_04365
ko:K03216	cjp:A911_04370
ko:K01775	cjp:A911_04375
ko:K07152	cjp:A911_04400
ko:K01738	cjp:A911_04405
ko:K03530	cjp:A911_04410
ko:K10806	cjp:A911_04420
ko:K06200	cjp:A911_04430
ko:K00948	cjp:A911_04435
ko:K10040	cjp:A911_04445
ko:K10039	cjp:A911_04450
ko:K03412	cjp:A911_04465
ko:K01808	cjp:A911_04470
ko:K00759	cjp:A911_04480
ko:K01255	cjp:A911_04490
ko:K06942	cjp:A911_04495
ko:K01755	cjp:A911_04500
ko:K01610	cjp:A911_04505
ko:K01960	cjp:A911_04510
ko:K03308	cjp:A911_04515
ko:K03308	cjp:A911_04520
ko:K03775	cjp:A911_00550
ko:K00645	cjp:A911_00555
ko:K07042	cjp:A911_00580
ko:K06204	cjp:A911_00600
ko:K00783	cjp:A911_00605
ko:K01963	cjp:A911_00610
ko:K07277	cjp:A911_00620
ko:K02535	cjp:A911_00635
ko:K00872	cjp:A911_00645
ko:K02519	cjp:A911_00655
ko:K02834	cjp:A911_00660
ko:K09748	cjp:A911_00665
ko:K09816	cjp:A911_00680
ko:K09817	cjp:A911_00685
ko:K07093	cjp:A911_00700
ko:K00384	cjp:A911_00705
ko:K03671	cjp:A911_00710
ko:K07460	cjp:A911_00715
ko:K00003	cjp:A911_00720
ko:K14261	cjp:A911_00725
ko:K03218	cjp:A911_00740
ko:K07056	cjp:A911_00745
ko:K02909	cjp:A911_00750
ko:K09761	cjp:A911_00755
ko:K01737	cjp:A911_00770
ko:K03639	cjp:A911_00780
ko:K03179	cjp:A911_00795
ko:K00791	cjp:A911_00800
ko:K06895	cjp:A911_05075
ko:K12410	cjp:A911_05080
ko:K07456	cjp:A911_05090
ko:K01924	cjp:A911_05100
ko:K03602	cjp:A911_05115
ko:K01870	cjp:A911_05135
ko:K00995	cjp:A911_05160
ko:K11749	cjp:A911_05165
ko:K02990	cjp:A911_05175
ko:K02963	cjp:A911_05185
ko:K01338	cjp:A911_05190
ko:K05807	cjp:A911_05195
ko:K13626	cjp:A911_05200
ko:K00286	cjp:A911_05205
ko:K00788	cjp:A911_05230
ko:K00941	cjp:A911_05235
ko:K06923	cjp:A911_05245
ko:K03723	cjp:A911_05250
ko:K11754	cjp:A911_05265
ko:K01869	cjp:A911_05280
ko:K03074	cjp:A911_05285
ko:K03072	cjp:A911_05290
ko:K03210	cjp:A911_05295
ko:K03820	cjp:A911_05300
ko:K00789	cjp:A911_05305
ko:K07862	cjp:A911_05310
ko:K00609	cjp:A911_05315
ko:K08602	cjp:A911_05320
ko:K03657	cjp:A911_05330
ko:K00606	cjp:A911_01435
ko:K02018	cjp:A911_01450
ko:K02020	cjp:A911_01460
ko:K02169	cjp:A911_01465
ko:K09789	cjp:A911_01470
ko:K00833	cjp:A911_01480
ko:K01935	cjp:A911_01485
ko:K02897	cjp:A911_01500
ko:K01056	cjp:A911_01505
ko:K11720	cjp:A911_01510
ko:K01586	cjp:A911_01515
ko:K14170	cjp:A911_01525
ko:K00817	cjp:A911_01530
ko:K02409	cjp:A911_01535
ko:K02410	cjp:A911_01540
ko:K02411	cjp:A911_01545
ko:K01662	cjp:A911_01550
ko:K03183	cjp:A911_01565
ko:K03601	cjp:A911_01570
ko:K00831	cjp:A911_01575
ko:K00648	cjp:A911_01585
ko:K03621	cjp:A911_01590
ko:K02911	cjp:A911_01595
ko:K00940	cjp:A911_01605
ko:K02401	cjp:A911_01620
ko:K02557	cjp:A911_01625
ko:K02556	cjp:A911_01630
ko:K03701	cjp:A911_01655
ko:K07090	cjp:A911_01660
ko:K01657	cjp:A911_01670
ko:K13497	cjp:A911_01675
ko:K01817	cjp:A911_01680
ko:K01696	cjp:A911_01685
ko:K01695	cjp:A911_01690
ko:K07058	cjp:A911_05880
ko:K05810	cjp:A911_05905
ko:K00793	cjp:A911_05910
ko:K04078	cjp:A911_05920
ko:K04077	cjp:A911_05925
ko:K05516	cjp:A911_05965
ko:K01091	cjp:A911_05985
ko:K01879	cjp:A911_05990
ko:K01524	cjp:A911_06005
ko:K03474	cjp:A911_06010
ko:K00097	cjp:A911_06015
ko:K01599	cjp:A911_06035
ko:K03703	cjp:A911_06050
ko:K01951	cjp:A911_06060
ko:K01945	cjp:A911_06075
ko:K04744	cjp:A911_06085
ko:K00962	cjp:A911_06090
ko:K03686	cjp:A911_06120
ko:K06187	cjp:A911_06135
ko:K00053	cjp:A911_03085
ko:K09798	cjp:A911_03090
ko:K04096	cjp:A911_03095
ko:K07447	cjp:A911_03100
ko:K01876	cjp:A911_03125
ko:K00858	cjp:A911_03130
ko:K03631	cjp:A911_03135
ko:K03424	cjp:A911_03145
ko:K08307	cjp:A911_03150
ko:K03642	cjp:A911_03155
ko:K03270	cjp:A911_03160
ko:K09774	cjp:A911_03170
ko:K03978	cjp:A911_03175
ko:K05515	cjp:A911_03185
ko:K03305	cjp:A911_03195
ko:K03667	cjp:A911_03225
ko:K01419	cjp:A911_03230
ko:K02939	cjp:A911_03235
ko:K01940	cjp:A911_03240
ko:K06925	cjp:A911_03255
ko:K06861	cjp:A911_03260
ko:K03092	cjp:A911_03265
ko:K01547	cjp:A911_03290
ko:K07646	cjp:A911_03305
ko:K03702	cjp:A911_03310
ko:K02456	cjp:A911_03325
ko:K04066	cjp:A911_03330
ko:K02393	cjp:A911_03345
ko:K13788	cjp:A911_03350
ko:K00925	cjp:A911_03355
ko:K03438	cjp:A911_03380
ko:K03770	cjp:A911_03385
ko:K03590	cjp:A911_03390
ko:K03531	cjp:A911_03395
ko:K02392	cjp:A911_03400
ko:K02392	cjp:A911_03405
ko:K01915	cjp:A911_03410
ko:K00339	cjp:A911_07550
ko:K00338	cjp:A911_07555
ko:K00337	cjp:A911_07560
ko:K00334	cjp:A911_07575
ko:K00333	cjp:A911_07580
ko:K00332	cjp:A911_07585
ko:K00331	cjp:A911_07590
ko:K00330	cjp:A911_07595
ko:K02034	cjp:A911_07610
ko:K06159	cjp:A911_07635
ko:K02518	cjp:A911_07650
ko:K02919	cjp:A911_07655
ko:K02952	cjp:A911_07660
ko:K02948	cjp:A911_07665
ko:K02986	cjp:A911_07670
ko:K03040	cjp:A911_07675
ko:K02879	cjp:A911_07680
ko:K00765	cjp:A911_07685
ko:K00013	cjp:A911_07690
ko:K01089	cjp:A911_07695
ko:K02501	cjp:A911_07700
ko:K01814	cjp:A911_07705
ko:K09805	cjp:A911_07710
ko:K02500	cjp:A911_07715
ko:K11755	cjp:A911_07720
ko:K12506	cjp:A911_07735
ko:K00958	cjp:A911_07745
ko:K01095	cjp:A911_07750
ko:K02968	cjp:A911_07755
ko:K02835	cjp:A911_07760
ko:K07226	cjp:A911_07765
ko:K02015	cjp:A911_07775
ko:K02013	cjp:A911_07780
ko:K03655	cjp:A911_02265
ko:K06886	cjp:A911_02270
ko:K02029	cjp:A911_02280
ko:K02029	cjp:A911_02285
ko:K02358	cjp:A911_02295
ko:K02913	cjp:A911_02300
ko:K03073	cjp:A911_02305
ko:K02601	cjp:A911_02310
ko:K02867	cjp:A911_02315
ko:K02863	cjp:A911_02320
ko:K02864	cjp:A911_02325
ko:K02935	cjp:A911_02330
ko:K03043	cjp:A911_02335
ko:K01714	cjp:A911_02350
ko:K02429	cjp:A911_02380
ko:K03534	cjp:A911_02390
ko:K07248	cjp:A911_02395
ko:K02950	cjp:A911_02400
ko:K02992	cjp:A911_02405
ko:K02355	cjp:A911_02410
ko:K06940	cjp:A911_02425
ko:K01609	cjp:A911_02435
ko:K06917	cjp:A911_02445
ko:K03320	cjp:A911_02450
ko:K01772	cjp:A911_02455
ko:K01872	cjp:A911_02470
ko:K06287	cjp:A911_02475
ko:K03695	cjp:A911_02485
ko:K03797	cjp:A911_02495
ko:K01923	cjp:A911_02500
ko:K01952	cjp:A911_02505
ko:K01952	cjp:A911_02510
ko:K01042	cjp:A911_06695
ko:K03833	cjp:A911_06700
ko:K03981	cjp:A911_06705
ko:K03839	cjp:A911_06715
ko:K03781	cjp:A911_06730
ko:K04758	cjp:A911_06795
ko:K04759	cjp:A911_06800
ko:K00208	cjp:A911_06810
ko:K01803	cjp:A911_06815
ko:K00927	cjp:A911_06820
ko:K00134	cjp:A911_06825
ko:K00969	cjp:A911_06830
ko:K09710	cjp:A911_06835
ko:K15778	cjp:A911_06845
ko:K02415	cjp:A911_06850
ko:K00997	cjp:A911_06855
ko:K07265	cjp:A911_06875
ko:K07266	cjp:A911_06880
ko:K00860	cjp:A911_06885
ko:K07010	cjp:A911_06895
ko:K06041	cjp:A911_06940
ko:K10107	cjp:A911_06950
ko:K09689	cjp:A911_06955
ko:K09688	cjp:A911_06960
ko:K09979	cjp:A911_06965
ko:K02016	cjp:A911_07785
ko:K01892	cjp:A911_03705
ko:K00943	cjp:A911_03710
ko:K00954	cjp:A911_03715
ko:K03186	cjp:A911_03720
ko:K02386	cjp:A911_03725
ko:K02073	cjp:A911_03740
ko:K02072	cjp:A911_03745
ko:K02071	cjp:A911_03750
ko:K01873	cjp:A911_03755
ko:K03657	cjp:A911_03765
ko:K11065	cjp:A911_03775
ko:K02567	cjp:A911_03780
ko:K02573	cjp:A911_03785
ko:K02568	cjp:A911_03795
ko:K02570	cjp:A911_03805
ko:K01433	cjp:A911_03830
ko:K01929	cjp:A911_03855
ko:K01921	cjp:A911_03870
ko:K03550	cjp:A911_03875
ko:K03980	cjp:A911_03885
ko:K01883	cjp:A911_03890
ko:K01714	cjp:A911_03910
ko:K00912	cjp:A911_03935
ko:K01733	cjp:A911_03940
ko:K00979	cjp:A911_03945
ko:K02419	cjp:A911_03975
ko:K01689	cjp:A911_08055
ko:K02420	cjp:A911_08070
ko:K00075	cjp:A911_08075
ko:K01647	cjp:A911_08105
ko:K01012	cjp:A911_08115
ko:K03168	cjp:A911_08120
ko:K03076	cjp:A911_08130
ko:K02876	cjp:A911_08135
ko:K02988	cjp:A911_08140
ko:K02881	cjp:A911_08145
ko:K02933	cjp:A911_08150
ko:K02994	cjp:A911_08155
ko:K02954	cjp:A911_08160
ko:K02931	cjp:A911_08165
ko:K02895	cjp:A911_08170
ko:K02874	cjp:A911_08175
ko:K02961	cjp:A911_08180
ko:K02904	cjp:A911_08185
ko:K02878	cjp:A911_08190
ko:K02982	cjp:A911_08195
ko:K02890	cjp:A911_08200
ko:K02965	cjp:A911_08205
ko:K02886	cjp:A911_08210
ko:K02892	cjp:A911_08215
ko:K02926	cjp:A911_08220
ko:K02906	cjp:A911_08225
ko:K02946	cjp:A911_08230
ko:K06178	cjp:A911_08235
ko:K02528	cjp:A911_08245
ko:K06941	cjp:A911_08255
ko:K01704	cjp:A911_08270
ko:K01703	cjp:A911_08275
ko:K00052	cjp:A911_08280
ko:K01649	cjp:A911_08285
ko:K02313	cjp:A911_00005
ko:K02338	cjp:A911_00010
ko:K02470	cjp:A911_00015
ko:K07084	cjp:A911_00030
ko:K00266	cjp:A911_00040
ko:K03470	cjp:A911_00045
ko:K02237	cjp:A911_00050
ko:K01687	cjp:A911_00060
ko:K08996	cjp:A911_00065
ko:K07023	cjp:A911_00070
ko:K06920	cjp:A911_00075
ko:K00428	cjp:A911_00095
ko:K06180	cjp:A911_00105
ko:K01756	cjp:A911_00110
ko:K06956	cjp:A911_00120
ko:K01937	cjp:A911_00130
ko:K07462	cjp:A911_00135
ko:K07552	cjp:A911_00170
ko:K06207	cjp:A911_00190
ko:K02389	cjp:A911_00205
ko:K02390	cjp:A911_00210
ko:K03319	cjp:A911_00230
ko:K03319	cjp:A911_00245
ko:K00566	cjp:A911_00250
ko:K06966	cjp:A911_00255
ko:K02110	cjp:A911_04525
ko:K07088	cjp:A911_04530
ko:K05939	cjp:A911_04535
ko:K03070	cjp:A911_04555
ko:K03634	cjp:A911_04560
ko:K12251	cjp:A911_04580
ko:K00602	cjp:A911_04605
ko:K05801	cjp:A911_04610
ko:K01952	cjp:A911_04615
ko:K03650	cjp:A911_04620
ko:K03217	cjp:A911_04630
ko:K03536	cjp:A911_04640
ko:K02914	cjp:A911_04645
ko:K07107	cjp:A911_04665
ko:K15257	cjp:A911_04710
ko:K09861	cjp:A911_04750
ko:K00611	cjp:A911_04795
ko:K01698	cjp:A911_04800
ko:K04564	cjp:A911_00815
ko:K02011	cjp:A911_00840
ko:K02012	cjp:A911_00845
ko:K16087	cjp:A911_00860
ko:K03561	cjp:A911_00865
ko:K03832	cjp:A911_00875
ko:K06193	cjp:A911_00895
ko:K11175	cjp:A911_00905
ko:K07391	cjp:A911_00920
ko:K01462	cjp:A911_00925
ko:K01358	cjp:A911_00930
ko:K03545	cjp:A911_00935
ko:K01495	cjp:A911_00940
ko:K02412	cjp:A911_00945
ko:K00764	cjp:A911_00950
ko:K00215	cjp:A911_00955
ko:K07478	cjp:A911_00960
ko:K03300	cjp:A911_00985
ko:K06153	cjp:A911_00995
ko:K01868	cjp:A911_01000
ko:K02520	cjp:A911_01005
ko:K00145	cjp:A911_01080
ko:K00930	cjp:A911_01090
ko:K00573	cjp:A911_01100
ko:K00763	cjp:A911_01110
ko:K00762	cjp:A911_01125
ko:K02838	cjp:A911_01130
ko:K03075	cjp:A911_01135
ko:K03563	cjp:A911_05340
ko:K00919	cjp:A911_05345
ko:K03664	cjp:A911_05350
ko:K06891	cjp:A911_05360
ko:K03694	cjp:A911_05365
ko:K00684	cjp:A911_05370
ko:K01613	cjp:A911_05400
ko:K03798	cjp:A911_05405
ko:K02687	cjp:A911_05410
ko:K03413	cjp:A911_05415
ko:K07501	cjp:A911_05485
ko:K02841	cjp:A911_05490
ko:K02517	cjp:A911_05495
ko:K03271	cjp:A911_05565
ko:K03272	cjp:A911_05570
ko:K03274	cjp:A911_05575
ko:K03273	cjp:A911_05580
ko:K02417	cjp:A911_01700
ko:K01524	cjp:A911_01710
ko:K01633	cjp:A911_01725
ko:K08591	cjp:A911_01730
ko:K00428	cjp:A911_01735
ko:K03431	cjp:A911_01745
ko:K03101	cjp:A911_01750
ko:K08973	cjp:A911_01755
ko:K03585	cjp:A911_01780
ko:K02970	cjp:A911_01795
ko:K09767	cjp:A911_01815
ko:K01591	cjp:A911_01850
ko:K03625	cjp:A911_01855
ko:K00794	cjp:A911_01860
ko:K01627	cjp:A911_01865
ko:K03977	cjp:A911_01875
ko:K00891	cjp:A911_01880
ko:K01867	cjp:A911_01885
ko:K01875	cjp:A911_01890
ko:K00873	cjp:A911_01905
ko:K00116	cjp:A911_01910
ko:K03525	cjp:A911_01915
ko:K02435	cjp:A911_01935
ko:K03558	cjp:A911_01940
ko:K04567	cjp:A911_01950
ko:K00600	cjp:A911_01955
ko:K03749	cjp:A911_01965
ko:K00014	cjp:A911_01970
ko:K03620	cjp:A911_06145
ko:K01448	cjp:A911_06165
ko:K00459	cjp:A911_06170
ko:K01866	cjp:A911_06175
ko:K03060	cjp:A911_06185
ko:K09903	cjp:A911_06190
ko:K09811	cjp:A911_06200
ko:K09812	cjp:A911_06205
ko:K03439	cjp:A911_06210
ko:K06180	cjp:A911_06220
ko:K05837	cjp:A911_06225
ko:K00761	cjp:A911_06245
ko:K00029	cjp:A911_06250
ko:K01961	cjp:A911_06265
ko:K02160	cjp:A911_06270
ko:K01494	cjp:A911_06275
ko:K15894	cjp:A911_06280
ko:K08303	cjp:A911_03420
ko:K01588	cjp:A911_03425
ko:K01878	cjp:A911_03435
ko:K07164	cjp:A911_03445
ko:K02527	cjp:A911_03450
ko:K06180	cjp:A911_03455
ko:K03106	cjp:A911_03460
ko:K02959	cjp:A911_03465
ko:K06960	cjp:A911_03470
ko:K02860	cjp:A911_03475
ko:K00554	cjp:A911_03480
ko:K02884	cjp:A911_03485
ko:K07127	cjp:A911_03490
ko:K01626	cjp:A911_03495
ko:K02337	cjp:A911_03505
ko:K06997	cjp:A911_03510
ko:K02406	cjp:A911_03515
ko:K02493	cjp:A911_03525
ko:K03831	cjp:A911_03540
ko:K03284	cjp:A911_03545
ko:K02053	cjp:A911_03570
ko:K03832	cjp:A911_03655
ko:K16089	cjp:A911_03660
ko:K03705	cjp:A911_03665
ko:K03687	cjp:A911_03670
ko:K04043	cjp:A911_03675
ko:K00812	cjp:A911_03690
ko:K00640	cjp:A911_03695
ko:K03575	cjp:A911_07800
ko:K11752	cjp:A911_07810
ko:K01752	cjp:A911_07820
ko:K03837	cjp:A911_07825
ko:K03561	cjp:A911_07840
ko:K03832	cjp:A911_07850
ko:K00566	cjp:A911_07865
ko:K01736	cjp:A911_07870
ko:K03685	cjp:A911_07875
ko:K01928	cjp:A911_07905
ko:K09747	cjp:A911_07910
ko:K00795	cjp:A911_07920
ko:K00615	cjp:A911_07925
ko:K02066	cjp:A911_07930
ko:K02065	cjp:A911_07935
ko:K01265	cjp:A911_07955
ko:K01776	cjp:A911_07960
ko:K03313	cjp:A911_07970
ko:K03313	cjp:A911_07975
ko:K07243	cjp:A911_07990
ko:K07230	cjp:A911_07995
ko:K02003	cjp:A911_08015
ko:K00648	cjp:A911_06330
ko:K02500	cjp:A911_06390
ko:K02501	cjp:A911_06395
ko:K00655	cjp:A911_02520
ko:K06199	cjp:A911_02525
ko:K04079	cjp:A911_02530
ko:K03587	cjp:A911_02555
ko:K02408	cjp:A911_02560
ko:K02388	cjp:A911_02565
ko:K02387	cjp:A911_02570
ko:K07082	cjp:A911_02575
ko:K00031	cjp:A911_02585
ko:K00024	cjp:A911_02590
ko:K01903	cjp:A911_02595
ko:K01902	cjp:A911_02600
ko:K00176	cjp:A911_02605
ko:K00174	cjp:A911_02610
ko:K00175	cjp:A911_02615
ko:K00177	cjp:A911_02620
ko:K02523	cjp:A911_02635
ko:K02492	cjp:A911_02640
ko:K01881	cjp:A911_02645
ko:K01649	cjp:A911_02650
ko:K01749	cjp:A911_02655
ko:K03182	cjp:A911_02660
ko:K02407	cjp:A911_02670
ko:K02422	cjp:A911_02675
ko:K02356	cjp:A911_02685
ko:K00147	cjp:A911_02720
ko:K00384	cjp:A911_02725
ko:K14652	cjp:A911_02790
ko:K09117	cjp:A911_02795
ko:K01652	cjp:A911_02800
ko:K04075	cjp:A911_06990
ko:K02836	cjp:A911_07005
ko:K06176	cjp:A911_07020
ko:K00946	cjp:A911_07025
ko:K02394	cjp:A911_07045
ko:K02396	cjp:A911_07065
ko:K07090	cjp:A911_07075
ko:K02455	cjp:A911_07080
ko:K01714	cjp:A911_07095
ko:K02453	cjp:A911_07100
ko:K03737	cjp:A911_07110
ko:K01091	cjp:A911_07115
ko:K02996	cjp:A911_07125
ko:K02871	cjp:A911_07130
ko:K03582	cjp:A911_07135
ko:K00406	cjp:A911_07165
