ko:K19079	suk:SAA6008_00677
ko:K03489	suk:SAA6008_00239
ko:K01223	suk:SAA6008_00241
ko:K06726	suk:SAA6008_00244
ko:K02529	suk:SAA6008_00246
ko:K01442	suk:SAA6008_00249
ko:K07516	suk:SAA6008_00201
ko:K00252	suk:SAA6008_00202
ko:K02015	suk:SAA6008_00091
ko:K02015	suk:SAA6008_00092
ko:K02016	suk:SAA6008_00093
ko:K01586	suk:SAA6008_00101
ko:K03466	suk:SAA6008_00261
ko:K03311	suk:SAA6008_00282
ko:K02003	suk:SAA6008_00285
ko:K02445	suk:SAA6008_00313
ko:K00299	suk:SAA6008_00316
ko:K03817	suk:SAA6008_00319
ko:K07224	suk:SAA6008_00320
ko:K07243	suk:SAA6008_00322
ko:K03118	suk:SAA6008_00323
ko:K03116	suk:SAA6008_00324
ko:K00549	suk:SAA6008_00333
ko:K06942	suk:SAA6008_00340
ko:K02990	suk:SAA6008_00342
ko:K02963	suk:SAA6008_00344
ko:K03387	suk:SAA6008_00380
ko:K03800	suk:SAA6008_00304
ko:K02072	suk:SAA6008_00466
ko:K02073	suk:SAA6008_00467
ko:K00266	suk:SAA6008_00476
ko:K02343	suk:SAA6008_00482
ko:K09747	suk:SAA6008_00483
ko:K06187	suk:SAA6008_00484
ko:K00943	suk:SAA6008_00486
ko:K02341	suk:SAA6008_00488
ko:K07461	suk:SAA6008_00492
ko:K07056	suk:SAA6008_00493
ko:K01874	suk:SAA6008_00494
ko:K03424	suk:SAA6008_00495
ko:K05985	suk:SAA6008_00496
ko:K02528	suk:SAA6008_00497
ko:K06956	suk:SAA6008_00383
ko:K03816	suk:SAA6008_00387
ko:K01951	suk:SAA6008_00390
ko:K08987	suk:SAA6008_00420
ko:K03427	suk:SAA6008_00434
ko:K01154	suk:SAA6008_00435
ko:K05577	suk:SAA6008_00455
ko:K09822	suk:SAA6008_00456
ko:K03928	suk:SAA6008_00460
ko:K03308	suk:SAA6008_00462
ko:K10773	suk:SAA6008_01421
ko:K01893	suk:SAA6008_01423
ko:K00926	suk:SAA6008_01122
ko:K16301	suk:SAA6008_00321
ko:K05352	suk:SAA6008_00230
ko:K06207	suk:SAA6008_01064
ko:K03588	suk:SAA6008_01068
ko:K09013	suk:SAA6008_00864
ko:K09015	suk:SAA6008_00865
ko:K11717	suk:SAA6008_00866
ko:K09014	suk:SAA6008_00868
ko:K00459	suk:SAA6008_00872
ko:K07090	suk:SAA6008_00874
ko:K03644	suk:SAA6008_00876
ko:K03367	suk:SAA6008_00883
ko:K03739	suk:SAA6008_00884
ko:K14188	suk:SAA6008_00885
ko:K03740	suk:SAA6008_00886
ko:K03885	suk:SAA6008_00889
ko:K03885	suk:SAA6008_00892
ko:K01255	suk:SAA6008_00895
ko:K07084	suk:SAA6008_00896
ko:K05571	suk:SAA6008_00899
ko:K05569	suk:SAA6008_00901
ko:K05567	suk:SAA6008_00903
ko:K05566	suk:SAA6008_00904
ko:K06347	suk:SAA6008_00906
ko:K00925	suk:SAA6008_01679
ko:K11065	suk:SAA6008_01681
ko:K07090	suk:SAA6008_01682
ko:K02259	suk:SAA6008_01070
ko:K08976	suk:SAA6008_01072
ko:K01126	suk:SAA6008_01075
ko:K00954	suk:SAA6008_01079
ko:K07040	suk:SAA6008_01081
ko:K02911	suk:SAA6008_01082
ko:K02016	suk:SAA6008_01087
ko:K02015	suk:SAA6008_01088
ko:K08600	suk:SAA6008_01089
ko:K03437	suk:SAA6008_01091
ko:K01889	suk:SAA6008_01092
ko:K01890	suk:SAA6008_01093
ko:K09888	suk:SAA6008_01095
ko:K02347	suk:SAA6008_01097
ko:K07456	suk:SAA6008_01098
ko:K03671	suk:SAA6008_01099
ko:K03703	suk:SAA6008_01100
ko:K00239	suk:SAA6008_01102
ko:K00240	suk:SAA6008_01103
ko:K01776	suk:SAA6008_01104
ko:K07095	suk:SAA6008_01106
ko:K07058	suk:SAA6008_01903
ko:K01265	suk:SAA6008_01908
ko:K09765	suk:SAA6008_02650
ko:K06978	suk:SAA6008_02653
ko:K01579	suk:SAA6008_02654
ko:K01918	suk:SAA6008_02655
ko:K00606	suk:SAA6008_02656
ko:K00077	suk:SAA6008_02657
ko:K01575	suk:SAA6008_02658
ko:K00823	suk:SAA6008_02661
ko:K01623	suk:SAA6008_02663
ko:K00116	suk:SAA6008_02664
ko:K01895	suk:SAA6008_02666
ko:K03300	suk:SAA6008_02675
ko:K02304	suk:SAA6008_02677
ko:K00432	suk:SAA6008_02679
ko:K00208	suk:SAA6008_00965
ko:K03310	suk:SAA6008_00967
ko:K02837	suk:SAA6008_00975
ko:K02250	suk:SAA6008_00980
ko:K03800	suk:SAA6008_00982
ko:K02003	suk:SAA6008_00987
ko:K15977	suk:SAA6008_00991
ko:K02016	suk:SAA6008_00992
ko:K02548	suk:SAA6008_00996
ko:K02551	suk:SAA6008_00998
ko:K01661	suk:SAA6008_01000
ko:K02829	suk:SAA6008_01013
ko:K07002	suk:SAA6008_01788
ko:K00231	suk:SAA6008_01789
ko:K01772	suk:SAA6008_01790
ko:K01599	suk:SAA6008_01791
ko:K02503	suk:SAA6008_01795
ko:K06180	suk:SAA6008_01807
ko:K03216	suk:SAA6008_01812
ko:K11476	suk:SAA6008_02542
ko:K06999	suk:SAA6008_02556
ko:K15975	suk:SAA6008_02557
ko:K15973	suk:SAA6008_02558
ko:K06975	suk:SAA6008_02559
ko:K03778	suk:SAA6008_02562
ko:K03823	suk:SAA6008_02567
ko:K01752	suk:SAA6008_02568
ko:K01752	suk:SAA6008_02569
ko:K07107	suk:SAA6008_02574
ko:K04759	suk:SAA6008_02588
ko:K02016	suk:SAA6008_00751
ko:K00075	suk:SAA6008_00752
ko:K00865	suk:SAA6008_00757
ko:K03070	suk:SAA6008_00768
ko:K02836	suk:SAA6008_00769
ko:K07023	suk:SAA6008_00771
ko:K03702	suk:SAA6008_00773
ko:K03701	suk:SAA6008_00774
ko:K13292	suk:SAA6008_00776
ko:K00384	suk:SAA6008_00779
ko:K01358	suk:SAA6008_00783
ko:K07071	suk:SAA6008_00784
ko:K05311	suk:SAA6008_00786
ko:K00134	suk:SAA6008_00787
ko:K00927	suk:SAA6008_00788
ko:K01803	suk:SAA6008_00789
ko:K15633	suk:SAA6008_00790
ko:K01689	suk:SAA6008_00791
ko:K03075	suk:SAA6008_00793
ko:K03928	suk:SAA6008_00794
ko:K12573	suk:SAA6008_00795
ko:K03664	suk:SAA6008_00796
ko:K00876	suk:SAA6008_01581
ko:K08303	suk:SAA6008_01582
ko:K07447	suk:SAA6008_01586
ko:K01872	suk:SAA6008_01588
ko:K03581	suk:SAA6008_01589
ko:K00566	suk:SAA6008_01591
ko:K04487	suk:SAA6008_01592
ko:K07478	suk:SAA6008_01597
ko:K01876	suk:SAA6008_01599
ko:K01892	suk:SAA6008_01600
ko:K01448	suk:SAA6008_01601
ko:K07560	suk:SAA6008_01602
ko:K00759	suk:SAA6008_01604
ko:K07462	suk:SAA6008_01605
ko:K12257	suk:SAA6008_01606
ko:K03210	suk:SAA6008_01607
ko:K00773	suk:SAA6008_01608
ko:K07568	suk:SAA6008_01609
ko:K03551	suk:SAA6008_01610
ko:K03550	suk:SAA6008_01611
ko:K06209	suk:SAA6008_01612
ko:K03979	suk:SAA6008_01613
ko:K02899	suk:SAA6008_01614
ko:K02888	suk:SAA6008_01616
ko:K03571	suk:SAA6008_01617
ko:K03570	suk:SAA6008_01618
ko:K03630	suk:SAA6008_01628
ko:K09940	suk:SAA6008_02338
ko:K00123	suk:SAA6008_02344
ko:K03453	suk:SAA6008_02357
ko:K02749	suk:SAA6008_02359
ko:K02750	suk:SAA6008_02359
ko:K03481	suk:SAA6008_02360
ko:K01468	suk:SAA6008_02367
ko:K01712	suk:SAA6008_02368
ko:K11210	suk:SAA6008_02370
ko:K01807	suk:SAA6008_02374
ko:K09771	suk:SAA6008_02377
ko:K03652	suk:SAA6008_02381
ko:K03312	suk:SAA6008_02382
ko:K03284	suk:SAA6008_02384
ko:K07107	suk:SAA6008_02385
ko:K06885	suk:SAA6008_00621
ko:K01887	suk:SAA6008_00625
ko:K02016	suk:SAA6008_00627
ko:K02015	suk:SAA6008_00628
ko:K09936	suk:SAA6008_00635
ko:K05566	suk:SAA6008_00641
ko:K05567	suk:SAA6008_00642
ko:K05569	suk:SAA6008_00644
ko:K05571	suk:SAA6008_00646
ko:K00800	suk:SAA6008_01433
ko:K01735	suk:SAA6008_01434
ko:K01736	suk:SAA6008_01435
ko:K00940	suk:SAA6008_01437
ko:K03183	suk:SAA6008_01439
ko:K03530	suk:SAA6008_01441
ko:K00057	suk:SAA6008_01442
ko:K03977	suk:SAA6008_01443
ko:K02945	suk:SAA6008_01444
ko:K00945	suk:SAA6008_01446
ko:K03654	suk:SAA6008_01450
ko:K07651	suk:SAA6008_01461
ko:K07775	suk:SAA6008_01462
ko:K06178	suk:SAA6008_01463
ko:K06024	suk:SAA6008_01464
ko:K05896	suk:SAA6008_01465
ko:K07124	suk:SAA6008_01471
ko:K00286	suk:SAA6008_01472
ko:K00036	suk:SAA6008_01475
ko:K11068	suk:SAA6008_02208
ko:K07038	suk:SAA6008_02210
ko:K02015	suk:SAA6008_02213
ko:K02015	suk:SAA6008_02214
ko:K02016	suk:SAA6008_02215
ko:K02787	suk:SAA6008_02231
ko:K02788	suk:SAA6008_02231
ko:K12410	suk:SAA6008_02238
ko:K03151	suk:SAA6008_01683
ko:K04487	suk:SAA6008_01684
ko:K02986	suk:SAA6008_01688
ko:K01126	suk:SAA6008_01689
ko:K00655	suk:SAA6008_01695
ko:K01866	suk:SAA6008_01698
ko:K01938	suk:SAA6008_01702
ko:K01895	suk:SAA6008_01703
ko:K04766	suk:SAA6008_01704
ko:K04768	suk:SAA6008_01705
ko:K02529	suk:SAA6008_01706
ko:K13853	suk:SAA6008_01707
ko:K01924	suk:SAA6008_01711
ko:K03466	suk:SAA6008_01712
ko:K06878	suk:SAA6008_01713
ko:K03439	suk:SAA6008_01720
ko:K00824	suk:SAA6008_01722
ko:K07007	suk:SAA6008_01727
ko:K01869	suk:SAA6008_01730
ko:K00363	suk:SAA6008_02440
ko:K00362	suk:SAA6008_02441
ko:K01012	suk:SAA6008_02467
ko:K00833	suk:SAA6008_02468
ko:K01935	suk:SAA6008_02469
ko:K00865	suk:SAA6008_02473
ko:K00077	suk:SAA6008_02485
ko:K08170	suk:SAA6008_02486
ko:K05846	suk:SAA6008_02487
ko:K11032	suk:SAA6008_01115
ko:K03925	suk:SAA6008_01132
ko:K03438	suk:SAA6008_01133
ko:K01000	suk:SAA6008_01136
ko:K01925	suk:SAA6008_01137
ko:K03589	suk:SAA6008_01138
ko:K03590	suk:SAA6008_01139
ko:K03531	suk:SAA6008_01140
ko:K05810	suk:SAA6008_01141
ko:K06997	suk:SAA6008_01142
ko:K09772	suk:SAA6008_01143
ko:K02221	suk:SAA6008_01144
ko:K04074	suk:SAA6008_01146
ko:K01870	suk:SAA6008_01147
ko:K03101	suk:SAA6008_01150
ko:K06180	suk:SAA6008_01151
ko:K02825	suk:SAA6008_01152
ko:K00609	suk:SAA6008_01154
ko:K01465	suk:SAA6008_01155
ko:K01956	suk:SAA6008_01156
ko:K01955	suk:SAA6008_01157
ko:K01591	suk:SAA6008_01158
ko:K00762	suk:SAA6008_01159
ko:K00942	suk:SAA6008_01164
ko:K03060	suk:SAA6008_01165
ko:K13038	suk:SAA6008_01166
ko:K04066	suk:SAA6008_01167
ko:K02217	suk:SAA6008_01913
ko:K02346	suk:SAA6008_01915
ko:K03215	suk:SAA6008_01917
ko:K02434	suk:SAA6008_01920
ko:K02435	suk:SAA6008_01922
ko:K01972	suk:SAA6008_01925
ko:K03657	suk:SAA6008_01926
ko:K01756	suk:SAA6008_01929
ko:K00763	suk:SAA6008_01934
ko:K00491	suk:SAA6008_01935
ko:K14445	suk:SAA6008_01937
ko:K00926	suk:SAA6008_02691
ko:K03758	suk:SAA6008_02692
ko:K00611	suk:SAA6008_02693
ko:K01809	suk:SAA6008_02701
ko:K01421	suk:SAA6008_02702
ko:K03070	suk:SAA6008_02708
ko:K03076	suk:SAA6008_02712
ko:K11936	suk:SAA6008_02726
ko:K11755	suk:SAA6008_02731
ko:K02500	suk:SAA6008_02732
ko:K01814	suk:SAA6008_02733
ko:K02501	suk:SAA6008_02734
ko:K01693	suk:SAA6008_02735
ko:K00817	suk:SAA6008_02736
ko:K00013	suk:SAA6008_02737
ko:K00765	suk:SAA6008_02738
ko:K03704	suk:SAA6008_00808
ko:K06895	suk:SAA6008_00816
ko:K03785	suk:SAA6008_00819
ko:K02437	suk:SAA6008_00823
ko:K07476	suk:SAA6008_00833
ko:K02071	suk:SAA6008_00835
ko:K02072	suk:SAA6008_00836
ko:K02073	suk:SAA6008_00837
ko:K11754	suk:SAA6008_01630
ko:K01873	suk:SAA6008_01631
ko:K01246	suk:SAA6008_01632
ko:K01845	suk:SAA6008_01635
ko:K01698	suk:SAA6008_01636
ko:K01749	suk:SAA6008_01638
ko:K02497	suk:SAA6008_01639
ko:K02492	suk:SAA6008_01640
ko:K03978	suk:SAA6008_01641
ko:K03544	suk:SAA6008_01642
ko:K03545	suk:SAA6008_01643
ko:K02887	suk:SAA6008_01646
ko:K02916	suk:SAA6008_01647
ko:K02520	suk:SAA6008_01648
ko:K01868	suk:SAA6008_01650
ko:K07738	suk:SAA6008_01653
ko:K00134	suk:SAA6008_01654
ko:K00859	suk:SAA6008_01655
ko:K07636	suk:SAA6008_01659
ko:K00031	suk:SAA6008_01661
ko:K01647	suk:SAA6008_01662
ko:K00873	suk:SAA6008_01666
ko:K00850	suk:SAA6008_01667
ko:K01962	suk:SAA6008_01668
ko:K01963	suk:SAA6008_01669
ko:K02337	suk:SAA6008_01671
ko:K00259	suk:SAA6008_01677
ko:K07552	suk:SAA6008_02392
ko:K00116	suk:SAA6008_02403
ko:K03303	suk:SAA6008_02404
ko:K11102	suk:SAA6008_02423
ko:K07696	suk:SAA6008_02432
ko:K00373	suk:SAA6008_02436
ko:K00371	suk:SAA6008_02437
ko:K00370	suk:SAA6008_02438
ko:K02828	suk:SAA6008_01014
ko:K02827	suk:SAA6008_01015
ko:K02826	suk:SAA6008_01016
ko:K01491	suk:SAA6008_01019
ko:K01588	suk:SAA6008_01020
ko:K01589	suk:SAA6008_01021
ko:K01923	suk:SAA6008_01022
ko:K01952	suk:SAA6008_01024
ko:K01952	suk:SAA6008_01025
ko:K00764	suk:SAA6008_01026
ko:K01933	suk:SAA6008_01027
ko:K11175	suk:SAA6008_01028
ko:K00602	suk:SAA6008_01029
ko:K01945	suk:SAA6008_01030
ko:K06969	suk:SAA6008_01036
ko:K00425	suk:SAA6008_01041
ko:K00426	suk:SAA6008_01042
ko:K01462	suk:SAA6008_01046
ko:K00161	suk:SAA6008_01048
ko:K00162	suk:SAA6008_01049
ko:K00627	suk:SAA6008_01050
ko:K00382	suk:SAA6008_01051
ko:K03322	suk:SAA6008_01060
ko:K03564	suk:SAA6008_01820
ko:K01845	suk:SAA6008_01821
ko:K03575	suk:SAA6008_01825
ko:K03565	suk:SAA6008_01830
ko:K05520	suk:SAA6008_01832
ko:K04758	suk:SAA6008_02589
ko:K03778	suk:SAA6008_02598
ko:K05946	suk:SAA6008_00653
ko:K02013	suk:SAA6008_00663
ko:K02015	suk:SAA6008_00664
ko:K02015	suk:SAA6008_00665
ko:K05878	suk:SAA6008_00666
ko:K05879	suk:SAA6008_00667
ko:K07220	suk:SAA6008_00679
ko:K03306	suk:SAA6008_00680
ko:K06890	suk:SAA6008_00682
ko:K09793	suk:SAA6008_00691
ko:K06966	suk:SAA6008_00697
ko:K09768	suk:SAA6008_00698
ko:K06153	suk:SAA6008_00700
ko:K09699	suk:SAA6008_01485
ko:K00167	suk:SAA6008_01486
ko:K00166	suk:SAA6008_01487
ko:K00382	suk:SAA6008_01488
ko:K03631	suk:SAA6008_01489
ko:K03402	suk:SAA6008_01490
ko:K13789	suk:SAA6008_01491
ko:K03602	suk:SAA6008_01492
ko:K03601	suk:SAA6008_01493
ko:K03625	suk:SAA6008_01494
ko:K01961	suk:SAA6008_01496
ko:K02160	suk:SAA6008_01497
ko:K02356	suk:SAA6008_01498
ko:K03800	suk:SAA6008_01502
ko:K00283	suk:SAA6008_01504
ko:K00282	suk:SAA6008_01505
ko:K00605	suk:SAA6008_01506
ko:K00891	suk:SAA6008_01507
ko:K02913	suk:SAA6008_01520
ko:K04564	suk:SAA6008_01522
ko:K09816	suk:SAA6008_01524
ko:K09817	suk:SAA6008_01525
ko:K01151	suk:SAA6008_01526
ko:K06967	suk:SAA6008_01529
ko:K01575	suk:SAA6008_02247
ko:K00260	suk:SAA6008_00911
ko:K01126	suk:SAA6008_00912
ko:K01755	suk:SAA6008_00913
ko:K01940	suk:SAA6008_00914
ko:K01810	suk:SAA6008_00915
ko:K03100	suk:SAA6008_00917
ko:K03100	suk:SAA6008_00918
ko:K03695	suk:SAA6008_00927
ko:K00648	suk:SAA6008_00936
ko:K09458	suk:SAA6008_00937
ko:K15581	suk:SAA6008_00939
ko:K15580	suk:SAA6008_00943
ko:K02034	suk:SAA6008_00948
ko:K01867	suk:SAA6008_00949
ko:K08602	suk:SAA6008_00954
ko:K06886	suk:SAA6008_00956
ko:K00858	suk:SAA6008_00960
ko:K06180	suk:SAA6008_00961
ko:K06213	suk:SAA6008_00962
ko:K07139	suk:SAA6008_01732
ko:K00318	suk:SAA6008_01739
ko:K00794	suk:SAA6008_01740
ko:K14652	suk:SAA6008_01741
ko:K00793	suk:SAA6008_01742
ko:K11752	suk:SAA6008_01743
ko:K03893	suk:SAA6008_01745
ko:K06199	suk:SAA6008_01753
ko:K06199	suk:SAA6008_01754
ko:K00789	suk:SAA6008_01765
ko:K01610	suk:SAA6008_01766
ko:K08998	suk:SAA6008_01770
ko:K01911	suk:SAA6008_01772
ko:K05845	suk:SAA6008_02488
ko:K05846	suk:SAA6008_02489
ko:K05847	suk:SAA6008_02490
ko:K02069	suk:SAA6008_02495
ko:K01652	suk:SAA6008_02248
ko:K02996	suk:SAA6008_02254
ko:K02871	suk:SAA6008_02255
ko:K06173	suk:SAA6008_02256
ko:K02879	suk:SAA6008_02260
ko:K03040	suk:SAA6008_02261
ko:K02948	suk:SAA6008_02262
ko:K02952	suk:SAA6008_02263
ko:K02919	suk:SAA6008_02264
ko:K02518	suk:SAA6008_02265
ko:K03076	suk:SAA6008_02267
ko:K02876	suk:SAA6008_02268
ko:K02907	suk:SAA6008_02269
ko:K02988	suk:SAA6008_02270
ko:K02881	suk:SAA6008_02271
ko:K02933	suk:SAA6008_02272
ko:K02994	suk:SAA6008_02273
ko:K02954	suk:SAA6008_02274
ko:K02931	suk:SAA6008_02275
ko:K02895	suk:SAA6008_02276
ko:K02874	suk:SAA6008_02277
ko:K02961	suk:SAA6008_02278
ko:K02904	suk:SAA6008_02279
ko:K02878	suk:SAA6008_02280
ko:K02982	suk:SAA6008_02281
ko:K02890	suk:SAA6008_02282
ko:K02965	suk:SAA6008_02283
ko:K02886	suk:SAA6008_02284
ko:K02892	suk:SAA6008_02285
ko:K02926	suk:SAA6008_02286
ko:K02906	suk:SAA6008_02287
ko:K02946	suk:SAA6008_02288
ko:K01669	suk:SAA6008_00708
ko:K02068	suk:SAA6008_02496
ko:K10824	suk:SAA6008_02504
ko:K15587	suk:SAA6008_02505
ko:K15586	suk:SAA6008_02506
ko:K15585	suk:SAA6008_02507
ko:K15584	suk:SAA6008_02508
ko:K00963	suk:SAA6008_02535
ko:K03386	suk:SAA6008_00381
ko:K02768	suk:SAA6008_00716
ko:K02769	suk:SAA6008_00716
ko:K02770	suk:SAA6008_00716
ko:K01443	suk:SAA6008_00717
ko:K10681	suk:SAA6008_00721
ko:K10682	suk:SAA6008_00722
ko:K10026	suk:SAA6008_00726
ko:K01737	suk:SAA6008_00727
ko:K06920	suk:SAA6008_00728
ko:K01665	suk:SAA6008_00730
ko:K15738	suk:SAA6008_00735
ko:K03654	suk:SAA6008_00736
ko:K05847	suk:SAA6008_00737
ko:K00817	suk:SAA6008_00739
ko:K03305	suk:SAA6008_00742
ko:K09457	suk:SAA6008_00743
ko:K02015	suk:SAA6008_00748
ko:K02015	suk:SAA6008_00749
ko:K02013	suk:SAA6008_00750
ko:K03086	suk:SAA6008_01530
ko:K09773	suk:SAA6008_01532
ko:K01880	suk:SAA6008_01534
ko:K03584	suk:SAA6008_01535
ko:K07042	suk:SAA6008_01540
ko:K02970	suk:SAA6008_01545
ko:K09761	suk:SAA6008_01547
ko:K02687	suk:SAA6008_01548
ko:K03686	suk:SAA6008_01549
ko:K04043	suk:SAA6008_01550
ko:K03687	suk:SAA6008_01551
ko:K03705	suk:SAA6008_01552
ko:K03596	suk:SAA6008_01554
ko:K02968	suk:SAA6008_01555
ko:K02340	suk:SAA6008_01556
ko:K02237	suk:SAA6008_01560
ko:K09710	suk:SAA6008_01562
ko:K00969	suk:SAA6008_01564
ko:K07574	suk:SAA6008_01565
ko:K00014	suk:SAA6008_01566
ko:K07015	suk:SAA6008_01568
ko:K07160	suk:SAA6008_01575
ko:K01961	suk:SAA6008_01576
ko:K02160	suk:SAA6008_01577
ko:K03624	suk:SAA6008_01580
ko:K06901	suk:SAA6008_02290
ko:K07088	suk:SAA6008_02295
ko:K03639	suk:SAA6008_02305
ko:K03752	suk:SAA6008_02306
ko:K03636	suk:SAA6008_02307
ko:K03753	suk:SAA6008_02309
ko:K03750	suk:SAA6008_02310
ko:K03637	suk:SAA6008_02311
ko:K03638	suk:SAA6008_02312
ko:K02018	suk:SAA6008_02315
ko:K02020	suk:SAA6008_02316
ko:K02379	suk:SAA6008_02317
ko:K03523	suk:SAA6008_02319
ko:K02016	suk:SAA6008_02321
ko:K08717	suk:SAA6008_02323
ko:K01430	suk:SAA6008_02324
ko:K01429	suk:SAA6008_02325
ko:K01428	suk:SAA6008_02326
ko:K03187	suk:SAA6008_02327
ko:K03188	suk:SAA6008_02328
ko:K03189	suk:SAA6008_02329
ko:K03190	suk:SAA6008_02330
ko:K03315	suk:SAA6008_02336
ko:K00919	suk:SAA6008_00499
ko:K06412	suk:SAA6008_00502
ko:K04042	suk:SAA6008_00504
ko:K00948	suk:SAA6008_00505
ko:K02897	suk:SAA6008_00506
ko:K01056	suk:SAA6008_00507
ko:K03723	suk:SAA6008_00508
ko:K07571	suk:SAA6008_00513
ko:K04075	suk:SAA6008_00514
ko:K00760	suk:SAA6008_00515
ko:K03798	suk:SAA6008_00516
ko:K04083	suk:SAA6008_00517
ko:K01738	suk:SAA6008_00518
ko:K00796	suk:SAA6008_00519
ko:K01633	suk:SAA6008_00520
ko:K00950	suk:SAA6008_00521
ko:K04567	suk:SAA6008_00522
ko:K00375	suk:SAA6008_00524
ko:K06215	suk:SAA6008_00525
ko:K08681	suk:SAA6008_00526
ko:K11535	suk:SAA6008_00527
ko:K03696	suk:SAA6008_00531
ko:K04485	suk:SAA6008_00532
ko:K00640	suk:SAA6008_00535
ko:K01883	suk:SAA6008_00536
ko:K11145	suk:SAA6008_00537
ko:K03218	suk:SAA6008_00538
ko:K06962	suk:SAA6008_00539
ko:K03091	suk:SAA6008_00540
ko:K03073	suk:SAA6008_00541
ko:K01657	suk:SAA6008_01332
ko:K00766	suk:SAA6008_01334
ko:K01609	suk:SAA6008_01335
ko:K01817	suk:SAA6008_01336
ko:K01696	suk:SAA6008_01337
ko:K01695	suk:SAA6008_01338
ko:K02034	suk:SAA6008_01345
ko:K02039	suk:SAA6008_01349
ko:K02036	suk:SAA6008_01350
ko:K02038	suk:SAA6008_01351
ko:K02037	suk:SAA6008_01352
ko:K02040	suk:SAA6008_01353
ko:K00243	suk:SAA6008_01355
ko:K00928	suk:SAA6008_01357
ko:K00133	suk:SAA6008_01358
ko:K01714	suk:SAA6008_01359
ko:K00215	suk:SAA6008_01360
ko:K01775	suk:SAA6008_01363
ko:K01586	suk:SAA6008_01364
ko:K03704	suk:SAA6008_01366
ko:K01512	suk:SAA6008_01368
ko:K03311	suk:SAA6008_01373
ko:K01547	suk:SAA6008_02115
