ko:K11707	ctw:G9768_00355
ko:K03046	ctw:G9768_01605
ko:K03043	ctw:G9768_01610
ko:K02935	ctw:G9768_01615
ko:K02864	ctw:G9768_01620
ko:K02863	ctw:G9768_01625
ko:K02867	ctw:G9768_01630
ko:K02601	ctw:G9768_01635
ko:K03073	ctw:G9768_01640
ko:K02358	ctw:G9768_01645
ko:K02518	ctw:G9768_01650
ko:K01803	ctw:G9768_01680
ko:K03601	ctw:G9768_01685
ko:K03602	ctw:G9768_01690
ko:K01662	ctw:G9768_01700
ko:K00873	ctw:G9768_01705
ko:K03701	ctw:G9768_01710
ko:K02343	ctw:G9768_01715
ko:K09747	ctw:G9768_01720
ko:K11381	ctw:G9768_01750
ko:K03686	ctw:G9768_01755
ko:K02970	ctw:G9768_01760
ko:K01338	ctw:G9768_01770
ko:K03733	ctw:G9768_01785
ko:K06287	ctw:G9768_01795
ko:K03075	ctw:G9768_01810
ko:K01462	ctw:G9768_01815
ko:K02528	ctw:G9768_01820
ko:K06888	ctw:G9768_01830
ko:K03523	ctw:G9768_01855
ko:K03222	ctw:G9768_02935
ko:K03223	ctw:G9768_02950
ko:K03226	ctw:G9768_02955
ko:K03228	ctw:G9768_02965
ko:K02455	ctw:G9768_02995
ko:K02453	ctw:G9768_03005
ko:K03572	ctw:G9768_03020
ko:K01868	ctw:G9768_03050
ko:K01867	ctw:G9768_03070
ko:K03702	ctw:G9768_03075
ko:K01689	ctw:G9768_03080
ko:K00240	ctw:G9768_03100
ko:K00239	ctw:G9768_03105
ko:K03424	ctw:G9768_03120
ko:K03562	ctw:G9768_03130
ko:K03641	ctw:G9768_03145
ko:K03640	ctw:G9768_03150
ko:K03648	ctw:G9768_03190
ko:K03657	ctw:G9768_03195
ko:K03092	ctw:G9768_03200
ko:K01845	ctw:G9768_01080
ko:K07735	ctw:G9768_01085
ko:K08999	ctw:G9768_01090
ko:K01807	ctw:G9768_01095
ko:K03720	ctw:G9768_00865
ko:K01696	ctw:G9768_00875
ko:K01695	ctw:G9768_00880
ko:K03611	ctw:G9768_00910
ko:K00979	ctw:G9768_00940
ko:K01937	ctw:G9768_00945
ko:K07447	ctw:G9768_00950
ko:K00036	ctw:G9768_00955
ko:K01057	ctw:G9768_00960
ko:K02343	ctw:G9768_00965
ko:K00943	ctw:G9768_00970
ko:K02469	ctw:G9768_00975
ko:K02470	ctw:G9768_00980
ko:K00773	ctw:G9768_00995
ko:K06213	ctw:G9768_01000
ko:K15580	ctw:G9768_01020
ko:K15581	ctw:G9768_01025
ko:K03319	ctw:G9768_01050
ko:K02527	ctw:G9768_01070
ko:K01869	ctw:G9768_01075
ko:K03787	ctw:G9768_01120
ko:K03179	ctw:G9768_01125
ko:K03186	ctw:G9768_01130
ko:K03308	ctw:G9768_01190
ko:K02078	ctw:G9768_01215
ko:K00645	ctw:G9768_01225
ko:K00648	ctw:G9768_01230
ko:K06187	ctw:G9768_01235
ko:K07277	ctw:G9768_01240
ko:K06142	ctw:G9768_01245
ko:K02536	ctw:G9768_01250
ko:K00161	ctw:G9768_01260
ko:K00162	ctw:G9768_01265
ko:K00627	ctw:G9768_01270
ko:K00688	ctw:G9768_01275
ko:K02313	ctw:G9768_01285
ko:K03217	ctw:G9768_01290
ko:K04487	ctw:G9768_01325
ko:K09779	ctw:G9768_00010
ko:K02435	ctw:G9768_00015
ko:K02434	ctw:G9768_00025
ko:K02517	ctw:G9768_00055
ko:K00425	ctw:G9768_00070
ko:K00426	ctw:G9768_00075
ko:K07175	ctw:G9768_00080
ko:K01870	ctw:G9768_00105
ko:K03100	ctw:G9768_00110
ko:K02909	ctw:G9768_00120
ko:K02835	ctw:G9768_00125
ko:K02493	ctw:G9768_00130
ko:K03106	ctw:G9768_00135
ko:K02959	ctw:G9768_00140
ko:K00554	ctw:G9768_00145
ko:K02884	ctw:G9768_00150
ko:K03470	ctw:G9768_00155
ko:K00942	ctw:G9768_00160
ko:K01874	ctw:G9768_00170
ko:K03581	ctw:G9768_00175
ko:K01494	ctw:G9768_00205
ko:K03551	ctw:G9768_00215
ko:K01255	ctw:G9768_00240
ko:K02990	ctw:G9768_04245
ko:K02963	ctw:G9768_04250
ko:K02939	ctw:G9768_04255
ko:K00919	ctw:G9768_04260
ko:K00630	ctw:G9768_04280
ko:K08301	ctw:G9768_04285
ko:K02911	ctw:G9768_04295
ko:K03621	ctw:G9768_04300
ko:K03431	ctw:G9768_04330
ko:K00820	ctw:G9768_04335
ko:K03834	ctw:G9768_04340
ko:K03834	ctw:G9768_04350
ko:K06890	ctw:G9768_04355
ko:K03110	ctw:G9768_04360
ko:K01903	ctw:G9768_04365
ko:K01902	ctw:G9768_04370
ko:K09760	ctw:G9768_04385
ko:K03439	ctw:G9768_04405
ko:K00075	ctw:G9768_04415
ko:K03625	ctw:G9768_04425
ko:K02916	ctw:G9768_04435
ko:K02887	ctw:G9768_04440
ko:K01889	ctw:G9768_04445
ko:K11720	ctw:G9768_04460
ko:K07091	ctw:G9768_04465
ko:K04075	ctw:G9768_04470
ko:K03798	ctw:G9768_04475
ko:K00962	ctw:G9768_04480
ko:K02956	ctw:G9768_04485
ko:K03569	ctw:G9768_03755
ko:K00057	ctw:G9768_03780
ko:K02412	ctw:G9768_03795
ko:K02411	ctw:G9768_03800
ko:K02409	ctw:G9768_03805
ko:K13819	ctw:G9768_03810
ko:K04487	ctw:G9768_03815
ko:K06178	ctw:G9768_03830
ko:K03524	ctw:G9768_03840
ko:K05837	ctw:G9768_03845
ko:K01875	ctw:G9768_03860
ko:K11752	ctw:G9768_03865
ko:K14652	ctw:G9768_03870
ko:K00794	ctw:G9768_03875
ko:K03310	ctw:G9768_03890
ko:K03466	ctw:G9768_03910
ko:K00351	ctw:G9768_03920
ko:K03210	ctw:G9768_03925
ko:K00231	ctw:G9768_03945
ko:K01599	ctw:G9768_03955
ko:K03723	ctw:G9768_03960
ko:K01872	ctw:G9768_03965
ko:K00615	ctw:G9768_03975
ko:K03040	ctw:G9768_02665
ko:K02948	ctw:G9768_02670
ko:K02952	ctw:G9768_02675
ko:K03076	ctw:G9768_02680
ko:K02876	ctw:G9768_02685
ko:K02988	ctw:G9768_02690
ko:K02881	ctw:G9768_02695
ko:K02933	ctw:G9768_02700
ko:K02994	ctw:G9768_02705
ko:K02931	ctw:G9768_02710
ko:K02895	ctw:G9768_02715
ko:K02874	ctw:G9768_02720
ko:K02961	ctw:G9768_02725
ko:K02904	ctw:G9768_02730
ko:K02878	ctw:G9768_02735
ko:K02982	ctw:G9768_02740
ko:K02890	ctw:G9768_02745
ko:K02965	ctw:G9768_02750
ko:K02886	ctw:G9768_02755
ko:K02892	ctw:G9768_02760
ko:K02926	ctw:G9768_02765
ko:K02906	ctw:G9768_02770
ko:K00604	ctw:G9768_02780
ko:K00677	ctw:G9768_02785
ko:K02372	ctw:G9768_02790
ko:K02535	ctw:G9768_02795
ko:K03820	ctw:G9768_02800
ko:K06925	ctw:G9768_02815
ko:K03671	ctw:G9768_02825
ko:K03216	ctw:G9768_02830
ko:K01876	ctw:G9768_02840
ko:K01892	ctw:G9768_02845
ko:K07783	ctw:G9768_02850
ko:K02337	ctw:G9768_02855
ko:K03311	ctw:G9768_02910
ko:K00382	ctw:G9768_02925
ko:K03644	ctw:G9768_02930
ko:K01714	ctw:G9768_01870
ko:K00928	ctw:G9768_01875
ko:K00133	ctw:G9768_01880
ko:K00215	ctw:G9768_01885
ko:K00800	ctw:G9768_01895
ko:K00891	ctw:G9768_01900
ko:K01736	ctw:G9768_01905
ko:K01735	ctw:G9768_01910
ko:K13832	ctw:G9768_01915
ko:K03758	ctw:G9768_01935
ko:K00024	ctw:G9768_01945
ko:K01810	ctw:G9768_01950
ko:K03665	ctw:G9768_01955
ko:K06167	ctw:G9768_01960
ko:K09996	ctw:G9768_01965
ko:K06966	ctw:G9768_02000
ko:K09131	ctw:G9768_02005
ko:K10206	ctw:G9768_02015
ko:K01881	ctw:G9768_02030
ko:K03705	ctw:G9768_02035
ko:K03687	ctw:G9768_02040
ko:K04043	ctw:G9768_02045
ko:K12573	ctw:G9768_02050
ko:K07164	ctw:G9768_02055
ko:K06041	ctw:G9768_02060
ko:K00658	ctw:G9768_02065
ko:K00912	ctw:G9768_02075
ko:K03437	ctw:G9768_02080
ko:K06969	ctw:G9768_02085
ko:K00793	ctw:G9768_02090
ko:K07738	ctw:G9768_02095
ko:K06204	ctw:G9768_02100
ko:K03101	ctw:G9768_02105
ko:K03310	ctw:G9768_02110
ko:K00748	ctw:G9768_02120
ko:K02340	ctw:G9768_00250
ko:K07056	ctw:G9768_00255
ko:K00164	ctw:G9768_00285
ko:K00658	ctw:G9768_00290
ko:K05810	ctw:G9768_00295
ko:K03526	ctw:G9768_00300
ko:K02400	ctw:G9768_00315
ko:K02405	ctw:G9768_00320
ko:K01866	ctw:G9768_00325
ko:K03596	ctw:G9768_00335
ko:K03301	ctw:G9768_00340
ko:K00099	ctw:G9768_00375
ko:K03629	ctw:G9768_00390
ko:K02338	ctw:G9768_00395
ko:K03664	ctw:G9768_00400
ko:K03734	ctw:G9768_00405
ko:K01491	ctw:G9768_00410
ko:K02902	ctw:G9768_00445
ko:K00705	ctw:G9768_00450
ko:K04058	ctw:G9768_00460
ko:K03230	ctw:G9768_00465
ko:K03229	ctw:G9768_00470
ko:K06942	ctw:G9768_00475
ko:K11753	ctw:G9768_00480
ko:K02834	ctw:G9768_00490
ko:K02519	ctw:G9768_00495
ko:K02600	ctw:G9768_00500
ko:K02945	ctw:G9768_00505
ko:K00384	ctw:G9768_00510
ko:K00997	ctw:G9768_00515
ko:K01265	ctw:G9768_04535
ko:K03321	ctw:G9768_04560
ko:K03527	ctw:G9768_04575
ko:K00208	ctw:G9768_00540
ko:K03575	ctw:G9768_00555
ko:K04077	ctw:G9768_00570
ko:K04078	ctw:G9768_00575
ko:K08602	ctw:G9768_00580
ko:K03695	ctw:G9768_00585
ko:K01783	ctw:G9768_00625
ko:K02356	ctw:G9768_00630
ko:K02160	ctw:G9768_00635
ko:K01961	ctw:G9768_00640
ko:K02871	ctw:G9768_00645
ko:K02996	ctw:G9768_00650
ko:K02029	ctw:G9768_00665
ko:K07058	ctw:G9768_00680
ko:K06999	ctw:G9768_00700
ko:K07566	ctw:G9768_00705
ko:K09125	ctw:G9768_00720
ko:K07039	ctw:G9768_00725
ko:K01972	ctw:G9768_00755
ko:K02913	ctw:G9768_00775
ko:K09808	ctw:G9768_00780
ko:K03162	ctw:G9768_03605
ko:K00813	ctw:G9768_03350
ko:K01934	ctw:G9768_03410
ko:K03856	ctw:G9768_01970
ko:K00970	ctw:G9768_02115
ko:K02433	ctw:G9768_00020
ko:K03471	ctw:G9768_00045
ko:K01408	ctw:G9768_04275
ko:K00059	ctw:G9768_01220
ko:K07052	ctw:G9768_01305
ko:K02342	ctw:G9768_01340
ko:K09815	ctw:G9768_02140
ko:K01719	ctw:G9768_02245
ko:K00380	ctw:G9768_02255
ko:K03227	ctw:G9768_02960
ko:K02454	ctw:G9768_03000
ko:K01262	ctw:G9768_03015
ko:K07315	ctw:G9768_03085
ko:K00241	ctw:G9768_03110
ko:K00241	ctw:G9768_03115
ko:K03386	ctw:G9768_03165
ko:K02428	ctw:G9768_03180
ko:K00970	ctw:G9768_03725
ko:K01885	ctw:G9768_02315
ko:K02806	ctw:G9768_01490
ko:K02806	ctw:G9768_01495
ko:K02124	ctw:G9768_01555
ko:K02123	ctw:G9768_01560
ko:K02120	ctw:G9768_01565
ko:K00033	ctw:G9768_00330
ko:K03177	ctw:G9768_00485
ko:K01679	ctw:G9768_04555
ko:K04763	ctw:G9768_04605
ko:K00700	ctw:G9768_04615
ko:K02118	ctw:G9768_01570
ko:K02117	ctw:G9768_01575
ko:K02121	ctw:G9768_01585
ko:K00616	ctw:G9768_01600
ko:K01596	ctw:G9768_03760
ko:K00972	ctw:G9768_03785
ko:K06910	ctw:G9768_03895
ko:K07117	ctw:G9768_03900
ko:K07098	ctw:G9768_02405
ko:K00567	ctw:G9768_02495
ko:K02033	ctw:G9768_02505
ko:K02035	ctw:G9768_02510
ko:K02030	ctw:G9768_02550
ko:K06179	ctw:G9768_00550
ko:K00939	ctw:G9768_00660
ko:K02035	ctw:G9768_00715
ko:K06889	ctw:G9768_00770
ko:K08483	ctw:G9768_01725
ko:K11189	ctw:G9768_01730
ko:K00784	ctw:G9768_01780
ko:K01507	ctw:G9768_04090
ko:K01082	ctw:G9768_04100
ko:K01909	ctw:G9768_04110
ko:K00652	ctw:G9768_04115
ko:K02035	ctw:G9768_00905
ko:K02049	ctw:G9768_00930
ko:K01409	ctw:G9768_01015
ko:K15582	ctw:G9768_01030
ko:K06889	ctw:G9768_01060
ko:K02342	ctw:G9768_02810
ko:K07258	ctw:G9768_02885
ko:K14232	ctw:G9768_t04674
ko:K14233	ctw:G9768_t04700
ko:K14228	ctw:G9768_t04744
ko:K01840	ctw:G9768_01515
ko:K11645	ctw:G9768_01105
ko:K15583	ctw:G9768_01040
ko:K14221	ctw:G9768_t04688
ko:K00850	ctw:G9768_01055
ko:K10823	ctw:G9768_01035
ko:K14223	ctw:G9768_t04738
ko:K01834	ctw:G9768_03820
ko:K14226	ctw:G9768_t04734
ko:K07714	ctw:G9768_02440
ko:K00895	ctw:G9768_01065
ko:K01985	ctw:G9768_r04746
ko:K01985	ctw:G9768_r04748
ko:K11709	ctw:G9768_00370
ko:K11708	ctw:G9768_00365
ko:K11710	ctw:G9768_00360
ko:K14233	ctw:G9768_t04742
ko:K03559	ctw:G9768_03135
ko:K14219	ctw:G9768_t04722
ko:K14227	ctw:G9768_t04680
ko:K09810	ctw:G9768_00785
ko:K14234	ctw:G9768_t04676
ko:K02028	ctw:G9768_00670
ko:K14220	ctw:G9768_t04672
ko:K14222	ctw:G9768_t04736
ko:K01980	ctw:G9768_r04754
ko:K01980	ctw:G9768_r04756
ko:K17103	ctw:G9768_04390
ko:K01977	ctw:G9768_r04750
ko:K01977	ctw:G9768_r04752
ko:K14233	ctw:G9768_t04698
ko:K14228	ctw:G9768_t04704
ko:K04084	ctw:G9768_03125
ko:K14236	ctw:G9768_t04678
ko:K14218	ctw:G9768_t04720
ko:K14230	ctw:G9768_t04684
ko:K14230	ctw:G9768_t04696
ko:K14235	ctw:G9768_t04692
ko:K14233	ctw:G9768_t04710
ko:K14231	ctw:G9768_t04702
ko:K14228	ctw:G9768_t04712
ko:K14228	ctw:G9768_t04714
ko:K14219	ctw:G9768_t04706
ko:K14232	ctw:G9768_t04718
ko:K14229	ctw:G9768_t04726
ko:K14224	ctw:G9768_t04728
ko:K14218	ctw:G9768_t04682
ko:K14219	ctw:G9768_t04716
ko:K14234	ctw:G9768_t04724
ko:K14225	ctw:G9768_t04730
ko:K14228	ctw:G9768_t04708
ko:K14237	ctw:G9768_t04690
ko:K14230	ctw:G9768_t04686
ko:K14234	ctw:G9768_t04694
ko:K14225	ctw:G9768_t04732
ko:K14237	ctw:G9768_t04740
ko:K06972	ctw:G9768_04380
ko:K08719	ctw:G9768_03775
ko:K07081	ctw:G9768_02210
ko:K02520	ctw:G9768_04430
ko:K08275	ctw:G9768_00420
ko:K01802	ctw:G9768_02835
ko:K01921	ctw:G9768_04040
ko:K01924	ctw:G9768_04040
ko:K01829	ctw:G9768_04130
ko:K01829	ctw:G9768_04150
ko:K03309	ctw:G9768_02070
ko:K07033	ctw:G9768_03625
ko:K01214	ctw:G9768_00225
ko:K03825	ctw:G9768_02390
ko:K03496	ctw:G9768_03055
ko:K03497	ctw:G9768_03645
ko:K03111	ctw:G9768_00235
ko:K02626	ctw:G9768_01930
ko:K11991	ctw:G9768_04490
ko:K02031	ctw:G9768_03655
ko:K04771	ctw:G9768_04375
ko:K19411	ctw:G9768_03565
ko:K19405	ctw:G9768_03560
ko:K07125	ctw:G9768_01660
ko:K22100	ctw:G9768_01675
ko:K12132	ctw:G9768_01540
ko:K20265	ctw:G9768_01110
ko:K20074	ctw:G9768_01330
ko:K11749	ctw:G9768_00380
ko:K22099	ctw:G9768_03210
ko:K00526	ctw:G9768_04400
ko:K02335	ctw:G9768_02585
ko:K01520	ctw:G9768_01500
ko:K02314	ctw:G9768_02615
ko:K00287	ctw:G9768_03215
ko:K03553	ctw:G9768_03420
ko:K02316	ctw:G9768_04200
ko:K02032	ctw:G9768_03650
ko:K00525	ctw:G9768_04395
ko:K02050	ctw:G9768_04550
ko:K02051	ctw:G9768_04550
ko:K01534	ctw:G9768_03850
ko:K16239	ctw:G9768_00440
