ko:K19405	ctrm:L2BAMS1_00710
ko:K03310	ctrm:L2BAMS1_00775
ko:K03466	ctrm:L2BAMS1_00779
ko:K00351	ctrm:L2BAMS1_00784
ko:K03210	ctrm:L2BAMS1_00785
ko:K00231	ctrm:L2BAMS1_00789
ko:K01599	ctrm:L2BAMS1_00791
ko:K03723	ctrm:L2BAMS1_00792
ko:K01872	ctrm:L2BAMS1_00793
ko:K00615	ctrm:L2BAMS1_00797
ko:K01241	ctrm:L2BAMS1_00798
ko:K03043	ctrm:L2BAMS1_00320
ko:K02935	ctrm:L2BAMS1_00321
ko:K02864	ctrm:L2BAMS1_00322
ko:K02863	ctrm:L2BAMS1_00323
ko:K02867	ctrm:L2BAMS1_00324
ko:K02601	ctrm:L2BAMS1_00325
ko:K03073	ctrm:L2BAMS1_00326
ko:K02358	ctrm:L2BAMS1_00328
ko:K02518	ctrm:L2BAMS1_00330
ko:K01803	ctrm:L2BAMS1_00337
ko:K03601	ctrm:L2BAMS1_00338
ko:K03602	ctrm:L2BAMS1_00339
ko:K01662	ctrm:L2BAMS1_00341
ko:K00873	ctrm:L2BAMS1_00342
ko:K03701	ctrm:L2BAMS1_00343
ko:K02343	ctrm:L2BAMS1_00344
ko:K09747	ctrm:L2BAMS1_00345
ko:K11381	ctrm:L2BAMS1_00351
ko:K03686	ctrm:L2BAMS1_00352
ko:K02970	ctrm:L2BAMS1_00353
ko:K01338	ctrm:L2BAMS1_00355
ko:K03733	ctrm:L2BAMS1_00358
ko:K06287	ctrm:L2BAMS1_00360
ko:K03075	ctrm:L2BAMS1_00363
ko:K01462	ctrm:L2BAMS1_00364
ko:K02528	ctrm:L2BAMS1_00365
ko:K06888	ctrm:L2BAMS1_00367
ko:K03523	ctrm:L2BAMS1_00371
ko:K02356	ctrm:L2BAMS1_00799
ko:K01929	ctrm:L2BAMS1_00804
ko:K01000	ctrm:L2BAMS1_00805
ko:K01925	ctrm:L2BAMS1_00806
ko:K03588	ctrm:L2BAMS1_00808
ko:K02563	ctrm:L2BAMS1_00809
ko:K06960	ctrm:L2BAMS1_00811
ko:K00791	ctrm:L2BAMS1_00814
ko:K09710	ctrm:L2BAMS1_00817
ko:K09458	ctrm:L2BAMS1_00818
ko:K00263	ctrm:L2BAMS1_00821
ko:K00655	ctrm:L2BAMS1_00823
ko:K04066	ctrm:L2BAMS1_00826
ko:K04567	ctrm:L2BAMS1_00830
ko:K01883	ctrm:L2BAMS1_00831
ko:K03536	ctrm:L2BAMS1_00833
ko:K02919	ctrm:L2BAMS1_00834
ko:K02954	ctrm:L2BAMS1_00835
ko:K03703	ctrm:L2BAMS1_00839
ko:K03555	ctrm:L2BAMS1_00840
ko:K14164	ctrm:L2BAMS1_00844
ko:K00995	ctrm:L2BAMS1_00845
ko:K00703	ctrm:L2BAMS1_00846
ko:K02897	ctrm:L2BAMS1_00848
ko:K01056	ctrm:L2BAMS1_00849
ko:K02990	ctrm:L2BAMS1_00850
ko:K01714	ctrm:L2BAMS1_00374
ko:K00928	ctrm:L2BAMS1_00375
ko:K00133	ctrm:L2BAMS1_00376
ko:K00215	ctrm:L2BAMS1_00377
ko:K00800	ctrm:L2BAMS1_00379
ko:K00891	ctrm:L2BAMS1_00380
ko:K01736	ctrm:L2BAMS1_00381
ko:K01735	ctrm:L2BAMS1_00382
ko:K13832	ctrm:L2BAMS1_00383
ko:K03758	ctrm:L2BAMS1_00387
ko:K00024	ctrm:L2BAMS1_00389
ko:K01810	ctrm:L2BAMS1_00391
ko:K03665	ctrm:L2BAMS1_00392
ko:K06167	ctrm:L2BAMS1_00393
ko:K09996	ctrm:L2BAMS1_00394
ko:K06966	ctrm:L2BAMS1_00401
ko:K09131	ctrm:L2BAMS1_00402
ko:K10206	ctrm:L2BAMS1_00404
ko:K01881	ctrm:L2BAMS1_00407
ko:K03705	ctrm:L2BAMS1_00408
ko:K03687	ctrm:L2BAMS1_00409
ko:K04043	ctrm:L2BAMS1_00410
ko:K12573	ctrm:L2BAMS1_00411
ko:K07164	ctrm:L2BAMS1_00412
ko:K06041	ctrm:L2BAMS1_00413
ko:K00658	ctrm:L2BAMS1_00414
ko:K00912	ctrm:L2BAMS1_00416
ko:K03437	ctrm:L2BAMS1_00417
ko:K06969	ctrm:L2BAMS1_00418
ko:K00793	ctrm:L2BAMS1_00419
ko:K07738	ctrm:L2BAMS1_00420
ko:K06204	ctrm:L2BAMS1_00421
ko:K03101	ctrm:L2BAMS1_00422
ko:K03310	ctrm:L2BAMS1_00423
ko:K00748	ctrm:L2BAMS1_00425
ko:K02028	ctrm:L2BAMS1_00132
ko:K14220	ctrm:L2BAMS1_00039
ko:K15035	ctrm:L2BAMS1_00020
ko:K14222	ctrm:L2BAMS1_00803
ko:K01977	ctrm:L2BAMS1_00781
ko:K01977	ctrm:L2BAMS1_00794
ko:K01985	ctrm:L2BAMS1_00783
ko:K01985	ctrm:L2BAMS1_00796
ko:K01980	ctrm:L2BAMS1_00782
ko:K01980	ctrm:L2BAMS1_00795
ko:K17103	ctrm:L2BAMS1_00879
ko:K00970	ctrm:L2BAMS1_00743
ko:K01596	ctrm:L2BAMS1_00750
ko:K00972	ctrm:L2BAMS1_00755
ko:K01834	ctrm:L2BAMS1_00762
ko:K06910	ctrm:L2BAMS1_00776
ko:K07117	ctrm:L2BAMS1_00777
ko:K01507	ctrm:L2BAMS1_00820
ko:K01082	ctrm:L2BAMS1_00822
ko:K01909	ctrm:L2BAMS1_00824
ko:K00652	ctrm:L2BAMS1_00825
ko:K01408	ctrm:L2BAMS1_00856
ko:K01679	ctrm:L2BAMS1_00912
ko:K04763	ctrm:L2BAMS1_00923
ko:K00700	ctrm:L2BAMS1_00925
ko:K02030	ctrm:L2BAMS1_00510
ko:K02342	ctrm:L2BAMS1_00562
ko:K07258	ctrm:L2BAMS1_00578
ko:K03227	ctrm:L2BAMS1_00590
ko:K02454	ctrm:L2BAMS1_00598
ko:K01262	ctrm:L2BAMS1_00601
ko:K07315	ctrm:L2BAMS1_00615
ko:K00241	ctrm:L2BAMS1_00620
ko:K00241	ctrm:L2BAMS1_00621
ko:K03386	ctrm:L2BAMS1_00631
ko:K02428	ctrm:L2BAMS1_00635
ko:K00813	ctrm:L2BAMS1_00669
ko:K01934	ctrm:L2BAMS1_00681
ko:K00380	ctrm:L2BAMS1_00453
ko:K01885	ctrm:L2BAMS1_00464
ko:K07098	ctrm:L2BAMS1_00480
ko:K00567	ctrm:L2BAMS1_00499
ko:K02033	ctrm:L2BAMS1_00501
ko:K02035	ctrm:L2BAMS1_00502
ko:K14228	ctrm:L2BAMS1_00485
ko:K14233	ctrm:L2BAMS1_00521
ko:K14219	ctrm:L2BAMS1_00632
ko:K03471	ctrm:L2BAMS1_00009
ko:K04084	ctrm:L2BAMS1_00623
ko:K02433	ctrm:L2BAMS1_00004
ko:K14236	ctrm:L2BAMS1_00145
ko:K14227	ctrm:L2BAMS1_00180
ko:K14218	ctrm:L2BAMS1_00668
ko:K14230	ctrm:L2BAMS1_00209
ko:K14230	ctrm:L2BAMS1_00335
ko:K14235	ctrm:L2BAMS1_00327
ko:K14233	ctrm:L2BAMS1_00368
ko:K14231	ctrm:L2BAMS1_00436
ko:K14221	ctrm:L2BAMS1_00225
ko:K14233	ctrm:L2BAMS1_00429
ko:K14228	ctrm:L2BAMS1_00529
ko:K14228	ctrm:L2BAMS1_00565
ko:K14219	ctrm:L2BAMS1_00489
ko:K14219	ctrm:L2BAMS1_00689
ko:K14232	ctrm:L2BAMS1_00662
ko:K14229	ctrm:L2BAMS1_00712
ko:K14224	ctrm:L2BAMS1_00713
ko:K14226	ctrm:L2BAMS1_00780
ko:K14223	ctrm:L2BAMS1_00847
ko:K14218	ctrm:L2BAMS1_00181
ko:K14234	ctrm:L2BAMS1_00709
ko:K14225	ctrm:L2BAMS1_00718
ko:K14228	ctrm:L2BAMS1_00493
ko:K14228	ctrm:L2BAMS1_00921
ko:K14232	ctrm:L2BAMS1_00062
ko:K14237	ctrm:L2BAMS1_00226
ko:K14230	ctrm:L2BAMS1_00210
ko:K14234	ctrm:L2BAMS1_00144
ko:K14234	ctrm:L2BAMS1_00329
ko:K00033	ctrm:L2BAMS1_00066
ko:K11707	ctrm:L2BAMS1_00070
ko:K11710	ctrm:L2BAMS1_00071
ko:K11708	ctrm:L2BAMS1_00072
ko:K11709	ctrm:L2BAMS1_00073
ko:K06889	ctrm:L2BAMS1_00153
ko:K02035	ctrm:L2BAMS1_00174
ko:K02049	ctrm:L2BAMS1_00179
ko:K01409	ctrm:L2BAMS1_00198
ko:K15582	ctrm:L2BAMS1_00201
ko:K02124	ctrm:L2BAMS1_00309
ko:K02123	ctrm:L2BAMS1_00310
ko:K02120	ctrm:L2BAMS1_00311
ko:K02118	ctrm:L2BAMS1_00312
ko:K02117	ctrm:L2BAMS1_00313
ko:K02121	ctrm:L2BAMS1_00315
ko:K00616	ctrm:L2BAMS1_00318
ko:K08483	ctrm:L2BAMS1_00346
ko:K11189	ctrm:L2BAMS1_00347
ko:K00784	ctrm:L2BAMS1_00357
ko:K14225	ctrm:L2BAMS1_00747
ko:K03177	ctrm:L2BAMS1_00095
ko:K06179	ctrm:L2BAMS1_00107
ko:K00939	ctrm:L2BAMS1_00130
ko:K02035	ctrm:L2BAMS1_00141
ko:K10823	ctrm:L2BAMS1_00202
ko:K15583	ctrm:L2BAMS1_00203
ko:K06889	ctrm:L2BAMS1_00207
ko:K00059	ctrm:L2BAMS1_00242
ko:K03856	ctrm:L2BAMS1_00395
ko:K07052	ctrm:L2BAMS1_00259
ko:K02342	ctrm:L2BAMS1_00266
ko:K02806	ctrm:L2BAMS1_00295
ko:K02806	ctrm:L2BAMS1_00296
ko:K00970	ctrm:L2BAMS1_00424
ko:K09815	ctrm:L2BAMS1_00430
ko:K01719	ctrm:L2BAMS1_00451
ko:K14237	ctrm:L2BAMS1_00882
ko:K01840	ctrm:L2BAMS1_00300
ko:K06972	ctrm:L2BAMS1_00877
ko:K07081	ctrm:L2BAMS1_00445
ko:K07125	ctrm:L2BAMS1_00332
ko:K03625	ctrm:L2BAMS1_00885
ko:K01679	ctrm:L2BAMS1_00910
ko:K01802	ctrm:L2BAMS1_00568
ko:K08275	ctrm:L2BAMS1_00082
ko:K08719	ctrm:L2BAMS1_00753
ko:K08274	ctrm:L2BAMS1_00390
ko:K01921	ctrm:L2BAMS1_00810
ko:K01924	ctrm:L2BAMS1_00810
ko:K01829	ctrm:L2BAMS1_00828
ko:K01829	ctrm:L2BAMS1_00832
ko:K03309	ctrm:L2BAMS1_00415
ko:K07033	ctrm:L2BAMS1_00723
ko:K03825	ctrm:L2BAMS1_00477
ko:K03496	ctrm:L2BAMS1_00609
ko:K03497	ctrm:L2BAMS1_00727
ko:K03496	ctrm:L2BAMS1_p7
ko:K03111	ctrm:L2BAMS1_00046
ko:K02626	ctrm:L2BAMS1_00386
ko:K11991	ctrm:L2BAMS1_00898
ko:K04771	ctrm:L2BAMS1_00876
ko:K19411	ctrm:L2BAMS1_00711
ko:K02031	ctrm:L2BAMS1_00729
ko:K22100	ctrm:L2BAMS1_00336
ko:K12132	ctrm:L2BAMS1_00306
ko:K20265	ctrm:L2BAMS1_00219
ko:K20074	ctrm:L2BAMS1_00264
ko:K11749	ctrm:L2BAMS1_00075
ko:K22099	ctrm:L2BAMS1_00641
ko:K00526	ctrm:L2BAMS1_00881
ko:K02314	ctrm:L2BAMS1_00522
ko:K00287	ctrm:L2BAMS1_00642
ko:K03553	ctrm:L2BAMS1_00682
ko:K02316	ctrm:L2BAMS1_00841
ko:K02314	ctrm:L2BAMS1_p3
ko:K02335	ctrm:L2BAMS1_00517
ko:K01520	ctrm:L2BAMS1_00297
ko:K02032	ctrm:L2BAMS1_00728
ko:K00525	ctrm:L2BAMS1_00880
ko:K02050	ctrm:L2BAMS1_00909
ko:K02051	ctrm:L2BAMS1_00909
ko:K01534	ctrm:L2BAMS1_00767
ko:K16239	ctrm:L2BAMS1_00086
