ko:K11897	eck:EC55989_3295
ko:K02911	eck:EC55989_1201
ko:K03621	eck:EC55989_1202
ko:K00648	eck:EC55989_1203
ko:K00645	eck:EC55989_1204
ko:K00059	eck:EC55989_1205
ko:K02078	eck:EC55989_1206
ko:K09458	eck:EC55989_1207
ko:K02619	eck:EC55989_1208
ko:K07082	eck:EC55989_1209
ko:K00943	eck:EC55989_1210
ko:K02341	eck:EC55989_1211
ko:K03424	eck:EC55989_1212
ko:K01681	eck:EC55989_0753
ko:K03608	eck:EC55989_1267
ko:K03609	eck:EC55989_1268
ko:K03610	eck:EC55989_1269
ko:K09902	eck:EC55989_1272
ko:K09160	eck:EC55989_1274
ko:K03503	eck:EC55989_1278
ko:K03502	eck:EC55989_1279
ko:K03611	eck:EC55989_1280
ko:K03314	eck:EC55989_1281
ko:K03603	eck:EC55989_1282
ko:K00285	eck:EC55989_1284
ko:K01775	eck:EC55989_1285
ko:K11105	eck:EC55989_1287
ko:K08308	eck:EC55989_1289
ko:K01194	eck:EC55989_1293
ko:K05879	eck:EC55989_1295
ko:K05878	eck:EC55989_1296
ko:K06942	eck:EC55989_1299
ko:K01056	eck:EC55989_1300
ko:K00948	eck:EC55989_1303
ko:K00919	eck:EC55989_1304
ko:K02494	eck:EC55989_1305
ko:K02492	eck:EC55989_1306
ko:K02835	eck:EC55989_1307
ko:K02493	eck:EC55989_1308
ko:K01627	eck:EC55989_1311
ko:K07300	eck:EC55989_1314
ko:K06197	eck:EC55989_1315
ko:K06039	eck:EC55989_1317
ko:K03839	eck:EC55989_0671
ko:K03645	eck:EC55989_0674
ko:K03756	eck:EC55989_0676
ko:K01581	eck:EC55989_0677
ko:K07667	eck:EC55989_0678
ko:K07646	eck:EC55989_0679
ko:K01548	eck:EC55989_0680
ko:K01547	eck:EC55989_0681
ko:K01546	eck:EC55989_0682
ko:K01669	eck:EC55989_0691
ko:K03305	eck:EC55989_0692
ko:K07160	eck:EC55989_0696
ko:K07120	eck:EC55989_0698
ko:K01647	eck:EC55989_0703
ko:K00241	eck:EC55989_0705
ko:K00242	eck:EC55989_0706
ko:K00239	eck:EC55989_0707
ko:K00240	eck:EC55989_0708
ko:K00164	eck:EC55989_0709
ko:K00658	eck:EC55989_0710
ko:K01903	eck:EC55989_0711
ko:K01902	eck:EC55989_0712
ko:K00425	eck:EC55989_0718
ko:K00426	eck:EC55989_0719
ko:K07107	eck:EC55989_0721
ko:K00384	eck:EC55989_0933
ko:K03466	eck:EC55989_0935
ko:K03634	eck:EC55989_0936
ko:K07478	eck:EC55989_0937
ko:K01875	eck:EC55989_0938
ko:K07306	eck:EC55989_0939
ko:K07308	eck:EC55989_0941
ko:K08219	eck:EC55989_0943
ko:K04069	eck:EC55989_0947
ko:K00656	eck:EC55989_0948
ko:K09136	eck:EC55989_0950
ko:K00831	eck:EC55989_0952
ko:K00800	eck:EC55989_0953
ko:K07387	eck:EC55989_0954
ko:K00945	eck:EC55989_0955
ko:K02945	eck:EC55989_0956
ko:K05788	eck:EC55989_0957
ko:K02238	eck:EC55989_0958
ko:K00912	eck:EC55989_0960
ko:K09927	eck:EC55989_0961
ko:K09791	eck:EC55989_0962
ko:K00979	eck:EC55989_0963
ko:K06219	eck:EC55989_0967
ko:K03633	eck:EC55989_0968
ko:K03804	eck:EC55989_0969
ko:K03632	eck:EC55989_0970
ko:K01893	eck:EC55989_0979
ko:K00763	eck:EC55989_0980
ko:K01256	eck:EC55989_0981
ko:K10805	eck:EC55989_0466
ko:K09914	eck:EC55989_0467
ko:K07443	eck:EC55989_0468
ko:K05839	eck:EC55989_0473
ko:K03577	eck:EC55989_0477
ko:K05802	eck:EC55989_0478
ko:K04067	eck:EC55989_0480
ko:K09790	eck:EC55989_0481
ko:K00759	eck:EC55989_0482
ko:K02343	eck:EC55989_0483
ko:K09747	eck:EC55989_0484
ko:K06187	eck:EC55989_0485
ko:K04079	eck:EC55989_0486
ko:K00939	eck:EC55989_0487
ko:K01772	eck:EC55989_0488
ko:K00892	eck:EC55989_0490
ko:K03455	eck:EC55989_0491
ko:K08223	eck:EC55989_0492
ko:K09973	eck:EC55989_0495
ko:K01425	eck:EC55989_0498
ko:K07340	eck:EC55989_0501
ko:K05838	eck:EC55989_0505
ko:K02003	eck:EC55989_0508
ko:K06048	eck:EC55989_0572
ko:K02364	eck:EC55989_0578
ko:K02013	eck:EC55989_0580
ko:K02015	eck:EC55989_0581
ko:K02015	eck:EC55989_0582
ko:K02016	eck:EC55989_0584
ko:K02361	eck:EC55989_0585
ko:K02363	eck:EC55989_0586
ko:K01252	eck:EC55989_0587
ko:K00216	eck:EC55989_0588
ko:K06200	eck:EC55989_0590
ko:K03805	eck:EC55989_0597
ko:K03387	eck:EC55989_0599
ko:K06140	eck:EC55989_0602
ko:K05964	eck:EC55989_0606
ko:K01643	eck:EC55989_0607
ko:K01644	eck:EC55989_0608
ko:K01646	eck:EC55989_0609
ko:K01910	eck:EC55989_0610
ko:K07700	eck:EC55989_0611
ko:K07702	eck:EC55989_0612
ko:K03326	eck:EC55989_0613
ko:K03704	eck:EC55989_0616
ko:K06199	eck:EC55989_0617
ko:K03644	eck:EC55989_0620
ko:K03658	eck:EC55989_1011
ko:K01734	eck:EC55989_1012
ko:K09909	eck:EC55989_1013
ko:K06929	eck:EC55989_1014
ko:K06969	eck:EC55989_1016
ko:K01512	eck:EC55989_1017
ko:K11179	eck:EC55989_1018
ko:K07286	eck:EC55989_0448
ko:K05527	eck:EC55989_0449
ko:K03545	eck:EC55989_0450
ko:K03544	eck:EC55989_0452
ko:K01338	eck:EC55989_0453
ko:K03530	eck:EC55989_0454
ko:K03770	eck:EC55989_0455
ko:K06920	eck:EC55989_0458
ko:K05800	eck:EC55989_0461
ko:K04752	eck:EC55989_0464
ko:K03320	eck:EC55989_0465
ko:K07258	eck:EC55989_0884
ko:K11534	eck:EC55989_0885
ko:K08160	eck:EC55989_0887
ko:K07085	eck:EC55989_0892
ko:K03674	eck:EC55989_0894
ko:K10678	eck:EC55989_0896
ko:K05844	eck:EC55989_0897
ko:K11073	eck:EC55989_0899
ko:K11076	eck:EC55989_0900
ko:K11075	eck:EC55989_0901
ko:K11074	eck:EC55989_0902
ko:K03212	eck:EC55989_0904
ko:K09996	eck:EC55989_0905
ko:K09998	eck:EC55989_0906
ko:K09999	eck:EC55989_0907
ko:K09997	eck:EC55989_0908
ko:K10000	eck:EC55989_0909
ko:K11066	eck:EC55989_0912
ko:K01620	eck:EC55989_0915
ko:K00156	eck:EC55989_0916
ko:K06188	eck:EC55989_0920
ko:K09824	eck:EC55989_0922
ko:K03704	eck:EC55989_0925
ko:K06891	eck:EC55989_0926
ko:K03694	eck:EC55989_0927
ko:K02518	eck:EC55989_0929
ko:K00684	eck:EC55989_0930
ko:K06178	eck:EC55989_1425
ko:K03168	eck:EC55989_1432
ko:K01681	eck:EC55989_1437
ko:K01591	eck:EC55989_1442
ko:K03113	eck:EC55989_1443
ko:K04062	eck:EC55989_1444
ko:K00208	eck:EC55989_1450
ko:K09472	eck:EC55989_1462
ko:K09471	eck:EC55989_1463
ko:K03974	eck:EC55989_1465
ko:K03969	eck:EC55989_1467
ko:K02025	eck:EC55989_1474
ko:K02026	eck:EC55989_1475
ko:K03809	eck:EC55989_1114
ko:K09019	eck:EC55989_1119
ko:K09023	eck:EC55989_1120
ko:K09021	eck:EC55989_1121
ko:K09018	eck:EC55989_1123
ko:K07243	eck:EC55989_1127
ko:K07224	eck:EC55989_1128
ko:K06217	eck:EC55989_1131
ko:K04477	eck:EC55989_1147
ko:K06214	eck:EC55989_1150
ko:K04338	eck:EC55989_1151
ko:K04337	eck:EC55989_1152
ko:K03670	eck:EC55989_1163
ko:K03737	eck:EC55989_1513
ko:K03778	eck:EC55989_1516
ko:K09978	eck:EC55989_1519
ko:K02618	eck:EC55989_1523
ko:K00700	eck:EC55989_3842
ko:K00133	eck:EC55989_3843
ko:K00851	eck:EC55989_3846
ko:K02914	eck:EC55989_4173
ko:K03536	eck:EC55989_4174
ko:K08998	eck:EC55989_4175
ko:K03217	eck:EC55989_4176
ko:K03650	eck:EC55989_4177
ko:K01667	eck:EC55989_4178
ko:K06901	eck:EC55989_4184
ko:K01223	eck:EC55989_4191
ko:K02755	eck:EC55989_4192
ko:K02756	eck:EC55989_4192
ko:K02757	eck:EC55989_4192
ko:K02039	eck:EC55989_4195
ko:K02036	eck:EC55989_4196
ko:K02038	eck:EC55989_4197
ko:K02037	eck:EC55989_4198
ko:K02040	eck:EC55989_4199
ko:K07345	eck:EC55989_4203
ko:K00820	eck:EC55989_4204
ko:K04042	eck:EC55989_4205
ko:K02114	eck:EC55989_4206
ko:K02112	eck:EC55989_4207
ko:K02115	eck:EC55989_4208
ko:K02111	eck:EC55989_4209
ko:K02344	eck:EC55989_5033
ko:K03789	eck:EC55989_5034
ko:K08723	eck:EC55989_5035
ko:K02837	eck:EC55989_5036
ko:K03424	eck:EC55989_5040
ko:K01619	eck:EC55989_5043
ko:K01839	eck:EC55989_5045
ko:K03784	eck:EC55989_5046
ko:K03800	eck:EC55989_5048
ko:K04485	eck:EC55989_5051
ko:K08309	eck:EC55989_5054
ko:K03720	eck:EC55989_5055
ko:K05804	eck:EC55989_5058
ko:K05805	eck:EC55989_5059
ko:K07663	eck:EC55989_5060
ko:K07641	eck:EC55989_5061
ko:K06143	eck:EC55989_5062
ko:K07773	eck:EC55989_5063
ko:K02533	eck:EC55989_5065
ko:K07217	eck:EC55989_1689
ko:K00343	eck:EC55989_2520
ko:K00342	eck:EC55989_2521
ko:K00341	eck:EC55989_2522
ko:K00340	eck:EC55989_2523
ko:K00339	eck:EC55989_2524
ko:K00338	eck:EC55989_2525
ko:K00548	eck:EC55989_4504
ko:K05995	eck:EC55989_4506
ko:K06182	eck:EC55989_4507
ko:K00928	eck:EC55989_4512
ko:K01810	eck:EC55989_4513
ko:K10110	eck:EC55989_4523
ko:K10108	eck:EC55989_4525
ko:K10111	eck:EC55989_4526
ko:K05775	eck:EC55989_4528
ko:K03181	eck:EC55989_4531
ko:K03179	eck:EC55989_4532
ko:K00631	eck:EC55989_4533
ko:K00901	eck:EC55989_4534
ko:K08169	eck:EC55989_2005
ko:K03799	eck:EC55989_2006
ko:K03797	eck:EC55989_2007
ko:K03607	eck:EC55989_2008
ko:K03808	eck:EC55989_2010
ko:K11392	eck:EC55989_2012
ko:K07313	eck:EC55989_2015
ko:K07156	eck:EC55989_2019
ko:K02345	eck:EC55989_2020
ko:K10857	eck:EC55989_2022
ko:K01354	eck:EC55989_2023
ko:K09918	eck:EC55989_2026
ko:K08289	eck:EC55989_2027
ko:K01625	eck:EC55989_2028
ko:K01881	eck:EC55989_0192
ko:K06080	eck:EC55989_0194
ko:K02073	eck:EC55989_0195
ko:K02072	eck:EC55989_0196
ko:K02071	eck:EC55989_0197
ko:K03273	eck:EC55989_0198
ko:K06222	eck:EC55989_0205
ko:K08307	eck:EC55989_0210
ko:K03469	eck:EC55989_0213
ko:K02342	eck:EC55989_0214
ko:K01923	eck:EC55989_2759
ko:K07287	eck:EC55989_2760
ko:K01714	eck:EC55989_2761
ko:K03567	eck:EC55989_2762
ko:K03564	eck:EC55989_2763
ko:K07461	eck:EC55989_3575
ko:K03824	eck:EC55989_3576
ko:K08303	eck:EC55989_3578
ko:K03835	eck:EC55989_3581
ko:K05592	eck:EC55989_3582
ko:K05803	eck:EC55989_3583
ko:K00962	eck:EC55989_3584
ko:K02956	eck:EC55989_3585
ko:K03177	eck:EC55989_3586
ko:K02834	eck:EC55989_3587
ko:K02519	eck:EC55989_3588
ko:K02600	eck:EC55989_3589
ko:K09748	eck:EC55989_3590
ko:K01940	eck:EC55989_3591
ko:K03075	eck:EC55989_3593
ko:K03431	eck:EC55989_3594
ko:K00796	eck:EC55989_3595
ko:K03798	eck:EC55989_3596
ko:K02427	eck:EC55989_3597
ko:K01690	eck:EC55989_2029
ko:K00036	eck:EC55989_2030
ko:K00873	eck:EC55989_2033
ko:K02560	eck:EC55989_2034
ko:K09815	eck:EC55989_2036
ko:K09817	eck:EC55989_2037
ko:K09816	eck:EC55989_2038
ko:K03551	eck:EC55989_2039
ko:K03550	eck:EC55989_2040
ko:K01159	eck:EC55989_2042
ko:K08310	eck:EC55989_2044
ko:K01876	eck:EC55989_2045
ko:K07136	eck:EC55989_2048
ko:K05708	eck:EC55989_2824
ko:K05709	eck:EC55989_2825
ko:K05710	eck:EC55989_2826
ko:K00600	eck:EC55989_2837
ko:K05916	eck:EC55989_2838
ko:K07715	eck:EC55989_2840
ko:K07711	eck:EC55989_2842
ko:K01952	eck:EC55989_2844
ko:K00997	eck:EC55989_2851
ko:K03474	eck:EC55989_2852
ko:K03584	eck:EC55989_2853
ko:K03595	eck:EC55989_2854
ko:K03685	eck:EC55989_2855
ko:K03100	eck:EC55989_2857
ko:K03596	eck:EC55989_2858
ko:K03803	eck:EC55989_2859
ko:K03598	eck:EC55989_2860
ko:K03597	eck:EC55989_2861
ko:K03088	eck:EC55989_2862
ko:K00278	eck:EC55989_2863
ko:K05590	eck:EC55989_2865
ko:K11249	eck:EC55989_2867
ko:K06866	eck:EC55989_2868
ko:K03648	eck:EC55989_2869
ko:K03214	eck:EC55989_2870
ko:K03672	eck:EC55989_2872
ko:K09969	eck:EC55989_3683
ko:K09970	eck:EC55989_3684
ko:K09971	eck:EC55989_3685
ko:K09972	eck:EC55989_3686
ko:K00014	eck:EC55989_3698
ko:K07566	eck:EC55989_3699
ko:K07479	eck:EC55989_3700
ko:K03747	eck:EC55989_3701
ko:K04096	eck:EC55989_3702
ko:K01462	eck:EC55989_3703
ko:K00604	eck:EC55989_3704
ko:K03500	eck:EC55989_3705
ko:K03499	eck:EC55989_3706
ko:K03282	eck:EC55989_3707
ko:K09890	eck:EC55989_3708
ko:K02879	eck:EC55989_3711
ko:K03040	eck:EC55989_3712
ko:K02986	eck:EC55989_3713
ko:K02948	eck:EC55989_3714
ko:K02952	eck:EC55989_3715
ko:K03076	eck:EC55989_3716
ko:K02876	eck:EC55989_3717
ko:K02907	eck:EC55989_3718
ko:K02988	eck:EC55989_3719
ko:K02881	eck:EC55989_3720
ko:K02933	eck:EC55989_3721
ko:K02994	eck:EC55989_3722
ko:K02954	eck:EC55989_3723
ko:K02931	eck:EC55989_3724
ko:K02895	eck:EC55989_3725
ko:K02874	eck:EC55989_3726
ko:K02961	eck:EC55989_3727
ko:K02904	eck:EC55989_3728
ko:K02878	eck:EC55989_3729
ko:K02982	eck:EC55989_3730
ko:K02890	eck:EC55989_3731
ko:K02965	eck:EC55989_3732
ko:K01356	eck:EC55989_4536
ko:K03327	eck:EC55989_4537
ko:K09823	eck:EC55989_4539
ko:K05539	eck:EC55989_4542
ko:K02314	eck:EC55989_4545
ko:K01775	eck:EC55989_4546
ko:K03788	eck:EC55989_4549
ko:K03701	eck:EC55989_4552
ko:K03111	eck:EC55989_4553
ko:K06901	eck:EC55989_4559
ko:K01895	eck:EC55989_4564
ko:K03385	eck:EC55989_4565
ko:K04013	eck:EC55989_4566
ko:K11102	eck:EC55989_4572
ko:K01808	eck:EC55989_4580
ko:K06167	eck:EC55989_4583
ko:K05774	eck:EC55989_4585
ko:K06162	eck:EC55989_4586
ko:K05780	eck:EC55989_4587
ko:K05781	eck:EC55989_4588
ko:K06163	eck:EC55989_4589
ko:K06201	eck:EC55989_2053
ko:K09907	eck:EC55989_2054
ko:K01887	eck:EC55989_2055
ko:K03516	eck:EC55989_2057
ko:K02400	eck:EC55989_2058
ko:K02401	eck:EC55989_2059
ko:K03414	eck:EC55989_2060
ko:K03413	eck:EC55989_2061
ko:K03412	eck:EC55989_2062
ko:K03408	eck:EC55989_2066
ko:K03407	eck:EC55989_2067
ko:K02557	eck:EC55989_2068
ko:K02556	eck:EC55989_2069
ko:K02402	eck:EC55989_2070
ko:K02403	eck:EC55989_2071
ko:K00697	eck:EC55989_2073
ko:K10538	eck:EC55989_2075
ko:K10539	eck:EC55989_2076
ko:K10537	eck:EC55989_2077
ko:K00873	eck:EC55989_1843
ko:K06078	eck:EC55989_1844
ko:K02426	eck:EC55989_1846
ko:K09015	eck:EC55989_1848
ko:K09013	eck:EC55989_1849
ko:K09014	eck:EC55989_1850
ko:K05997	eck:EC55989_1851
ko:K03785	eck:EC55989_1860
ko:K00313	eck:EC55989_1867
ko:K01007	eck:EC55989_1870
ko:K09773	eck:EC55989_1871
ko:K01626	eck:EC55989_1872
ko:K06074	eck:EC55989_1877
ko:K00432	eck:EC55989_1878
ko:K07574	eck:EC55989_3598
ko:K03624	eck:EC55989_3599
ko:K07259	eck:EC55989_3600
ko:K03979	eck:EC55989_3601
ko:K02899	eck:EC55989_3603
ko:K02888	eck:EC55989_3604
ko:K02523	eck:EC55989_3605
ko:K00790	eck:EC55989_3607
ko:K07122	eck:EC55989_3609
ko:K07323	eck:EC55989_3610
ko:K02067	eck:EC55989_3611
ko:K02066	eck:EC55989_3612
ko:K02065	eck:EC55989_3613
ko:K07301	eck:EC55989_3614
ko:K06041	eck:EC55989_3615
ko:K03270	eck:EC55989_3616
ko:K09774	eck:EC55989_3618
ko:K06861	eck:EC55989_3619
ko:K03092	eck:EC55989_3620
ko:K05808	eck:EC55989_3621
ko:K02806	eck:EC55989_3622
ko:K06958	eck:EC55989_3623
ko:K00005	eck:EC55989_4428
ko:K08483	eck:EC55989_4430
ko:K11189	eck:EC55989_4430
ko:K11201	eck:EC55989_4430
ko:K11203	eck:EC55989_4431
ko:K11202	eck:EC55989_4432
ko:K00656	eck:EC55989_4433
ko:K04069	eck:EC55989_4434
ko:K11202	eck:EC55989_4435
ko:K01595	eck:EC55989_4438
ko:K01438	eck:EC55989_4439
ko:K00145	eck:EC55989_4440
ko:K00930	eck:EC55989_4441
ko:K01755	eck:EC55989_4442
ko:K04761	eck:EC55989_4446
ko:K00322	eck:EC55989_4447
ko:K01776	eck:EC55989_4452
ko:K00075	eck:EC55989_4458
ko:K00867	eck:EC55989_4460
ko:K02358	eck:EC55989_4464
ko:K03073	eck:EC55989_4465
ko:K02601	eck:EC55989_4466
ko:K02867	eck:EC55989_4467
ko:K02863	eck:EC55989_4468
ko:K02864	eck:EC55989_4469
ko:K02935	eck:EC55989_4470
ko:K03043	eck:EC55989_4471
ko:K03046	eck:EC55989_4472
ko:K03150	eck:EC55989_4474
ko:K03149	eck:EC55989_4475
ko:K03154	eck:EC55989_4476
ko:K00788	eck:EC55989_4478
ko:K03147	eck:EC55989_4479
ko:K08369	eck:EC55989_1944
ko:K09916	eck:EC55989_1946
ko:K07305	eck:EC55989_1947
ko:K00134	eck:EC55989_1948
ko:K07180	eck:EC55989_1952
ko:K09786	eck:EC55989_1953
ko:K03449	eck:EC55989_1961
ko:K09712	eck:EC55989_1963
ko:K11250	eck:EC55989_1971
ko:K03451	eck:EC55989_1974
ko:K03684	eck:EC55989_1977
ko:K07285	eck:EC55989_1979
ko:K09917	eck:EC55989_1984
ko:K01665	eck:EC55989_1985
ko:K01752	eck:EC55989_1987
ko:K02793	eck:EC55989_1990
ko:K02794	eck:EC55989_1990
ko:K02795	eck:EC55989_1991
ko:K02796	eck:EC55989_1992
ko:K00563	eck:EC55989_1996
ko:K03704	eck:EC55989_1997
ko:K03548	eck:EC55989_2778
ko:K10763	eck:EC55989_2781
ko:K00761	eck:EC55989_2783
ko:K01933	eck:EC55989_2784
ko:K11175	eck:EC55989_2785
ko:K00937	eck:EC55989_2786
ko:K01951	eck:EC55989_2792
ko:K00088	eck:EC55989_2793
ko:K03601	eck:EC55989_2794
ko:K03977	eck:EC55989_2796
ko:K01892	eck:EC55989_2799
ko:K06941	eck:EC55989_2802
ko:K00940	eck:EC55989_2803
ko:K05367	eck:EC55989_2804
ko:K06894	eck:EC55989_2805
ko:K07751	eck:EC55989_2808
ko:K04044	eck:EC55989_2811
ko:K04082	eck:EC55989_2812
ko:K04488	eck:EC55989_2814
ko:K05820	eck:EC55989_2822
ko:K03814	eck:EC55989_3626
ko:K06073	eck:EC55989_1879
ko:K04764	eck:EC55989_1880
ko:K01890	eck:EC55989_1881
ko:K01889	eck:EC55989_1882
ko:K02887	eck:EC55989_1883
ko:K02916	eck:EC55989_1884
ko:K01868	eck:EC55989_1886
ko:K07283	eck:EC55989_1889
ko:K08483	eck:EC55989_2679
ko:K11189	eck:EC55989_2679
ko:K11201	eck:EC55989_2679
ko:K11203	eck:EC55989_2682
ko:K11202	eck:EC55989_2683
ko:K00845	eck:EC55989_2684
ko:K03322	eck:EC55989_2687
ko:K01885	eck:EC55989_2693
ko:K11537	eck:EC55989_2695
ko:K03815	eck:EC55989_2696
ko:K09954	eck:EC55989_2700
ko:K01972	eck:EC55989_2701
ko:K03528	eck:EC55989_2702
ko:K06203	eck:EC55989_2703
ko:K01738	eck:EC55989_2704
ko:K02784	eck:EC55989_2705
ko:K08483	eck:EC55989_2706
ko:K02777	eck:EC55989_2707
ko:K00868	eck:EC55989_2708
ko:K02045	eck:EC55989_2711
ko:K02047	eck:EC55989_2712
ko:K02046	eck:EC55989_2713
ko:K02048	eck:EC55989_2714
ko:K07106	eck:EC55989_2717
