ko:K00477	rse:F504_3648
ko:K09771	rse:F504_4771
ko:K03657	rse:F504_4772
ko:K00847	rse:F504_4777
ko:K02024	rse:F504_4781
ko:K01193	rse:F504_4782
ko:K03484	rse:F504_4784
ko:K02655	rse:F504_4785
ko:K02673	rse:F504_4787
ko:K02672	rse:F504_4788
ko:K02671	rse:F504_4789
ko:K08084	rse:F504_4790
ko:K01611	rse:F504_4791
ko:K08989	rse:F504_4795
ko:K01999	rse:F504_4796
ko:K01997	rse:F504_4797
ko:K01998	rse:F504_4798
ko:K01995	rse:F504_4799
ko:K01996	rse:F504_4800
ko:K00797	rse:F504_4801
ko:K02405	rse:F504_4856
ko:K04562	rse:F504_4857
ko:K02404	rse:F504_4858
ko:K02400	rse:F504_4859
ko:K02401	rse:F504_4860
ko:K08191	rse:F504_4862
ko:K03786	rse:F504_4863
ko:K00014	rse:F504_4864
ko:K00457	rse:F504_4866
ko:K03414	rse:F504_4867
ko:K03413	rse:F504_4868
ko:K03412	rse:F504_4869
ko:K03411	rse:F504_4870
ko:K03408	rse:F504_4873
ko:K03407	rse:F504_4874
ko:K03413	rse:F504_4875
ko:K02557	rse:F504_4876
ko:K02556	rse:F504_4877
ko:K02402	rse:F504_4878
ko:K02403	rse:F504_4879
ko:K00836	rse:F504_4889
ko:K00612	rse:F504_4962
ko:K07347	rse:F504_4968
ko:K07152	rse:F504_4971
ko:K04561	rse:F504_4975
ko:K03710	rse:F504_4976
ko:K14205	rse:F504_4994
ko:K01725	rse:F504_5105
ko:K07267	rse:F504_5106
ko:K10543	rse:F504_5107
ko:K10545	rse:F504_5108
ko:K10544	rse:F504_5109
ko:K02529	rse:F504_5111
ko:K01821	rse:F504_5119
ko:K13486	rse:F504_5121
ko:K02275	rse:F504_5129
ko:K00574	rse:F504_5133
ko:K02078	rse:F504_5135
ko:K02837	rse:F504_5137
ko:K07058	rse:F504_5139
ko:K03092	rse:F504_5147
ko:K07001	rse:F504_327
ko:K00432	rse:F504_328
ko:K03525	rse:F504_332
ko:K03524	rse:F504_333
ko:K02066	rse:F504_334
ko:K02065	rse:F504_335
ko:K01114	rse:F504_340
ko:K03644	rse:F504_343
ko:K03801	rse:F504_344
ko:K09158	rse:F504_347
ko:K07018	rse:F504_349
ko:K11103	rse:F504_351
ko:K10125	rse:F504_352
ko:K10126	rse:F504_353
ko:K07391	rse:F504_359
ko:K04752	rse:F504_363
ko:K03320	rse:F504_364
ko:K01919	rse:F504_365
ko:K01920	rse:F504_366
ko:K02192	rse:F504_371
ko:K03594	rse:F504_372
ko:K03797	rse:F504_374
ko:K03071	rse:F504_377
ko:K00057	rse:F504_378
ko:K03216	rse:F504_379
ko:K00832	rse:F504_975
ko:K03702	rse:F504_976
ko:K02529	rse:F504_979
ko:K10441	rse:F504_981
ko:K13643	rse:F504_983
ko:K04487	rse:F504_984
ko:K04082	rse:F504_988
ko:K04044	rse:F504_989
ko:K04755	rse:F504_990
ko:K04567	rse:F504_995
ko:K02836	rse:F504_997
ko:K00763	rse:F504_998
ko:K00782	rse:F504_999
ko:K09760	rse:F504_1002
ko:K03750	rse:F504_1004
ko:K03752	rse:F504_1005
ko:K03639	rse:F504_1006
ko:K08300	rse:F504_1007
ko:K01091	rse:F504_1010
ko:K04773	rse:F504_1012
ko:K07056	rse:F504_1013
ko:K06287	rse:F504_1014
ko:K07040	rse:F504_1015
ko:K02911	rse:F504_1016
ko:K03621	rse:F504_1017
ko:K00648	rse:F504_1018
ko:K00645	rse:F504_1019
ko:K02078	rse:F504_1021
ko:K09458	rse:F504_1022
ko:K03088	rse:F504_1023
ko:K03597	rse:F504_1024
ko:K08218	rse:F504_165
ko:K01633	rse:F504_168
ko:K01476	rse:F504_169
ko:K01993	rse:F504_174
ko:K00077	rse:F504_184
ko:K14058	rse:F504_185
ko:K04042	rse:F504_187
ko:K00820	rse:F504_188
ko:K12262	rse:F504_213
ko:K13993	rse:F504_215
ko:K01886	rse:F504_811
ko:K08983	rse:F504_815
ko:K01872	rse:F504_818
ko:K07403	rse:F504_825
ko:K01821	rse:F504_829
ko:K01620	rse:F504_830
ko:K14189	rse:F504_853
ko:K03529	rse:F504_1441
ko:K01972	rse:F504_1443
ko:K01462	rse:F504_1444
ko:K06182	rse:F504_1446
ko:K00990	rse:F504_1448
ko:K01265	rse:F504_1449
ko:K02967	rse:F504_1450
ko:K02357	rse:F504_1451
ko:K09903	rse:F504_1452
ko:K02838	rse:F504_1453
ko:K00806	rse:F504_1454
ko:K00981	rse:F504_1455
ko:K00099	rse:F504_1456
ko:K11749	rse:F504_1457
ko:K07277	rse:F504_1459
ko:K06142	rse:F504_1460
ko:K02536	rse:F504_1461
ko:K02372	rse:F504_1462
ko:K00677	rse:F504_1463
ko:K00748	rse:F504_1464
ko:K03470	rse:F504_1465
ko:K03437	rse:F504_1466
ko:K09773	rse:F504_1467
ko:K03664	rse:F504_1471
ko:K09801	rse:F504_1473
ko:K01951	rse:F504_1478
ko:K00449	rse:F504_1484
ko:K00448	rse:F504_1485
ko:K01975	rse:F504_1486
ko:K07396	rse:F504_1487
ko:K02029	rse:F504_2057
ko:K02029	rse:F504_2058
ko:K01714	rse:F504_2064
ko:K08368	rse:F504_2065
ko:K07127	rse:F504_2069
ko:K13485	rse:F504_2074
ko:K00029	rse:F504_2076
ko:K01256	rse:F504_2079
ko:K03841	rse:F504_2080
ko:K00007	rse:F504_2083
ko:K10229	rse:F504_2097
ko:K10228	rse:F504_2098
ko:K10227	rse:F504_2100
ko:K16371	rse:F504_2101
ko:K00847	rse:F504_2102
ko:K02115	rse:F504_3366
ko:K02111	rse:F504_3367
ko:K02113	rse:F504_3368
ko:K02109	rse:F504_3369
ko:K02110	rse:F504_3370
ko:K02108	rse:F504_3371
ko:K03501	rse:F504_3375
ko:K03495	rse:F504_3376
ko:K01999	rse:F504_3377
ko:K09954	rse:F504_3381
ko:K07090	rse:F504_3384
ko:K01998	rse:F504_3388
ko:K01997	rse:F504_3389
ko:K01999	rse:F504_3390
ko:K01996	rse:F504_3391
ko:K01995	rse:F504_3392
ko:K07275	rse:F504_3399
ko:K00500	rse:F504_3403
ko:K03530	rse:F504_3407
ko:K00077	rse:F504_3410
ko:K03610	rse:F504_3414
ko:K03609	rse:F504_3415
ko:K03608	rse:F504_3416
ko:K07115	rse:F504_3418
ko:K07733	rse:F504_3524
ko:K06915	rse:F504_2323
ko:K01584	rse:F504_2325
ko:K01494	rse:F504_2326
ko:K02379	rse:F504_2327
ko:K00123	rse:F504_2333
ko:K01874	rse:F504_2342
ko:K09800	rse:F504_2344
ko:K05896	rse:F504_2347
ko:K01918	rse:F504_2348
ko:K02232	rse:F504_2350
ko:K02231	rse:F504_2351
ko:K02227	rse:F504_2352
ko:K02225	rse:F504_2353
ko:K02016	rse:F504_2354
ko:K02233	rse:F504_2356
ko:K00768	rse:F504_2357
ko:K02013	rse:F504_2359
ko:K02015	rse:F504_2360
ko:K16092	rse:F504_2361
ko:K09888	rse:F504_2364
ko:K13292	rse:F504_2367
ko:K01687	rse:F504_2370
ko:K06204	rse:F504_53
ko:K06969	rse:F504_58
ko:K03733	rse:F504_59
ko:K09921	rse:F504_60
ko:K02434	rse:F504_61
ko:K02435	rse:F504_65
ko:K03569	rse:F504_67
ko:K03571	rse:F504_68
ko:K05515	rse:F504_69
ko:K05837	rse:F504_70
ko:K04096	rse:F504_76
ko:K01462	rse:F504_79
ko:K00604	rse:F504_81
ko:K03799	rse:F504_83
ko:K03500	rse:F504_84
ko:K10001	rse:F504_93
ko:K08309	rse:F504_97
ko:K00297	rse:F504_100
ko:K08972	rse:F504_101
ko:K01251	rse:F504_102
ko:K15778	rse:F504_707
ko:K02841	rse:F504_708
ko:K02527	rse:F504_709
ko:K12340	rse:F504_711
ko:K00573	rse:F504_713
ko:K06940	rse:F504_716
ko:K06153	rse:F504_718
ko:K03182	rse:F504_725
ko:K03625	rse:F504_730
ko:K00794	rse:F504_731
ko:K14652	rse:F504_732
ko:K00793	rse:F504_733
ko:K11752	rse:F504_734
ko:K02672	rse:F504_739
ko:K08084	rse:F504_740
ko:K02655	rse:F504_741
ko:K02673	rse:F504_743
ko:K02672	rse:F504_744
ko:K02671	rse:F504_745
ko:K07738	rse:F504_746
ko:K00600	rse:F504_747
ko:K16066	rse:F504_748
ko:K07107	rse:F504_749
ko:K03562	rse:F504_750
ko:K03641	rse:F504_753
ko:K02990	rse:F504_1338
ko:K02686	rse:F504_1339
ko:K02963	rse:F504_1340
ko:K02939	rse:F504_1341
ko:K07220	rse:F504_1343
ko:K03306	rse:F504_1344
ko:K07175	rse:F504_1347
ko:K03564	rse:F504_1349
ko:K00604	rse:F504_1352
ko:K10012	rse:F504_1353
ko:K14260	rse:F504_1358
ko:K00003	rse:F504_1359
ko:K01733	rse:F504_1360
ko:K03750	rse:F504_1362
ko:K03636	rse:F504_1363
ko:K06199	rse:F504_1365
ko:K07518	rse:F504_1366
ko:K03695	rse:F504_1367
ko:K10125	rse:F504_1371
ko:K10126	rse:F504_1372
ko:K00029	rse:F504_1374
ko:K07085	rse:F504_1375
ko:K02048	rse:F504_1378
ko:K00299	rse:F504_1379
ko:K15553	rse:F504_1380
ko:K15554	rse:F504_1382
ko:K07002	rse:F504_1386
ko:K02046	rse:F504_1387
ko:K01681	rse:F504_1953
ko:K09861	rse:F504_1960
ko:K14287	rse:F504_1962
ko:K00074	rse:F504_1964
ko:K06895	rse:F504_1977
ko:K03189	rse:F504_1982
ko:K03188	rse:F504_1983
ko:K03187	rse:F504_1984
ko:K01428	rse:F504_1985
ko:K01429	rse:F504_1986
ko:K03192	rse:F504_1987
ko:K01430	rse:F504_1988
ko:K03190	rse:F504_1989
ko:K11963	rse:F504_1990
ko:K11962	rse:F504_1991
ko:K11961	rse:F504_1992
ko:K11960	rse:F504_1993
ko:K11959	rse:F504_1994
ko:K00343	rse:F504_2003
ko:K00342	rse:F504_2004
ko:K00341	rse:F504_2005
ko:K00340	rse:F504_2006
ko:K03106	rse:F504_2738
ko:K00760	rse:F504_2739
ko:K00472	rse:F504_2741
ko:K01881	rse:F504_2743
ko:K08311	rse:F504_2744
ko:K00931	rse:F504_2746
ko:K03979	rse:F504_2747
ko:K02899	rse:F504_2748
ko:K02888	rse:F504_2749
ko:K02523	rse:F504_2750
ko:K02652	rse:F504_2753
ko:K02654	rse:F504_2755
ko:K00859	rse:F504_2756
ko:K09862	rse:F504_2758
ko:K06923	rse:F504_2760
ko:K00620	rse:F504_2761
ko:K03070	rse:F504_2762
ko:K02535	rse:F504_2765
ko:K03531	rse:F504_2767
ko:K03590	rse:F504_2768
ko:K03589	rse:F504_2769
ko:K01921	rse:F504_2770
ko:K01924	rse:F504_2771
ko:K02563	rse:F504_2772
ko:K03588	rse:F504_2773
ko:K01925	rse:F504_2774
ko:K01000	rse:F504_2775
ko:K01929	rse:F504_2776
ko:K01928	rse:F504_2777
ko:K03587	rse:F504_2778
ko:K03586	rse:F504_2779
ko:K03438	rse:F504_2780
ko:K03925	rse:F504_2781
ko:K06134	rse:F504_2782
ko:K03435	rse:F504_2789
ko:K02769	rse:F504_2792
ko:K02770	rse:F504_2792
ko:K02034	rse:F504_2796
ko:K15866	rse:F504_2801
ko:K01912	rse:F504_2803
ko:K08304	rse:F504_2804
ko:K06195	rse:F504_2806
ko:K01783	rse:F504_2807
ko:K01091	rse:F504_2808
ko:K01657	rse:F504_2809
ko:K00766	rse:F504_2812
ko:K01609	rse:F504_2813
ko:K03648	rse:F504_2815
ko:K03981	rse:F504_2821
ko:K02423	rse:F504_2827
ko:K06942	rse:F504_2829
ko:K02492	rse:F504_2831
ko:K02835	rse:F504_2832
ko:K02493	rse:F504_2834
ko:K07390	rse:F504_2835
ko:K03186	rse:F504_2836
ko:K03670	rse:F504_2840
ko:K03669	rse:F504_2841
ko:K02300	rse:F504_2846
ko:K02299	rse:F504_2847
ko:K02298	rse:F504_2848
ko:K02297	rse:F504_2849
ko:K03088	rse:F504_2851
ko:K03600	rse:F504_2889
ko:K03599	rse:F504_2890
ko:K00413	rse:F504_2891
ko:K00412	rse:F504_2892
ko:K00411	rse:F504_2893
ko:K03282	rse:F504_2894
ko:K02012	rse:F504_2898
ko:K07774	rse:F504_2899
ko:K07649	rse:F504_2900
ko:K02012	rse:F504_2902
ko:K02011	rse:F504_2903
ko:K03118	rse:F504_2905
ko:K03117	rse:F504_2906
ko:K03116	rse:F504_2907
ko:K02500	rse:F504_2911
ko:K01814	rse:F504_2912
ko:K02501	rse:F504_2913
ko:K01693	rse:F504_2915
ko:K00817	rse:F504_2916
ko:K00013	rse:F504_2917
ko:K00765	rse:F504_2918
ko:K00790	rse:F504_2919
ko:K07122	rse:F504_2923
ko:K07323	rse:F504_2924
ko:K04754	rse:F504_2926
ko:K02066	rse:F504_2928
ko:K02065	rse:F504_2929
ko:K00266	rse:F504_2931
ko:K07275	rse:F504_2935
ko:K01129	rse:F504_2936
ko:K01735	rse:F504_2937
ko:K02926	rse:F504_2988
ko:K02906	rse:F504_2989
ko:K02946	rse:F504_2990
ko:K02358	rse:F504_2991
ko:K02355	rse:F504_2992
ko:K02992	rse:F504_2993
ko:K02950	rse:F504_2994
ko:K03654	rse:F504_2995
ko:K06894	rse:F504_3000
ko:K09934	rse:F504_3001
ko:K03046	rse:F504_3003
ko:K03043	rse:F504_3004
ko:K02935	rse:F504_3006
ko:K02864	rse:F504_3007
ko:K02863	rse:F504_3008
ko:K02867	rse:F504_3009
ko:K02601	rse:F504_3010
ko:K03073	rse:F504_3011
ko:K02444	rse:F504_3014
ko:K00111	rse:F504_3015
ko:K17324	rse:F504_3016
ko:K17325	rse:F504_3017
ko:K17322	rse:F504_3018
ko:K17323	rse:F504_3019
ko:K17321	rse:F504_3021
ko:K00864	rse:F504_3022
ko:K09941	rse:F504_3024
ko:K03670	rse:F504_3027
ko:K07667	rse:F504_3110
ko:K01295	rse:F504_3114
ko:K11746	rse:F504_3118
ko:K00457	rse:F504_3124
ko:K02452	rse:F504_3126
ko:K02456	rse:F504_3127
ko:K02457	rse:F504_3128
ko:K02458	rse:F504_3129
ko:K02459	rse:F504_3130
ko:K02460	rse:F504_3131
ko:K02461	rse:F504_3133
ko:K02462	rse:F504_3134
ko:K02453	rse:F504_3136
ko:K02455	rse:F504_3138
ko:K00375	rse:F504_3141
ko:K04090	rse:F504_3144
ko:K01512	rse:F504_3421
ko:K03753	rse:F504_595
ko:K07259	rse:F504_596
ko:K09857	rse:F504_613
ko:K06192	rse:F504_614
ko:K03808	rse:F504_615
ko:K03808	rse:F504_616
ko:K01070	rse:F504_618
ko:K03734	rse:F504_625
ko:K03554	rse:F504_632
ko:K05591	rse:F504_641
ko:K04046	rse:F504_646
ko:K00940	rse:F504_1237
ko:K06941	rse:F504_1238
ko:K02656	rse:F504_1239
ko:K15539	rse:F504_1240
ko:K01892	rse:F504_1242
ko:K03977	rse:F504_1245
ko:K03666	rse:F504_1246
ko:K03665	rse:F504_1247
ko:K04088	rse:F504_1248
ko:K04087	rse:F504_1249
ko:K09937	rse:F504_1250
ko:K02502	rse:F504_1251
ko:K01939	rse:F504_1252
ko:K07101	rse:F504_1253
ko:K12573	rse:F504_1254
ko:K03218	rse:F504_1255
ko:K12410	rse:F504_1256
ko:K01807	rse:F504_1258
ko:K03457	rse:F504_1260
ko:K03337	rse:F504_1264
ko:K03335	rse:F504_1265
ko:K03336	rse:F504_1266
ko:K03338	rse:F504_1267
ko:K17215	rse:F504_1270
ko:K06605	rse:F504_1272
ko:K06606	rse:F504_1273
ko:K03335	rse:F504_1275
ko:K14682	rse:F504_1278
ko:K03578	rse:F504_1279
ko:K07152	rse:F504_1859
ko:K01433	rse:F504_1872
ko:K02034	rse:F504_1882
ko:K07303	rse:F504_1888
ko:K07302	rse:F504_1889
ko:K14393	rse:F504_1897
ko:K01895	rse:F504_1898
ko:K02339	rse:F504_2372
ko:K01255	rse:F504_2373
ko:K07091	rse:F504_2374
ko:K11720	rse:F504_2375
ko:K00957	rse:F504_2380
ko:K00390	rse:F504_2381
ko:K00381	rse:F504_2383
ko:K07090	rse:F504_2385
ko:K01546	rse:F504_3432
ko:K01547	rse:F504_3433
ko:K01548	rse:F504_3434
ko:K07646	rse:F504_3435
ko:K02073	rse:F504_3436
ko:K07687	rse:F504_3439
ko:K01153	rse:F504_3443
ko:K03427	rse:F504_3445
ko:K13771	rse:F504_3446
ko:K05916	rse:F504_3447
ko:K07234	rse:F504_3448
ko:K02029	rse:F504_3459
ko:K13634	rse:F504_2386
ko:K01999	rse:F504_2387
ko:K01996	rse:F504_2396
ko:K01995	rse:F504_2397
ko:K01998	rse:F504_2398
ko:K01997	rse:F504_2399
ko:K01999	rse:F504_2400
ko:K03527	rse:F504_2401
ko:K03774	rse:F504_2402
ko:K03630	rse:F504_2403
ko:K02902	rse:F504_2404
ko:K02913	rse:F504_2405
ko:K00278	rse:F504_2407
ko:K00767	rse:F504_2408
ko:K03517	rse:F504_2409
ko:K03500	rse:F504_2414
ko:K11175	rse:F504_2415
ko:K11753	rse:F504_2418
ko:K01870	rse:F504_2419
ko:K03101	rse:F504_2420
ko:K08084	rse:F504_2581
ko:K02655	rse:F504_2582
ko:K02670	rse:F504_2583
ko:K02669	rse:F504_2584
ko:K06997	rse:F504_2585
ko:K00286	rse:F504_2586
ko:K03179	rse:F504_2588
ko:K04047	rse:F504_2589
ko:K04761	rse:F504_2592
ko:K01338	rse:F504_2593
ko:K07347	rse:F504_2608
ko:K06016	rse:F504_2625
ko:K01751	rse:F504_2626
ko:K03655	rse:F504_2632
ko:K07568	rse:F504_2633
ko:K00773	rse:F504_2634
ko:K03688	rse:F504_487
ko:K01876	rse:F504_492
ko:K08310	rse:F504_494
ko:K07516	rse:F504_502
ko:K10806	rse:F504_505
ko:K00261	rse:F504_508
ko:K10001	rse:F504_509
ko:K10003	rse:F504_510
ko:K10002	rse:F504_511
ko:K10004	rse:F504_512
ko:K07246	rse:F504_514
ko:K01465	rse:F504_516
ko:K07397	rse:F504_518
ko:K02871	rse:F504_519
ko:K02996	rse:F504_520
ko:K15724	rse:F504_523
ko:K09001	rse:F504_524
ko:K01866	rse:F504_525
ko:K07560	rse:F504_526
ko:K03551	rse:F504_529
ko:K03550	rse:F504_530
ko:K01126	rse:F504_531
ko:K01159	rse:F504_532
ko:K00602	rse:F504_533
ko:K03557	rse:F504_534
ko:K00285	rse:F504_538
ko:K03185	rse:F504_539
ko:K07462	rse:F504_1140
ko:K09808	rse:F504_1142
ko:K09810	rse:F504_1143
ko:K03424	rse:F504_1144
ko:K07395	rse:F504_1149
ko:K01937	rse:F504_1151
ko:K01627	rse:F504_1152
ko:K01689	rse:F504_1154
ko:K05589	rse:F504_1155
ko:K04083	rse:F504_1157
ko:K00384	rse:F504_1164
ko:K07053	rse:F504_1165
ko:K01867	rse:F504_1169
ko:K01714	rse:F504_1171
ko:K07287	rse:F504_1172
ko:K03775	rse:F504_1176
ko:K03555	rse:F504_1178
ko:K06222	rse:F504_1181
ko:K01951	rse:F504_1185
ko:K01491	rse:F504_1745
ko:K01414	rse:F504_1746
ko:K01142	rse:F504_1758
ko:K02346	rse:F504_1764
ko:K04764	rse:F504_1769
ko:K01890	rse:F504_1770
ko:K01889	rse:F504_1771
ko:K02887	rse:F504_1772
ko:K02916	rse:F504_1773
ko:K02520	rse:F504_1774
ko:K01868	rse:F504_1775
ko:K00019	rse:F504_1779
ko:K01029	rse:F504_1780
ko:K02169	rse:F504_381
ko:K02275	rse:F504_383
ko:K02276	rse:F504_388
