ko:K00130	bsus:Q433_16975
ko:K00285	bsus:Q433_17855
ko:K09014	bsus:Q433_17880
ko:K04488	bsus:Q433_17885
ko:K11717	bsus:Q433_17890
ko:K09015	bsus:Q433_17895
ko:K09013	bsus:Q433_17900
ko:K02073	bsus:Q433_17925
ko:K02072	bsus:Q433_17930
ko:K02071	bsus:Q433_17935
ko:K07476	bsus:Q433_17955
ko:K02437	bsus:Q433_17965
ko:K06942	bsus:Q433_22545
ko:K03501	bsus:Q433_22595
ko:K03495	bsus:Q433_22600
ko:K03650	bsus:Q433_22605
ko:K06346	bsus:Q433_22610
ko:K03217	bsus:Q433_22615
ko:K03536	bsus:Q433_22620
ko:K02914	bsus:Q433_22625
ko:K13993	bsus:Q433_03165
ko:K11737	bsus:Q433_03200
ko:K06994	bsus:Q433_03220
ko:K07552	bsus:Q433_03240
ko:K07090	bsus:Q433_03245
ko:K01077	bsus:Q433_03270
ko:K05937	bsus:Q433_03275
ko:K06885	bsus:Q433_03290
ko:K02760	bsus:Q433_03310
ko:K02759	bsus:Q433_03315
ko:K02761	bsus:Q433_03320
ko:K01223	bsus:Q433_03325
ko:K03492	bsus:Q433_03330
ko:K00847	bsus:Q433_03335
ko:K01809	bsus:Q433_03340
ko:K01218	bsus:Q433_03345
ko:K07217	bsus:Q433_03350
ko:K00946	bsus:Q433_03390
ko:K06925	bsus:Q433_03395
ko:K03789	bsus:Q433_03405
ko:K01409	bsus:Q433_03410
ko:K06158	bsus:Q433_03420
ko:K03637	bsus:Q433_03425
ko:K01926	bsus:Q433_03430
ko:K03116	bsus:Q433_03435
ko:K03118	bsus:Q433_03440
ko:K07052	bsus:Q433_03450
ko:K04078	bsus:Q433_03455
ko:K04077	bsus:Q433_03460
ko:K03088	bsus:Q433_08440
ko:K06207	bsus:Q433_08460
ko:K07175	bsus:Q433_08480
ko:K01425	bsus:Q433_08490
ko:K03588	bsus:Q433_08500
ko:K01958	bsus:Q433_08505
ko:K02259	bsus:Q433_08515
ko:K02275	bsus:Q433_08535
ko:K02274	bsus:Q433_08540
ko:K02276	bsus:Q433_08545
ko:K02862	bsus:Q433_08555
ko:K00954	bsus:Q433_08605
ko:K07001	bsus:Q433_08615
ko:K07177	bsus:Q433_08620
ko:K07040	bsus:Q433_08635
ko:K02911	bsus:Q433_08640
ko:K00077	bsus:Q433_08660
ko:K03925	bsus:Q433_08670
ko:K03438	bsus:Q433_08675
ko:K08724	bsus:Q433_08685
ko:K08384	bsus:Q433_08695
ko:K01928	bsus:Q433_08705
ko:K01000	bsus:Q433_08715
ko:K01925	bsus:Q433_08720
ko:K03588	bsus:Q433_08725
ko:K02563	bsus:Q433_08730
ko:K00075	bsus:Q433_08735
ko:K03589	bsus:Q433_08740
ko:K17763	bsus:Q433_13545
ko:K16509	bsus:Q433_13555
ko:K01308	bsus:Q433_13590
ko:K00845	bsus:Q433_13600
ko:K01934	bsus:Q433_13620
ko:K02913	bsus:Q433_13630
ko:K02036	bsus:Q433_13660
ko:K02036	bsus:Q433_13665
ko:K02038	bsus:Q433_13670
ko:K02037	bsus:Q433_13675
ko:K02040	bsus:Q433_13680
ko:K08222	bsus:Q433_13690
ko:K04564	bsus:Q433_13695
ko:K09793	bsus:Q433_13700
ko:K05967	bsus:Q433_13725
ko:K02076	bsus:Q433_13730
ko:K01151	bsus:Q433_13745
ko:K18692	bsus:Q433_13750
ko:K03527	bsus:Q433_13760
ko:K06967	bsus:Q433_13770
ko:K13300	bsus:Q433_13775
ko:K03086	bsus:Q433_13785
ko:K09768	bsus:Q433_13795
ko:K09773	bsus:Q433_13800
ko:K01879	bsus:Q433_13810
ko:K01878	bsus:Q433_13815
ko:K03584	bsus:Q433_13820
ko:K01489	bsus:Q433_13835
ko:K07042	bsus:Q433_13850
ko:K00927	bsus:Q433_18580
ko:K00134	bsus:Q433_18595
ko:K05311	bsus:Q433_18600
ko:K02103	bsus:Q433_18610
ko:K00782	bsus:Q433_18650
ko:K07693	bsus:Q433_18665
ko:K07778	bsus:Q433_18670
ko:K01992	bsus:Q433_18675
ko:K01990	bsus:Q433_18680
ko:K01224	bsus:Q433_18700
ko:K12308	bsus:Q433_18705
ko:K15772	bsus:Q433_18710
ko:K15771	bsus:Q433_18715
ko:K15770	bsus:Q433_18720
ko:K02529	bsus:Q433_18725
ko:K03303	bsus:Q433_18735
ko:K03092	bsus:Q433_18740
ko:K03929	bsus:Q433_18835
ko:K13727	bsus:Q433_18845
ko:K01779	bsus:Q433_18855
ko:K00692	bsus:Q433_18865
ko:K01560	bsus:Q433_04130
ko:K03294	bsus:Q433_04135
ko:K15738	bsus:Q433_04150
ko:K02013	bsus:Q433_04235
ko:K02015	bsus:Q433_04240
ko:K02015	bsus:Q433_04245
ko:K02016	bsus:Q433_04250
ko:K01728	bsus:Q433_04265
ko:K03319	bsus:Q433_04270
ko:K11637	bsus:Q433_04275
ko:K00491	bsus:Q433_04305
ko:K01512	bsus:Q433_04310
ko:K01265	bsus:Q433_04335
ko:K02803	bsus:Q433_04340
ko:K02804	bsus:Q433_04340
ko:K03310	bsus:Q433_04360
ko:K02818	bsus:Q433_04390
ko:K02819	bsus:Q433_04390
ko:K01226	bsus:Q433_04395
ko:K03486	bsus:Q433_04400
ko:K08693	bsus:Q433_04410
ko:K05520	bsus:Q433_04420
ko:K01104	bsus:Q433_04440
ko:K07058	bsus:Q433_04450
ko:K07300	bsus:Q433_04470
ko:K03407	bsus:Q433_09375
ko:K03408	bsus:Q433_09380
ko:K03410	bsus:Q433_09385
ko:K03411	bsus:Q433_09390
ko:K02405	bsus:Q433_09395
ko:K02967	bsus:Q433_09405
ko:K02357	bsus:Q433_09410
ko:K09903	bsus:Q433_09415
ko:K02838	bsus:Q433_09420
ko:K00806	bsus:Q433_09425
ko:K00981	bsus:Q433_09430
ko:K00099	bsus:Q433_09435
ko:K11749	bsus:Q433_09440
ko:K01881	bsus:Q433_09445
ko:K03763	bsus:Q433_09450
ko:K09748	bsus:Q433_09455
ko:K02600	bsus:Q433_09460
ko:K07742	bsus:Q433_09465
ko:K02519	bsus:Q433_09475
ko:K09764	bsus:Q433_09480
ko:K02834	bsus:Q433_09485
ko:K03177	bsus:Q433_09490
ko:K11753	bsus:Q433_09495
ko:K02956	bsus:Q433_09500
ko:K00962	bsus:Q433_09505
ko:K06410	bsus:Q433_09530
ko:K06411	bsus:Q433_09535
ko:K00133	bsus:Q433_09540
ko:K00928	bsus:Q433_09545
ko:K01714	bsus:Q433_09550
ko:K12574	bsus:Q433_09555
ko:K03466	bsus:Q433_09570
ko:K03710	bsus:Q433_09575
ko:K08221	bsus:Q433_09585
ko:K00059	bsus:Q433_09600
ko:K00995	bsus:Q433_09620
ko:K03742	bsus:Q433_09625
ko:K18682	bsus:Q433_09640
ko:K09769	bsus:Q433_09645
ko:K06416	bsus:Q433_09650
ko:K00060	bsus:Q433_09655
ko:K00639	bsus:Q433_09660
ko:K06168	bsus:Q433_09665
ko:K13979	bsus:Q433_14530
ko:K05520	bsus:Q433_14535
ko:K03332	bsus:Q433_14540
ko:K11737	bsus:Q433_14575
ko:K03088	bsus:Q433_14590
ko:K14338	bsus:Q433_14610
ko:K00123	bsus:Q433_14665
ko:K17217	bsus:Q433_14680
ko:K17216	bsus:Q433_14685
ko:K01243	bsus:Q433_14690
ko:K17462	bsus:Q433_14695
ko:K03624	bsus:Q433_14715
ko:K00876	bsus:Q433_14720
ko:K08303	bsus:Q433_14725
ko:K08303	bsus:Q433_14730
ko:K07082	bsus:Q433_14740
ko:K07447	bsus:Q433_14750
ko:K01872	bsus:Q433_14760
ko:K10041	bsus:Q433_14770
ko:K10039	bsus:Q433_14775
ko:K10040	bsus:Q433_14780
ko:K10040	bsus:Q433_14785
ko:K03581	bsus:Q433_14805
ko:K00566	bsus:Q433_14815
ko:K04487	bsus:Q433_14820
ko:K17472	bsus:Q433_14825
ko:K07478	bsus:Q433_14830
ko:K16698	bsus:Q433_19460
ko:K16705	bsus:Q433_19470
ko:K00012	bsus:Q433_19475
ko:K16697	bsus:Q433_19480
ko:K16694	bsus:Q433_19485
ko:K01448	bsus:Q433_19500
ko:K01791	bsus:Q433_19520
ko:K00963	bsus:Q433_19540
ko:K09693	bsus:Q433_19545
ko:K05946	bsus:Q433_19585
ko:K01809	bsus:Q433_19620
ko:K07282	bsus:Q433_19670
ko:K02529	bsus:Q433_19695
ko:K00852	bsus:Q433_19700
ko:K06726	bsus:Q433_19705
ko:K10441	bsus:Q433_19710
ko:K10440	bsus:Q433_19715
ko:K10439	bsus:Q433_19720
ko:K01575	bsus:Q433_19740
ko:K00059	bsus:Q433_06820
ko:K02768	bsus:Q433_06835
ko:K02769	bsus:Q433_06835
ko:K02770	bsus:Q433_06835
ko:K01809	bsus:Q433_06840
ko:K03976	bsus:Q433_06860
ko:K00123	bsus:Q433_06925
ko:K01719	bsus:Q433_06965
ko:K02069	bsus:Q433_06970
ko:K02068	bsus:Q433_06975
ko:K03885	bsus:Q433_07005
ko:K01812	bsus:Q433_07015
ko:K03292	bsus:Q433_07020
ko:K00073	bsus:Q433_07025
ko:K08322	bsus:Q433_07030
ko:K01686	bsus:Q433_07035
ko:K02529	bsus:Q433_07050
ko:K00041	bsus:Q433_07055
ko:K01685	bsus:Q433_07060
ko:K07090	bsus:Q433_07065
ko:K06359	bsus:Q433_07080
ko:K16167	bsus:Q433_12025
ko:K03816	bsus:Q433_12035
ko:K01299	bsus:Q433_12040
ko:K02526	bsus:Q433_12045
ko:K01625	bsus:Q433_12050
ko:K00874	bsus:Q433_12055
ko:K02525	bsus:Q433_12060
ko:K01815	bsus:Q433_12065
ko:K00065	bsus:Q433_12070
ko:K07444	bsus:Q433_12090
ko:K06327	bsus:Q433_12105
ko:K07502	bsus:Q433_12115
ko:K06877	bsus:Q433_12120
ko:K06430	bsus:Q433_12155
ko:K03700	bsus:Q433_12165
ko:K05366	bsus:Q433_12170
ko:K10773	bsus:Q433_12180
ko:K02086	bsus:Q433_12185
ko:K01893	bsus:Q433_12190
ko:K00812	bsus:Q433_12195
ko:K01579	bsus:Q433_12215
ko:K01918	bsus:Q433_12220
ko:K00606	bsus:Q433_12225
ko:K03524	bsus:Q433_12230
ko:K00974	bsus:Q433_12235
ko:K01734	bsus:Q433_12250
ko:K00215	bsus:Q433_12255
ko:K03888	bsus:Q433_12280
ko:K03887	bsus:Q433_12285
ko:K03886	bsus:Q433_12290
ko:K01813	bsus:Q433_17045
ko:K03534	bsus:Q433_17050
ko:K00848	bsus:Q433_17055
ko:K03406	bsus:Q433_17070
ko:K03406	bsus:Q433_17075
ko:K03406	bsus:Q433_17080
ko:K03406	bsus:Q433_17085
ko:K00686	bsus:Q433_17090
ko:K01187	bsus:Q433_17115
ko:K06973	bsus:Q433_17125
ko:K10716	bsus:Q433_17140
ko:K01810	bsus:Q433_17155
ko:K09779	bsus:Q433_17175
ko:K07570	bsus:Q433_17180
ko:K04042	bsus:Q433_00325
ko:K00948	bsus:Q433_00330
ko:K02897	bsus:Q433_00335
ko:K01056	bsus:Q433_00340
ko:K03723	bsus:Q433_00350
ko:K04769	bsus:Q433_00355
ko:K02499	bsus:Q433_00365
ko:K07571	bsus:Q433_00390
ko:K06382	bsus:Q433_00405
ko:K07114	bsus:Q433_00410
ko:K04075	bsus:Q433_00420
ko:K01897	bsus:Q433_05810
ko:K02016	bsus:Q433_05850
ko:K00626	bsus:Q433_05860
ko:K03523	bsus:Q433_05870
ko:K02250	bsus:Q433_05900
ko:K03307	bsus:Q433_05920
ko:K03100	bsus:Q433_05940
ko:K08174	bsus:Q433_05955
ko:K18654	bsus:Q433_05965
ko:K18653	bsus:Q433_05970
ko:K07120	bsus:Q433_05980
ko:K16899	bsus:Q433_06005
ko:K16898	bsus:Q433_06010
ko:K03547	bsus:Q433_06015
ko:K06304	bsus:Q433_06030
ko:K06303	bsus:Q433_06035
ko:K06302	bsus:Q433_06040
ko:K06301	bsus:Q433_06045
ko:K06300	bsus:Q433_06050
ko:K06299	bsus:Q433_06055
ko:K01953	bsus:Q433_06100
ko:K02291	bsus:Q433_06110
ko:K01569	bsus:Q433_11045
ko:K07727	bsus:Q433_11085
ko:K17836	bsus:Q433_11120
ko:K01181	bsus:Q433_11145
ko:K02503	bsus:Q433_11175
ko:K00274	bsus:Q433_11340
ko:K06878	bsus:Q433_11345
ko:K01866	bsus:Q433_16110
ko:K01895	bsus:Q433_16120
ko:K04766	bsus:Q433_16125
ko:K04767	bsus:Q433_16130
ko:K04768	bsus:Q433_16135
ko:K02557	bsus:Q433_16140
ko:K02556	bsus:Q433_16145
ko:K02529	bsus:Q433_16150
ko:K13853	bsus:Q433_16155
ko:K01924	bsus:Q433_16175
ko:K03466	bsus:Q433_16180
ko:K06878	bsus:Q433_16185
ko:K00027	bsus:Q433_16220
ko:K03439	bsus:Q433_16230
ko:K01975	bsus:Q433_16260
ko:K01738	bsus:Q433_16265
ko:K01439	bsus:Q433_16270
ko:K06901	bsus:Q433_16275
ko:K01992	bsus:Q433_16280
ko:K01990	bsus:Q433_16285
ko:K06183	bsus:Q433_16295
ko:K07007	bsus:Q433_16310
ko:K05020	bsus:Q433_16320
ko:K15532	bsus:Q433_16345
ko:K17319	bsus:Q433_16350
ko:K17318	bsus:Q433_16360
ko:K17320	bsus:Q433_16365
ko:K01012	bsus:Q433_16380
ko:K01935	bsus:Q433_16385
ko:K00652	bsus:Q433_16390
ko:K02829	bsus:Q433_20990
ko:K02828	bsus:Q433_20995
ko:K02827	bsus:Q433_21000
ko:K02826	bsus:Q433_21005
ko:K00965	bsus:Q433_21020
ko:K00849	bsus:Q433_21025
ko:K14393	bsus:Q433_21050
ko:K16301	bsus:Q433_21060
ko:K07224	bsus:Q433_21065
ko:K07243	bsus:Q433_21070
ko:K00788	bsus:Q433_21075
ko:K00878	bsus:Q433_21080
ko:K06518	bsus:Q433_21090
ko:K05820	bsus:Q433_21100
ko:K06969	bsus:Q433_21110
ko:K01759	bsus:Q433_21120
ko:K02761	bsus:Q433_21125
ko:K02809	bsus:Q433_21150
ko:K02810	bsus:Q433_21150
ko:K03488	bsus:Q433_21155
ko:K01866	bsus:Q433_21175
ko:K01607	bsus:Q433_21190
ko:K02548	bsus:Q433_21205
ko:K03367	bsus:Q433_21230
ko:K03739	bsus:Q433_21235
ko:K14188	bsus:Q433_21240
ko:K03740	bsus:Q433_21245
ko:K14189	bsus:Q433_21250
ko:K00826	bsus:Q433_21255
ko:K01222	bsus:Q433_21260
ko:K02759	bsus:Q433_21265
ko:K02761	bsus:Q433_21270
ko:K02760	bsus:Q433_21275
ko:K03491	bsus:Q433_21280
ko:K03652	bsus:Q433_21290
ko:K03781	bsus:Q433_21295
ko:K01992	bsus:Q433_21305
ko:K10907	bsus:Q433_17185
ko:K14155	bsus:Q433_17205
ko:K07697	bsus:Q433_17210
ko:K06347	bsus:Q433_17215
ko:K06348	bsus:Q433_17220
ko:K18770	bsus:Q433_17235
ko:K07335	bsus:Q433_17260
ko:K02056	bsus:Q433_17265
ko:K02057	bsus:Q433_17270
ko:K02057	bsus:Q433_17275
ko:K11616	bsus:Q433_17280
ko:K05565	bsus:Q433_17290
ko:K05566	bsus:Q433_17295
ko:K05567	bsus:Q433_17300
ko:K05568	bsus:Q433_17305
ko:K05569	bsus:Q433_17310
ko:K05570	bsus:Q433_17315
ko:K05571	bsus:Q433_17320
ko:K07691	bsus:Q433_17330
ko:K03336	bsus:Q433_21930
ko:K03338	bsus:Q433_21935
ko:K03337	bsus:Q433_21940
ko:K00140	bsus:Q433_21945
ko:K06608	bsus:Q433_21950
ko:K04079	bsus:Q433_21980
ko:K00128	bsus:Q433_22000
ko:K07148	bsus:Q433_22025
ko:K06518	bsus:Q433_22050
ko:K00865	bsus:Q433_22065
ko:K11476	bsus:Q433_22070
ko:K00851	bsus:Q433_22075
ko:K03299	bsus:Q433_22080
ko:K00033	bsus:Q433_22085
ko:K03386	bsus:Q433_22090
ko:K03387	bsus:Q433_22095
ko:K01223	bsus:Q433_22105
ko:K03489	bsus:Q433_22115
ko:K04041	bsus:Q433_22125
ko:K00783	bsus:Q433_22155
ko:K01476	bsus:Q433_22210
ko:K02205	bsus:Q433_22215
ko:K00819	bsus:Q433_22220
ko:K00760	bsus:Q433_00425
ko:K03798	bsus:Q433_00430
ko:K03525	bsus:Q433_00435
ko:K04083	bsus:Q433_00440
ko:K01738	bsus:Q433_00450
ko:K01665	bsus:Q433_00455
ko:K07217	bsus:Q433_02615
ko:K11692	bsus:Q433_02630
ko:K11103	bsus:Q433_02635
ko:K01990	bsus:Q433_02650
ko:K01664	bsus:Q433_00460
ko:K03100	bsus:Q433_02380
ko:K02372	bsus:Q433_02390
ko:K07160	bsus:Q433_02405
ko:K06351	bsus:Q433_02420
ko:K06350	bsus:Q433_02425
ko:K03719	bsus:Q433_02515
ko:K00158	bsus:Q433_02560
ko:K03322	bsus:Q433_02575
ko:K01921	bsus:Q433_02690
ko:K01929	bsus:Q433_02695
ko:K05592	bsus:Q433_02705
ko:K09167	bsus:Q433_02710
ko:K08981	bsus:Q433_02715
ko:K00997	bsus:Q433_02725
ko:K03817	bsus:Q433_02495
ko:K00943	bsus:Q433_00205
ko:K09770	bsus:Q433_00215
ko:K02341	bsus:Q433_00220
ko:K07461	bsus:Q433_00240
ko:K07056	bsus:Q433_00245
ko:K06284	bsus:Q433_00250
ko:K01874	bsus:Q433_00260
ko:K03424	bsus:Q433_00265
ko:K05985	bsus:Q433_00275
ko:K02528	bsus:Q433_00280
ko:K06436	bsus:Q433_00285
ko:K06423	bsus:Q433_00295
ko:K00919	bsus:Q433_00300
ko:K09685	bsus:Q433_00305
ko:K09022	bsus:Q433_00310
ko:K02313	bsus:Q433_00005
ko:K02338	bsus:Q433_00010
ko:K03629	bsus:Q433_00020
ko:K02470	bsus:Q433_00030
ko:K02469	bsus:Q433_00040
ko:K08965	bsus:Q433_07770
ko:K08966	bsus:Q433_07775
ko:K08964	bsus:Q433_07780
ko:K08967	bsus:Q433_07785
ko:K13532	bsus:Q433_07805
ko:K15973	bsus:Q433_07815
ko:K02557	bsus:Q433_07820
ko:K02556	bsus:Q433_07825
ko:K03697	bsus:Q433_07835
ko:K06920	bsus:Q433_07845
ko:K01737	bsus:Q433_07850
ko:K10026	bsus:Q433_07855
ko:K09457	bsus:Q433_07860
ko:K01449	bsus:Q433_07925
ko:K01534	bsus:Q433_07940
ko:K03480	bsus:Q433_07965
ko:K11189	bsus:Q433_07980
ko:K08483	bsus:Q433_07985
ko:K06315	bsus:Q433_07990
ko:K03716	bsus:Q433_07995
ko:K03406	bsus:Q433_08005
ko:K02491	bsus:Q433_08025
ko:K00841	bsus:Q433_08030
ko:K03415	bsus:Q433_08040
ko:K07098	bsus:Q433_08060
ko:K09776	bsus:Q433_08090
ko:K02346	bsus:Q433_12955
ko:K00867	bsus:Q433_12985
ko:K01753	bsus:Q433_12990
ko:K07124	bsus:Q433_12995
ko:K00286	bsus:Q433_13005
ko:K02913	bsus:Q433_13025
ko:K00784	bsus:Q433_13030
ko:K00036	bsus:Q433_13035
ko:K00033	bsus:Q433_13045
ko:K02346	bsus:Q433_13050
ko:K03217	bsus:Q433_13060
ko:K09166	bsus:Q433_13065
ko:K01966	bsus:Q433_13075
ko:K05606	bsus:Q433_13080
ko:K02028	bsus:Q433_13100
ko:K02029	bsus:Q433_13105
ko:K02030	bsus:Q433_13110
ko:K09699	bsus:Q433_13140
ko:K00167	bsus:Q433_13145
ko:K00166	bsus:Q433_13150
ko:K00382	bsus:Q433_13155
ko:K00929	bsus:Q433_13160
ko:K00263	bsus:Q433_13165
ko:K03417	bsus:Q433_13185
ko:K01720	bsus:Q433_13190
ko:K01647	bsus:Q433_13195
ko:K00074	bsus:Q433_13205
ko:K00626	bsus:Q433_13210
ko:K01126	bsus:Q433_13215
ko:K01448	bsus:Q433_13220
ko:K00537	bsus:Q433_17970
ko:K07516	bsus:Q433_17985
ko:K00318	bsus:Q433_17995
ko:K00059	bsus:Q433_18025
ko:K02013	bsus:Q433_18040
ko:K04047	bsus:Q433_18060
ko:K07650	bsus:Q433_18080
ko:K01679	bsus:Q433_18095
ko:K06290	bsus:Q433_18115
ko:K11618	bsus:Q433_18120
ko:K11617	bsus:Q433_18125
ko:K11622	bsus:Q433_18130
ko:K11621	bsus:Q433_18135
ko:K11619	bsus:Q433_18145
ko:K02013	bsus:Q433_18165
ko:K02015	bsus:Q433_18170
ko:K02016	bsus:Q433_18175
ko:K01569	bsus:Q433_18230
ko:K02004	bsus:Q433_18240
ko:K02003	bsus:Q433_18245
ko:K02005	bsus:Q433_18250
ko:K02013	bsus:Q433_18260
ko:K02015	bsus:Q433_18265
ko:K02015	bsus:Q433_18270
ko:K02016	bsus:Q433_18275
ko:K03758	bsus:Q433_18285
ko:K07258	bsus:Q433_00080
ko:K06215	bsus:Q433_00085
ko:K08681	bsus:Q433_00090
ko:K01875	bsus:Q433_00095
ko:K15519	bsus:Q433_00105
ko:K15518	bsus:Q433_00110
ko:K06306	bsus:Q433_00115
ko:K11991	bsus:Q433_00125
ko:K02343	bsus:Q433_00135
ko:K09747	bsus:Q433_00140
ko:K06187	bsus:Q433_00145
ko:K06317	bsus:Q433_00155
ko:K06412	bsus:Q433_00315
ko:K01775	bsus:Q433_02735
ko:K07723	bsus:Q433_02740
ko:K17763	bsus:Q433_02750
ko:K17762	bsus:Q433_02755
ko:K17752	bsus:Q433_02760
ko:K07315	bsus:Q433_02765
ko:K04749	bsus:Q433_02770
ko:K04757	bsus:Q433_02775
ko:K03090	bsus:Q433_02780
ko:K03284	bsus:Q433_04505
ko:K01247	bsus:Q433_04510
ko:K03215	bsus:Q433_04515
ko:K00627	bsus:Q433_04555
ko:K00382	bsus:Q433_04560
ko:K06425	bsus:Q433_04570
ko:K09771	bsus:Q433_04575
ko:K01232	bsus:Q433_04600
ko:K03481	bsus:Q433_04605
ko:K02749	bsus:Q433_04610
ko:K02750	bsus:Q433_04610
ko:K07104	bsus:Q433_04635
ko:K01992	bsus:Q433_04660
ko:K01992	bsus:Q433_04665
ko:K14205	bsus:Q433_04705
ko:K02016	bsus:Q433_04710
ko:K02015	bsus:Q433_04715
ko:K02015	bsus:Q433_04720
ko:K07071	bsus:Q433_04745
ko:K03565	bsus:Q433_04750
ko:K06428	bsus:Q433_04770
ko:K07038	bsus:Q433_04810
ko:K03575	bsus:Q433_04815
ko:K06328	bsus:Q433_09675
ko:K03555	bsus:Q433_09680
ko:K03572	bsus:Q433_09685
ko:K15328	bsus:Q433_09735
ko:K15329	bsus:Q433_09740
ko:K15337	bsus:Q433_09745
ko:K00646	bsus:Q433_09750
ko:K15311	bsus:Q433_09755
ko:K15312	bsus:Q433_09760
ko:K15313	bsus:Q433_09765
ko:K13611	bsus:Q433_09770
ko:K17734	bsus:Q433_09810
ko:K00791	bsus:Q433_09855
ko:K03666	bsus:Q433_09860
ko:K03647	bsus:Q433_09875
ko:K01448	bsus:Q433_09895
ko:K06413	bsus:Q433_09910
ko:K03665	bsus:Q433_09920
ko:K03713	bsus:Q433_09930
ko:K01915	bsus:Q433_09935
ko:K00008	bsus:Q433_03475
ko:K00847	bsus:Q433_03485
