ko:K08153	banv:DJ46_5310
ko:K01183	banv:DJ46_2560
ko:K07098	banv:DJ46_2562
ko:K03530	banv:DJ46_2564
ko:K17686	banv:DJ46_2565
ko:K07213	banv:DJ46_2566
ko:K07017	banv:DJ46_2569
ko:K02013	banv:DJ46_2570
ko:K02015	banv:DJ46_2571
ko:K02015	banv:DJ46_2572
ko:K02016	banv:DJ46_2573
ko:K01142	banv:DJ46_2575
ko:K13530	banv:DJ46_2576
ko:K13531	banv:DJ46_2577
ko:K01247	banv:DJ46_2578
ko:K01258	banv:DJ46_2579
ko:K01834	banv:DJ46_2582
ko:K06518	banv:DJ46_2589
ko:K01771	banv:DJ46_2594
ko:K01449	banv:DJ46_2596
ko:K07137	banv:DJ46_2597
ko:K01442	banv:DJ46_2601
ko:K04076	banv:DJ46_3377
ko:K03544	banv:DJ46_3378
ko:K03545	banv:DJ46_3379
ko:K07095	banv:DJ46_3387
ko:K02428	banv:DJ46_3388
ko:K00989	banv:DJ46_3389
ko:K06298	banv:DJ46_3390
ko:K01776	banv:DJ46_3391
ko:K01994	banv:DJ46_3397
ko:K02035	banv:DJ46_3402
ko:K02034	banv:DJ46_3403
ko:K02033	banv:DJ46_3404
ko:K06188	banv:DJ46_3414
ko:K01992	banv:DJ46_3416
ko:K01990	banv:DJ46_3417
ko:K02557	banv:DJ46_3419
ko:K02557	banv:DJ46_3420
ko:K02556	banv:DJ46_3421
ko:K07260	banv:DJ46_3422
ko:K07107	banv:DJ46_3423
ko:K00240	banv:DJ46_3424
ko:K00239	banv:DJ46_3425
ko:K00241	banv:DJ46_3426
ko:K03703	banv:DJ46_3428
ko:K03671	banv:DJ46_3429
ko:K01937	banv:DJ46_4232
ko:K03048	banv:DJ46_4233
ko:K00074	banv:DJ46_4237
ko:K00626	banv:DJ46_4238
ko:K06131	banv:DJ46_4240
ko:K03088	banv:DJ46_569
ko:K16264	banv:DJ46_572
ko:K03315	banv:DJ46_580
ko:K01679	banv:DJ46_581
ko:K01126	banv:DJ46_1448
ko:K00657	banv:DJ46_1455
ko:K08177	banv:DJ46_1460
ko:K02338	banv:DJ46_1463
ko:K03574	banv:DJ46_1464
ko:K07214	banv:DJ46_1473
ko:K06153	banv:DJ46_1484
ko:K07734	banv:DJ46_2292
ko:K03453	banv:DJ46_2295
ko:K01387	banv:DJ46_2304
ko:K07507	banv:DJ46_2305
ko:K07104	banv:DJ46_2307
ko:K03704	banv:DJ46_2314
ko:K03839	banv:DJ46_2316
ko:K07034	banv:DJ46_2317
ko:K16216	banv:DJ46_2322
ko:K06976	banv:DJ46_2323
ko:K01755	banv:DJ46_2324
ko:K14392	banv:DJ46_2327
ko:K00128	banv:DJ46_2329
ko:K00059	banv:DJ46_2330
ko:K18115	banv:DJ46_2332
ko:K09775	banv:DJ46_2333
ko:K05786	banv:DJ46_2334
ko:K03593	banv:DJ46_2338
ko:K01992	banv:DJ46_3124
ko:K01992	banv:DJ46_3125
ko:K01992	banv:DJ46_3126
ko:K01992	banv:DJ46_3127
ko:K01990	banv:DJ46_3128
ko:K07979	banv:DJ46_3129
ko:K00283	banv:DJ46_3132
ko:K00282	banv:DJ46_3133
ko:K00605	banv:DJ46_3134
ko:K00891	banv:DJ46_3141
ko:K00472	banv:DJ46_3142
ko:K02249	banv:DJ46_3143
ko:K02248	banv:DJ46_3144
ko:K02247	banv:DJ46_3145
ko:K02246	banv:DJ46_3146
ko:K02245	banv:DJ46_3147
ko:K02244	banv:DJ46_3148
ko:K02243	banv:DJ46_3149
ko:K06956	banv:DJ46_3152
ko:K02563	banv:DJ46_3159
ko:K00548	banv:DJ46_3160
ko:K01739	banv:DJ46_3162
ko:K01760	banv:DJ46_3163
ko:K00845	banv:DJ46_3169
ko:K03317	banv:DJ46_3969
ko:K03310	banv:DJ46_3970
ko:K03310	banv:DJ46_3971
ko:K07118	banv:DJ46_3972
ko:K03885	banv:DJ46_3981
ko:K01866	banv:DJ46_3982
ko:K00075	banv:DJ46_3983
ko:K07117	banv:DJ46_3984
ko:K03406	banv:DJ46_3985
ko:K06199	banv:DJ46_3987
ko:K06199	banv:DJ46_3988
ko:K00657	banv:DJ46_3991
ko:K13256	banv:DJ46_3992
ko:K02013	banv:DJ46_3995
ko:K02015	banv:DJ46_3996
ko:K02015	banv:DJ46_3997
ko:K02016	banv:DJ46_3998
ko:K03664	banv:DJ46_4000
ko:K12573	banv:DJ46_4001
ko:K03928	banv:DJ46_4002
ko:K03075	banv:DJ46_4003
ko:K05795	banv:DJ46_4839
ko:K05795	banv:DJ46_4840
ko:K01537	banv:DJ46_4844
ko:K01104	banv:DJ46_4846
ko:K07058	banv:DJ46_4848
ko:K01534	banv:DJ46_4849
ko:K03100	banv:DJ46_4852
ko:K03100	banv:DJ46_4853
ko:K08978	banv:DJ46_4857
ko:K07300	banv:DJ46_4860
ko:K01676	banv:DJ46_4864
ko:K01247	banv:DJ46_4867
ko:K02283	banv:DJ46_5741
ko:K02279	banv:DJ46_5743
ko:K07729	banv:DJ46_5764
ko:K07693	banv:DJ46_4246
ko:K07778	banv:DJ46_4247
ko:K01992	banv:DJ46_4248
ko:K01990	banv:DJ46_4249
ko:K01265	banv:DJ46_4250
ko:K03088	banv:DJ46_4258
ko:K01887	banv:DJ46_4259
ko:K01480	banv:DJ46_4264
ko:K00797	banv:DJ46_4265
ko:K01126	banv:DJ46_4268
ko:K01821	banv:DJ46_4272
ko:K06885	banv:DJ46_4273
ko:K02016	banv:DJ46_4274
ko:K02013	banv:DJ46_4275
ko:K02015	banv:DJ46_4276
ko:K02015	banv:DJ46_4277
ko:K02015	banv:DJ46_4278
ko:K06314	banv:DJ46_4280
ko:K16869	banv:DJ46_4282
ko:K00625	banv:DJ46_4283
ko:K02529	banv:DJ46_5123
ko:K00852	banv:DJ46_5124
ko:K06726	banv:DJ46_5125
ko:K10441	banv:DJ46_5126
ko:K10440	banv:DJ46_5127
ko:K10439	banv:DJ46_5128
ko:K00616	banv:DJ46_5129
ko:K09607	banv:DJ46_5130
ko:K00004	banv:DJ46_5133
ko:K01114	banv:DJ46_5135
ko:K06153	banv:DJ46_5141
ko:K03406	banv:DJ46_5142
ko:K07284	banv:DJ46_5146
ko:K03305	banv:DJ46_5147
ko:K03311	banv:DJ46_5148
ko:K07729	banv:DJ46_5153
ko:K03499	banv:DJ46_5157
ko:K02829	banv:DJ46_5158
ko:K02828	banv:DJ46_5159
ko:K02827	banv:DJ46_5160
ko:K02826	banv:DJ46_5161
ko:K03307	banv:DJ46_5165
ko:K06310	banv:DJ46_5166
ko:K06311	banv:DJ46_5167
ko:K06312	banv:DJ46_5168
ko:K04759	banv:DJ46_5169
ko:K04758	banv:DJ46_5171
ko:K02040	banv:DJ46_5172
ko:K02037	banv:DJ46_5173
ko:K01652	banv:DJ46_242
ko:K01653	banv:DJ46_243
ko:K00053	banv:DJ46_244
ko:K01649	banv:DJ46_245
ko:K00052	banv:DJ46_246
ko:K01703	banv:DJ46_247
ko:K01704	banv:DJ46_248
ko:K02502	banv:DJ46_249
ko:K00765	banv:DJ46_250
ko:K00013	banv:DJ46_251
ko:K03816	banv:DJ46_410
ko:K16169	banv:DJ46_411
ko:K07148	banv:DJ46_412
ko:K01011	banv:DJ46_418
ko:K08989	banv:DJ46_422
ko:K03469	banv:DJ46_442
ko:K03469	banv:DJ46_445
ko:K03704	banv:DJ46_448
ko:K09190	banv:DJ46_449
ko:K14393	banv:DJ46_454
ko:K12574	banv:DJ46_458
ko:K17218	banv:DJ46_1319
ko:K01069	banv:DJ46_1320
ko:K01990	banv:DJ46_1323
ko:K01992	banv:DJ46_1324
ko:K01961	banv:DJ46_1329
ko:K02160	banv:DJ46_1330
ko:K01640	banv:DJ46_1331
ko:K01895	banv:DJ46_1334
ko:K01243	banv:DJ46_1345
ko:K08602	banv:DJ46_1365
ko:K01928	banv:DJ46_1372
ko:K01928	banv:DJ46_1373
ko:K03837	banv:DJ46_2180
ko:K16509	banv:DJ46_2185
ko:K00574	banv:DJ46_2190
ko:K00064	banv:DJ46_2193
ko:K03093	banv:DJ46_2213
ko:K07052	banv:DJ46_2215
ko:K01992	banv:DJ46_2221
ko:K01990	banv:DJ46_2222
ko:K05601	banv:DJ46_2225
ko:K17837	banv:DJ46_2228
ko:K07273	banv:DJ46_2229
ko:K07084	banv:DJ46_3015
ko:K06889	banv:DJ46_3018
ko:K11752	banv:DJ46_3021
ko:K00793	banv:DJ46_3022
ko:K14652	banv:DJ46_3023
ko:K00794	banv:DJ46_3025
ko:K01012	banv:DJ46_3026
ko:K02169	banv:DJ46_3027
ko:K02170	banv:DJ46_3028
ko:K03657	banv:DJ46_72
ko:K11928	banv:DJ46_79
ko:K01657	banv:DJ46_80
ko:K01658	banv:DJ46_81
ko:K00766	banv:DJ46_82
ko:K01609	banv:DJ46_83
ko:K01817	banv:DJ46_84
ko:K01696	banv:DJ46_85
ko:K01695	banv:DJ46_86
ko:K03303	banv:DJ46_88
ko:K09136	banv:DJ46_97
ko:K00658	banv:DJ46_99
ko:K00164	banv:DJ46_100
ko:K07729	banv:DJ46_101
ko:K13280	banv:DJ46_115
ko:K09607	banv:DJ46_120
ko:K00128	banv:DJ46_121
ko:K11072	banv:DJ46_122
ko:K11071	banv:DJ46_123
ko:K11070	banv:DJ46_124
ko:K11069	banv:DJ46_125
ko:K01929	banv:DJ46_982
ko:K03466	banv:DJ46_987
ko:K00865	banv:DJ46_1006
ko:K03308	banv:DJ46_1012
ko:K01259	banv:DJ46_1013
ko:K09962	banv:DJ46_1014
ko:K01779	banv:DJ46_1020
ko:K01990	banv:DJ46_1026
ko:K01992	banv:DJ46_1027
ko:K01091	banv:DJ46_1029
ko:K01118	banv:DJ46_1037
ko:K00655	banv:DJ46_1038
ko:K11068	banv:DJ46_1039
ko:K06329	banv:DJ46_1874
ko:K09190	banv:DJ46_1876
ko:K00121	banv:DJ46_1885
ko:K07217	banv:DJ46_1887
ko:K01744	banv:DJ46_1888
ko:K01424	banv:DJ46_1889
ko:K03294	banv:DJ46_1893
ko:K03311	banv:DJ46_1894
ko:K00286	banv:DJ46_1895
ko:K00027	banv:DJ46_1897
ko:K06312	banv:DJ46_1899
ko:K06312	banv:DJ46_1900
ko:K06311	banv:DJ46_1901
ko:K06310	banv:DJ46_1902
ko:K07717	banv:DJ46_1904
ko:K07717	banv:DJ46_1905
ko:K01425	banv:DJ46_1906
ko:K11626	banv:DJ46_1908
ko:K06941	banv:DJ46_2703
ko:K03500	banv:DJ46_2704
ko:K00604	banv:DJ46_2705
ko:K01462	banv:DJ46_2706
ko:K04066	banv:DJ46_2707
ko:K13038	banv:DJ46_2708
ko:K03060	banv:DJ46_2709
ko:K00942	banv:DJ46_2710
ko:K09777	banv:DJ46_2711
ko:K01537	banv:DJ46_2713
ko:K07025	banv:DJ46_2720
ko:K00762	banv:DJ46_2721
ko:K01591	banv:DJ46_2722
ko:K17828	banv:DJ46_2723
ko:K02823	banv:DJ46_2724
ko:K01955	banv:DJ46_2725
ko:K01956	banv:DJ46_2726
ko:K01465	banv:DJ46_2727
ko:K00609	banv:DJ46_2728
ko:K02824	banv:DJ46_2729
ko:K02825	banv:DJ46_2730
ko:K06180	banv:DJ46_2731
ko:K03101	banv:DJ46_2732
ko:K01870	banv:DJ46_2734
ko:K04074	banv:DJ46_2735
ko:K02221	banv:DJ46_2737
ko:K09772	banv:DJ46_2738
ko:K06997	banv:DJ46_2739
ko:K05810	banv:DJ46_2740
ko:K03091	banv:DJ46_2742
ko:K03091	banv:DJ46_2743
ko:K06383	banv:DJ46_2744
ko:K03531	banv:DJ46_2745
ko:K03590	banv:DJ46_2746
ko:K03589	banv:DJ46_2747
ko:K00075	banv:DJ46_2748
ko:K02563	banv:DJ46_2749
ko:K03588	banv:DJ46_2750
ko:K01925	banv:DJ46_2751
ko:K07729	banv:DJ46_3535
ko:K00259	banv:DJ46_3537
ko:K00059	banv:DJ46_3538
ko:K01755	banv:DJ46_3543
ko:K01940	banv:DJ46_3544
ko:K00925	banv:DJ46_3552
ko:K11065	banv:DJ46_3554
ko:K00858	banv:DJ46_3557
ko:K04750	banv:DJ46_3559
ko:K01895	banv:DJ46_3560
ko:K03151	banv:DJ46_3562
ko:K04487	banv:DJ46_3563
ko:K06286	banv:DJ46_3564
ko:K01761	banv:DJ46_3570
ko:K02986	banv:DJ46_3571
ko:K01866	banv:DJ46_3574
ko:K03088	banv:DJ46_3576
ko:K01895	banv:DJ46_3578
ko:K04766	banv:DJ46_3579
ko:K04767	banv:DJ46_3580
ko:K04768	banv:DJ46_3581
ko:K03810	banv:DJ46_3586
ko:K02338	banv:DJ46_4390
ko:K03629	banv:DJ46_4392
ko:K02470	banv:DJ46_4393
ko:K02469	banv:DJ46_4394
ko:K00088	banv:DJ46_4400
ko:K07258	banv:DJ46_4401
ko:K06215	banv:DJ46_4402
ko:K08681	banv:DJ46_4403
ko:K01875	banv:DJ46_4404
ko:K15519	banv:DJ46_4407
ko:K15518	banv:DJ46_4408
ko:K11991	banv:DJ46_4410
ko:K02343	banv:DJ46_4411
ko:K09747	banv:DJ46_4412
ko:K06187	banv:DJ46_4413
ko:K06317	banv:DJ46_4415
ko:K00943	banv:DJ46_4422
ko:K02341	banv:DJ46_4423
ko:K07461	banv:DJ46_4427
ko:K07056	banv:DJ46_4428
ko:K01693	banv:DJ46_252
ko:K02501	banv:DJ46_253
ko:K01814	banv:DJ46_254
ko:K02500	banv:DJ46_255
ko:K01496	banv:DJ46_256
ko:K01523	banv:DJ46_257
ko:K04486	banv:DJ46_258
ko:K17103	banv:DJ46_261
ko:K01586	banv:DJ46_264
ko:K00390	banv:DJ46_266
ko:K00958	banv:DJ46_267
ko:K00860	banv:DJ46_268
ko:K00366	banv:DJ46_269
ko:K02303	banv:DJ46_271
ko:K02304	banv:DJ46_273
ko:K03308	banv:DJ46_274
ko:K11102	banv:DJ46_276
ko:K11619	banv:DJ46_279
ko:K11622	banv:DJ46_281
ko:K11617	banv:DJ46_282
ko:K11618	banv:DJ46_283
ko:K03311	banv:DJ46_285
ko:K05916	banv:DJ46_292
ko:K07090	banv:DJ46_295
ko:K08177	banv:DJ46_1156
ko:K00216	banv:DJ46_1157
ko:K02361	banv:DJ46_1158
ko:K02363	banv:DJ46_1159
ko:K01252	banv:DJ46_1160
ko:K04780	banv:DJ46_1161
ko:K06133	banv:DJ46_1164
ko:K03530	banv:DJ46_1166
ko:K03310	banv:DJ46_1170
ko:K06182	banv:DJ46_1174
ko:K01868	banv:DJ46_1175
ko:K02004	banv:DJ46_1178
ko:K02004	banv:DJ46_1179
ko:K02033	banv:DJ46_1183
ko:K02034	banv:DJ46_1184
ko:K07238	banv:DJ46_1185
ko:K06994	banv:DJ46_1197
ko:K03825	banv:DJ46_1202
ko:K18654	banv:DJ46_2022
ko:K18653	banv:DJ46_2023
ko:K18653	banv:DJ46_2024
ko:K03406	banv:DJ46_2033
ko:K00657	banv:DJ46_2037
ko:K01387	banv:DJ46_2039
ko:K04095	banv:DJ46_2041
ko:K01442	banv:DJ46_2044
ko:K03837	banv:DJ46_2046
ko:K01752	banv:DJ46_2047
ko:K01752	banv:DJ46_2048
ko:K00836	banv:DJ46_2049
ko:K04656	banv:DJ46_2050
ko:K04655	banv:DJ46_2051
ko:K16263	banv:DJ46_2054
ko:K00058	banv:DJ46_2057
ko:K00831	banv:DJ46_2058
ko:K03088	banv:DJ46_2061
ko:K01434	banv:DJ46_2066
ko:K07175	banv:DJ46_2859
ko:K06207	banv:DJ46_2864
ko:K01092	banv:DJ46_2866
ko:K00686	banv:DJ46_2871
ko:K00382	banv:DJ46_2878
ko:K00627	banv:DJ46_2879
ko:K00162	banv:DJ46_2880
ko:K00161	banv:DJ46_2881
ko:K01462	banv:DJ46_2883
ko:K12574	banv:DJ46_2886
ko:K03499	banv:DJ46_2887
ko:K00426	banv:DJ46_2888
ko:K05823	banv:DJ46_2889
ko:K05822	banv:DJ46_2890
ko:K09776	banv:DJ46_2894
ko:K07098	banv:DJ46_2901
ko:K00937	banv:DJ46_2903
ko:K01524	banv:DJ46_2904
ko:K02049	banv:DJ46_3694
ko:K02050	banv:DJ46_3695
ko:K07025	banv:DJ46_3698
ko:K07025	banv:DJ46_3699
ko:K07173	banv:DJ46_3705
ko:K08998	banv:DJ46_3707
ko:K01673	banv:DJ46_3706
ko:K00425	banv:DJ46_3708
ko:K00426	banv:DJ46_3709
ko:K03969	banv:DJ46_3718
ko:K04759	banv:DJ46_3722
ko:K04758	banv:DJ46_3723
ko:K16789	banv:DJ46_3724
ko:K07284	banv:DJ46_3727
ko:K00760	banv:DJ46_3731
ko:K00064	banv:DJ46_3736
ko:K02004	banv:DJ46_3741
ko:K02003	banv:DJ46_3742
ko:K13653	banv:DJ46_3743
ko:K11636	banv:DJ46_3747
ko:K00865	banv:DJ46_4562
ko:K01476	banv:DJ46_4563
ko:K18672	banv:DJ46_4564
ko:K03431	banv:DJ46_4566
ko:K00820	banv:DJ46_4567
ko:K11476	banv:DJ46_4569
ko:K00851	banv:DJ46_4570
ko:K00851	banv:DJ46_4571
ko:K03299	banv:DJ46_4572
ko:K00033	banv:DJ46_4573
ko:K16937	banv:DJ46_4576
ko:K00059	banv:DJ46_4582
ko:K02072	banv:DJ46_4583
ko:K02071	banv:DJ46_4584
ko:K02073	banv:DJ46_4585
ko:K07552	banv:DJ46_4591
ko:K02033	banv:DJ46_4594
ko:K02034	banv:DJ46_4595
ko:K15580	banv:DJ46_4598
ko:K15580	banv:DJ46_4603
ko:K02035	banv:DJ46_4604
ko:K00286	banv:DJ46_4606
ko:K03811	banv:DJ46_4607
ko:K05340	banv:DJ46_4608
ko:K02018	banv:DJ46_4609
ko:K02020	banv:DJ46_4610
ko:K02020	banv:DJ46_4611
ko:K07219	banv:DJ46_4612
ko:K00575	banv:DJ46_5453
ko:K03407	banv:DJ46_5454
ko:K03698	banv:DJ46_5469
ko:K16137	banv:DJ46_5470
ko:K15975	banv:DJ46_5472
ko:K15975	banv:DJ46_5473
ko:K02443	banv:DJ46_5480
ko:K02440	banv:DJ46_5481
ko:K00864	banv:DJ46_5482
ko:K00111	banv:DJ46_5483
ko:K03088	banv:DJ46_5486
ko:K03657	banv:DJ46_5494
ko:K07533	banv:DJ46_5495
ko:K09682	banv:DJ46_5498
ko:K02503	banv:DJ46_5500
ko:K01990	banv:DJ46_5501
ko:K01992	banv:DJ46_5502
ko:K00652	banv:DJ46_3029
ko:K01935	banv:DJ46_3030
ko:K00833	banv:DJ46_3031
ko:K03315	banv:DJ46_3033
ko:K01119	banv:DJ46_3034
ko:K00611	banv:DJ46_3039
ko:K00930	banv:DJ46_3041
ko:K00145	banv:DJ46_3044
ko:K07124	banv:DJ46_3046
ko:K00286	banv:DJ46_3049
ko:K01752	banv:DJ46_3050
ko:K01752	banv:DJ46_3051
ko:K00784	banv:DJ46_3052
ko:K02346	banv:DJ46_3054
ko:K03790	banv:DJ46_3057
ko:K02028	banv:DJ46_3061
ko:K02029	banv:DJ46_3062
ko:K02030	banv:DJ46_3063
ko:K07052	banv:DJ46_3861
ko:K00355	banv:DJ46_3869
ko:K02446	banv:DJ46_3873
ko:K01834	banv:DJ46_3881
ko:K03644	banv:DJ46_3883
ko:K09014	banv:DJ46_3890
ko:K04488	banv:DJ46_3891
ko:K11717	banv:DJ46_3892
ko:K09015	banv:DJ46_3893
ko:K09013	banv:DJ46_3894
ko:K02073	banv:DJ46_3895
ko:K02073	banv:DJ46_3896
ko:K02072	banv:DJ46_3897
ko:K02071	banv:DJ46_3898
ko:K07476	banv:DJ46_3901
ko:K02437	banv:DJ46_3902
ko:K00537	banv:DJ46_3903
ko:K07035	banv:DJ46_3911
ko:K00016	banv:DJ46_3912
ko:K11175	banv:DJ46_4734
ko:K00602	banv:DJ46_4735
ko:K01945	banv:DJ46_4736
ko:K07094	banv:DJ46_4740
ko:K03657	banv:DJ46_4741
ko:K01972	banv:DJ46_4742
ko:K07090	banv:DJ46_4744
ko:K00294	banv:DJ46_4745
ko:K02071	banv:DJ46_4748
ko:K02072	banv:DJ46_4749
ko:K02073	banv:DJ46_4750
ko:K02435	banv:DJ46_4757
ko:K02433	banv:DJ46_4758
ko:K02434	banv:DJ46_4759
ko:K01091	banv:DJ46_4761
ko:K07250	banv:DJ46_4762
ko:K00135	banv:DJ46_4764
ko:K03317	banv:DJ46_4769
ko:K03215	banv:DJ46_4770
ko:K07043	banv:DJ46_4774
ko:K03315	banv:DJ46_4777
ko:K14665	banv:DJ46_4779
ko:K03387	banv:DJ46_4781
ko:K03386	banv:DJ46_4782
ko:K00899	banv:DJ46_4783
ko:K08963	banv:DJ46_4784
ko:K03611	banv:DJ46_5626
ko:K03666	banv:DJ46_5628
ko:K09815	banv:DJ46_5637
ko:K06284	banv:DJ46_4429
ko:K01874	banv:DJ46_4430
ko:K03424	banv:DJ46_4431
ko:K05985	banv:DJ46_4432
ko:K02528	banv:DJ46_4433
ko:K06436	banv:DJ46_4434
ko:K06423	banv:DJ46_4436
ko:K00919	banv:DJ46_4437
ko:K09685	banv:DJ46_4438
ko:K09022	banv:DJ46_4439
ko:K06412	banv:DJ46_4440
ko:K04042	banv:DJ46_4441
ko:K00948	banv:DJ46_4442
ko:K01056	banv:DJ46_4443
ko:K03723	banv:DJ46_4445
ko:K04769	banv:DJ46_4446
ko:K03294	banv:DJ46_5294
ko:K07106	banv:DJ46_5298
ko:K02809	banv:DJ46_5299
ko:K02810	banv:DJ46_5299
ko:K09963	banv:DJ46_5300
ko:K00619	banv:DJ46_5306
ko:K03923	banv:DJ46_5313
ko:K08152	banv:DJ46_5315
ko:K05520	banv:DJ46_5317
ko:K03781	banv:DJ46_5318
ko:K01992	banv:DJ46_5319
ko:K03758	banv:DJ46_5320
ko:K01776	banv:DJ46_5321
ko:K00131	banv:DJ46_5323
ko:K02424	banv:DJ46_5327
ko:K10009	banv:DJ46_5328
ko:K10010	banv:DJ46_5329
ko:K01652	banv:DJ46_5338
ko:K01575	banv:DJ46_5339
ko:K03652	banv:DJ46_5341
ko:K03790	banv:DJ46_1481
ko:K03790	banv:DJ46_1621
ko:K03790	banv:DJ46_1833
ko:K03790	banv:DJ46_1210
ko:K03789	banv:DJ46_407
ko:K11034	banv:DJ46_698
ko:K05346	banv:DJ46_700
ko:K01619	banv:DJ46_701
ko:K11535	banv:DJ46_702
ko:K00756	banv:DJ46_703
ko:K01489	banv:DJ46_704
ko:K01262	banv:DJ46_709
ko:K01118	banv:DJ46_717
ko:K03311	banv:DJ46_718
ko:K03311	banv:DJ46_719
ko:K14166	banv:DJ46_721
ko:K01426	banv:DJ46_730
ko:K00016	banv:DJ46_732
ko:K00274	banv:DJ46_733
ko:K00666	banv:DJ46_737
ko:K00648	banv:DJ46_739
ko:K01999	banv:DJ46_740
ko:K01995	banv:DJ46_741
ko:K01996	banv:DJ46_742
ko:K01997	banv:DJ46_743
ko:K01998	banv:DJ46_744
ko:K01607	banv:DJ46_748
ko:K00425	banv:DJ46_751
ko:K00426	banv:DJ46_752
ko:K03654	banv:DJ46_1593
ko:K15986	banv:DJ46_1601
ko:K03310	banv:DJ46_1605
ko:K00128	banv:DJ46_1606
ko:K01714	banv:DJ46_1607
