ko:K07046	bpk:BBK_3654
ko:K10126	bpk:BBK_1036
ko:K11103	bpk:BBK_1038
ko:K14393	bpk:BBK_1039
ko:K02108	bpk:BBK_1462
ko:K02110	bpk:BBK_1463
ko:K02109	bpk:BBK_1464
ko:K02113	bpk:BBK_1465
ko:K02111	bpk:BBK_1466
ko:K02115	bpk:BBK_1467
ko:K02112	bpk:BBK_1468
ko:K02114	bpk:BBK_1469
ko:K00666	bpk:BBK_1470
ko:K01713	bpk:BBK_1471
ko:K01599	bpk:BBK_1472
ko:K04066	bpk:BBK_1473
ko:K13821	bpk:BBK_1475
ko:K01999	bpk:BBK_1476
ko:K12508	bpk:BBK_1477
ko:K09456	bpk:BBK_1478
ko:K10013	bpk:BBK_1481
ko:K01534	bpk:BBK_1486
ko:K06923	bpk:BBK_1905
ko:K03574	bpk:BBK_1906
ko:K09862	bpk:BBK_1907
ko:K00859	bpk:BBK_1909
ko:K02654	bpk:BBK_1910
ko:K02653	bpk:BBK_1911
ko:K02652	bpk:BBK_1912
ko:K02523	bpk:BBK_1915
ko:K02888	bpk:BBK_1916
ko:K02053	bpk:BBK_226
ko:K02052	bpk:BBK_227
ko:K03147	bpk:BBK_237
ko:K04062	bpk:BBK_238
ko:K15034	bpk:BBK_243
ko:K03581	bpk:BBK_244
ko:K03582	bpk:BBK_245
ko:K03583	bpk:BBK_246
ko:K02012	bpk:BBK_250
ko:K02011	bpk:BBK_251
ko:K02010	bpk:BBK_252
ko:K05800	bpk:BBK_253
ko:K07118	bpk:BBK_255
ko:K07093	bpk:BBK_258
ko:K07799	bpk:BBK_260
ko:K07788	bpk:BBK_261
ko:K07789	bpk:BBK_262
ko:K02274	bpk:BBK_268
ko:K02275	bpk:BBK_269
ko:K15553	bpk:BBK_275
ko:K00058	bpk:BBK_277
ko:K02339	bpk:BBK_551
ko:K01255	bpk:BBK_552
ko:K07091	bpk:BBK_553
ko:K11720	bpk:BBK_554
ko:K02303	bpk:BBK_556
ko:K00957	bpk:BBK_558
ko:K00390	bpk:BBK_559
ko:K00381	bpk:BBK_561
ko:K13634	bpk:BBK_562
ko:K01628	bpk:BBK_565
ko:K01714	bpk:BBK_566
ko:K07156	bpk:BBK_571
ko:K06183	bpk:BBK_572
ko:K01996	bpk:BBK_579
ko:K01995	bpk:BBK_580
ko:K01998	bpk:BBK_581
ko:K01997	bpk:BBK_582
ko:K03527	bpk:BBK_584
ko:K03774	bpk:BBK_585
ko:K03630	bpk:BBK_586
ko:K02902	bpk:BBK_587
ko:K02913	bpk:BBK_588
ko:K00278	bpk:BBK_589
ko:K00767	bpk:BBK_590
ko:K03517	bpk:BBK_591
ko:K03500	bpk:BBK_594
ko:K11175	bpk:BBK_595
ko:K11753	bpk:BBK_596
ko:K01870	bpk:BBK_597
ko:K03101	bpk:BBK_598
ko:K13038	bpk:BBK_599
ko:K03701	bpk:BBK_914
ko:K01433	bpk:BBK_916
ko:K00759	bpk:BBK_919
ko:K03455	bpk:BBK_920
ko:K06041	bpk:BBK_921
ko:K03270	bpk:BBK_922
ko:K11719	bpk:BBK_923
ko:K09774	bpk:BBK_924
ko:K06861	bpk:BBK_925
ko:K03092	bpk:BBK_927
ko:K05808	bpk:BBK_928
ko:K02806	bpk:BBK_929
ko:K06023	bpk:BBK_930
ko:K06958	bpk:BBK_931
ko:K07157	bpk:BBK_932
ko:K03575	bpk:BBK_933
ko:K10563	bpk:BBK_934
ko:K03781	bpk:BBK_1359
ko:K03088	bpk:BBK_1360
ko:K01782	bpk:BBK_1369
ko:K00626	bpk:BBK_1370
ko:K02616	bpk:BBK_1373
ko:K10947	bpk:BBK_1376
ko:K11892	bpk:BBK_1796
ko:K11893	bpk:BBK_1797
ko:K11906	bpk:BBK_1798
ko:K11901	bpk:BBK_1800
ko:K11900	bpk:BBK_1801
ko:K11903	bpk:BBK_1802
ko:K11897	bpk:BBK_1803
ko:K11896	bpk:BBK_1804
ko:K02899	bpk:BBK_1917
ko:K03979	bpk:BBK_1918
ko:K00931	bpk:BBK_1919
ko:K08311	bpk:BBK_1921
ko:K01881	bpk:BBK_1922
ko:K00760	bpk:BBK_1924
ko:K03106	bpk:BBK_1925
ko:K06950	bpk:BBK_1927
ko:K03806	bpk:BBK_1928
ko:K02028	bpk:BBK_2335
ko:K10009	bpk:BBK_2336
ko:K02424	bpk:BBK_2337
ko:K00845	bpk:BBK_2338
ko:K01057	bpk:BBK_2339
ko:K00036	bpk:BBK_2340
ko:K17315	bpk:BBK_2341
ko:K17316	bpk:BBK_2342
ko:K17317	bpk:BBK_2343
ko:K10112	bpk:BBK_2344
ko:K00384	bpk:BBK_2347
ko:K03466	bpk:BBK_2348
ko:K03634	bpk:BBK_2349
ko:K07478	bpk:BBK_2350
ko:K01875	bpk:BBK_2352
ko:K03610	bpk:BBK_2356
ko:K03609	bpk:BBK_2357
ko:K03608	bpk:BBK_2358
ko:K02069	bpk:BBK_3044
ko:K02068	bpk:BBK_3045
ko:K07290	bpk:BBK_3046
ko:K00459	bpk:BBK_3050
ko:K07275	bpk:BBK_3051
ko:K06938	bpk:BBK_3052
ko:K03322	bpk:BBK_3053
ko:K11073	bpk:BBK_3054
ko:K11076	bpk:BBK_3055
ko:K11075	bpk:BBK_3056
ko:K11074	bpk:BBK_3057
ko:K07090	bpk:BBK_3058
ko:K17218	bpk:BBK_3059
ko:K07727	bpk:BBK_3063
ko:K03281	bpk:BBK_3070
ko:K00874	bpk:BBK_3075
ko:K00090	bpk:BBK_3077
ko:K02525	bpk:BBK_3078
ko:K03284	bpk:BBK_3094
ko:K09780	bpk:BBK_3095
ko:K16088	bpk:BBK_3899
ko:K06147	bpk:BBK_3900
ko:K12243	bpk:BBK_3905
ko:K04782	bpk:BBK_3908
ko:K01996	bpk:BBK_3912
ko:K01995	bpk:BBK_3913
ko:K01998	bpk:BBK_3914
ko:K01997	bpk:BBK_3915
ko:K01999	bpk:BBK_3916
ko:K00285	bpk:BBK_3917
ko:K07107	bpk:BBK_3922
ko:K17735	bpk:BBK_3923
ko:K02002	bpk:BBK_3925
ko:K17736	bpk:BBK_3926
ko:K05994	bpk:BBK_3928
ko:K08720	bpk:BBK_3929
ko:K02002	bpk:BBK_3930
ko:K01433	bpk:BBK_3933
ko:K02002	bpk:BBK_3935
ko:K00479	bpk:BBK_3937
ko:K03521	bpk:BBK_3938
ko:K03522	bpk:BBK_3939
ko:K01273	bpk:BBK_3943
ko:K00600	bpk:BBK_3944
ko:K02529	bpk:BBK_3947
ko:K00692	bpk:BBK_3948
ko:K00820	bpk:BBK_4758
ko:K03717	bpk:BBK_4768
ko:K09981	bpk:BBK_4770
ko:K00854	bpk:BBK_4777
ko:K13774	bpk:BBK_4781
ko:K13778	bpk:BBK_4782
ko:K11731	bpk:BBK_4783
ko:K13779	bpk:BBK_4784
ko:K13777	bpk:BBK_4785
ko:K00574	bpk:BBK_4790
ko:K15125	bpk:BBK_4805
ko:K00978	bpk:BBK_5624
ko:K01709	bpk:BBK_5625
ko:K12452	bpk:BBK_5626
ko:K06911	bpk:BBK_5637
ko:K07262	bpk:BBK_5658
ko:K02347	bpk:BBK_5659
ko:K07156	bpk:BBK_5665
ko:K07245	bpk:BBK_5666
ko:K03406	bpk:BBK_5667
ko:K09471	bpk:BBK_5668
ko:K11074	bpk:BBK_5671
ko:K11075	bpk:BBK_5672
ko:K11076	bpk:BBK_5673
ko:K11073	bpk:BBK_5674
ko:K02397	bpk:BBK_1186
ko:K02396	bpk:BBK_1187
ko:K02395	bpk:BBK_1189
ko:K02394	bpk:BBK_1190
ko:K02393	bpk:BBK_1191
ko:K02392	bpk:BBK_1192
ko:K02391	bpk:BBK_1193
ko:K02390	bpk:BBK_1194
ko:K02389	bpk:BBK_1195
ko:K02388	bpk:BBK_1196
ko:K02387	bpk:BBK_1197
ko:K02386	bpk:BBK_1198
ko:K02398	bpk:BBK_1199
ko:K02399	bpk:BBK_1200
ko:K00974	bpk:BBK_1202
ko:K08309	bpk:BBK_1205
ko:K07160	bpk:BBK_1210
ko:K09973	bpk:BBK_1212
ko:K12372	bpk:BBK_1213
ko:K02613	bpk:BBK_1627
ko:K02612	bpk:BBK_1628
ko:K02611	bpk:BBK_1629
ko:K02610	bpk:BBK_1630
ko:K02609	bpk:BBK_1631
ko:K02358	bpk:BBK_1645
ko:K03073	bpk:BBK_1647
ko:K02601	bpk:BBK_1648
ko:K02867	bpk:BBK_1649
ko:K02863	bpk:BBK_1650
ko:K02864	bpk:BBK_1651
ko:K02935	bpk:BBK_1652
ko:K03043	bpk:BBK_1653
ko:K03046	bpk:BBK_1654
ko:K03654	bpk:BBK_1655
ko:K06166	bpk:BBK_2072
ko:K06165	bpk:BBK_2073
ko:K06164	bpk:BBK_2074
ko:K06163	bpk:BBK_2075
ko:K05781	bpk:BBK_2076
ko:K05780	bpk:BBK_2077
ko:K06162	bpk:BBK_2078
ko:K02041	bpk:BBK_2079
ko:K02044	bpk:BBK_2080
ko:K02042	bpk:BBK_2081
ko:K00286	bpk:BBK_2082
ko:K06997	bpk:BBK_2083
ko:K11473	bpk:BBK_2084
ko:K11472	bpk:BBK_2085
ko:K00798	bpk:BBK_2088
ko:K05916	bpk:BBK_2089
ko:K01626	bpk:BBK_2091
ko:K03568	bpk:BBK_2092
ko:K00982	bpk:BBK_2095
ko:K03631	bpk:BBK_2096
ko:K06287	bpk:BBK_2507
ko:K07040	bpk:BBK_2508
ko:K02911	bpk:BBK_2509
ko:K03621	bpk:BBK_2510
ko:K00648	bpk:BBK_2511
ko:K00645	bpk:BBK_2512
ko:K00059	bpk:BBK_2513
ko:K02078	bpk:BBK_2514
ko:K09458	bpk:BBK_2515
ko:K03088	bpk:BBK_2517
ko:K03597	bpk:BBK_2518
ko:K03598	bpk:BBK_2519
ko:K03596	bpk:BBK_2522
ko:K03100	bpk:BBK_2523
ko:K03685	bpk:BBK_2524
ko:K03584	bpk:BBK_2526
ko:K03474	bpk:BBK_2527
ko:K00997	bpk:BBK_2528
ko:K01207	bpk:BBK_2529
ko:K02356	bpk:BBK_2531
ko:K03703	bpk:BBK_2533
ko:K06911	bpk:BBK_2540
ko:K02348	bpk:BBK_2541
ko:K07152	bpk:BBK_2544
ko:K01087	bpk:BBK_2545
ko:K00697	bpk:BBK_2546
ko:K06147	bpk:BBK_2547
ko:K08983	bpk:BBK_2550
ko:K01999	bpk:BBK_2552
ko:K01114	bpk:BBK_2553
ko:K00868	bpk:BBK_2554
ko:K00720	bpk:BBK_2557
ko:K02424	bpk:BBK_3362
ko:K10009	bpk:BBK_3363
ko:K01807	bpk:BBK_3366
ko:K11066	bpk:BBK_3367
ko:K03218	bpk:BBK_3368
ko:K12573	bpk:BBK_3369
ko:K03406	bpk:BBK_3372
ko:K01114	bpk:BBK_3373
ko:K08178	bpk:BBK_3378
ko:K01897	bpk:BBK_3380
ko:K03666	bpk:BBK_3383
ko:K12511	bpk:BBK_3389
ko:K12510	bpk:BBK_3390
ko:K02283	bpk:BBK_3392
ko:K02282	bpk:BBK_3393
ko:K02280	bpk:BBK_3394
ko:K02279	bpk:BBK_3395
ko:K02278	bpk:BBK_3397
ko:K02651	bpk:BBK_3398
ko:K06916	bpk:BBK_3404
ko:K00382	bpk:BBK_3405
ko:K00658	bpk:BBK_3406
ko:K00164	bpk:BBK_3407
ko:K06207	bpk:BBK_3408
ko:K03543	bpk:BBK_3411
ko:K03446	bpk:BBK_3412
ko:K03177	bpk:BBK_3413
ko:K15552	bpk:BBK_4224
ko:K10831	bpk:BBK_4225
ko:K15551	bpk:BBK_4226
ko:K03119	bpk:BBK_4227
ko:K00694	bpk:BBK_4230
ko:K11895	bpk:BBK_1805
ko:K11907	bpk:BBK_1806
ko:K11902	bpk:BBK_1807
ko:K03286	bpk:BBK_1808
ko:K11890	bpk:BBK_1809
ko:K11891	bpk:BBK_1810
ko:K12340	bpk:BBK_1813
ko:K13409	bpk:BBK_1814
ko:K13408	bpk:BBK_1815
ko:K01256	bpk:BBK_1818
ko:K07275	bpk:BBK_2229
ko:K04078	bpk:BBK_2235
ko:K04077	bpk:BBK_2236
ko:K00941	bpk:BBK_2237
ko:K07735	bpk:BBK_2240
ko:K07447	bpk:BBK_2241
ko:K02825	bpk:BBK_2242
ko:K00609	bpk:BBK_2243
ko:K01465	bpk:BBK_2244
ko:K00655	bpk:BBK_2245
ko:K01525	bpk:BBK_2246
ko:K00973	bpk:BBK_2248
ko:K01790	bpk:BBK_2249
ko:K00067	bpk:BBK_2251
ko:K12990	bpk:BBK_2250
ko:K03664	bpk:BBK_2827
ko:K09801	bpk:BBK_2829
ko:K00088	bpk:BBK_2834
ko:K01951	bpk:BBK_2836
ko:K09983	bpk:BBK_2842
ko:K11991	bpk:BBK_2844
ko:K01297	bpk:BBK_2845
ko:K03457	bpk:BBK_2847
ko:K16841	bpk:BBK_2848
ko:K13485	bpk:BBK_2850
ko:K01477	bpk:BBK_2851
ko:K01483	bpk:BBK_2852
ko:K07127	bpk:BBK_2854
ko:K09165	bpk:BBK_2857
ko:K03282	bpk:BBK_2860
ko:K03969	bpk:BBK_2862
ko:K05366	bpk:BBK_2863
ko:K01754	bpk:BBK_2865
ko:K01438	bpk:BBK_2866
ko:K03723	bpk:BBK_2867
ko:K00991	bpk:BBK_2868
ko:K01770	bpk:BBK_2869
ko:K04756	bpk:BBK_2870
ko:K03386	bpk:BBK_2871
ko:K07638	bpk:BBK_2872
ko:K07638	bpk:BBK_2873
ko:K07659	bpk:BBK_2874
ko:K02291	bpk:BBK_2878
ko:K01266	bpk:BBK_3690
ko:K16856	bpk:BBK_3700
ko:K00064	bpk:BBK_3703
ko:K02026	bpk:BBK_3708
ko:K02025	bpk:BBK_3709
ko:K10112	bpk:BBK_3711
ko:K00059	bpk:BBK_3724
ko:K00817	bpk:BBK_3725
ko:K09780	bpk:BBK_3726
ko:K04090	bpk:BBK_3728
ko:K07044	bpk:BBK_4552
ko:K16692	bpk:BBK_4561
ko:K01991	bpk:BBK_4562
ko:K01104	bpk:BBK_4563
ko:K00012	bpk:BBK_4564
ko:K03606	bpk:BBK_4565
ko:K07004	bpk:BBK_4577
ko:K02014	bpk:BBK_4583
ko:K07397	bpk:BBK_4593
ko:K07507	bpk:BBK_5414
ko:K17686	bpk:BBK_5419
ko:K00801	bpk:BBK_5428
ko:K00426	bpk:BBK_5432
ko:K00425	bpk:BBK_5433
ko:K01620	bpk:BBK_5435
ko:K05596	bpk:BBK_5434
ko:K02013	bpk:BBK_5439
ko:K02015	bpk:BBK_5440
ko:K02016	bpk:BBK_5442
ko:K07225	bpk:BBK_5443
ko:K16087	bpk:BBK_5444
ko:K02053	bpk:BBK_5447
ko:K02052	bpk:BBK_5448
ko:K02055	bpk:BBK_5449
ko:K02053	bpk:BBK_5450
ko:K06966	bpk:BBK_5451
ko:K01808	bpk:BBK_5454
ko:K17207	bpk:BBK_5455
ko:K17206	bpk:BBK_5456
ko:K00128	bpk:BBK_497
ko:K00128	bpk:BBK_4076
ko:K00128	bpk:BBK_3049
ko:K07154	bpk:BBK_4239
ko:K03219	bpk:BBK_4248
ko:K02669	bpk:BBK_4258
ko:K07657	bpk:BBK_4260
ko:K03220	bpk:BBK_4270
ko:K03227	bpk:BBK_4272
ko:K03226	bpk:BBK_4273
ko:K03225	bpk:BBK_4274
ko:K05366	bpk:BBK_5087
ko:K01426	bpk:BBK_5091
ko:K03825	bpk:BBK_5093
ko:K02480	bpk:BBK_5098
ko:K02004	bpk:BBK_5109
ko:K02003	bpk:BBK_5110
ko:K04754	bpk:BBK_5117
ko:K01607	bpk:BBK_5118
ko:K10037	bpk:BBK_5122
ko:K10036	bpk:BBK_5123
ko:K06045	bpk:BBK_5125
ko:K03410	bpk:BBK_5129
ko:K00370	bpk:BBK_5952
ko:K00371	bpk:BBK_5953
ko:K00373	bpk:BBK_5954
ko:K00374	bpk:BBK_5955
ko:K03769	bpk:BBK_5956
ko:K02575	bpk:BBK_5957
ko:K00797	bpk:BBK_5960
ko:K11189	bpk:BBK_5961
ko:K12140	bpk:BBK_5966
ko:K12141	bpk:BBK_5967
ko:K07088	bpk:BBK_5973
ko:K00878	bpk:BBK_5975
ko:K00219	bpk:BBK_5977
ko:K11752	bpk:BBK_5985
ko:K03798	bpk:BBK_5996
ko:K03758	bpk:BBK_5998
ko:K10125	bpk:BBK_1037
ko:K03644	bpk:BBK_1049
ko:K03801	bpk:BBK_1050
ko:K09158	bpk:BBK_1053
ko:K00824	bpk:BBK_1054
ko:K07258	bpk:BBK_1055
ko:K07018	bpk:BBK_1056
ko:K02067	bpk:BBK_1060
ko:K02065	bpk:BBK_1061
ko:K02066	bpk:BBK_1062
ko:K01119	bpk:BBK_1063
ko:K03524	bpk:BBK_1065
ko:K03525	bpk:BBK_1066
ko:K07001	bpk:BBK_1070
ko:K03735	bpk:BBK_1491
ko:K03736	bpk:BBK_1492
ko:K04033	bpk:BBK_1495
ko:K01652	bpk:BBK_1497
ko:K01752	bpk:BBK_1499
ko:K00281	bpk:BBK_1501
ko:K02437	bpk:BBK_1502
ko:K00605	bpk:BBK_1503
ko:K03656	bpk:BBK_1508
ko:K06077	bpk:BBK_1933
ko:K00856	bpk:BBK_1934
ko:K11065	bpk:BBK_1935
ko:K02687	bpk:BBK_1937
ko:K01961	bpk:BBK_1938
ko:K02160	bpk:BBK_1939
ko:K03786	bpk:BBK_1940
ko:K02558	bpk:BBK_1943
ko:K07000	bpk:BBK_1944
ko:K01147	bpk:BBK_1945
ko:K00014	bpk:BBK_1946
ko:K03814	bpk:BBK_1947
ko:K00883	bpk:BBK_1951
ko:K01631	bpk:BBK_1952
ko:K10537	bpk:BBK_1954
ko:K10539	bpk:BBK_1955
ko:K10538	bpk:BBK_1956
ko:K02841	bpk:BBK_2362
ko:K03832	bpk:BBK_2365
ko:K02428	bpk:BBK_2370
ko:K00942	bpk:BBK_2373
ko:K03060	bpk:BBK_2374
ko:K04760	bpk:BBK_2378
ko:K03704	bpk:BBK_2382
ko:K02342	bpk:BBK_2383
ko:K04093	bpk:BBK_2384
ko:K02014	bpk:BBK_2387
ko:K07218	bpk:BBK_3107
ko:K00376	bpk:BBK_3108
ko:K03734	bpk:BBK_3109
ko:K01990	bpk:BBK_3110
ko:K01992	bpk:BBK_3111
ko:K03406	bpk:BBK_3112
ko:K13954	bpk:BBK_3120
ko:K07345	bpk:BBK_3124
ko:K07347	bpk:BBK_3126
ko:K07345	bpk:BBK_3127
ko:K07687	bpk:BBK_3133
ko:K07677	bpk:BBK_3134
ko:K02055	bpk:BBK_3148
ko:K02054	bpk:BBK_3149
ko:K02053	bpk:BBK_3150
ko:K02052	bpk:BBK_3151
ko:K03543	bpk:BBK_3950
ko:K02167	bpk:BBK_3958
ko:K08369	bpk:BBK_3964
ko:K07675	bpk:BBK_3965
ko:K03704	bpk:BBK_3973
ko:K01633	bpk:BBK_3974
ko:K00305	bpk:BBK_3975
ko:K00303	bpk:BBK_3978
ko:K01752	bpk:BBK_3979
ko:K09915	bpk:BBK_3982
ko:K00799	bpk:BBK_3983
ko:K00426	bpk:BBK_3985
ko:K00425	bpk:BBK_3986
ko:K07507	bpk:BBK_3988
ko:K03219	bpk:BBK_3999
ko:K03228	bpk:BBK_4001
ko:K01424	bpk:BBK_4822
ko:K02056	bpk:BBK_4831
ko:K02057	bpk:BBK_4832
ko:K07407	bpk:BBK_4843
ko:K02026	bpk:BBK_4844
ko:K02025	bpk:BBK_4845
ko:K10111	bpk:BBK_4847
ko:K11907	bpk:BBK_4859
ko:K11896	bpk:BBK_4861
ko:K11897	bpk:BBK_4862
ko:K06887	bpk:BBK_4863
ko:K12256	bpk:BBK_5675
ko:K01915	bpk:BBK_5676
ko:K07010	bpk:BBK_5677
ko:K01480	bpk:BBK_5680
ko:K04078	bpk:BBK_5682
ko:K04077	bpk:BBK_5683
ko:K08295	bpk:BBK_5686
ko:K00648	bpk:BBK_5689
ko:K03387	bpk:BBK_5696
ko:K03386	bpk:BBK_5697
ko:K00375	bpk:BBK_5707
ko:K07552	bpk:BBK_5708
ko:K01262	bpk:BBK_280
ko:K09861	bpk:BBK_292
ko:K14287	bpk:BBK_294
ko:K00799	bpk:BBK_295
ko:K01515	bpk:BBK_307
ko:K00343	bpk:BBK_309
ko:K00342	bpk:BBK_310
ko:K00341	bpk:BBK_311
ko:K00340	bpk:BBK_312
ko:K00339	bpk:BBK_313
ko:K00338	bpk:BBK_314
ko:K00337	bpk:BBK_315
ko:K00334	bpk:BBK_318
ko:K00333	bpk:BBK_319
ko:K00332	bpk:BBK_320
ko:K00331	bpk:BBK_321
ko:K00330	bpk:BBK_322
ko:K03075	bpk:BBK_324
ko:K01803	bpk:BBK_325
ko:K00962	bpk:BBK_327
ko:K02956	bpk:BBK_328
ko:K01999	bpk:BBK_329
ko:K01673	bpk:BBK_331
ko:K01649	bpk:BBK_333
ko:K00763	bpk:BBK_768
ko:K03694	bpk:BBK_604
ko:K06891	bpk:BBK_605
ko:K03704	bpk:BBK_606
ko:K00031	bpk:BBK_608
ko:K06181	bpk:BBK_609
ko:K09005	bpk:BBK_610
ko:K02355	bpk:BBK_611
ko:K03710	bpk:BBK_614
ko:K01647	bpk:BBK_616
ko:K00077	bpk:BBK_620
ko:K07240	bpk:BBK_623
ko:K04564	bpk:BBK_625
ko:K03601	bpk:BBK_626
ko:K00912	bpk:BBK_627
ko:K09791	bpk:BBK_628
ko:K00979	bpk:BBK_629
ko:K00939	bpk:BBK_630
ko:K03980	bpk:BBK_634
ko:K02968	bpk:BBK_635
ko:K00075	bpk:BBK_638
ko:K09767	bpk:BBK_639
ko:K08591	bpk:BBK_640
ko:K04763	bpk:BBK_643
ko:K00567	bpk:BBK_644
ko:K06925	bpk:BBK_646
ko:K01448	bpk:BBK_647
ko:K15268	bpk:BBK_648
ko:K06911	bpk:BBK_649
ko:K05838	bpk:BBK_650
ko:K00275	bpk:BBK_652
ko:K00574	bpk:BBK_653
ko:K07304	bpk:BBK_655
ko:K02494	bpk:BBK_936
ko:K00919	bpk:BBK_937
ko:K00948	bpk:BBK_939
ko:K02897	bpk:BBK_940
ko:K01056	bpk:BBK_941
ko:K00817	bpk:BBK_942
ko:K00954	bpk:BBK_944
ko:K03110	bpk:BBK_946
ko:K00362	bpk:BBK_948
ko:K00363	bpk:BBK_949
ko:K00372	bpk:BBK_950
ko:K01649	bpk:BBK_953
ko:K03089	bpk:BBK_956
ko:K00425	bpk:BBK_958
ko:K00426	bpk:BBK_959
ko:K12373	bpk:BBK_962
ko:K01999	bpk:BBK_1382
