ko:K00086	kpx:PMK1_01008
ko:K01007	kpx:PMK1_04527
ko:K08156	kpx:PMK1_04202
ko:K19586	kpx:PMK1_00442
ko:K18831	kpx:PMK1_c00043
ko:K07713	kpx:PMK1_01869
ko:K19164	kpx:PMK1_c00006
ko:K00984	kpx:PMK1_ndm00221
ko:K04753	kpx:PMK1_00909
ko:K14231	kpx:PMK1_00873
ko:K14231	kpx:PMK1_01993
ko:K14226	kpx:PMK1_01785
ko:K03293	kpx:PMK1_01783
ko:K02483	kpx:PMK1_04146
ko:K19587	kpx:PMK1_00444
ko:K00433	kpx:PMK1_04893
ko:K21755	kpx:PMK1_00801
ko:K18699	kpx:PMK1_03928
ko:K04487	kpx:PMK1_00359
ko:K13643	kpx:PMK1_00360
ko:K15396	kpx:PMK1_00361
ko:K01092	kpx:PMK1_00362
ko:K05820	kpx:PMK1_00367
ko:K15977	kpx:PMK1_00372
ko:K00600	kpx:PMK1_00373
ko:K05916	kpx:PMK1_00374
ko:K04751	kpx:PMK1_00375
ko:K07715	kpx:PMK1_00376
ko:K07711	kpx:PMK1_00378
ko:K01952	kpx:PMK1_00379
ko:K18691	kpx:PMK1_00380
ko:K11991	kpx:PMK1_00381
ko:K18697	kpx:PMK1_00382
ko:K00997	kpx:PMK1_00385
ko:K03474	kpx:PMK1_00386
ko:K03584	kpx:PMK1_00387
ko:K03685	kpx:PMK1_00389
ko:K03100	kpx:PMK1_00390
ko:K03596	kpx:PMK1_00391
ko:K03803	kpx:PMK1_00392
ko:K03598	kpx:PMK1_00393
ko:K03597	kpx:PMK1_00394
ko:K03088	kpx:PMK1_00395
ko:K00278	kpx:PMK1_00396
ko:K15460	kpx:PMK1_00397
ko:K05590	kpx:PMK1_00398
ko:K03648	kpx:PMK1_00400
ko:K03214	kpx:PMK1_00401
ko:K03672	kpx:PMK1_00402
ko:K05812	kpx:PMK1_00403
ko:K00998	kpx:PMK1_00405
ko:K05811	kpx:PMK1_00406
ko:K00014	kpx:PMK1_01186
ko:K07566	kpx:PMK1_01187
ko:K07479	kpx:PMK1_01188
ko:K03747	kpx:PMK1_01189
ko:K04096	kpx:PMK1_01190
ko:K01462	kpx:PMK1_01191
ko:K00604	kpx:PMK1_01192
ko:K03500	kpx:PMK1_01193
ko:K03499	kpx:PMK1_01194
ko:K03282	kpx:PMK1_01195
ko:K09890	kpx:PMK1_01196
ko:K02879	kpx:PMK1_01199
ko:K03040	kpx:PMK1_01200
ko:K02986	kpx:PMK1_01201
ko:K02952	kpx:PMK1_01202
ko:K03076	kpx:PMK1_01203
ko:K02876	kpx:PMK1_01204
ko:K02907	kpx:PMK1_01205
ko:K02988	kpx:PMK1_01206
ko:K02881	kpx:PMK1_01207
ko:K02933	kpx:PMK1_01208
ko:K02994	kpx:PMK1_01209
ko:K02954	kpx:PMK1_01210
ko:K02931	kpx:PMK1_01211
ko:K02895	kpx:PMK1_01212
ko:K02874	kpx:PMK1_01213
ko:K02961	kpx:PMK1_01214
ko:K02904	kpx:PMK1_01215
ko:K02878	kpx:PMK1_01216
ko:K02982	kpx:PMK1_01217
ko:K02890	kpx:PMK1_01218
ko:K02965	kpx:PMK1_01219
ko:K02886	kpx:PMK1_01220
ko:K02892	kpx:PMK1_01221
ko:K02926	kpx:PMK1_01222
ko:K02906	kpx:PMK1_01223
ko:K02946	kpx:PMK1_01224
ko:K02506	kpx:PMK1_01225
ko:K03594	kpx:PMK1_01226
ko:K02192	kpx:PMK1_01227
ko:K02358	kpx:PMK1_01228
ko:K02355	kpx:PMK1_01229
ko:K02992	kpx:PMK1_01230
ko:K02950	kpx:PMK1_01231
ko:K05516	kpx:PMK1_01984
ko:K11937	kpx:PMK1_01987
ko:K11936	kpx:PMK1_01988
ko:K11931	kpx:PMK1_01989
ko:K11935	kpx:PMK1_01990
ko:K04084	kpx:PMK1_01996
ko:K03926	kpx:PMK1_01997
ko:K07791	kpx:PMK1_01998
ko:K01744	kpx:PMK1_01999
ko:K07113	kpx:PMK1_02000
ko:K16263	kpx:PMK1_02001
ko:K04078	kpx:PMK1_02002
ko:K04077	kpx:PMK1_02003
ko:K13409	kpx:PMK1_02006
ko:K13408	kpx:PMK1_02007
ko:K07347	kpx:PMK1_02010
ko:K02356	kpx:PMK1_02015
ko:K16347	kpx:PMK1_02016
ko:K16348	kpx:PMK1_02017
ko:K03098	kpx:PMK1_02019
ko:K00247	kpx:PMK1_02020
ko:K00246	kpx:PMK1_02021
ko:K00245	kpx:PMK1_02022
ko:K00244	kpx:PMK1_02023
ko:K04568	kpx:PMK1_02024
ko:K01613	kpx:PMK1_02027
ko:K06949	kpx:PMK1_02028
ko:K13288	kpx:PMK1_02029
ko:K09996	kpx:PMK1_02030
ko:K02068	kpx:PMK1_02798
ko:K02069	kpx:PMK1_02799
ko:K05838	kpx:PMK1_02800
ko:K10804	kpx:PMK1_02802
ko:K02003	kpx:PMK1_02803
ko:K02004	kpx:PMK1_02804
ko:K06917	kpx:PMK1_02806
ko:K01589	kpx:PMK1_02807
ko:K01588	kpx:PMK1_02808
ko:K03269	kpx:PMK1_02810
ko:K03768	kpx:PMK1_02811
ko:K01883	kpx:PMK1_02812
ko:K14761	kpx:PMK1_02813
ko:K01491	kpx:PMK1_02814
ko:K07127	kpx:PMK1_02818
ko:K01647	kpx:PMK1_02820
ko:K02517	kpx:PMK1_02822
ko:K03765	kpx:PMK1_02824
ko:K03757	kpx:PMK1_02825
ko:K03305	kpx:PMK1_02827
ko:K04567	kpx:PMK1_02828
ko:K03335	kpx:PMK1_02830
ko:K00010	kpx:PMK1_02833
ko:K02529	kpx:PMK1_02834
ko:K17213	kpx:PMK1_02835
ko:K17215	kpx:PMK1_02836
ko:K03484	kpx:PMK1_02839
ko:K01193	kpx:PMK1_02840
ko:K02809	kpx:PMK1_02841
ko:K02810	kpx:PMK1_02841
ko:K16077	kpx:PMK1_02842
ko:K00847	kpx:PMK1_02843
ko:K02013	kpx:PMK1_02847
ko:K01222	kpx:PMK1_03613
ko:K03478	kpx:PMK1_03614
ko:K03781	kpx:PMK1_03615
ko:K15722	kpx:PMK1_03616
ko:K06956	kpx:PMK1_03617
ko:K07038	kpx:PMK1_03618
ko:K00065	kpx:PMK1_03619
ko:K10806	kpx:PMK1_03622
ko:K06190	kpx:PMK1_03624
ko:K06940	kpx:PMK1_03626
ko:K07275	kpx:PMK1_03627
ko:K16090	kpx:PMK1_03629
ko:K13021	kpx:PMK1_03635
ko:K07246	kpx:PMK1_03636
ko:K01695	kpx:PMK1_03638
ko:K01696	kpx:PMK1_03639
ko:K13498	kpx:PMK1_03640
ko:K13497	kpx:PMK1_03641
ko:K01657	kpx:PMK1_03642
ko:K07053	kpx:PMK1_03643
ko:K03566	kpx:PMK1_03646
ko:K06178	kpx:PMK1_03650
ko:K04774	kpx:PMK1_03653
ko:K03168	kpx:PMK1_03655
ko:K13634	kpx:PMK1_03656
ko:K01681	kpx:PMK1_03658
ko:K01497	kpx:PMK1_03659
ko:K08992	kpx:PMK1_03661
ko:K01591	kpx:PMK1_03663
ko:K13021	kpx:PMK1_04388
ko:K03787	kpx:PMK1_04397
ko:K02051	kpx:PMK1_04400
ko:K01485	kpx:PMK1_04403
ko:K01470	kpx:PMK1_04405
ko:K02051	kpx:PMK1_04406
ko:K02049	kpx:PMK1_04407
ko:K02050	kpx:PMK1_04408
ko:K17737	kpx:PMK1_04413
ko:K01028	kpx:PMK1_04414
ko:K01029	kpx:PMK1_04415
ko:K00626	kpx:PMK1_04416
ko:K00074	kpx:PMK1_04417
ko:K00019	kpx:PMK1_04419
ko:K01575	kpx:PMK1_04421
ko:K01652	kpx:PMK1_04422
ko:K03366	kpx:PMK1_04423
ko:K02200	kpx:PMK1_04428
ko:K02199	kpx:PMK1_04429
ko:K02198	kpx:PMK1_04430
ko:K02197	kpx:PMK1_04431
ko:K02196	kpx:PMK1_04432
ko:K02195	kpx:PMK1_04433
ko:K02194	kpx:PMK1_04434
ko:K02193	kpx:PMK1_04435
ko:K06151	kpx:PMK1_04437
ko:K02337	kpx:PMK1_b00077
ko:K02342	kpx:PMK1_b00105
ko:K03469	kpx:PMK1_b00110
ko:K01153	kpx:PMK1_b00116
ko:K01154	kpx:PMK1_b00117
ko:K03427	kpx:PMK1_b00118
ko:K01153	kpx:PMK1_c00013
ko:K03528	kpx:PMK1_00256
ko:K06203	kpx:PMK1_00257
ko:K01738	kpx:PMK1_00258
ko:K02784	kpx:PMK1_00259
ko:K08483	kpx:PMK1_00260
ko:K00868	kpx:PMK1_00263
ko:K12339	kpx:PMK1_00266
ko:K02045	kpx:PMK1_00267
ko:K02047	kpx:PMK1_00268
ko:K02046	kpx:PMK1_00269
ko:K02048	kpx:PMK1_00270
ko:K07223	kpx:PMK1_00271
ko:K01448	kpx:PMK1_00275
ko:K00228	kpx:PMK1_00276
ko:K04033	kpx:PMK1_00277
ko:K04025	kpx:PMK1_00278
ko:K04026	kpx:PMK1_00279
ko:K03736	kpx:PMK1_00280
ko:K03735	kpx:PMK1_00281
ko:K04019	kpx:PMK1_00282
ko:K04023	kpx:PMK1_00283
ko:K04022	kpx:PMK1_00284
ko:K04024	kpx:PMK1_00285
ko:K04021	kpx:PMK1_00286
ko:K04027	kpx:PMK1_00288
ko:K04020	kpx:PMK1_00289
ko:K04032	kpx:PMK1_00290
ko:K04030	kpx:PMK1_00291
ko:K04029	kpx:PMK1_00292
ko:K04031	kpx:PMK1_00293
ko:K00029	kpx:PMK1_00294
ko:K00616	kpx:PMK1_00295
ko:K00615	kpx:PMK1_00296
ko:K12945	kpx:PMK1_00298
ko:K18324	kpx:PMK1_00300
ko:K01439	kpx:PMK1_00302
ko:K06999	kpx:PMK1_00304
ko:K06957	kpx:PMK1_00305
ko:K02834	kpx:PMK1_01083
ko:K02519	kpx:PMK1_01084
ko:K02600	kpx:PMK1_01085
ko:K09748	kpx:PMK1_01086
ko:K01940	kpx:PMK1_01088
ko:K03075	kpx:PMK1_01093
ko:K03431	kpx:PMK1_01094
ko:K00796	kpx:PMK1_01095
ko:K03798	kpx:PMK1_01096
ko:K02427	kpx:PMK1_01097
ko:K07574	kpx:PMK1_01098
ko:K03624	kpx:PMK1_01099
ko:K07259	kpx:PMK1_01100
ko:K03979	kpx:PMK1_01101
ko:K02899	kpx:PMK1_01103
ko:K02888	kpx:PMK1_01104
ko:K02523	kpx:PMK1_01105
ko:K00790	kpx:PMK1_01107
ko:K07122	kpx:PMK1_01109
ko:K07323	kpx:PMK1_01110
ko:K02067	kpx:PMK1_01111
ko:K02066	kpx:PMK1_01112
ko:K02065	kpx:PMK1_01113
ko:K07301	kpx:PMK1_01114
ko:K06041	kpx:PMK1_01115
ko:K03270	kpx:PMK1_01116
ko:K11719	kpx:PMK1_01117
ko:K09774	kpx:PMK1_01118
ko:K06861	kpx:PMK1_01119
ko:K03092	kpx:PMK1_01120
ko:K05808	kpx:PMK1_01121
ko:K02806	kpx:PMK1_01122
ko:K06958	kpx:PMK1_01123
ko:K08485	kpx:PMK1_01124
ko:K03814	kpx:PMK1_01125
ko:K07648	kpx:PMK1_01127
ko:K01686	kpx:PMK1_01128
ko:K08322	kpx:PMK1_01129
ko:K07139	kpx:PMK1_01131
ko:K00265	kpx:PMK1_01132
ko:K05995	kpx:PMK1_01882
ko:K06182	kpx:PMK1_01883
ko:K03453	kpx:PMK1_01885
ko:K00928	kpx:PMK1_01886
ko:K01810	kpx:PMK1_01887
ko:K09022	kpx:PMK1_01890
ko:K13256	kpx:PMK1_01894
ko:K10110	kpx:PMK1_01895
ko:K10109	kpx:PMK1_01896
ko:K10108	kpx:PMK1_01897
ko:K10111	kpx:PMK1_01898
ko:K02024	kpx:PMK1_01899
ko:K05775	kpx:PMK1_01900
ko:K03181	kpx:PMK1_01901
ko:K03179	kpx:PMK1_01902
ko:K00631	kpx:PMK1_01903
ko:K00901	kpx:PMK1_01904
ko:K01356	kpx:PMK1_01905
ko:K03327	kpx:PMK1_01906
ko:K09823	kpx:PMK1_01908
ko:K05539	kpx:PMK1_01910
ko:K01775	kpx:PMK1_01914
ko:K00832	kpx:PMK1_01915
ko:K03788	kpx:PMK1_01916
ko:K03701	kpx:PMK1_01919
ko:K18325	kpx:PMK1_01923
ko:K07277	kpx:PMK1_01925
ko:K01092	kpx:PMK1_01927
ko:K11752	kpx:PMK1_02695
ko:K00794	kpx:PMK1_02696
ko:K03625	kpx:PMK1_02697
ko:K00946	kpx:PMK1_02698
ko:K01095	kpx:PMK1_02699
ko:K01662	kpx:PMK1_02701
ko:K00795	kpx:PMK1_02702
ko:K03602	kpx:PMK1_02703
ko:K03151	kpx:PMK1_02704
ko:K03152	kpx:PMK1_02706
ko:K00077	kpx:PMK1_02707
ko:K09767	kpx:PMK1_02708
ko:K08195	kpx:PMK1_02711
ko:K00014	kpx:PMK1_02716
ko:K02624	kpx:PMK1_02717
ko:K02300	kpx:PMK1_02720
ko:K02299	kpx:PMK1_02721
ko:K02298	kpx:PMK1_02722
ko:K02297	kpx:PMK1_02723
ko:K08218	kpx:PMK1_02724
ko:K07286	kpx:PMK1_02725
ko:K05527	kpx:PMK1_02726
ko:K03545	kpx:PMK1_02727
ko:K01358	kpx:PMK1_02728
ko:K03544	kpx:PMK1_02729
ko:K01338	kpx:PMK1_02730
ko:K03530	kpx:PMK1_02731
ko:K03770	kpx:PMK1_02732
ko:K02237	kpx:PMK1_02733
ko:K12500	kpx:PMK1_02734
ko:K06920	kpx:PMK1_02735
ko:K11938	kpx:PMK1_02737
ko:K01738	kpx:PMK1_02738
ko:K05800	kpx:PMK1_02739
ko:K04752	kpx:PMK1_02742
ko:K03320	kpx:PMK1_02743
ko:K10805	kpx:PMK1_02744
ko:K12974	kpx:PMK1_03505
ko:K11250	kpx:PMK1_03506
ko:K13069	kpx:PMK1_03509
ko:K09712	kpx:PMK1_03550
ko:K03449	kpx:PMK1_03554
ko:K16868	kpx:PMK1_04283
ko:K03304	kpx:PMK1_04284
ko:K03817	kpx:PMK1_04286
ko:K00055	kpx:PMK1_04288
ko:K03929	kpx:PMK1_04289
ko:K00449	kpx:PMK1_04291
ko:K00448	kpx:PMK1_04292
ko:K05358	kpx:PMK1_04294
ko:K00121	kpx:PMK1_04295
ko:K12262	kpx:PMK1_04297
ko:K01488	kpx:PMK1_04302
ko:K03617	kpx:PMK1_04306
ko:K03616	kpx:PMK1_04307
ko:K03615	kpx:PMK1_04308
ko:K03614	kpx:PMK1_04309
ko:K03612	kpx:PMK1_04310
ko:K03613	kpx:PMK1_04311
ko:K10773	kpx:PMK1_04312
ko:K03305	kpx:PMK1_04314
ko:K00799	kpx:PMK1_04315
ko:K00868	kpx:PMK1_04316
ko:K01866	kpx:PMK1_04317
ko:K00275	kpx:PMK1_04318
ko:K09001	kpx:PMK1_04320
ko:K06077	kpx:PMK1_04321
ko:K06075	kpx:PMK1_04323
ko:K06938	kpx:PMK1_04330
ko:K16137	kpx:PMK1_04331
ko:K18767	kpx:PMK1_04637
ko:K18767	kpx:PMK1_ndm00052
ko:K11754	kpx:PMK1_00202
ko:K01963	kpx:PMK1_00203
ko:K03975	kpx:PMK1_00204
ko:K06173	kpx:PMK1_00205
ko:K03473	kpx:PMK1_00207
ko:K00647	kpx:PMK1_00210
ko:K15461	kpx:PMK1_00211
ko:K09906	kpx:PMK1_00213
ko:K07090	kpx:PMK1_00214
ko:K07261	kpx:PMK1_00215
ko:K01736	kpx:PMK1_00216
ko:K07320	kpx:PMK1_00217
ko:K08296	kpx:PMK1_00219
ko:K01782	kpx:PMK1_00220
ko:K06076	kpx:PMK1_00223
ko:K04754	kpx:PMK1_00224
ko:K11921	kpx:PMK1_00229
ko:K03449	kpx:PMK1_00231
ko:K14261	kpx:PMK1_00232
ko:K02478	kpx:PMK1_00233
ko:K02477	kpx:PMK1_00234
ko:K00845	kpx:PMK1_00235
ko:K03322	kpx:PMK1_00240
ko:K11535	kpx:PMK1_00241
ko:K01885	kpx:PMK1_00247
ko:K14347	kpx:PMK1_00253
ko:K09954	kpx:PMK1_00254
ko:K01972	kpx:PMK1_00255
ko:K07043	kpx:PMK1_01032
ko:K07862	kpx:PMK1_01035
ko:K01685	kpx:PMK1_01037
ko:K01812	kpx:PMK1_01038
ko:K08191	kpx:PMK1_01039
ko:K15977	kpx:PMK1_01047
ko:K07393	kpx:PMK1_01048
ko:K06911	kpx:PMK1_01051
ko:K00865	kpx:PMK1_01056
ko:K01630	kpx:PMK1_01058
ko:K12299	kpx:PMK1_01059
ko:K01708	kpx:PMK1_01061
ko:K07056	kpx:PMK1_01062
ko:K07121	kpx:PMK1_01063
ko:K07460	kpx:PMK1_01064
ko:K12961	kpx:PMK1_01065
ko:K07089	kpx:PMK1_01067
ko:K05520	kpx:PMK1_01069
ko:K09979	kpx:PMK1_01070
ko:K07461	kpx:PMK1_01071
ko:K03824	kpx:PMK1_01072
ko:K08303	kpx:PMK1_01074
ko:K03835	kpx:PMK1_01077
ko:K05592	kpx:PMK1_01078
ko:K05803	kpx:PMK1_01079
ko:K00962	kpx:PMK1_01080
ko:K02956	kpx:PMK1_01081
ko:K03177	kpx:PMK1_01082
ko:K00075	kpx:PMK1_01834
ko:K03524	kpx:PMK1_01835
ko:K00867	kpx:PMK1_01836
ko:K02358	kpx:PMK1_01841
ko:K03073	kpx:PMK1_01842
ko:K02601	kpx:PMK1_01843
ko:K02867	kpx:PMK1_01844
ko:K02863	kpx:PMK1_01845
ko:K02864	kpx:PMK1_01846
ko:K02935	kpx:PMK1_01847
ko:K03043	kpx:PMK1_01848
ko:K03046	kpx:PMK1_01849
ko:K07792	kpx:PMK1_01850
ko:K02759	kpx:PMK1_01851
ko:K02760	kpx:PMK1_01852
ko:K03150	kpx:PMK1_01854
ko:K03149	kpx:PMK1_01855
ko:K03154	kpx:PMK1_01856
ko:K03148	kpx:PMK1_01857
ko:K00788	kpx:PMK1_01858
ko:K03147	kpx:PMK1_01859
ko:K07740	kpx:PMK1_01860
ko:K03426	kpx:PMK1_01861
ko:K01599	kpx:PMK1_01862
ko:K05982	kpx:PMK1_01863
ko:K09891	kpx:PMK1_01864
ko:K05787	kpx:PMK1_01865
ko:K07803	kpx:PMK1_01867
ko:K07709	kpx:PMK1_01868
ko:K01945	kpx:PMK1_01870
ko:K00602	kpx:PMK1_01871
ko:K03827	kpx:PMK1_01874
ko:K00651	kpx:PMK1_01875
ko:K01638	kpx:PMK1_01876
ko:K01637	kpx:PMK1_01877
ko:K00906	kpx:PMK1_01878
ko:K13641	kpx:PMK1_01879
ko:K00548	kpx:PMK1_01880
ko:K03324	kpx:PMK1_01881
ko:K07491	kpx:PMK1_02643
ko:K01698	kpx:PMK1_02644
ko:K17938	kpx:PMK1_02647
ko:K01921	kpx:PMK1_02651
ko:K08161	kpx:PMK1_02653
ko:K01077	kpx:PMK1_02655
ko:K00286	kpx:PMK1_02657
ko:K09768	kpx:PMK1_02658
ko:K09945	kpx:PMK1_02659
ko:K00891	kpx:PMK1_02660
ko:K14591	kpx:PMK1_02662
ko:K09913	kpx:PMK1_02663
ko:K03554	kpx:PMK1_02664
ko:K00847	kpx:PMK1_02665
ko:K03547	kpx:PMK1_02667
ko:K07657	kpx:PMK1_02668
ko:K07636	kpx:PMK1_02669
ko:K03311	kpx:PMK1_02670
ko:K11736	kpx:PMK1_02671
ko:K03695	kpx:PMK1_00409
ko:K05810	kpx:PMK1_00410
ko:K06180	kpx:PMK1_00411
ko:K05807	kpx:PMK1_00412
ko:K05809	kpx:PMK1_00413
ko:K14170	kpx:PMK1_00414
ko:K14187	kpx:PMK1_00416
ko:K01626	kpx:PMK1_00417
ko:K02884	kpx:PMK1_00423
ko:K00554	kpx:PMK1_00424
ko:K02860	kpx:PMK1_00425
ko:K02959	kpx:PMK1_00426
ko:K03106	kpx:PMK1_00427
ko:K03687	kpx:PMK1_00430
ko:K00858	kpx:PMK1_00431
ko:K03631	kpx:PMK1_00432
ko:K06186	kpx:PMK1_00433
ko:K09801	kpx:PMK1_00434
ko:K03664	kpx:PMK1_00436
ko:K05804	kpx:PMK1_00441
ko:K12255	kpx:PMK1_00446
ko:K02030	kpx:PMK1_00449
ko:K02028	kpx:PMK1_00450
ko:K02029	kpx:PMK1_00450
ko:K12972	kpx:PMK1_00452
ko:K01713	kpx:PMK1_00455
ko:K07345	kpx:PMK1_00457
ko:K07347	kpx:PMK1_00459
ko:K07237	kpx:PMK1_01232
ko:K07236	kpx:PMK1_01233
ko:K07235	kpx:PMK1_01234
ko:K03772	kpx:PMK1_01236
ko:K03745	kpx:PMK1_01237
ko:K03775	kpx:PMK1_01238
ko:K07070	kpx:PMK1_01239
ko:K11747	kpx:PMK1_01240
ko:K06158	kpx:PMK1_01242
ko:K07019	kpx:PMK1_01243
ko:K09898	kpx:PMK1_01244
ko:K00855	kpx:PMK1_01245
ko:K07397	kpx:PMK1_01246
ko:K10914	kpx:PMK1_01247
ko:K01664	kpx:PMK1_01250
ko:K04095	kpx:PMK1_01251
ko:K01187	kpx:PMK1_02672
ko:K09932	kpx:PMK1_02676
ko:K01624	kpx:PMK1_02678
ko:K03475	kpx:PMK1_02680
ko:K02822	kpx:PMK1_02681
ko:K02821	kpx:PMK1_02682
ko:K03386	kpx:PMK1_02683
ko:K08682	kpx:PMK1_02684
ko:K07568	kpx:PMK1_02685
ko:K00773	kpx:PMK1_02686
ko:K03210	kpx:PMK1_02687
ko:K03072	kpx:PMK1_02688
ko:K03074	kpx:PMK1_02689
ko:K06996	kpx:PMK1_02690
ko:K05517	kpx:PMK1_02692
ko:K07738	kpx:PMK1_02694
ko:K00884	kpx:PMK1_03455
ko:K12410	kpx:PMK1_03456
ko:K01803	kpx:PMK1_03459
ko:K02526	kpx:PMK1_03462
ko:K02781	kpx:PMK1_03463
ko:K01808	kpx:PMK1_03464
ko:K00616	kpx:PMK1_03465
ko:K00615	kpx:PMK1_03466
ko:K11069	kpx:PMK1_03469
ko:K11070	kpx:PMK1_03470
ko:K11071	kpx:PMK1_03471
ko:K11072	kpx:PMK1_03472
ko:K01258	kpx:PMK1_03473
ko:K07637	kpx:PMK1_03475
ko:K07660	kpx:PMK1_03476
ko:K01756	kpx:PMK1_03479
ko:K07153	kpx:PMK1_03480
ko:K00566	kpx:PMK1_03481
ko:K12152	kpx:PMK1_03482
ko:K06181	kpx:PMK1_03483
ko:K00031	kpx:PMK1_03484
ko:K09984	kpx:PMK1_03488
ko:K07217	kpx:PMK1_03493
ko:K00425	kpx:PMK1_03494
ko:K00426	kpx:PMK1_03495
ko:K03182	kpx:PMK1_03500
ko:K01424	kpx:PMK1_03504
ko:K02855	kpx:PMK1_04230
ko:K16077	kpx:PMK1_04233
ko:K07726	kpx:PMK1_04234
ko:K01821	kpx:PMK1_04235
ko:K11208	kpx:PMK1_04236
ko:K02030	kpx:PMK1_04237
ko:K02028	kpx:PMK1_04238
ko:K02029	kpx:PMK1_04239
ko:K02030	kpx:PMK1_04241
ko:K11738	kpx:PMK1_04247
ko:K02014	kpx:PMK1_04250
ko:K01250	kpx:PMK1_04253
ko:K03823	kpx:PMK1_04256
ko:K09936	kpx:PMK1_04257
ko:K00137	kpx:PMK1_04265
ko:K02053	kpx:PMK1_04266
ko:K02054	kpx:PMK1_04267
ko:K02052	kpx:PMK1_04268
ko:K02055	kpx:PMK1_04269
ko:K00425	kpx:PMK1_04272
ko:K00426	kpx:PMK1_04273
ko:K08303	kpx:PMK1_04277
ko:K05782	kpx:PMK1_04279
ko:K07506	kpx:PMK1_04280
ko:K07665	kpx:PMK1_a00116
ko:K07644	kpx:PMK1_a00117
ko:K02168	kpx:PMK1_a00125
ko:K03767	kpx:PMK1_01253
ko:K06141	kpx:PMK1_01254
ko:K01485	kpx:PMK1_01255
ko:K00362	kpx:PMK1_01257
ko:K00363	kpx:PMK1_01258
ko:K02302	kpx:PMK1_01259
ko:K01867	kpx:PMK1_01260
ko:K01091	kpx:PMK1_01261
ko:K01783	kpx:PMK1_01262
ko:K03112	kpx:PMK1_01264
ko:K01735	kpx:PMK1_01265
ko:K00891	kpx:PMK1_01266
ko:K02507	kpx:PMK1_01267
ko:K12290	kpx:PMK1_01268
ko:K12289	kpx:PMK1_01269
ko:K12288	kpx:PMK1_01270
ko:K05366	kpx:PMK1_01271
ko:K08312	kpx:PMK1_01272
ko:K04762	kpx:PMK1_01275
ko:K04083	kpx:PMK1_01276
ko:K01610	kpx:PMK1_01277
ko:K07638	kpx:PMK1_01278
ko:K07659	kpx:PMK1_01279
ko:K04760	kpx:PMK1_01280
ko:K06959	kpx:PMK1_01281
ko:K04758	kpx:PMK1_01282
ko:K17758	kpx:PMK1_02035
ko:K17759	kpx:PMK1_02035
ko:K06925	kpx:PMK1_02036
ko:K01448	kpx:PMK1_02037
ko:K03572	kpx:PMK1_02038
ko:K00791	kpx:PMK1_02039
ko:K03666	kpx:PMK1_02040
ko:K03665	kpx:PMK1_02041
ko:K04088	kpx:PMK1_02042
ko:K04087	kpx:PMK1_02043
ko:K09937	kpx:PMK1_02045
ko:K01939	kpx:PMK1_02046
ko:K13771	kpx:PMK1_02047
ko:K12573	kpx:PMK1_02048
ko:K03218	kpx:PMK1_02049
ko:K09456	kpx:PMK1_02050
ko:K06889	kpx:PMK1_02053
ko:K03477	kpx:PMK1_02054
ko:K03476	kpx:PMK1_02055
ko:K03475	kpx:PMK1_02056
ko:K02822	kpx:PMK1_02057
ko:K02821	kpx:PMK1_02058
ko:K03078	kpx:PMK1_02059
ko:K03079	kpx:PMK1_02060
ko:K03077	kpx:PMK1_02061
ko:K02990	kpx:PMK1_02064
ko:K02686	kpx:PMK1_02065
