ko:K19416	amaa:amad1_11020
ko:K06177	amaa:amad1_06340
ko:K07263	amaa:amad1_06350
ko:K02014	amaa:amad1_06425
ko:K03386	amaa:amad1_06450
ko:K01759	amaa:amad1_06470
ko:K03613	amaa:amad1_06495
ko:K03612	amaa:amad1_06500
ko:K03614	amaa:amad1_06505
ko:K03616	amaa:amad1_06520
ko:K03617	amaa:amad1_06525
ko:K01082	amaa:amad1_06595
ko:K03307	amaa:amad1_06610
ko:K07114	amaa:amad1_06640
ko:K07114	amaa:amad1_06645
ko:K01782	amaa:amad1_06670
ko:K06147	amaa:amad1_06765
ko:K03560	amaa:amad1_06930
ko:K04767	amaa:amad1_07060
ko:K00652	amaa:amad1_07175
ko:K01104	amaa:amad1_07195
ko:K06147	amaa:amad1_07225
ko:K01885	amaa:amad1_07245
ko:K02004	amaa:amad1_07290
ko:K07660	amaa:amad1_07315
ko:K00569	amaa:amad1_07430
ko:K02014	amaa:amad1_07480
ko:K03442	amaa:amad1_15255
ko:K00219	amaa:amad1_15315
ko:K08981	amaa:amad1_15695
ko:K09167	amaa:amad1_15700
ko:K01243	amaa:amad1_15735
ko:K06858	amaa:amad1_15745
ko:K00799	amaa:amad1_15820
ko:K01679	amaa:amad1_15855
ko:K02014	amaa:amad1_16355
ko:K00101	amaa:amad1_16570
ko:K15629	amaa:amad1_16670
ko:K07386	amaa:amad1_05465
ko:K01571	amaa:amad1_05495
ko:K01572	amaa:amad1_05500
ko:K01489	amaa:amad1_10160
ko:K02238	amaa:amad1_10205
ko:K11085	amaa:amad1_10210
ko:K07393	amaa:amad1_10255
ko:K00241	amaa:amad1_10280
ko:K00830	amaa:amad1_10675
ko:K02014	amaa:amad1_11505
ko:K01322	amaa:amad1_11525
ko:K03711	amaa:amad1_11585
ko:K07305	amaa:amad1_12115
ko:K00033	amaa:amad1_12120
ko:K00700	amaa:amad1_12130
ko:K03593	amaa:amad1_12495
ko:K03442	amaa:amad1_12505
ko:K03768	amaa:amad1_12550
ko:K08086	amaa:amad1_12665
ko:K07017	amaa:amad1_13100
ko:K07263	amaa:amad1_13110
ko:K00939	amaa:amad1_13140
ko:K01916	amaa:amad1_13490
ko:K02674	amaa:amad1_13530
ko:K03406	amaa:amad1_13700
ko:K01262	amaa:amad1_14890
ko:K00852	amaa:amad1_14900
ko:K01934	amaa:amad1_14915
ko:K00058	amaa:amad1_14925
ko:K02653	amaa:amad1_15025
ko:K00799	amaa:amad1_15330
ko:K04063	amaa:amad1_15340
ko:K07304	amaa:amad1_15345
ko:K00616	amaa:amad1_15390
ko:K00121	amaa:amad1_15435
ko:K03325	amaa:amad1_15460
ko:K01488	amaa:amad1_15510
ko:K12961	amaa:amad1_15575
ko:K02055	amaa:amad1_15980
ko:K01190	amaa:amad1_01335
ko:K02014	amaa:amad1_07650
ko:K01835	amaa:amad1_07830
ko:K01439	amaa:amad1_07875
ko:K03455	amaa:amad1_07955
ko:K02014	amaa:amad1_08085
ko:K03498	amaa:amad1_00085
ko:K03499	amaa:amad1_00090
ko:K03747	amaa:amad1_00120
ko:K14162	amaa:amad1_00185
ko:K01719	amaa:amad1_00680
ko:K02010	amaa:amad1_00765
ko:K03442	amaa:amad1_00770
ko:K15727	amaa:amad1_00810
ko:K06889	amaa:amad1_01100
ko:K01785	amaa:amad1_01115
ko:K01784	amaa:amad1_01150
ko:K12279	amaa:amad1_01195
ko:K12280	amaa:amad1_01205
ko:K12281	amaa:amad1_01210
ko:K12283	amaa:amad1_01225
ko:K12284	amaa:amad1_01230
ko:K12276	amaa:amad1_01235
ko:K12278	amaa:amad1_01240
ko:K10925	amaa:amad1_01250
ko:K10924	amaa:amad1_01255
ko:K10926	amaa:amad1_01260
ko:K10927	amaa:amad1_01265
ko:K12285	amaa:amad1_01270
ko:K12286	amaa:amad1_01275
ko:K12287	amaa:amad1_01280
ko:K00564	amaa:amad1_01355
ko:K05499	amaa:amad1_01930
ko:K09705	amaa:amad1_01985
ko:K03406	amaa:amad1_02090
ko:K08305	amaa:amad1_02120
ko:K02200	amaa:amad1_04660
ko:K01784	amaa:amad1_04675
ko:K02851	amaa:amad1_04715
ko:K00030	amaa:amad1_04740
ko:K00674	amaa:amad1_04815
ko:K03442	amaa:amad1_05795
ko:K02342	amaa:amad1_05810
ko:K06149	amaa:amad1_10835
ko:K03796	amaa:amad1_10935
ko:K01011	amaa:amad1_10955
ko:K05812	amaa:amad1_10965
ko:K11179	amaa:amad1_11040
ko:K06889	amaa:amad1_11695
ko:K02017	amaa:amad1_11795
ko:K03635	amaa:amad1_11810
ko:K00845	amaa:amad1_12155
ko:K00845	amaa:amad1_12230
ko:K01243	amaa:amad1_12260
ko:K07004	amaa:amad1_12350
ko:K10563	amaa:amad1_00275
ko:K00639	amaa:amad1_00310
ko:K02441	amaa:amad1_00325
ko:K09806	amaa:amad1_00355
ko:K16012	amaa:amad1_00440
ko:K16013	amaa:amad1_00445
ko:K03386	amaa:amad1_00475
ko:K03451	amaa:amad1_00515
ko:K15725	amaa:amad1_00815
ko:K03406	amaa:amad1_00920
ko:K00799	amaa:amad1_00950
ko:K01507	amaa:amad1_01050
ko:K07665	amaa:amad1_01395
ko:K06282	amaa:amad1_01525
ko:K06281	amaa:amad1_01530
ko:K04652	amaa:amad1_01550
ko:K04655	amaa:amad1_01565
ko:K02665	amaa:amad1_02310
ko:K00027	amaa:amad1_02335
ko:K11209	amaa:amad1_02350
ko:K07640	amaa:amad1_02430
ko:K03087	amaa:amad1_02985
ko:K03406	amaa:amad1_03030
ko:K06177	amaa:amad1_03120
ko:K01515	amaa:amad1_03180
ko:K02014	amaa:amad1_03250
ko:K07657	amaa:amad1_03555
ko:K01243	amaa:amad1_03640
ko:K03406	amaa:amad1_03670
ko:K01525	amaa:amad1_03675
ko:K04763	amaa:amad1_03710
ko:K04765	amaa:amad1_03755
ko:K03406	amaa:amad1_04200
ko:K01479	amaa:amad1_04235
ko:K03455	amaa:amad1_04920
ko:K00575	amaa:amad1_05040
ko:K06603	amaa:amad1_05125
ko:K03793	amaa:amad1_08155
ko:K03606	amaa:amad1_08190
ko:K01104	amaa:amad1_08210
ko:K00626	amaa:amad1_08490
ko:K09749	amaa:amad1_08510
ko:K00647	amaa:amad1_12705
ko:K00657	amaa:amad1_12745
ko:K02014	amaa:amad1_16875
ko:K00666	amaa:amad1_16920
ko:K00380	amaa:amad1_16985
ko:K07304	amaa:amad1_17105
ko:K15460	amaa:amad1_17175
ko:K01278	amaa:amad1_17185
ko:K02014	amaa:amad1_17265
ko:K09020	amaa:amad1_17295
ko:K03317	amaa:amad1_17445
ko:K15725	amaa:amad1_01640
ko:K15727	amaa:amad1_01645
ko:K01560	amaa:amad1_01870
ko:K01048	amaa:amad1_02435
ko:K02014	amaa:amad1_03265
ko:K03406	amaa:amad1_03350
ko:K15576	amaa:amad1_03355
ko:K15577	amaa:amad1_03360
ko:K15578	amaa:amad1_03365
ko:K01409	amaa:amad1_03490
ko:K02806	amaa:amad1_03895
ko:K02067	amaa:amad1_03950
ko:K11105	amaa:amad1_04020
ko:K03298	amaa:amad1_04030
ko:K02428	amaa:amad1_04525
ko:K00974	amaa:amad1_04535
ko:K02450	amaa:amad1_04540
ko:K03743	amaa:amad1_04595
ko:K09697	amaa:amad1_04605
ko:K09696	amaa:amad1_04610
ko:K02193	amaa:amad1_04625
ko:K01854	amaa:amad1_05240
ko:K10942	amaa:amad1_05265
ko:K10943	amaa:amad1_05270
ko:K02414	amaa:amad1_05305
ko:K00548	amaa:amad1_05420
ko:K03469	amaa:amad1_08955
ko:K02342	amaa:amad1_08960
ko:K02348	amaa:amad1_09040
ko:K06179	amaa:amad1_09060
ko:K00059	amaa:amad1_09100
ko:K02619	amaa:amad1_09115
ko:K00626	amaa:amad1_09185
ko:K00045	amaa:amad1_09220
ko:K01724	amaa:amad1_09255
ko:K03177	amaa:amad1_09290
ko:K07004	amaa:amad1_09345
ko:K03386	amaa:amad1_09360
ko:K01424	amaa:amad1_09720
ko:K07258	amaa:amad1_09740
ko:K00219	amaa:amad1_12855
ko:K01692	amaa:amad1_12860
ko:K08305	amaa:amad1_12955
ko:K07167	amaa:amad1_13260
ko:K03803	amaa:amad1_13435
ko:K00088	amaa:amad1_13710
ko:K13628	amaa:amad1_13785
ko:K01092	amaa:amad1_13835
ko:K02004	amaa:amad1_13930
ko:K01077	amaa:amad1_13945
ko:K02014	amaa:amad1_14270
ko:K01692	amaa:amad1_14320
ko:K06970	amaa:amad1_14355
ko:K01759	amaa:amad1_14445
ko:K02014	amaa:amad1_14475
ko:K02342	amaa:amad1_17470
ko:K07182	amaa:amad1_17475
ko:K05844	amaa:amad1_17500
ko:K14683	amaa:amad1_17535
ko:K03406	amaa:amad1_17585
ko:K01113	amaa:amad1_18005
ko:K00383	amaa:amad1_18160
ko:K03307	amaa:amad1_09915
ko:K02014	amaa:amad1_10320
ko:K07116	amaa:amad1_10395
ko:K04774	amaa:amad1_10400
ko:K08992	amaa:amad1_11105
ko:K00568	amaa:amad1_11150
ko:K03548	amaa:amad1_11215
ko:K06445	amaa:amad1_11270
ko:K02427	amaa:amad1_09825
ko:K19226	amaa:amad1_05525
ko:K13693	amaa:amad1_11305
ko:K09017	amaa:amad1_17305
ko:K18820	amaa:amad1_19510
ko:K03764	amaa:amad1_18290
ko:K00029	amaa:amad1_18285
ko:K00297	amaa:amad1_18295
ko:K07773	amaa:amad1_01340
ko:K00703	amaa:amad1_01350
ko:K03439	amaa:amad1_01360
ko:K00826	amaa:amad1_01975
ko:K01681	amaa:amad1_01990
ko:K02946	amaa:amad1_02005
ko:K02906	amaa:amad1_02010
ko:K02926	amaa:amad1_02015
ko:K02892	amaa:amad1_02020
ko:K02886	amaa:amad1_02025
ko:K02965	amaa:amad1_02030
ko:K02890	amaa:amad1_02035
ko:K02982	amaa:amad1_02040
ko:K02878	amaa:amad1_02045
ko:K02904	amaa:amad1_02050
ko:K02961	amaa:amad1_02055
ko:K02527	amaa:amad1_02070
ko:K01284	amaa:amad1_02095
ko:K01433	amaa:amad1_02105
ko:K01975	amaa:amad1_02110
ko:K03579	amaa:amad1_02115
ko:K05365	amaa:amad1_02125
ko:K09781	amaa:amad1_02140
ko:K04752	amaa:amad1_02155
ko:K03320	amaa:amad1_02160
ko:K07223	amaa:amad1_02170
ko:K01207	amaa:amad1_02700
ko:K07106	amaa:amad1_02715
ko:K01775	amaa:amad1_02720
ko:K06193	amaa:amad1_02760
ko:K03829	amaa:amad1_02765
ko:K09803	amaa:amad1_02790
ko:K02492	amaa:amad1_02890
ko:K03303	amaa:amad1_02895
ko:K01825	amaa:amad1_02940
ko:K08309	amaa:amad1_02945
ko:K07238	amaa:amad1_02955
ko:K02523	amaa:amad1_02960
ko:K02888	amaa:amad1_02965
ko:K02899	amaa:amad1_02970
ko:K03979	amaa:amad1_02975
ko:K02902	amaa:amad1_00260
ko:K02913	amaa:amad1_00265
ko:K00954	amaa:amad1_00280
ko:K11211	amaa:amad1_00285
ko:K12982	amaa:amad1_00290
ko:K00060	amaa:amad1_00315
ko:K02439	amaa:amad1_00320
ko:K02415	amaa:amad1_00330
ko:K03181	amaa:amad1_00335
ko:K03179	amaa:amad1_00340
ko:K07726	amaa:amad1_00350
ko:K03656	amaa:amad1_00360
ko:K07154	amaa:amad1_00375
ko:K03315	amaa:amad1_00390
ko:K07112	amaa:amad1_00395
ko:K07112	amaa:amad1_00400
ko:K13771	amaa:amad1_00405
ko:K07090	amaa:amad1_00410
ko:K00426	amaa:amad1_00450
ko:K00425	amaa:amad1_00455
ko:K15726	amaa:amad1_00505
ko:K05596	amaa:amad1_00860
ko:K06895	amaa:amad1_00865
ko:K03585	amaa:amad1_00885
ko:K03654	amaa:amad1_00955
ko:K06213	amaa:amad1_00960
ko:K05786	amaa:amad1_00965
ko:K03657	amaa:amad1_00975
ko:K00640	amaa:amad1_00980
ko:K03733	amaa:amad1_00990
ko:K09921	amaa:amad1_00995
ko:K01778	amaa:amad1_01000
ko:K01586	amaa:amad1_01005
ko:K02553	amaa:amad1_01025
ko:K03186	amaa:amad1_01035
ko:K02558	amaa:amad1_01040
ko:K03841	amaa:amad1_01045
ko:K09950	amaa:amad1_01055
ko:K07107	amaa:amad1_01065
ko:K04046	amaa:amad1_01070
ko:K03701	amaa:amad1_01080
ko:K03575	amaa:amad1_01370
ko:K07644	amaa:amad1_01390
ko:K07798	amaa:amad1_01410
ko:K07787	amaa:amad1_01415
ko:K07156	amaa:amad1_01430
ko:K02305	amaa:amad1_01475
ko:K03618	amaa:amad1_01520
ko:K04653	amaa:amad1_01540
ko:K04651	amaa:amad1_01545
ko:K04654	amaa:amad1_01555
ko:K04656	amaa:amad1_01560
ko:K01845	amaa:amad1_02180
ko:K00609	amaa:amad1_02185
ko:K07678	amaa:amad1_02210
ko:K02621	amaa:amad1_02215
ko:K06447	amaa:amad1_02235
ko:K00673	amaa:amad1_02240
ko:K01867	amaa:amad1_02260
ko:K01783	amaa:amad1_02265
ko:K03112	amaa:amad1_02290
ko:K01735	amaa:amad1_02295
ko:K00891	amaa:amad1_02300
ko:K02666	amaa:amad1_02305
ko:K02662	amaa:amad1_02325
ko:K05366	amaa:amad1_02330
ko:K03781	amaa:amad1_02360
ko:K14682	amaa:amad1_02385
ko:K01755	amaa:amad1_02390
ko:K01940	amaa:amad1_02395
ko:K00611	amaa:amad1_02400
ko:K00930	amaa:amad1_02405
ko:K00145	amaa:amad1_02410
ko:K01734	amaa:amad1_02415
ko:K06194	amaa:amad1_02990
ko:K00573	amaa:amad1_03000
ko:K06176	amaa:amad1_03005
ko:K01770	amaa:amad1_03010
ko:K00991	amaa:amad1_03015
ko:K05589	amaa:amad1_03020
ko:K13821	amaa:amad1_03040
ko:K07184	amaa:amad1_03050
ko:K03573	amaa:amad1_03065
ko:K08311	amaa:amad1_03070
ko:K08484	amaa:amad1_03075
ko:K13292	amaa:amad1_03085
ko:K08218	amaa:amad1_03105
ko:K03580	amaa:amad1_03125
ko:K07175	amaa:amad1_03140
ko:K02302	amaa:amad1_03150
ko:K05592	amaa:amad1_03155
ko:K08714	amaa:amad1_03165
ko:K12340	amaa:amad1_03175
ko:K09920	amaa:amad1_03185
ko:K03651	amaa:amad1_03190
ko:K07000	amaa:amad1_03195
ko:K02622	amaa:amad1_03200
ko:K02356	amaa:amad1_03240
ko:K04568	amaa:amad1_03245
ko:K05782	amaa:amad1_03535
ko:K03554	amaa:amad1_03545
ko:K07636	amaa:amad1_03560
ko:K02040	amaa:amad1_03565
ko:K03561	amaa:amad1_03585
ko:K03561	amaa:amad1_03590
ko:K03832	amaa:amad1_03600
ko:K01682	amaa:amad1_03635
ko:K01682	amaa:amad1_03655
ko:K09005	amaa:amad1_03660
ko:K00928	amaa:amad1_03665
ko:K06195	amaa:amad1_03680
ko:K02528	amaa:amad1_03685
ko:K00097	amaa:amad1_03690
ko:K03771	amaa:amad1_03695
ko:K04744	amaa:amad1_03700
ko:K05801	amaa:amad1_03705
ko:K03981	amaa:amad1_03715
ko:K07462	amaa:amad1_03720
ko:K03584	amaa:amad1_03730
ko:K03474	amaa:amad1_03735
ko:K00997	amaa:amad1_03740
ko:K03215	amaa:amad1_03745
ko:K09790	amaa:amad1_03760
ko:K00021	amaa:amad1_03765
ko:K00927	amaa:amad1_04075
ko:K01623	amaa:amad1_04080
ko:K03585	amaa:amad1_04090
ko:K01524	amaa:amad1_04110
ko:K00937	amaa:amad1_04115
ko:K02037	amaa:amad1_04125
ko:K02038	amaa:amad1_04130
ko:K02036	amaa:amad1_04135
ko:K02039	amaa:amad1_04140
ko:K03306	amaa:amad1_04145
ko:K04761	amaa:amad1_04155
ko:K11068	amaa:amad1_04165
ko:K03547	amaa:amad1_04210
ko:K07862	amaa:amad1_04230
ko:K01468	amaa:amad1_04240
ko:K05836	amaa:amad1_04245
ko:K01712	amaa:amad1_04250
ko:K01745	amaa:amad1_04255
ko:K05805	amaa:amad1_04260
ko:K01962	amaa:amad1_04905
ko:K04075	amaa:amad1_04910
ko:K11991	amaa:amad1_04930
ko:K01952	amaa:amad1_04945
ko:K12542	amaa:amad1_04990
ko:K09860	amaa:amad1_05015
ko:K02399	amaa:amad1_05020
ko:K02398	amaa:amad1_05025
ko:K02386	amaa:amad1_05030
ko:K03415	amaa:amad1_05035
ko:K02387	amaa:amad1_05045
ko:K02388	amaa:amad1_05050
ko:K02389	amaa:amad1_05055
ko:K02390	amaa:amad1_05060
ko:K02391	amaa:amad1_05065
ko:K02392	amaa:amad1_05070
ko:K02393	amaa:amad1_05075
ko:K02394	amaa:amad1_05080
ko:K02395	amaa:amad1_05085
ko:K02396	amaa:amad1_05090
ko:K02397	amaa:amad1_05095
ko:K02406	amaa:amad1_05105
ko:K02406	amaa:amad1_05110
ko:K02406	amaa:amad1_05120
ko:K02407	amaa:amad1_05130
ko:K02422	amaa:amad1_05135
ko:K15894	amaa:amad1_05150
ko:K16345	amaa:amad1_08090
ko:K02083	amaa:amad1_08100
ko:K01868	amaa:amad1_08165
ko:K02520	amaa:amad1_08170
ko:K02916	amaa:amad1_08175
ko:K02887	amaa:amad1_08180
ko:K01889	amaa:amad1_08310
ko:K01890	amaa:amad1_08315
ko:K04764	amaa:amad1_08320
ko:K01434	amaa:amad1_08335
ko:K01207	amaa:amad1_08340
ko:K03723	amaa:amad1_08355
ko:K09808	amaa:amad1_08365
ko:K07101	amaa:amad1_08370
ko:K01142	amaa:amad1_08390
ko:K02426	amaa:amad1_08405
ko:K00975	amaa:amad1_08435
ko:K01640	amaa:amad1_08460
ko:K01968	amaa:amad1_08465
ko:K13766	amaa:amad1_08470
ko:K01969	amaa:amad1_08475
ko:K01556	amaa:amad1_08500
ko:K01141	amaa:amad1_08515
ko:K15726	amaa:amad1_01650
ko:K16264	amaa:amad1_01655
ko:K00901	amaa:amad1_01665
ko:K03760	amaa:amad1_01670
ko:K07156	amaa:amad1_01705
ko:K00604	amaa:amad1_01725
ko:K07233	amaa:amad1_01785
ko:K01194	amaa:amad1_01890
ko:K03216	amaa:amad1_02440
ko:K00057	amaa:amad1_02450
ko:K03071	amaa:amad1_02455
ko:K09798	amaa:amad1_02475
ko:K01126	amaa:amad1_02485
ko:K01613	amaa:amad1_02495
ko:K06949	amaa:amad1_02500
ko:K13288	amaa:amad1_02505
ko:K09897	amaa:amad1_02525
ko:K01652	amaa:amad1_02530
ko:K01653	amaa:amad1_02535
ko:K03116	amaa:amad1_02545
ko:K03117	amaa:amad1_02550
ko:K03118	amaa:amad1_02555
ko:K03424	amaa:amad1_02565
ko:K01698	amaa:amad1_02575
ko:K01524	amaa:amad1_02580
ko:K03732	amaa:amad1_02585
ko:K03671	amaa:amad1_02590
ko:K03628	amaa:amad1_02595
ko:K03313	amaa:amad1_02610
ko:K01588	amaa:amad1_02615
ko:K01589	amaa:amad1_02620
ko:K04047	amaa:amad1_02630
ko:K05838	amaa:amad1_02650
ko:K09937	amaa:amad1_02665
ko:K01939	amaa:amad1_02670
ko:K06991	amaa:amad1_02680
ko:K01273	amaa:amad1_03270
ko:K05527	amaa:amad1_03290
ko:K03321	amaa:amad1_03320
ko:K00362	amaa:amad1_03325
ko:K00363	amaa:amad1_03330
ko:K00372	amaa:amad1_03335
ko:K07023	amaa:amad1_03375
ko:K03673	amaa:amad1_03380
ko:K16092	amaa:amad1_03385
ko:K03086	amaa:amad1_03465
ko:K09117	amaa:amad1_03475
ko:K02970	amaa:amad1_03485
ko:K08591	amaa:amad1_03500
ko:K01633	amaa:amad1_03505
ko:K00950	amaa:amad1_03510
ko:K06153	amaa:amad1_03515
ko:K07243	amaa:amad1_03820
ko:K02871	amaa:amad1_03845
ko:K02996	amaa:amad1_03850
ko:K00411	amaa:amad1_03855
ko:K00412	amaa:amad1_03860
ko:K00413	amaa:amad1_03865
ko:K03599	amaa:amad1_03870
ko:K03600	amaa:amad1_03875
ko:K06213	amaa:amad1_03880
ko:K06958	amaa:amad1_03890
ko:K05808	amaa:amad1_03900
ko:K03092	amaa:amad1_03905
ko:K06861	amaa:amad1_03910
ko:K09774	amaa:amad1_03915
ko:K11719	amaa:amad1_03920
ko:K03270	amaa:amad1_03925
ko:K06041	amaa:amad1_03930
ko:K07301	amaa:amad1_03935
ko:K02065	amaa:amad1_03940
ko:K02066	amaa:amad1_03945
ko:K07323	amaa:amad1_03955
ko:K07122	amaa:amad1_03960
ko:K00790	amaa:amad1_03970
ko:K04691	amaa:amad1_03975
ko:K09908	amaa:amad1_03985
ko:K06916	amaa:amad1_03990
ko:K06886	amaa:amad1_04000
ko:K12257	amaa:amad1_04015
ko:K01999	amaa:amad1_04045
ko:K00789	amaa:amad1_04060
ko:K00615	amaa:amad1_04065
ko:K03472	amaa:amad1_04070
ko:K03427	amaa:amad1_04430
ko:K03427	amaa:amad1_04435
ko:K01154	amaa:amad1_04440
ko:K01153	amaa:amad1_04445
ko:K05590	amaa:amad1_04530
ko:K02451	amaa:amad1_04545
ko:K01704	amaa:amad1_04555
ko:K01703	amaa:amad1_04560
ko:K00052	amaa:amad1_04565
ko:K01649	amaa:amad1_04570
ko:K01689	amaa:amad1_04580
ko:K01937	amaa:amad1_04585
ko:K03555	amaa:amad1_04590
ko:K04061	amaa:amad1_04615
ko:K02194	amaa:amad1_04630
ko:K02195	amaa:amad1_04635
ko:K02196	amaa:amad1_04640
ko:K02406	amaa:amad1_05255
ko:K10941	amaa:amad1_05260
ko:K02408	amaa:amad1_05275
ko:K02409	amaa:amad1_05280
ko:K02410	amaa:amad1_05285
ko:K02411	amaa:amad1_05290
ko:K02412	amaa:amad1_05295
ko:K02413	amaa:amad1_05300
ko:K02415	amaa:amad1_05310
ko:K02416	amaa:amad1_05315
ko:K02417	amaa:amad1_05320
ko:K02418	amaa:amad1_05325
ko:K02419	amaa:amad1_05330
ko:K02420	amaa:amad1_05335
ko:K02421	amaa:amad1_05340
ko:K02401	amaa:amad1_05345
ko:K02400	amaa:amad1_05350
ko:K02404	amaa:amad1_05355
ko:K04562	amaa:amad1_05360
ko:K02405	amaa:amad1_05365
ko:K03413	amaa:amad1_05370
ko:K03414	amaa:amad1_05375
ko:K03407	amaa:amad1_05380
ko:K03412	amaa:amad1_05385
ko:K03408	amaa:amad1_05395
ko:K03408	amaa:amad1_05400
ko:K00651	amaa:amad1_05410
ko:K09913	amaa:amad1_05430
ko:K03576	amaa:amad1_05435
ko:K04761	amaa:amad1_05440
ko:K01673	amaa:amad1_05445
ko:K03321	amaa:amad1_05450
ko:K02167	amaa:amad1_05460
ko:K13051	amaa:amad1_08885
ko:K01083	amaa:amad1_08895
ko:K03578	amaa:amad1_08930
ko:K06969	amaa:amad1_08945
ko:K09808	amaa:amad1_08980
ko:K01484	amaa:amad1_08995
ko:K09912	amaa:amad1_09015
ko:K03752	amaa:amad1_09025
ko:K02379	amaa:amad1_09030
ko:K08300	amaa:amad1_09055
ko:K01091	amaa:amad1_09065
ko:K07040	amaa:amad1_09075
ko:K02911	amaa:amad1_09080
ko:K03621	amaa:amad1_09085
ko:K00648	amaa:amad1_09090
ko:K00645	amaa:amad1_09095
ko:K02078	amaa:amad1_09105
ko:K09458	amaa:amad1_09110
ko:K07082	amaa:amad1_09120
ko:K00943	amaa:amad1_09125
ko:K02341	amaa:amad1_09130
ko:K03424	amaa:amad1_09135
ko:K01283	amaa:amad1_09155
ko:K09940	amaa:amad1_09160
ko:K07516	amaa:amad1_09180
ko:K09748	amaa:amad1_09270
ko:K02600	amaa:amad1_09275
ko:K02519	amaa:amad1_09280
ko:K02834	amaa:amad1_09285
ko:K02956	amaa:amad1_09300
ko:K06182	amaa:amad1_09305
ko:K07394	amaa:amad1_09330
ko:K03387	amaa:amad1_09365
ko:K06134	amaa:amad1_09385
ko:K05777	amaa:amad1_09435
ko:K05778	amaa:amad1_09440
ko:K05779	amaa:amad1_09445
ko:K03664	amaa:amad1_09525
ko:K09801	amaa:amad1_09535
ko:K02168	amaa:amad1_09545
ko:K09773	amaa:amad1_09570
ko:K07303	amaa:amad1_09585
ko:K07302	amaa:amad1_09590
ko:K01756	amaa:amad1_09625
ko:K07153	amaa:amad1_09630
ko:K00566	amaa:amad1_09635
ko:K06181	amaa:amad1_09640
ko:K00031	amaa:amad1_09645
ko:K03704	amaa:amad1_09650
ko:K06891	amaa:amad1_09655
ko:K03694	amaa:amad1_09660
ko:K02518	amaa:amad1_09665
ko:K00684	amaa:amad1_09675
ko:K00384	amaa:amad1_09680
ko:K09899	amaa:amad1_09685
ko:K02742	amaa:amad1_09690
ko:K04773	amaa:amad1_09695
ko:K03644	amaa:amad1_09725
ko:K03801	amaa:amad1_09730
ko:K09158	amaa:amad1_09735
ko:K03642	amaa:amad1_09745
ko:K05837	amaa:amad1_09750
ko:K05515	amaa:amad1_09755
ko:K00783	amaa:amad1_09760
ko:K09710	amaa:amad1_09765
ko:K00969	amaa:amad1_09770
ko:K02340	amaa:amad1_09775
ko:K03643	amaa:amad1_09780
ko:K01869	amaa:amad1_09785
ko:K07574	amaa:amad1_09820
ko:K03798	amaa:amad1_09830
ko:K00796	amaa:amad1_09835
ko:K03431	amaa:amad1_09840
ko:K01803	amaa:amad1_09845
ko:K03075	amaa:amad1_09850
ko:K00262	amaa:amad1_09870
ko:K03168	amaa:amad1_09910
ko:K00931	amaa:amad1_09920
ko:K00147	amaa:amad1_09925
ko:K00962	amaa:amad1_09940
ko:K09948	amaa:amad1_09945
ko:K00239	amaa:amad1_10290
ko:K00240	amaa:amad1_10295
ko:K00164	amaa:amad1_10300
ko:K00658	amaa:amad1_10305
ko:K01903	amaa:amad1_10310
ko:K01902	amaa:amad1_10315
ko:K16211	amaa:amad1_10365
