ko:K18929	ccoi:YSU_00370
ko:K05810	ccoi:YSU_02915
ko:K00104	ccoi:YSU_02935
ko:K07058	ccoi:YSU_02940
ko:K02238	ccoi:YSU_02945
ko:K01934	ccoi:YSU_02960
ko:K03110	ccoi:YSU_02970
ko:K04485	ccoi:YSU_02995
ko:K02108	ccoi:YSU_03000
ko:K00297	ccoi:YSU_03010
ko:K00549	ccoi:YSU_03015
ko:K02073	ccoi:YSU_03020
ko:K07173	ccoi:YSU_03030
ko:K02434	ccoi:YSU_03035
ko:K00057	ccoi:YSU_03040
ko:K01465	ccoi:YSU_03045
ko:K03306	ccoi:YSU_03050
ko:K11103	ccoi:YSU_03060
ko:K03495	ccoi:YSU_03080
ko:K03893	ccoi:YSU_03085
ko:K00411	ccoi:YSU_03090
ko:K00412	ccoi:YSU_03095
ko:K00413	ccoi:YSU_03100
ko:K00574	ccoi:YSU_03105
ko:K02967	ccoi:YSU_03110
ko:K02357	ccoi:YSU_03115
ko:K02003	ccoi:YSU_03120
ko:K02421	ccoi:YSU_03125
ko:K09903	ccoi:YSU_06015
ko:K09811	ccoi:YSU_06025
ko:K09812	ccoi:YSU_06030
ko:K03439	ccoi:YSU_06035
ko:K05837	ccoi:YSU_06050
ko:K00384	ccoi:YSU_06090
ko:K00147	ccoi:YSU_06095
ko:K02356	ccoi:YSU_06105
ko:K02422	ccoi:YSU_06120
ko:K02407	ccoi:YSU_06125
ko:K06603	ccoi:YSU_06130
ko:K03182	ccoi:YSU_06135
ko:K01749	ccoi:YSU_06140
ko:K01649	ccoi:YSU_06145
ko:K01881	ccoi:YSU_06150
ko:K02492	ccoi:YSU_06155
ko:K02523	ccoi:YSU_06160
ko:K00177	ccoi:YSU_06175
ko:K00175	ccoi:YSU_06180
ko:K00174	ccoi:YSU_06185
ko:K00176	ccoi:YSU_06190
ko:K01902	ccoi:YSU_06195
ko:K01903	ccoi:YSU_06200
ko:K00024	ccoi:YSU_06205
ko:K00031	ccoi:YSU_06210
ko:K07082	ccoi:YSU_06220
ko:K02387	ccoi:YSU_06225
ko:K02388	ccoi:YSU_06230
ko:K02408	ccoi:YSU_06235
ko:K03587	ccoi:YSU_06240
ko:K03324	ccoi:YSU_06245
ko:K04079	ccoi:YSU_06260
ko:K06199	ccoi:YSU_06265
ko:K00655	ccoi:YSU_06270
ko:K01952	ccoi:YSU_06280
ko:K01952	ccoi:YSU_06285
ko:K18429	ccoi:YSU_02245
ko:K18430	ccoi:YSU_02250
ko:K15898	ccoi:YSU_02275
ko:K02501	ccoi:YSU_02285
ko:K02500	ccoi:YSU_02290
ko:K15896	ccoi:YSU_02295
ko:K00648	ccoi:YSU_02320
ko:K00648	ccoi:YSU_02380
ko:K15895	ccoi:YSU_02415
ko:K15894	ccoi:YSU_02420
ko:K01494	ccoi:YSU_02425
ko:K02160	ccoi:YSU_02430
ko:K01961	ccoi:YSU_02435
ko:K01885	ccoi:YSU_02445
ko:K00029	ccoi:YSU_02450
ko:K00761	ccoi:YSU_02455
ko:K11782	ccoi:YSU_02460
ko:K03499	ccoi:YSU_02465
ko:K03498	ccoi:YSU_02470
ko:K14652	ccoi:YSU_02490
ko:K09117	ccoi:YSU_02495
ko:K01652	ccoi:YSU_02500
ko:K01653	ccoi:YSU_02505
ko:K02536	ccoi:YSU_02510
ko:K07568	ccoi:YSU_02515
ko:K03118	ccoi:YSU_02520
ko:K03117	ccoi:YSU_02525
ko:K06180	ccoi:YSU_05460
ko:K02527	ccoi:YSU_05465
ko:K07164	ccoi:YSU_05470
ko:K01878	ccoi:YSU_05480
ko:K01588	ccoi:YSU_05490
ko:K08303	ccoi:YSU_05495
ko:K01915	ccoi:YSU_05505
ko:K02392	ccoi:YSU_05510
ko:K02392	ccoi:YSU_05515
ko:K03531	ccoi:YSU_05520
ko:K03590	ccoi:YSU_05525
ko:K03770	ccoi:YSU_05530
ko:K03438	ccoi:YSU_05535
ko:K00925	ccoi:YSU_05550
ko:K13788	ccoi:YSU_05555
ko:K02393	ccoi:YSU_05560
ko:K00860	ccoi:YSU_05570
ko:K07010	ccoi:YSU_05595
ko:K04066	ccoi:YSU_05605
ko:K03702	ccoi:YSU_05625
ko:K07792	ccoi:YSU_05630
ko:K03092	ccoi:YSU_05635
ko:K06861	ccoi:YSU_05640
ko:K06925	ccoi:YSU_05645
ko:K01940	ccoi:YSU_05655
ko:K02939	ccoi:YSU_05660
ko:K01419	ccoi:YSU_05665
ko:K03667	ccoi:YSU_05670
ko:K01262	ccoi:YSU_05690
ko:K05515	ccoi:YSU_05695
ko:K03978	ccoi:YSU_05705
ko:K09774	ccoi:YSU_05710
ko:K03270	ccoi:YSU_05720
ko:K03642	ccoi:YSU_05725
ko:K08307	ccoi:YSU_05730
ko:K03424	ccoi:YSU_05735
ko:K00014	ccoi:YSU_06860
ko:K03749	ccoi:YSU_06865
ko:K00600	ccoi:YSU_06875
ko:K04567	ccoi:YSU_06880
ko:K03711	ccoi:YSU_06885
ko:K03558	ccoi:YSU_06890
ko:K02435	ccoi:YSU_06895
ko:K03525	ccoi:YSU_06915
ko:K00116	ccoi:YSU_06920
ko:K00873	ccoi:YSU_06925
ko:K01875	ccoi:YSU_06940
ko:K01867	ccoi:YSU_06945
ko:K00891	ccoi:YSU_06950
ko:K03977	ccoi:YSU_06955
ko:K01627	ccoi:YSU_06965
ko:K00794	ccoi:YSU_06970
ko:K03625	ccoi:YSU_06975
ko:K01591	ccoi:YSU_06980
ko:K17247	ccoi:YSU_06995
ko:K09767	ccoi:YSU_07015
ko:K02970	ccoi:YSU_07035
ko:K03585	ccoi:YSU_07050
ko:K08973	ccoi:YSU_07075
ko:K03101	ccoi:YSU_07080
ko:K03431	ccoi:YSU_07085
ko:K00428	ccoi:YSU_07090
ko:K08591	ccoi:YSU_07095
ko:K01633	ccoi:YSU_07100
ko:K01524	ccoi:YSU_07115
ko:K02417	ccoi:YSU_07125
ko:K01695	ccoi:YSU_07135
ko:K02015	ccoi:YSU_00780
ko:K02014	ccoi:YSU_00785
ko:K07226	ccoi:YSU_00790
ko:K02835	ccoi:YSU_00795
ko:K02968	ccoi:YSU_00800
ko:K01095	ccoi:YSU_00805
ko:K00958	ccoi:YSU_00810
ko:K12506	ccoi:YSU_00815
ko:K03593	ccoi:YSU_00820
ko:K00674	ccoi:YSU_00825
ko:K11755	ccoi:YSU_00835
ko:K02500	ccoi:YSU_00840
ko:K01814	ccoi:YSU_00845
ko:K02501	ccoi:YSU_00850
ko:K01089	ccoi:YSU_00855
ko:K00013	ccoi:YSU_00860
ko:K00765	ccoi:YSU_00865
ko:K02879	ccoi:YSU_00870
ko:K03040	ccoi:YSU_00875
ko:K02986	ccoi:YSU_00880
ko:K02948	ccoi:YSU_00885
ko:K02952	ccoi:YSU_00890
ko:K02919	ccoi:YSU_00895
ko:K02518	ccoi:YSU_00900
ko:K06159	ccoi:YSU_00950
ko:K02035	ccoi:YSU_00970
ko:K02034	ccoi:YSU_00980
ko:K00330	ccoi:YSU_00995
ko:K00331	ccoi:YSU_01000
ko:K00332	ccoi:YSU_01005
ko:K00333	ccoi:YSU_01010
ko:K00334	ccoi:YSU_01015
ko:K00337	ccoi:YSU_01030
ko:K00338	ccoi:YSU_01035
ko:K00339	ccoi:YSU_01040
ko:K00340	ccoi:YSU_01045
ko:K00341	ccoi:YSU_01050
ko:K00773	ccoi:YSU_04025
ko:K09944	ccoi:YSU_04030
ko:K01735	ccoi:YSU_04035
ko:K08296	ccoi:YSU_04065
ko:K03086	ccoi:YSU_04070
ko:K03501	ccoi:YSU_04090
ko:K01497	ccoi:YSU_04095
ko:K01698	ccoi:YSU_04100
ko:K00611	ccoi:YSU_04105
ko:K09861	ccoi:YSU_04135
ko:K02030	ccoi:YSU_04145
ko:K01270	ccoi:YSU_04155
ko:K15257	ccoi:YSU_04175
ko:K02110	ccoi:YSU_04195
ko:K03308	ccoi:YSU_04200
ko:K03308	ccoi:YSU_04205
ko:K01960	ccoi:YSU_04210
ko:K01610	ccoi:YSU_04215
ko:K01755	ccoi:YSU_04220
ko:K06942	ccoi:YSU_04225
ko:K01255	ccoi:YSU_04230
ko:K00759	ccoi:YSU_04235
ko:K01808	ccoi:YSU_04245
ko:K03412	ccoi:YSU_04250
ko:K00575	ccoi:YSU_04255
ko:K10041	ccoi:YSU_04260
ko:K10039	ccoi:YSU_04265
ko:K10040	ccoi:YSU_04270
ko:K10040	ccoi:YSU_04275
ko:K00948	ccoi:YSU_04280
ko:K06200	ccoi:YSU_04285
ko:K10806	ccoi:YSU_04295
ko:K03530	ccoi:YSU_04305
ko:K01738	ccoi:YSU_04310
ko:K01696	ccoi:YSU_07140
ko:K03787	ccoi:YSU_07425
ko:K07238	ccoi:YSU_07460
ko:K00748	ccoi:YSU_07465
ko:K03624	ccoi:YSU_07470
ko:K03269	ccoi:YSU_07475
ko:K03415	ccoi:YSU_07480
ko:K03407	ccoi:YSU_07485
ko:K03408	ccoi:YSU_07490
ko:K01079	ccoi:YSU_07495
ko:K00616	ccoi:YSU_07500
ko:K01720	ccoi:YSU_07540
ko:K01659	ccoi:YSU_07545
ko:K03417	ccoi:YSU_07550
ko:K01908	ccoi:YSU_07555
ko:K03569	ccoi:YSU_07570
ko:K03544	ccoi:YSU_07575
ko:K00677	ccoi:YSU_07580
ko:K02372	ccoi:YSU_07585
ko:K09765	ccoi:YSU_07590
ko:K03564	ccoi:YSU_07595
ko:K01821	ccoi:YSU_07600
ko:K00826	ccoi:YSU_07605
ko:K03406	ccoi:YSU_07625
ko:K01465	ccoi:YSU_07640
ko:K00901	ccoi:YSU_07650
ko:K01142	ccoi:YSU_07660
ko:K03637	ccoi:YSU_07675
ko:K02887	ccoi:YSU_07700
ko:K02916	ccoi:YSU_07705
ko:K02012	ccoi:YSU_08010
ko:K02011	ccoi:YSU_08015
ko:K02010	ccoi:YSU_08020
ko:K00290	ccoi:YSU_08025
ko:K04564	ccoi:YSU_08030
ko:K00791	ccoi:YSU_08060
ko:K03179	ccoi:YSU_08065
ko:K03639	ccoi:YSU_08080
ko:K01737	ccoi:YSU_08090
ko:K09761	ccoi:YSU_08105
ko:K02909	ccoi:YSU_08110
ko:K07056	ccoi:YSU_08115
ko:K03218	ccoi:YSU_08120
ko:K14261	ccoi:YSU_08135
ko:K00003	ccoi:YSU_08140
ko:K07460	ccoi:YSU_08145
ko:K03671	ccoi:YSU_08150
ko:K00384	ccoi:YSU_08155
ko:K03406	ccoi:YSU_08165
ko:K09815	ccoi:YSU_08170
ko:K09817	ccoi:YSU_08175
ko:K09816	ccoi:YSU_08180
ko:K09748	ccoi:YSU_08205
ko:K02834	ccoi:YSU_08210
ko:K02519	ccoi:YSU_08215
ko:K00872	ccoi:YSU_08225
ko:K02535	ccoi:YSU_08235
ko:K04517	ccoi:YSU_08245
ko:K07277	ccoi:YSU_08250
ko:K01092	ccoi:YSU_08255
ko:K01963	ccoi:YSU_08260
ko:K00783	ccoi:YSU_08265
ko:K06204	ccoi:YSU_08270
ko:K05540	ccoi:YSU_08280
ko:K07042	ccoi:YSU_08295
ko:K02931	ccoi:YSU_08580
ko:K02895	ccoi:YSU_08585
ko:K02874	ccoi:YSU_08590
ko:K02961	ccoi:YSU_08595
ko:K02904	ccoi:YSU_08600
ko:K02878	ccoi:YSU_08605
ko:K02982	ccoi:YSU_08610
ko:K02890	ccoi:YSU_08615
ko:K02965	ccoi:YSU_08620
ko:K02886	ccoi:YSU_08625
ko:K02892	ccoi:YSU_08630
ko:K02926	ccoi:YSU_08635
ko:K02906	ccoi:YSU_08640
ko:K02946	ccoi:YSU_08645
ko:K06178	ccoi:YSU_08650
ko:K12574	ccoi:YSU_08655
ko:K02528	ccoi:YSU_08660
ko:K06941	ccoi:YSU_08670
ko:K01704	ccoi:YSU_08710
ko:K01703	ccoi:YSU_08715
ko:K00052	ccoi:YSU_08720
ko:K01649	ccoi:YSU_08725
ko:K09457	ccoi:YSU_08750
ko:K00651	ccoi:YSU_08760
ko:K07112	ccoi:YSU_08770
ko:K01740	ccoi:YSU_08775
ko:K02390	ccoi:YSU_08780
ko:K01159	ccoi:YSU_08785
ko:K07491	ccoi:YSU_08810
ko:K04075	ccoi:YSU_01655
ko:K09979	ccoi:YSU_01675
ko:K09688	ccoi:YSU_01680
ko:K09689	ccoi:YSU_01685
ko:K10107	ccoi:YSU_01690
ko:K06041	ccoi:YSU_01700
ko:K00957	ccoi:YSU_01730
ko:K00956	ccoi:YSU_01735
ko:K00860	ccoi:YSU_01745
ko:K01630	ccoi:YSU_01775
ko:K00058	ccoi:YSU_01780
ko:K01784	ccoi:YSU_01785
ko:K07266	ccoi:YSU_01830
ko:K07265	ccoi:YSU_01835
ko:K00997	ccoi:YSU_01855
ko:K02415	ccoi:YSU_01860
ko:K15778	ccoi:YSU_01865
ko:K09710	ccoi:YSU_01880
ko:K00969	ccoi:YSU_01885
ko:K00134	ccoi:YSU_01890
ko:K00927	ccoi:YSU_01895
ko:K01803	ccoi:YSU_01900
ko:K00208	ccoi:YSU_01905
ko:K05927	ccoi:YSU_01910
ko:K04759	ccoi:YSU_01915
ko:K04758	ccoi:YSU_01920
ko:K01756	ccoi:YSU_01930
ko:K01760	ccoi:YSU_01935
ko:K03326	ccoi:YSU_01940
ko:K06929	ccoi:YSU_04900
ko:K01754	ccoi:YSU_04905
ko:K06173	ccoi:YSU_04910
ko:K07091	ccoi:YSU_04915
ko:K02654	ccoi:YSU_04920
ko:K00806	ccoi:YSU_04925
ko:K13038	ccoi:YSU_04935
ko:K04042	ccoi:YSU_04940
ko:K02419	ccoi:YSU_04945
ko:K02030	ccoi:YSU_04960
ko:K00979	ccoi:YSU_04990
ko:K01733	ccoi:YSU_04995
ko:K00912	ccoi:YSU_05000
ko:K01916	ccoi:YSU_05005
ko:K00076	ccoi:YSU_05020
ko:K01714	ccoi:YSU_05025
ko:K00254	ccoi:YSU_05035
ko:K11085	ccoi:YSU_05040
ko:K01883	ccoi:YSU_05045
ko:K03980	ccoi:YSU_05050
ko:K03550	ccoi:YSU_05060
ko:K01921	ccoi:YSU_05065
ko:K01929	ccoi:YSU_05080
ko:K05939	ccoi:YSU_05085
ko:K07088	ccoi:YSU_05090
ko:K01433	ccoi:YSU_05095
ko:K00974	ccoi:YSU_05100
ko:K02570	ccoi:YSU_05135
ko:K02568	ccoi:YSU_05145
ko:K02574	ccoi:YSU_05150
ko:K02573	ccoi:YSU_05155
ko:K02567	ccoi:YSU_05160
ko:K11065	ccoi:YSU_05165
ko:K03657	ccoi:YSU_05175
ko:K01923	ccoi:YSU_06290
ko:K03797	ccoi:YSU_06295
ko:K03695	ccoi:YSU_06305
ko:K05366	ccoi:YSU_06310
ko:K06287	ccoi:YSU_06315
ko:K01872	ccoi:YSU_06320
ko:K13017	ccoi:YSU_06325
ko:K01772	ccoi:YSU_06340
ko:K03320	ccoi:YSU_06345
ko:K06917	ccoi:YSU_06350
ko:K01609	ccoi:YSU_06360
ko:K06940	ccoi:YSU_06370
ko:K02355	ccoi:YSU_06390
ko:K02992	ccoi:YSU_06395
ko:K02950	ccoi:YSU_06400
ko:K07248	ccoi:YSU_06405
ko:K03534	ccoi:YSU_06410
ko:K02429	ccoi:YSU_06420
ko:K18333	ccoi:YSU_06425
ko:K16850	ccoi:YSU_06435
ko:K16849	ccoi:YSU_06440
ko:K01714	ccoi:YSU_06445
ko:K03043	ccoi:YSU_06460
ko:K02935	ccoi:YSU_06465
ko:K02864	ccoi:YSU_06470
ko:K02863	ccoi:YSU_06475
ko:K02867	ccoi:YSU_06480
ko:K02601	ccoi:YSU_06485
ko:K03073	ccoi:YSU_06490
ko:K02913	ccoi:YSU_06500
ko:K02358	ccoi:YSU_06505
ko:K02028	ccoi:YSU_06530
ko:K02029	ccoi:YSU_06540
ko:K06886	ccoi:YSU_06550
ko:K03655	ccoi:YSU_06555
ko:K11784	ccoi:YSU_06565
ko:K08311	ccoi:YSU_02535
ko:K00928	ccoi:YSU_02540
ko:K02341	ccoi:YSU_02550
ko:K00796	ccoi:YSU_02555
ko:K01972	ccoi:YSU_02560
ko:K06442	ccoi:YSU_02570
ko:K15256	ccoi:YSU_02580
ko:K01173	ccoi:YSU_02595
ko:K10773	ccoi:YSU_02600
ko:K01624	ccoi:YSU_02610
ko:K02557	ccoi:YSU_02620
ko:K01104	ccoi:YSU_02630
ko:K01821	ccoi:YSU_02645
ko:K00962	ccoi:YSU_02660
ko:K04744	ccoi:YSU_02665
ko:K01945	ccoi:YSU_02675
ko:K01951	ccoi:YSU_02695
ko:K03703	ccoi:YSU_02710
ko:K01599	ccoi:YSU_02725
ko:K00097	ccoi:YSU_02740
ko:K03474	ccoi:YSU_02745
ko:K01524	ccoi:YSU_02750
ko:K01879	ccoi:YSU_02775
ko:K01091	ccoi:YSU_02780
ko:K03455	ccoi:YSU_02790
ko:K13640	ccoi:YSU_02795
ko:K05516	ccoi:YSU_02800
ko:K02484	ccoi:YSU_02815
ko:K03631	ccoi:YSU_05745
ko:K00858	ccoi:YSU_05750
ko:K01876	ccoi:YSU_05755
ko:K00939	ccoi:YSU_05760
ko:K01507	ccoi:YSU_05765
ko:K07304	ccoi:YSU_05770
ko:K07447	ccoi:YSU_05780
ko:K04096	ccoi:YSU_05785
ko:K09798	ccoi:YSU_05790
ko:K00053	ccoi:YSU_05795
ko:K12573	ccoi:YSU_05800
ko:K02340	ccoi:YSU_05805
ko:K04651	ccoi:YSU_05810
ko:K04655	ccoi:YSU_05815
ko:K04654	ccoi:YSU_05820
ko:K04653	ccoi:YSU_05825
ko:K04652	ccoi:YSU_05830
ko:K04656	ccoi:YSU_05835
ko:K07043	ccoi:YSU_05845
ko:K02036	ccoi:YSU_05860
ko:K02038	ccoi:YSU_05865
ko:K02037	ccoi:YSU_05870
ko:K02040	ccoi:YSU_05875
ko:K02217	ccoi:YSU_05880
ko:K09795	ccoi:YSU_05890
ko:K05685	ccoi:YSU_05905
ko:K13888	ccoi:YSU_05910
ko:K04084	ccoi:YSU_05925
ko:K03308	ccoi:YSU_05935
ko:K03686	ccoi:YSU_05945
ko:K02484	ccoi:YSU_05955
ko:K06187	ccoi:YSU_05960
ko:K03605	ccoi:YSU_05965
ko:K03620	ccoi:YSU_05970
ko:K05922	ccoi:YSU_05975
ko:K05927	ccoi:YSU_05980
ko:K01448	ccoi:YSU_05990
ko:K00459	ccoi:YSU_05995
ko:K01866	ccoi:YSU_06000
ko:K03060	ccoi:YSU_06010
ko:K01817	ccoi:YSU_07145
ko:K13497	ccoi:YSU_07150
ko:K01657	ccoi:YSU_07155
ko:K07090	ccoi:YSU_07160
ko:K03701	ccoi:YSU_07165
ko:K02556	ccoi:YSU_07195
ko:K02557	ccoi:YSU_07200
ko:K02401	ccoi:YSU_07205
ko:K03386	ccoi:YSU_07210
ko:K00940	ccoi:YSU_07220
ko:K02911	ccoi:YSU_07230
ko:K03621	ccoi:YSU_07235
ko:K00648	ccoi:YSU_07240
ko:K00342	ccoi:YSU_01055
ko:K00343	ccoi:YSU_01060
ko:K03406	ccoi:YSU_01070
ko:K03325	ccoi:YSU_01080
ko:K07089	ccoi:YSU_01095
ko:K06889	ccoi:YSU_01110
ko:K02846	ccoi:YSU_01135
ko:K03427	ccoi:YSU_01145
ko:K01154	ccoi:YSU_01155
ko:K01153	ccoi:YSU_01170
ko:K13979	ccoi:YSU_01175
ko:K03098	ccoi:YSU_01180
ko:K03923	ccoi:YSU_01190
ko:K07160	ccoi:YSU_01220
ko:K05772	ccoi:YSU_01225
ko:K05773	ccoi:YSU_01230
ko:K06857	ccoi:YSU_01235
ko:K01895	ccoi:YSU_01240
ko:K00963	ccoi:YSU_01245
ko:K01810	ccoi:YSU_01250
ko:K04047	ccoi:YSU_01255
ko:K07133	ccoi:YSU_01265
ko:K03796	ccoi:YSU_01270
ko:K01778	ccoi:YSU_01275
ko:K00859	ccoi:YSU_01280
ko:K01933	ccoi:YSU_01285
ko:K03326	ccoi:YSU_01295
ko:K03750	ccoi:YSU_01310
ko:K03635	ccoi:YSU_01315
ko:K03636	ccoi:YSU_01320
ko:K00831	ccoi:YSU_07245
ko:K03601	ccoi:YSU_07250
ko:K07795	ccoi:YSU_07255
ko:K07793	ccoi:YSU_07265
ko:K03183	ccoi:YSU_07270
ko:K09825	ccoi:YSU_07280
ko:K01662	ccoi:YSU_07285
ko:K02411	ccoi:YSU_07290
ko:K02410	ccoi:YSU_07295
ko:K02409	ccoi:YSU_07300
ko:K00817	ccoi:YSU_07305
ko:K14170	ccoi:YSU_07310
ko:K02566	ccoi:YSU_07315
ko:K01586	ccoi:YSU_07320
ko:K11720	ccoi:YSU_07325
ko:K01056	ccoi:YSU_07330
ko:K02897	ccoi:YSU_07335
ko:K01935	ccoi:YSU_07350
ko:K00833	ccoi:YSU_07355
ko:K00652	ccoi:YSU_07360
ko:K09789	ccoi:YSU_07365
ko:K02169	ccoi:YSU_07370
ko:K02020	ccoi:YSU_07375
ko:K02018	ccoi:YSU_07385
ko:K02017	ccoi:YSU_07390
ko:K00606	ccoi:YSU_07400
ko:K01918	ccoi:YSU_07405
ko:K01579	ccoi:YSU_07410
ko:K04487	ccoi:YSU_07715
ko:K13819	ccoi:YSU_07720
ko:K16052	ccoi:YSU_07725
ko:K01673	ccoi:YSU_07730
ko:K03075	ccoi:YSU_07740
ko:K02838	ccoi:YSU_07745
ko:K00762	ccoi:YSU_07750
ko:K00763	ccoi:YSU_07765
ko:K00573	ccoi:YSU_07775
ko:K00930	ccoi:YSU_07785
ko:K00145	ccoi:YSU_07795
ko:K07318	ccoi:YSU_07800
ko:K02520	ccoi:YSU_07805
ko:K01868	ccoi:YSU_07810
ko:K06153	ccoi:YSU_07815
ko:K05367	ccoi:YSU_07825
ko:K06894	ccoi:YSU_07830
ko:K07478	ccoi:YSU_07850
ko:K00215	ccoi:YSU_07855
ko:K00764	ccoi:YSU_07860
ko:K07052	ccoi:YSU_07865
ko:K03532	ccoi:YSU_07870
ko:K03406	ccoi:YSU_07885
ko:K02412	ccoi:YSU_07890
ko:K01495	ccoi:YSU_07895
ko:K03545	ccoi:YSU_07900
ko:K01358	ccoi:YSU_07905
ko:K01462	ccoi:YSU_07910
ko:K07391	ccoi:YSU_07915
ko:K11175	ccoi:YSU_07930
ko:K06193	ccoi:YSU_07955
ko:K08224	ccoi:YSU_07970
ko:K17938	ccoi:YSU_07975
ko:K03832	ccoi:YSU_07980
ko:K03559	ccoi:YSU_07985
ko:K03561	ccoi:YSU_07990
ko:K16087	ccoi:YSU_07995
ko:K18284	ccoi:YSU_08315
ko:K00645	ccoi:YSU_08320
ko:K03775	ccoi:YSU_08325
ko:K03640	ccoi:YSU_08335
ko:K03641	ccoi:YSU_08340
ko:K03832	ccoi:YSU_08345
ko:K03559	ccoi:YSU_08350
ko:K02114	ccoi:YSU_08360
ko:K02112	ccoi:YSU_08365
ko:K02115	ccoi:YSU_08370
ko:K02111	ccoi:YSU_08375
ko:K02109	ccoi:YSU_08385
ko:K02109	ccoi:YSU_08390
ko:K03524	ccoi:YSU_08405
ko:K00604	ccoi:YSU_08410
ko:K00931	ccoi:YSU_08435
ko:K01689	ccoi:YSU_08480
ko:K11785	ccoi:YSU_08490
ko:K02420	ccoi:YSU_08495
ko:K00075	ccoi:YSU_08500
ko:K01082	ccoi:YSU_08515
ko:K01647	ccoi:YSU_08520
ko:K01012	ccoi:YSU_08530
ko:K03168	ccoi:YSU_08535
ko:K03076	ccoi:YSU_08545
ko:K02876	ccoi:YSU_08550
ko:K02988	ccoi:YSU_08555
ko:K02881	ccoi:YSU_08560
ko:K02933	ccoi:YSU_08565
ko:K02994	ccoi:YSU_08570
ko:K02954	ccoi:YSU_08575
ko:K13747	ccoi:YSU_01330
ko:K07152	ccoi:YSU_04315
ko:K01775	ccoi:YSU_04340
ko:K03216	ccoi:YSU_04345
ko:K03310	ccoi:YSU_04350
ko:K02028	ccoi:YSU_04355
ko:K02029	ccoi:YSU_04360
ko:K03152	ccoi:YSU_04370
ko:K02503	ccoi:YSU_04375
ko:K01889	ccoi:YSU_04380
ko:K01890	ccoi:YSU_04385
ko:K00800	ccoi:YSU_04390
ko:K03527	ccoi:YSU_04395
ko:K02945	ccoi:YSU_04400
ko:K00058	ccoi:YSU_04410
