ko:K16235	bbrn:B2258_1059
ko:K07133	bbrn:B2258_0017
ko:K04047	bbrn:B2258_0018
ko:K03699	bbrn:B2258_0019
ko:K01673	bbrn:B2258_0021
ko:K03386	bbrn:B2258_0022
ko:K00384	bbrn:B2258_0023
ko:K07010	bbrn:B2258_0855
ko:K01489	bbrn:B2258_0856
ko:K01872	bbrn:B2258_0864
ko:K07447	bbrn:B2258_0865
ko:K07082	bbrn:B2258_0866
ko:K02654	bbrn:B2258_0867
ko:K01736	bbrn:B2258_0868
ko:K13829	bbrn:B2258_0869
ko:K03786	bbrn:B2258_0870
ko:K01937	bbrn:B2258_0871
ko:K09014	bbrn:B2258_0873
ko:K09015	bbrn:B2258_0874
ko:K09013	bbrn:B2258_0875
ko:K11717	bbrn:B2258_0876
ko:K04488	bbrn:B2258_0877
ko:K00975	bbrn:B2258_0879
ko:K09761	bbrn:B2258_0881
ko:K02503	bbrn:B2258_0882
ko:K07042	bbrn:B2258_0884
ko:K01897	bbrn:B2258_0887
ko:K00324	bbrn:B2258_0888
ko:K00324	bbrn:B2258_0889
ko:K00325	bbrn:B2258_0890
ko:K08177	bbrn:B2258_0891
ko:K02897	bbrn:B2258_0892
ko:K00826	bbrn:B2258_0893
ko:K02428	bbrn:B2258_0894
ko:K02968	bbrn:B2258_0896
ko:K03596	bbrn:B2258_0897
ko:K00265	bbrn:B2258_0902
ko:K00266	bbrn:B2258_0903
ko:K15580	bbrn:B2258_0905
ko:K16148	bbrn:B2258_0908
ko:K02013	bbrn:B2258_0909
ko:K02996	bbrn:B2258_1663
ko:K02871	bbrn:B2258_1664
ko:K00705	bbrn:B2258_1665
ko:K07282	bbrn:B2258_1669
ko:K05350	bbrn:B2258_1670
ko:K02026	bbrn:B2258_1671
ko:K02025	bbrn:B2258_1672
ko:K02027	bbrn:B2258_1673
ko:K02529	bbrn:B2258_1674
ko:K11939	bbrn:B2258_1676
ko:K02346	bbrn:B2258_1678
ko:K03294	bbrn:B2258_1681
ko:K00075	bbrn:B2258_1682
ko:K02913	bbrn:B2258_1683
ko:K04078	bbrn:B2258_1684
ko:K03790	bbrn:B2258_1686
ko:K01934	bbrn:B2258_1687
ko:K02935	bbrn:B2258_1693
ko:K02864	bbrn:B2258_1694
ko:K06901	bbrn:B2258_1696
ko:K02036	bbrn:B2258_1697
ko:K02038	bbrn:B2258_1698
ko:K02037	bbrn:B2258_1699
ko:K02040	bbrn:B2258_1700
ko:K07776	bbrn:B2258_1701
ko:K07768	bbrn:B2258_1702
ko:K01243	bbrn:B2258_1704
ko:K01626	bbrn:B2258_1705
ko:K01626	bbrn:B2258_1706
ko:K12112	bbrn:B2258_1707
ko:K12111	bbrn:B2258_1708
ko:K01838	bbrn:B2258_1709
ko:K00845	bbrn:B2258_1468
ko:K10805	bbrn:B2258_1471
ko:K13940	bbrn:B2258_1473
ko:K00796	bbrn:B2258_1474
ko:K01495	bbrn:B2258_1475
ko:K03798	bbrn:B2258_1476
ko:K00760	bbrn:B2258_1477
ko:K04075	bbrn:B2258_1478
ko:K07259	bbrn:B2258_1479
ko:K01992	bbrn:B2258_1480
ko:K01990	bbrn:B2258_1481
ko:K00048	bbrn:B2258_1485
ko:K00574	bbrn:B2258_1486
ko:K03439	bbrn:B2258_1487
ko:K00688	bbrn:B2258_0812
ko:K01443	bbrn:B2258_0813
ko:K02564	bbrn:B2258_0814
ko:K01792	bbrn:B2258_0817
ko:K06871	bbrn:B2258_0820
ko:K07090	bbrn:B2258_0821
ko:K07090	bbrn:B2258_0823
ko:K03306	bbrn:B2258_0831
ko:K07220	bbrn:B2258_0832
ko:K03655	bbrn:B2258_0839
ko:K05995	bbrn:B2258_0842
ko:K08281	bbrn:B2258_0843
ko:K07727	bbrn:B2258_0847
ko:K03816	bbrn:B2258_0849
ko:K03657	bbrn:B2258_0850
ko:K02004	bbrn:B2258_0852
ko:K02003	bbrn:B2258_0853
ko:K02986	bbrn:B2258_0854
ko:K07243	bbrn:B2258_0201
ko:K07230	bbrn:B2258_0202
ko:K02004	bbrn:B2258_0204
ko:K02004	bbrn:B2258_0205
ko:K02003	bbrn:B2258_0206
ko:K01421	bbrn:B2258_0209
ko:K01421	bbrn:B2258_0210
ko:K00033	bbrn:B2258_0212
ko:K01057	bbrn:B2258_0213
ko:K00036	bbrn:B2258_0215
ko:K17836	bbrn:B2258_0216
ko:K08659	bbrn:B2258_0217
ko:K03110	bbrn:B2258_0220
ko:K03320	bbrn:B2258_0221
ko:K04751	bbrn:B2258_0222
ko:K00990	bbrn:B2258_0223
ko:K07009	bbrn:B2258_0227
ko:K09815	bbrn:B2258_0531
ko:K03688	bbrn:B2258_0229
ko:K06997	bbrn:B2258_0231
ko:K00948	bbrn:B2258_0232
ko:K02990	bbrn:B2258_0233
ko:K02963	bbrn:B2258_0235
ko:K02939	bbrn:B2258_0236
ko:K01990	bbrn:B2258_0241
ko:K02357	bbrn:B2258_1073
ko:K02967	bbrn:B2258_1074
ko:K01462	bbrn:B2258_1075
ko:K01897	bbrn:B2258_1076
ko:K00088	bbrn:B2258_1078
ko:K00031	bbrn:B2258_1079
ko:K01409	bbrn:B2258_1094
ko:K03789	bbrn:B2258_1095
ko:K06925	bbrn:B2258_1097
ko:K02340	bbrn:B2258_1098
ko:K02237	bbrn:B2258_1100
ko:K01869	bbrn:B2258_1101
ko:K03284	bbrn:B2258_1103
ko:K01834	bbrn:B2258_1104
ko:K07006	bbrn:B2258_1106
ko:K09704	bbrn:B2258_1110
ko:K02026	bbrn:B2258_1116
ko:K02025	bbrn:B2258_1117
ko:K02027	bbrn:B2258_1118
ko:K01191	bbrn:B2258_1119
ko:K01191	bbrn:B2258_1120
ko:K01191	bbrn:B2258_1121
ko:K03767	bbrn:B2258_1128
ko:K12410	bbrn:B2258_1868
ko:K01754	bbrn:B2258_1869
ko:K01182	bbrn:B2258_1870
ko:K10119	bbrn:B2258_1872
ko:K10118	bbrn:B2258_1873
ko:K10117	bbrn:B2258_1874
ko:K07407	bbrn:B2258_1876
ko:K11991	bbrn:B2258_1877
ko:K03316	bbrn:B2258_1878
ko:K07090	bbrn:B2258_1879
ko:K06999	bbrn:B2258_1880
ko:K01494	bbrn:B2258_1882
ko:K02803	bbrn:B2258_1887
ko:K02804	bbrn:B2258_1887
ko:K03218	bbrn:B2258_1889
ko:K01792	bbrn:B2258_1890
ko:K00965	bbrn:B2258_1891
ko:K07284	bbrn:B2258_1894
ko:K10112	bbrn:B2258_1897
ko:K03710	bbrn:B2258_1898
ko:K03475	bbrn:B2258_1899
ko:K02822	bbrn:B2258_1900
ko:K02821	bbrn:B2258_1901
ko:K03647	bbrn:B2258_1906
ko:K05349	bbrn:B2258_1910
ko:K05349	bbrn:B2258_1913
ko:K02528	bbrn:B2258_1917
ko:K00919	bbrn:B2258_1918
ko:K03671	bbrn:B2258_0430
ko:K03426	bbrn:B2258_0433
ko:K02437	bbrn:B2258_0434
ko:K01354	bbrn:B2258_0436
ko:K00052	bbrn:B2258_0437
ko:K03800	bbrn:B2258_0438
ko:K00226	bbrn:B2258_0442
ko:K00965	bbrn:B2258_0444
ko:K00849	bbrn:B2258_0445
ko:K07166	bbrn:B2258_0446
ko:K09157	bbrn:B2258_0447
ko:K03216	bbrn:B2258_0448
ko:K03575	bbrn:B2258_0449
ko:K03043	bbrn:B2258_0451
ko:K03046	bbrn:B2258_0452
ko:K03657	bbrn:B2258_0458
ko:K00215	bbrn:B2258_0460
ko:K01714	bbrn:B2258_0461
ko:K12574	bbrn:B2258_0462
ko:K01256	bbrn:B2258_0463
ko:K03431	bbrn:B2258_0464
ko:K01462	bbrn:B2258_0465
ko:K02836	bbrn:B2258_0467
ko:K09812	bbrn:B2258_0468
ko:K09811	bbrn:B2258_0469
ko:K01992	bbrn:B2258_1283
ko:K00878	bbrn:B2258_1286
ko:K03147	bbrn:B2258_1287
ko:K13525	bbrn:B2258_1288
ko:K00941	bbrn:B2258_1289
ko:K08369	bbrn:B2258_1291
ko:K02529	bbrn:B2258_1296
ko:K02532	bbrn:B2258_1297
ko:K01193	bbrn:B2258_1298
ko:K00886	bbrn:B2258_1299
ko:K07574	bbrn:B2258_1304
ko:K08972	bbrn:B2258_1305
ko:K07478	bbrn:B2258_1312
ko:K06895	bbrn:B2258_1316
ko:K10007	bbrn:B2258_1318
ko:K10006	bbrn:B2258_1319
ko:K10005	bbrn:B2258_1320
ko:K10008	bbrn:B2258_1321
ko:K01876	bbrn:B2258_1323
ko:K01892	bbrn:B2258_1324
ko:K01470	bbrn:B2258_1327
ko:K03762	bbrn:B2258_1328
ko:K01485	bbrn:B2258_1331
ko:K03696	bbrn:B2258_1332
ko:K03704	bbrn:B2258_1335
ko:K02484	bbrn:B2258_1336
ko:K01915	bbrn:B2258_0638
ko:K00382	bbrn:B2258_0640
ko:K16925	bbrn:B2258_0643
ko:K16786	bbrn:B2258_0644
ko:K16787	bbrn:B2258_0644
ko:K01784	bbrn:B2258_0024
ko:K06330	bbrn:B2258_0030
ko:K03655	bbrn:B2258_0036
ko:K01595	bbrn:B2258_0038
ko:K11928	bbrn:B2258_0040
ko:K01867	bbrn:B2258_0043
ko:K00688	bbrn:B2258_0047
ko:K01664	bbrn:B2258_0053
ko:K01278	bbrn:B2258_0061
ko:K01048	bbrn:B2258_0062
ko:K12267	bbrn:B2258_0068
ko:K03574	bbrn:B2258_0074
ko:K11068	bbrn:B2258_0076
ko:K00773	bbrn:B2258_0077
ko:K08372	bbrn:B2258_0078
ko:K00528	bbrn:B2258_0080
ko:K03564	bbrn:B2258_0911
ko:K07133	bbrn:B2258_0918
ko:K03707	bbrn:B2258_0927
ko:K06999	bbrn:B2258_0929
ko:K07442	bbrn:B2258_0930
ko:K08296	bbrn:B2258_0931
ko:K00549	bbrn:B2258_0933
ko:K00297	bbrn:B2258_0934
ko:K01442	bbrn:B2258_0935
ko:K00982	bbrn:B2258_0936
ko:K00609	bbrn:B2258_0937
ko:K00610	bbrn:B2258_0938
ko:K01465	bbrn:B2258_0939
ko:K01591	bbrn:B2258_0940
ko:K02823	bbrn:B2258_0941
ko:K17828	bbrn:B2258_0942
ko:K00762	bbrn:B2258_0943
ko:K16926	bbrn:B2258_0952
ko:K11358	bbrn:B2258_0953
ko:K03701	bbrn:B2258_0954
ko:K03703	bbrn:B2258_0955
ko:K00014	bbrn:B2258_0956
ko:K06958	bbrn:B2258_0957
ko:K09762	bbrn:B2258_0958
ko:K00927	bbrn:B2258_0959
ko:K01803	bbrn:B2258_0960
ko:K03075	bbrn:B2258_0961
ko:K00016	bbrn:B2258_0962
ko:K14260	bbrn:B2258_0964
ko:K03311	bbrn:B2258_0966
ko:K00616	bbrn:B2258_0967
ko:K02026	bbrn:B2258_1712
ko:K02025	bbrn:B2258_1713
ko:K02027	bbrn:B2258_1714
ko:K05595	bbrn:B2258_1716
ko:K01372	bbrn:B2258_1717
ko:K01372	bbrn:B2258_1718
ko:K01304	bbrn:B2258_1720
ko:K08303	bbrn:B2258_1723
ko:K00554	bbrn:B2258_1724
ko:K08316	bbrn:B2258_1725
ko:K03655	bbrn:B2258_1726
ko:K02902	bbrn:B2258_1727
ko:K06902	bbrn:B2258_1729
ko:K11533	bbrn:B2258_1739
ko:K11263	bbrn:B2258_1741
ko:K03523	bbrn:B2258_1742
ko:K03524	bbrn:B2258_1743
ko:K02863	bbrn:B2258_1746
ko:K02867	bbrn:B2258_1747
ko:K02601	bbrn:B2258_1749
ko:K03073	bbrn:B2258_1750
ko:K00931	bbrn:B2258_1753
ko:K03979	bbrn:B2258_1754
ko:K02899	bbrn:B2258_1755
ko:K02888	bbrn:B2258_1756
ko:K01439	bbrn:B2258_1758
ko:K07088	bbrn:B2258_1759
ko:K16785	bbrn:B2258_0645
ko:K03437	bbrn:B2258_0646
ko:K01889	bbrn:B2258_0647
ko:K01890	bbrn:B2258_0648
ko:K00145	bbrn:B2258_0650
ko:K00620	bbrn:B2258_0651
ko:K00930	bbrn:B2258_0652
ko:K00611	bbrn:B2258_0654
ko:K03402	bbrn:B2258_0655
ko:K01940	bbrn:B2258_0656
ko:K01755	bbrn:B2258_0660
ko:K03154	bbrn:B2258_0661
ko:K03149	bbrn:B2258_0662
ko:K06950	bbrn:B2258_0665
ko:K01866	bbrn:B2258_0668
ko:K06442	bbrn:B2258_0672
ko:K03499	bbrn:B2258_0674
ko:K00858	bbrn:B2258_0676
ko:K03631	bbrn:B2258_0677
ko:K07979	bbrn:B2258_0680
ko:K01990	bbrn:B2258_0681
ko:K01733	bbrn:B2258_0685
ko:K00147	bbrn:B2258_0686
ko:K00969	bbrn:B2258_0688
ko:K01207	bbrn:B2258_0689
ko:K09118	bbrn:B2258_0690
ko:K03823	bbrn:B2258_0691
ko:K01056	bbrn:B2258_0692
ko:K03723	bbrn:B2258_0693
ko:K02529	bbrn:B2258_1504
ko:K02003	bbrn:B2258_1506
ko:K01990	bbrn:B2258_1526
ko:K01990	bbrn:B2258_1545
ko:K01953	bbrn:B2258_1547
ko:K06147	bbrn:B2258_1549
ko:K02003	bbrn:B2258_1550
ko:K02004	bbrn:B2258_1551
ko:K01354	bbrn:B2258_1556
ko:K02440	bbrn:B2258_0249
ko:K17686	bbrn:B2258_0250
ko:K09760	bbrn:B2258_0252
ko:K01990	bbrn:B2258_0255
ko:K02435	bbrn:B2258_0258
ko:K02433	bbrn:B2258_0259
ko:K02434	bbrn:B2258_0260
ko:K03628	bbrn:B2258_0264
ko:K02619	bbrn:B2258_0266
ko:K10188	bbrn:B2258_0269
ko:K10189	bbrn:B2258_0270
ko:K10190	bbrn:B2258_0271
ko:K07407	bbrn:B2258_0272
ko:K04092	bbrn:B2258_0273
ko:K01873	bbrn:B2258_0275
ko:K10773	bbrn:B2258_0277
ko:K01507	bbrn:B2258_0281
ko:K16147	bbrn:B2258_0282
ko:K00651	bbrn:B2258_0284
ko:K02108	bbrn:B2258_0285
ko:K02110	bbrn:B2258_0286
ko:K02109	bbrn:B2258_0287
ko:K02113	bbrn:B2258_0288
ko:K02111	bbrn:B2258_0289
ko:K02115	bbrn:B2258_0290
ko:K02112	bbrn:B2258_0291
ko:K02114	bbrn:B2258_0292
ko:K07503	bbrn:B2258_0293
ko:K05838	bbrn:B2258_0297
ko:K00057	bbrn:B2258_0302
ko:K00951	bbrn:B2258_1129
ko:K02469	bbrn:B2258_1134
ko:K02027	bbrn:B2258_1136
ko:K03724	bbrn:B2258_1140
ko:K00852	bbrn:B2258_1141
ko:K02470	bbrn:B2258_1143
ko:K03086	bbrn:B2258_1144
ko:K13787	bbrn:B2258_1146
ko:K00655	bbrn:B2258_1148
ko:K00766	bbrn:B2258_1150
ko:K03070	bbrn:B2258_1151
ko:K03565	bbrn:B2258_1153
ko:K03743	bbrn:B2258_1157
ko:K00995	bbrn:B2258_1158
ko:K03466	bbrn:B2258_1159
ko:K04095	bbrn:B2258_1160
ko:K00791	bbrn:B2258_1161
ko:K06168	bbrn:B2258_1162
ko:K06890	bbrn:B2258_1165
ko:K01681	bbrn:B2258_1168
ko:K01142	bbrn:B2258_1174
ko:K02031	bbrn:B2258_1175
ko:K02032	bbrn:B2258_1175
ko:K15582	bbrn:B2258_1176
ko:K15581	bbrn:B2258_1177
ko:K15580	bbrn:B2258_1178
ko:K03733	bbrn:B2258_1179
ko:K02003	bbrn:B2258_1180
ko:K00970	bbrn:B2258_1920
ko:K03980	bbrn:B2258_1923
ko:K00384	bbrn:B2258_1924
ko:K03501	bbrn:B2258_1927
ko:K06346	bbrn:B2258_1928
ko:K03217	bbrn:B2258_1929
ko:K03536	bbrn:B2258_1930
ko:K02914	bbrn:B2258_1931
ko:K03664	bbrn:B2258_0471
ko:K02030	bbrn:B2258_0472
ko:K02030	bbrn:B2258_0473
ko:K02029	bbrn:B2258_0474
ko:K02028	bbrn:B2258_0475
ko:K00820	bbrn:B2258_0476
ko:K06177	bbrn:B2258_0477
ko:K02025	bbrn:B2258_0479
ko:K02026	bbrn:B2258_0480
ko:K12308	bbrn:B2258_0481
ko:K02027	bbrn:B2258_0482
ko:K02027	bbrn:B2258_0483
ko:K03525	bbrn:B2258_0484
ko:K02035	bbrn:B2258_0485
ko:K02033	bbrn:B2258_0486
ko:K02034	bbrn:B2258_0487
ko:K01697	bbrn:B2258_0490
ko:K01739	bbrn:B2258_0491
ko:K03654	bbrn:B2258_0492
ko:K07173	bbrn:B2258_0493
ko:K03294	bbrn:B2258_0495
ko:K01775	bbrn:B2258_0496
ko:K01129	bbrn:B2258_0497
ko:K06215	bbrn:B2258_0501
ko:K08681	bbrn:B2258_0502
ko:K02027	bbrn:B2258_0510
ko:K01182	bbrn:B2258_0512
ko:K15580	bbrn:B2258_0514
ko:K12267	bbrn:B2258_0515
ko:K02003	bbrn:B2258_0516
ko:K01662	bbrn:B2258_0519
ko:K01588	bbrn:B2258_0521
ko:K01589	bbrn:B2258_0522
ko:K03711	bbrn:B2258_0523
ko:K04077	bbrn:B2258_1340
ko:K03704	bbrn:B2258_1341
ko:K03648	bbrn:B2258_1343
ko:K03924	bbrn:B2258_1344
ko:K07114	bbrn:B2258_1348
ko:K01756	bbrn:B2258_1352
ko:K03530	bbrn:B2258_1354
ko:K13571	bbrn:B2258_1355
ko:K01092	bbrn:B2258_1357
ko:K17195	bbrn:B2258_1359
ko:K02770	bbrn:B2258_1360
ko:K02769	bbrn:B2258_1361
ko:K02768	bbrn:B2258_1362
ko:K13527	bbrn:B2258_1366
ko:K01079	bbrn:B2258_1368
ko:K04066	bbrn:B2258_1369
ko:K07025	bbrn:B2258_1370
ko:K00604	bbrn:B2258_1371
ko:K01687	bbrn:B2258_1372
ko:K03060	bbrn:B2258_1373
ko:K00789	bbrn:B2258_1374
ko:K15342	bbrn:B2258_1385
ko:K01870	bbrn:B2258_1392
ko:K00852	bbrn:B2258_1393
ko:K06726	bbrn:B2258_1394
ko:K10439	bbrn:B2258_1395
ko:K01689	bbrn:B2258_0695
ko:K09009	bbrn:B2258_0697
ko:K01524	bbrn:B2258_0698
ko:K01752	bbrn:B2258_0700
ko:K03624	bbrn:B2258_0702
ko:K11068	bbrn:B2258_0703
ko:K03466	bbrn:B2258_0706
ko:K00700	bbrn:B2258_0716
ko:K07736	bbrn:B2258_0717
ko:K01770	bbrn:B2258_0718
ko:K02075	bbrn:B2258_0719
ko:K02074	bbrn:B2258_0720
ko:K02077	bbrn:B2258_0721
ko:K01491	bbrn:B2258_0722
ko:K02945	bbrn:B2258_0723
ko:K00859	bbrn:B2258_0724
ko:K03702	bbrn:B2258_0725
ko:K05794	bbrn:B2258_0726
ko:K00873	bbrn:B2258_0727
ko:K01515	bbrn:B2258_0728
ko:K00800	bbrn:B2258_0741
ko:K00925	bbrn:B2258_0742
ko:K13788	bbrn:B2258_0743
ko:K00948	bbrn:B2258_0744
ko:K16209	bbrn:B2258_1566
ko:K01190	bbrn:B2258_1567
ko:K02529	bbrn:B2258_1568
ko:K02027	bbrn:B2258_1570
ko:K02004	bbrn:B2258_1573
ko:K02004	bbrn:B2258_1574
ko:K02003	bbrn:B2258_1575
ko:K01104	bbrn:B2258_1576
ko:K00831	bbrn:B2258_1584
ko:K02039	bbrn:B2258_1587
ko:K01834	bbrn:B2258_1588
ko:K02548	bbrn:B2258_1589
ko:K04567	bbrn:B2258_1590
ko:K01784	bbrn:B2258_1599
ko:K15533	bbrn:B2258_1601
ko:K02026	bbrn:B2258_1602
ko:K02025	bbrn:B2258_1603
ko:K02027	bbrn:B2258_1604
ko:K01875	bbrn:B2258_1605
ko:K03488	bbrn:B2258_1607
ko:K03799	bbrn:B2258_0081
ko:K01624	bbrn:B2258_0084
ko:K01939	bbrn:B2258_0085
ko:K06199	bbrn:B2258_0088
ko:K06199	bbrn:B2258_0089
ko:K03484	bbrn:B2258_0090
ko:K00690	bbrn:B2258_0092
ko:K03484	bbrn:B2258_0094
ko:K00053	bbrn:B2258_0096
ko:K00053	bbrn:B2258_0097
ko:K01187	bbrn:B2258_0098
ko:K07284	bbrn:B2258_0102
ko:K00705	bbrn:B2258_0103
ko:K05343	bbrn:B2258_0104
ko:K15770	bbrn:B2258_0105
ko:K15771	bbrn:B2258_0106
ko:K15772	bbrn:B2258_0107
ko:K04043	bbrn:B2258_0111
ko:K03687	bbrn:B2258_0112
ko:K03686	bbrn:B2258_0113
ko:K13640	bbrn:B2258_0114
ko:K00059	bbrn:B2258_0117
ko:K03975	bbrn:B2258_0119
ko:K02283	bbrn:B2258_0121
ko:K12510	bbrn:B2258_0122
ko:K02343	bbrn:B2258_0129
ko:K06187	bbrn:B2258_0130
ko:K07284	bbrn:B2258_0131
ko:K03655	bbrn:B2258_0133
ko:K00928	bbrn:B2258_0134
ko:K00928	bbrn:B2258_0135
ko:K00133	bbrn:B2258_0136
ko:K00615	bbrn:B2258_0968
ko:K03705	bbrn:B2258_0969
ko:K03686	bbrn:B2258_0970
ko:K06153	bbrn:B2258_0972
ko:K01868	bbrn:B2258_0974
ko:K01159	bbrn:B2258_0977
ko:K03550	bbrn:B2258_0978
ko:K03551	bbrn:B2258_0979
ko:K03210	bbrn:B2258_0980
ko:K00759	bbrn:B2258_0981
ko:K01903	bbrn:B2258_0982
ko:K01902	bbrn:B2258_0983
ko:K00602	bbrn:B2258_0985
ko:K06188	bbrn:B2258_0987
ko:K06178	bbrn:B2258_0988
ko:K03977	bbrn:B2258_0989
ko:K00963	bbrn:B2258_0991
ko:K03727	bbrn:B2258_0994
ko:K01091	bbrn:B2258_0996
ko:K00765	bbrn:B2258_1005
ko:K01523	bbrn:B2258_1006
ko:K01783	bbrn:B2258_1007
ko:K01695	bbrn:B2258_1009
ko:K01696	bbrn:B2258_1010
ko:K01696	bbrn:B2258_1011
ko:K01151	bbrn:B2258_1013
ko:K02429	bbrn:B2258_1762
ko:K18333	bbrn:B2258_1763
ko:K18334	bbrn:B2258_1764
ko:K02003	bbrn:B2258_1767
ko:K06287	bbrn:B2258_1770
ko:K00872	bbrn:B2258_1771
ko:K00003	bbrn:B2258_1772
ko:K02803	bbrn:B2258_1773
ko:K02804	bbrn:B2258_1773
ko:K01586	bbrn:B2258_1775
ko:K01887	bbrn:B2258_1776
ko:K00790	bbrn:B2258_1779
ko:K16957	bbrn:B2258_1781
ko:K16958	bbrn:B2258_1782
ko:K16959	bbrn:B2258_1783
ko:K01704	bbrn:B2258_1789
ko:K01703	bbrn:B2258_1790
ko:K00937	bbrn:B2258_1793
ko:K02026	bbrn:B2258_1797
ko:K02025	bbrn:B2258_1798
ko:K02027	bbrn:B2258_1799
ko:K00761	bbrn:B2258_1801
ko:K00783	bbrn:B2258_1802
ko:K01885	bbrn:B2258_1804
ko:K03695	bbrn:B2258_1806
ko:K01854	bbrn:B2258_1811
ko:K01921	bbrn:B2258_0303
ko:K02055	bbrn:B2258_0304
ko:K02054	bbrn:B2258_0305
ko:K02053	bbrn:B2258_0306
ko:K02052	bbrn:B2258_0307
ko:K01744	bbrn:B2258_0310
ko:K07090	bbrn:B2258_0312
ko:K06871	bbrn:B2258_0313
ko:K02027	bbrn:B2258_0316
ko:K02025	bbrn:B2258_0317
ko:K02026	bbrn:B2258_0318
ko:K07133	bbrn:B2258_0319
ko:K00567	bbrn:B2258_0323
ko:K00997	bbrn:B2258_0324
ko:K05341	bbrn:B2258_0325
ko:K02956	bbrn:B2258_0335
ko:K00962	bbrn:B2258_0336
ko:K02003	bbrn:B2258_0337
ko:K03744	bbrn:B2258_0339
ko:K02860	bbrn:B2258_0348
ko:K06960	bbrn:B2258_0349
ko:K02959	bbrn:B2258_0350
ko:K03106	bbrn:B2258_0352
ko:K01883	bbrn:B2258_0354
ko:K02004	bbrn:B2258_1181
ko:K04517	bbrn:B2258_1183
ko:K14170	bbrn:B2258_1184
ko:K06207	bbrn:B2258_1186
ko:K02003	bbrn:B2258_1188
ko:K02004	bbrn:B2258_1189
ko:K04487	bbrn:B2258_1191
ko:K00767	bbrn:B2258_1192
ko:K00278	bbrn:B2258_1193
ko:K03517	bbrn:B2258_1194
ko:K06024	bbrn:B2258_1196
ko:K05896	bbrn:B2258_1197
ko:K04763	bbrn:B2258_1199
ko:K00865	bbrn:B2258_1200
ko:K03299	bbrn:B2258_1201
ko:K02647	bbrn:B2258_1202
ko:K02887	bbrn:B2258_1203
ko:K02916	bbrn:B2258_1204
ko:K02520	bbrn:B2258_1205
ko:K00949	bbrn:B2258_1207
ko:K00134	bbrn:B2258_1208
ko:K03527	bbrn:B2258_1210
ko:K03088	bbrn:B2258_1214
ko:K01928	bbrn:B2258_1215
ko:K03529	bbrn:B2258_1219
ko:K11754	bbrn:B2258_1220
ko:K01262	bbrn:B2258_1221
ko:K01443	bbrn:B2258_1223
ko:K02564	bbrn:B2258_1224
ko:K00847	bbrn:B2258_1228
ko:K07560	bbrn:B2258_1230
ko:K03589	bbrn:B2258_1231
ko:K01924	bbrn:B2258_1232
ko:K02003	bbrn:B2258_0526
ko:K07089	bbrn:B2258_0530
ko:K02911	bbrn:B2258_0532
ko:K02919	bbrn:B2258_0533
ko:K02909	bbrn:B2258_0534
ko:K02077	bbrn:B2258_0535
ko:K00128	bbrn:B2258_0537
ko:K01945	bbrn:B2258_0538
ko:K01933	bbrn:B2258_0539
ko:K00764	bbrn:B2258_0540
ko:K01952	bbrn:B2258_0552
ko:K01923	bbrn:B2258_0553
ko:K08289	bbrn:B2258_0554
ko:K08969	bbrn:B2258_0555
ko:K01620	bbrn:B2258_0557
ko:K03453	bbrn:B2258_0558
ko:K02950	bbrn:B2258_0559
ko:K02992	bbrn:B2258_0560
