ko:K19079	saue:RSAU_000637
ko:K10563	saue:RSAU_001547
ko:K07658	saue:RSAU_001551
ko:K00027	saue:RSAU_001559
ko:K06286	saue:RSAU_001574
ko:K00058	saue:RSAU_001580
ko:K00158	saue:RSAU_002380
ko:K00054	saue:RSAU_002385
ko:K01641	saue:RSAU_002386
ko:K00567	saue:RSAU_002388
ko:K04086	saue:RSAU_002389
ko:K06994	saue:RSAU_002393
ko:K00294	saue:RSAU_002395
ko:K07213	saue:RSAU_002399
ko:K10209	saue:RSAU_002402
ko:K07035	saue:RSAU_002411
ko:K07032	saue:RSAU_002415
ko:K03708	saue:RSAU_000473
ko:K09698	saue:RSAU_000479
ko:K00639	saue:RSAU_000502
ko:K00853	saue:RSAU_000504
ko:K07305	saue:RSAU_001302
ko:K07304	saue:RSAU_001303
ko:K03469	saue:RSAU_001311
ko:K03700	saue:RSAU_001321
ko:K02086	saue:RSAU_001325
ko:K00974	saue:RSAU_001329
ko:K00805	saue:RSAU_001340
ko:K07491	saue:RSAU_001346
ko:K07052	saue:RSAU_002151
ko:K09705	saue:RSAU_000646
ko:K16013	saue:RSAU_000660
ko:K07025	saue:RSAU_000568
ko:K05565	saue:RSAU_000578
ko:K05568	saue:RSAU_000581
ko:K05570	saue:RSAU_000583
ko:K03316	saue:RSAU_000585
ko:K03709	saue:RSAU_000590
ko:K09693	saue:RSAU_000593
ko:K07258	saue:RSAU_000598
ko:K02246	saue:RSAU_001406
ko:K02245	saue:RSAU_001407
ko:K02244	saue:RSAU_001408
ko:K02243	saue:RSAU_001409
ko:K00845	saue:RSAU_001412
ko:K02076	saue:RSAU_001419
ko:K01489	saue:RSAU_001433
ko:K00374	saue:RSAU_002232
ko:K02303	saue:RSAU_002236
ko:K09815	saue:RSAU_002244
ko:K01834	saue:RSAU_002255
ko:K00652	saue:RSAU_002263
ko:K16012	saue:RSAU_000661
ko:K06934	saue:RSAU_000669
ko:K03976	saue:RSAU_000672
ko:K03436	saue:RSAU_000673
ko:K02238	saue:RSAU_001452
ko:K06948	saue:RSAU_001461
ko:K01243	saue:RSAU_001463
ko:K06147	saue:RSAU_002268
ko:K06147	saue:RSAU_002269
ko:K03929	saue:RSAU_002291
ko:K12942	saue:RSAU_002311
ko:K01226	saue:RSAU_000409
ko:K03486	saue:RSAU_000410
ko:K09685	saue:RSAU_000433
ko:K02499	saue:RSAU_000444
ko:K02033	saue:RSAU_001262
ko:K05822	saue:RSAU_001276
ko:K00939	saue:RSAU_002065
ko:K03635	saue:RSAU_002105
ko:K02017	saue:RSAU_002111
ko:K00882	saue:RSAU_000674
ko:K01664	saue:RSAU_000688
ko:K02619	saue:RSAU_000690
ko:K05845	saue:RSAU_000697
ko:K05846	saue:RSAU_000697
ko:K03647	saue:RSAU_000705
ko:K01258	saue:RSAU_000718
ko:K02851	saue:RSAU_000722
ko:K07584	saue:RSAU_001507
ko:K04763	saue:RSAU_001519
ko:K02236	saue:RSAU_001521
ko:K07120	saue:RSAU_001525
ko:K01719	saue:RSAU_001528
ko:K11144	saue:RSAU_001542
ko:K03346	saue:RSAU_001543
ko:K03574	saue:RSAU_002333
ko:K01835	saue:RSAU_002334
ko:K03299	saue:RSAU_002342
ko:K00851	saue:RSAU_002343
ko:K03535	saue:RSAU_002349
ko:K07104	saue:RSAU_002363
ko:K17216	saue:RSAU_000392
ko:K09976	saue:RSAU_001225
ko:K05020	saue:RSAU_001231
ko:K12574	saue:RSAU_001158
ko:K12574	saue:RSAU_000974
ko:K09692	saue:RSAU_000594
ko:K05565	saue:RSAU_000829
ko:K11070	saue:RSAU_000986
ko:K01897	saue:RSAU_000179
ko:K00265	saue:RSAU_000405
ko:K00951	saue:RSAU_001495
ko:K00950	saue:RSAU_000455
ko:K04567	saue:RSAU_000456
ko:K00375	saue:RSAU_000469
ko:K06215	saue:RSAU_000470
ko:K08681	saue:RSAU_000471
ko:K11535	saue:RSAU_000472
ko:K03696	saue:RSAU_000476
ko:K04485	saue:RSAU_000477
ko:K00640	saue:RSAU_000480
ko:K01883	saue:RSAU_000481
ko:K11145	saue:RSAU_000482
ko:K03218	saue:RSAU_000483
ko:K06962	saue:RSAU_000484
ko:K03091	saue:RSAU_000485
ko:K02913	saue:RSAU_000486
ko:K03073	saue:RSAU_000487
ko:K02601	saue:RSAU_000488
ko:K02867	saue:RSAU_000489
ko:K02863	saue:RSAU_000490
ko:K02864	saue:RSAU_000491
ko:K02935	saue:RSAU_000492
ko:K03043	saue:RSAU_000494
ko:K03046	saue:RSAU_000495
ko:K07590	saue:RSAU_000496
ko:K02950	saue:RSAU_000497
ko:K02992	saue:RSAU_000498
ko:K02355	saue:RSAU_000499
ko:K02358	saue:RSAU_000500
ko:K05523	saue:RSAU_000503
ko:K00826	saue:RSAU_000506
ko:K01091	saue:RSAU_000507
ko:K15519	saue:RSAU_000508
ko:K15518	saue:RSAU_000509
ko:K11991	saue:RSAU_000510
ko:K03797	saue:RSAU_001299
ko:K09125	saue:RSAU_001310
ko:K07444	saue:RSAU_001317
ko:K05366	saue:RSAU_001322
ko:K10773	saue:RSAU_001324
ko:K01893	saue:RSAU_001326
ko:K03524	saue:RSAU_001328
ko:K06973	saue:RSAU_001332
ko:K00800	saue:RSAU_001336
ko:K01735	saue:RSAU_001337
ko:K01736	saue:RSAU_001338
ko:K00940	saue:RSAU_001339
ko:K03183	saue:RSAU_001341
ko:K03530	saue:RSAU_001343
ko:K00057	saue:RSAU_001344
ko:K03977	saue:RSAU_001345
ko:K02020	saue:RSAU_002113
ko:K02379	saue:RSAU_002114
ko:K03523	saue:RSAU_002116
ko:K02016	saue:RSAU_002118
ko:K08717	saue:RSAU_002120
ko:K01430	saue:RSAU_002121
ko:K01429	saue:RSAU_002122
ko:K01428	saue:RSAU_002123
ko:K03187	saue:RSAU_002124
ko:K03188	saue:RSAU_002125
ko:K03189	saue:RSAU_002126
ko:K03190	saue:RSAU_002127
ko:K03315	saue:RSAU_002133
ko:K09940	saue:RSAU_002135
ko:K00123	saue:RSAU_002146
ko:K03453	saue:RSAU_002157
ko:K02749	saue:RSAU_002159
ko:K02750	saue:RSAU_002159
ko:K03481	saue:RSAU_002160
ko:K02768	saue:RSAU_000675
ko:K02769	saue:RSAU_000675
ko:K02770	saue:RSAU_000675
ko:K01443	saue:RSAU_000676
ko:K10681	saue:RSAU_000680
ko:K10682	saue:RSAU_000681
ko:K16937	saue:RSAU_000682
ko:K10026	saue:RSAU_000685
ko:K01737	saue:RSAU_000686
ko:K06920	saue:RSAU_000687
ko:K01665	saue:RSAU_000689
ko:K15738	saue:RSAU_000694
ko:K03654	saue:RSAU_000695
ko:K05847	saue:RSAU_000696
ko:K00817	saue:RSAU_000698
ko:K03305	saue:RSAU_000702
ko:K09457	saue:RSAU_000703
ko:K02015	saue:RSAU_000708
ko:K02015	saue:RSAU_000709
ko:K02013	saue:RSAU_000710
ko:K02016	saue:RSAU_000711
ko:K00075	saue:RSAU_000713
ko:K00865	saue:RSAU_000717
ko:K07462	saue:RSAU_001497
ko:K12257	saue:RSAU_001498
ko:K03210	saue:RSAU_001499
ko:K00773	saue:RSAU_001500
ko:K07568	saue:RSAU_001501
ko:K03551	saue:RSAU_001502
ko:K03550	saue:RSAU_001503
ko:K06209	saue:RSAU_001504
ko:K03979	saue:RSAU_001505
ko:K02899	saue:RSAU_001506
ko:K03571	saue:RSAU_001509
ko:K03570	saue:RSAU_001510
ko:K01534	saue:RSAU_001515
ko:K03630	saue:RSAU_001520
ko:K11754	saue:RSAU_001522
ko:K01873	saue:RSAU_001523
ko:K01246	saue:RSAU_001524
ko:K01845	saue:RSAU_001526
ko:K01698	saue:RSAU_001527
ko:K01749	saue:RSAU_001529
ko:K02497	saue:RSAU_001530
ko:K02492	saue:RSAU_001531
ko:K03978	saue:RSAU_001532
ko:K03544	saue:RSAU_001533
ko:K03545	saue:RSAU_001534
ko:K02887	saue:RSAU_001537
ko:K02916	saue:RSAU_001538
ko:K02520	saue:RSAU_001539
ko:K11733	saue:RSAU_001540
ko:K01868	saue:RSAU_001541
ko:K07738	saue:RSAU_001544
ko:K00134	saue:RSAU_001545
ko:K00859	saue:RSAU_001546
ko:K00963	saue:RSAU_002339
ko:K13732	saue:RSAU_002341
ko:K11476	saue:RSAU_002344
ko:K04041	saue:RSAU_002357
ko:K06999	saue:RSAU_002359
ko:K15975	saue:RSAU_002360
ko:K15973	saue:RSAU_002361
ko:K06975	saue:RSAU_002362
ko:K03778	saue:RSAU_002365
ko:K03070	saue:RSAU_000728
ko:K02836	saue:RSAU_000729
ko:K07023	saue:RSAU_000731
ko:K03702	saue:RSAU_000733
ko:K03701	saue:RSAU_000734
ko:K13292	saue:RSAU_000736
ko:K00384	saue:RSAU_000739
ko:K01358	saue:RSAU_000744
ko:K07071	saue:RSAU_000746
ko:K05311	saue:RSAU_000749
ko:K00134	saue:RSAU_000750
ko:K00927	saue:RSAU_000751
ko:K01803	saue:RSAU_000752
ko:K15633	saue:RSAU_000753
ko:K01689	saue:RSAU_000754
ko:K03075	saue:RSAU_000756
ko:K03928	saue:RSAU_000757
ko:K12573	saue:RSAU_000758
ko:K03664	saue:RSAU_000759
ko:K03704	saue:RSAU_000770
ko:K06895	saue:RSAU_000776
ko:K07636	saue:RSAU_001550
ko:K00031	saue:RSAU_001552
ko:K01647	saue:RSAU_001553
ko:K11737	saue:RSAU_001554
ko:K00873	saue:RSAU_001555
ko:K00850	saue:RSAU_001556
ko:K01962	saue:RSAU_001557
ko:K01963	saue:RSAU_001558
ko:K02337	saue:RSAU_001560
ko:K00259	saue:RSAU_001566
ko:K00925	saue:RSAU_001568
ko:K11065	saue:RSAU_001570
ko:K04564	saue:RSAU_000087
ko:K01839	saue:RSAU_000093
ko:K02042	saue:RSAU_000094
ko:K02042	saue:RSAU_000095
ko:K02041	saue:RSAU_000096
ko:K02044	saue:RSAU_000097
ko:K04072	saue:RSAU_000102
ko:K13012	saue:RSAU_000115
ko:K02472	saue:RSAU_000117
ko:K09790	saue:RSAU_000120
ko:K16264	saue:RSAU_000122
ko:K08996	saue:RSAU_000132
ko:K02829	saue:RSAU_000945
ko:K02828	saue:RSAU_000946
ko:K02827	saue:RSAU_000947
ko:K02826	saue:RSAU_000948
ko:K01491	saue:RSAU_000950
ko:K01588	saue:RSAU_000951
ko:K01589	saue:RSAU_000952
ko:K01923	saue:RSAU_000953
ko:K01952	saue:RSAU_000955
ko:K01952	saue:RSAU_000956
ko:K00764	saue:RSAU_000957
ko:K01933	saue:RSAU_000958
ko:K11175	saue:RSAU_000959
ko:K00602	saue:RSAU_000960
ko:K01945	saue:RSAU_000961
ko:K16785	saue:RSAU_000962
ko:K16786	saue:RSAU_000963
ko:K16787	saue:RSAU_000963
ko:K16925	saue:RSAU_000964
ko:K06969	saue:RSAU_000967
ko:K00425	saue:RSAU_000971
ko:K00426	saue:RSAU_000972
ko:K01462	saue:RSAU_000976
ko:K00161	saue:RSAU_000978
ko:K00162	saue:RSAU_000979
ko:K00627	saue:RSAU_000980
ko:K00382	saue:RSAU_000981
ko:K03565	saue:RSAU_001760
ko:K04478	saue:RSAU_001761
ko:K05520	saue:RSAU_001762
ko:K07058	saue:RSAU_001770
ko:K07681	saue:RSAU_001772
ko:K01265	saue:RSAU_001775
ko:K02217	saue:RSAU_001780
ko:K02346	saue:RSAU_001782
ko:K02434	saue:RSAU_001786
ko:K02435	saue:RSAU_001788
ko:K01972	saue:RSAU_001791
ko:K03657	saue:RSAU_001792
ko:K01756	saue:RSAU_001795
ko:K08258	saue:RSAU_001796
ko:K00763	saue:RSAU_001800
ko:K00491	saue:RSAU_001801
ko:K14445	saue:RSAU_001803
ko:K14194	saue:RSAU_000517
ko:K09007	saue:RSAU_000520
ko:K08094	saue:RSAU_000525
ko:K03762	saue:RSAU_000527
ko:K00868	saue:RSAU_000531
ko:K03648	saue:RSAU_000532
ko:K16869	saue:RSAU_000541
ko:K06885	saue:RSAU_000560
ko:K01887	saue:RSAU_000564
ko:K02016	saue:RSAU_000566
ko:K02015	saue:RSAU_000567
ko:K02945	saue:RSAU_001347
ko:K00945	saue:RSAU_001348
ko:K03654	saue:RSAU_001352
ko:K07651	saue:RSAU_001359
ko:K07775	saue:RSAU_001360
ko:K06178	saue:RSAU_001361
ko:K06024	saue:RSAU_001362
ko:K05896	saue:RSAU_001363
ko:K07124	saue:RSAU_001369
ko:K00286	saue:RSAU_001370
ko:K00036	saue:RSAU_001372
ko:K00167	saue:RSAU_001383
ko:K00166	saue:RSAU_001384
ko:K00382	saue:RSAU_001385
ko:K03631	saue:RSAU_001386
ko:K03402	saue:RSAU_001387
ko:K13789	saue:RSAU_001388
ko:K03602	saue:RSAU_001389
ko:K03601	saue:RSAU_001390
ko:K03625	saue:RSAU_001391
ko:K01961	saue:RSAU_001393
ko:K02160	saue:RSAU_001394
ko:K02356	saue:RSAU_001395
ko:K01468	saue:RSAU_002166
ko:K01712	saue:RSAU_002167
ko:K01807	saue:RSAU_002171
ko:K09771	saue:RSAU_002174
ko:K03652	saue:RSAU_002178
ko:K03312	saue:RSAU_002179
ko:K03284	saue:RSAU_002181
ko:K07107	saue:RSAU_002182
ko:K07552	saue:RSAU_002189
ko:K09814	saue:RSAU_002194
ko:K09813	saue:RSAU_002195
ko:K00116	saue:RSAU_002203
ko:K03303	saue:RSAU_002204
ko:K07090	saue:RSAU_001571
ko:K03151	saue:RSAU_001572
ko:K04487	saue:RSAU_001573
ko:K02986	saue:RSAU_001576
ko:K01126	saue:RSAU_001577
ko:K02803	saue:RSAU_001582
ko:K02804	saue:RSAU_001582
ko:K00655	saue:RSAU_001583
ko:K01866	saue:RSAU_001585
ko:K12551	saue:RSAU_001586
ko:K01938	saue:RSAU_001588
ko:K01895	saue:RSAU_001589
ko:K04766	saue:RSAU_001590
ko:K04768	saue:RSAU_001591
ko:K02529	saue:RSAU_001592
ko:K13853	saue:RSAU_001593
ko:K01924	saue:RSAU_001597
ko:K16917	saue:RSAU_002367
ko:K16916	saue:RSAU_002368
ko:K03823	saue:RSAU_002370
ko:K01752	saue:RSAU_002372
ko:K01752	saue:RSAU_002373
ko:K07107	saue:RSAU_002378
ko:K04759	saue:RSAU_002391
ko:K04758	saue:RSAU_002392
ko:K03778	saue:RSAU_002400
ko:K10208	saue:RSAU_002403
ko:K10211	saue:RSAU_002404
ko:K10210	saue:RSAU_002405
ko:K07243	saue:RSAU_000290
ko:K03118	saue:RSAU_000291
ko:K03116	saue:RSAU_000292
ko:K00549	saue:RSAU_000301
ko:K06942	saue:RSAU_000308
ko:K02990	saue:RSAU_000310
ko:K02963	saue:RSAU_000312
ko:K03387	saue:RSAU_000323
ko:K06956	saue:RSAU_000326
ko:K03816	saue:RSAU_000332
ko:K16169	saue:RSAU_000333
ko:K01951	saue:RSAU_000335
ko:K02838	saue:RSAU_001141
ko:K00806	saue:RSAU_001142
ko:K00981	saue:RSAU_001143
ko:K11749	saue:RSAU_001144
ko:K01881	saue:RSAU_001145
ko:K03763	saue:RSAU_001146
ko:K09748	saue:RSAU_001147
ko:K02600	saue:RSAU_001148
ko:K07742	saue:RSAU_001150
ko:K02519	saue:RSAU_001152
ko:K02834	saue:RSAU_001153
ko:K11753	saue:RSAU_001155
ko:K02956	saue:RSAU_001156
ko:K00962	saue:RSAU_001157
ko:K03466	saue:RSAU_001159
ko:K00995	saue:RSAU_001166
ko:K09769	saue:RSAU_001171
ko:K00174	saue:RSAU_001172
ko:K00175	saue:RSAU_001173
ko:K06168	saue:RSAU_001175
ko:K03555	saue:RSAU_001178
ko:K03572	saue:RSAU_001179
ko:K02440	saue:RSAU_001182
ko:K00864	saue:RSAU_001183
ko:K00111	saue:RSAU_001184
ko:K00791	saue:RSAU_001186
ko:K03666	saue:RSAU_001187
ko:K00432	saue:RSAU_001188
ko:K03665	saue:RSAU_001189
ko:K01915	saue:RSAU_001192
ko:K00790	saue:RSAU_001962
ko:K01624	saue:RSAU_001963
ko:K01937	saue:RSAU_001965
ko:K07173	saue:RSAU_001972
ko:K00756	saue:RSAU_001974
ko:K04047	saue:RSAU_001977
ko:K01809	saue:RSAU_001980
ko:K16264	saue:RSAU_001983
ko:K02013	saue:RSAU_001990
ko:K00820	saue:RSAU_001991
ko:K00009	saue:RSAU_001995
ko:K03431	saue:RSAU_001997
ko:K01476	saue:RSAU_002000
ko:K03785	saue:RSAU_000779
ko:K02437	saue:RSAU_000783
ko:K07476	saue:RSAU_000785
ko:K02071	saue:RSAU_000787
ko:K02072	saue:RSAU_000788
ko:K02073	saue:RSAU_000789
ko:K09013	saue:RSAU_000792
ko:K09015	saue:RSAU_000793
ko:K11717	saue:RSAU_000794
ko:K09014	saue:RSAU_000796
ko:K00459	saue:RSAU_000799
ko:K07090	saue:RSAU_000801
ko:K03644	saue:RSAU_000803
ko:K03367	saue:RSAU_000809
ko:K03739	saue:RSAU_000810
ko:K14188	saue:RSAU_000811
ko:K03740	saue:RSAU_000812
ko:K03885	saue:RSAU_000815
ko:K03885	saue:RSAU_000818
ko:K01255	saue:RSAU_000819
ko:K07084	saue:RSAU_000820
ko:K05571	saue:RSAU_000823
ko:K05569	saue:RSAU_000825
ko:K05567	saue:RSAU_000827
ko:K05566	saue:RSAU_000828
ko:K06347	saue:RSAU_000830
ko:K03466	saue:RSAU_001598
ko:K06878	saue:RSAU_001599
ko:K03439	saue:RSAU_001605
ko:K00824	saue:RSAU_001607
ko:K07007	saue:RSAU_001612
ko:K01869	saue:RSAU_001615
ko:K07139	saue:RSAU_001617
ko:K00318	saue:RSAU_001621
ko:K00794	saue:RSAU_001622
ko:K14652	saue:RSAU_001623
ko:K00793	saue:RSAU_001624
ko:K11752	saue:RSAU_001625
ko:K03893	saue:RSAU_001628
ko:K00930	saue:RSAU_000133
ko:K00620	saue:RSAU_000134
ko:K00145	saue:RSAU_000135
ko:K03311	saue:RSAU_000137
ko:K07106	saue:RSAU_000143
ko:K01153	saue:RSAU_000147
ko:K02034	saue:RSAU_000151
ko:K01118	saue:RSAU_000155
ko:K15771	saue:RSAU_000159
ko:K15772	saue:RSAU_000160
ko:K02012	saue:RSAU_000169
ko:K00656	saue:RSAU_000170
ko:K04069	saue:RSAU_000171
ko:K01126	saue:RSAU_000172
ko:K07516	saue:RSAU_000177
ko:K00252	saue:RSAU_000178
ko:K03322	saue:RSAU_000990
ko:K06207	saue:RSAU_000994
ko:K03588	saue:RSAU_000998
ko:K02259	saue:RSAU_001000
ko:K08976	saue:RSAU_001002
ko:K01126	saue:RSAU_001005
ko:K00954	saue:RSAU_001009
ko:K07040	saue:RSAU_001011
ko:K02911	saue:RSAU_001012
ko:K14193	saue:RSAU_001014
ko:K02016	saue:RSAU_001017
ko:K02015	saue:RSAU_001018
ko:K08600	saue:RSAU_001019
ko:K03437	saue:RSAU_001021
ko:K01889	saue:RSAU_001022
ko:K01890	saue:RSAU_001023
ko:K09888	saue:RSAU_001025
ko:K02347	saue:RSAU_001027
ko:K07456	saue:RSAU_001028
ko:K03671	saue:RSAU_001029
ko:K03703	saue:RSAU_001030
ko:K00239	saue:RSAU_001032
ko:K00240	saue:RSAU_001033
ko:K01776	saue:RSAU_001034
ko:K04077	saue:RSAU_001860
ko:K08987	saue:RSAU_000350
ko:K11042	saue:RSAU_000352
ko:K03427	saue:RSAU_000360
ko:K01154	saue:RSAU_000361
ko:K05577	saue:RSAU_000385
ko:K09822	saue:RSAU_000386
ko:K03928	saue:RSAU_000390
ko:K03308	saue:RSAU_000391
ko:K17217	saue:RSAU_000393
ko:K02071	saue:RSAU_000394
ko:K02072	saue:RSAU_000395
ko:K02073	saue:RSAU_000396
ko:K01620	saue:RSAU_001203
ko:K06131	saue:RSAU_001205
ko:K00928	saue:RSAU_001209
ko:K00003	saue:RSAU_001210
ko:K01733	saue:RSAU_001211
ko:K05566	saue:RSAU_000579
ko:K05567	saue:RSAU_000580
ko:K05569	saue:RSAU_000582
ko:K05571	saue:RSAU_000584
ko:K05946	saue:RSAU_000592
ko:K16323	saue:RSAU_000600
ko:K03800	saue:RSAU_001399
ko:K00283	saue:RSAU_001401
ko:K00282	saue:RSAU_001402
ko:K00605	saue:RSAU_001403
ko:K00891	saue:RSAU_001404
ko:K02913	saue:RSAU_001416
ko:K12553	saue:RSAU_001417
ko:K04564	saue:RSAU_001418
ko:K09816	saue:RSAU_001420
ko:K09817	saue:RSAU_001421
ko:K01151	saue:RSAU_001422
ko:K06967	saue:RSAU_001425
ko:K03086	saue:RSAU_001426
ko:K09773	saue:RSAU_001428
ko:K01880	saue:RSAU_001430
ko:K03584	saue:RSAU_001431
ko:K07042	saue:RSAU_001435
ko:K02970	saue:RSAU_001440
ko:K09761	saue:RSAU_001442
ko:K02687	saue:RSAU_001443
ko:K03686	saue:RSAU_001444
ko:K04043	saue:RSAU_001445
ko:K03687	saue:RSAU_001446
ko:K11102	saue:RSAU_002222
ko:K10850	saue:RSAU_002226
ko:K07696	saue:RSAU_002229
ko:K07683	saue:RSAU_002230
ko:K10851	saue:RSAU_002231
ko:K00373	saue:RSAU_002233
ko:K00371	saue:RSAU_002234
ko:K00370	saue:RSAU_002235
ko:K00363	saue:RSAU_002237
ko:K00362	saue:RSAU_002238
ko:K10010	saue:RSAU_002250
ko:K10009	saue:RSAU_002251
ko:K02424	saue:RSAU_002252
ko:K14197	saue:RSAU_002257
ko:K01012	saue:RSAU_002264
ko:K06199	saue:RSAU_001639
ko:K06199	saue:RSAU_001640
ko:K00789	saue:RSAU_001643
ko:K01610	saue:RSAU_001644
ko:K08998	saue:RSAU_001647
ko:K09765	saue:RSAU_002432
ko:K06978	saue:RSAU_002435
ko:K01579	saue:RSAU_002438
ko:K01918	saue:RSAU_002439
ko:K00606	saue:RSAU_002440
ko:K00077	saue:RSAU_002441
ko:K01575	saue:RSAU_002442
ko:K00823	saue:RSAU_002445
ko:K01623	saue:RSAU_002447
ko:K00116	saue:RSAU_002448
ko:K01895	saue:RSAU_002449
ko:K03300	saue:RSAU_002459
ko:K02304	saue:RSAU_002460
ko:K00432	saue:RSAU_002462
ko:K00872	saue:RSAU_001212
ko:K03781	saue:RSAU_001216
ko:K02913	saue:RSAU_001217
ko:K02954	saue:RSAU_001218
ko:K00364	saue:RSAU_001219
ko:K01356	saue:RSAU_001221
ko:K00615	saue:RSAU_001224
ko:K03547	saue:RSAU_001227
ko:K03282	saue:RSAU_001230
ko:K01681	saue:RSAU_001232
ko:K07107	saue:RSAU_001233
ko:K08591	saue:RSAU_001235
ko:K02622	saue:RSAU_001236
ko:K02621	saue:RSAU_001237
ko:K03310	saue:RSAU_001238
ko:K03480	saue:RSAU_001239
ko:K14205	saue:RSAU_001241
ko:K01821	saue:RSAU_001244
ko:K01657	saue:RSAU_001248
ko:K11068	saue:RSAU_002014
ko:K07038	saue:RSAU_002016
ko:K02015	saue:RSAU_002019
ko:K02015	saue:RSAU_002020
ko:K02016	saue:RSAU_002021
ko:K02787	saue:RSAU_002034
ko:K02788	saue:RSAU_002034
ko:K12410	saue:RSAU_002041
ko:K01575	saue:RSAU_002049
ko:K01652	saue:RSAU_002050
ko:K03655	saue:RSAU_002052
ko:K02996	saue:RSAU_002053
ko:K02871	saue:RSAU_002054
ko:K06173	saue:RSAU_002055
ko:K16785	saue:RSAU_002056
ko:K02879	saue:RSAU_002059
ko:K03040	saue:RSAU_002060
ko:K02948	saue:RSAU_002061
ko:K02952	saue:RSAU_002062
ko:K05916	saue:RSAU_000185
ko:K02773	saue:RSAU_000190
ko:K02774	saue:RSAU_000191
ko:K05352	saue:RSAU_000196
ko:K07322	saue:RSAU_000206
ko:K07704	saue:RSAU_000207
ko:K05338	saue:RSAU_000209
ko:K05339	saue:RSAU_000210
ko:K03489	saue:RSAU_000211
ko:K01223	saue:RSAU_000213
ko:K06726	saue:RSAU_000216
ko:K02529	saue:RSAU_000218
ko:K01442	saue:RSAU_000221
ko:K03466	saue:RSAU_000233
ko:K07095	saue:RSAU_001036
ko:K14200	saue:RSAU_001040
ko:K11032	saue:RSAU_001044
ko:K00611	saue:RSAU_001049
ko:K00926	saue:RSAU_001050
ko:K03925	saue:RSAU_001059
ko:K03438	saue:RSAU_001060
ko:K12552	saue:RSAU_001062
ko:K01000	saue:RSAU_001063
ko:K02313	saue:RSAU_000001
ko:K02338	saue:RSAU_000002
ko:K03629	saue:RSAU_000004
ko:K02470	saue:RSAU_000005
ko:K02469	saue:RSAU_000006
ko:K01745	saue:RSAU_000008
ko:K01875	saue:RSAU_000009
ko:K00641	saue:RSAU_000012
ko:K02939	saue:RSAU_000015
ko:K01939	saue:RSAU_000017
