ko:K12978	fpt:BZ13_1500
ko:K03802	fpt:BZ13_486
ko:K01126	fpt:BZ13_488
ko:K03762	fpt:BZ13_496
ko:K01424	fpt:BZ13_503
ko:K13282	fpt:BZ13_504
ko:K06921	fpt:BZ13_506
ko:K07025	fpt:BZ13_507
ko:K01784	fpt:BZ13_514
ko:K01868	fpt:BZ13_1
ko:K02520	fpt:BZ13_2
ko:K02916	fpt:BZ13_3
ko:K00820	fpt:BZ13_64
ko:K00820	fpt:BZ13_65
ko:K12373	fpt:BZ13_67
ko:K03526	fpt:BZ13_69
ko:K05810	fpt:BZ13_70
ko:K01262	fpt:BZ13_71
ko:K01173	fpt:BZ13_72
ko:K17836	fpt:BZ13_74
ko:K03820	fpt:BZ13_78
ko:K06189	fpt:BZ13_79
ko:K07042	fpt:BZ13_80
ko:K06168	fpt:BZ13_82
ko:K01443	fpt:BZ13_88
ko:K14742	fpt:BZ13_89
ko:K00812	fpt:BZ13_91
ko:K18930	fpt:BZ13_94
ko:K00939	fpt:BZ13_95
ko:K02663	fpt:BZ13_97
ko:K02664	fpt:BZ13_98
ko:K02665	fpt:BZ13_99
ko:K02666	fpt:BZ13_100
ko:K00891	fpt:BZ13_101
ko:K01735	fpt:BZ13_102
ko:K09159	fpt:BZ13_105
ko:K13821	fpt:BZ13_106
ko:K13038	fpt:BZ13_109
ko:K01785	fpt:BZ13_110
ko:K01689	fpt:BZ13_111
ko:K01669	fpt:BZ13_112
ko:K01772	fpt:BZ13_113
ko:K09928	fpt:BZ13_115
ko:K02687	fpt:BZ13_116
ko:K00963	fpt:BZ13_121
ko:K00845	fpt:BZ13_184
ko:K03524	fpt:BZ13_186
ko:K01935	fpt:BZ13_185
ko:K02169	fpt:BZ13_187
ko:K00652	fpt:BZ13_188
ko:K01012	fpt:BZ13_189
ko:K00833	fpt:BZ13_190
ko:K13941	fpt:BZ13_193
ko:K01633	fpt:BZ13_194
ko:K03342	fpt:BZ13_196
ko:K01658	fpt:BZ13_198
ko:K01495	fpt:BZ13_204
ko:K11927	fpt:BZ13_206
ko:K03305	fpt:BZ13_205
ko:K00383	fpt:BZ13_208
ko:K01142	fpt:BZ13_212
ko:K06987	fpt:BZ13_213
ko:K03923	fpt:BZ13_214
ko:K01626	fpt:BZ13_219
ko:K03106	fpt:BZ13_220
ko:K07090	fpt:BZ13_222
ko:K02518	fpt:BZ13_223
ko:K03499	fpt:BZ13_226
ko:K09014	fpt:BZ13_228
ko:K09013	fpt:BZ13_229
ko:K09015	fpt:BZ13_230
ko:K03671	fpt:BZ13_232
ko:K02205	fpt:BZ13_233
ko:K03574	fpt:BZ13_236
ko:K07735	fpt:BZ13_237
ko:K01183	fpt:BZ13_1861
ko:K01992	fpt:BZ13_1885
ko:K00748	fpt:BZ13_805
ko:K00677	fpt:BZ13_806
ko:K02372	fpt:BZ13_807
ko:K02536	fpt:BZ13_808
ko:K06142	fpt:BZ13_809
ko:K07277	fpt:BZ13_810
ko:K00099	fpt:BZ13_811
ko:K02469	fpt:BZ13_812
ko:K03648	fpt:BZ13_816
ko:K00382	fpt:BZ13_819
ko:K00627	fpt:BZ13_820
ko:K00163	fpt:BZ13_821
ko:K00860	fpt:BZ13_833
ko:K00956	fpt:BZ13_835
ko:K00957	fpt:BZ13_837
ko:K02472	fpt:BZ13_861
ko:K01613	fpt:BZ13_1693
ko:K04042	fpt:BZ13_1698
ko:K00820	fpt:BZ13_1699
ko:K02970	fpt:BZ13_1700
ko:K03704	fpt:BZ13_1702
ko:K01265	fpt:BZ13_1704
ko:K02621	fpt:BZ13_1706
ko:K18284	fpt:BZ13_1707
ko:K08309	fpt:BZ13_1708
ko:K08309	fpt:BZ13_1709
ko:K16052	fpt:BZ13_1713
ko:K02337	fpt:BZ13_1714
ko:K07461	fpt:BZ13_1715
ko:K01462	fpt:BZ13_1719
ko:K09808	fpt:BZ13_1731
ko:K09810	fpt:BZ13_1732
ko:K00605	fpt:BZ13_1734
ko:K02437	fpt:BZ13_1735
ko:K00283	fpt:BZ13_1738
ko:K07052	fpt:BZ13_1739
ko:K03834	fpt:BZ13_1294
ko:K03501	fpt:BZ13_1296
ko:K06997	fpt:BZ13_1298
ko:K06186	fpt:BZ13_1303
ko:K01826	fpt:BZ13_1304
ko:K02968	fpt:BZ13_1305
ko:K03596	fpt:BZ13_1306
ko:K00566	fpt:BZ13_1307
ko:K01462	fpt:BZ13_1309
ko:K00794	fpt:BZ13_1310
ko:K14652	fpt:BZ13_1311
ko:K00793	fpt:BZ13_1312
ko:K11752	fpt:BZ13_1313
ko:K03316	fpt:BZ13_1314
ko:K03316	fpt:BZ13_1315
ko:K04773	fpt:BZ13_1318
ko:K01011	fpt:BZ13_1320
ko:K03071	fpt:BZ13_1321
ko:K03565	fpt:BZ13_1323
ko:K03111	fpt:BZ13_1324
ko:K13788	fpt:BZ13_1327
ko:K00135	fpt:BZ13_1328
ko:K01876	fpt:BZ13_1332
ko:K01147	fpt:BZ13_1334
ko:K06999	fpt:BZ13_1335
ko:K01749	fpt:BZ13_1336
ko:K06199	fpt:BZ13_1337
ko:K02050	fpt:BZ13_1342
ko:K02049	fpt:BZ13_1343
ko:K02494	fpt:BZ13_1347
ko:K00919	fpt:BZ13_1348
ko:K01791	fpt:BZ13_862
ko:K09688	fpt:BZ13_864
ko:K09689	fpt:BZ13_865
ko:K10107	fpt:BZ13_866
ko:K02535	fpt:BZ13_867
ko:K07265	fpt:BZ13_870
ko:K00859	fpt:BZ13_880
ko:K01867	fpt:BZ13_884
ko:K03316	fpt:BZ13_886
ko:K07106	fpt:BZ13_888
ko:K01962	fpt:BZ13_892
ko:K03555	fpt:BZ13_893
ko:K03071	fpt:BZ13_894
ko:K03733	fpt:BZ13_896
ko:K15984	fpt:BZ13_897
ko:K00951	fpt:BZ13_901
ko:K05516	fpt:BZ13_906
ko:K00567	fpt:BZ13_912
ko:K01586	fpt:BZ13_914
ko:K00262	fpt:BZ13_916
ko:K07007	fpt:BZ13_918
ko:K01740	fpt:BZ13_1741
ko:K00651	fpt:BZ13_1742
ko:K00014	fpt:BZ13_1743
ko:K00700	fpt:BZ13_1745
ko:K01835	fpt:BZ13_1746
ko:K00975	fpt:BZ13_1747
ko:K00703	fpt:BZ13_1748
ko:K00688	fpt:BZ13_1749
ko:K00705	fpt:BZ13_1750
ko:K01878	fpt:BZ13_1752
ko:K01928	fpt:BZ13_1753
ko:K07023	fpt:BZ13_1755
ko:K01929	fpt:BZ13_1756
ko:K00133	fpt:BZ13_1758
ko:K12524	fpt:BZ13_1759
ko:K00872	fpt:BZ13_1760
ko:K01733	fpt:BZ13_1761
ko:K12308	fpt:BZ13_1763
ko:K03269	fpt:BZ13_1764
ko:K00762	fpt:BZ13_1765
ko:K02558	fpt:BZ13_1766
ko:K03218	fpt:BZ13_1767
ko:K15738	fpt:BZ13_1770
ko:K03305	fpt:BZ13_1771
ko:K01886	fpt:BZ13_1772
ko:K01610	fpt:BZ13_1773
ko:K01000	fpt:BZ13_1774
ko:K01925	fpt:BZ13_1775
ko:K03588	fpt:BZ13_1776
ko:K11179	fpt:BZ13_1781
ko:K03599	fpt:BZ13_1782
ko:K04774	fpt:BZ13_1783
ko:K02341	fpt:BZ13_1784
ko:K07574	fpt:BZ13_1785
ko:K01698	fpt:BZ13_1786
ko:K03216	fpt:BZ13_1788
ko:K01424	fpt:BZ13_1789
ko:K03305	fpt:BZ13_1790
ko:K01887	fpt:BZ13_1791
ko:K04077	fpt:BZ13_926
ko:K04078	fpt:BZ13_927
ko:K04758	fpt:BZ13_930
ko:K04759	fpt:BZ13_931
ko:K09458	fpt:BZ13_934
ko:K00059	fpt:BZ13_935
ko:K00647	fpt:BZ13_937
ko:K02078	fpt:BZ13_940
ko:K02078	fpt:BZ13_941
ko:K07107	fpt:BZ13_947
ko:K09861	fpt:BZ13_952
ko:K00783	fpt:BZ13_954
ko:K02493	fpt:BZ13_953
ko:K02835	fpt:BZ13_955
ko:K02492	fpt:BZ13_956
ko:K02622	fpt:BZ13_961
ko:K03806	fpt:BZ13_965
ko:K08311	fpt:BZ13_967
ko:K04763	fpt:BZ13_974
ko:K02884	fpt:BZ13_975
ko:K00554	fpt:BZ13_976
ko:K04744	fpt:BZ13_1792
ko:K03771	fpt:BZ13_1793
ko:K02528	fpt:BZ13_1794
ko:K01525	fpt:BZ13_1795
ko:K03786	fpt:BZ13_1796
ko:K02160	fpt:BZ13_1797
ko:K01961	fpt:BZ13_1798
ko:K16052	fpt:BZ13_1800
ko:K04568	fpt:BZ13_1801
ko:K03524	fpt:BZ13_1802
ko:K07462	fpt:BZ13_1803
ko:K03548	fpt:BZ13_1804
ko:K11073	fpt:BZ13_1806
ko:K06949	fpt:BZ13_1807
ko:K03572	fpt:BZ13_1810
ko:K00384	fpt:BZ13_1814
ko:K01091	fpt:BZ13_1815
ko:K06201	fpt:BZ13_1818
ko:K03305	fpt:BZ13_1822
ko:K01902	fpt:BZ13_1827
ko:K01903	fpt:BZ13_1828
ko:K05539	fpt:BZ13_1832
ko:K02470	fpt:BZ13_1834
ko:K06215	fpt:BZ13_1835
ko:K08681	fpt:BZ13_1836
ko:K10563	fpt:BZ13_1837
ko:K03438	fpt:BZ13_1839
ko:K03586	fpt:BZ13_1840
ko:K03587	fpt:BZ13_1841
ko:K02956	fpt:BZ13_1842
ko:K00962	fpt:BZ13_1843
ko:K15724	fpt:BZ13_1844
ko:K02221	fpt:BZ13_1352
ko:K02050	fpt:BZ13_1353
ko:K02238	fpt:BZ13_1356
ko:K07566	fpt:BZ13_1359
ko:K02945	fpt:BZ13_1360
ko:K01921	fpt:BZ13_1362
ko:K03589	fpt:BZ13_1363
ko:K03590	fpt:BZ13_1364
ko:K03531	fpt:BZ13_1365
ko:K02535	fpt:BZ13_1367
ko:K02343	fpt:BZ13_1366
ko:K02836	fpt:BZ13_1368
ko:K04567	fpt:BZ13_1369
ko:K01425	fpt:BZ13_1373
ko:K01915	fpt:BZ13_1374
ko:K02340	fpt:BZ13_1375
ko:K03098	fpt:BZ13_1376
ko:K00602	fpt:BZ13_1378
ko:K01939	fpt:BZ13_1379
ko:K00760	fpt:BZ13_1380
ko:K02075	fpt:BZ13_1382
ko:K02074	fpt:BZ13_1383
ko:K02077	fpt:BZ13_1384
ko:K06077	fpt:BZ13_1386
ko:K03809	fpt:BZ13_1387
ko:K07058	fpt:BZ13_1388
ko:K04066	fpt:BZ13_1390
ko:K01713	fpt:BZ13_1391
ko:K00426	fpt:BZ13_1393
ko:K00425	fpt:BZ13_1394
ko:K02536	fpt:BZ13_1395
ko:K00868	fpt:BZ13_1397
ko:K03924	fpt:BZ13_1399
ko:K02860	fpt:BZ13_977
ko:K02959	fpt:BZ13_978
ko:K00789	fpt:BZ13_979
ko:K01409	fpt:BZ13_981
ko:K03046	fpt:BZ13_983
ko:K03043	fpt:BZ13_984
ko:K02935	fpt:BZ13_985
ko:K02864	fpt:BZ13_986
ko:K02863	fpt:BZ13_987
ko:K02867	fpt:BZ13_988
ko:K02601	fpt:BZ13_989
ko:K03073	fpt:BZ13_990
ko:K02358	fpt:BZ13_992
ko:K03442	fpt:BZ13_998
ko:K02440	fpt:BZ13_1000
ko:K00111	fpt:BZ13_1002
ko:K00864	fpt:BZ13_1003
ko:K10823	fpt:BZ13_1007
ko:K15583	fpt:BZ13_1008
ko:K15582	fpt:BZ13_1009
ko:K15581	fpt:BZ13_1010
ko:K15580	fpt:BZ13_1011
ko:K03110	fpt:BZ13_1014
ko:K02837	fpt:BZ13_1016
ko:K00943	fpt:BZ13_1017
ko:K11535	fpt:BZ13_1018
ko:K11535	fpt:BZ13_1019
ko:K01619	fpt:BZ13_1020
ko:K03525	fpt:BZ13_1023
ko:K00912	fpt:BZ13_1025
ko:K11085	fpt:BZ13_1026
ko:K00974	fpt:BZ13_1027
ko:K03611	fpt:BZ13_1028
ko:K03585	fpt:BZ13_1029
ko:K01627	fpt:BZ13_1845
ko:K00876	fpt:BZ13_1846
ko:K03060	fpt:BZ13_1847
ko:K03215	fpt:BZ13_1850
ko:K00845	fpt:BZ13_1851
ko:K00845	fpt:BZ13_1852
ko:K03811	fpt:BZ13_1853
ko:K01689	fpt:BZ13_1855
ko:K05589	fpt:BZ13_1856
ko:K00991	fpt:BZ13_1857
ko:K00060	fpt:BZ13_1859
ko:K00639	fpt:BZ13_1860
ko:K00761	fpt:BZ13_1862
ko:K01433	fpt:BZ13_1863
ko:K03327	fpt:BZ13_1867
ko:K01129	fpt:BZ13_1869
ko:K03782	fpt:BZ13_1873
ko:K06133	fpt:BZ13_1874
ko:K07315	fpt:BZ13_1877
ko:K02445	fpt:BZ13_1881
ko:K01126	fpt:BZ13_1882
ko:K01993	fpt:BZ13_1883
ko:K03321	fpt:BZ13_1886
ko:K11103	fpt:BZ13_1889
ko:K16012	fpt:BZ13_1890
ko:K00847	fpt:BZ13_1897
ko:K01783	fpt:BZ13_516
ko:K06041	fpt:BZ13_517
ko:K09929	fpt:BZ13_519
ko:K09930	fpt:BZ13_520
ko:K00208	fpt:BZ13_523
ko:K06966	fpt:BZ13_524
ko:K01759	fpt:BZ13_528
ko:K09125	fpt:BZ13_529
ko:K01576	fpt:BZ13_535
ko:K07568	fpt:BZ13_538
ko:K09474	fpt:BZ13_540
ko:K18800	fpt:BZ13_541
ko:K03185	fpt:BZ13_542
ko:K09895	fpt:BZ13_543
ko:K01934	fpt:BZ13_544
ko:K05527	fpt:BZ13_545
ko:K03975	fpt:BZ13_546
ko:K03975	fpt:BZ13_547
ko:K03584	fpt:BZ13_548
ko:K04487	fpt:BZ13_550
ko:K08300	fpt:BZ13_551
ko:K13292	fpt:BZ13_552
ko:K00058	fpt:BZ13_554
ko:K04075	fpt:BZ13_555
ko:K03305	fpt:BZ13_556
ko:K01442	fpt:BZ13_557
ko:K09889	fpt:BZ13_562
ko:K00600	fpt:BZ13_563
ko:K05807	fpt:BZ13_569
ko:K06180	fpt:BZ13_570
ko:K07114	fpt:BZ13_1402
ko:K07114	fpt:BZ13_1403
ko:K07114	fpt:BZ13_1404
ko:K01304	fpt:BZ13_1406
ko:K02339	fpt:BZ13_1409
ko:K01873	fpt:BZ13_1410
ko:K01595	fpt:BZ13_1411
ko:K00931	fpt:BZ13_1415
ko:K00147	fpt:BZ13_1416
ko:K00101	fpt:BZ13_1417
ko:K10679	fpt:BZ13_1418
ko:K01775	fpt:BZ13_1420
ko:K01679	fpt:BZ13_1421
ko:K01885	fpt:BZ13_1422
ko:K00640	fpt:BZ13_1424
ko:K01738	fpt:BZ13_1426
ko:K02967	fpt:BZ13_1427
ko:K02357	fpt:BZ13_1428
ko:K09903	fpt:BZ13_1429
ko:K02838	fpt:BZ13_1430
ko:K00806	fpt:BZ13_1431
ko:K00981	fpt:BZ13_1432
ko:K00995	fpt:BZ13_1434
ko:K02950	fpt:BZ13_1435
ko:K02992	fpt:BZ13_1436
ko:K02355	fpt:BZ13_1437
ko:K02946	fpt:BZ13_1438
ko:K02906	fpt:BZ13_1439
ko:K02926	fpt:BZ13_1440
ko:K02892	fpt:BZ13_1441
ko:K02886	fpt:BZ13_1442
ko:K02965	fpt:BZ13_1443
ko:K02890	fpt:BZ13_1444
ko:K02982	fpt:BZ13_1445
ko:K02878	fpt:BZ13_1446
ko:K02904	fpt:BZ13_1447
ko:K02961	fpt:BZ13_1448
ko:K02874	fpt:BZ13_1449
ko:K02895	fpt:BZ13_1450
ko:K02931	fpt:BZ13_1451
ko:K02954	fpt:BZ13_1452
ko:K02994	fpt:BZ13_1453
ko:K02933	fpt:BZ13_1454
ko:K02881	fpt:BZ13_1455
ko:K02988	fpt:BZ13_1456
ko:K02907	fpt:BZ13_1457
ko:K02876	fpt:BZ13_1458
ko:K07645	fpt:BZ13_1037
ko:K07071	fpt:BZ13_1036
ko:K00425	fpt:BZ13_1038
ko:K00426	fpt:BZ13_1039
ko:K06955	fpt:BZ13_1041
ko:K02669	fpt:BZ13_1042
ko:K01681	fpt:BZ13_1043
ko:K07223	fpt:BZ13_1044
ko:K03075	fpt:BZ13_1051
ko:K01803	fpt:BZ13_1052
ko:K03431	fpt:BZ13_1053
ko:K00759	fpt:BZ13_1054
ko:K00658	fpt:BZ13_1055
ko:K00164	fpt:BZ13_1056
ko:K00240	fpt:BZ13_1057
ko:K00239	fpt:BZ13_1058
ko:K00242	fpt:BZ13_1059
ko:K00241	fpt:BZ13_1060
ko:K01647	fpt:BZ13_1061
ko:K08218	fpt:BZ13_1062
ko:K04564	fpt:BZ13_1064
ko:K07390	fpt:BZ13_1065
ko:K02114	fpt:BZ13_1067
ko:K02112	fpt:BZ13_1068
ko:K02115	fpt:BZ13_1069
ko:K02111	fpt:BZ13_1070
ko:K02113	fpt:BZ13_1071
ko:K02109	fpt:BZ13_1072
ko:K02110	fpt:BZ13_1073
ko:K02108	fpt:BZ13_1074
ko:K06179	fpt:BZ13_1077
ko:K06916	fpt:BZ13_1078
ko:K01892	fpt:BZ13_1080
ko:K02834	fpt:BZ13_1081
ko:K02519	fpt:BZ13_1082
ko:K02600	fpt:BZ13_1083
ko:K01875	fpt:BZ13_1900
ko:K15633	fpt:BZ13_1901
ko:K01489	fpt:BZ13_1905
ko:K00757	fpt:BZ13_1906
ko:K06169	fpt:BZ13_1907
ko:K08316	fpt:BZ13_1909
ko:K07263	fpt:BZ13_1911
ko:K11720	fpt:BZ13_1912
ko:K07091	fpt:BZ13_1913
ko:K01255	fpt:BZ13_1914
ko:K00088	fpt:BZ13_1915
ko:K00949	fpt:BZ13_1916
ko:K01810	fpt:BZ13_1917
ko:K08084	fpt:BZ13_1918
ko:K03624	fpt:BZ13_1919
ko:K03701	fpt:BZ13_1920
ko:K03798	fpt:BZ13_1922
ko:K03784	fpt:BZ13_1923
ko:K03070	fpt:BZ13_1926
ko:K01246	fpt:BZ13_1928
ko:K02888	fpt:BZ13_1930
ko:K02899	fpt:BZ13_1931
ko:K11074	fpt:BZ13_1933
ko:K11075	fpt:BZ13_1934
ko:K11076	fpt:BZ13_1935
ko:K01079	fpt:BZ13_1939
ko:K09799	fpt:BZ13_1938
ko:K01775	fpt:BZ13_1943
ko:K04518	fpt:BZ13_1945
ko:K01752	fpt:BZ13_1949
ko:K11717	fpt:BZ13_1950
ko:K13628	fpt:BZ13_1951
ko:K00954	fpt:BZ13_1953
ko:K02066	fpt:BZ13_572
ko:K02065	fpt:BZ13_573
ko:K02067	fpt:BZ13_574
ko:K09761	fpt:BZ13_577
ko:K03305	fpt:BZ13_578
ko:K01897	fpt:BZ13_579
ko:K03446	fpt:BZ13_581
ko:K03543	fpt:BZ13_582
ko:K01916	fpt:BZ13_584
ko:K03686	fpt:BZ13_586
ko:K04043	fpt:BZ13_587
ko:K03687	fpt:BZ13_588
ko:K08304	fpt:BZ13_589
ko:K02871	fpt:BZ13_591
ko:K02996	fpt:BZ13_592
ko:K03599	fpt:BZ13_593
ko:K03600	fpt:BZ13_594
ko:K03470	fpt:BZ13_600
ko:K02533	fpt:BZ13_601
ko:K02806	fpt:BZ13_602
ko:K05808	fpt:BZ13_603
ko:K03650	fpt:BZ13_605
ko:K01442	fpt:BZ13_608
ko:K01697	fpt:BZ13_610
ko:K11900	fpt:BZ13_631
ko:K03076	fpt:BZ13_1459
ko:K02919	fpt:BZ13_1460
ko:K02952	fpt:BZ13_1461
ko:K02986	fpt:BZ13_1464
ko:K03040	fpt:BZ13_1465
ko:K02879	fpt:BZ13_1466
ko:K10716	fpt:BZ13_1467
ko:K04079	fpt:BZ13_1468
ko:K00611	fpt:BZ13_1469
ko:K00930	fpt:BZ13_1470
ko:K00620	fpt:BZ13_1471
ko:K00145	fpt:BZ13_1472
ko:K00819	fpt:BZ13_1474
ko:K03402	fpt:BZ13_1473
ko:K01755	fpt:BZ13_1475
ko:K01940	fpt:BZ13_1476
ko:K01937	fpt:BZ13_1478
ko:K00940	fpt:BZ13_1479
ko:K01963	fpt:BZ13_1480
ko:K11754	fpt:BZ13_1481
ko:K06925	fpt:BZ13_1482
ko:K07126	fpt:BZ13_1483
ko:K03980	fpt:BZ13_1484
ko:K01919	fpt:BZ13_1485
ko:K02909	fpt:BZ13_1486
ko:K03607	fpt:BZ13_1492
ko:K03498	fpt:BZ13_1494
ko:K03634	fpt:BZ13_1498
ko:K03466	fpt:BZ13_1499
ko:K11733	fpt:BZ13_1501
ko:K07018	fpt:BZ13_1502
