ko:K21147	lph:LPV_1705
ko:K12262	lph:LPV_1717
ko:K15371	lph:LPV_1718
ko:K01004	lph:LPV_1721
ko:K02939	lph:LPV_1726
ko:K02963	lph:LPV_1728
ko:K02990	lph:LPV_1729
ko:K03563	lph:LPV_1731
ko:K03762	lph:LPV_1740
ko:K00023	lph:LPV_1747
ko:K03821	lph:LPV_1748
ko:K02112	lph:LPV_1753
ko:K02114	lph:LPV_1754
ko:K07133	lph:LPV_2659
ko:K01531	lph:LPV_2678
ko:K03549	lph:LPV_2692
ko:K03782	lph:LPV_2699
ko:K03594	lph:LPV_2705
ko:K01873	lph:LPV_0843
ko:K00600	lph:LPV_0849
ko:K07738	lph:LPV_0850
ko:K03625	lph:LPV_0851
ko:K00946	lph:LPV_0852
ko:K01095	lph:LPV_0853
ko:K01950	lph:LPV_0858
ko:K01775	lph:LPV_0863
ko:K03644	lph:LPV_0869
ko:K07461	lph:LPV_0870
ko:K03305	lph:LPV_0871
ko:K02500	lph:LPV_0875
ko:K02501	lph:LPV_0876
ko:K01790	lph:LPV_0882
ko:K00067	lph:LPV_0883
ko:K01810	lph:LPV_0885
ko:K00973	lph:LPV_0886
ko:K02108	lph:LPV_1756
ko:K02110	lph:LPV_1757
ko:K02109	lph:LPV_1758
ko:K02111	lph:LPV_1759
ko:K02115	lph:LPV_1761
ko:K01534	lph:LPV_1777
ko:K00948	lph:LPV_1806
ko:K07576	lph:LPV_1808
ko:K07798	lph:LPV_1810
ko:K13929	lph:LPV_2747
ko:K13932	lph:LPV_2748
ko:K13933	lph:LPV_2749
ko:K13934	lph:LPV_2750
ko:K13930	lph:LPV_2751
ko:K07552	lph:LPV_2762
ko:K02914	lph:LPV_0001
ko:K02313	lph:LPV_0002
ko:K02338	lph:LPV_0003
ko:K03629	lph:LPV_0004
ko:K02470	lph:LPV_0005
ko:K10536	lph:LPV_0007
ko:K03563	lph:LPV_0910
ko:K03524	lph:LPV_0912
ko:K06133	lph:LPV_0913
ko:K01962	lph:LPV_0914
ko:K04075	lph:LPV_0915
ko:K01752	lph:LPV_0920
ko:K03773	lph:LPV_0921
ko:K08218	lph:LPV_0922
ko:K03517	lph:LPV_0925
ko:K00278	lph:LPV_0926
ko:K01756	lph:LPV_0927
ko:K03321	lph:LPV_0928
ko:K01442	lph:LPV_0930
ko:K00767	lph:LPV_0934
ko:K02563	lph:LPV_0935
ko:K02237	lph:LPV_0937
ko:K03569	lph:LPV_0938
ko:K03570	lph:LPV_0939
ko:K06181	lph:LPV_0940
ko:K00031	lph:LPV_0942
ko:K06891	lph:LPV_0943
ko:K03694	lph:LPV_0944
ko:K01595	lph:LPV_1858
ko:K00147	lph:LPV_1862
ko:K00931	lph:LPV_1863
ko:K06176	lph:LPV_1877
ko:K08641	lph:LPV_2773
ko:K07238	lph:LPV_2774
ko:K00675	lph:LPV_2775
ko:K04654	lph:LPV_2797
ko:K04653	lph:LPV_2798
ko:K04656	lph:LPV_2799
ko:K04651	lph:LPV_2801
ko:K07241	lph:LPV_2802
ko:K15268	lph:LPV_2805
ko:K15778	lph:LPV_2811
ko:K13038	lph:LPV_2813
ko:K03630	lph:LPV_2814
ko:K13993	lph:LPV_2820
ko:K03216	lph:LPV_2825
ko:K12251	lph:LPV_0009
ko:K03666	lph:LPV_0012
ko:K03665	lph:LPV_0013
ko:K06911	lph:LPV_0016
ko:K09889	lph:LPV_0025
ko:K12297	lph:LPV_0026
ko:K12973	lph:LPV_0029
ko:K03306	lph:LPV_0032
ko:K06134	lph:LPV_0033
ko:K09996	lph:LPV_0042
ko:K07038	lph:LPV_0045
ko:K03601	lph:LPV_0952
ko:K12543	lph:LPV_0953
ko:K01609	lph:LPV_0960
ko:K00766	lph:LPV_0961
ko:K06861	lph:LPV_0963
ko:K09774	lph:LPV_0964
ko:K11719	lph:LPV_0965
ko:K03270	lph:LPV_0966
ko:K06041	lph:LPV_0967
ko:K02065	lph:LPV_0968
ko:K02066	lph:LPV_0969
ko:K07323	lph:LPV_0971
ko:K07122	lph:LPV_0972
ko:K00790	lph:LPV_0975
ko:K09810	lph:LPV_0977
ko:K09808	lph:LPV_0978
ko:K10941	lph:LPV_0982
ko:K02194	lph:LPV_0987
ko:K02195	lph:LPV_0989
ko:K02196	lph:LPV_0990
ko:K02197	lph:LPV_0991
ko:K02198	lph:LPV_0992
ko:K02199	lph:LPV_0993
ko:K09165	lph:LPV_0996
ko:K03652	lph:LPV_0998
ko:K03654	lph:LPV_0999
ko:K02837	lph:LPV_1006
ko:K00325	lph:LPV_1008
ko:K00648	lph:LPV_1886
ko:K01733	lph:LPV_1899
ko:K12262	lph:LPV_1902
ko:K03335	lph:LPV_1905
ko:K03336	lph:LPV_1906
ko:K03338	lph:LPV_1907
ko:K05367	lph:LPV_1921
ko:K06894	lph:LPV_1922
ko:K11175	lph:LPV_1933
ko:K00764	lph:LPV_1935
ko:K01923	lph:LPV_1936
ko:K01952	lph:LPV_1937
ko:K01933	lph:LPV_1938
ko:K01952	lph:LPV_1939
ko:K04084	lph:LPV_1943
ko:K06966	lph:LPV_2832
ko:K01673	lph:LPV_2833
ko:K01626	lph:LPV_2865
ko:K16868	lph:LPV_2869
ko:K13771	lph:LPV_2870
ko:K06886	lph:LPV_2871
ko:K03282	lph:LPV_2876
ko:K06878	lph:LPV_2887
ko:K01626	lph:LPV_0079
ko:K07002	lph:LPV_0083
ko:K00812	lph:LPV_0086
ko:K03702	lph:LPV_0087
ko:K09888	lph:LPV_0090
ko:K09895	lph:LPV_0091
ko:K03185	lph:LPV_0093
ko:K09768	lph:LPV_0104
ko:K12573	lph:LPV_0107
ko:K03218	lph:LPV_0108
ko:K01807	lph:LPV_0109
ko:K06193	lph:LPV_0112
ko:K02536	lph:LPV_0116
ko:K06901	lph:LPV_0122
ko:K00283	lph:LPV_0129
ko:K00324	lph:LPV_1009
ko:K00324	lph:LPV_1010
ko:K01207	lph:LPV_1018
ko:K02452	lph:LPV_1029
ko:K07301	lph:LPV_1031
ko:K03575	lph:LPV_1034
ko:K02399	lph:LPV_1043
ko:K02398	lph:LPV_1044
ko:K02386	lph:LPV_1045
ko:K03525	lph:LPV_1048
ko:K03925	lph:LPV_1049
ko:K03438	lph:LPV_1050
ko:K03586	lph:LPV_1051
ko:K03587	lph:LPV_1052
ko:K01928	lph:LPV_1053
ko:K03473	lph:LPV_1054
ko:K03521	lph:LPV_1059
ko:K03522	lph:LPV_1060
ko:K00259	lph:LPV_1061
ko:K05366	lph:LPV_1062
ko:K01681	lph:LPV_1954
ko:K08679	lph:LPV_1958
ko:K00012	lph:LPV_1959
ko:K13821	lph:LPV_1960
ko:K03607	lph:LPV_1963
ko:K03648	lph:LPV_1965
ko:K01295	lph:LPV_1970
ko:K00673	lph:LPV_1971
ko:K06447	lph:LPV_1972
ko:K02838	lph:LPV_1977
ko:K09903	lph:LPV_1978
ko:K02357	lph:LPV_1979
ko:K02967	lph:LPV_1980
ko:K01265	lph:LPV_1986
ko:K00990	lph:LPV_1987
ko:K11991	lph:LPV_1988
ko:K01951	lph:LPV_1989
ko:K03609	lph:LPV_1991
ko:K03608	lph:LPV_1992
ko:K03281	lph:LPV_2000
ko:K07783	lph:LPV_2897
ko:K03642	lph:LPV_2898
ko:K00252	lph:LPV_2910
ko:K11381	lph:LPV_2911
ko:K04061	lph:LPV_2913
ko:K08641	lph:LPV_2917
ko:K07259	lph:LPV_2923
ko:K03500	lph:LPV_2928
ko:K00604	lph:LPV_2929
ko:K01462	lph:LPV_2930
ko:K04096	lph:LPV_2932
ko:K03168	lph:LPV_2934
ko:K02535	lph:LPV_2945
ko:K03531	lph:LPV_2946
ko:K03590	lph:LPV_2947
ko:K03589	lph:LPV_2948
ko:K01921	lph:LPV_2949
ko:K00075	lph:LPV_2950
ko:K01924	lph:LPV_2951
ko:K00282	lph:LPV_0131
ko:K02437	lph:LPV_0132
ko:K00605	lph:LPV_0133
ko:K03673	lph:LPV_0139
ko:K03978	lph:LPV_0141
ko:K01895	lph:LPV_0143
ko:K00140	lph:LPV_0145
ko:K00215	lph:LPV_0149
ko:K03607	lph:LPV_0151
ko:K00873	lph:LPV_0154
ko:K00927	lph:LPV_0155
ko:K00134	lph:LPV_0156
ko:K00615	lph:LPV_0157
ko:K01414	lph:LPV_0159
ko:K01534	lph:LPV_0160
ko:K02662	lph:LPV_1064
ko:K02666	lph:LPV_1068
ko:K00891	lph:LPV_1069
ko:K01735	lph:LPV_1070
ko:K11753	lph:LPV_1073
ko:K01870	lph:LPV_1074
ko:K03101	lph:LPV_1075
ko:K03584	lph:LPV_1080
ko:K03474	lph:LPV_1083
ko:K00174	lph:LPV_1084
ko:K00175	lph:LPV_1085
ko:K03568	lph:LPV_1089
ko:K07001	lph:LPV_1090
ko:K03723	lph:LPV_1092
ko:K09760	lph:LPV_1093
ko:K01972	lph:LPV_1096
ko:K02034	lph:LPV_1099
ko:K02337	lph:LPV_1100
ko:K13503	lph:LPV_2001
ko:K02435	lph:LPV_2003
ko:K02434	lph:LPV_2005
ko:K03557	lph:LPV_2010
ko:K04487	lph:LPV_2014
ko:K15396	lph:LPV_2015
ko:K04773	lph:LPV_2017
ko:K03695	lph:LPV_2018
ko:K02558	lph:LPV_2022
ko:K02413	lph:LPV_2025
ko:K02412	lph:LPV_2026
ko:K02411	lph:LPV_2027
ko:K02410	lph:LPV_2028
ko:K02409	lph:LPV_2029
ko:K02408	lph:LPV_2030
ko:K07478	lph:LPV_2033
ko:K03634	lph:LPV_2034
ko:K03466	lph:LPV_2035
ko:K00384	lph:LPV_2036
ko:K00684	lph:LPV_2037
ko:K02518	lph:LPV_2039
ko:K03592	lph:LPV_2040
ko:K04567	lph:LPV_2046
ko:K02836	lph:LPV_2047
ko:K02557	lph:LPV_2049
ko:K02556	lph:LPV_2050
ko:K02405	lph:LPV_2051
ko:K04562	lph:LPV_2052
ko:K02404	lph:LPV_2053
ko:K02400	lph:LPV_2054
ko:K03588	lph:LPV_2952
ko:K01925	lph:LPV_2954
ko:K01000	lph:LPV_2955
ko:K01929	lph:LPV_2957
ko:K03528	lph:LPV_2958
ko:K03529	lph:LPV_2959
ko:K03624	lph:LPV_2963
ko:K01955	lph:LPV_2964
ko:K07007	lph:LPV_2966
ko:K11720	lph:LPV_2968
ko:K07091	lph:LPV_2969
ko:K01255	lph:LPV_2970
ko:K02339	lph:LPV_2971
ko:K01255	lph:LPV_2974
ko:K03980	lph:LPV_2975
ko:K02968	lph:LPV_2976
ko:K03703	lph:LPV_2987
ko:K07689	lph:LPV_2988
ko:K00500	lph:LPV_2990
ko:K03979	lph:LPV_2992
ko:K02899	lph:LPV_2993
ko:K02888	lph:LPV_2994
ko:K02897	lph:LPV_2995
ko:K01056	lph:LPV_2996
ko:K06942	lph:LPV_2997
ko:K02523	lph:LPV_2999
ko:K04759	lph:LPV_3001
ko:K04758	lph:LPV_3002
ko:K06916	lph:LPV_3003
ko:K07018	lph:LPV_3004
ko:K00606	lph:LPV_3005
ko:K01918	lph:LPV_3006
ko:K09136	lph:LPV_0217
ko:K15737	lph:LPV_0222
ko:K03980	lph:LPV_0223
ko:K01265	lph:LPV_0238
ko:K09781	lph:LPV_0248
ko:K09857	lph:LPV_0251
ko:K03563	lph:LPV_1151
ko:K07798	lph:LPV_1160
ko:K07787	lph:LPV_1161
ko:K07576	lph:LPV_1162
ko:K00948	lph:LPV_1164
ko:K07787	lph:LPV_1178
ko:K07798	lph:LPV_1179
ko:K02401	lph:LPV_2055
ko:K02421	lph:LPV_2056
ko:K02420	lph:LPV_2058
ko:K02419	lph:LPV_2059
ko:K02418	lph:LPV_2060
ko:K02417	lph:LPV_2061
ko:K02416	lph:LPV_2062
ko:K01872	lph:LPV_2069
ko:K03565	lph:LPV_2070
ko:K03555	lph:LPV_2076
ko:K07278	lph:LPV_2077
ko:K09800	lph:LPV_2078
ko:K01698	lph:LPV_2079
ko:K06076	lph:LPV_2081
ko:K12526	lph:LPV_2082
ko:K04761	lph:LPV_2087
ko:K00912	lph:LPV_2090
ko:K00253	lph:LPV_2096
ko:K01969	lph:LPV_2099
ko:K13766	lph:LPV_2100
ko:K01968	lph:LPV_2101
ko:K01640	lph:LPV_2102
ko:K02071	lph:LPV_2105
ko:K02072	lph:LPV_2106
ko:K02073	lph:LPV_2107
ko:K03089	lph:LPV_3011
ko:K09811	lph:LPV_3012
ko:K09812	lph:LPV_3013
ko:K03110	lph:LPV_3014
ko:K01666	lph:LPV_3027
ko:K12982	lph:LPV_3041
ko:K00791	lph:LPV_3043
ko:K03572	lph:LPV_3044
ko:K01448	lph:LPV_3045
ko:K06925	lph:LPV_3046
ko:K03600	lph:LPV_3048
ko:K03599	lph:LPV_3049
ko:K00413	lph:LPV_3052
ko:K00412	lph:LPV_3053
ko:K00411	lph:LPV_3054
ko:K02996	lph:LPV_3055
ko:K02871	lph:LPV_3056
ko:K04764	lph:LPV_3058
ko:K01890	lph:LPV_3059
ko:K01889	lph:LPV_3060
ko:K02887	lph:LPV_3061
ko:K02916	lph:LPV_3062
ko:K02520	lph:LPV_3063
ko:K01868	lph:LPV_3064
ko:K03799	lph:LPV_0263
ko:K02057	lph:LPV_0268
ko:K03782	lph:LPV_0275
ko:K00425	lph:LPV_0280
ko:K00426	lph:LPV_0281
ko:K06876	lph:LPV_0286
ko:K01669	lph:LPV_0292
ko:K09862	lph:LPV_0296
ko:K01589	lph:LPV_0297
ko:K01588	lph:LPV_0298
ko:K09822	lph:LPV_0301
ko:K05577	lph:LPV_0302
ko:K09823	lph:LPV_0313
ko:K01576	lph:LPV_0314
ko:K04065	lph:LPV_0480
ko:K15726	lph:LPV_1193
ko:K01534	lph:LPV_1197
ko:K00023	lph:LPV_1206
ko:K03762	lph:LPV_1210
ko:K01462	lph:LPV_1211
ko:K15984	lph:LPV_2110
ko:K03273	lph:LPV_2111
ko:K01879	lph:LPV_2112
ko:K01878	lph:LPV_2113
ko:K03657	lph:LPV_2116
ko:K07560	lph:LPV_2118
ko:K04754	lph:LPV_2120
ko:K01920	lph:LPV_2122
ko:K01919	lph:LPV_2123
ko:K00876	lph:LPV_2130
ko:K00208	lph:LPV_2131
ko:K03770	lph:LPV_2132
ko:K03530	lph:LPV_2133
ko:K01338	lph:LPV_2134
ko:K03544	lph:LPV_2135
ko:K01358	lph:LPV_2136
ko:K03545	lph:LPV_2137
ko:K06158	lph:LPV_2141
ko:K03685	lph:LPV_2142
ko:K03100	lph:LPV_2144
ko:K03596	lph:LPV_2145
ko:K02461	lph:LPV_2147
ko:K02462	lph:LPV_2148
ko:K01129	lph:LPV_2150
ko:K01194	lph:LPV_2153
ko:K09131	lph:LPV_3066
ko:K06048	lph:LPV_3069
ko:K00773	lph:LPV_3077
ko:K03611	lph:LPV_3078
ko:K01749	lph:LPV_3085
ko:K02496	lph:LPV_3087
ko:K02498	lph:LPV_3088
ko:K16264	lph:LPV_3089
ko:K09765	lph:LPV_3090
ko:K13288	lph:LPV_3091
ko:K06949	lph:LPV_3093
ko:K02343	lph:LPV_3105
ko:K09747	lph:LPV_3106
ko:K06187	lph:LPV_3107
ko:K02503	lph:LPV_3116
ko:K01495	lph:LPV_3117
ko:K00962	lph:LPV_3119
ko:K02956	lph:LPV_3120
ko:K02834	lph:LPV_3122
ko:K01425	lph:LPV_0324
ko:K15371	lph:LPV_0328
ko:K11927	lph:LPV_0333
ko:K09125	lph:LPV_0336
ko:K07023	lph:LPV_0360
ko:K06915	lph:LPV_0361
ko:K00763	lph:LPV_0362
ko:K08281	lph:LPV_0363
ko:K07461	lph:LPV_1256
ko:K08482	lph:LPV_1261
ko:K00574	lph:LPV_1282
ko:K00459	lph:LPV_1285
ko:K07461	lph:LPV_1295
ko:K01299	lph:LPV_1299
ko:K10778	lph:LPV_1303
ko:K01512	lph:LPV_2162
ko:K06131	lph:LPV_2164
ko:K09858	lph:LPV_2172
ko:K09906	lph:LPV_2180
ko:K07678	lph:LPV_2186
ko:K05527	lph:LPV_2190
ko:K00979	lph:LPV_2194
ko:K09791	lph:LPV_2195
ko:K07133	lph:LPV_2222
ko:K02519	lph:LPV_3123
ko:K02600	lph:LPV_3124
ko:K09748	lph:LPV_3125
ko:K00343	lph:LPV_3127
ko:K00342	lph:LPV_3128
ko:K00341	lph:LPV_3129
ko:K00340	lph:LPV_3130
ko:K00339	lph:LPV_3131
ko:K00338	lph:LPV_3132
ko:K00337	lph:LPV_3134
ko:K00334	lph:LPV_3137
ko:K00333	lph:LPV_3138
ko:K00332	lph:LPV_3139
ko:K00331	lph:LPV_3140
ko:K00330	lph:LPV_3141
ko:K03075	lph:LPV_3142
ko:K01803	lph:LPV_3143
ko:K03431	lph:LPV_3145
ko:K00796	lph:LPV_3146
ko:K03798	lph:LPV_3147
ko:K07574	lph:LPV_3149
ko:K10763	lph:LPV_3154
ko:K03305	lph:LPV_3157
ko:K07001	lph:LPV_3159
ko:K00014	lph:LPV_3160
ko:K01256	lph:LPV_3161
ko:K07180	lph:LPV_3162
ko:K09786	lph:LPV_3163
ko:K03656	lph:LPV_3169
ko:K04083	lph:LPV_3171
ko:K06207	lph:LPV_3176
ko:K02356	lph:LPV_0382
ko:K00937	lph:LPV_0384
ko:K07240	lph:LPV_0386
ko:K07102	lph:LPV_0391
ko:K04744	lph:LPV_0392
ko:K03771	lph:LPV_0393
ko:K00097	lph:LPV_0394
ko:K02358	lph:LPV_0405
ko:K03073	lph:LPV_0406
ko:K02601	lph:LPV_0407
ko:K02867	lph:LPV_0408
ko:K02863	lph:LPV_0409
ko:K02864	lph:LPV_0410
ko:K02935	lph:LPV_0411
ko:K03043	lph:LPV_0412
ko:K03046	lph:LPV_0413
ko:K02950	lph:LPV_0414
