ko:K18929	hpym:K749_05005
ko:K02400	hpym:K749_03595
ko:K01895	hpym:K749_03620
ko:K09748	hpym:K749_03625
ko:K02834	hpym:K749_03630
ko:K02519	hpym:K749_03635
ko:K00872	hpym:K749_03645
ko:K03601	hpym:K749_04360
ko:K11749	hpym:K749_04365
ko:K01939	hpym:K749_04380
ko:K13896	hpym:K749_04410
ko:K05592	hpym:K749_04425
ko:K02394	hpym:K749_04430
ko:K07710	hpym:K749_04440
ko:K04047	hpym:K749_04445
ko:K02523	hpym:K749_04460
ko:K02492	hpym:K749_04465
ko:K01881	hpym:K749_04470
ko:K01749	hpym:K749_04475
ko:K03695	hpym:K749_04335
ko:K00891	hpym:K749_04905
ko:K01689	hpym:K749_04920
ko:K00406	hpym:K749_04960
ko:K03655	hpym:K749_06335
ko:K02600	hpym:K749_06365
ko:K01042	hpym:K749_06370
ko:K01633	hpym:K749_06390
ko:K08591	hpym:K749_06395
ko:K03312	hpym:K749_06410
ko:K11752	hpym:K749_06415
ko:K09943	hpym:K749_06430
ko:K11720	hpym:K749_06460
ko:K01056	hpym:K749_06465
ko:K02897	hpym:K749_06470
ko:K01928	hpym:K749_06480
ko:K03306	hpym:K749_06495
ko:K01993	hpym:K749_06510
ko:K08973	hpym:K749_06530
ko:K03183	hpym:K749_06535
ko:K03602	hpym:K749_06540
ko:K01875	hpym:K749_06550
ko:K03657	hpym:K749_06560
ko:K02386	hpym:K749_06565
ko:K03186	hpym:K749_06570
ko:K00954	hpym:K749_06575
ko:K00943	hpym:K749_06580
ko:K01142	hpym:K749_06320
ko:K09457	hpym:K749_06895
ko:K07058	hpym:K749_06930
ko:K01012	hpym:K749_06935
ko:K09710	hpym:K749_06890
ko:K01647	hpym:K749_06960
ko:K00031	hpym:K749_06965
ko:K01935	hpym:K749_06975
ko:K06891	hpym:K749_06990
ko:K03694	hpym:K749_06995
ko:K01579	hpym:K749_07000
ko:K09747	hpym:K749_07005
ko:K12050	hpym:K749_07020
ko:K02109	hpym:K749_00035
ko:K02109	hpym:K749_00040
ko:K02113	hpym:K749_00045
ko:K02111	hpym:K749_00050
ko:K02115	hpym:K749_00055
ko:K02112	hpym:K749_00060
ko:K02114	hpym:K749_00065
ko:K03641	hpym:K749_00085
ko:K03640	hpym:K749_00090
ko:K03775	hpym:K749_00100
ko:K02396	hpym:K749_00125
ko:K03610	hpym:K749_03660
ko:K00606	hpym:K749_03690
ko:K07568	hpym:K749_03710
ko:K03501	hpym:K749_03715
ko:K06950	hpym:K749_03720
ko:K03413	hpym:K749_03735
ko:K02687	hpym:K749_03740
ko:K03798	hpym:K749_03745
ko:K17103	hpym:K749_03755
ko:K07241	hpym:K749_03790
ko:K00609	hpym:K749_03830
ko:K06442	hpym:K749_03840
ko:K02535	hpym:K749_03655
ko:K03981	hpym:K749_04510
ko:K00979	hpym:K749_04515
ko:K03321	hpym:K749_04525
ko:K07090	hpym:K749_04535
ko:K12267	hpym:K749_04540
ko:K04485	hpym:K749_04545
ko:K13819	hpym:K749_04555
ko:K04487	hpym:K749_04560
ko:K00981	hpym:K749_04595
ko:K14445	hpym:K749_04600
ko:K03495	hpym:K749_04605
ko:K04079	hpym:K749_04620
ko:K00648	hpym:K749_04675
ko:K02066	hpym:K749_06620
ko:K02065	hpym:K749_06625
ko:K00428	hpym:K749_06645
ko:K02337	hpym:K749_06650
ko:K06178	hpym:K749_06655
ko:K07337	hpym:K749_06665
ko:K03650	hpym:K749_06695
ko:K03217	hpym:K749_06705
ko:K03536	hpym:K749_06715
ko:K03561	hpym:K749_06730
ko:K03664	hpym:K749_06735
ko:K00919	hpym:K749_06740
ko:K03563	hpym:K749_06745
ko:K04773	hpym:K749_06785
ko:K01433	hpym:K749_06790
ko:K02528	hpym:K749_06810
ko:K06041	hpym:K749_06820
ko:K06941	hpym:K749_06825
ko:K01870	hpym:K749_06845
ko:K00826	hpym:K749_06610
ko:K12049	hpym:K749_07025
ko:K12048	hpym:K749_07030
ko:K01711	hpym:K749_07040
ko:K02377	hpym:K749_07045
ko:K04656	hpym:K749_07055
ko:K03832	hpym:K749_07070
ko:K03561	hpym:K749_07080
ko:K07722	hpym:K749_07085
ko:K00969	hpym:K749_07090
ko:K00566	hpym:K749_07100
ko:K03686	hpym:K749_07125
ko:K07787	hpym:K749_07140
ko:K03470	hpym:K749_07170
ko:K07133	hpym:K749_07180
ko:K02946	hpym:K749_07185
ko:K02906	hpym:K749_07190
ko:K02926	hpym:K749_07195
ko:K02892	hpym:K749_07200
ko:K02886	hpym:K749_07205
ko:K02965	hpym:K749_07210
ko:K02890	hpym:K749_07215
ko:K02982	hpym:K749_07220
ko:K02878	hpym:K749_07225
ko:K02904	hpym:K749_07230
ko:K02961	hpym:K749_07235
ko:K02874	hpym:K749_07240
ko:K02895	hpym:K749_07245
ko:K02931	hpym:K749_07250
ko:K02954	hpym:K749_07255
ko:K02994	hpym:K749_07260
ko:K02933	hpym:K749_07265
ko:K02881	hpym:K749_07270
ko:K02988	hpym:K749_07275
ko:K02876	hpym:K749_07280
ko:K03076	hpym:K749_07285
ko:K01265	hpym:K749_07290
ko:K02518	hpym:K749_07295
ko:K02952	hpym:K749_07305
ko:K00285	hpym:K749_00865
ko:K03310	hpym:K749_00870
ko:K01775	hpym:K749_00875
ko:K02424	hpym:K749_00880
ko:K10009	hpym:K749_00885
ko:K01737	hpym:K749_00920
ko:K03787	hpym:K749_00930
ko:K00795	hpym:K749_00935
ko:K01495	hpym:K749_00940
ko:K03799	hpym:K749_00945
ko:K06176	hpym:K749_00950
ko:K06187	hpym:K749_00955
ko:K01821	hpym:K749_00960
ko:K00134	hpym:K749_00975
ko:K01955	hpym:K749_00985
ko:K15844	hpym:K749_01005
ko:K15843	hpym:K749_01010
ko:K03657	hpym:K749_01020
ko:K02390	hpym:K749_01035
ko:K02389	hpym:K749_01040
ko:K01491	hpym:K749_01595
ko:K01465	hpym:K749_01615
ko:K02417	hpym:K749_01630
ko:K10773	hpym:K749_01635
ko:K01985	hpym:K749_r08174
ko:K01985	hpym:K749_r08176
ko:K07082	hpym:K749_01650
ko:K00176	hpym:K749_01655
ko:K00174	hpym:K749_01660
ko:K00175	hpym:K749_01665
ko:K00177	hpym:K749_01670
ko:K03611	hpym:K749_01685
ko:K01079	hpym:K749_01990
ko:K02217	hpym:K749_01995
ko:K07277	hpym:K749_02005
ko:K02434	hpym:K749_02025
ko:K03685	hpym:K749_02045
ko:K01736	hpym:K749_02050
ko:K11473	hpym:K749_02065
ko:K01921	hpym:K749_02510
ko:K01929	hpym:K749_02520
ko:K00948	hpym:K749_02530
ko:K06180	hpym:K749_02550
ko:K03439	hpym:K749_02560
ko:K09812	hpym:K749_02565
ko:K09811	hpym:K749_02570
ko:K02407	hpym:K749_02585
ko:K02422	hpym:K749_02590
ko:K11782	hpym:K749_02735
ko:K05847	hpym:K749_02960
ko:K03703	hpym:K749_02975
ko:K00003	hpym:K749_02980
ko:K07460	hpym:K749_02985
ko:K03671	hpym:K749_02990
ko:K00384	hpym:K749_02995
ko:K07270	hpym:K749_03000
ko:K02108	hpym:K749_03015
ko:K11753	hpym:K749_03845
ko:K02392	hpym:K749_03880
ko:K03596	hpym:K749_03895
ko:K01662	hpym:K749_03900
ko:K02411	hpym:K749_03905
ko:K02410	hpym:K749_03910
ko:K02409	hpym:K749_03915
ko:K01937	hpym:K749_03925
ko:K07462	hpym:K749_03930
ko:K06180	hpym:K749_03935
ko:K07447	hpym:K749_03980
ko:K04096	hpym:K749_03985
ko:K03608	hpym:K749_03990
ko:K03609	hpym:K749_03995
ko:K00053	hpym:K749_04000
ko:K00912	hpym:K749_04010
ko:K02393	hpym:K749_04030
ko:K00942	hpym:K749_04055
ko:K03116	hpym:K749_04060
ko:K01887	hpym:K749_04065
ko:K02911	hpym:K749_04685
ko:K00940	hpym:K749_04695
ko:K00789	hpym:K749_04700
ko:K02536	hpym:K749_04705
ko:K00208	hpym:K749_04710
ko:K01803	hpym:K749_04715
ko:K00246	hpym:K749_04720
ko:K03621	hpym:K749_04680
ko:K00405	hpym:K749_04970
ko:K00404	hpym:K749_04975
ko:K03575	hpym:K749_04985
ko:K03303	hpym:K749_04990
ko:K03303	hpym:K749_04995
ko:K00782	hpym:K749_05010
ko:K03564	hpym:K749_05015
ko:K01626	hpym:K749_05030
ko:K03837	hpym:K749_05040
ko:K01752	hpym:K749_05045
ko:K00645	hpym:K749_05090
ko:K01733	hpym:K749_05130
ko:K09765	hpym:K749_05140
ko:K00407	hpym:K749_04965
ko:K04078	hpym:K749_05805
ko:K04077	hpym:K749_05810
ko:K15845	hpym:K749_05815
ko:K01918	hpym:K749_05820
ko:K01591	hpym:K749_05825
ko:K01673	hpym:K749_05830
ko:K01627	hpym:K749_05835
ko:K00794	hpym:K749_05840
ko:K03625	hpym:K749_05845
ko:K02392	hpym:K749_05865
ko:K00097	hpym:K749_05875
ko:K03474	hpym:K749_05880
ko:K02072	hpym:K749_05900
ko:K02071	hpym:K749_05905
ko:K04061	hpym:K749_05910
ko:K00793	hpym:K749_05915
ko:K03424	hpym:K749_05920
ko:K08307	hpym:K749_05925
ko:K02948	hpym:K749_07310
ko:K02986	hpym:K749_07315
ko:K03040	hpym:K749_07320
ko:K02879	hpym:K749_07325
ko:K03811	hpym:K749_07340
ko:K03707	hpym:K749_07345
ko:K01657	hpym:K749_07365
ko:K03702	hpym:K749_00155
ko:K01756	hpym:K749_00165
ko:K00170	hpym:K749_00170
ko:K00169	hpym:K749_00175
ko:K00171	hpym:K749_00180
ko:K00172	hpym:K749_00185
ko:K13979	hpym:K749_00210
ko:K01057	hpym:K749_00225
ko:K00036	hpym:K749_00230
ko:K01690	hpym:K749_00235
ko:K01625	hpym:K749_00240
ko:K06173	hpym:K749_00270
ko:K07091	hpym:K749_00275
ko:K00573	hpym:K749_00280
ko:K15895	hpym:K749_00295
ko:K01961	hpym:K749_00315
ko:K02160	hpym:K749_00320
ko:K01494	hpym:K749_00325
ko:K09761	hpym:K749_00340
ko:K00262	hpym:K749_00375
ko:K02493	hpym:K749_00380
ko:K04066	hpym:K749_00410
ko:K15256	hpym:K749_00415
ko:K13788	hpym:K749_01050
ko:K04653	hpym:K749_01070
ko:K04654	hpym:K749_01075
ko:K15847	hpym:K749_01085
ko:K02015	hpym:K749_01110
ko:K02013	hpym:K749_01115
ko:K01883	hpym:K749_01125
ko:K03980	hpym:K749_01130
ko:K03550	hpym:K749_01140
ko:K10716	hpym:K749_01155
ko:K02902	hpym:K749_01160
ko:K02406	hpym:K749_01730
ko:K01599	hpym:K749_01745
ko:K01972	hpym:K749_01785
ko:K03415	hpym:K749_01790
ko:K01876	hpym:K749_01795
ko:K07270	hpym:K749_01805
ko:K00812	hpym:K749_02085
ko:K07090	hpym:K749_02105
ko:K04042	hpym:K749_02140
ko:K02419	hpym:K749_02145
ko:K16091	hpym:K749_02150
ko:K04759	hpym:K749_02155
ko:K07501	hpym:K749_02160
ko:K01028	hpym:K749_02170
ko:K01029	hpym:K749_02175
ko:K02106	hpym:K749_02185
ko:K12251	hpym:K749_02610
ko:K07084	hpym:K749_02620
ko:K03110	hpym:K749_02645
ko:K06940	hpym:K749_02650
ko:K03752	hpym:K749_02690
ko:K02401	hpym:K749_02695
ko:K01448	hpym:K749_02705
ko:K00459	hpym:K749_02710
ko:K01866	hpym:K749_02715
ko:K03060	hpym:K749_02725
ko:K09903	hpym:K749_02730
ko:K01682	hpym:K749_02740
ko:K03634	hpym:K749_02765
ko:K03070	hpym:K749_02770
ko:K00859	hpym:K749_03030
ko:K00797	hpym:K749_03035
ko:K03977	hpym:K749_03045
ko:K03530	hpym:K749_03050
ko:K09860	hpym:K749_03060
ko:K15894	hpym:K749_03075
ko:K13038	hpym:K749_03080
ko:K00788	hpym:K749_03090
ko:K00941	hpym:K749_03095
ko:K00878	hpym:K749_03100
ko:K01154	hpym:K749_03115
ko:K03427	hpym:K749_03120
ko:K00364	hpym:K749_03145
ko:K03271	hpym:K749_03150
ko:K03272	hpym:K749_03155
ko:K03274	hpym:K749_03160
ko:K03273	hpym:K749_03165
ko:K09792	hpym:K749_03170
ko:K03525	hpym:K749_03175
ko:K03624	hpym:K749_03195
ko:K00748	hpym:K749_03200
ko:K04651	hpym:K749_03210
ko:K02390	hpym:K749_03215
ko:K01521	hpym:K749_03220
ko:K06193	hpym:K749_03225
ko:K03781	hpym:K749_03240
ko:K01159	hpym:K749_03250
ko:K03781	hpym:K749_03285
ko:K06207	hpym:K749_03310
ko:K00600	hpym:K749_04770
ko:K04567	hpym:K749_04775
ko:K03558	hpym:K749_04780
ko:K03820	hpym:K749_04785
ko:K02003	hpym:K749_04790
ko:K02356	hpym:K749_04800
ko:K01624	hpym:K749_04805
ko:K01738	hpym:K749_05180
ko:K04043	hpym:K749_05185
ko:K03687	hpym:K749_05190
ko:K03705	hpym:K749_05195
ko:K01628	hpym:K749_05200
ko:K02406	hpym:K749_05215
ko:K03168	hpym:K749_05220
ko:K01868	hpym:K749_05250
ko:K02520	hpym:K749_05255
ko:K02916	hpym:K749_05260
ko:K02887	hpym:K749_05265
ko:K03086	hpym:K749_05320
ko:K00116	hpym:K749_05330
ko:K02871	hpym:K749_05340
ko:K02996	hpym:K749_05345
ko:K02835	hpym:K749_05380
ko:K02968	hpym:K749_05385
ko:K03431	hpym:K749_05390
ko:K03101	hpym:K749_05395
ko:K01428	hpym:K749_05405
ko:K03191	hpym:K749_05410
ko:K03187	hpym:K749_05415
ko:K03188	hpym:K749_05420
ko:K03189	hpym:K749_05425
ko:K03190	hpym:K749_05430
ko:K07173	hpym:K749_05165
ko:K03270	hpym:K749_05935
ko:K09774	hpym:K749_05945
ko:K03978	hpym:K749_05950
ko:K05515	hpym:K749_05960
ko:K02073	hpym:K749_05965
ko:K02016	hpym:K749_05975
ko:K02387	hpym:K749_05990
ko:K02388	hpym:K749_05995
ko:K02408	hpym:K749_06000
ko:K03587	hpym:K749_06005
ko:K00413	hpym:K749_06020
ko:K00412	hpym:K749_06025
ko:K00411	hpym:K749_06030
ko:K03642	hpym:K749_05930
ko:K02412	hpym:K749_06855
ko:K02420	hpym:K749_06860
ko:K00075	hpym:K749_06865
ko:K00791	hpym:K749_06885
ko:K15846	hpym:K749_01165
ko:K01000	hpym:K749_01170
ko:K01925	hpym:K749_01175
ko:K07107	hpym:K749_01185
ko:K03308	hpym:K749_01190
ko:K03308	hpym:K749_01195
ko:K02338	hpym:K749_01210
ko:K02470	hpym:K749_01215
ko:K00215	hpym:K749_01250
ko:K01915	hpym:K749_01260
ko:K02939	hpym:K749_01270
ko:K01419	hpym:K749_01275
ko:K03667	hpym:K749_01280
ko:K07456	hpym:K749_01825
ko:K01924	hpym:K749_01835
ko:K03923	hpym:K749_01865
ko:K03620	hpym:K749_01885
ko:K01534	hpym:K749_02800
ko:K07391	hpym:K749_02805
ko:K01462	hpym:K749_02810
ko:K01358	hpym:K749_02815
ko:K03545	hpym:K749_02820
ko:K15846	hpym:K749_02830
ko:K03637	hpym:K749_02835
ko:K03831	hpym:K749_02840
ko:K03636	hpym:K749_02850
ko:K14652	hpym:K749_02865
ko:K13821	hpym:K749_05505
ko:K03284	hpym:K749_05535
ko:K00927	hpym:K749_05540
ko:K00134	hpym:K749_05545
ko:K03648	hpym:K749_05550
ko:K00655	hpym:K749_05555
ko:K03797	hpym:K749_05565
ko:K11754	hpym:K749_06055
ko:K01869	hpym:K749_06065
ko:K03074	hpym:K749_06075
ko:K03072	hpym:K749_06080
ko:K03210	hpym:K749_06090
ko:K03313	hpym:K749_06095
ko:K02967	hpym:K749_06105
ko:K02357	hpym:K749_06110
ko:K03841	hpym:K749_06140
ko:K03723	hpym:K749_06035
ko:K03631	hpym:K749_06185
ko:K00858	hpym:K749_06190
ko:K00259	hpym:K749_06230
ko:K01783	hpym:K749_06145
ko:K00766	hpym:K749_07375
ko:K13498	hpym:K749_07380
ko:K01696	hpym:K749_07385
ko:K01695	hpym:K749_07390
ko:K15778	hpym:K749_07400
ko:K00343	hpym:K749_07410
ko:K00342	hpym:K749_07415
ko:K00341	hpym:K749_07420
ko:K00340	hpym:K749_07425
ko:K00339	hpym:K749_07430
ko:K00338	hpym:K749_07435
ko:K00337	hpym:K749_07440
ko:K00334	hpym:K749_07455
ko:K00333	hpym:K749_07460
ko:K00332	hpym:K749_07465
ko:K00331	hpym:K749_07470
ko:K00330	hpym:K749_07475
ko:K12410	hpym:K749_07480
ko:K00762	hpym:K749_07490
ko:K02838	hpym:K749_07495
ko:K03075	hpym:K749_07500
ko:K02169	hpym:K749_07505
ko:K01867	hpym:K749_07510
ko:K13894	hpym:K749_07525
ko:K00014	hpym:K749_07535
ko:K12573	hpym:K749_07540
ko:K02340	hpym:K749_07545
ko:K02990	hpym:K749_07555
ko:K04564	hpym:K749_00420
ko:K11065	hpym:K749_00425
ko:K03408	hpym:K749_00430
ko:K03407	hpym:K749_00435
ko:K03415	hpym:K749_00440
ko:K03269	hpym:K749_00445
ko:K06997	hpym:K749_00450
ko:K03182	hpym:K749_00455
ko:K02945	hpym:K749_00470
ko:K03527	hpym:K749_00475
ko:K00800	hpym:K749_00480
ko:K01890	hpym:K749_00485
ko:K01889	hpym:K749_00490
ko:K02503	hpym:K749_00500
ko:K01951	hpym:K749_00540
ko:K15846	hpym:K749_00545
ko:K16052	hpym:K749_00555
ko:K00574	hpym:K749_00560
ko:K01874	hpym:K749_00565
ko:K00806	hpym:K749_07680
ko:K01945	hpym:K749_07690
ko:K04744	hpym:K749_07700
ko:K00962	hpym:K749_07710
ko:K02110	hpym:K749_07720
ko:K00640	hpym:K749_07730
ko:K02863	hpym:K749_07780
ko:K02864	hpym:K749_07785
ko:K02935	hpym:K749_07790
ko:K02950	hpym:K749_07800
ko:K02992	hpym:K749_07805
ko:K02355	hpym:K749_07810
ko:K01892	hpym:K749_07825
ko:K00133	hpym:K749_07830
ko:K08159	hpym:K749_07850
ko:K01839	hpym:K749_07885
ko:K01873	hpym:K749_08035
ko:K03106	hpym:K749_08040
ko:K02959	hpym:K749_08045
ko:K06960	hpym:K749_08050
ko:K02860	hpym:K749_08055
ko:K00554	hpym:K749_08060
ko:K02884	hpym:K749_08065
ko:K00796	hpym:K749_07625
ko:K02341	hpym:K749_07630
ko:K00928	hpym:K749_07640
ko:K08311	hpym:K749_07645
ko:K06199	hpym:K749_07660
ko:K02358	hpym:K749_07755
ko:K02913	hpym:K749_07760
ko:K03073	hpym:K749_07765
ko:K02601	hpym:K749_07770
ko:K02867	hpym:K749_07775
ko:K06901	hpym:K749_07920
ko:K02429	hpym:K749_07925
ko:K02029	hpym:K749_07945
ko:K02029	hpym:K749_07950
ko:K06200	hpym:K749_07955
ko:K01810	hpym:K749_07970
ko:K00384	hpym:K749_07980
ko:K03839	hpym:K749_07995
ko:K07042	hpym:K749_08000
ko:K04095	hpym:K749_08005
ko:K00286	hpym:K749_08010
ko:K02563	hpym:K749_08025
ko:K14237	hpym:K749_t08144
ko:K14220	hpym:K749_t08140
ko:K14218	hpym:K749_t08138
ko:K14219	hpym:K749_t08136
ko:K14233	hpym:K749_t08134
ko:K14232	hpym:K749_t08132
ko:K14219	hpym:K749_t08130
ko:K14230	hpym:K749_t08128
ko:K14230	hpym:K749_t08126
ko:K14223	hpym:K749_t08124
ko:K14225	hpym:K749_t08122
ko:K14228	hpym:K749_t08120
ko:K14222	hpym:K749_t08118
ko:K14233	hpym:K749_t08116
ko:K14219	hpym:K749_t08114
ko:K14219	hpym:K749_t08112
ko:K14226	hpym:K749_t08110
ko:K14232	hpym:K749_t08108
ko:K14228	hpym:K749_t08106
ko:K14227	hpym:K749_t08104
ko:K14218	hpym:K749_t08102
ko:K14230	hpym:K749_t08172
ko:K14235	hpym:K749_t08170
ko:K14234	hpym:K749_t08168
ko:K14225	hpym:K749_t08166
ko:K14236	hpym:K749_t08164
ko:K14234	hpym:K749_t08162
ko:K14231	hpym:K749_t08156
ko:K14224	hpym:K749_t08154
ko:K14229	hpym:K749_t08146
ko:K01980	hpym:K749_r08184
ko:K01980	hpym:K749_r08186
ko:K07316	hpym:K749_06345
ko:K01990	hpym:K749_07685
ko:K02484	hpym:K749_05645
ko:K02847	hpym:K749_03585
ko:K14233	hpym:K749_t08142
ko:K14228	hpym:K749_t08158
ko:K14228	hpym:K749_t08160
ko:K11028	hpym:K749_01120
ko:K01992	hpym:K749_06515
ko:K12053	hpym:K749_05765
ko:K01585	hpym:K749_00590
ko:K00058	hpym:K749_00460
ko:K06013	hpym:K749_00385
ko:K04093	hpym:K749_04190
ko:K03342	hpym:K749_04180
ko:K01426	hpym:K749_04175
ko:K15896	hpym:K749_04015
ko:K01916	hpym:K749_04005
ko:K01885	hpym:K749_01935
ko:K07126	hpym:K749_01855
ko:K00674	hpym:K749_01850
ko:K01507	hpym:K749_01820
ko:K00939	hpym:K749_01800
ko:K07457	hpym:K749_01735
ko:K00652	hpym:K749_01705
ko:K02238	hpym:K749_05630
ko:K14048	hpym:K749_05400
ko:K00059	hpym:K749_01510
ko:K01760	hpym:K749_08860
ko:K01119	hpym:K749_05160
