ko:K01835	blb:BBMN68_1663
ko:K06901	blb:BBMN68_1577
ko:K02864	blb:BBMN68_1579
ko:K02935	blb:BBMN68_1580
ko:K01934	blb:BBMN68_1586
ko:K03790	blb:BBMN68_1587
ko:K04078	blb:BBMN68_1589
ko:K01761	blb:BBMN68_1590
ko:K03564	blb:BBMN68_567
ko:K02013	blb:BBMN68_569
ko:K00266	blb:BBMN68_572
ko:K00265	blb:BBMN68_573
ko:K00865	blb:BBMN68_585
ko:K02529	blb:BBMN68_586
ko:K03596	blb:BBMN68_588
ko:K02968	blb:BBMN68_589
ko:K02428	blb:BBMN68_591
ko:K00826	blb:BBMN68_592
ko:K02897	blb:BBMN68_593
ko:K06889	blb:BBMN68_594
ko:K00325	blb:BBMN68_595
ko:K00324	blb:BBMN68_596
ko:K00324	blb:BBMN68_597
ko:K03595	blb:BBMN68_599
ko:K14223	blb:BBMN68_tRNA33
ko:K14233	blb:BBMN68_tRNA31
ko:K01739	blb:BBMN68_917
ko:K14235	blb:BBMN68_tRNA41
ko:K14231	blb:BBMN68_tRNA52
ko:K14237	blb:BBMN68_tRNA24
ko:K14237	blb:BBMN68_tRNA7
ko:K14230	blb:BBMN68_tRNA45
ko:K10119	blb:BBMN68_1599
ko:K14225	blb:BBMN68_tRNA42
ko:K14237	blb:BBMN68_tRNA25
ko:K14237	blb:BBMN68_tRNA6
ko:K14219	blb:BBMN68_tRNA11
ko:K14219	blb:BBMN68_tRNA12
ko:K14234	blb:BBMN68_tRNA23
ko:K14224	blb:BBMN68_tRNA34
ko:K14228	blb:BBMN68_tRNA36
ko:K14236	blb:BBMN68_tRNA43
ko:K14233	blb:BBMN68_tRNA46
ko:K14224	blb:BBMN68_tRNA50
ko:K06921	blb:BBMN68_1447
ko:K01887	blb:BBMN68_1530
ko:K01586	blb:BBMN68_1531
ko:K00003	blb:BBMN68_1532
ko:K00872	blb:BBMN68_1533
ko:K06287	blb:BBMN68_1534
ko:K02003	blb:BBMN68_1535
ko:K10254	blb:BBMN68_175
ko:K00854	blb:BBMN68_178
ko:K01512	blb:BBMN68_179
ko:K00013	blb:BBMN68_180
ko:K00817	blb:BBMN68_181
ko:K01693	blb:BBMN68_182
ko:K02501	blb:BBMN68_184
ko:K01915	blb:BBMN68_187
ko:K03578	blb:BBMN68_190
ko:K03665	blb:BBMN68_192
ko:K00016	blb:BBMN68_193
ko:K01356	blb:BBMN68_195
ko:K07738	blb:BBMN68_197
ko:K00058	blb:BBMN68_198
ko:K03925	blb:BBMN68_200
ko:K03438	blb:BBMN68_201
ko:K03587	blb:BBMN68_203
ko:K01929	blb:BBMN68_205
ko:K01000	blb:BBMN68_206
ko:K01925	blb:BBMN68_207
ko:K03588	blb:BBMN68_208
ko:K02563	blb:BBMN68_209
ko:K01924	blb:BBMN68_210
ko:K03589	blb:BBMN68_211
ko:K07560	blb:BBMN68_214
ko:K01191	blb:BBMN68_215
ko:K01191	blb:BBMN68_216
ko:K02027	blb:BBMN68_217
ko:K02025	blb:BBMN68_218
ko:K02026	blb:BBMN68_219
ko:K03724	blb:BBMN68_323
ko:K02469	blb:BBMN68_325
ko:K01520	blb:BBMN68_330
ko:K00951	blb:BBMN68_331
ko:K07006	blb:BBMN68_350
ko:K01834	blb:BBMN68_352
ko:K03046	blb:BBMN68_969
ko:K03043	blb:BBMN68_970
ko:K03575	blb:BBMN68_972
ko:K03216	blb:BBMN68_973
ko:K09157	blb:BBMN68_974
ko:K07166	blb:BBMN68_975
ko:K00849	blb:BBMN68_976
ko:K00965	blb:BBMN68_977
ko:K00226	blb:BBMN68_979
ko:K03800	blb:BBMN68_983
ko:K00052	blb:BBMN68_984
ko:K01354	blb:BBMN68_985
ko:K02437	blb:BBMN68_987
ko:K03426	blb:BBMN68_988
ko:K07729	blb:BBMN68_994
ko:K01104	blb:BBMN68_996
ko:K04096	blb:BBMN68_1000
ko:K02551	blb:BBMN68_1007
ko:K03322	blb:BBMN68_1014
ko:K07133	blb:BBMN68_1015
ko:K12308	blb:BBMN68_1021
ko:K02026	blb:BBMN68_1022
ko:K02027	blb:BBMN68_1024
ko:K02003	blb:BBMN68_1029
ko:K02004	blb:BBMN68_1030
ko:K02004	blb:BBMN68_1031
ko:K07010	blb:BBMN68_1033
ko:K01804	blb:BBMN68_1034
ko:K03470	blb:BBMN68_1038
ko:K03100	blb:BBMN68_1039
ko:K02884	blb:BBMN68_1040
ko:K01810	blb:BBMN68_1041
ko:K12554	blb:BBMN68_1043
ko:K12554	blb:BBMN68_1045
ko:K00989	blb:BBMN68_1047
ko:K00763	blb:BBMN68_1048
ko:K00954	blb:BBMN68_1053
ko:K07040	blb:BBMN68_1055
ko:K02911	blb:BBMN68_1056
ko:K03685	blb:BBMN68_1057
ko:K01652	blb:BBMN68_1058
ko:K01653	blb:BBMN68_1059
ko:K01883	blb:BBMN68_1064
ko:K03106	blb:BBMN68_1066
ko:K02959	blb:BBMN68_1068
ko:K06960	blb:BBMN68_1069
ko:K02860	blb:BBMN68_1070
ko:K03744	blb:BBMN68_1074
ko:K02036	blb:BBMN68_1075
ko:K02038	blb:BBMN68_1076
ko:K02037	blb:BBMN68_1077
ko:K02040	blb:BBMN68_1078
ko:K07776	blb:BBMN68_1079
ko:K01243	blb:BBMN68_1081
ko:K01626	blb:BBMN68_1082
ko:K14228	blb:BBMN68_tRNA18
ko:K07042	blb:BBMN68_601
ko:K06217	blb:BBMN68_602
ko:K02503	blb:BBMN68_603
ko:K09761	blb:BBMN68_604
ko:K00975	blb:BBMN68_606
ko:K04488	blb:BBMN68_608
ko:K11717	blb:BBMN68_609
ko:K09013	blb:BBMN68_610
ko:K02913	blb:BBMN68_1591
ko:K00075	blb:BBMN68_1592
ko:K03294	blb:BBMN68_1593
ko:K02346	blb:BBMN68_1601
ko:K07282	blb:BBMN68_1603
ko:K00705	blb:BBMN68_1607
ko:K02871	blb:BBMN68_1608
ko:K02996	blb:BBMN68_1609
ko:K04072	blb:BBMN68_1612
ko:K02946	blb:BBMN68_1614
ko:K02906	blb:BBMN68_1615
ko:K02926	blb:BBMN68_1616
ko:K02892	blb:BBMN68_1617
ko:K02886	blb:BBMN68_1618
ko:K02965	blb:BBMN68_1619
ko:K02890	blb:BBMN68_1620
ko:K02982	blb:BBMN68_1621
ko:K02878	blb:BBMN68_1622
ko:K02904	blb:BBMN68_1623
ko:K02961	blb:BBMN68_1624
ko:K02874	blb:BBMN68_1625
ko:K02895	blb:BBMN68_1626
ko:K02931	blb:BBMN68_1627
ko:K02954	blb:BBMN68_1628
ko:K02994	blb:BBMN68_1629
ko:K02933	blb:BBMN68_1630
ko:K02881	blb:BBMN68_1631
ko:K02988	blb:BBMN68_1632
ko:K02907	blb:BBMN68_1633
ko:K02876	blb:BBMN68_1634
ko:K03076	blb:BBMN68_1635
ko:K00939	blb:BBMN68_1636
ko:K02518	blb:BBMN68_1637
ko:K02919	blb:BBMN68_1638
ko:K02952	blb:BBMN68_1639
ko:K02948	blb:BBMN68_1640
ko:K03040	blb:BBMN68_1641
ko:K02879	blb:BBMN68_1642
ko:K06173	blb:BBMN68_1643
ko:K02600	blb:BBMN68_1649
ko:K02519	blb:BBMN68_1650
ko:K00789	blb:BBMN68_14
ko:K03060	blb:BBMN68_15
ko:K01687	blb:BBMN68_16
ko:K00604	blb:BBMN68_17
ko:K07025	blb:BBMN68_18
ko:K04066	blb:BBMN68_19
ko:K01079	blb:BBMN68_20
ko:K13527	blb:BBMN68_22
ko:K09015	blb:BBMN68_611
ko:K09014	blb:BBMN68_612
ko:K01937	blb:BBMN68_614
ko:K01439	blb:BBMN68_615
ko:K03786	blb:BBMN68_616
ko:K07082	blb:BBMN68_619
ko:K07447	blb:BBMN68_620
ko:K01872	blb:BBMN68_621
ko:K02986	blb:BBMN68_626
ko:K02003	blb:BBMN68_627
ko:K02004	blb:BBMN68_628
ko:K03657	blb:BBMN68_630
ko:K03816	blb:BBMN68_631
ko:K03458	blb:BBMN68_632
ko:K07727	blb:BBMN68_633
ko:K08281	blb:BBMN68_638
ko:K07220	blb:BBMN68_646
ko:K03306	blb:BBMN68_647
ko:K06200	blb:BBMN68_649
ko:K02834	blb:BBMN68_1651
ko:K03177	blb:BBMN68_1652
ko:K11753	blb:BBMN68_1653
ko:K04485	blb:BBMN68_1654
ko:K01807	blb:BBMN68_1657
ko:K03469	blb:BBMN68_1658
ko:K02755	blb:BBMN68_1665
ko:K02756	blb:BBMN68_1665
ko:K02757	blb:BBMN68_1665
ko:K03488	blb:BBMN68_1666
ko:K01875	blb:BBMN68_1668
ko:K02027	blb:BBMN68_1670
ko:K02025	blb:BBMN68_1671
ko:K02026	blb:BBMN68_1672
ko:K00965	blb:BBMN68_1675
ko:K01784	blb:BBMN68_1676
ko:K04567	blb:BBMN68_1685
ko:K02548	blb:BBMN68_1686
ko:K02039	blb:BBMN68_1688
ko:K00831	blb:BBMN68_1690
ko:K00560	blb:BBMN68_1697
ko:K00287	blb:BBMN68_1698
ko:K01104	blb:BBMN68_1699
ko:K03439	blb:BBMN68_1702
ko:K01784	blb:BBMN68_1703
ko:K00574	blb:BBMN68_1705
ko:K00048	blb:BBMN68_1706
ko:K00919	blb:BBMN68_1387
ko:K02528	blb:BBMN68_1388
ko:K06191	blb:BBMN68_1397
ko:K03647	blb:BBMN68_1398
ko:K00525	blb:BBMN68_1399
ko:K00526	blb:BBMN68_1401
ko:K07284	blb:BBMN68_1406
ko:K03218	blb:BBMN68_1410
ko:K01972	blb:BBMN68_93
ko:K03593	blb:BBMN68_94
ko:K01811	blb:BBMN68_101
ko:K00074	blb:BBMN68_102
ko:K00598	blb:BBMN68_105
ko:K03631	blb:BBMN68_793
ko:K00858	blb:BBMN68_794
ko:K03499	blb:BBMN68_796
ko:K06442	blb:BBMN68_798
ko:K01866	blb:BBMN68_802
ko:K06950	blb:BBMN68_804
ko:K03149	blb:BBMN68_806
ko:K03154	blb:BBMN68_807
ko:K01755	blb:BBMN68_808
ko:K01940	blb:BBMN68_809
ko:K03402	blb:BBMN68_810
ko:K00611	blb:BBMN68_811
ko:K00930	blb:BBMN68_813
ko:K00620	blb:BBMN68_814
ko:K00145	blb:BBMN68_815
ko:K01890	blb:BBMN68_817
ko:K01889	blb:BBMN68_818
ko:K03437	blb:BBMN68_819
ko:K00382	blb:BBMN68_825
ko:K01915	blb:BBMN68_827
ko:K03701	blb:BBMN68_833
ko:K07133	blb:BBMN68_836
ko:K06199	blb:BBMN68_839
ko:K06199	blb:BBMN68_840
ko:K02358	blb:BBMN68_845
ko:K02355	blb:BBMN68_846
ko:K02992	blb:BBMN68_847
ko:K01494	blb:BBMN68_1415
ko:K06999	blb:BBMN68_1417
ko:K03316	blb:BBMN68_1418
ko:K07407	blb:BBMN68_1420
ko:K02027	blb:BBMN68_1426
ko:K01754	blb:BBMN68_1431
ko:K12410	blb:BBMN68_1432
ko:K01421	blb:BBMN68_1433
ko:K01421	blb:BBMN68_1434
ko:K02003	blb:BBMN68_1450
ko:K02004	blb:BBMN68_1451
ko:K02950	blb:BBMN68_848
ko:K03453	blb:BBMN68_849
ko:K01620	blb:BBMN68_850
ko:K08289	blb:BBMN68_852
ko:K01923	blb:BBMN68_854
ko:K01952	blb:BBMN68_855
ko:K03315	blb:BBMN68_859
ko:K03502	blb:BBMN68_863
ko:K09705	blb:BBMN68_865
ko:K02029	blb:BBMN68_867
ko:K00764	blb:BBMN68_869
ko:K01933	blb:BBMN68_870
ko:K01945	blb:BBMN68_871
ko:K02077	blb:BBMN68_874
ko:K03711	blb:BBMN68_876
ko:K01589	blb:BBMN68_877
ko:K01588	blb:BBMN68_878
ko:K01662	blb:BBMN68_880
ko:K02003	blb:BBMN68_883
ko:K11263	blb:BBMN68_891
ko:K07160	blb:BBMN68_893
ko:K02619	blb:BBMN68_895
ko:K01273	blb:BBMN68_900
ko:K02035	blb:BBMN68_903
ko:K13051	blb:BBMN68_904
ko:K08681	blb:BBMN68_906
ko:K03655	blb:BBMN68_1453
ko:K03734	blb:BBMN68_1461
ko:K07056	blb:BBMN68_1463
ko:K01874	blb:BBMN68_1466
ko:K01372	blb:BBMN68_1467
ko:K09955	blb:BBMN68_1468
ko:K03424	blb:BBMN68_1475
ko:K03549	blb:BBMN68_1476
ko:K06950	blb:BBMN68_1478
ko:K00598	blb:BBMN68_106
ko:K02069	blb:BBMN68_109
ko:K02068	blb:BBMN68_110
ko:K02356	blb:BBMN68_111
ko:K03625	blb:BBMN68_112
ko:K01956	blb:BBMN68_113
ko:K01955	blb:BBMN68_114
ko:K01591	blb:BBMN68_115
ko:K00942	blb:BBMN68_116
ko:K02342	blb:BBMN68_117
ko:K06999	blb:BBMN68_119
ko:K02029	blb:BBMN68_120
ko:K01760	blb:BBMN68_124
ko:K01776	blb:BBMN68_132
ko:K01778	blb:BBMN68_133
ko:K07053	blb:BBMN68_135
ko:K03657	blb:BBMN68_138
ko:K07177	blb:BBMN68_140
ko:K05349	blb:BBMN68_221
ko:K09704	blb:BBMN68_225
ko:K00847	blb:BBMN68_230
ko:K02564	blb:BBMN68_234
ko:K01443	blb:BBMN68_235
ko:K02035	blb:BBMN68_236
ko:K02033	blb:BBMN68_237
ko:K02034	blb:BBMN68_238
ko:K01262	blb:BBMN68_241
ko:K11754	blb:BBMN68_243
ko:K03529	blb:BBMN68_244
ko:K01928	blb:BBMN68_246
ko:K03088	blb:BBMN68_247
ko:K03527	blb:BBMN68_252
ko:K00134	blb:BBMN68_254
ko:K00949	blb:BBMN68_255
ko:K00099	blb:BBMN68_143
ko:K03584	blb:BBMN68_146
ko:K00806	blb:BBMN68_147
ko:K01193	blb:BBMN68_151
ko:K02532	blb:BBMN68_152
ko:K02529	blb:BBMN68_153
ko:K08369	blb:BBMN68_157
ko:K00941	blb:BBMN68_159
ko:K03147	blb:BBMN68_161
ko:K00878	blb:BBMN68_162
ko:K01880	blb:BBMN68_163
ko:K03531	blb:BBMN68_165
ko:K09772	blb:BBMN68_166
ko:K02221	blb:BBMN68_167
ko:K03101	blb:BBMN68_169
ko:K07058	blb:BBMN68_171
ko:K02337	blb:BBMN68_173
ko:K02520	blb:BBMN68_257
ko:K02916	blb:BBMN68_258
ko:K02887	blb:BBMN68_259
ko:K04763	blb:BBMN68_260
ko:K03496	blb:BBMN68_262
ko:K05896	blb:BBMN68_263
ko:K06024	blb:BBMN68_264
ko:K03517	blb:BBMN68_266
ko:K00278	blb:BBMN68_267
ko:K00767	blb:BBMN68_268
ko:K04487	blb:BBMN68_269
ko:K08369	blb:BBMN68_270
ko:K06207	blb:BBMN68_271
ko:K04517	blb:BBMN68_274
ko:K03733	blb:BBMN68_276
ko:K01142	blb:BBMN68_281
ko:K01681	blb:BBMN68_286
ko:K06890	blb:BBMN68_294
ko:K06168	blb:BBMN68_297
ko:K00791	blb:BBMN68_298
ko:K04095	blb:BBMN68_299
ko:K03466	blb:BBMN68_300
ko:K00995	blb:BBMN68_301
ko:K03743	blb:BBMN68_302
ko:K03553	blb:BBMN68_305
ko:K03565	blb:BBMN68_306
ko:K03070	blb:BBMN68_308
ko:K00766	blb:BBMN68_312
ko:K00655	blb:BBMN68_315
ko:K13787	blb:BBMN68_317
ko:K03086	blb:BBMN68_319
ko:K02470	blb:BBMN68_320
ko:K00852	blb:BBMN68_322
ko:K06215	blb:BBMN68_907
ko:K02316	blb:BBMN68_908
ko:K01129	blb:BBMN68_909
ko:K01775	blb:BBMN68_910
ko:K03294	blb:BBMN68_911
ko:K07173	blb:BBMN68_914
ko:K03654	blb:BBMN68_915
ko:K01697	blb:BBMN68_918
ko:K02032	blb:BBMN68_919
ko:K02031	blb:BBMN68_920
ko:K02034	blb:BBMN68_921
ko:K02033	blb:BBMN68_922
ko:K02035	blb:BBMN68_923
ko:K03525	blb:BBMN68_924
ko:K02027	blb:BBMN68_925
ko:K02027	blb:BBMN68_926
ko:K02027	blb:BBMN68_927
ko:K12308	blb:BBMN68_930
ko:K02026	blb:BBMN68_931
ko:K02025	blb:BBMN68_933
ko:K00820	blb:BBMN68_937
ko:K02029	blb:BBMN68_939
ko:K03664	blb:BBMN68_942
ko:K09811	blb:BBMN68_944
ko:K09812	blb:BBMN68_945
ko:K02836	blb:BBMN68_946
ko:K01462	blb:BBMN68_948
ko:K03431	blb:BBMN68_949
ko:K01256	blb:BBMN68_954
ko:K12574	blb:BBMN68_955
ko:K01714	blb:BBMN68_956
ko:K00215	blb:BBMN68_957
ko:K03657	blb:BBMN68_959
ko:K01626	blb:BBMN68_1083
ko:K01372	blb:BBMN68_1084
ko:K01304	blb:BBMN68_1086
ko:K08303	blb:BBMN68_1089
ko:K00554	blb:BBMN68_1090
ko:K03655	blb:BBMN68_1092
ko:K02902	blb:BBMN68_1093
ko:K06902	blb:BBMN68_1095
ko:K00567	blb:BBMN68_1097
ko:K01744	blb:BBMN68_1100
ko:K02053	blb:BBMN68_1104
ko:K01921	blb:BBMN68_1107
ko:K00057	blb:BBMN68_1108
ko:K05838	blb:BBMN68_1112
ko:K07503	blb:BBMN68_1116
ko:K02114	blb:BBMN68_1117
ko:K02112	blb:BBMN68_1118
ko:K02115	blb:BBMN68_1119
ko:K02111	blb:BBMN68_1120
ko:K02113	blb:BBMN68_1121
ko:K02109	blb:BBMN68_1122
ko:K02110	blb:BBMN68_1123
ko:K02108	blb:BBMN68_1124
ko:K00651	blb:BBMN68_1125
ko:K03284	blb:BBMN68_353
ko:K01869	blb:BBMN68_355
ko:K02237	blb:BBMN68_356
