ko:K14233	ctrk:SOTONK1_00893
ko:K00240	ctrk:SOTONK1_00624
ko:K00239	ctrk:SOTONK1_00625
ko:K03424	ctrk:SOTONK1_00628
ko:K03562	ctrk:SOTONK1_00630
ko:K03641	ctrk:SOTONK1_00633
ko:K03640	ctrk:SOTONK1_00634
ko:K03648	ctrk:SOTONK1_00643
ko:K03657	ctrk:SOTONK1_00644
ko:K03092	ctrk:SOTONK1_00645
ko:K06137	ctrk:SOTONK1_00646
ko:K13941	ctrk:SOTONK1_00649
ko:K01633	ctrk:SOTONK1_00650
ko:K03086	ctrk:SOTONK1_00651
ko:K02968	ctrk:SOTONK1_00653
ko:K03980	ctrk:SOTONK1_00660
ko:K01151	ctrk:SOTONK1_00661
ko:K02986	ctrk:SOTONK1_00662
ko:K07146	ctrk:SOTONK1_00663
ko:K13789	ctrk:SOTONK1_00664
ko:K00566	ctrk:SOTONK1_00296
ko:K01963	ctrk:SOTONK1_00302
ko:K04564	ctrk:SOTONK1_00303
ko:K03685	ctrk:SOTONK1_00306
ko:K04485	ctrk:SOTONK1_00307
ko:K01749	ctrk:SOTONK1_00308
ko:K01873	ctrk:SOTONK1_00311
ko:K03046	ctrk:SOTONK1_00323
ko:K03043	ctrk:SOTONK1_00324
ko:K02935	ctrk:SOTONK1_00325
ko:K02864	ctrk:SOTONK1_00326
ko:K02863	ctrk:SOTONK1_00327
ko:K02867	ctrk:SOTONK1_00328
ko:K02601	ctrk:SOTONK1_00329
ko:K03073	ctrk:SOTONK1_00330
ko:K02358	ctrk:SOTONK1_00332
ko:K02518	ctrk:SOTONK1_00334
ko:K01803	ctrk:SOTONK1_00342
ko:K03601	ctrk:SOTONK1_00343
ko:K03602	ctrk:SOTONK1_00344
ko:K01662	ctrk:SOTONK1_00346
ko:K00873	ctrk:SOTONK1_00347
ko:K03701	ctrk:SOTONK1_00348
ko:K02343	ctrk:SOTONK1_00349
ko:K11752	ctrk:SOTONK1_00775
ko:K14652	ctrk:SOTONK1_00776
ko:K01698	ctrk:SOTONK1_00670
ko:K00346	ctrk:SOTONK1_00671
ko:K03582	ctrk:SOTONK1_00677
ko:K03583	ctrk:SOTONK1_00678
ko:K03168	ctrk:SOTONK1_00681
ko:K02221	ctrk:SOTONK1_00683
ko:K03581	ctrk:SOTONK1_00690
ko:K06861	ctrk:SOTONK1_00692
ko:K01627	ctrk:SOTONK1_00694
ko:K06180	ctrk:SOTONK1_00698
ko:K06960	ctrk:SOTONK1_00699
ko:K02469	ctrk:SOTONK1_00700
ko:K02470	ctrk:SOTONK1_00701
ko:K02492	ctrk:SOTONK1_00702
ko:K03224	ctrk:SOTONK1_00709
ko:K02417	ctrk:SOTONK1_00712
ko:K03219	ctrk:SOTONK1_00714
ko:K02838	ctrk:SOTONK1_00720
ko:K09903	ctrk:SOTONK1_00721
ko:K02357	ctrk:SOTONK1_00722
ko:K03559	ctrk:SOTONK1_00631
ko:K00794	ctrk:SOTONK1_00777
ko:K03310	ctrk:SOTONK1_00780
ko:K03466	ctrk:SOTONK1_00784
ko:K00351	ctrk:SOTONK1_00789
ko:K03210	ctrk:SOTONK1_00790
ko:K00231	ctrk:SOTONK1_00794
ko:K01599	ctrk:SOTONK1_00796
ko:K03723	ctrk:SOTONK1_00797
ko:K01872	ctrk:SOTONK1_00798
ko:K00615	ctrk:SOTONK1_00802
ko:K01241	ctrk:SOTONK1_00803
ko:K02356	ctrk:SOTONK1_00804
ko:K01929	ctrk:SOTONK1_00809
ko:K01000	ctrk:SOTONK1_00810
ko:K01925	ctrk:SOTONK1_00811
ko:K03588	ctrk:SOTONK1_00813
ko:K02563	ctrk:SOTONK1_00814
ko:K06960	ctrk:SOTONK1_00816
ko:K00791	ctrk:SOTONK1_00819
ko:K09710	ctrk:SOTONK1_00822
ko:K09458	ctrk:SOTONK1_00823
ko:K09747	ctrk:SOTONK1_00350
ko:K11381	ctrk:SOTONK1_00356
ko:K03686	ctrk:SOTONK1_00357
ko:K02970	ctrk:SOTONK1_00358
ko:K01338	ctrk:SOTONK1_00360
ko:K03733	ctrk:SOTONK1_00363
ko:K06287	ctrk:SOTONK1_00365
ko:K03075	ctrk:SOTONK1_00368
ko:K01462	ctrk:SOTONK1_00369
ko:K02528	ctrk:SOTONK1_00370
ko:K06888	ctrk:SOTONK1_00372
ko:K03523	ctrk:SOTONK1_00376
ko:K01714	ctrk:SOTONK1_00379
ko:K00928	ctrk:SOTONK1_00380
ko:K00133	ctrk:SOTONK1_00381
ko:K00215	ctrk:SOTONK1_00382
ko:K00800	ctrk:SOTONK1_00384
ko:K00891	ctrk:SOTONK1_00385
ko:K01736	ctrk:SOTONK1_00386
ko:K01735	ctrk:SOTONK1_00387
ko:K13832	ctrk:SOTONK1_00388
ko:K03758	ctrk:SOTONK1_00392
ko:K00024	ctrk:SOTONK1_00394
ko:K01810	ctrk:SOTONK1_00396
ko:K03665	ctrk:SOTONK1_00397
ko:K06167	ctrk:SOTONK1_00398
ko:K09996	ctrk:SOTONK1_00399
ko:K09779	ctrk:SOTONK1_00002
ko:K02435	ctrk:SOTONK1_00003
ko:K02434	ctrk:SOTONK1_00005
ko:K02517	ctrk:SOTONK1_00011
ko:K00425	ctrk:SOTONK1_00014
ko:K00426	ctrk:SOTONK1_00015
ko:K07175	ctrk:SOTONK1_00016
ko:K01870	ctrk:SOTONK1_00021
ko:K03100	ctrk:SOTONK1_00022
ko:K02909	ctrk:SOTONK1_00024
ko:K02835	ctrk:SOTONK1_00025
ko:K02493	ctrk:SOTONK1_00026
ko:K03106	ctrk:SOTONK1_00027
ko:K02959	ctrk:SOTONK1_00028
ko:K00263	ctrk:SOTONK1_00826
ko:K00655	ctrk:SOTONK1_00828
ko:K04066	ctrk:SOTONK1_00831
ko:K02967	ctrk:SOTONK1_00723
ko:K03162	ctrk:SOTONK1_00725
ko:K09013	ctrk:SOTONK1_00729
ko:K09015	ctrk:SOTONK1_00730
ko:K11717	ctrk:SOTONK1_00731
ko:K07220	ctrk:SOTONK1_00735
ko:K03306	ctrk:SOTONK1_00736
ko:K00927	ctrk:SOTONK1_00737
ko:K10773	ctrk:SOTONK1_00741
ko:K03650	ctrk:SOTONK1_00742
ko:K01613	ctrk:SOTONK1_00743
ko:K03070	ctrk:SOTONK1_00745
ko:K03977	ctrk:SOTONK1_00747
ko:K03544	ctrk:SOTONK1_00749
ko:K01358	ctrk:SOTONK1_00750
ko:K03545	ctrk:SOTONK1_00751
ko:K03569	ctrk:SOTONK1_00754
ko:K00057	ctrk:SOTONK1_00759
ko:K02412	ctrk:SOTONK1_00762
ko:K02411	ctrk:SOTONK1_00763
ko:K02409	ctrk:SOTONK1_00764
ko:K13819	ctrk:SOTONK1_00765
ko:K04487	ctrk:SOTONK1_00766
ko:K06178	ctrk:SOTONK1_00768
ko:K03524	ctrk:SOTONK1_00770
ko:K05837	ctrk:SOTONK1_00771
ko:K01875	ctrk:SOTONK1_00774
ko:K04567	ctrk:SOTONK1_00834
ko:K01883	ctrk:SOTONK1_00835
ko:K03536	ctrk:SOTONK1_00837
ko:K02919	ctrk:SOTONK1_00838
ko:K02954	ctrk:SOTONK1_00839
ko:K03703	ctrk:SOTONK1_00843
ko:K03555	ctrk:SOTONK1_00844
ko:K14164	ctrk:SOTONK1_00848
ko:K00995	ctrk:SOTONK1_00849
ko:K00703	ctrk:SOTONK1_00850
ko:K02897	ctrk:SOTONK1_00852
ko:K01056	ctrk:SOTONK1_00853
ko:K02990	ctrk:SOTONK1_00854
ko:K02963	ctrk:SOTONK1_00855
ko:K02939	ctrk:SOTONK1_00856
ko:K00919	ctrk:SOTONK1_00857
ko:K00630	ctrk:SOTONK1_00861
ko:K08301	ctrk:SOTONK1_00862
ko:K02911	ctrk:SOTONK1_00864
ko:K03621	ctrk:SOTONK1_00865
ko:K03431	ctrk:SOTONK1_00870
ko:K00820	ctrk:SOTONK1_00871
ko:K03834	ctrk:SOTONK1_00872
ko:K03834	ctrk:SOTONK1_00874
ko:K06890	ctrk:SOTONK1_00875
ko:K03110	ctrk:SOTONK1_00876
ko:K01903	ctrk:SOTONK1_00877
ko:K01902	ctrk:SOTONK1_00878
ko:K06966	ctrk:SOTONK1_00406
ko:K09131	ctrk:SOTONK1_00407
ko:K10206	ctrk:SOTONK1_00409
ko:K01881	ctrk:SOTONK1_00412
ko:K03705	ctrk:SOTONK1_00413
ko:K03687	ctrk:SOTONK1_00414
ko:K04043	ctrk:SOTONK1_00415
ko:K12573	ctrk:SOTONK1_00416
ko:K07164	ctrk:SOTONK1_00417
ko:K06041	ctrk:SOTONK1_00418
ko:K00658	ctrk:SOTONK1_00419
ko:K00912	ctrk:SOTONK1_00421
ko:K03437	ctrk:SOTONK1_00422
ko:K06969	ctrk:SOTONK1_00423
ko:K00793	ctrk:SOTONK1_00424
ko:K07738	ctrk:SOTONK1_00425
ko:K06204	ctrk:SOTONK1_00426
ko:K03101	ctrk:SOTONK1_00427
ko:K03310	ctrk:SOTONK1_00428
ko:K00748	ctrk:SOTONK1_00430
ko:K09817	ctrk:SOTONK1_00436
ko:K09816	ctrk:SOTONK1_00437
ko:K03979	ctrk:SOTONK1_00438
ko:K02899	ctrk:SOTONK1_00439
ko:K02888	ctrk:SOTONK1_00440
ko:K07042	ctrk:SOTONK1_00445
ko:K03183	ctrk:SOTONK1_00451
ko:K01778	ctrk:SOTONK1_00453
ko:K01358	ctrk:SOTONK1_00454
ko:K00600	ctrk:SOTONK1_00455
ko:K00554	ctrk:SOTONK1_00029
ko:K02884	ctrk:SOTONK1_00030
ko:K03470	ctrk:SOTONK1_00031
ko:K00942	ctrk:SOTONK1_00032
ko:K01874	ctrk:SOTONK1_00034
ko:K03581	ctrk:SOTONK1_00035
ko:K01494	ctrk:SOTONK1_00041
ko:K03551	ctrk:SOTONK1_00042
ko:K01255	ctrk:SOTONK1_00047
ko:K02340	ctrk:SOTONK1_00049
ko:K07056	ctrk:SOTONK1_00050
ko:K00164	ctrk:SOTONK1_00056
ko:K00658	ctrk:SOTONK1_00057
ko:K05810	ctrk:SOTONK1_00058
ko:K03526	ctrk:SOTONK1_00059
ko:K02400	ctrk:SOTONK1_00063
ko:K02405	ctrk:SOTONK1_00064
ko:K01866	ctrk:SOTONK1_00065
ko:K03596	ctrk:SOTONK1_00067
ko:K03301	ctrk:SOTONK1_00068
ko:K00099	ctrk:SOTONK1_00074
ko:K03629	ctrk:SOTONK1_00077
ko:K02338	ctrk:SOTONK1_00078
ko:K03664	ctrk:SOTONK1_00079
ko:K03734	ctrk:SOTONK1_00080
ko:K01491	ctrk:SOTONK1_00081
ko:K09760	ctrk:SOTONK1_00881
ko:K00075	ctrk:SOTONK1_00887
ko:K03625	ctrk:SOTONK1_00888
ko:K02520	ctrk:SOTONK1_00889
ko:K02916	ctrk:SOTONK1_00890
ko:K02887	ctrk:SOTONK1_00891
ko:K01889	ctrk:SOTONK1_00892
ko:K11720	ctrk:SOTONK1_00895
ko:K07091	ctrk:SOTONK1_00896
ko:K04075	ctrk:SOTONK1_00897
ko:K03798	ctrk:SOTONK1_00898
ko:K00962	ctrk:SOTONK1_00899
ko:K02956	ctrk:SOTONK1_00900
ko:K01265	ctrk:SOTONK1_00909
ko:K03321	ctrk:SOTONK1_00915
ko:K03527	ctrk:SOTONK1_00918
ko:K01770	ctrk:SOTONK1_00457
ko:K02946	ctrk:SOTONK1_00459
ko:K02355	ctrk:SOTONK1_00460
ko:K02992	ctrk:SOTONK1_00461
ko:K02950	ctrk:SOTONK1_00462
ko:K03797	ctrk:SOTONK1_00464
ko:K07462	ctrk:SOTONK1_00471
ko:K12257	ctrk:SOTONK1_00472
ko:K00806	ctrk:SOTONK1_00474
ko:K00981	ctrk:SOTONK1_00475
ko:K00945	ctrk:SOTONK1_00476
ko:K00655	ctrk:SOTONK1_00477
ko:K01887	ctrk:SOTONK1_00478
ko:K00790	ctrk:SOTONK1_00479
ko:K02836	ctrk:SOTONK1_00483
ko:K00991	ctrk:SOTONK1_00486
ko:K06173	ctrk:SOTONK1_00487
ko:K07710	ctrk:SOTONK1_00492
ko:K07714	ctrk:SOTONK1_00493
ko:K03584	ctrk:SOTONK1_00496
ko:K08998	ctrk:SOTONK1_00500
ko:K01890	ctrk:SOTONK1_00502
ko:K02034	ctrk:SOTONK1_00505
ko:K02902	ctrk:SOTONK1_00088
ko:K00705	ctrk:SOTONK1_00089
ko:K04058	ctrk:SOTONK1_00091
ko:K03230	ctrk:SOTONK1_00092
ko:K03229	ctrk:SOTONK1_00093
ko:K06942	ctrk:SOTONK1_00094
ko:K11753	ctrk:SOTONK1_00095
ko:K02834	ctrk:SOTONK1_00097
ko:K02519	ctrk:SOTONK1_00098
ko:K02600	ctrk:SOTONK1_00099
ko:K02945	ctrk:SOTONK1_00100
ko:K00384	ctrk:SOTONK1_00101
ko:K00997	ctrk:SOTONK1_00102
ko:K00208	ctrk:SOTONK1_00106
ko:K03575	ctrk:SOTONK1_00109
ko:K04077	ctrk:SOTONK1_00112
ko:K04078	ctrk:SOTONK1_00113
ko:K08602	ctrk:SOTONK1_00114
ko:K03695	ctrk:SOTONK1_00115
ko:K01783	ctrk:SOTONK1_00123
ko:K02356	ctrk:SOTONK1_00124
ko:K02160	ctrk:SOTONK1_00125
ko:K01961	ctrk:SOTONK1_00126
ko:K02871	ctrk:SOTONK1_00127
ko:K02996	ctrk:SOTONK1_00128
ko:K02029	ctrk:SOTONK1_00131
ko:K07058	ctrk:SOTONK1_00134
ko:K01772	ctrk:SOTONK1_00514
ko:K07099	ctrk:SOTONK1_00517
ko:K00975	ctrk:SOTONK1_00518
ko:K03628	ctrk:SOTONK1_00520
ko:K00859	ctrk:SOTONK1_00521
ko:K03301	ctrk:SOTONK1_00524
ko:K00995	ctrk:SOTONK1_00525
ko:K03495	ctrk:SOTONK1_00528
ko:K03800	ctrk:SOTONK1_00529
ko:K00940	ctrk:SOTONK1_00530
ko:K03550	ctrk:SOTONK1_00531
ko:K01159	ctrk:SOTONK1_00532
ko:K00134	ctrk:SOTONK1_00536
ko:K02879	ctrk:SOTONK1_00537
ko:K03040	ctrk:SOTONK1_00538
ko:K02948	ctrk:SOTONK1_00539
ko:K02952	ctrk:SOTONK1_00540
ko:K03076	ctrk:SOTONK1_00541
ko:K02876	ctrk:SOTONK1_00542
ko:K02988	ctrk:SOTONK1_00543
ko:K02881	ctrk:SOTONK1_00544
ko:K02933	ctrk:SOTONK1_00545
ko:K02994	ctrk:SOTONK1_00546
ko:K02931	ctrk:SOTONK1_00547
ko:K02895	ctrk:SOTONK1_00548
ko:K02874	ctrk:SOTONK1_00549
ko:K02961	ctrk:SOTONK1_00550
ko:K02904	ctrk:SOTONK1_00551
ko:K02878	ctrk:SOTONK1_00552
ko:K02982	ctrk:SOTONK1_00553
ko:K02890	ctrk:SOTONK1_00554
ko:K02965	ctrk:SOTONK1_00555
ko:K02886	ctrk:SOTONK1_00556
ko:K02892	ctrk:SOTONK1_00557
ko:K02926	ctrk:SOTONK1_00558
ko:K02906	ctrk:SOTONK1_00559
ko:K06999	ctrk:SOTONK1_00138
ko:K07566	ctrk:SOTONK1_00139
ko:K09125	ctrk:SOTONK1_00142
ko:K07039	ctrk:SOTONK1_00143
ko:K01972	ctrk:SOTONK1_00150
ko:K02913	ctrk:SOTONK1_00154
ko:K09808	ctrk:SOTONK1_00155
ko:K09810	ctrk:SOTONK1_00156
ko:K03720	ctrk:SOTONK1_00171
ko:K01696	ctrk:SOTONK1_00172
ko:K01695	ctrk:SOTONK1_00173
ko:K03611	ctrk:SOTONK1_00179
ko:K00979	ctrk:SOTONK1_00187
ko:K01937	ctrk:SOTONK1_00188
ko:K07447	ctrk:SOTONK1_00189
ko:K00036	ctrk:SOTONK1_00190
ko:K01057	ctrk:SOTONK1_00191
ko:K00604	ctrk:SOTONK1_00561
ko:K00677	ctrk:SOTONK1_00562
ko:K02372	ctrk:SOTONK1_00563
ko:K02535	ctrk:SOTONK1_00564
ko:K03820	ctrk:SOTONK1_00565
ko:K06925	ctrk:SOTONK1_00568
ko:K03671	ctrk:SOTONK1_00571
ko:K03216	ctrk:SOTONK1_00572
ko:K01876	ctrk:SOTONK1_00574
ko:K01892	ctrk:SOTONK1_00575
ko:K07783	ctrk:SOTONK1_00576
ko:K02337	ctrk:SOTONK1_00577
ko:K03311	ctrk:SOTONK1_00587
ko:K00382	ctrk:SOTONK1_00590
ko:K03644	ctrk:SOTONK1_00591
ko:K03222	ctrk:SOTONK1_00592
ko:K03223	ctrk:SOTONK1_00594
ko:K03226	ctrk:SOTONK1_00595
ko:K03228	ctrk:SOTONK1_00597
ko:K02455	ctrk:SOTONK1_00603
ko:K02453	ctrk:SOTONK1_00605
ko:K03572	ctrk:SOTONK1_00608
ko:K01868	ctrk:SOTONK1_00614
ko:K02028	ctrk:SOTONK1_00132
ko:K14220	ctrk:SOTONK1_00039
ko:K02342	ctrk:SOTONK1_00270
ko:K02806	ctrk:SOTONK1_00299
ko:K02806	ctrk:SOTONK1_00300
ko:K02124	ctrk:SOTONK1_00313
ko:K02123	ctrk:SOTONK1_00314
ko:K02120	ctrk:SOTONK1_00315
ko:K02118	ctrk:SOTONK1_00316
ko:K02117	ctrk:SOTONK1_00317
ko:K00939	ctrk:SOTONK1_00130
ko:K02035	ctrk:SOTONK1_00141
ko:K06889	ctrk:SOTONK1_00153
ko:K00059	ctrk:SOTONK1_00246
ko:K07052	ctrk:SOTONK1_00263
ko:K00033	ctrk:SOTONK1_00066
ko:K11707	ctrk:SOTONK1_00070
ko:K11710	ctrk:SOTONK1_00071
ko:K11708	ctrk:SOTONK1_00072
ko:K11709	ctrk:SOTONK1_00073
ko:K03177	ctrk:SOTONK1_00096
ko:K06179	ctrk:SOTONK1_00108
ko:K02035	ctrk:SOTONK1_00178
ko:K02049	ctrk:SOTONK1_00183
ko:K01409	ctrk:SOTONK1_00202
ko:K15582	ctrk:SOTONK1_00205
ko:K10823	ctrk:SOTONK1_00206
ko:K15583	ctrk:SOTONK1_00207
ko:K06889	ctrk:SOTONK1_00211
ko:K15035	ctrk:SOTONK1_00020
ko:K02433	ctrk:SOTONK1_00004
ko:K03471	ctrk:SOTONK1_00009
ko:K14222	ctrk:SOTONK1_00808
ko:K01980	ctrk:SOTONK1_00787
ko:K01980	ctrk:SOTONK1_00800
ko:K01985	ctrk:SOTONK1_00788
ko:K01985	ctrk:SOTONK1_00801
ko:K17103	ctrk:SOTONK1_00882
ko:K14233	ctrk:SOTONK1_00373
ko:K14228	ctrk:SOTONK1_00490
ko:K04084	ctrk:SOTONK1_00629
ko:K14236	ctrk:SOTONK1_00145
ko:K14227	ctrk:SOTONK1_00184
ko:K14218	ctrk:SOTONK1_00674
ko:K14230	ctrk:SOTONK1_00213
ko:K14230	ctrk:SOTONK1_00340
ko:K14235	ctrk:SOTONK1_00331
ko:K14233	ctrk:SOTONK1_00526
ko:K14231	ctrk:SOTONK1_00441
ko:K14221	ctrk:SOTONK1_00229
ko:K14233	ctrk:SOTONK1_00434
ko:K14228	ctrk:SOTONK1_00534
ko:K14228	ctrk:SOTONK1_00570
ko:K14219	ctrk:SOTONK1_00494
ko:K14219	ctrk:SOTONK1_00695
ko:K14232	ctrk:SOTONK1_00668
ko:K14229	ctrk:SOTONK1_00718
ko:K14224	ctrk:SOTONK1_00719
ko:K14226	ctrk:SOTONK1_00785
ko:K14223	ctrk:SOTONK1_00851
ko:K14218	ctrk:SOTONK1_00185
ko:K14219	ctrk:SOTONK1_00638
ko:K01977	ctrk:SOTONK1_00786
ko:K01977	ctrk:SOTONK1_00799
ko:K14234	ctrk:SOTONK1_00715
ko:K14225	ctrk:SOTONK1_00724
ko:K14228	ctrk:SOTONK1_00498
ko:K14228	ctrk:SOTONK1_00923
ko:K14232	ctrk:SOTONK1_00062
ko:K14237	ctrk:SOTONK1_00230
ko:K14230	ctrk:SOTONK1_00214
ko:K14234	ctrk:SOTONK1_00144
ko:K14234	ctrk:SOTONK1_00333
ko:K14225	ctrk:SOTONK1_00752
ko:K14237	ctrk:SOTONK1_00885
ko:K01507	ctrk:SOTONK1_00825
ko:K01082	ctrk:SOTONK1_00827
ko:K01909	ctrk:SOTONK1_00829
ko:K00652	ctrk:SOTONK1_00830
ko:K01679	ctrk:SOTONK1_00914
ko:K04763	ctrk:SOTONK1_00925
ko:K00700	ctrk:SOTONK1_00927
ko:K03856	ctrk:SOTONK1_00400
ko:K07098	ctrk:SOTONK1_00485
ko:K00567	ctrk:SOTONK1_00504
ko:K02033	ctrk:SOTONK1_00506
ko:K02035	ctrk:SOTONK1_00507
ko:K02030	ctrk:SOTONK1_00515
ko:K02342	ctrk:SOTONK1_00567
ko:K03386	ctrk:SOTONK1_00637
ko:K02428	ctrk:SOTONK1_00641
ko:K00813	ctrk:SOTONK1_00675
ko:K03227	ctrk:SOTONK1_00596
ko:K02454	ctrk:SOTONK1_00604
ko:K01262	ctrk:SOTONK1_00607
ko:K07315	ctrk:SOTONK1_00621
ko:K00241	ctrk:SOTONK1_00627
ko:K01934	ctrk:SOTONK1_00687
ko:K00970	ctrk:SOTONK1_00748
ko:K01596	ctrk:SOTONK1_00755
ko:K00972	ctrk:SOTONK1_00760
ko:K01834	ctrk:SOTONK1_00767
ko:K06910	ctrk:SOTONK1_00781
ko:K07117	ctrk:SOTONK1_00782
ko:K01408	ctrk:SOTONK1_00860
ko:K07258	ctrk:SOTONK1_00583
ko:K02121	ctrk:SOTONK1_00319
ko:K00616	ctrk:SOTONK1_00322
ko:K08483	ctrk:SOTONK1_00351
ko:K11189	ctrk:SOTONK1_00352
ko:K00784	ctrk:SOTONK1_00362
ko:K00970	ctrk:SOTONK1_00429
ko:K09815	ctrk:SOTONK1_00435
ko:K01719	ctrk:SOTONK1_00456
ko:K00380	ctrk:SOTONK1_00458
ko:K01885	ctrk:SOTONK1_00469
ko:K01840	ctrk:SOTONK1_00304
ko:K06972	ctrk:SOTONK1_00880
ko:K08719	ctrk:SOTONK1_00758
ko:K07081	ctrk:SOTONK1_00450
ko:K01679	ctrk:SOTONK1_00913
ko:K01802	ctrk:SOTONK1_00573
ko:K08275	ctrk:SOTONK1_00083
ko:K08274	ctrk:SOTONK1_00395
ko:K01921	ctrk:SOTONK1_00815
ko:K01924	ctrk:SOTONK1_00815
ko:K01829	ctrk:SOTONK1_00833
ko:K01829	ctrk:SOTONK1_00836
ko:K03309	ctrk:SOTONK1_00420
ko:K07033	ctrk:SOTONK1_00728
ko:K01214	ctrk:SOTONK1_00044
ko:K03825	ctrk:SOTONK1_00482
ko:K03496	ctrk:SOTONK1_00615
ko:K03497	ctrk:SOTONK1_00732
ko:K03496	ctrk:SOTONK1_p7
ko:K03111	ctrk:SOTONK1_00046
ko:K02626	ctrk:SOTONK1_00391
ko:K11991	ctrk:SOTONK1_00901
ko:K02031	ctrk:SOTONK1_00734
ko:K04771	ctrk:SOTONK1_00879
ko:K19411	ctrk:SOTONK1_00717
ko:K19405	ctrk:SOTONK1_00716
ko:K07125	ctrk:SOTONK1_00336
ko:K12132	ctrk:SOTONK1_00310
ko:K20265	ctrk:SOTONK1_00223
ko:K20074	ctrk:SOTONK1_00268
ko:K11749	ctrk:SOTONK1_00075
ko:K22100	ctrk:SOTONK1_00341
ko:K22099	ctrk:SOTONK1_00647
ko:K00526	ctrk:SOTONK1_00884
ko:K02335	ctrk:SOTONK1_00522
ko:K02314	ctrk:SOTONK1_00527
ko:K00287	ctrk:SOTONK1_00648
ko:K03553	ctrk:SOTONK1_00688
ko:K02316	ctrk:SOTONK1_00845
ko:K02314	ctrk:SOTONK1_p3
ko:K01520	ctrk:SOTONK1_00301
ko:K02032	ctrk:SOTONK1_00733
ko:K00525	ctrk:SOTONK1_00883
ko:K02050	ctrk:SOTONK1_00912
ko:K02051	ctrk:SOTONK1_00912
ko:K01534	ctrk:SOTONK1_00772
ko:K16239	ctrk:SOTONK1_00087
