ko:K06896	snv:SPNINV200_06710
ko:K07042	snv:SPNINV200_08880
ko:K00859	snv:SPNINV200_08920
ko:K03075	snv:SPNINV200_08940
ko:K12573	snv:SPNINV200_08950
ko:K03664	snv:SPNINV200_08960
ko:K08602	snv:SPNINV200_08990
ko:K04042	snv:SPNINV200_09080
ko:K01126	snv:SPNINV200_09140
ko:K01772	snv:SPNINV200_09280
ko:K03282	snv:SPNINV200_09310
ko:K00133	snv:SPNINV200_09340
ko:K01714	snv:SPNINV200_09350
ko:K02015	snv:SPNINV200_16880
ko:K02015	snv:SPNINV200_16890
ko:K02013	snv:SPNINV200_16900
ko:K02016	snv:SPNINV200_16910
ko:K08998	snv:SPNINV200_16920
ko:K06178	snv:SPNINV200_16930
ko:K06024	snv:SPNINV200_16940
ko:K05896	snv:SPNINV200_16950
ko:K07095	snv:SPNINV200_16980
ko:K01776	snv:SPNINV200_17000
ko:K15581	snv:SPNINV200_17110
ko:K00690	snv:SPNINV200_17140
ko:K10117	snv:SPNINV200_17180
ko:K07407	snv:SPNINV200_17190
ko:K03524	snv:SPNINV200_17210
ko:K03076	snv:SPNINV200_02120
ko:K02518	snv:SPNINV200_02140
ko:K02952	snv:SPNINV200_02150
ko:K02948	snv:SPNINV200_02160
ko:K03040	snv:SPNINV200_02170
ko:K02879	snv:SPNINV200_02180
ko:K07166	snv:SPNINV200_02190
ko:K09157	snv:SPNINV200_02200
ko:K02011	snv:SPNINV200_02220
ko:K02012	snv:SPNINV200_02250
ko:K02012	snv:SPNINV200_02260
ko:K04069	snv:SPNINV200_02280
ko:K02759	snv:SPNINV200_02310
ko:K02760	snv:SPNINV200_02320
ko:K02761	snv:SPNINV200_02330
ko:K00656	snv:SPNINV200_02340
ko:K00005	snv:SPNINV200_02360
ko:K01869	snv:SPNINV200_02370
ko:K03551	snv:SPNINV200_02400
ko:K09962	snv:SPNINV200_02410
ko:K00806	snv:SPNINV200_02420
ko:K00981	snv:SPNINV200_02430
ko:K11749	snv:SPNINV200_02440
ko:K01881	snv:SPNINV200_02450
ko:K00820	snv:SPNINV200_02470
ko:K02950	snv:SPNINV200_02520
ko:K02992	snv:SPNINV200_02530
ko:K02355	snv:SPNINV200_02540
ko:K03763	snv:SPNINV200_02550
ko:K02787	snv:SPNINV200_10430
ko:K02788	snv:SPNINV200_10430
ko:K03648	snv:SPNINV200_10580
ko:K01465	snv:SPNINV200_10600
ko:K03327	snv:SPNINV200_10610
ko:K00161	snv:SPNINV200_10620
ko:K00162	snv:SPNINV200_10630
ko:K00627	snv:SPNINV200_10640
ko:K00382	snv:SPNINV200_10650
ko:K03800	snv:SPNINV200_10660
ko:K03470	snv:SPNINV200_10690
ko:K14540	snv:SPNINV200_10700
ko:K01689	snv:SPNINV200_10800
ko:K00865	snv:SPNINV200_10820
ko:K00703	snv:SPNINV200_10840
ko:K00975	snv:SPNINV200_10850
ko:K00975	snv:SPNINV200_10860
ko:K02601	snv:SPNINV200_18190
ko:K03073	snv:SPNINV200_18200
ko:K06180	snv:SPNINV200_18240
ko:K00134	snv:SPNINV200_18260
ko:K00767	snv:SPNINV200_18290
ko:K02761	snv:SPNINV200_18350
ko:K02759	snv:SPNINV200_18370
ko:K04072	snv:SPNINV200_18380
ko:K03210	snv:SPNINV200_18410
ko:K00615	snv:SPNINV200_18440
ko:K02313	snv:SPNINV200_00010
ko:K02338	snv:SPNINV200_00020
ko:K06942	snv:SPNINV200_00040
ko:K01056	snv:SPNINV200_00050
ko:K04487	snv:SPNINV200_07790
ko:K03151	snv:SPNINV200_07800
ko:K03427	snv:SPNINV200_07850
ko:K01154	snv:SPNINV200_07860
ko:K07341	snv:SPNINV200_07880
ko:K01154	snv:SPNINV200_07900
ko:K01153	snv:SPNINV200_07910
ko:K03402	snv:SPNINV200_08170
ko:K02337	snv:SPNINV200_08190
ko:K00850	snv:SPNINV200_08200
ko:K00873	snv:SPNINV200_08210
ko:K07089	snv:SPNINV200_08280
ko:K06959	snv:SPNINV200_08310
ko:K03076	snv:SPNINV200_15860
ko:K03671	snv:SPNINV200_15950
ko:K09457	snv:SPNINV200_15960
ko:K06188	snv:SPNINV200_15980
ko:K09761	snv:SPNINV200_16020
ko:K02687	snv:SPNINV200_16030
ko:K07478	snv:SPNINV200_16120
ko:K01193	snv:SPNINV200_16130
ko:K02529	snv:SPNINV200_16170
ko:K07090	snv:SPNINV200_16250
ko:K02761	snv:SPNINV200_16280
ko:K02759	snv:SPNINV200_16290
ko:K02760	snv:SPNINV200_16300
ko:K02761	snv:SPNINV200_16320
ko:K02340	snv:SPNINV200_06760
ko:K04564	snv:SPNINV200_06770
ko:K02959	snv:SPNINV200_06840
ko:K06960	snv:SPNINV200_06850
ko:K02860	snv:SPNINV200_06870
ko:K00554	snv:SPNINV200_06880
ko:K03523	snv:SPNINV200_06920
ko:K02003	snv:SPNINV200_06950
ko:K01874	snv:SPNINV200_06970
ko:K01256	snv:SPNINV200_07060
ko:K05837	snv:SPNINV200_07120
ko:K03152	snv:SPNINV200_07130
ko:K02470	snv:SPNINV200_07150
ko:K01491	snv:SPNINV200_07250
ko:K09772	snv:SPNINV200_14870
ko:K06997	snv:SPNINV200_14880
ko:K03531	snv:SPNINV200_14890
ko:K03590	snv:SPNINV200_14900
ko:K01929	snv:SPNINV200_14930
ko:K01921	snv:SPNINV200_14940
ko:K06187	snv:SPNINV200_14950
ko:K00687	snv:SPNINV200_14960
ko:K01060	snv:SPNINV200_15170
ko:K03655	snv:SPNINV200_15180
ko:K01775	snv:SPNINV200_15190
ko:K00997	snv:SPNINV200_15200
ko:K01626	snv:SPNINV200_15210
ko:K01626	snv:SPNINV200_15220
ko:K03070	snv:SPNINV200_15230
ko:K03977	snv:SPNINV200_15300
ko:K00566	snv:SPNINV200_01180
ko:K03495	snv:SPNINV200_01200
ko:K03789	snv:SPNINV200_01270
ko:K01953	snv:SPNINV200_01360
ko:K02073	snv:SPNINV200_01510
ko:K02071	snv:SPNINV200_01530
ko:K02072	snv:SPNINV200_01540
ko:K07718	snv:SPNINV200_01570
ko:K03650	snv:SPNINV200_09360
ko:K01821	snv:SPNINV200_09370
ko:K02835	snv:SPNINV200_09390
ko:K02493	snv:SPNINV200_09400
ko:K07566	snv:SPNINV200_09410
ko:K00600	snv:SPNINV200_09430
ko:K03215	snv:SPNINV200_09470
ko:K02016	snv:SPNINV200_09500
ko:K02015	snv:SPNINV200_09510
ko:K02015	snv:SPNINV200_09520
ko:K02013	snv:SPNINV200_09530
ko:K03168	snv:SPNINV200_09760
ko:K09790	snv:SPNINV200_09770
ko:K00052	snv:SPNINV200_09810
ko:K01704	snv:SPNINV200_09830
ko:K00364	snv:SPNINV200_09870
ko:K03685	snv:SPNINV200_09880
ko:K03529	snv:SPNINV200_09890
ko:K03565	snv:SPNINV200_17240
ko:K04077	snv:SPNINV200_17280
ko:K04078	snv:SPNINV200_17290
ko:K06878	snv:SPNINV200_17320
ko:K06925	snv:SPNINV200_17640
ko:K07139	snv:SPNINV200_05740
ko:K07058	snv:SPNINV200_05790
ko:K12267	snv:SPNINV200_05820
ko:K07718	snv:SPNINV200_05840
ko:K00791	snv:SPNINV200_05930
ko:K03665	snv:SPNINV200_05940
ko:K07738	snv:SPNINV200_15340
ko:K07124	snv:SPNINV200_05970
ko:K06207	snv:SPNINV200_06030
ko:K02003	snv:SPNINV200_06070
ko:K01925	snv:SPNINV200_06080
ko:K02563	snv:SPNINV200_06090
ko:K03589	snv:SPNINV200_06100
ko:K01591	snv:SPNINV200_06180
ko:K00762	snv:SPNINV200_06190
ko:K01462	snv:SPNINV200_13880
ko:K15738	snv:SPNINV200_13920
ko:K00215	snv:SPNINV200_13940
ko:K03431	snv:SPNINV200_13970
ko:K06958	snv:SPNINV200_14030
ko:K03978	snv:SPNINV200_14050
ko:K03544	snv:SPNINV200_14060
ko:K04047	snv:SPNINV200_14090
ko:K01803	snv:SPNINV200_14110
ko:K00651	snv:SPNINV200_14130
ko:K00759	snv:SPNINV200_14140
ko:K03706	snv:SPNINV200_14180
ko:K05592	snv:SPNINV200_14190
ko:K08177	snv:SPNINV200_14200
ko:K01928	snv:SPNINV200_14220
ko:K00868	snv:SPNINV200_14290
ko:K06173	snv:SPNINV200_14300
ko:K06193	snv:SPNINV200_14330
ko:K00945	snv:SPNINV200_14340
ko:K03545	snv:SPNINV200_03630
ko:K03581	snv:SPNINV200_03640
ko:K03100	snv:SPNINV200_03650
ko:K07456	snv:SPNINV200_03690
ko:K03310	snv:SPNINV200_03700
ko:K01875	snv:SPNINV200_03730
ko:K00928	snv:SPNINV200_03750
ko:K00648	snv:SPNINV200_03780
ko:K02078	snv:SPNINV200_03790
ko:K00645	snv:SPNINV200_03810
ko:K09458	snv:SPNINV200_03830
ko:K02160	snv:SPNINV200_03840
ko:K02372	snv:SPNINV200_03850
ko:K01961	snv:SPNINV200_03860
ko:K01963	snv:SPNINV200_03870
ko:K01962	snv:SPNINV200_03880
ko:K03625	snv:SPNINV200_03920
ko:K02356	snv:SPNINV200_03940
ko:K02434	snv:SPNINV200_03950
ko:K02435	snv:SPNINV200_03970
ko:K02837	snv:SPNINV200_03980
ko:K02902	snv:SPNINV200_04010
ko:K01652	snv:SPNINV200_04040
ko:K01653	snv:SPNINV200_04050
ko:K00053	snv:SPNINV200_04060
ko:K01754	snv:SPNINV200_04090
ko:K02909	snv:SPNINV200_11930
ko:K00262	snv:SPNINV200_11980
ko:K02935	snv:SPNINV200_12000
ko:K02864	snv:SPNINV200_12010
ko:K12960	snv:SPNINV200_12020
ko:K12267	snv:SPNINV200_12050
ko:K00872	snv:SPNINV200_12060
ko:K00003	snv:SPNINV200_12070
ko:K00891	snv:SPNINV200_12160
ko:K00800	snv:SPNINV200_12170
ko:K01736	snv:SPNINV200_12200
ko:K01735	snv:SPNINV200_12210
ko:K00014	snv:SPNINV200_12220
ko:K03785	snv:SPNINV200_12230
ko:K06969	snv:SPNINV200_12240
ko:K01872	snv:SPNINV200_12280
ko:K00075	snv:SPNINV200_12340
ko:K01575	snv:SPNINV200_12360
ko:K01687	snv:SPNINV200_19390
ko:K00615	snv:SPNINV200_19400
ko:K00615	snv:SPNINV200_19410
ko:K02911	snv:SPNINV200_19470
ko:K02913	snv:SPNINV200_19480
ko:K00611	snv:SPNINV200_19600
ko:K00926	snv:SPNINV200_19610
ko:K01818	snv:SPNINV200_19690
ko:K02431	snv:SPNINV200_19760
ko:K01628	snv:SPNINV200_19770
ko:K00848	snv:SPNINV200_19780
ko:K09816	snv:SPNINV200_19810
ko:K09817	snv:SPNINV200_19820
ko:K03740	snv:SPNINV200_19840
ko:K14188	snv:SPNINV200_19850
ko:K03739	snv:SPNINV200_19860
ko:K07707	snv:SPNINV200_04660
ko:K03439	snv:SPNINV200_04860
ko:K09748	snv:SPNINV200_04870
ko:K02600	snv:SPNINV200_04880
ko:K07742	snv:SPNINV200_04890
ko:K02519	snv:SPNINV200_04910
ko:K02834	snv:SPNINV200_04920
ko:K01873	snv:SPNINV200_05020
ko:K01223	snv:SPNINV200_05110
ko:K01889	snv:SPNINV200_05120
ko:K01890	snv:SPNINV200_05140
ko:K03710	snv:SPNINV200_12880
ko:K07282	snv:SPNINV200_12940
ko:K01462	snv:SPNINV200_12970
ko:K03218	snv:SPNINV200_12980
ko:K00384	snv:SPNINV200_12990
ko:K02029	snv:SPNINV200_13020
ko:K11068	snv:SPNINV200_13070
ko:K02003	snv:SPNINV200_13090
ko:K08681	snv:SPNINV200_13110
ko:K06215	snv:SPNINV200_13120
ko:K03734	snv:SPNINV200_13140
ko:K01879	snv:SPNINV200_13180
ko:K01878	snv:SPNINV200_13190
ko:K02358	snv:SPNINV200_13280
ko:K02440	snv:SPNINV200_13300
ko:K03629	snv:SPNINV200_20360
ko:K01867	snv:SPNINV200_20380
ko:K00783	snv:SPNINV200_20480
ko:K10040	snv:SPNINV200_05360
ko:K06901	snv:SPNINV200_02690
ko:K00796	snv:SPNINV200_02710
ko:K11754	snv:SPNINV200_02720
ko:K01495	snv:SPNINV200_02730
ko:K13940	snv:SPNINV200_02740
ko:K02871	snv:SPNINV200_02760
ko:K02996	snv:SPNINV200_02770
ko:K00432	snv:SPNINV200_02810
ko:K01625	snv:SPNINV200_02840
ko:K00874	snv:SPNINV200_02850
ko:K02746	snv:SPNINV200_02910
ko:K02747	snv:SPNINV200_02920
ko:K03210	snv:SPNINV200_02930
ko:K03438	snv:SPNINV200_03000
ko:K01000	snv:SPNINV200_03030
ko:K07173	snv:SPNINV200_03060
ko:K01972	snv:SPNINV200_10900
ko:K06158	snv:SPNINV200_10930
ko:K03530	snv:SPNINV200_10940
ko:K11753	snv:SPNINV200_10970
ko:K02899	snv:SPNINV200_11000
ko:K02888	snv:SPNINV200_11020
ko:K09747	snv:SPNINV200_11040
ko:K06180	snv:SPNINV200_11060
ko:K00858	snv:SPNINV200_11070
ko:K00948	snv:SPNINV200_11100
ko:K04487	snv:SPNINV200_11110
ko:K01926	snv:SPNINV200_11140
ko:K07010	snv:SPNINV200_11150
ko:K03630	snv:SPNINV200_11160
ko:K03657	snv:SPNINV200_11170
ko:K01265	snv:SPNINV200_11190
ko:K00790	snv:SPNINV200_11220
ko:K03979	snv:SPNINV200_11260
ko:K13678	snv:SPNINV200_11300
ko:K03086	snv:SPNINV200_11320
ko:K01595	snv:SPNINV200_11370
ko:K03588	snv:SPNINV200_11380
ko:K03217	snv:SPNINV200_18550
ko:K03536	snv:SPNINV200_18560
ko:K00925	snv:SPNINV200_18570
ko:K01443	snv:SPNINV200_18690
ko:K00773	snv:SPNINV200_18710
ko:K08987	snv:SPNINV200_18740
ko:K01733	snv:SPNINV200_18790
ko:K01810	snv:SPNINV200_18840
ko:K07010	snv:SPNINV200_18850
ko:K01390	snv:SPNINV200_10720
ko:K03723	snv:SPNINV200_00060
ko:K04075	snv:SPNINV200_00110
ko:K00760	snv:SPNINV200_00120
ko:K03798	snv:SPNINV200_00130
ko:K01939	snv:SPNINV200_00190
ko:K04485	snv:SPNINV200_00230
ko:K01673	snv:SPNINV200_00240
ko:K00948	snv:SPNINV200_00280
ko:K06929	snv:SPNINV200_00320
ko:K03584	snv:SPNINV200_00360
ko:K03621	snv:SPNINV200_00370
ko:K02078	snv:SPNINV200_00380
ko:K01923	snv:SPNINV200_00440
ko:K01952	snv:SPNINV200_00450
ko:K00764	snv:SPNINV200_00460
ko:K01933	snv:SPNINV200_00470
ko:K11175	snv:SPNINV200_00480
ko:K00602	snv:SPNINV200_00500
ko:K01945	snv:SPNINV200_00510
ko:K01588	snv:SPNINV200_00520
ko:K02003	snv:SPNINV200_08360
ko:K00797	snv:SPNINV200_08430
ko:K13747	snv:SPNINV200_08450
ko:K10536	snv:SPNINV200_08460
ko:K12251	snv:SPNINV200_08470
ko:K03101	snv:SPNINV200_08520
ko:K06180	snv:SPNINV200_08530
ko:K00931	snv:SPNINV200_08550
ko:K00147	snv:SPNINV200_08560
ko:K00286	snv:SPNINV200_08570
ko:K00943	snv:SPNINV200_08580
ko:K02341	snv:SPNINV200_08590
ko:K07056	snv:SPNINV200_08610
ko:K04094	snv:SPNINV200_08620
ko:K09903	snv:SPNINV200_08630
ko:K02838	snv:SPNINV200_08640
ko:K00243	snv:SPNINV200_08650
ko:K02237	snv:SPNINV200_08690
ko:K02520	snv:SPNINV200_08800
ko:K02916	snv:SPNINV200_08810
ko:K02887	snv:SPNINV200_08820
ko:K01695	snv:SPNINV200_16380
ko:K01696	snv:SPNINV200_16390
ko:K03572	snv:SPNINV200_01640
ko:K00794	snv:SPNINV200_01650
ko:K14652	snv:SPNINV200_01660
ko:K00793	snv:SPNINV200_01670
ko:K01817	snv:SPNINV200_16400
ko:K01609	snv:SPNINV200_16410
ko:K00766	snv:SPNINV200_16420
ko:K01657	snv:SPNINV200_16440
ko:K07507	snv:SPNINV200_16490
ko:K02011	snv:SPNINV200_16500
ko:K02012	snv:SPNINV200_16520
ko:K01142	snv:SPNINV200_16650
ko:K03816	snv:SPNINV200_16670
ko:K00965	snv:SPNINV200_16720
ko:K00849	snv:SPNINV200_16730
ko:K02529	snv:SPNINV200_16740
ko:K03811	snv:SPNINV200_16790
ko:K05847	snv:SPNINV200_16810
ko:K11752	snv:SPNINV200_01680
ko:K03550	snv:SPNINV200_01690
ko:K01246	snv:SPNINV200_01700
ko:K03284	snv:SPNINV200_01740
ko:K03701	snv:SPNINV200_01750
ko:K07447	snv:SPNINV200_01800
ko:K11754	snv:SPNINV200_01820
ko:K06131	snv:SPNINV200_01840
ko:K02946	snv:SPNINV200_01910
ko:K02906	snv:SPNINV200_01920
ko:K02926	snv:SPNINV200_01930
ko:K02892	snv:SPNINV200_01940
ko:K02886	snv:SPNINV200_01950
ko:K02965	snv:SPNINV200_01960
ko:K02890	snv:SPNINV200_01970
ko:K02982	snv:SPNINV200_01980
ko:K02878	snv:SPNINV200_01990
ko:K02904	snv:SPNINV200_02000
ko:K02961	snv:SPNINV200_02010
ko:K02874	snv:SPNINV200_02020
ko:K02895	snv:SPNINV200_02030
ko:K02931	snv:SPNINV200_02040
ko:K02954	snv:SPNINV200_02050
ko:K02994	snv:SPNINV200_02060
ko:K02933	snv:SPNINV200_02070
ko:K02881	snv:SPNINV200_02080
ko:K02988	snv:SPNINV200_02090
ko:K02907	snv:SPNINV200_02100
ko:K02876	snv:SPNINV200_02110
ko:K03110	snv:SPNINV200_09920
ko:K00036	snv:SPNINV200_09930
ko:K03702	snv:SPNINV200_09970
ko:K01938	snv:SPNINV200_10060
ko:K03575	snv:SPNINV200_10070
ko:K02469	snv:SPNINV200_10150
ko:K00876	snv:SPNINV200_10230
ko:K03601	snv:SPNINV200_10240
ko:K03602	snv:SPNINV200_10250
ko:K13789	snv:SPNINV200_10260
ko:K06442	snv:SPNINV200_10270
ko:K03402	snv:SPNINV200_10280
ko:K03631	snv:SPNINV200_10290
ko:K03596	snv:SPNINV200_10310
ko:K02531	snv:SPNINV200_10410
ko:K02003	snv:SPNINV200_17690
ko:K00940	snv:SPNINV200_17710
ko:K03046	snv:SPNINV200_17720
ko:K03043	snv:SPNINV200_17730
ko:K00790	snv:SPNINV200_17770
ko:K00954	snv:SPNINV200_17800
ko:K01914	snv:SPNINV200_17820
ko:K06890	snv:SPNINV200_17830
ko:K03437	snv:SPNINV200_17840
ko:K01512	snv:SPNINV200_17850
ko:K03217	snv:SPNINV200_17860
ko:K04069	snv:SPNINV200_17870
ko:K01586	snv:SPNINV200_17880
ko:K09760	snv:SPNINV200_17910
ko:K01783	snv:SPNINV200_17930
ko:K06949	snv:SPNINV200_17940
ko:K02528	snv:SPNINV200_17950
ko:K02003	snv:SPNINV200_17970
ko:K05985	snv:SPNINV200_18010
ko:K03424	snv:SPNINV200_18020
ko:K02914	snv:SPNINV200_18040
ko:K14260	snv:SPNINV200_18050
ko:K02529	snv:SPNINV200_18100
ko:K07778	snv:SPNINV200_18120
ko:K01807	snv:SPNINV200_07280
ko:K01839	snv:SPNINV200_07290
ko:K02968	snv:SPNINV200_07350
ko:K00756	snv:SPNINV200_07390
ko:K07335	snv:SPNINV200_07420
ko:K02057	snv:SPNINV200_07440
ko:K02057	snv:SPNINV200_07450
ko:K08591	snv:SPNINV200_07480
ko:K02622	snv:SPNINV200_07490
ko:K02621	snv:SPNINV200_07510
ko:K00826	snv:SPNINV200_07520
ko:K01304	snv:SPNINV200_07560
ko:K02945	snv:SPNINV200_07580
ko:K02343	snv:SPNINV200_07620
ko:K09013	snv:SPNINV200_07640
ko:K09015	snv:SPNINV200_07650
ko:K11717	snv:SPNINV200_07660
ko:K09014	snv:SPNINV200_07680
ko:K02768	snv:SPNINV200_07760
ko:K02769	snv:SPNINV200_07760
ko:K02770	snv:SPNINV200_07760
ko:K03466	snv:SPNINV200_07770
ko:K00847	snv:SPNINV200_15430
ko:K01193	snv:SPNINV200_15460
ko:K03484	snv:SPNINV200_15470
ko:K03500	snv:SPNINV200_15570
ko:K00604	snv:SPNINV200_15580
ko:K04066	snv:SPNINV200_15590
ko:K03060	snv:SPNINV200_15600
ko:K00942	snv:SPNINV200_15610
ko:K09710	snv:SPNINV200_15670
ko:K00969	snv:SPNINV200_15700
ko:K07574	snv:SPNINV200_15710
ko:K07015	snv:SPNINV200_15730
ko:K07862	snv:SPNINV200_15760
ko:K03070	snv:SPNINV200_15820
ko:K04567	snv:SPNINV200_06290
ko:K00878	snv:SPNINV200_06320
ko:K00788	snv:SPNINV200_06330
ko:K03707	snv:SPNINV200_06370
ko:K00878	snv:SPNINV200_06390
ko:K00788	snv:SPNINV200_06400
ko:K00941	snv:SPNINV200_06410
ko:K01223	snv:SPNINV200_06490
ko:K01809	snv:SPNINV200_06500
ko:K07007	snv:SPNINV200_06540
ko:K00761	snv:SPNINV200_06580
ko:K01358	snv:SPNINV200_06590
ko:K01999	snv:SPNINV200_06610
ko:K01997	snv:SPNINV200_06620
ko:K01998	snv:SPNINV200_06630
ko:K01995	snv:SPNINV200_06640
ko:K01996	snv:SPNINV200_06650
ko:K02836	snv:SPNINV200_06670
ko:K09812	snv:SPNINV200_06680
ko:K09811	snv:SPNINV200_06690
ko:K00789	snv:SPNINV200_06730
ko:K06967	snv:SPNINV200_14420
ko:K00655	snv:SPNINV200_14480
ko:K02956	snv:SPNINV200_14500
ko:K07118	snv:SPNINV200_14510
ko:K01868	snv:SPNINV200_14550
ko:K07560	snv:SPNINV200_14680
ko:K11065	snv:SPNINV200_14760
ko:K02003	snv:SPNINV200_14780
ko:K01870	snv:SPNINV200_14830
ko:K04074	snv:SPNINV200_14840
ko:K02221	snv:SPNINV200_14860
ko:K06153	snv:SPNINV200_04160
ko:K02346	snv:SPNINV200_04190
ko:K00656	snv:SPNINV200_04200
ko:K03216	snv:SPNINV200_04320
ko:K01937	snv:SPNINV200_04390
ko:K03324	snv:SPNINV200_04400
ko:K00927	snv:SPNINV200_04420
ko:K01915	snv:SPNINV200_04450
ko:K01154	snv:SPNINV200_04470
ko:K01154	snv:SPNINV200_04490
ko:K03427	snv:SPNINV200_04500
ko:K01153	snv:SPNINV200_04510
ko:K03705	snv:SPNINV200_04540
ko:K03687	snv:SPNINV200_04550
ko:K04043	snv:SPNINV200_04560
ko:K03686	snv:SPNINV200_04580
ko:K02503	snv:SPNINV200_04610
ko:K02039	snv:SPNINV200_12390
ko:K02036	snv:SPNINV200_12400
ko:K02036	snv:SPNINV200_12410
ko:K02038	snv:SPNINV200_12420
ko:K02037	snv:SPNINV200_12440
ko:K02037	snv:SPNINV200_12430
ko:K02040	snv:SPNINV200_12450
ko:K13292	snv:SPNINV200_12570
ko:K02970	snv:SPNINV200_12590
ko:K07568	snv:SPNINV200_12610
ko:K00763	snv:SPNINV200_12650
ko:K08303	snv:SPNINV200_12720
ko:K00549	snv:SPNINV200_05180
ko:K00297	snv:SPNINV200_05190
ko:K00962	snv:SPNINV200_05200
ko:K00640	snv:SPNINV200_05210
ko:K01883	snv:SPNINV200_05230
ko:K11145	snv:SPNINV200_05240
ko:K02003	snv:SPNINV200_05290
ko:K01624	snv:SPNINV200_05330
ko:K07462	snv:SPNINV200_05390
ko:K03703	snv:SPNINV200_05450
ko:K03311	snv:SPNINV200_05530
ko:K02867	snv:SPNINV200_05570
ko:K01834	snv:SPNINV200_14800
ko:K16511	snv:SPNINV200_12080
ko:K16786	snv:SPNINV200_06350
ko:K16787	snv:SPNINV200_06350
ko:K01739	snv:SPNINV200_13630
ko:K16509	snv:SPNINV200_12500
ko:K16214	snv:SPNINV200_09690
ko:K03699	snv:SPNINV200_17740
ko:K01409	snv:SPNINV200_01280
