ko:K02313	lcw:BN194_00010
ko:K02822	lcw:BN194_03520
ko:K03475	lcw:BN194_03530
ko:K02004	lcw:BN194_04700
ko:K02795	lcw:BN194_04790
ko:K01182	lcw:BN194_04830
ko:K10254	lcw:BN194_04930
ko:K15051	lcw:BN194_06220
ko:K02795	lcw:BN194_06370
ko:K01619	lcw:BN194_06410
ko:K03709	lcw:BN194_08410
ko:K03693	lcw:BN194_08770
ko:K01560	lcw:BN194_08780
ko:K03768	lcw:BN194_08960
ko:K07570	lcw:BN194_08970
ko:K07729	lcw:BN194_11240
ko:K00625	lcw:BN194_11340
ko:K02342	lcw:BN194_11380
ko:K03316	lcw:BN194_11410
ko:K11072	lcw:BN194_11430
ko:K11071	lcw:BN194_11440
ko:K03326	lcw:BN194_03880
ko:K02806	lcw:BN194_03990
ko:K00854	lcw:BN194_04060
ko:K00158	lcw:BN194_05070
ko:K03491	lcw:BN194_05240
ko:K01760	lcw:BN194_06700
ko:K03486	lcw:BN194_06920
ko:K01226	lcw:BN194_06930
ko:K02756	lcw:BN194_06940
ko:K02757	lcw:BN194_06940
ko:K02755	lcw:BN194_06940
ko:K03294	lcw:BN194_06960
ko:K00016	lcw:BN194_06970
ko:K01674	lcw:BN194_07130
ko:K15051	lcw:BN194_07190
ko:K01220	lcw:BN194_07320
ko:K02786	lcw:BN194_07330
ko:K01784	lcw:BN194_07350
ko:K01785	lcw:BN194_07390
ko:K00917	lcw:BN194_07470
ko:K01635	lcw:BN194_07480
ko:K01819	lcw:BN194_07490
ko:K01819	lcw:BN194_07500
ko:K02530	lcw:BN194_07510
ko:K01989	lcw:BN194_07700
ko:K05832	lcw:BN194_07720
ko:K05833	lcw:BN194_07730
ko:K14983	lcw:BN194_07790
ko:K14982	lcw:BN194_07810
ko:K08974	lcw:BN194_08680
ko:K07105	lcw:BN194_08730
ko:K07027	lcw:BN194_09060
ko:K00841	lcw:BN194_09090
ko:K09825	lcw:BN194_09120
ko:K06183	lcw:BN194_09230
ko:K07069	lcw:BN194_09240
ko:K11069	lcw:BN194_11460
ko:K02243	lcw:BN194_11610
ko:K02244	lcw:BN194_11620
ko:K02245	lcw:BN194_11630
ko:K02246	lcw:BN194_11640
ko:K02248	lcw:BN194_11660
ko:K02433	lcw:BN194_11960
ko:K08724	lcw:BN194_14700
ko:K08093	lcw:BN194_04270
ko:K03316	lcw:BN194_07070
ko:K01934	lcw:BN194_08030
ko:K01259	lcw:BN194_08180
ko:K06889	lcw:BN194_08240
ko:K03647	lcw:BN194_08250
ko:K00712	lcw:BN194_09760
ko:K00712	lcw:BN194_09770
ko:K06198	lcw:BN194_09840
ko:K07816	lcw:BN194_09870
ko:K06201	lcw:BN194_09910
ko:K07404	lcw:BN194_09930
ko:K00059	lcw:BN194_10040
ko:K07386	lcw:BN194_12030
ko:K07273	lcw:BN194_12090
ko:K00938	lcw:BN194_12270
ko:K02755	lcw:BN194_12380
ko:K02756	lcw:BN194_12380
ko:K02757	lcw:BN194_12380
ko:K01092	lcw:BN194_15140
ko:K01958	lcw:BN194_15170
ko:K07177	lcw:BN194_15210
ko:K02238	lcw:BN194_15230
ko:K11085	lcw:BN194_15320
ko:K09167	lcw:BN194_29860
ko:K08981	lcw:BN194_29870
ko:K03488	lcw:BN194_12390
ko:K01515	lcw:BN194_14870
ko:K02782	lcw:BN194_28460
ko:K02783	lcw:BN194_28460
ko:K02783	lcw:BN194_28470
ko:K00068	lcw:BN194_28500
ko:K00939	lcw:BN194_26010
ko:K03386	lcw:BN194_26250
ko:K02236	lcw:BN194_26320
ko:K03708	lcw:BN194_26360
ko:K01243	lcw:BN194_14890
ko:K06898	lcw:BN194_P0230
ko:K09121	lcw:BN194_P0240
ko:K06864	lcw:BN194_P0270
ko:K15051	lcw:BN194_P0290
ko:K00700	lcw:BN194_21610
ko:K04086	lcw:BN194_21680
ko:K01104	lcw:BN194_21690
ko:K00027	lcw:BN194_30060
ko:K12996	lcw:BN194_21880
ko:K00059	lcw:BN194_21940
ko:K15583	lcw:BN194_21990
ko:K15582	lcw:BN194_22000
ko:K09963	lcw:BN194_22110
ko:K07052	lcw:BN194_23770
ko:K01409	lcw:BN194_23850
ko:K01424	lcw:BN194_23900
ko:K00564	lcw:BN194_24020
ko:K01361	lcw:BN194_24060
ko:K10823	lcw:BN194_21980
ko:K07533	lcw:BN194_24070
ko:K08161	lcw:BN194_24100
ko:K00135	lcw:BN194_24140
ko:K01426	lcw:BN194_24180
ko:K05937	lcw:BN194_24190
ko:K00059	lcw:BN194_22550
ko:K00059	lcw:BN194_22560
ko:K02371	lcw:BN194_22580
ko:K00805	lcw:BN194_24350
ko:K00805	lcw:BN194_24360
ko:K06988	lcw:BN194_24380
ko:K09698	lcw:BN194_24470
ko:K01990	lcw:BN194_24600
ko:K01372	lcw:BN194_24670
ko:K01372	lcw:BN194_24680
ko:K01006	lcw:BN194_24730
ko:K00016	lcw:BN194_26560
ko:K03048	lcw:BN194_26810
ko:K03574	lcw:BN194_26860
ko:K02822	lcw:BN194_28560
ko:K03475	lcw:BN194_28570
ko:K02821	lcw:BN194_28580
ko:K03476	lcw:BN194_28590
ko:K02795	lcw:BN194_28650
ko:K02793	lcw:BN194_28670
ko:K01206	lcw:BN194_28780
ko:K06889	lcw:BN194_30380
ko:K02798	lcw:BN194_30410
ko:K02799	lcw:BN194_30430
ko:K02800	lcw:BN194_30430
ko:K02564	lcw:BN194_30440
ko:K02005	lcw:BN194_30480
ko:K02004	lcw:BN194_30500
ko:K00158	lcw:BN194_22810
ko:K07192	lcw:BN194_22920
ko:K07035	lcw:BN194_22940
ko:K00841	lcw:BN194_22950
ko:K00805	lcw:BN194_23050
ko:K00383	lcw:BN194_23200
ko:K02755	lcw:BN194_23240
ko:K02756	lcw:BN194_23240
ko:K02757	lcw:BN194_23240
ko:K10947	lcw:BN194_25030
ko:K07706	lcw:BN194_25160
ko:K07052	lcw:BN194_25260
ko:K09685	lcw:BN194_26960
ko:K01635	lcw:BN194_27060
ko:K06147	lcw:BN194_27110
ko:K06147	lcw:BN194_27120
ko:K01259	lcw:BN194_27140
ko:K03574	lcw:BN194_27160
ko:K00016	lcw:BN194_27170
ko:K06910	lcw:BN194_27230
ko:K00854	lcw:BN194_28800
ko:K02795	lcw:BN194_28840
ko:K02793	lcw:BN194_28860
ko:K03491	lcw:BN194_28870
ko:K02775	lcw:BN194_28920
ko:K05815	lcw:BN194_29090
ko:K05816	lcw:BN194_29100
ko:K03488	lcw:BN194_23250
ko:K09952	lcw:BN194_23340
ko:K16012	lcw:BN194_23390
ko:K01488	lcw:BN194_23440
ko:K01104	lcw:BN194_23520
ko:K01679	lcw:BN194_25340
ko:K02077	lcw:BN194_25510
ko:K02077	lcw:BN194_25570
ko:K00383	lcw:BN194_27400
ko:K05845	lcw:BN194_27420
ko:K05846	lcw:BN194_27420
ko:K11041	lcw:BN194_27460
ko:K07052	lcw:BN194_27470
ko:K03469	lcw:BN194_27580
ko:K00882	lcw:BN194_27700
ko:K01206	lcw:BN194_27750
ko:K02793	lcw:BN194_27770
ko:K00691	lcw:BN194_11160
ko:K07304	lcw:BN194_13970
ko:K01607	lcw:BN194_14090
ko:K00799	lcw:BN194_14120
ko:K01489	lcw:BN194_17000
ko:K07305	lcw:BN194_17090
ko:K01507	lcw:BN194_17120
ko:K03976	lcw:BN194_17370
ko:K01916	lcw:BN194_19840
ko:K01206	lcw:BN194_19980
ko:K06286	lcw:BN194_14460
ko:K03177	lcw:BN194_17520
ko:K03294	lcw:BN194_17720
ko:K09976	lcw:BN194_17740
ko:K05966	lcw:BN194_20260
ko:K05966	lcw:BN194_20270
ko:K01571	lcw:BN194_20290
ko:K01572	lcw:BN194_20360
ko:K06988	lcw:BN194_20430
ko:K15583	lcw:BN194_20600
ko:K15582	lcw:BN194_20620
ko:K02794	lcw:BN194_27770
ko:K02795	lcw:BN194_27780
ko:K09704	lcw:BN194_27840
ko:K15524	lcw:BN194_27850
ko:K03492	lcw:BN194_27870
ko:K01104	lcw:BN194_29310
ko:K03830	lcw:BN194_29330
ko:K07652	lcw:BN194_29500
ko:K07668	lcw:BN194_29510
ko:K09963	lcw:BN194_29560
ko:K02795	lcw:BN194_29710
ko:K02793	lcw:BN194_29720
ko:K02794	lcw:BN194_29720
ko:K02004	lcw:BN194_25870
ko:K02775	lcw:BN194_27900
ko:K01182	lcw:BN194_27950
ko:K02744	lcw:BN194_28020
ko:K02745	lcw:BN194_28040
ko:K00065	lcw:BN194_28090
ko:K01727	lcw:BN194_28200
ko:K09787	lcw:BN194_17830
ko:K02035	lcw:BN194_17880
ko:K02033	lcw:BN194_17900
ko:K07030	lcw:BN194_17960
ko:K00949	lcw:BN194_17990
ko:K00867	lcw:BN194_21080
ko:K03455	lcw:BN194_21150
ko:K01259	lcw:BN194_21160
ko:K01619	lcw:BN194_02790
ko:K03784	lcw:BN194_02810
ko:K12373	lcw:BN194_02910
ko:K02004	lcw:BN194_21220
ko:K02822	lcw:BN194_00830
ko:K00215	lcw:BN194_01000
ko:K01714	lcw:BN194_01010
ko:K02469	lcw:BN194_00070
ko:K01619	lcw:BN194_00080
ko:K02990	lcw:BN194_00100
ko:K02470	lcw:BN194_00060
ko:K02963	lcw:BN194_00120
ko:K00425	lcw:BN194_00150
ko:K07052	lcw:BN194_00210
ko:K02004	lcw:BN194_00250
ko:K02003	lcw:BN194_00260
ko:K03322	lcw:BN194_00380
ko:K08659	lcw:BN194_00410
ko:K07052	lcw:BN194_00530
ko:K01625	lcw:BN194_00540
ko:K06994	lcw:BN194_00630
ko:K05846	lcw:BN194_00660
ko:K05845	lcw:BN194_00670
ko:K05847	lcw:BN194_00680
ko:K07052	lcw:BN194_00690
ko:K01534	lcw:BN194_00720
ko:K01695	lcw:BN194_00770
ko:K01696	lcw:BN194_00780
ko:K01609	lcw:BN194_00790
ko:K00766	lcw:BN194_00800
ko:K03475	lcw:BN194_00810
ko:K03475	lcw:BN194_00820
ko:K07457	lcw:BN194_01640
ko:K01421	lcw:BN194_01660
ko:K15580	lcw:BN194_01720
ko:K05823	lcw:BN194_01020
ko:K01586	lcw:BN194_01030
ko:K00928	lcw:BN194_01040
ko:K01778	lcw:BN194_01050
ko:K00133	lcw:BN194_01060
ko:K02939	lcw:BN194_01130
ko:K01939	lcw:BN194_01160
ko:K01534	lcw:BN194_01170
ko:K01535	lcw:BN194_01190
ko:K01921	lcw:BN194_01390
ko:K03778	lcw:BN194_01410
ko:K08987	lcw:BN194_01450
ko:K06901	lcw:BN194_01470
ko:K15975	lcw:BN194_01490
ko:K07478	lcw:BN194_01610
ko:K00925	lcw:BN194_01620
ko:K07090	lcw:BN194_01810
ko:K06872	lcw:BN194_01800
ko:K15771	lcw:BN194_11210
ko:K16958	lcw:BN194_04620
ko:K07006	lcw:BN194_01900
ko:K00226	lcw:BN194_19150
ko:K10040	lcw:BN194_21410
ko:K18939	lcw:BN194_23220
ko:K18926	lcw:BN194_23210
ko:K14982	lcw:BN194_07800
ko:K11051	lcw:BN194_07100
ko:K16786	lcw:BN194_03160
ko:K16787	lcw:BN194_03160
ko:K00868	lcw:BN194_06870
ko:K00549	lcw:BN194_06880
ko:K08177	lcw:BN194_06910
ko:K07862	lcw:BN194_06950
ko:K00262	lcw:BN194_06980
ko:K03704	lcw:BN194_06990
ko:K03320	lcw:BN194_07160
ko:K07223	lcw:BN194_07170
ko:K07507	lcw:BN194_07180
ko:K02440	lcw:BN194_07250
ko:K00864	lcw:BN194_07280
ko:K02531	lcw:BN194_07300
ko:K02787	lcw:BN194_07310
ko:K02788	lcw:BN194_07310
ko:K03624	lcw:BN194_02150
ko:K01928	lcw:BN194_02160
ko:K01779	lcw:BN194_02170
ko:K06608	lcw:BN194_02190
ko:K09988	lcw:BN194_04050
ko:K11201	lcw:BN194_04080
ko:K11202	lcw:BN194_04090
ko:K11203	lcw:BN194_04090
ko:K14155	lcw:BN194_04100
ko:K01624	lcw:BN194_04130
ko:K02768	lcw:BN194_04140
ko:K02769	lcw:BN194_04140
ko:K02770	lcw:BN194_04140
ko:K05879	lcw:BN194_04250
ko:K05878	lcw:BN194_04260
ko:K08094	lcw:BN194_04280
ko:K03710	lcw:BN194_04290
ko:K02812	lcw:BN194_04330
ko:K02813	lcw:BN194_04340
ko:K02814	lcw:BN194_04350
ko:K02815	lcw:BN194_04360
ko:K00140	lcw:BN194_02230
ko:K03337	lcw:BN194_02240
ko:K03338	lcw:BN194_02250
ko:K03336	lcw:BN194_02260
ko:K03335	lcw:BN194_02290
ko:K08602	lcw:BN194_02530
ko:K03311	lcw:BN194_02550
ko:K03100	lcw:BN194_02610
ko:K03671	lcw:BN194_02650
ko:K01999	lcw:BN194_02700
ko:K01997	lcw:BN194_02710
ko:K01998	lcw:BN194_02730
ko:K01995	lcw:BN194_02740
ko:K01996	lcw:BN194_02750
ko:K02761	lcw:BN194_02770
ko:K01839	lcw:BN194_02800
ko:K01809	lcw:BN194_02920
ko:K03710	lcw:BN194_02930
ko:K02082	lcw:BN194_02940
ko:K01443	lcw:BN194_02950
ko:K12308	lcw:BN194_02960
ko:K14155	lcw:BN194_03040
ko:K02761	lcw:BN194_03060
ko:K02760	lcw:BN194_03070
ko:K02759	lcw:BN194_03080
ko:K15580	lcw:BN194_03120
ko:K01624	lcw:BN194_04370
ko:K14445	lcw:BN194_04380
ko:K08094	lcw:BN194_04570
ko:K00009	lcw:BN194_04590
ko:K01915	lcw:BN194_05120
ko:K01223	lcw:BN194_05200
ko:K02759	lcw:BN194_05210
ko:K03707	lcw:BN194_03180
ko:K00878	lcw:BN194_03200
ko:K00788	lcw:BN194_03210
ko:K00941	lcw:BN194_03220
ko:K02529	lcw:BN194_03250
ko:K06726	lcw:BN194_03260
ko:K10441	lcw:BN194_03270
ko:K02003	lcw:BN194_04710
ko:K02761	lcw:BN194_05220
ko:K02760	lcw:BN194_05230
ko:K01256	lcw:BN194_05410
ko:K08996	lcw:BN194_05430
ko:K00014	lcw:BN194_05480
ko:K00014	lcw:BN194_05500
ko:K00651	lcw:BN194_05510
ko:K01738	lcw:BN194_05520
ko:K01624	lcw:BN194_03550
ko:K07006	lcw:BN194_03700
ko:K02529	lcw:BN194_03780
ko:K01421	lcw:BN194_04870
ko:K02073	lcw:BN194_04900
ko:K01442	lcw:BN194_04910
ko:K05879	lcw:BN194_04970
ko:K05878	lcw:BN194_04980
ko:K01246	lcw:BN194_05050
ko:K01624	lcw:BN194_05060
ko:K07010	lcw:BN194_05110
ko:K01809	lcw:BN194_06350
ko:K03710	lcw:BN194_06420
ko:K07090	lcw:BN194_03850
ko:K06871	lcw:BN194_03860
ko:K12700	lcw:BN194_03870
ko:K03092	lcw:BN194_03970
ko:K01624	lcw:BN194_04000
ko:K03734	lcw:BN194_06520
ko:K03777	lcw:BN194_06590
ko:K02424	lcw:BN194_06710
ko:K10009	lcw:BN194_06720
ko:K03311	lcw:BN194_06740
ko:K03501	lcw:BN194_02020
ko:K06942	lcw:BN194_02070
ko:K00849	lcw:BN194_07340
ko:K16785	lcw:BN194_04440
ko:K15772	lcw:BN194_11220
ko:K15770	lcw:BN194_11200
ko:K00382	lcw:BN194_15110
ko:K06207	lcw:BN194_15150
ko:K03588	lcw:BN194_15160
ko:K00954	lcw:BN194_15200
ko:K02237	lcw:BN194_15220
ko:K02340	lcw:BN194_15240
ko:K02968	lcw:BN194_15250
ko:K02956	lcw:BN194_15260
ko:K02358	lcw:BN194_15310
ko:K03545	lcw:BN194_15330
ko:K03544	lcw:BN194_15340
ko:K03978	lcw:BN194_15350
ko:K03703	lcw:BN194_15400
ko:K02768	lcw:BN194_15410
ko:K02769	lcw:BN194_15410
ko:K02770	lcw:BN194_15410
ko:K03979	lcw:BN194_15440
ko:K07124	lcw:BN194_15480
ko:K03695	lcw:BN194_15500
ko:K02911	lcw:BN194_15510
ko:K02337	lcw:BN194_15560
ko:K01972	lcw:BN194_11930
ko:K02435	lcw:BN194_11950
ko:K02434	lcw:BN194_11970
ko:K03215	lcw:BN194_11990
ko:K02759	lcw:BN194_12130
ko:K03654	lcw:BN194_12160
ko:K07058	lcw:BN194_12210
ko:K01265	lcw:BN194_12230
ko:K00963	lcw:BN194_12280
ko:K01223	lcw:BN194_12370
ko:K07118	lcw:BN194_20050
ko:K01875	lcw:BN194_20080
ko:K11733	lcw:BN194_20120
ko:K01575	lcw:BN194_20140
ko:K01652	lcw:BN194_20150
ko:K02913	lcw:BN194_20200
ko:K04564	lcw:BN194_20210
ko:K06180	lcw:BN194_20220
ko:K05964	lcw:BN194_20300
ko:K01643	lcw:BN194_20310
ko:K01644	lcw:BN194_20320
ko:K01646	lcw:BN194_20330
ko:K01910	lcw:BN194_20340
ko:K03300	lcw:BN194_20390
ko:K07559	lcw:BN194_20410
ko:K02747	lcw:BN194_28030
ko:K01815	lcw:BN194_28080
ko:K01625	lcw:BN194_28100
ko:K00874	lcw:BN194_28110
ko:K03975	lcw:BN194_28150
ko:K01232	lcw:BN194_28180
ko:K01042	lcw:BN194_28360
ko:K01465	lcw:BN194_28370
ko:K02781	lcw:BN194_28450
ko:K01989	lcw:BN194_07710
ko:K00034	lcw:BN194_23130
ko:K00850	lcw:BN194_15570
ko:K00873	lcw:BN194_15580
ko:K00243	lcw:BN194_15600
ko:K02859	lcw:BN194_15620
ko:K05896	lcw:BN194_15630
ko:K06024	lcw:BN194_15640
ko:K02548	lcw:BN194_23040
ko:K00925	lcw:BN194_23060
ko:K00259	lcw:BN194_23140
ko:K01754	lcw:BN194_23150
ko:K08659	lcw:BN194_23190
ko:K01223	lcw:BN194_23230
ko:K00426	lcw:BN194_23400
ko:K00425	lcw:BN194_23410
ko:K00756	lcw:BN194_23430
ko:K01246	lcw:BN194_23490
ko:K00965	lcw:BN194_07370
ko:K02529	lcw:BN194_07380
ko:K03547	lcw:BN194_07530
ko:K13993	lcw:BN194_07570
ko:K03575	lcw:BN194_07590
ko:K00941	lcw:BN194_07650
ko:K07118	lcw:BN194_07680
ko:K05349	lcw:BN194_07690
ko:K01574	lcw:BN194_07850
ko:K06178	lcw:BN194_15650
ko:K03654	lcw:BN194_15690
ko:K00945	lcw:BN194_15710
ko:K02945	lcw:BN194_15720
ko:K03977	lcw:BN194_15730
ko:K03530	lcw:BN194_15740
ko:K15738	lcw:BN194_15790
ko:K11068	lcw:BN194_15820
ko:K03797	lcw:BN194_15880
ko:K14540	lcw:BN194_15940
ko:K03470	lcw:BN194_15950
ko:K04096	lcw:BN194_15960
ko:K03168	lcw:BN194_15970
ko:K04094	lcw:BN194_15980
ko:K03733	lcw:BN194_15990
ko:K01419	lcw:BN194_16000
ko:K03667	lcw:BN194_16010
ko:K08591	lcw:BN194_16030
ko:K02622	lcw:BN194_16050
ko:K02621	lcw:BN194_16070
ko:K00656	lcw:BN194_16080
ko:K04069	lcw:BN194_16090
ko:K03523	lcw:BN194_23560
ko:K06287	lcw:BN194_23700
ko:K03572	lcw:BN194_23710
ko:K03555	lcw:BN194_23720
ko:K04077	lcw:BN194_23750
ko:K04078	lcw:BN194_23760
ko:K01926	lcw:BN194_23820
ko:K06158	lcw:BN194_23830
ko:K02760	lcw:BN194_23840
ko:K03789	lcw:BN194_23860
ko:K07056	lcw:BN194_23920
ko:K02341	lcw:BN194_23930
ko:K00943	lcw:BN194_23950
ko:K06187	lcw:BN194_23970
ko:K09747	lcw:BN194_23980
ko:K02343	lcw:BN194_23990
ko:K03704	lcw:BN194_12460
ko:K03816	lcw:BN194_12490
ko:K16169	lcw:BN194_12500
ko:K01589	lcw:BN194_12510
ko:K01756	lcw:BN194_12520
ko:K05340	lcw:BN194_12570
ko:K01810	lcw:BN194_12580
ko:K07090	lcw:BN194_20510
ko:K03817	lcw:BN194_20580
ko:K15581	lcw:BN194_20630
ko:K01807	lcw:BN194_28600
ko:K01783	lcw:BN194_28630
ko:K03710	lcw:BN194_28740
ko:K09758	lcw:BN194_28750
ko:K02774	lcw:BN194_28930
ko:K02773	lcw:BN194_28940
ko:K15580	lcw:BN194_20990
ko:K15580	lcw:BN194_29400
ko:K08659	lcw:BN194_13380
ko:K01928	lcw:BN194_13490
ko:K02835	lcw:BN194_13510
ko:K01951	lcw:BN194_21070
ko:K08659	lcw:BN194_21110
ko:K03657	lcw:BN194_21130
ko:K01772	lcw:BN194_21190
ko:K02003	lcw:BN194_21230
ko:K03665	lcw:BN194_21260
ko:K00067	lcw:BN194_21330
ko:K01790	lcw:BN194_21350
ko:K00973	lcw:BN194_21360
ko:K10040	lcw:BN194_21420
ko:K10039	lcw:BN194_21430
ko:K00942	lcw:BN194_21480
ko:K01866	lcw:BN194_21510
ko:K01126	lcw:BN194_29060
ko:K05813	lcw:BN194_29080
ko:K00763	lcw:BN194_29110
ko:K03826	lcw:BN194_29320
ko:K00783	lcw:BN194_29360
ko:K13993	lcw:BN194_29440
ko:K01356	lcw:BN194_07970
ko:K07088	lcw:BN194_07990
ko:K03284	lcw:BN194_08050
ko:K07088	lcw:BN194_08080
ko:K11065	lcw:BN194_08090
ko:K00940	lcw:BN194_08160
ko:K01091	lcw:BN194_08220
ko:K07173	lcw:BN194_08330
ko:K03550	lcw:BN194_08350
ko:K03551	lcw:BN194_08360
ko:K07568	lcw:BN194_08370
ko:K00773	lcw:BN194_08380
ko:K00817	lcw:BN194_16220
ko:K02500	lcw:BN194_16240
ko:K01814	lcw:BN194_16250
ko:K02501	lcw:BN194_16260
ko:K01693	lcw:BN194_16270
ko:K00013	lcw:BN194_16280
ko:K00765	lcw:BN194_16290
ko:K02502	lcw:BN194_16300
ko:K00817	lcw:BN194_16310
ko:K00077	lcw:BN194_16370
ko:K09699	lcw:BN194_16380
ko:K00167	lcw:BN194_16390
ko:K00382	lcw:BN194_16400
ko:K01591	lcw:BN194_16430
ko:K01955	lcw:BN194_16450
ko:K01956	lcw:BN194_16460
ko:K01465	lcw:BN194_16470
ko:K00609	lcw:BN194_16480
ko:K06180	lcw:BN194_16500
ko:K03101	lcw:BN194_16510
ko:K01938	lcw:BN194_16520
ko:K07078	lcw:BN194_16550
ko:K06131	lcw:BN194_16560
ko:K03800	lcw:BN194_16640
ko:K14205	lcw:BN194_24030
ko:K02935	lcw:BN194_24080
ko:K02864	lcw:BN194_24090
ko:K08369	lcw:BN194_24130
ko:K02863	lcw:BN194_24150
ko:K02867	lcw:BN194_24160
ko:K01531	lcw:BN194_24170
ko:K02601	lcw:BN194_24260
ko:K03073	lcw:BN194_24270
ko:K03734	lcw:BN194_24310
ko:K03885	lcw:BN194_24330
ko:K06962	lcw:BN194_24410
ko:K03218	lcw:BN194_24420
ko:K01883	lcw:BN194_24430
ko:K01807	lcw:BN194_24490
ko:K02493	lcw:BN194_13520
ko:K07566	lcw:BN194_13530
ko:K00600	lcw:BN194_13540
ko:K00761	lcw:BN194_13550
ko:K02108	lcw:BN194_13560
ko:K02110	lcw:BN194_13570
ko:K02109	lcw:BN194_13580
ko:K02113	lcw:BN194_13590
ko:K02111	lcw:BN194_13600
ko:K02115	lcw:BN194_13610
ko:K02112	lcw:BN194_13620
ko:K02114	lcw:BN194_13630
ko:K03569	lcw:BN194_13650
ko:K03210	lcw:BN194_08390
ko:K04072	lcw:BN194_08400
ko:K00036	lcw:BN194_08420
ko:K02346	lcw:BN194_08430
ko:K01872	lcw:BN194_08480
ko:K07447	lcw:BN194_08520
ko:K09888	lcw:BN194_08540
ko:K07456	lcw:BN194_08560
ko:K03671	lcw:BN194_08570
ko:K03367	lcw:BN194_08590
ko:K03739	lcw:BN194_08600
ko:K14188	lcw:BN194_08610
ko:K03740	lcw:BN194_08620
ko:K07095	lcw:BN194_08650
ko:K02440	lcw:BN194_08660
ko:K02529	lcw:BN194_08750
ko:K03524	lcw:BN194_08790
ko:K01126	lcw:BN194_08820
ko:K07444	lcw:BN194_16670
ko:K05366	lcw:BN194_16720
ko:K10773	lcw:BN194_16740
ko:K01893	lcw:BN194_16760
ko:K01821	lcw:BN194_16890
ko:K06967	lcw:BN194_16910
ko:K03086	lcw:BN194_16920
ko:K01879	lcw:BN194_16950
ko:K03584	lcw:BN194_16980
ko:K07042	lcw:BN194_17010
ko:K09117	lcw:BN194_17040
ko:K09773	lcw:BN194_17060
