ko:K03560	rrb:RPN_04525
ko:K03979	rrb:RPN_07235
ko:K03545	rrb:RPN_07240
ko:K00643	rrb:RPN_07255
ko:K04079	rrb:RPN_07260
ko:K09131	rrb:RPN_07265
ko:K03701	rrb:RPN_07295
ko:K09817	rrb:RPN_07325
ko:K02600	rrb:RPN_02385
ko:K02519	rrb:RPN_02390
ko:K03584	rrb:RPN_02410
ko:K04485	rrb:RPN_02420
ko:K06178	rrb:RPN_02435
ko:K03186	rrb:RPN_02470
ko:K04066	rrb:RPN_02475
ko:K01698	rrb:RPN_02490
ko:K00343	rrb:RPN_02500
ko:K02919	rrb:RPN_02580
ko:K00382	rrb:RPN_02635
ko:K03684	rrb:RPN_02650
ko:K06980	rrb:RPN_02660
ko:K01749	rrb:RPN_02700
ko:K02195	rrb:RPN_07350
ko:K03630	rrb:RPN_07380
ko:K01265	rrb:RPN_07390
ko:K03466	rrb:RPN_07400
ko:K00945	rrb:RPN_02740
ko:K02945	rrb:RPN_02745
ko:K01358	rrb:RPN_02750
ko:K13643	rrb:RPN_02815
ko:K04487	rrb:RPN_02820
ko:K04487	rrb:RPN_02825
ko:K02523	rrb:RPN_02855
ko:K08218	rrb:RPN_02885
ko:K06895	rrb:RPN_02895
ko:K07018	rrb:RPN_02915
ko:K00655	rrb:RPN_02930
ko:K01867	rrb:RPN_02935
ko:K09861	rrb:RPN_02970
ko:K05788	rrb:RPN_02990
ko:K04773	rrb:RPN_02995
ko:K03628	rrb:RPN_03000
ko:K07462	rrb:RPN_03010
ko:K02835	rrb:RPN_03015
ko:K00627	rrb:RPN_03020
ko:K02520	rrb:RPN_03025
ko:K03524	rrb:RPN_03055
ko:K04564	rrb:RPN_03080
ko:K11754	rrb:RPN_03085
ko:K03523	rrb:RPN_03090
ko:K01462	rrb:RPN_03130
ko:K05810	rrb:RPN_03135
ko:K01915	rrb:RPN_03140
ko:K07058	rrb:RPN_03145
ko:K02956	rrb:RPN_03170
ko:K00962	rrb:RPN_03175
ko:K06041	rrb:RPN_03180
ko:K11719	rrb:RPN_03185
ko:K09774	rrb:RPN_03190
ko:K06861	rrb:RPN_03195
ko:K00791	rrb:RPN_03210
ko:K00384	rrb:RPN_03320
ko:K01491	rrb:RPN_03325
ko:K01338	rrb:RPN_03380
ko:K01754	rrb:RPN_03385
ko:K03657	rrb:RPN_03410
ko:K00384	rrb:RPN_03435
ko:K07088	rrb:RPN_03445
ko:K00057	rrb:RPN_03450
ko:K00858	rrb:RPN_03460
ko:K06187	rrb:RPN_03490
ko:K02834	rrb:RPN_03505
ko:K01903	rrb:RPN_03555
ko:K01902	rrb:RPN_03560
ko:K03664	rrb:RPN_03570
ko:K01714	rrb:RPN_03575
ko:K00826	rrb:RPN_03580
ko:K07659	rrb:RPN_03585
ko:K07638	rrb:RPN_03590
ko:K00806	rrb:RPN_03595
ko:K00981	rrb:RPN_03600
ko:K03684	rrb:RPN_03610
ko:K01869	rrb:RPN_03620
ko:K02338	rrb:RPN_03640
ko:K01890	rrb:RPN_03645
ko:K01889	rrb:RPN_03650
ko:K01778	rrb:RPN_03660
ko:K02563	rrb:RPN_03760
ko:K03588	rrb:RPN_03765
ko:K01925	rrb:RPN_03770
ko:K03101	rrb:RPN_03780
ko:K02275	rrb:RPN_03790
ko:K07010	rrb:RPN_03805
ko:K08309	rrb:RPN_03830
ko:K00449	rrb:RPN_03850
ko:K07243	rrb:RPN_03865
ko:K06190	rrb:RPN_03870
ko:K03642	rrb:RPN_03880
ko:K08218	rrb:RPN_03890
ko:K03551	rrb:RPN_03900
ko:K03550	rrb:RPN_03915
ko:K01881	rrb:RPN_03930
ko:K01495	rrb:RPN_03935
ko:K00979	rrb:RPN_03955
ko:K01937	rrb:RPN_03960
ko:K00024	rrb:RPN_03980
ko:K00029	rrb:RPN_04050
ko:K07088	rrb:RPN_04055
ko:K04566	rrb:RPN_04060
ko:K03820	rrb:RPN_04115
ko:K00208	rrb:RPN_04120
ko:K00330	rrb:RPN_04165
ko:K00331	rrb:RPN_04170
ko:K00332	rrb:RPN_04175
ko:K00333	rrb:RPN_04180
ko:K00334	rrb:RPN_04185
ko:K08998	rrb:RPN_04190
ko:K03652	rrb:RPN_04205
ko:K03602	rrb:RPN_04225
ko:K02860	rrb:RPN_04235
ko:K02986	rrb:RPN_04265
ko:K00067	rrb:RPN_04330
ko:K07447	rrb:RPN_04345
ko:K04096	rrb:RPN_04370
ko:K03168	rrb:RPN_04380
ko:K06202	rrb:RPN_04415
ko:K07082	rrb:RPN_04420
ko:K00748	rrb:RPN_04430
ko:K07391	rrb:RPN_04450
ko:K03667	rrb:RPN_04465
ko:K01419	rrb:RPN_04470
ko:K00133	rrb:RPN_04490
ko:K03562	rrb:RPN_04530
ko:K01892	rrb:RPN_04580
ko:K00566	rrb:RPN_04595
ko:K03089	rrb:RPN_04610
ko:K03641	rrb:RPN_04615
ko:K07043	rrb:RPN_04625
ko:K01808	rrb:RPN_04635
ko:K03555	rrb:RPN_04640
ko:K01524	rrb:RPN_04685
ko:K05567	rrb:RPN_04730
ko:K01354	rrb:RPN_04760
ko:K05837	rrb:RPN_04765
ko:K03596	rrb:RPN_04830
ko:K02836	rrb:RPN_04835
ko:K00413	rrb:RPN_04865
ko:K00412	rrb:RPN_04875
ko:K00411	rrb:RPN_04880
ko:K02194	rrb:RPN_04890
ko:K05566	rrb:RPN_04895
ko:K05571	rrb:RPN_04900
ko:K00031	rrb:RPN_04905
ko:K06207	rrb:RPN_04930
ko:K00162	rrb:RPN_04935
ko:K00161	rrb:RPN_04940
ko:K01142	rrb:RPN_04945
ko:K02259	rrb:RPN_04970
ko:K08300	rrb:RPN_04975
ko:K02535	rrb:RPN_04985
ko:K03590	rrb:RPN_05005
ko:K03589	rrb:RPN_05010
ko:K01921	rrb:RPN_05015
ko:K00075	rrb:RPN_05020
ko:K01924	rrb:RPN_05025
ko:K05527	rrb:RPN_05035
ko:K03543	rrb:RPN_05055
ko:K01613	rrb:RPN_05065
ko:K02356	rrb:RPN_05080
ko:K08311	rrb:RPN_05090
ko:K08641	rrb:RPN_05115
ko:K02996	rrb:RPN_05120
ko:K02871	rrb:RPN_05125
ko:K07716	rrb:RPN_05145
ko:K03797	rrb:RPN_05150
ko:K02622	rrb:RPN_05155
ko:K09991	rrb:RPN_05170
ko:K03182	rrb:RPN_00015
ko:K03733	rrb:RPN_00040
ko:K06204	rrb:RPN_00045
ko:K06287	rrb:RPN_00050
ko:K02518	rrb:RPN_00055
ko:K09710	rrb:RPN_00140
ko:K06168	rrb:RPN_00185
ko:K05366	rrb:RPN_00190
ko:K04047	rrb:RPN_00220
ko:K00382	rrb:RPN_00225
ko:K02113	rrb:RPN_00230
ko:K02111	rrb:RPN_00235
ko:K02115	rrb:RPN_00240
ko:K02112	rrb:RPN_00245
ko:K02114	rrb:RPN_00250
ko:K01681	rrb:RPN_00255
ko:K00337	rrb:RPN_00270
ko:K00338	rrb:RPN_00275
ko:K00342	rrb:RPN_00285
ko:K00341	rrb:RPN_00290
ko:K00340	rrb:RPN_00295
ko:K00339	rrb:RPN_00300
ko:K07726	rrb:RPN_00305
ko:K01875	rrb:RPN_00345
ko:K03118	rrb:RPN_00350
ko:K01868	rrb:RPN_05235
ko:K01923	rrb:RPN_05245
ko:K00426	rrb:RPN_05270
ko:K00425	rrb:RPN_05275
ko:K07568	rrb:RPN_05305
ko:K06916	rrb:RPN_05310
ko:K00604	rrb:RPN_05325
ko:K01462	rrb:RPN_05330
ko:K02469	rrb:RPN_05370
ko:K03702	rrb:RPN_05405
ko:K03470	rrb:RPN_05410
ko:K04082	rrb:RPN_05415
ko:K04044	rrb:RPN_05420
ko:K07080	rrb:RPN_05435
ko:K02276	rrb:RPN_05535
ko:K06920	rrb:RPN_01055
ko:K03790	rrb:RPN_01060
ko:K03544	rrb:RPN_01065
ko:K09760	rrb:RPN_01125
ko:K01873	rrb:RPN_01150
ko:K03179	rrb:RPN_01170
ko:K00943	rrb:RPN_01180
ko:K01874	rrb:RPN_01185
ko:K03424	rrb:RPN_01190
ko:K03183	rrb:RPN_01255
ko:K03688	rrb:RPN_01260
ko:K03977	rrb:RPN_01300
ko:K01142	rrb:RPN_01310
ko:K03601	rrb:RPN_01330
ko:K04744	rrb:RPN_01335
ko:K02528	rrb:RPN_01345
ko:K03704	rrb:RPN_01350
ko:K08276	rrb:RPN_01370
ko:K03531	rrb:RPN_01380
ko:K03218	rrb:RPN_01405
ko:K02358	rrb:RPN_01410
ko:K02946	rrb:RPN_01420
ko:K02065	rrb:RPN_06150
ko:K02066	rrb:RPN_06155
ko:K01775	rrb:RPN_06160
ko:K00948	rrb:RPN_06175
ko:K04754	rrb:RPN_06185
ko:K00812	rrb:RPN_06205
ko:K09778	rrb:RPN_06210
ko:K02527	rrb:RPN_06215
ko:K02357	rrb:RPN_06230
ko:K02967	rrb:RPN_06235
ko:K01883	rrb:RPN_06240
ko:K03075	rrb:RPN_06250
ko:K03762	rrb:RPN_06265
ko:K07275	rrb:RPN_06275
ko:K00325	rrb:RPN_06280
ko:K09987	rrb:RPN_06285
ko:K06879	rrb:RPN_06290
ko:K13584	rrb:RPN_06295
ko:K03071	rrb:RPN_06300
ko:K01494	rrb:RPN_06305
ko:K02621	rrb:RPN_06325
ko:K01887	rrb:RPN_06335
ko:K01129	rrb:RPN_06340
ko:K01627	rrb:RPN_06360
ko:K03501	rrb:RPN_06385
ko:K03495	rrb:RPN_06390
ko:K00940	rrb:RPN_06395
ko:K02445	rrb:RPN_06400
ko:K00012	rrb:RPN_00365
ko:K02337	rrb:RPN_00370
ko:K00789	rrb:RPN_00390
ko:K00789	rrb:RPN_00400
ko:K00789	rrb:RPN_00405
ko:K03110	rrb:RPN_00415
ko:K02911	rrb:RPN_00425
ko:K00648	rrb:RPN_00430
ko:K03640	rrb:RPN_00440
ko:K11720	rrb:RPN_00445
ko:K03569	rrb:RPN_00450
ko:K03570	rrb:RPN_00455
ko:K00942	rrb:RPN_00465
ko:K07133	rrb:RPN_00470
ko:K15738	rrb:RPN_00485
ko:K09458	rrb:RPN_00490
ko:K02078	rrb:RPN_00495
ko:K03650	rrb:RPN_00535
ko:K15371	rrb:RPN_00540
ko:K09888	rrb:RPN_00555
ko:K00928	rrb:RPN_00595
ko:K02899	rrb:RPN_00600
ko:K02888	rrb:RPN_00605
ko:K01095	rrb:RPN_00610
ko:K03116	rrb:RPN_00615
ko:K07056	rrb:RPN_00625
ko:K06134	rrb:RPN_05545
ko:K02340	rrb:RPN_05550
ko:K04043	rrb:RPN_05575
ko:K03686	rrb:RPN_05580
ko:K05807	rrb:RPN_05595
ko:K03631	rrb:RPN_05600
ko:K01299	rrb:RPN_05605
ko:K00164	rrb:RPN_05610
ko:K00658	rrb:RPN_05620
ko:K01737	rrb:RPN_05625
ko:K03926	rrb:RPN_05630
ko:K03106	rrb:RPN_05690
ko:K02341	rrb:RPN_05695
ko:K03530	rrb:RPN_05700
ko:K09779	rrb:RPN_05710
ko:K09761	rrb:RPN_05715
ko:K03625	rrb:RPN_05745
ko:K11749	rrb:RPN_05750
ko:K07277	rrb:RPN_05755
ko:K05569	rrb:RPN_05780
ko:K09903	rrb:RPN_05785
ko:K02838	rrb:RPN_05790
ko:K02435	rrb:RPN_05800
ko:K02434	rrb:RPN_05810
ko:K00215	rrb:RPN_05825
ko:K06890	rrb:RPN_05830
ko:K02906	rrb:RPN_01425
ko:K02926	rrb:RPN_01430
ko:K02892	rrb:RPN_01435
ko:K02886	rrb:RPN_01440
ko:K02965	rrb:RPN_01445
ko:K02890	rrb:RPN_01450
ko:K02982	rrb:RPN_01455
ko:K02878	rrb:RPN_01460
ko:K02904	rrb:RPN_01465
ko:K02961	rrb:RPN_01470
ko:K02874	rrb:RPN_01475
ko:K02895	rrb:RPN_01480
ko:K02931	rrb:RPN_01485
ko:K02954	rrb:RPN_01490
ko:K02994	rrb:RPN_01495
ko:K02933	rrb:RPN_01500
ko:K02881	rrb:RPN_01505
ko:K02988	rrb:RPN_01510
ko:K02907	rrb:RPN_01515
ko:K02876	rrb:RPN_01520
ko:K03076	rrb:RPN_01525
ko:K02952	rrb:RPN_01535
ko:K02948	rrb:RPN_01540
ko:K03040	rrb:RPN_01545
ko:K02879	rrb:RPN_01550
ko:K02968	rrb:RPN_01555
ko:K03687	rrb:RPN_01615
ko:K00989	rrb:RPN_01620
ko:K04078	rrb:RPN_01665
ko:K04077	rrb:RPN_01670
ko:K09816	rrb:RPN_01695
ko:K05939	rrb:RPN_01705
ko:K01870	rrb:RPN_01745
ko:K03301	rrb:RPN_06405
ko:K01462	rrb:RPN_06410
ko:K00995	rrb:RPN_06435
ko:K03217	rrb:RPN_06440
ko:K13292	rrb:RPN_06455
ko:K10773	rrb:RPN_00670
ko:K07390	rrb:RPN_00675
ko:K06999	rrb:RPN_00680
ko:K00600	rrb:RPN_00685
ko:K03644	rrb:RPN_00690
ko:K07042	rrb:RPN_00705
ko:K03821	rrb:RPN_00730
ko:K00645	rrb:RPN_00805
ko:K00859	rrb:RPN_00835
ko:K09985	rrb:RPN_00845
ko:K00773	rrb:RPN_00900
ko:K01972	rrb:RPN_00910
ko:K07115	rrb:RPN_00915
ko:K00912	rrb:RPN_00925
ko:K02517	rrb:RPN_00930
ko:K03564	rrb:RPN_00935
ko:K04764	rrb:RPN_00945
ko:K05349	rrb:RPN_00955
ko:K02198	rrb:RPN_01005
ko:K09808	rrb:RPN_01025
ko:K07552	rrb:RPN_01030
ko:K01876	rrb:RPN_05840
ko:K01255	rrb:RPN_05855
ko:K03046	rrb:RPN_05865
ko:K03043	rrb:RPN_05870
ko:K02935	rrb:RPN_05875
ko:K02864	rrb:RPN_05880
ko:K02863	rrb:RPN_05885
ko:K02867	rrb:RPN_05890
ko:K02601	rrb:RPN_05895
ko:K03073	rrb:RPN_05900
ko:K02355	rrb:RPN_05905
ko:K02992	rrb:RPN_05910
ko:K02950	rrb:RPN_05915
ko:K00239	rrb:RPN_05925
ko:K00242	rrb:RPN_05930
ko:K07146	rrb:RPN_05945
ko:K04087	rrb:RPN_05955
ko:K04088	rrb:RPN_05960
ko:K07276	rrb:RPN_05970
ko:K01159	rrb:RPN_05990
ko:K03685	rrb:RPN_06000
ko:K03100	rrb:RPN_06005
ko:K03074	rrb:RPN_06015
ko:K02884	rrb:RPN_06025
ko:K00554	rrb:RPN_06030
ko:K00930	rrb:RPN_06100
ko:K03978	rrb:RPN_06105
ko:K02909	rrb:RPN_06110
ko:K02902	rrb:RPN_06115
ko:K03798	rrb:RPN_06485
ko:K04075	rrb:RPN_06490
ko:K02939	rrb:RPN_06495
ko:K02963	rrb:RPN_06500
ko:K02990	rrb:RPN_06505
ko:K03695	rrb:RPN_06530
ko:K00023	rrb:RPN_06565
ko:K07735	rrb:RPN_06625
ko:K07152	rrb:RPN_06630
ko:K13941	rrb:RPN_06665
ko:K06137	rrb:RPN_06680
ko:K03629	rrb:RPN_06685
ko:K07736	rrb:RPN_06700
ko:K02108	rrb:RPN_06715
ko:K02110	rrb:RPN_06720
ko:K02109	rrb:RPN_06725
ko:K02109	rrb:RPN_06730
ko:K00240	rrb:RPN_06470
ko:K12340	rrb:RPN_05175
ko:K11528	rrb:RPN_02570
ko:K02258	rrb:RPN_04605
ko:K01082	rrb:RPN_04645
ko:K05568	rrb:RPN_04735
ko:K05568	rrb:RPN_04740
ko:K05568	rrb:RPN_04755
ko:K06179	rrb:RPN_04965
ko:K08738	rrb:RPN_04995
ko:K01092	rrb:RPN_05075
ko:K01724	rrb:RPN_05105
ko:K03455	rrb:RPN_00145
ko:K02193	rrb:RPN_00280
ko:K05794	rrb:RPN_00325
ko:K06147	rrb:RPN_05385
ko:K00674	rrb:RPN_05520
ko:K00059	rrb:RPN_00500
ko:K01322	rrb:RPN_05670
ko:K01322	rrb:RPN_05685
ko:K02427	rrb:RPN_05740
ko:K02433	rrb:RPN_05805
ko:K02342	rrb:RPN_00830
ko:K09949	rrb:RPN_00840
ko:K03469	rrb:RPN_00850
ko:K02067	rrb:RPN_00860
ko:K00241	rrb:RPN_05940
ko:K03593	rrb:RPN_05965
ko:K02533	rrb:RPN_05985
ko:K09691	rrb:RPN_06870
ko:K06147	rrb:RPN_01040
ko:K10563	rrb:RPN_01250
ko:K15383	rrb:RPN_01305
ko:K01679	rrb:RPN_01395
ko:K00939	rrb:RPN_01530
ko:K01885	rrb:RPN_01685
ko:K00568	rrb:RPN_01690
ko:K07343	rrb:RPN_01700
ko:K01966	rrb:RPN_01715
ko:K01965	rrb:RPN_01720
ko:K01409	rrb:RPN_06520
ko:K02116	rrb:RPN_06710
ko:K01507	rrb:RPN_02035
ko:K00970	rrb:RPN_06780
ko:K09815	rrb:RPN_06785
ko:K01439	rrb:RPN_07010
ko:K03769	rrb:RPN_02135
ko:K00567	rrb:RPN_02180
ko:K05570	rrb:RPN_02275
ko:K06910	rrb:RPN_07330
ko:K01934	rrb:RPN_02640
ko:K05524	rrb:RPN_07355
ko:K01823	rrb:RPN_02755
ko:K04488	rrb:RPN_02830
ko:K13628	rrb:RPN_02835
ko:K03294	rrb:RPN_02845
ko:K01262	rrb:RPN_02850
ko:K00799	rrb:RPN_03100
ko:K03177	rrb:RPN_03165
ko:K00135	rrb:RPN_03430
ko:K02274	rrb:RPN_03800
ko:K01297	rrb:RPN_03820
ko:K07258	rrb:RPN_03885
ko:K11085	rrb:RPN_03895
ko:K03574	rrb:RPN_03945
ko:K05833	rrb:RPN_04090
ko:K05832	rrb:RPN_04095
ko:K01989	rrb:RPN_04100
ko:K04763	rrb:RPN_04135
ko:K03386	rrb:RPN_04365
ko:K01885	rrb:RPN_04385
ko:K03294	rrb:RPN_04585
ko:K03301	rrb:RPN_03160
ko:K03301	rrb:RPN_00725
ko:K14235	rrb:RPN_t07479
ko:K14232	rrb:RPN_t07427
ko:K16053	rrb:RPN_06445
ko:K01840	rrb:RPN_03200
ko:K12262	rrb:RPN_03530
ko:K12262	rrb:RPN_03535
ko:K14230	rrb:RPN_t07429
ko:K14222	rrb:RPN_t07471
ko:K14223	rrb:RPN_t07457
ko:K07323	rrb:RPN_06180
ko:K14229	rrb:RPN_t07469
ko:K14227	rrb:RPN_t07467
ko:K14221	rrb:RPN_t07465
ko:K14233	rrb:RPN_t07463
ko:K14219	rrb:RPN_t07461
ko:K14223	rrb:RPN_t07459
ko:K14218	rrb:RPN_t07455
ko:K14237	rrb:RPN_t07453
ko:K14233	rrb:RPN_t07451
ko:K14218	rrb:RPN_t07447
ko:K14228	rrb:RPN_t07445
ko:K14237	rrb:RPN_t07441
ko:K14236	rrb:RPN_t07437
ko:K14226	rrb:RPN_t07433
ko:K14233	rrb:RPN_t07431
ko:K14234	rrb:RPN_t07477
ko:K14230	rrb:RPN_t07475
ko:K01980	rrb:RPN_r07499
ko:K01985	rrb:RPN_r07495
ko:K14220	rrb:RPN_t07473
ko:K01977	rrb:RPN_r07497
ko:K14230	rrb:RPN_t07481
ko:K14228	rrb:RPN_t07491
ko:K14225	rrb:RPN_t07443
ko:K14231	rrb:RPN_t07487
ko:K14224	rrb:RPN_t07485
ko:K14234	rrb:RPN_t07489
ko:K14219	rrb:RPN_t07449
ko:K14219	rrb:RPN_t07493
ko:K14228	rrb:RPN_t07435
ko:K14225	rrb:RPN_t07439
ko:K14234	rrb:RPN_t07483
ko:K00335	rrb:RPN_06010
ko:K02030	rrb:RPN_05815
ko:K17717	rrb:RPN_00030
ko:K17716	rrb:RPN_04325
ko:K14998	rrb:RPN_00825
ko:K09810	rrb:RPN_01020
ko:K02488	rrb:RPN_05085
ko:K02028	rrb:RPN_07050
ko:K17103	rrb:RPN_05060
ko:K08316	rrb:RPN_02425
ko:K05540	rrb:RPN_06805
ko:K00971	rrb:RPN_01245
ko:K01791	rrb:RPN_04320
ko:K12574	rrb:RPN_03455
ko:K15270	rrb:RPN_06270
ko:K06867	rrb:RPN_05160
ko:K06900	rrb:RPN_01905
ko:K00567	rrb:RPN_02200
ko:K04096	rrb:RPN_04375
ko:K02022	rrb:RPN_04500
ko:K03446	rrb:RPN_05775
ko:K18588	rrb:RPN_05725
ko:K18587	rrb:RPN_01760
ko:K18707	rrb:RPN_03655
ko:K06147	rrb:RPN_05285
ko:K07171	rrb:RPN_06855
ko:K03497	rrb:RPN_06375
ko:K03496	rrb:RPN_06380
ko:K07473	rrb:RPN_07035
ko:K03111	rrb:RPN_07290
ko:K03205	rrb:RPN_04690
ko:K03196	rrb:RPN_04695
ko:K03204	rrb:RPN_04705
ko:K03203	rrb:RPN_04710
ko:K03203	rrb:RPN_04720
ko:K03204	rrb:RPN_04725
ko:K03496	rrb:RPN_05850
ko:K03201	rrb:RPN_06065
ko:K03201	rrb:RPN_06070
ko:K03201	rrb:RPN_06075
ko:K03201	rrb:RPN_06080
ko:K03201	rrb:RPN_06085
ko:K16898	rrb:RPN_00820
ko:K16899	rrb:RPN_03815
ko:K19157	rrb:RPN_07030
ko:K19159	rrb:RPN_06195
ko:K07062	rrb:RPN_07180
ko:K00336	rrb:RPN_00265
ko:K04771	rrb:RPN_05950
ko:K09690	rrb:RPN_06865
ko:K00525	rrb:RPN_03250
ko:K09796	rrb:RPN_02210
ko:K00507	rrb:RPN_06515
ko:K03198	rrb:RPN_06095
ko:K03199	rrb:RPN_00335
ko:K04755	rrb:RPN_05425
ko:K03195	rrb:RPN_04700
ko:K03199	rrb:RPN_06090
ko:K00558	rrb:RPN_06480
ko:K00287	rrb:RPN_06675
ko:K02316	rrb:RPN_07125
ko:K01185	rrb:RPN_07275
ko:K02314	rrb:RPN_02460
ko:K06223	rrb:RPN_02620
ko:K01520	rrb:RPN_03835
ko:K03465	rrb:RPN_04620
ko:K03676	rrb:RPN_05400
ko:K03553	rrb:RPN_00505
ko:K06197	rrb:RPN_05585
ko:K06197	rrb:RPN_05590
ko:K06889	rrb:RPN_04290
ko:K06148	rrb:RPN_04495
ko:K00526	rrb:RPN_03240
ko:K02335	rrb:RPN_00410
ko:K21498	rrb:RPN_04340
ko:K21498	rrb:RPN_04815
ko:K10026	rrb:RPN_01850
ko:K21929	rrb:RPN_07220
ko:K03595	rrb:RPN_05995
ko:K11991	rrb:RPN_07345
ko:K02257	rrb:RPN_04260
