ko:K02022	rpz:MA3_01545
ko:K06879	rpz:MA3_00355
ko:K09987	rpz:MA3_00360
ko:K00325	rpz:MA3_00365
ko:K07275	rpz:MA3_00370
ko:K03762	rpz:MA3_00380
ko:K03075	rpz:MA3_00385
ko:K01883	rpz:MA3_00410
ko:K02967	rpz:MA3_00415
ko:K02357	rpz:MA3_00420
ko:K02527	rpz:MA3_00430
ko:K09778	rpz:MA3_00435
ko:K00812	rpz:MA3_00440
ko:K04754	rpz:MA3_00450
ko:K01775	rpz:MA3_00460
ko:K02066	rpz:MA3_00465
ko:K02065	rpz:MA3_00470
ko:K02902	rpz:MA3_00480
ko:K02909	rpz:MA3_00485
ko:K03978	rpz:MA3_00490
ko:K00925	rpz:MA3_00535
ko:K00554	rpz:MA3_00540
ko:K02884	rpz:MA3_00545
ko:K03074	rpz:MA3_00555
ko:K03100	rpz:MA3_00565
ko:K03685	rpz:MA3_00570
ko:K01159	rpz:MA3_00580
ko:K07276	rpz:MA3_00585
ko:K04088	rpz:MA3_00595
ko:K04087	rpz:MA3_00600
ko:K07146	rpz:MA3_00610
ko:K00242	rpz:MA3_00620
ko:K00239	rpz:MA3_00625
ko:K02950	rpz:MA3_00635
ko:K02992	rpz:MA3_00640
ko:K02355	rpz:MA3_00645
ko:K03073	rpz:MA3_00650
ko:K02601	rpz:MA3_00655
ko:K02867	rpz:MA3_00660
ko:K02863	rpz:MA3_00665
ko:K02864	rpz:MA3_00670
ko:K02935	rpz:MA3_00675
ko:K03043	rpz:MA3_00680
ko:K03046	rpz:MA3_00685
ko:K01255	rpz:MA3_00690
ko:K01876	rpz:MA3_00705
ko:K06890	rpz:MA3_00720
ko:K00215	rpz:MA3_00725
ko:K02434	rpz:MA3_00740
ko:K02435	rpz:MA3_00750
ko:K02838	rpz:MA3_00755
ko:K09903	rpz:MA3_00760
ko:K05569	rpz:MA3_00765
ko:K07277	rpz:MA3_00780
ko:K11749	rpz:MA3_00785
ko:K03625	rpz:MA3_00790
ko:K09761	rpz:MA3_00820
ko:K06942	rpz:MA3_02935
ko:K01056	rpz:MA3_02940
ko:K02897	rpz:MA3_02945
ko:K02916	rpz:MA3_02955
ko:K02887	rpz:MA3_02960
ko:K02914	rpz:MA3_02965
ko:K03536	rpz:MA3_02970
ko:K13598	rpz:MA3_02985
ko:K02970	rpz:MA3_02990
ko:K01870	rpz:MA3_03000
ko:K05939	rpz:MA3_03020
ko:K09816	rpz:MA3_03025
ko:K04077	rpz:MA3_03050
ko:K04078	rpz:MA3_03055
ko:K00989	rpz:MA3_03060
ko:K03687	rpz:MA3_03065
ko:K02968	rpz:MA3_03080
ko:K02879	rpz:MA3_03085
ko:K03040	rpz:MA3_03090
ko:K02948	rpz:MA3_03095
ko:K02952	rpz:MA3_03100
ko:K03076	rpz:MA3_03110
ko:K02876	rpz:MA3_03115
ko:K02907	rpz:MA3_03120
ko:K02988	rpz:MA3_03125
ko:K02881	rpz:MA3_03130
ko:K02933	rpz:MA3_03135
ko:K02994	rpz:MA3_03140
ko:K02954	rpz:MA3_03145
ko:K02931	rpz:MA3_03150
ko:K02895	rpz:MA3_03155
ko:K02874	rpz:MA3_03160
ko:K02961	rpz:MA3_03165
ko:K02904	rpz:MA3_03170
ko:K02878	rpz:MA3_03175
ko:K02982	rpz:MA3_03180
ko:K02890	rpz:MA3_03185
ko:K02965	rpz:MA3_03190
ko:K02886	rpz:MA3_03195
ko:K02892	rpz:MA3_03200
ko:K02926	rpz:MA3_03205
ko:K02906	rpz:MA3_03210
ko:K02946	rpz:MA3_03215
ko:K02358	rpz:MA3_03220
ko:K03703	rpz:MA3_02780
ko:K03070	rpz:MA3_02795
ko:K00997	rpz:MA3_02805
ko:K03060	rpz:MA3_02810
ko:K00790	rpz:MA3_02815
ko:K02470	rpz:MA3_02820
ko:K06213	rpz:MA3_02830
ko:K03210	rpz:MA3_02835
ko:K03072	rpz:MA3_02840
ko:K07152	rpz:MA3_02845
ko:K02197	rpz:MA3_02855
ko:K03980	rpz:MA3_02865
ko:K03655	rpz:MA3_02880
ko:K01000	rpz:MA3_02885
ko:K01929	rpz:MA3_02890
ko:K09779	rpz:MA3_00825
ko:K03530	rpz:MA3_00835
ko:K02341	rpz:MA3_00840
ko:K03106	rpz:MA3_00845
ko:K03926	rpz:MA3_00865
ko:K01737	rpz:MA3_00870
ko:K00658	rpz:MA3_00875
ko:K00164	rpz:MA3_00880
ko:K03631	rpz:MA3_00895
ko:K05807	rpz:MA3_00900
ko:K03686	rpz:MA3_00905
ko:K04043	rpz:MA3_00910
ko:K02340	rpz:MA3_00935
ko:K06134	rpz:MA3_00940
ko:K02276	rpz:MA3_00945
ko:K05367	rpz:MA3_00965
ko:K07080	rpz:MA3_00980
ko:K04044	rpz:MA3_00995
ko:K04082	rpz:MA3_01000
ko:K03470	rpz:MA3_01005
ko:K03702	rpz:MA3_01010
ko:K02469	rpz:MA3_01025
ko:K01462	rpz:MA3_01035
ko:K00604	rpz:MA3_01040
ko:K06916	rpz:MA3_01045
ko:K07568	rpz:MA3_01050
ko:K00425	rpz:MA3_01065
ko:K00426	rpz:MA3_01070
ko:K01923	rpz:MA3_01085
ko:K01868	rpz:MA3_01090
ko:K09991	rpz:MA3_01110
ko:K02622	rpz:MA3_01120
ko:K03797	rpz:MA3_01125
ko:K07716	rpz:MA3_01130
ko:K02871	rpz:MA3_01150
ko:K02996	rpz:MA3_01155
ko:K08311	rpz:MA3_01160
ko:K02356	rpz:MA3_01170
ko:K01613	rpz:MA3_01185
ko:K03543	rpz:MA3_01195
ko:K05527	rpz:MA3_01205
ko:K01924	rpz:MA3_01215
ko:K00075	rpz:MA3_01220
ko:K01921	rpz:MA3_01225
ko:K03589	rpz:MA3_01230
ko:K03590	rpz:MA3_01235
ko:K02535	rpz:MA3_01250
ko:K08300	rpz:MA3_01255
ko:K02259	rpz:MA3_01260
ko:K01142	rpz:MA3_01275
ko:K00161	rpz:MA3_01280
ko:K00162	rpz:MA3_01285
ko:K06207	rpz:MA3_01290
ko:K05571	rpz:MA3_01310
ko:K05566	rpz:MA3_01315
ko:K02194	rpz:MA3_01320
ko:K00411	rpz:MA3_01330
ko:K00412	rpz:MA3_01335
ko:K00413	rpz:MA3_01340
ko:K02836	rpz:MA3_01350
ko:K03596	rpz:MA3_01355
ko:K05837	rpz:MA3_01370
ko:K01354	rpz:MA3_01375
ko:K05567	rpz:MA3_01400
ko:K01524	rpz:MA3_01445
ko:K03555	rpz:MA3_01465
ko:K01808	rpz:MA3_01470
ko:K03641	rpz:MA3_01485
ko:K03089	rpz:MA3_01490
ko:K00566	rpz:MA3_01505
ko:K01892	rpz:MA3_01515
ko:K03562	rpz:MA3_01520
ko:K00133	rpz:MA3_01555
ko:K01419	rpz:MA3_01570
ko:K03667	rpz:MA3_01575
ko:K00748	rpz:MA3_01580
ko:K07082	rpz:MA3_01585
ko:K06202	rpz:MA3_01590
ko:K03523	rpz:MA3_01595
ko:K03168	rpz:MA3_01605
ko:K07447	rpz:MA3_01625
ko:K00067	rpz:MA3_01630
ko:K02986	rpz:MA3_01695
ko:K02860	rpz:MA3_01710
ko:K03602	rpz:MA3_01725
ko:K03652	rpz:MA3_01730
ko:K08998	rpz:MA3_01735
ko:K00334	rpz:MA3_01740
ko:K00333	rpz:MA3_01745
ko:K00332	rpz:MA3_01750
ko:K00331	rpz:MA3_01755
ko:K00330	rpz:MA3_01760
ko:K00208	rpz:MA3_01795
ko:K03820	rpz:MA3_01800
ko:K04566	rpz:MA3_01825
ko:K07088	rpz:MA3_01830
ko:K00029	rpz:MA3_01835
ko:K00024	rpz:MA3_01850
ko:K01937	rpz:MA3_01865
ko:K00979	rpz:MA3_01870
ko:K01495	rpz:MA3_01880
ko:K01881	rpz:MA3_01885
ko:K03550	rpz:MA3_01895
ko:K03551	rpz:MA3_01900
ko:K03642	rpz:MA3_01915
ko:K06190	rpz:MA3_01925
ko:K07243	rpz:MA3_01930
ko:K00449	rpz:MA3_01945
ko:K08309	rpz:MA3_01965
ko:K07010	rpz:MA3_01985
ko:K02275	rpz:MA3_01995
ko:K03101	rpz:MA3_02005
ko:K01925	rpz:MA3_02015
ko:K03588	rpz:MA3_02020
ko:K02563	rpz:MA3_02025
ko:K01778	rpz:MA3_02040
ko:K01889	rpz:MA3_02050
ko:K01890	rpz:MA3_02055
ko:K02338	rpz:MA3_02060
ko:K01869	rpz:MA3_02070
ko:K03684	rpz:MA3_02075
ko:K00981	rpz:MA3_02085
ko:K00806	rpz:MA3_02090
ko:K07638	rpz:MA3_02095
ko:K07659	rpz:MA3_02100
ko:K00826	rpz:MA3_02105
ko:K01714	rpz:MA3_02110
ko:K03664	rpz:MA3_02115
ko:K01902	rpz:MA3_02125
ko:K01903	rpz:MA3_02130
ko:K02834	rpz:MA3_02140
ko:K06187	rpz:MA3_02155
ko:K00858	rpz:MA3_02165
ko:K00057	rpz:MA3_02175
ko:K07088	rpz:MA3_02180
ko:K00384	rpz:MA3_02190
ko:K03657	rpz:MA3_02200
ko:K01754	rpz:MA3_02210
ko:K01338	rpz:MA3_02215
ko:K02919	rpz:MA3_02240
ko:K00382	rpz:MA3_02260
ko:K03684	rpz:MA3_02270
ko:K06980	rpz:MA3_02280
ko:K01749	rpz:MA3_02290
ko:K01867	rpz:MA3_02295
ko:K00655	rpz:MA3_02300
ko:K07018	rpz:MA3_02310
ko:K08218	rpz:MA3_02330
ko:K02523	rpz:MA3_02350
ko:K04487	rpz:MA3_02375
ko:K04487	rpz:MA3_02380
ko:K13643	rpz:MA3_02385
ko:K05810	rpz:MA3_02410
ko:K01915	rpz:MA3_02415
ko:K07058	rpz:MA3_02420
ko:K02956	rpz:MA3_02445
ko:K00962	rpz:MA3_02450
ko:K06041	rpz:MA3_02455
ko:K11719	rpz:MA3_02460
ko:K09774	rpz:MA3_02465
ko:K06861	rpz:MA3_02470
ko:K00791	rpz:MA3_02480
ko:K00384	rpz:MA3_02505
ko:K01491	rpz:MA3_02510
ko:K01358	rpz:MA3_02525
ko:K02945	rpz:MA3_02530
ko:K00945	rpz:MA3_02535
ko:K05788	rpz:MA3_02540
ko:K04773	rpz:MA3_02545
ko:K03628	rpz:MA3_02550
ko:K07462	rpz:MA3_02560
ko:K02835	rpz:MA3_02565
ko:K00627	rpz:MA3_02570
ko:K02520	rpz:MA3_02575
ko:K03524	rpz:MA3_02590
ko:K07001	rpz:MA3_02595
ko:K04564	rpz:MA3_02600
ko:K11754	rpz:MA3_02605
ko:K00343	rpz:MA3_02610
ko:K01698	rpz:MA3_02620
ko:K04066	rpz:MA3_02625
ko:K03186	rpz:MA3_02630
ko:K06178	rpz:MA3_02645
ko:K04485	rpz:MA3_02655
ko:K03584	rpz:MA3_02665
ko:K02519	rpz:MA3_02680
ko:K02600	rpz:MA3_02685
ko:K09748	rpz:MA3_02690
ko:K06442	rpz:MA3_02695
ko:K01866	rpz:MA3_02700
ko:K06894	rpz:MA3_02705
ko:K03185	rpz:MA3_02715
ko:K13599	rpz:MA3_02725
ko:K05515	rpz:MA3_02740
ko:K03587	rpz:MA3_02750
ko:K03438	rpz:MA3_02760
ko:K03925	rpz:MA3_02765
ko:K01928	rpz:MA3_02895
ko:K09159	rpz:MA3_02910
ko:K02313	rpz:MA3_02920
ko:K09773	rpz:MA3_00005
ko:K03671	rpz:MA3_00010
ko:K00677	rpz:MA3_00030
ko:K02372	rpz:MA3_00035
ko:K02536	rpz:MA3_00040
ko:K06925	rpz:MA3_00055
ko:K02109	rpz:MA3_00090
ko:K02109	rpz:MA3_00095
ko:K02110	rpz:MA3_00100
ko:K02108	rpz:MA3_00105
ko:K07736	rpz:MA3_00125
ko:K03629	rpz:MA3_00135
ko:K07152	rpz:MA3_00145
ko:K07735	rpz:MA3_00150
ko:K00023	rpz:MA3_00165
ko:K03695	rpz:MA3_00170
ko:K02990	rpz:MA3_00185
ko:K02963	rpz:MA3_00190
ko:K02939	rpz:MA3_00195
ko:K04075	rpz:MA3_00200
ko:K03798	rpz:MA3_00205
ko:K00240	rpz:MA3_00210
ko:K03601	rpz:MA3_03280
ko:K01874	rpz:MA3_03320
ko:K03218	rpz:MA3_03225
ko:K03704	rpz:MA3_03255
ko:K02528	rpz:MA3_03265
ko:K01142	rpz:MA3_03285
ko:K03179	rpz:MA3_03335
ko:K09760	rpz:MA3_03350
ko:K04744	rpz:MA3_03275
ko:K03977	rpz:MA3_03295
ko:K03183	rpz:MA3_03305
ko:K01873	rpz:MA3_03340
ko:K03531	rpz:MA3_03235
ko:K00943	rpz:MA3_03325
ko:K03688	rpz:MA3_03300
ko:K03424	rpz:MA3_03315
ko:K03110	rpz:MA3_03795
ko:K00789	rpz:MA3_03805
ko:K02337	rpz:MA3_03810
ko:K00012	rpz:MA3_03815
ko:K03118	rpz:MA3_03830
ko:K01875	rpz:MA3_03835
ko:K00339	rpz:MA3_03865
ko:K00340	rpz:MA3_03870
ko:K00341	rpz:MA3_03875
ko:K00342	rpz:MA3_03880
ko:K00338	rpz:MA3_03890
ko:K00337	rpz:MA3_03895
ko:K01681	rpz:MA3_03910
ko:K02114	rpz:MA3_03915
ko:K02112	rpz:MA3_03920
ko:K02115	rpz:MA3_03925
ko:K02111	rpz:MA3_03930
ko:K02113	rpz:MA3_03935
ko:K00382	rpz:MA3_03940
ko:K04047	rpz:MA3_03945
ko:K05366	rpz:MA3_03950
ko:K06168	rpz:MA3_03955
ko:K09710	rpz:MA3_03970
ko:K02518	rpz:MA3_03980
ko:K06287	rpz:MA3_03985
ko:K06204	rpz:MA3_03990
ko:K03733	rpz:MA3_03995
ko:K03821	rpz:MA3_04010
ko:K03182	rpz:MA3_04015
ko:K03466	rpz:MA3_04025
ko:K01265	rpz:MA3_04030
ko:K12340	rpz:MA3_01105
ko:K01297	rpz:MA3_01975
ko:K02274	rpz:MA3_01990
ko:K01823	rpz:MA3_02225
ko:K01934	rpz:MA3_02265
ko:K01262	rpz:MA3_02355
ko:K03294	rpz:MA3_02360
ko:K13628	rpz:MA3_02365
ko:K04488	rpz:MA3_02370
ko:K00799	rpz:MA3_02395
ko:K03177	rpz:MA3_02440
ko:K01782	rpz:MA3_02710
ko:K05570	rpz:MA3_02720
ko:K05794	rpz:MA3_03850
ko:K02193	rpz:MA3_03885
ko:K03455	rpz:MA3_03965
ko:K05524	rpz:MA3_04055
ko:K01092	rpz:MA3_01175
ko:K08738	rpz:MA3_01245
ko:K06179	rpz:MA3_01265
ko:K05568	rpz:MA3_01380
ko:K05568	rpz:MA3_01385
ko:K05568	rpz:MA3_01390
ko:K01082	rpz:MA3_01460
ko:K02258	rpz:MA3_01495
ko:K03294	rpz:MA3_01510
ko:K01885	rpz:MA3_01600
ko:K03386	rpz:MA3_01610
ko:K04763	rpz:MA3_01775
ko:K01989	rpz:MA3_01805
ko:K05832	rpz:MA3_01810
ko:K05833	rpz:MA3_01815
ko:K11085	rpz:MA3_01905
ko:K07258	rpz:MA3_01910
ko:K09691	rpz:MA3_00015
ko:K09815	rpz:MA3_00060
ko:K00970	rpz:MA3_00065
ko:K02116	rpz:MA3_00110
ko:K01409	rpz:MA3_00175
ko:K01439	rpz:MA3_04275
ko:K00625	rpz:MA3_00530
ko:K03593	rpz:MA3_00590
ko:K00241	rpz:MA3_00615
ko:K02433	rpz:MA3_00745
ko:K02427	rpz:MA3_00795
ko:K01322	rpz:MA3_00850
ko:K00674	rpz:MA3_00960
ko:K06147	rpz:MA3_01020
ko:K02067	rpz:MA3_03550
ko:K03469	rpz:MA3_03560
ko:K09949	rpz:MA3_03570
ko:K02342	rpz:MA3_03580
ko:K00626	rpz:MA3_03605
ko:K00059	rpz:MA3_03735
ko:K03301	rpz:MA3_02435
ko:K03301	rpz:MA3_03615
ko:K06147	rpz:MA3_03375
ko:K14235	rpz:MA3_t04345
ko:K14232	rpz:MA3_t04395
ko:K16053	rpz:MA3_00225
ko:K01840	rpz:MA3_02475
ko:K14223	rpz:MA3_t04365
ko:K14233	rpz:MA3_t04391
ko:K14230	rpz:MA3_t04393
ko:K14222	rpz:MA3_t04353
ko:K07323	rpz:MA3_00455
ko:K14233	rpz:MA3_t04361
ko:K14218	rpz:MA3_t04369
ko:K14231	rpz:MA3_t04337
ko:K14224	rpz:MA3_t04339
ko:K14234	rpz:MA3_t04341
ko:K14234	rpz:MA3_t04347
ko:K14234	rpz:MA3_t04401
ko:K14230	rpz:MA3_t04343
ko:K14230	rpz:MA3_t04349
ko:K01980	rpz:MA3_r04407
ko:K01985	rpz:MA3_r04403
ko:K14220	rpz:MA3_t04351
ko:K14229	rpz:MA3_t04355
ko:K14227	rpz:MA3_t04357
ko:K14233	rpz:MA3_t04359
ko:K14219	rpz:MA3_t04363
ko:K14219	rpz:MA3_t04373
ko:K14219	rpz:MA3_t04397
ko:K14221	rpz:MA3_t04367
ko:K14237	rpz:MA3_t04371
ko:K14237	rpz:MA3_t04381
ko:K14218	rpz:MA3_t04375
ko:K14228	rpz:MA3_t04377
ko:K14228	rpz:MA3_t04387
ko:K14228	rpz:MA3_t04399
ko:K14225	rpz:MA3_t04379
ko:K14225	rpz:MA3_t04383
ko:K01977	rpz:MA3_r04405
ko:K14236	rpz:MA3_t04385
ko:K14226	rpz:MA3_t04389
ko:K00335	rpz:MA3_00560
ko:K02030	rpz:MA3_00735
ko:K15270	rpz:MA3_00375
ko:K17717	rpz:MA3_04005
ko:K17716	rpz:MA3_01635
ko:K14998	rpz:MA3_03585
ko:K09810	rpz:MA3_03395
ko:K02488	rpz:MA3_01165
ko:K02028	rpz:MA3_04245
ko:K00951	rpz:MA3_03045
ko:K17103	rpz:MA3_01190
ko:K08316	rpz:MA3_02650
ko:K05540	rpz:MA3_00045
ko:K01791	rpz:MA3_01640
ko:K12574	rpz:MA3_02170
ko:K05973	rpz:MA3_03310
ko:K11528	rpz:MA3_02230
ko:K06867	rpz:MA3_01115
ko:K04771	rpz:MA3_00605
ko:K06900	rpz:MA3_02925
ko:K00645	rpz:MA3_03600
ko:K03446	rpz:MA3_00770
ko:K18588	rpz:MA3_00810
ko:K18587	rpz:MA3_02995
ko:K18707	rpz:MA3_02045
ko:K06147	rpz:MA3_01055
ko:K03496	rpz:MA3_00280
ko:K03497	rpz:MA3_00285
ko:K03201	rpz:MA3_00505
ko:K03201	rpz:MA3_00510
ko:K03201	rpz:MA3_00515
ko:K03201	rpz:MA3_00520
ko:K03201	rpz:MA3_00525
ko:K03496	rpz:MA3_00695
ko:K03204	rpz:MA3_01405
ko:K03203	rpz:MA3_01410
ko:K03203	rpz:MA3_01420
ko:K03204	rpz:MA3_01425
ko:K03196	rpz:MA3_01435
ko:K03205	rpz:MA3_01440
ko:K03111	rpz:MA3_04090
ko:K16898	rpz:MA3_03590
ko:K16899	rpz:MA3_01980
ko:K00336	rpz:MA3_03900
ko:K06867	rpz:MA3_03485
ko:K09690	rpz:MA3_00020
ko:K09796	rpz:MA3_02785
ko:K00507	rpz:MA3_00180
ko:K03198	rpz:MA3_00495
ko:K03199	rpz:MA3_03840
ko:K04755	rpz:MA3_00990
ko:K03195	rpz:MA3_01430
ko:K03199	rpz:MA3_00500
ko:K03676	rpz:MA3_01015
ko:K03465	rpz:MA3_01480
ko:K01520	rpz:MA3_01960
ko:K02314	rpz:MA3_02635
ko:K02316	rpz:MA3_04200
ko:K03553	rpz:MA3_03730
ko:K06889	rpz:MA3_01685
ko:K07552	rpz:MA3_02930
ko:K00525	rpz:MA3_02500
ko:K00526	rpz:MA3_02495
ko:K02335	rpz:MA3_03800
ko:K10026	rpz:MA3_02950
ko:K21929	rpz:MA3_04130
ko:K03595	rpz:MA3_00575
ko:K11991	rpz:MA3_04065
ko:K02257	rpz:MA3_01700
