ko:K14228	ftq:RO31_1692
ko:K03526	ftq:RO31_0695
ko:K05810	ftq:RO31_0696
ko:K01262	ftq:RO31_0697
ko:K01173	ftq:RO31_0698
ko:K17836	ftq:RO31_0699
ko:K03820	ftq:RO31_0703
ko:K06189	ftq:RO31_0704
ko:K07042	ftq:RO31_0705
ko:K06168	ftq:RO31_0707
ko:K03545	ftq:RO31_0712
ko:K03798	ftq:RO31_1532
ko:K03701	ftq:RO31_1534
ko:K03624	ftq:RO31_1535
ko:K08084	ftq:RO31_1536
ko:K01810	ftq:RO31_1537
ko:K00949	ftq:RO31_1538
ko:K00088	ftq:RO31_1539
ko:K01255	ftq:RO31_1540
ko:K07091	ftq:RO31_1541
ko:K11720	ftq:RO31_1542
ko:K07263	ftq:RO31_1543
ko:K08316	ftq:RO31_1545
ko:K06169	ftq:RO31_1547
ko:K00757	ftq:RO31_1548
ko:K01489	ftq:RO31_1549
ko:K15633	ftq:RO31_1552
ko:K01875	ftq:RO31_1553
ko:K00847	ftq:RO31_1554
ko:K16013	ftq:RO31_1558
ko:K16012	ftq:RO31_1559
ko:K11103	ftq:RO31_1560
ko:K03321	ftq:RO31_1562
ko:K02238	ftq:RO31_0205
ko:K02238	ftq:RO31_0206
ko:K07566	ftq:RO31_0209
ko:K02945	ftq:RO31_0210
ko:K01921	ftq:RO31_0212
ko:K03589	ftq:RO31_0213
ko:K03590	ftq:RO31_0214
ko:K03531	ftq:RO31_0215
ko:K02535	ftq:RO31_0216
ko:K02343	ftq:RO31_0217
ko:K02836	ftq:RO31_0218
ko:K04567	ftq:RO31_0219
ko:K07052	ftq:RO31_0221
ko:K01425	ftq:RO31_0222
ko:K01915	ftq:RO31_0223
ko:K02340	ftq:RO31_0224
ko:K03098	ftq:RO31_0225
ko:K00602	ftq:RO31_0233
ko:K01939	ftq:RO31_0234
ko:K00760	ftq:RO31_0235
ko:K02075	ftq:RO31_0238
ko:K02074	ftq:RO31_0239
ko:K02077	ftq:RO31_0240
ko:K06077	ftq:RO31_0243
ko:K03809	ftq:RO31_0244
ko:K07058	ftq:RO31_0245
ko:K04066	ftq:RO31_0247
ko:K12262	ftq:RO31_0251
ko:K03306	ftq:RO31_0253
ko:K07220	ftq:RO31_0254
ko:K01114	ftq:RO31_0255
ko:K07160	ftq:RO31_0257
ko:K01153	ftq:RO31_1368
ko:K06207	ftq:RO31_1373
ko:K00681	ftq:RO31_1376
ko:K04754	ftq:RO31_1378
ko:K09801	ftq:RO31_1380
ko:K03664	ftq:RO31_1382
ko:K14058	ftq:RO31_1383
ko:K03762	ftq:RO31_1387
ko:K03601	ftq:RO31_1389
ko:K01776	ftq:RO31_1399
ko:K03702	ftq:RO31_1401
ko:K01141	ftq:RO31_1402
ko:K03495	ftq:RO31_1407
ko:K01807	ftq:RO31_1410
ko:K07386	ftq:RO31_1411
ko:K01759	ftq:RO31_1415
ko:K09125	ftq:RO31_1416
ko:K07568	ftq:RO31_1418
ko:K18930	ftq:RO31_0588
ko:K18930	ftq:RO31_0589
ko:K08325	ftq:RO31_0590
ko:K08325	ftq:RO31_0591
ko:K02687	ftq:RO31_0592
ko:K03427	ftq:RO31_0595
ko:K03427	ftq:RO31_0596
ko:K02346	ftq:RO31_0602
ko:K02346	ftq:RO31_0603
ko:K06158	ftq:RO31_0606
ko:K03674	ftq:RO31_0608
ko:K00024	ftq:RO31_0610
ko:K06134	ftq:RO31_0612
ko:K03386	ftq:RO31_0617
ko:K03386	ftq:RO31_0618
ko:K06193	ftq:RO31_0620
ko:K02342	ftq:RO31_0624
ko:K07260	ftq:RO31_0625
ko:K00128	ftq:RO31_0629
ko:K04761	ftq:RO31_0633
ko:K00945	ftq:RO31_0636
ko:K00831	ftq:RO31_0637
ko:K11076	ftq:RO31_0642
ko:K00860	ftq:RO31_1208
ko:K00956	ftq:RO31_1209
ko:K03789	ftq:RO31_1216
ko:K06178	ftq:RO31_1218
ko:K02656	ftq:RO31_1219
ko:K06941	ftq:RO31_1220
ko:K02939	ftq:RO31_1222
ko:K02963	ftq:RO31_1223
ko:K02990	ftq:RO31_1224
ko:K00228	ftq:RO31_1227
ko:K01156	ftq:RO31_1232
ko:K01156	ftq:RO31_1233
ko:K01156	ftq:RO31_1234
ko:K07154	ftq:RO31_1250
ko:K03554	ftq:RO31_1258
ko:K07146	ftq:RO31_1259
ko:K00243	ftq:RO31_1260
ko:K03656	ftq:RO31_1261
ko:K03565	ftq:RO31_2082
ko:K03111	ftq:RO31_2083
ko:K00925	ftq:RO31_2084
ko:K13788	ftq:RO31_2085
ko:K00135	ftq:RO31_2086
ko:K12262	ftq:RO31_2092
ko:K03313	ftq:RO31_2095
ko:K00655	ftq:RO31_2098
ko:K00655	ftq:RO31_2099
ko:K05524	ftq:RO31_2100
ko:K08289	ftq:RO31_2103
ko:K01183	ftq:RO31_2104
ko:K03695	ftq:RO31_2105
ko:K03811	ftq:RO31_2106
ko:K03811	ftq:RO31_2107
ko:K01695	ftq:RO31_2109
ko:K01696	ftq:RO31_2110
ko:K01299	ftq:RO31_2111
ko:K03281	ftq:RO31_2112
ko:K03811	ftq:RO31_2116
ko:K06895	ftq:RO31_2125
ko:K05596	ftq:RO31_2126
ko:K01256	ftq:RO31_2134
ko:K13993	ftq:RO31_2135
ko:K00262	ftq:RO31_0428
ko:K01613	ftq:RO31_0432
ko:K04042	ftq:RO31_0435
ko:K00820	ftq:RO31_0436
ko:K02970	ftq:RO31_0438
ko:K03704	ftq:RO31_0439
ko:K01265	ftq:RO31_0441
ko:K02621	ftq:RO31_0444
ko:K18284	ftq:RO31_0445
ko:K08309	ftq:RO31_0448
ko:K02337	ftq:RO31_0450
ko:K01462	ftq:RO31_0451
ko:K09808	ftq:RO31_0454
ko:K09810	ftq:RO31_0455
ko:K00605	ftq:RO31_0457
ko:K02437	ftq:RO31_0458
ko:K00282	ftq:RO31_0459
ko:K00283	ftq:RO31_0460
ko:K00014	ftq:RO31_0461
ko:K00700	ftq:RO31_0464
ko:K01835	ftq:RO31_0465
ko:K01835	ftq:RO31_0466
ko:K00975	ftq:RO31_0467
ko:K00703	ftq:RO31_0469
ko:K00688	ftq:RO31_0470
ko:K00705	ftq:RO31_0471
ko:K01878	ftq:RO31_0472
ko:K01928	ftq:RO31_0473
ko:K01929	ftq:RO31_0475
ko:K00133	ftq:RO31_0477
ko:K12524	ftq:RO31_0478
ko:K12524	ftq:RO31_0479
ko:K01358	ftq:RO31_0713
ko:K03544	ftq:RO31_0714
ko:K01338	ftq:RO31_0715
ko:K03530	ftq:RO31_0716
ko:K03770	ftq:RO31_0717
ko:K00791	ftq:RO31_0718
ko:K03666	ftq:RO31_0719
ko:K03665	ftq:RO31_0720
ko:K04088	ftq:RO31_0722
ko:K04087	ftq:RO31_0723
ko:K01104	ftq:RO31_0724
ko:K03978	ftq:RO31_0725
ko:K01733	ftq:RO31_0726
ko:K01733	ftq:RO31_0727
ko:K01733	ftq:RO31_0728
ko:K01687	ftq:RO31_0730
ko:K01652	ftq:RO31_0731
ko:K01652	ftq:RO31_0732
ko:K01653	ftq:RO31_0733
ko:K00053	ftq:RO31_0736
ko:K03723	ftq:RO31_0737
ko:K10773	ftq:RO31_0741
ko:K03616	ftq:RO31_0742
ko:K03675	ftq:RO31_0743
ko:K03305	ftq:RO31_0744
ko:K02217	ftq:RO31_0745
ko:K03644	ftq:RO31_0746
ko:K01159	ftq:RO31_0749
ko:K03550	ftq:RO31_0753
ko:K09760	ftq:RO31_0754
ko:K01590	ftq:RO31_0759
ko:K03652	ftq:RO31_0761
ko:K03811	ftq:RO31_0763
ko:K03455	ftq:RO31_0764
ko:K11900	ftq:RO31_1587
ko:K11901	ftq:RO31_1588
ko:K09001	ftq:RO31_1590
ko:K09001	ftq:RO31_1591
ko:K01194	ftq:RO31_1597
ko:K01624	ftq:RO31_1598
ko:K00873	ftq:RO31_1599
ko:K00927	ftq:RO31_1600
ko:K00134	ftq:RO31_1601
ko:K00615	ftq:RO31_1602
ko:K07040	ftq:RO31_1603
ko:K02911	ftq:RO31_1604
ko:K03621	ftq:RO31_1605
ko:K00648	ftq:RO31_1606
ko:K00645	ftq:RO31_1607
ko:K00059	ftq:RO31_1608
ko:K02078	ftq:RO31_1609
ko:K09458	ftq:RO31_1610
ko:K06141	ftq:RO31_1614
ko:K01092	ftq:RO31_1617
ko:K03500	ftq:RO31_1618
ko:K01972	ftq:RO31_1623
ko:K00606	ftq:RO31_1625
ko:K01918	ftq:RO31_1626
ko:K01579	ftq:RO31_1627
ko:K03525	ftq:RO31_1628
ko:K03581	ftq:RO31_1629
ko:K03582	ftq:RO31_1630
ko:K03583	ftq:RO31_1633
ko:K18800	ftq:RO31_1420
ko:K03185	ftq:RO31_1421
ko:K09895	ftq:RO31_1422
ko:K01934	ftq:RO31_1423
ko:K05527	ftq:RO31_1424
ko:K03975	ftq:RO31_1425
ko:K03975	ftq:RO31_1426
ko:K03584	ftq:RO31_1427
ko:K04487	ftq:RO31_1429
ko:K08300	ftq:RO31_1431
ko:K08300	ftq:RO31_1432
ko:K13292	ftq:RO31_1433
ko:K00058	ftq:RO31_1435
ko:K04075	ftq:RO31_1436
ko:K03305	ftq:RO31_1439
ko:K01442	ftq:RO31_1440
ko:K09889	ftq:RO31_1446
ko:K00600	ftq:RO31_1447
ko:K05807	ftq:RO31_1449
ko:K06180	ftq:RO31_1450
ko:K02066	ftq:RO31_1452
ko:K02065	ftq:RO31_1453
ko:K02067	ftq:RO31_1454
ko:K09761	ftq:RO31_1457
ko:K13288	ftq:RO31_0263
ko:K02356	ftq:RO31_0264
ko:K02655	ftq:RO31_0265
ko:K02517	ftq:RO31_0266
ko:K02517	ftq:RO31_0267
ko:K03217	ftq:RO31_0268
ko:K02914	ftq:RO31_0269
ko:K00014	ftq:RO31_0271
ko:K01924	ftq:RO31_0272
ko:K07056	ftq:RO31_0273
ko:K07015	ftq:RO31_0276
ko:K04759	ftq:RO31_0284
ko:K01006	ftq:RO31_0285
ko:K01006	ftq:RO31_0286
ko:K00826	ftq:RO31_0287
ko:K01649	ftq:RO31_0288
ko:K01147	ftq:RO31_0293
ko:K06999	ftq:RO31_0294
ko:K01749	ftq:RO31_0295
ko:K06199	ftq:RO31_0296
ko:K02050	ftq:RO31_0301
ko:K02049	ftq:RO31_0302
ko:K02494	ftq:RO31_0306
ko:K00919	ftq:RO31_0307
ko:K03305	ftq:RO31_1458
ko:K01897	ftq:RO31_1459
ko:K03446	ftq:RO31_1461
ko:K03543	ftq:RO31_1462
ko:K01916	ftq:RO31_1464
ko:K06980	ftq:RO31_1262
ko:K00616	ftq:RO31_1267
ko:K01255	ftq:RO31_1268
ko:K01872	ftq:RO31_1270
ko:K03657	ftq:RO31_1272
ko:K03657	ftq:RO31_1273
ko:K09710	ftq:RO31_1276
ko:K18979	ftq:RO31_1277
ko:K18979	ftq:RO31_1278
ko:K07552	ftq:RO31_1281
ko:K12267	ftq:RO31_1283
ko:K02168	ftq:RO31_1285
ko:K02168	ftq:RO31_1286
ko:K03437	ftq:RO31_1287
ko:K01442	ftq:RO31_1288
ko:K03089	ftq:RO31_1291
ko:K03074	ftq:RO31_1293
ko:K03072	ftq:RO31_1294
ko:K03210	ftq:RO31_1295
ko:K00773	ftq:RO31_1300
ko:K08591	ftq:RO31_1303
ko:K02071	ftq:RO31_1304
ko:K01770	ftq:RO31_1308
ko:K03802	ftq:RO31_1310
ko:K01126	ftq:RO31_1312
ko:K02652	ftq:RO31_1313
ko:K02653	ftq:RO31_1314
ko:K13498	ftq:RO31_2136
ko:K07304	ftq:RO31_2138
ko:K00766	ftq:RO31_2142
ko:K01658	ftq:RO31_2143
ko:K01657	ftq:RO31_2144
ko:K03720	ftq:RO31_2145
ko:K08301	ftq:RO31_2148
ko:K00761	ftq:RO31_2018
ko:K01433	ftq:RO31_2019
ko:K01433	ftq:RO31_2020
ko:K01129	ftq:RO31_2023
ko:K01129	ftq:RO31_2024
ko:K01129	ftq:RO31_2025
ko:K03782	ftq:RO31_2026
ko:K03782	ftq:RO31_2027
ko:K07259	ftq:RO31_2031
ko:K00872	ftq:RO31_0481
ko:K00872	ftq:RO31_0482
ko:K01733	ftq:RO31_0483
ko:K12308	ftq:RO31_0484
ko:K01611	ftq:RO31_0485
ko:K00797	ftq:RO31_0486
ko:K01585	ftq:RO31_0487
ko:K10536	ftq:RO31_0489
ko:K12251	ftq:RO31_0490
ko:K03269	ftq:RO31_0491
ko:K00762	ftq:RO31_0492
ko:K02558	ftq:RO31_0494
ko:K03218	ftq:RO31_0495
ko:K15738	ftq:RO31_0503
ko:K03305	ftq:RO31_0506
ko:K01886	ftq:RO31_0508
ko:K01610	ftq:RO31_0509
ko:K01000	ftq:RO31_0510
ko:K01925	ftq:RO31_0511
ko:K03588	ftq:RO31_0512
ko:K11179	ftq:RO31_0517
ko:K03599	ftq:RO31_0518
ko:K04774	ftq:RO31_0519
ko:K02341	ftq:RO31_0520
ko:K07574	ftq:RO31_0521
ko:K01698	ftq:RO31_0522
ko:K03216	ftq:RO31_0523
ko:K01424	ftq:RO31_0524
ko:K01887	ftq:RO31_0527
ko:K04744	ftq:RO31_0528
ko:K04744	ftq:RO31_0529
ko:K03771	ftq:RO31_0530
ko:K02528	ftq:RO31_0531
ko:K01525	ftq:RO31_0532
ko:K03786	ftq:RO31_0533
ko:K01713	ftq:RO31_0314
ko:K00426	ftq:RO31_0316
ko:K00425	ftq:RO31_0317
ko:K02297	ftq:RO31_0319
ko:K02298	ftq:RO31_0320
ko:K02299	ftq:RO31_0321
ko:K02300	ftq:RO31_0322
ko:K02536	ftq:RO31_0324
ko:K00868	ftq:RO31_0326
ko:K03924	ftq:RO31_0328
ko:K07114	ftq:RO31_0331
ko:K07114	ftq:RO31_0332
ko:K07114	ftq:RO31_0333
ko:K01304	ftq:RO31_0335
ko:K02339	ftq:RO31_0337
ko:K01873	ftq:RO31_0338
ko:K00101	ftq:RO31_0342
ko:K10679	ftq:RO31_0343
ko:K01679	ftq:RO31_0345
ko:K01885	ftq:RO31_0346
ko:K02967	ftq:RO31_0353
ko:K02357	ftq:RO31_0354
ko:K09903	ftq:RO31_0355
ko:K02838	ftq:RO31_0356
ko:K00806	ftq:RO31_0357
ko:K00981	ftq:RO31_0358
ko:K00995	ftq:RO31_0360
ko:K02950	ftq:RO31_0361
ko:K02992	ftq:RO31_0362
ko:K02355	ftq:RO31_0363
ko:K02946	ftq:RO31_0364
ko:K02906	ftq:RO31_0365
ko:K02926	ftq:RO31_0366
ko:K02892	ftq:RO31_0367
ko:K02886	ftq:RO31_0368
ko:K11075	ftq:RO31_0643
ko:K11074	ftq:RO31_0644
ko:K03305	ftq:RO31_0648
ko:K01079	ftq:RO31_0650
ko:K09799	ftq:RO31_0651
ko:K01775	ftq:RO31_0655
ko:K06911	ftq:RO31_1475
ko:K03686	ftq:RO31_1477
ko:K04043	ftq:RO31_1478
ko:K03687	ftq:RO31_1479
ko:K08304	ftq:RO31_1480
ko:K02871	ftq:RO31_1482
ko:K02996	ftq:RO31_1483
ko:K03599	ftq:RO31_1484
ko:K03600	ftq:RO31_1485
ko:K03470	ftq:RO31_1487
ko:K02533	ftq:RO31_1488
ko:K02806	ftq:RO31_1489
ko:K05808	ftq:RO31_1490
ko:K03650	ftq:RO31_1492
ko:K01442	ftq:RO31_1495
ko:K01697	ftq:RO31_1496
ko:K01874	ftq:RO31_1509
ko:K06190	ftq:RO31_1513
ko:K00845	ftq:RO31_1515
ko:K03183	ftq:RO31_1516
ko:K03690	ftq:RO31_1517
ko:K03688	ftq:RO31_1518
ko:K02503	ftq:RO31_1519
ko:K00075	ftq:RO31_1524
ko:K00790	ftq:RO31_1525
ko:K00790	ftq:RO31_1526
ko:K03977	ftq:RO31_1527
ko:K09117	ftq:RO31_1196
ko:K02970	ftq:RO31_1197
ko:K07259	ftq:RO31_1198
ko:K07107	ftq:RO31_1200
ko:K14058	ftq:RO31_1201
ko:K03773	ftq:RO31_1202
ko:K02523	ftq:RO31_1203
ko:K11900	ftq:RO31_2035
ko:K11901	ftq:RO31_2036
ko:K09001	ftq:RO31_2038
ko:K09001	ftq:RO31_2039
ko:K01952	ftq:RO31_2045
ko:K00764	ftq:RO31_2046
ko:K01580	ftq:RO31_2047
ko:K06133	ftq:RO31_2048
ko:K12340	ftq:RO31_2049
ko:K00573	ftq:RO31_2050
ko:K08303	ftq:RO31_2051
ko:K18552	ftq:RO31_2052
ko:K02471	ftq:RO31_2054
ko:K02471	ftq:RO31_2056
ko:K03979	ftq:RO31_2058
ko:K07667	ftq:RO31_2063
ko:K07646	ftq:RO31_2064
ko:K01548	ftq:RO31_2065
ko:K01547	ftq:RO31_2066
ko:K01546	ftq:RO31_2067
ko:K00122	ftq:RO31_2070
ko:K03316	ftq:RO31_2073
ko:K04773	ftq:RO31_2077
ko:K01011	ftq:RO31_2079
ko:K03071	ftq:RO31_2080
ko:K00338	ftq:RO31_0041
ko:K00339	ftq:RO31_0042
ko:K00340	ftq:RO31_0043
ko:K00341	ftq:RO31_0044
ko:K00342	ftq:RO31_0045
ko:K00343	ftq:RO31_0046
ko:K09806	ftq:RO31_0047
ko:K07391	ftq:RO31_0049
ko:K01599	ftq:RO31_0051
ko:K09748	ftq:RO31_0053
ko:K02600	ftq:RO31_0054
ko:K02519	ftq:RO31_0055
ko:K02834	ftq:RO31_0056
ko:K01892	ftq:RO31_0057
ko:K06916	ftq:RO31_0059
ko:K06179	ftq:RO31_0060
ko:K02108	ftq:RO31_0063
ko:K02110	ftq:RO31_0064
ko:K02109	ftq:RO31_0065
ko:K02113	ftq:RO31_0066
ko:K02111	ftq:RO31_0067
ko:K02115	ftq:RO31_0068
ko:K02112	ftq:RO31_0069
ko:K02114	ftq:RO31_0070
ko:K07390	ftq:RO31_0072
ko:K04564	ftq:RO31_0073
ko:K08218	ftq:RO31_0075
ko:K01647	ftq:RO31_0076
ko:K00241	ftq:RO31_0077
ko:K00242	ftq:RO31_0078
ko:K00239	ftq:RO31_0079
ko:K00240	ftq:RO31_0080
ko:K00164	ftq:RO31_0081
ko:K00658	ftq:RO31_0082
ko:K00759	ftq:RO31_0083
ko:K03431	ftq:RO31_0084
ko:K01803	ftq:RO31_0085
ko:K03075	ftq:RO31_0086
ko:K07223	ftq:RO31_0093
ko:K01681	ftq:RO31_0094
ko:K01879	ftq:RO31_0877
ko:K03784	ftq:RO31_0880
ko:K03070	ftq:RO31_0883
ko:K01246	ftq:RO31_0884
ko:K01246	ftq:RO31_0885
ko:K00865	ftq:RO31_0886
ko:K00865	ftq:RO31_0887
ko:K02888	ftq:RO31_0888
ko:K02899	ftq:RO31_0889
ko:K09966	ftq:RO31_0890
ko:K03684	ftq:RO31_0892
ko:K03703	ftq:RO31_0893
ko:K06966	ftq:RO31_0898
ko:K00208	ftq:RO31_0899
ko:K09930	ftq:RO31_0902
ko:K09929	ftq:RO31_0903
ko:K06041	ftq:RO31_0905
ko:K01783	ftq:RO31_0906
ko:K01784	ftq:RO31_0909
ko:K12995	ftq:RO31_0910
ko:K07025	ftq:RO31_0918
ko:K13282	ftq:RO31_0920
ko:K01424	ftq:RO31_0921
ko:K03762	ftq:RO31_0927
ko:K06187	ftq:RO31_0932
ko:K09747	ftq:RO31_0933
ko:K00859	ftq:RO31_1745
ko:K01867	ftq:RO31_1748
ko:K03316	ftq:RO31_1750
ko:K07106	ftq:RO31_1756
ko:K01962	ftq:RO31_1760
ko:K03555	ftq:RO31_1761
ko:K03071	ftq:RO31_1762
ko:K03733	ftq:RO31_1765
ko:K15984	ftq:RO31_1766
ko:K00951	ftq:RO31_1770
ko:K03834	ftq:RO31_1772
ko:K05516	ftq:RO31_1774
ko:K00567	ftq:RO31_1781
ko:K01586	ftq:RO31_1784
ko:K01586	ftq:RO31_1785
ko:K03578	ftq:RO31_1788
ko:K00031	ftq:RO31_1790
ko:K00537	ftq:RO31_1791
ko:K01897	ftq:RO31_1792
ko:K07516	ftq:RO31_1794
ko:K03496	ftq:RO31_1043
ko:K03497	ftq:RO31_1044
ko:K07023	ftq:RO31_1047
ko:K02427	ftq:RO31_1048
ko:K03101	ftq:RO31_1050
ko:K01870	ftq:RO31_1051
ko:K11753	ftq:RO31_1052
ko:K00027	ftq:RO31_1053
ko:K12297	ftq:RO31_1061
ko:K00604	ftq:RO31_1063
ko:K01920	ftq:RO31_1064
ko:K01845	ftq:RO31_1065
ko:K01207	ftq:RO31_1066
ko:K00019	ftq:RO31_1067
ko:K01574	ftq:RO31_1069
ko:K00845	ftq:RO31_1071
ko:K01935	ftq:RO31_1073
ko:K02169	ftq:RO31_1074
ko:K00652	ftq:RO31_1075
ko:K01012	ftq:RO31_1076
ko:K00833	ftq:RO31_1077
ko:K13941	ftq:RO31_1082
ko:K01633	ftq:RO31_1083
ko:K03342	ftq:RO31_1085
ko:K01658	ftq:RO31_1086
ko:K01495	ftq:RO31_1094
ko:K11927	ftq:RO31_1095
ko:K03305	ftq:RO31_1096
ko:K03305	ftq:RO31_1097
ko:K02672	ftq:RO31_1907
ko:K11928	ftq:RO31_1917
ko:K02446	ftq:RO31_1918
ko:K07018	ftq:RO31_1919
ko:K11733	ftq:RO31_1920
ko:K11733	ftq:RO31_1921
ko:K03466	ftq:RO31_1923
ko:K03466	ftq:RO31_1924
ko:K03634	ftq:RO31_1925
ko:K03498	ftq:RO31_1928
ko:K03607	ftq:RO31_1930
ko:K01153	ftq:RO31_1934
ko:K01193	ftq:RO31_1938
ko:K07560	ftq:RO31_1940
ko:K07560	ftq:RO31_1941
ko:K00254	ftq:RO31_1942
ko:K01591	ftq:RO31_1943
ko:K09941	ftq:RO31_1953
ko:K01465	ftq:RO31_1957
ko:K00569	ftq:RO31_1958
ko:K02669	ftq:RO31_0095
ko:K06955	ftq:RO31_0096
ko:K06955	ftq:RO31_0098
ko:K00426	ftq:RO31_0100
ko:K00425	ftq:RO31_0101
ko:K07071	ftq:RO31_0103
ko:K07645	ftq:RO31_0104
ko:K18138	ftq:RO31_0118
ko:K03585	ftq:RO31_0119
ko:K03611	ftq:RO31_0120
ko:K00974	ftq:RO31_0121
ko:K11085	ftq:RO31_0122
ko:K00912	ftq:RO31_0123
ko:K03525	ftq:RO31_0126
ko:K01839	ftq:RO31_0127
ko:K01619	ftq:RO31_0129
ko:K03317	ftq:RO31_0130
ko:K11535	ftq:RO31_0131
ko:K00943	ftq:RO31_0132
ko:K02837	ftq:RO31_0133
ko:K03110	ftq:RO31_0135
ko:K03657	ftq:RO31_0136
ko:K15580	ftq:RO31_0137
ko:K15581	ftq:RO31_0139
ko:K15582	ftq:RO31_0141
ko:K15583	ftq:RO31_0142
ko:K10823	ftq:RO31_0143
ko:K00864	ftq:RO31_0148
ko:K06987	ftq:RO31_0768
ko:K00948	ftq:RO31_0769
ko:K02897	ftq:RO31_0770
ko:K06942	ftq:RO31_0774
ko:K01056	ftq:RO31_0775
ko:K17836	ftq:RO31_0776
ko:K02654	ftq:RO31_0778
ko:K00322	ftq:RO31_0779
ko:K10716	ftq:RO31_0780
ko:K03305	ftq:RO31_0781
ko:K03667	ftq:RO31_0782
ko:K01419	ftq:RO31_0783
ko:K03800	ftq:RO31_0785
ko:K01866	ftq:RO31_0786
ko:K10563	ftq:RO31_0790
ko:K03438	ftq:RO31_0792
ko:K03586	ftq:RO31_0793
ko:K03587	ftq:RO31_0794
ko:K02956	ftq:RO31_0795
ko:K00962	ftq:RO31_0796
ko:K15724	ftq:RO31_0797
ko:K01627	ftq:RO31_0798
ko:K00876	ftq:RO31_0799
ko:K03060	ftq:RO31_0800
ko:K03215	ftq:RO31_0803
ko:K00845	ftq:RO31_0804
ko:K03811	ftq:RO31_0806
ko:K01689	ftq:RO31_0808
ko:K05589	ftq:RO31_0809
ko:K00991	ftq:RO31_0810
ko:K00060	ftq:RO31_0812
ko:K00639	ftq:RO31_0813
