ko:K09796	nmp:NMBB_1781
ko:K01738	nmp:NMBB_0861
ko:K00941	nmp:NMBB_1851
ko:K00432	nmp:NMBB_1861
ko:K04561	nmp:NMBB_1862
ko:K03760	nmp:NMBB_1869
ko:K00831	nmp:NMBB_1871
ko:K09748	nmp:NMBB_1873
ko:K02600	nmp:NMBB_1874
ko:K02519	nmp:NMBB_1875
ko:K11068	nmp:NMBB_1880
ko:K03310	nmp:NMBB_1881
ko:K03611	nmp:NMBB_1883
ko:K01775	nmp:NMBB_1888
ko:K09157	nmp:NMBB_1891
ko:K07166	nmp:NMBB_1892
ko:K07320	nmp:NMBB_1897
ko:K13038	nmp:NMBB_1903
ko:K03060	nmp:NMBB_1905
ko:K00942	nmp:NMBB_1906
ko:K00759	nmp:NMBB_1907
ko:K08303	nmp:NMBB_1911
ko:K03808	nmp:NMBB_1919
ko:K06192	nmp:NMBB_1920
ko:K09857	nmp:NMBB_1921
ko:K00973	nmp:NMBB_0084
ko:K01790	nmp:NMBB_0085
ko:K07266	nmp:NMBB_0086
ko:K07265	nmp:NMBB_0087
ko:K03312	nmp:NMBB_0089
ko:K06076	nmp:NMBB_0095
ko:K00873	nmp:NMBB_0098
ko:K13408	nmp:NMBB_0101
ko:K13409	nmp:NMBB_0102
ko:K00609	nmp:NMBB_0111
ko:K00610	nmp:NMBB_0112
ko:K01462	nmp:NMBB_0116
ko:K00604	nmp:NMBB_0117
ko:K03500	nmp:NMBB_0118
ko:K04096	nmp:NMBB_0122
ko:K03168	nmp:NMBB_0124
ko:K02358	nmp:NMBB_0130
ko:K03073	nmp:NMBB_0130A
ko:K02601	nmp:NMBB_0131
ko:K02867	nmp:NMBB_0132
ko:K02863	nmp:NMBB_0133
ko:K02864	nmp:NMBB_0134
ko:K02935	nmp:NMBB_0135
ko:K03043	nmp:NMBB_0136
ko:K03046	nmp:NMBB_0138
ko:K02950	nmp:NMBB_0141
ko:K02992	nmp:NMBB_0142
ko:K07733	nmp:NMBB_1128
ko:K02048	nmp:NMBB_1175
ko:K01589	nmp:NMBB_1177
ko:K01657	nmp:NMBB_1179
ko:K15738	nmp:NMBB_1181
ko:K03975	nmp:NMBB_1182
ko:K00600	nmp:NMBB_1184
ko:K09794	nmp:NMBB_1186
ko:K03841	nmp:NMBB_1187
ko:K07115	nmp:NMBB_1190
ko:K03621	nmp:NMBB_2180
ko:K00648	nmp:NMBB_2185
ko:K00645	nmp:NMBB_2188
ko:K01951	nmp:NMBB_2190
ko:K09858	nmp:NMBB_2195
ko:K09761	nmp:NMBB_2198
ko:K07270	nmp:NMBB_2201
ko:K07270	nmp:NMBB_2202
ko:K01879	nmp:NMBB_2206
ko:K09923	nmp:NMBB_2207
ko:K01878	nmp:NMBB_2208
ko:K02114	nmp:NMBB_2209
ko:K02112	nmp:NMBB_2210
ko:K02115	nmp:NMBB_2211
ko:K02111	nmp:NMBB_2212
ko:K02113	nmp:NMBB_2213
ko:K02109	nmp:NMBB_2214
ko:K02110	nmp:NMBB_2215
ko:K02108	nmp:NMBB_2216
ko:K03186	nmp:NMBB_2221
ko:K02073	nmp:NMBB_2222
ko:K02072	nmp:NMBB_2225
ko:K02071	nmp:NMBB_2226
ko:K08309	nmp:NMBB_2230
ko:K02970	nmp:NMBB_2231
ko:K09117	nmp:NMBB_2232
ko:K03600	nmp:NMBB_2235
ko:K03599	nmp:NMBB_2236
ko:K02909	nmp:NMBB_2239
ko:K04754	nmp:NMBB_2244
ko:K07122	nmp:NMBB_2245
ko:K01626	nmp:NMBB_0340
ko:K08973	nmp:NMBB_0343
ko:K09125	nmp:NMBB_0355
ko:K09457	nmp:NMBB_0356
ko:K03543	nmp:NMBB_0358
ko:K03446	nmp:NMBB_0359
ko:K02902	nmp:NMBB_0360
ko:K02913	nmp:NMBB_0361
ko:K02523	nmp:NMBB_0365
ko:K02652	nmp:NMBB_0367
ko:K09862	nmp:NMBB_0368
ko:K00859	nmp:NMBB_0369
ko:K02654	nmp:NMBB_0370
ko:K01810	nmp:NMBB_0372
ko:K00208	nmp:NMBB_0375
ko:K00826	nmp:NMBB_0376
ko:K06190	nmp:NMBB_0383
ko:K09780	nmp:NMBB_0384
ko:K05527	nmp:NMBB_0385
ko:K07560	nmp:NMBB_0388
ko:K05539	nmp:NMBB_0389
ko:K01894	nmp:NMBB_0390
ko:K06041	nmp:NMBB_0393
ko:K03270	nmp:NMBB_0394
ko:K11719	nmp:NMBB_0395
ko:K09774	nmp:NMBB_0396
ko:K06861	nmp:NMBB_0397
ko:K03814	nmp:NMBB_0399
ko:K00014	nmp:NMBB_0400
ko:K01915	nmp:NMBB_0403
ko:K08218	nmp:NMBB_0404
ko:K07461	nmp:NMBB_0405
ko:K06980	nmp:NMBB_1380
ko:K14058	nmp:NMBB_1381
ko:K07075	nmp:NMBB_1388
ko:K09823	nmp:NMBB_1389
ko:K00865	nmp:NMBB_1390
ko:K09795	nmp:NMBB_1398
ko:K02168	nmp:NMBB_1403
ko:K03723	nmp:NMBB_1409
ko:K01579	nmp:NMBB_1410
ko:K01627	nmp:NMBB_1411
ko:K01689	nmp:NMBB_1413
ko:K05589	nmp:NMBB_1414
ko:K11107	nmp:NMBB_1414A
ko:K00655	nmp:NMBB_1424
ko:K08307	nmp:NMBB_1427
ko:K00945	nmp:NMBB_1431
ko:K02945	nmp:NMBB_1433
ko:K05788	nmp:NMBB_1434
ko:K01070	nmp:NMBB_1437
ko:K06916	nmp:NMBB_1438
ko:K00940	nmp:NMBB_1439
ko:K06941	nmp:NMBB_1442
ko:K02656	nmp:NMBB_1443
ko:K09800	nmp:NMBB_2431
ko:K03305	nmp:NMBB_2433
ko:K02836	nmp:NMBB_2434
ko:K07001	nmp:NMBB_2436
ko:K15977	nmp:NMBB_2437
ko:K09930	nmp:NMBB_2439
ko:K09929	nmp:NMBB_2440
ko:K03088	nmp:NMBB_2441
ko:K07566	nmp:NMBB_2449
ko:K01945	nmp:NMBB_2450
ko:K03522	nmp:NMBB_2453
ko:K03521	nmp:NMBB_2454
ko:K02841	nmp:NMBB_2455
ko:K08281	nmp:NMBB_2456
ko:K00134	nmp:NMBB_2459
ko:K03555	nmp:NMBB_2461
ko:K18842	nmp:NMBB_1023
ko:K03210	nmp:NMBB_0671
ko:K03072	nmp:NMBB_0672
ko:K03074	nmp:NMBB_0673
ko:K02956	nmp:NMBB_0675
ko:K11076	nmp:NMBB_0677
ko:K11075	nmp:NMBB_0678
ko:K11074	nmp:NMBB_0679
ko:K03320	nmp:NMBB_0682
ko:K03628	nmp:NMBB_0687
ko:K09773	nmp:NMBB_0689
ko:K03634	nmp:NMBB_0693
ko:K11073	nmp:NMBB_0695
ko:K02837	nmp:NMBB_0701
ko:K02500	nmp:NMBB_0703
ko:K01814	nmp:NMBB_0704
ko:K02501	nmp:NMBB_0705
ko:K13788	nmp:NMBB_0706
ko:K02011	nmp:NMBB_0708
ko:K02012	nmp:NMBB_0709
ko:K01755	nmp:NMBB_0712
ko:K00963	nmp:NMBB_0713
ko:K08310	nmp:NMBB_0717
ko:K03623	nmp:NMBB_0718A
ko:K00928	nmp:NMBB_1722
ko:K00989	nmp:NMBB_1723
ko:K05896	nmp:NMBB_1728
ko:K00763	nmp:NMBB_1729
ko:K01887	nmp:NMBB_1730
ko:K01807	nmp:NMBB_1737
ko:K01770	nmp:NMBB_1738
ko:K00991	nmp:NMBB_1739
ko:K00925	nmp:NMBB_1746
ko:K04084	nmp:NMBB_1747
ko:K03775	nmp:NMBB_1751
ko:K03664	nmp:NMBB_1755
ko:K03070	nmp:NMBB_1764
ko:K03086	nmp:NMBB_1767
ko:K01937	nmp:NMBB_1778
ko:K00566	nmp:NMBB_1780
ko:K00901	nmp:NMBB_1782
ko:K01920	nmp:NMBB_1786
ko:K01886	nmp:NMBB_1787
ko:K02444	nmp:NMBB_1788
ko:K09812	nmp:NMBB_0008
ko:K09811	nmp:NMBB_0009
ko:K00927	nmp:NMBB_0011
ko:K00790	nmp:NMBB_0013
ko:K09943	nmp:NMBB_0016
ko:K02527	nmp:NMBB_0017
ko:K02535	nmp:NMBB_0020
ko:K04564	nmp:NMBB_0990
ko:K08084	nmp:NMBB_0992
ko:K02671	nmp:NMBB_0993
ko:K02672	nmp:NMBB_0994
ko:K02673	nmp:NMBB_0995
ko:K02655	nmp:NMBB_0996
ko:K14267	nmp:NMBB_1000
ko:K09861	nmp:NMBB_1001
ko:K07341	nmp:NMBB_1027
ko:K00031	nmp:NMBB_1032
ko:K10806	nmp:NMBB_1038
ko:K07399	nmp:NMBB_2052
ko:K03978	nmp:NMBB_2055
ko:K05366	nmp:NMBB_2056
ko:K02662	nmp:NMBB_2057
ko:K02666	nmp:NMBB_2061
ko:K00891	nmp:NMBB_2065
ko:K01735	nmp:NMBB_2066
ko:K07738	nmp:NMBB_2068
ko:K11752	nmp:NMBB_2069
ko:K00835	nmp:NMBB_2080
ko:K07053	nmp:NMBB_2081
ko:K02337	nmp:NMBB_2088
ko:K01091	nmp:NMBB_2092
ko:K03527	nmp:NMBB_2093
ko:K03101	nmp:NMBB_2094
ko:K01870	nmp:NMBB_2095
ko:K11753	nmp:NMBB_2096
ko:K01866	nmp:NMBB_2098
ko:K06942	nmp:NMBB_2101
ko:K01938	nmp:NMBB_2102
ko:K01956	nmp:NMBB_2113
ko:K15125	nmp:NMBB_0542
ko:K07058	nmp:NMBB_0560
ko:K06920	nmp:NMBB_0564
ko:K01737	nmp:NMBB_0566
ko:K08987	nmp:NMBB_0568
ko:K01207	nmp:NMBB_0571
ko:K10773	nmp:NMBB_0574
ko:K02429	nmp:NMBB_0577
ko:K03315	nmp:NMBB_0579
ko:K06189	nmp:NMBB_0580
ko:K07042	nmp:NMBB_0581
ko:K01749	nmp:NMBB_0582
ko:K03303	nmp:NMBB_0589
ko:K03269	nmp:NMBB_0591
ko:K03529	nmp:NMBB_0592
ko:K02655	nmp:NMBB_0596
ko:K13888	nmp:NMBB_0597
ko:K05685	nmp:NMBB_0598
ko:K03981	nmp:NMBB_0600
ko:K04066	nmp:NMBB_0601
ko:K04043	nmp:NMBB_0606
ko:K00782	nmp:NMBB_1596
ko:K01588	nmp:NMBB_1598
ko:K03572	nmp:NMBB_1602
ko:K02343	nmp:NMBB_1603
ko:K09747	nmp:NMBB_1604
ko:K03785	nmp:NMBB_1606
ko:K03656	nmp:NMBB_1607
ko:K02346	nmp:NMBB_1609
ko:K00528	nmp:NMBB_1613
ko:K05541	nmp:NMBB_1619
ko:K03777	nmp:NMBB_1621
ko:K01448	nmp:NMBB_1637
ko:K00602	nmp:NMBB_1641
ko:K01079	nmp:NMBB_1643
ko:K00324	nmp:NMBB_1645
ko:K00325	nmp:NMBB_1647
ko:K00766	nmp:NMBB_1656
ko:K03100	nmp:NMBB_0864
ko:K03596	nmp:NMBB_0865
ko:K02670	nmp:NMBB_0868
ko:K02341	nmp:NMBB_0869
ko:K02676	nmp:NMBB_0870
ko:K03424	nmp:NMBB_0871
ko:K07390	nmp:NMBB_0873
ko:K00761	nmp:NMBB_0875
ko:K02496	nmp:NMBB_0880
ko:K02498	nmp:NMBB_0881
ko:K01599	nmp:NMBB_0882
ko:K04485	nmp:NMBB_0884
ko:K03582	nmp:NMBB_0889
ko:K07223	nmp:NMBB_0890
ko:K15778	nmp:NMBB_0894
ko:K14445	nmp:NMBB_0896
ko:K01056	nmp:NMBB_0899
ko:K09801	nmp:NMBB_0900
ko:K03798	nmp:NMBB_0902
ko:K01698	nmp:NMBB_0906
ko:K09007	nmp:NMBB_0908
ko:K06182	nmp:NMBB_0911
ko:K00858	nmp:NMBB_0912
ko:K00075	nmp:NMBB_0916
ko:K03327	nmp:NMBB_0917
ko:K02502	nmp:NMBB_0919
ko:K01939	nmp:NMBB_0921
ko:K03799	nmp:NMBB_0922
ko:K01591	nmp:NMBB_0924
ko:K01246	nmp:NMBB_1922
ko:K00281	nmp:NMBB_1927
ko:K00832	nmp:NMBB_1930
ko:K01736	nmp:NMBB_1932
ko:K02622	nmp:NMBB_1934
ko:K08311	nmp:NMBB_1935
ko:K01875	nmp:NMBB_1936
ko:K03778	nmp:NMBB_1937
ko:K02835	nmp:NMBB_1938
ko:K03424	nmp:NMBB_1939
ko:K03431	nmp:NMBB_1944
ko:K00796	nmp:NMBB_1945
ko:K03182	nmp:NMBB_1948
ko:K09458	nmp:NMBB_1955
ko:K03308	nmp:NMBB_1958
ko:K03734	nmp:NMBB_1959
ko:K00262	nmp:NMBB_1961
ko:K03585	nmp:NMBB_1967
ko:K03577	nmp:NMBB_1968
ko:K03583	nmp:NMBB_1971
ko:K00406	nmp:NMBB_1974
ko:K00407	nmp:NMBB_1975
ko:K00405	nmp:NMBB_1976
ko:K00404	nmp:NMBB_1977
ko:K02355	nmp:NMBB_0143
ko:K02946	nmp:NMBB_0145
ko:K02906	nmp:NMBB_0147
ko:K02926	nmp:NMBB_0148
ko:K02892	nmp:NMBB_0149
ko:K02886	nmp:NMBB_0150
ko:K02965	nmp:NMBB_0151
ko:K02890	nmp:NMBB_0152
ko:K02982	nmp:NMBB_0153
ko:K02878	nmp:NMBB_0154
ko:K02904	nmp:NMBB_0155
ko:K02961	nmp:NMBB_0156
ko:K02874	nmp:NMBB_0157
ko:K02895	nmp:NMBB_0158
ko:K02931	nmp:NMBB_0159
ko:K02954	nmp:NMBB_0160
ko:K02994	nmp:NMBB_0161
ko:K02933	nmp:NMBB_0162
ko:K02881	nmp:NMBB_0163
ko:K02988	nmp:NMBB_0164
ko:K02907	nmp:NMBB_0164A
ko:K02876	nmp:NMBB_0165
ko:K03076	nmp:NMBB_0166
ko:K02518	nmp:NMBB_0167
ko:K02919	nmp:NMBB_0167A
ko:K02952	nmp:NMBB_0168
ko:K02948	nmp:NMBB_0169
ko:K02986	nmp:NMBB_0170
ko:K03040	nmp:NMBB_0171
ko:K02879	nmp:NMBB_0172
ko:K03610	nmp:NMBB_0173
ko:K03609	nmp:NMBB_0174
ko:K03608	nmp:NMBB_0175
ko:K04761	nmp:NMBB_0176
ko:K01873	nmp:NMBB_0179
ko:K07238	nmp:NMBB_0181
ko:K00285	nmp:NMBB_0182
ko:K03310	nmp:NMBB_0183
ko:K00677	nmp:NMBB_0186
ko:K02372	nmp:NMBB_0187
ko:K02536	nmp:NMBB_0188
ko:K06142	nmp:NMBB_0189
ko:K07277	nmp:NMBB_0190
ko:K11749	nmp:NMBB_0191
ko:K00099	nmp:NMBB_0192
ko:K00981	nmp:NMBB_0193
ko:K00806	nmp:NMBB_0194
ko:K02838	nmp:NMBB_0195
ko:K03501	nmp:NMBB_0199
ko:K03470	nmp:NMBB_0204
ko:K08591	nmp:NMBB_1191
ko:K01633	nmp:NMBB_1192
ko:K06199	nmp:NMBB_1195
ko:K03466	nmp:NMBB_1198
ko:K00147	nmp:NMBB_1200
ko:K00931	nmp:NMBB_1201
ko:K01649	nmp:NMBB_1203
ko:K07039	nmp:NMBB_1205
ko:K13292	nmp:NMBB_1206
ko:K00930	nmp:NMBB_1209
ko:K10763	nmp:NMBB_1213
ko:K02471	nmp:NMBB_897
ko:K01448	nmp:NMBB_1220
ko:K09803	nmp:NMBB_1244
ko:K07323	nmp:NMBB_2246
ko:K02066	nmp:NMBB_2248
ko:K02065	nmp:NMBB_2249
ko:K07248	nmp:NMBB_2252
ko:K04077	nmp:NMBB_2260
ko:K04078	nmp:NMBB_2261
ko:K03308	nmp:NMBB_2263
ko:K01586	nmp:NMBB_2264
ko:K06202	nmp:NMBB_2266
ko:K07173	nmp:NMBB_2269
ko:K03650	nmp:NMBB_2281
ko:K02016	nmp:NMBB_2285
ko:K02015	nmp:NMBB_2287
ko:K02015	nmp:NMBB_2288
ko:K02013	nmp:NMBB_2290
ko:K04751	nmp:NMBB_2291
ko:K01952	nmp:NMBB_2293
ko:K06213	nmp:NMBB_2297
ko:K04083	nmp:NMBB_2298
ko:K00620	nmp:NMBB_2303
ko:K03578	nmp:NMBB_2306
ko:K03578	nmp:NMBB_2309
ko:K03924	nmp:NMBB_2310
ko:K09001	nmp:NMBB_0416
ko:K03306	nmp:NMBB_0418
ko:K13634	nmp:NMBB_0421
ko:K00946	nmp:NMBB_0424
ko:K01095	nmp:NMBB_0425
ko:K00278	nmp:NMBB_0431
ko:K03517	nmp:NMBB_0432
ko:K00767	nmp:NMBB_0435
ko:K01142	nmp:NMBB_0439
ko:K13821	nmp:NMBB_0441
ko:K07391	nmp:NMBB_0447
ko:K03673	nmp:NMBB_0449
ko:K06153	nmp:NMBB_0450
ko:K03925	nmp:NMBB_0452
ko:K03438	nmp:NMBB_0453
ko:K03586	nmp:NMBB_0454
ko:K03587	nmp:NMBB_0455
ko:K01928	nmp:NMBB_0456
ko:K01929	nmp:NMBB_0457
ko:K01000	nmp:NMBB_0459
ko:K01925	nmp:NMBB_0461
ko:K03588	nmp:NMBB_0462
ko:K02563	nmp:NMBB_0463
ko:K01924	nmp:NMBB_0464
ko:K01358	nmp:NMBB_1445
ko:K03545	nmp:NMBB_1446
ko:K03466	nmp:NMBB_1447
ko:K02939	nmp:NMBB_1459
ko:K02963	nmp:NMBB_1460
ko:K02686	nmp:NMBB_1461
ko:K02990	nmp:NMBB_1462
ko:K00384	nmp:NMBB_1463
ko:K03703	nmp:NMBB_1465
ko:K03439	nmp:NMBB_1468
ko:K03702	nmp:NMBB_1472
ko:K03797	nmp:NMBB_1474
ko:K05805	nmp:NMBB_1476
ko:K07735	nmp:NMBB_1477
ko:K07447	nmp:NMBB_1478
ko:K01881	nmp:NMBB_1480
ko:K00163	nmp:NMBB_1482
ko:K00627	nmp:NMBB_1484
ko:K00382	nmp:NMBB_1485
ko:K09977	nmp:NMBB_1493
ko:K03500	nmp:NMBB_1495
ko:K08324	nmp:NMBB_1497
ko:K02435	nmp:NMBB_1500
ko:K09824	nmp:NMBB_1502
ko:K02434	nmp:NMBB_1503
ko:K00275	nmp:NMBB_1506
ko:K06178	nmp:NMBB_1508
ko:K03601	nmp:NMBB_1510
ko:K07322	nmp:NMBB_1512
ko:K01874	nmp:NMBB_0033
ko:K00820	nmp:NMBB_0034
ko:K08304	nmp:NMBB_0038
ko:K07243	nmp:NMBB_0039
ko:K07224	nmp:NMBB_0040
ko:K06193	nmp:NMBB_0043
ko:K04042	nmp:NMBB_0044
ko:K02064	nmp:NMBB_0046
ko:K12267	nmp:NMBB_0049
ko:K03110	nmp:NMBB_0050
ko:K02670	nmp:NMBB_0055
ko:K02669	nmp:NMBB_0056
ko:K06997	nmp:NMBB_0057
ko:K00286	nmp:NMBB_0059
ko:K06204	nmp:NMBB_0060
ko:K02237	nmp:NMBB_0062
ko:K03686	nmp:NMBB_0065
ko:K01790	nmp:NMBB_0067
ko:K00973	nmp:NMBB_0068
ko:K01991	nmp:NMBB_0075
ko:K10107	nmp:NMBB_0076
ko:K09688	nmp:NMBB_0077
ko:K09689	nmp:NMBB_0078
ko:K06959	nmp:NMBB_0079
ko:K06200	nmp:NMBB_1053
ko:K03787	nmp:NMBB_1061
ko:K06194	nmp:NMBB_1062
ko:K03565	nmp:NMBB_1066
ko:K01091	nmp:NMBB_1067
ko:K00260	nmp:NMBB_1068
ko:K01821	nmp:NMBB_1070
ko:K14260	nmp:NMBB_1071
ko:K01867	nmp:NMBB_1075
ko:K01524	nmp:NMBB_1078
ko:K00615	nmp:NMBB_1097
ko:K09926	nmp:NMBB_1100
ko:K00459	nmp:NMBB_1101
ko:K01955	nmp:NMBB_2117
ko:K03923	nmp:NMBB_2119
ko:K07568	nmp:NMBB_2120
ko:K02160	nmp:NMBB_2122
ko:K01961	nmp:NMBB_2123
ko:K02687	nmp:NMBB_2124
ko:K13288	nmp:NMBB_2125
ko:K01845	nmp:NMBB_2127
ko:K06168	nmp:NMBB_2129
ko:K01662	nmp:NMBB_2130
ko:K03733	nmp:NMBB_2131
ko:K01624	nmp:NMBB_2132
ko:K03789	nmp:NMBB_2136
ko:K00762	nmp:NMBB_2138
ko:K14682	nmp:NMBB_2140
ko:K00573	nmp:NMBB_2150
ko:K01803	nmp:NMBB_2152
ko:K03075	nmp:NMBB_2153
ko:K07726	nmp:NMBB_2156
ko:K01869	nmp:NMBB_2163
ko:K00937	nmp:NMBB_2167
ko:K02338	nmp:NMBB_2169
ko:K02313	nmp:NMBB_2170
ko:K02914	nmp:NMBB_2171
ko:K03536	nmp:NMBB_2172
ko:K08998	nmp:NMBB_2173
ko:K03217	nmp:NMBB_2174
ko:K07056	nmp:NMBB_2175
ko:K07040	nmp:NMBB_2177
ko:K02911	nmp:NMBB_2178
ko:K07101	nmp:NMBB_2179
ko:K01972	nmp:NMBB_0743
ko:K03806	nmp:NMBB_0747
ko:K07082	nmp:NMBB_0748
ko:K00943	nmp:NMBB_0749
ko:K00029	nmp:NMBB_0750
ko:K00912	nmp:NMBB_0752
ko:K09924	nmp:NMBB_0753
ko:K09791	nmp:NMBB_0754
ko:K00979	nmp:NMBB_0755
ko:K01695	nmp:NMBB_0758
ko:K01963	nmp:NMBB_0759
ko:K01465	nmp:NMBB_0763
ko:K03625	nmp:NMBB_0765
ko:K00794	nmp:NMBB_0766
ko:K03685	nmp:NMBB_0768
ko:K01817	nmp:NMBB_0772
ko:K04760	nmp:NMBB_0773
ko:K00764	nmp:NMBB_0774
ko:K03558	nmp:NMBB_0776
ko:K11754	nmp:NMBB_0778
