ko:K02483	nmh:NMBH4476_1595
ko:K03621	nmh:NMBH4476_1853
ko:K00648	nmh:NMBH4476_1857
ko:K00645	nmh:NMBH4476_1859
ko:K00262	nmh:NMBH4476_0511
ko:K03308	nmh:NMBH4476_0514
ko:K09458	nmh:NMBH4476_0518
ko:K02078	nmh:NMBH4476_0523
ko:K02078	nmh:NMBH4476_0524
ko:K03182	nmh:NMBH4476_0527
ko:K00796	nmh:NMBH4476_0530
ko:K03431	nmh:NMBH4476_0531
ko:K03424	nmh:NMBH4476_0534
ko:K02835	nmh:NMBH4476_0535
ko:K03778	nmh:NMBH4476_0536
ko:K01875	nmh:NMBH4476_0537
ko:K08311	nmh:NMBH4476_0538
ko:K02622	nmh:NMBH4476_0539
ko:K01736	nmh:NMBH4476_0541
ko:K00832	nmh:NMBH4476_0543
ko:K00281	nmh:NMBH4476_0546
ko:K01246	nmh:NMBH4476_0549
ko:K09857	nmh:NMBH4476_0550
ko:K06192	nmh:NMBH4476_0551
ko:K03808	nmh:NMBH4476_0552
ko:K08303	nmh:NMBH4476_0558
ko:K00759	nmh:NMBH4476_0560
ko:K03704	nmh:NMBH4476_1348
ko:K06891	nmh:NMBH4476_1349
ko:K03694	nmh:NMBH4476_1350
ko:K03427	nmh:NMBH4476_1357
ko:K03274	nmh:NMBH4476_1358
ko:K01591	nmh:NMBH4476_1362
ko:K03799	nmh:NMBH4476_1364
ko:K01939	nmh:NMBH4476_1371
ko:K02502	nmh:NMBH4476_1372
ko:K03327	nmh:NMBH4476_1373
ko:K00075	nmh:NMBH4476_1374
ko:K00858	nmh:NMBH4476_1378
ko:K06182	nmh:NMBH4476_1379
ko:K09007	nmh:NMBH4476_1382
ko:K01698	nmh:NMBH4476_1384
ko:K03798	nmh:NMBH4476_1387
ko:K09801	nmh:NMBH4476_1389
ko:K01056	nmh:NMBH4476_1390
ko:K14445	nmh:NMBH4476_1392
ko:K15778	nmh:NMBH4476_1394
ko:K07223	nmh:NMBH4476_1398
ko:K03785	nmh:NMBH4476_0774
ko:K09747	nmh:NMBH4476_0776
ko:K02343	nmh:NMBH4476_0777
ko:K03572	nmh:NMBH4476_0778
ko:K01588	nmh:NMBH4476_0782
ko:K00782	nmh:NMBH4476_0784
ko:K00800	nmh:NMBH4476_0789
ko:K03624	nmh:NMBH4476_0790
ko:K04567	nmh:NMBH4476_0794
ko:K03557	nmh:NMBH4476_0799
ko:K01159	nmh:NMBH4476_0800
ko:K02517	nmh:NMBH4476_0801
ko:K07501	nmh:NMBH4476_0803
ko:K01256	nmh:NMBH4476_0804
ko:K11004	nmh:NMBH4476_0818
ko:K03575	nmh:NMBH4476_0821
ko:K01625	nmh:NMBH4476_0823
ko:K01690	nmh:NMBH4476_0824
ko:K00036	nmh:NMBH4476_0826
ko:K00554	nmh:NMBH4476_1600
ko:K02884	nmh:NMBH4476_1601
ko:K00311	nmh:NMBH4476_1609
ko:K07218	nmh:NMBH4476_1612
ko:K02492	nmh:NMBH4476_1614
ko:K02437	nmh:NMBH4476_1615
ko:K00605	nmh:NMBH4476_1616
ko:K09941	nmh:NMBH4476_1618
ko:K09790	nmh:NMBH4476_1619
ko:K00346	nmh:NMBH4476_1621
ko:K00347	nmh:NMBH4476_1622
ko:K00348	nmh:NMBH4476_1623
ko:K00349	nmh:NMBH4476_1624
ko:K00350	nmh:NMBH4476_1625
ko:K00351	nmh:NMBH4476_1626
ko:K03734	nmh:NMBH4476_1627
ko:K05952	nmh:NMBH4476_1628
ko:K03687	nmh:NMBH4476_1629
ko:K00640	nmh:NMBH4476_1630
ko:K03688	nmh:NMBH4476_1631
ko:K15724	nmh:NMBH4476_1633
ko:K04043	nmh:NMBH4476_1636
ko:K04066	nmh:NMBH4476_1639
ko:K03981	nmh:NMBH4476_1640
ko:K05685	nmh:NMBH4476_1641
ko:K13888	nmh:NMBH4476_1642
ko:K02655	nmh:NMBH4476_1643
ko:K03529	nmh:NMBH4476_1645
ko:K03269	nmh:NMBH4476_1646
ko:K03303	nmh:NMBH4476_1647
ko:K03673	nmh:NMBH4476_0399
ko:K06153	nmh:NMBH4476_0400
ko:K03925	nmh:NMBH4476_0404
ko:K03438	nmh:NMBH4476_0405
ko:K03586	nmh:NMBH4476_0406
ko:K03587	nmh:NMBH4476_0407
ko:K01928	nmh:NMBH4476_0408
ko:K01929	nmh:NMBH4476_0410
ko:K01000	nmh:NMBH4476_0412
ko:K01925	nmh:NMBH4476_0414
ko:K03588	nmh:NMBH4476_0415
ko:K02563	nmh:NMBH4476_0416
ko:K01924	nmh:NMBH4476_0417
ko:K01921	nmh:NMBH4476_0418
ko:K03589	nmh:NMBH4476_0419
ko:K03590	nmh:NMBH4476_0420
ko:K03531	nmh:NMBH4476_0421
ko:K06901	nmh:NMBH4476_0422
ko:K07090	nmh:NMBH4476_0425
ko:K00925	nmh:NMBH4476_0428
ko:K13771	nmh:NMBH4476_0430
ko:K07234	nmh:NMBH4476_0432
ko:K07552	nmh:NMBH4476_0438
ko:K14170	nmh:NMBH4476_0439
ko:K03584	nmh:NMBH4476_0440
ko:K03474	nmh:NMBH4476_0441
ko:K07090	nmh:NMBH4476_0444
ko:K00997	nmh:NMBH4476_0445
ko:K07444	nmh:NMBH4476_0448
ko:K01448	nmh:NMBH4476_0449
ko:K06925	nmh:NMBH4476_0450
ko:K01776	nmh:NMBH4476_0451
ko:K03218	nmh:NMBH4476_1240
ko:K01714	nmh:NMBH4476_1242
ko:K07287	nmh:NMBH4476_1243
ko:K10806	nmh:NMBH4476_1246
ko:K00031	nmh:NMBH4476_1251
ko:K07341	nmh:NMBH4476_1254
ko:K09861	nmh:NMBH4476_1279
ko:K14267	nmh:NMBH4476_1280
ko:K02655	nmh:NMBH4476_1283
ko:K02673	nmh:NMBH4476_1284
ko:K02672	nmh:NMBH4476_1285
ko:K02671	nmh:NMBH4476_1286
ko:K08084	nmh:NMBH4476_1287
ko:K04564	nmh:NMBH4476_1289
ko:K01940	nmh:NMBH4476_2071
ko:K07862	nmh:NMBH4476_2075
ko:K09800	nmh:NMBH4476_2077
ko:K03305	nmh:NMBH4476_2078
ko:K02836	nmh:NMBH4476_2079
ko:K07001	nmh:NMBH4476_2080
ko:K15977	nmh:NMBH4476_2081
ko:K09930	nmh:NMBH4476_2083
ko:K09929	nmh:NMBH4476_2084
ko:K03088	nmh:NMBH4476_2085
ko:K07566	nmh:NMBH4476_2088
ko:K01945	nmh:NMBH4476_2089
ko:K03522	nmh:NMBH4476_2092
ko:K03521	nmh:NMBH4476_2093
ko:K02841	nmh:NMBH4476_2094
ko:K08281	nmh:NMBH4476_2095
ko:K00134	nmh:NMBH4476_2097
ko:K03555	nmh:NMBH4476_2098
ko:K00942	nmh:NMBH4476_0561
ko:K03060	nmh:NMBH4476_0562
ko:K13038	nmh:NMBH4476_0564
ko:K07320	nmh:NMBH4476_0572
ko:K07166	nmh:NMBH4476_0574
ko:K09157	nmh:NMBH4476_0575
ko:K01775	nmh:NMBH4476_0576
ko:K03611	nmh:NMBH4476_0578
ko:K03310	nmh:NMBH4476_0580
ko:K11068	nmh:NMBH4476_0581
ko:K02519	nmh:NMBH4476_0584
ko:K02600	nmh:NMBH4476_0585
ko:K09748	nmh:NMBH4476_0586
ko:K00831	nmh:NMBH4476_0587
ko:K03760	nmh:NMBH4476_0589
ko:K04561	nmh:NMBH4476_0604
ko:K00432	nmh:NMBH4476_0605
ko:K00941	nmh:NMBH4476_0610
ko:K01676	nmh:NMBH4476_0614
ko:K03582	nmh:NMBH4476_1399
ko:K04485	nmh:NMBH4476_1402
ko:K01599	nmh:NMBH4476_1403
ko:K02498	nmh:NMBH4476_1405
ko:K02496	nmh:NMBH4476_1406
ko:K00761	nmh:NMBH4476_1410
ko:K07390	nmh:NMBH4476_1411
ko:K09712	nmh:NMBH4476_1412
ko:K03424	nmh:NMBH4476_1413
ko:K02676	nmh:NMBH4476_1414
ko:K02341	nmh:NMBH4476_1415
ko:K02670	nmh:NMBH4476_1416
ko:K03596	nmh:NMBH4476_1418
ko:K03100	nmh:NMBH4476_1419
ko:K01738	nmh:NMBH4476_1421
ko:K01778	nmh:NMBH4476_1423
ko:K09792	nmh:NMBH4476_1425
ko:K00962	nmh:NMBH4476_1426
ko:K01923	nmh:NMBH4476_1427
ko:K00067	nmh:NMBH4476_1428
ko:K02192	nmh:NMBH4476_1430
ko:K03564	nmh:NMBH4476_1432
ko:K07262	nmh:NMBH4476_1433
ko:K03666	nmh:NMBH4476_1434
ko:K00950	nmh:NMBH4476_1437
ko:K03183	nmh:NMBH4476_1439
ko:K03631	nmh:NMBH4476_1445
ko:K06024	nmh:NMBH4476_1446
ko:K14540	nmh:NMBH4476_1447
ko:K06958	nmh:NMBH4476_1448
ko:K03501	nmh:NMBH4476_0188
ko:K03470	nmh:NMBH4476_0190
ko:K03495	nmh:NMBH4476_0191
ko:K03310	nmh:NMBH4476_0192
ko:K00097	nmh:NMBH4476_0193
ko:K08300	nmh:NMBH4476_0194
ko:K00748	nmh:NMBH4476_0196
ko:K00215	nmh:NMBH4476_0198
ko:K06186	nmh:NMBH4476_0199
ko:K00684	nmh:NMBH4476_0201
ko:K00134	nmh:NMBH4476_0202
ko:K01752	nmh:NMBH4476_0210
ko:K02470	nmh:NMBH4476_0211
ko:K01414	nmh:NMBH4476_0213
ko:K03781	nmh:NMBH4476_0215
ko:K03092	nmh:NMBH4476_0216
ko:K09458	nmh:NMBH4476_0218
ko:K02078	nmh:NMBH4476_0219
ko:K00982	nmh:NMBH4476_0223
ko:K07043	nmh:NMBH4476_0225
ko:K07160	nmh:NMBH4476_0227
ko:K03657	nmh:NMBH4476_0230
ko:K00330	nmh:NMBH4476_0235
ko:K00331	nmh:NMBH4476_0236
ko:K00332	nmh:NMBH4476_0237
ko:K00333	nmh:NMBH4476_0238
ko:K00334	nmh:NMBH4476_0239
ko:K04075	nmh:NMBH4476_1031
ko:K01962	nmh:NMBH4476_1032
ko:K04762	nmh:NMBH4476_1033
ko:K04755	nmh:NMBH4476_1036
ko:K04044	nmh:NMBH4476_1039
ko:K02291	nmh:NMBH4476_1040
ko:K09803	nmh:NMBH4476_1051
ko:K01951	nmh:NMBH4476_1861
ko:K09858	nmh:NMBH4476_1864
ko:K09761	nmh:NMBH4476_1866
ko:K07270	nmh:NMBH4476_1867
ko:K07270	nmh:NMBH4476_1868
ko:K01879	nmh:NMBH4476_1870
ko:K01878	nmh:NMBH4476_1872
ko:K02114	nmh:NMBH4476_1873
ko:K02112	nmh:NMBH4476_1874
ko:K02115	nmh:NMBH4476_1875
ko:K02111	nmh:NMBH4476_1876
ko:K02113	nmh:NMBH4476_1877
ko:K02109	nmh:NMBH4476_1878
ko:K02110	nmh:NMBH4476_1879
ko:K02108	nmh:NMBH4476_1880
ko:K03186	nmh:NMBH4476_1883
ko:K02073	nmh:NMBH4476_1884
ko:K02072	nmh:NMBH4476_1885
ko:K02071	nmh:NMBH4476_1886
ko:K08309	nmh:NMBH4476_1887
ko:K02970	nmh:NMBH4476_1888
ko:K09117	nmh:NMBH4476_1889
ko:K03600	nmh:NMBH4476_1890
ko:K03599	nmh:NMBH4476_1891
ko:K02909	nmh:NMBH4476_1894
ko:K12500	nmh:NMBH4476_1897
ko:K04754	nmh:NMBH4476_1899
ko:K07122	nmh:NMBH4476_1900
ko:K07323	nmh:NMBH4476_1901
ko:K02066	nmh:NMBH4476_1903
ko:K02065	nmh:NMBH4476_1904
ko:K07248	nmh:NMBH4476_1906
ko:K18842	nmh:NMBH4476_1256
ko:K09812	nmh:NMBH4476_0007
ko:K09811	nmh:NMBH4476_0008
ko:K00927	nmh:NMBH4476_0010
ko:K00790	nmh:NMBH4476_0011
ko:K09943	nmh:NMBH4476_0014
ko:K02527	nmh:NMBH4476_0015
ko:K02535	nmh:NMBH4476_0017
ko:K01057	nmh:NMBH4476_0827
ko:K01810	nmh:NMBH4476_0830
ko:K02469	nmh:NMBH4476_0833
ko:K04082	nmh:NMBH4476_0834
ko:K09890	nmh:NMBH4476_0835
ko:K04487	nmh:NMBH4476_0839
ko:K13643	nmh:NMBH4476_0840
ko:K02834	nmh:NMBH4476_0845
ko:K03544	nmh:NMBH4476_0846
ko:K06969	nmh:NMBH4476_0851
ko:K03671	nmh:NMBH4476_0852
ko:K07322	nmh:NMBH4476_0853
ko:K03601	nmh:NMBH4476_0855
ko:K06178	nmh:NMBH4476_0857
ko:K00275	nmh:NMBH4476_0858
ko:K02434	nmh:NMBH4476_0861
ko:K09824	nmh:NMBH4476_0862
ko:K02435	nmh:NMBH4476_0864
ko:K08324	nmh:NMBH4476_0866
ko:K03500	nmh:NMBH4476_0868
ko:K09977	nmh:NMBH4476_0870
ko:K00382	nmh:NMBH4476_0875
ko:K00627	nmh:NMBH4476_0876
ko:K01749	nmh:NMBH4476_1651
ko:K07042	nmh:NMBH4476_1652
ko:K06189	nmh:NMBH4476_1653
ko:K03315	nmh:NMBH4476_1654
ko:K02429	nmh:NMBH4476_1655
ko:K10773	nmh:NMBH4476_1657
ko:K01207	nmh:NMBH4476_1660
ko:K08987	nmh:NMBH4476_1663
ko:K01737	nmh:NMBH4476_1664
ko:K06920	nmh:NMBH4476_1666
ko:K07058	nmh:NMBH4476_1668
ko:K15125	nmh:NMBH4476_1684
ko:K15125	nmh:NMBH4476_1688
ko:K10764	nmh:NMBH4476_0618
ko:K15984	nmh:NMBH4476_0620
ko:K02621	nmh:NMBH4476_0623
ko:K03304	nmh:NMBH4476_0625
ko:K01872	nmh:NMBH4476_0629
ko:K11073	nmh:NMBH4476_0630
ko:K01693	nmh:NMBH4476_0647
ko:K00817	nmh:NMBH4476_0648
ko:K00013	nmh:NMBH4476_0649
ko:K09968	nmh:NMBH4476_0650
ko:K00765	nmh:NMBH4476_0651
ko:K07152	nmh:NMBH4476_0652
ko:K01652	nmh:NMBH4476_0654
ko:K01653	nmh:NMBH4476_0655
ko:K00053	nmh:NMBH4476_0657
ko:K00611	nmh:NMBH4476_0658
ko:K01682	nmh:NMBH4476_0659
ko:K11720	nmh:NMBH4476_0660
ko:K07091	nmh:NMBH4476_0661
ko:K01255	nmh:NMBH4476_0662
ko:K02339	nmh:NMBH4476_0663
ko:K11175	nmh:NMBH4476_0665
ko:K07397	nmh:NMBH4476_0667
ko:K03179	nmh:NMBH4476_1451
ko:K03181	nmh:NMBH4476_1452
ko:K01935	nmh:NMBH4476_1453
ko:K00833	nmh:NMBH4476_1454
ko:K07113	nmh:NMBH4476_1456
ko:K04764	nmh:NMBH4476_1458
ko:K07461	nmh:NMBH4476_0242
ko:K00337	nmh:NMBH4476_0244
ko:K00338	nmh:NMBH4476_0245
ko:K00339	nmh:NMBH4476_0247
ko:K00340	nmh:NMBH4476_0248
ko:K01890	nmh:NMBH4476_1459
ko:K01889	nmh:NMBH4476_1463
ko:K02887	nmh:NMBH4476_1465
ko:K02916	nmh:NMBH4476_1466
ko:K02520	nmh:NMBH4476_1467
ko:K01868	nmh:NMBH4476_1468
ko:K00773	nmh:NMBH4476_1470
ko:K01772	nmh:NMBH4476_1471
ko:K03820	nmh:NMBH4476_1476
ko:K03089	nmh:NMBH4476_1477
ko:K02340	nmh:NMBH4476_1481
ko:K03643	nmh:NMBH4476_1482
ko:K05810	nmh:NMBH4476_1483
ko:K03453	nmh:NMBH4476_1484
ko:K06180	nmh:NMBH4476_1485
ko:K05807	nmh:NMBH4476_1486
ko:K01696	nmh:NMBH4476_1489
ko:K02528	nmh:NMBH4476_1491
ko:K11754	nmh:NMBH4476_1495
ko:K03558	nmh:NMBH4476_1497
ko:K00764	nmh:NMBH4476_1498
ko:K01874	nmh:NMBH4476_0030
ko:K00820	nmh:NMBH4476_0031
ko:K08304	nmh:NMBH4476_0033
ko:K07243	nmh:NMBH4476_0034
ko:K07224	nmh:NMBH4476_0035
ko:K06193	nmh:NMBH4476_0037
ko:K04042	nmh:NMBH4476_0038
ko:K02064	nmh:NMBH4476_0040
ko:K12267	nmh:NMBH4476_0043
ko:K03110	nmh:NMBH4476_0044
ko:K07461	nmh:NMBH4476_0045
ko:K02670	nmh:NMBH4476_0048
ko:K04095	nmh:NMBH4476_0249
ko:K00341	nmh:NMBH4476_0251
ko:K00342	nmh:NMBH4476_0252
ko:K00343	nmh:NMBH4476_0253
ko:K00795	nmh:NMBH4476_0255
ko:K03602	nmh:NMBH4476_0256
ko:K06949	nmh:NMBH4476_0257
ko:K03550	nmh:NMBH4476_0259
ko:K03642	nmh:NMBH4476_0261
ko:K03216	nmh:NMBH4476_0262
ko:K02170	nmh:NMBH4476_0264
ko:K03654	nmh:NMBH4476_0269
ko:K01609	nmh:NMBH4476_0270
ko:K03980	nmh:NMBH4476_0272
ko:K03673	nmh:NMBH4476_0273
ko:K07102	nmh:NMBH4476_0274
ko:K04744	nmh:NMBH4476_0275
ko:K03771	nmh:NMBH4476_0276
ko:K01147	nmh:NMBH4476_0277
ko:K06966	nmh:NMBH4476_0278
ko:K01756	nmh:NMBH4476_0279
ko:K01669	nmh:NMBH4476_0284
ko:K15977	nmh:NMBH4476_0286
ko:K07078	nmh:NMBH4476_0287
ko:K03673	nmh:NMBH4476_0289
ko:K03106	nmh:NMBH4476_0290
ko:K01448	nmh:NMBH4476_1088
ko:K02471	nmh:NMBH4476_1094
ko:K10763	nmh:NMBH4476_1095
ko:K00930	nmh:NMBH4476_1098
ko:K13292	nmh:NMBH4476_1100
ko:K07039	nmh:NMBH4476_1101
ko:K01649	nmh:NMBH4476_1102
ko:K00931	nmh:NMBH4476_1103
ko:K00147	nmh:NMBH4476_1104
ko:K03466	nmh:NMBH4476_1105
ko:K06199	nmh:NMBH4476_1107
ko:K01633	nmh:NMBH4476_1109
ko:K08591	nmh:NMBH4476_1110
ko:K07115	nmh:NMBH4476_1111
ko:K03841	nmh:NMBH4476_1112
ko:K09794	nmh:NMBH4476_1113
ko:K00600	nmh:NMBH4476_1115
ko:K03975	nmh:NMBH4476_1118
ko:K15738	nmh:NMBH4476_1119
ko:K01733	nmh:NMBH4476_1124
ko:K00528	nmh:NMBH4476_1126
ko:K03665	nmh:NMBH4476_1128
ko:K09765	nmh:NMBH4476_1130
ko:K03630	nmh:NMBH4476_1131
ko:K01919	nmh:NMBH4476_1132
ko:K01703	nmh:NMBH4476_1133
ko:K01704	nmh:NMBH4476_1135
ko:K04077	nmh:NMBH4476_1910
ko:K04078	nmh:NMBH4476_1911
ko:K03308	nmh:NMBH4476_1913
ko:K01586	nmh:NMBH4476_1914
ko:K06202	nmh:NMBH4476_1916
ko:K07173	nmh:NMBH4476_1919
ko:K03650	nmh:NMBH4476_1925
ko:K02016	nmh:NMBH4476_1927
ko:K02015	nmh:NMBH4476_1928
ko:K02015	nmh:NMBH4476_1929
ko:K02013	nmh:NMBH4476_1931
ko:K04751	nmh:NMBH4476_1932
ko:K01952	nmh:NMBH4476_1933
ko:K06213	nmh:NMBH4476_1936
ko:K04083	nmh:NMBH4476_1937
ko:K00620	nmh:NMBH4476_1942
ko:K03578	nmh:NMBH4476_1944
ko:K03578	nmh:NMBH4476_1948
ko:K02237	nmh:NMBH4476_1955
ko:K00783	nmh:NMBH4476_1964
ko:K02669	nmh:NMBH4476_0049
ko:K06997	nmh:NMBH4476_0050
ko:K00286	nmh:NMBH4476_0052
ko:K06204	nmh:NMBH4476_0053
ko:K03686	nmh:NMBH4476_0060
ko:K01790	nmh:NMBH4476_0062
ko:K00973	nmh:NMBH4476_0063
ko:K01991	nmh:NMBH4476_0071
ko:K10107	nmh:NMBH4476_0072
ko:K09688	nmh:NMBH4476_0073
ko:K09689	nmh:NMBH4476_0074
ko:K06959	nmh:NMBH4476_0075
ko:K00163	nmh:NMBH4476_0877
ko:K01881	nmh:NMBH4476_0878
ko:K07447	nmh:NMBH4476_0880
ko:K07735	nmh:NMBH4476_0881
ko:K05805	nmh:NMBH4476_0882
ko:K03797	nmh:NMBH4476_0884
ko:K03702	nmh:NMBH4476_0885
ko:K03439	nmh:NMBH4476_0887
ko:K03703	nmh:NMBH4476_0889
ko:K00384	nmh:NMBH4476_0891
ko:K02990	nmh:NMBH4476_0892
ko:K02686	nmh:NMBH4476_0893
ko:K02963	nmh:NMBH4476_0894
ko:K02939	nmh:NMBH4476_0895
ko:K03466	nmh:NMBH4476_0901
ko:K03545	nmh:NMBH4476_0902
ko:K01358	nmh:NMBH4476_0903
ko:K02656	nmh:NMBH4476_0905
ko:K06941	nmh:NMBH4476_0906
ko:K00940	nmh:NMBH4476_0907
ko:K06916	nmh:NMBH4476_0908
ko:K01070	nmh:NMBH4476_0909
ko:K05788	nmh:NMBH4476_0912
ko:K02945	nmh:NMBH4476_0913
ko:K00945	nmh:NMBH4476_0914
ko:K08307	nmh:NMBH4476_0917
ko:K00655	nmh:NMBH4476_0920
ko:K11107	nmh:NMBH4476_0926
ko:K05589	nmh:NMBH4476_0927
ko:K07154	nmh:NMBH4476_1713
ko:K15125	nmh:NMBH4476_1720
ko:K15125	nmh:NMBH4476_1727
ko:K00145	nmh:NMBH4476_1735
ko:K03655	nmh:NMBH4476_1736
ko:K03071	nmh:NMBH4476_1737
ko:K08301	nmh:NMBH4476_1739
ko:K03300	nmh:NMBH4476_1742
ko:K07259	nmh:NMBH4476_1744
ko:K00789	nmh:NMBH4476_1746
ko:K02517	nmh:NMBH4476_1747
ko:K07399	nmh:NMBH4476_1750
ko:K03978	nmh:NMBH4476_1752
ko:K05366	nmh:NMBH4476_1753
ko:K02662	nmh:NMBH4476_1754
ko:K02444	nmh:NMBH4476_0670
ko:K01886	nmh:NMBH4476_0671
ko:K01920	nmh:NMBH4476_0672
ko:K00901	nmh:NMBH4476_0673
ko:K00566	nmh:NMBH4476_0675
ko:K01937	nmh:NMBH4476_0677
ko:K03086	nmh:NMBH4476_0691
ko:K03070	nmh:NMBH4476_0693
ko:K03664	nmh:NMBH4476_0703
ko:K03775	nmh:NMBH4476_0707
ko:K04084	nmh:NMBH4476_0710
ko:K00925	nmh:NMBH4476_0711
ko:K00991	nmh:NMBH4476_0716
ko:K01770	nmh:NMBH4476_0717
ko:K01807	nmh:NMBH4476_0718
ko:K04760	nmh:NMBH4476_1499
ko:K01817	nmh:NMBH4476_1500
ko:K03685	nmh:NMBH4476_1502
ko:K00794	nmh:NMBH4476_1504
ko:K03625	nmh:NMBH4476_1505
ko:K01465	nmh:NMBH4476_1506
ko:K01963	nmh:NMBH4476_1510
ko:K01695	nmh:NMBH4476_1511
ko:K00979	nmh:NMBH4476_1514
ko:K09791	nmh:NMBH4476_1515
ko:K09924	nmh:NMBH4476_1516
ko:K00912	nmh:NMBH4476_1517
ko:K00029	nmh:NMBH4476_1518
ko:K00943	nmh:NMBH4476_1519
ko:K07082	nmh:NMBH4476_1520
ko:K03806	nmh:NMBH4476_1521
ko:K01972	nmh:NMBH4476_1523
ko:K03623	nmh:NMBH4476_1543
ko:K08310	nmh:NMBH4476_1548
ko:K02237	nmh:NMBH4476_0297
ko:K01626	nmh:NMBH4476_0302
ko:K08973	nmh:NMBH4476_0305
ko:K09125	nmh:NMBH4476_0311
ko:K09457	nmh:NMBH4476_0312
ko:K03543	nmh:NMBH4476_0313
ko:K03446	nmh:NMBH4476_0314
ko:K02902	nmh:NMBH4476_0315
ko:K02913	nmh:NMBH4476_0316
ko:K02899	nmh:NMBH4476_0318
ko:K02888	nmh:NMBH4476_0319
