ko:K01006	lmp:MUO_09580
ko:K01486	lmp:MUO_08950
ko:K02003	lmp:MUO_08975
ko:K00891	lmp:MUO_08985
ko:K03215	lmp:MUO_08995
ko:K03110	lmp:MUO_09260
ko:K03529	lmp:MUO_09265
ko:K03685	lmp:MUO_09270
ko:K02078	lmp:MUO_09275
ko:K00645	lmp:MUO_09285
ko:K03621	lmp:MUO_09290
ko:K03655	lmp:MUO_09300
ko:K01752	lmp:MUO_09305
ko:K01752	lmp:MUO_09310
ko:K02902	lmp:MUO_09325
ko:K01783	lmp:MUO_09335
ko:K06949	lmp:MUO_09340
ko:K03500	lmp:MUO_09355
ko:K00604	lmp:MUO_09360
ko:K04066	lmp:MUO_09365
ko:K13038	lmp:MUO_09370
ko:K03060	lmp:MUO_09375
ko:K00942	lmp:MUO_09380
ko:K00762	lmp:MUO_09400
ko:K01591	lmp:MUO_09405
ko:K01955	lmp:MUO_09420
ko:K01956	lmp:MUO_09425
ko:K01465	lmp:MUO_09430
ko:K00609	lmp:MUO_09435
ko:K02825	lmp:MUO_09445
ko:K06180	lmp:MUO_09460
ko:K03101	lmp:MUO_09465
ko:K06901	lmp:MUO_09470
ko:K03327	lmp:MUO_09475
ko:K03797	lmp:MUO_09500
ko:K02016	lmp:MUO_10050
ko:K02013	lmp:MUO_10055
ko:K02346	lmp:MUO_10095
ko:K07124	lmp:MUO_10100
ko:K00036	lmp:MUO_10110
ko:K01687	lmp:MUO_10135
ko:K01652	lmp:MUO_10140
ko:K01653	lmp:MUO_10145
ko:K00053	lmp:MUO_10150
ko:K01649	lmp:MUO_10155
ko:K00052	lmp:MUO_10160
ko:K01703	lmp:MUO_10165
ko:K01704	lmp:MUO_10170
ko:K01754	lmp:MUO_10175
ko:K01575	lmp:MUO_10180
ko:K00756	lmp:MUO_10185
ko:K02529	lmp:MUO_10190
ko:K05346	lmp:MUO_10200
ko:K01652	lmp:MUO_10255
ko:K07718	lmp:MUO_10280
ko:K03704	lmp:MUO_10310
ko:K02313	lmp:MUO_00005
ko:K02338	lmp:MUO_00010
ko:K03629	lmp:MUO_00025
ko:K02470	lmp:MUO_00030
ko:K02469	lmp:MUO_00035
ko:K06131	lmp:MUO_00040
ko:K02826	lmp:MUO_00085
ko:K02827	lmp:MUO_00090
ko:K02828	lmp:MUO_00095
ko:K02829	lmp:MUO_00100
ko:K07282	lmp:MUO_00105
ko:K01223	lmp:MUO_00110
ko:K10778	lmp:MUO_00535
ko:K02110	lmp:MUO_00615
ko:K02113	lmp:MUO_00620
ko:K02111	lmp:MUO_00625
ko:K02115	lmp:MUO_00630
ko:K02112	lmp:MUO_00635
ko:K02114	lmp:MUO_00640
ko:K01448	lmp:MUO_00830
ko:K06975	lmp:MUO_00855
ko:K02034	lmp:MUO_00870
ko:K09817	lmp:MUO_00935
ko:K09816	lmp:MUO_00940
ko:K02341	lmp:MUO_00975
ko:K07461	lmp:MUO_00995
ko:K06173	lmp:MUO_12975
ko:K07507	lmp:MUO_12995
ko:K02879	lmp:MUO_13010
ko:K03040	lmp:MUO_13015
ko:K02948	lmp:MUO_13020
ko:K02952	lmp:MUO_13025
ko:K02919	lmp:MUO_13030
ko:K02518	lmp:MUO_13035
ko:K03076	lmp:MUO_13045
ko:K02876	lmp:MUO_13050
ko:K02907	lmp:MUO_13055
ko:K02988	lmp:MUO_13060
ko:K02881	lmp:MUO_13065
ko:K02933	lmp:MUO_13070
ko:K02994	lmp:MUO_13075
ko:K07056	lmp:MUO_01000
ko:K06284	lmp:MUO_01005
ko:K01874	lmp:MUO_01030
ko:K03424	lmp:MUO_01070
ko:K05985	lmp:MUO_01080
ko:K02528	lmp:MUO_01085
ko:K00919	lmp:MUO_01095
ko:K02003	lmp:MUO_01115
ko:K06412	lmp:MUO_01125
ko:K06412	lmp:MUO_01130
ko:K04042	lmp:MUO_01135
ko:K00948	lmp:MUO_01140
ko:K02863	lmp:MUO_01395
ko:K02864	lmp:MUO_01400
ko:K02935	lmp:MUO_01410
ko:K00690	lmp:MUO_01450
ko:K03043	lmp:MUO_01455
ko:K03046	lmp:MUO_01460
ko:K15975	lmp:MUO_01520
ko:K02034	lmp:MUO_01530
ko:K02072	lmp:MUO_01610
ko:K02071	lmp:MUO_01615
ko:K02073	lmp:MUO_01620
ko:K00783	lmp:MUO_01660
ko:K02761	lmp:MUO_01685
ko:K02760	lmp:MUO_01690
ko:K02761	lmp:MUO_02040
ko:K02760	lmp:MUO_02045
ko:K06608	lmp:MUO_02065
ko:K00140	lmp:MUO_02070
ko:K03337	lmp:MUO_02075
ko:K03338	lmp:MUO_02080
ko:K03336	lmp:MUO_02085
ko:K03648	lmp:MUO_02105
ko:K00286	lmp:MUO_02140
ko:K02003	lmp:MUO_02185
ko:K03306	lmp:MUO_02240
ko:K07238	lmp:MUO_02280
ko:K00014	lmp:MUO_02710
ko:K03785	lmp:MUO_02715
ko:K06978	lmp:MUO_02725
ko:K01808	lmp:MUO_02745
ko:K01783	lmp:MUO_02750
ko:K02773	lmp:MUO_02770
ko:K01783	lmp:MUO_02780
ko:K02774	lmp:MUO_02790
ko:K00948	lmp:MUO_02800
ko:K07282	lmp:MUO_02835
ko:K08987	lmp:MUO_02845
ko:K07166	lmp:MUO_02915
ko:K09157	lmp:MUO_02920
ko:K02083	lmp:MUO_02935
ko:K02016	lmp:MUO_02955
ko:K02781	lmp:MUO_02960
ko:K01118	lmp:MUO_03305
ko:K01126	lmp:MUO_03330
ko:K07090	lmp:MUO_03355
ko:K01534	lmp:MUO_03505
ko:K03284	lmp:MUO_03540
ko:K01421	lmp:MUO_03550
ko:K08976	lmp:MUO_03600
ko:K00868	lmp:MUO_03645
ko:K02954	lmp:MUO_13080
ko:K02931	lmp:MUO_13085
ko:K02895	lmp:MUO_13090
ko:K02874	lmp:MUO_13095
ko:K02961	lmp:MUO_13100
ko:K02904	lmp:MUO_13105
ko:K02878	lmp:MUO_13110
ko:K02982	lmp:MUO_13115
ko:K02890	lmp:MUO_13120
ko:K02965	lmp:MUO_13125
ko:K02886	lmp:MUO_13130
ko:K02892	lmp:MUO_13135
ko:K02926	lmp:MUO_13140
ko:K02906	lmp:MUO_13145
ko:K02946	lmp:MUO_13150
ko:K03734	lmp:MUO_13165
ko:K03885	lmp:MUO_13175
ko:K06978	lmp:MUO_13840
ko:K03654	lmp:MUO_13850
ko:K02760	lmp:MUO_13875
ko:K02761	lmp:MUO_13880
ko:K02759	lmp:MUO_13890
ko:K01919	lmp:MUO_13915
ko:K01223	lmp:MUO_13920
ko:K02003	lmp:MUO_13940
ko:K06942	lmp:MUO_13970
ko:K02759	lmp:MUO_13975
ko:K05349	lmp:MUO_13980
ko:K02760	lmp:MUO_13985
ko:K02761	lmp:MUO_13990
ko:K03781	lmp:MUO_14000
ko:K03501	lmp:MUO_14070
ko:K07107	lmp:MUO_06635
ko:K08591	lmp:MUO_06650
ko:K02622	lmp:MUO_06660
ko:K02621	lmp:MUO_06665
ko:K07173	lmp:MUO_06670
ko:K01126	lmp:MUO_06685
ko:K00111	lmp:MUO_06690
ko:K00791	lmp:MUO_06695
ko:K03666	lmp:MUO_06700
ko:K03665	lmp:MUO_06705
ko:K01915	lmp:MUO_06720
ko:K03893	lmp:MUO_06725
ko:K01356	lmp:MUO_06735
ko:K00615	lmp:MUO_06750
ko:K09903	lmp:MUO_06785
ko:K02838	lmp:MUO_06790
ko:K00806	lmp:MUO_06795
ko:K00981	lmp:MUO_06800
ko:K00099	lmp:MUO_06805
ko:K11749	lmp:MUO_06810
ko:K01881	lmp:MUO_06815
ko:K03763	lmp:MUO_06820
ko:K09748	lmp:MUO_06825
ko:K02600	lmp:MUO_06830
ko:K07742	lmp:MUO_06835
ko:K02519	lmp:MUO_06845
ko:K02834	lmp:MUO_06855
ko:K11753	lmp:MUO_06865
ko:K02956	lmp:MUO_06870
ko:K00962	lmp:MUO_06875
ko:K06949	lmp:MUO_06880
ko:K02913	lmp:MUO_06895
ko:K03527	lmp:MUO_07480
ko:K06967	lmp:MUO_07490
ko:K03086	lmp:MUO_07495
ko:K09768	lmp:MUO_07505
ko:K09773	lmp:MUO_07510
ko:K01879	lmp:MUO_07515
ko:K01878	lmp:MUO_07520
ko:K03584	lmp:MUO_07525
ko:K07042	lmp:MUO_07550
ko:K07037	lmp:MUO_07555
ko:K09117	lmp:MUO_07565
ko:K02970	lmp:MUO_07570
ko:K09761	lmp:MUO_07575
ko:K02687	lmp:MUO_07580
ko:K03686	lmp:MUO_07585
ko:K04043	lmp:MUO_07590
ko:K03687	lmp:MUO_07595
ko:K03705	lmp:MUO_07600
ko:K03596	lmp:MUO_07620
ko:K02968	lmp:MUO_07625
ko:K02340	lmp:MUO_07630
ko:K02237	lmp:MUO_07645
ko:K09710	lmp:MUO_07655
ko:K00969	lmp:MUO_07665
ko:K07574	lmp:MUO_07670
ko:K00014	lmp:MUO_07675
ko:K07015	lmp:MUO_07685
ko:K03624	lmp:MUO_07705
ko:K00876	lmp:MUO_07710
ko:K07082	lmp:MUO_07720
ko:K07447	lmp:MUO_07735
ko:K01872	lmp:MUO_07745
ko:K02003	lmp:MUO_07750
ko:K07738	lmp:MUO_08040
ko:K00859	lmp:MUO_08045
ko:K00031	lmp:MUO_08060
ko:K01647	lmp:MUO_08065
ko:K07113	lmp:MUO_08075
ko:K00873	lmp:MUO_08080
ko:K00850	lmp:MUO_08085
ko:K01962	lmp:MUO_08090
ko:K01963	lmp:MUO_08095
ko:K02337	lmp:MUO_08100
ko:K00259	lmp:MUO_08125
ko:K00925	lmp:MUO_08135
ko:K11065	lmp:MUO_08145
ko:K04773	lmp:MUO_08155
ko:K00858	lmp:MUO_08160
ko:K00611	lmp:MUO_08165
ko:K00930	lmp:MUO_08175
ko:K00620	lmp:MUO_08180
ko:K00145	lmp:MUO_08185
ko:K03151	lmp:MUO_08190
ko:K04487	lmp:MUO_08195
ko:K02986	lmp:MUO_08210
ko:K01866	lmp:MUO_08215
ko:K02529	lmp:MUO_08220
ko:K13853	lmp:MUO_08225
ko:K01924	lmp:MUO_08250
ko:K03466	lmp:MUO_08255
ko:K06878	lmp:MUO_08260
ko:K08998	lmp:MUO_08590
ko:K01911	lmp:MUO_08600
ko:K01661	lmp:MUO_08605
ko:K02551	lmp:MUO_08615
ko:K02548	lmp:MUO_08625
ko:K00549	lmp:MUO_08645
ko:K01845	lmp:MUO_08670
ko:K10780	lmp:MUO_08685
ko:K03575	lmp:MUO_08690
ko:K03565	lmp:MUO_08710
ko:K07071	lmp:MUO_08715
ko:K14205	lmp:MUO_08720
ko:K03790	lmp:MUO_08735
ko:K02434	lmp:MUO_09010
ko:K02435	lmp:MUO_09020
ko:K01972	lmp:MUO_09030
ko:K03657	lmp:MUO_09035
ko:K03308	lmp:MUO_09045
ko:K01945	lmp:MUO_09060
ko:K00602	lmp:MUO_09065
ko:K11175	lmp:MUO_09070
ko:K01933	lmp:MUO_09075
ko:K00764	lmp:MUO_09080
ko:K01952	lmp:MUO_09085
ko:K01952	lmp:MUO_09090
ko:K01952	lmp:MUO_09095
ko:K01923	lmp:MUO_09100
ko:K01756	lmp:MUO_09105
ko:K01589	lmp:MUO_09110
ko:K01588	lmp:MUO_09115
ko:K06950	lmp:MUO_09125
ko:K02013	lmp:MUO_09130
ko:K01142	lmp:MUO_09150
ko:K02887	lmp:MUO_09155
ko:K02916	lmp:MUO_09160
ko:K02520	lmp:MUO_09165
ko:K02884	lmp:MUO_09180
ko:K00554	lmp:MUO_09205
ko:K02860	lmp:MUO_09210
ko:K07010	lmp:MUO_09220
ko:K06960	lmp:MUO_09225
ko:K02959	lmp:MUO_09230
ko:K03106	lmp:MUO_09250
ko:K11068	lmp:MUO_09565
ko:K09773	lmp:MUO_09575
ko:K00563	lmp:MUO_09610
ko:K15738	lmp:MUO_09625
ko:K01938	lmp:MUO_09630
ko:K03704	lmp:MUO_09640
ko:K02954	lmp:MUO_09655
ko:K03816	lmp:MUO_09670
ko:K01299	lmp:MUO_09675
ko:K07444	lmp:MUO_09680
ko:K05366	lmp:MUO_09710
ko:K10773	lmp:MUO_09720
ko:K01893	lmp:MUO_09730
ko:K00812	lmp:MUO_09735
ko:K01579	lmp:MUO_09750
ko:K01918	lmp:MUO_09755
ko:K00606	lmp:MUO_09760
ko:K03524	lmp:MUO_09770
ko:K01734	lmp:MUO_09780
ko:K01778	lmp:MUO_10320
ko:K01870	lmp:MUO_10325
ko:K04074	lmp:MUO_10330
ko:K04487	lmp:MUO_10340
ko:K00278	lmp:MUO_10345
ko:K00767	lmp:MUO_10350
ko:K03517	lmp:MUO_10355
ko:K02221	lmp:MUO_10415
ko:K09772	lmp:MUO_10420
ko:K06997	lmp:MUO_10425
ko:K03531	lmp:MUO_10430
ko:K03590	lmp:MUO_10435
ko:K03589	lmp:MUO_10440
ko:K02563	lmp:MUO_10445
ko:K01925	lmp:MUO_10450
ko:K01000	lmp:MUO_10455
ko:K01928	lmp:MUO_10460
ko:K03438	lmp:MUO_10475
ko:K03925	lmp:MUO_10480
ko:K00077	lmp:MUO_10500
ko:K02911	lmp:MUO_10505
ko:K07040	lmp:MUO_10510
ko:K00954	lmp:MUO_10530
ko:K02259	lmp:MUO_10560
ko:K14166	lmp:MUO_10580
ko:K03282	lmp:MUO_10590
ko:K01624	lmp:MUO_10950
ko:K01624	lmp:MUO_10955
ko:K03710	lmp:MUO_11005
ko:K03671	lmp:MUO_11045
ko:K08177	lmp:MUO_11140
ko:K00014	lmp:MUO_11475
ko:K13531	lmp:MUO_11505
ko:K13530	lmp:MUO_11510
ko:K06180	lmp:MUO_11515
ko:K07220	lmp:MUO_11535
ko:K03306	lmp:MUO_11540
ko:K06901	lmp:MUO_11565
ko:K05520	lmp:MUO_11575
ko:K02759	lmp:MUO_11585
ko:K02250	lmp:MUO_11640
ko:K02768	lmp:MUO_11650
ko:K02769	lmp:MUO_11650
ko:K02770	lmp:MUO_11650
ko:K05571	lmp:MUO_11915
ko:K09775	lmp:MUO_11925
ko:K03885	lmp:MUO_11945
ko:K07090	lmp:MUO_12010
ko:K09014	lmp:MUO_12030
ko:K11717	lmp:MUO_12040
ko:K09015	lmp:MUO_12045
ko:K09013	lmp:MUO_12050
ko:K02073	lmp:MUO_12060
ko:K02072	lmp:MUO_12065
ko:K02071	lmp:MUO_12070
ko:K02437	lmp:MUO_12100
ko:K05837	lmp:MUO_12110
ko:K05837	lmp:MUO_12115
ko:K02013	lmp:MUO_12120
ko:K02015	lmp:MUO_12125
ko:K02016	lmp:MUO_12130
ko:K02037	lmp:MUO_12470
ko:K02040	lmp:MUO_12475
ko:K07636	lmp:MUO_12480
ko:K06131	lmp:MUO_12495
ko:K09811	lmp:MUO_12510
ko:K09812	lmp:MUO_12515
ko:K02836	lmp:MUO_12525
ko:K03070	lmp:MUO_12535
ko:K05946	lmp:MUO_12590
ko:K02372	lmp:MUO_12605
ko:K03569	lmp:MUO_12610
ko:K00790	lmp:MUO_12615
ko:K02114	lmp:MUO_12625
ko:K02112	lmp:MUO_12630
ko:K02115	lmp:MUO_12635
ko:K02111	lmp:MUO_12640
ko:K02113	lmp:MUO_12645
ko:K02109	lmp:MUO_12650
ko:K02110	lmp:MUO_12655
ko:K02108	lmp:MUO_12660
ko:K00761	lmp:MUO_12675
ko:K00600	lmp:MUO_12680
ko:K07566	lmp:MUO_12690
ko:K02493	lmp:MUO_12695
ko:K02835	lmp:MUO_12700
ko:K00872	lmp:MUO_12710
ko:K01733	lmp:MUO_12715
ko:K00003	lmp:MUO_12720
ko:K02909	lmp:MUO_12725
ko:K02358	lmp:MUO_13275
ko:K02355	lmp:MUO_13280
ko:K02992	lmp:MUO_13285
ko:K02950	lmp:MUO_13290
ko:K01129	lmp:MUO_13295
ko:K01783	lmp:MUO_13310
ko:K00615	lmp:MUO_13315
ko:K01783	lmp:MUO_13320
ko:K01808	lmp:MUO_13325
ko:K02774	lmp:MUO_13345
ko:K02773	lmp:MUO_13350
ko:K01808	lmp:MUO_13385
ko:K07667	lmp:MUO_13405
ko:K07646	lmp:MUO_13410
ko:K01548	lmp:MUO_13415
ko:K01547	lmp:MUO_13420
ko:K01546	lmp:MUO_13425
ko:K02760	lmp:MUO_13430
ko:K02761	lmp:MUO_13435
ko:K02759	lmp:MUO_13440
ko:K01531	lmp:MUO_13455
ko:K00943	lmp:MUO_13480
ko:K05878	lmp:MUO_13490
ko:K05879	lmp:MUO_13495
ko:K08310	lmp:MUO_13515
ko:K01114	lmp:MUO_01170
ko:K02897	lmp:MUO_01200
ko:K01056	lmp:MUO_01210
ko:K03723	lmp:MUO_01215
ko:K07571	lmp:MUO_01235
ko:K03798	lmp:MUO_01245
ko:K03525	lmp:MUO_01250
ko:K04083	lmp:MUO_01255
ko:K01738	lmp:MUO_01260
ko:K00796	lmp:MUO_01265
ko:K01633	lmp:MUO_01270
ko:K00950	lmp:MUO_01275
ko:K04567	lmp:MUO_01285
ko:K03696	lmp:MUO_01310
ko:K04485	lmp:MUO_01315
ko:K00991	lmp:MUO_01325
ko:K01770	lmp:MUO_01330
ko:K00640	lmp:MUO_01340
ko:K01883	lmp:MUO_01345
ko:K11145	lmp:MUO_01350
ko:K03218	lmp:MUO_01355
ko:K06962	lmp:MUO_01360
ko:K03091	lmp:MUO_01365
ko:K02913	lmp:MUO_01370
ko:K03073	lmp:MUO_01375
ko:K02601	lmp:MUO_01380
ko:K02867	lmp:MUO_01390
ko:K02759	lmp:MUO_01700
ko:K03707	lmp:MUO_01750
ko:K00878	lmp:MUO_01755
ko:K00941	lmp:MUO_01760
ko:K00788	lmp:MUO_01765
ko:K01223	lmp:MUO_01770
ko:K00615	lmp:MUO_01895
ko:K01808	lmp:MUO_01910
ko:K01803	lmp:MUO_01915
ko:K05879	lmp:MUO_01920
ko:K05878	lmp:MUO_01925
ko:K02769	lmp:MUO_01980
ko:K02770	lmp:MUO_01980
ko:K01624	lmp:MUO_01985
ko:K06193	lmp:MUO_02025
ko:K03924	lmp:MUO_02535
ko:K09703	lmp:MUO_02550
ko:K06885	lmp:MUO_02625
ko:K06941	lmp:MUO_02655
ko:K13653	lmp:MUO_02660
ko:K02911	lmp:MUO_02690
ko:K08325	lmp:MUO_03020
ko:K03305	lmp:MUO_03025
ko:K00262	lmp:MUO_03050
ko:K02500	lmp:MUO_03065
ko:K01814	lmp:MUO_03070
ko:K02501	lmp:MUO_03075
ko:K01693	lmp:MUO_03080
ko:K00013	lmp:MUO_03085
ko:K00765	lmp:MUO_03090
ko:K02502	lmp:MUO_03095
ko:K04486	lmp:MUO_03100
ko:K07443	lmp:MUO_03105
ko:K06901	lmp:MUO_03115
ko:K06999	lmp:MUO_03150
ko:K06969	lmp:MUO_03155
ko:K03070	lmp:MUO_03165
ko:K01669	lmp:MUO_03190
ko:K00641	lmp:MUO_03220
ko:K01740	lmp:MUO_03225
ko:K03523	lmp:MUO_03240
ko:K02419	lmp:MUO_03725
ko:K02420	lmp:MUO_03730
ko:K02421	lmp:MUO_03735
ko:K02401	lmp:MUO_03740
ko:K02400	lmp:MUO_03745
ko:K02404	lmp:MUO_03750
ko:K02392	lmp:MUO_03755
ko:K02556	lmp:MUO_03770
ko:K02557	lmp:MUO_03775
ko:K03415	lmp:MUO_03790
ko:K02406	lmp:MUO_03795
ko:K03413	lmp:MUO_03800
ko:K03407	lmp:MUO_03805
ko:K02417	lmp:MUO_03810
ko:K02389	lmp:MUO_03825
ko:K02390	lmp:MUO_03830
ko:K02417	lmp:MUO_03835
ko:K02416	lmp:MUO_03840
ko:K02417	lmp:MUO_03845
ko:K09770	lmp:MUO_03860
ko:K02396	lmp:MUO_03870
ko:K02397	lmp:MUO_03875
ko:K02407	lmp:MUO_03880
ko:K02422	lmp:MUO_03885
ko:K02387	lmp:MUO_03895
ko:K02388	lmp:MUO_03900
ko:K02408	lmp:MUO_03905
ko:K02409	lmp:MUO_03910
ko:K02410	lmp:MUO_03915
ko:K02411	lmp:MUO_03920
ko:K02412	lmp:MUO_03925
ko:K00847	lmp:MUO_04320
ko:K03324	lmp:MUO_04400
ko:K03737	lmp:MUO_04405
ko:K04041	lmp:MUO_04410
ko:K07088	lmp:MUO_04415
ko:K13256	lmp:MUO_04440
ko:K01921	lmp:MUO_04535
ko:K01929	lmp:MUO_04540
ko:K02529	lmp:MUO_04550
ko:K01223	lmp:MUO_04865
ko:K07089	lmp:MUO_04880
ko:K03652	lmp:MUO_04915
ko:K03800	lmp:MUO_04930
ko:K03216	lmp:MUO_04950
ko:K04079	lmp:MUO_04980
ko:K04047	lmp:MUO_04985
ko:K03449	lmp:MUO_05005
ko:K01443	lmp:MUO_05050
ko:K03710	lmp:MUO_05060
ko:K08303	lmp:MUO_05075
ko:K03744	lmp:MUO_05080
ko:K03799	lmp:MUO_05085
ko:K00858	lmp:MUO_05110
ko:K06180	lmp:MUO_05115
ko:K00208	lmp:MUO_05120
ko:K03740	lmp:MUO_05125
ko:K14188	lmp:MUO_05130
ko:K03739	lmp:MUO_05135
ko:K03367	lmp:MUO_05140
ko:K01807	lmp:MUO_05150
ko:K03752	lmp:MUO_05465
ko:K02018	lmp:MUO_05475
