ko:K07005	bmal:DM55_4437
ko:K01126	bmal:DM55_4095
ko:K11735	bmal:DM55_4098
ko:K00331	bmal:DM55_4100
ko:K06942	bmal:DM55_4102
ko:K03981	bmal:DM55_4106
ko:K15552	bmal:DM55_4905
ko:K10831	bmal:DM55_4906
ko:K15551	bmal:DM55_4907
ko:K03119	bmal:DM55_4908
ko:K00694	bmal:DM55_4911
ko:K07154	bmal:DM55_4920
ko:K12255	bmal:DM55_4923
ko:K03219	bmal:DM55_4929
ko:K02669	bmal:DM55_4939
ko:K07657	bmal:DM55_4941
ko:K01104	bmal:DM55_348
ko:K03527	bmal:DM55_356
ko:K03774	bmal:DM55_357
ko:K03630	bmal:DM55_358
ko:K02902	bmal:DM55_359
ko:K02913	bmal:DM55_360
ko:K00278	bmal:DM55_361
ko:K00767	bmal:DM55_362
ko:K03517	bmal:DM55_363
ko:K03500	bmal:DM55_366
ko:K11175	bmal:DM55_367
ko:K11753	bmal:DM55_368
ko:K01870	bmal:DM55_369
ko:K03101	bmal:DM55_370
ko:K13038	bmal:DM55_371
ko:K03694	bmal:DM55_378
ko:K06891	bmal:DM55_379
ko:K03704	bmal:DM55_382
ko:K00939	bmal:DM55_385
ko:K00979	bmal:DM55_386
ko:K09791	bmal:DM55_387
ko:K00912	bmal:DM55_388
ko:K03601	bmal:DM55_389
ko:K04564	bmal:DM55_390
ko:K03650	bmal:DM55_394
ko:K03217	bmal:DM55_396
ko:K08998	bmal:DM55_397
ko:K03536	bmal:DM55_398
ko:K02914	bmal:DM55_399
ko:K02049	bmal:DM55_1200
ko:K02051	bmal:DM55_1201
ko:K02421	bmal:DM55_1205
ko:K02420	bmal:DM55_1206
ko:K02419	bmal:DM55_1207
ko:K03600	bmal:DM55_1212
ko:K03599	bmal:DM55_1213
ko:K00413	bmal:DM55_1214
ko:K00412	bmal:DM55_1215
ko:K00411	bmal:DM55_1216
ko:K03118	bmal:DM55_1219
ko:K03117	bmal:DM55_1220
ko:K03116	bmal:DM55_1221
ko:K02503	bmal:DM55_1222
ko:K01523	bmal:DM55_1224
ko:K01496	bmal:DM55_1225
ko:K02500	bmal:DM55_1226
ko:K01814	bmal:DM55_1227
ko:K02501	bmal:DM55_1228
ko:K05595	bmal:DM55_1229
ko:K01693	bmal:DM55_1230
ko:K00817	bmal:DM55_1231
ko:K00013	bmal:DM55_1232
ko:K00765	bmal:DM55_1233
ko:K00790	bmal:DM55_1234
ko:K01992	bmal:DM55_1236
ko:K01990	bmal:DM55_1237
ko:K07122	bmal:DM55_1238
ko:K07323	bmal:DM55_1239
ko:K04754	bmal:DM55_1240
ko:K02067	bmal:DM55_1241
ko:K02066	bmal:DM55_1242
ko:K02065	bmal:DM55_1243
ko:K00788	bmal:DM55_1244
ko:K03149	bmal:DM55_1245
ko:K03154	bmal:DM55_1246
ko:K03153	bmal:DM55_1247
ko:K02471	bmal:DM55_1248
ko:K01975	bmal:DM55_1249
ko:K16092	bmal:DM55_2046
ko:K02015	bmal:DM55_2047
ko:K02013	bmal:DM55_2048
ko:K00768	bmal:DM55_2049
ko:K02233	bmal:DM55_2050
ko:K02226	bmal:DM55_2051
ko:K02016	bmal:DM55_2053
ko:K02225	bmal:DM55_2054
ko:K02227	bmal:DM55_2055
ko:K02231	bmal:DM55_2056
ko:K02232	bmal:DM55_2057
ko:K15977	bmal:DM55_2058
ko:K01579	bmal:DM55_2060
ko:K01918	bmal:DM55_2061
ko:K05896	bmal:DM55_2062
ko:K09800	bmal:DM55_2065
ko:K01874	bmal:DM55_2068
ko:K03593	bmal:DM55_2070
ko:K01494	bmal:DM55_2072
ko:K01584	bmal:DM55_2073
ko:K01755	bmal:DM55_2076
ko:K07347	bmal:DM55_2077
ko:K07346	bmal:DM55_2078
ko:K03322	bmal:DM55_2083
ko:K07346	bmal:DM55_2092
ko:K07347	bmal:DM55_2093
ko:K07687	bmal:DM55_2096
ko:K07345	bmal:DM55_2887
ko:K07347	bmal:DM55_2889
ko:K07345	bmal:DM55_2890
ko:K07687	bmal:DM55_2897
ko:K10009	bmal:DM55_2902
ko:K02424	bmal:DM55_2903
ko:K00254	bmal:DM55_2904
ko:K00684	bmal:DM55_2906
ko:K04091	bmal:DM55_2914
ko:K15554	bmal:DM55_2915
ko:K15555	bmal:DM55_2916
ko:K07180	bmal:DM55_2924
ko:K09786	bmal:DM55_2925
ko:K02051	bmal:DM55_2928
ko:K02049	bmal:DM55_2930
ko:K02050	bmal:DM55_2931
ko:K02651	bmal:DM55_2932
ko:K02278	bmal:DM55_2933
ko:K02279	bmal:DM55_2934
ko:K02280	bmal:DM55_2935
ko:K02282	bmal:DM55_2937
ko:K02283	bmal:DM55_2938
ko:K02480	bmal:DM55_3742
ko:K03825	bmal:DM55_3747
ko:K01426	bmal:DM55_3749
ko:K05366	bmal:DM55_3753
ko:K07002	bmal:DM55_3762
ko:K03119	bmal:DM55_3765
ko:K03556	bmal:DM55_3768
ko:K00666	bmal:DM55_3769
ko:K13993	bmal:DM55_3771
ko:K07028	bmal:DM55_3776
ko:K03333	bmal:DM55_3781
ko:K00166	bmal:DM55_3786
ko:K10112	bmal:DM55_4584
ko:K05351	bmal:DM55_4585
ko:K02026	bmal:DM55_4586
ko:K02025	bmal:DM55_4587
ko:K02027	bmal:DM55_4588
ko:K16074	bmal:DM55_4592
ko:K07044	bmal:DM55_4597
ko:K03455	bmal:DM55_4599
ko:K02058	bmal:DM55_4601
ko:K03587	bmal:DM55_4602
ko:K01497	bmal:DM55_4611
ko:K18139	bmal:DM55_4612
ko:K18307	bmal:DM55_4613
ko:K18306	bmal:DM55_4614
ko:K03798	bmal:DM55_4618
ko:K03758	bmal:DM55_4620
ko:K09129	bmal:DM55_4623
ko:K15725	bmal:DM55_4626
ko:K15727	bmal:DM55_4627
ko:K07665	bmal:DM55_4630
ko:K07644	bmal:DM55_4631
ko:K07213	bmal:DM55_564
ko:K01533	bmal:DM55_565
ko:K03744	bmal:DM55_566
ko:K06872	bmal:DM55_567
ko:K07798	bmal:DM55_571
ko:K07787	bmal:DM55_572
ko:K00820	bmal:DM55_575
ko:K04042	bmal:DM55_576
ko:K14058	bmal:DM55_577
ko:K01633	bmal:DM55_578
ko:K00847	bmal:DM55_583
ko:K14347	bmal:DM55_587
ko:K01077	bmal:DM55_594
ko:K01077	bmal:DM55_595
ko:K06201	bmal:DM55_597
ko:K01012	bmal:DM55_598
ko:K01935	bmal:DM55_599
ko:K00652	bmal:DM55_600
ko:K00833	bmal:DM55_601
ko:K09858	bmal:DM55_603
ko:K00626	bmal:DM55_605
ko:K01673	bmal:DM55_606
ko:K00906	bmal:DM55_607
ko:K12368	bmal:DM55_610
ko:K06996	bmal:DM55_1415
ko:K00325	bmal:DM55_1417
ko:K00324	bmal:DM55_1418
ko:K00324	bmal:DM55_1419
ko:K00566	bmal:DM55_1421
ko:K00799	bmal:DM55_1423
ko:K01262	bmal:DM55_1424
ko:K03185	bmal:DM55_1425
ko:K05540	bmal:DM55_1426
ko:K03557	bmal:DM55_1427
ko:K00602	bmal:DM55_1428
ko:K01159	bmal:DM55_1429
ko:K03550	bmal:DM55_1430
ko:K03551	bmal:DM55_1431
ko:K07560	bmal:DM55_1435
ko:K01866	bmal:DM55_1436
ko:K09001	bmal:DM55_1437
ko:K15724	bmal:DM55_1441
ko:K02996	bmal:DM55_1442
ko:K02871	bmal:DM55_1443
ko:K01626	bmal:DM55_1445
ko:K03568	bmal:DM55_1446
ko:K00982	bmal:DM55_1449
ko:K03631	bmal:DM55_1450
ko:K00858	bmal:DM55_1451
ko:K03705	bmal:DM55_1452
ko:K01772	bmal:DM55_1453
ko:K04762	bmal:DM55_1454
ko:K03687	bmal:DM55_1455
ko:K04043	bmal:DM55_1457
ko:K03686	bmal:DM55_1458
ko:K03342	bmal:DM55_1459
ko:K06187	bmal:DM55_1
ko:K09747	bmal:DM55_2
ko:K02343	bmal:DM55_3
ko:K03671	bmal:DM55_4
ko:K03628	bmal:DM55_5
ko:K09933	bmal:DM55_8
ko:K02909	bmal:DM55_9
ko:K03327	bmal:DM55_11
ko:K01607	bmal:DM55_12
ko:K03695	bmal:DM55_16
ko:K13771	bmal:DM55_17
ko:K06886	bmal:DM55_18
ko:K03635	bmal:DM55_19
ko:K03636	bmal:DM55_20
ko:K03750	bmal:DM55_21
ko:K01733	bmal:DM55_22
ko:K00003	bmal:DM55_23
ko:K14260	bmal:DM55_24
ko:K00057	bmal:DM55_827
ko:K03216	bmal:DM55_829
ko:K02169	bmal:DM55_831
ko:K02275	bmal:DM55_833
ko:K02274	bmal:DM55_834
ko:K02258	bmal:DM55_835
ko:K02276	bmal:DM55_837
ko:K02259	bmal:DM55_841
ko:K07152	bmal:DM55_843
ko:K03406	bmal:DM55_845
ko:K02073	bmal:DM55_846
ko:K04046	bmal:DM55_848
ko:K09941	bmal:DM55_852
ko:K01256	bmal:DM55_857
ko:K13408	bmal:DM55_860
ko:K13409	bmal:DM55_861
ko:K12340	bmal:DM55_862
ko:K11891	bmal:DM55_865
ko:K11890	bmal:DM55_866
ko:K03286	bmal:DM55_867
ko:K11902	bmal:DM55_868
ko:K11907	bmal:DM55_869
ko:K11895	bmal:DM55_871
ko:K11896	bmal:DM55_872
ko:K11897	bmal:DM55_873
ko:K00459	bmal:DM55_876
ko:K01061	bmal:DM55_877
ko:K00297	bmal:DM55_879
ko:K08972	bmal:DM55_880
ko:K01251	bmal:DM55_881
ko:K03637	bmal:DM55_1680
ko:K07019	bmal:DM55_1683
ko:K02843	bmal:DM55_1685
ko:K00826	bmal:DM55_1687
ko:K00927	bmal:DM55_1690
ko:K00873	bmal:DM55_1691
ko:K01624	bmal:DM55_1692
ko:K01923	bmal:DM55_1693
ko:K01588	bmal:DM55_1694
ko:K01589	bmal:DM55_1695
ko:K07566	bmal:DM55_1696
ko:K07259	bmal:DM55_1700
ko:K02484	bmal:DM55_1702
ko:K03577	bmal:DM55_1707
ko:K03585	bmal:DM55_1708
ko:K18139	bmal:DM55_1710
ko:K00854	bmal:DM55_1717
ko:K00121	bmal:DM55_1719
ko:K01070	bmal:DM55_1720
ko:K02075	bmal:DM55_1721
ko:K02074	bmal:DM55_1722
ko:K02077	bmal:DM55_1723
ko:K09823	bmal:DM55_1724
ko:K00847	bmal:DM55_1726
ko:K16371	bmal:DM55_1727
ko:K05973	bmal:DM55_2514
ko:K03466	bmal:DM55_2518
ko:K08289	bmal:DM55_2520
ko:K01894	bmal:DM55_2524
ko:K07146	bmal:DM55_2525
ko:K02337	bmal:DM55_2526
ko:K11085	bmal:DM55_2527
ko:K02849	bmal:DM55_2532
ko:K03088	bmal:DM55_2539
ko:K16345	bmal:DM55_2545
ko:K08301	bmal:DM55_2546
ko:K06287	bmal:DM55_2547
ko:K00783	bmal:DM55_2548
ko:K09710	bmal:DM55_2549
ko:K00969	bmal:DM55_2550
ko:K00228	bmal:DM55_2551
ko:K01945	bmal:DM55_2552
ko:K00761	bmal:DM55_2554
ko:K00059	bmal:DM55_2555
ko:K01734	bmal:DM55_2557
ko:K01546	bmal:DM55_2560
ko:K01547	bmal:DM55_2561
ko:K01548	bmal:DM55_2562
ko:K07646	bmal:DM55_2564
ko:K01753	bmal:DM55_3361
ko:K01753	bmal:DM55_3362
ko:K04487	bmal:DM55_3368
ko:K00101	bmal:DM55_3372
ko:K16856	bmal:DM55_3373
ko:K10823	bmal:DM55_3386
ko:K15583	bmal:DM55_3387
ko:K15582	bmal:DM55_3388
ko:K15581	bmal:DM55_3389
ko:K15580	bmal:DM55_3390
ko:K03305	bmal:DM55_3392
ko:K03086	bmal:DM55_3401
ko:K09117	bmal:DM55_3403
ko:K02970	bmal:DM55_3404
ko:K07007	bmal:DM55_3405
ko:K01409	bmal:DM55_3406
ko:K09007	bmal:DM55_3407
ko:K01662	bmal:DM55_3408
ko:K00795	bmal:DM55_3409
ko:K03602	bmal:DM55_3410
ko:K00606	bmal:DM55_1460
ko:K00950	bmal:DM55_1462
ko:K00970	bmal:DM55_1463
ko:K10763	bmal:DM55_1465
ko:K02621	bmal:DM55_2254
ko:K06016	bmal:DM55_2260
ko:K07240	bmal:DM55_2262
ko:K01784	bmal:DM55_2269
ko:K15778	bmal:DM55_2273
ko:K02841	bmal:DM55_2274
ko:K02527	bmal:DM55_2276
ko:K03189	bmal:DM55_2277
ko:K03188	bmal:DM55_2278
ko:K03187	bmal:DM55_2279
ko:K01428	bmal:DM55_2280
ko:K01429	bmal:DM55_2281
ko:K01430	bmal:DM55_2282
ko:K03190	bmal:DM55_2283
ko:K11963	bmal:DM55_2284
ko:K11962	bmal:DM55_2285
ko:K11961	bmal:DM55_2286
ko:K11960	bmal:DM55_2287
ko:K11959	bmal:DM55_2288
ko:K00822	bmal:DM55_2289
ko:K00573	bmal:DM55_2291
ko:K06940	bmal:DM55_2294
ko:K06153	bmal:DM55_2296
ko:K03439	bmal:DM55_2297
ko:K06199	bmal:DM55_2302
ko:K02221	bmal:DM55_2304
ko:K00612	bmal:DM55_3103
ko:K01434	bmal:DM55_3104
ko:K01807	bmal:DM55_3110
ko:K11066	bmal:DM55_3111
ko:K03218	bmal:DM55_3112
ko:K12573	bmal:DM55_3113
ko:K03406	bmal:DM55_3117
ko:K01114	bmal:DM55_3118
ko:K08178	bmal:DM55_3123
ko:K01897	bmal:DM55_3125
ko:K03666	bmal:DM55_3128
ko:K12511	bmal:DM55_3134
ko:K12510	bmal:DM55_3135
ko:K02283	bmal:DM55_3136
ko:K02282	bmal:DM55_3137
ko:K02280	bmal:DM55_3138
ko:K02279	bmal:DM55_3139
ko:K02278	bmal:DM55_3141
ko:K02651	bmal:DM55_3142
ko:K11074	bmal:DM55_3146
ko:K11075	bmal:DM55_3147
ko:K11076	bmal:DM55_3148
ko:K11073	bmal:DM55_3149
ko:K03322	bmal:DM55_3150
ko:K05596	bmal:DM55_3948
ko:K05366	bmal:DM55_3950
ko:K02013	bmal:DM55_3952
ko:K02015	bmal:DM55_3953
ko:K02016	bmal:DM55_3955
ko:K07225	bmal:DM55_3956
ko:K16087	bmal:DM55_3957
ko:K02053	bmal:DM55_3960
ko:K02052	bmal:DM55_3961
ko:K02055	bmal:DM55_3962
ko:K02053	bmal:DM55_3963
ko:K06966	bmal:DM55_3964
ko:K01808	bmal:DM55_3967
ko:K17207	bmal:DM55_3968
ko:K17206	bmal:DM55_3969
ko:K17205	bmal:DM55_3970
ko:K00065	bmal:DM55_3971
ko:K05878	bmal:DM55_3973
ko:K05879	bmal:DM55_3974
ko:K03559	bmal:DM55_3979
ko:K03561	bmal:DM55_3980
ko:K03832	bmal:DM55_3981
ko:K02192	bmal:DM55_3982
ko:K01776	bmal:DM55_3983
ko:K03594	bmal:DM55_3984
ko:K01676	bmal:DM55_3985
ko:K01895	bmal:DM55_3989
ko:K14393	bmal:DM55_3991
ko:K03387	bmal:DM55_3996
ko:K03386	bmal:DM55_3997
ko:K18383	bmal:DM55_4800
ko:K06995	bmal:DM55_4803
ko:K13874	bmal:DM55_4804
ko:K10538	bmal:DM55_4805
ko:K01114	bmal:DM55_4813
ko:K00428	bmal:DM55_4815
ko:K01485	bmal:DM55_4822
ko:K10974	bmal:DM55_4824
ko:K01266	bmal:DM55_4831
ko:K06911	bmal:DM55_4844
ko:K07044	bmal:DM55_4215
ko:K15553	bmal:DM55_4219
ko:K03823	bmal:DM55_4221
ko:K03406	bmal:DM55_4224
ko:K10716	bmal:DM55_4229
ko:K01607	bmal:DM55_4231
ko:K06194	bmal:DM55_4238
ko:K17836	bmal:DM55_4239
ko:K03566	bmal:DM55_4240
ko:K02034	bmal:DM55_4244
ko:K02033	bmal:DM55_4245
ko:K02035	bmal:DM55_4246
ko:K08641	bmal:DM55_4247
ko:K11904	bmal:DM55_4251
ko:K12685	bmal:DM55_4255
ko:K07394	bmal:DM55_4256
ko:K02035	bmal:DM55_4257
ko:K01569	bmal:DM55_4258
ko:K03322	bmal:DM55_4259
ko:K01885	bmal:DM55_249
ko:K07001	bmal:DM55_250
ko:K13896	bmal:DM55_252
ko:K13895	bmal:DM55_253
ko:K13894	bmal:DM55_254
ko:K13893	bmal:DM55_255
ko:K00208	bmal:DM55_256
ko:K00528	bmal:DM55_259
ko:K03639	bmal:DM55_260
ko:K05524	bmal:DM55_261
ko:K01265	bmal:DM55_263
ko:K01755	bmal:DM55_265
ko:K00957	bmal:DM55_268
ko:K00831	bmal:DM55_270
ko:K00615	bmal:DM55_273
ko:K00615	bmal:DM55_274
ko:K03119	bmal:DM55_278
ko:K00860	bmal:DM55_285
ko:K00928	bmal:DM55_295
ko:K04075	bmal:DM55_296
