ko:K04042	cba:CLB_3626
ko:K06024	cba:CLB_1792
ko:K03177	cba:CLB_2279
ko:K02501	cba:CLB_1589
ko:K02500	cba:CLB_1592
ko:K07568	cba:CLB_3098
ko:K07023	cba:CLB_1612
ko:K07727	cba:CLB_2080
ko:K01735	cba:CLB_2084
ko:K02003	cba:CLB_2086
ko:K02821	cba:CLB_2091
ko:K00616	cba:CLB_2092
ko:K07816	cba:CLB_0224
ko:K01869	cba:CLB_0226
ko:K08303	cba:CLB_3153
ko:K05592	cba:CLB_2745
ko:K02916	cba:CLB_3166
ko:K03523	cba:CLB_0946
ko:K00558	cba:CLB_2811
ko:K03610	cba:CLB_3023
ko:K03615	cba:CLB_0411
ko:K01990	cba:CLB_0816
ko:K06425	cba:CLB_1265
ko:K03686	cba:CLB_2922
ko:K04652	cba:CLB_2159
ko:K04652	cba:CLB_0473
ko:K02600	cba:CLB_2285
ko:K03413	cba:CLB_2687
ko:K02621	cba:CLB_2712
ko:K03629	cba:CLB_0004
ko:K03608	cba:CLB_3021
ko:K02823	cba:CLB_3274
ko:K04066	cba:CLB_2384
ko:K02004	cba:CLB_1417
ko:K00266	cba:CLB_3360
ko:K02564	cba:CLB_2777
ko:K00266	cba:CLB_1662
ko:K06173	cba:CLB_3503
ko:K02404	cba:CLB_2588
ko:K10947	cba:CLB_0133
ko:K04567	cba:CLB_3593
ko:K09458	cba:CLB_3679
ko:K01963	cba:CLB_3675
ko:K03043	cba:CLB_3545
ko:K01056	cba:CLB_3621
ko:K01588	cba:CLB_2843
ko:K02428	cba:CLB_3318
ko:K02392	cba:CLB_2582
ko:K02406	cba:CLB_2671
ko:K02408	cba:CLB_2606
ko:K07173	cba:CLB_0766
ko:K00793	cba:CLB_2831
ko:K00282	cba:CLB_0737
ko:K02825	cba:CLB_1502
ko:K10793	cba:CLB_2349
ko:K00872	cba:CLB_1656
ko:K03046	cba:CLB_3544
ko:K01448	cba:CLB_3140
ko:K01448	cba:CLB_1457
ko:K00198	cba:CLB_2157
ko:K00198	cba:CLB_1359
ko:K02499	cba:CLB_3616
ko:K02411	cba:CLB_2603
ko:K02557	cba:CLB_2165
ko:K02388	cba:CLB_2607
ko:K02422	cba:CLB_2675
ko:K04477	cba:CLB_3435
ko:K02418	cba:CLB_2593
ko:K02556	cba:CLB_2595
ko:K02385	cba:CLB_2596
ko:K02390	cba:CLB_2597
ko:K00648	cba:CLB_0758
ko:K01738	cba:CLB_0765
ko:K01551	cba:CLB_0797
ko:K03325	cba:CLB_0798
ko:K00560	cba:CLB_0810
ko:K00845	cba:CLB_1622
ko:K00382	cba:CLB_0739
ko:K03800	cba:CLB_0740
ko:K01478	cba:CLB_1607
ko:K03758	cba:CLB_1608
ko:K03412	cba:CLB_2691
ko:K02233	cba:CLB_0862
ko:K09696	cba:CLB_2177
ko:K09697	cba:CLB_2178
ko:K00945	cba:CLB_1743
ko:K07007	cba:CLB_1745
ko:K03671	cba:CLB_1755
ko:K01387	cba:CLB_1638
ko:K00548	cba:CLB_1641
ko:K00627	cba:CLB_1650
ko:K00382	cba:CLB_1651
ko:K03800	cba:CLB_1652
ko:K05845	cba:CLB_1654
ko:K05846	cba:CLB_1654
ko:K01733	cba:CLB_1655
ko:K00928	cba:CLB_1657
ko:K00003	cba:CLB_1658
ko:K01775	cba:CLB_1676
ko:K06901	cba:CLB_1678
ko:K02035	cba:CLB_1688
ko:K02033	cba:CLB_1689
ko:K02034	cba:CLB_1690
ko:K02031	cba:CLB_1691
ko:K02032	cba:CLB_1691
ko:K00882	cba:CLB_1698
ko:K03704	cba:CLB_1707
ko:K03415	cba:CLB_1712
ko:K00243	cba:CLB_1714
ko:K01356	cba:CLB_1729
ko:K07112	cba:CLB_1601
ko:K06383	cba:CLB_2410
ko:K03531	cba:CLB_2411
ko:K03590	cba:CLB_2412
ko:K02669	cba:CLB_2415
ko:K00014	cba:CLB_2416
ko:K03205	cba:CLB_2425
ko:K03305	cba:CLB_1560
ko:K01737	cba:CLB_1575
ko:K01495	cba:CLB_1577
ko:K06920	cba:CLB_1578
ko:K01619	cba:CLB_1583
ko:K00852	cba:CLB_1584
ko:K00765	cba:CLB_1586
ko:K00013	cba:CLB_1587
ko:K01693	cba:CLB_1588
ko:K01814	cba:CLB_1590
ko:K00817	cba:CLB_1591
ko:K01496	cba:CLB_1593
ko:K01523	cba:CLB_1594
ko:K07112	cba:CLB_1597
ko:K00375	cba:CLB_0677
ko:K00283	cba:CLB_0738
ko:K02413	cba:CLB_2601
ko:K03091	cba:CLB_2480
ko:K00876	cba:CLB_2495
ko:K08303	cba:CLB_2496
ko:K07082	cba:CLB_2498
ko:K06207	cba:CLB_2499
ko:K07447	cba:CLB_2503
ko:K01872	cba:CLB_2505
ko:K04488	cba:CLB_2508
ko:K07478	cba:CLB_2511
ko:K07088	cba:CLB_2513
ko:K01750	cba:CLB_2516
ko:K03310	cba:CLB_2518
ko:K01952	cba:CLB_2521
ko:K00791	cba:CLB_1733
ko:K03572	cba:CLB_1734
ko:K07053	cba:CLB_2545
ko:K03284	cba:CLB_2547
ko:K06023	cba:CLB_2549
ko:K01462	cba:CLB_2564
ko:K02117	cba:CLB_2567
ko:K02122	cba:CLB_2568
ko:K01114	cba:CLB_2576
ko:K02392	cba:CLB_2581
ko:K02420	cba:CLB_2591
ko:K03488	cba:CLB_0692
ko:K07053	cba:CLB_0694
ko:K07322	cba:CLB_0697
ko:K09155	cba:CLB_0698
ko:K03312	cba:CLB_0700
ko:K01989	cba:CLB_0709
ko:K03088	cba:CLB_0713
ko:K03657	cba:CLB_0722
ko:K02016	cba:CLB_0725
ko:K02015	cba:CLB_0726
ko:K02015	cba:CLB_0727
ko:K02013	cba:CLB_0728
ko:K00605	cba:CLB_0735
ko:K02437	cba:CLB_0736
ko:K00611	cba:CLB_2534
ko:K00926	cba:CLB_2535
ko:K00600	cba:CLB_2536
ko:K06871	cba:CLB_0622
ko:K02003	cba:CLB_0629
ko:K01893	cba:CLB_0637
ko:K05837	cba:CLB_0655
ko:K00574	cba:CLB_0656
ko:K06878	cba:CLB_0662
ko:K06016	cba:CLB_0669
ko:K09790	cba:CLB_0674
ko:K03469	cba:CLB_0424
ko:K03470	cba:CLB_2305
ko:K04655	cba:CLB_1768
ko:K04654	cba:CLB_1769
ko:K04653	cba:CLB_1770
ko:K04656	cba:CLB_1771
ko:K06281	cba:CLB_1775
ko:K06282	cba:CLB_1776
ko:K02389	cba:CLB_2599
ko:K02663	cba:CLB_1838
ko:K02809	cba:CLB_1372
ko:K02810	cba:CLB_1372
ko:K02803	cba:CLB_2782
ko:K02804	cba:CLB_2782
ko:K02783	cba:CLB_3473
ko:K02650	cba:CLB_1844
ko:K04486	cba:CLB_2512
ko:K01515	cba:CLB_1804
ko:K07719	cba:CLB_0653
ko:K07717	cba:CLB_0654
ko:K11105	cba:CLB_1924
ko:K02755	cba:CLB_0693
ko:K02756	cba:CLB_0693
ko:K02757	cba:CLB_0693
ko:K03466	cba:CLB_2271
ko:K02622	cba:CLB_2713
ko:K04077	cba:CLB_3354
ko:K00661	cba:CLB_2098
ko:K06173	cba:CLB_1851
ko:K07650	cba:CLB_0340
ko:K01874	cba:CLB_0111
ko:K02822	cba:CLB_2090
ko:K03111	cba:CLB_3720
ko:K06958	cba:CLB_3433
ko:K01777	cba:CLB_2343
ko:K00567	cba:CLB_1552
ko:K07090	cba:CLB_2828
ko:K02652	cba:CLB_1846
ko:K07770	cba:CLB_0339
ko:K00812	cba:CLB_2262
ko:K05946	cba:CLB_3121
ko:K00868	cba:CLB_1414
ko:K03711	cba:CLB_2501
ko:K00298	cba:CLB_0555
ko:K03410	cba:CLB_2688
ko:K02443	cba:CLB_2711
ko:K00767	cba:CLB_1472
ko:K00278	cba:CLB_1473
ko:K03517	cba:CLB_1474
ko:K06407	cba:CLB_3113
ko:K06406	cba:CLB_3114
ko:K06405	cba:CLB_3115
ko:K03091	cba:CLB_3116
ko:K06379	cba:CLB_3117
ko:K03980	cba:CLB_3124
ko:K01448	cba:CLB_3139
ko:K00963	cba:CLB_3143
ko:K02897	cba:CLB_3146
ko:K09888	cba:CLB_3159
ko:K03437	cba:CLB_3162
ko:K03499	cba:CLB_3163
ko:K02887	cba:CLB_3165
ko:K10974	cba:CLB_2011
ko:K09705	cba:CLB_0773
ko:K03501	cba:CLB_3734
ko:K07584	cba:CLB_3013
ko:K08301	cba:CLB_3015
ko:K05837	cba:CLB_3020
ko:K03571	cba:CLB_3025
ko:K03570	cba:CLB_3026
ko:K03072	cba:CLB_3092
ko:K06871	cba:CLB_3093
ko:K03210	cba:CLB_3096
ko:K00773	cba:CLB_3097
ko:K03550	cba:CLB_3100
ko:K00760	cba:CLB_3110
ko:K00763	cba:CLB_1435
ko:K06179	cba:CLB_1458
ko:K11189	cba:CLB_2261
ko:K07304	cba:CLB_1415
ko:K07105	cba:CLB_0016
ko:K01270	cba:CLB_2833
ko:K11753	cba:CLB_2278
ko:K00686	cba:CLB_2236
ko:K01485	cba:CLB_2010
ko:K01270	cba:CLB_2172
ko:K00949	cba:CLB_2374
ko:K01854	cba:CLB_2626
ko:K01259	cba:CLB_1972
ko:K00027	cba:CLB_0251
ko:K00027	cba:CLB_0289
ko:K11041	cba:CLB_1543
ko:K02502	cba:CLB_1585
ko:K02316	cba:CLB_2902
ko:K06178	cba:CLB_1748
ko:K02113	cba:CLB_0189
ko:K02110	cba:CLB_0187
ko:K03475	cba:CLB_2089
ko:K02416	cba:CLB_2685
ko:K02410	cba:CLB_2604
ko:K02419	cba:CLB_2592
ko:K04485	cba:CLB_3568
ko:K01448	cba:CLB_1449
ko:K03716	cba:CLB_0257
ko:K02417	cba:CLB_2684
ko:K02341	cba:CLB_0092
ko:K02687	cba:CLB_2921
ko:K03092	cba:CLB_0265
ko:K02396	cba:CLB_2681
ko:K02760	cba:CLB_3415
ko:K01892	cba:CLB_3084
ko:K03551	cba:CLB_3099
ko:K11175	cba:CLB_2839
ko:K02112	cba:CLB_0192
ko:K02111	cba:CLB_0190
ko:K02356	cba:CLB_1834
ko:K01681	cba:CLB_0451
ko:K07636	cba:CLB_2403
ko:K11068	cba:CLB_1609
ko:K03783	cba:CLB_1800
ko:K03655	cba:CLB_2368
ko:K02563	cba:CLB_2702
ko:K02588	cba:CLB_0729
ko:K01678	cba:CLB_3497
ko:K06183	cba:CLB_3330
ko:K11068	cba:CLB_1476
ko:K03657	cba:CLB_3328
ko:K02755	cba:CLB_0920
ko:K02756	cba:CLB_0920
ko:K02757	cba:CLB_0920
ko:K02412	cba:CLB_2602
ko:K02114	cba:CLB_0193
ko:K03497	cba:CLB_3733
ko:K04564	cba:CLB_2221
ko:K03529	cba:CLB_2316
ko:K05896	cba:CLB_1793
ko:K02818	cba:CLB_1927
ko:K02819	cba:CLB_1927
ko:K02108	cba:CLB_0186
ko:K03654	cba:CLB_1035
ko:K03076	cba:CLB_3517
ko:K04041	cba:CLB_0556
ko:K02446	cba:CLB_2558
ko:K09685	cba:CLB_3628
ko:K01924	cba:CLB_3629
ko:K07139	cba:CLB_3636
ko:K04070	cba:CLB_3639
ko:K01776	cba:CLB_3644
ko:K01915	cba:CLB_3645
ko:K00790	cba:CLB_3647
ko:K00783	cba:CLB_3651
ko:K01265	cba:CLB_3657
ko:K01012	cba:CLB_3662
ko:K03150	cba:CLB_3663
ko:K03307	cba:CLB_3665
ko:K09936	cba:CLB_3669
ko:K01262	cba:CLB_2205
ko:K02342	cba:CLB_0299
ko:K03518	cba:CLB_0304
ko:K06196	cba:CLB_0306
ko:K02777	cba:CLB_0315
ko:K02003	cba:CLB_0318
ko:K03704	cba:CLB_0326
ko:K00645	cba:CLB_3681
ko:K02371	cba:CLB_3682
ko:K02078	cba:CLB_3683
ko:K09773	cba:CLB_3704
ko:K07007	cba:CLB_3706
ko:K01939	cba:CLB_3709
ko:K07137	cba:CLB_3710
ko:K02314	cba:CLB_3713
ko:K01338	cba:CLB_3714
ko:K02939	cba:CLB_3715
ko:K00864	cba:CLB_2727
ko:K02440	cba:CLB_2728
ko:K07118	cba:CLB_0330
ko:K01687	cba:CLB_0335
ko:K00874	cba:CLB_0337
ko:K01486	cba:CLB_0338
ko:K02016	cba:CLB_0350
ko:K00384	cba:CLB_1287
ko:K03671	cba:CLB_1288
ko:K00899	cba:CLB_1295
ko:K08963	cba:CLB_1296
ko:K06215	cba:CLB_2743
ko:K01425	cba:CLB_2751
ko:K00174	cba:CLB_3479
ko:K00176	cba:CLB_3480
ko:K00929	cba:CLB_3482
ko:K00929	cba:CLB_3484
ko:K07137	cba:CLB_3485
ko:K00384	cba:CLB_3489
ko:K03671	cba:CLB_3490
ko:K00928	cba:CLB_3395
ko:K03798	cba:CLB_3400
ko:K01439	cba:CLB_3401
ko:K01881	cba:CLB_3402
ko:K01611	cba:CLB_3421
ko:K00873	cba:CLB_3428
ko:K00850	cba:CLB_3429
ko:K09762	cba:CLB_3431
ko:K00075	cba:CLB_3434
ko:K03701	cba:CLB_3442
ko:K03702	cba:CLB_3443
ko:K03797	cba:CLB_3445
ko:K00615	cba:CLB_3450
ko:K03307	cba:CLB_0410
ko:K01223	cba:CLB_1232
ko:K01866	cba:CLB_1234
ko:K01752	cba:CLB_1243
ko:K01752	cba:CLB_1244
ko:K02003	cba:CLB_1253
ko:K02034	cba:CLB_1254
ko:K02033	cba:CLB_1255
ko:K02035	cba:CLB_1256
ko:K02825	cba:CLB_2764
ko:K01975	cba:CLB_2769
ko:K01443	cba:CLB_2778
ko:K03710	cba:CLB_2779
ko:K02963	cba:CLB_3719
ko:K02990	cba:CLB_3721
ko:K00616	cba:CLB_1321
ko:K03310	cba:CLB_1323
ko:K02654	cba:CLB_1343
ko:K06897	cba:CLB_2233
ko:K01462	cba:CLB_2234
ko:K03088	cba:CLB_2244
ko:K03495	cba:CLB_3735
ko:K03650	cba:CLB_3736
ko:K06346	cba:CLB_3737
ko:K03217	cba:CLB_3738
ko:K08998	cba:CLB_3739
ko:K03536	cba:CLB_3740
ko:K02914	cba:CLB_3741
ko:K02796	cba:CLB_2788
ko:K07141	cba:CLB_2792
ko:K01756	cba:CLB_2259
ko:K06416	cba:CLB_2266
ko:K00995	cba:CLB_2269
ko:K00928	cba:CLB_2273
ko:K00962	cba:CLB_2276
ko:K02956	cba:CLB_2277
ko:K02834	cba:CLB_2281
ko:K02519	cba:CLB_2282
ko:K07742	cba:CLB_2284
ko:K09748	cba:CLB_2286
ko:K03695	cba:CLB_0434
ko:K07009	cba:CLB_0435
ko:K06153	cba:CLB_0439
ko:K01531	cba:CLB_2835
ko:K01945	cba:CLB_2837
ko:K01933	cba:CLB_2840
ko:K00764	cba:CLB_2841
ko:K01923	cba:CLB_2842
ko:K01464	cba:CLB_2850
ko:K01751	cba:CLB_2852
ko:K07141	cba:CLB_2855
ko:K07402	cba:CLB_2856
ko:K07402	cba:CLB_2857
ko:K02015	cba:CLB_2859
ko:K02013	cba:CLB_2860
ko:K02016	cba:CLB_2861
ko:K06901	cba:CLB_2865
ko:K03310	cba:CLB_2866
ko:K00566	cba:CLB_2868
ko:K03147	cba:CLB_2874
ko:K09764	cba:CLB_2876
ko:K02238	cba:CLB_0448
ko:K00655	cba:CLB_0449
ko:K09779	cba:CLB_0455
ko:K01579	cba:CLB_0456
ko:K01918	cba:CLB_0457
ko:K00606	cba:CLB_0458
ko:K01258	cba:CLB_0480
ko:K00806	cba:CLB_1355
ko:K02016	cba:CLB_1365
ko:K02015	cba:CLB_1366
ko:K02013	cba:CLB_1367
ko:K02858	cba:CLB_2882
ko:K01126	cba:CLB_2889
ko:K07164	cba:CLB_2897
ko:K06967	cba:CLB_2899
ko:K03086	cba:CLB_2901
ko:K01129	cba:CLB_2903
ko:K01006	cba:CLB_2905
ko:K03595	cba:CLB_2909
ko:K01489	cba:CLB_2910
