ko:K19744	pfc:PflA506_2228
ko:K02956	pfc:PflA506_4542
ko:K00574	pfc:PflA506_0733
ko:K09701	pfc:PflA506_0734
ko:K01669	pfc:PflA506_0738
ko:K06955	pfc:PflA506_0742
ko:K07071	pfc:PflA506_0743
ko:K01772	pfc:PflA506_0744
ko:K04691	pfc:PflA506_0746
ko:K00957	pfc:PflA506_0748
ko:K00955	pfc:PflA506_0749
ko:K13788	pfc:PflA506_0751
ko:K03775	pfc:PflA506_0752
ko:K02968	pfc:PflA506_0753
ko:K03980	pfc:PflA506_0754
ko:K11753	pfc:PflA506_0755
ko:K01870	pfc:PflA506_0756
ko:K02313	pfc:PflA506_0001
ko:K02338	pfc:PflA506_0002
ko:K03629	pfc:PflA506_0003
ko:K02470	pfc:PflA506_0004
ko:K00655	pfc:PflA506_0007
ko:K03273	pfc:PflA506_0008
ko:K01879	pfc:PflA506_0009
ko:K01878	pfc:PflA506_0010
ko:K01246	pfc:PflA506_0011
ko:K02517	pfc:PflA506_0012
ko:K03500	pfc:PflA506_0015
ko:K00604	pfc:PflA506_0016
ko:K01462	pfc:PflA506_0017
ko:K04096	pfc:PflA506_0019
ko:K07566	pfc:PflA506_0020
ko:K00228	pfc:PflA506_0022
ko:K00014	pfc:PflA506_0023
ko:K02002	pfc:PflA506_0025
ko:K10253	pfc:PflA506_0028
ko:K00883	pfc:PflA506_0029
ko:K01631	pfc:PflA506_0030
ko:K01684	pfc:PflA506_0031
ko:K01695	pfc:PflA506_0034
ko:K01696	pfc:PflA506_0035
ko:K09165	pfc:PflA506_0038
ko:K01091	pfc:PflA506_0045
ko:K01414	pfc:PflA506_0047
ko:K07070	pfc:PflA506_0048
ko:K06152	pfc:PflA506_0050
ko:K06151	pfc:PflA506_0051
ko:K00411	pfc:PflA506_0832
ko:K00412	pfc:PflA506_0833
ko:K00413	pfc:PflA506_0834
ko:K03599	pfc:PflA506_0835
ko:K03600	pfc:PflA506_0836
ko:K01707	pfc:PflA506_0839
ko:K07088	pfc:PflA506_0843
ko:K07301	pfc:PflA506_0845
ko:K03642	pfc:PflA506_0846
ko:K02434	pfc:PflA506_0847
ko:K02435	pfc:PflA506_0849
ko:K03569	pfc:PflA506_0850
ko:K03570	pfc:PflA506_0851
ko:K03571	pfc:PflA506_0852
ko:K06287	pfc:PflA506_0853
ko:K08301	pfc:PflA506_0854
ko:K03568	pfc:PflA506_0857
ko:K09889	pfc:PflA506_0858
ko:K03592	pfc:PflA506_0859
ko:K04564	pfc:PflA506_0863
ko:K07238	pfc:PflA506_0864
ko:K06958	pfc:PflA506_0866
ko:K05808	pfc:PflA506_0868
ko:K03092	pfc:PflA506_0869
ko:K06861	pfc:PflA506_0870
ko:K09774	pfc:PflA506_0871
ko:K11719	pfc:PflA506_0872
ko:K03270	pfc:PflA506_0873
ko:K06041	pfc:PflA506_0874
ko:K02065	pfc:PflA506_0875
ko:K02066	pfc:PflA506_0876
ko:K07323	pfc:PflA506_0878
ko:K00790	pfc:PflA506_0881
ko:K00116	pfc:PflA506_1666
ko:K06966	pfc:PflA506_1672
ko:K02034	pfc:PflA506_1686
ko:K08963	pfc:PflA506_1694
ko:K02469	pfc:PflA506_1695
ko:K00831	pfc:PflA506_1696
ko:K14170	pfc:PflA506_1697
ko:K00817	pfc:PflA506_1698
ko:K00945	pfc:PflA506_1700
ko:K02945	pfc:PflA506_1701
ko:K05788	pfc:PflA506_1703
ko:K00973	pfc:PflA506_1706
ko:K02805	pfc:PflA506_1707
ko:K06076	pfc:PflA506_2499
ko:K03547	pfc:PflA506_2513
ko:K03924	pfc:PflA506_2521
ko:K15371	pfc:PflA506_2523
ko:K11103	pfc:PflA506_2526
ko:K01246	pfc:PflA506_2527
ko:K02112	pfc:PflA506_5419
ko:K02115	pfc:PflA506_5420
ko:K02111	pfc:PflA506_5421
ko:K02113	pfc:PflA506_5422
ko:K02109	pfc:PflA506_5423
ko:K02110	pfc:PflA506_5424
ko:K02108	pfc:PflA506_5425
ko:K03501	pfc:PflA506_5429
ko:K03495	pfc:PflA506_5430
ko:K03088	pfc:PflA506_5431
ko:K03650	pfc:PflA506_5434
ko:K03217	pfc:PflA506_5435
ko:K03536	pfc:PflA506_5436
ko:K00375	pfc:PflA506_2529
ko:K03837	pfc:PflA506_2537
ko:K01682	pfc:PflA506_2542
ko:K06938	pfc:PflA506_2543
ko:K06169	pfc:PflA506_2546
ko:K07090	pfc:PflA506_3332
ko:K00166	pfc:PflA506_3337
ko:K00167	pfc:PflA506_3338
ko:K09699	pfc:PflA506_3339
ko:K00382	pfc:PflA506_3340
ko:K00826	pfc:PflA506_3341
ko:K10016	pfc:PflA506_3346
ko:K10015	pfc:PflA506_3347
ko:K10017	pfc:PflA506_3348
ko:K03088	pfc:PflA506_3353
ko:K13888	pfc:PflA506_3354
ko:K05685	pfc:PflA506_3355
ko:K01999	pfc:PflA506_3359
ko:K01997	pfc:PflA506_3360
ko:K01998	pfc:PflA506_3361
ko:K01995	pfc:PflA506_3362
ko:K01996	pfc:PflA506_3363
ko:K02529	pfc:PflA506_3368
ko:K01462	pfc:PflA506_4137
ko:K07058	pfc:PflA506_4138
ko:K09954	pfc:PflA506_4146
ko:K01625	pfc:PflA506_4148
ko:K01057	pfc:PflA506_4149
ko:K00036	pfc:PflA506_4150
ko:K07267	pfc:PflA506_4153
ko:K05596	pfc:PflA506_4161
ko:K09964	pfc:PflA506_4162
ko:K06895	pfc:PflA506_4163
ko:K04564	pfc:PflA506_4164
ko:K07231	pfc:PflA506_4166
ko:K15034	pfc:PflA506_4171
ko:K06178	pfc:PflA506_4176
ko:K06024	pfc:PflA506_4178
ko:K05896	pfc:PflA506_4179
ko:K07053	pfc:PflA506_4181
ko:K06190	pfc:PflA506_4182
ko:K09780	pfc:PflA506_4183
ko:K03439	pfc:PflA506_5070
ko:K03149	pfc:PflA506_5071
ko:K03154	pfc:PflA506_5072
ko:K03814	pfc:PflA506_5074
ko:K03089	pfc:PflA506_5075
ko:K09811	pfc:PflA506_5076
ko:K09812	pfc:PflA506_5077
ko:K03110	pfc:PflA506_5078
ko:K00154	pfc:PflA506_5085
ko:K00954	pfc:PflA506_5088
ko:K06969	pfc:PflA506_5092
ko:K01687	pfc:PflA506_5094
ko:K06956	pfc:PflA506_5096
ko:K02012	pfc:PflA506_5102
ko:K02011	pfc:PflA506_5103
ko:K01534	pfc:PflA506_5106
ko:K13292	pfc:PflA506_5109
ko:K08484	pfc:PflA506_5111
ko:K08311	pfc:PflA506_5112
ko:K01754	pfc:PflA506_5115
ko:K01807	pfc:PflA506_5116
ko:K04762	pfc:PflA506_0264
ko:K04083	pfc:PflA506_0266
ko:K02279	pfc:PflA506_0627
ko:K07178	pfc:PflA506_0634
ko:K07552	pfc:PflA506_0639
ko:K08369	pfc:PflA506_0645
ko:K07300	pfc:PflA506_0647
ko:K00822	pfc:PflA506_0654
ko:K00140	pfc:PflA506_0655
ko:K03808	pfc:PflA506_0661
ko:K03808	pfc:PflA506_0662
ko:K03789	pfc:PflA506_0668
ko:K01673	pfc:PflA506_0671
ko:K02106	pfc:PflA506_0674
ko:K07726	pfc:PflA506_1496
ko:K03288	pfc:PflA506_1506
ko:K01295	pfc:PflA506_2300
ko:K07552	pfc:PflA506_2306
ko:K06911	pfc:PflA506_2307
ko:K00627	pfc:PflA506_2317
ko:K01915	pfc:PflA506_2319
ko:K00064	pfc:PflA506_2323
ko:K01778	pfc:PflA506_2328
ko:K06872	pfc:PflA506_2330
ko:K01438	pfc:PflA506_2335
ko:K09932	pfc:PflA506_2339
ko:K03885	pfc:PflA506_3121
ko:K08159	pfc:PflA506_3122
ko:K14347	pfc:PflA506_3124
ko:K06048	pfc:PflA506_3128
ko:K00075	pfc:PflA506_3148
ko:K00979	pfc:PflA506_3150
ko:K09791	pfc:PflA506_3151
ko:K00912	pfc:PflA506_3152
ko:K03561	pfc:PflA506_3154
ko:K09928	pfc:PflA506_3156
ko:K07678	pfc:PflA506_3159
ko:K03778	pfc:PflA506_3160
ko:K03809	pfc:PflA506_3165
ko:K14058	pfc:PflA506_3168
ko:K01720	pfc:PflA506_3931
ko:K01665	pfc:PflA506_3940
ko:K02203	pfc:PflA506_3943
ko:K00390	pfc:PflA506_3944
ko:K00655	pfc:PflA506_3963
ko:K03284	pfc:PflA506_3965
ko:K06940	pfc:PflA506_3975
ko:K03522	pfc:PflA506_3981
ko:K03521	pfc:PflA506_3982
ko:K09980	pfc:PflA506_4752
ko:K03602	pfc:PflA506_4756
ko:K13789	pfc:PflA506_4757
ko:K01662	pfc:PflA506_4758
ko:K00946	pfc:PflA506_4764
ko:K03625	pfc:PflA506_4765
ko:K00794	pfc:PflA506_4766
ko:K14652	pfc:PflA506_4767
ko:K00793	pfc:PflA506_4768
ko:K11752	pfc:PflA506_4769
ko:K07738	pfc:PflA506_4770
ko:K05838	pfc:PflA506_4774
ko:K02003	pfc:PflA506_4776
ko:K09950	pfc:PflA506_4778
ko:K07275	pfc:PflA506_4779
ko:K00067	pfc:PflA506_4780
ko:K03724	pfc:PflA506_4781
ko:K03701	pfc:PflA506_4794
ko:K03594	pfc:PflA506_4795
ko:K03781	pfc:PflA506_4796
ko:K02879	pfc:PflA506_4797
ko:K03040	pfc:PflA506_4798
ko:K02986	pfc:PflA506_4799
ko:K01610	pfc:PflA506_0267
ko:K04095	pfc:PflA506_0270
ko:K03654	pfc:PflA506_0273
ko:K07107	pfc:PflA506_0274
ko:K02379	pfc:PflA506_0277
ko:K08312	pfc:PflA506_0280
ko:K10126	pfc:PflA506_0283
ko:K10125	pfc:PflA506_0284
ko:K00067	pfc:PflA506_0285
ko:K01790	pfc:PflA506_0286
ko:K00973	pfc:PflA506_0287
ko:K10536	pfc:PflA506_0290
ko:K02029	pfc:PflA506_0299
ko:K02029	pfc:PflA506_0300
ko:K03575	pfc:PflA506_0310
ko:K07289	pfc:PflA506_0311
ko:K01693	pfc:PflA506_0313
ko:K02501	pfc:PflA506_0314
ko:K03928	pfc:PflA506_1097
ko:K02442	pfc:PflA506_1101
ko:K10004	pfc:PflA506_1104
ko:K10002	pfc:PflA506_1105
ko:K10003	pfc:PflA506_1106
ko:K10001	pfc:PflA506_1107
ko:K00111	pfc:PflA506_1108
ko:K02444	pfc:PflA506_1109
ko:K00864	pfc:PflA506_1110
ko:K02440	pfc:PflA506_1111
ko:K00611	pfc:PflA506_1114
ko:K07390	pfc:PflA506_1116
ko:K03594	pfc:PflA506_1117
ko:K02192	pfc:PflA506_1118
ko:K03683	pfc:PflA506_1120
ko:K01465	pfc:PflA506_1121
ko:K01940	pfc:PflA506_1123
ko:K07690	pfc:PflA506_1124
ko:K10773	pfc:PflA506_1126
ko:K01874	pfc:PflA506_1128
ko:K03555	pfc:PflA506_1132
ko:K03797	pfc:PflA506_1927
ko:K02053	pfc:PflA506_1930
ko:K09816	pfc:PflA506_1936
ko:K09817	pfc:PflA506_1937
ko:K13639	pfc:PflA506_1948
ko:K04487	pfc:PflA506_1952
ko:K11939	pfc:PflA506_1957
ko:K05515	pfc:PflA506_1963
ko:K02336	pfc:PflA506_1968
ko:K11208	pfc:PflA506_1969
ko:K03893	pfc:PflA506_2760
ko:K01531	pfc:PflA506_2764
ko:K02016	pfc:PflA506_2772
ko:K02013	pfc:PflA506_2773
ko:K02015	pfc:PflA506_2774
ko:K02015	pfc:PflA506_2775
ko:K03088	pfc:PflA506_2778
ko:K03897	pfc:PflA506_2780
ko:K02361	pfc:PflA506_2782
ko:K02363	pfc:PflA506_2783
ko:K01590	pfc:PflA506_2784
ko:K15125	pfc:PflA506_2789
ko:K02036	pfc:PflA506_2794
ko:K02038	pfc:PflA506_2795
ko:K02037	pfc:PflA506_2796
ko:K02040	pfc:PflA506_2797
ko:K09019	pfc:PflA506_2801
ko:K07112	pfc:PflA506_3582
ko:K00375	pfc:PflA506_3591
ko:K05782	pfc:PflA506_3592
ko:K09803	pfc:PflA506_3593
ko:K01821	pfc:PflA506_3601
ko:K05358	pfc:PflA506_3610
ko:K07396	pfc:PflA506_3622
ko:K07146	pfc:PflA506_3623
ko:K05527	pfc:PflA506_3624
ko:K09924	pfc:PflA506_3625
ko:K00318	pfc:PflA506_4421
ko:K00817	pfc:PflA506_4424
ko:K09125	pfc:PflA506_4426
ko:K06920	pfc:PflA506_4427
ko:K02300	pfc:PflA506_4429
ko:K02299	pfc:PflA506_4430
ko:K02298	pfc:PflA506_4431
ko:K02297	pfc:PflA506_4432
ko:K03611	pfc:PflA506_4433
ko:K05916	pfc:PflA506_4434
ko:K12266	pfc:PflA506_4435
ko:K03181	pfc:PflA506_5318
ko:K03179	pfc:PflA506_5319
ko:K07636	pfc:PflA506_5322
ko:K02039	pfc:PflA506_5325
ko:K02036	pfc:PflA506_5326
ko:K02038	pfc:PflA506_5327
ko:K02037	pfc:PflA506_5328
ko:K02040	pfc:PflA506_5329
ko:K10806	pfc:PflA506_5331
ko:K01792	pfc:PflA506_5332
ko:K09950	pfc:PflA506_5333
ko:K01589	pfc:PflA506_5335
ko:K01588	pfc:PflA506_5336
ko:K01744	pfc:PflA506_5338
ko:K06989	pfc:PflA506_5348
ko:K03310	pfc:PflA506_5356
ko:K11073	pfc:PflA506_5360
ko:K07734	pfc:PflA506_5364
ko:K00763	pfc:PflA506_0535
ko:K01999	pfc:PflA506_0539
ko:K01997	pfc:PflA506_0540
ko:K01998	pfc:PflA506_0541
ko:K01995	pfc:PflA506_0542
ko:K01996	pfc:PflA506_0543
ko:K03192	pfc:PflA506_0547
ko:K03189	pfc:PflA506_0548
ko:K03188	pfc:PflA506_0549
ko:K03187	pfc:PflA506_0550
ko:K07290	pfc:PflA506_0554
ko:K03594	pfc:PflA506_0555
ko:K04046	pfc:PflA506_0560
ko:K05516	pfc:PflA506_0562
ko:K01428	pfc:PflA506_0563
ko:K01429	pfc:PflA506_0565
ko:K03823	pfc:PflA506_0567
ko:K01430	pfc:PflA506_0568
ko:K03190	pfc:PflA506_0569
ko:K05349	pfc:PflA506_1358
ko:K03744	pfc:PflA506_1359
ko:K06872	pfc:PflA506_1360
ko:K08988	pfc:PflA506_1361
ko:K16087	pfc:PflA506_1363
ko:K03088	pfc:PflA506_1365
ko:K09946	pfc:PflA506_1366
ko:K01714	pfc:PflA506_1367
ko:K01628	pfc:PflA506_1368
ko:K13954	pfc:PflA506_1372
ko:K09936	pfc:PflA506_1373
ko:K08995	pfc:PflA506_1378
ko:K03648	pfc:PflA506_1387
ko:K07795	pfc:PflA506_1391
ko:K07774	pfc:PflA506_1393
ko:K07649	pfc:PflA506_1394
ko:K06980	pfc:PflA506_1396
ko:K02300	pfc:PflA506_2195
ko:K02299	pfc:PflA506_2196
ko:K02298	pfc:PflA506_2197
ko:K02297	pfc:PflA506_2198
ko:K01173	pfc:PflA506_2208
ko:K07303	pfc:PflA506_2213
ko:K07302	pfc:PflA506_2214
ko:K02013	pfc:PflA506_2215
ko:K02015	pfc:PflA506_2216
ko:K02016	pfc:PflA506_2217
ko:K03088	pfc:PflA506_2220
ko:K00140	pfc:PflA506_2224
ko:K10545	pfc:PflA506_2230
ko:K10543	pfc:PflA506_2231
ko:K01805	pfc:PflA506_2232
ko:K02529	pfc:PflA506_2234
ko:K07267	pfc:PflA506_2233
ko:K05358	pfc:PflA506_2235
ko:K02002	pfc:PflA506_3018
ko:K06204	pfc:PflA506_3024
ko:K03336	pfc:PflA506_3031
ko:K06606	pfc:PflA506_3032
ko:K03337	pfc:PflA506_3033
ko:K03335	pfc:PflA506_3034
ko:K03338	pfc:PflA506_3035
ko:K00549	pfc:PflA506_3050
ko:K13747	pfc:PflA506_3051
ko:K01425	pfc:PflA506_3055
ko:K08995	pfc:PflA506_3061
ko:K05520	pfc:PflA506_3062
ko:K07233	pfc:PflA506_3830
ko:K16053	pfc:PflA506_3835
ko:K07124	pfc:PflA506_3837
ko:K01118	pfc:PflA506_3840
ko:K06188	pfc:PflA506_3846
ko:K09919	pfc:PflA506_3847
ko:K03088	pfc:PflA506_3850
ko:K03578	pfc:PflA506_3852
ko:K00906	pfc:PflA506_3853
ko:K07020	pfc:PflA506_3858
ko:K00404	pfc:PflA506_3859
ko:K00405	pfc:PflA506_3860
ko:K00407	pfc:PflA506_3861
ko:K00406	pfc:PflA506_3862
ko:K00404	pfc:PflA506_3863
ko:K00405	pfc:PflA506_3864
ko:K00407	pfc:PflA506_3865
ko:K00406	pfc:PflA506_3866
ko:K09926	pfc:PflA506_3868
ko:K09792	pfc:PflA506_3871
ko:K00759	pfc:PflA506_3875
ko:K06187	pfc:PflA506_3877
ko:K09747	pfc:PflA506_3879
ko:K03786	pfc:PflA506_4650
ko:K00014	pfc:PflA506_4651
ko:K00457	pfc:PflA506_4653
ko:K08191	pfc:PflA506_4654
ko:K10805	pfc:PflA506_4660
ko:K07007	pfc:PflA506_4663
ko:K09945	pfc:PflA506_4670
ko:K03579	pfc:PflA506_4673
ko:K06181	pfc:PflA506_4680
ko:K01241	pfc:PflA506_4682
ko:K09456	pfc:PflA506_4683
ko:K00941	pfc:PflA506_4685
ko:K00788	pfc:PflA506_4686
ko:K01845	pfc:PflA506_4687
ko:K06168	pfc:PflA506_4695
ko:K07042	pfc:PflA506_4697
ko:K06189	pfc:PflA506_4698
ko:K18138	pfc:PflA506_1332
ko:K03088	pfc:PflA506_0174
ko:K03088	pfc:PflA506_0184
ko:K02048	pfc:PflA506_0198
ko:K02046	pfc:PflA506_0199
ko:K02047	pfc:PflA506_0200
ko:K02045	pfc:PflA506_0201
ko:K07127	pfc:PflA506_0203
ko:K13655	pfc:PflA506_0984
ko:K13651	pfc:PflA506_0985
ko:K03449	pfc:PflA506_0988
ko:K07687	pfc:PflA506_0997
ko:K07461	pfc:PflA506_1000
ko:K07259	pfc:PflA506_1002
ko:K00451	pfc:PflA506_1004
ko:K01555	pfc:PflA506_1005
ko:K08195	pfc:PflA506_1008
ko:K00263	pfc:PflA506_1009
ko:K09918	pfc:PflA506_1010
ko:K03837	pfc:PflA506_1016
ko:K01752	pfc:PflA506_1017
ko:K03088	pfc:PflA506_1024
ko:K03088	pfc:PflA506_1028
ko:K06899	pfc:PflA506_1032
ko:K03530	pfc:PflA506_1033
ko:K01873	pfc:PflA506_1035
ko:K01608	pfc:PflA506_1824
ko:K09781	pfc:PflA506_1828
ko:K04754	pfc:PflA506_1829
ko:K02002	pfc:PflA506_1833
ko:K14393	pfc:PflA506_1835
ko:K01647	pfc:PflA506_1836
ko:K00242	pfc:PflA506_1838
ko:K00239	pfc:PflA506_1839
ko:K00240	pfc:PflA506_1840
ko:K00164	pfc:PflA506_1841
ko:K00658	pfc:PflA506_1842
ko:K00382	pfc:PflA506_1843
ko:K01903	pfc:PflA506_1844
ko:K01902	pfc:PflA506_1845
ko:K03311	pfc:PflA506_1846
ko:K04079	pfc:PflA506_1851
ko:K06911	pfc:PflA506_1853
ko:K07397	pfc:PflA506_1854
ko:K01716	pfc:PflA506_1858
ko:K00057	pfc:PflA506_1862
