ko:K18205	bbrv:B689b_0230
ko:K00764	bbrv:B689b_0580
ko:K01952	bbrv:B689b_0593
ko:K01923	bbrv:B689b_0594
ko:K08289	bbrv:B689b_0595
ko:K08969	bbrv:B689b_0596
ko:K01620	bbrv:B689b_0598
ko:K03453	bbrv:B689b_0599
ko:K02950	bbrv:B689b_0600
ko:K02992	bbrv:B689b_0601
ko:K02355	bbrv:B689b_0602
ko:K02358	bbrv:B689b_0603
ko:K06199	bbrv:B689b_0611
ko:K06199	bbrv:B689b_0612
ko:K07133	bbrv:B689b_0615
ko:K07220	bbrv:B689b_0616
ko:K06147	bbrv:B689b_1449
ko:K06147	bbrv:B689b_1450
ko:K05349	bbrv:B689b_1452
ko:K06978	bbrv:B689b_1455
ko:K05349	bbrv:B689b_1463
ko:K02034	bbrv:B689b_1464
ko:K02033	bbrv:B689b_1465
ko:K02035	bbrv:B689b_1468
ko:K02035	bbrv:B689b_1472
ko:K01919	bbrv:B689b_1474
ko:K03601	bbrv:B689b_1478
ko:K03602	bbrv:B689b_1479
ko:K01897	bbrv:B689b_1481
ko:K03282	bbrv:B689b_1482
ko:K01524	bbrv:B689b_1485
ko:K07458	bbrv:B689b_1488
ko:K00674	bbrv:B689b_1491
ko:K01647	bbrv:B689b_1492
ko:K01265	bbrv:B689b_1493
ko:K07386	bbrv:B689b_1495
ko:K01881	bbrv:B689b_1497
ko:K13288	bbrv:B689b_1500
ko:K02313	bbrv:B689b_0001
ko:K02338	bbrv:B689b_0002
ko:K03629	bbrv:B689b_0003
ko:K00286	bbrv:B689b_0846
ko:K02030	bbrv:B689b_0847
ko:K02028	bbrv:B689b_0848
ko:K02029	bbrv:B689b_0849
ko:K02029	bbrv:B689b_0850
ko:K06942	bbrv:B689b_0851
ko:K00688	bbrv:B689b_0856
ko:K01443	bbrv:B689b_0858
ko:K02564	bbrv:B689b_0859
ko:K01792	bbrv:B689b_0862
ko:K06871	bbrv:B689b_0865
ko:K07090	bbrv:B689b_0866
ko:K07090	bbrv:B689b_0868
ko:K03306	bbrv:B689b_0876
ko:K07220	bbrv:B689b_0877
ko:K03655	bbrv:B689b_0884
ko:K05995	bbrv:B689b_0887
ko:K08281	bbrv:B689b_0888
ko:K07727	bbrv:B689b_0892
ko:K03816	bbrv:B689b_0894
ko:K03657	bbrv:B689b_0895
ko:K02004	bbrv:B689b_0897
ko:K02003	bbrv:B689b_0898
ko:K02986	bbrv:B689b_0899
ko:K07010	bbrv:B689b_0900
ko:K01489	bbrv:B689b_0901
ko:K02935	bbrv:B689b_1713
ko:K02864	bbrv:B689b_1714
ko:K06901	bbrv:B689b_1716
ko:K02036	bbrv:B689b_1717
ko:K02038	bbrv:B689b_1718
ko:K02037	bbrv:B689b_1719
ko:K02040	bbrv:B689b_1720
ko:K07776	bbrv:B689b_1721
ko:K07768	bbrv:B689b_1722
ko:K01243	bbrv:B689b_1724
ko:K01626	bbrv:B689b_1725
ko:K01626	bbrv:B689b_1726
ko:K01372	bbrv:B689b_1727
ko:K01304	bbrv:B689b_1729
ko:K08303	bbrv:B689b_1732
ko:K00554	bbrv:B689b_1733
ko:K08316	bbrv:B689b_1734
ko:K03655	bbrv:B689b_1735
ko:K02902	bbrv:B689b_1736
ko:K06902	bbrv:B689b_1738
ko:K11533	bbrv:B689b_1747
ko:K11263	bbrv:B689b_1749
ko:K03523	bbrv:B689b_1750
ko:K03524	bbrv:B689b_1751
ko:K02863	bbrv:B689b_1754
ko:K02867	bbrv:B689b_1755
ko:K02601	bbrv:B689b_1757
ko:K03073	bbrv:B689b_1758
ko:K07118	bbrv:B689b_0181
ko:K03655	bbrv:B689b_0182
ko:K07454	bbrv:B689b_0191
ko:K07243	bbrv:B689b_0201
ko:K07230	bbrv:B689b_0202
ko:K02004	bbrv:B689b_0204
ko:K02004	bbrv:B689b_0205
ko:K02003	bbrv:B689b_0206
ko:K01421	bbrv:B689b_0209
ko:K01421	bbrv:B689b_0210
ko:K00033	bbrv:B689b_0212
ko:K01057	bbrv:B689b_0213
ko:K00036	bbrv:B689b_0215
ko:K17836	bbrv:B689b_0216
ko:K08659	bbrv:B689b_0217
ko:K03110	bbrv:B689b_0220
ko:K03320	bbrv:B689b_0221
ko:K04751	bbrv:B689b_0222
ko:K00990	bbrv:B689b_0223
ko:K07009	bbrv:B689b_0227
ko:K03688	bbrv:B689b_0229
ko:K02003	bbrv:B689b_1079
ko:K02004	bbrv:B689b_1080
ko:K03088	bbrv:B689b_1084
ko:K01992	bbrv:B689b_1087
ko:K11939	bbrv:B689b_1091
ko:K01990	bbrv:B689b_1094
ko:K09974	bbrv:B689b_1107
ko:K01657	bbrv:B689b_1108
ko:K01496	bbrv:B689b_1109
ko:K02500	bbrv:B689b_1110
ko:K06941	bbrv:B689b_1112
ko:K00981	bbrv:B689b_1113
ko:K02838	bbrv:B689b_1114
ko:K09903	bbrv:B689b_1115
ko:K02357	bbrv:B689b_1116
ko:K02967	bbrv:B689b_1117
ko:K01462	bbrv:B689b_1118
ko:K01897	bbrv:B689b_1119
ko:K00088	bbrv:B689b_1121
ko:K00031	bbrv:B689b_1122
ko:K03647	bbrv:B689b_1921
ko:K05349	bbrv:B689b_1924
ko:K10716	bbrv:B689b_1927
ko:K05349	bbrv:B689b_1928
ko:K02528	bbrv:B689b_1932
ko:K00919	bbrv:B689b_1933
ko:K00970	bbrv:B689b_1935
ko:K03980	bbrv:B689b_1938
ko:K00384	bbrv:B689b_1939
ko:K03501	bbrv:B689b_1942
ko:K06346	bbrv:B689b_1943
ko:K03217	bbrv:B689b_1944
ko:K03536	bbrv:B689b_1945
ko:K02914	bbrv:B689b_1946
ko:K01972	bbrv:B689b_0678
ko:K03593	bbrv:B689b_0679
ko:K01915	bbrv:B689b_0681
ko:K00382	bbrv:B689b_0683
ko:K16925	bbrv:B689b_0686
ko:K16786	bbrv:B689b_0687
ko:K16787	bbrv:B689b_0687
ko:K16785	bbrv:B689b_0688
ko:K03437	bbrv:B689b_0689
ko:K01889	bbrv:B689b_0690
ko:K01810	bbrv:B689b_0401
ko:K02049	bbrv:B689b_0402
ko:K02050	bbrv:B689b_0403
ko:K02884	bbrv:B689b_0405
ko:K03100	bbrv:B689b_0406
ko:K03470	bbrv:B689b_0407
ko:K01897	bbrv:B689b_0409
ko:K02027	bbrv:B689b_0414
ko:K02025	bbrv:B689b_0415
ko:K02026	bbrv:B689b_0416
ko:K12308	bbrv:B689b_0417
ko:K01224	bbrv:B689b_0419
ko:K03322	bbrv:B689b_0422
ko:K01104	bbrv:B689b_0426
ko:K01929	bbrv:B689b_1290
ko:K03587	bbrv:B689b_1292
ko:K03438	bbrv:B689b_1294
ko:K03925	bbrv:B689b_1295
ko:K00058	bbrv:B689b_1297
ko:K07738	bbrv:B689b_1298
ko:K01356	bbrv:B689b_1300
ko:K16264	bbrv:B689b_1301
ko:K00016	bbrv:B689b_1302
ko:K03665	bbrv:B689b_1303
ko:K03578	bbrv:B689b_1305
ko:K01915	bbrv:B689b_1307
ko:K01814	bbrv:B689b_1309
ko:K01817	bbrv:B689b_1309
ko:K02501	bbrv:B689b_1310
ko:K01693	bbrv:B689b_1312
ko:K00817	bbrv:B689b_1313
ko:K00013	bbrv:B689b_1314
ko:K01512	bbrv:B689b_1315
ko:K18333	bbrv:B689b_1320
ko:K18334	bbrv:B689b_1321
ko:K10254	bbrv:B689b_1323
ko:K02337	bbrv:B689b_1327
ko:K06180	bbrv:B689b_1329
ko:K03101	bbrv:B689b_1330
ko:K02221	bbrv:B689b_1332
ko:K09772	bbrv:B689b_1333
ko:K03531	bbrv:B689b_1334
ko:K01880	bbrv:B689b_1336
ko:K00878	bbrv:B689b_1337
ko:K03147	bbrv:B689b_1338
ko:K13525	bbrv:B689b_1339
ko:K00941	bbrv:B689b_1340
ko:K01890	bbrv:B689b_0691
ko:K00145	bbrv:B689b_0693
ko:K00620	bbrv:B689b_0694
ko:K00930	bbrv:B689b_0695
ko:K00611	bbrv:B689b_0697
ko:K03402	bbrv:B689b_0698
ko:K01940	bbrv:B689b_0699
ko:K01755	bbrv:B689b_0706
ko:K03154	bbrv:B689b_0707
ko:K03149	bbrv:B689b_0708
ko:K06950	bbrv:B689b_0711
ko:K01866	bbrv:B689b_0714
ko:K06442	bbrv:B689b_0718
ko:K00858	bbrv:B689b_0722
ko:K03631	bbrv:B689b_0723
ko:K07979	bbrv:B689b_0727
ko:K01990	bbrv:B689b_0728
ko:K01733	bbrv:B689b_0732
ko:K00147	bbrv:B689b_0733
ko:K00969	bbrv:B689b_0735
ko:K01207	bbrv:B689b_0736
ko:K09118	bbrv:B689b_0737
ko:K03823	bbrv:B689b_0738
ko:K01056	bbrv:B689b_0739
ko:K01079	bbrv:B689b_1552
ko:K16209	bbrv:B689b_1579
ko:K01190	bbrv:B689b_1580
ko:K02529	bbrv:B689b_1581
ko:K02027	bbrv:B689b_1583
ko:K02004	bbrv:B689b_1588
ko:K02004	bbrv:B689b_1589
ko:K02003	bbrv:B689b_1590
ko:K01104	bbrv:B689b_1591
ko:K00831	bbrv:B689b_1599
ko:K02039	bbrv:B689b_1602
ko:K01834	bbrv:B689b_1603
ko:K02548	bbrv:B689b_1604
ko:K04567	bbrv:B689b_1605
ko:K02470	bbrv:B689b_0005
ko:K02469	bbrv:B689b_0006
ko:K02529	bbrv:B689b_0008
ko:K01190	bbrv:B689b_0010
ko:K00262	bbrv:B689b_0013
ko:K07043	bbrv:B689b_0016
ko:K07133	bbrv:B689b_0018
ko:K04047	bbrv:B689b_0019
ko:K03699	bbrv:B689b_0020
ko:K01673	bbrv:B689b_0022
ko:K03386	bbrv:B689b_0023
ko:K00384	bbrv:B689b_0024
ko:K01784	bbrv:B689b_0025
ko:K06330	bbrv:B689b_0031
ko:K03655	bbrv:B689b_0035
ko:K01595	bbrv:B689b_0036
ko:K11928	bbrv:B689b_0038
ko:K01867	bbrv:B689b_0041
ko:K00688	bbrv:B689b_0047
ko:K01664	bbrv:B689b_0053
ko:K01872	bbrv:B689b_0909
ko:K07447	bbrv:B689b_0910
ko:K07082	bbrv:B689b_0911
ko:K02654	bbrv:B689b_0912
ko:K01736	bbrv:B689b_0913
ko:K13829	bbrv:B689b_0914
ko:K03786	bbrv:B689b_0915
ko:K01937	bbrv:B689b_0916
ko:K09014	bbrv:B689b_0918
ko:K09015	bbrv:B689b_0919
ko:K09013	bbrv:B689b_0920
ko:K11717	bbrv:B689b_0921
ko:K04488	bbrv:B689b_0922
ko:K00975	bbrv:B689b_0924
ko:K09761	bbrv:B689b_0926
ko:K02503	bbrv:B689b_0927
ko:K07042	bbrv:B689b_0929
ko:K01897	bbrv:B689b_0932
ko:K00324	bbrv:B689b_0933
ko:K00324	bbrv:B689b_0934
ko:K00325	bbrv:B689b_0935
ko:K08177	bbrv:B689b_0936
ko:K02897	bbrv:B689b_0937
ko:K00826	bbrv:B689b_0938
ko:K02428	bbrv:B689b_0939
ko:K02968	bbrv:B689b_0941
ko:K03596	bbrv:B689b_0942
ko:K00265	bbrv:B689b_0947
ko:K00266	bbrv:B689b_0948
ko:K15580	bbrv:B689b_0949
ko:K16148	bbrv:B689b_0952
ko:K02013	bbrv:B689b_0953
ko:K00931	bbrv:B689b_1761
ko:K03979	bbrv:B689b_1762
ko:K02899	bbrv:B689b_1763
ko:K02888	bbrv:B689b_1764
ko:K01439	bbrv:B689b_1766
ko:K07088	bbrv:B689b_1767
ko:K02429	bbrv:B689b_1770
ko:K18333	bbrv:B689b_1771
ko:K18334	bbrv:B689b_1772
ko:K02003	bbrv:B689b_1775
ko:K06287	bbrv:B689b_1778
ko:K00872	bbrv:B689b_1779
ko:K00003	bbrv:B689b_1780
ko:K02803	bbrv:B689b_1781
ko:K02804	bbrv:B689b_1781
ko:K01586	bbrv:B689b_1783
ko:K01887	bbrv:B689b_1784
ko:K00790	bbrv:B689b_1787
ko:K16957	bbrv:B689b_1789
ko:K16958	bbrv:B689b_1790
ko:K16959	bbrv:B689b_1791
ko:K01704	bbrv:B689b_1797
ko:K01703	bbrv:B689b_1798
ko:K00937	bbrv:B689b_1801
ko:K02026	bbrv:B689b_1805
ko:K02025	bbrv:B689b_1806
ko:K02027	bbrv:B689b_1807
ko:K00761	bbrv:B689b_1809
ko:K00783	bbrv:B689b_1810
ko:K06997	bbrv:B689b_0231
ko:K02990	bbrv:B689b_0233
ko:K02963	bbrv:B689b_0235
ko:K02939	bbrv:B689b_0236
ko:K01990	bbrv:B689b_0240
ko:K02440	bbrv:B689b_0248
ko:K17686	bbrv:B689b_0249
ko:K09760	bbrv:B689b_0251
ko:K01990	bbrv:B689b_0254
ko:K02435	bbrv:B689b_0258
ko:K02433	bbrv:B689b_0259
ko:K02434	bbrv:B689b_0260
ko:K03628	bbrv:B689b_0264
ko:K10188	bbrv:B689b_0269
ko:K10189	bbrv:B689b_0270
ko:K10190	bbrv:B689b_0271
ko:K07407	bbrv:B689b_0272
ko:K04092	bbrv:B689b_0273
ko:K01873	bbrv:B689b_0275
ko:K10773	bbrv:B689b_0277
ko:K01507	bbrv:B689b_0281
ko:K16147	bbrv:B689b_0282
ko:K01409	bbrv:B689b_1137
ko:K03789	bbrv:B689b_1138
ko:K06925	bbrv:B689b_1140
ko:K02340	bbrv:B689b_1141
ko:K02237	bbrv:B689b_1143
ko:K01869	bbrv:B689b_1144
ko:K03284	bbrv:B689b_1146
ko:K01834	bbrv:B689b_1147
ko:K07006	bbrv:B689b_1149
ko:K09704	bbrv:B689b_1153
ko:K05349	bbrv:B689b_1167
ko:K02026	bbrv:B689b_1169
ko:K02025	bbrv:B689b_1170
ko:K02027	bbrv:B689b_1171
ko:K01191	bbrv:B689b_1172
ko:K01191	bbrv:B689b_1173
ko:K03767	bbrv:B689b_1180
ko:K00951	bbrv:B689b_1181
ko:K03671	bbrv:B689b_0456
ko:K03426	bbrv:B689b_0459
ko:K02437	bbrv:B689b_0460
ko:K01354	bbrv:B689b_0462
ko:K00052	bbrv:B689b_0463
ko:K03800	bbrv:B689b_0464
ko:K00226	bbrv:B689b_0468
ko:K00965	bbrv:B689b_0470
ko:K00849	bbrv:B689b_0471
ko:K07166	bbrv:B689b_0472
ko:K09157	bbrv:B689b_0473
ko:K03216	bbrv:B689b_0474
ko:K03575	bbrv:B689b_0475
ko:K03043	bbrv:B689b_0477
ko:K03046	bbrv:B689b_0478
ko:K03657	bbrv:B689b_0484
ko:K00215	bbrv:B689b_0486
ko:K01714	bbrv:B689b_0487
ko:K12574	bbrv:B689b_0488
ko:K01256	bbrv:B689b_0489
ko:K03431	bbrv:B689b_0490
ko:K01462	bbrv:B689b_0491
ko:K02836	bbrv:B689b_0493
ko:K09812	bbrv:B689b_0494
ko:K09811	bbrv:B689b_0495
ko:K03664	bbrv:B689b_0497
ko:K02030	bbrv:B689b_0498
ko:K02030	bbrv:B689b_0499
ko:K02029	bbrv:B689b_0500
ko:K02028	bbrv:B689b_0501
ko:K00820	bbrv:B689b_0502
ko:K06177	bbrv:B689b_0503
ko:K02025	bbrv:B689b_0505
ko:K02026	bbrv:B689b_0506
ko:K12308	bbrv:B689b_0507
ko:K02027	bbrv:B689b_0508
ko:K08369	bbrv:B689b_1342
ko:K02529	bbrv:B689b_1347
ko:K02532	bbrv:B689b_1348
ko:K01193	bbrv:B689b_1349
ko:K00886	bbrv:B689b_1350
ko:K07574	bbrv:B689b_1355
ko:K08972	bbrv:B689b_1356
ko:K07478	bbrv:B689b_1362
ko:K06895	bbrv:B689b_1367
ko:K10007	bbrv:B689b_1369
ko:K10006	bbrv:B689b_1370
ko:K10005	bbrv:B689b_1371
ko:K10008	bbrv:B689b_1372
ko:K01876	bbrv:B689b_1374
ko:K01892	bbrv:B689b_1375
ko:K03696	bbrv:B689b_1381
ko:K03704	bbrv:B689b_1384
ko:K02484	bbrv:B689b_1385
ko:K04077	bbrv:B689b_1389
ko:K03648	bbrv:B689b_1391
ko:K03924	bbrv:B689b_1392
ko:K07114	bbrv:B689b_1396
ko:K03723	bbrv:B689b_0740
ko:K01689	bbrv:B689b_0742
ko:K09009	bbrv:B689b_0744
ko:K01524	bbrv:B689b_0745
ko:K01752	bbrv:B689b_0747
ko:K03624	bbrv:B689b_0749
ko:K11068	bbrv:B689b_0750
ko:K03466	bbrv:B689b_0753
ko:K00700	bbrv:B689b_0763
ko:K07736	bbrv:B689b_0764
ko:K01770	bbrv:B689b_0765
ko:K02075	bbrv:B689b_0766
ko:K02074	bbrv:B689b_0767
ko:K02077	bbrv:B689b_0768
ko:K01491	bbrv:B689b_0769
ko:K02945	bbrv:B689b_0770
ko:K00859	bbrv:B689b_0771
ko:K03702	bbrv:B689b_0772
ko:K05794	bbrv:B689b_0773
ko:K00873	bbrv:B689b_0774
ko:K01515	bbrv:B689b_0775
ko:K00800	bbrv:B689b_0788
ko:K00925	bbrv:B689b_0789
ko:K13788	bbrv:B689b_0790
ko:K00948	bbrv:B689b_0791
ko:K01784	bbrv:B689b_1614
ko:K15533	bbrv:B689b_1616
ko:K02026	bbrv:B689b_1617
ko:K02025	bbrv:B689b_1618
ko:K02027	bbrv:B689b_1619
ko:K01875	bbrv:B689b_1620
ko:K03488	bbrv:B689b_1622
ko:K02755	bbrv:B689b_1623
ko:K02756	bbrv:B689b_1623
ko:K02757	bbrv:B689b_1623
ko:K01835	bbrv:B689b_1624
ko:K03469	bbrv:B689b_1628
ko:K01807	bbrv:B689b_1629
ko:K04485	bbrv:B689b_1632
ko:K11753	bbrv:B689b_1633
ko:K03177	bbrv:B689b_1634
ko:K02834	bbrv:B689b_1635
ko:K02519	bbrv:B689b_1636
ko:K02600	bbrv:B689b_1637
ko:K06173	bbrv:B689b_1642
ko:K02879	bbrv:B689b_1643
ko:K03040	bbrv:B689b_1644
ko:K02948	bbrv:B689b_1645
ko:K02952	bbrv:B689b_1646
ko:K02919	bbrv:B689b_1647
ko:K02518	bbrv:B689b_1648
ko:K00939	bbrv:B689b_1649
ko:K03076	bbrv:B689b_1650
ko:K02876	bbrv:B689b_1651
ko:K02907	bbrv:B689b_1652
ko:K02988	bbrv:B689b_1653
ko:K02881	bbrv:B689b_1654
ko:K02933	bbrv:B689b_1655
ko:K02994	bbrv:B689b_1656
ko:K02954	bbrv:B689b_1657
ko:K01278	bbrv:B689b_0061
ko:K01048	bbrv:B689b_0062
ko:K12267	bbrv:B689b_0069
ko:K11068	bbrv:B689b_0076
ko:K00773	bbrv:B689b_0077
ko:K08372	bbrv:B689b_0078
ko:K00528	bbrv:B689b_0080
ko:K03799	bbrv:B689b_0081
ko:K01624	bbrv:B689b_0084
ko:K01939	bbrv:B689b_0085
ko:K06199	bbrv:B689b_0087
ko:K06199	bbrv:B689b_0088
ko:K03484	bbrv:B689b_0089
ko:K00690	bbrv:B689b_0091
ko:K03484	bbrv:B689b_0093
ko:K00053	bbrv:B689b_0095
ko:K00053	bbrv:B689b_0096
ko:K01187	bbrv:B689b_0099
ko:K07284	bbrv:B689b_0103
ko:K00705	bbrv:B689b_0104
ko:K05343	bbrv:B689b_0105
ko:K15770	bbrv:B689b_0106
ko:K15771	bbrv:B689b_0107
ko:K15772	bbrv:B689b_0108
ko:K04043	bbrv:B689b_0112
ko:K03687	bbrv:B689b_0113
ko:K03686	bbrv:B689b_0114
ko:K13640	bbrv:B689b_0115
ko:K00059	bbrv:B689b_0118
ko:K03564	bbrv:B689b_0961
ko:K09161	bbrv:B689b_0966
ko:K03707	bbrv:B689b_0975
ko:K06999	bbrv:B689b_0977
ko:K07442	bbrv:B689b_0978
ko:K08296	bbrv:B689b_0979
ko:K00549	bbrv:B689b_0981
ko:K00297	bbrv:B689b_0982
ko:K01442	bbrv:B689b_0983
ko:K00982	bbrv:B689b_0984
ko:K00609	bbrv:B689b_0985
ko:K00610	bbrv:B689b_0986
ko:K01465	bbrv:B689b_0987
ko:K01591	bbrv:B689b_0988
ko:K02823	bbrv:B689b_0989
ko:K17828	bbrv:B689b_0990
ko:K00762	bbrv:B689b_0991
ko:K16786	bbrv:B689b_1000
ko:K16787	bbrv:B689b_1000
ko:K11358	bbrv:B689b_1003
ko:K03701	bbrv:B689b_1004
ko:K03703	bbrv:B689b_1005
ko:K00014	bbrv:B689b_1006
ko:K06958	bbrv:B689b_1007
ko:K09762	bbrv:B689b_1009
ko:K00927	bbrv:B689b_1010
ko:K01803	bbrv:B689b_1011
ko:K03075	bbrv:B689b_1012
ko:K00016	bbrv:B689b_1013
ko:K14260	bbrv:B689b_1015
ko:K03311	bbrv:B689b_1017
ko:K00616	bbrv:B689b_1018
ko:K01885	bbrv:B689b_1812
ko:K03695	bbrv:B689b_1814
ko:K01854	bbrv:B689b_1819
ko:K08094	bbrv:B689b_1820
ko:K02057	bbrv:B689b_1821
ko:K02057	bbrv:B689b_1822
ko:K02056	bbrv:B689b_1823
ko:K02058	bbrv:B689b_1824
ko:K00854	bbrv:B689b_1825
ko:K01990	bbrv:B689b_1832
ko:K01992	bbrv:B689b_1833
ko:K00973	bbrv:B689b_1834
ko:K06950	bbrv:B689b_1846
ko:K03549	bbrv:B689b_1848
ko:K03424	bbrv:B689b_1849
ko:K06147	bbrv:B689b_1850
ko:K06147	bbrv:B689b_1851
ko:K07133	bbrv:B689b_1853
ko:K02035	bbrv:B689b_1855
ko:K02031	bbrv:B689b_1856
ko:K02032	bbrv:B689b_1856
ko:K02034	bbrv:B689b_1857
ko:K02033	bbrv:B689b_1858
ko:K01372	bbrv:B689b_1859
ko:K01874	bbrv:B689b_1861
ko:K07056	bbrv:B689b_1863
ko:K00651	bbrv:B689b_0313
ko:K02108	bbrv:B689b_0314
ko:K02110	bbrv:B689b_0315
ko:K02109	bbrv:B689b_0316
ko:K02113	bbrv:B689b_0317
ko:K02111	bbrv:B689b_0318
ko:K02115	bbrv:B689b_0319
ko:K02112	bbrv:B689b_0320
ko:K02114	bbrv:B689b_0321
ko:K07503	bbrv:B689b_0322
ko:K05838	bbrv:B689b_0326
ko:K00057	bbrv:B689b_0331
ko:K01921	bbrv:B689b_0332
ko:K02055	bbrv:B689b_0333
ko:K02054	bbrv:B689b_0334
ko:K02053	bbrv:B689b_0335
ko:K02052	bbrv:B689b_0336
ko:K01744	bbrv:B689b_0339
ko:K07090	bbrv:B689b_0341
ko:K06871	bbrv:B689b_0342
ko:K02469	bbrv:B689b_1186
ko:K02027	bbrv:B689b_1188
ko:K03724	bbrv:B689b_1192
ko:K00852	bbrv:B689b_1193
ko:K02470	bbrv:B689b_1195
ko:K03086	bbrv:B689b_1196
ko:K13787	bbrv:B689b_1198
ko:K00655	bbrv:B689b_1200
ko:K00766	bbrv:B689b_1202
ko:K03070	bbrv:B689b_1203
ko:K03565	bbrv:B689b_1205
ko:K03743	bbrv:B689b_1209
ko:K00995	bbrv:B689b_1210
ko:K03466	bbrv:B689b_1211
ko:K04095	bbrv:B689b_1212
ko:K00791	bbrv:B689b_1213
ko:K06168	bbrv:B689b_1214
ko:K06890	bbrv:B689b_1217
ko:K01681	bbrv:B689b_1220
ko:K01142	bbrv:B689b_1226
ko:K02031	bbrv:B689b_1227
ko:K02032	bbrv:B689b_1227
ko:K15582	bbrv:B689b_1228
ko:K15581	bbrv:B689b_1229
ko:K15580	bbrv:B689b_1230
ko:K03733	bbrv:B689b_1231
ko:K02003	bbrv:B689b_1232
ko:K02004	bbrv:B689b_1233
ko:K04517	bbrv:B689b_1235
ko:K14170	bbrv:B689b_1236
ko:K02027	bbrv:B689b_0509
ko:K03525	bbrv:B689b_0510
ko:K02035	bbrv:B689b_0511
ko:K02033	bbrv:B689b_0512
ko:K02034	bbrv:B689b_0513
ko:K01697	bbrv:B689b_0516
ko:K01739	bbrv:B689b_0517
ko:K03654	bbrv:B689b_0518
ko:K07173	bbrv:B689b_0519
ko:K01201	bbrv:B689b_0524
ko:K02027	bbrv:B689b_0525
ko:K02025	bbrv:B689b_0526
ko:K02026	bbrv:B689b_0527
ko:K16210	bbrv:B689b_0530
ko:K00033	bbrv:B689b_0531
ko:K00851	bbrv:B689b_0532
ko:K08323	bbrv:B689b_0533
ko:K00040	bbrv:B689b_0534
ko:K01812	bbrv:B689b_0535
ko:K02529	bbrv:B689b_0537
ko:K02529	bbrv:B689b_0538
ko:K03294	bbrv:B689b_0539
ko:K01775	bbrv:B689b_0540
ko:K01129	bbrv:B689b_0541
ko:K06215	bbrv:B689b_0545
ko:K08681	bbrv:B689b_0546
ko:K02027	bbrv:B689b_0553
ko:K01182	bbrv:B689b_0555
ko:K15580	bbrv:B689b_0557
ko:K12267	bbrv:B689b_0558
ko:K02003	bbrv:B689b_0559
ko:K01756	bbrv:B689b_1400
ko:K03530	bbrv:B689b_1402
ko:K13571	bbrv:B689b_1403
ko:K13570	bbrv:B689b_1404
ko:K01092	bbrv:B689b_1405
ko:K17195	bbrv:B689b_1407
ko:K02770	bbrv:B689b_1408
ko:K02769	bbrv:B689b_1409
ko:K02768	bbrv:B689b_1410
ko:K13527	bbrv:B689b_1414
ko:K01079	bbrv:B689b_1416
ko:K04066	bbrv:B689b_1417
ko:K07025	bbrv:B689b_1418
ko:K00604	bbrv:B689b_1419
ko:K01687	bbrv:B689b_1420
ko:K03060	bbrv:B689b_1421
ko:K00789	bbrv:B689b_1422
ko:K01153	bbrv:B689b_1424
ko:K01870	bbrv:B689b_1429
ko:K00852	bbrv:B689b_1430
ko:K06726	bbrv:B689b_1431
