ko:K18893	babo:DK55_1517
ko:K00939	babo:DK55_1211
ko:K03076	babo:DK55_1212
ko:K02876	babo:DK55_1213
ko:K02907	babo:DK55_1214
ko:K02988	babo:DK55_1215
ko:K02881	babo:DK55_1216
ko:K02933	babo:DK55_1217
ko:K02994	babo:DK55_1218
ko:K02954	babo:DK55_1219
ko:K02931	babo:DK55_1220
ko:K02895	babo:DK55_1221
ko:K02874	babo:DK55_1222
ko:K02961	babo:DK55_1223
ko:K02904	babo:DK55_1224
ko:K02878	babo:DK55_1225
ko:K02982	babo:DK55_1226
ko:K02890	babo:DK55_1227
ko:K02965	babo:DK55_1228
ko:K02886	babo:DK55_1229
ko:K02892	babo:DK55_1230
ko:K02926	babo:DK55_1231
ko:K02906	babo:DK55_1232
ko:K02946	babo:DK55_1233
ko:K02358	babo:DK55_1234
ko:K02355	babo:DK55_1235
ko:K02992	babo:DK55_1236
ko:K02950	babo:DK55_1237
ko:K03046	babo:DK55_1239
ko:K03043	babo:DK55_1240
ko:K02935	babo:DK55_1241
ko:K02864	babo:DK55_1242
ko:K02863	babo:DK55_1243
ko:K02867	babo:DK55_1244
ko:K02601	babo:DK55_1245
ko:K03073	babo:DK55_1246
ko:K02358	babo:DK55_1248
ko:K03218	babo:DK55_1251
ko:K03671	babo:DK55_2036
ko:K11754	babo:DK55_2037
ko:K01963	babo:DK55_2038
ko:K01695	babo:DK55_2039
ko:K01696	babo:DK55_2041
ko:K01817	babo:DK55_2042
ko:K07043	babo:DK55_2044
ko:K05782	babo:DK55_2047
ko:K05782	babo:DK55_2048
ko:K02520	babo:DK55_2051
ko:K02916	babo:DK55_2053
ko:K02887	babo:DK55_2054
ko:K01889	babo:DK55_2056
ko:K01890	babo:DK55_2057
ko:K04043	babo:DK55_2059
ko:K03686	babo:DK55_2060
ko:K00570	babo:DK55_2061
ko:K01591	babo:DK55_2062
ko:K01920	babo:DK55_2065
ko:K07391	babo:DK55_2066
ko:K07391	babo:DK55_2067
ko:K03642	babo:DK55_2069
ko:K09790	babo:DK55_2070
ko:K02040	babo:DK55_2071
ko:K02037	babo:DK55_2072
ko:K02038	babo:DK55_2073
ko:K02036	babo:DK55_2074
ko:K02039	babo:DK55_2075
ko:K07657	babo:DK55_2076
ko:K04047	babo:DK55_2080
ko:K03789	babo:DK55_2082
ko:K06168	babo:DK55_2084
ko:K00039	babo:DK55_2880
ko:K10544	babo:DK55_2881
ko:K10545	babo:DK55_2882
ko:K10543	babo:DK55_2883
ko:K03435	babo:DK55_2884
ko:K04487	babo:DK55_935
ko:K09014	babo:DK55_936
ko:K09013	babo:DK55_937
ko:K09015	babo:DK55_938
ko:K11717	babo:DK55_939
ko:K00858	babo:DK55_943
ko:K13628	babo:DK55_945
ko:K07213	babo:DK55_947
ko:K00573	babo:DK55_948
ko:K09991	babo:DK55_951
ko:K01873	babo:DK55_952
ko:K06076	babo:DK55_954
ko:K02030	babo:DK55_958
ko:K03753	babo:DK55_959
ko:K03752	babo:DK55_960
ko:K03639	babo:DK55_961
ko:K01676	babo:DK55_964
ko:K16079	babo:DK55_979
ko:K16079	babo:DK55_980
ko:K09803	babo:DK55_983
ko:K00773	babo:DK55_984
ko:K01673	babo:DK55_1775
ko:K00868	babo:DK55_1776
ko:K00140	babo:DK55_1778
ko:K08311	babo:DK55_1782
ko:K03797	babo:DK55_1783
ko:K00783	babo:DK55_1786
ko:K09710	babo:DK55_1787
ko:K00969	babo:DK55_1788
ko:K00147	babo:DK55_1789
ko:K00931	babo:DK55_1790
ko:K03979	babo:DK55_1791
ko:K02899	babo:DK55_1795
ko:K02888	babo:DK55_1796
ko:K03695	babo:DK55_1812
ko:K02493	babo:DK55_1814
ko:K02835	babo:DK55_1815
ko:K08484	babo:DK55_1816
ko:K00928	babo:DK55_1817
ko:K00568	babo:DK55_1819
ko:K02498	babo:DK55_1828
ko:K03801	babo:DK55_2618
ko:K14205	babo:DK55_2623
ko:K06196	babo:DK55_2624
ko:K04042	babo:DK55_2625
ko:K00820	babo:DK55_2626
ko:K03655	babo:DK55_2627
ko:K09159	babo:DK55_2628
ko:K03723	babo:DK55_2629
ko:K02035	babo:DK55_2632
ko:K11940	babo:DK55_2634
ko:K03185	babo:DK55_2635
ko:K01004	babo:DK55_2636
ko:K02056	babo:DK55_2639
ko:K02057	babo:DK55_2640
ko:K02057	babo:DK55_2641
ko:K02058	babo:DK55_2642
ko:K14441	babo:DK55_2643
ko:K03594	babo:DK55_2644
ko:K13772	babo:DK55_2647
ko:K07039	babo:DK55_2654
ko:K00012	babo:DK55_2660
ko:K15580	babo:DK55_2666
ko:K15580	babo:DK55_2667
ko:K15581	babo:DK55_2668
ko:K15582	babo:DK55_2669
ko:K00368	babo:DK55_2887
ko:K02448	babo:DK55_2895
ko:K04748	babo:DK55_2896
ko:K04561	babo:DK55_2897
ko:K02305	babo:DK55_2898
ko:K02164	babo:DK55_2900
ko:K15736	babo:DK55_2910
ko:K02342	babo:DK55_2911
ko:K02433	babo:DK55_2912
ko:K02433	babo:DK55_2913
ko:K02034	babo:DK55_2916
ko:K02033	babo:DK55_2917
ko:K02035	babo:DK55_2918
ko:K00059	babo:DK55_2919
ko:K00128	babo:DK55_2920
ko:K08169	babo:DK55_2922
ko:K03536	babo:DK55_2927
ko:K03217	babo:DK55_2928
ko:K02433	babo:DK55_601
ko:K02426	babo:DK55_602
ko:K11357	babo:DK55_604
ko:K05366	babo:DK55_610
ko:K02200	babo:DK55_634
ko:K02197	babo:DK55_635
ko:K02198	babo:DK55_636
ko:K02200	babo:DK55_637
ko:K00982	babo:DK55_641
ko:K07716	babo:DK55_643
ko:K01256	babo:DK55_644
ko:K00311	babo:DK55_648
ko:K01241	babo:DK55_650
ko:K07126	babo:DK55_656
ko:K03086	babo:DK55_1461
ko:K03324	babo:DK55_1463
ko:K09117	babo:DK55_1464
ko:K01956	babo:DK55_1465
ko:K07054	babo:DK55_1466
ko:K01955	babo:DK55_1469
ko:K02471	babo:DK55_1470
ko:K03704	babo:DK55_1472
ko:K00799	babo:DK55_1473
ko:K00812	babo:DK55_1474
ko:K00384	babo:DK55_1478
ko:K03498	babo:DK55_1479
ko:K12989	babo:DK55_1481
ko:K03624	babo:DK55_1482
ko:K09922	babo:DK55_1485
ko:K10806	babo:DK55_1487
ko:K03702	babo:DK55_1489
ko:K07659	babo:DK55_1496
ko:K07638	babo:DK55_1497
ko:K06878	babo:DK55_1498
ko:K13292	babo:DK55_1501
ko:K05810	babo:DK55_1503
ko:K00948	babo:DK55_1506
ko:K06915	babo:DK55_1507
ko:K02897	babo:DK55_1508
ko:K01056	babo:DK55_1509
ko:K06942	babo:DK55_1510
ko:K00285	babo:DK55_2303
ko:K01775	babo:DK55_2304
ko:K00101	babo:DK55_2307
ko:K03710	babo:DK55_2313
ko:K00820	babo:DK55_2314
ko:K01443	babo:DK55_2315
ko:K01433	babo:DK55_2317
ko:K00128	babo:DK55_2318
ko:K06959	babo:DK55_2322
ko:K06959	babo:DK55_2323
ko:K10680	babo:DK55_2326
ko:K01476	babo:DK55_2328
ko:K06886	babo:DK55_2330
ko:K05838	babo:DK55_2334
ko:K07157	babo:DK55_2335
ko:K09791	babo:DK55_2337
ko:K00052	babo:DK55_2338
ko:K10778	babo:DK55_2339
ko:K00133	babo:DK55_2341
ko:K01704	babo:DK55_2345
ko:K01644	babo:DK55_2346
ko:K01284	babo:DK55_2349
ko:K06213	babo:DK55_2350
ko:K06207	babo:DK55_2351
ko:K03841	babo:DK55_2354
ko:K01624	babo:DK55_2355
ko:K01998	babo:DK55_3135
ko:K01995	babo:DK55_3136
ko:K01996	babo:DK55_3137
ko:K00059	babo:DK55_3139
ko:K11381	babo:DK55_3141
ko:K00627	babo:DK55_3142
ko:K00014	babo:DK55_3143
ko:K01531	babo:DK55_3144
ko:K07507	babo:DK55_3147
ko:K13589	babo:DK55_3151
ko:K01048	babo:DK55_3154
ko:K04080	babo:DK55_3156
ko:K01620	babo:DK55_3157
ko:K00265	babo:DK55_3158
ko:K00266	babo:DK55_3159
ko:K11737	babo:DK55_3160
ko:K09795	babo:DK55_3161
ko:K08305	babo:DK55_3174
ko:K00963	babo:DK55_3175
ko:K07340	babo:DK55_3178
ko:K01772	babo:DK55_3180
ko:K00808	babo:DK55_3182
ko:K02619	babo:DK55_3183
ko:K01665	babo:DK55_3184
ko:K08602	babo:DK55_3185
ko:K09959	babo:DK55_218
ko:K02529	babo:DK55_219
ko:K06147	babo:DK55_220
ko:K06147	babo:DK55_222
ko:K15599	babo:DK55_224
ko:K03707	babo:DK55_225
ko:K15598	babo:DK55_226
ko:K00788	babo:DK55_227
ko:K03149	babo:DK55_228
ko:K03154	babo:DK55_229
ko:K03153	babo:DK55_230
ko:K00941	babo:DK55_231
ko:K05846	babo:DK55_235
ko:K05847	babo:DK55_236
ko:K05846	babo:DK55_237
ko:K05845	babo:DK55_238
ko:K00262	babo:DK55_240
ko:K00303	babo:DK55_241
ko:K00305	babo:DK55_247
ko:K02027	babo:DK55_250
ko:K02025	babo:DK55_251
ko:K02026	babo:DK55_252
ko:K10112	babo:DK55_253
ko:K03534	babo:DK55_255
ko:K18335	babo:DK55_258
ko:K18334	babo:DK55_260
ko:K03585	babo:DK55_1098
ko:K00773	babo:DK55_1100
ko:K07568	babo:DK55_1101
ko:K00954	babo:DK55_1104
ko:K02469	babo:DK55_1106
ko:K05595	babo:DK55_1107
ko:K05774	babo:DK55_1108
ko:K02043	babo:DK55_1109
ko:K03701	babo:DK55_1114
ko:K03530	babo:DK55_1115
ko:K01338	babo:DK55_1116
ko:K03544	babo:DK55_1117
ko:K01358	babo:DK55_1118
ko:K03665	babo:DK55_1119
ko:K03666	babo:DK55_1120
ko:K03499	babo:DK55_1122
ko:K13599	babo:DK55_1123
ko:K13598	babo:DK55_1124
ko:K07712	babo:DK55_1125
ko:K07708	babo:DK55_1126
ko:K12506	babo:DK55_1128
ko:K03743	babo:DK55_1129
ko:K18588	babo:DK55_1130
ko:K03644	babo:DK55_1132
ko:K00382	babo:DK55_1133
ko:K00627	babo:DK55_1134
ko:K00162	babo:DK55_1135
ko:K00161	babo:DK55_1136
ko:K01689	babo:DK55_1139
ko:K01627	babo:DK55_1140
ko:K01937	babo:DK55_1141
ko:K03075	babo:DK55_1143
ko:K01803	babo:DK55_1144
ko:K03770	babo:DK55_1145
ko:K00766	babo:DK55_1146
ko:K01609	babo:DK55_1147
ko:K00655	babo:DK55_1930
ko:K09811	babo:DK55_1932
ko:K09812	babo:DK55_1933
ko:K06188	babo:DK55_1935
ko:K01142	babo:DK55_1937
ko:K09125	babo:DK55_1948
ko:K02902	babo:DK55_1949
ko:K01534	babo:DK55_1952
ko:K09883	babo:DK55_1955
ko:K05527	babo:DK55_1958
ko:K01735	babo:DK55_1960
ko:K00891	babo:DK55_1961
ko:K04763	babo:DK55_1963
ko:K01962	babo:DK55_1964
ko:K04085	babo:DK55_1966
ko:K00059	babo:DK55_1972
ko:K01999	babo:DK55_2778
ko:K00135	babo:DK55_2779
ko:K00014	babo:DK55_2781
ko:K00059	babo:DK55_2782
ko:K01996	babo:DK55_2783
ko:K01995	babo:DK55_2784
ko:K01998	babo:DK55_2784
ko:K01997	babo:DK55_2785
ko:K01999	babo:DK55_2786
ko:K00925	babo:DK55_2792
ko:K07243	babo:DK55_2795
ko:K07230	babo:DK55_2797
ko:K01951	babo:DK55_2798
ko:K01243	babo:DK55_2799
ko:K03500	babo:DK55_2801
ko:K03781	babo:DK55_2804
ko:K04761	babo:DK55_2805
ko:K00088	babo:DK55_2807
ko:K01840	babo:DK55_2810
ko:K01425	babo:DK55_2816
ko:K01580	babo:DK55_2818
ko:K01580	babo:DK55_2819
ko:K03585	babo:DK55_2821
ko:K00645	babo:DK55_490
ko:K00059	babo:DK55_491
ko:K02078	babo:DK55_492
ko:K09458	babo:DK55_493
ko:K07082	babo:DK55_494
ko:K00942	babo:DK55_496
ko:K03568	babo:DK55_497
ko:K02275	babo:DK55_499
ko:K02274	babo:DK55_500
ko:K02258	babo:DK55_502
ko:K02258	babo:DK55_503
ko:K02276	babo:DK55_504
ko:K14998	babo:DK55_506
ko:K03527	babo:DK55_507
ko:K02204	babo:DK55_508
ko:K03469	babo:DK55_509
ko:K07735	babo:DK55_512
ko:K03790	babo:DK55_514
ko:K01733	babo:DK55_516
ko:K03281	babo:DK55_521
ko:K01560	babo:DK55_523
ko:K03575	babo:DK55_524
ko:K03529	babo:DK55_528
ko:K16264	babo:DK55_529
ko:K06996	babo:DK55_530
ko:K01006	babo:DK55_531
ko:K03523	babo:DK55_536
ko:K01483	babo:DK55_537
ko:K07127	babo:DK55_538
ko:K16915	babo:DK55_1357
ko:K02008	babo:DK55_1358
ko:K02006	babo:DK55_1359
ko:K06199	babo:DK55_1361
ko:K06998	babo:DK55_1364
ko:K00053	babo:DK55_1369
ko:K03549	babo:DK55_1371
ko:K03474	babo:DK55_1372
ko:K01653	babo:DK55_1375
ko:K01652	babo:DK55_1376
ko:K00791	babo:DK55_1377
ko:K01079	babo:DK55_1378
ko:K07007	babo:DK55_1379
ko:K09937	babo:DK55_1381
ko:K04087	babo:DK55_1382
ko:K04088	babo:DK55_1383
ko:K07552	babo:DK55_1387
ko:K09985	babo:DK55_1389
ko:K03657	babo:DK55_1398
ko:K05805	babo:DK55_1399
ko:K07152	babo:DK55_1401
ko:K02687	babo:DK55_1402
ko:K01262	babo:DK55_1404
ko:K01972	babo:DK55_1405
ko:K03631	babo:DK55_1406
ko:K05807	babo:DK55_1407
ko:K02535	babo:DK55_1408
ko:K03531	babo:DK55_1409
ko:K07263	babo:DK55_2197
ko:K07263	babo:DK55_2198
ko:K07001	babo:DK55_2199
ko:K03455	babo:DK55_2200
ko:K03592	babo:DK55_2201
ko:K01092	babo:DK55_2202
ko:K09778	babo:DK55_2204
ko:K02527	babo:DK55_2205
ko:K00912	babo:DK55_2206
ko:K03572	babo:DK55_2208
ko:K08196	babo:DK55_2209
ko:K06446	babo:DK55_2211
ko:K00074	babo:DK55_2213
ko:K02484	babo:DK55_2217
ko:K00380	babo:DK55_2222
ko:K03734	babo:DK55_2223
ko:K00799	babo:DK55_2226
ko:K02014	babo:DK55_2229
ko:K10439	babo:DK55_2232
ko:K10439	babo:DK55_2233
ko:K10441	babo:DK55_2234
ko:K10440	babo:DK55_2235
ko:K10440	babo:DK55_2236
ko:K17247	babo:DK55_2238
ko:K06999	babo:DK55_2240
ko:K01470	babo:DK55_2243
ko:K07010	babo:DK55_2248
ko:K02400	babo:DK55_3037
ko:K02400	babo:DK55_3038
ko:K02400	babo:DK55_3039
ko:K02420	babo:DK55_3040
ko:K02389	babo:DK55_3041
ko:K06601	babo:DK55_3042
ko:K06602	babo:DK55_3043
ko:K02397	babo:DK55_3044
ko:K02396	babo:DK55_3045
ko:K02390	babo:DK55_3046
ko:K10565	babo:DK55_3049
ko:K10564	babo:DK55_3050
ko:K02557	babo:DK55_3051
ko:K02409	babo:DK55_3053
ko:K02406	babo:DK55_3054
ko:K10543	babo:DK55_3057
ko:K10545	babo:DK55_3058
ko:K10544	babo:DK55_3059
ko:K02510	babo:DK55_3063
ko:K02509	babo:DK55_3064
ko:K00151	babo:DK55_3067
ko:K01826	babo:DK55_3068
ko:K07025	babo:DK55_3074
ko:K01999	babo:DK55_3080
ko:K01997	babo:DK55_3081
ko:K01995	babo:DK55_3082
ko:K01998	babo:DK55_3082
ko:K01996	babo:DK55_3083
ko:K07090	babo:DK55_3085
ko:K03710	babo:DK55_3086
ko:K00937	babo:DK55_769
ko:K01524	babo:DK55_770
ko:K03684	babo:DK55_771
ko:K01876	babo:DK55_772
ko:K02621	babo:DK55_774
ko:K01698	babo:DK55_777
ko:K00600	babo:DK55_782
ko:K07738	babo:DK55_783
ko:K11752	babo:DK55_784
ko:K00793	babo:DK55_785
ko:K00794	babo:DK55_786
ko:K03625	babo:DK55_787
ko:K15987	babo:DK55_788
ko:K17662	babo:DK55_790
ko:K03621	babo:DK55_792
ko:K00648	babo:DK55_793
ko:K04764	babo:DK55_794
ko:K01991	babo:DK55_800
ko:K02259	babo:DK55_803
ko:K00145	babo:DK55_804
ko:K01480	babo:DK55_805
ko:K02996	babo:DK55_806
ko:K02871	babo:DK55_807
ko:K00330	babo:DK55_818
ko:K00331	babo:DK55_819
ko:K00332	babo:DK55_820
ko:K00333	babo:DK55_821
ko:K00334	babo:DK55_822
ko:K03089	babo:DK55_1620
ko:K06180	babo:DK55_1621
ko:K03711	babo:DK55_1624
ko:K03088	babo:DK55_1629
ko:K03561	babo:DK55_1636
ko:K03559	babo:DK55_1637
ko:K03832	babo:DK55_1638
ko:K05685	babo:DK55_1641
ko:K13888	babo:DK55_1642
ko:K05800	babo:DK55_1644
ko:K01939	babo:DK55_1650
ko:K00058	babo:DK55_1652
ko:K00831	babo:DK55_1653
ko:K03453	babo:DK55_1654
ko:K03431	babo:DK55_1656
ko:K03798	babo:DK55_1657
ko:K04075	babo:DK55_1658
ko:K03640	babo:DK55_1661
ko:K03641	babo:DK55_1662
ko:K03560	babo:DK55_1664
ko:K03562	babo:DK55_1665
ko:K07107	babo:DK55_1666
ko:K03551	babo:DK55_1667
ko:K03550	babo:DK55_1668
ko:K01159	babo:DK55_1669
ko:K13592	babo:DK55_1670
ko:K01919	babo:DK55_2462
ko:K09761	babo:DK55_2463
ko:K06075	babo:DK55_2464
ko:K02016	babo:DK55_2468
ko:K02015	babo:DK55_2469
ko:K02013	babo:DK55_2470
ko:K02026	babo:DK55_2473
ko:K02025	babo:DK55_2474
ko:K02027	babo:DK55_2475
ko:K10112	babo:DK55_2477
ko:K02000	babo:DK55_2482
ko:K02001	babo:DK55_2483
ko:K02002	babo:DK55_2484
ko:K01915	babo:DK55_2488
ko:K00605	babo:DK55_2493
ko:K02437	babo:DK55_2494
ko:K00281	babo:DK55_2495
ko:K03719	babo:DK55_2496
ko:K13821	babo:DK55_2497
ko:K02012	babo:DK55_2498
ko:K02011	babo:DK55_2499
ko:K02010	babo:DK55_2500
ko:K01092	babo:DK55_2501
ko:K03337	babo:DK55_2502
ko:K03335	babo:DK55_2503
ko:K03336	babo:DK55_2504
ko:K03338	babo:DK55_2505
ko:K00010	babo:DK55_2507
ko:K04761	babo:DK55_2509
ko:K03386	babo:DK55_2510
ko:K04756	babo:DK55_2511
ko:K14588	babo:DK55_2514
ko:K01681	babo:DK55_111
ko:K02193	babo:DK55_112
ko:K02194	babo:DK55_113
ko:K02195	babo:DK55_114
ko:K02196	babo:DK55_115
ko:K02199	babo:DK55_116
ko:K01687	babo:DK55_117
ko:K02048	babo:DK55_125
ko:K02046	babo:DK55_126
ko:K02047	babo:DK55_127
ko:K02045	babo:DK55_128
ko:K13688	babo:DK55_129
ko:K00763	babo:DK55_130
ko:K00847	babo:DK55_133
ko:K16079	babo:DK55_136
ko:K16079	babo:DK55_137
ko:K03684	babo:DK55_138
ko:K05592	babo:DK55_141
ko:K02470	babo:DK55_142
ko:K01070	babo:DK55_143
ko:K02348	babo:DK55_146
ko:K00121	babo:DK55_147
ko:K03579	babo:DK55_149
ko:K03579	babo:DK55_150
ko:K15011	babo:DK55_151
ko:K15012	babo:DK55_154
ko:K01867	babo:DK55_159
ko:K03980	babo:DK55_160
ko:K00990	babo:DK55_161
ko:K00029	babo:DK55_162
ko:K00029	babo:DK55_163
ko:K00537	babo:DK55_997
ko:K03642	babo:DK55_998
ko:K07258	babo:DK55_999
ko:K00943	babo:DK55_1000
ko:K02341	babo:DK55_1001
ko:K01874	babo:DK55_1002
ko:K03424	babo:DK55_1003
ko:K06167	babo:DK55_1004
ko:K06147	babo:DK55_1005
ko:K06179	babo:DK55_1006
ko:K01091	babo:DK55_1008
ko:K01915	babo:DK55_1010
ko:K04751	babo:DK55_1011
ko:K01091	babo:DK55_1014
ko:K01807	babo:DK55_1015
ko:K09924	babo:DK55_1016
ko:K00383	babo:DK55_1017
ko:K01626	babo:DK55_1018
ko:K00901	babo:DK55_1019
ko:K01916	babo:DK55_1020
ko:K01885	babo:DK55_1022
ko:K00029	babo:DK55_1023
ko:K02066	babo:DK55_1025
ko:K02065	babo:DK55_1026
ko:K02067	babo:DK55_1027
ko:K18480	babo:DK55_1028
ko:K04755	babo:DK55_1030
ko:K00384	babo:DK55_1031
ko:K00384	babo:DK55_1032
ko:K00796	babo:DK55_1034
ko:K01633	babo:DK55_1035
ko:K00950	babo:DK55_1036
ko:K08990	babo:DK55_1038
ko:K06918	babo:DK55_1039
ko:K08296	babo:DK55_1040
ko:K06204	babo:DK55_1041
ko:K01719	babo:DK55_1830
ko:K01749	babo:DK55_1831
ko:K01409	babo:DK55_1832
ko:K00057	babo:DK55_1833
ko:K09780	babo:DK55_1834
ko:K03466	babo:DK55_1839
ko:K03320	babo:DK55_1840
ko:K10805	babo:DK55_1841
ko:K03185	babo:DK55_1842
ko:K00240	babo:DK55_1844
ko:K00239	babo:DK55_1845
ko:K00242	babo:DK55_1846
ko:K00241	babo:DK55_1847
ko:K01703	babo:DK55_1849
ko:K02884	babo:DK55_1850
ko:K03457	babo:DK55_1851
ko:K07090	babo:DK55_1852
ko:K00554	babo:DK55_1857
ko:K02860	babo:DK55_1858
ko:K03733	babo:DK55_1859
ko:K09973	babo:DK55_1860
