ko:K01175	mhat:B824_11000
ko:K02564	mhat:B824_21830
ko:K03216	mhat:B824_21850
ko:K12297	mhat:B824_21860
ko:K07685	mhat:B824_21870
ko:K02529	mhat:B824_21880
ko:K00852	mhat:B824_21890
ko:K10439	mhat:B824_21900
ko:K10440	mhat:B824_21910
ko:K10441	mhat:B824_21920
ko:K06726	mhat:B824_21930
ko:K06980	mhat:B824_21950
ko:K00989	mhat:B824_21970
ko:K00782	mhat:B824_22000
ko:K18929	mhat:B824_22010
ko:K18928	mhat:B824_22020
ko:K06942	mhat:B824_22050
ko:K02431	mhat:B824_720
ko:K01628	mhat:B824_730
ko:K10441	mhat:B824_740
ko:K10440	mhat:B824_750
ko:K10439	mhat:B824_760
ko:K00048	mhat:B824_780
ko:K07248	mhat:B824_790
ko:K08996	mhat:B824_810
ko:K03499	mhat:B824_820
ko:K03500	mhat:B824_830
ko:K07080	mhat:B824_860
ko:K03833	mhat:B824_870
ko:K00275	mhat:B824_900
ko:K01042	mhat:B824_910
ko:K01788	mhat:B824_920
ko:K00885	mhat:B824_930
ko:K01639	mhat:B824_940
ko:K12368	mhat:B824_960
ko:K06205	mhat:B824_970
ko:K03718	mhat:B824_990
ko:K02822	mhat:B824_2890
ko:K03475	mhat:B824_2890
ko:K03476	mhat:B824_2900
ko:K03477	mhat:B824_2910
ko:K00868	mhat:B824_2990
ko:K01962	mhat:B824_3000
ko:K00655	mhat:B824_3020
ko:K11065	mhat:B824_3030
ko:K03217	mhat:B824_3040
ko:K03286	mhat:B824_3080
ko:K09911	mhat:B824_3090
ko:K04770	mhat:B824_3100
ko:K01716	mhat:B824_3110
ko:K03274	mhat:B824_3120
ko:K01462	mhat:B824_3130
ko:K04096	mhat:B824_3140
ko:K03475	mhat:B824_3150
ko:K02822	mhat:B824_3160
ko:K03073	mhat:B824_3180
ko:K02601	mhat:B824_3190
ko:K02867	mhat:B824_3210
ko:K02863	mhat:B824_3220
ko:K00647	mhat:B824_3240
ko:K03655	mhat:B824_3260
ko:K00059	mhat:B824_3270
ko:K09458	mhat:B824_3280
ko:K00648	mhat:B824_3300
ko:K02864	mhat:B824_3320
ko:K02935	mhat:B824_3330
ko:K03317	mhat:B824_3380
ko:K03317	mhat:B824_3390
ko:K14441	mhat:B824_3410
ko:K01243	mhat:B824_3420
ko:K03745	mhat:B824_3430
ko:K03772	mhat:B824_3440
ko:K07235	mhat:B824_3460
ko:K03327	mhat:B824_8990
ko:K03582	mhat:B824_9000
ko:K04760	mhat:B824_9010
ko:K07751	mhat:B824_9020
ko:K03453	mhat:B824_9040
ko:K13888	mhat:B824_9050
ko:K01649	mhat:B824_9070
ko:K03088	mhat:B824_9080
ko:K03597	mhat:B824_9090
ko:K03598	mhat:B824_9100
ko:K03803	mhat:B824_9110
ko:K01897	mhat:B824_9120
ko:K00761	mhat:B824_9130
ko:K02528	mhat:B824_9140
ko:K03771	mhat:B824_9150
ko:K02825	mhat:B824_9160
ko:K03272	mhat:B824_9170
ko:K03977	mhat:B824_9180
ko:K02492	mhat:B824_9190
ko:K00951	mhat:B824_9200
ko:K00099	mhat:B824_9210
ko:K03315	mhat:B824_9220
ko:K02031	mhat:B824_9250
ko:K02034	mhat:B824_9250
ko:K02033	mhat:B824_9260
ko:K02035	mhat:B824_9270
ko:K01695	mhat:B824_15880
ko:K01696	mhat:B824_15890
ko:K16066	mhat:B824_15900
ko:K03746	mhat:B824_15920
ko:K01433	mhat:B824_15930
ko:K03748	mhat:B824_15940
ko:K00641	mhat:B824_15950
ko:K04567	mhat:B824_15960
ko:K08301	mhat:B824_15970
ko:K09951	mhat:B824_15980
ko:K15342	mhat:B824_15990
ko:K07464	mhat:B824_16010
ko:K19118	mhat:B824_16020
ko:K19117	mhat:B824_16030
ko:K19119	mhat:B824_16040
ko:K06915	mhat:B824_16050
ko:K07012	mhat:B824_16070
ko:K09136	mhat:B824_16080
ko:K15257	mhat:B824_16090
ko:K02470	mhat:B824_16100
ko:K01156	mhat:B824_16120
ko:K07316	mhat:B824_16130
ko:K03179	mhat:B824_16140
ko:K02444	mhat:B824_16150
ko:K01756	mhat:B824_16160
ko:K07153	mhat:B824_16170
ko:K16012	mhat:B824_16180
ko:K16013	mhat:B824_16190
ko:K06168	mhat:B824_22590
ko:K02777	mhat:B824_22600
ko:K08483	mhat:B824_22610
ko:K02784	mhat:B824_22620
ko:K02063	mhat:B824_22630
ko:K02062	mhat:B824_22640
ko:K02809	mhat:B824_22650
ko:K02810	mhat:B824_22650
ko:K01265	mhat:B824_22660
ko:K09125	mhat:B824_22670
ko:K06911	mhat:B824_22680
ko:K01792	mhat:B824_22690
ko:K03841	mhat:B824_22700
ko:K01347	mhat:B824_22710
ko:K09896	mhat:B824_22730
ko:K03673	mhat:B824_22740
ko:K05590	mhat:B824_22770
ko:K03674	mhat:B824_22780
ko:K03308	mhat:B824_22790
ko:K07040	mhat:B824_22820
ko:K02911	mhat:B824_22830
ko:K03621	mhat:B824_22840
ko:K00013	mhat:B824_22850
ko:K00765	mhat:B824_22860
ko:K01923	mhat:B824_22870
ko:K00053	mhat:B824_22880
ko:K03808	mhat:B824_22890
ko:K01734	mhat:B824_22920
ko:K01733	mhat:B824_22930
ko:K04761	mhat:B824_22950
ko:K02558	mhat:B824_23050
ko:K04754	mhat:B824_23060
ko:K03764	mhat:B824_23070
ko:K14392	mhat:B824_23090
ko:K03313	mhat:B824_23100
ko:K08978	mhat:B824_23110
ko:K06133	mhat:B824_23120
ko:K13256	mhat:B824_23130
ko:K01914	mhat:B824_1000
ko:K02114	mhat:B824_1020
ko:K02112	mhat:B824_1030
ko:K02115	mhat:B824_1040
ko:K02111	mhat:B824_1050
ko:K02113	mhat:B824_1060
ko:K02109	mhat:B824_1070
ko:K02110	mhat:B824_1080
ko:K02108	mhat:B824_1090
ko:K02116	mhat:B824_1100
ko:K01956	mhat:B824_1110
ko:K01955	mhat:B824_1120
ko:K08092	mhat:B824_1140
ko:K10441	mhat:B824_1200
ko:K10440	mhat:B824_1210
ko:K10439	mhat:B824_1220
ko:K01053	mhat:B824_1230
ko:K00880	mhat:B824_1240
ko:K00111	mhat:B824_1280
ko:K02445	mhat:B824_1290
ko:K03544	mhat:B824_6760
ko:K01358	mhat:B824_6770
ko:K02426	mhat:B824_6780
ko:K00766	mhat:B824_6800
ko:K01658	mhat:B824_6820
ko:K01657	mhat:B824_6830
ko:K06178	mhat:B824_6850
ko:K03811	mhat:B824_6890
ko:K00705	mhat:B824_6900
ko:K01945	mhat:B824_6920
ko:K02990	mhat:B824_6930
ko:K02686	mhat:B824_6940
ko:K02963	mhat:B824_6950
ko:K02939	mhat:B824_6960
ko:K02342	mhat:B824_6970
ko:K03617	mhat:B824_7020
ko:K03616	mhat:B824_7030
ko:K03615	mhat:B824_7040
ko:K03614	mhat:B824_7060
ko:K03612	mhat:B824_7070
ko:K03613	mhat:B824_7080
ko:K02560	mhat:B824_7110
ko:K00759	mhat:B824_7120
ko:K02343	mhat:B824_7130
ko:K01990	mhat:B824_7140
ko:K01992	mhat:B824_7150
ko:K02020	mhat:B824_7160
ko:K02018	mhat:B824_7170
ko:K02017	mhat:B824_7180
ko:K09801	mhat:B824_7200
ko:K01270	mhat:B824_7220
ko:K00769	mhat:B824_7260
ko:K00942	mhat:B824_7270
ko:K14682	mhat:B824_13450
ko:K09946	mhat:B824_13460
ko:K01262	mhat:B824_13470
ko:K02446	mhat:B824_13490
ko:K09892	mhat:B824_13500
ko:K06871	mhat:B824_13520
ko:K03307	mhat:B824_13540
ko:K07090	mhat:B824_13560
ko:K14742	mhat:B824_13570
ko:K01626	mhat:B824_13580
ko:K07054	mhat:B824_13590
ko:K03466	mhat:B824_13600
ko:K03719	mhat:B824_13610
ko:K03684	mhat:B824_13620
ko:K01935	mhat:B824_13640
ko:K09890	mhat:B824_13650
ko:K03548	mhat:B824_13670
ko:K03168	mhat:B824_13700
ko:K01989	mhat:B824_13730
ko:K03600	mhat:B824_13740
ko:K03599	mhat:B824_13750
ko:K01588	mhat:B824_13760
ko:K01589	mhat:B824_13780
ko:K03702	mhat:B824_13800
ko:K07224	mhat:B824_13830
ko:K16301	mhat:B824_13840
ko:K07053	mhat:B824_13860
ko:K01141	mhat:B824_13880
ko:K01893	mhat:B824_13890
ko:K02356	mhat:B824_13920
ko:K01886	mhat:B824_13970
ko:K01126	mhat:B824_13980
ko:K00939	mhat:B824_20780
ko:K09794	mhat:B824_20810
ko:K14170	mhat:B824_20820
ko:K01414	mhat:B824_20830
ko:K04069	mhat:B824_20840
ko:K00656	mhat:B824_20860
ko:K06212	mhat:B824_20870
ko:K03799	mhat:B824_20890
ko:K02346	mhat:B824_20900
ko:K01876	mhat:B824_20930
ko:K01347	mhat:B824_20940
ko:K08310	mhat:B824_20970
ko:K01159	mhat:B824_21000
ko:K00790	mhat:B824_21010
ko:K07122	mhat:B824_21030
ko:K07323	mhat:B824_21040
ko:K02501	mhat:B824_4480
ko:K01089	mhat:B824_4500
ko:K00817	mhat:B824_4510
ko:K00564	mhat:B824_4540
ko:K02344	mhat:B824_4550
ko:K03789	mhat:B824_4560
ko:K06207	mhat:B824_4570
ko:K06997	mhat:B824_4580
ko:K03270	mhat:B824_4590
ko:K09803	mhat:B824_4600
ko:K03089	mhat:B824_4630
ko:K01347	mhat:B824_4680
ko:K00640	mhat:B824_4690
ko:K00057	mhat:B824_4700
ko:K03071	mhat:B824_4710
ko:K03545	mhat:B824_4730
ko:K02358	mhat:B824_4740
ko:K02355	mhat:B824_4750
ko:K02992	mhat:B824_4760
ko:K02950	mhat:B824_4770
ko:K02841	mhat:B824_4780
ko:K02843	mhat:B824_4790
ko:K07268	mhat:B824_4810
ko:K02237	mhat:B824_4820
ko:K01613	mhat:B824_4830
ko:K01153	mhat:B824_4840
ko:K03427	mhat:B824_4850
ko:K01154	mhat:B824_4880
ko:K01154	mhat:B824_4900
ko:K01919	mhat:B824_4920
ko:K02793	mhat:B824_4930
ko:K02794	mhat:B824_4930
ko:K02795	mhat:B824_4940
ko:K01803	mhat:B824_4970
ko:K06176	mhat:B824_4980
ko:K03787	mhat:B824_4990
ko:K06194	mhat:B824_5030
ko:K00700	mhat:B824_10680
ko:K00975	mhat:B824_10700
ko:K00703	mhat:B824_10710
ko:K00688	mhat:B824_10720
ko:K15396	mhat:B824_10730
ko:K00324	mhat:B824_10740
ko:K00325	mhat:B824_10750
ko:K03576	mhat:B824_10760
ko:K00133	mhat:B824_10770
ko:K07726	mhat:B824_10810
ko:K07733	mhat:B824_10860
ko:K03075	mhat:B824_10930
ko:K03169	mhat:B824_10940
ko:K07261	mhat:B824_10950
ko:K01736	mhat:B824_10960
ko:K05802	mhat:B824_10970
ko:K01911	mhat:B824_10980
ko:K03645	mhat:B824_10990
ko:K15256	mhat:B824_11010
ko:K03604	mhat:B824_11020
ko:K01494	mhat:B824_11050
ko:K00876	mhat:B824_11060
ko:K06895	mhat:B824_11070
ko:K03569	mhat:B824_11080
ko:K03570	mhat:B824_11090
ko:K03571	mhat:B824_11100
ko:K07478	mhat:B824_11110
ko:K09816	mhat:B824_11120
ko:K00795	mhat:B824_11150
ko:K03602	mhat:B824_11160
ko:K07140	mhat:B824_11170
ko:K00884	mhat:B824_11190
ko:K01766	mhat:B824_17300
ko:K00850	mhat:B824_17310
ko:K03151	mhat:B824_17330
ko:K01491	mhat:B824_17340
ko:K01939	mhat:B824_17350
ko:K04087	mhat:B824_17370
ko:K04088	mhat:B824_17380
ko:K03671	mhat:B824_17410
ko:K03695	mhat:B824_17440
ko:K00549	mhat:B824_17450
ko:K14445	mhat:B824_17470
ko:K01489	mhat:B824_17480
ko:K01633	mhat:B824_17500
ko:K08591	mhat:B824_17510
ko:K02622	mhat:B824_17520
ko:K09157	mhat:B824_17550
ko:K03758	mhat:B824_17560
ko:K04072	mhat:B824_17580
ko:K01749	mhat:B824_17590
ko:K01719	mhat:B824_17600
ko:K02496	mhat:B824_17610
ko:K02498	mhat:B824_17620
ko:K09781	mhat:B824_17630
ko:K02956	mhat:B824_17640
ko:K03770	mhat:B824_17650
ko:K02035	mhat:B824_17670
ko:K03593	mhat:B824_17680
ko:K11211	mhat:B824_17690
ko:K01495	mhat:B824_17700
ko:K06173	mhat:B824_17710
ko:K17686	mhat:B824_17720
ko:K01448	mhat:B824_17760
ko:K06925	mhat:B824_17770
ko:K13288	mhat:B824_17780
ko:K00954	mhat:B824_17790
ko:K02527	mhat:B824_17800
ko:K08303	mhat:B824_17810
ko:K15536	mhat:B824_17820
ko:K02337	mhat:B824_17840
ko:K17208	mhat:B824_24240
ko:K00140	mhat:B824_24260
ko:K03337	mhat:B824_24270
ko:K00135	mhat:B824_24280
ko:K07791	mhat:B824_24290
ko:K01779	mhat:B824_24300
ko:K03299	mhat:B824_24320
ko:K00851	mhat:B824_24330
ko:K06145	mhat:B824_24340
ko:K02529	mhat:B824_24350
ko:K02879	mhat:B824_24360
ko:K03040	mhat:B824_24370
ko:K02986	mhat:B824_24380
ko:K02948	mhat:B824_24390
ko:K02952	mhat:B824_24400
ko:K02919	mhat:B824_24410
ko:K03076	mhat:B824_24420
ko:K02876	mhat:B824_24430
ko:K02907	mhat:B824_24440
ko:K02988	mhat:B824_24450
ko:K02881	mhat:B824_24460
ko:K02933	mhat:B824_24470
ko:K02994	mhat:B824_24480
ko:K02954	mhat:B824_24490
ko:K02931	mhat:B824_24500
ko:K02895	mhat:B824_24510
ko:K02874	mhat:B824_24520
ko:K00820	mhat:B824_24530
ko:K04062	mhat:B824_24550
ko:K02012	mhat:B824_24560
ko:K02011	mhat:B824_24570
ko:K02010	mhat:B824_24580
ko:K02358	mhat:B824_24590
ko:K00867	mhat:B824_24600
ko:K02199	mhat:B824_24610
ko:K02200	mhat:B824_24630
ko:K03831	mhat:B824_24650
ko:K04751	mhat:B824_24660
ko:K03101	mhat:B824_24670
ko:K03527	mhat:B824_24680
ko:K09159	mhat:B824_24690
ko:K09897	mhat:B824_24700
ko:K00557	mhat:B824_24710
ko:K09790	mhat:B824_24720
ko:K01126	mhat:B824_1300
ko:K02445	mhat:B824_1310
ko:K03501	mhat:B824_1380
ko:K03495	mhat:B824_1400
ko:K09858	mhat:B824_1410
ko:K09689	mhat:B824_1430
ko:K09688	mhat:B824_1440
ko:K10107	mhat:B824_1450
ko:K01991	mhat:B824_1460
ko:K07266	mhat:B824_1510
ko:K07265	mhat:B824_1520
ko:K01840	mhat:B824_1540
ko:K03655	mhat:B824_1560
ko:K04079	mhat:B824_1590
ko:K01881	mhat:B824_1620
ko:K03788	mhat:B824_1640
ko:K00757	mhat:B824_1650
ko:K03181	mhat:B824_1670
ko:K01776	mhat:B824_1690
ko:K04763	mhat:B824_1700
ko:K04075	mhat:B824_1710
ko:K03650	mhat:B824_1720
ko:K03773	mhat:B824_1750
ko:K02237	mhat:B824_1760
ko:K03555	mhat:B824_1780
ko:K01625	mhat:B824_1800
ko:K00874	mhat:B824_1810
ko:K08357	mhat:B824_7310
ko:K08359	mhat:B824_7320
ko:K08358	mhat:B824_7330
ko:K02836	mhat:B824_7410
ko:K07088	mhat:B824_7420
ko:K07098	mhat:B824_7430
ko:K00965	mhat:B824_7450
ko:K00849	mhat:B824_7460
ko:K01785	mhat:B824_7470
ko:K07109	mhat:B824_7480
ko:K03210	mhat:B824_7490
ko:K03072	mhat:B824_7500
ko:K03074	mhat:B824_7510
ko:K06901	mhat:B824_7520
ko:K02012	mhat:B824_7560
ko:K07236	mhat:B824_3470
ko:K07237	mhat:B824_3480
ko:K03043	mhat:B824_3510
ko:K03046	mhat:B824_3520
ko:K01845	mhat:B824_3540
ko:K02851	mhat:B824_3550
ko:K05790	mhat:B824_3560
ko:K02472	mhat:B824_3570
ko:K02805	mhat:B824_3590
ko:K01915	mhat:B824_3600
ko:K12582	mhat:B824_3610
ko:K02853	mhat:B824_3620
ko:K02852	mhat:B824_3630
ko:K03269	mhat:B824_3660
ko:K03424	mhat:B824_3680
ko:K07746	mhat:B824_3700
ko:K02341	mhat:B824_3710
ko:K00943	mhat:B824_3720
ko:K07082	mhat:B824_3730
ko:K01507	mhat:B824_3740
ko:K01867	mhat:B824_3770
ko:K18841	mhat:B824_3790
ko:K18842	mhat:B824_3800
ko:K01091	mhat:B824_3810
ko:K13292	mhat:B824_3820
ko:K08311	mhat:B824_3840
ko:K00101	mhat:B824_3850
ko:K00611	mhat:B824_3880
ko:K07792	mhat:B824_3900
ko:K15977	mhat:B824_3910
ko:K03564	mhat:B824_9850
ko:K03273	mhat:B824_9860
ko:K06879	mhat:B824_9870
ko:K09001	mhat:B824_9890
ko:K07106	mhat:B824_9920
ko:K07320	mhat:B824_9930
ko:K19055	mhat:B824_9950
ko:K06889	mhat:B824_9960
ko:K07648	mhat:B824_10000
ko:K00567	mhat:B824_10010
ko:K06076	mhat:B824_10020
ko:K13643	mhat:B824_10030
ko:K04487	mhat:B824_10040
ko:K04488	mhat:B824_10050
ko:K13628	mhat:B824_10070
ko:K04082	mhat:B824_10080
ko:K04044	mhat:B824_10100
ko:K04755	mhat:B824_10120
ko:K09800	mhat:B824_16200
ko:K07278	mhat:B824_16210
ko:K01834	mhat:B824_16260
ko:K02838	mhat:B824_16270
ko:K09903	mhat:B824_16280
ko:K02357	mhat:B824_16300
ko:K02967	mhat:B824_16310
ko:K02012	mhat:B824_16320
ko:K02011	mhat:B824_16330
ko:K02010	mhat:B824_16340
ko:K06915	mhat:B824_16360
ko:K03732	mhat:B824_16370
ko:K03584	mhat:B824_16380
ko:K03685	mhat:B824_16410
ko:K03100	mhat:B824_16420
ko:K03596	mhat:B824_16430
ko:K15977	mhat:B824_16470
ko:K09930	mhat:B824_16490
ko:K09929	mhat:B824_16500
ko:K03088	mhat:B824_16510
ko:K03457	mhat:B824_16530
ko:K02083	mhat:B824_16560
ko:K00926	mhat:B824_16590
ko:K00073	mhat:B824_16610
ko:K14977	mhat:B824_16620
ko:K03457	mhat:B824_16640
ko:K01466	mhat:B824_16650
ko:K03773	mhat:B824_16670
ko:K01595	mhat:B824_16680
ko:K04744	mhat:B824_16690
ko:K09894	mhat:B824_16720
ko:K09910	mhat:B824_16730
ko:K03427	mhat:B824_16740
ko:K01154	mhat:B824_16750
ko:K01515	mhat:B824_23140
ko:K03533	mhat:B824_23180
ko:K07811	mhat:B824_23190
ko:K03532	mhat:B824_23200
ko:K02571	mhat:B824_23210
ko:K03651	mhat:B824_23230
ko:K02569	mhat:B824_23240
ko:K02568	mhat:B824_23250
ko:K02574	mhat:B824_23260
ko:K02573	mhat:B824_23270
ko:K02567	mhat:B824_23280
ko:K02570	mhat:B824_23290
ko:K02572	mhat:B824_23300
ko:K13745	mhat:B824_23330
ko:K00836	mhat:B824_23340
ko:K02526	mhat:B824_23360
ko:K02913	mhat:B824_23390
ko:K02902	mhat:B824_23400
ko:K03630	mhat:B824_23410
ko:K13038	mhat:B824_23420
ko:K05501	mhat:B824_23470
ko:K09898	mhat:B824_23480
ko:K10914	mhat:B824_23490
ko:K00075	mhat:B824_23500
ko:K03524	mhat:B824_23510
ko:K16087	mhat:B824_23540
ko:K12368	mhat:B824_23550
ko:K01407	mhat:B824_23560
ko:K03583	mhat:B824_23570
ko:K02681	mhat:B824_23580
ko:K02680	mhat:B824_23600
ko:K02679	mhat:B824_23610
ko:K12368	mhat:B824_23630
ko:K12368	mhat:B824_23640
ko:K10542	mhat:B824_23660
ko:K10540	mhat:B824_23670
ko:K02742	mhat:B824_7580
ko:K01166	mhat:B824_7590
ko:K07316	mhat:B824_7640
ko:K07343	mhat:B824_7650
ko:K00789	mhat:B824_7690
ko:K02073	mhat:B824_7700
ko:K02073	mhat:B824_7710
ko:K02073	mhat:B824_7720
ko:K02072	mhat:B824_7730
ko:K02071	mhat:B824_7740
ko:K07459	mhat:B824_7750
ko:K06966	mhat:B824_7760
ko:K15738	mhat:B824_7780
ko:K02469	mhat:B824_7790
ko:K00568	mhat:B824_7810
ko:K14058	mhat:B824_7820
ko:K13041	mhat:B824_7830
ko:K13040	mhat:B824_7840
ko:K07784	mhat:B824_13990
ko:K00965	mhat:B824_14000
ko:K00262	mhat:B824_14030
ko:K06186	mhat:B824_14040
ko:K06899	mhat:B824_14050
ko:K09022	mhat:B824_14060
ko:K05810	mhat:B824_14070
ko:K01186	mhat:B824_14130
ko:K00760	mhat:B824_14140
ko:K03592	mhat:B824_14150
ko:K09889	mhat:B824_14160
ko:K07150	mhat:B824_14180
ko:K03186	mhat:B824_14190
ko:K09979	mhat:B824_14200
ko:K02014	mhat:B824_14220
ko:K07214	mhat:B824_14240
ko:K00773	mhat:B824_14280
ko:K03704	mhat:B824_14310
ko:K02099	mhat:B824_14330
ko:K02058	mhat:B824_14340
ko:K02056	mhat:B824_14360
ko:K02057	mhat:B824_14370
ko:K02057	mhat:B824_14380
ko:K02371	mhat:B824_14440
ko:K07738	mhat:B824_14480
ko:K09902	mhat:B824_14490
ko:K02016	mhat:B824_14510
ko:K02015	mhat:B824_14520
ko:K02015	mhat:B824_14530
ko:K02067	mhat:B824_21050
ko:K02066	mhat:B824_21060
ko:K02065	mhat:B824_21070
ko:K04772	mhat:B824_21080
ko:K04018	mhat:B824_21090
ko:K04017	mhat:B824_21100
ko:K02199	mhat:B824_21110
ko:K04016	mhat:B824_21120
ko:K04015	mhat:B824_21130
ko:K04014	mhat:B824_21140
ko:K04013	mhat:B824_21150
ko:K03385	mhat:B824_21160
ko:K01652	mhat:B824_21170
ko:K11258	mhat:B824_21180
ko:K00878	mhat:B824_21210
ko:K14153	mhat:B824_21230
ko:K04773	mhat:B824_21260
ko:K06959	mhat:B824_21280
ko:K02656	mhat:B824_21290
ko:K06941	mhat:B824_21320
ko:K11604	mhat:B824_21330
ko:K11607	mhat:B824_21340
ko:K11606	mhat:B824_21350
ko:K11605	mhat:B824_21360
ko:K01258	mhat:B824_21380
ko:K18828	mhat:B824_21390
ko:K18829	mhat:B824_21400
ko:K09803	mhat:B824_21420
ko:K03723	mhat:B824_21430
ko:K03834	mhat:B824_21440
ko:K07227	mhat:B824_21450
ko:K07226	mhat:B824_21480
ko:K01256	mhat:B824_21490
ko:K01512	mhat:B824_21500
ko:K15580	mhat:B824_21510
ko:K01703	mhat:B824_21520
ko:K01704	mhat:B824_21530
ko:K10763	mhat:B824_2400
ko:K02193	mhat:B824_2410
ko:K02194	mhat:B824_2420
ko:K02195	mhat:B824_2430
ko:K02196	mhat:B824_2440
ko:K02197	mhat:B824_2460
ko:K02198	mhat:B824_2470
ko:K03979	mhat:B824_2500
ko:K01887	mhat:B824_2510
ko:K09907	mhat:B824_2520
ko:K06077	mhat:B824_2530
ko:K00616	mhat:B824_2560
ko:K08681	mhat:B824_2570
ko:K06215	mhat:B824_2580
ko:K00375	mhat:B824_2590
ko:K02687	mhat:B824_2600
ko:K03568	mhat:B824_2610
ko:K00799	mhat:B824_2620
ko:K01586	mhat:B824_2630
ko:K01679	mhat:B824_2640
ko:K07343	mhat:B824_2650
ko:K02946	mhat:B824_2660
ko:K02906	mhat:B824_2670
ko:K02926	mhat:B824_2680
ko:K02892	mhat:B824_2690
ko:K02886	mhat:B824_2700
ko:K02890	mhat:B824_2720
ko:K02982	mhat:B824_2730
ko:K02878	mhat:B824_2740
ko:K02904	mhat:B824_2750
ko:K02961	mhat:B824_2760
ko:K00380	mhat:B824_2770
ko:K02647	mhat:B824_2830
ko:K03299	mhat:B824_2840
ko:K00865	mhat:B824_2850
ko:K03078	mhat:B824_2860
