ko:K18929	hpt:HPSAT_00655
ko:K03545	hpt:HPSAT_02815
ko:K01358	hpt:HPSAT_02820
ko:K01462	hpt:HPSAT_02825
ko:K07391	hpt:HPSAT_02830
ko:K01534	hpt:HPSAT_02835
ko:K01154	hpt:HPSAT_02840
ko:K03070	hpt:HPSAT_02855
ko:K03634	hpt:HPSAT_02860
ko:K01682	hpt:HPSAT_02885
ko:K09903	hpt:HPSAT_02895
ko:K03060	hpt:HPSAT_02900
ko:K01866	hpt:HPSAT_02910
ko:K00459	hpt:HPSAT_02915
ko:K01448	hpt:HPSAT_02920
ko:K02401	hpt:HPSAT_02930
ko:K03752	hpt:HPSAT_02935
ko:K03639	hpt:HPSAT_02940
ko:K06940	hpt:HPSAT_02970
ko:K03110	hpt:HPSAT_02975
ko:K07084	hpt:HPSAT_03000
ko:K12251	hpt:HPSAT_03005
ko:K02422	hpt:HPSAT_03025
ko:K02407	hpt:HPSAT_03030
ko:K00053	hpt:HPSAT_01650
ko:K03609	hpt:HPSAT_01655
ko:K03608	hpt:HPSAT_01660
ko:K04096	hpt:HPSAT_01665
ko:K07447	hpt:HPSAT_01670
ko:K06180	hpt:HPSAT_01720
ko:K07462	hpt:HPSAT_01725
ko:K01937	hpt:HPSAT_01730
ko:K02410	hpt:HPSAT_01750
ko:K02411	hpt:HPSAT_01755
ko:K01662	hpt:HPSAT_01760
ko:K03596	hpt:HPSAT_01765
ko:K02392	hpt:HPSAT_01780
ko:K03466	hpt:HPSAT_01790
ko:K00615	hpt:HPSAT_01800
ko:K11753	hpt:HPSAT_01805
ko:K06442	hpt:HPSAT_01810
ko:K00609	hpt:HPSAT_01820
ko:K07241	hpt:HPSAT_01855
ko:K03798	hpt:HPSAT_01900
ko:K03183	hpt:HPSAT_07140
ko:K08973	hpt:HPSAT_07145
ko:K01993	hpt:HPSAT_07165
ko:K03306	hpt:HPSAT_07180
ko:K01928	hpt:HPSAT_07195
ko:K02897	hpt:HPSAT_07205
ko:K01056	hpt:HPSAT_07210
ko:K11720	hpt:HPSAT_07215
ko:K09943	hpt:HPSAT_07245
ko:K11752	hpt:HPSAT_07260
ko:K03312	hpt:HPSAT_07265
ko:K08591	hpt:HPSAT_07280
ko:K01633	hpt:HPSAT_07285
ko:K01042	hpt:HPSAT_07300
ko:K02600	hpt:HPSAT_07305
ko:K03655	hpt:HPSAT_07325
ko:K01142	hpt:HPSAT_07340
ko:K02313	hpt:HPSAT_07350
ko:K00820	hpt:HPSAT_07365
ko:K01154	hpt:HPSAT_07375
ko:K03427	hpt:HPSAT_07385
ko:K01153	hpt:HPSAT_07390
ko:K07043	hpt:HPSAT_07395
ko:K08303	hpt:HPSAT_00815
ko:K02836	hpt:HPSAT_00825
ko:K03750	hpt:HPSAT_00830
ko:K02421	hpt:HPSAT_00835
ko:K01624	hpt:HPSAT_00855
ko:K02356	hpt:HPSAT_00860
ko:K03820	hpt:HPSAT_00875
ko:K03558	hpt:HPSAT_00890
ko:K04567	hpt:HPSAT_00895
ko:K00600	hpt:HPSAT_00900
ko:K00246	hpt:HPSAT_00950
ko:K01803	hpt:HPSAT_00955
ko:K00208	hpt:HPSAT_00960
ko:K02536	hpt:HPSAT_00965
ko:K00789	hpt:HPSAT_00970
ko:K00940	hpt:HPSAT_00975
ko:K02911	hpt:HPSAT_00985
ko:K03621	hpt:HPSAT_00990
ko:K00648	hpt:HPSAT_00995
ko:K04079	hpt:HPSAT_01040
ko:K03495	hpt:HPSAT_01055
ko:K14445	hpt:HPSAT_01060
ko:K00981	hpt:HPSAT_01065
ko:K00099	hpt:HPSAT_01070
ko:K01057	hpt:HPSAT_05265
ko:K13979	hpt:HPSAT_05275
ko:K00172	hpt:HPSAT_05305
ko:K00171	hpt:HPSAT_05310
ko:K00169	hpt:HPSAT_05315
ko:K00170	hpt:HPSAT_05320
ko:K01756	hpt:HPSAT_05325
ko:K03702	hpt:HPSAT_05335
ko:K02396	hpt:HPSAT_05360
ko:K03775	hpt:HPSAT_05390
ko:K03640	hpt:HPSAT_05400
ko:K03641	hpt:HPSAT_05405
ko:K02114	hpt:HPSAT_05425
ko:K02112	hpt:HPSAT_05430
ko:K02115	hpt:HPSAT_05435
ko:K02111	hpt:HPSAT_05440
ko:K02113	hpt:HPSAT_05445
ko:K02109	hpt:HPSAT_05450
ko:K02109	hpt:HPSAT_05455
ko:K03524	hpt:HPSAT_05470
ko:K00604	hpt:HPSAT_05475
ko:K02884	hpt:HPSAT_05520
ko:K00554	hpt:HPSAT_05525
ko:K02860	hpt:HPSAT_05530
ko:K06960	hpt:HPSAT_05535
ko:K02959	hpt:HPSAT_05540
ko:K02687	hpt:HPSAT_01905
ko:K03413	hpt:HPSAT_01910
ko:K06950	hpt:HPSAT_01925
ko:K03501	hpt:HPSAT_01930
ko:K02838	hpt:HPSAT_06065
ko:K00762	hpt:HPSAT_06070
ko:K00330	hpt:HPSAT_06090
ko:K00331	hpt:HPSAT_06095
ko:K00332	hpt:HPSAT_06100
ko:K00333	hpt:HPSAT_06105
ko:K00334	hpt:HPSAT_06110
ko:K00337	hpt:HPSAT_06125
ko:K00338	hpt:HPSAT_06130
ko:K00339	hpt:HPSAT_06135
ko:K00340	hpt:HPSAT_06140
ko:K00341	hpt:HPSAT_06145
ko:K00342	hpt:HPSAT_06150
ko:K00343	hpt:HPSAT_06155
ko:K15778	hpt:HPSAT_06165
ko:K01695	hpt:HPSAT_06175
ko:K01696	hpt:HPSAT_06180
ko:K13498	hpt:HPSAT_06185
ko:K00766	hpt:HPSAT_06190
ko:K01657	hpt:HPSAT_06200
ko:K03707	hpt:HPSAT_06220
ko:K03811	hpt:HPSAT_06225
ko:K02879	hpt:HPSAT_06245
ko:K03040	hpt:HPSAT_06250
ko:K02986	hpt:HPSAT_06255
ko:K02948	hpt:HPSAT_06260
ko:K02952	hpt:HPSAT_06265
ko:K02919	hpt:HPSAT_06270
ko:K02518	hpt:HPSAT_06275
ko:K01265	hpt:HPSAT_06280
ko:K03076	hpt:HPSAT_06285
ko:K02876	hpt:HPSAT_06290
ko:K02988	hpt:HPSAT_06295
ko:K02881	hpt:HPSAT_06300
ko:K02933	hpt:HPSAT_06305
ko:K02994	hpt:HPSAT_06310
ko:K02954	hpt:HPSAT_06315
ko:K02931	hpt:HPSAT_06320
ko:K02895	hpt:HPSAT_06325
ko:K02874	hpt:HPSAT_06330
ko:K01154	hpt:HPSAT_02200
ko:K03427	hpt:HPSAT_02205
ko:K01153	hpt:HPSAT_02210
ko:K08602	hpt:HPSAT_02240
ko:K02020	hpt:HPSAT_02260
ko:K02018	hpt:HPSAT_02265
ko:K06207	hpt:HPSAT_02295
ko:K03781	hpt:HPSAT_02320
ko:K01159	hpt:HPSAT_02345
ko:K03781	hpt:HPSAT_02355
ko:K06193	hpt:HPSAT_02370
ko:K01521	hpt:HPSAT_02375
ko:K02390	hpt:HPSAT_02380
ko:K04651	hpt:HPSAT_02385
ko:K00748	hpt:HPSAT_02395
ko:K03624	hpt:HPSAT_02400
ko:K03525	hpt:HPSAT_02420
ko:K09792	hpt:HPSAT_02425
ko:K03273	hpt:HPSAT_02430
ko:K03274	hpt:HPSAT_02435
ko:K03272	hpt:HPSAT_02440
ko:K03271	hpt:HPSAT_02445
ko:K00364	hpt:HPSAT_02450
ko:K09805	hpt:HPSAT_02460
ko:K03570	hpt:HPSAT_06650
ko:K03569	hpt:HPSAT_06655
ko:K03544	hpt:HPSAT_06660
ko:K00677	hpt:HPSAT_06665
ko:K02372	hpt:HPSAT_06670
ko:K13626	hpt:HPSAT_06675
ko:K05807	hpt:HPSAT_06685
ko:K01338	hpt:HPSAT_06690
ko:K01173	hpt:HPSAT_06700
ko:K01012	hpt:HPSAT_06720
ko:K07058	hpt:HPSAT_06725
ko:K09457	hpt:HPSAT_06755
ko:K09710	hpt:HPSAT_06760
ko:K00791	hpt:HPSAT_06765
ko:K00075	hpt:HPSAT_06785
ko:K02420	hpt:HPSAT_06790
ko:K02412	hpt:HPSAT_06795
ko:K01870	hpt:HPSAT_06805
ko:K06941	hpt:HPSAT_06825
ko:K06041	hpt:HPSAT_06830
ko:K02528	hpt:HPSAT_06840
ko:K01154	hpt:HPSAT_06855
ko:K01433	hpt:HPSAT_06860
ko:K04773	hpt:HPSAT_06865
ko:K03620	hpt:HPSAT_03625
ko:K03923	hpt:HPSAT_03640
ko:K01924	hpt:HPSAT_03675
ko:K07456	hpt:HPSAT_03685
ko:K07270	hpt:HPSAT_03695
ko:K07270	hpt:HPSAT_03705
ko:K01876	hpt:HPSAT_03715
ko:K03415	hpt:HPSAT_03720
ko:K01972	hpt:HPSAT_03725
ko:K01599	hpt:HPSAT_03770
ko:K02406	hpt:HPSAT_03785
ko:K03611	hpt:HPSAT_03820
ko:K00177	hpt:HPSAT_03840
ko:K00175	hpt:HPSAT_03845
ko:K00174	hpt:HPSAT_03850
ko:K00176	hpt:HPSAT_03855
ko:K07082	hpt:HPSAT_03865
ko:K09811	hpt:HPSAT_03045
ko:K09812	hpt:HPSAT_03050
ko:K03439	hpt:HPSAT_03055
ko:K06180	hpt:HPSAT_03065
ko:K06946	hpt:HPSAT_03070
ko:K05837	hpt:HPSAT_03080
ko:K00948	hpt:HPSAT_03085
ko:K01929	hpt:HPSAT_03095
ko:K01921	hpt:HPSAT_03105
ko:K01095	hpt:HPSAT_03110
ko:K04075	hpt:HPSAT_03175
ko:K07791	hpt:HPSAT_03195
ko:K06895	hpt:HPSAT_03220
ko:K02343	hpt:HPSAT_03225
ko:K06925	hpt:HPSAT_03230
ko:K06861	hpt:HPSAT_03235
ko:K03092	hpt:HPSAT_03240
ko:K07023	hpt:HPSAT_03250
ko:K03438	hpt:HPSAT_03270
ko:K03701	hpt:HPSAT_03280
ko:K02469	hpt:HPSAT_03305
ko:K00901	hpt:HPSAT_03310
ko:K10856	hpt:HPSAT_03320
ko:K01476	hpt:HPSAT_07410
ko:K00259	hpt:HPSAT_07415
ko:K00858	hpt:HPSAT_07435
ko:K03631	hpt:HPSAT_07440
ko:K01783	hpt:HPSAT_07475
ko:K03841	hpt:HPSAT_07480
ko:K02357	hpt:HPSAT_07530
ko:K02967	hpt:HPSAT_07535
ko:K03313	hpt:HPSAT_07545
ko:K03210	hpt:HPSAT_07550
ko:K03072	hpt:HPSAT_07555
ko:K03074	hpt:HPSAT_07560
ko:K01869	hpt:HPSAT_07570
ko:K11754	hpt:HPSAT_07580
ko:K03723	hpt:HPSAT_07600
ko:K00411	hpt:HPSAT_07605
ko:K00412	hpt:HPSAT_07610
ko:K00413	hpt:HPSAT_07615
ko:K03587	hpt:HPSAT_07625
ko:K02408	hpt:HPSAT_07630
ko:K02388	hpt:HPSAT_07635
ko:K02387	hpt:HPSAT_07640
ko:K03588	hpt:HPSAT_07645
ko:K02016	hpt:HPSAT_07650
ko:K02016	hpt:HPSAT_07655
ko:K02073	hpt:HPSAT_07665
ko:K05515	hpt:HPSAT_07670
ko:K03978	hpt:HPSAT_07680
ko:K09774	hpt:HPSAT_07685
ko:K07568	hpt:HPSAT_01935
ko:K03118	hpt:HPSAT_01940
ko:K03117	hpt:HPSAT_01945
ko:K03551	hpt:HPSAT_01950
ko:K00606	hpt:HPSAT_01955
ko:K03610	hpt:HPSAT_01980
ko:K02535	hpt:HPSAT_01985
ko:K00872	hpt:HPSAT_01995
ko:K02519	hpt:HPSAT_02005
ko:K02834	hpt:HPSAT_02010
ko:K09748	hpt:HPSAT_02015
ko:K02400	hpt:HPSAT_02035
ko:K02956	hpt:HPSAT_02040
ko:K03786	hpt:HPSAT_02050
ko:K00950	hpt:HPSAT_02060
ko:K02404	hpt:HPSAT_02065
ko:K04562	hpt:HPSAT_02070
ko:K02405	hpt:HPSAT_02080
ko:K02416	hpt:HPSAT_02085
ko:K02417	hpt:HPSAT_02090
ko:K07478	hpt:HPSAT_02110
ko:K05516	hpt:HPSAT_02120
ko:K12506	hpt:HPSAT_02145
ko:K00995	hpt:HPSAT_02160
ko:K01714	hpt:HPSAT_02175
ko:K00937	hpt:HPSAT_02190
ko:K02961	hpt:HPSAT_06335
ko:K02904	hpt:HPSAT_06340
ko:K02878	hpt:HPSAT_06345
ko:K02982	hpt:HPSAT_06350
ko:K02890	hpt:HPSAT_06355
ko:K02965	hpt:HPSAT_06360
ko:K02886	hpt:HPSAT_06365
ko:K02892	hpt:HPSAT_06370
ko:K02926	hpt:HPSAT_06375
ko:K02906	hpt:HPSAT_06380
ko:K02946	hpt:HPSAT_06385
ko:K07133	hpt:HPSAT_06390
ko:K03470	hpt:HPSAT_06400
ko:K07787	hpt:HPSAT_06430
ko:K03686	hpt:HPSAT_06445
ko:K00566	hpt:HPSAT_06455
ko:K00969	hpt:HPSAT_06465
ko:K07722	hpt:HPSAT_06470
ko:K03561	hpt:HPSAT_06475
ko:K03832	hpt:HPSAT_06485
ko:K03284	hpt:HPSAT_06510
ko:K00927	hpt:HPSAT_06515
ko:K00134	hpt:HPSAT_06520
ko:K03648	hpt:HPSAT_06525
ko:K00655	hpt:HPSAT_06530
ko:K03797	hpt:HPSAT_06540
ko:K00767	hpt:HPSAT_06565
ko:K03517	hpt:HPSAT_06570
ko:K01613	hpt:HPSAT_06575
ko:K03179	hpt:HPSAT_06590
ko:K04487	hpt:HPSAT_01090
ko:K13819	hpt:HPSAT_01095
ko:K04485	hpt:HPSAT_01105
ko:K12267	hpt:HPSAT_01110
ko:K07090	hpt:HPSAT_01120
ko:K00979	hpt:HPSAT_01150
ko:K03981	hpt:HPSAT_01155
ko:K01749	hpt:HPSAT_01185
ko:K01881	hpt:HPSAT_01190
ko:K02492	hpt:HPSAT_01195
ko:K02523	hpt:HPSAT_01200
ko:K04047	hpt:HPSAT_01215
ko:K07710	hpt:HPSAT_01220
ko:K02394	hpt:HPSAT_01230
ko:K05592	hpt:HPSAT_01235
ko:K13896	hpt:HPSAT_01250
ko:K13895	hpt:HPSAT_01255
ko:K01939	hpt:HPSAT_01275
ko:K11749	hpt:HPSAT_01290
ko:K03601	hpt:HPSAT_01295
ko:K03695	hpt:HPSAT_01320
ko:K01465	hpt:HPSAT_01330
ko:K06168	hpt:HPSAT_01345
ko:K09778	hpt:HPSAT_01350
ko:K03106	hpt:HPSAT_05545
ko:K01873	hpt:HPSAT_05550
ko:K02563	hpt:HPSAT_05560
ko:K00286	hpt:HPSAT_05575
ko:K07042	hpt:HPSAT_05590
ko:K03839	hpt:HPSAT_05595
ko:K00384	hpt:HPSAT_05610
ko:K01810	hpt:HPSAT_05620
ko:K06200	hpt:HPSAT_05635
ko:K02029	hpt:HPSAT_05640
ko:K02429	hpt:HPSAT_05670
ko:K06901	hpt:HPSAT_05675
ko:K01839	hpt:HPSAT_05690
ko:K08159	hpt:HPSAT_05720
ko:K00133	hpt:HPSAT_05735
ko:K01892	hpt:HPSAT_05740
ko:K02355	hpt:HPSAT_05755
ko:K02992	hpt:HPSAT_05760
ko:K02950	hpt:HPSAT_05765
ko:K02935	hpt:HPSAT_05780
ko:K02864	hpt:HPSAT_05785
ko:K02863	hpt:HPSAT_05790
ko:K02867	hpt:HPSAT_05795
ko:K02601	hpt:HPSAT_05800
ko:K03073	hpt:HPSAT_05805
ko:K03427	hpt:HPSAT_02480
ko:K01154	hpt:HPSAT_02485
ko:K01153	hpt:HPSAT_02490
ko:K00878	hpt:HPSAT_02495
ko:K00941	hpt:HPSAT_02500
ko:K00788	hpt:HPSAT_02505
ko:K13038	hpt:HPSAT_02555
ko:K15894	hpt:HPSAT_02560
ko:K09860	hpt:HPSAT_02575
ko:K03530	hpt:HPSAT_02585
ko:K03977	hpt:HPSAT_02590
ko:K00797	hpt:HPSAT_02600
ko:K00859	hpt:HPSAT_02605
ko:K02108	hpt:HPSAT_02620
ko:K07270	hpt:HPSAT_02635
ko:K00384	hpt:HPSAT_02640
ko:K03671	hpt:HPSAT_02645
ko:K07460	hpt:HPSAT_02650
ko:K00003	hpt:HPSAT_02655
ko:K03703	hpt:HPSAT_02660
ko:K05847	hpt:HPSAT_02675
ko:K02557	hpt:HPSAT_02690
ko:K02556	hpt:HPSAT_02695
ko:K02415	hpt:HPSAT_02730
ko:K00997	hpt:HPSAT_02735
ko:K07043	hpt:HPSAT_02745
ko:K07270	hpt:HPSAT_02750
ko:K03563	hpt:HPSAT_06920
ko:K00919	hpt:HPSAT_06925
ko:K03664	hpt:HPSAT_06930
ko:K03561	hpt:HPSAT_06935
ko:K02914	hpt:HPSAT_06945
ko:K03536	hpt:HPSAT_06950
ko:K03217	hpt:HPSAT_06960
ko:K03650	hpt:HPSAT_06970
ko:K07337	hpt:HPSAT_07005
ko:K06178	hpt:HPSAT_07015
ko:K02337	hpt:HPSAT_07020
ko:K00428	hpt:HPSAT_07025
ko:K02065	hpt:HPSAT_07045
ko:K02066	hpt:HPSAT_07050
ko:K00826	hpt:HPSAT_07060
ko:K00943	hpt:HPSAT_07090
ko:K00954	hpt:HPSAT_07095
ko:K03186	hpt:HPSAT_07100
ko:K02386	hpt:HPSAT_07110
ko:K03657	hpt:HPSAT_07115
ko:K01875	hpt:HPSAT_07125
ko:K03602	hpt:HPSAT_07135
ko:K06940	hpt:HPSAT_01370
ko:K01609	hpt:HPSAT_01380
ko:K01524	hpt:HPSAT_01390
ko:K02841	hpt:HPSAT_01395
ko:K02517	hpt:HPSAT_01400
ko:K00773	hpt:HPSAT_01405
ko:K09944	hpt:HPSAT_01410
ko:K01735	hpt:HPSAT_01415
ko:K01586	hpt:HPSAT_01450
ko:K01163	hpt:HPSAT_01460
ko:K02397	hpt:HPSAT_01475
ko:K02888	hpt:HPSAT_01480
ko:K02899	hpt:HPSAT_01485
ko:K12368	hpt:HPSAT_01490
ko:K12370	hpt:HPSAT_01500
ko:K12372	hpt:HPSAT_01510
ko:K03979	hpt:HPSAT_01515
ko:K01845	hpt:HPSAT_01530
ko:K07226	hpt:HPSAT_01580
ko:K01887	hpt:HPSAT_01585
ko:K03116	hpt:HPSAT_01590
ko:K00942	hpt:HPSAT_01595
ko:K02393	hpt:HPSAT_01620
ko:K00912	hpt:HPSAT_01640
ko:K02913	hpt:HPSAT_05810
ko:K02358	hpt:HPSAT_05815
ko:K00640	hpt:HPSAT_05840
ko:K02110	hpt:HPSAT_05845
ko:K00962	hpt:HPSAT_05850
ko:K04744	hpt:HPSAT_05860
ko:K01945	hpt:HPSAT_05870
ko:K00806	hpt:HPSAT_05880
ko:K06199	hpt:HPSAT_05900
ko:K08311	hpt:HPSAT_05915
ko:K00928	hpt:HPSAT_05920
ko:K02341	hpt:HPSAT_05930
ko:K00796	hpt:HPSAT_05935
ko:K09804	hpt:HPSAT_05960
ko:K01956	hpt:HPSAT_05965
ko:K06287	hpt:HPSAT_05980
ko:K01872	hpt:HPSAT_05985
ko:K09794	hpt:HPSAT_05990
ko:K02963	hpt:HPSAT_06000
ko:K02990	hpt:HPSAT_06010
ko:K02340	hpt:HPSAT_06015
ko:K12573	hpt:HPSAT_06020
ko:K00014	hpt:HPSAT_06025
ko:K13894	hpt:HPSAT_06035
ko:K01867	hpt:HPSAT_06050
ko:K04043	hpt:HPSAT_00515
ko:K03687	hpt:HPSAT_00520
ko:K03705	hpt:HPSAT_00525
ko:K01628	hpt:HPSAT_00530
ko:K02406	hpt:HPSAT_00545
ko:K03168	hpt:HPSAT_00550
ko:K01868	hpt:HPSAT_00580
ko:K02520	hpt:HPSAT_00585
ko:K02916	hpt:HPSAT_00590
ko:K02887	hpt:HPSAT_00595
ko:K01752	hpt:HPSAT_00620
ko:K07316	hpt:HPSAT_01300
ko:K10773	hpt:HPSAT_03880
ko:K02417	hpt:HPSAT_03885
ko:K01465	hpt:HPSAT_03900
ko:K01491	hpt:HPSAT_03920
ko:K03100	hpt:HPSAT_03925
ko:K01808	hpt:HPSAT_03935
ko:K00759	hpt:HPSAT_03945
ko:K01255	hpt:HPSAT_03955
ko:K06942	hpt:HPSAT_03960
ko:K01778	hpt:HPSAT_03975
ko:K02970	hpt:HPSAT_03995
ko:K02078	hpt:HPSAT_04005
ko:K09458	hpt:HPSAT_04015
ko:K01962	hpt:HPSAT_04020
ko:K03218	hpt:HPSAT_04040
ko:K07056	hpt:HPSAT_04045
ko:K02909	hpt:HPSAT_04050
ko:K03628	hpt:HPSAT_04055
ko:K01776	hpt:HPSAT_04060
ko:K03667	hpt:HPSAT_04195
ko:K01419	hpt:HPSAT_04200
ko:K02939	hpt:HPSAT_04205
ko:K01915	hpt:HPSAT_04215
ko:K00215	hpt:HPSAT_04225
ko:K02470	hpt:HPSAT_04255
ko:K02338	hpt:HPSAT_04260
ko:K01058	hpt:HPSAT_04265
ko:K03308	hpt:HPSAT_04270
ko:K03308	hpt:HPSAT_04275
ko:K07107	hpt:HPSAT_04280
ko:K01925	hpt:HPSAT_04290
ko:K01000	hpt:HPSAT_04295
ko:K15846	hpt:HPSAT_04300
ko:K02902	hpt:HPSAT_04310
ko:K03550	hpt:HPSAT_04335
ko:K03980	hpt:HPSAT_04345
ko:K01883	hpt:HPSAT_04350
ko:K02013	hpt:HPSAT_04365
ko:K02015	hpt:HPSAT_04370
ko:K04654	hpt:HPSAT_04405
ko:K04653	hpt:HPSAT_04410
ko:K03625	hpt:HPSAT_00005
ko:K00794	hpt:HPSAT_00010
ko:K01627	hpt:HPSAT_00015
ko:K01673	hpt:HPSAT_00020
ko:K01591	hpt:HPSAT_00025
ko:K01918	hpt:HPSAT_00030
ko:K04077	hpt:HPSAT_00045
ko:K04078	hpt:HPSAT_00050
ko:K00566	hpt:HPSAT_00060
ko:K09859	hpt:HPSAT_00090
ko:K03415	hpt:HPSAT_00095
ko:K13747	hpt:HPSAT_00100
ko:K03760	hpt:HPSAT_00110
ko:K01647	hpt:HPSAT_00125
ko:K00031	hpt:HPSAT_00130
ko:K01935	hpt:HPSAT_00140
ko:K06891	hpt:HPSAT_00160
ko:K03694	hpt:HPSAT_00165
ko:K01579	hpt:HPSAT_00170
ko:K09747	hpt:HPSAT_00175
ko:K01711	hpt:HPSAT_00215
ko:K00925	hpt:HPSAT_04425
ko:K13788	hpt:HPSAT_04430
ko:K02389	hpt:HPSAT_04440
ko:K02390	hpt:HPSAT_04445
ko:K03657	hpt:HPSAT_04460
ko:K01955	hpt:HPSAT_04495
ko:K00134	hpt:HPSAT_04505
ko:K01821	hpt:HPSAT_04520
ko:K06187	hpt:HPSAT_04525
ko:K06176	hpt:HPSAT_04530
ko:K03799	hpt:HPSAT_04535
ko:K01495	hpt:HPSAT_04540
ko:K00795	hpt:HPSAT_04545
ko:K03787	hpt:HPSAT_04550
ko:K01737	hpt:HPSAT_04560
ko:K01775	hpt:HPSAT_04605
ko:K03310	hpt:HPSAT_04610
ko:K00285	hpt:HPSAT_04615
ko:K00783	hpt:HPSAT_04650
ko:K01963	hpt:HPSAT_04655
ko:K13292	hpt:HPSAT_04680
