ko:K19079	suw:SATW20_07360
ko:K02501	suw:SATW20_28120
ko:K01693	suw:SATW20_28130
ko:K00817	suw:SATW20_28140
ko:K00013	suw:SATW20_28150
ko:K00765	suw:SATW20_28160
ko:K07146	suw:SATW20_28260
ko:K01304	suw:SATW20_28270
ko:K03319	suw:SATW20_28300
ko:K05786	suw:SATW20_28310
ko:K07241	suw:SATW20_28330
ko:K03704	suw:SATW20_28420
ko:K03501	suw:SATW20_28480
ko:K03495	suw:SATW20_28490
ko:K03650	suw:SATW20_28500
ko:K03536	suw:SATW20_28510
ko:K02914	suw:SATW20_28520
ko:K00950	suw:SATW20_05840
ko:K04567	suw:SATW20_05850
ko:K00375	suw:SATW20_05860
ko:K06215	suw:SATW20_05870
ko:K08681	suw:SATW20_05880
ko:K11535	suw:SATW20_05900
ko:K03696	suw:SATW20_05940
ko:K04485	suw:SATW20_05950
ko:K00640	suw:SATW20_05980
ko:K01883	suw:SATW20_05990
ko:K11145	suw:SATW20_06000
ko:K03218	suw:SATW20_06010
ko:K06962	suw:SATW20_06020
ko:K03091	suw:SATW20_06030
ko:K02913	suw:SATW20_06040
ko:K03073	suw:SATW20_06050
ko:K02601	suw:SATW20_06060
ko:K02867	suw:SATW20_06070
ko:K02863	suw:SATW20_06080
ko:K02864	suw:SATW20_06090
ko:K02935	suw:SATW20_06100
ko:K03043	suw:SATW20_06120
ko:K03046	suw:SATW20_06130
ko:K07590	suw:SATW20_06140
ko:K02950	suw:SATW20_06150
ko:K02992	suw:SATW20_06160
ko:K02355	suw:SATW20_06170
ko:K02358	suw:SATW20_06180
ko:K05523	suw:SATW20_06210
ko:K00826	suw:SATW20_06240
ko:K01091	suw:SATW20_06250
ko:K09125	suw:SATW20_14330
ko:K08170	suw:SATW20_14360
ko:K01754	suw:SATW20_14380
ko:K00259	suw:SATW20_14390
ko:K07444	suw:SATW20_14440
ko:K05366	suw:SATW20_14490
ko:K10773	suw:SATW20_14510
ko:K01893	suw:SATW20_14530
ko:K03524	suw:SATW20_14550
ko:K06973	suw:SATW20_14590
ko:K00800	suw:SATW20_14630
ko:K01735	suw:SATW20_14640
ko:K01736	suw:SATW20_14650
ko:K00940	suw:SATW20_14660
ko:K03183	suw:SATW20_14680
ko:K03530	suw:SATW20_14700
ko:K00057	suw:SATW20_14710
ko:K03977	suw:SATW20_14720
ko:K02945	suw:SATW20_14730
ko:K02112	suw:SATW20_22410
ko:K02115	suw:SATW20_22420
ko:K02111	suw:SATW20_22430
ko:K02113	suw:SATW20_22440
ko:K02109	suw:SATW20_22450
ko:K02110	suw:SATW20_22460
ko:K02108	suw:SATW20_22470
ko:K00761	suw:SATW20_22500
ko:K00600	suw:SATW20_22510
ko:K07566	suw:SATW20_22540
ko:K02493	suw:SATW20_22550
ko:K02835	suw:SATW20_22560
ko:K02909	suw:SATW20_22580
ko:K03628	suw:SATW20_22590
ko:K00790	suw:SATW20_22620
ko:K01624	suw:SATW20_22630
ko:K01937	suw:SATW20_22650
ko:K07173	suw:SATW20_22720
ko:K00756	suw:SATW20_22740
ko:K04047	suw:SATW20_22770
ko:K01809	suw:SATW20_22810
ko:K02013	suw:SATW20_22890
ko:K00820	suw:SATW20_22900
ko:K02313	suw:SATW20_00010
ko:K02338	suw:SATW20_00020
ko:K03629	suw:SATW20_00040
ko:K02470	suw:SATW20_00050
ko:K02469	suw:SATW20_00060
ko:K01745	suw:SATW20_00080
ko:K01875	suw:SATW20_00090
ko:K00641	suw:SATW20_00120
ko:K02939	suw:SATW20_00150
ko:K01939	suw:SATW20_00170
ko:K00783	suw:SATW20_00250
ko:K09968	suw:SATW20_00270
ko:K00134	suw:SATW20_08470
ko:K00927	suw:SATW20_08480
ko:K01803	suw:SATW20_08490
ko:K15633	suw:SATW20_08500
ko:K01689	suw:SATW20_08510
ko:K03075	suw:SATW20_08530
ko:K03928	suw:SATW20_08540
ko:K12573	suw:SATW20_08550
ko:K03664	suw:SATW20_08560
ko:K03704	suw:SATW20_08670
ko:K06895	suw:SATW20_08750
ko:K03785	suw:SATW20_08780
ko:K02437	suw:SATW20_08820
ko:K07476	suw:SATW20_08840
ko:K02071	suw:SATW20_08860
ko:K02072	suw:SATW20_08870
ko:K02073	suw:SATW20_08880
ko:K07727	suw:SATW20_08930
ko:K07738	suw:SATW20_16760
ko:K00134	suw:SATW20_16770
ko:K00859	suw:SATW20_16780
ko:K07636	suw:SATW20_16820
ko:K00031	suw:SATW20_16840
ko:K01647	suw:SATW20_16850
ko:K00873	suw:SATW20_16890
ko:K00850	suw:SATW20_16900
ko:K01962	suw:SATW20_16910
ko:K01963	suw:SATW20_16920
ko:K02337	suw:SATW20_16940
ko:K00259	suw:SATW20_17000
ko:K00925	suw:SATW20_17020
ko:K11065	suw:SATW20_17040
ko:K07090	suw:SATW20_17050
ko:K03151	suw:SATW20_17060
ko:K04487	suw:SATW20_17070
ko:K02986	suw:SATW20_17100
ko:K01126	suw:SATW20_17110
ko:K00655	suw:SATW20_17170
ko:K01866	suw:SATW20_17190
ko:K01938	suw:SATW20_17220
ko:K00116	suw:SATW20_24970
ko:K03303	suw:SATW20_24980
ko:K11102	suw:SATW20_25140
ko:K07696	suw:SATW20_25210
ko:K00373	suw:SATW20_25250
ko:K00371	suw:SATW20_25260
ko:K00370	suw:SATW20_25270
ko:K00363	suw:SATW20_25290
ko:K00362	suw:SATW20_25300
ko:K08987	suw:SATW20_04940
ko:K03427	suw:SATW20_05080
ko:K01154	suw:SATW20_05090
ko:K05577	suw:SATW20_05210
ko:K09822	suw:SATW20_05220
ko:K03928	suw:SATW20_05260
ko:K03308	suw:SATW20_05270
ko:K02071	suw:SATW20_05300
ko:K02072	suw:SATW20_05310
ko:K02073	suw:SATW20_05320
ko:K07778	suw:SATW20_13230
ko:K00928	suw:SATW20_13290
ko:K00003	suw:SATW20_13300
ko:K01733	suw:SATW20_13310
ko:K00872	suw:SATW20_13320
ko:K03781	suw:SATW20_13360
ko:K02913	suw:SATW20_13370
ko:K02954	suw:SATW20_13380
ko:K00364	suw:SATW20_13390
ko:K01356	suw:SATW20_13410
ko:K00615	suw:SATW20_13440
ko:K03547	suw:SATW20_13470
ko:K03282	suw:SATW20_13490
ko:K01681	suw:SATW20_13510
ko:K07107	suw:SATW20_13520
ko:K08591	suw:SATW20_13540
ko:K02622	suw:SATW20_13550
ko:K02621	suw:SATW20_13560
ko:K03310	suw:SATW20_13570
ko:K03480	suw:SATW20_13580
ko:K14205	suw:SATW20_13600
ko:K01821	suw:SATW20_13630
ko:K03311	suw:SATW20_01960
ko:K07106	suw:SATW20_02010
ko:K01153	suw:SATW20_02050
ko:K02034	suw:SATW20_02090
ko:K01118	suw:SATW20_02120
ko:K15771	suw:SATW20_02160
ko:K15772	suw:SATW20_02170
ko:K02012	suw:SATW20_02250
ko:K00656	suw:SATW20_02260
ko:K04069	suw:SATW20_02270
ko:K01126	suw:SATW20_02290
ko:K07516	suw:SATW20_02330
ko:K00252	suw:SATW20_02340
ko:K05916	suw:SATW20_02420
ko:K02773	suw:SATW20_02470
ko:K02774	suw:SATW20_02480
ko:K01491	suw:SATW20_10590
ko:K01588	suw:SATW20_10600
ko:K01589	suw:SATW20_10610
ko:K01923	suw:SATW20_10620
ko:K01952	suw:SATW20_10640
ko:K01952	suw:SATW20_10650
ko:K00764	suw:SATW20_10660
ko:K01933	suw:SATW20_10670
ko:K11175	suw:SATW20_10680
ko:K00602	suw:SATW20_10690
ko:K01945	suw:SATW20_10700
ko:K06969	suw:SATW20_10760
ko:K00425	suw:SATW20_10810
ko:K00426	suw:SATW20_10820
ko:K01462	suw:SATW20_10860
ko:K00161	suw:SATW20_10880
ko:K00162	suw:SATW20_10890
ko:K00627	suw:SATW20_10900
ko:K00382	suw:SATW20_10910
ko:K03322	suw:SATW20_11000
ko:K06207	suw:SATW20_11040
ko:K03564	suw:SATW20_18570
ko:K01845	suw:SATW20_18580
ko:K03575	suw:SATW20_18620
ko:K03565	suw:SATW20_18670
ko:K05520	suw:SATW20_18690
ko:K07058	suw:SATW20_18770
ko:K01265	suw:SATW20_18820
ko:K02217	suw:SATW20_18870
ko:K02346	suw:SATW20_18890
ko:K03215	suw:SATW20_18910
ko:K02434	suw:SATW20_18940
ko:K02435	suw:SATW20_18960
ko:K01972	suw:SATW20_18990
ko:K03657	suw:SATW20_19000
ko:K01756	suw:SATW20_19030
ko:K09765	suw:SATW20_27320
ko:K06978	suw:SATW20_27350
ko:K01579	suw:SATW20_27360
ko:K01918	suw:SATW20_27370
ko:K00606	suw:SATW20_27380
ko:K00077	suw:SATW20_27390
ko:K01575	suw:SATW20_27400
ko:K00823	suw:SATW20_27430
ko:K01623	suw:SATW20_27450
ko:K00116	suw:SATW20_27460
ko:K01895	suw:SATW20_27470
ko:K01657	suw:SATW20_13670
ko:K00766	suw:SATW20_13690
ko:K01609	suw:SATW20_13700
ko:K01817	suw:SATW20_13710
ko:K01696	suw:SATW20_13720
ko:K01695	suw:SATW20_13730
ko:K03530	suw:SATW20_21510
ko:K01926	suw:SATW20_21860
ko:K06158	suw:SATW20_21870
ko:K03789	suw:SATW20_21900
ko:K06925	suw:SATW20_21920
ko:K01687	suw:SATW20_21930
ko:K01652	suw:SATW20_21940
ko:K07220	suw:SATW20_07380
ko:K03306	suw:SATW20_07390
ko:K06890	suw:SATW20_07410
ko:K09793	suw:SATW20_07490
ko:K06966	suw:SATW20_07550
ko:K09768	suw:SATW20_07560
ko:K06153	suw:SATW20_07580
ko:K01669	suw:SATW20_07660
ko:K02768	suw:SATW20_07750
ko:K02769	suw:SATW20_07750
ko:K02770	suw:SATW20_07750
ko:K01443	suw:SATW20_07760
ko:K10681	suw:SATW20_07800
ko:K10682	suw:SATW20_07810
ko:K10026	suw:SATW20_07850
ko:K01737	suw:SATW20_07860
ko:K06920	suw:SATW20_07870
ko:K01665	suw:SATW20_07890
ko:K03686	suw:SATW20_15750
ko:K04043	suw:SATW20_15760
ko:K03687	suw:SATW20_15770
ko:K03705	suw:SATW20_15780
ko:K03596	suw:SATW20_15800
ko:K02968	suw:SATW20_15810
ko:K02340	suw:SATW20_15820
ko:K02237	suw:SATW20_15850
ko:K09710	suw:SATW20_15880
ko:K00969	suw:SATW20_15900
ko:K07574	suw:SATW20_15910
ko:K00014	suw:SATW20_15920
ko:K07015	suw:SATW20_15940
ko:K07160	suw:SATW20_16000
ko:K01961	suw:SATW20_16010
ko:K02160	suw:SATW20_16020
ko:K03624	suw:SATW20_16050
ko:K00876	suw:SATW20_16060
ko:K08303	suw:SATW20_16070
ko:K07447	suw:SATW20_16110
ko:K01872	suw:SATW20_16130
ko:K03581	suw:SATW20_16140
ko:K00566	suw:SATW20_16160
ko:K04487	suw:SATW20_16170
ko:K07478	suw:SATW20_16220
ko:K01876	suw:SATW20_16240
ko:K01892	suw:SATW20_16250
ko:K01448	suw:SATW20_16260
ko:K06901	suw:SATW20_23870
ko:K07088	suw:SATW20_23910
ko:K03639	suw:SATW20_24000
ko:K03752	suw:SATW20_24010
ko:K03636	suw:SATW20_24020
ko:K03753	suw:SATW20_24040
ko:K03750	suw:SATW20_24050
ko:K03637	suw:SATW20_24060
ko:K03638	suw:SATW20_24070
ko:K02018	suw:SATW20_24100
ko:K02020	suw:SATW20_24110
ko:K02379	suw:SATW20_24120
ko:K03523	suw:SATW20_24140
ko:K02016	suw:SATW20_24160
ko:K08717	suw:SATW20_24180
ko:K01430	suw:SATW20_24190
ko:K01429	suw:SATW20_24200
ko:K01428	suw:SATW20_24210
ko:K03187	suw:SATW20_24220
ko:K03188	suw:SATW20_24230
ko:K03189	suw:SATW20_24240
ko:K03190	suw:SATW20_24250
ko:K03315	suw:SATW20_24310
ko:K09940	suw:SATW20_24330
ko:K03800	suw:SATW20_03950
ko:K02445	suw:SATW20_04040
ko:K00299	suw:SATW20_04070
ko:K03817	suw:SATW20_04100
ko:K07243	suw:SATW20_04130
ko:K03118	suw:SATW20_04140
ko:K03116	suw:SATW20_04150
ko:K00549	suw:SATW20_04240
ko:K06941	suw:SATW20_12120
ko:K06949	suw:SATW20_12150
ko:K01783	suw:SATW20_12160
ko:K02902	suw:SATW20_12180
ko:K03655	suw:SATW20_12210
ko:K03621	suw:SATW20_12230
ko:K00645	suw:SATW20_12240
ko:K02078	suw:SATW20_12260
ko:K03685	suw:SATW20_12270
ko:K03529	suw:SATW20_12280
ko:K03110	suw:SATW20_12290
ko:K03106	suw:SATW20_12310
ko:K02959	suw:SATW20_12320
ko:K02860	suw:SATW20_12330
ko:K00554	suw:SATW20_12340
ko:K02884	suw:SATW20_12350
ko:K14540	suw:SATW20_12370
ko:K03470	suw:SATW20_12380
ko:K01903	suw:SATW20_12390
ko:K01902	suw:SATW20_12400
ko:K04096	suw:SATW20_12430
ko:K03168	suw:SATW20_12440
ko:K04094	suw:SATW20_12450
ko:K03733	suw:SATW20_12460
ko:K01419	suw:SATW20_12470
ko:K03667	suw:SATW20_12480
ko:K03706	suw:SATW20_12490
ko:K02967	suw:SATW20_12500
ko:K02357	suw:SATW20_12510
ko:K09903	suw:SATW20_12520
ko:K02838	suw:SATW20_12530
ko:K00806	suw:SATW20_12540
ko:K00981	suw:SATW20_12550
ko:K11749	suw:SATW20_12560
ko:K01881	suw:SATW20_12570
ko:K03763	suw:SATW20_12580
ko:K09748	suw:SATW20_12590
ko:K02600	suw:SATW20_12600
ko:K07742	suw:SATW20_12610
ko:K02519	suw:SATW20_12630
ko:K02834	suw:SATW20_12640
ko:K07813	suw:SATW20_20190
ko:K07707	suw:SATW20_20220
ko:K00847	suw:SATW20_20230
ko:K01193	suw:SATW20_20240
ko:K03484	suw:SATW20_20250
ko:K03320	suw:SATW20_20260
ko:K15256	suw:SATW20_20510
ko:K01534	suw:SATW20_p1220
ko:K15519	suw:SATW20_06260
ko:K15518	suw:SATW20_06270
ko:K14194	suw:SATW20_06310
ko:K14194	suw:SATW20_06320
ko:K14194	suw:SATW20_06330
ko:K09007	suw:SATW20_06360
ko:K08094	suw:SATW20_06410
ko:K03762	suw:SATW20_06430
ko:K00868	suw:SATW20_06490
ko:K03648	suw:SATW20_06500
ko:K06885	suw:SATW20_06800
ko:K00945	suw:SATW20_14750
ko:K03654	suw:SATW20_14790
ko:K07651	suw:SATW20_14890
ko:K07775	suw:SATW20_14900
ko:K06178	suw:SATW20_14910
ko:K06024	suw:SATW20_14920
ko:K05896	suw:SATW20_14930
ko:K07124	suw:SATW20_15000
ko:K00286	suw:SATW20_15010
ko:K00036	suw:SATW20_15030
ko:K09699	suw:SATW20_15120
ko:K00167	suw:SATW20_15130
ko:K00166	suw:SATW20_15140
ko:K00382	suw:SATW20_15150
ko:K03631	suw:SATW20_15160
ko:K03402	suw:SATW20_15170
ko:K13789	suw:SATW20_15180
ko:K03602	suw:SATW20_15190
ko:K03601	suw:SATW20_15200
ko:K03625	suw:SATW20_15210
ko:K01961	suw:SATW20_15230
ko:K00009	suw:SATW20_22940
ko:K03431	suw:SATW20_22960
ko:K01476	suw:SATW20_22990
ko:K11068	suw:SATW20_23050
ko:K07038	suw:SATW20_23070
ko:K02015	suw:SATW20_23100
ko:K02015	suw:SATW20_23110
ko:K02016	suw:SATW20_23120
ko:K02787	suw:SATW20_23280
ko:K02788	suw:SATW20_23280
ko:K01126	suw:SATW20_00720
ko:K07090	suw:SATW20_00810
ko:K01534	suw:SATW20_00830
ko:K09013	suw:SATW20_09140
ko:K09015	suw:SATW20_09150
ko:K11717	suw:SATW20_09160
ko:K09014	suw:SATW20_09180
ko:K00459	suw:SATW20_09210
ko:K07090	suw:SATW20_09230
ko:K03644	suw:SATW20_09250
ko:K03367	suw:SATW20_09320
ko:K03739	suw:SATW20_09330
ko:K14188	suw:SATW20_09340
ko:K03740	suw:SATW20_09350
ko:K03885	suw:SATW20_09380
ko:K03885	suw:SATW20_09410
ko:K01255	suw:SATW20_09420
ko:K07084	suw:SATW20_09430
ko:K05571	suw:SATW20_09460
ko:K05569	suw:SATW20_09480
ko:K05567	suw:SATW20_09500
ko:K05566	suw:SATW20_09510
ko:K06347	suw:SATW20_09530
ko:K01895	suw:SATW20_17230
ko:K04766	suw:SATW20_17240
ko:K04768	suw:SATW20_17250
ko:K02529	suw:SATW20_17260
ko:K13853	suw:SATW20_17270
ko:K01924	suw:SATW20_17300
ko:K03466	suw:SATW20_17310
ko:K06878	suw:SATW20_17320
ko:K03439	suw:SATW20_17380
ko:K00824	suw:SATW20_17400
ko:K07007	suw:SATW20_17450
ko:K01869	suw:SATW20_17480
ko:K07139	suw:SATW20_17500
ko:K00318	suw:SATW20_17570
ko:K00794	suw:SATW20_17580
ko:K14652	suw:SATW20_17590
ko:K00793	suw:SATW20_17600
ko:K11752	suw:SATW20_17610
ko:K03893	suw:SATW20_17630
ko:K06199	suw:SATW20_17730
ko:K06199	suw:SATW20_17740
ko:K01012	suw:SATW20_25550
ko:K00833	suw:SATW20_25560
ko:K01935	suw:SATW20_25570
ko:K00865	suw:SATW20_25610
ko:K00077	suw:SATW20_25720
ko:K08170	suw:SATW20_25730
ko:K05846	suw:SATW20_25740
ko:K05845	suw:SATW20_25750
ko:K05846	suw:SATW20_25760
ko:K05847	suw:SATW20_25770
ko:K02069	suw:SATW20_25820
ko:K02068	suw:SATW20_25830
ko:K10824	suw:SATW20_25910
ko:K15587	suw:SATW20_25920
ko:K05352	suw:SATW20_02540
ko:K07322	suw:SATW20_02610
ko:K07704	suw:SATW20_02620
ko:K05338	suw:SATW20_02640
ko:K05339	suw:SATW20_02650
ko:K04561	suw:SATW20_02660
ko:K03489	suw:SATW20_02670
ko:K01223	suw:SATW20_02690
ko:K06726	suw:SATW20_02720
ko:K02529	suw:SATW20_02740
ko:K01442	suw:SATW20_02770
ko:K03466	suw:SATW20_02890
ko:K03588	suw:SATW20_11080
ko:K02259	suw:SATW20_11100
ko:K08976	suw:SATW20_11120
ko:K01126	suw:SATW20_11150
ko:K00954	suw:SATW20_11190
ko:K07040	suw:SATW20_11210
ko:K02911	suw:SATW20_11220
ko:K02016	suw:SATW20_11270
ko:K02015	suw:SATW20_11280
ko:K08600	suw:SATW20_11290
ko:K03437	suw:SATW20_11310
ko:K01889	suw:SATW20_11320
ko:K01890	suw:SATW20_11330
ko:K09888	suw:SATW20_11350
ko:K02347	suw:SATW20_11370
ko:K07456	suw:SATW20_11380
ko:K03671	suw:SATW20_11390
ko:K03703	suw:SATW20_11400
ko:K00266	suw:SATW20_05410
ko:K02818	suw:SATW20_05420
ko:K02819	suw:SATW20_05420
ko:K02343	suw:SATW20_05460
ko:K09747	suw:SATW20_05470
ko:K06187	suw:SATW20_05480
ko:K00943	suw:SATW20_05500
ko:K02341	suw:SATW20_05520
ko:K07461	suw:SATW20_05560
ko:K07056	suw:SATW20_05570
ko:K01874	suw:SATW20_05580
ko:K03424	suw:SATW20_05590
ko:K05985	suw:SATW20_05600
ko:K02528	suw:SATW20_05610
ko:K00919	suw:SATW20_05630
ko:K06412	suw:SATW20_05660
ko:K04042	suw:SATW20_05670
ko:K00948	suw:SATW20_05680
ko:K02897	suw:SATW20_05690
ko:K01056	suw:SATW20_05700
ko:K03723	suw:SATW20_05710
ko:K07571	suw:SATW20_05760
ko:K04075	suw:SATW20_05770
ko:K00760	suw:SATW20_05780
ko:K03798	suw:SATW20_05790
ko:K04083	suw:SATW20_05800
ko:K01738	suw:SATW20_05810
ko:K00796	suw:SATW20_05820
ko:K01633	suw:SATW20_05830
ko:K02034	suw:SATW20_13800
ko:K02039	suw:SATW20_13840
ko:K02036	suw:SATW20_13850
ko:K02038	suw:SATW20_13860
ko:K02037	suw:SATW20_13870
ko:K02040	suw:SATW20_13880
ko:K00243	suw:SATW20_13900
ko:K00928	suw:SATW20_13920
ko:K00133	suw:SATW20_13930
ko:K01714	suw:SATW20_13940
ko:K00215	suw:SATW20_13950
ko:K01775	suw:SATW20_13980
ko:K01586	suw:SATW20_13990
ko:K03704	suw:SATW20_14010
ko:K01512	suw:SATW20_14030
ko:K03311	suw:SATW20_14080
ko:K00658	suw:SATW20_14130
ko:K00164	suw:SATW20_14140
ko:K02563	suw:SATW20_14190
ko:K03797	suw:SATW20_14210
ko:K00053	suw:SATW20_21960
ko:K01649	suw:SATW20_21970
ko:K00052	suw:SATW20_21980
ko:K01703	suw:SATW20_21990
ko:K01704	suw:SATW20_22000
ko:K01754	suw:SATW20_22010
ko:K06959	suw:SATW20_22030
ko:K01775	suw:SATW20_22100
ko:K00997	suw:SATW20_22110
ko:K01548	suw:SATW20_22150
ko:K01547	suw:SATW20_22160
ko:K01546	suw:SATW20_22170
ko:K07646	suw:SATW20_22180
ko:K07667	suw:SATW20_22190
ko:K01929	suw:SATW20_22210
ko:K01921	suw:SATW20_22220
ko:K05837	suw:SATW20_22230
ko:K06131	suw:SATW20_22270
ko:K06950	suw:SATW20_22280
ko:K03217	suw:SATW20_22290
ko:K00788	suw:SATW20_22300
ko:K00878	suw:SATW20_22310
ko:K00941	suw:SATW20_22320
ko:K03707	suw:SATW20_22330
ko:K02372	suw:SATW20_22370
ko:K00790	suw:SATW20_22380
ko:K02114	suw:SATW20_22400
ko:K00239	suw:SATW20_11420
ko:K00240	suw:SATW20_11430
ko:K01776	suw:SATW20_11440
ko:K07095	suw:SATW20_11460
ko:K11032	suw:SATW20_11550
ko:K00763	suw:SATW20_19080
ko:K00491	suw:SATW20_19090
ko:K14445	suw:SATW20_19110
ko:K01114	suw:SATW20_19320
ko:K03300	suw:SATW20_27560
ko:K02304	suw:SATW20_27570
ko:K00432	suw:SATW20_27590
ko:K00926	suw:SATW20_27700
ko:K03758	suw:SATW20_27710
ko:K00611	suw:SATW20_27720
ko:K01809	suw:SATW20_27800
ko:K01421	suw:SATW20_27810
ko:K03070	suw:SATW20_27870
ko:K03076	suw:SATW20_27910
ko:K15738	suw:SATW20_07950
ko:K03654	suw:SATW20_07960
ko:K05847	suw:SATW20_07970
ko:K00817	suw:SATW20_07990
ko:K03305	suw:SATW20_08020
ko:K09457	suw:SATW20_08030
ko:K02015	suw:SATW20_08080
ko:K02015	suw:SATW20_08090
ko:K02013	suw:SATW20_08100
ko:K02016	suw:SATW20_08110
ko:K00075	suw:SATW20_08130
ko:K00865	suw:SATW20_08170
ko:K03070	suw:SATW20_08280
ko:K02836	suw:SATW20_08290
ko:K07023	suw:SATW20_08310
ko:K03702	suw:SATW20_08330
ko:K03701	suw:SATW20_08340
ko:K13292	suw:SATW20_08360
ko:K00384	suw:SATW20_08390
ko:K01358	suw:SATW20_08430
ko:K07071	suw:SATW20_08440
ko:K05311	suw:SATW20_08460
ko:K07560	suw:SATW20_16270
ko:K00759	suw:SATW20_16290
ko:K07462	suw:SATW20_16300
ko:K12257	suw:SATW20_16310
ko:K03210	suw:SATW20_16320
ko:K00773	suw:SATW20_16330
ko:K07568	suw:SATW20_16340
ko:K03551	suw:SATW20_16350
ko:K03550	suw:SATW20_16360
ko:K06209	suw:SATW20_16370
ko:K03979	suw:SATW20_16380
ko:K02899	suw:SATW20_16390
ko:K02888	suw:SATW20_16410
ko:K03571	suw:SATW20_16420
ko:K03570	suw:SATW20_16430
ko:K11754	suw:SATW20_16540
ko:K01873	suw:SATW20_16550
ko:K01246	suw:SATW20_16560
ko:K01845	suw:SATW20_16580
ko:K01698	suw:SATW20_16590
ko:K01749	suw:SATW20_16610
ko:K02497	suw:SATW20_16620
ko:K02492	suw:SATW20_16630
ko:K03978	suw:SATW20_16640
ko:K03544	suw:SATW20_16650
ko:K03545	suw:SATW20_16660
ko:K02887	suw:SATW20_16690
ko:K02916	suw:SATW20_16700
ko:K02520	suw:SATW20_16710
ko:K01868	suw:SATW20_16730
ko:K00123	suw:SATW20_24400
ko:K03453	suw:SATW20_24530
ko:K02749	suw:SATW20_24550
ko:K02750	suw:SATW20_24550
ko:K03481	suw:SATW20_24560
ko:K01468	suw:SATW20_24620
ko:K01712	suw:SATW20_24630
ko:K11210	suw:SATW20_24650
ko:K01807	suw:SATW20_24680
ko:K09771	suw:SATW20_24710
ko:K03652	suw:SATW20_24750
ko:K03312	suw:SATW20_24760
ko:K03284	suw:SATW20_24780
ko:K07107	suw:SATW20_24790
ko:K07552	suw:SATW20_24860
ko:K06942	suw:SATW20_04310
ko:K02990	suw:SATW20_04330
ko:K02963	suw:SATW20_04350
ko:K03387	suw:SATW20_04470
ko:K06956	suw:SATW20_04500
ko:K03816	suw:SATW20_04540
ko:K01951	suw:SATW20_04570
ko:K11753	suw:SATW20_12660
ko:K02956	suw:SATW20_12670
ko:K00962	suw:SATW20_12680
ko:K03466	suw:SATW20_12700
ko:K00995	suw:SATW20_12770
ko:K09769	suw:SATW20_12820
ko:K00174	suw:SATW20_12830
ko:K00175	suw:SATW20_12840
ko:K06168	suw:SATW20_12860
ko:K03555	suw:SATW20_12890
ko:K03572	suw:SATW20_12900
ko:K02440	suw:SATW20_12920
ko:K00864	suw:SATW20_12930
ko:K00111	suw:SATW20_12940
ko:K00791	suw:SATW20_12960
ko:K03666	suw:SATW20_12970
ko:K00432	suw:SATW20_12980
ko:K03665	suw:SATW20_12990
ko:K01915	suw:SATW20_13020
