ko:K01006	lmon:LMOSLCC2376_1829
ko:K03789	lmon:LMOSLCC2376_2031
ko:K06925	lmon:LMOSLCC2376_2033
ko:K06199	lmon:LMOSLCC2376_2036
ko:K06199	lmon:LMOSLCC2376_2037
ko:K03495	lmon:LMOSLCC2376_2709
ko:K03650	lmon:LMOSLCC2376_2710
ko:K08170	lmon:LMOSLCC2376_2717
ko:K00831	lmon:LMOSLCC2376_2724
ko:K07078	lmon:LMOSLCC2376_2728
ko:K00865	lmon:LMOSLCC2376_2731
ko:K03534	lmon:LMOSLCC2376_2744
ko:K00848	lmon:LMOSLCC2376_2747
ko:K03217	lmon:LMOSLCC2376_2752
ko:K07335	lmon:LMOSLCC2376_1343
ko:K02057	lmon:LMOSLCC2376_1345
ko:K02057	lmon:LMOSLCC2376_1346
ko:K00995	lmon:LMOSLCC2376_1351
ko:K03823	lmon:LMOSLCC2376_1355
ko:K09769	lmon:LMOSLCC2376_1356
ko:K03555	lmon:LMOSLCC2376_1358
ko:K03572	lmon:LMOSLCC2376_1359
ko:K00656	lmon:LMOSLCC2376_1361
ko:K04069	lmon:LMOSLCC2376_1362
ko:K07727	lmon:LMOSLCC2376_1366
ko:K00075	lmon:LMOSLCC2376_1376
ko:K05847	lmon:LMOSLCC2376_1377
ko:K03322	lmon:LMOSLCC2376_1380
ko:K05846	lmon:LMOSLCC2376_1381
ko:K05845	lmon:LMOSLCC2376_1382
ko:K05846	lmon:LMOSLCC2376_1383
ko:K05847	lmon:LMOSLCC2376_1384
ko:K01940	lmon:LMOSLCC2376_2046
ko:K01755	lmon:LMOSLCC2376_2047
ko:K01628	lmon:LMOSLCC2376_2050
ko:K02774	lmon:LMOSLCC2376_2053
ko:K02773	lmon:LMOSLCC2376_2054
ko:K06215	lmon:LMOSLCC2376_2057
ko:K08681	lmon:LMOSLCC2376_2058
ko:K04758	lmon:LMOSLCC2376_2060
ko:K04759	lmon:LMOSLCC2376_2061
ko:K01443	lmon:LMOSLCC2376_2065
ko:K01809	lmon:LMOSLCC2376_2067
ko:K02003	lmon:LMOSLCC2376_2071
ko:K03431	lmon:LMOSLCC2376_2075
ko:K03536	lmon:LMOSLCC2376_2753
ko:K02914	lmon:LMOSLCC2376_2754
ko:K01714	lmon:LMOSLCC2376_1391
ko:K00928	lmon:LMOSLCC2376_1392
ko:K00133	lmon:LMOSLCC2376_1393
ko:K04564	lmon:LMOSLCC2376_1396
ko:K09816	lmon:LMOSLCC2376_1402
ko:K09817	lmon:LMOSLCC2376_1403
ko:K01151	lmon:LMOSLCC2376_1405
ko:K06967	lmon:LMOSLCC2376_1408
ko:K03086	lmon:LMOSLCC2376_1409
ko:K09768	lmon:LMOSLCC2376_1411
ko:K09773	lmon:LMOSLCC2376_1412
ko:K01879	lmon:LMOSLCC2376_1413
ko:K01878	lmon:LMOSLCC2376_1414
ko:K03584	lmon:LMOSLCC2376_1415
ko:K07042	lmon:LMOSLCC2376_1420
ko:K07037	lmon:LMOSLCC2376_1421
ko:K09117	lmon:LMOSLCC2376_1423
ko:K02970	lmon:LMOSLCC2376_1424
ko:K09761	lmon:LMOSLCC2376_1425
ko:K02687	lmon:LMOSLCC2376_1426
ko:K03686	lmon:LMOSLCC2376_1427
ko:K04043	lmon:LMOSLCC2376_1428
ko:K03687	lmon:LMOSLCC2376_1429
ko:K03705	lmon:LMOSLCC2376_1430
ko:K03596	lmon:LMOSLCC2376_1434
ko:K02968	lmon:LMOSLCC2376_1435
ko:K01624	lmon:LMOSLCC2376_2088
ko:K01624	lmon:LMOSLCC2376_2089
ko:K03710	lmon:LMOSLCC2376_2100
ko:K03671	lmon:LMOSLCC2376_2108
ko:K08177	lmon:LMOSLCC2376_2127
ko:K02340	lmon:LMOSLCC2376_1436
ko:K02237	lmon:LMOSLCC2376_1439
ko:K09710	lmon:LMOSLCC2376_1441
ko:K00969	lmon:LMOSLCC2376_1443
ko:K07574	lmon:LMOSLCC2376_1444
ko:K00014	lmon:LMOSLCC2376_1445
ko:K07015	lmon:LMOSLCC2376_1447
ko:K03624	lmon:LMOSLCC2376_1451
ko:K00876	lmon:LMOSLCC2376_1452
ko:K07082	lmon:LMOSLCC2376_1454
ko:K07447	lmon:LMOSLCC2376_1457
ko:K01872	lmon:LMOSLCC2376_1459
ko:K02003	lmon:LMOSLCC2376_1460
ko:K03581	lmon:LMOSLCC2376_1464
ko:K00566	lmon:LMOSLCC2376_1467
ko:K04487	lmon:LMOSLCC2376_1468
ko:K07478	lmon:LMOSLCC2376_1469
ko:K03320	lmon:LMOSLCC2376_1471
ko:K04751	lmon:LMOSLCC2376_1472
ko:K01876	lmon:LMOSLCC2376_1474
ko:K01892	lmon:LMOSLCC2376_1475
ko:K01448	lmon:LMOSLCC2376_1476
ko:K07560	lmon:LMOSLCC2376_1477
ko:K00759	lmon:LMOSLCC2376_1479
ko:K07462	lmon:LMOSLCC2376_1480
ko:K08600	lmon:LMOSLCC2376_2138
ko:K02013	lmon:LMOSLCC2376_2139
ko:K02015	lmon:LMOSLCC2376_2140
ko:K02016	lmon:LMOSLCC2376_2141
ko:K08602	lmon:LMOSLCC2376_2145
ko:K15581	lmon:LMOSLCC2376_2152
ko:K15580	lmon:LMOSLCC2376_2153
ko:K01867	lmon:LMOSLCC2376_2155
ko:K09458	lmon:LMOSLCC2376_2158
ko:K00648	lmon:LMOSLCC2376_2160
ko:K03695	lmon:LMOSLCC2376_2164
ko:K06890	lmon:LMOSLCC2376_2165
ko:K01772	lmon:LMOSLCC2376_2169
ko:K01599	lmon:LMOSLCC2376_2170
ko:K02503	lmon:LMOSLCC2376_2174
ko:K12257	lmon:LMOSLCC2376_1482
ko:K03210	lmon:LMOSLCC2376_1484
ko:K00773	lmon:LMOSLCC2376_1485
ko:K07568	lmon:LMOSLCC2376_1486
ko:K03551	lmon:LMOSLCC2376_1487
ko:K03550	lmon:LMOSLCC2376_1488
ko:K03979	lmon:LMOSLCC2376_1492
ko:K00864	lmon:LMOSLCC2376_1493
ko:K02440	lmon:LMOSLCC2376_1494
ko:K02899	lmon:LMOSLCC2376_1495
ko:K02888	lmon:LMOSLCC2376_1497
ko:K08301	lmon:LMOSLCC2376_1498
ko:K03609	lmon:LMOSLCC2376_1499
ko:K03610	lmon:LMOSLCC2376_1500
ko:K03571	lmon:LMOSLCC2376_1501
ko:K03570	lmon:LMOSLCC2376_1502
ko:K03569	lmon:LMOSLCC2376_1503
ko:K03630	lmon:LMOSLCC2376_1505
ko:K11754	lmon:LMOSLCC2376_1507
ko:K01873	lmon:LMOSLCC2376_1508
ko:K01845	lmon:LMOSLCC2376_1509
ko:K01698	lmon:LMOSLCC2376_1510
ko:K01749	lmon:LMOSLCC2376_1512
ko:K02492	lmon:LMOSLCC2376_1513
ko:K03978	lmon:LMOSLCC2376_1514
ko:K01868	lmon:LMOSLCC2376_1515
ko:K07738	lmon:LMOSLCC2376_1518
ko:K00859	lmon:LMOSLCC2376_1519
ko:K00031	lmon:LMOSLCC2376_1523
ko:K01647	lmon:LMOSLCC2376_1524
ko:K07113	lmon:LMOSLCC2376_1526
ko:K00014	lmon:LMOSLCC2376_2194
ko:K13531	lmon:LMOSLCC2376_2200
ko:K13530	lmon:LMOSLCC2376_2201
ko:K06180	lmon:LMOSLCC2376_2202
ko:K07220	lmon:LMOSLCC2376_2206
ko:K03306	lmon:LMOSLCC2376_2207
ko:K06901	lmon:LMOSLCC2376_2213
ko:K05520	lmon:LMOSLCC2376_2215
ko:K02759	lmon:LMOSLCC2376_2217
ko:K00873	lmon:LMOSLCC2376_1527
ko:K00850	lmon:LMOSLCC2376_1528
ko:K01962	lmon:LMOSLCC2376_1529
ko:K01963	lmon:LMOSLCC2376_1530
ko:K02337	lmon:LMOSLCC2376_1531
ko:K00259	lmon:LMOSLCC2376_1537
ko:K00925	lmon:LMOSLCC2376_1539
ko:K11065	lmon:LMOSLCC2376_1542
ko:K04773	lmon:LMOSLCC2376_1544
ko:K00858	lmon:LMOSLCC2376_1545
ko:K00611	lmon:LMOSLCC2376_1546
ko:K00930	lmon:LMOSLCC2376_1548
ko:K00620	lmon:LMOSLCC2376_1549
ko:K00145	lmon:LMOSLCC2376_1550
ko:K03151	lmon:LMOSLCC2376_1551
ko:K04487	lmon:LMOSLCC2376_1552
ko:K02986	lmon:LMOSLCC2376_1555
ko:K01866	lmon:LMOSLCC2376_1556
ko:K02529	lmon:LMOSLCC2376_1557
ko:K13853	lmon:LMOSLCC2376_1558
ko:K01924	lmon:LMOSLCC2376_1563
ko:K03466	lmon:LMOSLCC2376_1564
ko:K06878	lmon:LMOSLCC2376_1565
ko:K02250	lmon:LMOSLCC2376_2228
ko:K02768	lmon:LMOSLCC2376_2230
ko:K02769	lmon:LMOSLCC2376_2230
ko:K02770	lmon:LMOSLCC2376_2230
ko:K00299	lmon:LMOSLCC2376_2246
ko:K01421	lmon:LMOSLCC2376_2255
ko:K03439	lmon:LMOSLCC2376_1573
ko:K00824	lmon:LMOSLCC2376_1577
ko:K01695	lmon:LMOSLCC2376_1585
ko:K01696	lmon:LMOSLCC2376_1586
ko:K01817	lmon:LMOSLCC2376_1587
ko:K01609	lmon:LMOSLCC2376_1588
ko:K00766	lmon:LMOSLCC2376_1589
ko:K01657	lmon:LMOSLCC2376_1591
ko:K04072	lmon:LMOSLCC2376_1592
ko:K01246	lmon:LMOSLCC2376_1597
ko:K01681	lmon:LMOSLCC2376_1600
ko:K03547	lmon:LMOSLCC2376_1605
ko:K00655	lmon:LMOSLCC2376_1606
ko:K02357	lmon:LMOSLCC2376_1614
ko:K02967	lmon:LMOSLCC2376_1615
ko:K01810	lmon:LMOSLCC2376_2265
ko:K14155	lmon:LMOSLCC2376_2268
ko:K02003	lmon:LMOSLCC2376_2270
ko:K02760	lmon:LMOSLCC2376_2271
ko:K00928	lmon:LMOSLCC2376_2272
ko:K05566	lmon:LMOSLCC2376_2277
ko:K05567	lmon:LMOSLCC2376_2278
ko:K05569	lmon:LMOSLCC2376_2280
ko:K05571	lmon:LMOSLCC2376_2282
ko:K09775	lmon:LMOSLCC2376_2284
ko:K03885	lmon:LMOSLCC2376_2287
ko:K07090	lmon:LMOSLCC2376_2300
ko:K07106	lmon:LMOSLCC2376_1618
ko:K01869	lmon:LMOSLCC2376_1620
ko:K07139	lmon:LMOSLCC2376_1621
ko:K01953	lmon:LMOSLCC2376_1623
ko:K00789	lmon:LMOSLCC2376_1624
ko:K08998	lmon:LMOSLCC2376_1629
ko:K01911	lmon:LMOSLCC2376_1631
ko:K01661	lmon:LMOSLCC2376_1632
ko:K02551	lmon:LMOSLCC2376_1634
ko:K02548	lmon:LMOSLCC2376_1636
ko:K00549	lmon:LMOSLCC2376_1640
ko:K09014	lmon:LMOSLCC2376_2303
ko:K11717	lmon:LMOSLCC2376_2305
ko:K09015	lmon:LMOSLCC2376_2306
ko:K09013	lmon:LMOSLCC2376_2307
ko:K02073	lmon:LMOSLCC2376_2309
ko:K02072	lmon:LMOSLCC2376_2310
ko:K02071	lmon:LMOSLCC2376_2311
ko:K02437	lmon:LMOSLCC2376_2317
ko:K05837	lmon:LMOSLCC2376_2319
ko:K05837	lmon:LMOSLCC2376_2320
ko:K02013	lmon:LMOSLCC2376_2321
ko:K02015	lmon:LMOSLCC2376_2322
ko:K02016	lmon:LMOSLCC2376_2323
ko:K03664	lmon:LMOSLCC2376_2340
ko:K12573	lmon:LMOSLCC2376_2341
ko:K03928	lmon:LMOSLCC2376_2342
ko:K03075	lmon:LMOSLCC2376_2343
ko:K01689	lmon:LMOSLCC2376_2347
ko:K01845	lmon:LMOSLCC2376_1644
ko:K10780	lmon:LMOSLCC2376_1647
ko:K03575	lmon:LMOSLCC2376_1648
ko:K07038	lmon:LMOSLCC2376_1649
ko:K03565	lmon:LMOSLCC2376_1652
ko:K07071	lmon:LMOSLCC2376_1653
ko:K14205	lmon:LMOSLCC2376_1654
ko:K03790	lmon:LMOSLCC2376_1657
ko:K07058	lmon:LMOSLCC2376_1665
ko:K01265	lmon:LMOSLCC2376_1668
ko:K03839	lmon:LMOSLCC2376_1669
ko:K03569	lmon:LMOSLCC2376_1672
ko:K02759	lmon:LMOSLCC2376_1676
ko:K02760	lmon:LMOSLCC2376_1677
ko:K02529	lmon:LMOSLCC2376_1684
ko:K15633	lmon:LMOSLCC2376_2348
ko:K01803	lmon:LMOSLCC2376_2349
ko:K00927	lmon:LMOSLCC2376_2350
ko:K00134	lmon:LMOSLCC2376_2351
ko:K05311	lmon:LMOSLCC2376_2352
ko:K03092	lmon:LMOSLCC2376_2353
ko:K01273	lmon:LMOSLCC2376_2354
ko:K01358	lmon:LMOSLCC2376_2360
ko:K06958	lmon:LMOSLCC2376_2366
ko:K00384	lmon:LMOSLCC2376_2371
ko:K06019	lmon:LMOSLCC2376_2374
ko:K13292	lmon:LMOSLCC2376_2375
ko:K08972	lmon:LMOSLCC2376_2377
ko:K03701	lmon:LMOSLCC2376_2381
ko:K03702	lmon:LMOSLCC2376_2382
ko:K07023	lmon:LMOSLCC2376_2385
ko:K02039	lmon:LMOSLCC2376_2388
ko:K02036	lmon:LMOSLCC2376_2389
ko:K02036	lmon:LMOSLCC2376_2390
ko:K02038	lmon:LMOSLCC2376_2391
ko:K02037	lmon:LMOSLCC2376_2392
ko:K05349	lmon:LMOSLCC2376_1686
ko:K00266	lmon:LMOSLCC2376_1690
ko:K08317	lmon:LMOSLCC2376_1694
ko:K02029	lmon:LMOSLCC2376_1697
ko:K01486	lmon:LMOSLCC2376_1699
ko:K02003	lmon:LMOSLCC2376_1704
ko:K00891	lmon:LMOSLCC2376_1706
ko:K03215	lmon:LMOSLCC2376_1709
ko:K02434	lmon:LMOSLCC2376_1712
ko:K02435	lmon:LMOSLCC2376_1714
ko:K01972	lmon:LMOSLCC2376_1716
ko:K03657	lmon:LMOSLCC2376_1717
ko:K03308	lmon:LMOSLCC2376_1719
ko:K01945	lmon:LMOSLCC2376_1722
ko:K00602	lmon:LMOSLCC2376_1723
ko:K11175	lmon:LMOSLCC2376_1724
ko:K01933	lmon:LMOSLCC2376_1725
ko:K00764	lmon:LMOSLCC2376_1726
ko:K01952	lmon:LMOSLCC2376_1727
ko:K01952	lmon:LMOSLCC2376_1728
ko:K01952	lmon:LMOSLCC2376_1729
ko:K02040	lmon:LMOSLCC2376_2393
ko:K07636	lmon:LMOSLCC2376_2394
ko:K06131	lmon:LMOSLCC2376_2397
ko:K09811	lmon:LMOSLCC2376_2400
ko:K09812	lmon:LMOSLCC2376_2401
ko:K02836	lmon:LMOSLCC2376_2403
ko:K03070	lmon:LMOSLCC2376_2404
ko:K05946	lmon:LMOSLCC2376_2415
ko:K02372	lmon:LMOSLCC2376_2418
ko:K03569	lmon:LMOSLCC2376_2419
ko:K00790	lmon:LMOSLCC2376_2420
ko:K02114	lmon:LMOSLCC2376_2422
ko:K02112	lmon:LMOSLCC2376_2423
ko:K02115	lmon:LMOSLCC2376_2424
ko:K02111	lmon:LMOSLCC2376_2425
ko:K02113	lmon:LMOSLCC2376_2426
ko:K02109	lmon:LMOSLCC2376_2427
ko:K02110	lmon:LMOSLCC2376_2428
ko:K02108	lmon:LMOSLCC2376_2429
ko:K00761	lmon:LMOSLCC2376_2432
ko:K00600	lmon:LMOSLCC2376_2433
ko:K07566	lmon:LMOSLCC2376_2435
ko:K02493	lmon:LMOSLCC2376_2436
ko:K02835	lmon:LMOSLCC2376_2437
ko:K01923	lmon:LMOSLCC2376_1730
ko:K01756	lmon:LMOSLCC2376_1731
ko:K01589	lmon:LMOSLCC2376_1732
ko:K01588	lmon:LMOSLCC2376_1733
ko:K06950	lmon:LMOSLCC2376_1735
ko:K02013	lmon:LMOSLCC2376_1736
ko:K01142	lmon:LMOSLCC2376_1740
ko:K02887	lmon:LMOSLCC2376_1741
ko:K02916	lmon:LMOSLCC2376_1742
ko:K02520	lmon:LMOSLCC2376_1743
ko:K02884	lmon:LMOSLCC2376_1747
ko:K00554	lmon:LMOSLCC2376_1753
ko:K02860	lmon:LMOSLCC2376_1754
ko:K07010	lmon:LMOSLCC2376_1756
ko:K06960	lmon:LMOSLCC2376_1757
ko:K02959	lmon:LMOSLCC2376_1758
ko:K03106	lmon:LMOSLCC2376_1762
ko:K03110	lmon:LMOSLCC2376_1764
ko:K03529	lmon:LMOSLCC2376_1765
ko:K03685	lmon:LMOSLCC2376_1766
ko:K02078	lmon:LMOSLCC2376_1767
ko:K00645	lmon:LMOSLCC2376_1769
ko:K03621	lmon:LMOSLCC2376_1770
ko:K03655	lmon:LMOSLCC2376_1772
ko:K00872	lmon:LMOSLCC2376_2439
ko:K01733	lmon:LMOSLCC2376_2440
ko:K00003	lmon:LMOSLCC2376_2441
ko:K02909	lmon:LMOSLCC2376_2442
ko:K03628	lmon:LMOSLCC2376_2444
ko:K00790	lmon:LMOSLCC2376_2445
ko:K13678	lmon:LMOSLCC2376_2447
ko:K01937	lmon:LMOSLCC2376_2452
ko:K01887	lmon:LMOSLCC2376_2454
ko:K01821	lmon:LMOSLCC2376_2457
ko:K06885	lmon:LMOSLCC2376_2458
ko:K08281	lmon:LMOSLCC2376_2465
ko:K16264	lmon:LMOSLCC2376_2469
ko:K02003	lmon:LMOSLCC2376_2476
ko:K02379	lmon:LMOSLCC2376_2480
ko:K00123	lmon:LMOSLCC2376_2482
ko:K01752	lmon:LMOSLCC2376_1773
ko:K01752	lmon:LMOSLCC2376_1774
ko:K02902	lmon:LMOSLCC2376_1777
ko:K01783	lmon:LMOSLCC2376_1779
ko:K06949	lmon:LMOSLCC2376_1780
ko:K03500	lmon:LMOSLCC2376_1783
ko:K00604	lmon:LMOSLCC2376_1784
ko:K04066	lmon:LMOSLCC2376_1785
ko:K13038	lmon:LMOSLCC2376_1786
ko:K03060	lmon:LMOSLCC2376_1787
ko:K00942	lmon:LMOSLCC2376_1788
ko:K00762	lmon:LMOSLCC2376_1792
ko:K01591	lmon:LMOSLCC2376_1793
ko:K01955	lmon:LMOSLCC2376_1796
ko:K01956	lmon:LMOSLCC2376_1797
ko:K01465	lmon:LMOSLCC2376_1798
ko:K00609	lmon:LMOSLCC2376_1799
ko:K02825	lmon:LMOSLCC2376_1801
ko:K06180	lmon:LMOSLCC2376_1804
ko:K03101	lmon:LMOSLCC2376_1805
ko:K06901	lmon:LMOSLCC2376_1806
ko:K03327	lmon:LMOSLCC2376_1807
ko:K03797	lmon:LMOSLCC2376_1813
ko:K02996	lmon:LMOSLCC2376_2493
ko:K02871	lmon:LMOSLCC2376_2494
ko:K06173	lmon:LMOSLCC2376_2495
ko:K07507	lmon:LMOSLCC2376_2499
ko:K02879	lmon:LMOSLCC2376_2502
ko:K03040	lmon:LMOSLCC2376_2503
ko:K02948	lmon:LMOSLCC2376_2504
ko:K02952	lmon:LMOSLCC2376_2505
ko:K02919	lmon:LMOSLCC2376_2506
ko:K02518	lmon:LMOSLCC2376_2507
ko:K03076	lmon:LMOSLCC2376_2509
ko:K02876	lmon:LMOSLCC2376_2510
ko:K02907	lmon:LMOSLCC2376_2511
ko:K02988	lmon:LMOSLCC2376_2512
ko:K02881	lmon:LMOSLCC2376_2513
ko:K02933	lmon:LMOSLCC2376_2514
ko:K02994	lmon:LMOSLCC2376_2515
ko:K02954	lmon:LMOSLCC2376_2516
ko:K02931	lmon:LMOSLCC2376_2517
ko:K02895	lmon:LMOSLCC2376_2518
ko:K02874	lmon:LMOSLCC2376_2519
ko:K02961	lmon:LMOSLCC2376_2520
ko:K02904	lmon:LMOSLCC2376_2521
ko:K02878	lmon:LMOSLCC2376_2522
ko:K02982	lmon:LMOSLCC2376_2523
ko:K02890	lmon:LMOSLCC2376_2524
ko:K05895	lmon:LMOSLCC2376_1151
ko:K02470	lmon:LMOSLCC2376_0006
ko:K02469	lmon:LMOSLCC2376_0007
ko:K06131	lmon:LMOSLCC2376_0008
ko:K02826	lmon:LMOSLCC2376_0013
ko:K02827	lmon:LMOSLCC2376_0014
ko:K02828	lmon:LMOSLCC2376_0015
ko:K02829	lmon:LMOSLCC2376_0016
ko:K07282	lmon:LMOSLCC2376_0017
ko:K01223	lmon:LMOSLCC2376_0018
ko:K02529	lmon:LMOSLCC2376_0034
ko:K02761	lmon:LMOSLCC2376_0037
ko:K03975	lmon:LMOSLCC2376_0039
ko:K02990	lmon:LMOSLCC2376_0041
ko:K02963	lmon:LMOSLCC2376_0043
ko:K07813	lmon:LMOSLCC2376_0045
ko:K07707	lmon:LMOSLCC2376_0048
ko:K02939	lmon:LMOSLCC2376_0050
ko:K01939	lmon:LMOSLCC2376_0053
ko:K03466	lmon:LMOSLCC2376_0059
ko:K10778	lmon:LMOSLCC2376_0065
ko:K03924	lmon:LMOSLCC2376_0454
ko:K09703	lmon:LMOSLCC2376_0457
ko:K06941	lmon:LMOSLCC2376_0463
ko:K13653	lmon:LMOSLCC2376_0464
ko:K01534	lmon:LMOSLCC2376_0616
ko:K03284	lmon:LMOSLCC2376_0623
ko:K01421	lmon:LMOSLCC2376_0625
ko:K08976	lmon:LMOSLCC2376_0631
ko:K00868	lmon:LMOSLCC2376_0638
ko:K02528	lmon:LMOSLCC2376_0159
ko:K00919	lmon:LMOSLCC2376_0161
