ko:K07005	bmaq:DM76_3387
ko:K10015	bmaq:DM76_3229
ko:K10017	bmaq:DM76_3230
ko:K00790	bmaq:DM76_3231
ko:K11068	bmaq:DM76_3724
ko:K01999	bmaq:DM76_3725
ko:K03534	bmaq:DM76_3735
ko:K18333	bmaq:DM76_3736
ko:K18335	bmaq:DM76_3738
ko:K07046	bmaq:DM76_3739
ko:K01685	bmaq:DM76_3740
ko:K02057	bmaq:DM76_3742
ko:K02056	bmaq:DM76_3743
ko:K05819	bmaq:DM76_3748
ko:K12508	bmaq:DM76_3749
ko:K12508	bmaq:DM76_3750
ko:K18383	bmaq:DM76_3754
ko:K06995	bmaq:DM76_3757
ko:K13874	bmaq:DM76_3758
ko:K10538	bmaq:DM76_3759
ko:K01114	bmaq:DM76_3767
ko:K00428	bmaq:DM76_3769
ko:K01485	bmaq:DM76_3776
ko:K16692	bmaq:DM76_4312
ko:K01114	bmaq:DM76_4317
ko:K10126	bmaq:DM76_4323
ko:K10125	bmaq:DM76_4324
ko:K03701	bmaq:DM76_4331
ko:K03088	bmaq:DM76_4332
ko:K08995	bmaq:DM76_4334
ko:K07240	bmaq:DM76_4337
ko:K07240	bmaq:DM76_4338
ko:K08195	bmaq:DM76_4343
ko:K01607	bmaq:DM76_4344
ko:K01055	bmaq:DM76_4345
ko:K05539	bmaq:DM76_107
ko:K02291	bmaq:DM76_114
ko:K07659	bmaq:DM76_118
ko:K07638	bmaq:DM76_119
ko:K03386	bmaq:DM76_120
ko:K04756	bmaq:DM76_121
ko:K01770	bmaq:DM76_122
ko:K00991	bmaq:DM76_123
ko:K03723	bmaq:DM76_124
ko:K01438	bmaq:DM76_126
ko:K01754	bmaq:DM76_127
ko:K05366	bmaq:DM76_129
ko:K03969	bmaq:DM76_130
ko:K03282	bmaq:DM76_132
ko:K01483	bmaq:DM76_136
ko:K01477	bmaq:DM76_138
ko:K13485	bmaq:DM76_139
ko:K16841	bmaq:DM76_141
ko:K03457	bmaq:DM76_142
ko:K01297	bmaq:DM76_145
ko:K11991	bmaq:DM76_146
ko:K09983	bmaq:DM76_148
ko:K01951	bmaq:DM76_152
ko:K00088	bmaq:DM76_154
ko:K00860	bmaq:DM76_263
ko:K00928	bmaq:DM76_274
ko:K04075	bmaq:DM76_275
ko:K01962	bmaq:DM76_276
ko:K01247	bmaq:DM76_277
ko:K01883	bmaq:DM76_278
ko:K03767	bmaq:DM76_280
ko:K03768	bmaq:DM76_281
ko:K03269	bmaq:DM76_282
ko:K00640	bmaq:DM76_283
ko:K02533	bmaq:DM76_284
ko:K01092	bmaq:DM76_285
ko:K03555	bmaq:DM76_287
ko:K03775	bmaq:DM76_288
ko:K03775	bmaq:DM76_290
ko:K07287	bmaq:DM76_293
ko:K01714	bmaq:DM76_294
ko:K01867	bmaq:DM76_296
ko:K07053	bmaq:DM76_299
ko:K04083	bmaq:DM76_303
ko:K05589	bmaq:DM76_305
ko:K01689	bmaq:DM76_306
ko:K01627	bmaq:DM76_307
ko:K01937	bmaq:DM76_308
ko:K02238	bmaq:DM76_310
ko:K03424	bmaq:DM76_311
ko:K09810	bmaq:DM76_312
ko:K09808	bmaq:DM76_313
ko:K07462	bmaq:DM76_315
ko:K02836	bmaq:DM76_316
ko:K11719	bmaq:DM76_1068
ko:K03270	bmaq:DM76_1069
ko:K06041	bmaq:DM76_1070
ko:K03455	bmaq:DM76_1071
ko:K00759	bmaq:DM76_1072
ko:K01433	bmaq:DM76_1075
ko:K03701	bmaq:DM76_1077
ko:K08738	bmaq:DM76_1084
ko:K03271	bmaq:DM76_1086
ko:K07460	bmaq:DM76_1087
ko:K07056	bmaq:DM76_1088
ko:K03735	bmaq:DM76_1091
ko:K03736	bmaq:DM76_1092
ko:K00138	bmaq:DM76_1094
ko:K04033	bmaq:DM76_1095
ko:K01652	bmaq:DM76_1097
ko:K01752	bmaq:DM76_1099
ko:K00281	bmaq:DM76_1101
ko:K02437	bmaq:DM76_1102
ko:K00605	bmaq:DM76_1103
ko:K03656	bmaq:DM76_1108
ko:K03704	bmaq:DM76_1114
ko:K02453	bmaq:DM76_1118
ko:K02454	bmaq:DM76_1119
ko:K02455	bmaq:DM76_1120
ko:K02609	bmaq:DM76_1334
ko:K02610	bmaq:DM76_1335
ko:K02611	bmaq:DM76_1336
ko:K02612	bmaq:DM76_1337
ko:K02613	bmaq:DM76_1338
ko:K03719	bmaq:DM76_1342
ko:K00457	bmaq:DM76_1343
ko:K05916	bmaq:DM76_1346
ko:K00798	bmaq:DM76_1347
ko:K00104	bmaq:DM76_1349
ko:K11472	bmaq:DM76_1350
ko:K11473	bmaq:DM76_1351
ko:K01857	bmaq:DM76_4346
ko:K01032	bmaq:DM76_4347
ko:K01031	bmaq:DM76_4348
ko:K00481	bmaq:DM76_4349
ko:K01495	bmaq:DM76_4351
ko:K11891	bmaq:DM76_4568
ko:K11892	bmaq:DM76_4569
ko:K11893	bmaq:DM76_4570
ko:K11906	bmaq:DM76_4571
ko:K11903	bmaq:DM76_4572
ko:K11901	bmaq:DM76_4574
ko:K11907	bmaq:DM76_4575
ko:K11898	bmaq:DM76_4578
ko:K11897	bmaq:DM76_4579
ko:K11896	bmaq:DM76_4580
ko:K11895	bmaq:DM76_4581
ko:K11902	bmaq:DM76_4582
ko:K11904	bmaq:DM76_4583
ko:K00355	bmaq:DM76_4590
ko:K01740	bmaq:DM76_4592
ko:K01941	bmaq:DM76_4598
ko:K01961	bmaq:DM76_4599
ko:K07160	bmaq:DM76_4601
ko:K01434	bmaq:DM76_4604
ko:K01259	bmaq:DM76_4605
ko:K02688	bmaq:DM76_4609
ko:K03417	bmaq:DM76_4610
ko:K01659	bmaq:DM76_4611
ko:K05878	bmaq:DM76_4669
ko:K05879	bmaq:DM76_4670
ko:K03559	bmaq:DM76_4675
ko:K03561	bmaq:DM76_4676
ko:K03832	bmaq:DM76_4677
ko:K02192	bmaq:DM76_4678
ko:K01776	bmaq:DM76_4679
ko:K03594	bmaq:DM76_4680
ko:K01676	bmaq:DM76_4681
ko:K01895	bmaq:DM76_4685
ko:K14393	bmaq:DM76_4687
ko:K03387	bmaq:DM76_4692
ko:K03386	bmaq:DM76_4693
ko:K00375	bmaq:DM76_4703
ko:K07552	bmaq:DM76_4704
ko:K03430	bmaq:DM76_4708
ko:K01841	bmaq:DM76_4710
ko:K18118	bmaq:DM76_4715
ko:K11902	bmaq:DM76_4716
ko:K11900	bmaq:DM76_4718
ko:K11903	bmaq:DM76_4719
ko:K11897	bmaq:DM76_4720
ko:K03186	bmaq:DM76_4781
ko:K07390	bmaq:DM76_4782
ko:K02493	bmaq:DM76_4783
ko:K02835	bmaq:DM76_4784
ko:K02492	bmaq:DM76_4785
ko:K01262	bmaq:DM76_4787
ko:K01560	bmaq:DM76_4789
ko:K01126	bmaq:DM76_4792
ko:K11735	bmaq:DM76_4795
ko:K00331	bmaq:DM76_4797
ko:K06942	bmaq:DM76_4799
ko:K03981	bmaq:DM76_4803
ko:K01118	bmaq:DM76_4805
ko:K03648	bmaq:DM76_4806
ko:K01609	bmaq:DM76_4808
ko:K00766	bmaq:DM76_4809
ko:K01658	bmaq:DM76_4810
ko:K01657	bmaq:DM76_4811
ko:K01091	bmaq:DM76_4812
ko:K01783	bmaq:DM76_4813
ko:K06195	bmaq:DM76_4814
ko:K08304	bmaq:DM76_4816
ko:K01912	bmaq:DM76_4817
ko:K02614	bmaq:DM76_4818
ko:K15866	bmaq:DM76_4819
ko:K01692	bmaq:DM76_4822
ko:K01652	bmaq:DM76_4892
ko:K06989	bmaq:DM76_4893
ko:K01426	bmaq:DM76_4902
ko:K01761	bmaq:DM76_4904
ko:K00675	bmaq:DM76_4907
ko:K09957	bmaq:DM76_4908
ko:K03762	bmaq:DM76_4913
ko:K07044	bmaq:DM76_4915
ko:K15553	bmaq:DM76_4919
ko:K03823	bmaq:DM76_4921
ko:K03406	bmaq:DM76_4924
ko:K10716	bmaq:DM76_4929
ko:K01607	bmaq:DM76_4931
ko:K06997	bmaq:DM76_1352
ko:K00286	bmaq:DM76_1353
ko:K02042	bmaq:DM76_1354
ko:K02041	bmaq:DM76_1357
ko:K06162	bmaq:DM76_1358
ko:K05780	bmaq:DM76_1359
ko:K05781	bmaq:DM76_1360
ko:K06163	bmaq:DM76_1361
ko:K06164	bmaq:DM76_1362
ko:K06165	bmaq:DM76_1363
ko:K06166	bmaq:DM76_1364
ko:K02043	bmaq:DM76_1365
ko:K05774	bmaq:DM76_1367
ko:K03179	bmaq:DM76_1368
ko:K04047	bmaq:DM76_1370
ko:K03782	bmaq:DM76_1372
ko:K04761	bmaq:DM76_1374
ko:K03655	bmaq:DM76_1375
ko:K07568	bmaq:DM76_1376
ko:K00773	bmaq:DM76_1377
ko:K03210	bmaq:DM76_1378
ko:K03072	bmaq:DM76_1379
ko:K03074	bmaq:DM76_1380
ko:K12262	bmaq:DM76_1384
ko:K03808	bmaq:DM76_1385
ko:K03808	bmaq:DM76_1386
ko:K07649	bmaq:DM76_1652
ko:K03637	bmaq:DM76_1658
ko:K07019	bmaq:DM76_1661
ko:K02843	bmaq:DM76_1663
ko:K00826	bmaq:DM76_1665
ko:K00927	bmaq:DM76_1668
ko:K00873	bmaq:DM76_1669
ko:K01624	bmaq:DM76_1670
ko:K01923	bmaq:DM76_1671
ko:K01588	bmaq:DM76_1672
ko:K01589	bmaq:DM76_1673
ko:K07566	bmaq:DM76_1674
ko:K07259	bmaq:DM76_1678
ko:K02484	bmaq:DM76_1680
ko:K03577	bmaq:DM76_1685
ko:K03585	bmaq:DM76_1686
ko:K18138	bmaq:DM76_1687
ko:K18139	bmaq:DM76_1688
ko:K00121	bmaq:DM76_1695
ko:K01070	bmaq:DM76_1696
ko:K02075	bmaq:DM76_1697
ko:K02074	bmaq:DM76_1698
ko:K02077	bmaq:DM76_1699
ko:K09823	bmaq:DM76_1700
ko:K09888	bmaq:DM76_2019
ko:K16092	bmaq:DM76_2021
ko:K02015	bmaq:DM76_2022
ko:K02013	bmaq:DM76_2023
ko:K00768	bmaq:DM76_2024
ko:K02233	bmaq:DM76_2025
ko:K02226	bmaq:DM76_2026
ko:K02016	bmaq:DM76_2028
ko:K02225	bmaq:DM76_2029
ko:K02227	bmaq:DM76_2030
ko:K02231	bmaq:DM76_2031
ko:K02232	bmaq:DM76_2032
ko:K15977	bmaq:DM76_2033
ko:K01579	bmaq:DM76_2035
ko:K01918	bmaq:DM76_2036
ko:K05896	bmaq:DM76_2037
ko:K09800	bmaq:DM76_2040
ko:K01874	bmaq:DM76_2043
ko:K03593	bmaq:DM76_2045
ko:K01494	bmaq:DM76_2047
ko:K01584	bmaq:DM76_2048
ko:K01755	bmaq:DM76_2051
ko:K07347	bmaq:DM76_2052
ko:K07346	bmaq:DM76_2053
ko:K03322	bmaq:DM76_2058
ko:K07346	bmaq:DM76_2067
ko:K07347	bmaq:DM76_2068
ko:K00973	bmaq:DM76_2439
ko:K01790	bmaq:DM76_2440
ko:K00067	bmaq:DM76_2441
ko:K17947	bmaq:DM76_2445
ko:K01784	bmaq:DM76_2450
ko:K01997	bmaq:DM76_2455
ko:K01998	bmaq:DM76_2456
ko:K01995	bmaq:DM76_2457
ko:K01996	bmaq:DM76_2458
ko:K00523	bmaq:DM76_2462
ko:K06183	bmaq:DM76_2465
ko:K07156	bmaq:DM76_2466
ko:K01714	bmaq:DM76_2471
ko:K01628	bmaq:DM76_2472
ko:K05825	bmaq:DM76_2476
ko:K04079	bmaq:DM76_2480
ko:K03181	bmaq:DM76_2481
ko:K03307	bmaq:DM76_2485
ko:K04750	bmaq:DM76_2486
ko:K00616	bmaq:DM76_2487
ko:K05782	bmaq:DM76_2488
ko:K09989	bmaq:DM76_2489
ko:K02278	bmaq:DM76_2916
ko:K02279	bmaq:DM76_2917
ko:K02280	bmaq:DM76_2918
ko:K02282	bmaq:DM76_2920
ko:K02283	bmaq:DM76_2921
ko:K12511	bmaq:DM76_2923
ko:K02030	bmaq:DM76_2927
ko:K02029	bmaq:DM76_2928
ko:K02029	bmaq:DM76_2929
ko:K18129	bmaq:DM76_2931
ko:K18094	bmaq:DM76_2932
ko:K18095	bmaq:DM76_2933
ko:K07346	bmaq:DM76_2934
ko:K07345	bmaq:DM76_2935
ko:K10439	bmaq:DM76_2944
ko:K10441	bmaq:DM76_2945
ko:K10440	bmaq:DM76_2946
ko:K00008	bmaq:DM76_2947
ko:K03088	bmaq:DM76_2951
ko:K02013	bmaq:DM76_2954
ko:K02015	bmaq:DM76_2955
ko:K13255	bmaq:DM76_2956
ko:K02016	bmaq:DM76_2957
ko:K06160	bmaq:DM76_2959
ko:K10531	bmaq:DM76_2962
ko:K02014	bmaq:DM76_2963
ko:K02224	bmaq:DM76_2965
ko:K02189	bmaq:DM76_2967
ko:K03710	bmaq:DM76_3452
ko:K01870	bmaq:DM76_3466
ko:K01114	bmaq:DM76_3469
ko:K02168	bmaq:DM76_3472
ko:K13051	bmaq:DM76_3474
ko:K13892	bmaq:DM76_3475
ko:K13889	bmaq:DM76_3476
ko:K13890	bmaq:DM76_3477
ko:K13891	bmaq:DM76_3478
ko:K01266	bmaq:DM76_3479
ko:K16203	bmaq:DM76_3480
ko:K00448	bmaq:DM76_3481
ko:K00449	bmaq:DM76_3482
ko:K02623	bmaq:DM76_3483
ko:K01626	bmaq:DM76_3490
ko:K16263	bmaq:DM76_3493
ko:K04780	bmaq:DM76_3503
ko:K11907	bmaq:DM76_4037
ko:K11896	bmaq:DM76_4039
ko:K11897	bmaq:DM76_4040
ko:K06887	bmaq:DM76_4041
ko:K11900	bmaq:DM76_4042
ko:K11901	bmaq:DM76_4043
ko:K11902	bmaq:DM76_4044
ko:K11890	bmaq:DM76_4046
ko:K11891	bmaq:DM76_4047
ko:K11892	bmaq:DM76_4048
ko:K11893	bmaq:DM76_4049
ko:K11906	bmaq:DM76_4050
ko:K07169	bmaq:DM76_4052
ko:K01753	bmaq:DM76_4059
ko:K01753	bmaq:DM76_4060
ko:K04487	bmaq:DM76_4066
ko:K00101	bmaq:DM76_4070
ko:K16856	bmaq:DM76_4071
ko:K10823	bmaq:DM76_4084
ko:K15583	bmaq:DM76_4085
ko:K15582	bmaq:DM76_4086
ko:K15581	bmaq:DM76_4087
ko:K15580	bmaq:DM76_4088
ko:K14219	bmaq:DM76_1110
ko:K14234	bmaq:DM76_1187
ko:K14218	bmaq:DM76_1083
ko:K14230	bmaq:DM76_1654
ko:K14220	bmaq:DM76_1870
ko:K14220	bmaq:DM76_1871
ko:K01980	bmaq:DM76_1328
ko:K01980	bmaq:DM76_4827
ko:K14235	bmaq:DM76_1258
ko:K12368	bmaq:DM76_590
ko:K03673	bmaq:DM76_595
ko:K01887	bmaq:DM76_597
ko:K07397	bmaq:DM76_601
ko:K14682	bmaq:DM76_2186
ko:K03578	bmaq:DM76_2187
ko:K01915	bmaq:DM76_2193
ko:K07708	bmaq:DM76_2194
ko:K07712	bmaq:DM76_2195
ko:K01142	bmaq:DM76_2197
ko:K07684	bmaq:DM76_2198
ko:K07673	bmaq:DM76_2199
ko:K00374	bmaq:DM76_2200
ko:K00373	bmaq:DM76_2201
ko:K00371	bmaq:DM76_2202
ko:K00370	bmaq:DM76_2203
ko:K02575	bmaq:DM76_2204
ko:K02575	bmaq:DM76_2205
ko:K02346	bmaq:DM76_2207
ko:K01414	bmaq:DM76_2208
ko:K01491	bmaq:DM76_2209
ko:K00163	bmaq:DM76_2212
ko:K00627	bmaq:DM76_2213
ko:K00382	bmaq:DM76_2214
ko:K07262	bmaq:DM76_2218
ko:K00332	bmaq:DM76_2594
ko:K00333	bmaq:DM76_2595
ko:K00334	bmaq:DM76_2596
ko:K00337	bmaq:DM76_2599
ko:K00338	bmaq:DM76_2600
ko:K00339	bmaq:DM76_2601
ko:K00340	bmaq:DM76_2602
ko:K00341	bmaq:DM76_2603
ko:K00342	bmaq:DM76_2604
ko:K00343	bmaq:DM76_2605
ko:K01515	bmaq:DM76_2607
ko:K00799	bmaq:DM76_2619
ko:K14287	bmaq:DM76_2620
ko:K09861	bmaq:DM76_2622
