ko:K08153	banh:HYU01_04530
ko:K00265	banh:HYU01_02810
ko:K01845	banh:HYU01_02815
ko:K01990	banh:HYU01_02820
ko:K01992	banh:HYU01_02825
ko:K01992	banh:HYU01_02830
ko:K08713	banh:HYU01_02835
ko:K03564	banh:HYU01_02840
ko:K09825	banh:HYU01_02845
ko:K03574	banh:HYU01_02955
ko:K03216	banh:HYU01_02985
ko:K07180	banh:HYU01_03000
ko:K09786	banh:HYU01_03005
ko:K01387	banh:HYU01_03025
ko:K07192	banh:HYU01_03035
ko:K03406	banh:HYU01_03040
ko:K03300	banh:HYU01_03055
ko:K02443	banh:HYU01_03075
ko:K05816	banh:HYU01_03080
ko:K05814	banh:HYU01_03085
ko:K05815	banh:HYU01_03090
ko:K05813	banh:HYU01_03095
ko:K03406	banh:HYU01_03130
ko:K11614	banh:HYU01_03135
ko:K11616	banh:HYU01_03145
ko:K00027	banh:HYU01_03150
ko:K00375	banh:HYU01_03170
ko:K02379	banh:HYU01_03205
ko:K00123	banh:HYU01_03210
ko:K01126	banh:HYU01_03225
ko:K00259	banh:HYU01_03230
ko:K03294	banh:HYU01_03235
ko:K01534	banh:HYU01_03245
ko:K00763	banh:HYU01_03250
ko:K11535	banh:HYU01_03295
ko:K08234	banh:HYU01_03300
ko:K01744	banh:HYU01_03310
ko:K03303	banh:HYU01_03315
ko:K06425	banh:HYU01_03325
ko:K03305	banh:HYU01_03330
ko:K02016	banh:HYU01_03335
ko:K02015	banh:HYU01_03340
ko:K02015	banh:HYU01_03345
ko:K02013	banh:HYU01_03350
ko:K00639	banh:HYU01_03360
ko:K03574	banh:HYU01_03370
ko:K04748	banh:HYU01_03380
ko:K06131	banh:HYU01_03385
ko:K03758	banh:HYU01_03405
ko:K03486	banh:HYU01_03410
ko:K02818	banh:HYU01_03415
ko:K02819	banh:HYU01_03415
ko:K01226	banh:HYU01_03420
ko:K06295	banh:HYU01_03435
ko:K07052	banh:HYU01_03440
ko:K03310	banh:HYU01_03450
ko:K10041	banh:HYU01_03455
ko:K10039	banh:HYU01_03460
ko:K10040	banh:HYU01_03465
ko:K10040	banh:HYU01_03470
ko:K02205	banh:HYU01_03475
ko:K03088	banh:HYU01_03490
ko:K03321	banh:HYU01_03525
ko:K02035	banh:HYU01_03540
ko:K02034	banh:HYU01_03545
ko:K02033	banh:HYU01_03550
ko:K02445	banh:HYU01_03565
ko:K02529	banh:HYU01_03585
ko:K00852	banh:HYU01_03590
ko:K06726	banh:HYU01_03595
ko:K10441	banh:HYU01_03600
ko:K10440	banh:HYU01_03605
ko:K10439	banh:HYU01_03610
ko:K00616	banh:HYU01_03615
ko:K09607	banh:HYU01_03620
ko:K00004	banh:HYU01_03635
ko:K01114	banh:HYU01_03645
ko:K06153	banh:HYU01_03675
ko:K03406	banh:HYU01_03680
ko:K07284	banh:HYU01_03700
ko:K03305	banh:HYU01_03705
ko:K03311	banh:HYU01_03710
ko:K07729	banh:HYU01_03735
ko:K03499	banh:HYU01_03755
ko:K02829	banh:HYU01_03760
ko:K02828	banh:HYU01_03765
ko:K02827	banh:HYU01_03770
ko:K02826	banh:HYU01_03775
ko:K03307	banh:HYU01_03795
ko:K06310	banh:HYU01_03800
ko:K06311	banh:HYU01_03805
ko:K06312	banh:HYU01_03810
ko:K04759	banh:HYU01_03820
ko:K04758	banh:HYU01_03830
ko:K02040	banh:HYU01_03835
ko:K02037	banh:HYU01_03840
ko:K02038	banh:HYU01_03845
ko:K03707	banh:HYU01_03995
ko:K15600	banh:HYU01_04000
ko:K15599	banh:HYU01_04005
ko:K15598	banh:HYU01_04010
ko:K10810	banh:HYU01_04015
ko:K03153	banh:HYU01_04020
ko:K03154	banh:HYU01_04025
ko:K03149	banh:HYU01_04030
ko:K00941	banh:HYU01_04040
ko:K01546	banh:HYU01_04070
ko:K01547	banh:HYU01_04075
ko:K01548	banh:HYU01_04080
ko:K07646	banh:HYU01_04085
ko:K06901	banh:HYU01_04110
ko:K00847	banh:HYU01_04130
ko:K01193	banh:HYU01_04135
ko:K02809	banh:HYU01_04140
ko:K02810	banh:HYU01_04140
ko:K03484	banh:HYU01_04145
ko:K03611	banh:HYU01_04160
ko:K03324	banh:HYU01_04290
ko:K09963	banh:HYU01_04300
ko:K03491	banh:HYU01_04305
ko:K02759	banh:HYU01_04310
ko:K02760	banh:HYU01_04315
ko:K02761	banh:HYU01_04320
ko:K02004	banh:HYU01_04340
ko:K02003	banh:HYU01_04345
ko:K02005	banh:HYU01_04350
ko:K02034	banh:HYU01_04365
ko:K03311	banh:HYU01_04370
ko:K06334	banh:HYU01_04375
ko:K06333	banh:HYU01_04380
ko:K06332	banh:HYU01_04385
ko:K10979	banh:HYU01_04400
ko:K03294	banh:HYU01_04445
ko:K07106	banh:HYU01_04470
ko:K02809	banh:HYU01_04475
ko:K02810	banh:HYU01_04475
ko:K09963	banh:HYU01_04480
ko:K00619	banh:HYU01_04510
ko:K03923	banh:HYU01_04545
ko:K08152	banh:HYU01_04555
ko:K05520	banh:HYU01_04565
ko:K03781	banh:HYU01_04570
ko:K01992	banh:HYU01_04575
ko:K03758	banh:HYU01_04580
ko:K01776	banh:HYU01_04585
ko:K00131	banh:HYU01_04595
ko:K02424	banh:HYU01_04620
ko:K10009	banh:HYU01_04625
ko:K10010	banh:HYU01_04630
ko:K01652	banh:HYU01_04675
ko:K01575	banh:HYU01_04680
ko:K03652	banh:HYU01_04690
ko:K03321	banh:HYU01_04725
ko:K03070	banh:HYU01_04745
ko:K01448	banh:HYU01_04820
ko:K02035	banh:HYU01_04870
ko:K02033	banh:HYU01_04875
ko:K02034	banh:HYU01_04880
ko:K11637	banh:HYU01_04930
ko:K09124	banh:HYU01_04955
ko:K07090	banh:HYU01_05010
ko:K17103	banh:HYU01_05105
ko:K01118	banh:HYU01_05140
ko:K04749	banh:HYU01_05240
ko:K04757	banh:HYU01_05245
ko:K03090	banh:HYU01_05250
ko:K03594	banh:HYU01_05255
ko:K00575	banh:HYU01_05265
ko:K03407	banh:HYU01_05270
ko:K03698	banh:HYU01_05360
ko:K16137	banh:HYU01_05365
ko:K15975	banh:HYU01_05375
ko:K15975	banh:HYU01_05380
ko:K02443	banh:HYU01_05415
ko:K02440	banh:HYU01_05420
ko:K00864	banh:HYU01_05425
ko:K00111	banh:HYU01_05430
ko:K03088	banh:HYU01_05445
ko:K03657	banh:HYU01_05485
ko:K07533	banh:HYU01_05490
ko:K09682	banh:HYU01_05510
ko:K02503	banh:HYU01_05520
ko:K01990	banh:HYU01_05525
ko:K01992	banh:HYU01_05530
ko:K09167	banh:HYU01_05555
ko:K08981	banh:HYU01_05560
ko:K08981	banh:HYU01_05565
ko:K08987	banh:HYU01_05580
ko:K09167	banh:HYU01_05605
ko:K08981	banh:HYU01_05610
ko:K12555	banh:HYU01_05620
ko:K01599	banh:HYU01_05625
ko:K01772	banh:HYU01_05630
ko:K00231	banh:HYU01_05635
ko:K07004	banh:HYU01_05645
ko:K01421	banh:HYU01_05675
ko:K03800	banh:HYU01_05715
ko:K01897	banh:HYU01_05725
ko:K07098	banh:HYU01_05785
ko:K06885	banh:HYU01_05790
ko:K03088	banh:HYU01_05800
ko:K13653	banh:HYU01_05805
ko:K07052	banh:HYU01_05830
ko:K03406	banh:HYU01_05855
ko:K01638	banh:HYU01_05880
ko:K01637	banh:HYU01_05885
ko:K03704	banh:HYU01_05895
ko:K02250	banh:HYU01_05910
ko:K03100	banh:HYU01_05920
ko:K16899	banh:HYU01_05925
ko:K16898	banh:HYU01_05930
ko:K06304	banh:HYU01_05940
ko:K06303	banh:HYU01_05945
ko:K06302	banh:HYU01_05950
ko:K06301	banh:HYU01_05955
ko:K06300	banh:HYU01_05960
ko:K06299	banh:HYU01_05965
ko:K00819	banh:HYU01_05985
ko:K01953	banh:HYU01_06000
ko:K01772	banh:HYU01_06005
ko:K03781	banh:HYU01_06010
ko:K03320	banh:HYU01_06015
ko:K09767	banh:HYU01_06030
ko:K00243	banh:HYU01_06035
ko:K07533	banh:HYU01_06045
ko:K03695	banh:HYU01_06080
ko:K02254	banh:HYU01_06100
ko:K00648	banh:HYU01_06105
ko:K09458	banh:HYU01_06110
ko:K01867	banh:HYU01_06125
ko:K15580	banh:HYU01_06135
ko:K15581	banh:HYU01_06140
ko:K15582	banh:HYU01_06145
ko:K15583	banh:HYU01_06150
ko:K10823	banh:HYU01_06155
ko:K02035	banh:HYU01_06165
ko:K16509	banh:HYU01_06175
ko:K16511	banh:HYU01_06185
ko:K06131	banh:HYU01_06190
ko:K08602	banh:HYU01_06200
ko:K06886	banh:HYU01_06215
ko:K07816	banh:HYU01_06230
ko:K00858	banh:HYU01_06235
ko:K06180	banh:HYU01_06240
ko:K05303	banh:HYU01_06270
ko:K00973	banh:HYU01_06300
ko:K01790	banh:HYU01_06305
ko:K00067	banh:HYU01_06315
ko:K00208	banh:HYU01_06320
ko:K03657	banh:HYU01_06355
ko:K11928	banh:HYU01_06390
ko:K01657	banh:HYU01_06400
ko:K01658	banh:HYU01_06405
ko:K00766	banh:HYU01_06410
ko:K01609	banh:HYU01_06415
ko:K01817	banh:HYU01_06420
ko:K01696	banh:HYU01_06425
ko:K01695	banh:HYU01_06430
ko:K03303	banh:HYU01_06440
ko:K09136	banh:HYU01_06485
ko:K00658	banh:HYU01_06495
ko:K00164	banh:HYU01_06500
ko:K07729	banh:HYU01_06505
ko:K13280	banh:HYU01_06575
ko:K09607	banh:HYU01_06605
ko:K00128	banh:HYU01_06610
ko:K11072	banh:HYU01_06615
ko:K11071	banh:HYU01_06620
ko:K11070	banh:HYU01_06625
ko:K11069	banh:HYU01_06630
ko:K01693	banh:HYU01_07235
ko:K02501	banh:HYU01_07240
ko:K01814	banh:HYU01_07245
ko:K02500	banh:HYU01_07250
ko:K01496	banh:HYU01_07255
ko:K01523	banh:HYU01_07260
ko:K04486	banh:HYU01_07265
ko:K17103	banh:HYU01_07280
ko:K01586	banh:HYU01_07295
ko:K00390	banh:HYU01_07305
ko:K00958	banh:HYU01_07310
ko:K00860	banh:HYU01_07315
ko:K00366	banh:HYU01_07320
ko:K02303	banh:HYU01_07330
ko:K02304	banh:HYU01_07340
ko:K03308	banh:HYU01_07345
ko:K11102	banh:HYU01_07355
ko:K11619	banh:HYU01_07370
ko:K11622	banh:HYU01_07380
ko:K11617	banh:HYU01_07385
ko:K11618	banh:HYU01_07390
ko:K03311	banh:HYU01_07400
ko:K05916	banh:HYU01_07440
ko:K07090	banh:HYU01_07455
ko:K03306	banh:HYU01_07460
ko:K07220	banh:HYU01_07465
ko:K03784	banh:HYU01_07520
ko:K00681	banh:HYU01_29295
ko:K07282	banh:HYU01_29300
ko:K03100	banh:HYU01_29340
ko:K07052	banh:HYU01_29400
ko:K15580	banh:HYU01_29405
ko:K07038	banh:HYU01_29490
ko:K01358	banh:HYU01_26290
ko:K11184	banh:HYU01_26295
ko:K09762	banh:HYU01_26300
ko:K06958	banh:HYU01_26310
ko:K03574	banh:HYU01_26315
ko:K08974	banh:HYU01_26320
ko:K00384	banh:HYU01_26325
ko:K06019	banh:HYU01_26340
ko:K13292	banh:HYU01_26345
ko:K06023	banh:HYU01_26350
ko:K08972	banh:HYU01_26355
ko:K03701	banh:HYU01_26365
ko:K03702	banh:HYU01_26370
ko:K07729	banh:HYU01_26410
ko:K06147	banh:HYU01_26445
ko:K03797	banh:HYU01_26455
ko:K09811	banh:HYU01_26460
ko:K09812	banh:HYU01_26465
ko:K12263	banh:HYU01_26470
ko:K02836	banh:HYU01_26475
ko:K03070	banh:HYU01_26485
ko:K05808	banh:HYU01_26490
ko:K03704	banh:HYU01_26495
ko:K02990	banh:HYU01_27960
ko:K06942	banh:HYU01_27965
ko:K03501	banh:HYU01_28000
ko:K03495	banh:HYU01_28005
ko:K03650	banh:HYU01_28010
ko:K06346	banh:HYU01_28015
ko:K03217	banh:HYU01_28020
ko:K03536	banh:HYU01_28025
ko:K02914	banh:HYU01_28030
ko:K02242	banh:HYU01_26500
ko:K02240	banh:HYU01_26505
ko:K01791	banh:HYU01_26535
ko:K00012	banh:HYU01_26540
ko:K02851	banh:HYU01_26545
ko:K02313	banh:HYU01_00010
ko:K02338	banh:HYU01_00015
ko:K03629	banh:HYU01_00025
ko:K02470	banh:HYU01_00030
ko:K02469	banh:HYU01_00035
ko:K00088	banh:HYU01_00070
ko:K07258	banh:HYU01_00075
ko:K06215	banh:HYU01_00080
ko:K08681	banh:HYU01_00085
ko:K01875	banh:HYU01_00090
ko:K15519	banh:HYU01_00105
ko:K15518	banh:HYU01_00110
ko:K11991	banh:HYU01_00120
ko:K02343	banh:HYU01_00125
ko:K09747	banh:HYU01_00130
ko:K06187	banh:HYU01_00135
ko:K06317	banh:HYU01_00145
ko:K00943	banh:HYU01_00185
ko:K02341	banh:HYU01_00190
ko:K07461	banh:HYU01_00210
ko:K07056	banh:HYU01_00215
ko:K06284	banh:HYU01_00220
ko:K01874	banh:HYU01_00225
ko:K03073	banh:HYU01_00530
ko:K02601	banh:HYU01_00535
ko:K02867	banh:HYU01_00540
ko:K02863	banh:HYU01_00545
ko:K02864	banh:HYU01_00550
ko:K02935	banh:HYU01_00555
ko:K00564	banh:HYU01_00560
ko:K03043	banh:HYU01_00565
ko:K03046	banh:HYU01_00570
ko:K07590	banh:HYU01_00575
ko:K02950	banh:HYU01_00580
ko:K02992	banh:HYU01_00585
ko:K02355	banh:HYU01_00590
ko:K02358	banh:HYU01_00595
ko:K02946	banh:HYU01_00600
ko:K02906	banh:HYU01_00605
ko:K02926	banh:HYU01_00610
ko:K02892	banh:HYU01_00615
ko:K02886	banh:HYU01_00620
ko:K02965	banh:HYU01_00625
ko:K02890	banh:HYU01_00630
ko:K02982	banh:HYU01_00635
ko:K02878	banh:HYU01_00640
ko:K02904	banh:HYU01_00645
ko:K02961	banh:HYU01_00650
ko:K02874	banh:HYU01_00655
ko:K02895	banh:HYU01_00660
ko:K02931	banh:HYU01_00665
ko:K02954	banh:HYU01_00670
ko:K02994	banh:HYU01_00675
ko:K02933	banh:HYU01_00680
ko:K02881	banh:HYU01_00685
ko:K02988	banh:HYU01_00690
ko:K02907	banh:HYU01_00695
ko:K02876	banh:HYU01_00700
ko:K03076	banh:HYU01_00705
ko:K00939	banh:HYU01_00710
ko:K01265	banh:HYU01_00715
ko:K02518	banh:HYU01_00720
ko:K02919	banh:HYU01_00725
ko:K02952	banh:HYU01_00730
ko:K02948	banh:HYU01_00735
ko:K03040	banh:HYU01_00740
ko:K02879	banh:HYU01_00745
ko:K16786	banh:HYU01_00750
ko:K16787	banh:HYU01_00755
ko:K16785	banh:HYU01_00760
ko:K06173	banh:HYU01_00765
ko:K02871	banh:HYU01_00770
ko:K02996	banh:HYU01_00775
ko:K01448	banh:HYU01_00785
ko:K03593	banh:HYU01_00790
ko:K06294	banh:HYU01_00795
ko:K06349	banh:HYU01_00800
ko:K03789	banh:HYU01_01465
ko:K01409	banh:HYU01_01470
ko:K06158	banh:HYU01_01475
ko:K01926	banh:HYU01_01480
ko:K07052	banh:HYU01_01490
ko:K04078	banh:HYU01_01495
ko:K04077	banh:HYU01_01500
ko:K01951	banh:HYU01_01505
ko:K06901	banh:HYU01_01510
ko:K06153	banh:HYU01_01540
ko:K01588	banh:HYU01_01580
ko:K01589	banh:HYU01_01585
ko:K01756	banh:HYU01_01590
ko:K01923	banh:HYU01_01595
ko:K01952	banh:HYU01_01600
ko:K01952	banh:HYU01_01605
ko:K01952	banh:HYU01_01610
ko:K00764	banh:HYU01_01615
ko:K01933	banh:HYU01_01620
ko:K11175	banh:HYU01_01625
ko:K00602	banh:HYU01_01630
ko:K01945	banh:HYU01_01635
ko:K07094	banh:HYU01_01655
ko:K03657	banh:HYU01_01660
ko:K01972	banh:HYU01_01665
ko:K07090	banh:HYU01_01675
ko:K00294	banh:HYU01_01680
ko:K02071	banh:HYU01_01695
ko:K02072	banh:HYU01_01700
ko:K02073	banh:HYU01_01705
ko:K02435	banh:HYU01_01730
ko:K02433	banh:HYU01_01735
ko:K06180	banh:HYU01_06650
ko:K11473	banh:HYU01_06665
ko:K00104	banh:HYU01_06670
ko:K02647	banh:HYU01_06675
ko:K00782	banh:HYU01_06710
ko:K02236	banh:HYU01_06715
ko:K02598	banh:HYU01_06725
ko:K06421	banh:HYU01_06740
ko:K00023	banh:HYU01_06765
ko:K03821	banh:HYU01_06770
ko:K02012	banh:HYU01_06795
ko:K02011	banh:HYU01_06815
ko:K05306	banh:HYU01_06820
ko:K03430	banh:HYU01_06825
ko:K09798	banh:HYU01_06860
ko:K13532	banh:HYU01_06870
ko:K15973	banh:HYU01_06875
ko:K07697	banh:HYU01_06895
ko:K06920	banh:HYU01_06900
ko:K01737	banh:HYU01_06905
ko:K10026	banh:HYU01_06910
ko:K09457	banh:HYU01_06915
ko:K03647	banh:HYU01_06950
ko:K01990	banh:HYU01_06980
ko:K07052	banh:HYU01_07000
ko:K03719	banh:HYU01_07010
ko:K01297	banh:HYU01_07030
ko:K00459	banh:HYU01_07035
ko:K03740	banh:HYU01_07040
ko:K14188	banh:HYU01_07045
ko:K03739	banh:HYU01_07050
ko:K03367	banh:HYU01_07055
ko:K03839	banh:HYU01_07075
ko:K03327	banh:HYU01_07110
ko:K06153	banh:HYU01_07115
ko:K03498	banh:HYU01_07145
ko:K00826	banh:HYU01_07180
ko:K01652	banh:HYU01_07185
ko:K01653	banh:HYU01_07190
ko:K00053	banh:HYU01_07195
ko:K01649	banh:HYU01_07200
ko:K00052	banh:HYU01_07205
ko:K01703	banh:HYU01_07210
ko:K01704	banh:HYU01_07215
ko:K02502	banh:HYU01_07220
ko:K00765	banh:HYU01_07225
ko:K00013	banh:HYU01_07230
ko:K03424	banh:HYU01_00230
ko:K05985	banh:HYU01_00235
ko:K02528	banh:HYU01_00240
ko:K06436	banh:HYU01_00245
ko:K06423	banh:HYU01_00255
ko:K00919	banh:HYU01_00260
ko:K09685	banh:HYU01_00265
ko:K09022	banh:HYU01_00270
ko:K06412	banh:HYU01_00275
ko:K04042	banh:HYU01_00280
ko:K00948	banh:HYU01_00285
ko:K01056	banh:HYU01_00290
ko:K03723	banh:HYU01_00300
ko:K04769	banh:HYU01_00305
ko:K02499	banh:HYU01_00315
ko:K07571	banh:HYU01_00340
ko:K06382	banh:HYU01_00355
ko:K04075	banh:HYU01_00360
ko:K00760	banh:HYU01_00365
ko:K03798	banh:HYU01_00370
ko:K03525	banh:HYU01_00375
ko:K07734	banh:HYU01_16045
ko:K00782	banh:HYU01_16060
ko:K18654	banh:HYU01_16120
ko:K03406	banh:HYU01_16175
ko:K00657	banh:HYU01_16190
ko:K01387	banh:HYU01_16200
ko:K03837	banh:HYU01_16225
ko:K01752	banh:HYU01_16230
ko:K00836	banh:HYU01_16245
ko:K04656	banh:HYU01_16250
ko:K04655	banh:HYU01_16255
ko:K16263	banh:HYU01_16270
ko:K00058	banh:HYU01_16285
ko:K00831	banh:HYU01_16290
ko:K03088	banh:HYU01_16305
ko:K15771	banh:HYU01_20660
