ko:K08744	mtue:J114_09725
ko:K03271	mtue:J114_00625
ko:K03273	mtue:J114_00630
ko:K02355	mtue:J114_00665
ko:K05343	mtue:J114_00695
ko:K03281	mtue:J114_00785
ko:K08641	mtue:J114_04465
ko:K00161	mtue:J114_04490
ko:K01738	mtue:J114_04515
ko:K14267	mtue:J114_04570
ko:K03637	mtue:J114_04605
ko:K03639	mtue:J114_04630
ko:K03704	mtue:J114_04640
ko:K00831	mtue:J114_04705
ko:K00528	mtue:J114_04715
ko:K01647	mtue:J114_04735
ko:K03517	mtue:J114_08530
ko:K00278	mtue:J114_08535
ko:K00767	mtue:J114_08540
ko:K00013	mtue:J114_08555
ko:K00817	mtue:J114_08560
ko:K01693	mtue:J114_08565
ko:K02501	mtue:J114_08570
ko:K02500	mtue:J114_08585
ko:K07300	mtue:J114_08595
ko:K03564	mtue:J114_08600
ko:K01657	mtue:J114_08605
ko:K01609	mtue:J114_08615
ko:K01696	mtue:J114_08620
ko:K01695	mtue:J114_08625
ko:K00873	mtue:J114_08645
ko:K10805	mtue:J114_08650
ko:K00426	mtue:J114_08670
ko:K00425	mtue:J114_08675
ko:K02945	mtue:J114_08710
ko:K00859	mtue:J114_08715
ko:K03702	mtue:J114_08725
ko:K03701	mtue:J114_08750
ko:K02520	mtue:J114_08775
ko:K01114	mtue:J114_12595
ko:K01114	mtue:J114_12600
ko:K01880	mtue:J114_12625
ko:K03584	mtue:J114_12650
ko:K07042	mtue:J114_12675
ko:K09761	mtue:J114_12705
ko:K03686	mtue:J114_12710
ko:K03705	mtue:J114_12715
ko:K07086	mtue:J114_12785
ko:K00390	mtue:J114_12815
ko:K02045	mtue:J114_12840
ko:K02047	mtue:J114_12845
ko:K02046	mtue:J114_12850
ko:K02048	mtue:J114_12855
ko:K03596	mtue:J114_12880
ko:K03664	mtue:J114_16590
ko:K09811	mtue:J114_16595
ko:K09812	mtue:J114_16600
ko:K02836	mtue:J114_16615
ko:K00528	mtue:J114_16620
ko:K03639	mtue:J114_16630
ko:K03637	mtue:J114_16640
ko:K03636	mtue:J114_16645
ko:K04069	mtue:J114_16795
ko:K00330	mtue:J114_16830
ko:K00331	mtue:J114_16835
ko:K00266	mtue:J114_20620
ko:K03980	mtue:J114_20895
ko:K03088	mtue:J114_20900
ko:K02231	mtue:J114_01385
ko:K02232	mtue:J114_01390
ko:K02575	mtue:J114_01415
ko:K02016	mtue:J114_01435
ko:K04719	mtue:J114_01665
ko:K07056	mtue:J114_05405
ko:K01665	mtue:J114_05415
ko:K01874	mtue:J114_05425
ko:K03424	mtue:J114_05430
ko:K02528	mtue:J114_05440
ko:K00919	mtue:J114_05445
ko:K01056	mtue:J114_05455
ko:K02897	mtue:J114_05460
ko:K00948	mtue:J114_05470
ko:K04042	mtue:J114_05475
ko:K03723	mtue:J114_05485
ko:K01689	mtue:J114_05500
ko:K01524	mtue:J114_05515
ko:K07667	mtue:J114_05525
ko:K07646	mtue:J114_05535
ko:K01546	mtue:J114_05550
ko:K01547	mtue:J114_05555
ko:K01548	mtue:J114_05560
ko:K00705	mtue:J114_09525
ko:K07124	mtue:J114_13420
ko:K06915	mtue:J114_13425
ko:K13288	mtue:J114_13430
ko:K03564	mtue:J114_13485
ko:K00997	mtue:J114_13495
ko:K11533	mtue:J114_13510
ko:K01584	mtue:J114_13550
ko:K03625	mtue:J114_13560
ko:K02356	mtue:J114_13565
ko:K03786	mtue:J114_13580
ko:K01735	mtue:J114_13585
ko:K00891	mtue:J114_13590
ko:K01736	mtue:J114_13595
ko:K02654	mtue:J114_13660
ko:K00014	mtue:J114_13665
ko:K07082	mtue:J114_13670
ko:K07447	mtue:J114_13675
ko:K01872	mtue:J114_13680
ko:K00496	mtue:J114_17435
ko:K01809	mtue:J114_17450
ko:K00067	mtue:J114_17520
ko:K01673	mtue:J114_17555
ko:K01588	mtue:J114_17565
ko:K01589	mtue:J114_17570
ko:K03524	mtue:J114_17585
ko:K06287	mtue:J114_17600
ko:K02426	mtue:J114_17610
ko:K03724	mtue:J114_17670
ko:K02039	mtue:J114_17695
ko:K00111	mtue:J114_17700
ko:K00382	mtue:J114_17705
ko:K07402	mtue:J114_02005
ko:K09165	mtue:J114_02020
ko:K00762	mtue:J114_02035
ko:K03695	mtue:J114_02045
ko:K08289	mtue:J114_02075
ko:K10764	mtue:J114_02085
ko:K03885	mtue:J114_02090
ko:K00252	mtue:J114_02130
ko:K13788	mtue:J114_02170
ko:K00925	mtue:J114_02175
ko:K00788	mtue:J114_02200
ko:K03154	mtue:J114_02210
ko:K03149	mtue:J114_02215
ko:K07020	mtue:J114_02240
ko:K00941	mtue:J114_02245
ko:K03147	mtue:J114_02250
ko:K01142	mtue:J114_02270
ko:K01462	mtue:J114_02280
ko:K07175	mtue:J114_05920
ko:K03602	mtue:J114_05985
ko:K03601	mtue:J114_05990
ko:K03527	mtue:J114_06000
ko:K06942	mtue:J114_06010
ko:K00036	mtue:J114_06045
ko:K01720	mtue:J114_06095
ko:K01647	mtue:J114_06100
ko:K00549	mtue:J114_06110
ko:K03594	mtue:J114_10000
ko:K01915	mtue:J114_10010
ko:K07560	mtue:J114_10115
ko:K08972	mtue:J114_10145
ko:K03782	mtue:J114_10175
ko:K01637	mtue:J114_10210
ko:K01637	mtue:J114_10215
ko:K14415	mtue:J114_14075
ko:K09771	mtue:J114_14115
ko:K06916	mtue:J114_14255
ko:K03216	mtue:J114_18050
ko:K01087	mtue:J114_18080
ko:K01662	mtue:J114_18120
ko:K03527	mtue:J114_18125
ko:K00574	mtue:J114_18175
ko:K14161	mtue:J114_18185
ko:K01951	mtue:J114_18195
ko:K02291	mtue:J114_18200
ko:K03088	mtue:J114_18295
ko:K04077	mtue:J114_18310
ko:K06895	mtue:J114_02600
ko:K01524	mtue:J114_02645
ko:K00286	mtue:J114_02665
ko:K00574	mtue:J114_02690
ko:K02492	mtue:J114_02720
ko:K01749	mtue:J114_02725
ko:K13542	mtue:J114_02730
ko:K01698	mtue:J114_02735
ko:K11735	mtue:J114_02790
ko:K01845	mtue:J114_02800
ko:K02548	mtue:J114_02860
ko:K06966	mtue:J114_06500
ko:K00796	mtue:J114_06510
ko:K01246	mtue:J114_06525
ko:K00975	mtue:J114_06540
ko:K06978	mtue:J114_06550
ko:K03088	mtue:J114_06580
ko:K03117	mtue:J114_06595
ko:K03284	mtue:J114_06680
ko:K00024	mtue:J114_06685
ko:K05592	mtue:J114_06755
ko:K09131	mtue:J114_10600
ko:K05596	mtue:J114_10605
ko:K06895	mtue:J114_10610
ko:K01194	mtue:J114_10735
ko:K07133	mtue:J114_10745
ko:K06168	mtue:J114_14575
ko:K03565	mtue:J114_14590
ko:K00995	mtue:J114_14655
ko:K03466	mtue:J114_14665
ko:K01714	mtue:J114_14690
ko:K03427	mtue:J114_14705
ko:K09927	mtue:J114_14735
ko:K01061	mtue:J114_14750
ko:K00215	mtue:J114_14790
ko:K00259	mtue:J114_14830
ko:K00459	mtue:J114_14835
ko:K00962	mtue:J114_14845
ko:K00697	mtue:J114_18665
ko:K02066	mtue:J114_18715
ko:K02066	mtue:J114_18720
ko:K01652	mtue:J114_18760
ko:K01126	mtue:J114_01720
ko:K07238	mtue:J114_01725
ko:K01304	mtue:J114_01730
ko:K01494	mtue:J114_01740
ko:K00012	mtue:J114_01745
ko:K17218	mtue:J114_01785
ko:K00973	mtue:J114_01800
ko:K14260	mtue:J114_01815
ko:K11738	mtue:J114_01860
ko:K03687	mtue:J114_01890
ko:K03686	mtue:J114_01895
ko:K01939	mtue:J114_01915
ko:K06213	mtue:J114_01935
ko:K01624	mtue:J114_01940
ko:K03975	mtue:J114_01945
ko:K07141	mtue:J114_01980
ko:K07402	mtue:J114_01985
ko:K07001	mtue:J114_05735
ko:K07001	mtue:J114_05740
ko:K01697	mtue:J114_05815
ko:K03624	mtue:J114_05830
ko:K06888	mtue:J114_05850
ko:K11068	mtue:J114_05855
ko:K00600	mtue:J114_05910
ko:K07507	mtue:J114_09670
ko:K03885	mtue:J114_09675
ko:K02471	mtue:J114_09710
ko:K01652	mtue:J114_09715
ko:K03070	mtue:J114_09720
ko:K06048	mtue:J114_02300
ko:K07157	mtue:J114_02305
ko:K13525	mtue:J114_02310
ko:K17103	mtue:J114_02315
ko:K01613	mtue:J114_02320
ko:K03750	mtue:J114_02325
ko:K04077	mtue:J114_02335
ko:K03088	mtue:J114_02365
ko:K00574	mtue:J114_02375
ko:K09701	mtue:J114_02380
ko:K09959	mtue:J114_02445
ko:K00382	mtue:J114_02460
ko:K07110	mtue:J114_02475
ko:K01637	mtue:J114_02485
ko:K00074	mtue:J114_02490
ko:K00574	mtue:J114_02495
ko:K00574	mtue:J114_02500
ko:K00075	mtue:J114_02565
ko:K12410	mtue:J114_06215
ko:K00370	mtue:J114_06280
ko:K00371	mtue:J114_06285
ko:K00373	mtue:J114_06290
ko:K06207	mtue:J114_06300
ko:K00318	mtue:J114_06415
ko:K03088	mtue:J114_06420
ko:K09166	mtue:J114_10275
ko:K11065	mtue:J114_10305
ko:K14652	mtue:J114_10345
ko:K01911	mtue:J114_02905
ko:K03306	mtue:J114_02920
ko:K01661	mtue:J114_02935
ko:K02551	mtue:J114_02970
ko:K03183	mtue:J114_02985
ko:K03799	mtue:J114_03010
ko:K00057	mtue:J114_03015
ko:K09767	mtue:J114_03025
ko:K00763	mtue:J114_03065
ko:K07282	mtue:J114_03070
ko:K06996	mtue:J114_03085
ko:K09122	mtue:J114_03095
ko:K02066	mtue:J114_03135
ko:K02066	mtue:J114_03140
ko:K08296	mtue:J114_06875
ko:K02034	mtue:J114_06905
ko:K01673	mtue:J114_06920
ko:K00957	mtue:J114_06925
ko:K00955	mtue:J114_06930
ko:K01586	mtue:J114_06965
ko:K00003	mtue:J114_06970
ko:K01733	mtue:J114_06975
ko:K00872	mtue:J114_06985
ko:K03628	mtue:J114_06990
ko:K02909	mtue:J114_06995
ko:K02835	mtue:J114_07000
ko:K02493	mtue:J114_07005
ko:K02108	mtue:J114_07025
ko:K02110	mtue:J114_07030
ko:K02109	mtue:J114_07035
ko:K02111	mtue:J114_07045
ko:K02115	mtue:J114_07050
ko:K02112	mtue:J114_07055
ko:K07001	mtue:J114_10895
ko:K08281	mtue:J114_10925
ko:K03820	mtue:J114_10975
ko:K07113	mtue:J114_10985
ko:K01061	mtue:J114_10990
ko:K02963	mtue:J114_10995
ko:K02954	mtue:J114_11000
ko:K02913	mtue:J114_11005
ko:K02902	mtue:J114_11010
ko:K07006	mtue:J114_11025
ko:K02229	mtue:J114_11050
ko:K06042	mtue:J114_11055
ko:K03088	mtue:J114_11075
ko:K05936	mtue:J114_11090
ko:K02066	mtue:J114_10480
ko:K02066	mtue:J114_10485
ko:K00231	mtue:J114_14290
ko:K01599	mtue:J114_14295
ko:K01662	mtue:J114_14320
ko:K00886	mtue:J114_14420
ko:K03086	mtue:J114_14425
ko:K07058	mtue:J114_14445
ko:K00322	mtue:J114_14475
ko:K07738	mtue:J114_14500
ko:K01356	mtue:J114_14510
ko:K03665	mtue:J114_14540
ko:K01778	mtue:J114_14545
ko:K00791	mtue:J114_14550
ko:K04078	mtue:J114_18315
ko:K03789	mtue:J114_18325
ko:K06925	mtue:J114_18335
ko:K01775	mtue:J114_18340
ko:K00820	mtue:J114_18415
ko:K03431	mtue:J114_18440
ko:K02996	mtue:J114_18445
ko:K02871	mtue:J114_18450
ko:K03466	mtue:J114_18470
ko:K06173	mtue:J114_18505
ko:K02879	mtue:J114_18510
ko:K03040	mtue:J114_18515
ko:K02986	mtue:J114_18520
ko:K02948	mtue:J114_18525
ko:K02952	mtue:J114_18530
ko:K02919	mtue:J114_18535
ko:K02518	mtue:J114_18540
ko:K01790	mtue:J114_18555
ko:K01666	mtue:J114_18570
ko:K01652	mtue:J114_18575
ko:K02956	mtue:J114_14855
ko:K11753	mtue:J114_14860
ko:K06978	mtue:J114_14935
ko:K15342	mtue:J114_15025
ko:K05813	mtue:J114_15110
ko:K02834	mtue:J114_15135
ko:K01666	mtue:J114_18900
ko:K03893	mtue:J114_19135
ko:K03218	mtue:J114_19140
ko:K01883	mtue:J114_19145
ko:K01770	mtue:J114_19150
ko:K00991	mtue:J114_19155
ko:K07736	mtue:J114_19160
ko:K07133	mtue:J114_03185
ko:K00965	mtue:J114_03295
ko:K00965	mtue:J114_03300
ko:K00849	mtue:J114_03305
ko:K03581	mtue:J114_03360
ko:K03582	mtue:J114_03365
ko:K03583	mtue:J114_03370
ko:K02913	mtue:J114_03395
ko:K03073	mtue:J114_03415
ko:K02601	mtue:J114_03420
ko:K02867	mtue:J114_03425
ko:K02863	mtue:J114_03430
ko:K00574	mtue:J114_03435
ko:K00574	mtue:J114_03440
ko:K00574	mtue:J114_03445
ko:K00574	mtue:J114_03450
ko:K02114	mtue:J114_07060
ko:K00790	mtue:J114_07080
ko:K13529	mtue:J114_07090
ko:K05838	mtue:J114_07125
ko:K16147	mtue:J114_07140
ko:K00688	mtue:J114_07145
ko:K00763	mtue:J114_07155
ko:K06891	mtue:J114_07160
ko:K01776	mtue:J114_07195
ko:K00989	mtue:J114_07205
ko:K02078	mtue:J114_07225
ko:K03118	mtue:J114_11220
ko:K03116	mtue:J114_11225
ko:K03432	mtue:J114_11300
ko:K03433	mtue:J114_11310
ko:K00765	mtue:J114_11365
ko:K11738	mtue:J114_11400
ko:K02519	mtue:J114_15140
ko:K07742	mtue:J114_15145
ko:K02600	mtue:J114_15150
ko:K09748	mtue:J114_15155
ko:K01881	mtue:J114_15170
ko:K02302	mtue:J114_15180
ko:K02224	mtue:J114_15185
ko:K00116	mtue:J114_15205
ko:K07241	mtue:J114_15225
ko:K07010	mtue:J114_15250
ko:K01915	mtue:J114_15255
ko:K01265	mtue:J114_15260
ko:K00099	mtue:J114_15310
ko:K00981	mtue:J114_15370
ko:K02838	mtue:J114_15375
ko:K09903	mtue:J114_15385
ko:K04485	mtue:J114_19170
ko:K01673	mtue:J114_19185
ko:K03575	mtue:J114_19190
ko:K03696	mtue:J114_19230
ko:K04567	mtue:J114_19240
ko:K03525	mtue:J114_19245
ko:K01579	mtue:J114_19250
ko:K01918	mtue:J114_19255
ko:K00950	mtue:J114_19275
ko:K01633	mtue:J114_19280
ko:K00796	mtue:J114_19285
ko:K01495	mtue:J114_19290
ko:K03798	mtue:J114_19295
ko:K09807	mtue:J114_19355
ko:K00760	mtue:J114_19360
ko:K04075	mtue:J114_19365
ko:K07259	mtue:J114_19375
ko:K09799	mtue:J114_19385
ko:K00645	mtue:J114_03470
ko:K02864	mtue:J114_03480
ko:K02935	mtue:J114_03485
ko:K02065	mtue:J114_03500
ko:K03043	mtue:J114_03560
ko:K03046	mtue:J114_03565
ko:K01151	mtue:J114_03580
ko:K09456	mtue:J114_03590
ko:K02616	mtue:J114_03600
ko:K02950	mtue:J114_03640
ko:K02992	mtue:J114_03645
ko:K02355	mtue:J114_03650
ko:K02358	mtue:J114_03655
ko:K02946	mtue:J114_03740
ko:K02906	mtue:J114_03745
ko:K02926	mtue:J114_03750
ko:K09136	mtue:J114_07380
ko:K02825	mtue:J114_07400
ko:K00609	mtue:J114_07405
ko:K01465	mtue:J114_07410
ko:K01956	mtue:J114_07420
ko:K01955	mtue:J114_07425
ko:K01591	mtue:J114_07430
ko:K00942	mtue:J114_07455
ko:K03060	mtue:J114_07460
ko:K13038	mtue:J114_07465
ko:K00789	mtue:J114_07470
ko:K04066	mtue:J114_07520
ko:K00604	mtue:J114_07545
ko:K03500	mtue:J114_07550
ko:K01783	mtue:J114_07555
ko:K11752	mtue:J114_07560
ko:K00793	mtue:J114_07575
ko:K06153	mtue:J114_11450
ko:K02221	mtue:J114_11510
ko:K09772	mtue:J114_11515
ko:K06997	mtue:J114_11520
ko:K05810	mtue:J114_11525
ko:K03531	mtue:J114_11530
ko:K03589	mtue:J114_11535
ko:K01924	mtue:J114_11540
ko:K02563	mtue:J114_11545
ko:K03588	mtue:J114_11550
ko:K01925	mtue:J114_11555
ko:K01000	mtue:J114_11560
ko:K01929	mtue:J114_11565
ko:K01928	mtue:J114_11570
ko:K03587	mtue:J114_11600
ko:K03438	mtue:J114_11610
ko:K03925	mtue:J114_11615
ko:K01626	mtue:J114_11665
ko:K00655	mtue:J114_11685
ko:K02357	mtue:J114_15415
ko:K02967	mtue:J114_15420
ko:K03733	mtue:J114_15450
ko:K04096	mtue:J114_15460
ko:K07391	mtue:J114_15465
ko:K07460	mtue:J114_15470
ko:K03470	mtue:J114_15495
ko:K03100	mtue:J114_15500
ko:K02884	mtue:J114_15505
ko:K00554	mtue:J114_15515
ko:K02860	mtue:J114_15520
ko:K06960	mtue:J114_15525
ko:K02959	mtue:J114_15530
ko:K03106	mtue:J114_15570
